   Svayambhu Purāṇa	SvayamBu PurANa
   tataḥ sa tāṃ mahādevī samālokya pramoditaḥ /	tatas sa tAm mahAdevI samAlokya pramoditaH /
   urasā śirasā dṛṣṭayā vacasā manasā tathā // SvayambhuP_3.82 //	urasA SirasA dRzwayA vacasA manasA taTA // SvayamBuj-_3.82 //
   padbhyāṃ karābhyāṃ jānubhyāṃ aṣṭāṃgo 'pi iti smṛtaḥ /	padByAm karAByAm jAnuByAm azwa-aMgaH api iti smRtaH /
   aṣṭāṃgai praṇītā kṛtvā sāṃjaliḥ samupāśrayan // SvayambhuP_3.83 //	azwa-aMgE praNItA kRtvA sAMjaliH samupASrayan // SvayamBuj-_3.83 //
   suprasanna mukhāmbhojaḥ suprabuddho śayāmbujaḥ /	su-prasanna muKa-amBojaH suprabudDaH Saya-ambujaH /
   saṃpaśyastāṃ mahādevīṃ stotrairevaṃ mudābhajaṃ // SvayambhuP_3.84 //	saMpaSyaH-tAm mahAdevIm stotrEH-evam mudA-Bajam // SvayamBuj-_3.84 //
   bhagavati mahādevī bhavatyāḥ śaraṇaṃ vraje /	Bagavati mahAdevI BavatyAH SaraNam vraje /
   vande pādāmvuje nityaṃ bhajāmi tanprasīdatu // SvayambhuP_3.85 //	vande pAdAmvuje nityam BajAmi tan-prasIdatu // SvayamBuj-_3.85 //
   jananī sarvabuddhānāṃ tvameva bodhidāyinī /	jananI sarva-budDAnAm tvam-eva boDi-dAyinI /
   sarveṣāṃ bodhisattvānāṃ mātāhitānupālinī // SvayambhuP_3.86 //	sarvezAm boDisattvAnAm mAtA-Ahita-anupAlinI // SvayamBuj-_3.86 //
   sarvahitārtha saṃbhakti sarvapāpaviśodhanī /	sarva-hita-arTa saMBakti sarva-pApa-viSoDanI /
   duṣṭa māragaṇākṣobha mahānanda sukhapradā // SvayambhuP_3.87 //	duzwa mAra-gaNa-akzoBa mahAnanda suKa-pradAH // SvayamBuj-_3.87 //
   saddharmmasādhanotsāhavalavīrya guṇapradā /	sadDarmma-sADana-utsAha-vala-vIrya guNa-pradA /
   niḥkleśastimitedhyāna samādhi sukhadāyinī // SvayambhuP_3.88 //	niHkleSa-stimiteDyAna samADi suKa-dAyinI // SvayamBuj-_3.88 //
   prajñāguṇa mahāratna śrī samṛddhi pradāyinī /	prajQA-guNa mahA-ratna SrI samRdDi pradAyinI /
   tad bhaktyāḥ padāmbhoja śaraṇastho bhajāmyaham // SvayambhuP_3.89 //	tat BaktyAH padA-amBoja SaraNa-sTaH BajAmi-aham // SvayamBuj-_3.89 //
   iti saṃprārthya sa prājño mañjudeva sa samvarī /	iti saMprArTya sa prAjQaH maQjudeva sa samvarI /
   tasyā bhaktī prasannātmā samārādhitumaicchat // SvayambhuP_3.90 //	tasyAH BaktI prasanna-AtmA samArADitum-EcCat // SvayamBuj-_3.90 //
   atha tatra sa ācāryaḥ sagaṇaḥ saṃpramoditaḥ /	aTa tatra saH AcAryaH sa-gaNaH saMpramoditaH /
   mārga śīrṣaiśitaiḥ pakṣai navamyāṃ ravivāsare // SvayambhuP_3.91 //	mArga SIrzESitEH pakzEH navamyAm ravi-vAsare // SvayamBuj-_3.91 //
   prātaḥ snātvā viśuddhātmā śucivastrāvṛtaḥ sudhīḥ /	prAtar snAtvA viSudDa-AtmA Suci-vastra-AvRtaH suDIH /
   poṣadhasamvaraṃ dhṛtvā devīmārādhayaṃ sthitaḥ // SvayambhuP_3.92 //	pozaDa-samvaram DRtvA devIm-ArADayam sTitaH // SvayamBuj-_3.92 //
   rātrau jāgaraṇaṃ kṛtvā dhāraṇī mantrajalpanaiḥ /	rAtrO jAgaraNam kRtvA DAraNI mantra-jalpanEH /
   stutibhiśca samārādhyaṃ prābhajatāṃ jineśvarīṃ // SvayambhuP_3.93 //	stutiBiH-ca samArADyam prABajatAm jineSvarIm // SvayamBuj-_3.93 //
   tataḥ prātaḥ daśamyāṃ sa snātvā gandhodakairmudā /	tatas prAtar daSamyAm sa snAtvA ganDa-udakEH-mudA /
   datvā dānaṃ yathākāmaṃ pariśuddhatrimaṇḍalaḥ // SvayambhuP_3.94 //	datvA dAnam yaTAkAmam pariSudDa-tri-maNxalaH // SvayamBuj-_3.94 //
   yathāvidhisamabhyarcya tāṃ devīṃ parameśvarīṃ /	yaTAviDisamaByarcya tAm devIm parameSvarIm /
   mahotsāhaiḥ stutiṃ kṛtvā tridhā pradakṣiṇāni ca // SvayambhuP_3.95 //	mahA-utsAhEH stutim kRtvA triDA pradakziNAni ca // SvayamBuj-_3.95 //
   suprasanna mukhāmbhojaḥ saddharmaguṇamānasaḥ /	su-prasanna muKa-amBojaH sat-Darma-guNa-mAnasaH /
   bhūyo 'ṣṭāṃgaiḥ praṇatvaivaṃ prārthayātsāṃjalimudrā // SvayambhuP_3.96 //	BUyas azwa-aMgEH praNatvA-evam prArTayAt-sa-aMjali-mudrA // SvayamBuj-_3.96 //
   prasīdatu jaganmātarbhavatyāḥ samupāśritaḥ /	prasIdatu jagat-mAtarBavatyAH samupASritaH /
   saṃbodhi sādhanotsau bhajāmi sarvadā mudāṃ // SvayambhuP_3.97 //	saMboDi sADana-utsO BajAmi sarvadA mudAm // SvayamBuj-_3.97 //
   iti saṃprārthya saṃprājñau natvāṣṭāṃgairmudā ca tāṃ /	iti saMprArTya saMprAjQO natvA-azwa-aMgEH-mudA ca tAm /
   tatpadmāmṛtamādāya tridhyamañjulinā pivet // SvayambhuP_3.98 //	tat-padma-amRtam-AdAya triDyamaQjulinA pivet // SvayamBuj-_3.98 //
   tadamṛtaṃ nipīyāsau saṃviśuddhatrimaṇḍalaṃ /	tat-amRtam nipIya-asO saMviSudDa-tri-maNxalam /
   aṣṭākṣaṇavinirmuktaḥ saṃbuddhakṣaṇamāpnuvān // SvayambhuP_3.99 //	azwa-akzaNa-vinirmuktaH saMbudDa-kzaNam-ApnuvAn // SvayamBuj-_3.99 //
   evaṃ kṛtvā sa ācārya devyā bhaktiparāyaṇaḥ /	evam kRtvA saH AcArya devyAH Bakti-parAyaNaH /
   saṃbuddhakṣaṇamāsādya sarva dharmmādhipo 'bhavat // SvayambhuP_3.100 //	saMbudDa-kzaNam-AsAdya sarva Darmma-aDipaH aBavat // SvayamBuj-_3.100 //
   tataḥ śrīmān sa ācāryo bodhisattva jagaddhite /	tatas SrImAn saH AcAryaH boDisattva jagat-hite /
   sa saṃghānyavasat tatra dharmadhātaurūpāśramaiḥ // SvayambhuP_3.101 //	sa saMGAni-avasat tatra DarmaDAtA-OrUpa-ASramEH // SvayamBuj-_3.101 //
   tatsamabhyaṣitatvāt saṃpradeśaḥ śrī manoharaḥ /	tad-samaByazita-tvAt saMpradeSaH SrI manoharaH /
   syātsarvatrāpi mañjuśrīparvata iti viśrutaḥ // SvayambhuP_3.102 //	syAt-sarvatra-api maQjuSrIparvataH iti viSrutaH // SvayamBuj-_3.102 //
   tatra śritaḥ sadāpyaspa dharmmadhātorūpāsakaḥ /	tatra SritaH sadA-api-aspa Darmma-DAtA-UrUpAsakaH /
   sarvasattva hitārthena prābhajansa jinātmajaḥ // SvayambhuP_3.103 //	sarva-sattva hita-arTena prABajan-sa jina-AtmajaH // SvayamBuj-_3.103 //
   tatsamīkṣāmalā sarvebrahmendrapramukhāapi /	tad-samIkzA-amalA sarvebrahma-indra-pramuKa-aapi /
   sarvelokādhipāścāpi mudā tatra samāgatāḥ // SvayambhuP_3.104 //	sarveloka-aDipAH-ca-api mudA tatra samAgatAH // SvayamBuj-_3.104 //
   tatraivo poṣaḍhaṃ dhṛtvā kṛtvā jāgaraṇaṃ niśi /	tatra-evo pozaXam DRtvA kRtvA jAgaraNam niSi /
   uṣitvā dhāraṇī mantraḥ dhyātvā tāṃ śrī jineśvarīṃ // SvayambhuP_3.105 //	uzitvA DAraNI mantraH DyAtvA tAm SrI jineSvarIm // SvayamBuj-_3.105 //
   yathāvidhi samabhyarcya kṛtvā pradakṣiṇāni ca /	yaTAviDi samaByarcya kRtvA pradakziNAni ca /
   kṛtvāṣṭāṃga praṇāmāni stutibhiścā bhajaṃ mudā // SvayambhuP_3.106 //	kRtvA-azwAMga praNAmAni stutiBiH-cA Bajam mudA // SvayamBuj-_3.106 //
   evaṃ tasyāmahādevyāḥ sarve tai śaraṇāśritāḥ /	evam tasya-amahAdevyAH sarve tE SaraNa-ASritAH /
   dharmaśrīguṇasaṃpatti maharddhisiddhimāpnuvan // SvayambhuP_3.107 //	Darma-SrI-guNa-saMpatti mahA-RdDi-sidDim-Apnuvan // SvayamBuj-_3.107 //
   tataste cāmarāḥ sarve sendra brahmādayādhipāḥ /	tatas-te cAmarAH sarve sa-indra brahma-Adaya-aDipAH /
   vajrakūṭaṃ nagāvjaṃ taṃ samīkṣyante jinālayaṃ // SvayambhuP_3.108 //	vajrakUwam nagO=-jam tam samIkzyante jina-Alayam // SvayamBuj-_3.108 //
   anumodyābhinandante stasyāpi śaraṇe gatāḥ /	anumodya-aBinandante stasya-api SaraNe gatAH /
   mahotsāhaiḥ samabhyarcya prabhajanta samādaraṃ // SvayambhuP_3.109 //	mahA-utsAhEH samaByarcya praBajanta samAdaram // SvayamBuj-_3.109 //
   tataḥ sarve 'marāstaica sarvailokādhipāśca te /	tatas sarve amarAH-tEca sarvEloka-aDipAH-ca te /
   asyāpi mañjuedevasya vajrācāryasya sadguroḥ // SvayambhuP_3.110 //	asya-api maQjuet-evasya vajra-AcAryasya sat-guroH // SvayamBuj-_3.110 //
   śaraṇe samupāsṛtya divya pūjopahārakaiḥ /	SaraNe samupAsRtya divya pUjA-upahArakEH /
   samabhyarcya mahotsāhaiḥ prābhajanta pramoditāḥ // SvayambhuP_3.111 //	samaByarcya mahA-utsAhEH prABajanta pramoditAH // SvayamBuj-_3.111 //
   evaṃ manvādayaḥ sarve manuyopiyaḥmaharṣayaḥ /	evam manu-AdayaH sarve manuyopiyaH-mahA-RzayaH /
   yatayoginaścāpi bhikṣavo brahmacāriṇaḥ // SvayambhuP_3.112 //	yata-yoginaH-ca-api BikzavaH brahmacAriNaH // SvayamBuj-_3.112 //
   cailakā bodhisattvāśca mahāsattvā jinātmajāḥ /	cElakAH boDisattvAH-ca mahAsattvAH jina-AtmajAH /
   te sarve samupāgatya tasyā devyā upāsakāḥ // SvayambhuP_3.113 //	te sarve samupAgatya tasyAH devyAH upAsakAH // SvayamBuj-_3.113 //
   yathāvidhi samabhyarcya prābhajanta pramoditāḥ /	yaTAviDi samaByarcya prABajanta pramoditAH /
   tataste dharmmadhātauśca sarve 'pi śaraṇāśritāḥ // SvayambhuP_3.114 //	tatas-te Darmma-DAtOH-ca sarve api SaraNa-ASritAH // SvayamBuj-_3.114 //
   samabhyarcya mahotsāhaiḥ natvā kṛtvā pradakṣiṇāṃ /	samaByarcya mahA-utsAhEH natvA kRtvA pradakziNAm /
   suprasanna mukhāmbhojānta pramoditanaḥ // SvayambhuP_3.115 //	su-prasanna muKa-amBojAnta pramoditanaH // SvayamBuj-_3.115 //
   tataste ca mahāsattva mañjudevaṃ mahaddhiṃkim /	tatas-te ca mahA-sattva maQjudevam mahat-hiMkim /
   ācārya samutsāhaiḥ samarcayaṃ pramoditāḥ // SvayambhuP_3.116 //	AcArya samutsAhEH samarcayam pramoditAH // SvayamBuj-_3.116 //
   pratyeka sugatāścāpi sarve tatra samāgatāḥ /	pratyeka sugatAH-ca-api sarve tatra samAgatAH /
   tāṃ devī dharmmadhātuṃ tamācāryaṃ ca samārcayaṃ // SvayambhuP_3.117 //	tAm devI Darmma-DAtum tam-AcAryam ca samArcayam // SvayamBuj-_3.117 //
   sarve tathāgatāścāpi pūjāmeghasarjanaiḥ /	sarve taTAgatAH-ca-api pUjA-meGa-sarjanEH /
   tāṃ devīṃ dharmadhātuṃ tamācāryaṃ ca samācaryaṃ // SvayambhuP_3.118 //	tAm devIm DarmaDAtum tam-AcAryam ca samAcaryam // SvayamBuj-_3.118 //
   evaṃmanyepi lokāśca praduṣṭvā samupāgatāḥ /	evaMmanyepi lokAH-ca praduzwvA samupAgatAH /
   tāṃ devīṃ dharmadhātuṃ ca tamācāryaṃ ca prābhajan // SvayambhuP_3.119 //	tAm devIm DarmaDAtum ca tam-AcAryam ca prABajan // SvayamBuj-_3.119 //
   etatpuṇyānubhāvena calitā sāvdhinagā mahī /	etat-puNya-anuBAvena calitA sA-avDina-gA mahI /
   puṣpavṛṣṭiḥ śubhotsāhaṃ pravarttate samantataḥ // SvayambhuP_3.120 //	puzpa-vRzwiH SuBa-utsAham pravarttate samantataH // SvayamBuj-_3.120 //
   ityādiṣṭa munīndreṇa viśvabhūvā niśamyate /	iti-Adizwa muni-indreNa viSvaBUvA niSamyate /
   sarve samāśritā lokā vismayaṃ samupāyayuḥ // SvayambhuP_3.121 //	sarve samASritAH lokAH vismayam samupAyayuH // SvayamBuj-_3.121 //
   tataḥ sarve 'pi te lokāstāṃ devīṃ śrīmaheśvarī /	tatas sarve api te lokAH-tAm devIm SrI-maheSvarI /
   dharmmadhātutamācāryaṃ draṣṭumabhiva vāñchire // SvayambhuP_3.122 //	DarmmaDAtutamAcAryam drazwum-aBiva vAQCire // SvayamBuj-_3.122 //
   tadāśayaṃ parijñāyaḥ gagaṇagañja utthitaḥ /	tad-ASayam parijQAyaH gagaNagaQjaH utTitaH /
   bhagavantantamānaspaśyannevamavravīt // SvayambhuP_3.123 //	Bagavan-tantamAna-spaSyan=-evam-avravIt // SvayamBuj-_3.123 //
   bhagavan sarvamicchanti draṣṭuṃ tāṃ sugeśvarīṃ /	Bagavan sarvam-icCanti drazwum tAm sugeSvarIm /
   dharmmadhātuṃ tamācāryaṃ tadanujñāṃ dadātu naḥ // SvayambhuP_3.124 //	Darmma-DAtum tam-AcAryam tad-anujQAm dadAtu naH // SvayamBuj-_3.124 //
   iti saṃprārthitaṃ tena bhagavānsa munīśvaraḥ /	iti saMprArTitam tena BagavAn-sa muni-ISvaraH /
   gagaṇagañjamātmajña taṃ paśyannevamādiśat // SvayambhuP_3.125 //	gagaNagaQjam-Atma-jQa tam paSyan=-evam-AdiSat // SvayamBuj-_3.125 //
   sādhu sādhyāmahādevīṃ khagānanājineśvarīṃ /	sADu sADyAmahAdevIm Kaga-Anana-ajineSvarIm /
   dharmadhātuṃ tamācāryamapirdaṣṭuṃ yadīcchatha // SvayambhuP_3.126 //	DarmaDAtum tam-AcAryam-apiH-dazwum yadi-icCaTa // SvayamBuj-_3.126 //
   tatra himālaye gatvā tāṃ śrī devīṃ khagānanāṃ /	tatra himAlaye gatvA tAm SrI devIm Kaga-AnanAm /
   dharmadhātuṃ tamācāryaṃ saṃbhajadhvaṃ yathā vidhi // SvayambhuP_3.127 //	DarmaDAtum tam-AcAryam saMBajaDvam yaTA viDi // SvayamBuj-_3.127 //
   ityādiṣṭaṃ munīndreṇa viśvabhuvā niśamyate /	iti-Adizwam muni-indreNa viSvaBuvA niSamyate /
   sarve lokā mahotsāhai ratrāyayuḥ pramoditāḥ // SvayambhuP_3.128 //	sarve lokAH mahA-utsAhEH ratrAyayuH pramoditAH // SvayamBuj-_3.128 //
   ahamapi munīndrasya prāpyānujñāṃ pramoditaḥ /	aham-api muni-indrasya prApya-anujQAm pramoditaH /
   taiḥsārddhaṃ prasthitau dūrātpaśyannimaṃmāyayau // SvayambhuP_3.129 //	tEH-sArdDam prasTitO dUrAt-paSyat-nimaMmAyayO // SvayamBuj-_3.129 //
   atra prāpno 'haṃ samālokya dharmmadhātunnimaṃ mudā /	atra prApnaH aham samAlokya Darmma-DAtun=-imam mudA /
   samabhyarcya mahotsāhaistai lokaiḥ prābhajaṃ saha // SvayambhuP_3.130 //	samaByarcya mahA-utsAhEH-tEH lokEH prABajam saha // SvayamBuj-_3.130 //
   śraddhayā śaraṇaṃ gatvā kṛtvā cainaṃ pradakṣiṇāṃ /	SradDayA SaraNam gatvA kRtvA ca-enam pradakziNAm /
   stutvāṣṭāṃgaiḥ praṇatvā ca prārthayaṃ bodhisamvaraṃ // SvayambhuP_3.131 //	stutvA-azwa-aMgEH praNatvA ca prArTayam boDi-samvaram // SvayamBuj-_3.131 //
   tato 'haṃ mañjudevākhyaṃ tamācārya samīkṣya ca /	tatas aham maQjudeva-AKyam tam-AcArya samIkzya ca /
   samabhyarcya mahotsāhaiḥ prābhajadhvaṃ sahānujaiḥ // SvayambhuP_3.132 //	samaByarcya mahA-utsAhEH prABajaDvam saha-anujEH // SvayamBuj-_3.132 //
   tatastasyopadeśa tāṃ śrīdevīṃ khagānanāṃ /	tatas-tasya-upadeSa tAm SrI-devIm Kaga-AnanAm /
   yathāvidhi samārādhya mahotsāhaiḥ samarcayaṃ // SvayambhuP_3.133 //	yaTAviDi samArADya mahA-utsAhEH samarcayam // SvayamBuj-_3.133 //
   kṛtvā pradakṣiṇāṃ cāpi natvāṣṭāṅgaiḥ pramoditaḥ /	kRtvA pradakziNAm ca-api natvA-azwa-aFgEH pramoditaH /
   stutvā dhyātvā ca saṃbodhiṃ saṃprārthaya jagaddhite // SvayambhuP_3.134 //	stutvA DyAtvA ca saMboDim saMprArTaya jagat-hite // SvayamBuj-_3.134 //
   etatpuṇyānubhāvena pariśuddha trimaṇḍalāḥ /	etat-puNya-anuBAvena pariSudDa tri-maNxalAH /
   aṣṭākṣaṇa vinirmukto bodhisattvo bhavaṃ kṛtī // SvayambhuP_3.135 //	azwa-akzaNa vinirmuktaH boDisattvaH Bavam kRtI // SvayamBuj-_3.135 //
   tataḥ sambodhisaṃbhāraṃ pūrayitvā yathākramaṃ /	tatas samboDi-saMBAram pUrayitvA yaTAkramam /
   jitvā māragaṇān arhan kalāvapi jinobhave // SvayambhuP_3.136 //	jitvA mAra-gaNAn arhan kalO=-api jinoBave // SvayamBuj-_3.136 //
   evamasyā mahādevyāḥ ye ye śaraṇa āśritāḥ /	evam-asyAH mahAdevyAH ye ye SaraNaH ASritAH /
   yathāvidhi samārādhya bhajeyu bodhimānasāḥ // SvayambhuP_3.137 //	yaTAviDi samArADya Bajeyu boDi-mAnasAH // SvayamBuj-_3.137 //
   te te sarve mahāsattvāḥ pariśuddha trimaṇḍalāḥ /	te te sarve mahAsattvAH pariSudDa tri-maNxalAH /
   bodhisattvā mahābhijñā bhaveyu striguṇādhipāḥ // SvayambhuP_3.138 //	boDisattvAH mahA-aBijQAH Baveyu striguNa-aDipAH // SvayamBuj-_3.138 //
   kutrāpi te nagacchet durggatiñca kadācana /	kutra-api te naga=-Cet durggatiQca kadAcana /
   sadāsaṅgatisaṃjāta bhaveyuḥ śrī guṇāśrayāḥ // SvayambhuP_3.139 //	sadA-asaFgati-saMjAta BaveyuH SrI guNa-ASrayAH // SvayamBuj-_3.139 //
   yathābhivācchitaṃ dravyaṃ datvārthibhyo samādarāt /	yaTA-aBivAcCitam dravyam datvA-arTiByaH samAdarAt /
   yathākāmaṃ sukhaṃ bhuktvā sañcarerañjagaddhite // SvayambhuP_3.140 //	yaTAkAmam suKam BuktvA saQcareH-aQjagat-hite // SvayamBuj-_3.140 //
   tato viśuddhaśīlāste caturbrahma vihāriṇaḥ /	tatas viSudDa-SIlAH-te catur-brahma vihAriNaH /
   bodhisattvasamvaramādhāya saṃcareran sadā śubhe // SvayambhuP_3.141 //	boDisattva-samvaram-ADAya saMcareran sadA SuBe // SvayamBuj-_3.141 //
   tataste syu rmahāsattvāḥ saddharmma sukhalālasāḥ /	tatas-te syu rmahA-sattvAH sadDarmma suKa-lAlasAH /
   svaparātmahitādhārakṣāntivratasamāratāḥ // SvayambhuP_3.142 //	sva-para-Atma-hita-ADAra-kzAnti-vrata-samAratAH // SvayamBuj-_3.142 //
   tataste sadguṇādhārā vīryavanto vicakṣaṇāḥ /	tatas-te sat-guNa-ADArAH vIryavantaH vicakzaNAH /
   saddharmma sādhanodyuktā bhaveyu striguṇādhipāḥ // SvayambhuP_3.143 //	sadDarmma sADana-udyuktAH Baveyu striguNa-aDipAH // SvayamBuj-_3.143 //
   tataste sudhiyo dhīrā niḥkleśā vijitendriyāḥ /	tatas-te suDiyaH DIrAH niHkleSAH vijita-indriyAH /
   samādhi guṇasampannā bhaveyubodhiyoginaḥ // SvayambhuP_3.144 //	samADi guNa-sampannAH Baveyu-boDi-yoginaH // SvayamBuj-_3.144 //
   tataste vimalātmānaḥ sarvavidyā guṇādhipāḥ /	tatas-te vimala-AtmAnaH sarva-vidyAH guNa-aDipAH /
   prajñāśrī ratna saṃprāpto bhaveyuḥ sugatātmajāḥ // SvayambhuP_3.145 //	prajQA-SrI ratna saMprAptaH BaveyuH sugata-AtmajAH // SvayamBuj-_3.145 //
   tataśca te sahāsattvāḥ sarve sattvā hitotsukāḥ /	tatas-ca te saha-asattvAH sarve sattvAH hita-utsukAH /
   sarvāpāya vidhi prājñā bhaveyuśtriguṇādhipāḥ // SvayambhuP_3.146 //	sarva-apAya viDi prAjQAH BaveyuH-tri-guNa-aDipAH // SvayamBuj-_3.146 //
   tataste bodhisaṃbhāra praṇidhiratnasāgarāḥ /	tatas-te boDi-saMBAra praNiDi-ratna-sAgarAH /
   sarvasattvahitaṃ kṛtvā saṃcareraṃ sadāśubhe // SvayambhuP_3.147 //	sarva-sattva-hitam kRtvA saMcareram sadA-aSuBe // SvayamBuj-_3.147 //
   tataśca te mahābhijñāḥ bhadraśrī satguṇānvitāḥ /	tatas-ca te mahA-aBijQAH BadraSrI sat-guNa-anvitAH /
   valiṣṭhā duṣṭa jetāro bhaveyu stribhaveśvarāḥ // SvayambhuP_3.148 //	valizWAH duzwa jetAraH Baveyu stri-Bava-ISvarAH // SvayamBuj-_3.148 //
   tataste trividhāṃ bodhimāsādya bhadracāriṇaḥ /	tatas-te triviDAm boDim-AsAdya BadracAriNaH /
   sambodhijñānasadrantasamṛddhāḥ syu rmunīśvarāḥ // SvayambhuP_3.149 //	samboDi-jQAna-sadranta-samRdDAH syu rmuni-ISvarAH // SvayamBuj-_3.149 //
   tataste sugatāḥ buddhāḥ daśabhūmīśvarājināḥ /	tatas-te sugatAH budDAH daSa-BUm-i-ISvara-ajinAH /
   bodhimārge pratiṣṭhāpya kūryuḥ sarvānsudharmmiṇaḥ // SvayambhuP_3.150 //	boDi-mArge pratizWApya kUryuH sarvAn-suDarmmiNaH // SvayamBuj-_3.150 //
   evaṃ dharmamayaṃ kṛtvā sarvatra bhuvaneṣvapi /	evam Darma-mayam kRtvA sarvatra Buvanezu-api /
   sunivṛrtipadaṃ prāpya saṃprayāyurjinālayaṃ // SvayambhuP_3.151 //	su-nivRrti-padam prApya saMprayAyuH-jina-Alayam // SvayamBuj-_3.151 //
   evamasyā mahādevyā bhajano hūtamuktamaṃ /	evam-asyAH mahAdevyA BajanaH hUtam-uktamam /
   puṇyaṃ mahattaraṃ siddhaṃ sambuddhapadasādhanaṃ // SvayambhuP_3.152 //	puNyam mahattaram sidDam sambudDa-pada-sADanam // SvayamBuj-_3.152 //
   iti satyaṃ samākhyātaṃ sarvai rapi munīśvaraiḥ /	iti satyam samAKyAtam sarvEH rapi muni-ISvarEH /
   vijñāyāsyā mahādevyā bhajadhvaṃ śaraṇe sthitā // SvayambhuP_3.153 //	vijQAya-asyAH mahAdevyA BajaDvam SaraNe sTitAH // SvayamBuj-_3.153 //
   asyāpi dharma dhātauśca bhajanodbhūtamuktamaṃ /	asya-api Darma DAtOH-ca Bajana-udBUta-m-uktam-am /
   puṇyaṃ mahattaraṃ siddhaṃ sambuddhapadasādhanaṃ // SvayambhuP_3.154 //	puNyam mahattaram sidDam sambudDa-pada-sADanam // SvayamBuj-_3.154 //
   asyāpi mañjudevasyaḥ bhajanod bhūtamuktamaṃ /	asya-api maQjudevasyaH Bajanot BUta-m-uktamam /
   puṇyaṃ mahattaraṃ siddhaṃ sambuddhapadasādhanaṃ // SvayambhuP_3.155 //	puNyam mahattaram sidDam sambudDa-pada-sADanam // SvayamBuj-_3.155 //
   matveti yadi vo vāṃcchā vidyate saugate pade /	matvA-iti yadi vaH vA-aMcCA vidyate sOgate pade /
   sarve yūyaṃ samādhāya bhajatāntra jinālaye // SvayambhuP_3.156 //	sarve yUyam samADAya Bajata-antra jina-Alaye // SvayamBuj-_3.156 //
   khagānanāsyāyā mahādevyāḥ śaraṇe ca samāśritāḥ /	Kaga-AnanAsyAyAH mahAdevyAH SaraNe ca samASritAH /
   dhyātvā smṛtvā samuccārya nāmāpi bhajatābhavaṃ // SvayambhuP_3.157 //	DyAtvA smRtvA samuccArya nAma-api BajatA-aBavam // SvayamBuj-_3.157 //
   ya eṣāṃ śaraṇe sthitvā dhyātvā smṛtvā samāhitāḥ /	yaH ezAm SaraNe sTitvA DyAtvA smRtvA samAhitAH /
   nāmāpi samudāhṛtya bhajanti sarvadābhave // SvayambhuP_3.158 //	nAma-api samudAhRtya Bajanti sarvadA-aBave // SvayamBuj-_3.158 //
   te sabhadrā nagacchanti durggatiṃ ca kadācana /	te saBadrAH nagacCanti durggatim ca kadAcana /
   sadā sadgati saṃjātā bhaveyuḥ śrī guṇāśrayāḥ // SvayambhuP_3.159 //	sadA sat-gati saMjAtAH BaveyuH SrI guNa-ASrayAH // SvayamBuj-_3.159 //
   bodhisattvā mahāsattvā saddharma bodhi cāriṇaḥ /	boDisattvAH mahAsattvA sadDarma boDi cAriNaH /
   sarvasattva hitodyuktā bhaveyuḥ sugatātmajāḥ // SvayambhuP_3.160 //	sarva-sattva hita-udyuktAH BaveyuH sugata-AtmajAH // SvayamBuj-_3.160 //
   evanteṣāṃ mahatsaukhyaṃ bhadraśrī sadguṇānvitaṃ /	evantezAm mahat-sOKyam BadraSrI sat-guNa-anvitam /
   sarvadāpi nirutpātaṃ pravarktate samāhitaḥ // SvayambhuP_3.161 //	sarvadA-api nirutpAtam pravarktate samAhitaH // SvayamBuj-_3.161 //
   daivotpātabhayanteṣāṃta vidyate samantataḥ /	dEva-utpAta-Bayanta-IzAMta vidyate samantataH /
   yaktāndṛṣṭvā surāḥ sarve rakṣantīndrādayomudā // SvayambhuP_3.162 //	yaktAn-dRzwvA surAH sarve rakzanti-indrAt-ayaH-mudA // SvayamBuj-_3.162 //
   agnyutpātaṃbhayaṃ teṣāṃ vidyate na kadācana /	agni-utpAtaMBayam tezAm vidyate na kadAcana /
   yat tāndṛṣṭvā prasīdanto rakṣeyurvahnayaḥ sadā // SvayambhuP_3.163 //	yat tAn-dRzwvA prasIdantaH rakzeyuH-vahnayaH sadA // SvayamBuj-_3.163 //
   akāla maraṇād bhītisteṣānnavidyate kvacit /	akAla maraNAt BItiH-tezAn-navidyate kvacid /
   yadyamopi samalokya rakṣati tāṃ prasāditaḥ // SvayambhuP_3.164 //	yadi-amopi samalokya rakzati tAm prasAditaH // SvayamBuj-_3.164 //
   rākṣasasyābhayaṃ teṣāṃ vidyate na samantataḥ /	rAkzasasya-aBayam tezAm vidyate na samantataH /
   yad vāyavo 'pi tā vījya rakṣeyuḥ sarvadānugāḥ // SvayambhuP_3.165 //	yat vAyavaH api tAH vIjya rakzeyuH sarvadA-anugAH // SvayamBuj-_3.165 //
   yakṣasyāpi bhayaṃ teṣāṃ vidyate na sadā kvacit /	yakzasya-api Bayam tezAm vidyate na sadA kvacid /
   yakṣā samīkṣya rakṣeyuḥ sarve yakṣādhipā api // SvayambhuP_3.166 //	yakzA samIkzya rakzeyuH sarve yakza-aDipAH api // SvayamBuj-_3.166 //
   bhūtebhyo 'pi bhayanteṣāṃ vidyate na samantataḥ /	BUteByaH api BayantezAm vidyate na samantataH /
   yadīśānopi tānpaśya saṃrakṣetsaṃpramoditāḥ // SvayambhuP_3.167 //	yadi-ISAnopi tAn-paSya saMrakzet-saMpramoditAH // SvayamBuj-_3.167 //
   gandharvotpati to bhītisteṣānnavidyate kvacit /	ganDarva-utpati taH BItiH-tezAn-navidyate kvacid /
