   // atha prathama ullāsaḥ //	// aTa praTamaH ullAsaH //
   pādanakhadyutirgiribhuvaḥ sā vaḥ sadā trāyatām /	pAda-naKa-dyutiH-giri-BuvaH sA vaH sadA trAyatAm /
   spardhābandhasamṛddhayeva sudṛḍhaṃ rūḍhā yayā netrayoḥ kāntiḥ	sparDA-banDa-samRdDayA-iva su-dRXam rUXA yayA netrayoH kAntiH
   kokanadānukārasarasā sadyaḥ samutsāryate // 117 //	kokanada-anukAra-sarasA sadyas samutsAryate // 117 //
   atra bhāvasya rasaḥ /	atra BAvasya rasaH /
   atyuccāḥ paritaḥ sphuranti girayaḥ sphārāstathāmbhodhaya- stānetānapi	ati-uccAH paritas sPuranti girayaH sPArAH-taTA-amBoDaya stAn-etAn-api
   bibhratī kimapi na klāntāsi tubhyaṃ namaḥ /	biBratI kim-api na klAntA-asi tuByam namaH /
   āśvaryeṇa muhurmuhuḥ stutimiti prastaumi yāvadbhuva- stāvadbibhradimāṃ	ASvaryeNa muhur-muhur stutim-iti prastOmi yAvat-Buva stAvat-biBrat-imAm
   smṛtastava bhujo vācastato mudritāḥ // 118 //	smRtaH-tava BujaH vAcaH-tatas mudritAH // 118 //
   atra bhūviṣayo ratyākhyo bhāvo rājaviṣayasya ratibhāvasya /	atra BU-vizayaH rati-AKyaH BAvaH rAja-vizayasya rati-BAvasya /
   bandīkṛtya nṛpa dviṣāṃ mṛgadṛśastāḥ paśyatāṃ preyasāṃ śliṣyanti praṇamanti	bandIkRtya nRpa dvizAm mRga-dRSaH-tAH paSyatAm preyasAm Slizyanti praNamanti
   lānti paritaścumbanti tesainikāḥ /	lAnti paritas-cumbanti tesEnikAH /
   asmākaṃ sukṛtairdṛśornipatito 'syaucityavārāṃnidhe vidhvastā vipado	asmAkam sukRtEH-dRSoH-nipatitaH asi-a-Ocitya-vAra-aMniDe viDvastAH vipadaH-
   'khilāstaditi taiḥ pratyarthibhiḥ stūyase // 119 //	aKilAH-tat-iti tEH pratyarTiBiH stUyase // 119 //
   atra bhāvasya rasābhāsabhāvābhāsau prathamārdhadvitīyārdhadyotyau /	atra BAvasya rasa-ABAsa-BAva-aBAsO praTama-arDa-dvitIya-arDa-dyotyO /
   aviralakakavālakampanairbhrukuṭītarjanagarjanairmuhuḥ /	aviralaka-kavAla-kampanEH-BrukuwI-tarjana-garjanEH-muhur /
   dadṛśe tava vairiṇāṃ madaḥ sa gataḥ kvāpi tavekṣaṇe kṣaṇāt // 120 //	dadRSe tava vEriNAm madaH sa gataH kvApi tava-IkzaNe kzaNAt // 120 //
   atra bhāvasya bāvapraśamaḥ /	atra BAvasya bAva-praSamaH /
   sākaṃ kuraṅgakadṛśā madhupānalīlāṃ kartuṃ suhṛdbhirapi vairiṇi te pravṛtte	sAkam kuraFga-ka-dRSAH maDu-pAna-lIlAm kartum suhRdBiH-api vEriNi te pravRtte
   anyābhidhāyi tava nāma vibho gṛhītaṃ kenāpi tatra viṣamāmakarodavasthām //	anya-aBiDAyi tava nAma viBo gRhItam kena-api tatra vizamAm-akarot-avasTAm //
   atra trāsodayaḥ /	atra trAsa-udayaH /
   asoḍhā tatkālollasadasahabhāvasya tapasaḥ kathānāṃ viśrambeṣvatha ca	asoXA tad-kAla-ulla-sat-asahaBAvasya tapasaH kaTAnAm viSrambezu-aTa ca
   rasikaḥ śailaduhituḥ /	rasikaH SEla-duhituH /
   pramodaṃ vo diśyāt kapaṭabaṭuveṣāpanayane tvarāśaithilyābhyāṃ	pramodam vaH diSyAt kapawa-bawu-veza-apanayane tvarA-SETilyAByAm
   yugapadabhiyuktaḥ smaraharaḥ // 122 //	yugapad-aBi-yuktaH smara-haraH // 122 //
   atrāvegadhairyayoḥ saṃdhiḥ //	atra-Avega-DEryayoH saMDiH //
   paśyetkaśviccala capala re kā tvarāhaṃ kumārī hastālambaṃ vitara ha ha hā	paSyet-kaSviccala capala re kA tvarA-aham kumArI hasta-Alambam vitara ha ha hA
   vyutkramaḥ kvāsi yāsi /	vyutkramaH kva-asi yAsi /
   itthaṃ pṛthvīparivṛḍha bhavadviṣo 'raṇyavṛtteḥ kanyā kaṃcit	itTam pRTvI-parivRXa Bavat-vizaH araNya-vRtteH kanyA kaMcid-
   phalakisalayānyādadānābhidhatte // 123 //	Pala-kisalayAni-AdadAna-aBiDatte // 123 //
   atra śaṅkāsūyādhṛtismṛtiśramadainyavibodhautsukyānāṃ śabalatā /	atra SaFkA-asUyA-DRti-smRti-Srama-dEnya-viboDa-OtsukyAnAm Sabala-tA /
   ete ca rasavadādyalaṃkārāḥ /	ete ca rasavat-Adi-alaMkArAH /
   yadyapi bhāvodayabhāvasaṃdhibāvaśabalatvāni nālaṃkāratayā, uktāni tathāpi	yadi-api BAva-udaya-BAva-saMDi-bAvaSa-bala-tvAni na-alaMkAra-tayA, uktAni taTA-api
   kaśvit brūyādityevamuktam /	kaSvid brUyAt-iti-evam-uktam /
   yadyapi sa nāsti kaśvidviṣayaḥ, yatra dhvaniguṇībhūtavyaṅgyayoḥ	yadi-api sa na-asti kaSvit-vizayaH, yatra Dvani-guNIBUta-vyaFgyayoH
   svaprabhedādibhiḥ saha saṃkaraḥ saṃsṛṣṭirvā nāsti tathāpi pradhānyena	sva-praBeda-AdiBiH saha saMkaraH saMsRzwiH-vA na-asti taTA-api praDAnyena
   vyapadeśā bhavantīti kvacitkenacidvacavahāraḥ /	vyapadeSAH Bavanti-iti kvacid-kenacid-vacavahAraH /
   janasthāne bhrāntaṃ kanakamṛgatṛṣṇāndhitadhiyā vaco vaidehīti	janasTAne BrAntam kanaka-mRga-tRzNA-anDita-DiyA vacaH vEdehi-iti
   pratipadamudaśru pralapitam /	pratipadam-udaSru pralapitam /
   kṛtālaṃkābharturvadanaparipāṭīṣu ghaṭanā mayāptaṃ rāmatvaṃ kuśalavasutā na	kRta-alaMkA-BartuH-vadana-paripAwIzu GawanA mayA-Aptam rAma-tvam kuSala-va-sutA na
   tvadhigatā // 124 //	tu-aDigatAH // 124 //
   atra śabdaśaktimūlānuraṇanarūpo rāmeṇa sahopamānopameyabhāvo vācyāṅgatāṃ	atra Sabda-Sakti-mUla-anuraNana-rUpaH rAmeNa saha-upamAna-upameya-BAvaH vAcya-aFgatAm
   nītaḥ /	nItaH /
   āgatya saṃprati viyogavisaṃṣṭhulāṅgīmambhojinīṃ vsacidapi kṣapitatriyāmaḥ	Agatya saMprati viyoga-visaMzWulA-aFgIm-amBojinIm vsacit-api kzapita-triyAmaH
   etāṃ prasādayati pasya śanaiḥ prabhāte tanvaṅgi pādapatanena sahasraraśmiḥ	etAm prasAdayati pasya SanEs praBAte tanvaFgi pAda-patanena sahasraraSmiH
   (2) atra nāyakavṛttānto 'rthaśaktimūlo vasturūpo	(2) atra nAyaka-vRttAntaH arTa-Sakti-mUlaH vastu-rUpaH-
   nirapekṣaravikamalinīvṛttāntādhyāropeṇaiva sthitaḥ //	nirapekza-ra-vikamalinI-vRttAnta-aDyAropeNa-eva sTitaH //
   vācyasiddhyaṅgaṃ yathā bhramimaratimalasahṛdayatāṃ pralayaṃ mūrchāṃ tamaḥ	vAcya-sidDi-aFgam yaTA Bramim-arati-mala-sahRdaya-tAm pralayam mUrCAm tamaH
   śarīrasādam /	SarIra-sAdam /
   maraṇaṃ ca jaladabhujagajaṃ prasahya kurute viṣaṃ viyoginīnām // 126 //	maraNam ca jalada-Bujaga-jam prasahya kurute vizam viyoginInAm // 126 //
   atra hālāhalaṃ vyaṅgyaṃ bhujagarūpasya vācyasya siddhikṛt /	atra hAlAhalam vyaFgyam Bujaga-rUpasya vAcyasya sidDi-kRt /
   yathā vā gacchāmyacyuta darśanena bhavataḥ kiṃ tṛptirutpadyate kiṃ tvevaṃ	yaTA vA gacCAmi-acyuta darSanena BavataH kim tRptiH-utpadyate kim tu-evam
   vijanasthayorhatajanaḥ saṃbhāvayatyanyathā /	vijana-sTayoH-hata-janaH saMBAvayati-anyaTA /
   ityāmantraṇabhahgisūcitavṛthāvasthānakhedālasām āśliṣyan	iti-AmantraNa-Bahgi-sUcita-vRTa-avasTAna-Keda-alasAm ASlizyan
   pulakotkarāñcitatanurgopīṃ hariḥ pātu vaḥ // 127 //	pulaka-utkara-AQcita-tanuH-gopIm hariH pAtu vaH // 127 //
   (3) atrācyutādipadavyaṅgyamāmantraṇetyādivācyasya /	(3) atra-acyuta-Adi-pad-a-vyaFgyam-AmantraNa-ityAdi-vAcyasya /
   etaccaikatra, ekavaktṛgatatvena, aparatra	etat-ca-ekatra, ekavaktR-gata-tvena, aparatra
   bhinnavaktṛgatatvenetyanayorbhedaḥ /	Binna-vaktR-gata-tvena-iti-anayoH-BedaH /
   asphuṭaṃ yathā adṛṣṭe darsanotkaṇṭhā dṛṣṭe vicchedabhīrutā /	asPuwam yaTA adRzwe darsana-utkaNWA dRzwe vicCeda-BIru-tA /
   nādṛṣṭena na dṛṣṭena bhavatā labhyate sukham // 128 //	na-adRzwena na dRzwena BavatA laByate suKam // 128 //
   (4) atrādṛṣṭo yatā na bhavasi viyogabhayaṃ ca yathā notpadyate tathā kuryā	(4) atra-adRzwaH yatA na Bavasi viyoga-Bayam ca yaTA na-utpadyate taTA kuryA
   iti kliṣṭam /	iti klizwam /
   saṃdigdhaprādhānyaṃ yathā harastu kiṃcitparivṛttadhairyaśvandrodayārambha	saMdigDa-prADAnyam yaTA haraH-tu kiMcid-parivRtta-DErya-SvandrA-udaya-AramBa
   ivāmburāśiḥ /	iva-amburASiH /
   umāmukhe bimbaphalādharoṣṭhe vyāpārayāmāsa vilocanāni // 129 //	umA-muKe bimba-Pala-aDara-uzWe vyApArayAmAsa vilocanAni // 129 //
   (5) atra paricumbitumaicchaditi kiṃ pratīyamānam kiṃ vā vilocanavyāpāraṇaṃ	(5) atra paricumbitum-EcCat-iti kim pratIyamAnam kim vA vilocana-vyApAraNam
   vācyaṃ pradhānamiti saṃdehaḥ /	vAcyam praDAnam-iti saMdehaH /
   tulyaprādhānyaṃ yathā brāhnaṇātikramatyāgo bhavatāmeva bhūtaye /	tulya-prADAnyam yaTA brAhnaNa-atikrama-tyAgaH BavatAm-eva BUtaye /
   jāmadagnyastathā mitram anyathā durmanāyate // 130 //	jAmadagnyaH-taTA mitram anyaTA durmanAyate // 130 //
   (6) atra jāmadagnyaḥ sarveṣāṃ kṣatriyāṇāmiva rakṣasāṃ kṣaṇāt kṣayaṃ	(6) atra jAmadagnyaH sarvezAm kzatriyANAm-iva rakzasAm kzaNAt kzayam
   kariṣyatīni vyaṅgyasya vācyasya ca samaṃ prādhānyam /	karizyatIni vyaFgyasya vAcyasya ca samam prADAnyam /
   kākvākṣiptaṃ yathā mathnāmi kauravaśataṃ samare na kopāta duḥśāsanasya	kAkvAkziptam yaTA maTnAmi kOrava-Satam samare na kopAta duHSAsanasya
   rudhiraṃ na pibāmyurastaḥ //	ruDiram na pibAmi-urastaH //
   saṃcūrṇayāmi gadayā na suyodhanorū saṃdhiṃ karotu bhavatāṃ nṛpatiḥ paṇena	saMcUrNayAmi gadayA na suyoDana-UrU saMDim karotu BavatAm nRpatiH paNena
   (7) atra mathnāmyevetyādi vyaṅgyaṃ vācyaniṣedhasahabhāvena sthitam /	(7) atra maTnAmi-eva-ityAdi vyaFgyam vAcya-nizeDa-sahaBAvena sTitam /
   asundaraṃ yathā vāṇīrakuḍaṃguḍḍīṇasauṇikolāhalaṃ suṇaṃtīe /	asundaram yaTA vANIra-kuxaMguxxINa-sONi-kolAhalam suNaMtIe /
   gharakammavāvaḍāe bahue sīanti aṃgāiṃ // 132 //	Garakam-mavAvaxAe bahue sIanti aMgAim // 132 //
   (8) atra dattasaṃketaḥ kaśvillatāgahanaṃ praviṣṭa iti vyaṅgyāt	(8) atra datta-saMketaH kaSvid-latA-gahanam pravizwaH iti vyaFgyAt-
   sīdantyahgānīti vācyaṃ sacamatkāram //	sIdanti-ahgAni-iti vAcyam sa-camatkAram //
   (sū- 67)	(sU 67)
   eṣāṃ bhedā yathāyogaṃ veditavyāśva pūrvavat //46//	ezAm BedAH yaTAyogam veditavyASva pUrvavat //46//
   yathāyogamiti "vyajyante vastumātreṇa yadālaṃkṛtayastadā /	yaTAyogam-iti "vyajyante vastu-mAtreNa yadA-alaMkRtayaH-tadA /
   dhruvaṃ dhvanyaṅgatā tāsāṃ kāvyavṛttestadāśrayāt" iti dhvanikāroktadiśā	Druvam Dvani-aFga-tA tAsAm kAvya-vRtteH-tad-ASrayAt" iti DvanikAra-ukta-diSA
   vastumātreṇa yatrālaṃkāro vyajyate na tatra guṇībhūtavyaṅgyatvam /	vastu-mAtreNa yatra-alaMkAraH vyajyate na tatra guNIBUta-vyaFgya-tvam /
   (sū- 68)	(sU 68)
   sālaṃkārairdhvanestaiśva yogaḥ saṃsṛṣṭisaṃkaraiḥ /	sa-alaMkArEH-DvaneH-tESva yogaH saMsRzwi-saMkarEH /
   sālaṃkārairiti tairevālaṃkāraiḥ, alaṃkārayuktaiśva taiḥ /	sa-alaMkArEH-iti tEH-eva-alaMkArEH, alaMkAra-yuktA-eSva tEH /
   taduktaṃ dhvanikṛtā "sa guṇībhūtavyaṅgayaiḥ sālaṃkāraiḥ saha prabhedaiḥ	tat-uktam Dvani-kRtAH "sa guNIBUta-vyaFgayEH sa-alaMkArEH saha praBedEH
   svaiḥ /	svEH /
   saṃkarasaṃsṛṣṭibhyāṃ punarapyuddyotate bahudhā" //	saMkara-saMsRzwiByAm punar-api-uddyotate bahuDA" //
   iti /	iti /
   (sū- 69)	(sU 69)
   anyonyayogādevaṃ syādbhedasaṃkhyātibhūyasī //47//	anyonya-yogAt-evam syAt-Beda-saMKyA-ati-BUyasI //47//
   evam anena prakāreṇa, avāntarabhedagaṇane 'tiprabhūtatarā gaṇanā /	evam anena prakAreNa, avAntara-Beda-gaNane ati-praBUtatarA gaNanA /
   tathāhi--śṛṅgārasyaiva bhedaprabhedasaṇanāyāmānantyam /	taTA-hi---SRFgArasya-eva Beda-praBeda-saNanAyAm-Anantyam /
   kā gaṇanā tu sarvaiṣām /	kA gaNanA tu sarvA-ezAm /
   saṃkalanena punarasya dhvanestrayo bhedāḥ /	saMkalanena punar-asya DvaneH-trayaH BedAH /
   vyahgyasya trirūpatvāt /	vyahgyasya tri-rUpa-tvAt /
   tathāhi--kiṃcidvācyatāṃ sahate kiṃcicvanyathā /	taTA-hi---kiMcid-vAcya-tAm sahate kiMcicu-anyaTA /
   tatra vācyatāsahamavicitraṃ vicitraṃ ceti /	tatra vAcyatA-asaham-avicitram vicitram ca-iti /
   avicitraṃ vastumātram vicitraṃ tvalaṃkārarupam /	avicitram vastu-mAtram vicitram tu-alaMkAra-rupam /
   yadyapi prādānyena tadalaṃkāryam tathāpi brāhnaṇaśramaṇanyāyena tathocyate	yadi-api prAdAnyena tad-alaMkAryam taTA-api brAhnaNa-SramaNa-nyAyena taTA-ucyate
   rasādilakṣaṇastvarthaḥ svapne 'pi na vācyaḥ /	rasa-Adi-lakzaNaH-tu-arTaH svapne api na vAcyaH /
   sa hi rasādiśabdena śṛṅgārādiśabdena vābhidhīyeta /	sa hi rasa-Adi-Sabdena SRFgAra-Adi-Sabdena vA-aBiDIyeta /
   na cābhidhīyate /	na ca-aBiDIyate /
   tatprayoge 'pi vibāvādyāprayoge tasyāpratipattestadaprayoge 'pi	tad-prayoge api vibAvAdya-aprayoge tasya-apratipatteH-tad-aprayoge api
   vibhāvādiprayoge tasya pratipatteśvetyanvayavyatirekābhyāṃ	viBAva-Adi-prayoge tasya pratipatteSva-iti-anvaya-vyatirekAByAm
   vibhāvādyabhidhānadvāreṇaiva pratīyate, iti niśvīyate tenāsau vyahgya eva	viBAva-Adi-aBiDAna-dvAreNa-eva pratIyate, iti niSvIyate tena-asO vyahgyaH eva
   mukhyārthabādhādyabhāvānna punarlakṣaṇīyaḥ /	muKya-arTa-bADa-Adi-aBAvAt-na punar-lakzaNIyaH /
   arthāntarasaṃkramitātyantatiraskṛtavācyayorvastumātrarūpaṃ vyaṅgyaṃ vinā	arTa-antara-saMkramitA-atyanta-tiraskRta-vAcyayoH-vastu-mAtra-rUpam vyaFgyam vinA
   lakṣaṇaiva na bhavatīti prāk pratipāditam /	lakzaNA-eva na Bavati-iti prAk pratipAditam /
   śabdaśaktimūle tu, abhidhāyā niyantraṇenanānabhidheyasyārthāntarasya tena	Sabda-Sakti-mUle tu, aBiDAyAH niyantraNenana-anaBiDeyasya-arTa-antarasya tena
   sahopamāderalaṃkārasya ca nirvivādaṃ vyaṅgyatvam /	saha-upama-AdeH-alaMkArasya ca nirvivAdam vyaFgya-tvam /
   arthaśaktimūle 'pi veśeṣe saṃketaḥ kartuṃ na yujyate, iti sāmānyarūpāṇāṃ	arTa-Sakti-mUle api veSeze saMketaH kartum na yujyate, iti sAmAnya-rUpANAm
   padārthānāmākāṅkṣāsaṃnidhiyogyatāvaśātparasparasaṃsargo yatrāpadārtho 'pi	padArTAnAm-AkAFkzA-saMniDi-yogya-tA-vaSAt-paraspara-saMsargaH yatra-ApadArTaH api
   viśeṣarūpo vākyārthastatrābhihitānvayavāde kā vārtā	viSeza-rUpaH vAkya-arTaH-tatra-aBihita-anvaya-vAde kA vArtA
   vyaṅgyasyābhidheyatāyām /	vyaFgyasya-aBiDeya-tAyAm /
   ye 'pyāhuḥ "śabdabṛddhābhidheyāṃśva pratyakṣeṇātra paśyati /	ye api-AhuH "Sabda-bRdDa-aBiDeya-aMSva pratyakzeNa-atra paSyati /
   śrotuśva pratipannatvamanumānena ceṣṭayā //1//	SrotuSva pratipanna-tvam-anumAnena cezwayA //1//
   anyathānupapacyā tu bodhecchaktiṃ duyātmikām /	anyaTA-anupapacyA tu boDet-Saktim duyAtmikAm /
   arthāpacyāvabodheta saṃbandhaṃ tripramāṇakam //2//	arTa-apacya-avaboDeta saMbanDam tri-pramANakam //2//
   iti pratipāditadiśā "devadatta gāmānaya';	iti pratipAdita-diSA "devadatta gAm-Anaya-a;
   ityādyuttamavṛddhavākyaprayogāddeśāddeśāntaraṃ sāsnādimantamarthaṃ	ityAdi-uttama-vRdDa-vAkya-prayogAt-deSAt-deSa-antaram sAsnAdi-mantam-arTam
   madhyamavṛddhe nayati sati'; anenāsmādvākyādevaṃvidho 'rthaḥ pratipannaḥ';	maDyama-vRdDe nayati sati-a; anena-asmAt-vAkyAt-evaMviDaH arTaH pratipannaH-a;
   iti tacceṣṭayānumāya tayorakhaṇḍavākyavākyārthayorarthāpacyā	iti tad-cezwayA-anumAya tayoH-aKaNxa-vAkya-vAkya-arTayoH-arTa-apacyA
   vācyavācakabhāvalakṣaṇaṃ saṃbandhamavadhārya bālastatra vyutpadyate /	vAcya-vAcaka-BAva-lakzaNam saMbanDam-avaDArya bAlaH-tatra vyutpadyate /
   parataḥ "caitra gāmānaya devadatta, aśvamānaya devadatta gāṃ naya';	paratas "cEtra gAm-Anaya devadatta, aSvam-Anaya devadatta gAm naya-a;
   ityādivākyaprayoge tasya tasya śabdasya taṃ tamarthamavadhārayatīti,	ityAdi-vAkya-prayoge tasya tasya Sabdasya tam tam-arTam-avaDArayati-iti,
   anvayavyatirekābhyāṃ pravṛttinivṛttikāri vākyameva prayogayogyamiti	anvaya-vyatirekAByAm pravRtti-nivRtti-kAri vAkyam-eva prayoga-yogyam-iti
   vākyasthitānāmeva padānāpanvitaiḥ padārtheranvitānāmeva saṃketo gṛhyate,	vAkya-sTitAnAm-eva padAna-apanvitEH padArTeH-anvitAnAm-eva saMketaH gRhyate,
   iti viśiṣṭā eva padārthā vākyārthaḥ /	iti viSizwAH eva padArTAH vAkya-arTaH /
   na tu padārthānāṃ vaiśiṣṭyam /	na tu padArTAnAm vESizwyam /
   yadyapi vākyāntaraprayujyamānānyapi pratyabhijñāpratyayena tānyenaitāni	yadi-api vAkya-antara-prayujyamAnAni-api pratyaBijQA-pratyayena tAni-ena-etAni
   padāni niśvīyante, iti padārthāntaramātreṇānvitaḥ padārthaḥ	padAni niSvIyante, iti padArTa-antara-mAtreNa-anvitaH padArTaH
   saṃketagocaraḥ, tathāpi sāmānyāvacchādito viśeṣarūpa evāsau pratipadyate	saMketa-gocaraH, taTA-api sAmAnya-avacCAditaH viSeza-rUpaH eva-asO pratipadyate
   vyatiṣaktānāṃ padārthānāṃ tathābhūtatvādityanvitābhidhānavādinaḥ /	vyatizaktAnAm padArTAnAm taTABUta-tvAt-iti-anvita-aBiDAna-vAdinaH /
   teṣāmapi mate sāmānyaviśeṣarūpaḥ padārthaḥ saṃketaviṣaya ityativiśeṣabhūto	tezAm-api mate sAmAnya-viSeza-rUpaH padArTaH saMketa-vizayaH iti-ati-viSeza-BUtaH-
   vākyārthāntargato 'saṃketitatvādavācya eva yatra padārthaḥ pratipadyate	vAkya-arTa-antargataH asaMketita-tvAt-avAcyaH eva yatra padArTaH pratipadyate
   tatra dūre, arthāntarabhūtasya niḥśeṣacyutetyādau vidhyādeśvarcā /	tatra dUre, arTa-antara-BUtasya niHSeza-cyuta-ityAdO viDi-AdeSvarcAH /
   ananvito 'rtho 'bhihitānvaye padārthāntaramātreṇānvitastvanvitābhidhāne,	ananvitaH arTaH aBihita-anvaye padArTa-antara-mAtreNa-anvitaH-tu-anvita-aBiDAne,
   anvitaviśeṣastvavācya eva ityubhayanaye 'pyapadārtha eva vākyārthaḥ /	anvita-viSezaH-tu-avAcyaH eva iti-uBaya-naye api-apadArTaH eva vAkya-arTaH /
   yadapyucyate "naimittikānusāreṇa nimittāni kalpyante'; iti /	yat-api-ucyate "nEmittika-anusAreNa nimittAni kalpyante-a; iti /
   tatra nimittatvaṃ kārakatvaṃ jñāpakatvaṃ vā śabdasya prakāśakatvānna	tatra nimitta-tvam kAraka-tvam jQApaka-tvam vA Sabdasya prakASaka-tvAt-na
   kārakatvam /	kAraka-tvam /
   jñāpakatvaṃ tu-ajñātasya katham jñātatvaṃ ca saṃketenaiva sa cānvitamātre	jQApaka-tvam tu-a-jQAtasya kaTam jQAta-tvam ca saMketena-eva sa ca-anvita-mAtre
   evaṃ ca nimittasya niyatanimittatvaṃ yāvanna niśvitam tāvannaimittikasya	evam ca nimittasya niyata-nimitta-tvam yAvat-na niSvitam tAvat-nEmittikasya
   pratītireva katham iti "naimittikānusāreṇa nimittāni kalpyante';	pratItiH-eva kaTam iti "nEmittika-anusAreNa nimittAni kalpyante-a;
   ityavicāritābhidhānam /	iti-avicArita-aBiDAnam /
   ye tvabhidadhati "so 'yamiṣoriva dīrghadīrghataro vyāpāraḥ'; iti "yatparaḥ	ye tu-aBidaDati "saH ayam-izoH-iva dIrGa-dIrGataraH vyApAraH-a; iti "yat-paraH
   śabdaḥ sa śabdārthaḥ'; iti ca vidhirevātra vācya iti /	SabdaH sa Sabda-arTaH-a; iti ca viDiH-eva-atra vAcyaH iti /
   te 'pyatātparyajñāstātparyavācoyukterdevānāṃpriyāḥ /	te api-atAt-paryajQAH-tAtparyavAcaH-yukteH-devAnAMpriyAH /
   tathāhi "bhūtabhavyasamuccāraṇe bhūtaṃ bhavyāyopadiśyate'; iti	taTA-hi "BUta-Bavya-samuccAraNe BUtam BavyAya-upadiSyate-a; iti
   kārakapadārthāḥ kriyāpadārthenānvīyamānāḥ	kAraka-padArTAH kriyA-padArTena-anvIyamAnAH
   pradhānakriyānirvartakasvakriyābhisaṃbandhāt sādhyāyamānatāṃ prāpnuvanti /	praDAna-kriyA-nirvartaka-sva-kriyA-aBisaMbanDAt sADyAyamAna-tAm prApnuvanti /
   tataśvādagdhadahananyāyena yāvadaprāptaṃ tāvadaprāptaṃ tāvadvidhīyate /	tataSvAdagDa-dahana-nyAyena yAvat-aprAptam tAvat-aprAptam tAvat-viDIyate /
   yathā-ṛtvikpracaraṇe pramāṇāntarāt siddhe "lohitoṣṇīṣā ṛtvijaḥ pracaranti"	yaTA-Rtvij-pracaraNe pramANa-antarAt sidDe "lohita-uzNIzAH RtvijaH pracaranti"
   ityatra lohitoṣṇīṣatvamātraṃ vidheyam /	iti-atra lohita-uzNIza-tva-mAtram viDeyam /
   havanasyānyataḥ siddheḥ "dadhnā juhoti" ityādau dadhyādeḥ karaṇatvamātraṃ	havanasya-anyatas sidDeH "daDnA juhoti" ityAdO daDi-AdeH karaNa-tva-mAtram
   vidheyam //	viDeyam //
   kvacidubhayavidhiḥ /	kvacid-uBaya-viDiH /
   kvacittrividhirapi /	kvacid-triviDiH-api /
   yathā-"raktaṃ paṭaṃ vayaḥ'; ityādau, ekavidhirdvividhistrividhirvā tataśva	yaTA-"raktam pawam vayaH-a; iti-AdO, eka-viDiH-dvi-viDiH-triviDiH-vA tataSva
   "yadeva vidheyaṃ tatraiva tātparyam'; ityupāttasyaiva śabdasyārthe	"yat-eva viDeyam tatra-eva tAtparyam-a; iti-upAttasya-eva Sabdasya-arTe
   tātparyaṃ na tu pratītamātre /	tAtparyam na tu pratIta-mAtre /
   evaṃ hi "pūrvo dhāvati'; ityādāvaparādyarthe 'pi kvacittātparyaṃsyāt /	evam hi "pUrvaH DAvati-a; iti-AdO=-apara-Adi-arTe api kvacid-tAtparyaMsyAt /
   yattu "viṣaṃ bhakṣaya mā cāsya gṛhe bhuṅkthāḥ'; ityatra "etadgṛhe na	yat-tu "vizam Bakzaya mA ca-asya gRhe BuFkTAH-a; iti-atra "etad-gRhe na
   bhoktavyam'; ityatra tātparyamiti sa eva vākyārtha iti, ucyate tatra	Boktavyam-a; iti-atra tAtparyam-iti saH eva vAkya-arTaH iti, ucyate tatra
   cakāra ekavākyatāsūcanārthaḥ, na cākhyātavākyayordvayoraṅgāṅgibhāva iti	cakAraH eka-vAkyatA-sUcanA-arTaH, na ca-AKyAta-vAkyayoH-dvayoH-aFga-aFgiBAvaH iti
   viṣabhakṣaṇavākyasya suhṛdvākyatvenāṅgatā salpa nīyeti "viṣabhakṣaṇādapi	viza-BakzaNa-vAkyasya suhRd-vAkya-tvena-aFga-tA salpa nIyA-iti "viza-BakzaNAt-api
   duṣṭametadgṛhe bhojanamiti sarvathā māsya gṛhe bhuṅkthāḥ'; iti,	duzwam-etat-gRhe Bojanam-iti sarvaTA mA-asya gRhe BuFkTAH-a; iti,
   upāttaśabdārthe, eva tātparyam /	upAtta-Sabda-arTe, eva tAtparyam /
   yadi caśabdaśruteranantaraṃ yāvānartho labhyate tāvati śabdasyābhidhaiva	yadi caSabda-SruteH-anantaram yAvAn-arTaH laByate tAvati Sabdasya-aBiDA-eva
   vyāpāraḥ, tataḥ kathaṃ "brāhnaṇa putraste jātaḥ, brāhnaṇa kanyā te	vyApAraH, tatas kaTam "brAhnaNa putraH-te jAtaH, brAhnaNa kanyA te
   garbhiṇī'; ityādau harṣaśokādīnāmapi na vācyatvam kasmācca lakṣaṇā	garBiNI-a; ityAdO harza-Soka-AdInAm-api na vAcya-tvam kasmAt-ca lakzaNA
   lakṣaṇīye 'pyarthe dīrghadīrghatarābhidhāvyāpāreṇaiva pratītisiddheḥ /	lakzaNIye api-arTe dIrGa-dIrGatara-aBiDA-vyApAreNa-eva pratIti-sidDeH /
   kimitica śrutiliṅgavākyaprakaraṇasthānasamākhyānāṃ pūrvapūrvabalīyastvam	kim-iti-ca Sruti-liFga-vAkya-prakaraNa-sTAna-samAKyAnAm pUrva-pUrva-balIyaH-tvam
   ityanvitābhidhānavāde 'pi vidherapi siddhaṃ vyaṅgcatvam /	iti-anvita-aBiDAna-vAde api viDeH-api sidDam vyaFgca-tvam /
   kiṃ ca "kuru rucim'; iti padayorvaiparītye kāvyāntarvartini kathaṃ	kim ca "kuru rucim-a; iti padayoH-vEparItye kAvya-antar-vartini kaTam
   duṣṭatvam /	duzwa-tvam /
