   īśvarasiddhiḥ /	ISvara-sidDiH /
   tadyatsahakārīti bahuvrīhivṛttam / yādṛksahakāriviśiṣṭamityarthaḥ /	tat-yat-sahakArI-iti bahu-vrIhi-vRttam / yAdRS-saha-kAri-viSizwam-iti-arTaH /
   evamagre 'pi bodhyam / jananam - janakam / arthasannikarṣe tyādyupanayaḥ /	evam-agre api boDyam / jananam  janakam / arTa-sannikarze tyAdi-upanayaH /
   tānyapīti nigamanam / indriyāṇi nātītādigrāhīṇi, tadasannikṛṣṭatvāditi	tAni-api-iti nigamanam / indriyANi na-atIta-Adi-grAhINi, tat-asat-nikRzwa-tvAt-iti
   pratijñāhetū cānusandheyau / evaṃ yogipratyakṣasyabahirindriyajatve na	pratijQA-hetU ca-anusanDeyO / evam yogi-pratyakzasya-bahis-indriya-ja-tve na
   sarvārthagocaratvamityuktam / ataśceśvare tasya sādhanatvāyogaḥ phalitaḥ /	sarva-arTa-gocara-tvam-iti-uktam / atas-ca-ISvare tasya sADana-tva-ayogaH PalitaH /
   atha tasya manomātrajanyatve 'pi na tatpramāṇatvaṃ	aTa tasya manaH-mAtra-janya-tve api na tad-pramANa-tvam
   sarvārthadyagrāhakatvādevetyāha ' nāpyāntare' ti / ' āntaragocara' iti /	sarva-arTa-dya-grAhaka-tvAt-eva-iti-Aha a na-apyAntare-a ti / a Antara-gocara-a iti /
   karmadhārayo 'yam / abāhyaviṣaye sukhādāveva manaso	karmaDArayaH ayam / abAhya-vizaye suKa-AdO=-eva manasaH-
   bahirindrayamadvāhīkṛtya pratyakṣajanakatvādityarthaḥ / manasaḥ sākṣādeva	bahis-indrayama-dvAhIkRtya pratyakza-janaka-tvAt-iti-arTaH / manasaH sAkzAt-eva
   bāhyārthagrāhakatve doṣamāha ' niraṅkuśe' ti / niraṅkuśatvamatra	bAhya-arTa-grAhaka-tve dozam-Aha a niraFkuSe-a ti / niraFkuSa-tvam-atra
   bahirindriyanirapekṣatvam / evaṃ manasi hetumupapādya sādhyaṃ	bahis-indriya-nirapekza-tvam / evam manasi hetum-upapAdya sADyam
   prayogamukhataḥ sādhayati ' bhavatī ' ti / prayoga iti śeṣaḥ / na	prayoga-muKataH sADayati a Bavati-i a ti / prayogaH iti SezaH / na
   pravartatena grahaṇānuguṇapravṛttimat / tattantravṛttitvāt - bāhyārtheṣu	pravartatena grahaNa-anuguNa-pravRttimat / tad-tantra-vRtti-tvAt  bAhya-arTezu
   bahirindriyasahakāradvārakagrahaṇavyāpṛtimattvāt / tantraṃ - prayojakaṃ,	bahis-indriya-sahakAra-dvAraka-grahaNa-vyApRtimat-tvAt / tantram  prayojakaM,
   sahakāri vā / tattantraṃ yasyāḥ, evambhūtā vṛttiryasya tattattantravṛtti,	sahakAri vA / tat-tantram yasyAH, evamBUtA vRttiH-yasya tad-tad-tantra-vRtti,
   tasya bhāvastattvaṃ tasmāditi ca	tasya BAvaH-tattvam tasmAt-iti ca
   vyutpattiḥ / udāharaṇaṃ ' yadyatre ' ti / yadyatra kārye	vyutpattiH / udAharaNam a yadi-atre a ti / yadi-atra kArye
   yatsahakārisamavadhānādhīnajananavyāpāravat tattadasamavadhāne na	yad-sahakAri-samavaDAna-aDIna-janana-vyApAra-vat tad-tad-asamavaDAne na
   tatkāryajanakatāvat , yathā'lokasahakārikaṃ jakṣurnālokābhāve	tad-kArya-janaka-tA-vat , yaTA-aloka-sahakArikam jakzuH-na-Aloka-aBAve
   svārthaghaṭādicākṣuṣajanakamityarthaḥ / śaṅkate ' na ce ' ti /	sva-arTa-Gawa-Adi-cAkzuza-janakam-iti-arTaH / SaFkate a na ce a ti /
   ājanmasiddherapi prāktanatapaḥ phalatvātpṛthaganuktiratra /	Ajanma-sidDeH-api prAktana-tapaH Pala-tvAt-pRTak-anuktiH-atra /
   siddhauṣadhādisādhyaścendriyāṇāṃ pāṭavātiśayaḥ	sidDa-OzaDa-Adi-sADyaH-ca-indriyANAm pAwava-atiSayaH
   sūkṣmaviprakṛṣṭādigrahaṇasāmarthyalakṣaṇaḥ /	sUkzma-viprakRzwa-Adi-grahaNa-sAmarTya-lakzaNaH /
   samadhigataviṣayaniyamam - autsargikaṃ	samaDigata-vizaya-niyamam  Otsargikam
   vartamānayogyasannikṛṣṭārthamātragrāhakatvarūpaniyamam / apajahati -	vartamAna-yogya-sannikRzwa-arTa-mAtra-grAhaka-tva-rUpa-niyamam / apajahati -
   parityajanti / pariharati ' sāṃsiddhike ' ti /	parityajanti / pariharati a sAMsidDike a ti /
   karmapratibaddhasaṅkucitapravṛttisvābhāvikakaraṇaśaktivikāsakatvameva	karma-pratibadDa-saFkucita-pravRtti-svABAvika-karaNa-Sakti-vikAsaka-tvam-eva
   siddhauṣa dhādīnām , natvapūrvaśaktyādhāyakatvamityarthaḥ / nanvastvevam /	sidDOza DAdInAm , na-tu-apUrva-Sakti-ADAyaka-tvam-iti-arTaH / nanvastu-evam /
   tāvatā yogicakṣurādinā sarvārthāgrahaṇasya kimāyātam ? atrāha ' śakteśce '	tAvatA yogi-cakzuH-AdinA sarva-arTa-agrahaNasya kim-AyAtam ? atra-Aha a SakteH-ce a
   ti / cakṣuṣo hi svābhāvikaṃ sāmarthyaṃ rūparūpyādigrahaṇa eva, na tu	ti / cakzuzaH hi svABAvikam sAmarTyam rUpa-rUpya-Adi-grahaNaH eva, na tu
   yogādināpi rasādigrahaṇe sāmarthyaṃ tasya saṃbhavatītyarthaḥ / tathāca	yoga-AdinA-api rasa-Adi-grahaNe sAmarTyam tasya saMBavati-iti-arTaH / taTA-ca
   pāṭavātiśayāddhavīyo 'pi sūkṣmatamaṃ rūpaṃ gṛhṇātu nāma yogicakṣuḥ /	pAwava-atiSayAt-havIyaH api sUkzmatamam rUpam gRhNAtu nAma yogi-cakzuH /
   naitāvatātītādeḥ rasādervā tadgrāhakaṃ bhavediti bhāvaḥ / atra ca	na-etAvatA-atIta-AdeH rasa-AdeH-vA tad-grAhakam Bavet-iti BAvaH / atra ca
   nyāyamāha ' bhavatī' ti / anullaṅghitasīmā - anatikrāntasvamaryādaḥ /	nyAyam-Aha a BavatI-a ti / anullaFGita-sImA  anatikrAnta-sva-maryAdaH /
   maryādā ca cakṣuṣo rūpādiṣu caturṣu rūpasyaiva grāhakatvamiti / evaṃ	maryAdA ca cakzuzaH rUpa-Adizu caturzu rUpasya-eva grAhaka-tvam-iti / evam
   rasanādāvapi anusandheyam / ' dṛśyamāne ' ti / ayogināmapi	rasana-AdO=-api anusanDeyam / a dRSyamAne a ti / ayoginAm-api
   cākṣuṣatejomāndyaprakarṣābhyāṃ rūpādigrahaṇatāratamyaṃ hi dṛṣṭam / evameva	cAkzuza-tejaH-mAndya-prakarzAByAm rUpa-Adi-grahaNa-tAratamyam hi dRzwam / evam-eva
   yogicakṣustejaḥprakarṣo 'pi tato 'pyadhikagocaro 'natikrāntamaryāda eva	yogi-cakzuH-tejaH-prakarzaH api tatas api-aDika-gocaraH anatikrAnta-maryAdaH eva
   sidhyedityāśayaḥ / evamaindriyikatve yogijñānasya	siDyet-iti-ASayaH / evam-Endriyika-tve yogi-jQAnasya
   sarvārthādyagrāhakatvamupapādyānaindriyikatve 'pi tasya yathātvamata	sarva-arTa-Adya-grAhaka-tvam-upapAdya-anEndriyika-tve api tasya yaTAtvamata
   eveśvare pramāṇatvāsaṃbhavaṃ copapādayati ' bhāvane ' ti /	eva-ISvare pramANa-tva-asaMBavam ca-upapAdayati a BAvane a ti /
   bhāvanāprakarṣaprayante janma yasyeti bahuvrīhiḥ / viśadanirbhāsatve -	BAvanA-prakarza-prayante janma yasya-iti bahuvrIhiH / viSada-nirBAsa-tve -
   viśadaprakāśakatve - laukikaviṣayatānirūpakatve / prācyānubhavagocarāt -	viSada-prakASaka-tve  lOkika-vizaya-tA-nirUpaka-tve / prAcya-anuBava-gocarAt -
   pūrvānubhavaviṣayāt / adhyavasyataḥ - prakāśayataḥ /	pUrva-anuBava-vizayAt / aDyavasyataH  prakASayataH /
   pūrvānubhūtādanadhikaviṣayatve smṛtitvam / adhikaviṣayatve tu bhramatvam ,	pUrva-anuBUtAt-anaDika-vizaya-tve smRti-tvam / aDika-vizaya-tve tu Brama-tvam ,
   kāminībhāvayituḥ kāminaḥ purovartitvenāsatyāḥ kāminyāḥ	kAminI-BAvayituH kAminaH purovarti-tvena-asatyAH kAminyAH
   pratimānasyevetyarthaḥ / samuditāśayastvayam - anubhūtasya paunaḥpunyena	pratimAnasya-iva-iti-arTaH / samudita-ASayaH-tu-ayam  anuBUtasya pOnaHpunyena
   smṛtyabhyāsena saṃskārapracayaḥ saṃpadyate / tatparyante smṛtyabhyāse sati	smRti-aByAsena saMskAra-pracayaH saMpadyate / tad-paryante smRti-aByAse sati
   jāyamānā smṛtirevapratyakṣavadviśadaviṣayāvabhāsā bhavatīti	jAyamAnA smRtiH-eva-pratyakza-vat-viSada-vizaya-avaBAsA Bavati-iti
   pratyakṣasamānākāraṃ smaraṇameva cedyogipratyakṣaṃ vivakṣitam , tarhi	pratyakza-samAna-AkAram smaraNam-eva ced-yogi-pratyakzam vivakzitam , tarhi
   tasya pūrvānubhūtārthamātragocaratvānneśvaragocaratvam /	tasya pUrva-anuBUta-arTa-mAtra-gocara-tvAt-na-ISvara-gocara-tvam /
   sarvārthagrahaṇādisamarthasyeśvarasya pramāṇābhāvena prāgananubhūtatvāt /	sarva-arTa-grahaNa-Adi-samarTasya-ISvarasya pramANa-aBAvena prAk-ananuBUta-tvAt /
   smṛtitve ca yathārthānubhavatvalakṣaṇamajñātārthajñāpakatvalakṣaṇaṃ vā	smRti-tve ca yaTArTa-anuBava-tva-lakzaNam-ajQAta-arTa-jQApaka-tva-lakzaNam vA
   prāmāṇyaṃ tannārhatyeva / ata eva pramāṇaviśeṣapratyakṣarūpatvaṃ tasya na	prAmANyam tat-na-arhati-eva / atas eva pramANa-viSeza-pratyakza-rUpa-tvam tasya na
   tarāṃ ghaṭata iti / ' pratyakṣatve ' iti	tarAm GawataH iti / a pratyakza-tve a iti
   ślokārthopasaṃhāraḥ ' pratyakṣasya ve ' ti / viditatvaṃ - prasiddhatvam /	Sloka-arTa-upasaMhAraH a pratyakzasya ve a ti / vidita-tvam  prasidDa-tvam /
   ' na viśve ' ti / sarvasākṣātkartari sarvakartari sarvaniyantari ceśvare	a na viSve a ti / sarva-sAkzAt-kartari sarva-kartari sarva-niyantari ca-ISvare
   'smadādīnāṃ yogināṃ vendriyarūpaṃ pratyakṣaṃ na pramāṇaṃ - na	asmad-AdInAm yoginAm vA-indriya-rUpam pratyakzam na pramANam  na
   pramitijanakamityarthaḥ / nanu kevalasya bahirasvātantrye 'pi	pramiti-janakam-iti-arTaH / nanu kevalasya bahis-asvAtantrye api
   yogajaprakṛṣṭādṛṣṭasahakṛtasya tasya bāhyeṣvatīndriyeṣu traikālikeṣu	yoga-ja-prakRzwa-adRzwa-sahakRtasya tasya bAhyezu-atIndriyezu trEkAlikezu
   cārtheṣu pravṛttiḥ saṃbhavennāma / tat prakṛṣṭādṛṣṭasahakṛtamanojanyameva	ca-arTezu pravRttiH saMBavet-nAma / tat prakRzwa-adRzwa-saha-kRta-manaH-janyam-eva
   pratyakṣaṃ yogināṃ syādīśvare pramāṇam / pratyakṣasya	pratyakzam yoginAm syAt-ISvare pramANam / pratyakzasya
   vartamānamātragrāhitvamiti vyavasthā cāyogipratyakṣaikagocareti cet ; atra	vartamAna-mAtra-grAhi-tvam-iti vyavasTA ca-ayogi-pratyakza-eka-gocara-iti ced ; atra
   brūmaḥ - prakṛṣṭādṛṣṭaviśeṣasahakārādapi prāmāṇikasarvārthagrahaṇameva	brUmaH  prakRzwa-adRzwa-viSeza-sahakArAt-api prAmANika-sarva-arTa-grahaNam-eva
   bhavennāma/ sarveśvare caikasmin na pramāṇaṃ kiñcit / ato na	Bavet-nAma/ sarveSvare ca-ekasmin na pramANam kiQcid / atas na
   tatsiddhiryogajapratyakṣeṇāpīti hārdamākṣeptuḥ / etena	tad-sidDiH-yoga-ja-pratyakzeNa-api-iti hArdam-AkzeptuH / etena
   paramātmadhyānajanitameva paramātmaviṣayamānasapratyatraṃ pramāṇaṃ	paramAtma-DyAna-janitam-eva paramAtma-vizaya-mAnasa-pratyatram pramANam
   tasminnityapi nirastam / paramātmano dhyānaṃ hi tajjñānamantarā na	tasmin=-iti-api nirastam / paramAtmanaH DyAnam hi tat-jQAnam-antarA na
   saṃbhavati / taccāntato gatvā śāstrajanitameveti vaktavyam / śāstrasya ca	saMBavati / tat-ca-antataH gatvA SAstra-janitam-eva-iti vaktavyam / SAstrasya ca
   kāryaparasya na tatra tātparyam / śrutipauruṣeyatvanaye	kArya-parasya na tatra tAtparyam / Sruti-pOruzeya-tva-naye
   punaranyonyasaṃśrayaḥ spaṣṭa eva īśvarasiddhau	punar-anyonya-saMSrayaH spazwaH eva ISvara-sidDO
   taduktatvācchāstraprāmāṇyasiddhiḥ, tatsiddhau ceśvarasiddhiriti / anumānaṃ	tad-ukta-tvAt-SAstra-prAmANya-sidDiH, tad-sidDO ca-ISvara-sidDiH-iti / anumAnam
   ca na pramāṇaṃ tatretyanantarameva vakṣyate / tathā	ca na pramANam tatra-iti-anantaram-eva vakzyate / taTA
   ceśvarapramiterevābhāvāttanmūlataddhyānādyasiddhireveti / evaṃ	ca-ISvara-pramiteH-eva-aBAvAt-tad-mUla-tad-DyAna-Adi-asidDiH-eva-iti / evam
   laukikayaugikabhedena dvividhasya pratyakṣasyeśvare na pramāṇatvamityuktam	lOkika-yOgika-Bedena dviviDasya pratyakzasya-ISvare na pramANa-tvam-iti-uktam
   kimasya tasminnāyattaṃ kiṃ nu janmāthavā sthitiḥ /	kim-asya tasmin=-Ayattam kim nu janma-aTavA sTitiH /
   pravṛttirvā'dyayostāvat sādhyahīnaṃ nidarśanam // 6 //	pravRttiH-vA-adyayoH-tAvat sADya-hInam nidarSanam // 6 //
   na khalu śarīramekacetanādhīnotpattisthiti / ye hi	na Kalu SarIram-eka-cetanA-aDIna-utpatti-sTiti / ye hi
   yaddehādhīnasukhaduḥkhopabhogabhāginaḥ, bhavati hi taducitādṛṣṭaśālināṃ	yat-deha-aDIna-suKa-duHKa-upaBoga-BAginaH, Bavati hi tad-ucita-adRzwa-SAlinAm
   sarveṣāmeva teṣāṃ taddehina iva tadutpattisthitinimittatvam / api ca	sarvezAm-eva tezAm tad-dehinaH iva tad-utpatti-sTiti-nimitta-tvam / api ca
   śarīrāvayavinaḥ svāvayavasamavāyalakṣaṇā	SarIra-avayavinaH sva-avayava-samavAya-lakzaNA
   sthitiravayavavyatiṣaṅgaviśeṣādṛte na cetayitāraṃ paramapekṣate / yā	sTitiH-avayava-vyatizaFga-viSezAt-Rte na cetayitAram param-apekzate / yA
   punastadapekṣiṇī prāṇanalakṣaṇā sthitiḥ, na sā pakṣīkṛte kṣityādau	punar-tad-apekziNI prANana-lakzaNA sTitiH, na sA pakzIkRte kziti-AdO
   sambhavatīti sthitimapi naikarūpāṃ pakṣasapakṣānuyāyinīmudīkṣāmahe /	samBavati-iti sTitim-api na-eka-rUpAm pakzasa-pakza-anuyAyinIm-udIkzAmahe /
   ekacetanādhīnapravṛttitve tu	eka-cetanA-aDIna-pravRtti-tve tu
   prabalabahujanasarabhasaprayatnapracālyairupalataru rathādibhirvyabhicāraḥ	prabala-bahu-jana-saraBasa-prayatna-pracAlyEH-upalataru raTa-AdiBiH-vyaBicAraH
   / ārabdhatvādeva caitatsādhyasiddhāvadhikamidamupādāna viśeṣavacanam/	/ ArabDa-tvAt-eva ca-etat-sADya-sidDO=-aDikam-idam-upAdAna viSeza-vacanam/
   anenānumānenābhimateśvarākāraviśeṣasiddhiprakāraṃ viśadayati 'sarvam' iti	anena-anumAnena-aBimata-ISvara-AkAra-viSeza-sidDi-prakAram viSadayati asarvam-a iti
   / upādānaṃ-samavāyikāraṇam / upakaraṇaṃ-sahakārarikāraṇam /	/ upAdAnaM-samavAyi-kAraNam / upakaraNaM-saha-kArari-kAraNam /
   saṃpradānaṃ-kāryaṃ yadbhogārthaṃ sṛṣṭaṃ, sa upabhoktā /	saMpradAnaM-kAryam yat-Boga-arTam sRzwaM, saH upaBoktA /
   prayojanaṃ-kriyamāṇavastusādhyaṃ phalam / upādānādīnāṃ saṃvedī-sākṣātkartā	prayojanaM-kriyamANa-vastu-sADyam Palam / upAdAna-AdInAm saMvedI--sAkzAtkartA
   yaścetanaḥ tena nimittahetunā kriyamāṇaṃ dṛṣṭaṃ ghaṭādikāryamityarthaḥ /	yaH-cetanaH tena nimitta-hetunA kriyamANam dRzwam Gawa-Adi-kAryam-iti-arTaH /
   maṇiko-mahāghaṭaḥ / etadvākyena kāryatvasya sakartṛkatvavyāpyatvaṃ	maNi-ko--mahA-GawaH / etad-vAkyena kAryatvasya sa-kartRka-tva-vyApya-tvam
   pratipāditaṃ bhavati / upādānādigocarāparokṣajñāna cikīrṣākṛtimattvaṃ	pratipAditam Bavati / upAdAna-Adi-gocara-aparokza-jQAna cikIrzA-AkRtimat-tvam
   kartṛtvamatra vivakṣitam / upanayanimane 'kāryaṃ ce'ti / vimatipadaṃ	kartR-tvam-atra vivakzitam / upanaya-nimane akAryam ce-ati / vimati-padam
   sakartṛkatvākartṛkatvavipratipattiviṣayībhūtam / anena	sa-kartRka-tva-akartRka-tva-vipratipatti-vizayIBUtam / anena
   sandigdhasādhyakatvalakṣaṇaṃ pakṣatvamavanyāderupapannamiti sūcitam /	sandigDa-sADyakatva-lakzaNam pakza-tvam-avanya-AdeH-upapannam-iti sUcitam /
   svarūpāsiddhimāśaṅkya pariharati 'na ce' ti / pakṣe mahyādāviti śeṣaḥ /	svarUpa-asidDim-ASaFkya pariharati ana ce-a ti / pakze mahyAdO=-iti SezaH /
   ākṛtimattvādibhiḥ kṣityādeḥ kāryatvasiddhiriti bhāvaḥ /	AkRtimat-tva-AdiBiH kziti-AdeH kAryatva-sidDiH-iti BAvaH /
   pakṣadharmatābalātkartṛviśeṣasiddhiriti pratipādanārthaṃ	pakza-Darma-tA-balAt-kartR-viSeza-sidDiH-iti pratipAdana-arTam
   kāryasāmānyopādānādi nirdhārayati 'ihe' ti /	kArya-sAmAnya-upAdAna-Adi nirDArayati aihe-a ti /
   avayavatvāsamānādhikaraṇāvayavitvāmantyāvayavitvam / antyāvayavita	avayava-tva-asamAna-aDikaraNa-avayavi-tva-Amantya-avayavi-tvam / antyAvayavita
   ārabhyādyāvayavidvyaṇukamabhivyāpya sarvamavayavikāryadravyajāta	AraBya-adya-avayavidvi-aNukam-aBivyApya sarvam-avayavi-kArya-dravya-jAta
   mavayavasaṃyogaviśeṣajanitaṃ prasiddhamityarthaḥ / uttarottarāpekṣayā	mavayava-saMyoga-viSeza-janitam prasidDam-iti-arTaH / uttarottara-apekzayA
   pūrvapūrvakārye 'vayavālpatvaṃ 'kramanihīyamāne'-tyucyate /	pUrva-pUrva-kArye avayava-alpa-tvam akrama-nihIyamAne-a-ti-ucyate /
   avayavasaṃśleṣaviśeṣajanitatvaṃ ca kvacitpratyakṣādanumānāccakvacit	avayava-saMSleza-viSeza-janita-tvam ca kvacid-pratyakzAt-anumAnAt-cakvacid-
   siddhamiti bhāvaḥ / antyepādanatvam avayavitvāsamānādhikaraṇāvayavatvam /	sidDam-iti BAvaH / antyepAdana-tvam avayavi-tva-asamAna-aDikaraNa-avayava-tvam /
   caturvidhāḥ paramāṇavaḥ pṛthivījalajvalanapavanaparamāṇavaḥ /	caturviDAH paramANavaH pRTivI-jala-jvalana-pavana-paramANavaH /
   prapañcasya-kāryadravyaprapañcasya / 'teṣā' miti /	prapaQcasya--kArya-dravya-prapaQcasya / atezAa miti /
   paramāṇūnāmādiparispandaḥsargādyakālīnārambhakasaṃyogajanakakriyālakṣaṇaḥ	paramANU-nAm-Adi-parispandaH-sarga-AdyakAlIn-AramBaka-saMyoga-janaka-kriyA-lakzaNaH
   adṛṣṭa vadātmasaṃyogarūpāsamavāyihetuja ityadṛṣṭānāmupakaraṇatvamityarthaḥ	adRzwa vada-Atma-saMyoga-rUpA-samavAyi-hetu-jaH iti-adRzwAnAm-upakaraNa-tvam-iti-arTaH
   / ādyaparispandasyādṛṣṭahetukatvaṃ ca kaṇādamuninā sūtritam	/ Adya-parispandasya-adRzwa-hetuka-tvam ca kaNAda-muninA sUtritam
   'agrerūrdhvajvalanaṃ vāyostiryakpavanamaṇūnāṃ manasaścādyaṃ	aagreH-UrDva-jvalanam vAyoH-tiryak-pavanam-aNUnAm manasaH-ca-Adyam
   karmādṛṣṭakāritam' iti / 'prayojana'miti /	karma-adRzwa-kAritam-a iti / aprayojana-am-iti /
   sṛṣṭiprayojanamanavadhirjīvopakāra prakārabhedaḥ	sRzwi-prayojanam-anavaDiH-jIva-upakAra prakAra-BedaH
   sṛjyapadārthanirvāhyanānāvidhārthakriyārūpaḥ nānāvidhabhoganiṣpādana	sRjya-padArTa-nirvAhya-nAnAviDa-arTa-kriyA-rUpaH nAnAviDa-Boga-nizpAdana
   lakṣaṇo 'saṅkhyāta ityarthaḥ/ sampradānaṃ ca sākṣātparamparayā vā	lakzaNaH asaFKyAtaH iti-arTaH/ sampradAnam ca sAkzAt-paramparayA vA
   kāryapadārthaniṣpāditaṃ bhogamanubhavanto jīvarāśaya ityāha 'tadupabhuja'	kArya-padArTa-nizpAditam Bogam-anuBavantaH jIvara-ASayaH iti-Aha atat-upaBuja-a
   iti / evaṃ	iti / evam
   sarvavidhaparamāṇusarvajīvādṛṣṭasarvajīvopakāraprakārarūpanikhila	sarvaviDa-paramANu-sarva-jIvA-dRzwa-sarva-jIva-upakAra-prakAra-rUpa-niKila
   jagadupādānopakaraṇa- prayojanasākṣātkartṛtvādi jīveṣi na sa bhavatīti	jagat-upAdAna-upakaraNa prayojana-sAkzAtkartR-tva-Adi jIvezi na sa Bavati-iti
   kaimutikanyāyena sādhayituṃ svīyādṛṣṭāsākṣātkartṛtvamapi na teṣvityāha 'na	kEmutika-nyAyena sADayitum svIyA-dRzwa-asAkzAt-kartR-tvam-api na tezu-iti-Aha ana
   cāmī' iti / tadatirekī-jīvavilakṣaṇaḥ /	cAmI-a iti / tad-atirekI--jIva-vilakzaNaH /
   'yatsiddhāvanyaprakaraṇasiddhiḥ so 'dhikaraṇasiddhāntaḥ 'iti nyāyasūtram /	ayat-sidDO=-anya-prakaraNa-sidDiH saH aDikaraNa-sidDAntaH aiti nyAya-sUtram /
   yatsiddhimantarā prakṛtor'thoṃ na sidhyati, tathābhūtaḥ	yat-sidDim-antarA prakRtoH-aTom na siDyati, taTABUtaH
   prakṛtārthasiddhernāntarīyakatayā sidhyannartho 'dhikaraṇasiddhāntasiddha	prakRta-arTa-sidDeH-na-antarIyaka-tayA siDI-an=-arTaH aDikaraNa-sidDAnta-sidDa-
   ityarthaḥ / tathācanikhilārthasākṣātkāritvādyantarā kartṛḥ kṣityādeḥ	iti-arTaH / taTA-ca-niKila-arTa-sAkzAt-kAri-tva-Adi-antarA kartRH kziti-AdeH
   sakartṛkatvarūpaḥ prakṛtārtho na sidhyatīti viśiṣṭakartṛlābho	sa-kartRka-tva-rUpaH prakRta-arTaH na siDyati-iti viSizwa-kartR-lABaH-
   'dhikaraṇasiddhāntanayeneti phalitam /	aDikaraNa-sidDa-antanayena-iti Palitam /
   tārkikābhimatamīśvarānumānaprakāramimaṃ nirasyanti mīmāṃsakāḥ 'tadida'	tArkikA-aBimatam-ISvara-anumAna-prakAram-imam nirasyanti mImAMsakAH atadida-a
   mityādinā / dṛṣṭājātīyasyaiva sādhakamanumānaṃ, na	mityAdinA / dRzwA-ajAtIyasya-eva sADakam-anumAnaM, na
   tvatīndriyārthasyetyanumānavṛttamajānataḥ	tu-ati-indriya-arTasya-iti-anumAna-vRttam-ajAnataH
   svabuddhyatprekṣitāvyavasthitatarkābhāsa	sva-budDyat-prekzitA-vyavasTita-tarka-ABAsa
   mūlamidaṃvilakṣaṇapuruṣasādhanamityarthaḥ / tarkasvabhāvānabhijñasya	mUlam-idaMvilakzaNa-puruza-sADanam-iti-arTaH / tarka-svaBAva-anaBijQasya
   tārkikatvavyapadeśaḥsuśobhana iti copahāso garbhitaḥ / paroktasya	tArkika-tva-vyapadeSaH-su-SoBanaH iti ca-upahAsaH garBitaH / para-uktasya
   tarkasyābhāsatvamupapādayitumupakramate 'tathāhī' ti / 'kimidam' iti /	tarkasya-ABAsa-tvam-upapAdayitum-upakramate ataTAhI-a ti / akim-idam-a iti /
   tanumuvanādeḥ-piṇḍabrahmāṇḍādeḥ / piṇḍo dehaḥ / tathāca purāṇaratne	tanum-uvana-AdeH--piNxa-brahmANxa-AdeH / piNxaH dehaH / taTA-ca purANa-ratne
   'piṇḍaḥ pṛthagyataḥ puṃsaḥ śiraḥpāṇyādilakṣaṇaḥ'iti / pakṣasapakṣayoriti	apiNxaH pRTak-yatas puMsaH SiraH-pANi-Adi-lakzaNaH-aiti / pakza-sa-pakzayoH-iti
   vār'thaḥ /	vAr-aTaH /
   ekacetanāyattatvaṃ jagato vikalpya dūṣayati 'kimasye' ti kārikayā /	eka-cetanA-Ayatta-tvam jagataH vikalpya dUzayati akim-asye-a ti kArikayA /
   āyattaṃ-kāryatvena saṃbaddham / ekacetanahetukatvaṃ kiṃ bhuvanajanmanaḥ	AyattaM--kArya-tvena saMbadDam / eka-cetana-hetuka-tvam kim Buvana-janmanaH
   sādhyate, uta bhuvanasthiteḥ, āhosvidbhuvanapravṛtteḥ ? ādyayoḥ	sADyate, uta Buvana-sTiteH, Ahosvit-Buvana-pravRtteH ? AdyayoH
   kalpayoranvayadṛṣṭānto nīrogadehaḥ sādhyavikala ityarthaḥ / tathāca	kalpayoH-anvaya-dRzwAntaH nIroga-dehaH sADya-vikalaH iti-arTaH / taTA-ca
   vyāptyasiddhirvyabhicāraśceti bhāvaḥ // 6 //	vyApti-asidDiH-vyaBicAraH-ca-iti BAvaH // 6 //
   cetanādhīnatāmātrasādhane siddhasādhyatā /	cetana-aDIna-tA-mAtra-sADane sidDa-sADya-tA /
   cetanairbhoktṛbhirbhogyaḥ karmabhirjanyate hi naḥ // 7 //	cetanEH-BoktRBiH-BogyaH karmaBiH-janyate hi naH // 7 //
   yuktaṃ caitat-yadubhayavādisiddhānāmeva cetanānāṃ kartṛtvābhyupagamaḥ	yuktam ca-etat-yat-uBaya-vAdi-sidDAnAm-eva cetanAnAm kartR-tva-aByupagamaH
   lāghavāt / na copādānādyanabhijñatayā tatpratikṣepaḥ /	lAGavAt / na ca-upAdAna-Adi-anaBijQa-tayA tad-pratikzepaH /
   dṛṣṭānte sādhyaśūnyatvamupapādayati 'na khalvi' tyādinā /	dRzwAnte sADya-SUnya-tvam-upapAdayati anaH Kalvi-a tyAdinA /
   svaśarīrotpattisthityoḥ svasyāpyadṛṣṭadvārā hetutvaṃ vācyam /	sva-SarIra-utpatti-sTityoH svasya-api-adRzwa-dvArA hetu-tvam vAcyam /
   taccharīrādhīnopabhogopakārabhājāmanyeṣāṃ ca tatrādṛṣṭadvārā hetutvaṃ	tad-SarIra-aDIna-upaBoga-upakAra-BAjAm-anyezAm ca tatra-adRzwa-dvArA hetu-tvam
   taddehina ivāstīti ekacetanāyattotpattisthitikatvaṃ dṛṣṭānte nāstītyarthaḥ	tad-dehinaH iva-asti-iti eka-cetanA-Ayatta-utpatti-sTitika-tvam dRzwAnte na-asti-iti-arTaH
   / dvitīye kalpe sthitiśabdārthavikalpanamukhena dūṣaṇāntaramapyāha 'api	/ dvitIye kalpe sTiti-Sabda-arTa-vikalpana-muKena dUzaNa-antaram-api-Aha aapi
   ce' ti/ śarīrāvayavuna iti	ce-a ti/ SarIra-avayavunaH iti
