   Abhidharmasamuccaya	ABiDarma-samuccaya
   duḥkhaduḥkhatā kati duḥkhaduḥkhatāni kimarthaṃ duḥkhaduḥkhatāparīkṣā /	duHKa-duHKa-tA kati duHKa-duHKatAni kim-arTam duHKa-duHKa-tA-parIkzA /
   duḥkhavedanāsvalakṣaṇato 'pi duḥkhavedanīyadharmasvalakṣaṇato 'pi	duHKa-vedanA-su-alakzaNataH api duHKa-vedanIya-Darma-sva-lakzaNataH api
   duḥkhaduḥkhatā draṣṭavyā / sarvepāmekadeśaḥ / duḥkhitātmābhiniveśatyāja	duHKa-duHKa-tA drazwavyA / sarvepAm-eka-deSaH / duHKita-AtmA-aBiniveSa-tyAja
   nārtham // kathaṃ viparīṇāmaduḥkhatā kati viparīṇāmaduḥkhatāni kimarthaṃ	na-arTam // kaTam viparINa-Ama-duHKa-tA kati viparINa-Ama-duHKatAni kim-arTam
   vipariṇāmaduḥkhatāparīkṣā / sukhavedanāvipariṇatisvalakṣaṇato 'pi	vipariNAma-duHKa-tA-parIkzA / suKa-vedanA-vipariNati-sva-lakzaNataH api
   sukhavedanīyadharmavipariṇatisvalakṣaṇato 'pi tatra	suKa-vedanIya-Darma-vipariNati-sva-lakzaNataH api tatra
   cānunayacittavipariṇatito 'pi vipariṇāmaduḥkhatā draṣṭavyā /	ca-anunaya-citta-vipariNatitaH api vipariNAma-duHKa-tA drazwavyA /
   sarvepāmekadeśaḥ / sukhitātmābhiniveśatyājanārtham // kathaṃ	sarvepAm-eka-deSaH / suKita-Atma-aBiniveSa-tyAjana-arTam // kaTam
   saṃskāraduḥkhatā kati saṃskāraduḥkhatāni kimarthaṃ saṃskāraduḥkhatāparīkṣā	saMskAra-duHKa-tA kati saMskAra-duHKatAni kim-arTam saMskAra-duHKa-tA-parIkzA
   / aduḥkhāsukhavedanā svalakṣaṇato 'pi aduḥkhāsukha	/ aduHKa-asuKa-vedanA sva-lakzaNataH api aduHKa-asuKa
   vedanīyasvadharmalakṣaṇato 'pi tadubhayadauṣṭhulyaparigrahato 'pi	vedanIya-svaDarma-lakzaNataH api tad-uBaya-dOzWulya-parigrahataH api
   dvayāvinirmokṣānityānubandhāyogakṣemato 'pi saṃskāraduḥkhatā draṣṭavyā /	dvaya-avinirmokza-anitya-anubanDa-ayogakzemataH api saMskAra-duHKa-tA drazwavyA /
   skandhānāṃ trayāṇāṃ dhātūnāṃ dvayoścāyatanayorekadeśaṃ sthāpayitvā sarvāṇi	skanDAnAm trayANAm DAtUnAm dvayoH-ca-ayatanayoH-eka-deSam sTApayitvA sarvANi
   / aduḥkhāsukhātmabhiniveśatyājanārtham // kathaṃ savipākaṃ kati savipākāni	/ aduHKa-asuKa-AtmaBiniveSa-tyAjana-arTam // kaTam sa-vipAkam kati sa-vipAkAni
   kimarthaṃ savipākaparīkṣā / akuśalaṃ kuśalasāsravaṃ ca savipākaṃ	kimarTam sa-vipAka-parIkzA / akuSalam kuSala-sa-Asravam ca sa-vipAkam
   draṣṭavyam / skandhānāṃ daśānāṃ dhātunāṃ caturṇāṃ cāyatanānāmekadeśaḥ /	drazwavyam / skanDAnAm daSAnAm DAtunAm caturNAm ca-AyatanAnAm-eka-deSaH /
   skandhopanikṣepakapratisaṃghāyakātmābhiniveśatyājanārtham // vipākaḥ	skanDa-upanikzepaka-pratisaMGAyaka-Atma-aBiniveSa-tyAjana-arTam // vipAkaH
   punarālayavijñānaṃ sasaṃprayogaṃ draṣṭavyam / tadanyattu vipākajam //	punar-Alaya-vijQAnam sa-saMprayogam drazwavyam / tad-anyat-tu vipAka-jam //
   kathamāhāraḥ katyāhārāḥ kimarthaṃ māhāraparīkṣā / pariṇatito 'pi	kaTam-AhAraH kati-AhArAH kim-arTam mAhAra-parIkzA / pariNatitaH api
   pāriṇāmikaḥ viṣayato 'pi vaiṣayikaḥ āśayato 'pyāśi (? śayi)kaḥ upādānato	pAriNAmikaH vizayataH api vEzayikaH ASayataH api-ASi (? Sayi)kaH upAdAnataH-
   'pyupādānikaḥ āhāro draṣṭavyaḥ / trayāṇāṃ skandhānāmekādaśānāṃ dhātūnāṃ	api-upAdAnikaH AhAraH drazwavyaH / trayANAm skanDAnAm-ekAdaSAnAm DAtUnAm
   pañcānāñcāyatanānāmekadeśaḥ / āhārasthitikātmabhiniveśatyajanārtham // api	paQca-anAQca-AyatanAnAm-eka-deSaH / AhAra-sTitika-AtmaBiniveSa-tyajana-arTam // api
   khalvāhāro 'śuddhā śrayasthitikaḥ śuddhāśuddhāśrayasthitikaḥ	Kalu-AhAraH aSudDA Sraya-sTitikaH SudDa-aSudDa-ASraya-sTitikaH
   śuddhāśrayasthitikaḥ sthitisāṃdarśinakaśca draṣṭavyaḥ // kathaṃ sottaraṃ	SudDa-ASraya-sTitikaH sTiti-sAMdarSinakaH-ca drazwavyaH // kaTam sa-uttaram
   (Abhidh-s 31) kati sottarāṇi kimarthaṃ sottaraparīkṣā / saṃskṛtato	(a-aBiD-H 31) kati sa-uttarANi kim-arTam sa-uttara-parIkzA / saMskRtataH-
   'saṃskṛtaikadeśataśca sottaraṃ draṣṭavyam / dharmadhātvāyatanaikadeśaṃ	asaMskRta-eka-deSataH-ca sa-uttaram drazwavyam / DarmaDAtu-Ayatana-eka-deSam
   sthāpayitva sarvāṇi / ātmadravyahīnābhiniveśatyājanārtham //	sTApayitva sarvANi / Atma-dravya-hIna-aBiniveSa-tyAjana-arTam //
   kathamanuttaraṃ katyanuttarāṇi kimarthamanuttara parīkṣā /	kaTam-anuttaram kati-anuttarANi kimarTam-anuttara parIkzA /
   asaṃskṛtaikadeśato 'nuttaraṃ draṣṭavyam / dharmadhātvāyatanaikadeśaḥ /	asaMskRta-eka-deSataH anuttaram drazwavyam / DarmaDAtu-Ayatana-eka-deSaH /
   ātmadravyāgrābhiniveśatyājanārtham / ityanena nayenāpramāṇaḥ prabhedanayaḥ	Atma-dravya-agra-aBiniveSa-tyAjana-arTam / iti-anena nayena-apramANaH praBeda-nayaH
   api khalu samāsataḥ skandhadhātvāyatanānāṃ prabhedastrividhaḥ /	api Kalu samAsatas skanDa-DAtu-AyatanAnAm praBedaH-triviDaH /
   parikalpitalakṣaṇaprabhedaḥ vikalpitalakṣaṇaprabhedaḥ	parikalpita-lakzaNa-praBedaH vikalpita-lakzaNa-praBedaH
   dharmatālakṣaṇaprabhedaśca // tatra parikalpitalakṣaṇaprabhedaḥ katamaḥ /	DarmatA-lakzaNa-praBedaH-ca // tatra parikalpita-lakzaNa-praBedaH katamaH /
   skandhadhātvāyataneṣvātmeti vā sattvo jīvo jantuḥ poṣo pugdalo manujo	skanDa-DAtu-Ayatanezu-Atma-iti vA sattvaH jIvaH jantuH pozaH pugdalaH manujaH-
   mānava iti vā yatparikalpyate // vikalpitalakṣaṇaprabhedaḥ katamaḥ /	mAnavaH iti vA yat-parikalpyate // vikalpita-lakzaNa-praBedaH katamaH /
   tānyeva skandhadhātvāyatanāni // dharmatālakṣaṇaprabhedaḥ katamaḥ /	tAni-eva skanDa-DAtu-AyatanAni // Darma-tA-lakzaNa-praBedaH katamaH /
   teṣveva skandhadhātvāyataneṣvātmābhāvaḥ	tezu-eva skanDa-DAtu-Ayatanezu-Atma-aBAvaH
   sattvajīvajantupoṣapugdalamanujamānavānāmabhāvaḥ nairātmyāstitā //	sattva-jIva-jantu-poza-pugdala-manuja-mAnavAnAm-aBAvaH nErAtmya-astitAH //
   api khalu caturvidhaḥ prabhedaḥ / lakṣaṇaprabhedaḥ prakāraprabhevā	api Kalu caturviDaH praBedaH / lakzaNa-praBedaH prakAra-praBA-ivA
   ākṣayaprabhedaḥ santatiprabhedaśca // lakṣaṇaprabhedaḥ katamaḥ / pratyekaṃ	Akzaya-praBedaH santati-praBedaH-ca // lakzaNa-praBedaH katamaH / pratyekam
   skandhadhātvāyatanānāṃ svalakṣaṇa bhedaḥ // prakāraprabhedaḥ /	skanDa-DAtu-AyatanAnAm sva-lakzaNa BedaH // prakAra-praBedaH /
   teṣāmevaskandhadhātvāyatanānāṃ dravyamantaḥ prajñaptimantaḥ saṃvṛtimantaḥ	tezAm-eva-skanDa-DAtu-AyatanAnAm dravyam-antar prajQaptimantaH saMvRtimantaH
   paramārthamantaḥ rūpiṇo 'rūpiṇaḥ sanidarśanā anidarśanā ityevamādi	parama-arTam-antar rUpiNaH arUpiNaH sa-nidarSanAH anidarSanAH iti-evamAdi
   yathānirddiṣṭaḥ // āśrayaprabhedaḥ katamaḥ / yāvantaḥ sattvāśrayā stāvanti	yaTA-nirddizwaH // ASraya-praBedaH katamaH / yAvantaH sattva-ASrayA stAvanti
   skandhadhātvāyatanāni // santatiprabhedaḥ katamaḥ / pratikṣaṇaṃ	skanDa-DAtu-AyatanAni // santati-praBedaH katamaH / pratikzaNam
   skandhadhātvāyatānānāṃ pravṛttiḥ // lakṣaṇaprabhede kuśalaḥ kiṃ parijānāti	skanDa-DAtu-AyatAnAnAm pravRttiH // lakzaNa-praBede kuSalaH kim parijAnAti
   / ātmābhiniveśaṃ parijānāti // prakāraprabhede kuśalaḥ kiṃ parijānāti /	/ Atma-aBiniveSam parijAnAti // prakAra-praBede kuSalaH kim parijAnAti /
   piṇḍasaṃjñāṃ parijānāti // āśrayaprabhede kuśalaḥ kiṃ parijānāti /	piNxa-saMjQAm parijAnAti // ASraya-praBede kuSalaH kim parijAnAti /
   akṛtābhyāgamakṛtavipraṇāśasaṃjñāṃ parijānāti // santatiprabhede kuśalaḥ	akRta-aByAgama-kRta-vipraNASa-saMjQAm parijAnAti // santati-praBede kuSalaH
   kiṃ parijāti / sthirasaṃjñāṃ parijānāti //	kim parijAti / sTira-saMjQAm parijAnAti //
   api khalu ṣaḍvidhaḥ prabhedaḥ eṣāmeva skandhadhātvāyatananām /	api Kalu zaxviDaH praBedaH ezAm-eva skanDa-DAtu-AyatananAm /
   bahirmukhaprabhedaḥ antarmukhaprabhedaḥ āyata kālabhedaḥ	bahirmuKa-praBedaH antarmuKa-praBedaH Ayata kAla-BedaH
   paricchinnakālaprabhedaḥ tatkālaprabhedaḥ saṃdarśanaprabhedaśca /	paricCinna-kAla-praBedaH tad-kAla-praBedaH saMdarSana-praBedaH-ca /
   bahirmukhaprabhedaḥ katamaḥ / yadbhūyasā kāmāvacaraprabhedaḥ //	bahirmuKa-praBedaH katamaH / yat-BUyasA kAmAvacara-praBedaH //
   antarmukhaprabhedaḥkatamaḥ / sarvāḥ sāmādhibhūmayaḥ // āyatakālaprabhedaḥ	antarmuKa-praBedaH-katamaH / sarvAH sAma-aDi-BUmayaH // Ayata-kAla-praBedaH
   katamaḥ / pṛthagjanānām // paricchinnakālaprabhedaḥ katamaḥ / śaikṣāṇāṃ	katamaH / pRTagjanAnAm // paricCinna-kAla-praBedaH katamaH / SEkzANAm
   sthāpayitvā caramakṣaṇe skandhadhātvāyatanāni (Abhidh-s 32) tadanyāni	sTApayitvA cara-makzaNe skanDa-DAtu-AyatanAni (a-aBiD-H 32) tad-anyAni
   aśaikṣāṇām // tatkālaprabhedaḥ katamaḥ / aśaikṣāṇāṃ caramakṣaṇe	aSEkzANAm // tad-kAla-praBedaH katamaH / aSEkzANAm cara-makzaNe
   skandhadhātvāyatanāni // saṃdarśanaprabhedaḥ katamaḥ / buddhānāṃ	skanDa-DAtu-AyatanAni // saMdarSana-praBedaH katamaH / budDAnAm
   pāramiprāptānāṃ bodhisattvānāṃ mahāsattvānāṃ ca sanidarśanāni	pArami-prAptAnAm boDisattvAnAm mahAsattvAnAm ca sa-nidarSanAni
   skandhadhātvāyatanāni // 0 //	skanDa-DAtu-AyatanAni // 0 //
   (atha mahāyānābhidharmasamuccayaśāstre mūlavastuni saṃgrahaparicchedo	(aTa mahA-yAna-aBiDarma-samuccaya-SAstre mUla-vastuni saMgraha-paricCedaH-
   dvitīyaḥ)	dvitIyaH)
   saṃgrahaḥ katamaḥ / saṃgraha ekādaśavidho draṣṭavyaḥ / lakṣaṇasaṃgrahaḥ	saMgrahaH katamaH / saMgrahaH ekAdaSaviDaH drazwavyaH / lakzaNa-saMgrahaH
   dhātusaṃgrahaḥ jātisaṃgrahaḥ avasthāsaṃgrahaḥ sahāyasaṃgrahaḥ	DAtu-saMgrahaH jAti-saMgrahaH avasTA-saMgrahaH sahAya-saMgrahaH
   deśasaṃgrahaḥ kālasaṃgrahaḥ ekadeśasaṃgrahaḥ sakalasaṃgrahaḥ	deSa-saMgrahaH kAla-saMgrahaH eka-deSa-saMgrahaH sakala-saMgrahaH
   itaretarasaṃgrahaḥ paramārthasaṃgrahaśca // lakṣaṇasaṃgrahaḥ katamaḥ /	itaretara-saMgrahaH parama-arTa-saMgrahaH-ca // lakzaNa-saMgrahaH katamaH /
   skandhadhātvāyatanānāṃ pratyekaṃ svalakṣaṇenaiva tattatsaṃgrahaḥ //	skanDa-DAtu-AyatanAnAm pratyekam sva-lakzaNena-eva tad-tad-saMgrahaH //
   dhātusaṃgrahaḥ katamaḥ / skandhadhātvāyatanānāṃ vījabhūtenālayavijñānena	DAtu-saMgrahaH katamaH / skanDa-DAtu-AyatanAnAm vIja-BUtena-Alaya-vijQAnena
   tattaddhātusaṃgrahaḥ // jatisaṃgrahaḥ katamaḥ / skandhadhātvāyatanānāṃ	tad-tad-DAtu-saMgrahaH // jati-saMgrahaH katamaH / skanDa-DAtu-AyatanAnAm
   vilakṣaṇānāmapi skandhadhātvāyatanairanyo 'nyasaṃgrahaḥ //	vilakzaNAnAm-api skanDa-DAtu-AyatanEH-anyaH anya-saMgrahaH //
   avasthāsaṃgrahaḥ katamaḥ / sukhāvasthānāṃ skandhadhātvāyatānānāṃ	avasTA-saMgrahaH katamaH / suKa-avasTAnAm skanDa-DAtu-AyatAnAnAm
   svalakṣaṇena saṃgrahaḥ / duḥkhāvasthānāmaduḥkhāsukhāvasthānāmapi /	sva-lakzaNena saMgrahaH / duHKa-avasTAnAm-aduHKa-asuKa-avasTAnAm-api /
   avasthāmupādāya // sahāya saṃgrahaḥ katamaḥ / rūpaskandhaḥ	avasTAm-upAdAya // sahAya saMgrahaH katamaH / rUpa-skanDaH
   tadanyaiḥskandhairanyo 'yaṃ sahāyataḥ sahāyaiḥ saṃgṛhītaḥ / evaṃ tadanye	tad-anyEH-skanDEH-anyaH ayam saha-AyataH sahAyEH saMgRhItaH / evam tad-anye
   skandhā dhātava āyatanāni ca / deśasaṃgrahaḥ katamaḥ / pūrvadigāśritānāṃ	skanDAH DAtavaH AyatanAni ca / deSa-saMgrahaH katamaH / pUrva-diS-ASritAnAm
   skandhadhātvāyatanānāṃ svalakṣaṇena saṃgrahaḥ / evaṃ tadanyadiśāmapi	skanDa-DAtu-AyatanAnAm sva-lakzaNena saMgrahaH / evam tad-anya-diSAm-api
   skandhadhātvāyatanānāṃ veditavyam // kālasaṃgrahaḥ katamaḥ / atītānāṃ	skanDa-DAtu-AyatanAnAm veditavyam // kAla-saMgrahaH katamaH / atItAnAm
   skandhadhātvāyatanānāṃ svalakṣaṇena saṃgrahaḥ / anāgatānāṃ	skanDa-DAtu-AyatanAnAm sva-lakzaNena saMgrahaH / anAgatAnAm
   pratyutpannānāmapi skandhadhātvāyatanānām / ekadeśasaṃgrahaḥ katamaḥ /	pratyutpannAnAm-api skanDa-DAtu-AyatanAnAm / eka-deSa-saMgrahaH katamaH /
   yāvanto dharmāḥ skandhadhātvāyatanaiḥ saṃgṛhītāḥ teṣāmanyatamasaṃgraha	yAvantaH DarmAH skanDa-DAtu-AyatanEH saMgRhItAH tezAm-anyatama-saMgraha
   ekadeśa saṃgraho veditavyaḥ // sakalasaṃgrahaḥ katamaḥ / yāvanto dharmāḥ	eka-deSa saMgrahaH veditavyaH // sakala-saMgrahaH katamaH / yAvantaH DarmAH
   skandhadhātvāyatanaiḥ saṃgṛhītāḥ teṣāmaśeṣataḥ saṃgrahaḥ sakalasaṃgraho	skanDa-DAtu-AyatanEH saMgRhItAH tezAm-aSezatas saMgrahaH sakala-saMgrahaH-
   veditavyaḥ // itaretarasaṃgrahaḥ katamaḥ rūpaskandhasaṃgrahe kati dhātavaḥ	veditavyaH // itaretara-saMgrahaH katamaH rUpa-skanDa-saMgrahe kati DAtavaH
   katyāyatanāni / daśānāmekadeśaḥ / vedanāskandhasaṃgrahe kati dhātavaḥ	kati-AyatanAni / daSAnAm-eka-deSaH / vedanA-skanDa-saMgrahe kati DAtavaH
   katyāyatanāni / ekadeśaḥ / yathā vedanāskandhastathāsaṃjñāsaṃskāra	kati-AyatanAni / eka-deSaH / yaTA vedanA-skanDaH-taTA-saMjQA-saMskAra
   skandhau // vijñānaskandhasaṃgrahe kati dhātavaḥ katyāyatanāni / sapta	skanDO // vijQAna-skanDa-saMgrahe kati DAtavaH kati-AyatanAni / sapta
   dhātava ekamāyatanam // cakṣurdhātusaṃgrahe kati skandhaḥ katyāyatanāni /	DAtavaH ekam-Ayatanam // cakzuH-DAtu-saMgrahe kati skanDaH kati-AyatanAni /
   rūpaskandhaikadeśa (Abhidh-s 33) ekamāyatam // cakṣurdhātuvat	rUpa-skanDa-eka-deSa (a-aBiD-H 33) ekam-Ayatam // cakzuH-DAtu-vat-
   śrotradhrāṇajivhākāya rūpaśabdagandharasaspraṣṭavyabhrātavaḥ //	Srotra-DrANa-jivhAkAya rUpa-Sabda-ganDa-rasa-sprazwavya-BrAtavaH //
   manodhātusaṃgrahe kati skandhāḥ katyāyatanāni / ekaḥ skandha ekamāyatanam	manaH-DAtu-saMgrahe kati skanDAH kati-AyatanAni / ekaH skanDaH ekam-Ayatanam
   // dharmadhātusaṃgrahe kati skandhāḥ katyāyatanāni / trayaḥ skandhā	// DarmaDAtu-saMgrahe kati skanDAH kati-AyatanAni / trayaH skanDA
   rūpaskandhaikadeśa ekamāyatanam // cakṣurvijñānadhātusaṃgrahe kati	rUpa-skanDa-ekadeSaH ekam-Ayatanam // cakzuH-vijQAna-DAtu-saMgrahe kati
   skandhāḥ katyāyatanāni vijñānaskandhāmanaāyatanayorekadeśaḥ /	skanDAH kati-AyatanAni vijQAna-skanDAm-anaAyatanayoH-eka-deSaH /
   cakṣurvijñānavat śrotraghrāṃṇajivhākāyamanovijñānadhātavaḥ //	cakzuH-vijQAna-vat Srotra-GrAMNa-jivhA-kAya-manaH-vijQAna-DAtavaH //
   cakṣurāyatanasaṃgrahe kati skandhāḥkati dhātavaḥ / rūpaskandhaikadeśa eko	cakzuH-Ayatana-saMgrahe kati skanDAH-kati DAtavaH / rUpa-skanDa-ekadeSaH ekaH-
   dhātuśca / yathā cakṣurāyatanaṃ tayā	DAtuH-ca / yaTA cakzuH-Ayatanam tayA
   śrotraghrāṇajihvākāyarūpaśabdagandharasaspraṣṭavyāyatanāni //	Srotra-GrANa-jihvA-kAya-rUpa-Sabda-ganDa-rasa-sprazwa-vya-AyatanAni //
   manaāyatanasaṃgrahe kati skandhāḥ kati dhātavaḥ / ekaḥ skandhaḥ sapta	manaA-Ayatana-saMgrahe kati skanDAH kati DAtavaH / ekaH skanDaH sapta
   dhātavaḥ / dharmāyatanasaṃgrahe katiskandhāḥ kati dhātavaḥ / trayāṇāṃ	DAtavaH / Darma-Ayatana-saMgrahe kati-skanDAH kati DAtavaH / trayANAm
   skandhānā mekadeśa eko dhātuśca // tadvat tadanye dharmāḥ	skanDAnA meka-deSaH ekaH DAtuH-ca // tadvat tad-anye DarmAH
   skandhadhātvāyatanairnirdṛśyante anye ca na	skanDa-DAtu-AyatanEH-nirdRSyante anye ca na
   skandhadhātvāyatanairnirddiśyante / yathā dravyamantaḥ prajñāptimantaḥ	skanDa-DAtu-AyatanEH-nirddiSyante / yaTA dravyam-antar prajQA-AptimantaH
   saṃvṛtimantaḥ paramārthamanto jñeyā vijñeyā abhijñeyā rūpiṇo 'rūpiṇaḥ	saMvRtimantaH parama-arTam-antaH jQeyAH vijQeyAH aBijQeyAH rUpiNaH arUpiNaH
   sanidarśanā anidarśanā ityevamādayaḥ pūrvaṃ nirdṛṣṭāḥ / (teṣāṃ) yathāyogaṃ	sa-nidarSanAH anidarSanAH iti-evamAdayaH pUrvam nirdRzwAH / (tezAn) yaTAyogam
   skandhadhātvāyatanairitaretarasaṃgraheveditavyaḥ // paramārthasaṃgrahaḥ	skanDa-DAtu-AyatanEH-itaretara-saMgraheveditavyaH // parama-arTa-saMgrahaH
   katamaḥ / skandhadhātvāyatanānāṃ tathatāsaṃgrahakuśalaḥ kamanuśaṃsa	katamaH / skanDa-DAtu-AyatanAnAm taTatA-saMgraha-kuSalaH kam-anuSaMsa
   labhate / ālambane 'bhisaṃkṣepānuśaṃsaṃ pratilabhate / yathā yathā	laBate / Alambane aBisaMkzepa-anuSaMsam pratilaBate / yaTA yaTA
   ālambaneṣu cittābhisaṃkṣepaḥ tathā tathā kuśalamūlābhivṛddhiḥ // 0 //	Alambanezu citta-aBisaMkzepaH taTA taTA kuSala-mUla-aBivRdDiH // 0 //
   (atha mahāyānābhidharmasamuccayaśāstre mūlavastuni	(aTa mahA-yAna-aBiDarma-samuccaya-SAstre mUla-vastuni
   saṃprayogaparicchedastṛtīyaḥ /)	saMprayoga-paricCedaH-tRtIyaH /)
   saṃprayogaḥ katamaḥ / samāsataḥ saṃprayogaḥ ṣaḍvidhaḥ / avinirbhāga	saMprayogaH katamaH / samAsatas saMprayogaH zaxviDaH / avinirBAga
   saṃprayogaḥ miśrībhāva saṃprayogaḥ samavadhānasaṃprayogaḥ	saMprayogaH miSrIBAva saMprayogaH samavaDAna-saMprayogaH
   sahabhāvasaṃprayogaḥ kṛtyānuṣṭhānasaṃprayogaḥ saṃpratipattisaṃprayogaśca	sahaBAva-saMprayogaH kRtya-anuzWAna-saMprayogaH saMpratipatti-saMprayogaH-ca
   // avinirbhāgasaṃprayogaḥ katamaḥ / sarveṣāṃ deśināṃ paramāṇuparyāpannānāṃ	// avinirBAga-saMprayogaH katamaH / sarvezAm deSinAm paramANu-paryApannAnAm
   rūpāṃśikānāmanyonyamavinirbhāgaḥ // miśrībhāvasaṃprayogaḥ katamaḥ /	rUpa-aMSikAnAm-anyonyam-avinirBAgaH // miSrIBAva-saMprayogaH katamaH /
   (Abhidh-s 34) paramāṇorūrdhvaṃ sarveṣāṃ deśināṃ rūpāṃśikānāṃ parasparaṃ	(a-aBiD-H 34) paramANoH-UrDvam sarvezAm deSinAm rUpa-aMSikAnAm parasparam
   miśrībhāvaḥ // samavadhānasaṃprayogaḥ katamaḥ / deśināmeva samudāyināṃ	miSrIBAvaH // samavaDAna-saMprayogaH katamaH / deSinAm-eva samudAyinAm
   rūpaparaṃparāyāṃ samavadhānam // sahabhāvasaṃprayogaḥ katamaḥ / ekasmin	rUpa-paraMparAyAm samavaDAnam // sahaBAva-saMprayogaH katamaH / ekasmin
   kāye skandhadhātvāyatanānāṃ sahakālapravṛttiḥ samamutpatti sthitinirodhāḥ	kAye skanDa-DAtu-AyatanAnAm saha-kAla-pravRttiH samam-utpatti sTiti-niroDAH
   / kṛtyānuṣṭhānasaṃprayogaḥ katamaḥ / ekasmin kṛtyāṃnuṣṭhāne parasparaṃ	/ kRtya-anuzWAna-saMprayogaH katamaH / ekasmin kRtyAMnuzWAne parasparam
   saṃprayogaḥ / yathā dvayorbhikṣvoranyatarabhikṣoḥ kriyānuṣṭhāne anyo 'yaṃ	saMprayogaH / yaTA dvayoH-BikzvoH-anyatara-BikzoH kriyA-anuzWAne anyaH ayam
   saṃprayogaḥ // saṃpratipatti saṃprayogaḥ katamaḥ /	saMprayogaH // saMpratipatti saMprayogaH katamaH /
   cittacaitasikānāmekasminnālambane 'nyonyaṃ saṃpratipattiḥ / sa	citta-cEtasikAnAm-ekasmin=-Alambane anyonyam saMpratipattiH / sa
   saṃpratipattisaṃprayogaḥ punaranekārthakaḥ / yathā parabhāvena saṃprayogaḥ	saMpratipatti-saMprayogaH punar-aneka-arTakaH / yaTA para-BAvena saMprayogaH
   na svabhāvena / aviruddhyoḥ saṃprayogo na viruddhayoḥ / sadṛśakālayoḥ	na svaBAvena / avirudDyoH saMprayogaH na virudDayoH / sadRSa-kAlayoH
   saṃprayogo avisadṛśakālayoḥ	saMprayogaH avisadRSa-kAlayoH
   sabhāgadhātubhūmikayoravisabhāga(dhātu)bhūmikayoḥ //	sa-BAga-DAtu-BUmi-kayoH-avisa-BAga(-DAtu)-BUmikayoH //
   sarvatragasaṃprayogastadyathā vedanā saṃjñācetanāsparśamanaskāra	sarvatraga-saMprayogaH-tat-yaTA vedanA saMjQA-cetanA-sparSa-manaskAra
   vijñānānām // api khalu kliṣṭasarvatragaḥ saṃprayogo manasi caturṇṇāṃ	vijQAnAnAm // api Kalu klizwa-sarvatragaH saMprayogaH manasi caturNNAm
   kleśānām // kādācitkaḥ saṃprayogastadyathā citte śraddhādīnāṃ kuśalānāṃ	kleSAnAm // kAdAcid-kaH saMprayogaH-tat-yaTA citte SradDA-AdInAm kuSalAnAm
   rāgādīnāṃ ca kleśopakleśānām // āvasthikaḥ saṃprayogaḥ sukhāyā vedanāyāḥ	rAga-AdInAm ca kleSa-upakleSAnAm // AvasTikaH saMprayogaH suKAyAH vedanAyAH
   sasaṃprayogāyāḥ / evaṃ duḥkhāyā aduḥkhāsukhāyāḥ // avicchinnaḥ saṃprayogaḥ	sa-saMprayogAyAH / evam duHKAyAH aduHKa-asuKAyAH // avicCinnaH saMprayogaH
   sacittikāyāmavasthāyām / vicchinnaḥ saṃprayogo	sa-cittikAyAm-avasTAyAm / vicCinnaH saMprayogaH-
   'cittakasamāpattyantaritasya // bahirmukhaḥ saṃprayogo yadbhūyasā kāma	acittaka-samApatti-antaritasya // bahirmuKaH saMprayogaH yat-BUyasA kAma
   pratisaṃyuktānāṃ cittacaitasikānām // antarmukhaḥ saṃprayogaḥ yadbhūyasā	pratisaMyuktAnAm citta-cEtasikAnAm // antarmuKaH saMprayogaH yat-BUyasA
   samāhitabhūmikānāṃ cittacaitasikānām // ucitaḥ saṃprayogaḥ	samAhita-BUmikAnAm citta-cEtasikAnAm // ucitaH saMprayogaH
   pārthagjanikānāṃ cittacaitasikānāṃ tadekatyānāṃ ca śaikṣāśaikṣāṇām //	pArTak-janikAnAm citta-cEtasikAnAm tad-ekatyAnAm ca SEkzA-SEkzANAm //
   anucitaḥ saṃprayogaḥ lokottarāṇāṃ cittacaitasikānāmādyataduttarāṇāṃ	anucitaH saMprayogaH loka-uttarANAm citta-cEtasikA-nAm-Adya-tad-uttarANAm
   lokottarapṛṣṭhalabdhānāṃ ca // saṃprayogakuśalaḥ kamanuśaṃsaṃ pratilabhate	loka-uttara-pRzWa-labDAnAm ca // saMprayoga-kuSalaH kam-anuSaMsam pratilaBate
   / cittamātre vedanādīnāṃ sāṃkleśikānāṃvyāvadānikānāñca dharmāṇāṃ	/ cittamAtre vedanA-AdInAm sAMkleSikAnAMvyAvadAnikAnAQca DarmANAm
   saṃprayogaṃ jānāti / tacca jānanātmā vedayate saṃjānāti cetayate smarati	saMprayogam jAnAti / tat-ca jAnana-AtmA vedayate saMjAnAti cetayate smarati
   saṃkliśyate vyavadāyate cetayatya bhiniveśaṃ prajahāti nairātmyamavatarati	saMkliSyate vyavadAyate cetayatya BiniveSam prajahAti nErAtmyam-avatarati
   (Abhidh-s 35)	(a-aBiD-H 35)
   (athābhidhamasamuccayaśāstre mūlavastuni samanvāgamaparicchedaścaturthaḥ)	(aTa-aBiDama-samuccaya-SAstre mUla-vastuni samanvAgama-paricCedaH-caturTaH)
   samanvāgamaḥ katamaḥ / lakṣaṇataḥ pūrvavat // tatprabhedaḥ punaḥ trividhaḥ	samanvAgamaH katamaH / lakzaNataH pUrvavat // tad-praBedaH punar triviDaH
