   bhadracaryāvidhiḥ ṣoḍaśaḥ paricchedaḥ ||	BadracaryA-viDiH zoxaSaH paricCedaH ||
   kalahabhaṇḍanavivādakṣobhāś ca satvānām atâiva prādurbhavanti |	kalaha-BaNxana-vivAda-kzoBAH ca satvAnAm atâiva prAdurBavanti |
   ete ca satvāḥ kāmān niṣevamāṇāḥ buddhānāṃ bhagavatāṃ sakāśād dūrībhavanti	ete ca satvAH kAmAn nizevamANAH budDAnAm BagavatAm sakASAt dUrIBavanti
   svargôpapatter apy ete kāmântarāyāya saṃvartante |	svargôpapatteH api ete kAmântarAyAya saMvartante |
   kiṃ punar anuttarasya jñānarājasya sarvasatvayogakṣemasya |	kim punar anuttarasya jQAna-rAjasya sarva-satva-yogakzemasya |
   so 'ham evam apramāṇadoṣān kāmānāṃ paśyan parīttān ādīptāṃs tasmād aham	saH aham evam apramANa-dozAn kAmAnAm paSyan parIttAn AdIptAn tasmAt aham
   etan nidānam acaraṇatāyāṃ pratipatsye ||	etat nidAnam acaraNa-tAyAm pratipatsye ||
   pe ||tathā tathâiva mayā kuśalamūlaṃ pariṇāmayitavyaṃ yathā yathâiva	pe ||taTA taTâiva mayA kuSala-mUlam pariNAmayitavyam yaTA yaTâiva
   sarvasatvâtyantasukham aveditasukhaṃ yāvat sarvajñatāsukhaṃ pratilabheran	sarva-satvâti-anta-suKam avedita-suKam yAvat sarvajQa-tA-suKam pratilaBeran
   mayā sārathinā mayā pariṇāyakena mayôlkādhāriṇā mayā kṣemagatidarśakena	mayA sAraTinA mayA pariNAyakena mayôlkA-DAriNA mayA kzema-gati-darSakena
   [ Bendall ed p282 ---> ]	[ Bet-dalt ed p282 ---> ]
   mayā kṣaṇagatipratilabdhena mayôpāyajñena mayârthaviduṣā mayā	mayA kzaNa-gati-pratilabDena mayô-pAya-jQena mayârTa-viduzA mayA
   saṃsārasāgare sarvajñajñānayānapātramahādeśasthitena mayā	saMsAra-sAgare sarvajQa-jQAna-yAna-pAtra-mahA-deSa-sTitena mayA
   pariṇāmanakuśalena mayā pāradarśakena ||	pariNAmana-kuSalena mayA pAradarSakena ||
   pe ||	pe ||
   na khalu punar asmiṃś cāturmahādvīpake lokadhātau yāvantaḥ satvās	na Kalu punar asmin cAturmahAdvIpake lokaDAtO yAvantaH satva-as
   tāvantâiva sūryôdāgacchanti cāturdvīpakalokadhātvavabhāsanāya |	tAvantâiva sUryôdAgacCanti cAturdvIpaka-loka-DAtu-avaBAsanAya |
   atha ca punar ekâivâiṣāṃ sūryôdāgacchati catu-	aTa ca punar ekâivâizAm sUryôdAgacCati catu-
   [ Cambridge MS f123a ---> ]	[ Cambridge M f123aH ---> ]
   rdvīpâvabhāsanāya |	rdvIpâvaBAsanAya |
   na ca teṣāṃ satvānāṃ caturdvīpôpapannānāṃ svakasvakaiḥ śarīrair avabhāsaḥ	na ca tezAm satvAnAm catur-dvIpô-papannAnAm sva-ka-svakEH SarIrEH avaBAsaH
   prādurbhavati |	prAdurBavati |
   yena te divasasaṃkhyāṃ jānīyuḥ |	yena te divasa-saMKyAm jAnIyuH |
   svakāryaṃ vā pariprāpayeyuḥ |	sva-kAryam vA pariprApayeyuH |
   sasyāni vā paripācayeyuḥ |	sasyAni vA paripAcayeyuH |
   ahar ahar vôdyānanagareṣu ratikrīḍāparibhogam anubhaveyuḥ |	ahar ahar vôdyAna-nagarezu rati-krIxA-pariBogam anuBaveyuH |
   diśo vā paśyeyuḥ |	diSaH vA paSyeyuH |
   gamanâgamanaṃ vā grāmanagaranigamarāṣṭrarājadhānīṣu kuryuḥ |	gamanâ-gamanam vA grAma-nagara-nigama-rAzwra-rAja-DAnIzu kuryuH |
   vyavahārakāryeṣu prayujyeran |pe |	vyavahAra-kAryezu prayujyeran |pe |
   atha ca punaḥ sūryasya devaputrasyôdayatâikasya sūryamaṇḍalasyâdvitīyasya	aTa ca punar sUryasya deva-putrasyôdayatâikasya sUrya-maNxalasyâdvitIyasya
   cāturdvīpake lokadhātau sarvasatvānām avabhāsaḥ prādurbhavati |	cAturdvIpake lokaDAtO sarva-satvAnAm avaBAsaH prAdurBavati |
   evam eva bodhisatvasya mahāsatvasya kuśalamūlāny upārpayamānasya	evam eva boDisatvasya mahAsatvasya kuSala-mUlAni upArpayamAnasya
   kuśalamūlaṃ pariṇāmayamānasyâivaṃ cittam utpadyate |	kuSala-mUlam pariNAmayamAnasyâivam cittam utpadyate |
   nâiteṣāṃ satvānāṃ tat kuśalamūlaṃ vidyate yena te ātmānaṃ paritrāyeran |	nâitezAm satvAnAm tat kuSala-mUlam vidyate yena te AtmAnam paritrAyeran |
   kaḥ punar vādaḥ param |	kaH punar vAdaH param |
   ahaṃ punaḥ sarvasatvānāṃ kṛtaśaḥ kuśalamūlāni samudānayāmi kuśalamūlaṃ	aham punar sarva-satvAnAm kRtaSas kuSala-mUlAni samudAnayAmi kuSala-mUlam
   pariṇāmayāmi |	pariNAmayAmi |
   yad uta sarvasatvamocanāya |	yat uta sarva-satva-mocanAya |
   sarvasatvānām avabhāsanāya sarvasatvānāṃ jñāpanāya saravsatvānām	sarva-satvAnAm avaBAsanAya sarva-satvAnAm jQApanAya saravsatvAnAm
   avatāraṇāya sarvasatvānāṃ parigrahaṇāya sarvasatvānāṃ pariniṣpādanāya	avatAraNAya sarva-satvAnAm parigrahaNAya sarva-satvAnAm parinizpAdanAya
   sarvasatvānāṃ prasādanāya sarvasatvānāṃ prahlādanāya sarvasatvānāṃ	sarva-satvAnAm prasAdanAya sarva-satvAnAm prahlAdanAya sarva-satvAnAm
   saṃśayacchedanāyâdityamaṇḍalakalpair asmābhir bhavitavyaṃ |	saMSaya=-CedanAyâditya-maNxala-kalpEH asmABiH Bavitavyam |
   na paraḥ pratikāṅkṣitavyaḥ |	na paraH pratikAFkzitavyaH |
   na parasyâvakāśam utpādya satveṣu saṃnāhôtsraṣṭavyaḥ |	na parasi-âvakASam utpAdya satvezu saMnAhôt-srazwavyaH |
   na ca sarvasatvānām antikāt sarvasatvatrāṇavyavaśāyo-	na ca sarva-satvAnAm antikAt sarva-satva-trANa-vyavaSAyo-
   [ Bendall ed p283 ---> ]	[ Bet-dalt ed p283 ---> ]
   nivartayitavyaḥ |	nivartayitavyaH |
   na pariṇāmanāyāḥ sarvaduṣkhahatyā vinivartitavyaṃ |	na pariNAmanAyAH sarva-duzKa-hatyA vinivartitavyam |
   na parīttāni kuśalamūlāni parigrahītavyāni |	na parIttAni kuSala-mUlAni parigrahItavyAni |
   na parīttayā pariṇāmanayā tuṣṭir mantavyêty ādi ||	na parIttayA pariNAmanayA tuzwiH mantavyêti Adi ||
   āryâkṣayamatisūtre 'py āha |	Aryâ-kzayam-atisUtre api Aha |
   sa na kalpagaṇanayā bodhiṃ paryeṣate |	sa na kalpa-gaNanayA boDim paryezate |
   iyataḥ kalpān saṃnatsyāmi |	iyataH kalpAn saMnatsyAmi |
   iyataḥ kalpān saṃnatsyāmîti |	iyataH kalpAn saMnatsyAmîti |
   api tu khalv acintyam eva saṃnāhaṃ saṃnahyati |	api tu Kalu acintyam eva saMnAham saMnahyati |
   yāvatī pūrvākoṭiḥ saṃsārasya yady etāvad ekaṃ rātriṃdivaṃ bhavet |	yAvatI pUrvA-kowiH saMsArasya yadi etAvat ekam rAtriMdivam Bavet |
   evaṃrūpai rātriṃdivaiḥ pañcadaśadaivasikena pakṣeṇa triṃśaddaivasikena	evaMrUpEH rAtriMdivEH paQcadaSa-dEvasikena pakzeNa triMSat-dEvasikena
   māsena dvādaśamāsikena saṃvatsareṇânayā varṣagaṇanayā yāvad	mAsena dvAdaSa-mAsikena saMvatsareNânayA varza-gaNanayA yAvat-
   varṣaśatasahasreṇâikaṃ bodhicittam utpādayeyam ekaṃ ca tathāgatam arhantaṃ	varza-Sata-sahasreNâikam boDi-cittam utpAdayeyam ekam ca taTAgatam arhantam
   samyaksaṃbuddhaṃ paśyeyaṃ |	samyaksaMbudDam paSyeyam |
   anena praveśenânayā gaṇanayā gaṅgānadīvālukāsamaiś cittôtpādais	anena praveSenânayA gaNanayA gaFgA-nadI-vAlukA-samEH cittôt-pAdEH-
   tathāgatadarśanaiś câikâikasya	taTAgata-darSanEH câikâikasya
   [ Cambridge MS f124a ---> ]	[ Cambridge M f124aH ---> ]
   api satvasya cittacaritaṃ jānīyāṃ |	api satvasya citta-caritam jAnIyAm |
   anenâiva praveśenânayā gaṇanayā sarvasatvānāṃ tāvadbhiś cittôtpādais	anenâiva praveSenânayA gaNanayA sarva-satvAnAm tAvadBiH cittôt-pAdEH-
   tathāgatadarśanaiḥ svacittacaritāni prajanīyām ity anavalīnaḥ |	taTAgata-darSanEH sva-citta-caritAni prajanIyAm iti anavalInaH |
   saṃnāho 'yaṃ bodhisatvasyâkṣayaḥ saṃnāhaḥ |evaṃ dānâdiṣu	saMnAhaH ayam boDisatvasi-âkzayaH saMnAhaH |evam dAnâdizu
   bodhipākṣikamahāpuruṣalakṣaṇeṣu ca nayaḥ ||	boDi-pAkzika-mahApuruza-lakzaNezu ca nayaH ||
   āryaratnameghe 'py uktaṃ ||	Arya-ratna-meGe api uktam ||
   na bodhisatvaḥ satvakhaṭuṅkatāṃ satvadurdāntatāṃ jñātvā |	na boDisatvaH satva-KawuFka-tAm satva-durdAnta-tAm jQAtvA |
   alam ebhiḥ satvair evaṃ khaṭuṅkair evaṃ durdāntair iti |	alam eBiH satvEH evam KawuFkEH evam durdAntEH iti |
   tato nidānaṃ parikhinnaḥ parāpṛṣṭhībhūtaḥ |	tatas nidAnam pariKinnaH parApRzWIBUtaH |
   pariśuddhāyāṃ lokadhātau praṇidhānaṃ karoti |	pariSudDAyAm lokaDAtO praNiDAnam karoti |
   yatrêdṛśānāṃ satvānāṃ nāmâpi na śṛṇuyāt |	yatrêdRSAnAm satvAnAm nAmâpi na SRNuyAt |
   na ca satvârthavaimukhyasya bodhisatvapariśuddhāyāṃ lokadhātāv upapattir	na ca satu-ârTa-vEmuKyasya boDisatva-pariSudDAyAm lokaDAtO upapattiH-
   bhavati |	Bavati |
   tatra prājño bodhisatvâivaṃ ci-	tatra prAjQaH boDisatvâivam ci-
   [ Bendall ed p284 ---> ]	[ Bet-dalt ed p284 ---> ]
   ttam utpādayati |	ttam utpAdayati |
   tasmāt satvadhātor ye satvāḥ syuḥ pratyavarā dhajaḍâiḍamūkajātīyāḥ |	tasmAt satva-DAtoH ye satvAH syuH pratyavarAH DajaxâixamUka-jAtIyAH |
   aparinirvāṇadharmakāḥ kṛtsnā satvadhātau na cikitsitāḥ sarvabuddhaiḥ	aparinirvANa-DarmakAH kRtsnA satva-DAtO na cikitsitAH sarva-budDEH
   sarvabodhisatvaiś ca pratyākhyātāḥ |	sarva-boDisatvEH ca pratyAKyAtAH |
   teṣāṃ madīye buddhakṣetre saṃnipātaḥ syāt |	tezAm madIye budDa-kzetre saMnipAtaH syAt |
   tān ahaṃ sarvān bodhimaṇḍe niṣīdyânuttarāṃ samyaksaṃbodhim	tAn aham sarvAn boDimaNxe nizIdyânuttarAm samyaksaMboDim
   abhisaṃbodhayeyaṃ ||	aBisaMboDayeyam ||
   evaṃ hi bodhisatvasya cintaya-	evam hi boDisatvasya cintaya-
   [ Cambridge MS f124b ---> ]	[ Cambridge M f124B ---> ]
   taś cittôtpāde cittôtpāde sarvamārabhavanāni prakampante |	tas cittôt-pAde cittôt-pAde sarva-mAra-BavanAni prakampante |
   sarvabuddhāś câsya varṇavādino bhavantîti ||	sarva-budDAH ca-asya varNa-vAdinaH Bavantîti ||
   evaṃ tāvat puṇyavṛddhikāmenâśayo dṛḍhīkartavyaḥ |	evam tAvat puNya-vRdDi-kAmenâSayaH dRXIkartavyaH |
   āśayadṛḍhīkaraṇârtham adhunôcyate |	ASaya-dRXIkaraNârTam aDunôcyate |
   kiṃ punar anena dṛḍhīkṛtenêti |	kim punar anena dRXIkRtenêti |
   vimarṣanirāsāya dharmasaṃgītisūtre gaditaṃ |āśaye samyag bhagavan	vimarza-nirAsAya Darma-saMgIti-sUtre gaditam |ASaye samyak Bagavan
   buddhadharmāṇāṃ mūlaṃ |	budDa-DarmANAm mUlam |
   yasya punar āśayo nâsti sarve buddhadharmās tasya dūre ||	yasya punar ASayaH nâsti sarve budDa-DarmAH tasya dUre ||
   āśayasaṃpannasya punar bhagavan yadi buddhā na bhavanti gaganatalād	ASaya-saMpannasya punar Bagavan yadi budDAH na Bavanti gagana-talAt-
   dharmaśabdo niścarati kuḍmavṛkṣebhyaś ca |	Darma-SabdaH niScarati kuxma-vRkzeByaH ca |
   āśayaśuddhasya bodhisatvasya svamanojalpād eva sarvâvavādânuśāsanyo	ASaya-SudDasya boDisatvasya sva-manaH-jalpAt eva sarvâvavAt-ânuSAsanyaH-
   niścaranti |	niScaranti |
   tasmāt tarhi bhagavan bodhisatvenâśayasaṃpannena bhavitavyaṃ ||	tasmAt tarhi Bagavan boDisatvenâSaya-saMpannena Bavitavyam ||
   tad yathā bhagavan yasya pādau tasya gamanaṃ evaṃ bhagavan yasyâśayas	tat yaTA Bagavan yasya pAdO tasya gamanam evam Bagavan yasyâSayas
   tasya buddhadharmāḥ |tad yathā bhagavan yasyôttamâṅgaṃ tasya jīvitaṃ evam	tasya budDa-DarmAH |tat yaTA Bagavan yasyôttam-âFgam tasya jIvitam evam
   eva bhagavan yasyâśayas tasya buddhabodhiḥ |	eva Bagavan yasyâSayaH tasya budDa-boDiH |
   tad yathā bhagavan yasya jīvitaṃ tasya lābhaḥ |	tat yaTA Bagavan yasya jIvitam tasya lABaH |
   evam eva bhagavan yasyâśayas tasya buddhatvalābhaḥ |	evam eva Bagavan yasyâSayaH tasya budDa-tva-lABaH |
   tad yathā bhagavan satītvenâgnir jvalati |	tat yaTA Bagavan satI-tvenâgniH jvalati |
   asatītvena na	asatI-tvena na
   [ Bendall ed p285 ---> ]	[ Bet-dalt ed p285 ---> ]
   jvalati |	jvalati |
   evam eva bhagavann āśaye sati bodhisatvasya sarvabuddhadharmā jvalanti |	evam eva Bagavan ASaye sati boDisatvasya sarva-budDa-DarmA jvalanti |
   asaty āśaye na jva-	asati ASaye na jva-
   [ Cambridge MS f125a ---> ]	[ Cambridge M f125aH ---> ]
   lanti |	lanti |
   tad yathā bhagavan satsv abhramegheṣu varṣaṃ varṣaty asatsu na varṣati |	tat yaTA Bagavan satsu aBra-meGezu varzam varzati asatsu na varzati |
   evam eva bhagavann āśaye sati buddhadharmāḥ pravartante |	evam eva Bagavan ASaye sati budDa-DarmAH pravartante |
   tad yathā bhagavan yasya vṛkṣasya mūlaṃ vipannaṃ tasya puṣpaphalāni na	tat yaTA Bagavan yasya vRkzasya mUlam vipannam tasya puzpa-PalAni na
   bhūyaḥ prarohanti |	BUyas prarohanti |
   evam eva bhagavan yasyâśayo vipannas tasya sarve kuśalā dharmā na bhūyaḥ	evam eva Bagavan yasyâSayaH vipannaH tasya sarve kuSalAH DarmAH na BUyas-
   saṃbhavanti |	saMBavanti |
   tasmāt tarhi bhagavan bodhisatvena buddhabodhyarthikena svâśayaḥ	tasmAt tarhi Bagavan boDisatvena budDa-boDi-arTikena svâSayaH
   sûdgṛhītaḥ svārakṣitaḥ suśodhitaḥ svadhiṣṭhitaḥ kartavyêti ||	sûdgRhItaH svArakzitaH su-SoDitaH su-aDizWitaH kartavyêti ||
   ko 'yam āśayo nāma |	kaH ayam ASayaH nAma |
   āryâkṣayamatisūtre 'bhihitaḥ |	Aryâ-kzayam-atisUtre aBihitaH |
   sa khalu punar āśayo 'kṛtrimaḥ akṛtakatvāt |	sa Kalu punar ASayaH akRtrimaH akRtaka-tvAt |
   akṛtako niḥsādhyatvāt |	akRtakaH niHsADya-tvAt |
   niḥsādhyaḥ suviditatvāt |	niHsADyaH su-vidita-tvAt |
   suvidito nirmāyatvāt |	su-viditaH nirmAya-tvAt |
   nirmāyaḥ śuddhatvāt |	nirmAyaH SudDa-tvAt |
   śuddhaḥ ṛjukatvāt |	SudDaH Rjuka-tvAt |
   ṛjukaḥ akuṭilatvāt |	RjukaH akuwila-tvAt |
   akuṭilaḥ spaṣṭatvāt |	akuwilaH spazwa-tvAt |
   spaṣṭo 'viṣamatvāt |	spazwaH avizama-tvAt |
   aviṣamaḥ sāratvāt |	avizamaH sAra-tvAt |
   sāro 'bhedyatvāt |	sAraH aBedya-tvAt |
   abhedyo dṛḍhatvāt |	aBedyaH dRXa-tvAt |
   dṛḍho 'calitatvāt |	dRXaH acalita-tvAt |
   acalitâniśritatvād ity ādi |	acalitâ-niSrita-tvAt iti Adi |
   ayam eva câdhikâdhikaguṇâdhigamapravṛtto 'dhyāśayêty ucyate ||	ayam eva câDikâDika-guNâDi-gama-pravRttaH aDyASayêti ucyate ||
   yathâtrâivôktaṃ |	yaTâtrâivôktam |
   uttaraṇâdhyāśayo viśeṣagamanatayêty ādi ||	uttaraNâDyASayaH viSeza-gamana-tayêti Adi ||
   api câdhyāśayôcyate |	api câDyASayôcyate |
   saumyatā bhūteṣu |	sOmya-tA BUtezu |
   maitratā satveṣu |	mEtra-tA satvezu |
   hitacittatâryeṣu |	hita-citta-târyezu |
   kāruṇyam anāryeṣu |	kAruNyam anAryezu |
   gauravaṃ guruṣu |	gOravam guruzu |
   trāṇatâtrāṇeṣu |	trANa-tâtrANezu |
   śaraṇatâśaraṇeṣu |	SaraNatâ-SaraNezu |
   dvīpatâdvīpeṣu |	dvIpatâ-dvIpezu |
   parāyaṇatâparāyaṇeṣu |	parAyaNatâ-parAyaNezu |
   sahāyatâsahāyeṣu |	saha-Ayatâ-sahAyezu |
   ṛjutā kuṭileṣu |	Rju-tA kuwilezu |
   spaṣṭatā khaṭuṅkeṣu |	spazwa-tA KawuFkezu |
   [ Bendall ed p286 ---> ]	[ Bet-dalt ed p286 ---> ]
   aśaṭhatā śaṭheṣu |	aSaWa-tA SaWezu |
   amāyâgahanacariteṣu |	amAyâ-gahana-caritezu |
   kṛtajñatâkṛtajñeṣu |	kRtajQa-tâ-kRtajQezu |
   kṛtaveditā drohiṣu |	kRta-veditAH drohizu |
   upakāritânupakāriṣu |	upakAritânupakArizu |
   satyatâbhūtagateṣu |	satyatâ-BUta-gatezu |
   nirmānatā śrabdheṣu |	nirmAna-tA SrabDezu |
   aninditā su anindanā kṛteṣu [[DOUBT]] |	aninditA su anindanA kRtezu [[DOUBT]] |
   anārocanatā paraskhaliteṣu |	anArocana-tA para-sKalitezu |
   ārakṣaṇatā vipratipanneṣu |	ArakzaNa-tA vipratipannezu |
   adoṣadarśanatā sarvôpāyakauśalyacaryāsu |	adoza-darSana-tA sarvô-pAya-kOSalya-caryAsu |
   śuśrūṣaṇatā sarvadakṣiṇīyeṣu |	SuSrUzaNa-tA sarva-dakziNIyezu |
   pradakṣiṇagrāhitânuśāsanīṣv ity ādi ||	pradakziNa-grAhitânuSAsanIzu iti Adi ||
   tad evaṃ vyavasāyâśayau dṛḍhīkṛtya kāruṇyaṃ puraskṛtya yate śubhavṛddhaye	tat evam vyavasAyâSayO dRXIkRtya kAruNyam puraskRtya yate SuBa-vRdDaye
   yathôktam āryadharmasaṃgītisūtre |	yaTôktam Arya-Darma-saMgIti-sUtre |
   atha khalv avalokiteśvaro bodhisatvo mahāsatvo bhagavantam etad avocat |	aTa Kalu avalokita-ISvaraH boDisatvaH mahAsatvaH Bagavantam etat avocat |
   na bhagavan bodhisatvenâtibahuṣu dharmeṣu śikṣitavyaṃ |	na Bagavan boDisatvenâti-bahuzu Darmezu Sikzitavyam |
   eko dharmo bhagavan bodhisatvena svārādhitaḥ supratividdhaḥ kartavyaḥ |	ekaH DarmaH Bagavan boDisatvena su-a-ArADitaH su-pratividDaH kartavyaH |
   tasya sarvabuddhadharmāḥ karatalagatā bhavanti |	tasya sarva-budDa-DarmAH kara-tala-gatAH Bavanti |
   katamâikadharmo |	katamâika-DarmaH |
   yad uta mahākaruṇā |	yat uta mahA-karuNA |
   mahākaruṇayā bhaga-	mahA-karuNayA Baga-
   [ Cambridge MS f126a ---> ]	[ Cambridge M f126aH ---> ]
   van bodhisatvānāṃ sarvabuddhadharmāḥ karatalagatā bhavanti |	van boDisatvAnAm sarva-budDa-DarmAH kara-tala-gatAH Bavanti |
   tad yathā bhagavan yena rājñaś cakravartinaś cakraratnaṃ gacchati |	tat yaTA Bagavan yena rAjQaH cakravartinaH cakraratnam gacCati |
   tena sarvo balakāyo gacchati |	tena sarvaH bala-kAyaH gacCati |
   evam eva bhagavan yena bodhisatvasya mahākaruṇā gacchati |	evam eva Bagavan yena boDisatvasya mahA-karuNA gacCati |
   tena sarve buddhadharmā gacchanti |	tena sarve budDa-DarmAH gacCanti |
   tad yathā bhagavann āditye udite satvāḥ karmakriyāsu pracurā bhavanti |	tat yaTA Bagavan Aditye udite satvAH karma-kriyAsu pracurAH Bavanti |
   evam eva bhagavan mahākaruṇā yatrôditā bhavati tatrânyabodhikarā dharmāḥ	evam eva Bagavat mahA-karuNA yatrôditA Bavati tatrânya-boDi-karAH DarmAH
   kriyāsu pracurā bhava-	kriyAsu pracurA Bava-
   [ Bendall ed p287 ---> ]	[ Bet-dalt ed p287 ---> ]
   nti |	nti |
   tad yathā bhagavan sarveṣām indriyāṇāṃ manasâdhiṣṭhitānāṃ svasvaviṣaye	tat yaTA Bagavan sarvezAm indriyANAm manasâDizWitAnAm sva-sva-vizaye
   grahaṇaprācuryaṃ bhavati |	grahaNa-prAcuryam Bavati |
   evam eva bhagavan mahākaruṇâdhiṣṭhitānām anyeṣāṃ bodhikarāṇāṃ dharmāṇāṃ	evam eva Bagavat mahA-karuNâ-DizWitAnAm anyezAm boDi-karANAm DarmANAm
   svasmin svasmin karaṇīye prācuryaṃ bhavati |	svasmin svasmin karaNIye prAcuryam Bavati |
   tad yathā bhagavan jīvitêndriye saty anyeṣām indriyāṇāṃ pravṛttir bhavati	tat yaTA Bagavan jIvitêndriye sati anyezAm indriyANAm pravRttiH Bavati
   evam eva bhagavan mahākaruṇāyāṃ satyām anyeṣāṃ bodhikarāṇāṃ dharmāṇāṃ	evam eva Bagavat mahA-karuNAyAm satyAm anyezAm boDi-karANAm DarmANAm
   pravṛttir bhavatîti ||	pravRttiH Bavatîti ||
   āryâkṣayamatisūtre 'py āha ||	Aryâ-kzayam-atisUtre api Aha ||
   tad yathâpi nāma bhadanta sāradvatīputra puruṣasya jīvitêndriyasyâśvāsāḥ	tat yaTâpi nAma Badanta sAradvatI-putra puruzasya jIvitêndriyasyâSvAsAH
   praśvāsāḥ pūrvaṃgamāḥ |	praSvAsAH pUrvaMgamAH |
   evam eva bhadanta sāradvatīputra bodhisatvasya mahāyānasamudāgatasya	evam eva Badanta sAradvatI-putra boDisatvasya mahAyAna-samudAgatasya
   mahākaruṇā pūrvaṃgamāḥ ||	mahA-karuNA pUrvaMgamAH ||
   pe ||	pe ||
   syād yathâpi nāma śreṣṭhi-	syAt yaTâpi nAma SrezWi-
   [ Cambridge MS f126b ---> ]	[ Cambridge M f126B ---> ]
   no vā gṛhapater vâikaputrake guṇavati majjāgataṃ prema |	no vA gRhapateH vâika-putrake guNavati majjA-gatam prema |
   evam eva mahākaruṇāpratilabdhasya bodhisatvasya sarvasatveṣu majjāgataṃ	evam eva mahA-karuNA-pratilabDasya boDisatvasya sarva-satvezu majjA-gatam
   premêti ||	premêti ||
   katham eṣā bhāvayitavyā |	kaTam ezA BAvayitavyA |
   svakam anekavidhaṃ pūrvânubhūtam anubhūyamānaṃ vā duṣkhaṃ bhayaṃ ca	svakam anekaviDam pUrvânuBUtam anuBUyamAnam vA duzKam Bayam ca
   svâtmany atyantam aniṣṭaṃ bhāvayitvā |	svâtmani atyantam anizwam BAvayitvA |
   priyâdiṣu maitrī maitrīvatā bhāvayitavyā pratyutpannaduṣkhavyādhiṣu	priyâdizu mEtrI mEtrIvatA BAvayitavyA pratyutpanna-duzKa-vyADizu
   mahāduṣkhasāgarânavadhidīrghasaṃsāravyasanânunīteṣu vā ||	mahA-duzKa-sAgarânavaDi-dIrGa-saMsAra-vyasanâ-nunItezu vA ||
   yathôktam āryadaśabhūmakasūtre |	yaTôktam Arya-daSa-BUmaka-sUtre |
   tasyâivaṃ bhavaty āścaryaṃ yāvad ajñānasaṃmūḍhā vatême bālapṛthagjanāḥ |	tasyâivam Bavati AScaryam yAvat ajQAna-saMmUXAH vatême bAla-pRTagjanAH |
   yeṣām asaṃkhyeyâtmabhāvā niruddhā nirudhyante nirotsyante ca |	yezAm asaMKyeyâtma-BAvAH nirudDAH niruDyante nirotsyante ca |
   evaṃ ca kṣīyamāṇā kāye na nirvedam utpādayanti |	evam ca kzIyamANA kAye na nirvedam utpAdayanti |
   bhūyasyā mātrayā duṣkhayantraṃ vivardhayanti |	BUyasyAH mAtrayA duzKa-yantram vivarDayanti |
   saṃsāraśrotasaś ca mahābhayān na	saMsAra-SrotasaH ca mahA-BayAt na
   [ Bendall ed p288 ---> ]	[ Bet-dalt ed p288 ---> ]
   nivartante |	nivartante |
   skandhâlayaṃ ca nôtsṛjanti |	skanDâlayam ca nôtsRjanti |
   dhātûragebhyaś ca na nirvidyante |	DAtûrageByaH ca na nirvidyante |
   nandīrāgândhāś ca nâvabudhyante |	nandIra-agânDAH ca nâvabuDyante |
   ṣaḍāyatanaśūnyagrāmaṃ ca na vyavalokayanti |	zaz-Ayatana-SUnya-grAmam ca na vyavalokayanti |
   ahaṃkāramamakārâbhiniveśânuśayaṃ ca na prajahanti |	ahaMkAra-mamakArâBiniveSânuSayam ca na prajahanti |
   mānadṛṣṭiśalyaṃ ca nôddharanti |	mAna-dRzwi-Salyam ca nôdDaranti |
   rāgadveṣamohajālaṃ ca na praśamayanti |	rAga-dveza-moha-jAlam ca na praSamayanti |
   avidyāmohândhakāraṃ ca na vidhamayanti |	avidyA-mohânDakAram ca na viDamayanti |
   tṛṣṇârṇa-	tRzNârNa-
   [ Cambridge MS f127a ---> ]	[ Cambridge M f127aH ---> ]
   vaṃ ca nôcchoṣayanti |	vam ca nôcCozayanti |
   daśabalasârthavāhaṃ ca na paryeṣante |	daSa-bala-sârTavAham ca na paryezante |
   mārâśayagahanânugatāś ca saṃsārasāgare vividhâkuśalavitarkagrāhâkule	mArâSaya-gahanânugatAH ca saMsAra-sAgare viviDâ-kuSala-vitarka-grAhâ-kule
   pariplavante |	pariplavante |
   apratiśaraṇāḥ tathā saṃvegam āpadyante bahūni duṣkhāni pratyanubhavantaḥ |	apratiSaraNAH taTA saMvegam Apadyante bahUni duzKAni pratyanuBavantaH |
   yad idaṃ jātijarāvyādhimaraṇaśokaparidevaduṣkhadaurmanasyôpāyāsān |	yat idam jAti-jarA-vyADi-maraNa-Soka-parideva-duzKa-dOrmanasyôpAyAsAn |
   hantâham eṣāṃ satvānāṃ duṣkhârtānām anāthānām atrāṇānām aśaraṇānām	hantâham ezAm satvAnAm duzKârtAnAm anATAnAm atrANAnAm aSaraNAnAm
   alayanānām âparāyaṇānām andhānām avidyâṇḍakoṣapaṭalaparyavanaddhānāṃ	alayanAnAm âparAyaNAnAm anDAnAm avidyâNxa-koza-pawala-paryavanadDAnAm
   tamoabhibhūtānām arthāyâiko 'dvitīyo bhūtvā	tamoaBiBUtAnAm arTa-AyâikaH advitIyaH BUtvA
   tathārūpapuṇyajñānasaṃbhārôpacayaṃ bibharmi |	taTArUpa-puNya-jQAna-saMBArôpacayam biBarmi |
   yathārūpeṇa puṇyajñānasaṃbhārôpacayena saṃbhṛtenême	yaTArUpeNa puNya-jQAna-saMBArô-pacayena saMBRtet-ême
   sarvasatvâbhyantaviśuddhim anuprāpnuyur iti ||	sarva-satvâByanta-viSudDim anuprApnuyuH iti ||
   tathâtrâivâha |	taTâtrâivâha |
