   1. Vairagyaprakarana	1. VEragya prakarana
   "gardhaḥ" upabhogalobhaḥ | "sollāsam" iti kriyāviśeṣaṇam || MoT_1,21.10 ||	"garDaH" upaBoga loBaH | "sollAsam" iti kriyA viSezaNam || MoT_1,21.10 ||
        jarājīrṇabakī {#7} yāvat kāsakreṅkārakāriṇī /	jarA jIrNa bakI {#7} yAvat kAsa kreFkAra kAriNI /
        rauti rogoragākīrṇā kāyadrumaśiraḥsthitā // Mo_1,21.11 //	rOti roga uraga AkIrNA kAya druma SiraH sTitAH // MaH _1,21.11 //
        tāvad āgata evāśu kuto 'pi paridṛśyate /	tAvat AgataH eva ASu kutas api paridRSyate /
        ghanāndhatimirākāṅkṣī mune maraṇakauśikaḥ // Mo_1,21.12 //	Gana anDa timirA kAFkzI mune maraNa kOSikaH // MaH _1,21.12 //
   "kāsaḥ" {#8} rogaviśeṣaḥ || MoT_1,21.11 12 ||	"kAsaH" {#8} roga viSezaH || MoT_1,21.11 12 ||
   ***NOTES:#7 °4: °bake;	***NOTa ES:#7 °4: °bake;
   #8 N11, °4: kāmaḥ	#8 N11, °4: kAmaH
        sāyaṃsandhyāprajātaiva tamaḥ samanudhāvati /	sAyaMsanDyA prajAtA eva tamaH samanuDAvati /
        jarā vapuṣi dṛṣṭaiva mṛtiṃ samanudhāvati {#9} // Mo_1,21.13 //	jarA vapuzi dRzwA eva mRtim samanuDAvati {#9} // MaH _1,21.13 //
   spaṣṭam || MoT_1,21.13 ||	spazwam || MoT_1,21.13 ||
   ***NOTES:	***NOTa ES:
   #9 °4: samunu°	#9 °4: samunu°
        jarākusumitaṃ dehadrumaṃ dṛṣṭvaiva dūrataḥ /	jarA kusumitam deha drumam dRzwvA eva dUratas /
        mṛtibhṛṅgī drutam brahman narasyāyāti sūtsukā // Mo_1,21.14 //	mRti BRFgI drutam brahman narasya AyAti su utsukAH // MaH _1,21.14 //
   suṣṭhu {#10} utsukā "sūtsukā" || MoT_1,21.14 ||	suzWu {#10} utsukA "su utsukA" || MoT_1,21.14 ||
   ***NOTES:	***NOTa ES:
   #10 °4: sra°	#10 °4: sra°
        śūnyaṃ nagaram ābhāti {#11} bhāti cchinnalato drumaḥ /	SUnyam nagaram ABAti {#11} BAti cCinna lataH drumaH /
        bhāty anāvṛṣṭimān deśo na jarājarjaraṃ vapuḥ // Mo_1,21.15 //	BAti anAvRzwimAn deSaH na jarA jarjaram vapuH // MaH _1,21.15 //
   "śūnyanagarā"dibhyo 'pi aśubham eva vṛddhatvam iti bhāvaḥ || MoT_1,21.15	"SUnya nagarA"diByaH api aSuBam eva vRdDa tvam iti BAvaH || MoT_1,21.15
   ||     kṣaṇān nigiraṇāyaiva kāsakvaṇitakāriṇī /	||     kzaNAt nigiraNAya eva kAsa kvaNita kAriNI /
        gṛdhrīvāmiṣam {#12} ādatte {#13} tarasaiva naraṃ jarā // Mo_1,21.16	gRDrI iva Amizam {#12} Adatte {#13} tarasA eva naram jarA // MaH _1,21.16
   spaṣṭam || MoT_1,21.16 ||	spazwam || MoT_1,21.16 ||
   ***NOTES:	***NOTa ES:
   #11 °4: āyā°	#11 °4: AyA°
   #12 N11, °4: °ddhrī°	#12 N11, °4: °dDrI°
   #13 N11, °4: ādha°	#13 N11, °4: ADa°
        dṛṣṭvaiva sūtsukevāśu pragṛhya śirasi kṣaṇāt /	dRzwvA eva sUtsukA iva ASu pragRhya Sirasi kzaNAt /
        pralunāti jarā dehaṃ kumārī kairavaṃ yathā // Mo_1,21.17 //	pralunAti jarA deham kumArI kEravam yaTA // MaH _1,21.17 //
   spaṣṭam || MoT_1,21.17 ||	spazwam || MoT_1,21.17 ||
        sītkārakāriṇī pāṃsuparuṣā parijarjaram /	sItkAra kAriNI pAMsu paruzA parijarjaram /
        śarīraṃ śātayaty eṣā vātyeva tarupallavam // Mo_1,21.18 //	SarIram SAtayati ezA vAti eva taru pallavam // MaH _1,21.18 //
   "eṣā" jarā | jarāgṛhītaḥ "vāta"gṛhītaś ca puruṣaḥ "sītkāraṃ karoti"	"ezA" jarA | jarA gRhItaH "vAta"gRhItaH ca puruzaH "sItkAram karoti"
   || MoT_1,21.18 ||	|| MoT_1,21.18 ||
        jarasopahato deho dhatte jarjaratāṃ gataḥ /	jarasA upahataH dehaH Datte jarjara tAm gataH /
        tuṣāranikarākīrṇaparimlānāmbujaśriyam {#14} // Mo_1,21.19 //	tuzAra nikara AkIrNa parimlAna ambuja Sriyam {#14} // MaH _1,21.19 //
   spaṣṭam || MoT_1,21.19 ||	spazwam || MoT_1,21.19 ||
   ***NOTES:	***NOTa ES:
   #14 °4: °kīrṇaṃ	#14 °4: °kIrNam
        jarājyotsnoditaiveyaṃ śiraḥśikharipṛṣṭhataḥ /	jarA Ajya utsnA uditA eva iyam SiraH SiKari pRzWataH /
        vikāsayati saṃrabdhavātāṃ kāsakumudvatīm // Mo_1,21.20 //	vikAsayati saMrabDa vAtAm kAsa kumudvatIm // MaH _1,21.20 //
   "saṃrabdhaḥ" ārabdhaḥ | "vātaḥ" vātarogaḥ yayā | sā | tām || MoT_1,21.20	"saMrabDaH" ArabDaH | "vAtaH" vAta rogaH yayA | sA | tAm || MoT_1,21.20
        paripakvaṃ samālokya jarākṣāravidhūsaram /	paripakvam samAlokya jarA kzAra viDUsaram /
        śiraḥkuṣmāṇḍakam {#15} bhuṅkte puṃsaḥ kālaḥ kileśvaraḥ // Mo_1,21.21	SiraH kuzmANxakam {#15} BuFkte puMsaH kAlaH kila ISvaraH // MaH _1,21.21
   "śira" eva "kuṣmāṇḍakam" phalaviśeṣaḥ || MoT_1,21.21 ||	"Sira" eva "kuzmANxakam" Pala viSezaH || MoT_1,21.21 ||
   ***NOTES:	***NOTa ES:
   #15 °4: °ke	#15 °4: °ke
        jarājahnusutodyuktā mūlāny asya nikṛntati /	jarA jahnu suta udyuktAH mUlAni asya nikRntati /
        śarīratīravṛkṣasya calasyāyūṃṣi satvaram // Mo_1,21.22 //	SarIra tIravRkzasya calasya AyUMzi satvaram // MaH _1,21.22 //
   "udyuktā" pravṛttā | "āyūṃṣi" "mūlāni" āyurākhyāni mūlāni || MoT_1,21.22	"udyuktA" pravRttA | "a AyUMzi" "mUlAni" AyuH AKyAni mUlAni || MoT_1,21.22
        jarāmārjārikā bhuktayauvanākhutayendhitā {#16} /	jarA mArjArikA Bukta yOvana AKutayA inDitAH {#16} /
        param ullāsam āyāti śarīrāmiṣagardhinī // Mo_1,21.23 //	param ullAsam AyAti SarIra Amiza garDinI // MaH _1,21.23 //
   spaṣṭam || MoT_1,21.23 ||	spazwam || MoT_1,21.23 ||
   ***NOTES:	***NOTa ES:
   #16 N11, °4: °edhi°	#16 N11, °4: °eDi°
        kācid asti jagaty asmin nāmaṅgalakarī tathā /	kAcid asti jagatI asmin na amaFgala karI taTA /
        yathā jarākrośakarī dehajaṅgalajambukī // Mo_1,21.24 //	yaTA jarA kroSa karI deha jaFgala jambukI // MaH _1,21.24 //
   spaṣṭam || MoT_1,21.24 ||	spazwam || MoT_1,21.24 ||
        kāsaśvāsasasītkārā duḥkhadhūmatamomayī /	kAsa SvAsa sasItkArA duHKa DUma tamaH mayI /
        jarājvālā jvalaty eṣā yayāsau dagdha eva hi // Mo_1,21.25 //	jarA jvAlA jvalati ezA yayA asO dagDaH eva hi // MaH _1,21.25 //
   "asau" vṛddhaḥ || MoT_1,21.25 ||	"asO" vRdDaH || MoT_1,21.25 ||
        jarasā {#17} vakratām eti śuklāvayavapallavā /	jarasA {#17} vakra tAm eti Sukla avayava pallavAH /
        tāta tanvī tanur nṝṇāṃ latā puṣpānatā yathā // Mo_1,21.26 //	tAta tanvI tanuH nLNAm latA puzpa AnatA yaTA // MaH _1,21.26 //
   spaṣṭam || MoT_1,21.26 ||	spazwam || MoT_1,21.26 ||
   ***NOTES:	***NOTa ES:
   #17 °4: jārā°	#17 °4: jArA°
        jarākarpūradhavalaṃ dehakarpūrapādapam /	jarA karpUra Davalam deha karpUra pAdapam /
        mune maraṇamātaṅgo nūnam uddharati kṣaṇāt // Mo_1,21.27 //	mune maraNa mAtaFgaH nUnam udDarati kzaNAt // MaH _1,21.27 //
   spaṣṭam || MoT_1,21.27 ||	spazwam || MoT_1,21.27 ||
        maraṇasya mune rājño jarādhavalacāmarā /	maraNasya mune rAjQaH jarA Davala cAmarA /
        āgacchato 'gre niryāti svādhivyādhipatākinī // Mo_1,21.28 //	AgacCataH agre niryAti svADi vyADi patAkinI // MaH _1,21.28 //
   spaṣṭam || MoT_1,21.28 ||	spazwam || MoT_1,21.28 ||
        na jitāḥ śatrubhiḥ saṅkhye ye niṣpiṣṭādrikoṭayaḥ /	na jitAH SatruBiH saFKye ye nizpizwa adri kowayaH /
        te jarājīrṇarākṣasyā paśyāśu vijitā mune // Mo_1,21.29 //	te jarA jIrNa rAkzasyA paSya ASu vijitAH mune // MaH _1,21.29 //
   spaṣṭam || MoT_1,21.29 ||	spazwam || MoT_1,21.29 ||
        jarātuṣāradhavale śarīrasadanāntare /	jarA tuzAra Davale SarIra sadana antare /
        śaknuvanty akṣaśiśavaḥ spandituṃ na manāg api // Mo_1,21.30 //	Saknuvanti akza SiSavaH spanditum na manAk api // MaH _1,21.30 //
   "akṣaśiśavaḥ" indriyabālakāḥ || MoT_1,21.30 ||	"akza SiSavaH" indriya bAlakAH || MoT_1,21.30 ||
        saṃsārasaṃsṛter asyā gandhakuṭyāḥ śirogatā /	saMsAra saMsRteH asyAH ganDakuwyAH SiraH gatAH /
        dehayaṣṭyā jarānāmnī cāmaraśrīr virājate // Mo_1,21.31 //	deha yazwyA jarA nAmnI cAmara SrIH virAjate // MaH _1,21.31 //
   "gandhakuṭyāḥ" "śirasi" "cāmaraṃ" sthāpyate | ghaṭakuṭyā iti vā pāṭhaḥ	"ganDa kuwyAH" "Sirasi" "cAmaraM" sTApyate | GawakuwyAH iti vA pAWaH
   || MoT_1,21.31 ||	|| MoT_1,21.31 ||
        jarācandrodayasite śarīranagare sthite /	jarA candra udaya site SarIra nagare sTite /
        kṣaṇād vikāsam āyāti mune maraṇakairavam // Mo_1,21.32 //	kzaNAt vikAsam AyAti mune maraNa kEravam // MaH _1,21.32 //
   spaṣṭam || MoT_1,21.32 ||	spazwam || MoT_1,21.32 ||
        jarāsudhālepasite śarīrāntaḥpurāntare /	jarA suDA Alepa site SarIra antaHpura antare /
        aśaktir ādhir ārtiś ca tiṣṭhanti sukham aṅganāḥ // Mo_1,21.33 //	aSaktiH ADiH ArtiH ca tizWanti suKam aFganAH // MaH _1,21.33 //
   spaṣṭam || MoT_1,21.33 ||	spazwam || MoT_1,21.33 ||
        abhāvāgre sarā yatra jarā jayati jantuṣu /	aBAva agre sarAH yatra jarA jayati jantuzu /
        kas tatreha samāśvāso mama mandamater mune // Mo_1,21.34 //	kaH tatra iha samASvAsaH mama manda mateH mune // MaH _1,21.34 //
   "abhāvasya" maraṇasy"āgre sarā" || MoT_1,21.34 ||	"aBAvasya" maraNasy"A agre sarA" || MoT_1,21.34 ||
   sargāntaślokena jarānindāṃ samāpayati	sarga anta Slokena jarA nindAm samApayati
        kiṃ tena durjīvitadurgraheṇa {#18}	kim tena durjIvita durgraheNa {#18}
        jarāṃ gatenāpi hi jīvyate yat /	jarAm gatena api hi jIvyate yat /
        jarā jagatyām ajitā narāṇāṃ	jarA jagatyAm ajitAH narANAm
        sarvaiṣaṇās tāta tiraskaroti // Mo_1,21.35 //	sarva ezaNAH tAta tiraskaroti // MaH _1,21.35 //
   "tena" prasiddhena | "durjīvitadurgraheṇa" kutsitajīvitākhyena	"tena" prasidDena | "duH jIvita durgraheNa" kutsita jIvita AKyena
   duṣṭagraheṇa | "jarāgatenāpi" satā {#19} "kiṃ" "jīvyate" kimarthaṃ jīvyate	duzwa graheNa | "jara Agatena api" satA {#19} "kiM" "jIvyate" kim arTam jIvyate
   | vyarthaṃ jīvyate iti yāvat | "hi" niścaye | he "tāta" | "yad" yasmāt	| vyarTam jIvyate iti yAvat | "hi" niScaye | he "tAta" | "yad" yasmAt 
   kāraṇāt | "jagatyāṃ" jagati | "ajitā" "jarā narāṇāṃ" "sarvaiṣaṇāḥ"	kAraNAt | "jagatyAn" jagati | "ajitA" "jarAH narANAn" "sarva ezaNAH"
   samastāḥ {#20} ceṣṭāḥ | "tiraskaroti" nayati | iti śivam || MoT_1,21.35 ||	samastAH {#20} cezwAH | "tiraskaroti" nayati | iti Sivam || MoT_1,21.35 ||
   ***NOTES:	***NOTa ES:
   #18 °4: °heheṇa	#18 °4: °heheNa
   #19 °4: su°	#19 °4: su°
   #20 N11, °4: °astā	#20 N11, °4: °aH tA
   iti śrībhāskarakaṇṭhaviracitāyāṃ śrīmokṣopāyaṭīkāyāṃ vairāgyaprakaraṇe	iti SrI BAskara kaNWa viracitAyAm SrI mokza upAyawIkAyAm vErAgya prakaraNe
   ekaviṃśaḥ sargaḥ || 1,21 ||	ekaviMSaH sargaH || 1,21 ||
   {#1} evaṃ jarānindāṃ kṛtvā kālanindām {#2} prastauti	{#1} evam jarA nindAm kRtvA kAla nindAm {#2} prastOti
        vikalpakalpanānalpakalpitair alpabuddhibhiḥ /	vikalpa kalpanA analpa kalpitEH alpa budDiBiH /
        bhedair uddharatāṃ nītaḥ saṃsārakuhakabhramaḥ // Mo_1,22.1 //	BedEH udDara tAm nItaH saMsAra kuhaka BramaH // MaH _1,22.1 //
   "bhedaiḥ" kathambhūtaiḥ | vikalpakalpanābhiḥ "analpam" atyantaṃ |	"BedEH" kaTamBUtEH | vikalpa kalpanABiH "analpam" atyantam |
   "kalpitaiḥ" | asatyabhūtair ity arthaḥ | "saṃsāra "eva "kuhakabhramaḥ"	"kalpitEH" | asatya BUtEH iti arTaH | "saMsAraH "A iva "kuhaka BramaH"
   mithyābhramaḥ || MoT_1,22.1 ||	miTyA BramaH || MoT_1,22.1 ||
   ***NOTES:	***NOTa ES:
   #1 N11: śrīrāmāya namaḥ	#1 N11: SrI rAmAya namaH
   #2 °4: *kṛtvā kālanindāṃ*	#2 °4: *kRtvA kAla nindAM*
        satāṃ katham ivāstheha jāyate jālapañjare /	satAm kaTam iva AsTA iha jAyate jAla paQjare /
        bālā evāttum icchanti phalam makurabimbitam // Mo_1,22.2 //	bAlAH eva attum icCanti Palam makura bimbitam // MaH _1,22.2 //
   "iha" "jālapañjare" indrajālapañjararūpe saṃsāre ity arthaḥ | bhāmetivat	"iha" "jAla paQjare" indrajAla paQjara rUpe saMsAre iti arTaH | BAma iti vat 
   prayogaḥ {#3} | "attum" bhakṣitum || MoT_1,22.2 ||	prayogaH {#3} | "attum" Bakzitum || MoT_1,22.2 ||
   ***NOTES:	***NOTa ES:
   #3 Vgl. Mbh I 6,25; 111,24	#3 Vgl. MB I 6,25; 111,24
        ihāpi vidyate yaiṣā pelavā sukhabhāvanā /	iha api vidyate yA ezA pelavA suKa BAvanA /
        ākhus tantum ivāśeṣaṃ kālas tām api kṛntati // Mo_1,22.3 //	AKuH tantum iva aSezam kAlaH tAm api kRntati // MaH _1,22.3 //
   "aśeṣam" iti kriyāviśeṣaṇam | "tāṃ" sukhabhāvanām || MoT_1,22.3 ||	"aSezam" iti kriyA viSezaNam | "tAM" suKa BAvanAm || MoT_1,22.3 ||
        na tad astīha yad ayaṃ kālas sakalaghasmaraḥ /	na tat asti iha yat ayam kAlaH sakala GasmaraH /
        grasate na jagajjātam mahābdhim iva vāḍavaḥ // Mo_1,22.4 //	grasate na jagat jAtam mahA abDim iva vAxavaH // MaH _1,22.4 //
   spaṣṭam || MoT_1,22.4 ||	spazwam || MoT_1,22.4 ||
        samastasāmānyatayā bhīmaḥ kālo maheśvaraḥ /	samasta sAmAnyatayA BImaH kAlaH maheSvaraH /
        dṛśyasattām imāṃ sarvāṃ kavalīkartum udyataḥ // Mo_1,22.5 //	dRSya sat tAm imAm sarvAm kavalIkartum udyataH // MaH _1,22.5 //
   spaṣṭam || MoT_1,22.5 ||	spazwam || MoT_1,22.5 ||
        mahatām api no devaḥ pratipālayati kṣaṇāt /	mahatAm api naH devaH pratipAlayati kzaNAt /
        kālaḥ kavalitānantaviśvo viśvātmatāṃ gataḥ // Mo_1,22.6 //	kAlaH kavalita ananta viSvaH viSvAtma tAm gataH // MaH _1,22.6 //
   "no" "pratipālayati" na pratīkṣate | "viśvātmatāṃ" vyāpakatāṃ	"no" "pratipAlayati" na pratIkzate | "viSvAtma tAM" vyApaka tAm
   || MoT_1,22.6 ||	|| MoT_1,22.6 ||
        yugavatsarakalpākhyaiḥ kiñcit prakaṭatāṃ gataḥ /	yuga vatsara kalpa AKyEH kiQcid prakawa tAm gataH /
        rūpair alakṣyarūpātmā sarvam ākramya tiṣṭhati // Mo_1,22.7 //	rUpEH alakzya rUpa AtmA sarvam Akramya tizWati // MaH _1,22.7 //
   sūryavārādivaśena jñātair iti śeṣaḥ || MoT_1,22.7 ||	sUryavAra Adi vaSena jQAtEH iti SezaH || MoT_1,22.7 ||
        ye ramyā ye śubhārambhāḥ sumeruguravo 'pi ye /	ye ramyAH ye SuBa AramBAH sumeru guravaH api ye /
        kālena vinigīrṇās {#4} te karabheṇeva {#5} pallavāḥ // Mo_1,22.8 //	kAlena vinigIrNAH {#4} te karaBeNa iva {#5} pallavAH // MaH _1,22.8 //
   spaṣṭam || MoT_1,22.8 ||	spazwam || MoT_1,22.8 ||
   ***NOTES:	***NOTa ES:
   #4 °4: nirvi°	#4 °4: nirvi°
   #5 °4: °ṇaiva	#5 °4: °NA eva
        nirdayaḥ kaṭhinaḥ krūraḥ karkaśaḥ kṛpaṇo 'dhamaḥ /	nirdayaH kaWinaH krUraH karkaSaH kRpaNaH aDamaH /
        na tad asti yad adyāpi na kālo nigiraty ayam // Mo_1,22.9 //	na tat asti yat adya api na kAlaH nigirati ayam // MaH _1,22.9 //
   paunaruktyaprayogaḥ {#6} krodhāveśabāhulyaṃ sūcayati || MoT_1,22.9 ||	pOnarukti aprayogaH {#6} kroDa AveSa bAhulyam sUcayati || MoT_1,22.9 ||
   ***NOTES:	***NOTa ES:
   #6 °4: °uktyā	#6 °4: °uktyA
        kālaḥ kavalanaikāntamatir atti girīn api /	kAlaH kavala na ekAnta matiH atti girIn api /
        anantair api bhogaughair nāyaṃ tṛpto mahāśanaḥ // Mo_1,22.10 //	anantEH api Boga oGEH na ayam tRptaH mahA aSanaH // MaH _1,22.10 //
   "mahāśanaḥ" bahvāśī {#7} || MoT_1,22.10 ||	"mahA aSanaH" bahu ASI {#7} || MoT_1,22.10 ||
   ***NOTES:	***NOTa ES:
   #7 N11: °āśīḥ	#7 N11: °a ASIH
        haraty ayaṃ nāśayati karoty atti nihanti ca /	harati ayam nASayati karoti atti nihanti ca /
        kālaḥ saṃsāranṛtye {#8} hi nānārūpair yathā naṭaḥ // Mo_1,22.11 //	kAlaH saMsAra nRtye {#8} hi nAnA rUpEH yaTA nawaH // MaH _1,22.11 //
   spaṣṭam || MoT_1,22.11 ||	spazwam || MoT_1,22.11 ||
   ***NOTES:	***NOTa ES:
   #8 N11, °4: °yaṃ	#8 N11, °4: °yam
        bhinatti pravibhāgastho bhūtabījāny anāratam /	Binatti praviBAga sTaH BUta bIjAni anAratam /
        jagaty asattayā cañcvā dāḍimāni yathā śukaḥ // Mo_1,22.12 //	jagati asat tayA caQcvA dAximAni yaTA SukaH // MaH _1,22.12 //
   "pravibhāge" ti"ṣṭha"tīti tādṛśaḥ | pravibhāgakārīty arthaḥ || MoT_1,22.12	"praviBAge" ti"zWa"ti iti tAdRSaH | praviBAga kArI iti arTaH || MoT_1,22.12
        śubhāśubhaviṣāṇāgravilūnajanapallavaḥ /	SuBa aSuBa vizANa agra vilUna jana pallavaH /
        sphūrjati sphītajanatājīvarājīvinīgajaḥ // Mo_1,22.13 //	sPUrjati sPIta jana tA jIva rAjIvinI gajaH // MaH _1,22.13 //
   "sphītā" {#9} sphāratvaṃ gatā | "jīvarājīvinī" jīvayuktā padminī	"sPItA" {#9} sPAra tvam gatA | "jIva rAjIvinI" jIva yuktA padminI
   || MoT_1,22.13 ||	|| MoT_1,22.13 ||
   ***NOTES:	***NOTa ES:
   #9 N11, °4: °tāḥ	#9 N11, °4: °tAH
        viriñcamajjabrahmāṇḍabṛhadvilvaphaladrumam /	viriQca majja brahmANxa bRhat vilva Pala drumam /
        brahmakānanam ābhogi param āvṛtya tiṣṭhati // Mo_1,22.14 //	brahma kAnanam ABogi param AvRtya tizWati // MaH _1,22.14 //
   "brahmāṇḍe" hi "viriñca" eva sārabhūto bhavatīti "viriñcamajje"ty uktaṃ |	"brahmANxe" hi "viriQca" eva sAra BUtaH Bavati iti "viriQca majje"ti uktam |
   "āvṛtya" ācchādya | etena brahmaṇy api kālasparśa uktaḥ || MoT_1,22.14 ||	"AvRtya" AcCAdya | etena brahmaNi api kAla sparSaH uktaH || MoT_1,22.14 ||
        yāminībhramarīpūrṇā racayan dinamañjarīḥ /	yAminI BramarI pUrNAH racayan dina maQjarIH /
        varṣakalpakalāvallīr na kadācana khidyate // Mo_1,22.15 //	varza kalpa kalA vallIH na kadAcana Kidyate // MaH _1,22.15 //
   kāla iti śeṣaḥ | kālaḥ kiṃ kurvan | "varṣakalpakalāvallī" "racayann" iti	kAlaH iti SezaH | kAlaH kim kurvan | "varza kalpa kalA vallI" "racayann" iti
   yojyam || MoT_1,22.15 ||	yojyam || MoT_1,22.15 ||
        bhidyate nāvabhagno 'pi dagdho 'pi hi na dahyate /	Bidyate na avaBagnaH api dagDaH api hi na dahyate /
        dṛśyate nātidṛśyo 'pi dhūrtacūḍāmaṇir {#10} mune // Mo_1,22.16 //	dRSyate na atidRSyaH api DUrta cUxAmaNiH {#10} mune // MaH _1,22.16 //
   "atidṛśya"tvaṃ kālasya ṛtuguṇādidarśanena jñeyam | "na dṛśyate"	"ati dRSya"tvam kAlasya Rtu guNa Adi darSanena jQeyam | "na dRSyate"
   ākārābhāvāt | "dhūrto 'pi" evaṃvidho bhavatīti "dhūrtacūḍāmaṇir" ity uktam	AkAra aBAvAt | "DUrtaH api" evaMviDaH Bavati iti "DUrta cUxAmaNir" iti uktam
   || MoT_1,22.16 ||	|| MoT_1,22.16 ||
   ***NOTES:	***NOTa ES:
   #10 N11: dhūrtaḥ	#10 N11: DUrtaH
        ekenaiva nimeṣeṇa kiñcid utthāpayaty alam /	ekena eva nimezeNa kiQcid utTApayati alam /
        kiñcid vināśayaty uccair manorājyavad ātataḥ // Mo_1,22.17 //	kiQcid vinASayati uccEs manaH rAjya vat AtataH // MaH _1,22.17 //
   spaṣṭam || MoT_1,22.17 ||	spazwam || MoT_1,22.17 ||
        durvilāsavilāsinyā ceṣṭayā {#11} paripuṣṭayā /	durvilAsa vilAsinyA cezwayA {#11} paripuzwayA /
        darvyeva sūpakṛt sūpaṃ janam āvartayan {#12} sthitaḥ // Mo_1,22.18 //	darvyA iva sUpakRt sUpam janam Avartayan {#12} sTitaH // MaH _1,22.18 //
   "āvartayan" {#13} bhramayan || MoT_1,22.18 ||	"a Avartayan" {#13} Bramayan || MoT_1,22.18 ||
   ***NOTES:	***NOTa ES:
   #11 N11: °yayā	#11 N11: °yayA
   #12 °4: °vatta°	#12 °4: °vatta°
   #13 °4: °vatta°	#13 °4: °vatta°
        tṛṇam {#14} pāṃsum mahendraṃ ca sumerum parṇam arṇavam  /	tRNam {#14} pAMsum mahA indram ca sumerum parNam arNavam  /
        ātmasphāratayā sarvam ātmasātkartum udyataḥ // Mo_1,22.19 //	Atma sPAra tayA sarvam AtmasAt kartum udyataH // MaH _1,22.19 //
   "ātmanaḥ" yā "sphāratā" vyāpakatā | tayā | "ātmasātkartum" svādhīnaṃ	"a AtmanaH" yA "sPAra tA" vyApaka tA | tayA | "a AtmasAt kartum" svADInam
   kartum || MoT_1,22.19 ||	kartum || MoT_1,22.19 ||
   ***NOTES:	***NOTa ES:
   #14 °4: tṛṇa°	#14 °4: tRNa°
        krauryam atraiva paryāptaṃ lubdhatātraiva saṃsthitā /	krOryam atra eva paryAptam lubDa tA atrA eva saMsTitA /
        sarvaṃ daurbhāgyam atraiva sarvam atraiva cāpalam // Mo_1,22.20 //	sarvam dOrBAgyam atra eva sarvam atra eva cApalam // MaH _1,22.20 //
   "atraiva" asmin kāle eva | "paryāptam" pūrṇam || MoT_1,22.20 ||	"atra eva" asmin kAle eva | "paryAptam" pUrNam || MoT_1,22.20 ||
        prerayaṃl līlayārkendū krīḍatīha nabhastale /	prerayan lIlayA arkA indU krIxati iha naBastale /
        nikṣiptavīṭāyugalo nije bāla ivāṅgane // Mo_1,22.21 //	nikzipta vIwA yugalaH nije bAlaH iva aFgane // MaH _1,22.21 //
   "vīṭā" kandukaṃ || MoT_1,22.21 ||	"vIwA" kandukam || MoT_1,22.21 ||
        sarvabhūtāsthimālābhir āpādavalitākṛtiḥ /	sarva BUta asTi mAlABiH ApAdavalita AkRtiH /
        vilasaty eṣa kalpānte kālaḥ kalpitakalpanaḥ // Mo_1,22.22 //	vilasati eza kalpa ante kAlaH kalpita kalpanaH // MaH _1,22.22 //
   "kalpitāḥ" "kalpanāḥ" jagadrūpāḥ kalpanāḥ | yena | saḥ || MoT_1,22.22 ||	"kalpitAH" "kalpanAH" jagat rUpAH kalpanAH | yena | saH || MoT_1,22.22 ||
        asyoḍḍāmaranṛttasya kalpānte 'ṅgavinirgataiḥ /	asya uxxAmara nRttasya kalpa ante aFga vinirgatEH /
        prasphuraty ambare merur bhūrjatvag iva vāyubhiḥ // Mo_1,22.23 //	prasPurati ambare meruH BUrja tvak iva vAyuBiH // MaH _1,22.23 //
   "sphurati" ākāśe bhramati || MoT_1,22.23 ||	"sPurati" AkASe Bramati || MoT_1,22.23 ||
        rudro bhūtvā bhavaty eṣa mahendro 'tha pitāmahaḥ /	rudraH BUtvA Bavati eza mahA indraH aTa pitAmahaH /
        śukro vaiśravaṇaś cāpi punar eva na kiñcana // Mo_1,22.24 //	SukraH vESravaNaH ca api punar eva na kiQcana // MaH _1,22.24 //
   spaṣṭam || MoT_1,22.24 ||	spazwam || MoT_1,22.24 ||
        dhatte 'jasrotthitadhvastān sargān amitabhāsurān /	Datte ajasra utTita DvastAn sargAn amita BAsurAn /
        anyān anyān apy ananyān vīcīn abdhir ivātmani // Mo_1,22.25 //	anyAn anyAn api ananyAn vIcIn abDiH iva Atmani // MaH _1,22.25 //
   "ajasram" "utthitāṃś" ca tān "dhvastāṃś" ca "sargān" sṛṣṭīn | "anyān	"aja sram" "utTita aMS" ca tAn "Dvasta aMS" ca "sargAn" sRzwIn | "anyAn
   anyān" iti vīpsā | "api"śabdaḥ {#15} "ananyān" ity anena sambadhyate	anyAn" iti vIpsA | "api" SabdaH {#15} "ananyAn" iti anena sambaDyate
   || MoT_1,22.25 ||	|| MoT_1,22.25 ||
   ***NOTES:	***NOTa ES:
   #15 N11: śabdaḥ	#15 N11: SabdaH
        mahākalpābhidhānebhyo vṛkṣebhyaḥ pariśātayan /	mahA kalpa aBiDAneByaH vRkzeByaH pariSAtayan /
        devāsuragaṇān pakvān phalabhārān avasthitaḥ // Mo_1,22.26 //	deva asura gaNAn pakvAn Pala BArAn avasTitaH // MaH _1,22.26 //
   "pariśātayan" chedayan || MoT_1,22.26 ||	"pariSAtayan" Cedayan || MoT_1,22.26 ||
        ālolabhūtamaṣakaghuṅghumānām prapātinām /	Alola BUta mazaka GuFGumAnAm prapAtinAm /
        brahmāṇḍoḍumbaraughānām bṛhatpādapatāṃ gataḥ // Mo_1,22.27 //	brahmANxa uxumbara oGAnAm bRhat pAdapatAm gataH // MaH _1,22.27 //
