   1. Gaurava Vilasa	1. GOrava  Vilasa
   śrutau ca yajuḥ kaṭha śākhāyām 	SrutO ca yajuH  kaWa SAKAyAm 
   dhṛtordhva puṇḍraḥ kuta cakra dhārī	DRta UrDva puNxraH kuta cakra  DArI
   viṣṇuṃ paraṃ dhyāyati yo mahātmā |	vizNum param DyAyati yaH mahAtmA |
   svareṇa mantreṇa sadā hṛdi sthitaṃ	svareNa mantreNa sadA hRdi sTitam
   parātparaṃ yan mahato mahāntam // Hbhv_4.251 //	parAtparam yat mahataH mahAntam // HBu _4.251 //
   atharvaṇi ca 	aTarvaNi ca 
   ebhir vayam urukramasya cihnair	eBiH vayam urukramasya cihnEH 
   aṅkitā loke subhagā bhavema |	aFkitA loke suBagA Bavema |
   tad viṣṇoḥ paramaṃ padaṃ	tat vizNoH paramam padam
   ye gacchanti lāṅchitāḥ // Hbhv_4.252 //	ye gacCanti lAFCitAH // HBu _4.252 //
   | ity ādi |	| iti Adi |
   ataeva brahma purāṇe  	ataeva brahma purANe  
   kṛṣṇāyudhāṅkitaṃ dṛṣṭvā sammānaṃ na karoti yaḥ |	kRzNa AyuDa aFkitam dRzwvA sammAnam na karoti yaH |
   dvādaśābdārjitaṃ puṇyaṃ cāphalayopagacchati // Hbhv_4.253 //	dvAdaSa abda arjitam puNyam ca aPalayA upagacCati // HBu _4.253 //
   atha mudrā dhāraṇa māhātmyam	aTa mudrA  DAraNa  mAhAtmyam
   skānde śrī sanat kumāra mārkaṇḍeya saṃvāde 	skAnde SrI  sana t kumAra  mArkaNxeya  saMvAde 
   yo viṣṇu bhakto viprendra śaṅkha cakrādi cihnitaḥ |	yaH vizNu  BaktaH vipra indra SaFKa  cakra Adi  cihnitaH |
   sa yāti viṣṇu lokaṃ vai dāha pralaya varjitam // Hbhv_4.254 //	sa yAti vizNu  lokam vE dAha  pralaya  varjitam // HBu _4.254 //
   tatra vāntyatra ca 	tatra vAnti atra ca 
   nārāyaṇāyudhair nityaṃ cihnitaṃ yasya vigraham |	nArAyaNa AyuDEH nityam cihnitam yasya vigraham |
   pāpa koṭi yuktasya tasya kiṃ kurute yamaḥ // Hbhv_4.255 //	pApa  kowi yuktasya tasya kim kurute yamaH // HBu _4.255 //
   śaṅkhoddhāre tu yat proktaṃ vasatāṃ varṣa koṭibhiḥ |	SaFKodDAre tu yat proktam vasatAm varza  kowiBiH |
   tat phalaṃ likhite śaṅkhe pratyahaṃ dakṣiṇe bhuje // Hbhv_4.256 //	tat Palam liKite SaFKe pratyaham dakziNe Buje // HBu _4.256 //
   yat phalaṃ puṣkare nityaṃ puṇḍarīkākṣa darśane |	yat Palam puzkare nityam puNxarIkAkza  darSane |
   śaṅkhopari kṛte padme tat phalaṃ samavāpnuyāt // Hbhv_4.257 //	SaFKa upari kRte padme tat Palam samavApnuyAt // HBu _4.257 //
   vāme bhuje gadā yasya likhitā dṛśyate kalau |	vAme Buje gadA yasya liKitA dRSyate kalO |
   gadādharo gayā puṇyaṃ pratyahaṃ tasya yacchati // Hbhv_4.258 //	gadADaraH gayA  puNyam pratyaham tasya yacCati // HBu _4.258 //
   yac cānanda pure proktaṃ cakra svāmī samīpataḥ |	yat ca Ananda pure proktam cakra svAmI  samIpatas |
   gadādhollikhite cakre tat phalaṃ kṛṣṇa darśane // Hbhv_4.259 //	gadA aDA ulliKite cakre tat Palam kRzNa  darSane // HBu _4.259 //
   śrī bhagavad uktau 	SrI  Bagavat  uktO 
   yaḥ punaḥ kali kāle tu mat purī sambhavāṃ mṛdam |	yaH punar kali kAle tu mat  purI  samBavAm mRdam |
   matsya kūrmādikāṃ cihnaṃ gṛhītvā kurute naraḥ // Hbhv_4.260 //	matsya kUrma AdikAm cihnam gRhItvA kurute naraH // HBu _4.260 //
   dehe tasya praviṣṭo 'haṃ jānantu tridaśottamāḥ |	dehe tasya pravizwaH aham jAnantu tridaSa uttamAH |
   tasya me nāntaraṃ kiṃcit kartavyaṃ śreya icchatā // Hbhv_4.261 //	tasya me na antaram kiMcid kartavyam SreyaH icCatA // HBu _4.261 //
   mamāvatāra cihnāni dṛśyante yasya vigrahe |	mama avatAra  cihnAni dRSyante yasya vigrahe |
   martyair martyo na vijñeyaḥ sa nūnaṃ māmakī tanūḥ // Hbhv_4.262 //	martyEH martyaH na vijQeyaH sa nUnam mAmakI tanUH // HBu _4.262 //
   pāpaṃ sukṛta rūpaṃ tu jāyate tasya dehinaḥ |	pApam su kRta rUpam tu jAyate tasya dehinaH |
   mamāyudhāni tasyāṅge likhitāni kalau yuge // Hbhv_4.263 //	mama AyuDAni tasya aFge liKitAni kalO yuge // HBu _4.263 //
   ubhābhyām api cihnābhyāṃ yo 'ṅkito matsya mudrayā |	uBAByAm api cihnAByAm yaH aFkitaH matsya mudrayA |
   kūrmayāpi svakaṃ tejo nikṣiptaṃ tasya vigrahe // Hbhv_4.264 //	kUrmayA api svakam tejaH nikziptam tasya vigrahe // HBu _4.264 //
   śaṅkhaṃ ca padmaṃ ca gadāṃ rathāṅgaṃ	SaFKam ca padmam ca gadAm raTAFgam
   matsyaṃ ca kūrmaṃ racitaṃ sva dehe |	matsyam ca kUrmam racitam sva dehe |
   karoti nityaṃ sukṛtasya vṛddhiṃ	karoti nityam sukRtasya vRdDim
   pāpa kṣayaṃ janma śatārjitasya // Hbhv_4.265 //	pApa  kzayam janma  Sata arjitasya // HBu _4.265 //
   tatraiva śrī brahma nārada saṃvāde 	tatra eva SrI  brahma  nAra da  saMvAde 
   kṛṣṇa śastrāṅka kavacaṃ durbhedyaṃ deva dānavaiḥ |	kRzNa Sastra aFka kavacam durBedyam deva  dAnavEH |
   adṛśyaṃ sarva bhūtānāṃ śatrūṇāṃ rakṣasām api // Hbhv_4.266 //	adRSyam sarva BUtAnAm SatrUNAm rakzasAm api // HBu _4.266 //
   lakṣmīḥ sarasvatī durgā sāvitrī hari vallabhā |	lakzmIH sarasvatI durgA sAvitrI hari vallaBA |
   nityaṃ tasya vased dehe yasya śaṅkhāṅkitā tanuḥ // Hbhv_4.267 //	nityam tasya vaset dehe yasya SaFKa aFkitA tanuH // HBu _4.267 //
   gaṅgā gayā kurukṣetraṃ prayāgaṃ puṣkarādi ca |	gaFgA gayA kurukzetram prayAgam puzkara Adi ca |
   nityaṃ tasya sadā tiṣṭhed yasya padāṅkitaṃ vapuḥ // Hbhv_4.268 //	nityam tasya sadA tizWet yasya pada aFkitam vapuH // HBu _4.268 //
   yasya kaumodakī cihnaṃ bhuje vāme kali priya |	yasya kOmodakI cihnam Buje vAme kali priyaH |
   pratyahaṃ tatra draṣṭavyo gaṅgā sāgara saṅgamaḥ // Hbhv_4.269 //	pratyaham tatra drazwavyaH gaFgA sAgara  saFgamaH // HBu _4.269 //
   savye kare gadādhastad rathāṅgaṃ tiṣṭhate yadi |	savye kare gadA aDaH tat raTAFgam tizWate yadi |
   kṛṣṇena sahitaṃ tatra trailokyaṃ sa carācaram // Hbhv_4.270 //	kRzNena sahitam tatra trElokyam sa carAcaram // HBu _4.270 //
   trayo 'gnayas trayo devā viṣṇos trīṇi padāni ca |	trayaH agnayaH trayaH devAH vizNoH trINi padAni ca |
   nivasanti sadā yasya yasya dehe sudarśanam // Hbhv_4.271 //	nivasanti sadA yasya yasya dehe sudarSanam // HBu _4.271 //
   kiṃ ca 	kim ca 
   kṛṣṇāyudhāṅkitā mudrā yasya nārāyaṇī kare |	kRzNa AyuDa aFkitA mudrA yasya nArAyaNI kare |
   ūrdhva lokādhikārī ca sa jñeyas tridaśāṃ patiḥ // Hbhv_4.272 //	UrDva loka aDikArI ca sa jQeyaH tridaSAm patiH // HBu _4.272 //
   kṛṣṇa mudrā prayuktas tu daivaṃ pitryaṃ karoti yaḥ |	kRzNa mudrA  prayuktaH tu dEvam pitryam karoti yaH |
   nityaṃ naimittikaṃ kāmyaṃ pratyahaṃ cākṣayaṃ bhavet // Hbhv_4.273 //	nityam nEmittikam kAmyam pratyaham ca akzayam Bavet // HBu _4.273 //
   pīḍayanti na tatraiva grahā ṛkṣāṇi rāśayaḥ |	pIxayanti na tatra eva grahAH RkzANi rASayaH |
   aṣṭākṣarāṅkitā mudrā yasya dhātumayī kare // Hbhv_4.274 //	azwa akzara aFkitA mudrA yasya DAtu mayI kare // HBu _4.274 //
   vārāhe śrī sanat kumāroktau 	vArAhe SrI  sana t kumAra uktO 
   kṛṣṇāyudhāṅkitaṃ dehaṃ gopī candana mṛtsnayā |	kRzNa AyuDa aFkitam deham gopI candana  mRtsnayA |
   prayāgādiṣu tīrtheṣu sa gatvā kiṃ kariṣyati // Hbhv_4.275 //	prayAga Adizu tIrTezu sa gatvA kim karizyati // HBu _4.275 //
   yadā yasya prapaśyeta dehaṃ śaṅkhādi cihnitam |	yadA yasya prapaSyeta deham SaFKa Adi  cihnitam |
   tadā tasya jagat svāmī tuṣṭo harati pātakam // Hbhv_4.276 //	tadA tasya jagat svAmI tuzwaH harati pAtakam // HBu _4.276 //
   bhavate yasya dehe tu aho rātraṃ dine dine |	Bavate yasya dehe tu aho rAtram dine dine |
   śaṅkha cakra gadā padmaṃ likhitaṃ so 'cyutaḥ svayam // Hbhv_4.277 //	SaFKa  cakra  gadA  padmam liKitam saH acyutaH svayam // HBu _4.277 //
   nārāyaṇāyudhair yuktaṃ kṛtvātmānaṃ kalau yuge |	nArAyaNa AyuDEH yuktam kRtvA AtmAnam kalO yuge |
   kurute puṇya karmāṇi meru tulyāni tāni vai // Hbhv_4.278 //	kurute puNya karmANi meru  tulyAni tAni vE // HBu _4.278 //
   śaṅkhādināṅkito bhaktyā śrāddhaṃ yaḥ kurute dvija |	SaFKa AdinA aFkitaH BaktyA SrAdDam yaH kurute dvija |
   vidhi hīnaṃ tu sampūrṇaṃ pitṝṇāṃ tu gayā samam // Hbhv_4.279 //	viDi  hInam tu sampUrNam pitLNAm tu gayA  samam // HBu _4.279 //
   yathāgnir dahate kāṣṭhaṃ vāyunā prerito bhṛśam |	yaTA agniH dahate kAzWam vAyunA preritaH BRSam |
   tathā dahyanti pāpāni dṛṣṭvā kṛṣṇāyudhāni vai // Hbhv_4.280 //	taTA dahyanti pApAni dRzwvA kRzNa AyuDAni vE // HBu _4.280 //
   brāhmye śrī brahma nārada saṃvāde 	brAhmye SrI  brahma  nArada  saMvAde 
   viṣṇu nāmāṅkitāṃ mudrām aṣṭākṣara samanvitām |	vizNu  nAma aFkitAm mudrAm azwa akzara  samanvitAm |
   śaṅkhādikāyudhādikair yuktāṃ svarṇa rūpya mayīm api // Hbhv_4.281 //	SaFKa Adika AyuDa AdikEH yuktAm svarNa  rUpya  mayIm api // HBu _4.281 //
   dhatte bhāgavato yas tu kalikāle viśeṣataḥ |	Datte BAgavataH yaH tu kali kAle viSezataH |
   prahlādasya samo kṣeyo nānyathā kala vallabha // Hbhv_4.282 //	prahlAdasya samaH kzeyaH na anyaTA kala vallaBa // HBu _4.282 //
   kiṃ ca 	kim ca 
   śaṅkhāṅkita tanur vipro bhuṅkte yasya ca veśmani |	SaFKa aFkita tanuH vipraH BuFkte yasya ca veSmani |
   tad annaṃ svayam aśnāti pitṛbhiḥ saha keśavaḥ // Hbhv_4.283 //	tat  annam svayam aSnAti pitRBiH saha keSavaH // HBu _4.283 //
   kṛṣṇāyudhāṅkito yas tu śmaśāne mriyate yadi |	kRzNa AyuDa aFkitaH yaH tu SmaSAne mriyate yadi |
   prayāge yā gatiḥ proktā sā gatis tasya nārada // Hbhv_4.284 //	prayAge yA gatiH proktA sA gatiH tasya nArada // HBu _4.284 //
   kṛṣṇāyudhaiḥ kalau nityaṃ maṇḍitaṃ yasya vigraham |	kRzNa AyuDEH kalO nityam maNxitam yasya vigraham |
   tatrāśrayaṃ prakurvanti vivadhā vāsavādayaḥ // Hbhv_4.285 //	tatra ASrayam prakurvanti vivaDAH vAsava AdayaH // HBu _4.285 //
   yaḥ karoti hareḥ pūjāṃ kṛṣṇa śastrāṅkito naraḥ |	yaH karoti hareH pUjAm kRzNa Sastra aFkitaH naraH |
   aparādha sahasrāṇi nityaṃ harati keśavaḥ // Hbhv_4.286 //	aparADa  sahasrANi nityam harati keSavaH // HBu _4.286 //
   kṛtvā kāṣṭha mayaṃ bimbaṃ kṛṣṇa śastrais tu cihnitam |	kRtvA kAzWa mayam bimbam kRzNa  SastrEH tu cihnitam |
   yo hy aṅkayati cātmānaṃ tat samo nāsti vaiṣṇavaḥ // Hbhv_4.287 //	yaH hi aFkayati ca AtmAnam tat samaH na asti vEzNavaH // HBu _4.287 //
   pāṣaṇḍa patita vrātyair nāstikālāpa pātakaiḥ |	pAzaNxa  patita  vrAtyEH nAstikAla apa pAtakEH |
   na lipyate kali kṛtaiḥ kṛṣṇa śastrāṅkito naraḥ // Hbhv_4.288 //	na lipyate kali kRtEH kRzNa Sastra aFkitaH naraH // HBu _4.288 //
   kiṃ ca 	kim ca 
   aṣṭākṣarāṅkitā mudrā yasya dhātumayī bhavet |	azwa akzara aFkitA mudrA yasya DAtu mayI Bavet |
   śaṅkha padmādibhir yuktā pūjyate'sau surāsuraiḥ // Hbhv_4.289 //	SaFKa  padma AdiBiH yuktA pUjyate asO sura asurEH // HBu _4.289 //
   dhṛtā nārāyaṇī mudrā prahlādena purā kṛte |	DRtA nArAyaNI mudrA prahlAdena purA kRte |
   vibhīṣaṇena balinā dhruveṇa ca śukena ca // Hbhv_4.290 //	viBIzaNena balinA DruveNa ca Sukena ca // HBu _4.290 //
   māndhātṛṇāmbarīṣeṇa mārkaṇḍa pramukhair dvijaiḥ |	mAnDAtRNA ambarIzeNa mArkaNxa  pramuKEH dvijEH |
   śaṅkhādi cihnitaiḥ śastrair dehe kṛtvā kalipriya |	SaFKa Adi  cihnitEH SastrEH dehe kRtvA kali priya |
   ārādhya keśavāt prāptaṃ samīhita phalaṃ mahat // Hbhv_4.291 //	ArADya keSavAt prAptam samIhita  Palam mahat // HBu _4.291 //
   kiṃ ca 	kim ca 
   gopī candana mṛtsnāyā likhitaṃ yasya vigrahe |	gopI candana  mRtsnAyAH liKitam yasya vigrahe |
   śaṅkha padmādi cakraṃ vā tasya dehe vased dhariḥ // Hbhv_4.292 //	SaFKa  padma Adi  cakram vA tasya dehe vaset DariH // HBu _4.292 //
   tatraiva śrī sanat kumāroktau 	tatra eva SrI  sana t kumAra uktO 
   yasya nārāyaṇī mudrā dehaṃ śaṅkhādi cihnitam |	yasya nArAyaNI mudrA deham SaFKa Adi  cihnitam |
   dhātrī phala kṛtā mālā tulasī kāṣṭha sambhavā // Hbhv_4.293 //	DAtrI  Pala kRtA mAlA tulasI kAzWa  samBavAH // HBu _4.293 //
   dvādaśākṣara mantrais tu niyuktāni kalevare |	dvAdaSa akzara  mantrEH tu niyuktAni kalevare |
   āyudhāni ca viprasya mat samaḥ sa ca vaiṣṇavaḥ // Hbhv_4.294 //	AyuDAni ca viprasya mat  samaH sa ca vEzNavaH // HBu _4.294 //
   kiṃ ca 	kim ca 
   yasya nārāyaṇī mudrā dehe śaṅkhādi cihnitā |	yasya nArAyaNI mudrA dehe SaFKa Adi cihnitAH |
   sarvāṅgaṃ cihnitaṃ yasya sastrair nārāyaṇodbhavaiḥ |	sarva aFgam cihnitam yasya sa strEH nArAyaNa udBavEH |
   praveśo nāsti pāpasya kavacaṃ tasya vaiṣṇavam // Hbhv_4.295 //	praveSaH na asti pApasya kavacam tasya vEzNavam // HBu _4.295 //
   anyatra ca 	anyatra ca 
   ebhir bhāgavataiś cihnaiḥ kali kāle dvijātayaḥ |	eBiH BAgavatEH cihnEH kali kAle dvijAtayaH |
   bhavanti martya loke te śāpānugraha kārakāḥ // Hbhv_4.296 //	Bavanti martya loke te SApa anugraha kArakAH // HBu _4.296 //
   atha mudrā dhāraṇa vidhiḥ	aTa mudrA  DAraNa  viDiH
   gautamīye 	gOtamIye 
   cakraṃ ca dakṣiṇe bāhau śaṅkhaṃ vāme'pi dakṣiṇe |	cakram ca dakziNe bAhO SaFKam vAme api dakziNe |
   gadāṃ vāme gadādhastāt punaś cakraṃ ca dhārayet // Hbhv_4.297 //	gadAm vAme gadA aDastAt punar cakram ca DArayet // HBu _4.297 //
   śaṅkhopari tathā padmaṃ punaḥ padmaṃ ca dakṣiṇe |	SaFKa upari taTA padmam punar padmam ca dakziNe |
   khaḍgaṃ vakṣasi cāpaṃ ca sa śaraṃ śīrṣṇi dhārayet // Hbhv_4.298 //	Kaxgam vakzasi cApam ca sa Saram SIrzNi DArayet // HBu _4.298 //
   iti pañcāyudhāny ādau dhārayed vaiṣṇavo janaḥ |	iti paQca AyuDAni AdO DArayet vEzNavaH janaH |
   matsyaṃ ca dakṣiṇe haste kūrmaṃ vāma kare tathā // Hbhv_4.299 //	matsyam ca dakziNe haste kUrmam vAma kare taTA // HBu _4.299 //
   tathā coktaṃ  	taTA ca uktam  
   dakṣiṇe tu bhuje vipro vibhṛṣād vai sudarśanam |	dakziNe tu Buje vipraH viBRzAt vE sudarSanam |
   matsyaṃ padmaṃ cāpare'tha śaṅkhaṃ padmaṃ gadās tathā // Hbhv_4.300 //	matsyam padmam ca apare aTa SaFKam padmam gadAH taTA // HBu _4.300 //
   |iti|	|iti|
   sāmpradāyika śiṣṭānām ācārāc ca yathāruci |	sAmpradAyika  SizwAnAm AcArAt ca yaTAruci |
   śaṅkha cakrādi cihnāni sarveṣv aṅgeṣu dhārayet // Hbhv_4.301 //	SaFKa  cakra Adi  cihnAni sarvezu aFgezu DArayet // HBu _4.301 //
   bhaktyā nijeṣṭa devasya dhārayel lakṣaṇāny api // Hbhv_4.302 //	BaktyA nija izwa devasya DArayet lakzaNAni api // HBu _4.302 //
   cakra śaṅkhau ca dhāryate saṃmiśrāv eva kaiścana // Hbhv_4.303 //	cakra  SaFKO ca DAryate saMmiSrO eva kEScana // HBu _4.303 //
   śrī gopī candanenaivaṃ cakrādīni budho 'nvaham |	SrI  gopI candanena evam cakra AdIni buDaH anvaham |
   dhārayec chayanādau tu taptāni kila tāni hi // Hbhv_4.304 //	DArayet Sayana AdO tu taptAni kila tAni hi // HBu _4.304 //
   atha cakrādīnāṃ lakṣaṇāni	aTa cakra AdInAm lakzaNAni
   dvādaśāraṃ tu ṣaṭ koṇaṃ valayatraya saṃyutam |	dvAdaSa aram tu zaw koNam valaya traya  saMyutam |
   cakraṃ syād dakṣiṇāvartaṃ śaṅkhaṃ ca śrī hareḥ smṛtaḥ // Hbhv_4.305 //	cakram syAt dakziNa Avartam SaFKam ca SrI  hareH smRtaH // HBu _4.305 //
   gadā padmādikaṃ loka siddham eva mataṃ budhaiḥ |	gadA  padma Adikam loka  sidDam eva matam buDEH |
   mudrā vā bhagavan nāmāṅkitā vāṣṭākṣarādibhiḥ // Hbhv_4.306 //	mudrA vA Bagavan nAma aFkitA vA azwa akzara AdiBiH // HBu _4.306 //
   atha mālādi dhāraṇam	aTa mAlA Adi DAraNam
   tataḥ kṛṣṇārpitā mālā dhārayet tulasī dalaiḥ |	tatas kRzNa arpitA mAlA DArayet tulasI dalEH |
   padmākṣais tulasī kāṣṭhaiḥ phalair dhātryāś ca nirmitāḥ // Hbhv_4.307 //	padma akzEH tulasI kAzWEH PalEH DAtryAH ca nirmitAH // HBu _4.307 //
   dhārayet tulasī kāṣṭha bhūṣaṇāni ca vaiṣṇavaḥ |	DArayet tulasI  kAzWa  BUzaNAni ca vEzNavaH |
   mastake karṇayor bāhvoḥ karayoś ca yathā ruci // Hbhv_4.308 //	mastake karNayoH bAhvoH karayoH ca yaTA ruci // HBu _4.308 //
   atha mālā dhāraṇa vidhiḥ	aTa mAlA  DAraNa  viDiH
   skānde 	skAnde 
   sannivedyaiva haraye tulasī kāṣṭha sambhavām |	sannivedya eva haraye tulasI  kAzWa  samBavAm |
   mālāṃ paścāt svayaṃ dhatte sa vai bhāgavatottamaḥ // Hbhv_4.309 //	mAlAm paScAt svayam Datte sa vE BAgavata uttamaH // HBu _4.309 //
   haraye nārpayed yas tu tulasī kāṣṭha sambhavām |	haraye na arpayet yaH tu tulasI  kAzWa  samBavAm |
   mālāṃ dhatte svayaṃ mūḍhaḥ sa yāti narakaṃ dhruvam // Hbhv_4.310 //	mAlAm Datte svayam mUXaH sa yAti narakam Druvam // HBu _4.310 //
   kṣālitāṃ pañca gavyena mūla mantreṇa mantritām |	kzAlitAm paQca gavyena mUla mantreNa mantri tAm |
   gāyatryā cāṣta kṛtvā vai mantritāṃ dhūpayec ca tām |	gAyatryA ca azta kRtvA vE mantri tAm DUpayet ca tAm |
   vidhivat parayā bhaktyā sadyo jātena pūjayet // Hbhv_4.311 //	viDivat parayA BaktyA sadyo jAtena pUjayet // HBu _4.311 //
   tulasī kāṣṭha sambhūte māle kṛṣṇa jana priye |	tulasI  kAzWa  samBUte mAle kRzNa   jana  priye |
   bibharmi tvām ahaṃ kaṇṭhe kuru māṃ kṛṣṇa vallabham // Hbhv_4.312 //	biBarmi tvAm aham kaNWe kuru mAm kRzNa vallaBam // HBu _4.312 //
   yathā tvaṃ vallabhā viṣṇor nityaṃ viṣṇu jana priyā |	yaTA tvam vallaBAH vizNoH nityam vizNu  jana  priyA |
   tathā māṃ kuru deveśi nityaṃ viṣṇu jana priyam // Hbhv_4.313 //	taTA mAm kuru deveSi nityam vizNu  jana  priyam // HBu _4.313 //
   dāne lā dhātur uddiṣṭo lāsi māṃ hari vallabhe |	dAne lA DAtuH uddizwaH lAsi mAm hari vallaBe |
   bhaktebhyaś ca samastebhyas tena mālā nigadyase // Hbhv_4.314 //	BakteByaH ca samasteByaH tena mAlA nigadyase // HBu _4.314 //
   evaṃ samprārthya vidhivan mālāṃ kṛṣṇa gale'rpitām |	evam samprArTya viDivat mAlAm kRzNa gale arpitAm |
   dhārayed vaiṣṇavo yo vai sa gacched vaiṣṇavaṃ padam // Hbhv_4.315 //	DArayet vEzNavaH yaH vE sa gacCet vEzNavam padam // HBu _4.315 //
   tatraiva kārttika prasaṅge 	tatra eva kArttika prasaFge 
   dhātrī phala kṛtāṃ mālāṃ kaṇṭhasthāṃ yo vahen na hi |	DAtrI  Pala kRtAm mAlAm kaNWa sTAm yaH vahet na hi |
   vaiṣṇavo na sa vijñeyo viṣṇu pūjā rato yadi // Hbhv_4.316 //	vEzNavaH na sa vijQeyaH vizNu  pUjA a rataH yadi // HBu _4.316 //
   gāruḍe 	gAruxe 
   dhārayanti na ye mālāṃ haitukāḥ pāpa buddhayaḥ |	DArayanti na ye mAlAm hEtukAH pApa  budDayaH |
   narakān na nivartante dagdhāḥ kopāgninā hareḥ // Hbhv_4.317 //	narakAn na nivartante dagDAH kopa agninA hareH // HBu _4.317 //
   ata eva skānde 	atas eva skAnde 
   na jahyāt tulasī mālāṃ dhātrī mālāṃ viśeṣataḥ |	na jahyAt tulasI mAlAm DAtrI  mAlAm viSezataH |
   mahā pātaka saṃhantrīṃ dharma kāmārtha dāyinīm // Hbhv_4.318 //	mahA pAtaka  saMhantrIm Darma kAma arTa  dAyinIm // HBu _4.318 //
   atha mālā dhāraṇa māhātmyam	aTa mAlA DAraNa  mAhAtmyam
   agastya saṃhitāyām 	agastya saMhitAyAm 
   nirmālya tulasī mālā yukto yaś cārcayed dharim |	nirmAlya  tulasI  mAlA yuktaH yaH ca arcayet Darim |
   yad yat karoti tat sarvam ananta phaladaṃ bhavet // Hbhv_4.319 //	yat yat karoti tat sarvam ananta  Pala dam Bavet // HBu _4.319 //
   nāradīye 	nAradIye 
   ye kaṇṭha lagna tulasī nalinākṣa mālā	ye kaNWa  lagna  tulasI nalina akza mAlA
   ye vā lalāṭa phalke lasad ūrdhva puṇḍrāḥ |	ye vA lalAwa  Palke lasat UrDva  puNxrAH |
   ye bāhu mūla paricihnita śaṅkha cakrās	ye bAhu  mUla  paricihnita  SaFKa cakrAs
   te vaiṣṇavā bhuvanam āśu pavitrayanti // Hbhv_4.320 //	te vEzNavAH Buvanam ASu pavitrayanti // HBu _4.320 //
   kiṃ ca 	kim ca 
   bhuja yugam api cihnair aṅkitaṃ yasya viṣṇoḥ	Buja  yugam api cihnEH aFkitam yasya vizNoH
   parama puruṣa nāmnāṃ kīrtanaṃ yasya vāci |	parama  puruza nAmnAm kIrtanam yasya vAci |
   ṛjutaram api puṇḍraṃ mastake yasya kaṇṭhe	Rjutaram api puNxram mastake yasya kaNWe
   sarasija maṇi mālā yasya tasyāsmi dāsaḥ // Hbhv_4.321 //	sarasija  maNi  mAlA yasya tasya asmi dAsaH // HBu _4.321 //
   viṣṇu dharmottare śrī bhagavad uktau 	vizNu  Darma uttare SrI  Bagavat  uktO 
   tulasī kāṣṭha mālāṃ ca kaṇṭha sthāṃ vahate tu yaḥ |	tulasI  kAzWa  mAlAm ca kaNWa  sTAm vahate tu yaH |
   apy aśauco 'py anācāro mām evaiti na saṃśayaḥ // Hbhv_4.322 //	api aSOcaH api anAcAraH mAm eva eti na saMSayaH // HBu _4.322 //
   skānde 	skAnde 
   dhātrī phala kṛtā mālā tulasī kāṣṭha sambhavā |	DAtrI  Pala kRtA mAlA tulasI kAzWa  samBavA |
   dṛśyate yasya dehe tu sa vai bhāgavatottamaḥ // Hbhv_4.323 //	dRSyate yasya dehe tu sa vE BAgavata uttamaH // HBu _4.323 //
   tulasī dalajāṃ mālāṃ kaṇṭhasthāṃ vahate tu yaḥ |	tulasI  dala jAm mAlAm kaNWa sTAm vahate tu yaH |
   viṣṇūttīrṇā viśeṣeṇa sa namasyo divaukasām // Hbhv_4.324 //	vizNu uttIrNA viSezeNa sa namasyaH divOkasAm // HBu _4.324 //
   tulasī dalajā mālā dhātrī phala kṛtāpi ca |	tulasI dala jA mAlA DAtrI  Pala kRtA api ca |
   dadāti pāpināṃ muktiṃ kiṃ punar viṣṇu sevinām // Hbhv_4.325 //	dadAti pApinAm muktim kim punar vizNu  sevinAm // HBu _4.325 //
   tatraiva kārttika prasaṅge 	tatra eva kArttika prasaFge 
   yaḥ punas tulasī mālāṃ kṛtvā kaṇṭhe janārdanam |	yaH punar tulasI mAlAm kRtvA kaNWe janArdanam |
   pūjayet puṇyam āpnoti pratipuṣpaṃ gavāyutam // Hbhv_4.326 //	pUjayet puNyam Apnoti pratipuzpam gavA yutam // HBu _4.326 //
   yāval luṭhati kaṇṭha sthā dhātrī mālā narasya hi |	yAvat luWati kaNWa sTA DAtrI  mAlA narasya hi |
   tāvat tasya śarīre tu prītyā luṭhati keśavaḥ // Hbhv_4.327 //	tAvat tasya SarIre tu prItyA luWati keSavaH // HBu _4.327 //
   spṛśec ca yāni lomāni dhātrī mālā kalau nṛṇām |	spRSet ca yAni lomAni DAtrI  mAlA kalO nRNAm |
   tāvad varṣa sahasrāṇi vasate keśavālaye // Hbhv_4.328 //	tAvat varza  sahasrANi vasate keSava Alaye // HBu _4.328 //
   yāvad dināni vahate dhātrī mālāṃ kalau naraḥ |	yAvat dinAni vahate DAtrI  mAlAm kalO naraH |
   tāvad yuga sahasrāṇi vaikuṇṭhe vasatir bhavet // Hbhv_4.329 //	tAvat  yuga  sahasrANi vEkuNWe vasatiH Bavet // HBu _4.329 //
   mālā yugmaṃ vahed yas tu dhātrī tulasi saṃbhavam |	mAlA  yugmam vahet yaH tu DAtrI  tulasi  saMBavam |
   vahate kaṇṭha deśe tu kalpa koṭi ṃ divaṃ vaset // Hbhv_4.330 //	vahate kaNWa deSe tu kalpa  kowi m divam vaset // HBu _4.330 //
   gāruḍe ca mārkaṇḍeyoktau 	gAruxe ca mArkaNxeya uktO 
   tulasī dalajāṃ mālāṃ kṛṣṇottīrṇā vahet tu yaḥ |	tulasI  dala jAm mAlAm kRzNa uttIrNA vahet tu yaH |
   patre patre'śvamedhānāṃ daśānāṃ labhate phalam // Hbhv_4.331 //	patre patre aSvameDAnAm daSAnAm laBate Palam // HBu _4.331 //
