   Kṣaṇabhaṅgasiddhiḥ /	KzaNa BaFga sidDiH /
   yattāvaduktaṃ sāmarthyaṃ na pratīyata iti / tat kiṃ sarvvathaiva na	yat tAvat uktam sAmarTyam na pratIyate iti / tat kim sarvu aTa eva na
   pratīyate / kṣaṇabhaṅgapakṣe vā /	pratIyate / kzaNa BaFga pakze vA /
   prathamapakṣe sakalakārakajñāpakahetucakrocchedāt	praTama pakze sakala kAraka jQApaka hetu cakra ucCedAt 
   mukhaspandanamātrasyāpyakaraṇaprasaṅgaḥ / anyathā yenaiva vacanena	muKa spandana mAtrasya api akaraNa prasaFgaH / anyaTA yena eva vacanena
   sāmarthyaṃ nāstīti pratipādyate tasyaiva tat	sAmarTyam na asti iti pratipAdyate tasya eva tat 
   pratipādanasāmarthyamavyāhatamāyātam / tasmāt paramapuruṣārthasamīhayā	pratipAdana sAmarTyam avyAhatam AyAtam / tasmAt parama puruza arTa samIhayA
   vastutattvanirūpaṇapravṛttasya śaktisvīkārapūrvvakaiva pravṛttiḥ /	vastu tattva nirUpaNa pravRttasya Sakti svIkAra pUrvvakA eva pravRttiH /
   tadasvīkāre tu na kaścit kvacit pravartteteti nirīhaṃ jagajjāyate / atha	tat asvIkAre tu na kaScid kvacid pravartteta iti nirIham jagat jAyate / aTa
   dvitīyaḥ pakṣaḥ / tadāsti tāvat sāmarthyapratītiḥ / sā ca kṣaṇikatve yadi	dvitIyaH pakzaH / tadA asti tAvat sAmarTya pratItiH / sA ca kzaNika tve yadi
   nopapadyate tadā virudvaṃ vaktumucitaṃ, asidvamiti tu nyāyabhūṣaṇīyaḥ	na upapadyate tadA virudvam vaktum ucitan, asidvam iti tu nyAya BUzaNIyaH
   prāyovilāpaḥ / na ca satyapi kṣaṇikatve sāmarthyapratītivyāghātaḥ /	prAyas vilApaH / na ca sati api kzaNika tve sAmarTya pratIti vyAGAtaH /
   tathāhi kāraṇajñānopādeyabhūtena kāryyagrāhiṇā jñānena	taTA hi kAraNa jQAna upAdeya BUtena kAryya grAhiNA jQAnena
   tadarpitasaṃskāragarbheṇa asya bhāve asya bhāva iti anvayaniścayo janyate,	tad arpita saMskAra garBeNa asya BAve asya BAvaH iti anvaya niScayaH janyate,
   tathā kāraṇāpekṣayā bhūtalakaivalyagrāhijñānopādeyabhūtena kāryyāpekṣayā	taTA kAraNa apekzayA BU tala kEvalya grAhi jQAna upAdeya BUtena kAryya apekzayA
   bhūtalakaivalyagrāhiṇā jñānena tadarpitasaṃskāragarbhaṇa asyābhāve	BU tala kEvalya grAhiNA jQAnena tad arpita saMskAra garBaNa asya aBAve
   asyābhāva iti vyatirekaniścayo janyate / yadāhurguravaḥ /	asya aBAvaH iti vyatireka niScayaH janyate / yat AhuH guravaH /
   ekāvasāyasamanantarajātamanyavijñānamanvayavimarṣamupādadhāti /	eka avasAya samanantara jAtam anya vijQAnam anvaya vimarzam upAdaDAti /
   evaṃ tadekavirahānubhavodbhavānyavyāvṛttadhīḥ prathayati vyatirekabuddhiṃ	evam tad eka viraha anuBava udBavAni avyAvRtta DIH praTayati vyatirekabudDim
   evaṃ sati gṛhītānusandhāyake evāyaṃ vikalpaḥ /	evam sati gRhIta anusanDAyake eva ayam vikalpaH /
   upādānopādeyabhūtakramipratyakṣadvayagṛhītānusandhānāt / yadāhālaṅkāraḥ /	upAdAna upAdeya BUta krami pratyakza dvaya gRhIta anusanDAnAt / yat Aha alaFkAraH /
   yadi nāmaikamadhyakṣaṃ na pūrvvāparavittimat /	yadi nAma ekam aDyakzam na pUrvvApara vittimat /
   adhyakṣadvayasadbhāve prākparāvedanaṃ kathamiti /	aDyakza dvaya sadBAve prAc parAvedanam kaTam iti /
   nāpi dvitīyo 'sidvaprabhedaḥ / sāmarthyaṃ hi sattvamiti saugatānāṃ	na api dvitIyaH asidva praBedaH / sAmarTyam hi sattvam iti sOgatAnAm
   sthitireṣā / na caitat prasādhanārthamasmākamidānīmeva prārambhaḥ; kintu	sTitiH ezA / na ca etat prasADana arTam asmAkam idAnIm eva prAramBaH; kintu
   yatra pramāṇapratīte vījādau vastubhūte dharmmiṇi pramāṇapratītaṃ	yatra pramANa pratIte vIja AdO vastu BUte DarmmiNi pramANa pratItam
   sāmarthya tatra kṣaṇābhaṅga sādhanāya / tataścāṅkurādīnāṃ kāryyādaśanāt	sAmarTya tatra kzaNa aBaFga sADanAya / tatas ca aFkura AdInAm kAryyAt aSanAt 
   āhatyasāmarthyasandehe 'pi paṭupratyakṣaprasidvaṃ	Ahatya sAmarTya sandehe api pawu pratyakza prasidvam
   sanmātratvamavadhāryyameva / anyathā na kvacidapi vastumātrasyāpi	sat mAtra tvam avaDAryyam eva / anyaTA na kvacid api vastu mAtrasya api
   pratipattiḥ syāt / tasmācchāstrīyasattvalakṣaṇasandehe 'pi	pratipattiH syAt / tasmAt SAstrIya sattva lakzaNa sandehe api
   paṭupratyakṣavalāvalambitavastubhāve aṅkurādau kāryyatvamupalabhyamānaṃ	pawu pratyakza vala avalambita vastu BAve aFkura AdO kAryya tvam upalaByamAnam
   vījādeḥ sāmarthyamupasthāpayatīti nāsidvidoṣāvakāśaḥ /	vIja AdeH sAmarTyam upasTApayati iti na asidvidoza avakASaH /
   nāpi kśaṇikatve sāmarthyakṣatiḥ, yato virudvatā syāt,	na api kSaNika tve sAmarTya kzatiH, yatas virudvatA syAt ,
   kṣaṇikatvaniyataprāgbhāvitvalakṣaṇakāraṇatvayovirodhābhāvāt,	kzaNika tva niyata prAc BAvi tva lakzaNa kAraNa tvayaH viroDa aBAvAt,
   kṣaṇamātrasthāyinyapi sāmarthyasambhavāditi nādimo virodhaḥ / nāpi dvitīyo	kzaNa mAtra sTAyini api sAmarTya samBavAt iti na AdimaH viroDaH / na api dvitIyaH 
   virodhaprabhedaḥ / avastuno vastuno vā svākārasya grāhyatve 'pi,	viroDa praBedaH / avastunaH vastunaH vA su a AkArasya grAhya tve api,
   adhyavaseyavastvapekṣayaiva sarvvatra prāmāṇyapratipādanāt	aDyavaseya vastu apekzayA eva sarvu atra prAmANya pratipAdanAt 
   vastusvabhāvasyaiva kṣaṇikatvasidviriti kva virodhaḥ /	vastu svaBAvasya eva kzaNika tva sidviH iti kva viroDaH /
   yacca gṛhyate yaccādhyavasīyate te dve api anyanivṛttī na vastunī	yat ca gRhyate yat ca aDyavasIyate te dve api anya nivRttI na vastunI
   svalakṣaṇāvagāhitve abhilāpasaṃsargānupapatteriti cet / na /	sva lakzaNa avagAhi tve aBilApa saMsarga anupapatteH iti ced / na /
   adhyavasāyasvarūpāparijñānāt agṛhīte 'pi vastuni	aDyavasAya svarUpa aparijQAnAt agRhIte api vastuni
   mānasyādipravṛttikārakatvaṃ vikalpasyādhyavasāyitvaṃ, apratibhāse 'pi	mAnasya Adi pravRtti kAraka tvam vikalpasya aDyavasAyi tvan, apratiBAse api
   pravṛttiviṣayīkṛtatvamadhyavaseyatvam / etaccādhyavaseyatvaṃ	pravRtti vizayIkRta tvam aDyavaseya tvam / etat ca aDyavaseya tvam
   svalakṣaṇasyaiva yujyate, nānyasya / arthakriyārthitvāt arthipravṛtteḥ /	sva lakzaNasya eva yujyate, na anyasya / arTa kriyA arTi tvAt arTi pravRtteH /
   evañcādhyavasāye svalakṣaṇasyāsphuraṇameva / na ca tasyāsphuraṇe 'pi	evaQca aDyavasAye sva lakzaNasya asPuraNam eva / na ca tasya asPuraNe api
   sarvvatrāviśeṣeṇa pravṛttyākṣepaprasaṅgaḥ, pratiniyatasāmagrīprasūtāt,	sarvu atra aviSezeNa pravRtti Akzepa prasaFgaH, pratiniyata sAmagrI prasUtAt,
   pratiniyatasvākārāt, pratiniyataśaktiyogāt, pratiniyata	pratiniyata svAkArAt, pratiniyata Sakti yoga at, pratiniyata
   evātadrūpaparāvṛtte apratīte 'pi pravṛttisāmarthyadarśanāt / yathā	eva atad rUpa parAvRtte apratIte api pravRtti sAmarTya darSanAt / yaTA
   sarvvasyāsattve 'pi vījādaṅkurasyaivotpattiḥ dṛṣṭasya	saru u asyA sattve api vIjAt aFkurasya eva utpattiH dRzwasya
   niyatahetuphalabhāvasya pratikṣeptumaśakyatvāt / paraṃ vāhyenārthena sati	niyata hetu Pala BAvasya pratikzeptum aSakyatvAt / param vAhyena arTena sati
   pratibandhe prāmāṇyamanyathātvaprāmāṇyamiti viśeṣaḥ /	pratibanDe prAmANyam anyaTAtva prAmANyam iti viSezaH /
   tathā tṛtīyo 'pi pakṣaḥ prayāsaphalaḥ / nānākālasyaikasya vastuno vastuto	taTA tRtIyaH api pakzaH prayAsa PalaH / nAnA kAlasya ekasya vastunaH vastutas 
   'sambhavepyatadrūpaparāvṛttayoreva sādhyasādhanayoḥ pratyakṣeṇa	asamBavepya tad rUpa parAvRttayoH eva sADya sADanayoH pratyakzeNa
   vyāptigrahaṇāt / dvividho hi pratyakṣasya viṣayo grāhyo 'dhyavaseyaśca	vyApti grahaNAt / dviviDaH hi pratyakzasya vizayaH grAhyaH aDyavaseyaH ca
   sakalātadrūpaparāvṛttaṃ vastumātraṃ sākṣādasphuraṇāt pratyakṣasya grāhyo	sakalA tad rUpa parAvRttam vastu mAtram sAkzAt asPuraNAt pratyakzasya grAhyaH 
   viṣayo mā bhūt / tadekadeśagrahaṇe tu	vizayaH mA BUt / tad eka deSa grahaNe tu
   tanmātrayorvyāptiniścāyakavikalpajananādadhyavaseyo viṣayo bhavatyeva /	tanmAtrayoH vyApti niScAyaka vikalpa jananAt aDyavaseyaH vizayaH Bavati eva /
   kṣaṇagrahaṇe santānaniścayavat / rūpamātragrahaṇe ghaṭaniścayavacca /	kzaNa grahaNe santAna niScaya vat / rUpa mAtra grahaNe Gawa niScaya vat ca /
   anyathā sarvvānumānocchedaprasaṅgāt / tathā hi vyāptigrahaḥ sāmānyayoḥ,	anyaTA sarvvA anumAna ucCeda prasaFgAt / taTA hi vyApti grahaH sAmAnyayoH,
   viśeṣayoḥ, sāmānyaviśiṣṭaviśeṣayo rviśeṣaviśiṣṭasāmānyayorveti vikalpāḥ /	viSezayoH, sAmAnya viSizwa viSezayaH rviSeza viSizwa sAmAnyayoH vA iti vikalpAH /
   nādyo vikalpaḥ sāmānyasya vādhyatvāt / avādhyatve 'pyadṛśyatvāt / dṛśyatve	na AdyaH vikalpaH sAmAnyasya vA aDya tvAt / avADya tve api adRSya tvAt / dRSya tve
   'pi puruṣārthānupayogitayā tasyānumeyatvāyogāt / nāpyanumitāt sāmānyāt	api puruza arTa anupayogi tayA tasya anumeya tva ayogAt / na api anumitAt sAmAnyAt 
   viśeṣānumānam, sāmānyasarvvaviśeṣayorvakṣyamāṇanyāyena	viSeza anumAnam, sAmAnya sarvva viSezayoH vakzyamANa nyAyena
   pratibandhapratipatterayogāt / nāpi dvitīyo viśeṣasyānanugāmitvāt / antime	pratibanDa pratipatteH ayogAt / na api dvitIyaH viSezasya ananugAmi tvAt / antime
   tu vikalpadvaye sāmānyādhāratayā dṛṣṭa eva viśeṣaḥ sāmānyasya viśeṣyo	tu vikalpa dvaye sAmAnya ADAra tayA dRzwaH eva viSezaH sAmAnyasya viSezyaH 
   viśeṣaṇaṃ vā karttavyaḥ / adṛṣṭa eva vā deśakālāntaravarttī / yadvā	viSezaNam vA karttavyaH / adRzwaH eva vA deSa kAla antara varttI / yat vA
   dṛṣṭādṛṣṭātmako deśakālāntarabartī atadrūpaparāvṛttaḥ sarvvo viśeṣaḥ / na	dRzwa adRzwa AtmakaH deSa kAla antara bartI atad rUpa parAvRttaH sarvvaH viSezaH / na
   prathamaḥ pakṣo 'nanugāmittvāt; nāpi dvitīyaḥ, adṛṣṭatvāt / na ca tṛtīyaḥ,	praTamaH pakzaH ananugAmit tva at; na api dvitIyaH, adRzwa tvAt / na ca tRtIyaH,
   prastutaikaviśeṣadarśane 'pi deśakālāntaravarttināmadarśanāt /	prastuta eka viSeza darSane api deSa kAla antara vartti nAm a darSanAt /
   atha teṣāṃ sarvveṣāmeva viśeṣāṇāṃ sadṛśatvāt / sadṛśasāmagrīprasūtatvāt	aTa tezAm sarvu ezAm eva viSezANAm sadRSa tvAt / sadRSa sAmagrI prasUta tvAt
   sadṛśakāryyakāritvāditi prattyāsattyā, ekaviśeṣagrāhakaṃ	sadRSa kAryya kAri tvAt iti pratti AsattyA, eka viSeza grAhakam
   pratyakṣamatadrūpaparāvṛttamātreniścayaṃ	pratyakzam atad rUpa parAvRtta mAtreniScayam
   janayadatadrūpaparāvṛttaviśeṣamātrasya vyavasthāpakam /	janayat atat rUpa parAvRtta viSeza mAtrasya vyavasTApakam /
   yathaikasāmagrīpratibadvarūpamātragrāhakaṃ pratyakṣaṃ ghaṭe niścayaṃ	yaTA eka sAmagrI pratibadva rUpa mAtra grAhakam pratyakzam Gawe niScayam
   janayadghaṭagrāhakaṃ byavasthāpyate / anyathā ghaṭo 'pi ghaṭasantāno 'pi	janayat Gawa grAhakam byavasTApyate / anyaTA GawaH api Gawa santAnaH api
   pratyakṣato na sidhyet sarvvātmanā grahaṇābhāvāt /	pratyakzataH na siDyet sarvu AtmanA grahaNa aBAvAt /
   tadekadeśagrahaṇantvatadrūpaparāvṛtte 'pyaviśiṣṭam / yadyevamanenaiva	tad eka deSa grahaNantu atad rUpa parAvRtte api aviSizwam / yadi evam anena eva
   krameṇa sarvvasya viśeṣasya viśeṣaṇaviśeṣyabhāvavat	krameNa sarvu asya viSezasya viSezaNa viSezya BAva vat 
   vyāptipratipattirapyastu / tat kimarthaṃ	vyApti pratipattiH api aH tu / tat kim arTam
   nānākālamekakṣaṇikamabhyupagantavyaṃ yena kṣaṇikatve sādhanasya	nAnA kAlam eka kzaNikam aByupagantavyam yena kzaNika tve sADanasya
   virudvatvaṃ syāt iti na kaścidvirodhaprabhedaprasaṅgaḥ /	virudva tvam syAt iti na kaScid viroDa praBeda prasaFgaH /
   na cāyamanekāntiko 'pi hetuḥ / pūrvvoktakrameṇa sādharmmyadṛṣṭānte	na ca ayam anekAntikaH api hetuH / pUrvva ukta krameNa sADarmmya dRzwAnte
   prasaṅgaviparyyayahetubhyāmanvayarūpavyāpteḥ prasādhanāt / nanu yadi	prasaFga viparyyaya hetuByAm anvaya rUpa vyApteH prasADanAt / nanu yadi
   prasaṅgaviparyyayahetudvayavalato ghaṭe dṛṣṭānte kṣaṇabhaṅgaḥ sidhyettadā	prasaFga viparyyaya hetu dvayavalataH Gawe dRzwAnte kzaNa BaFgaH siDyet tadA
   sattvasya niyamena kṣaṇikatvena vyāptisidveranaikāntikatvaṃ na syāditi	sattvasya niyamena kzaNika tvena vyApti sidvera nEkAntika tvam na syAt iti
   yuktam / kevala midamevāsambhavi / tathāhi śakto 'pi ghaṭaḥ	yuktam / kevala midam eva asamBavi / taTA hi SaktaH api GawaH
   kramisahakāryyapekṣayā kramikāryyaṃ kariṣyati /	krami sahakAryi apekzayA krami kAryyam karizyati /
   na caitad vaktavyaṃ samartho 'rthaḥ svarūpeṇa karoti / svarūpañca	na ca etat vaktavyam samarTaH arTaH sva rUpeNa karoti / svarUpaQca
   sarvvadāstītyanupakāriṇi sahakāriṇyapekṣā na yujyata iti, satyapi	sarvvadA asti iti anupakAriNi saha kAriNI apekzA na yujyate iti, sati api
   svarūpeṇa kārakatve sāmarthyābhāvātkathaṃ karoti, sahakārisākalyaṃ hi	svarUpeNa kAraka tve sAmarTya aBAvAt kaTam karoti, sahakAri sAkalyam hi
   sāmarthyaṃ tadvaikalyañcāsāmarthyaṃ / na ca tayorāvirbhāvatirobhāvābhyāṃ	sAmarTyam tat vEkalyaQca asAmarTyam / na ca tayoH AvirBAva tiroBAvAByAm
   tadvataḥ kācit kṣatiḥ / tasya tābhyāmanyatvāt / tasmādarthaḥ samartho 'pi	tadvataH kAcid kzatiH / tasya tAByAm anya tvAt / tasmAt arTaH samarTaH api
   syāt na ca karotīti sandigdhavyatirekaḥ prasaṅgahetuḥ /	syAt na ca karoti iti sandigDa vyatirekaH prasaFga hetuH /
   atrocyate / bhavatu tāvat sahakārisākalyameva sāmarthyaṃ / tathāpi so 'pi	atra ucyate / Bavatu tAvat sahakAri sAkalyam eva sAmarTyam / taTA api saH api
   tāvadbhāvaḥ svarūpeṇa kārakaḥ / tasya ca yādṛśaścaramakṣaṇe	tAvat BAvaH sva rUpeNa kArakaH / tasya ca yAdRSaH cara makzaNe
   'kṣepakriyādharmmā svabhāvaḥ tādṛśa eva cet prathamakṣaṇe tadā tadāpi	akzepa kriyA DarmmA svaBAvaH tAdRSaH eva ced praTama kzaNe tadA tadA api
   prasahya kurbbāṇo brahmaṇāpyanivāryyaḥ / na ca so 'pyakṣepakriyādharmmā	prasahya kurbbANaH brahmaNA api anivAryyaH / na ca saH api akzepa kriyA DarmmA
   svabhāvaḥ sākalye sati jāto bhāvādbhinna evābhidhātuṃ śakyaḥ /	svaBAvaH sAkalye sati jAtaH BAvAt BinnaH eva aBiDAtum SakyaH /
   bhāvasyākarttṛtvaprasaṅgāt / evaṃ yāvadyāvat	BAvasya akarttR tva prasaFgAt / evam yAvat yAvat 
   dharmāntaraparikalpastāvattāvadudāsīno bhāvaḥ / tasmādyadrūpamādāya	Darma antara parikalpaH tAvat tAvat udAsInaH BAvaH / tasmAt yat rUpam AdAya
   svarūpeṇāpi janayatītyucyate; tasya prāgapi bhāve kathamajaniḥ kadācit /	sva rUpeNa api janayati iti ucyate; tasya prAk api BAve kaTam ajaniH kadAcid /
   akṣepakriyāpratyanīkasvabhāvasya prācyasya paścādanuvṛttau kathaṃ	akzepa kriyA pratyanIka svaBAvasya prAcyasya paScAt anuvRttO kaTam
   kadācidapi kāryyasambhavaḥ / nanu yadi sa evaikaḥ karttā syāt yuktametat /	kadAcid api kAryya samBavaH / nanu yadi saH eva ekaH karttA syAt yuktam etat /
   kintu sāmagrī janikā tataḥ sahakāryyantaravirahavelāyāṃ balīyaso 'pi na	kintu sAmagrI janikA tatas saha kAryi antara viraha velAyAm balIyasaH api na
   kāryyaprasava iti kimatra virudvaṃ / na hi bhāvaḥ svarūpeṇakarotīti	kAryya prasavaH iti kim atra virudvam / na hi BAvaH svarUpeNa karoti iti
   svarūpeṇaiva karoti / sahakārisahitādeva tataḥ kāryyotpattidarśanāt /	sva rUpeNa eva karoti / sahakAri sahitAt eva tatas kAryya utpatti darSanAt /
   tasmādyāptivat kāryyakāraṇabhāvo 'pi, ekatrānyayogabyavacchedena	tasmAt yApti vat kAryya kAraNa BAvaH api, ekatra anya yoga bi avacCedena
   anyatrāyogavyavacchedena nāvabodvavyaḥ, tathaiva laukikaparīkṣakāṇāṃ	anyatra ayoga vyavacCedena na avabodvavyaH, taTA eva lOkika parIkzakANAm
   sampratipatteriti /	sampratipatteH iti /
   atrocyate / yadā militāḥ santaḥ kāryyaṃ kurvvate tadaikārthakaraṇalakṣaṇaṃ	atra ucyate / yadA militAH santaH kAryyam kurvvate tadA eka arTa karaNa lakzaNam
   sahakāritvamepāmastu ko niṣedvā? militaireva tu tatkāryya karttavyamiti	sahakAri tvam epAmaH tu kaH nizedvA? militEH eva tu tat kAryya karttavyam iti
   kuto labhyate? pūrvvāparayorekasvabhāvatvādbhāvasya / sarvvadā	kutas laByate? pUrvva aparayoH eka svaBAva tvAt BAvasya / sarvvadA
   jananājananayoranyataraniyataprasaṅgasya durvvāratvāt / tasmāt sāmagrī	jananA jananayoH anyatara niyata prasaFgasya durvvAra tvAt / tasmAt sAmagrI
   janika naikaṃ janakamiti sthiravādināṃ manorathasyāpyaviṣayaḥ / dṛśyate	janika na ekam janakam iti sTira vAdinAm manoraTasya api avizayaH / dRSyate
   tāvadevamiti cet / dṛśyatāṃ kintu pūrvvasthitādeva	tAvat evam iti ced / dRSyatAm kintu pUrvvasTitAt eva
   sāmagrīmadhyapraviṣṭādbhāvāt kāryotpattiranyasmādeva vā	sAmagrI maDya pravizwAt BAvAt kArya utpattiH anyasmAt eva vA
   viśiṣṭādbhāvādutpannāditi vivādapadam / tatra prāgapi sambhave sarvvadaiva	viSizwAt BAvAt utpannAt iti vivAda padam / tatra prAk api samBave sarvvadA eva
   kāryyotpatti rna vā kadācidapīti virodhamasamādhāya cakṣuṣī nimīlya tata	kAryya utpatti rna vA kadAcid api iti viroDam asamADAya cakzuzI nimIlya tata
   eva kāryyotpattidarśanāditi sādhyānuvādamātrapravṛttaḥ kṛpāmarhatīti / na	eva kAryya utpatti darSanAt iti sADya anuvAda mAtra pravRttaH kRpAm arhati iti / na
   ca pratyabhijñādibalādekatvasidviḥ tat pauruṣasya	ca pratyaBijQA Adi balAt eka tva sidviH tat pOruzasya
   lūnapunarjātakeśanakhādāvapyupalambhato nirddalanāt, lakṣaṇabhedasya ca	lUna punar jAta keSa naKa AdO= api upalamBataH nirddalanAt, lakzaNa Bedasya ca
   darśayitumaśakyatvāt / sthirasidvidūṣaṇe cāsmābhiḥ prapañcato nirastatvāt	darSayitum aSakyatvAt / sTira sidvi dUzaNe ca asmABiH prapaQcataH nirasta tvAt 
   / tasmāt sākṣāt kāryyakāraṇabhāvāpekṣayā ubhayatrāpyanyayogavyavacchedaḥ /	/ tasmAt sAkzAt kAryya kAraNa BAva apekzayA uBayatra api anya yoga vyavacCedaH /
   vyāptau tu sākṣātparamparayā kāraṇamātrāpekṣayā kāraṇe vyāpake	vyAptO tu sAkzAt paramparayA kAraNa mAtra apekzayA kAraNe vyApake
   'yogavyavacchedaḥ / kāryye vyāpye 'nyayogavyavacchedaḥ / tathā	ayoga vyavacCedaH / kAryye vyApye anya yoga vyavacCedaH / taTA
   tadatatsvabhāve vyāpake 'yogavyavacchedaḥ / tatsvabhāve ca vyāpye	tad atad svaBAve vyApake ayoga vyavacCedaH / tad svaBAve ca vyApye
   'nyayogavyavacchedo vikalpāruḍharūpāpekṣayā vyāptau dvividhamavadhāraṃam /	anya yoga vyavacCedaH vikalpa AruXa rUpa apekzayA vyAptO dviviDam avaDAraMam /
   nanu yadi pūrvvāparakālayorekasvabhāvo bhāvaḥ	nanu yadi pUrvva apara kAlayoH eka svaBAvaH BAvaH
   sarvvadājanakatvenājanakatvena vā vyāpta upalabdhaḥ syāttadāyaṃ prasaṅgaḥ	sarvvat A janaka tvena ajanaka tvena vA vyAptaH upalabDaH syAt tadA ayam prasaFgaH
   saṅgacchate / na kṣaṇabhaṅgavādinā pūrvvāparakālayorekaḥ kaścidupalabdha	saFgacCate / na kzaNa BaFga vAdinA pUrvva apara kAlayoH ekaH kaScid upalabDa 
   iti cet / tadetadatigrāmyaṃ / tathāhi pūrvvāparakālayorekasvabhāvatve	iti ced / tat etat atigrAmyam / taTA hi pUrvva apara kAlayoH eka svaBAva tve
   satītyasyāyamarthaḥ / parakālabhāvī janako yaḥ svabhāvo bhāvasya sa eva	sati iti asya ayam arTaH / para kAla BAvI janakaH yaH svaBAvaH BAvasya saH eva
   yadi pūrvvakālabhāvī / pūrvvakālabhāvī vā yo 'janakaḥ svabhāvaḥ sa eva	yadi pUrvva kAla BAvI / pUrvva kAla BAvI vA yaH ajanakaH svaBAvaH saH eva
   yadi parakālabhāvī, tadopalabdhameva jananamajananambā syāt, tathā ca sati	yadi para kAla BAvI, tadA upalabDam eva jananam ajana nambA syAt, taTA ca sati
   sidvayoreva svabhāvayorekatvārope sidvameva jananamajananambāsajyata iti /	sidvayoH eva svaBAvayoH eka tva Arope sidvam eva jananam ajana nambAsa jyate iti /
   nanu kāryyameva sahakāriṇamapekṣate / na tu kāryyotpattihetuḥ / yasmāt	nanu kAryyam eva sahakAriNam apekzate / na tu kAryya utpatti hetuH / yasmAt 
   dvividhaṃ sāmarthya nijamāgantukañca sahakāryyantaraṃ tato 'kṣaṇikasyāpi	dviviDam sAmarTya nijam Agantu kaQca sahakAryi antaram tatas akzaNikasya api
   kramavat sahakārinānātvādapi kramavat kāryyanānātvopapatteraśakyaṃ	krama vat saha kAri nAnA tvAt api krama vat kAryya nAnAtva upapatteH aSakyam
   bhāvānāṃ pratikṣaṇamanyānyatvamupapādayitumiti cet / ucyate / bhavatu	BAvAnAm pratikzaNam anya anya tvam upapAdayitum iti ced / ucyate / Bavatu
   tāvannijāgantukabhedena dvividhaṃ sāmarthyaṃ / tathāpi yat prātisvikaṃ	tAvat nija Agantuka Bedena dviviDam sAmarTyam / taTA api yat prAtisvikam
   vastusvalakṣaṇaṃ arthakriyādharmmakamavaśyamabhyupagantavyaṃ tat kiṃ	vastu sva lakzaNam arTa kriyA Darmmakam avaSyam aByupagantavyam tat kim
   prāgapi paścādeva veti vikalpya yaddūṣaṇamugdīritaṃ / tatra	prAk api paScAt eva vA iti vikalpya yat dUzaNam ugdIritam / tatra
   kimuktamaneneti na pratīmaḥ / yattu kāryyeṇaiva sahakāriṇo 'pekṣanta	kim uktam anena iti na pratImaH / yat tu kAryyeNa eva sahakAriNaH apekzanta
   ityupatkṛtaṃ tadapi nirupayogaṃ / yadi hi kāryyameva svajanmani svatantraṃ	iti upatkRtam tat api nirupayogam / yadi hi kAryyam eva sva janmani svatantram
   syādyuktametat / kevalamevaṃ sati sahakārisākalyasāmarthyakalpanamaphalaṃ	syAt yuktam etat / kevalam evam sati sahakAri sAkalya sAmarTya kalpa nam a Palam
   / svātantryādeva hi kāryyaṃ kādācitkaṃ bhaviṣyati / tathā ca sati santo	/ svAtantryAt eva hi kAryyam kAdAcid kam Bavizyati / taTA ca sati santaH 
   hetavaḥ sarvvathāsamarthāḥ / asadetat kāryyaṃ svatantramiti viśuddhā	hetavaH sarvu aTa asamarTAH / asat etat kAryyam svatantram iti viSudDA
   budviḥ / atha kāryyasyaivāyamaparādho yadidaṃ samarthe kāraṇe satyapi	budviH / aTa kAryyasya eva ayam aparADaH yat idam samarTe kAraNe sati api
   kadācinnopapadyata iti cet / na tattarhi tat kāryyaṃ svātantryāt /	kadAcid na upapadyate iti ced / na tat tarhi tat kAryyam svAtantryAt /
   yadbhāṣyaṃ /	yat BAzyam /
   sarvvāvasthāsamāne 'pi kāraṇe yadyakāryyatā /	sarvvA avasTA samAne api kAraNe yadi akAryyatA /
   svatantraṃ kāryyamevaṃ syānnatatkāryyantathā sati //	svatantram kAryyam evam syAt natat kAryyan taTA sati //
   atha na tadbhāve bhavatīti tatkāryyamucyate, kintu tadabhāvena	aTa na tad BAve Bavati iti tad kAryyam ucyate, kintu tad aBAvena
   bhavatyeveti vyatirekaprādhānyāditi cet / na / yadi hi svayambhavan	Bavati eva iti vyatireka prADAnyAt iti ced / na / yadi hi svayam Bavan
   bhāvayedeva hetuḥ svakāryyaṃ tadā tadabhāvaprayukto 'syābhāva iti pratītiḥ	BAvayet eva hetuH sva kAryyam tadA tad aBAva prayuktaH asya aBAvaH iti pratItiH
   syāt / no ced yathā kāraṇe satyapi kāryyasvātantryānna bhavati / tathā	syAt / no ced yaTA kAraNe sati api kAryya svAtantryAt na Bavati / taTA
   tadabhāve 'pi svātantryādeva na bhūtamiti śaṅkā kena nivāryyeta /	tad aBAve api svAtantryAt eva na BUtam iti SaFkA kena nivAryyeta /
   yadbhāṣyaṃ /	yat BAzyam /
   tadbhāve 'pi na bhāvaścedabhāve 'bhāvitā kutaḥ /	tad BAve api na BAvaH ced aBAve aBAvitA kutas /
   tadabhāvaprayuktosya so 'bhāva iti tat kutaḥ //	tad aBAva prayuktosya saH aBAvaH iti tat kutas //
   tasmād yathaiva tadbhāve niyamena na bhavati / tathaiva tadbhāve niyamena	tasmAt yaTA eva tad BAve niyamena na Bavati / taTA eva tad BAve niyamena
   bhavedeva / abhavacca na tatkāraṇatāmātmanaḥ kṣamate / yaccoktaṃ,	Bavet eva / aBavat ca na tad kAraNa tAm AtmanaH kzamate / yat ca uktaM,
