   Caryāmelāvaṇapradīpaḥ	CaryAm elAvaNa pradIpaH
   na caikatāṃ cāpyavatīrya dharmatāmanuttarāṃ kṣāntivarāṃ spṛśiṣyate // iti	na ca ekatAm ca api avatIrya DarmatAm anuttarAm kzAnti varAm spRSizyate // iti
   namaste varadavajrāgrya bhūtakoṭe namo 'stu te /	namaH te vara da vajrAgrya BUtakowe namaH astu te /
   namaste śūnyatāgarbha buddhabodhe namo 'stu te //	namaH te SUnyatA AgarBa budDa boDe namaH astu te //
   dadasva me mahācārya abhisaṃbodhidarśanam /	dadasva me mahA AcArya aBisaMboDi darSanam /
   sarvabuddhamahājñānaṃ sarvaśūnyamanuttaram //	sarva budDa mahA jQAnam sarva SUnyam anuttaram //
   dadasva me mahāsattva svānubhāvaikalakṣaṇam /	dadasva me mahA sattva sva anuBAva eka lakzaNam /
   karmajanmavinirmuktamihaiva bodhimavāpnuyām //	karma janma vinirmuktam iha eva boDim avApnuyAm //
   ta(tva)tpādapaṅkajaṃ muktvā nāstyanyaccharaṇaṃ prabho /	ta(tva)t pAda paFkajam muktvA na asti anyat SaraNam praBo /
   tasmātprasīda buddhāgrya jagadvīra mahāmune //	tasmAt prasIda budDa agrya jagat vIra mahA mune //
   evaṃ stutvā tu taṃ divyamadhyeṣaṇavidhiṃ param /	evam stutvA tu tam divya m aDyezaNa viDim param /
   śiṣye kāruṇyamutpādya guruḥ śrīmān guṇodadhiḥ //	Sizye kAruNyam utpAdya guruH SrImAn guNa udaDiH //
   prasannavadano bhūtvā sānukampaḥ praharṣitaḥ /	prasanna vadanaH BUtvA sa anukampaH praharzitaH /
   śrāvayetsamayaṃ divyaṃ yogatantrobhdavaṃ param //	SrAvayet samayam divyam yoga tantra uBdavam param //
   tataḥ samāhitācāryo bodhicittaṃ niṣpādayet /	tatas samAhita AcAryaH boDi cittam nizpAdayet /
   kalaśe vātha śaṃkhe vā bodhicittaṃ nidhāya ca //	kalaSe vA aTa SaMKe vA boDi cittam niDAya ca //
   tatastaṃ śiṣyamāhūya sarvabuddhairadhiṣṭhitam /	tatas tam Sizyam AhUya sarva budDEH aDizWitam /
   arpayetsamayaṃ tasya jinamudrāsamanvitam //	arpayet samayam tasya jina mudrA samanvitam //
   abhiṣeko hi dātavyo dvitīyenaiva vajriṇā /	aBizekaH hi dAtavyaH dvitIyena eva vajriNA /
   māṅgalyovduṣṭaśabdena vāditravividhasvanaiḥ //	mAFgalyaH vduzwa Sabdena vAditra viviDa svanEH //
   traidhātukābhiṣekeṇa śiṣyaḥ kṛtanatāñjaliḥ /	trEDAtuka aBizekeNa SizyaH kRta nata aQjaliH /
   anujñātaṃ tatastasya dadyāttatrapracoditaḥ //	anujQAtam tatas tasya dadyAt tatra pracoditaH //
   mālāsalilasaṃbuddhavajraghaṇṭātha darpaṇam /	mAlA salila saMbudDa vajra GaNwA aTa darpaNam /
   nāmācāryamanujñāta abhiṣekakramo hyayam //	nAma AcAryam anujQAta aBizeka kramaH hi ayam //
   tataḥ samarpayet tasya bāhyābhisaṃbodhilakṣaṇam /	tatas samarpayet tasya bAhya aBisaMboDi lakzaNam /
   saṃpradāye yadāvāptaṃ guruparvakramāgatam // iti /	saMpradAye yadA avAptam guru parva krama Agatam // iti /
   toye nirmalake nadīsarasi vā binduśca yo līnakaḥ /	toye nirmalake nadI sarasi vA binduH ca yaH lInakaH /
   śuddhaṃ tatkramaśo 'nubhedagaditaṃ yogī smarennityaśaḥ /	SudDam tat kramaSas anuBeda gaditam yogI smaret nityaSas /
   ādarśe hyanilakṣayaḥ kramagatastadvanna saṃprekṣyate	AdarSe hi anila kzayaH krama gataH tadvat na saMprekzyate
   piṇḍagrāha iti kramo vidhimatāmevaṃ samutprekṣyate //	piNxa grAhaH iti kramaH viDimatAm evam samutprekzyate //
   sarvāṅgabhāvanātītaṃ kalpanākalpavarjitam /	sarva aFga BAvanA atItam kalpanA kalpa varjitam /
   mātrābindusamātītaṃ etanmaṇḍalamuttamam //	mAtrA bindu sama atItam etat maNxalam uttamam //
   viśatī(ti) yaḥ sarvabhāvānāṃ rūpārūpeṣu nirmalam /	viSati i(ti) yaH sarva BAvAnAm rUpA rUpezu nirmalam /
   bodhitaścoditaṃ cittaṃ maṇḍalaṃ maṇḍalākṛtim //	boDitaH ca uditam cittam maNxalam maNxala AkRtim //
   astīti nāstīti ubhe 'pi antā śuddhī aśuddhīti ime 'pi antā /	asti iti na asti iti uBe api antA SudDI aSudDi iti ime api antAH /
   tasmādubhe antavivarjayitvā madhye 'pi sthānaṃ na karoti paṇḍitaḥ // iti /	tasmAt uBe anta vivarjayitvA maDye api sTAnam na karoti paNxitaH // iti /
   ākāśānantamityarthaṃ sarvabhūtamahālayam /	AkASa anantam iti arTam sarva BUta mahA Alayam /
   vibhūtiḥ śrīvibho rājā sarvāśāparipūrakaḥ //	viBUtiH SrI viBoH rAjA sarva ASAparipUrakaH //
   aho buddha aho buddha aho dharmasya deśanā /	aho budDa aho budDa aho Darmasya deSanA /
   śuddhatattvārthaśuddhārtha bodhicitta namo 'stu te //	SudDa tattva arTa SudDa arTa boDi citta namaH astu te //
   paramārthasatyamelāvaṇasaṃśayaparicchedaḥ saptamaḥ // 7 //	parama arTa satyam elAvaNa saMSaya paricCedaH saptamaH // 7 //
   8. aṣṭamaḥ paricchedaḥ	8. azwamaH paricCedaH
   sthūlaṃ śabdamayaṃ prāhuḥ sūkṣmaṃ cittāmayantathā /	sTUlam Sabda mayam prAhuH sUkzmam cittAmayan taTA /
   cittayā rahitaṃ yat tad yogināṃ paramaṃ padam // iti /	cittayA rahitam yat tat yoginAm paramam padam // iti /
   svasaṃvedyaṃ tu tattattvaṃ vaktuṃ nānyasya pāryate /	sva saMvedyam tu tat tattvam vaktum na anyasya pAryate /
   bhaktibhāvanayā gamyaṃ na gamyaṃ cānyathā nu tat //	Bakti BAvanayA gamyam na gamyam ca anyaTA nu tat //
   jñātvā tattvaṃ tataḥ kṛtvā bhaktibhāvamaharniśam /	jQAtvA tattvam tatas kRtvA Bakti BAvam aharniSam /
   tasmin paramanirvāṇe pade śānte hyanuttare //	tasmin parama nirvANe pade SAnte hi anuttare //
   tatastadbhaktisāmarthyād bhāvanābalanirmitam /	tatas tad Bakti sAmarTyAt BAvanA bala nirmitam /
   tasminnutpadyate rūpaṃ kimapyānandajaṃ param //	tasmin= utpadyate rUpam kim api Ananda jam param //
   dhagityākārasaṃbhūtaṃ sphuratsaṃhārākārakam /	Dagiti AkAra saMBUtam sPurat saMhAra AkArakam /
   bhūrbhuvaḥsvaridaṃ sarvaṃ dyotayat sacarācaram //	BUrBuvaH svar idam sarvam dyotayat sacarAcaram //
   bhāvanābalasāmarthyāt prajñopāyātmakaṃ śivam /	BAvanA bala sAmarTyAt prajQA upAya Atmakam Sivam /
   sarvakleśavinirmuktaṃ sarvalakṣaṇabhūṣitam //	sarva kleSa vinirmuktam sarva lakzaNa BUzitam //
   śūnyatājñānasaṃbhūtaṃ nirdvandvaṃ paramaṃ śivam /	SUnyatA jQAna saMBUtam nirdvandvam paramam Sivam /
   sarvākāravaropetaṃ grāhyagrāhakavarjitam //	sarva AkAra vara upetam grAhya grAhaka varjitam //
   jñānaṃ māyopamaṃ śuddhaṃ svacchaṃ prakṛtinirmalam /	jQAnam mAyA upamam SudDam svacCam prakRti nirmalam /
   śabdagandharasātītaṃ tathā sparśavivarjitam //	Sabda ganDa rasa atItam taTA sparSa vivarjitam //
   dṛśyate paramekena samādhau jñānacakṣuṣā /	dRSyate param ekena samADO jQAna cakzuzA /
   chāyāmāyopamaṃ divyaṃ divyasaṃsthānasayutam //	CAyA mAya upamam divyam divya saMsTAna sa yutam //
   sphurajjñānormimālābhirvividhānekavigraham /	sPurat jQAna Urmi mAlABiH viviDa an eka vigraham /
   indrāyudhanibhaṃ kāyaṃ labhante tattvabhāvakāḥ //	indrAyuDa niBam kAyam laBante tattva BAvakAH //
   bhāvanāyogasāmarthyāt samayānāṃ ca pālanāt /	BAvanA yoga sAmarTyAt samayAnAm ca pAlanAt /
   īdṛśaṃ prāpyate rūpaṃ na vācyaṃ yajjinairapi //	IdRSam prApyate rUpam na vAcyam yat jinEH api //
   yatra kāyo na vākcittaṃ sthānaṃ yatsarvagaṃ param /	yatra kAyaH na vAc cittam sTAnam yat sarvagam param /
   saṃpradāyavaśāt tatra svasya rūpaṃ vibhāvyate //	saMpradAya vaSAt tatra svasya rUpam viBAvyate //
   aho suvismayakaramaho śāntamatīndriyam /	aho su vismaya karam aho SAntam atIndriyam /
   aho paramagambhīraṃ buddhatvaṃ padamuttamam // iti /	aho parama gamBIram budDa tvam padam uttamam // iti /
   aho vajra aho vajra aho vajrasya deśanā /	aho vajra aho vajra aho vajrasya deSanA /
   yatra na kāyavākcittaṃ tatra rūpaṃ vibhāvyate // iti /	yatra na kAya vAc cittam tatra rUpam viBAvyate // iti /
   bhaṭṭārakapādenāpyuktam 	BawwAraka pAdena api uktam 
   śauśīryaṃ nāsti te kāye māṃsāsthirudhiraṃ na ca /	SOSIryam na asti te kAye mAMsa asTi ruDiram na ca /
   indrāyudhamivākāśe kāyaṃ darśitavānasi //	indrAyuDam iva AkASe kAyam darSitavAn asi //
   nāmayo nāśuciḥ kāye kṣuttṛṣṇāsaṃbhavau na ca /	nAmayaH na aSuciH kAye kzut tRzNA saMBavO na ca /
   tvayā lokānuvṛttyarthaṃ darśitā laukikī kriyā // iti /	tvayA loka anuvRtti arTam darSitA lOkikI kriyA // iti /
   sarvakalpasamuccaye 'pyāha 	sarva kalpa samuccaye api Aha 
   gṛhītvā hṛdayaṃ śuddhaṃ vajradehavibhāvanā /	gRhItvA hRdayam SudDam vajra deha viBAvanA /
   dṛḍhaṃ sāramasauśīryaṃ vajrakāyaṃ sa labdhavān // iti /	dRXam sAram asa OSIryam vajra kAyam sa labDavAn // iti /
   khasamā virajā vararūpadharā aśarīra alakṣaṇa prajñasutā /	Ka samA virajAH vara rUpa DarAH aSarIra alakzaNa prajQa sutA /
   sugambhīraguṇodadhi kāruṇikā dada mūrdhni pāṇi mama apratimā // iti /	sugamBIra guNa udaDi kAruNikA dada mUrDni pANi mama apratimAH // iti /
   apratiṣṭhitanirvāṇadhātumelāvaṇasaṃśayaparicchedo 'ṣṭamaḥ // 8 //	apratizWita nirvANa DAtum elAvaNa saMSaya paricCedaH azwamaH // 8 //
   9. navamaḥ paricchedaḥ	9. navamaH paricCedaH
   phalena hetumāmudrya phalamāmudrya hetunā /	Palena hetum Am udrya Palam Amudrya hetunA /
   vibhāvyamanyathāsiddhiṃ kalpakoṭirna jāyate // iti /	viBAvyam anyaTA sidDim kalpa kowiH na jAyate // iti /
   vajrasattvo mahārājaścodanīyo muhurmuhuḥ // iti /	vajra sattvaH mahA rAjaH codanIyaH muhur muhur // iti /
   pādaprasārikaṃ muktvā tyaktvā saṃsārapeṭakam /	pAda prasArikam muktvA tyaktvA saMsAra pewakam /
   sādhayed vajrasattvāgraṃ nityamudyuktamānasaḥ //	sADayet vajra sattva agram nityam udyukta mAnasaH //
   kaukṛtyastyānamiddhādīn parityajya prayatnataḥ /	kOkRtyastyAnam idDa AdIn parityajya prayatnataH /
   anyathā naiva siddhiḥ syāt kalpakoṭiśatairapi // iti /	anyaTA na eva sidDiH syAt kalpa kowi SatEH api // iti /
   bhikṣubhāve sthitā ye 'tra ye tu tarkaratā narāḥ /	Bikzu BAve sTitAH ye atra ye tu tarkaratAH narAH /
   vṛddhabhāve sthitā ye tu teṣāṃ tattvaṃ na deśayet // iti /	vRdDa BAve sTitAH ye tu tezAm tattvam na deSayet // iti /
   upāyarahitaṃ jñānaṃ śikṣā cāpi hi deśitā /	upAya rahitam jQAnam SikzA ca api hi deSitA /
   śrāvakāṇāṃ mahāvīra avatā(dhā)raya teṣu vai //	SrAvakANAm mahA vIra avatA(DA)raya tezu vE //
   mūlasūtre 'pyāha 	mUlasUtre api Aha 
   daśakuśalān karmapathānicchanti jñānavarjitāḥ // iti /	daSa kuSalAn karma paTa anicCanti jQAna varjitAH // iti /
   śrāvakayānamaśikṣatha bhikṣo bodhicariyata tatra carīye /	SrAvaka yAnam aSikzaTa BikzaH boDicariyata tatra carIye /
   bodhicarīṃ cara buddhaguṇeṣu eṣa nidānabhaviṣya svayaṃbhūḥ // iti /	boDicarIm cara budDa guNezu eza nidAna Bavizya svayaMBUH // iti /
   duṣkarairniyamaistīrvrairmūrtiḥ śuṣyati duḥkhitā /	duzkarEH niyamEH tIrvrEH mUrtiH Suzyati duHKitA /
   duḥkhād vikṣipyate cittaṃ vikṣepāt siddhiranyathā // iti /	duHKAt vikzipyate cittam vikzepAt sidDiH anyaTA // iti /
   mūlasūtre 'pyāha 	mUlasUtre api Aha 
   duṣkarairniyamaistīvraiḥ sevyamāno na siddhyati /	duzkarEH niyamEH tIvrEH sevyamAnaH na sidDyati /
   sarvakāmopabhogaistu sevayaṃścāśu siddhyati // iti /	sarva kAma upaBogEH tu sevayan= ca ASu sidDi ati // iti /
   rāgo dveṣaśca mohaśca traya ete viṣaṅgatāḥ /	rAgaH dvezaH ca mohaH ca trayaH ete vizaFgatAH /
   viṣatvamupayāntyeva viṣameṇa tu sevitā //	viza tvam upayAnti eva vizameNa tu sevitAH //
   amṛtatvaṃ punaryānti, amṛtena tu sevitāḥ // iti /	amRta tvam punar yAnti, amRtena tu sevitAH // iti /
   badhyati yena jaḍaḥ parimucyati tena budhaḥ /	baDyati yena jaxaH parimucyati tena buDaH /
   bodhivibhāvanayā viparītamidaṃ sakalam //	boDi viBAvanayA viparItam idam sakalam //
   yena mūḍhāḥ prabadhyante śīryante rauravāntike /	yena mUXAH prabaDyante SIryante rOrava antike /
   taireva hi vimucyante sukhaṃ prajñābalena tu // iti /	tEH eva hi vimucyante suKam prajQA balena tu // iti /
   athātaḥ saṃpravakṣyāmi sarvato viśvamuttamam /	aTa atas saMpravakzyAmi sarvatas viSvam uttamam /
   sarvabuddhasamāyogaḍākinījālasaṃvaram //	sarva budDa samAyoga xAkinI jAla saMvaram //
   rahasye parame ramye sarvātmani sadā sthitaḥ /	rahasye parame ramye sarva Atmani sadA sTitaH /
   sarvabuddhamayaḥ śrīmān vajrasattvodayaḥ sukhaḥ //	sarva budDa mayaH SrImAn vajra sattva udayaH suKaH //
   tathāgatamahādivyaratnajālādyalaṅkṛtam /	taTAgata mahA divya ratna jAla Adi alaFkRtam /
   tato ghaṇṭāvasaṃsaktavitānavitatojjvale //	tatas GaNwAvasaMsakta vitAna vitata ujjvale //
   vajragītiṃ ca pūjāṃ ca gītavādyairvikurvitam /	vajra gItim ca pUjAm ca gIta vAdyEH vikurvitam /
   puṣpadhūpādiyogena dīpagandhādibhistathā //	puzpa DUpa Adi yogena dIpa ganDa AdiBiH taTA //
   prasādhayanti bhavane sodyānādiṣu vā punaḥ /	prasADayanti Bavane sa udyAna Adizu vA punar /
   sarvabuddhasamāyogaḍākinījālasaṃvaram //	sarva budDa samAyoga xAkinI jAla saMvaram //
   tatrāsanaṃ niveśyādau mṛdusaṃsparśajaṃ sukham /	tatra Asanam niveSya AdO mRdu saMsparSa jam suKam /
   viśvapadmapaṭacchannaṃ sarvaśuddhāsanaṃ hi tat //	viSva padma pawa= Cannam sarva SudDa Asanam hi tat //
   sarvabuddhasamāyogaṃ yogeśvaravikurvitam /	sarva budDa samAyogam yogeSvara vikurvitam /
   śrīvajrasattvarūpāstu vikurvanti hi yatra(tattu) vai //	SrI vajra sattva rUpAH tu vikurvanti hi yatra( tattu) vE //
   sarvadhātumayī(yo) vāpi jīvamūlamayastathā /	sarva DAtu mayI(yo) vA api jIva mUla mayaH taTA /
   svādhidaivatpratimukhaiḥ siddhimudrāpravartanam //	svADidEvat pratimuKEH sidDi mudrA pravartanam //
   niṣiktāṃ ghaṭitāṃ vāpi(bhi)saṃskṛtāṃ vā sucitritām /	niziktAm GawitAm vApi(Bi)saMskRtAm vA su citritAm /
   vicitrapratibimbāṃ ca cinhamudrāṃ prakalpayet //	vicitra pratibimbAm ca cinha mudrAm prakalpayet //
   tadāsaneṣu prāṇasarvān yathāsthānaṃ hi vinyaset /	tad Asanezu prANa sarvAn yaTAsTAnam hi vinyaset /
   caturasraṃ caturdvāraṃ catustoraṇamaṇḍitam /	catur asram catur dvAram catur toraNa maNxitam /
   vajraratnapadmādi tu dvārapālena yojayet //	vajra ratna padma Adi tu dvArapAlena yojayet //
   svādhidaivatpratimukhaiḥ suprasādhitayoṣitam /	svADidEvat pratimuKEH su prasADita yozitam /
   svamudrācinhasubhagāṃ kalpayed gaṇamaṇḍalam //	sva mudrA cin ha suBagAm kalpayet gaNa maNxalam //
   caturasraṃ caturdvāraṃ catustoraṇamaṇḍitam /	catur asram catur dvAram catur toraNa maNxitam /
   catuḥsūtrasamāyuktamaṣṭastambhopaśobhitam //	catur sUtra samAyuktam azwa stamBa upaSoBitam //
   hārārddhahāraracitaṃ paṭṭasragdāmabhūṣitam /	hAra ardDa hAra racitam pawwa sragdAma BUzitam /
   ghaṇṭāpatākasaṃśobhaṃ cāmarādivibhūṣitam //	GaNwA patAka saMSoBam cAmara Adi viBUzitam //
   candrārddhavajrakoṇaṃ ca dvāraniryūhasandhiṣu /	candra ardDavajra koNam ca dvAra niryUha sanDizu /
   patvi(kṣi)ṇīkramaśīrṣādivicitra paṭamaṇḍitam //	patvi(kzi)NI krama SIrza Adi vicitra pawa maNxitam //
   sarvadevyupabhogaistu sevyamānairyathāsukham /	sarva devI upaBogEH tu sevyamAnEH yaTAsuKam /
   svādhidaivatayogena svamātmānaṃ prapūjayet //	svADi dEvata yogena svam AtmAnam prapUjayet //
   pūjyate 'nuyogena sarvayogasukhena tu /	pUjyate anuyogena sarva yoga suKena tu /
   samāsvādayamānastvatiyogena siddhyati //	samAsvAdayamAnaH tu atiyogena sidDyati //
   anena sarvabuddhātmā rasāyanasukhena tu /	anena sarva budDa AtmA rasAyana suKena tu /
   siddhyet śrīvajrasattvāyuryauvanārogyasatsukham //	sidDyet SrI vajra sattva AyuH yOvana Arogya sat suKam //
   sarvabuddhamahākāyaḥ sarvabuddhasarasvatī /	sarva budDa mahA kAyaH sarva budDa sarasvatI /
   sarvabuddhamahācittaḥ sarvabuddhamahāmahaḥ //	sarva budDa mahA cittaH sarva budDa mahAmahaH //
   sarvabuddhamahārājā sarvavajradharādhipaḥ /	sarva budDa mahA rAjA sarva vajraDara aDipaH /
   sarvalokeśvarapatiḥ sarvaratnādhipeśvaraḥ //	sarva loka ISvara patiH sarva ratna aDipa ISvaraH //
   tābhiḥ saṃramyamāṇastu yātyutpattiṃ tu gacchataḥ /	tABiH saMramyamANaH tu yAti utpattim tu gacCataH /
   sarvadevīmahāsidhya(ddha)ścakravartī prasidhyati // iti /	sarva devI mahA asiDya(dDa)H cakravartI prasiDyati // iti /
   pratyahaṃ pratimāsaṃ vā pratisaṃvatsaraṃ tathā /	pratyaham pratimAsam vA pratisaMvatsaram taTA /
   yathādhiṣṭhānato vāpi nāṭayed buddhasaṃvaram // iti /	yaTA aDizWAnataH vA api nAwayet budDa saMvaram // iti /
   utthito vā niṣaṇṇo vā caṃkraman vā yathāsthitaḥ /	utTitaH vA nizaNNaH vA caMkraman vA yaTA sTitaH /
   praharṣan vā jalpan vā yatra tatra yathā tathā //	praharzan vA jalpan vA yatra tatra yaTA taTA //
   yadyadindriyamārgatvaṃ yāyāttattatsvabhāvataḥ /	yat yat indriya mArga tvam yAyAt tat tad svaBAvataH /
   asamāhitayogena sarvabuddhamayaṃ vahet //	asamAhita yogena sarva budDa mayam vahet //
   khasamaṃ khasamākāramaparyantasāgaropamam /	Ka samam Ka samAkAram aparyanta sAgara upamam /
   rāgadharmanayo dveṣo vilāsaḥ krīḍāvistaraḥ //	rAga Darma nayaH dvezaH vilAsaH krIxA vistaraH //
   gṛhītaṃ vastumātraṃ ca śiṣyabodhanakāraṇāt /	gRhItam vastu mAtram ca Sizya boDana kAraNAt /
   kati janmāntaraṃ vaktuṃ sahyate rāgadeśanā //	kati janma antaram vaktum sahyate rAga deSanA //
   śrīsarvabuddhasamāyogaḍākinījālasaṃvaranyāyena	SrI sarva budDa samAyoga xAkinI jAla saMvara nyAyena
   bodhisattvacaritadharmodayābhisaṃbodhiprapañcatāmelāvaṇa saṃśayaparicchedo	boDisattva carita Darma udaya aBisaMboDi prapaQca tAm elAvaNa  saMSaya paricCedaH 
   navamaḥ // 9 //	navamaH // 9 //
   10. daśamaḥ paricchedaḥ	10. daSamaH paricCedaH
   mahāṭavīpradeśeṣu phalapuṣpādyalaṅkṛte /	mahA awavI pradeSezu Pala puzpa Adi alaFkRte /
   parvate vijane sādhyamidaṃ dhyānasamuccayam //	parvate vijane sADyam idam DyAna samuccayam //
   sevayan kāmaguṇān pañca jñānārthirāgiṇaḥ sadā // iti /	sevayan kAma guNAn paQca jQAna arTi rAgiNaH sadA // iti /
   kāyavākcittavajrāṇāṃ kāyavākcittabhāvanam /	kAya vAc citta vajrANAm kAya vAc citta BAvanam /
   svarūpeṇaiva tatkāryaṃ laghusiddhiravāpyate //	sva rUpeNa eva tat kAryam laGu sidDiH avApyate //
   jaṭāmukuṭadharaṃ bimbaṃ sitavarṇanibhaṃ mahat /	jawA mukuwa Daram bimbam sita varNa niBam mahat /
   kārayed vidhivat sarvaṃ mantrasaṃvarasaṃvṛtam //	kArayet viDivat sarvam mantra saMvara saMvRtam //
   ṣoḍaśābdikāṃ gṛhya sarvālaṅkārabhūṣitām /	zoxaSa AbdikAm gRhya sarva alaFkAra BUzitAm /
   cāruvaktrāṃ viśālākṣīṃ prāpya vidyāvrataṃ caret //	cAru vaktrAm viSAla akzIm prApya vidyA vratam caret //
   locanāpadasaṃbhogairvajracinhaistu bhāvayet /	locanA pada saMBogEH vajra cinhEH tu BAvayet /
   mudrāmantravidhānajñāṃ mantratantrasuśikṣitām //	mudrA mantra viDAna jQAm mantra tantra su SikzitAm //
   kuryāt tāthāgatīṃ bhāryāṃ buddhabodhipratiṣṭhitām /	kuryAt tATAgatIm BAryAm budDa boDi pratizWitAm /
   guhyapūjāṃ prakurvīta catuḥsattvāṃ(sandhyaṃ) mahāvratī //	guhya pUjAm prakurvIta catur sattva an(sanDyan) mahAvratI //
   kandamūlaphalaiḥ sarvaṃ bhojyabhakṣyaṃ samārabhet /	kanda mUla PalEH sarvam Bojya Bakzyam samAraBet /
   evaṃ buddho bhavecchīghraṃ mahājñānodadhiḥ prabhuḥ //	evam budDaH Bavet SIGram mahA jQAna udaDiH praBuH //
   ṣaṇmāsenaiva tatsarvaṃ prāpnuyānnātra saṃśayaḥ /	zaz mAsena eva tat sarvam prApnuyAt na atra saMSayaH /
   vane bhikṣāṃ bhramennityaṃ sādhako dṛḍhaniścayaḥ //	vane BikzAm Bramet nityam sADakaH dRXa niScayaH //
   dadanti te bhaya[tra]stā bhojanaṃ divyamaṇḍitam /	dadanti te Baya[tra]H tAH Bojanam divya maNxitam /
   atikramanti yadi vajrātmā nāśaṃ vajrākṣaraṃ bhavet //	atikramanti yadi vajra AtmA nASam vajra akzaram Bavet //
   surīṃ nāgīṃ mahāyakṣīmasurīṃ mānuṣīmapi /	surIm nAgIm mahA yakzIm asurIm mAnuzIm api /
   prāpya vidyāvrataṃ kāryaṃ trivajrajñānasevitam // iti /	prApya vidyA vratam kAryam tri vajra jQAna sevitam // iti /
   dvayendriyasamāpattyā vyāyāmavidhirantare /	dvaya indriya samApattyA vyAyAma viDiH antare /
   harṣacittaṃ muneḥ siddhau mahāsukhamiti smṛtam //	harza cittam muneH sidDO mahAsuKam iti smRtam //
   niṣprapañcacaryāmelāvaṇasaṃśayaparicchedo daśamaḥ // 10 //	nizprapaQca caryAm elAvaNa saMSaya paricCedaH daSamaH // 10 //
   11. ekādaśaḥ paricchedaḥ	11. ekAdaSaH paricCedaH
   parvateṣu vivikteṣu nadīprasravaṇeṣu ca /	parvatezu viviktezu nadI prasravaNezu ca /
   śmaśānādiṣvapi kāryamidaṃ dhyānasamuccayam //	SmaSAna Adizu api kAryam idam DyAna samuccayam //
   prayogādīṃśca tattvena varjayet tattvavit sadā /	prayoga AdIn= ca tattvena varjayet tattva vid sadA /
   vajrasattvadahaṃkāraṃ muktvā nānyatra kārayet //	vajra sattva dahaMkAram muktvA na anyatra kArayet //
   prayogā api na budhyante śuddhatattve vyavasthite /	prayogAH api na buDyante SudDa tattve vyavasTite /
   nairātmyapadayogena yāvattat pratyavekṣyate //	nErAtmya pada yogena yAvat tat pratyavekzyate //
   niḥsvabhāvapadasthasya divyopāyayutasya ca /	niHsvaBAva pada sTasya divya upAya yutasya ca /
   siddhyate nirvicāreṇa yatkiñcit kalpacoditam //	sidDyate nirvicAreNa yat kiQcid kalpa coditam //
   bhāvanāyogasāmarthyāt svayamevopatiṣṭhate /	BAvanA yoga sAmarTyAt svayam eva upatizWate /
   tatsarvaṃ kṣaṇamātreṇa yatkiñcit siddhilakṣaṇam //	tat sarvam kzaNa mAtreNa yat kiQcit sidDi lakzaNam //
   rūpādyādhyātmikān dharmān paśyet vipaśyanocyate /	rUpa Adi ADyAtmikAn DarmAn paSyet vipaSyana ucyate /
   akṣobhyādiyathāsaṃkhyaṃ kalpayet śamatho bhavet //	akzoBi Adi yaTA saMKyam kalpayet SamaTaH Bavet //
   anayorniḥsvabhāvatvāt tathatāśāntasaṃjñakam /	anayoH niHsvaBAva tvAt taTatA SAnta saMjQakam /
   tathatāmaṇḍale yogī sarvabuddhān praveśayed // iti /	taTatA maNxale yogI sarva budDAn praveSayet // iti /
   nirvāṇāgnimahāgore bhasmaśo 'pi na mucyate /	nirvANa agni mahA gore BasmaSas api na mucyate /
   na tatra vidyate tattvaṃ nendriyārthā na dhātavaḥ //	na tatra vidyate tattvam na indriya arTAH na DAtavaH //
   nirvikalpo yadā viraḥ sthitiṃ hitvā tu laukikīm /	nirvikalpaH yadA viraH sTitim hitvA tu lOkikIm /
   ācaret sarvakāryāṇi buddhāḥ paśyanti tat tadā //	Acaret sarva kAryANi budDAH paSyanti tat tadA //
   bālavadvicaredyuktyā sarvataśchinnasaṃśayaḥ /	bAla vat vicaret yuktyA sarvatas Cinna saMSayaH /
   nirābhogo yadā yogī tadā varṣanti saṃpadaḥ //	nirABogaH yadA yogI tadA varzanti saMpadaH //
   aśeṣapāpayuktānāṃ mohāvaraṇasusthitāḥ /	aSeza pApa yuktAnAm moha AvaraNa su sTitAH /
   unmattavratayogena ṣaṇmāsādamoghasiddhayaḥ //	unmatta vrata yogena zaz mAsAt amoGa sidDayaH //
   sarvabuddhāna svayaṃ paśyet sarvakāmaiḥ prapūryate /	sarva budDAna svayam paSyet sarva kAmEH prapUryate /
   na kṣīṇo na ca hānitvaṃ svecchāyurjāyate vapuḥ //	na kzINaH na ca hAni tvam svecCAyuH jAyate vapuH //
   anuttarāṃ parāṃ bodhiṃ saṃprāpnotyaprayatnataḥ /	anuttarAm parAm boDim saMprApnoti aprayatnataH /
   vinā yatnena sidhyanti sarvakāmasukhotsukāḥ //	vinA yatnena siDyanti sarva kAma suKa utsukAH //
   gambhīrapadaṃ nityaṃ gacchet tiṣṭhan niṣaṇṇakaḥ /	gamBIra padam nityam gacCet tizWan nizaNNakaH /
   prabhāsvarajñānakauśalyād yogināṃ lakṣaṇaṃ sadā //	praBAsvara jQAna kOSalyAt yoginAm lakzaNam sadA //
   anena dhyānayogena cittaratnaṃ dṛḍhībhavet /	anena DyAna yogena citta ratnam dRXIBavet /
   adhiṣṭhānaṃ ca kurvanti buddhā bodhipratiṣṭhitāḥ //	aDizWAnam ca kurvanti budDAH boDi pratizWitAH //
   evaṃ bhūtvā niviṣṭastu bhāvayed bhāvatatparaḥ /	evam BUtvA nivizwaH tu BAvayet BAva tatparaH /
