   pañcatantram	paQcatantram
   tāvat prāṇa yātrā na bhavati | aparo doṣaś ca tāvat samutpadyate | uktaṃ	tAvat prANa yAtrA na Bavati | aparaH dozaH ca tAvat samutpadyate | uktam
   ca 	ca 
   kāka māṃsaṃ tathocchiṣṭaṃ stokaṃ tad api durbalam |	kAka mAMsam taTA ucCizwam stokam tat api durbalam |
   bhakṣitenāpi kiṃ tena yena tṛptir na jāyate ||Panc_1.317||	Bakzitena api kim tena yena tRptiH na jAyate ||Pan= _1.317||
   tad darṣitā svāmi bhaktir bhavatā gataṃ ca ānṛṇyaṃ bhartṛ piṇḍasya prāptaś	tat darzitA svAmi  BaktiH BavatA gatam ca AnRNyam BartR piNxasya prApta S
   cobhaya loke sādhu vādaḥ | tad apasarāgrataḥ | ahaṃ svāminaṃ vijñāpayāmi |	ca uBaya  loke sADu vAdaH | tat apasara agratas | aham svAminam vijQApayAmi |
   tathānuṣṭhite śṛgālaḥ sādaraṃ praṇamyopaviṣṭaḥ prāha svāmin ! māṃ	taTA anuzWite SRgAlaH sa Adaram praNamya upavizwaH prAha svAmin ! mAm
   bhakṣayitvādya prāṇa yātrāṃ vidhāya mamobhaya loka prāptiṃ kuru | uktaṃ	BakzayitvA adya prANa yAtrAm viDAya mama uBaya  loka  prAptim kuru | uktam
   ca 	ca 
   svāmy āyattāḥ sadā prāṇā bhṛtyānām arjitā dhanaiḥ | yatas tato na doṣo	svAmy a AyattAH sadA prANAH BRtyAnAm arjitAH DanEH | yatas tatas na dozaH 
   'sti teṣāṃ grahaṇa sambhavaḥ ||Panc_1.318||	asti tezAm grahaNa samBavaH ||Pan= _1.318||
   atha tac chrutvā dvīpy āha bhoḥ sādhūktaṃ bhavatā punar bhavān api	aTa tat SrutvA dvIpi Aha BoH sADu uktam BavatA punar BavAn api
   svalpa kāyaḥ sva jātiś ca nakhāyudhatvād abhakṣya eva | uktaṃ ca 	svalpa kAyaH sva jAtiH ca naKa AyuDa tvAt aBakzyaH eva | uktam ca 
   nābhakṣyaṃ bhakṣayet prājñaḥ prāṇaiḥ kaṇṭha gatair api | viśeṣāt tad api	na aBakzyam Bakzayet prAjQaH prANEH kaNWa  gatEH api | viSezAt tat api
   stokaṃ loka dvaya vināśakam ||Panc_1.319||	stokam loka  dvaya  vinASakam ||Pan= _1.319||
   tad darśitaṃ tvayātmanaḥ kaulīnyam | atha vā sādhu cedam ucyate 	tat darSitam tvayA AtmanaH kOlInyam | aTa vA sADu ca idam ucyate 
   etad arthaṃ kulīnānāṃ nṛpāḥ kurvanti saṅgraham | ādi madhyāvasāneṣu na te	etat  arTam kulInAnAm nRpAH kurvanti saFgraham | Adi  maDya avasAnezu na te
   gacchanti vikriyām ||Panc_1.320||	gacCanti vikriyAm ||Pan= _1.320||
   tad apasarāgrataḥ, yenāhaṃ svāminaṃ vijñāpayāmi | tathānuṣṭhite dvīpī	tat apasara agrataH, yena aham svAminam vijQApayAmi | taTA anuzWite dvIpI
   praṇamya madotkaṭam āha svāmin ! kriyatām adya mama prāṇaiḥ prāṇa yātrā |	praNamya mada utkawam Aha svAmin ! kriyatAm adya mama prANEH prANa yAtrA |
   dīyatām akṣayo vāsaḥ svarge | mama vistāryatāṃ kṣiti tale prabhūtaṃ yaśaḥ	dIyatAm akzayaH vAsaH svarge | mama vistAryatAm kziti tale praBUtam yaSaH
   | tan nātra vismayaḥ kāryaḥ | uktaṃ ca 	| tat na atra vismayaH kAryaH | uktam ca 
   mṛtānāṃ svāminaḥ kārye bhṛtyānām anuvartinām | bhavet svarge akṣayo vāsaḥ	mRtAnAm svAminaH kArye BRtyAnAm anuvartinAm | Bavet svarge akzayaH vAsaH
   kīrtiś ca dharaṇī tale ||Panc_1.321||	kIrtiH ca DaraNI tale ||Pan= _1.321||
   tac chrutvā krathanakaś cintayāmāsa etais tāvat sarvair api śobhā vākyāny	tat SrutvA kraTanakaH cintayAmAsa  etEH tAvat sarvEH api SoBA vAkyAni 
   uktāni na caiko 'pi svāminā vināśitaḥ | tad aham api prāpta kālaṃ vakṣyāmi	uktAni na ca ekaH api svAminA vinASitaH | tat aham api prApta kAlam vakzyAmi
   citrakaṃ yena mad vacanam ete trayo 'pi samarthayanti | iti niścitya	citrakam yena mad   vacanam ete trayaH api samarTayanti | iti niScitya
   provāca bhoḥ satyam uktaṃ bhavatā paraṃ bhavān api nakhāyudhaḥ | tat	provAca  BoH satyam uktam BavatA param BavAn api naKAyuDaH | tat 
   kathaṃ bhavantaṃ svāmī bhakṣayati | uktaṃ ca 	kaTam Bavantam svAmI Bakzayati | uktam ca 
   manasāpi svajātyānāṃ yo 'niṣṭāni pracintayet | bhavanti tasya tāny eva iha	manasA api sva jAtyAnAm yaH anizwAni pracintayet | Bavanti tasya tAni eva iha
   loke paratra ca ||Panc_1.322||	loke paratra ca ||Pan= _1.322||
   tad apasarāgrataḥ, yenāhaṃ svāminaṃ vijñāpayāmi | tathānuṣṭhite krathanako	tat apasara agrataH, yena aham svAminam vijQApayAmi | taTA anuzWite kraTanakaH 
   'gre sthitvā praṇamyovāca svāmin ! ete'bhakṣyās tava tan mama prāṇaiḥ	agre sTitvA praNamya uvAca svAmin ! ete aBakzyAH tava tat mama prANEH
   prāṇa yātrā vidhīyatāṃ yena mamobhaya loka prāptir bhavati | uktaṃ ca 	prANa yAtrA viDIyatAm yena mama uBaya  loka  prAptiH Bavati | uktam ca 
   na yajvāno 'pi gacchanti tāṃ gatiṃ naiva yoginaḥ | yāṃ yānti	na yajvAnaH api gacCanti tAm gatim na eva yoginaH | yAm yAnti
   projjhita prāṇāḥ svāmy arthe sevakottamāḥ ||Panc_1.323||	projJita prANAH svAmi  arTe sevaka uttamAH ||Pan= _1.323||
   evam abhihite tābhyāṃ śṛgāla citrakābhyāṃ vidāritobhaya kukṣiḥ krathanakaḥ	evam aBihite tAByAm SRgAla  citrakAByAm vidArita uBaya  kukziH kraTanakaH
   prāṇān atyākṣīt | tataś ca taiḥ kṣudra paṇḍitaiḥ sarvair bhakṣitaḥ |	prANAn atyAkzIt | tatas ca tEH kzudra  paNxitEH sarvEH BakzitaH |
   ato 'haṃ bravīmi bahavaḥ paṇḍitāḥ kṣudrāḥ iti |	atas aham bravImi bahavaH paNxitAH kzudrAH iti |
   tad bhadra, kṣudra parivāro 'yaṃ te rājā mayā samyag jātaḥ | satām asevyaṃ	tat Badra, kzudra  parivAraH ayam te rAjA mayA samyak jAtaH | satAm asevyam
   ca | uktaṃ ca 	ca | uktam ca 
   aśuddha prakṛtau rājñi janatā nānurajyate |	aSudDa  prakRtO rAjQi janatA na anurajyate |
   yathā gṛdhra samāsannaḥ kalahaṃsaḥ samācaret ||Panc_1.324||	yaTA gRDra  samAsannaH kalahaMsaH samAcaret ||Pan= _1.324||
   tathā ca 	taTA ca 
   gṛdhrākāro 'pi sevyaḥ syād dhaṃsākāraiḥ sabhāsadaiḥ |	gRDra AkAraH api sevyaH syAt DaMsA AkArEH saBAsadEH |
   haṃsākāro 'pi santyājyo gṛdhrākāraiḥ sa tair nṛpaḥ ||Panc_1.325||	haMsa AkAraH api santyAjyaH gRDra AkArEH sa tEH nRpaH ||Pan= _1.325||
   tan nūnaṃ mamopari kenacid durjanenāyaṃ prakopitaḥ, tenaivaṃ vadati |	tat nUnam mama upari kenacid durjanena ayam prakopitaH, tena evam vadati |
   athavā bhavaty etat | uktaṃ ca 	aTavA Bavati etat | uktam ca 
   mṛdunā salilena khanyamā	mRdunA salilena KanyamA
   nānyavad dhṛṣyanti girer api sthalāni |	na anya vat DRzyanti gireH api sTalAni |
   upajāpavidāṃ ca karṇa jāpaiḥ	upajApa vidAm ca karNa  jApEH
   kim u cetāṃsi mṛdūni mānavānām ||Panc_1.326||	kim u cetAMsi mRdUni mAnavAnAm ||Pan= _1.326||
   karṇa viṣeṇa ca bhagnaḥ kiṃ kiṃ na karoti bāliśo lokaḥ |	karNa vizeNa ca BagnaH kim kim na karoti bAliSaH lokaH |
   kṣapaṇakatām api dhatte pibati surāṃ naraka pālena ||Panc_1.327||	kzapaNaka tAm api Datte pibati surAm nara ka pAlena ||Pan= _1.327||
   athavā sādhv idam ucyate 	aTavA sADu idam ucyate 
   pādāhato 'pi dṛḍha daṇḍa samāhato 'pi	pAda AhataH api dRXa  daNxa  samAhataH api
   yaṃ daṃṣṭrayā spṛśati taṃ kila hanti sarpaḥ |	yam daMzwrayA spRSati tam kila hanti sarpaH |
   ko 'py eṣa eva piśunogra manuṣya dharmaḥ	kaH api ezaH eva piSuna ugra  manuzya  DarmaH
   karṇe paraṃ spṛśati hanti paraṃ samūlam ||Panc_1.328||	karNe param spRSati hanti param sa mUlam ||Pan= _1.328||
   tathā ca 	taTA ca 
   aho khala bhujaṅgasya viparīto vadha kramaḥ |	aho Kala  BujaFgasya viparItaH vaDa kramaH |
   karṇe lagati cānyasya prāṇair anyo viyujyate ||Panc_1.329||	karNe lagati ca anyasya prANEH anyaH viyujyate ||Pan= _1.329||
   tad evaṃ gate'pi kiṃ kartavyam ity ahaṃ tvāṃ suhṛd bhāvāt pṛcchāmi |	tat evam gate api kim kartavyam iti aham tvAm suhRd BAvAt pRcCAmi |
   damanaka āha tad deśāntara gamanaṃ yujyate | naivaṃ vidhasya kusvāminaḥ	damanakaH Aha tat  deSa antara  gamanam yujyate | na evaM viDasya kusvAminaH
   sevāṃ vidhātum | uktaṃ ca 	sevAm viDAtum | uktam ca 
   guror apy avaliptasya kāryākāryam ajānataḥ |	guroH api avaliptasya kArya akAryam ajAnataH |
   utpatha pratipannasya parityāgo vidhīyate ||Panc_1.330||	utpaTa  pratipannasya parityAgaH viDIyate ||Pan= _1.330||
   sañjīvaka āha asmākam upari svāmini kupite gantuṃ na śakyate, na cānyatra	saQjIvakaH Aha asmAkam upari svAmini kupite gantum na Sakyate, na ca anyatra
   gatānām api nirvṛtir bhavati | uktaṃ ca 	gatAnAm api nirvRtiH Bavati | uktam ca 
   mahatāṃ yo 'parādhyena dūrastho 'smīti nāśvaset |	mahatAm yaH aparADyena dUra sTaH asmi iti na ASvaset |
   dīrghau buddhimato bāhū tābhyāṃ hiṃsati hiṃsakam ||Panc_1.331||	dIrGO budDimataH bAhU tAByAm hiMsati hiMsakam ||Pan= _1.331||
   tad yuddhaṃ muktvā me nānyad asit śreyaskaram | uktaṃ ca 	tat yudDam muktvA me na anyat asit Sreyaskaram | uktam ca 
   na tān hi tīrthais tapasā ca lokān	na tAn hi tIrTEH tapasA ca lokAn
   svargaiṣiṇo dāna śataiḥ suvṛttaiḥ |	svarga eziNaH dAna  SatEH su vRttEH |
   kṣaṇena yān yānti raṇeṣu dhīrāḥ	kzaNena yAn yAnti raNezu DIrAH
   prāṇān samujjhanti hi ye suśīlāḥ ||Panc_1.332||	prANAn samujJanti hi ye su SIlAH ||Pan= _1.332||
   mṛtaiḥ samprāpyate svargo jīvadbhiḥ kīrtir uttamā |	mRtEH samprApyate svargaH jIvadBiH kIrtiH uttamAH |
   tad ubhāv api śūrāṇāṃ guṇāv etau sudurlabhau ||Panc_1.333||	tat uBO api SUrANAm guNO etO su durlaBO ||Pan= _1.333||
   lalāṭa deśe rudhiraṃ sravat tu	lalAwa deSe ruDiram sravat tu
   śūrasya yasya praviśec ca vaktre |	SUrasya yasya praviSet ca vaktre |
   tat somapānena samaṃ bhavec ca	tat soma pAnena samam Bavet ca
   saṅgrāma yajñe vidhivat pradiṣṭam ||Panc_1.334||	saFgrAma yajQe viDivat pradizwam ||Pan= _1.334||
   tathā ca 	taTA ca 
   homārthair vidhivat pradāna vidhinā sad vipra vṛndārcanair	homa arTEH viDivat pradAna  viDinA sat  vipra vRnda arcanEH 
   yajñair bhūri sudakṣiṇaiḥ suvihitaiḥ samprāpyate yat phalam |	yajQEH BUri su dakziNEH su vihitEH samprApyate yat Palam |
   sat tīrthāśrama vāsa homa niyamaiś cāndrāyaṇādyaiḥ kṛtaiḥ	sat tIrTa ASrama  vAsa  homa  niyamEH cAndrAyaNa AdyEH kRtEH
   pumbhis tat phalam āhave vinihitaiḥ samprāpyate tat kṣaṇāt ||Panc_1.335||	pumBiH tat Palam Ahave vinihitEH samprApyate tat kzaNAt ||Pan= _1.335||
   tad ākarṇya damanakaś cintayāmāsa yuddhāya kṛta niścayo 'yaṃ dṛśyate	tat AkarNya damanakaH cintayAmAsa  yudDAya kRta niScayaH ayam dRSyate
   durātmā | tad yadi kadācit tīkṣṇa śṛgālābhyāṃ svāminaṃ prahariṣyati tan	durAtmA | tat yadi kadAcid tIkzNa  SRgAlAByAm svAminam praharizyati tat 
   mahān anarthaḥ sampatsyate | tad enaṃ bhūyo 'pi sva buddhyā prabodhya	mahAn anarTaH sampatsyate | tat enam BUyas api sva budDyA praboDya
   tathā karomi, yathā deśāntara gamanaṃ karoti | āha ca bho mitra ! samyag	taTA karomi, yaTA deSa antara  gamanam karoti | Aha ca BaH mitra ! samyak 
   abhihitaṃ bhavatā | paraṃ kaḥ svāmi bhṛtyayoḥ saṅgrāmaḥ | uktaṃ ca 	aBihitam BavatA | param kaH svAmi BRtyayoH saFgrAmaH | uktam ca 
   balavantaṃ ripuṃ dṛṣṭvā kilātmānaṃ pragopayet |	balavantam ripum dRzwvA kila AtmAnam pragopayet |
   balavadbhiś ca kartavyā śarac candra prakāśatā ||Panc_1.336||	balavadBiH ca kartavyA Sarac  candra  prakASa tA ||Pan= _1.336||
   anyac ca 	anyat ca 
   śatror vikramam ajñātvā vairam ārabhate hi yaḥ |	SatroH vikramam ajQAtvA vEram AraBate hi yaH |
   sa parābhavam āpnoti samudraṣ ṭiṭṭibhād yathā ||Panc_1.337||	sa parABavam Apnoti samudraH wiwwiBAt yaTA ||Pan= _1.337||
   sañjīvaka āha  katham etat ?	saQjIvakaH Aha   kaTam etat ?
   so 'bravīt 	saH abravIt  
   kathā 12	kaTA 12
   ṭiṭṭibha dampatī kathā	wiwwiBa dampatI  kaTA
   kasmiṃścit samudraika deśe ṭiṭṭibha dampatī vasataḥ | tato gacchati kāla	kasmiMScid samudra eka deSe wiwwiBa dampatI vasataH | tatas gacCati kAla
   ṛtu samayam āsādya ṭiṭṭibhī garbham ādhatta | āsanna prasavā satī sā	Rtu  samayam AsAdya wiwwiBI garBam ADatta | Asanna prasavA satI sA
   ṭiṭṭibham ūce bhoḥ kānta ! mama prasava samayo vartate | tad vicintyatāṃ	wiwwiBam Uce BoH kAntaH ! mama prasava  samayaH vartate | tat vicintyatAm
   kim api nirupadravaṃ sthānaṃ yena tatrāham aṇḍaka mokṣaṇaṃ karomi |	kim api nirupadravam sTAnam yena tatra aham aNxa ka mokzaNam karomi |
   ṭiṭṭibhaḥ prāha bhadre ramyo 'yaṃ samudra pradeśaḥ | tad atraiva prasavaḥ	wiwwiBaH prAha Badre ramyaH ayam samudra  pradeSaH | tat atra eva prasavaH
   kāryaḥ |	kAryaH |
   sā prāha atra pūrṇimā dine samudra velā carati | sā matta gajendrān api	sA prAha  atra pUrNimA dine samudra velA carati | sA mad ta gaja indrAn api
   samākarṣati | tad dūram anyatra kiṃcit sthānam anviṣyatām |	samAkarzati | tat dUram anyatra kiMcid sTAnam anvizyatAm |
   tac chrutvā vihasya ṭiṭṭibha āha bhadre na yuktam uktaṃ bhavatyā | kā	tat SrutvA vihasya wiwwiBaH Aha Badre na yuktam uktam BavatyA | kA
   mātrā samudrasya yā mama dūṣayiṣyati prasūtim | kiṃ na śrutaṃ bhavatyā 	mAtrA samudrasya yA mama dUzayizyati prasUtim | kim na Srutam BavatyA 
   baddhvāmbara cara mārgaṃ vyapagata dhūmaṃ sadā mahad bhayadam |	badDvA ambara  cara  mArgam vyapagata DUmam sadA mahat Baya dam |
   manda matiḥ kaḥ praviśati hutāśanaṃ svecchayā manujaḥ ||Panc_1.338||	manda matiH kaH praviSati hutASanam sva icCayA manujaH ||Pan= _1.338||
   mattebha kumbha vidalana kṛta śramaṃ suptam antaka pratimam |	matta iBa  kumBa  vidalana kRta  Sramam suptam antaka pratimam |
   yama loka darśanecchuḥ siṃhaḥ bodhayati ko nāma ||Panc_1.339||	yama  loka darSana icCuH siMhaH boDayati kaH nAma ||Pan= _1.339||
   ko gatvā yama sadanaṃ svayam antakam ādiśaty ajāta bhayaḥ |	kaH gatvA yama  sadanam svayam antakam AdiSati ajAta BayaH |
   prāṇān apahara matto yadi śaktiḥ kācid asti tava ||Panc_1.340||	prANAn apahara mattaH yadi SaktiH kAcid asti tava ||Pan= _1.340||
   prāleya leśa miśre maruti prābhātike ca vāti jaḍe |	prAleya  leSa  miSre maruti prABAtike ca vAti jaxe |
   guṇa doṣa jñaḥ puruṣo jalena kaḥ śītam apanayati ||Panc_1.341||	guNa doza  jQaH puruzaH jalena kaH SItam apanayati ||Pan= _1.341||
   tasmād viśrabdhātraiva garbhaṃ muñca | uktaṃ ca 	tasmAt viSrabDa atra eva garBam muQca | uktam ca 
   yaḥ parābhava santrastaḥ sva sthānaṃ santyajen naraḥ |	yaH parABava  santrastaH sva  sTAnam santyajet naraH |
   tena cet putriṇī mātā tad vandhyā kena kathyate ||Panc_1.342||	tena ced putriNI mAtA tat vanDyA kena kaTyate ||Pan= _1.342||
   tac chrutvā samudraś cintayām āsa aho garvaḥ pakṣi kīṭasyāsya | atha vā	tat SrutvA samudraH cintayAm Asa ahaH garvaH pakzi kIwasya asya | aTa vA
   sādhv idam ucyate 	sADu idam ucyate 
   utkṣipya ṭiṭṭibhaḥ pādāv āste bha gabhayād divaḥ |	utkzipya wiwwiBaH pAdO Aste Ba gaBayAt divaH |
   sva citta kalpito garvaḥ kasya nātrāpi vidyate ||Panc_1.343||	sva  citta  kalpitaH garvaH kasya na atra api vidyate ||Pan= _1.343||
   tan mayāsya pramāṇaṃ kutūhalād api draṣṭavyam | kiṃ mamaiṣo 'ṇḍāpahāre	tat mayA asya pramANam kutUhalAt api drazwavyam | kim mama ezaH aNxa apahAre
   kṛte kariṣyati | iti cintayitvā sthitaḥ | atha prasavānantaraṃ	kRte karizyati | iti cintayitvA sTitaH | aTa prasava anantaram
   prāṇayātrārthaṃ gatāyāṣ ṭiṭṭibhyāḥ samudro velāvyājenāṇḍāny apajahāra |	prANa yAtrA arTam gatAyAH wiwwiByAH samudraH velA vyAjena aNxAni apajahAra |
   athāyātā sā ṭiṭṭibhī prasavasthānaṃ śūnyam avalokya pralapantī ṭiṭṭibham	aTa AyAtA sA wiwwiBI prasava sTAnam SUnyam avalokya pralapantI wiwwiBam
   ūce bho mūrkha ! kathitam āsīn mayā te yat samudravelayā aṇḍānāṃ vināśo	Uce BaH mUrKaH ! kaTitam AsIt mayA te yat samudra velayA aNxAnAm vinASaH 
   bhaviṣyati tad dūrataraṃ vrajāvaḥ paraṃ mūḍhatayāhaṃkāram āśritya mama	Bavizyati tat dUrataram vrajAvaH param mUXatayA ahaMkAram ASritya mama
   vacanaṃ na karoṣi | athavā sādhv idam ucyate |	vacanam na karozi | aTavA sADu idam ucyate |
   suhṛdāṃ hitakāmānāṃ na karotīha yo vacaḥ | sa kūrma iva durbuddhiḥ kāṣṭhād	suhRdAm hita kAmAnAm na karoti iha yaH vacaH | sa kUrmaH iva durbudDiH kAzWAt 
   bhraṣṭo vinaśyati ||Panc_1.344||	BrazwaH vinaSyati ||Pan= _1.344||
   ṭiṭṭibha āha katham etat ?	wiwwiBaH Aha kaTam etat ?
   sābravīt 	sA bravIt  
   kathā 13	kaTA 13
   kambugrīvākhya kūrma kathā	kambu grIva AKya kUrma  kaTA
   asti kasmiṃścij jalāśaye kambu grīvo nāma kacchapaḥ | tasya ca	asti kasmiMScid jalASaye kambu grIvaH nAma kacCapaH | tasya ca
   saṅkaṭa vikaṭa nāmnī mitre haṃsa jātīye parama sneha koṭim āśrite nityam	saFkawa  vikawa  nAmnI mitre haMsa jAtIye parama  sneha  kowim ASrite nityam
   eva saras tīram āsādya tena sahāneka devarṣi maharṣīṇāṃ kathāḥ	eva saras  tIram AsAdya tena saha aneka deva Rzi  mahA RzINAm kaTAH
   kṛtvāsta maya velāyāṃ sva nīḍā saṃśrayaṃ kurutaḥ | atha gacchatā	kRtvA asta maya velAyAm sva nIxA  saMSrayam kurutaH | aTa gacCatA
   kālenāvṛṣṭi vaśāt saraḥ śanaiḥ śanaiḥ śoṣam agamat | tatas	kAlena AvRzwi vaSAt saraH SanEs SanEs Sozam agamat | tatas 
   tad duḥkha duḥkhitau tāv ūcatuḥ bho mitra ! jambāla śeṣam etat saraḥ	tad  duHKa  duHKitO tO UcatuH BaH mitra ! jambAla  Sezam etat saraH
   sañjātam | tat kathaṃ bhavān bhaviṣyatīti vyākulatvaṃ no hṛdi vartate |	san jAtam | tat kaTam BavAn Bavizyati iti vyAkula tvam naH hRdi vartate |
   tac chrutvā kambugrīva āha bhoḥ, sāmprataṃ nāsty asmākaṃ jīvitavyaṃ	tat SrutvA kambu grIvaH Aha BoH, sAmpratam na asti asmAkam jIvitavyam
   jalābhāvāt | tathāpy upāyaś cintyatām iti | uktaṃ ca 	jala aBAvAt | taTA api upAyaH cintyatAm iti | uktam ca 
   tyājyaṃ na dhairyaṃ vidhure'pi kāle	tyAjyam na DEryam viDure api kAle
   dhairyāt kadācid gatim āpnuyāt saḥ |	DEryAt kadAcid gatim ApnuyAt saH |
   yathā samudre'pi ca pota bhaṅge	yaTA samudre api ca pota BaFge
   sāṃyātriko vāñchati tartum eva ||Panc_1.345||	sAMyAtrikaH vAQCati tartum eva ||Pan= _1.345||
   aparaṃ ca 	aparam ca 
   mitrārthe bāndhavārthe ca buddhimān yatate sadā |	mitra arTe bAnDava arTe ca budDimAn yatate sadA |
   jātāsv āpatsu yatnena jagādedaṃ vaco manuḥ ||Panc_1.346||	jAtAsu Apatsu yatnena jagAda idam vacaH manuH ||Pan= _1.346||
   tad ānīyatāṃ kācid dṛḍha rajjur laghu kāṣṭhaṃ vā | anviṣyatāṃ ca	tat AnIyatAm kAcid dRXa  rajjuH laGu kAzWam vA | anvizyatAm ca
   prabhūta jala sanāthaṃ saraḥ, yena mayā madhya pradeśe dantair gṛhīte sati	praBUta  jala sanATam saraH, yena mayA maDya  pradeSe dantEH gRhIte sati
   yuvāṃ koṭi bhāgayos tat kāṣṭhaṃ mayā sahitaṃ saṅgṛhya tat saro nayathaḥ |	yuvAm kowi BAgayoH tat kAzWam mayA sahitam saFgRhya tat saraH nayaTaH |
   tāv ūcatuḥ bho mitra ! evaṃ kariṣyāvaḥ | paraṃ bhavatā mauna vratena	tO UcatuH BaH mitra ! evam karizyAvaH | param BavatA mOna vratena
   sthātavyam | no cet tava kāṣṭhāt pāto bhaviṣyati |	sTAtavyam | no ced tava kAzWAt pAtaH Bavizyati |
   tathānuṣṭhite gacchatā kambugrīveṇādhobhāga vyavasthitaṃ kiṃcit puram	taTA anuzWite gacCatA kambu grIveNa aDoBAga  vyavasTitam kiMcid puram
   ālokitam | tatra ye paurās te tathā nīyamānaṃ vilokya savismayam idam	Alokitam | tatra ye pOrAH te taTA nIyamAnam vilokya sa vismayam idam
   ūcuḥ aho cakrākāraṃ kim api pakṣibhyāṃ nīyate | paśyata paśyata |	UcuH aho cakra AkAram kim api pakziByAm nIyate | paSyata paSyata |
   atha teṣāṃ kolāhalam ākarṇya kambugrīva āha bhoḥ ! kim eṣa kolāhalaḥ ? iti	aTa tezAm kolAhalam AkarNya kambu grIvaH Aha BoH ! kim eza kolAhalaH ? iti
   vaktu manā ardhokte patitaḥ pauraiḥ khaṇḍaśaḥ kṛtaś ca | ato 'haṃ	vaktu manAH arDa ukte patitaH pOrEH KaNxaSas kRtaH ca | atas aham
   bravīmi suhṛdāṃ hita kāmānām iti | tathā ca 	bravImi  suhRdAm hita  kAmAnAm iti | taTA ca 
   anāgata vidhātā ca pratyutpanna matis tathā |	anAgata viDAtA ca pratyutpanna matiH taTA |
   dvāv etau sukham edhete yad bhaviṣyo vinaśyati ||Panc_1.347||	dvO etO suKam eDete yat  BavizyaH vinaSyati ||Pan= _1.347||
   ṭiṭṭibha āha katham etat ?	wiwwiBaH Aha kaTam etat ?
   sābravīt 	sA bravIt  
   kathā 14	kaTA 14
   anāgata vidhātādi matsya traya kathā	anAgata viDAta Adi matsya  traya  kaTA
   kasmiṃścij jalāśaye'nāgata vidhātā pratyutpanna matir yad bhaviṣyaś ceti	kasmiMScid jalASaye anAgata viDAtA pratyutpanna matiH yat  BavizyaH ca iti
   trayo matsyāḥ santi | atha kadācit taṃ jalāśayaṃ dṛṣṭvā gacchadbhir	trayaH matsyAH santi | aTa kadAcid tam jalASayam dRzwvA gacCadBiH 
   matsya jīvibhir uktam yad aho bahu matsyo 'yaṃ hradaḥ | kadācid api	matsya jIviBiH uktam  yat aho bahu matsyaH ayam hradaH | kadAcid api
   nāsmābhir anveṣitaḥ | tad adya tāvad āhāra vṛttiḥ sañjātā |	na asmABiH anvezitaH | tat adya tAvat AhAra vRttiH san jAtA |
   sandhyā samayaś ca saṃvṛttaḥ | tataḥ prabhāte'trāgantavyam iti niścayaḥ |	sanDyA a  samayaH ca saMvRttaH | tatas praBAte atra Agantavyam iti niScayaH |
   atas teṣāṃ tat kuliśa pātopamaṃ vacaḥ samākarṇyānāgata vidhātā sarvān	atas tezAm tat kuliSa  pAta upamam vacaH samAkarNya anAgata viDAtA sarvAn
   matsyān āhūyedam ūce aho, śrutaṃ bhavadbhir yan matsya jīvibhir abhihitam	matsyAn AhUya idam Uce aho, Srutam BavadBiH yat matsya jIviBiH aBihitam
   | tad rātrāv api gamyatāṃ kiñcin nikaṭaṃ saraḥ | uktaṃ ca 	| tat rAtrO api gamyatAm kiQcid nikawam saraH | uktam ca 
   aśaktair balinaḥ śatroḥ kartavyaṃ prapalāyanam |	aSaktEH balinaH SatroH kartavyam prapalAyanam |
   saṃśritavyo 'thavā durgo nānyā teṣāṃ gatir bhavet ||Panc_1.348||	saMSritavyaH aTavA durgaH na anyA tezAm gatiH Bavet ||Pan= _1.348||
   tan nūnaṃ prabhāta samaye matsya jīvino 'tra samāgamya matsya saṅkṣayaṃ	tat nUnam praBAta  samaye matsya jIvinaH atra samAgamya matsya  saFkzayam
   kariṣyanti | etan mama manasi vartate | tan na yuktaṃ sāmprataṃ kṣaṇam apy	karizyanti | etat mama manasi vartate | tat na yuktam sAmpratam kzaNam api 
   atrāvasthātum | uktaṃ ca 	atra avasTAtum | uktam ca 
   vidyamānā gatir yeṣām anyatrāpi sukhāvahā |	vidyamAnA gatiH yezAm anyatra api suKa AvahAH |
   te na paśyanti vidvāṃso deha bhaṅgaṃ kula kṣayam ||Panc_1.349||	te na paSyanti vidvAMsaH deha BaFgam kula  kzayam ||Pan= _1.349||
   tad ākarṇya pratyutpanna matiḥ prāha aho satyam abhihitaṃ bhavatā | mamāpy	tat AkarNya pratyutpanna matiH prAha  aho satyam aBihitam BavatA | mama api 
   abhīṣṭam etat | tad anyatra gamyatām iti | uktaṃ ca 	aBIzwam etat | tat anyatra gamyatAm iti | uktam ca 
   para deśa bhayāt bhītā bahu māyā napuṃsakāḥ |	para deSa  BayAt BItAH bahu mAyAH napuMsakAH |
   sva deśe nidhanaṃ yānti kākāḥ kāpuruṣā mṛgāḥ ||Panc_1.350||	sva deSe niDanam yAnti kAkAH kApuruzAH mRgAH ||Pan= _1.350||
   yasyāsti sarvatra gatiḥ sa kasmāt	yasya asti sarvatra gatiH sa kasmAt 
   sva deśa rāgeṇa hi yāti nāśam |	sva  deSa  rAgeNa hi yAti nASam |
   tātasya kūpo 'yam iti bruvāṇāḥ	tAtasya kUpaH ayam iti bruvANAH
   kṣāra jalaṃ kāpuruṣāḥ pibanti ||Panc_1.351||	kzAra  jalam kApuruzAH pibanti ||Pan= _1.351||
