   aṣṭama ucchvāsaḥ	azwamaH ucCvAsaH
   janma japasya, nemiṃ niyamasya, tattvaṃ tapasaḥ, śarīraṃ śaucasya, kośaṃ	janma japasya, nemim niyamasya, tattvam tapasaH, SarIram SOcasya, koSam
   kuśalasya, veśma viśvāsasya, sadvṛttaṃ sadvṛttatāyāḥ, sarvasvaṃ	kuSalasya, veSma viSvAsasya, sat-vRttam sat-vRtta-tAyAH, sarva-svam
   sarvajñatāyāḥ, dākṣyaṃ dākṣiṇyasya, pāraṃ parānukampāyāḥ, nirvṛti	sarvajQa-tAyAH, dAkzyam dAkziNyasya, pAram para-anukampAyAH, nirvRti
   sukhasya, madhyame vayasi vartamānaṃ divākaramitramadrākṣīt /	suKasya, maDyame vayasi vartamAnam divAkara-mitram-adrAkzIt /
   atipraśāntagambhīrākārāropitabahumānaśva sādaraṃ dūrādeva śirasā vacasā	ati-praSAnta-gamBIra-AkAra-Aropita-bahu-mAn-aSva sa-Adaram dUrAt-eva SirasA vacasA
   manasā ca vavande /	manasA ca vavande /
   divākaramitrastu maitrīmayaḥ prakṛtyā	divAkaramitraH-tu mEtrI-mayaH prakRtyA
   viśeṣatastenāpareṇādṛṣṭapūrveṇāmānuṣalokocitena sarvābhibhāvinā	viSezataH-tena-apareNa-adRzwa-pUrveNa-amAnuza-loka-ucitena sarva-aBiBAvinA
   mahānubhāvābhogabhājā mrājiṣṇunā bhūpateraprākṛtenākāraviśeṣeṇa tena	mahA-anuBAva-ABoga-BAjA mrAjizNunA BUpateH-aprAkRtena-AkAra-viSezeNa tena
   cābijātyaprakāśakena garīyasā praśrayeṇa cāhlāditaścakṣuṣi ca cetasi ca	ca-abijAtya-prakASakena garIyasA praSrayeNa ca-AhlAditaH-cakzuzi ca cetasi ca
   yugapadagrahīta /	yugapad-agrahIta /
   dhīrasvabhāvo 'pi ca saṃpāditasasaṃbhramābhyutthānaḥ saṃkalayya	DIra-svaBAvaH api ca saMpAdita-sa-saMBrama-aByutTAnaH saMkalayya
   kiñcidudgamanakena vilolaṃ vilambamānaṃ vāmāṃsāccīvarapaṭāntamutkṣipya	kiQcid-udgamanakena vilolam vilambamAnam vA-amAMsAt-cIvara-pawa-antam-utkzipya
   cānekābhayadānadīkṣādakṣiṇo dakṣiṇaṃ mahāpuruṣalakṣaṇalekhāpraśastaṃ	ca-aneka-aBaya-dAna-dIkzA-dakziNaH dakziNam mahApuruza-lakzaNa-leKA-praSastam
   snigdhamadhurayā vācā sgauravamārogyadānena rājānamanvagrahīt /	snigDa-maDurayA vAcA sgOravam-Arogya-dAnena rAjAnam-anvagrahIt /
   abyanandacca svāgatagirā gurumivābyāgataṃ bahu manyamānaḥ	abyanandat-ca svAgata-girA gurum-iva-abyAgatam bahu manyamAnaH
   svenāsanenāsaddvamatreti nimantrayāñcakāra /	svena-Asanena-asat-dvamatra-iti nimantra-yAQcakAraH /
   pārśvasthitaṃ ca śiṣyamabravīt--"āyuṣn! upānaya kamaṇḍalunā pādodakam' iti	pArSva-sTitam ca Sizyam-abravIt---"Ayuzn! upAnaya kamaNxalunA pAda-udakam-a iti
   rājā tvacintayat--"alohaḥ khalu saṃyamanapāśaḥ śaujanyamabhijātānām /	rAjA tu-acintayat--"a-lohaH Kalu saMyamana-pASaH SOjanyam-aBijAtAnAm /
   sthāne khalu tatrabhavānguṇānurāgī grahavarmā bahuśo varṇitavānasya guṇān'	sTAne Kalu tatraBavAn-guNa-anurAgI grahavarmA bahuSas varNitavAn-asya guNAn-a
   iti /	iti /
   prakāśaṃ cābabhāṣe--"bhagavan! bhavaddarśanapuṇyānugṛhītasya mama	prakASam ca-AbaBAze--"Baga-van! Bavat-darSana-puNya-anugRhItasya mama
   punarukta ivāyamāryaprayuktaḥ pratibhātyanugrahaḥ /	punaruktaH iva-ayam-Arya-prayuktaH pratiBAti-anugrahaH /
   cakṣuḥpramāṇaprasādasvīkṛtasya ca parakaraṇamivāsanādidānopacāraceṣṭitam /	cakzuH-pramANa-prasAda-svIkRtasya ca para-karaNam-iva-Asana-Adi-dAna-upacAra-cezwitam /
   atibhūmirbhūmirevāsanaṃ bhavādṛśāṃ puraḥ saṃbāṣaṇā	ati-BUmiH-BUmiH-eva-Asanam BavAdRSAm puras saMbAzaNA
   mṛtābhiṣekaprakṣālitasakalavapuṣaśca me pradeśavṛttiḥ /	mRta-aBizeka-prakzAlita-sakala-vapuzaH-ca me pradeSa-vRttiH /
   pādyamapyapārthakam /	pAdyam-api-apArTakam /
   āsatāṃ bhavanto yathāsukham /	AsatAm BavantaH yaTAsuKam /
   āsīno 'ham' ityabhidhāya kṣitāvevopāviśat /	AsInaH aham-a iti-aBiDAya kzitO=-eva-upAviSat /
   "alaṅkāro hi paramārthataḥ prabhavatāṃ praśrayātiśayaḥ, ratnādikastu	"alaFkAraH hi paramArTataH praBavatAm praSraya-atiSayaH, ratna-AdikaH-tu
   śilābhāraḥ' ityākalayya punaḥ punarabyarthyamāno 'pi yadā na pratyapadyata	SilA-BAraH-a iti-Akalayya punar punar-abyarTyamAnaH api yadA na pratyapadyata
   pārthivo vacanaṃ tadā svamevāsanaṃ punarapi bheje bhadantaḥ /	pArTivaH vacanam tadA svam-eva-Asanam punar-api Beje BadantaH /
   bhūpatimukhanalinanihitanibhṛtanayanayugalanigaḍaniścalīkṛtahṛdayasca	BUpati-muKa-nalina-nihita-niBRta-nayana-yugala-nigaxa-niScalIkRta-hRdayaH-ca
   sthitvā kāñcitkālakalāṃ kalikālakalmaṣakāluṣyamiva	sTitvA kAQcid-kAla-kalAm kali-kAla-kalmaza-kAluzyam-iva
   kṣālayannamalābhirdantamayūkhamālābhirmūlaphalābyavahārasaṃbhavamudvamanniva	kzAlayan=-amalABiH-danta-mayUKa-mAlABiH-mUla-Pala-abi-avahAra-saMBavam-udvaman=-iva
   ca parimalasubagaṃ vikacakusumapaṭalapāṇḍuraṃ	ca parimala-su-bagam vikaca-kusuma-pawala-pANxuram
   latāvanamavādīt--"adyaprabhṛti na kevalamayamanindyo vandyo 'pi	latA-vanam-avAdIt---"adya-praBRti na kevala-mayam-anindyaH vandyaH api
   prakāśitasatsāraḥ saṃsāraḥ /	prakASita-satsAraH saMsAraH /
   ki nāma nālokyate jīvadbhiradbhutaṃ yena rūpamacintatopanatamidaṃ	ki nAma na-Alokyate jIvadBiH-adButam yena rUpam-acintata-upanatam-idam
   dṛkpathamupagatam /	dRkpaTam-upagatam /
   evaṃvidhairanumīyante janmāntarāvasthitasukṛtāni hṛdayotsavaiḥ /	evaMviDEH-anumIyante janma-antara-avasTita-sukRtAni hRdaya-utsavEH /
   ihāpi janmani dattamevāsmākamamunā tapaḥkleśena phalamasulabhadarśanaṃ	iha-api janmani dattam-eva-asmAkam-amunA tapaH-kleSena Palam-asulaBa-darSanam
   darśayatā devānāṃpriyam /	darSayatA devAnAMpriyam /
   ā tṛpterāpītamamṛtamīkṣaṇābhyām /	A tRpteH-ApItam-amRtam-IkzaNAByAm /
   jātaṃ nirutkaṇṭhaṃ mānasaṃ nivṛttisukhasya /	jAtam nirutkaNWam mAnasam nivRtti-suKasya /
   mahadbhiḥ puṇyairvinā na viśrāmyanti sajjane tvādṛsi dṛśaḥ /	mahadBiH puNyEH-vinA na viSrAmyanti sat-jane tvAdRsi dRSaH /
   sudivasaḥ sa tvaṃ yasmiñjāto 'si /	su-divasaH sa tvam yasmin-jAtaH asi /
   sā sujātā jananī yā sakalajīvalokajīvitajanakamajanayadāyuṣmantam /	sA sujAtA jananI yA sakala-jIva-loka-jIvita-janakam-ajanayat-Ayuzmantam /
   puṇyavanti puṇyānyapi tāni yeṣāmasi pariṇāmaḥ /	puNyavanti puNyAni-api tAni yezAm-asi pariNAmaH /
   sukṛtatapasaste paramāṇavo ye tava parigṛhītasarvāvayavāḥ /	sukRta-tapasaH-te paramANavaH ye tava parigRhIta-sarva-avayavAH /
   tatsubhagaṃ saubhāgyamāśrito 'si yena /	tad-suBagam sOBAgyam-ASritaH asi yena /
   bhavyaḥ sa puruṣabhāvo bhavatyavasthito yaḥ /	BavyaH sa puruza-BAvaH Bavati-avasTitaH yaH /
   yatsatyaṃ mumukṣorapi me puṇyabhājamālokya punaḥ śraddhā jātā	yat-satyam mumukzoH-api me puNya-BAjam-Alokya punar SradDA jAtA
   manujajanmani /	manuja-janmani /
   necchadbhirapyasmābhirdṛṣṭaḥ kusumāyudhaḥ /	na-icCadBiH-api-asmABiH-dRzwaH kusumAyuDaH /
   kṛtārthamadya cakṣurvanadevatānām /	kRtArTam-adya cakzuH-vana-devatAnAm /
   adya saphalaṃ janma pādapānāṃ yeṣāmasi gato gocaram /	adya saPalam janma pAdapAnAm yezAm-asi gataH gocaram /
   amṛtamayasya bhavato vacasāṃ mādhuryaṃ kāryameva /	amRta-mayasya BavataH vacasAm mADuryam kAryam-eva /
   asyatvīdṛśe śaiśave vinayasyopādhyāyaṃ dhyāyannapi na saṃbhāvayāmi bhuvi /	asyatu-IdRSe SESave vinayasya-upADyAyam DyAyan=-api na saMBAvayAmi Buvi /
   sarvathā śūnya asīdajāte dīrghāyuṣi guṇagrāmaḥ /	sarvaTA SUnya asIt-ajAte dIrGa-Ayuzi guNa-grAmaH /
   dhanyaḥ sa bhūbhṛdyasya vaṃśe maṇiriva muktāmayaḥ saṃbhūto 'si /	DanyaH sa BUBRt-yasya vaMSe maNiH-iva muktA-mayaH saMBUtaH asi /
   evaṃvidhsva ca puṇyavataḥ kathañcitprāptasya kena priyaṃ samācarāma iti	evaMviDsva ca puNyavataH kaTaQcid-prAptasya kena priyam samAcarAmaH iti
   pāriplavaṃ ceto naḥ /	pAriplavam cetaH naH /
   sakalavanacarasārthadhāraṇasya kandamūlaphalasya girisaridambhaso vā ke	sakala-vana-cara-sArTa-DAraNasya kanda-mUla-Palasya giri-sarit-amBasaH vA ke
   vayam /	vayam /
   aparopakaraṇīkṛtastu kāyakalirayamasmākam /	apara-upakaraNIkRtaH-tu kAya-kaliH-ayam-asmAkam /
   sarvasvamavaśiṣṭamiṣṭātithyāya /	sarva-svam-avaSizwam-izwa-AtiTyAya /
   svāyattasca vidyante vidyābindavaḥ katicit /	su-AyattaH-ca vidyante vidyA-bindavaH katicid /
   upayogaṃ tu na prītirvicārayati /	upayogam tu na prItiH-vicArayati /
   yadi ca noparuṇaddhi kañcatkāryalavamarakṣaṇīyākṣaraṃ vā kathanīyaṃ	yadi ca na-uparuNadDi kaQcatkArya-lavam-arakzaNIya-akzaram vA kaTanIyam
   tatkathayatu bhavān sa śrotumabhilaṣati hṛdayaṃ sarvamidaṃ naḥ /	tat-kaTayatu BavAn sa Srotum-aBilazati hRdayam sarvam-idam naH /
   kena kṛtyātibhāreṇa bhavyo bhūṣitavānbhūmimetāmabramaṇayogyām?	kena kRtyA-atiBAreNa BavyaH BUzitavAn-BUmim-etAm-abramaNa-yogyAm-?
   kiyadavadhirvāyaṃ śūnyāṭavīparyaṭanavaleśaḥ kalyāṇarāśeḥ? kasmācca	kiyat-avaDiH-vA-ayam SUnya-awavI-paryawana-valeSaH kalyANa-rASeH? kasmAt-ca
   saṃtaptarūpeva te tanuriyamasaṃtāpārhā vibhāvyate?' iti /	saMtapta-rUpA-iva te tanuH-iyama-saMtApa-arhA viBAvyate?-a iti /
   rājā tu sādarataramabravīt--"ārya! darśitasaṃbhrameṇānena	rAjA tu sAdarataram-abravIt--"Arya! darSita-saMBrameNa-anena
   madhurasavisaramamṛtamiva hṛdayadhṛtikaramanavarataṃ varṣatā vacasaiva te	maDu-rasa-visaram-amRtam-iva hRdaya-DRti-karam-anavaratam varzatA vacasA-eva te
   sarvamanuṣṭhitam /	sarvam-anuzWitam /
   dhanyo 'smi yadevamabhyarhitamanupacaraṇīyamapi mānyo manyate mām /	DanyaH asmi yat-evam-aByarhitam-anupacaraNIyam-api mAnyaH manyate mAm /
   asya ca mahāvanabhramaṇaparikleśasya kāraṇamavadhārayatu matimān /	asya ca mahA-vana-BramaNa-parikleSasya kAraNam-avaDArayatu matimAn /
   mama hi vinaṣṭanikhileṣṭabandhorjīvitānubandhasya nibandhanamekaiva	mama hi vinazwa-niKila-izwa-banDoH-jIvita-anubanDasya nibanDanam-ekA-eva
   yavīyasī svasāvaśeṣā /	yavIyasI svasA-avaSezA /
   sāpi bharturviyogādvairiparibhavabhayād bramantī kathamapi	sA-api BartuH-viyogAt-vEri-pariBava-BayAt bramantI kaTam-api
   vindhyavanamidam, aśubhaśabarabalabahulam, agaṇitagajakulakalilam,	vinDya-vanam-idam, aSuBa-Sabara-bala-bahulam, agaNita-gaja-kula-kalilam,
   aparimitamṛgapatiśarabhabhayam, urumahiṣamuṣitapathikagamanam,	aparimita-mRgapati-SaraBa-Bayam, uru-mahiza-muzita-paTika-gamanam,
   atiniśitaśarakuśaparaṣam, avaṭaśataviṣamamaviśat /	ati-niSita-Sara-kuSa-parazam, avawa-Sata-vizamam-aviSat /
   atastāmanveṣṭuṃ vayamaniśaṃ niśi niśi ca satatamimāmaṭavīmaṭāmaḥ /	atas-tAm-anvezwum vayam-aniSam niSi niSi ca satatam-imAm-awavIm-awAmaH /
   na caināmāsādayāmaḥ kathayatu ca gururapi yadi kadācitkutaścidvane carataḥ	na ca-enAm-AsAdayAmaH kaTayatu ca guruH-api yadi kadAcid-kutaScid-vane carataH
   śrutipathamupagatā tadvārtā' iti /	Sruti-paTam-upagatA tad-vArtAa iti /
   atha tacchutvā jātodvega iva bhadantaḥ punarabhyadhāt--"dhīman! na khalu	aTa tat-SutvA jAta-udvegaH iva BadantaH punar-aByaDAt--"DIman! na Kalu
   kaścidevaṃrūpo vṛttānto 'smānupāgatavān /	kaScid-evaMrUpaH vRttAntaH asmAn-upAgatavAn /
   abhājanaṃ hi vayamīdṛśānāṃ priyākhyānopāyanānāṃ bhavatām' /	aBAjanam hi vayam-IdRSAnAm priya-AKyAna-upAyanAnAm BavatAm-a /
   ityevaṃ bhā,māṇa iva tasminnakasmādāgtayāparaḥ śamini vayasi vartamānaḥ	iti-evam BA,mANaH iva tasmin=-akasmAt-AgtayA-paraH Samini vayasi vartamAnaH
   saṃbhrāntarūpa iva purastāduparacitāñjalirjātakaruṇaḥ	saMBrAnta-rUpaH iva purastAt-uparacita-aQjaliH-jAta-karuNaH
   prakṣaritacakṣurbikṣurabhāṣata--"bhagavanbhadanta! mahatkaruṇaṃ vartate /	prakzarita-cakzuH-bikzuH-aBAzata---"Bagavan-Badanta! mahat-karuNam vartate /
   bālaiva ca balavadvyasanābibhūtā bhūtapūrvāpi kalyāṇarūpā	bAlA-eva ca balavat-vyasanA-biBUtA BUta-pUrvA-api kalyANa-rUpA
   strośokāveśavivaśā vaiśvānaraṃ viśati /	stra-uSoka-AveSa-vivaSA vESvAnaram viSati /
   saṃbhāvayatu tāmaproṣitaprāṇāṃ bhagavān /	saMBAvayatu tAm-aprozita-prANAm BagavAn /
   abhyupapadyatāṃ samucitaiḥ samāśvāsanaḥ /	aByupapadyatAm samucitEH samASvAsanaH /
   anuparatapūrvaṃ kṛmikīṭaprāyamapi duḥkhitaṃ dayārāśerāryasya gocaragatam'	anuparata-pUrvam kRmi-kIwa-prAyam-api duHKitam dayA-ArASeH-Aryasya gocara-gatam-a
   iti /	iti /
   rājā tu jātānujāśahkaḥ sodaryasnehāccāntardruta iva duḥkhena	rAjA tu jAta-anuja-aSahkaH sodarya-snehAt-ca-antar-drutaH iva duHKena
   dodūyamānahṛdayaḥ kathamapi gadgadikāgṛhītakaṇṭho	dodUyamAna-hRdayaH kaTam-api gadgadikA-gRhIta-kaNWaH-
   vikalavāgbāṣpāyamāṇadṛṣṭiḥ papraccha--"pārāśarin! kiyaddūre sā	vikala-vAc-bAzpAyamANa-dRzwiH papracCa--"-pArASarin! kiyat-dUre sA
   yoṣidevañjātīyā dīvedvā kālametāvantamiti /	yozidevan-jAtIyAH dIvet-vA kAlam-etAvantam-iti /
   pṛṣṭā vā tvayā bhadre! kāsi, kasyāsi, kuto 'si, kimarthaṃ	pRzwA vA tvayA Badre! kA-asi, kasya-asi, kutas asi, kim-arTam
   vanamidamabhyupagatāsi, viśasi ca kiṃnimittamanalam? ityāditaśca prabhṛti	vanam-idam-aByupagata-asi, viSasi ca kiMnimittam-analam? iti-Aditas-ca praBRti
   kārtsnyena kathyamānamicchāmi śrotuṃ kathamāryasya gatā	kArtsnyena kaTyamAnam-icCAmi Srotum kaTam-Aryasya gatA
   darśanagocaramākārato vā kīdṛśo' iti /	darSana-gocaram-AkArataH vA kIdRSaH-a iti /
   tathābhihitastu bhūbhujā bhikṣurājajakṣe--"mahābhāga! śrūyatām--ahaṃ hi	taTA-aBihitaH-tu BUBujA Bikzu-rAja-jakze--"-mahABAga! SrUyatAm---aham hi
   pratyuṣasyevādya vanditvā bhagavantamanenaiva nadīrodhasā	pratyuzasya-iva-adya vanditvA Bagavantam-anena-eva nadI-roDasA
   saikatasukumāreṇayaducchayā vihṛtavānatidūram /	sEkata-sukumAreNayat-ucCayA vihRtavAn-ati-dUram /
   ekasmiṃñca vanalatāgahane girinadīsamīpabhāji bhramarīṇāmiva	ekasminQca vana-latA-gahane giri-nadI-samIpa-BAji BramarINAm-iva
   himahatakamalākarakātarāṇāṃ rasitaṃ sāryamāṇānāmatitāratānavartinīnāṃ	hima-hata-kamala-Akara-kAtarANAm rasitam sAryamANAnAm-ati-tAra-tAna-vartinInAm
   vīṇātantrīṇāmiva jhāṅkāramekatānaṃ nārīṇāṃ	vINA-tantrINAm-iva JAFkAram-ekatAnam nArINAm
   ruditamadhṛtikaramatikaruṇamākarṇitavānasmi /	ruditam-aDRti-karam-atikaruNam-AkarNitavAn-asmi /
   samupajātakṛpaśca gato 'smi taṃ pradeśam /	samupajAta-kRpaH-ca gataH asmi tam pradeSam /
   dṛṣṭavānasmi ca dṛṣtkhaṇḍakhaṇḍitāṅguligalallohitena ca	dRzwavAn-asmi ca dRztKaNxa-KaNxita-aFguli-galat-lohitena ca
   pārṣṇipraviṣṭaśaraśalākāśalyaśūlasaṃkocitacakṣuṣā	pArzNi-pravizwa-Sara-SalAkA-Salya-SUla-saMkocita-cakzuzA
   cādhvanīnaśramaśvayathuniścalacaraṇena ca	ca-aDvanIna-Srama-SvayaTu-niScala-caraNena ca
   sthāṇavavraṇavyathitagurphabaddhabhūrjatvacā ca	sTANava-vraNa-vyaTita-gurPa-badDa-BUrja-tvacA ca
   vātakhuḍakhedakhañjajaṅghājātajvareṇa ca pāṃsupāṇḍurapicchakena ca	vAta-Kuxa-Keda-KaQja-jaFGA-jAta-jvareNa ca pAMsu-pANxuH-apicCakena ca
   kharjūrajūṭajaṭājarjaritajānunā ca śatāvarīvidāritoruṇā ca	KarjUra-jUwa-jawA-jarjarita-jAnunA ca SatAvarI-vidArita-UruNA ca
   vidārīdāritatanudukūlapallavena	vidArI-dArita-tanu-dukUla-pallavena
   cotkaṭavaṃśaviṭapakaṇṭakakoṭipāṭitakañcukakarpaṭena sa	ca-utkawa-vaMSa-viwapa-kaNwaka-kowi-pAwita-kaQcuka-karpawena sa
   phalalobhāvalambitānamrabadarīlatājālakairutkaṇṭakairullikhitasukumārakarodareṇa	Pala-loBa-avalambita-Anamra-badarI-latA-jAlakEH-utkaNwakEH-ulliKita-sukumAra-kara-udareNa
   ca kuraṅgaśṛṅgotkhātaiḥ kandamūlaphalaiḥ kadarthitabāhunā	ca kuraFga-SRFga-utKAtEH kanda-mUla-PalEH kadarTita-bAhunA
   tāmbūlavirahavirasamukhakhaṇḍitakomalāmalakīphalena kuśakusumāhatilohitānā	tAmbUla-viraha-virasa-muKa-KaNxita-komala-AmalakI-Palena kuSa-kusuma-ahati-lohitAnA
   śvayathumatāmakṣṇāṃ lepīkṛtamanaḥśilena ca kaṇṭakilatālūnālakalatena ca	SvayaTumatAm-akzNAm lepIkRta-manaHSilena ca kaNwakilatA-lU-nAlaka-latena ca
   kenacitkisalayopapāditātapatrakṛtyena kenacitkadalīdalavyajanavāhinā	kenacid-kisalaya-upapAdita-Atapatra-kRtyena kenacid-kadalI-dala-vyajana-vAhinA
   kenacitkamalinīpalāśapuṭagṛhītāmbhasā kenacitpātheyīkṛtamṛṇālapūlikena	kenacid-kamalinI-palASa-puwa-gRhIta-amBasA kenacid-pATeyIkRta-mRNAla-pUlikena
   kenaciccīnāṃśukadaśāśikyānihitanālikerakośakalaśīkalitasaralatailena,	kenacid-cIna-aMSuka-daSA-SikyA-nihita-nAlikera-koSa-kalaSI-kalita-sarala-tElena,
   katipayāvaśeṣaśokavikalamūkakubjavāmanabadhirabarbarāviralenābalānāṃ	katipayO=-aSeza-Soka-vikala-mUka-kubja-vAmana-baDira-barbara-Aviralena-abalAnAm
   cakravālena parivṛtām, āpatkāle 'pi kulodgatenevāmucyamānāṃ prabhālepinā	cakravAlena parivRtAm, Apad-kAle api kula-udgatena-iva-amucyamAnAm praBA-lepinA
   lāvaṇyena, pratibimbitairāsannavanalatākisalayaiḥ	lAvaNyena, pratibimbitEH-Asanna-vana-latA-kisalayEH
   sarasairduḥkhakṣatairivāntaḥpaṭalīkriyamāṇakāyām,	sarasEH-duHKa-kzatEH-iva-antar-pawalI-kriyamANa-kAyAm,
   kaṭhoradarbhāhkurakṣatakṣāriṇā kṣatajenānusaraṇālaktakeneva raktacaraṇām,	kaWora-darBa-Ah-kura-kzata-kzAriNA kzatajena-anusaraNa-alaktakena-iva rakta-caraNAm,
   unnālenānyataranārīdhṛtenāravindinīdalena kṛtacchāyamapi vicchāyaṃ	unnAlena-anyatara-nArI-DRtena-aravindinI-dalena kRta=-CAyam-api vicCAyam
   mukhamudvahantīm, ākāśamapi śūnaytayātiśayānām, mṛnmayīmiva niścetanatayā	muKam-udvahantIm, AkASam-api SUnaytayA-atiSayAnAm, mRd-mayIm-iva niScetana-tayA
   marunmayīmiva niḥśvāsasaṃpadā pāvakamayīmiva saṃtāpasaṃtānena	marut-mayIm-iva niHSvAsa-saMpadA pAvaka-mayIm-iva saMtApa-saMtAnena
   salilamayīmivāśruprasravaṇena viyanmayīmiva niravalambanatayā	salila-mayIm-iva-aSru-prasravaNena viyat-mayIm-iva niravalambana-tayA
   taḍinmayīmiva pāriplavatayā śabdamayīmiva paridevitavāṇībāhulyena	taxit-mayIm-iva pAriplava-tayA Sabda-mayIm-iva paridevita-vANI-bAhulyena
   muktamuktāṃśukaratnakusumakanakapatrābharaṇāṃ kalpalatāmiva mahāvane	mukta-mukta-aMSuka-ratna-kusuma-kanaka-patra-ABaraNAm kalpalatAm-iva mahA-vane
   patitām, paramesvarottamāṅgapātadurlalitāṅgāṃ gaṅgāmiva gāṃ gātam,	patitAm, paramesvara-uttamAFga-pAta-durlalita-aFgAm gaFgAm-iva gAm gAtam,
   vanakusumadhūlidhūsaritapādapallavām, prabhātacandramūrtimiva	vana-kusuma-DUli-DU-sarita-pAda-pallavAm, praBAta-candra-mUrtim-iva
   lokāntaramabilaṣantīm, nijajalamokṣakadarthitadarśitadhavalāyatanetraśomāṃ	loka-antaram-abilazantIm, nija-jala-mokza-kadarTita-darSita-Davala-Ayata-netra-SomAm
   mandākinīmṛṇālinīmiva parimlāyamānām,	mandAkinI-mRNAlinIm-iva parimlAyamAnAm,
   duḥsaharavikiraṇasaṃsparśakhedanimīlitāṃ kumudinīmiva duḥkhena divasaṃ	duHsaha-ravi-kiraNa-saMsparSa-Keda-nimIlitAm kumudinIm-iva duHKena divasam
   nayantīm, dagdhadaśāvisaṃvāditāṃ pratyūṣapdīpaśikhāmiva kṣāmakṣāmāṃ	nayantIm, dagDa-daSa-avisaMvAdi-tAm pratyUzap-dIpa-SiKAm-iva kzAma-kzAmAm
   pāṇḍuvapuṣam, pārśvavartivāraṇābhiyogarakṣyamāṇāṃ vanakariṇīmiva mahāhrade	pANxu-vapuzam, pArSva-varti-vAraNa-aBiyoga-rakzyamANAm vana-kariNIm-iva mahAhrade
   nimagnām, praviṣṭāṃ vanagahanaṃ dhyānaṃ ca, sthitā tarutale maraṇe ca	nimagnAm, pravizwAm vana-gahanam DyAnam ca, sTitA taru-tale maraNe ca
   patitāṃ dhātryutsa ṅge mahānarthe ca, dūrīkṛtāṃ bhartrā sukhena ca,	patitAm DAtrI-utsa Fge mahAn-arTe ca, dUrIkRtAm BartrA suKena ca,
   virecitāṃ bhramaṇenāyuṣā ca, ākulāṃ keśakalāpena maraṇopāyena ca,	virecitAm BramaNena-AyuzA ca, AkulAm keSa-kalApena maraNa-upAyena ca,
   vivarṇitāmadhvadhūlibhiraṅgavedanābhiśca, dagdhāṃ caṇḍātapena vaidhavyena	vivarNitAm-aDva-DUliBiH-aFga-vedanABiH-ca, dagDAm caNxa-Atapena vEDavyena
   ca, dhṛtamukhīṃ pāṇinā maunena ca, gṛhītāṃ priyasakhījanena manyunā ca,	ca, DRta-muKIm pANinA mOnena ca, gRhItAm priya-saKI-janena manyunA ca,
   tathā ca bhraṣṭairbandhubhirvilāsaiśca, muktena śravaṇayugalenātmanā ca,	taTA ca BrazwEH-banDuBiH-vilAsEH-ca, muktena SravaNa-yugalena-AtmanA ca,
   parityaktai rbhūṣaṇaiḥ sarvārambhaiśca, bhagnairvalayairmanorathaiśca,	parityaktEH rBUzaNEH sarva-AramBEH-ca, BagnEH-valayEH-manoraTEH-ca,
   caraṇalagnābhiḥ, paricārikābhirdarbhāṅku rasūcībhiśca, hṛdayavinihitena	caraNa-lagnABiH, paricArikABiH-darBa-aFku rasUcIBiH-ca, hRdaya-vinihitena
   cakṣuṣā priyeṇa ca, dīrghaiḥ śokasvasitaiḥ keśeśca, kṣīṇena vapuṣā puṇyena	cakzuzA priyeNa ca, dIrGEH Soka-svasitEH keSeH-ca, kzINena vapuzA puNyena
   ca pādayoḥ patantobirvṛddhābhiraśruvārābhiśca, svalpāvaśeṣeṇa parijanena	ca pAdayoH patantobiH-vRdDABiH-aSru-vArABiH-ca, su-alpa-avaSezeNa parijanena
   jovitena ca, alasāmutmeṣe, dakṣāmaśrumokṣe, saṃtatāṃ cintāsu,	jovitena ca, alasAm-utmA-ize, dakzAm-aSru-mokze, saMtatAm cintAsu,
   vicchinnāmāśāsu, kṛsāṃ kāye, sthūlāṃ śvasite, pūritāṃ duḥkhena, riktā	vicCinnAm-A-SAsu, kRsAm kAye, sTUlAm Svasite, pUritAm duHKena, riktA
   sattvena, adhyāsitāmāyāsena, śūnyāṃ hṛdayena, niscalāṃ niscayena, calitāṃ	sattvena, aDyAsitAm-AyAsena, SUnyAm hRdayena, niscalAm niscayena, calitAm
   dhairyāt, api ca vasatiṃ vyasanānām, ādhānamādhīnām,	DErya-at, api ca vasatim vyasanAnAm, ADAnam-ADInAm-,
   avasthānamanavasthānām, ādhāramadhṛtīnām, āvāsamavasādānām, āspadamāpadām,	avasTAnam-anavasTAnAm, ADAram-aDRtI-nAm, AvAsam-avasAda-anAm, Aspadam-ApadAm,
   abhiyogamabhāgyānām, udvegamudvegānām, kāraṇaṃ karuṇāyāḥ, pāraṃ	aBiyogamaBAgyA-nAm, udvegam-udvegAnAm, kAraNam karuNAyAH, pAram
   parāyattatāyā yoṣitam /	parAyattatAyAH yozitam /
   cintitavānasmi ca citramīdṛśīmapyākṛtimupatāpāḥ spṛśantīti /	cintitavAn-asmi ca citram-IdRSIm-api-AkRtim-upatApAH spRSanti-iti /
   sā tu samīpagate mayi tadavasthāpi sabahumānamānatamauliḥ praṇatavatī /	sA tu samIpa-gate mayi tad-avasTA-api sa-bahu-mAnam-Anata-mOliH praNatavatI /
   ahaṃ tu prabalakaruṇāpreryamāṇastāmālapitukāmaḥ punaḥ	aham tu prabala-karuNA-preryamANaH-tAm-Ala-pitu-kAmaH punar-
