   akathyaṃ sukham uttamam GK_3.47b	akaTyam suKam uttamam GK_3.47b
   jīvān paśyati yān sadā GK_4.65d	jIvAn paSyati yAn sadA GK_4.65d
   jñāte dvaitaṃ na vidyate GK_1.18d	jQAte dvEtam na vidyate GK_1.18d
   jñānaṃ jñeyaṃ ca vijñeyaṃ GK_4.88c	jQAnam jQeyam ca vijQeyam GK_4.88c
   jñānaṃ dharmeṣu tāpinaḥ GK_4.99b	jQAnam Darmezu tApinaH GK_4.99b
   jñānālokaṃ samantataḥ GK_3.35d	jQAna-Alokam samantataH GK_3.35d
   jñāne ca trividhe jñeye GK_4.89a	jQAne ca triviDe jQeye GK_4.89a
   jñānenākāśakalpena GK_4.1a	jQAnena-AkASa-kalpena GK_4.1a
   jñeyābhinnaṃ pracakṣate GK_3.33b	jQeya-aBinnam pracakzate GK_3.33b
   jñeyābhinnena saṃbuddhas GK_4.1c	jQeya-aBinnena saMbudDaH GK_4.1c
   tac ca loko na gāhate GK_4.95d	tat ca lokaH na gAhate GK_4.95d
   tato bhāvān pṛthagvidhān GK_2.16b	tatas BAvAn pRTagviDAn GK_2.16b
   tattvato jāyate yasya GK_3.27c	tattvataH jAyate yasya GK_3.27c
   tattvato naiva yujyate GK_3.28b	tattvataH na-eva yujyate GK_3.28b
   tattvato bhidyamāne hi GK_3.19c	tattvataH BidyamAne hi GK_3.19c
   tattvam ādhyātmikaṃ dṛṣṭvā GK_2.38a	tattvam ADyAtmikam dRzwvA GK_2.38a
   tattvaṃ dṛṣṭvā tu bāhyataḥ GK_2.38b	tattvam dRzwvA tu bAhyatas GK_2.38b
   tattvād apracyuto bhavet GK_2.38d	tattvAt apracyutaH Bavet GK_2.38d
   tattvānīti ca tadvidaḥ GK_2.20d	tattvAni-iti ca tad-vidaH GK_2.20d
   tattvībhūtas tadārāmas GK_2.38c	tattvIBUtaH tad-ArAmaH GK_2.38c
   tat sāmyam ajam advayam GK_4.80d	tat sAmyam ajam advayam GK_4.80d
   tathā janma bhavet teṣāṃ GK_4.15c	taTA janma Bavet tezAm GK_4.15c
   tathā jāgraddvayābhāsaṃ GK_3.29c	taTA jAgrat-dvaya-ABAsam GK_3.29c
   tathā jāgrad dvayābhāsaṃ GK_4.61c	taTA jAgrat dvaya-ABAsam GK_4.61c
   tathā jāgran na saṃśayaḥ GK_3.30d	taTA jAgrat na saMSayaH GK_3.30d
   tathā jāgran na saṃśayaḥ GK_4.62d	taTA jAgrat na saMSayaH GK_4.62d
   tathā jīvā amī sarve GK_4.68c	taTA jIvAH amI sarve GK_4.68c
   tathā jīvā amī sarve GK_4.69c	taTA jIvAH amI sarve GK_4.69c
   tathā jīvā amī sarve GK_4.70c	taTA jIvAH amI sarve GK_4.70c
   tathā taddṛśyam evedaṃ GK_4.64c	taTA tat-dRSyam eva-idam GK_4.64c
   tathā taddṛśyam evedaṃ GK_4.66c	taTA tat-dRSyam eva-idam GK_4.66c
   tathā bhavaty abuddhānām GK_3.8c	taTA Bavati abudDAnAm GK_3.8c
   tathā viśvam idaṃ dṛṣṭaṃ GK_2.31c	taTA viSvam idam dRzwam GK_2.31c
   tathā svapne viparyāsād GK_4.41c	taTA svapne viparyAsAt GK_4.41c
   tadartham anukampayā GK_3.16d	tad-arTam anukampayA GK_3.16d
   tadā na jāyate cittaṃ GK_4.76c	tadA na jAyate cittam GK_4.76c
   tad eva nirbhayaṃ brahma GK_3.35c	tat eva nirBayam brahma GK_3.35c
   tad evaṃ hi samañjasam GK_3.13d	tat evam hi samaQjasam GK_3.13d
   tadgrahaḥ samupaiti tam GK_2.29d	tad-grahaH samupEti tam GK_2.29d
   taddhetutvāt tu tasyaiva GK_4.37c	tad-hetu-tvAt tu tasya-eva GK_4.37c
   taddhetuḥ svapne iṣyate GK_4.37b	tad-hetuH svapne izyate GK_4.37b
   tadvaj jīvā ihātmani GK_3.4d	tadvat jIvAH iha-Atmani GK_3.4d
   tadvaj jīvāḥ sukhādibhiḥ GK_3.5d	tadvat jIvAH suKa-AdiBiH GK_3.5d
   tadvaj jīveṣu nirṇayaḥ GK_3.6d	tadvat jIvezu nirNayaH GK_3.6d
   tadvad ātmaviniścayaḥ GK_2.18d	tadvat Atma-viniScayaH GK_2.18d
   tadvad ātmā vikalpitaḥ GK_2.17d	tadvat AtmA vikalpitaH GK_2.17d
   tadvad dharmeṣu yojanā GK_4.59d	tadvat Darmezu yojanA GK_4.59d
   tanmatenaiva gṛhyate GK_4.67d	tad-matena-eva gRhyate GK_4.67d
   tasmāj jāgarite smṛtam GK_2.4b	tasmAt jAgarite smRtam GK_2.4b
   tasmāt te kṛpaṇāḥ smṛtāḥ GK_4.94d	tasmAt te kRpaNAH smRtAH GK_4.94d
   tasmād advayatā śivā GK_2.33d	tasmAt advayatA SivA GK_2.33d
   tasmād ādyantavattvena GK_2.7c	tasmAt Adi-antavat-tvena GK_2.7c
   tasmād ādyantavattvena GK_4.32c	tasmAt Adi-antavat-tvena GK_4.32c
   tasmād evaṃ viditvainam GK_2.36a	tasmAt evam viditvA-enam GK_2.36a
   tasmān na jāyate cittaṃ GK_4.28a	tasmAt na jAyate cittam GK_4.28a
   tasmin deśe na vidyate GK_2.2d	tasmin deSe na vidyate GK_2.2d
   tasmin deśe na vidyate GK_4.34d	tasmin deSe na vidyate GK_4.34d
   tasya paśyanti ye jātiṃ GK_4.28c	tasya paSyanti ye jAtim GK_4.28c
   tasya hy ādir na vidyate GK_4.23d	tasya hi AdiH na vidyate GK_4.23d
   taṃ cāvati sa bhūtvāsau GK_2.29c	tam ca-avati sa BUtvA-asO GK_2.29c
   taṃ bhāvaṃ sa tu paśyati GK_2.29b	tam BAvam sa tu paSyati GK_2.29b
   taṃ vande dvipadāṃ varam GK_4.1d	tam vande dvipadAm varam GK_4.1d
   tān ayaṃ prekṣate gatvā GK_2.8c	tAn ayam prekzate gatvA GK_2.8c
   tāvad dhetuphalodbhavaḥ GK_4.55b	tAvat Detu-Pala-udBavaH GK_4.55b
   turīyaṃ padam aśnute GK_1.15d	turIyam padam aSnute GK_1.15d
   turyaṃ tat sarvadṛk sadā GK_1.12d	turyam tat sarva-dRS sadA GK_1.12d
   turye paśyanti niścitāḥ GK_1.14d	turye paSyanti niScitAH GK_1.14d
   tenāyaṃ na virudhyate GK_3.18d	tena-ayam na viruDyate GK_3.18d
   tenāsau kṛpaṇaḥ smṛtaḥ GK_3.1d	tena-asO kRpaNaH smRtaH GK_3.1d
   teṣām anyatra vijñeyād GK_4.90c	tezAm anyatra vijQeyAt GK_4.90c
   teṣām ubhayathā dvaitaṃ GK_3.18c	tezAm uBayaTA dvEtam GK_3.18c
   teṣāṃ ātmā paro jīvaḥ GK_3.11c	tezAm AtmA paraH jIvaH GK_3.11c
   teṣāṃ kvacana kiṃcana GK_4.91d	tezAm kvacana kiMcana GK_4.91d
   te hi loke mahājñānās GK_4.95c	te hi loke mahA-jQAnAH GK_4.95c
   taijasasyotvavijñāne GK_1.20a	tEjasasya-utva-vijQAne GK_1.20a
   taijasaḥ praviviktabhuk GK_1.3b	tEjasaH pravivikta-Buj GK_1.3b
   tair ayaṃ na virudhyate GK_3.17d	tEH ayam na viruDyate GK_3.17d
   tridhā tṛptiṃ nibodhata GK_1.4d	triDA tRptim niboData GK_1.4d
   tridhā dehe vyavasthitaḥ GK_1.2d	triDA dehe vyavasTitaH GK_1.2d
   tridhā bhogaṃ nibodhata GK_1.3d	triDA Bogam niboData GK_1.3d
   triṣu dhāmasu yat tulyaṃ GK_1.22a	trizu DAmasu yat tulyam GK_1.22a
   triṣu dhāmasu yad bhojyaṃ GK_1.5a	trizu DAmasu yat Bojyam GK_1.5a
   dakṣiṇākṣimukhe viśvo GK_1.2a	dakziNa-akzi-muKe viSvaH GK_1.2a
   damaḥ prakṛtidāntatvād GK_4.86c	damaH prakRti-dAnta-tvAt GK_4.86c
   dikṣu vai daśasu sthitān GK_4.63b	dikzu vE daSasu sTitAn GK_4.63b
   dikṣu vai daśasu sthitān GK_4.65b	dikzu vE daSasu sTitAn GK_4.65b
   diśa iti ca tadvidaḥ GK_2.24b	diSaH iti ca tad-vidaH GK_2.24b
   durdarśam atigambhīram GK_4.100a	durdarSam ati-gamBIram GK_4.100a
   durdarśaḥ sarvayogibhiḥ GK_3.39b	durdarSaH sarva-yogiBiH GK_3.39b
   duḥkhakṣayaḥ prabodhaś cāpy GK_3.40c	duHKa-kzayaH praboDaH ca-api GK_3.40c
   duḥkhaṃ vivriyate sadā GK_4.82b	duHKam vivriyate sadA GK_4.82b
   duḥkhaṃ sarvam anusmṛtya GK_3.43a	duHKam sarvam anusmRtya GK_3.43a
   dṛṣṭaṃ vaitathyam etayoḥ GK_2.9d	dRzwam vEtaTyam etayoH GK_2.9d
   dṛṣṭāntas tasya nāsti vai GK_4.13b	dRzwAntaH tasya na-asti vE GK_4.13b
   devas turyo vibhuḥ smṛtaḥ GK_1.10d	devaH turyaH viBuH smRtaH GK_1.10d
   devasyaiṣa svabhāvo 'yam GK_1.9c	devasya-eza svaBAvaH ayam GK_1.9c
   devā iti ca tadvidaḥ GK_2.21d	devAH iti ca tad-vidaH GK_2.21d
   deśitas taṃ namāmy aham GK_4.2d	deSitaH tam namAmi aham GK_4.2d
   doṣo 'py alpo bhaviṣyati GK_4.43d	dozaH api alpaH Bavizyati GK_4.43d
   dravyatvam anyabhāvo vā GK_4.53c	dravya-tvam anya-BAvaH vA GK_4.53c
   dravyatvābhāvayogataḥ GK_4.50b	dravya-tva-aBAva-yogataH GK_4.50b
   dravyatvābhāvayogataḥ GK_4.52b	dravya-tva-aBAva-yogataH GK_4.52b
   dravyaṃ dravyasya hetuḥ syād GK_4.53a	dravyam dravyasya hetuH syAt GK_4.53a
   dvayakālāś ca ye bahiḥ GK_2.14b	dvaya-kAlAH ca ye bahis GK_2.14b
   dvayaṃ tatra na vidyate GK_4.75b	dvayam tatra na vidyate GK_4.75b
   dvayaṃ laukikam iṣyate GK_4.87b	dvayam lOkikam izyate GK_4.87b
   dvayābhāvaṃ sa buddhvaiva GK_4.75c	dvaya-aBAvam sa budDvA-eva GK_4.75c
   dvayor dvayor madhujñāne GK_3.12a	dvayoH dvayoH maDu-jQAne GK_3.12a
   dvaitasyāgrahaṇaṃ tulyam GK_1.13a	dvEtasya-agrahaNam tulyam GK_1.13a
   dvaitasyopaśamaḥ śivaḥ GK_1.29b	dvEtasya-upaSamaH SivaH GK_1.29b
   dvaitaṃ tadbheda ucyate GK_3.18b	dvEtam tad-BedaH ucyate GK_3.18b
   dvaitaṃ naivopalabhyate GK_3.31d	dvEtam na-eva-upalaByate GK_3.31d
   dvaitino niścitā dṛḍham GK_3.17b	dvEtinaH niScitA dRXam GK_3.17b
   dvau tau turye na sidhyataḥ GK_1.11d	dvO tO turye na siDyataH GK_1.11d
   dharmāṇāṃ nopapadyate GK_4.53d	DarmANAm na-upapadyate GK_4.53d
   dharmādharmau ca tadvidaḥ GK_2.25d	Darma-aDarmO ca tad-vidaH GK_2.25d
   dharmān yo gaganopamān GK_4.1b	DarmAn yaH gagana-upamAn GK_4.1b
   dharmā ye iti jāyante GK_4.58a	DarmAH ye iti jAyante GK_4.58a
   dharmāṃs tatraiva paśyati GK_4.41d	DarmAn tatra-eva paSyati GK_4.41d
   dharmāḥ prakṛtinirmalāḥ GK_4.98b	DarmAH prakRti-nirmalAH GK_4.98b
   dharmeṣu jñānam iṣyate GK_4.96b	Darmezu jQAnam izyate GK_4.96b
   dharmo gacchati martyatām GK_4.8b	DarmaH gacCati martya-tAm GK_4.8b
   dharmo dhātusvabhāvataḥ GK_4.81d	DarmaH DAtu-svaBAvataH GK_4.81d
   na kathaṃcid bhaviṣyati GK_3.21d	na kaTaMcid Bavizyati GK_3.21d
   na kathaṃcid bhaviṣyati GK_4.7d	na kaTaMcid Bavizyati GK_4.7d
   na kathaṃcid bhaviṣyati GK_4.29d	na kaTaMcid Bavizyati GK_4.29d
   na kaścij jāyate jīvaḥ GK_3.48a	na kaScid jAyate jIvaH GK_3.48a
   na kaścij jāyate jīvaḥ GK_4.71a	na kaScid jAyate jIvaH GK_4.71a
   na kiṃcid api cintayet GK_1.24d	na kiMcid api cintayet GK_1.24d
   na kiṃcid vastu jāyate GK_4.22b	na kiMcid vastu jAyate GK_4.22b
   na kiṃcid vastu jāyate GK_4.22d	na kiMcid vastu jAyate GK_4.22d
   na ca bhūtād abhūtasya GK_4.38c	na ca BUtAt aBUtasya GK_4.38c
   na ca vikṣipyate punaḥ GK_3.46b	na ca vikzipyate punar GK_3.46b
   na tato 'nyatra nispandān GK_4.49c	na tatas anyatra nispandAn GK_4.49c
   na tato 'nyatra nispandān GK_4.51c	na tatas anyatra nispandAn GK_4.51c
   na te hetuḥ prasidhyati GK_4.17b	na te hetuH prasiDyati GK_4.17b
   na nidrāṃ naiva ca svapnaṃ GK_1.14c	na nidrAm na-eva ca svapnam GK_1.14c
   na nirodho na cotpattir GK_2.32a	na niroDaH na ca-utpattiH GK_2.32a
   na nirgatā alātāt te GK_4.50a	na nirgatA alAtAt te GK_4.50a
   na nirgatās te vijñānād GK_4.52a	na nirgatAH te vijQAnAt GK_4.52a
   na patanti viparyaye GK_4.46d	na patanti viparyaye GK_4.46d
   na pṛthaṅ nāpṛthak kiṃcid GK_2.34c	na pRTak na-apRTak kiMcid GK_2.34c
   na baddho na ca sādhakaḥ GK_2.32b	na badDaH na ca sADakaH GK_2.32b
   na bhayaṃ vidyate kvacit GK_1.25d	na Bayam vidyate kvacid GK_1.25d
   na bhavaty amṛtaṃ martyaṃ GK_3.21a	na Bavati amRtam martyam GK_3.21a
   na bhavaty amṛtaṃ martyaṃ GK_4.7a	na Bavati amRtam martyam GK_4.7a
   na martyam amṛtaṃ tathā GK_3.21b	na martyam amRtam taTA GK_3.21b
   na martyam amṛtaṃ tathā GK_4.7b	na martyam amRtam taTA GK_4.7b
   namas kurmo yathābalam GK_4.100d	namaH kurmaH yaTAbalam GK_4.100d
   na mumukṣur na vai mukta GK_2.32c	na mumukzuH na vE muktaH GK_2.32c
   na yuktaṃ darśanaṃ gatvā GK_4.34a	na yuktam darSanam gatvA GK_4.34a
   na vijñānaṃ viśanti te GK_4.51d	na vijQAnam viSanti te GK_4.51d
   na vidyante tataḥ pṛthak GK_4.64b	na vidyante tatas pRTak GK_4.64b
   na vidyante tataḥ pṛthak GK_4.66b	na vidyante tatas pRTak GK_4.66b
   na vyavasthā prasajyate GK_4.13d	na vyavasTA prasajyate GK_4.13d
   na satyaṃ nāpi cānṛtam GK_1.12b	na satyam na-api ca-anRtam GK_1.12b
   na sarve saṃprayujyante GK_3.5c	na sarve saMprayujyante GK_3.5c
   na saṃkalpayate yadā GK_3.32b	na saMkalpayate yadA GK_3.32b
   na svenāpi kathaṃcana GK_2.34b	na svena-api kaTaMcana GK_2.34b
   na hi sādhyasamo hetuḥ GK_4.20c	na hi sADya-samaH hetuH GK_4.20c
   nākāśasya ghaṭākāśo GK_3.7a	na-AkASasya Gawa-AkASaH GK_3.7a
   nājeṣu sarvadharmeṣu GK_4.60a	na-ajezu sarva-Darmezu GK_4.60a
   nātmabhāvena nānedaṃ GK_2.34a	na-Atma-BAvena nAnA-idam GK_2.34a
   nātmānaṃ na parāṃś caiva GK_1.12a	na-AtmAnam na parAn ca-eva GK_1.12a
   nānātvaṃ nindyate yac ca GK_3.13c	nAnAtvam nindyate yat ca GK_3.13c
   nānyathājaṃ kathaṃcana GK_3.19b	na-anyaTA-Ajam kaTaMcana GK_3.19b
   nābhāsā anyatobhuvaḥ GK_4.49b	na-ABAsA anyatas-BuvaH GK_4.49b
   nābhāsā anyatobhuvaḥ GK_4.51b	na-ABAsA anyatas-BuvaH GK_4.51b
   nāmātre vidyate gatiḥ GK_1.23d	na-ama-atre vidyate gatiH GK_1.23d
   nārthābhāsas tataḥ pṛthak GK_4.26d	na-arTa-ABAsaH tatas pRTak GK_4.26d
   nārthābhāsaṃ tathaiva ca GK_4.26b	na-arTa-ABAsam taTA-eva ca GK_4.26b
   nālātaṃ praviśanti te GK_4.49d	na-alAtam praviSanti te GK_4.49d
   nāsau nityo na cocchedī GK_4.59c	na-asO nityaH na ca-ucCedI GK_4.59c
   nāsti nāstīti vā punaḥ GK_4.83b	na-asti na-asti-iti vA punar GK_4.83b
   nāsti bhedaḥ kathaṃcana GK_3.15d	na-asti BedaH kaTaMcana GK_3.15d
   nāsti hetuphalodbhavaḥ GK_4.55d	na-asti hetu-Pala-udBavaH GK_4.55d
   nāsty asaddhetukam asat GK_4.40a	na-asti asat-hetukam asat GK_4.40a
   nāsvādayet sukhaṃ tatra GK_3.45a	na-AsvAdayet suKam tatra GK_3.45a
   nigṛhītasya manaso GK_3.34a	nigRhItasya manasaH GK_3.34a
   nigṛhītaṃ na līyate GK_3.35b	nigRhItam na lIyate GK_3.35b
   nidrā tattvam ajānataḥ GK_1.15b	nidrA tattvam ajAnataH GK_1.15b
   nimittasyānimittatvam GK_4.25c	nimittasya-animitta-tvam GK_4.25c
   nimittaṃ na sadā cittaṃ GK_4.27a	nimittam na sadA cittam GK_4.27a
   niyatāṃś ca bahiś citte GK_2.13c	niyatAn ca bahis citte GK_2.13c
   nirnimitto na jāyate GK_4.75d	nirnimittaH na jAyate GK_4.75d
   nirvikalpasya dhīmataḥ GK_3.34b	nirvikalpasya DImataH GK_3.34b
   nirvikalpo hy ayaṃ dṛṣṭaḥ GK_2.35c	nirvikalpaH hi ayam dRzwaH GK_2.35c
   nivarteta na saṃśayaḥ GK_1.17b	nivarteta na saMSayaH GK_1.17b
   nivṛttasyāpravṛttasya GK_4.80a	nivRttasya-apravRttasya GK_4.80a
   nivṛtteḥ sarvaduḥkhānām GK_1.10a	nivRtteH sarva-duHKAnAm GK_1.10a
   niścalaṃ niścarat cittam GK_3.45c	niScalam niScarat cittam GK_3.45c
   niścalā hi tadā sthitiḥ GK_4.80b	niScalA hi tadA sTitiH GK_4.80b
   niścitaṃ yuktiyuktaṃ ca GK_3.23c	niScitam yukti-yuktam ca GK_3.23c
   niścitāyāṃ yathā rajjvāṃ GK_2.18a	niScitAyAm yaTA rajjvAm GK_2.18a
   niṣpannaṃ brahma tat tadā GK_3.46d	nizpannam brahma tat tadA GK_3.46d
   niḥsaṅgaṃ vinivartate GK_4.79d	niHsaFgam vinivartate GK_4.79d
   niḥsaṅgaḥ prajñayā bhavet GK_3.45b	niHsaFgaH prajQayA Bavet GK_3.45b
   niḥstutir nirnamaskāro GK_2.37a	niHstutiH nirnamaskAraH GK_2.37a
   niḥsvadhākāra eva ca GK_2.37b	niHsvaDAkAraH eva ca GK_2.37b
   neha nāneti cāmnāyād GK_3.24a	na-iha nAnA-iti ca-AmnAyAt GK_3.24a
   naitad buddhena bhāṣitam GK_4.99d	na-etat budDena BAzitam GK_4.99d
   naivātmanaḥ sadā jīvo GK_3.7c	na-eva-AtmanaH sadA jIvaH GK_3.7c
   nopacāraḥ kathaṃcana GK_3.36d	na-upacAraH kaTaMcana GK_3.36d
   nopapattir hi vidyate GK_3.10d	na-upapattiH hi vidyate GK_3.10d
   pañcaviṃśaka ity eke GK_2.26a	paQcaviMSakaH iti eke GK_2.26a
   paratantrābhiniṣpattyā GK_4.74c	paratantra-aBinizpattyA GK_4.74c
   paratantrābhisaṃvṛtyā GK_4.73c	paratantra-aBisaMvRtyA GK_4.73c
   paratantrāstitā matā GK_4.24d	paratantra-astitAH matA GK_4.24d
   paramārthena nāpy ajaḥ GK_4.74b	parama-arTena na-api ajaH GK_4.74b
   paramārthena nāsty asau GK_4.73b	parama-arTena na-asti asO GK_4.73b
   parasparaṃ virudhyante GK_3.17c	parasparam viruDyante GK_3.17c
   paraṃ brahma prakāśitam GK_3.12b	param brahma prakASitam GK_3.12b
   parāparam athāpare GK_2.27d	parAparam aTa-apare GK_2.27d
   pādā iti pādavido GK_2.21a	pAdAH iti pAda-vidaH GK_2.21a
   pādā mātrā na saṃśayaḥ GK_1.24b	pAdAH mAtrA na saMSayaH GK_1.24b
   putrāj janma pitur yathā GK_4.15d	putrAt janma pituH yaTA GK_4.15d
   pūrvāparāparijñānam GK_4.21a	pUrva-apara-aparijQAnam GK_4.21a
   pṛthag anyasya darśanāt GK_4.36b	pRTak anyasya darSanAt GK_4.36b
   pṛthag eveti lakṣitaḥ GK_2.30b	pRTak eva-iti lakzitaH GK_2.30b
   pṛthivyām udare caiva GK_3.12c	pRTivyAm udare ca-eva GK_3.12c
   prakṛtiḥ seti vijñeyā GK_4.9c	prakRtiH sA-iti vijQeyA GK_4.9c
   prakṛter anyathābhāvo GK_3.21c	prakRteH anyaTA-BAvaH GK_3.21c
   prakṛter anyathābhāvo GK_4.7c	prakRteH anyaTA-BAvaH GK_4.7c
   prakṛter anyathābhāvo GK_4.29c	prakRteH anyaTA-BAvaH GK_4.29c
   prakṛtyākāśavaj jñeyāḥ GK_4.91a	prakRti-AkASa-vat jQeyAH GK_4.91a
   prakṛtyaiva sunirvṛtāḥ GK_4.93b	prakRtyA-eva su-nirvRtAH GK_4.93b
   pracāraḥ sa tu vijñeyaḥ GK_3.34c	pracAraH sa tu vijQeyaH GK_3.34c
   prajñapteḥ sanimittatvam GK_4.24a	prajQapteH sa-nimitta-tvam GK_4.24a
   prajñapteḥ sanimittatvam GK_4.25a	prajQapteH sa-nimitta-tvam GK_4.25a
   praṇavaś ca paraḥ smṛtaḥ GK_1.26b	praNavaH ca paraH smRtaH GK_1.26b
   praṇavaṃ hīśvaraṃ vidyāt GK_1.28a	praNavam hi-ISvaram vidyAt GK_1.28a
   praṇave nityayuktasya GK_1.25c	praNave nitya-yuktasya GK_1.25c
   praṇavo brahma nirbhayam GK_1.25b	praNavaH brahma nirBayam GK_1.25b
   praṇavo hy aparaṃ brahma GK_1.26a	praNavaH hi aparam brahma GK_1.26a
   pratibuddhaś ca vai sarvas GK_2.2c	pratibudDaH ca vE sarvaH GK_2.2c
   pratibuddhaś ca vai sarvas GK_4.34c	pratibudDaH ca vE sarvaH GK_4.34c
   pratibuddho na paśyati GK_4.35d	pratibudDaH na paSyati GK_4.35d
   pratibuddho na paśyati GK_4.39d	pratibudDaH na paSyati GK_4.39d
   prapañcopaśamo 'dvayaḥ GK_2.35d	prapaQca-upaSamaH advayaH GK_2.35d
   prapañco yadi vidyeta GK_1.17a	prapaQcaH yadi vidyeta GK_1.17a
   prabhavaḥ sarvabhāvānāṃ GK_1.6a	praBavaH sarva-BAvAnAm GK_1.6a
   prabhātaṃ bhavati svayam GK_4.81b	praBAtam Bavati svayam GK_4.81b
   praviviktaṃ tu taijasam GK_1.4b	praviviktam tu tEjasam GK_1.4b
   praviśanti manīṣiṇaḥ GK_4.54d	praviSanti manIziNaH GK_4.54d
   prasiddhenaiva hetunā GK_2.5d	prasidDena-eva hetunA GK_2.5d
   prāg utpatter ajaṃ sarvaṃ GK_3.1c	prAk utpatteH ajam sarvam GK_3.1c
   prāg utpatteḥ prakīrtitam GK_3.14b	prAk utpatteH prakIrtitam GK_3.14b
   prājñas tv asvapnanidrayā GK_1.14b	prAjQaH tu asvapna-nidrayA GK_1.14b
   prājñaḥ kāraṇabaddhas tu GK_1.11c	prAjQaH kAraNa-badDaH tu GK_1.11c
   prājñaḥ kiṃcana saṃvetti GK_1.12c	prAjQaH kiMcana saMvetti GK_1.12c
   prāṇa iti prāṇavido GK_2.20a	prANaH iti prANa-vidaH GK_2.20a
   prāṇādibhir anantaiś ca GK_2.19a	prANa-AdiBiH anantEH ca GK_2.19a
   prāpya sarvajñatāṃ kṛtsnāṃ GK_4.85a	prApya sarvajQa-tAm kRtsnAm GK_4.85a
   phalam utpādayiṣyati GK_4.17d	Palam utpAdayizyati GK_4.17d
   phalasiddhiś ca hetutaḥ GK_4.18b	Pala-sidDiH ca hetutaH GK_4.18b
   phalaṃ cāpi svabhāvataḥ GK_4.23b	Palam ca-api svaBAvataH GK_4.23b
   phalād utpadyamānaḥ san GK_4.17a	PalAt utpadyamAnaH san GK_4.17a
   bahiś cetogṛhītaṃ sad GK_2.9c	bahis cetaH-gRhItam sat GK_2.9c
   bahiś cetogṛhītaṃ sad GK_2.10c	bahis cetaH-gRhItam sat GK_2.10c
   bahiṣprajño vibhur viśvo hy GK_1.1a	bahizprajQaH viBuH viSvaH hi GK_1.1a
   bāhyān ādhyātmikāṃś caiva GK_2.16c	bAhyAn ADyAtmikAn ca-eva GK_2.16c
   bījanidrāyutaḥ prājñaḥ GK_1.13c	bIja-nidrA-yutaH prAjQaH GK_1.13c
   bījāṅkurākhyo dṛṣṭāntaḥ GK_4.20a	bIja-aFkura-AKyaH dRzwAntaH GK_4.20a
   buddhir iti ca tadvidaḥ GK_2.25b	budDiH iti ca tad-vidaH GK_2.25b
   buddhvānimittatāṃ satyāṃ GK_4.78a	budDvA-nimitta-tAm satyAm GK_4.78a
   buddhvā padam anānātvaṃ GK_4.100c	budDvA padam anAnAtvam GK_4.100c
   budhyante iti nāyakāḥ GK_4.98d	buDyante iti nAyakAH GK_4.98d
   brahma jñeyam ajaṃ nityam GK_3.33c	brahma jQeyam ajam nityam GK_3.33c
   brāhmaṇyaṃ padam advayam GK_4.85b	brAhmaNyam padam advayam GK_4.85b
   bhagavān ābhir aspṛṣṭo GK_4.84c	BagavAn ABiH aspRzwaH GK_4.84c
   bhavatīha mahādhiyaḥ GK_4.89d	Bavati-iha mahA-ADiyaH GK_4.89d
   bhavanti na bhavanti ca GK_4.68d	Bavanti na Bavanti ca GK_4.68d
   bhavanti na bhavanti ca GK_4.69d	Bavanti na Bavanti ca GK_4.69d
   bhavanti na bhavanti ca GK_4.70d	Bavanti na Bavanti ca GK_4.70d
   bhaviṣyadvṛttyā gauṇaṃ tan GK_3.14c	Bavizyat-vRttyA gONam tat GK_3.14c
   bhaviṣyanti suniścitāḥ GK_4.95b	Bavizyanti su-niScitAH GK_4.95b
   bhaved aparikhedataḥ GK_3.41d	Bavet apariKedataH GK_3.41d
   bhāvā apy advayenaiva GK_2.33c	BAvAH api advayena-eva GK_2.33c
   bhāvair asadbhir evāyam GK_2.33a	BAvEH asadBiH eva-ayam GK_2.33a
   bhāvair etair vikalpitaḥ GK_2.19b	BAvEH etEH vikalpitaH GK_2.19b
   bhāvo gacchati martyatām GK_3.22b	BAvaH gacCati martya-tAm GK_3.22b
   bhidyante tatra tatra vai GK_3.6b	Bidyante tatra tatra vE GK_3.6b
   bhinnaṃ nityaṃ kathaṃ ca tat GK_4.11d	Binnam nityam kaTam ca tat GK_4.11d
   bhuvanānīti tadvidaḥ GK_2.24d	BuvanAni-iti tad-vidaH GK_2.24d
   bhūtato 'bhūtato vāpi GK_3.23a	BUtataH aBUtatas vA-api GK_3.23a
   bhūtasya jātim icchanti GK_4.3a	BUtasya jAtim icCanti GK_4.3a
   bhūtaṃ na jāyate kiṃcid GK_4.4a	BUtam na jAyate kiMcid GK_4.4a
   bhūtānāṃ darśanaṃ kutaḥ GK_4.33d	BUtAnAm darSanam kutas GK_4.33d
   bhūtānīti ca tadvidaḥ GK_2.20b	BUtAni-iti ca tad-vidaH GK_2.20b
   bhedanimnāḥ pṛthagvādās GK_4.94c	Beda-nimnAH pRTak-vAdAH GK_4.94c
   bhedānāṃ sthānayor yadi GK_2.11b	BedAnAm sTAnayoH yadi GK_2.11b
   bhedānāṃ hi samatvena GK_2.5c	BedAnAm hi samatvena GK_2.5c
   bhede vicaratāṃ sadā GK_4.94b	Bede vicaratAm sadA GK_4.94b
   bhoktā yaś ca prakīrtitaḥ GK_1.5b	BoktA yaH ca prakIrtitaH GK_1.5b
   bhokteti ca bhoktṛvido GK_2.22c	BoktA-iti ca BoktR-vidaH GK_2.22c
