   atha caturtho 'dhyāyaḥ /	aTa caturTaH aDyAyaH /
   gataḥ tṛtīyaśeṣaḥ /	gataH tRtIya-SezaH /
   atha idānīṃ brahmavidyāphalaṃ prati cintā pratāyate /	aTa idAnIm brahma-vidyA-Palam prati cintA pratAyate /
   brahma adhigame sati tat viparītaphalaṃ duritaṃ kṣīyate na kṣīyate vā iti	brahma aDigame sati tat viparIta-Palam duritam kzIyate na kzIyate vA iti
   saṃśayaḥ /	saMSayaH /
   kiṃ tāvat prāptam /	kim tAvat prAptam /
   phalārthatvāt karmaṇaḥ phalam adatvā na saṃbhāvyate kṣayaḥ /	Pala-arTa-tvAt karmaNaH Palam adatvA na saMBAvyate kzayaH /
   phaladāyinī hi asya śaktiḥ śrutyā samadhigatā /	Pala-dAyinI hi asya SaktiH SrutyA samaDigatA /
   yadi tadantareṇa eva phala upabhogam apavṛjyeta śrutiḥ kadarthitā syāt /	yadi tad-antareNa eva Pale upaBogam apavRjyeta SrutiH kadarTitA syAt /
   smaranti ca 'nahi karma kṣīyate' iti /	smaranti ca anahi karma kzIyate-a iti /
   nanu evaṃ sati prāyaścitta upadeśaḥanarthakaḥ prāpnoti /	nanu evam sati prAyaScittaH upadeSaH-anarTakaH prApnoti /
   na eṣa doṣaḥ /	na eza dozaH /
   prāyaścittānāṃ naimittikatva upapatteḥ gṛhadāha iṣṭyādivat /	prAyaScittAnAm nEmittika-tve upapatteH gRhat-Ahe izwi-Adi-vat /
   api ca prāyaścittānāṃ doṣasaṃyogena vidānāt bhavet api doṣakṣapaṇārthatā	api ca prAyaScittAnAm doza-saMyogena vidAnAt Bavet api doza-kzapaNa-arTa-tA
   na tu evaṃ brahmavidyāyāṃ vidhānam asti /	na tu evam brahma-vidyAyAm viDAnam asti /
   nanu anabhyupagamyamāne brahmavidaḥ karmakṣaye tatphalasya avaśyaṃ	nanu anaByupagamyamAne brahma-vidaH karma-kzaye tad-Palasya avaSyam
   bhoktavyatāvāt anirmokṣaḥ syāt /	Boktavya-tAvAt anirmokzaH syAt /
   na iti ucyate /	na iti ucyate /
   deśakālanimittāpekṣo mokṣaḥ karmaphalavat bhaviṣyati /	deSa-kAla-nimitta-apekzaH mokzaH karma-Pala-vat Bavizyati /
   tasmāt na brahma adhigame duritanivṛttiḥ iti /	tasmAt na brahma aDigame durita-nivRttiH iti /
   evaṃ prāpte brūmaḥ- tat adhigame brahma adhigame sati uttarapūrvayoḥ	evam prApte brUmaH tat aDigame brahma aDigame sati uttara-pUrvayoH
   aghayoḥ aśleṣavināśau bhavataḥ uttarasya aśleṣaḥ pūrvasya vināśaḥ /	aGayoH aSleza-vinASO BavataH uttarasya aSlezaH pUrvasya vinASaH /
   kasmāt /	kasmAt /
   tat vyapadeśāt /	tat vyapadeSAt /
   tathā hi brahmavidyā prakriyāyāṃ saṃbhāvyamānasaṃbandhasya āgāmino	taTA hi brahma-vidyA prakriyAyAm saMBAvyamAna-saMbanDasya AgAminaH-
   duritasya anabhisaṃbandhaṃ viduṣo vyapadiśati - 'yathā puṣkarapalāśa āpo	duritasya anaBisaMbanDam viduzaH vyapadiSati  ayaTA puzkara-palASaH ApaH-
   na śliṣyanta evamevaṃvidi pāpaṃ karma na śliṣyate' (chā.4.14.3) iti /	na Slizyante evam-evaMvidi pApam karma na Slizyate-a (CA.4.14.3) iti /
   tathā vināśam api pūrva ucitasya duritasya vyapadiśati -	taTA vinASam api pUrvaH ucitasya duritasya vyapadiSati -
   'tadyatheṣīkātūlamagnau protaṃ pradūyetaivaṃ hāsya sarve pāpmānaḥ	atat-yaTA-izIkAtUlam-agnO protam pradUyeta-evam ha-asya sarve pApmAnaH
   pradūyante' (chā. 5.24.3) iti /	pradUyante-a (CA. 5.24.3) iti /
   ayam aparaḥ karmakṣayavyapadeśo bhavati - 'bhidyate	ayam aparaH karma-kzaya-vyapadeSaH Bavati  aBidyate
   hṛdayagranthiśchidyante sarvasaṃśayāḥ /	hRdaya-granTiH-Cidyante sarva-saMSayAH /
   kṣīyante cāsya karmāṇi tasmindṛṣṭe parāvare' (mu. 2.2.8) iti /	kzIyante ca-asya karmANi tasmin-dRzwe parAvare-a (mu. 2.2.8) iti /
   yat uktam anupabhuktaphalasya karmaṇaḥ kṣayakalpanāyāṃ śāstraṃ kadarthitaṃ	yat uktam anupaBukta-Palasya karmaNaH kzaya-kalpanAyAm SAstram kadarTitam
   syāt iti /	syAt iti /
   na eṣa doṣaḥ /	na eza dozaH /
   na hi vayaṃ karmaṇaḥ phaladāyinīṃ śaktim avajānīmahe, vidyata eva sā, sā	na hi vayam karmaNaH Pala-dAyinIm Saktim avajAnImahe, vidyate eva sA, sA
   tu vidyādinā kāraṇāntareṇa pratibadhyata iti vadāmaḥ /	tu vidyA-AdinA kAraNa-antareNa pratibaDyate iti vadAmaH /
   śaktisadbhāvamātre ca śāstraṃ vyāpriyate na pratibandha apratibandhayoḥ	Sakti-sadBAva-mAtre ca SAstram vyApriyate na pratibanDa apratibanDayoH
   api /	api /
   na hi karma kṣīyata iti etat api smaraṇam autsargikaṃ na bhogāt ṛte karma	na hi karma kzIyate iti etat api smaraNam Otsargikam na BogAt Rte karma
   kṣīyata tadarthatvāt iti /	kzIyata tad-arTa-tvAt iti /
   iṣyata eva tu prāyaścittādinā tasya kṣayaḥ 'sarvaṃ pāpmānaṃ tarati'	izyate eva tu prAyaScitta-AdinA tasya kzayaH asarvam pApmAnam tarati-a
   'tarati brahmahatyāṃ yo 'śvamedhena yajate ya u cainameva vada' ityādi	atarati brahmahatyAm yaH aSvameDena yajate yaH u ca-enam-eva vadaa ityAdi
   śrutismṛtibhyaḥ /	Sruti-smRtiByaH /
   yat tu uktaṃ naimittikāni prāyaścittāni bhaviṣyanti iti /	yat tu uktam nEmittikAni prAyaScittAni Bavizyanti iti /
   tat asat /	tat asat /
   doṣasaṃyogena codyamānānām eṣāṃ doṣanirghātaphalasaṃbhave	doza-saMyogena codyamAnAnAm ezAm doza-nirGAta-Pala-saMBave
   phalāntarakalpanā anupapatteḥ /	Pala-antara-kalpanAH anupapatteH /
   yatpunaḥ etat uktaṃ na prāyaścittavat doṣakṣaya uddeśena vidyāvidānam asti	yat-punar etat uktam na prAyaScitta-vat doza-kzayaH uddeSena vidyA-vidAnam asti
   iti /	iti /
   atra brūmaḥ - saguṇāsu tāvat vidyāsu vidyata eva vidhānam /	atra brUmaH  sa-guNAsu tAvat vidyAsu vidyate eva viDAnam /
   tāsu ca vākyaśeṣa aiśvaryaprāptiḥ pāpanivṛttiḥ ca vidyāvata ucyate /	tAsu ca vAkya-Seza ESvarya-prAptiH pApa-nivRttiH ca vidyA-avataH ucyate /
   tayoḥ ca avivakṣākāraṇaṃ na asti iti ataḥ pāpmaprahāṇapūrvaka	tayoH ca avivakzA-kAraNam na asti iti atas pApma-prahANa-pUrvaka
   aiśvaryaprāptiḥ tāsāṃ phalam iti niścīyate /	ESvarya-prAptiH tAsAm Palam iti niScIyate /
   nirguṇāyāṃ tu vidyāyāṃ yadi api vidhānaṃ na asti tathā api akartṛ	nirguNAyAm tu vidyAyAm yadi api viDAnam na asti taTA api akartR
   ātmatvabodhāt karmapradāhasiddhiḥ /	Atma-tva-boDAt karma-pradAha-sidDiH /
   aśleṣa iti ca āgāmiṣu karmasu kartṛtvameva na pratipadyate brahmavit iti	aSlezaH iti ca AgAmizu karmasu kartR-tvam-eva na pratipadyate brahma-vid iti
   darśayati /	darSayati /
   atikrānteṣu tu yadi api mithyājñānāt kartṛtvaṃ pratipeda iva tathā api	atikrAntezu tu yadi api miTyAjQAnAt kartR-tvam pratipedaH iva taTA api
   vidyāsāmarthyāt mithyājñānanivṛtteḥ tāni api pravilīyanta iti āha vināśa	vidyA-sAmarTyAt miTyAjQAna-nivRtteH tAni api pravilIyante iti Aha vinASa
   iti /	iti /
   pūrvasiddhakartṛtva bhoktṛtva viparītaṃ hi triṣu api kāleṣu akartṛtva	pUrva-sidDa-kartR-tva BoktR-tva viparItam hi trizu api kAlezu akartR-tva
   abhoktṛtvasvarūpaṃ brahma aham asmi na itaḥ pūrvam api kartā bhoktā vā	aBoktR-tva-svarUpam brahma aham asmi na itas pUrvam api kartA BoktA vA
   aham āsaṃ na idānīṃ na api bhaviṣyatkāla iti brahmavit avagacchati /	aham Asam naH idAnIm na api Bavizyat-kAlaH iti brahma-vid avagacCati /
   evam eva ca mokṣa upapadyate /	evam eva ca mokzaH upapadyate /
   anyathā hi anādikālapravṛttānāṃ karmāṇāṃ kṣayābhāve mokṣa abhāvaḥ syāt /	anyaTA hi anAdi-kAla-pravRttAnAm karmANAm kzaya-aBAve mokza aBAvaH syAt /
   na ca deśakālanimittāpekṣo mokṣaḥ karmaphalavat bhavitum arhati /	na ca deSa-kAla-nimitta-apekzaH mokzaH karma-Pala-vat Bavitum arhati /
   anityatva prasaṅgāt /	anitya-tva prasaFgAt /
   parokṣatva anupapatteḥ ca jñānaphalam /	parokza-tva anupapatteH ca jQAna-Palam /
   tasmāt brahma adhigame duritakṣaya iti sthiram // 13 //	tasmAt brahma aDigame durita-kzayaH iti sTiram // 13 //
   10 itara asaṃśleṣa adhikaraṇam / sū. 14	10 itara asaMSleza aDikaraNam / sU. 14
   itarasyāpy evam asaṃśleṣaḥ pāte tu | BBs_4,1.14 |	itarasya-api evam asaMSlezaH pAte tu | BBH-_4,1.14 |
   pūrvasmin adhikaraṇe bandhahetoḥ aghasya svābhāvikasya aśleṣavināśau	pUrvasmin aDikaraNe banDa-hetoH aGasya svABAvikasya aSleza-vinASO
   jñānanimittau śāstravyapadeśāt nirūpitau /	jQAna-nimittO SAstra-vyapadeSAt nirUpitO /
   dharmasya punaḥ śāstrīyatvāt śāstrīyeṇa jñānena avirodha iti āśaṅkya tat	Darmasya punar SAstrIya-tvAt SAstrIyeNa jQAnena aviroDaH iti ASaFkya tat-
   nirākaraṇāya pūrva adhikaraṇanyāya atideśaḥ kriyate /	nirAkaraNAya pUrva aDikaraNa-nyAya atideSaH kriyate /
   itarasya api puṇyasya karmaṇa evam aghavat asaṃśleṣo vināśaḥ ca jñānavato	itarasya api puNyasya karmaNaH evam aGa-vat asaMSlezaH vinASaH ca jQAnavataH-
   bhavataḥ /	BavataH /
   kutaḥ - tasya api svaphalahetutvena jñānaphalapratibandhitvaprasaṅgāt /	kutas  tasya api sva-Pala-hetu-tvena jQAna-Pala-pratibanDi-tva-prasaFgAt /
   'ubhe u haivaiṣa ete tarati' (bṛ. 4.4.22) ityādiśrutiṣu ca duṣkṛtavat	auBe u ha-eva-ezaH ete tarati-a (bR. 4.4.22) ityAdi-Srutizu ca duzkRta-vat-
   sukṛtasya api praṇāśavyapadeśāt /	sukRtasya api praNASa-vyapadeSAt /
   akartṛ ātmatvabodhanimittasya ca karmakṣayasya sukṛtaduṣkṛtayoḥ tulyatvāt	akartR Atma-tva-boDa-nimittasya ca karma-kzayasya sukRta-duzkRtayoH tulya-tvAt-
   'kṣīyante cāsya karmāṇi' (mu. 2.2.8) iti ca aviśeṣaśruteḥ /	akzIyante ca-asya karmANi-a (mu. 2.2.8) iti ca aviSeza-SruteH /
   yatra api kevala eva pāpmaśabdo dṛśyate tatra api tena eva puṇyam api	yatra api kevalaH eva pApma-SabdaH dRSyate tatra api tena eva puNyam api
   akalitam iti draṣṭavyam /	akalitam iti drazwavyam /
   jñānaphala apekṣayā nikṛṣṭaphalatvāt /	jQAna-Pala apekzayA nikRzwa-Pala-tvAt /
   asti ca śrutau puṇye api pāpmaśabdaḥ 'nainaṃ setumahorātre tarataḥ' (chā.	asti ca SrutO puNye api pApma-SabdaH ana-enam setum-ahorAtre tarataH-a (CA.
   8.4.1) iti atra saha duṣkṛtena sakṛtamapi anukramya sarve pāpmānaḥ ato	8.4.1) iti atra saha duzkRtena sakRtam-api anukramya sarve pApmAnaH atas-
   nivartanta iti aviśeṣeṇa eva prakṛte puṇye pāpmaśabdaprayogāt /	nivartante iti aviSezeNa eva prakRte puNye pApma-Sabda-prayogAt /
   pāte tu iti tu śabdaḥ avadhāraṇārthaḥ /	pAte tu iti tu SabdaH avaDAraNa-arTaH /
   evaṃ dharma adharmayoḥ bandhahetvoḥ vidyāsāmarthyāt aśleṣavināśasiddheḥ	evam Darma aDarmayoH banDa-hetvoH vidyA-sAmarTyAt aSleza-vinASa-sidDeH
   avaśyaṃbhāvinī viduṣaḥ śarīrapāte muktiḥ iti avadhārayati // 14//	avaSyaMBAvinI viduzaH SarIra-pAte muktiH iti avaDArayati // 14//
   11 anārabdha adhikaraṇam / sū. 15	11 anArabDa aDikaraNam / sU. 15
   anārabdhakārye eva tu pūrve tadavadheḥ | BBs_4,1.15 |	anArabDa-kArye eva tu pUrve tad-avaDeH | BBH-_4,1.15 |
   pūrvayoḥ adhikaraṇayoḥ jñānanimittaḥ sukṛtaduṣkṛtayoḥ vināśaḥ avadhāritaḥ	pUrvayoH aDikaraNayoH jQAna-nimittaH sukRta-duzkRtayoH vinASaH avaDAritaH
   sa kim aviśeṣeṇa ārabdhakāryayoḥ anārabdhakāryayoḥ ca bhavati uta viśeṣeṇa	sa kim aviSezeNa ArabDa-kAryayoH anArabDa-kAryayoH ca Bavati uta viSezeNa
   anārabdhakāryayoḥ eva iti vicāryate /	anArabDa-kAryayoH eva iti vicAryate /
   'tatra ubhe u haivaiṣa ete tarati' (bṛ. 4.4.22) iti evamādiśrutiṣu	atatraH uBe u ha-eva-ezaH ete tarati-a (bR. 4.4.22) iti evamAdi-Srutizu
   aviśeṣaśravaṇāt aviśeṣeṇa eva kṣaya iti /	aviSeza-SravaNAt aviSezeNa eva kzayaH iti /
   evaṃ prāpte pratyāha - anārabdhakārye eva tu iti /	evam prApte pratyAha  anArabDa-kArye eva tu iti /
   apravṛttaphale eva pūrve janmāntarasaṃcite asmin api ca janmani prāk jñāna	apravRtta-Pale eva pUrve janma-antara-saMcite asmin api ca janmani prAk jQAna
   utpatteḥ saṃcite sukṛtaduṣkṛte jñāna adhigamāt kṣīyete na tu ārabdhakārye	utpatteH saMcite sukRta-duzkRte jQAna aDigamAt kzIyete na tu ArabDa-kArye
   sāmibhuktaphale yābhyām etat brahmajñāna āyatanaṃ janma nirmitam /	sAmiBukta-Pale yAByAm etat brahma-jQAnaH Ayatanam janma nirmitam /
   kuta etat - 'tasya tāvadeva ciraṃ yāvanna vimokṣye 'tha saṃpatsye' (chā.	kutas etat  atasya tAvat-eva ciram yAvat-na vimokzye aTa saMpatsye-a (CA.
   6.14.2) iti śarīrapātau adhikaraṇāt kṣemaprāpteḥ /	6.14.2) iti SarIra-pAtO aDikaraNAt kzema-prApteH /
   itarathā hi jñānāt aśeṣakarmakṣaye sati sthitihetu abhāvāt jñānaprāpti	itaraTAH hi jQAnAt aSeza-karma-kzaye sati sTiti-hetu aBAvAt jQAna-prApti
   anantarameva kṣemamśnu avīta, tatra śarīrapātapratīkṣāṃ na ācakṣīta /	anantaram-eva kzemam-Snu avIta, tatra SarIra-pAta-pratIkzAm na AcakzIta /
   nanu vastubalena eva ayam akartṛ ātmāvabodhaḥ karmāṇi kṣapayan kathaṃ	nanu vastu-balena eva ayam akartR AtmA-avaboDaH karmANi kzapayan kaTam
   kānicit kṣapayet kānicit ca upekṣeta /	kAnicid kzapayet kAnicid ca upekzeta /
   na hi samāne agnibījasaṃparke keṣāñcit bījaśaktiḥ kṣīyate keṣāñcit na	na hi samAne agni-bIja-saMparke kezAQcid bIja-SaktiH kzIyate kezAQcid na
   kṣīyata iti śakyam aṅgīkartum iti /	kzIyate iti Sakyam aFgIkartum iti /
   ucyate - na tāvat anāśritya ārabdhakāryaṃ karmāśayaṃ jñāna utpattiḥ	ucyate  na tAvat anASritya ArabDa-kAryam karma-ASayam jQAnaH utpattiH
   upapadyate /	upapadyate /
   āśrite ca tasmin kulālacakravat pravṛttavegasya antarāle pratibandha	ASrite ca tasmin kulAla-cakra-vat pravRtta-vegasya antarAle pratibanDa
   asaṃbhavāt bhavati vegakṣayapratipālanam /	asaMBavAt Bavati vega-kzaya-pratipAlanam /
   akartṛ ātmabodhaḥ api hi mithyājñānabādhanena karmāṇi ucchinatti /	akartR Atma-boDaH api hi miTyAjQAna-bADanena karmANi ucCinatti /
   bādhitam api tu mithyājñānaṃ dvicandrajñānavat saṃskāravaśāt kañcitkālam	bADitam api tu miTyAjQAnam dvi-candra-jQAna-vat saMskAra-vaSAt kaQcid-kAlam
   anuvartata eva /	anuvartate eva /
   api ca na eva atra vivaditavyaṃ brahmavidā kañcitkālaṃ śarīraṃ dhriyate na	api ca naH eva atra vivaditavyam brahma-vidA kaQcid-kAlam SarIram Driyate na
   vā dhriyata iti /	vA Driyate iti /
   kathaṃ hi ekasya svahṛdayapratyayaṃ brahmavedanaṃ dehadhāraṇaṃ ca apareṇa	kaTam hi ekasya sva-hRdaya-pratyayam brahma-vedanam deha-DAraNam ca apareNa
   pratikṣeptuṃ śakyeta /	pratikzeptum Sakyeta /
   śrutismṛtiṣu ca sthitaprajñalakṣaṇanirdeśena etadeva nirucyate /	Sruti-smRtizu ca sTita-prajQa-lakzaNa-nirdeSena etat-eva nirucyate /
   tasmāt anārabdhakāryayoḥ eva sukṛtaduṣkṛtayoḥ vidyāsāmarthyāt kṣaya iti	tasmAt anArabDa-kAryayoH eva sukRta-duzkRtayoH vidyA-sAmarTyAt kzayaH iti
   nirṇayaḥ // 15 //	nirNayaH // 15 //
   12 agnihotrādi adhikaraṇam / sū. 16-17	12 agni-hotra-Adi aDikaraNam / sU. 16-17
   agnihotrādi tu tatkāryāyaiva taddarśanāt | BBs_4,1.16 |	agnihotra-Adi tu tad-kAryAya-eva tad-darSanAt | BBH-_4,1.16 |
   puṇyasya api aśleṣavināśayoḥ aghanyāyaḥ atidiṣṭaḥ saḥ atideśaḥ	puNyasya api aSleza-vinASayoH aGa-nyAyaH atidizwaH saH atideSaH
   sarvapuṇyaviṣaya iti āśaṅkya prativakti - agnihotrādi tu iti /	sarva-puNya-vizayaH iti ASaFkya prativakti  agni-hotra-Adi tu iti /
   tu śabda āśaṅkām upanudati /	tu SabdaH ASaFkAm upanudati /
   yat nityaṃ karma vaidikam agnihotrādi tat tat kāryāya eva bhavati,	yat nityam karma vEdikam agni-hotra-Adi tat tat kAryAya eva Bavati,
   jñānasya yatkāryaṃ tadeva asya api kāryam ityarthaḥ /	jQAnasya yat-kAryam tat-eva asya api kAryam iti-arTaH /
   kutaḥ - 'tametaṃ vedānuvacanena brāhmaṇā vividiṣanti yajñena dānena' (bṛ.	kutas  atam-etam veda-anuvacanena brAhmaNAH vividizanti yajQena dAnena-a (bR.
   4.4.22) ityādidarśanāt /	4.4.22) ityAdi-darSanAt /
   nanu jñānakarmaṇoḥ vilakṣaṇakāryatvāt kārya ekatva anupapattiḥ /	nanu jQAna-karmaNoH vilakzaNa-kArya-tvAt kAryaH ekatva anupapattiH /
   na eṣa doṣaḥ /	na eza dozaH /
   jvaramaraṇakāryayoḥ api dadhiviṣayoḥ guḍamantrasaṃyuktayoḥ	jvara-maraNa-kAryayoH api daDi-vizayoH guxa-mantra-saMyuktayoH
   tṛptipuṣṭikāryadarśanāt /	tRpti-puzwi-kArya-darSanAt /
   tadvat karmaṇaḥ api jñānasaṃyuktasya mokṣakārya upapatteḥ /	tadvat karmaNaH api jQAna-saMyuktasya mokza-kAryaH upapatteH /
   nanu anārabhyo mokṣaḥ katham asya karmakāryatvam ucyate /	nanu anAraByaH mokzaH kaTam asya karma-kArya-tvam ucyate /
   na eṣa doṣaḥ /	na eza dozaH /
   ārāt upakārakatvāt karmaṇaḥ /	ArAt upakAraka-tvAt karmaNaH /
   jñānasya eva hi prāpakaṃ satkarma prāṇāḍyā mokṣakāraṇam iti upacaryate /	jQAnasya eva hi prApakam satkarma prANAxyA mokza-kAraNam iti upacaryate /
   ata eva ca atikrāntaviṣayam etat kārya ekatva abhidhānam /	atas eva ca atikrAnta-vizayam etat kAryaH ekatva aBiDAnam /
   na hi brahmavida āgāmi agnihotrādi saṃbhavati /	na hi brahma-vidaH AgAmi agnihotra-Adi saMBavati /
   aniyojyabrahmātmatva pratipatteḥ śāstrasya aviṣayatvāt /	aniyojya-brahma-Atma-tva pratipatteH SAstrasya avizaya-tvAt /
   saguṇāsu tu vidyāsu kartṛtva anativṛtteḥ saṃbhavati āgāmi api agnihotrādi	sa-guNAsu tu vidyAsu kartR-tva anativRtteH saMBavati AgAmi api agni-hotra-Adi
   tasya api nirabhisaṃdhinaḥ kāryāntara abhāvāt vidyāsaṃgati upapattiḥ // 16	tasya api niraBisaMDinaH kArya-antara aBAvAt vidyA-saMgati upapattiH // 16
   kiṃviṣayaṃ punaḥ idam aśleṣavināśa vacanaṃ kiṃviṣayaṃ vā ado	kiMvizayam punar idam aSleza-vinASa vacanam kiMvizayam vA adaH-
   viniyogavacanam ekeṣāṃ śākhinām 'tasya putrā dāyamupayanti suhṛdaḥ	viniyoga-vacanam ekezAm SAKinAm atasya putrAH dAyam-upayanti suhRdaH
   sādhukṛtyāṃ dviṣantaḥ pāpakṛtyām' iti /	sADu-kRtyAm dvizantaH pApa-kRtyAm-a iti /
   ata uttaraṃ paṭhati -	atas uttaram paWati -
   ato 'nyāpi hy ekeṣām ubhayoḥ | BBs_4,1.17 |	atas anyA-api hi ekezAm uBayoH | BBH-_4,1.17 |
   ataḥ agnihotrādeḥ nityātkarmaṇaḥ anyāpi hi asti sādhukṛtyā yā phalam	atas agnihotra-AdeH nityAt-karmaNaH anyA-api hi asti sADu-kRtyA yA Palam
   abhisaṃdhāya kriyate tasyā eṣa viniyoga ukta ekeṣāṃ śākhinām 'suhṛdaḥ	aBisaMDAya kriyate tasyAH eza viniyogaH uktaH ekezAm SAKinAm asuhRdaH
   sādhukṛtyāmupayanti' iti /	sADu-kRtyAm-upayanti-a iti /
   tasyā eva ca idam aghavat aśleṣavināśanirūpaṇam itarasya api evam aśleṣa	tasyAH eva ca idam aGa-vat aSleza-vinASa-nirUpaNam itarasya api evam aSleza
   iti /	iti /
   tathā jātīyakasya kāmyasya karmaṇo vidyāṃ prati anupakārakatve	taTA jAtIyakasya kAmyasya karmaNaH vidyAm prati anupakAraka-tve
   saṃpratipattiḥ ubhayoḥ api jaiminibādarāyaṇayoḥ ācāryayoḥ // 17 //	saMpratipattiH uBayoH api jEminibAdarAyaNayoH AcAryayoH // 17 //
   13 vidyājñānasādhana adhikaraṇam / sū. 18	13 vidyA-jQAna-sADana aDikaraNam / sU. 18
   yad eva vidyayeti hi | BBs_4,1.18 |	yat eva vidyayA-iti hi | BBH-_4,1.18 |
   samadhigatam etat anantara adhikaraṇe nityam agnihotrādikaṃ karma	samaDigatam etat anantara aDikaraNe nityam agnihotra-Adikam karma
   mumukṣuṇā mokṣaprayojana uddeśena kṛtam upāttaduritakṣayahetutvadvāreṇa	mumukzuNA mokza-prayojanaH uddeSena kRtam upAtta-durita-kzaya-hetu-tva-dvAreNa
   sattvaśuddhikāraṇatāṃ pratipadyamānaṃ mokṣaprayojanabrahma	sattva-SudDi-kAraNa-tAm pratipadyamAnam mokza-prayojana-brahma
   adhigamanimittatvena brahmavidyayā saha ekakāryaṃ bhavati iti /	aDigama-nimitta-tvena brahma-vidyayA saha eka-kAryam Bavati iti /
   tatra agnihotrādi karmāṅgavyapāśrayavidyāsaṃyuktaṃ kevalaṃ ca asti /	tatra agni-hotra-Adi karma-aFga-vyapASraya-vidyA-saMyuktam kevalam ca asti /
   'ya evaṃ vidvānayajati' 'ya evaṃ vidvāñjuhoti' 'ya evaṃ vidvāñchaṃsati'	ayaH evam vidvAn-ayajati-a ayaH evam vidvAn-juhoti-a ayaH evam vidvAn-SaMsati-a
   'ya evaṃ vidvāngāyati' 'tasmādevaṃvidameva brahmāṇaṃ kurviti nānevaṃ	ayaH evam vidvAn-gAyati-a atasmAt-evaMvidam-eva brahmANam kuru-iti na-anevam
   vidaṃ' (chā. 4.17.10) 'tenobhau kuruto yaścaitadevaṃ veda yaśca na veda'	vidana (CA. 4.17.10) atena-uBO kurutaH yaH-ca-etat-evam veda yaH-ca na veda-a
   (chā. 1.1.10) ityādivacanebhyo vidyāsaṃyuktam asti kevalam api asti /	(CA. 1.1.10) ityAdi-vacaneByaH vidyA-saMyuktam asti kevalam api asti /
   tatra idaṃ vicāryate - kiṃ vidyāsaṃyuktameva agnihotrādikaṃ karma mumukṣoḥ	tatra idam vicAryate  kim vidyA-saMyuktam-eva agnihotra-Adikam karma mumukzoH
   vidyāhetutvena tayā saha ekakāryatvaṃ pratipadyate na kevalam uta	vidyA-hetu-tvena tayA saha eka-kArya-tvam pratipadyate na kevalam uta
   vidyāsaṃyuktaṃ kevalaṃ ca aviśeṣeṇa iti /	vidyA-saMyuktam kevalam ca aviSezeNa iti /
   kutaḥ saṃśayaḥ - 'tametamātmānaṃ yajñena vividiṣanti' iti yajñādīnāmvi	kutas saMSayaH  atam-etam-AtmAnam yajQena vividizanti-a iti yajQa-AdInAm-vi
   aśeṣeṇa ātmavedanāṅgatvena śravaṇāt /	aSezeNa Atma-vedanA-aFga-tvena SravaNAt /
   vidyāsaṃyuktasya ca agnihotrādīnām aviśeṣatva avagamāt /	vidyA-saMyuktasya ca agnihotra-AdInAm aviSeza-tva avagamAt /
   kiṃ tāvat prāptaṃ vidyāsaṃyuktam eva karmāgnihotrādi ātmavidyāśeṣatvaṃ	kim tAvat prAptam vidyA-saMyuktam eva karma-agni-hotra-Adi Atma-vidyA-Seza-tvam
   pratipadyate na vidyāhīnam /	pratipadyate na vidyA-hInam /
   vidyā upetasya viśiṣṭatva avagamāt vidyāvihīnāt /	vidyA upetasya viSizwa-tva avagamAt vidyA-vihInAt /
   'yadahareva juhoti tadahaḥ punarmṛtyumapajayatyevaṃvidvān'	ayat-ahar-eva juhoti tat-ahar punar-mRtyum-apajayati-evaMvidvAn-a
   ityādiśrutibhyaḥ /	ityAdi-SrutiByaH /
   'buddhyā yukto yayā pārtha karmabandhaṃ prahāsyasi' (gī. 2.39) 'dūreṇa	abudDyA yuktaH yayA pArTa karma-banDam prahAsyasi-a (gI. 2.39) adUreNa
   hyavaraṃ karma buddhiyogāddhanañjaya' (gī. 2.49)	hi-avaram karma budDi-yogAt-DanaQjaya-a (gI. 2.49)
   ityādismṛtibhya- ca iti /	ityAdi-smRtiBya ca iti /
   evaṃ prāpte pratipadyate - yadeva vidyayā iti hi /	evam prApte pratipadyate  yat-eva vidyayA iti hi /
   satyam etat /	satyam etat /
   vidyāsaṃyuktaṃ karmāgnihotrādikaṃ vidyāvihīnāt karmaṇaḥ agnihotrāt	vidyA-saMyuktam karma-agnihotra-Adikam vidyA-vihInAt karmaNaH agni-hotrAt-
   viśiṣṭaṃ vidvāniva brāhmaṇo vidyāvihīnāt brāhmaṇāt /	viSizwam vidvAn-iva brAhmaNaH vidyA-vihInAt brAhmaNAt /
   tathā api na atyantam anapekṣaṃ vidyāvihīnaṃ karmāgnihotrādikam /	taTA api na atyantam anapekzam vidyA-vihInam karma-agni-hotra-Adikam /
   kasmāt - 'tametamātmānaṃ yajñena vividiṣanti' iti aviśeṣeṇa agnihotrādeḥ	kasmAt  atam-etam-AtmAnam yajQena vividizanti-a iti aviSezeNa agni-hotra-AdeH
   vidyāhetutvena śrutatvāt /	vidyA-hetu-tvena Sruta-tvAt /
   nanu vidyāsaṃyuktasya agnihotrādeḥ vidyāvihīnāt viśiṣṭatva avagamāt	nanu vidyA-saMyuktasya agnihotra-AdeH vidyA-vihInAt viSizwa-tva avagamAt-
   vidyāvihīnam agnihotrādi ātmavidyāhetutvena anapekṣameva iti yuktam /	vidyA-vihInam agni-hotra-Adi Atma-vidyA-hetu-tvena anapekzam-eva iti yuktam /
   na etat evam /	na etat evam /
