   Maitrāyaṇī Saṃhitā	MEtrAyaNI  SaMhitA
   prāśnāti vīryaṃ vai kakub vīryam evātman dhatte //MS_1,11.7//	prASnAti vIryam vE kakuB vIryam eva Atman Datte //n= _1,11.7//
   vājayati : FN KS.14.7:206.14: ujjitīr vācayati	vAjayati : F KS.14.7:206.14: ujjitIH vAcayati
   svo rohāvehi svo rohāvehi svo rohāveti svar vā etad rokṣyan patnyā	svaH rohO= ehi svaH rohO= ehi svaH rohAva iti svar vE etat rokzyan patnyA
   saṃvadate 'tho anvārambho vā eṣa yajñasya patnyā saha svarge loke bhavata	saMvadate aTo anvAramBaH vE eza yajQasya patnyA saha svarge loke Bavata
   āyur yajñena kalpate prāṇo yajñena kalpatā ity etāvān vai puruṣo yāvān eva	AyuH yajQena kalpate prANaH yajQena kalpatA iti etAvAn vE puruzaH yAvAn eva
   puruṣas tam āpnoti sa sarvo bhūtvā svargaṃ lokam eti darbhamayaṃ vāso	puruzaH tam Apnoti sa sarvaH BUtvA svargam lokam eti darBa mayam vAsaH 
   bhavati pavitratvāya gaudhūmaṃ caṣālaṃ prājāpatyā vai godhūmā ardhaṃ praty	Bavati pavitra tvAya gODUmam cazAlam prAjApatyAH vE goDUmAH arDam praty
   āsām oṣadhīnāṃ sahaivānnādyenāmuṃ lokam eti vājāya svāhā prasavāya svāheti	AsAm ozaDInAm saha eva annAdyena amum lokam eti vA AjAya svAhA prasavAya svAhA iti
   trayodaśa vā etā āhutayas trayodaśa māsāḥ saṃvatasaraḥ saṃvatsaraṃ vāvāsmā	trayodaSa vE etAH AhutayaH trayodaSa mAsAH saMvata saraH saMvatsaram vAvAsmA
   etad upadadhāti svarge loke tasminn eva pratitiṣṭhaty annāya tvā vājāya	etat upadaDAti svarge loke tasmin eva pratitizWati annAya tvA vA ajAya
   tvā vājajityāyai tvety ūṣapuṭair arpayanti prājāpatyā vā ūṣāḥ śvaḥśvo	tvA vAjajityAyE tvA iti Uza puwEH arpayanti prAjApatyAH vE UzAH SvaHSvo
   bhūyāṃso bhavanty annādyenaivainam arpayanty eti vā eṣo 'smāl lokād yo	BUyAMsaH Bavanti annAdyena eva enam arpayanti eti vE ezaH asmAt lokAt yaH 
   'muṃ lokam eti yad ūṣapuṭair arpayanti tenāsmāl lokān naiti tenāsmiṃl loke	amum lokam eti yat Uza puwEH arpayanti tena asmAt lokAn na eti tena asmin loke
   dhṛto hiraṇyam abhyavarohati tejo vai hiraṇyaṃ tejasy eva pratitiṣṭhati	DRtaH hiraNyam aByavarohati tejaH vE hiraNyam tejasi eva pratitizWati
   bastājinam abhyavarohati paśavo vai bastājinaṃ paśuṣv eva pratitiṣṭhaty	basta ajinam aByavarohati paSavaH vE basta ajinam paSuzu eva pratitizWati 
   annasyānnasya juhoti vājaprasavyābhir annaṃ vai vājo 'nnādyasyāvaruddhyay	annasya annasya juhoti vAja prasavyABiH annam vE vAjaH annAdyasya avarudDyay
   ubhayaṃ grāmyaṃ cāraṇyaṃ ca juhoty ubhayasyānnādyasyāvaruddhyay	uBayam grAmyam ca araNyam ca juhoti uBayasya annAdyasya avarudDyay
   audumbareṇa sruveṇa juhoty ūrg vā udumbara ūrjo 'varuddhyai saptabhir	OdumbareNa sruveNa juhoti Urc vA udumbaraH UrjaH avarudDyE saptaBiH 
   juhoti sapta vai chandāṃsi chandobhir evāsmā annādyam avarunddhe 'tho vāg	juhoti sapta vE CandAMsi CandoBiH eva asmE annAdyam avarundDe aTo vAc 
   vai chandāṃsi vācaivāsmā annādyaṃ prayachati //MS_1,11.8//	vE CandAMsi vAcA eva asmE annAdyam prayaCati //n= _1,11.8//
   atho : FN emended. Ed.: atha	aTo : F ema inded. Ed.: aTa
   athaite 'tigrāhyā yad evādaḥ paramannādyam anavaruddhaṃ tasyaite	aTa ete ati grAhyAH yat eva AdaH param annAdyam anavarudDam tasya ete
   'varuddhyai gṛhyante 'thaite paśavā ālabhyante yajñakratūnām avaruddhyai	avarudDyE gRhyante aTa ete paSavAH AlaByante yajQa kratUnAm avarudDyE
   yad āgeyo 'gniṣṭomaṃ tenāvarunddhe yad aindrāgna ukthyaṃ tena yad aindro	yat AgeyaH agnizwomam tena avarundDe yat EndrAgnaH ukTyam tena yat EndraH 
   vṛṣṇiḥ ṣoḍaśinaṃ tena yat sārasvatī meṣī yad evādaḥ saptadaśaṃ stotram	vRzNiH zoxaSinam tena yat sArasvatI mezI yat eva AdaH saptadaSam stotram
   anāptam anavaruddhaṃ tad evaitayāpnoti tad avarunddhe 'thaiṣā vaśā devāś	anAptam anavarudDam tat eva etayA Apnoti tat avarundDe aTa ezA vaSAH devAH 
   ca vā asurāś cāspardhanta neme devā āsan neme 'surās te devā etāṃ vaśām	ca vE asurAH ca asparDanta na ime devAH Asan na ime asurAH te devAH etAm vaSAm
   apaśyaṃs tayā lokaṃ dvitīyam avṛñjatāsuralokaṃ yasyāvadyati sa devaloko	apaSyan tayA lokam dvitIyam avRQjata asura lokam yasya avadyati sa deva lokaH 
   yasya nāvadyati so 'suralokas taṃ lokam evaitayā dvitīyaṃ yajamāno vṛṅkte	yasya na avadyati saH asura lokaH tam lokam eva etayA dvitIyam yajamAnaH vRFkte
   bhrātṛvyalokam eva sārasvaty anyeṣām uttamā bhavati sārasvaty anyeṣāṃ	BrAtRvya lokam eva sArasvatI anyezAm uttamA Bavati sArasvati anyezAm
   pratahamā vāg vai sarasvatī vācā yajñaḥ saṃtato vācaiva yajñaṃ saṃtanoti	pratahamA vAc vE sarasvatI vAcA yajQaH saMtataH vAcA eva yajQam saMtanoti
   yad vai yajñasya vidvān na karoti yac cāvidvān antareti tac chidraṃ tad	yat vE yajQasya vidvAn na karoti yat ca avidvAn antarA iti tat Cidram tat 
   vācaiva sarasvatyā kalpayaty aniruktaḥ prātaḥsavaḥ prajāpatim eva	vAcA eva sarasvatyA kalpayati aniruktaH prAtaHsavaH prajApatim eva
   tenāpnoti viyonir vai vājapeyaḥ prājāpatyaḥ san niruktasāmā yad aniruktaḥ	tena Apnoti viyoniH vE vAjapeyaH prAjApatyaH san nirukta sAmA yat aniruktaH
   prātaḥsavas tena sayoni rathantaraṃ sāma bhavaty āśīyā ujjityay atho iyaṃ	prAtaHsavaH tena sa yoni raTantaram sAma Bavati ASIyAH ujjityay aTo iyam
   vai rathantaram asyām eva sūyate vājavatīr mādhyaṃdine pavamāne bhavanty	vE raTantaram asyAm eva sUyate vAjavatIH mADyaMdine pavamAne Bavanti 
   annaṃ vai vājo 'nnādyasyāvaruddhyai citravatīr ārbhave pavamāne bhavanti	annam vE vAjaH annAdyasya avarudDyE citravatIH ArBave pavamAne Bavanti
   svargasya lokasya samaṣṭyai śipiviṣṭavatīṣu stuvata eṣā vai prajāpateḥ	svargasya lokasya samazwyE SipivizwavatIzu stuvate ezA vE prajApateH
   paśuṣṭhās tanūr yañ śipiviṣṭaṃ tasmāñ śipiviṣṭavatīṣu stuvata āṣṭādaṃṣṭram	paSuzWAH tanUH yan Sipivizwam tasmAn SipivizwavatIzu stuvate AzwAdaMzwram
   uttamam ukthānāṃ bhavaty uttare eva stotre abhisaṃtanoti yad vai	uttamam ukTAnAm Bavati uttare eva stotre aBisaMtanoti yat vE
   yajñasyātiricyate 'muṃ taṃ lokam abhyatiricyate bṛhat tv evāmuṃ lokam	yajQasya atiricyate amum tam lokam aByatiricyate bRhat tu eva amum lokam
   āptum arhatīndriyaṃ vai vīryaṃ bṛhad yad bṛhatā stuvate indriye vā etad	Aptum arhati indriyam vE vIryam bRhat yat bRhatA stuvate indriye vE etat 
   vīrye tato yajñasya yajamānaḥ pratitiṣṭhati //MS_1,11.9//	vIrye tatas yajQasya yajamAnaH pratitizWati //n= _1,11.9//
   san : FN emended. Ed.: sa. cf. KS.14.10:209.1	san : F ema inded. Ed.: sa. cf. KS.14.10:209.1
   stuvate : FN sic	stuvate : FN sic
   agnir ekākṣarām udajayad aśvinau dvyakṣarāṃ viṣṇus tryakṣarāṃ somaś	agniH eka akzarAm udajayat aSvinO dvi akzarAm vizNuH tri akzarAm somaS
   caturakṣarāṃ savitā pañcākṣarāṃ pūṣā ṣaḍakṣarāṃ marutaḥ saptākṣarāṃ	catur akzarAm savitA paQcAkzarAm pUzA zaz akzarAm marutaH sapta akzarAm
   bṛhaspatir aṣṭākṣarāṃ mitro navākṣarāṃ varuṇo daśākṣarām indrā	bRhaspatiH azwa akzarAm mitraH nava akzarAm varuNaH daSa akzarAm indrA
   ekādaśākṣarāṃ viśve devā dvādaśākṣarāṃ vasavas trayodaśākṣarāṃ rudrāś	ekAdaSa akzarAm viSve devAH dvAdaSa akzarAm vasavaH trayodaSa akzarAm rudrAH 
   caturdaśākṣarām ādityāḥ pañcadaśākṣarām aditiḥ ṣoḍaśākṣarāṃ prajāpatiḥ	caturdaSa akzarAm AdityAH paQcadaSa akzarAm aditiH zoxaSa akzarAm prajApatiH
   saptadaśo 'gnir ekākṣarayā vācam udajayad aśvinau dvyakṣarayā prāṇāpānā	saptadaSaH agniH eka akzarayA vAcam udajayat aSvinO dvi akzarayA prANa apAnA
   udajayatāṃ viṣṇus tryakṣarayā trīṇ imāṃl lokān udajayat somaś	udajayatAm vizNuH tri akzarayA trIN imAn lokAn udajayat somaS
   caturakṣarayā catuṣyadaḥ paśūn udajayat savitā pañcākṣarayā pañca diśā	catur akzarayA catuzyadaH paSUn udajayat savitA paQca akzarayA paQca diSA
   udajayat pūṣā ṣaḍakṣarayā ṣaḍ ṛtūn udajayan marutaḥ saptākṣarayā	udajayat pUzA zaz akzarayA zaw RtUn udajayan marutaH sapta akzarayA
   saptapadāṃ śakvarīm udajayan bṛhaspatir aṣṭākṣarayāṣṭau diśā udajayac	sapta padAm SakvarIm udajayan bRhaspatiH azwa akzarayA azwO diSAH udajayat 
   catasro diśas catasro 'kuśalīr mitro navākṣarayā nava prāṇān udajayad	catasraH diSaH catasraH akuSalIH mitraH nava akzarayA nava prANAn udajayat 
   varuṇo daśākṣarayā virājam udajayad indrā ekādaśākṣarayā triṣṭubham	varuNaH daSa akzarayA virAjam udajayat indrAH ekAdaSa akzarayA trizwuBam
   udajayad viśve devā dvādaśākṣarayā jagatīm udajayan vasavas	udajayat viSve devAH dvAdaSa akzarayA jagatIm udajayan vasavaH 
   trayodaśākṣarayā trayodaśaṃ māsam udajayan rudrāś caturdaśākṣarayā	trayodaSa akzarayA trayodaSam mAsam udajayan rudrAH caturdaSa akzarayA
   caturdaśaṃ māsam udajayann ādityāḥ pañcadaśākṣarayā pañcadaśaṃ māsam	caturdaSam mAsam udajayan AdityAH paQcadaSa akzarayA paQcadaSam mAsam
   udajayann aditiḥ ṣoḍaśākṣarayā ṣoḍaśaṃ māsam udajayat prajāpatiḥ saptadaśo	udajayan aditiH zoxaSa akzarayA zoxaSam mAsam udajayat prajApatiH saptadaSaH 
   'gnir ekākṣarayodajayan mām imāṃ pṛthivīm aśvinau dvyakṣarayā pramām	agniH eka akzarayot ajayat mAm imAm pRTivIm aSvinO dvi akzarayA pramAm
   antarikṣaṃ viṣṇus tryakṣarayā pratimāṃ svargaṃ lokaṃ somaś	antarikzam vizNuH tri akzarayA pratimAm svargam lokam somaS
   caturakṣarayāśrīvīr nakṣatrāṇi savitā pañcākṣarayākṣarapaṅktim udajayad yā	catur akzarayA aSrIvIH nakzatrANi savitA paQca akzarayA akzara paFktim udajayat yA
   hy akṣarapaṅktiḥ sā paṅktiś caturdhā hy etasyāḥ pañca pañcākṣarāṇi pūṣā	hi akzarapaFktiH sA paFktiH caturDA hi etasyAH paQca paQcAkzarANi pUzA
   ṣaḍakṣarayā gāyatrīm udajayac caturdhā hy etasyāḥ ṣaṭ ṣaḍakṣarāṇi marutaḥ	zaz akzarayA gAyatrIm udajayat caturDA hi etasyAH zaw zaz akzarANi marutaH
   saptākṣarayoṣṇiham udajayaṃś caturdhā hy etasyāḥ spta saptākṣarāṇi	sapta akzarayozNiham udajayan caturDA hi etasyAH spta sapta akzarANi
   bṛhaspatir aṣṭākṣarayānuṣṭubham udajayac caturdhā hy etasyā aṣṭāṣṭā	bRhaspatiH azwa akzarayA anuzwuBam udajayat caturDA hi etasyAH azwa azwA
   akṣarāṇi mitro navākṣarayā bṛhatīm udajayac caturdhā hy etasyā nava	akzarANi mitraH nava akzarayA bRhatIm udajayat caturDA hi etasyAH nava
   navākṣarāṇi varuṇo daśākṣarayā virājam udajayac caturdhā hy etasyā daśa	nava akzarANi varuNaH daSa akzarayA virAjam udajayat caturDA hi etasyAH daSa
   daśākṣarāṇīndrā ekādaśākṣarayā triṣṭubham udajayac caturdhā hy etasya	daSa akzarANi indrAH ekAdaSa akzarayA trizwuBam udajayat caturDA hi etasya
   ekādaśaikādaśākṣarāṇi viśve devā dvādaśākṣarayā jagatīm udajayaṃś caturdhā	ekAdaSa ekAdaSa akzarANi viSve devAH dvAdaSa akzarayA jagatIm udajayan caturDA
   hy etasyā dvādaśa dvādaśākṣarāṇi vasavas trayodaśākṣarayā trayodaśaṃ māsam	hi etasyAH dvAdaSa dvAdaSa akzarANi vasavaH trayodaSa akzarayA trayodaSam mAsam
   udajayan rudrāś caturdaśākṣarayā caturdaśaṃ māsam udajayann ādityāḥ	udajayan rudrAH caturdaSa akzarayA caturdaSam mAsam udajayan AdityAH
   pañcadaśākṣarayā pañcadaśaṃ māsam udajayann aditiḥ ṣoḍaśākṣarayā ṣoḍaśaṃ	paQcadaSa akzarayA paQcadaSam mAsam udajayan aditiH zoxaSa akzarayA zoxaSam
   māsam udajayat prajāpatiḥ saptadaśo 'gnayā ekākṣarayā chandase	mAsam udajayat prajApatiH saptadaSaH agnayA eka akzarayA Candase
   svāhāśvibhyāṃ dvyakṣarāya chandase svāhā viṣṇave tryakṣarāya chandase	svAhA aSviByAm dvi akzarAya Candase svAhA vizNave tri akzarAya Candase
   svāhā somāya caturakṣarāya chandase svāhā savitre pañcākṣarāya chandase	svAhA somAya catur akzarAya Candase svAhA savitre paQcAkzarAya Candase
   svāhā pūṣṇe ṣaḍakṣarāya chandase svāhā marudbhyaḥ saptākṣarāya chandase	svAhA pUzNe zaz akzarAya Candase svAhA marudByaH sapta akzarAya Candase
   svāhā bṛhaspataye 'ṣṭākṣarāya chandase svāhā mitrāya navākṣarāya chandase	svAhA bRhaspataye azwa akzarAya Candase svAhA mitrAya nava akzarAya Candase
   svāhā varuṇāya daśākṣarāya chandase svāhendrāyaikādaśākṣarāya chandase	svAhA varuNAya daSa akzarAya Candase svAhA indrAya ekAdaSa akzarAya Candase
   svāhā viśvebhyo devebhyo dvādaśākṣarāya chandase svāhā vasubhyas	svAhA viSveByaH deveByaH dvAdaSa akzarAya Candase svAhA vasuByaH 
   trayodaśākṣarāya chandase svāhā rudrebhyaś caturdaśākṣarāya chandase	trayodaSa akzarAya Candase svAhA rudreByaH caturdaSa akzarAya Candase
   svāhādityebhyaḥ pañcadaśākṣarāya chandase svāhādityai ṣoḍaśākṣarāya	svAhA AdityeByaH paQcadaSa akzarAya Candase svAhA AdityE zoxaSa akzarAya
   chandase svāhā prajāpatiḥ saptadaśaḥ //MS_1,11.10//	Candase svAhA prajApatiH saptadaSaH //n= _1,11.10//
   aṣṭāṣṭā : FN Correcturen und Conjecturen zu dem ganzen Werk.	azwa azwAH : FN Corret turet und Conjet turet zu dem ganzet Werk.
   [Page II,1]	[Pa ge II,1]
   aindrāgnam ekādaśakapālaṃ nivarped yasya sajātā vīyāyur ojo vai vīryam	EndrAgnam ekAdaSa kapAlam nivarpet yasya sajAtAH vIya AyuH ojaH vE vIryam
   indrāgnī ojasaivainān vīryeṇa punar upāsyata aindrāgnam ekādaśakapālaṃ	indra agnI ojasA eva enAn vIryeNa punar upAsyata EndrAgnam ekAdaSa kapAlam
   nivarped bhrātṛvyavān ojo vai vīryam indrāgnī ojasaivainān	nivarpet BrAtRvyavAn ojaH vE vIryam indra agnI ojasA eva enAn
   vīryeṇābhibhavaty aindrāgnam ekādaśakapālaṃ nirvapet prajākāmo yo 'laṃ	vIryeNa aBiBavati EndrAgnam ekAdaSa kapAlam nirvapet prajA kAmaH yaH alam
   prajāyai san prajāṃ na vindeta prajāpater vā indrāgnī prajām apāgūhatāṃ tā	prajAyE san prajAm na vindeta prajApateH vA indra agnI prajAm apAgUhatAm tA
   etena bhāgadheyenopādhāvat tā asmai prajāṃ punar adattām indrāgnī khalu vā	etena BAgaDeyena upADAvat tAH asmE prajAm punar adattAm indra agnI Kalu vA
   etasya prajām upagūhato yo 'laṃ prajāyai san prajāṃ na vindate tā eva	etasya prajAm upagUhataH yaH alam prajAyE san prajAm na vindate tAH eva
   bhāgadheyenopāsarat tā asmai prajāṃ punar datto vindadvatī yājyānuvākye	BAgaDeyena upAsarat tAH asmE prajAm punar dattaH vindadvatI yAjyA anuvAkye
   bhavato vittyā evaindrāgnam ekādaśakapālaṃ nirvapet saṃgrāmam abhiprayān	BavataH vittyAH eva EndrAgnam ekAdaSa kapAlam nirvapet saMgrAmam aBiprayAn
   ojo vai vīryam indrāgnī ojasaivainaṃ vīryeṇābhiprayāty aindrāgnam	ojaH vE vIryam indra agnI ojasA eva enam vIryeNa aBiprayAti EndrAgnam
   ekādaśakapālaṃ nirvapet saṃgrāmaṃ saṃyatyaujo vai vīryam indrāgnī	ekAdaSa kapAlam nirvapet saMgrAmam saMyati a ojaH vE vIryam indra agnI
   ojasaivainaṃ vīryeṇa jayati sa yadā saṃgrāmaṃ jayed athaindrāgnam	ojasA eva enam vIryeNa jayati sa yadA saMgrAmam jayet aTa EndrAgnam
   ekādaśakapālaṃ nivarped ojasā vā eṣa vīryeṇa vhṛdhyate yaḥ saṃgrāmaṃ	ekAdaSa kapAlam nivarpet ojasA vE eza vIryeNa vhRDyate yaH saMgrAmam
   jayaty ojo vīryam indrāgnī ojasaivainaṃ vīryeṇa samardhayata aindrāgnam	jayati ojaH vIryam indra agnI ojasA eva enam vIryeNa samarDayate EndrAgnam
   ekādaśakapālaṃ nivarpet pauṣṇaṃ caruṃ janatām abhiprayān ojo vai vīryam	ekAdaSa kapAlam nivarpet pOzNam carum janatAm aBiprayAn ojaH vE vIryam
   indrāgnī ojasainaināṃ vīryeṇābhiprayāti puṣā vīryasyānupradātā so 'smai	indra agnI ojasA ena enAm vIryeNa aBiprayAti puzA vIryasya anupradAtA saH asmE
   viryam anuprayachaty aindrāgnam ekādaśakapālaṃ nirvapet pauṣṇaṃ caruṃ	viryam anuprayaCati EndrAgnam ekAdaSa kapAlam nirvapet pOzNam carum
   kṣetrasya pataye caruṃ kṣetram adhyavasyann ojo vai vīryam indrāgnī	kzetrasya pataye carum kzetram aDyavasyan ojaH vE vIryam indra agnI
   ojasaivāsmai vīryeṇa lokaṃ vindataḥ pūṣā vīryasyānupradātā so 'smai vīryam	ojasA eva asmE vIryeNa lokam vindataH pUzA vIryasya anupradAtA saH asmE vIryam
   anuprayachatīyaṃ kṣetrasya patny asyām eva pratitiṣṭhati	anuprayaCatIyam kzetrasya patnI asyAm eva pratitizWati
   //MS_2,1.1//MS_2,1.2//MS_2,1.3//	//n= _2,1.1//n= _2,1.2//n= _2,1.3//
   agnaye vaiśvānarāya dvādaśakapālaṃ nivarpet kāmāya saṃvatsaro vā agnir	agnaye vESvAnarAya dvAdaSa kapAlam nivarpet kAmAya saMvatsaraH vE agniH 
   vaiśvānaraḥ saṃvatsaro kāma āpyate saṃvatsaram evāpat so 'smai kāmam	vESvAnaraH saMvatsaraH kAmaH Apyate saMvatsaram eva Apad saH asmE kAmam
   āpnoti yatkāmo bhavaty agnaye vaiśvānarāya dvādaśakapālaṃ nirvapet	Apnoti yat kAmaH Bavati agnaye vESvAnarAya dvAdaSa kapAlam nirvapet 
   samāntam abhidhrokṣyan saṃvatsaro vā agnir vaiśvānaraḥ saṃvatsarāya	samA antam aBiDrokzyan saMvatsaraH vE agniH vESvAnaraH saMvatsarAya
   samamyate saṃvatsaram evāptvā varuṇaṃ kāmam abhidruhyaty agnaye	samamyate saMvatsaram eva AptvA varuNam kAmam aBidruhyati agnaye
   vaiśvānarāya dvādaśakapālaṃ nirvapet saniṃ praiśyan saṃvatsaro vā agnir	vESvAnarAya dvAdaSa kapAlam nirvapet sanim prESyan saMvatsaraH vE agniH 
   vaiśvānaraḥ saṃvatsarāya pratigṛhyate saṃvatsaram evāptvā sātāṃ saniṃ	vESvAnaraH saMvatsarAya pratigRhyate saMvatsaram eva AptvA sAtAm sa niM
   vanute sa yadā vanvītāthāgnaye vaiśvānarāya dvādaśakapālaṃ nirvapet	vanute sa yadA vanvIta aTa agnaye vESvAnarAya dvAdaSa kapAlam nirvapet 
   saṃvatsaro vā agnir vaiśvānaraḥ saṃvatsaram eṣa prayuṅkte saṃvatsara	saMvatsaraH vE agniH vESvAnaraH saMvatsaram eza prayuFkte saMvatsara
   etasmai vanute tam eva bhāginam akas taṃ vyamaug yaṃ dviśyāt tasmai	etasmE vanute tam eva BAginam akaH tam vyamOj yam dvi SyAt tasmE
   dakśiṇāṃ dadyāt pāśena vā eśa carati tam evāsmin pratimuñcaty ekahāyano	dakSiNAm dadyAt pASena vE eSa carati tam eva asmin pratimuQcati eka hAyanaH 
   gaur dakṣiṇā sa hi saṃvatsarasya pratimāgnaye vaiśvānarāya dvādaśakapālaṃ	gOH dakziNA sa hi saMvatsarasya pratimA agnaye vESvAnarAya dvAdaSa kapAlam
   nirvaped anannam atsyan saṃvatsaro vā agnir vaiśvānaraḥ	nirvapet anannam atsyan saMvatsaraH vE agniH vESvAnaraH
   saṃvatsarāyaivainad apyadhāt sa yadānannam adyād athāgnaye vaiśavānarāya	saMvatsarAya eva enat api aDAt sa yadA anannam adyAt aTa agnaye vESavAnarAya
   dvādaśakapālaṃ nirvaped yad evādo 'nannam atti tad asmai saṃvatsaraḥ	dvAdaSa kapAlam nirvapet yat eva AdaH anannam atti tat asmE saMvatsaraH
   svadayati svaditam evātti sīsaṃ dakṣiṇā kṛṣṇaṃ vā vāso 'nannaṃ vai sīsam	svadayati svaditam eva atti sIsam dakziNA kRzNam vA vAsaH anannam vE sIsam
   anannaṃ kṛṣṇam anannenaivānannam apahatyānnādyam ātman dhatte 'gnaye	anannam kRzNam anannena eva anannam apahatya annAdyam Atman Datte agnaye
   vaiśvānarāya dvādaśakapālaṃ nirvapet saṃgrāmam abhiprayān saṃvatsaro vā	vESvAnarAya dvAdaSa kapAlam nirvapet saMgrAmam aBiprayAn saMvatsaraH vA
   agnir vaiśvānaraḥ saṃvatsareṇaivainam abhiprayāty agnaye vaiśvānarāya	agniH vESvAnaraH saMvatsareNa eva enam aBiprayAti agnaye vESvAnarAya
   dvādaśakapālaṃ nirvapet saṃgrāmaṃ saṃyatya yataro vai saṃgṛbhāṇayor	dvAdaSa kapAlam nirvapet saMgrAmam saMyatya yataraH vE saMgRBANayoH 
   āyatanavattaro bhavati sa jayatīyaṃ vā agnir vaiśvānara imām evāyatanam	AyatanavattaraH Bavati sa jayati iyam vE agniH vESvAnaraH imAm eva Ayatanam
   akṛtāsyāṃ parākraṃsta jayati saṃgrāmaṃ sa yadā saṃgrāmaṃ jayed athāgnaye	akRta asyAm parAkraMsta jayati saMgrAmam sa yadA saMgrAmam jayet aTa agnaye
   vaiśvānarāya dvādaśakapālaṃ nirvapet saṃvatsaro vā agnir vaiśvānaraḥ	vESvAnarAya dvAdaSa kapAlam nirvapet saMvatsaraH vE agniH vESvAnaraH
   saṃvatsaram eṣa prayuṅkte saṃvatsara etasmai jayati tam eva bhāginam akas	saMvatsaram eza prayuFkte saMvatsaraH etasmE jayati tam eva BAginam akas
   taṃ vyamaug agnaye vaiśvānarāya dvādaśakapālaṃ nirvaped yaḥ kāmayetānena	tam vyamOg agnaye vESvAnarAya dvAdaSa kapAlam nirvapet yaH kAmayeta anena
   rājemān yavān vrīhīn v ādadhīyeti saṃvatsaro vā agnir vaiśvānaraḥ	rAja imAn yavAn vrIhIn v AdaDIya iti saMvatsaraH vE agniH vESvAnaraH
   saṃvatsaro 'nnādyasya pradātā tam eva bhāgadheyenopāsarat so 'smā annādyaṃ	saMvatsaraH annAdyasya pradAtA tam eva BAgaDeyena upAsarat saH asmE annAdyam
   prayachaty agnaye vaiśvānarāya dvādaśakapālaṃ nirvaped vāruṇaṃ yavamayam	prayaCati agnaye vESvAnarAya dvAdaSa kapAlam nirvapet vAruNam yava mayam
   carum āmayāvinaṃ yājayed varuṇagṛhīto vā eṣa ya āmayāvī varuṇād evainaṃ	carum AmayAvinam yAjayet varuNa gRhItaH vE eza yaH AmayAvI varuNAt eva enam
   tena muñcaty asau vā ādityo 'gnir vaiśvānaro 'munā vā enam etaṃ nigṛhītaṃ	tena muQcati asO vA AdityaH agniH vESvAnaraH amunA vE enam etam nigRhItam
   varuṇo gṛhṇāti tata enaṃ muktvā yāvān evāsyātmā taṃ varuṇān muñcati	varuNaH gRhNAti tatas enam muktvA yAvAn eva asya AtmA tam varuNAt muQcati
   vāruṇaṃ caruṃ nirvaped yavamayam iyantam agnaye vaiśvānarāya	vAruNam carum nirvapet yava mayam iyantam agnaye vESvAnarAya
   dvādaśakapālaṃ bhūtikāmaṃ yājayed varuṇagṛhīto vā eṣa yo bhūtikāmo varuṇād	dvAdaSa kapAlam BUti kAmam yAjayet varuNa gRhItaH vE eza yaH BUti kAmaH varuNAd
   evainaṃ tena muñcatīyāṃś carur bhavaty etāvān vā ātmā yāvān evāsyātmā taṃ	eva enam tena muQcatIyAn caruH Bavati etAvAn vA AtmA yAvAn eva asya AtmA tam
   varuṇāt muktvāsau vā ādityo 'gnir vaiśvānaro 'mum enam anvārambhayaty	varuNAt muktvA asO vA AdityaH agniH vESvAnaraH amum enam anvAramBayati 
   amuṣyainam ādityasya mātrāṃ gamayati //MS_2,1.2//	amuzya enam Adityasya mAtrAm gamayati //n= _2,1.2//
   iyantam : FN Correcturen und Conjecturen zu dem ganzen Werk.	iyantam : FN Corret turet und Conjet turet zu dem ganzet Werk.
   agnaye jātavedase 'ṣṭākapālaṃ nirvaped dadhikrāvṇā ekādaśakapālam agnaye	agnaye jAtavedase azwAkapAlam nirvapet daDi krAvNAH ekAdaSa kapAlam agnaye
   vaiśvānarāya dvādaśakapālaṃ yaḥ sarvavedasī prathamām iṣṭim ālabhetāgnir	vESvAnarAya dvAdaSa kapAlam yaH sarva vedasI praTamAm izwim AlaBeta agniH 
   vā etasya tad veda yatrāsyeṣṭaṃ yatra sukṛtam agnir evāsmai tad vindaty	vE etasya tat veda yatra asya izwam yatra sukRtam agniH eva asmE tat vindati 
   amedhyo vā eṣa yaḥ sarvaṃ dadāti tad dadhikrāvaivainaṃ medhyaṃ karoti	ameDyaH vE eza yaH sarvam dadAti tat daDikrAvA eva enam meDyam karoti
   saṃvatsaro vā agnir vaiśvānaraḥ saṃvatsaro vā etasya tad veda yatrāsyeṣṭaṃ	saMvatsaraH vE agniH vESvAnaraH saMvatsaraH vE etasya tat veda yatra asya izwam
   yatra sukṛtaṃ saṃvatsara evāsmai tad vindaty agnaye surabhimate	yatra sukRtam saMvatsaraH eva asmE tat vindati agnaye suraBimate
   'ṣṭākapālaṃ nirvaped abhiśasyamānaṃ yājayed rathaprotaṃ vai dārbhyam	azwAkapAlam nirvapet aBiSasyamAnam yAjayet raTa protam vE dArByam
   abhyaśaṃsaṃs taṃ kaulakāvatī abrūtāṃ tathā tvā yājayiṣyāvo yathā te 'nnam	aByaSaMsan tam kOlakAvatI abrUtAm taTA tvA yAjayizyAvaH yaTA te annam
   atsyanti yatra grāmyasya paśor nopaśṛṇavas tad gacha yas tvā kaś copāyat	atsyanti yatra grAmyasya paSoH na upaSRNavaH tat gaCa yaH tvA kaH ca upAyat
