   1. prathamaścittotpādaḥ	1. praTamaH citta utpAdaH
   kathaṃ jñātāḥ? abhūtā asaṃbhūtā avitathāḥ, naite tathā yathā	kaTam jQAtAH? aBUtAH asaMBUtAH avitaTAH, na ete taTA yaTA
   bālapṛthagjanaiḥ kalpitāḥ / naite tathā yathā bālapṛthagjanairlabdhāḥ /	bAla pRTagjanEH kalpitAH / na ete taTA yaTA bAla pRTagjanEH labDAH /
   tenocyate bodhisattvā iti / tatkasya hetoḥ? akalpitā avikalpitā hi bodhiḥ,	tena ucyate boDisattvAH iti / tat kasya hetoH? akalpitA avikalpitA hi boDiH,
   aviṭhapitā hi bodhiḥ, anupalambhā hi bodhiḥ / na hi	aviWapitA hi boDiH, anupalamBA hi boDiH / na hi
   suvikrāntavikrāmiṃstathāgatena bodhirlabdhā /	su vikrAnta vikrAmin= taTAgatena boDiH labDAH /
   alambhātsarvadharmāṇāmanupalambhātsarvadharmāṇāṃ bodhirityucyate / evaṃ	alamBAt sarva DarmANAm anupalamBAt sarva DarmANAm boDiH iti ucyate / evam
   buddhabodhirityucyate, na punaryathocyate / yena suvikrāntavikrāmin	budDa boDiH iti ucyate, na punar yaTA ucyate / yena su vikrAnta vikrAmin
   bodhāya cittamutpādayanti idaṃ cittaṃ bodhāyotpādayiṣyāma iti bodhiṃ	boDAya cittam utpAdayanti idam cittam boDAya utpAdayizyAmaH iti boDim
   manyante, astyasau bodhiryasyāṃ vayaṃ cittamutpādayiṣyāma iti, na te	manyante, asti asO boDiH yasyAm vayam cittam utpAdayizyAmaH iti, na te
   bodhisattvā ityucyante, utpannasattvāsta ucyante / tatkasmāddhetoḥ? tathā	boDisattvAH iti ucyante, utpannasattvAH te ucyante / tat kasmAt hetoH? taTA
   hi utpādābhiniviṣṭāścittābhiniviṣṭā bodhimabhiniviśante /" ityādi uktam /	hi utpAda aBinivizwAH citta aBinivizwAH boDim aBiniviSante /" ityAdi uktam /
   punaśca  "alakṣaṇā hi bodhirlakṣaṇasvabhāvavinivṛttā / ya evamanubodhaḥ,	punar ca "a lakzaNA hi boDiH lakzaNa svaBAva vinivRttAH / yaH evam anuboDaH,
   iyamucyate bodhiriti, na punaryathocyate / eṣāṃ hi suvikrāntavikrāmin	iyam ucyate boDiH iti, na punar yaTA ucyate / ezAm hi su vikrAnta vikrAmin
   dharmāṇāmanubodhatvādvodhisattva ityucyate / yo hi kaścit	DarmANAm anuboDa tvAt voDisattvaH iti ucyate / yaH hi kaScid 
   suvikrāntavikrāmin imān dharmānaprajānannanavabudhyamāno bodhisattva	su vikrAnta vikrAmin imAn DarmAn aprajAnan= anavabuDyamAnaH boDisattva
   ityātmānaṃ pratijānīte, dūre tasya bodhisattvasya bodhisattvabhūmiḥ, dūre	iti AtmAnam pratijAnIte, dUre tasya boDisattvasya boDisattva BUmiH, dUre
   bodhisattvadharmāḥ, visaṃvādayati sadevamānuṣāsuraṃ lokaṃ bodhisattvanāmnā	boDisattva DarmAH, visaMvAdayati sa deva mAnuza asuram lokam boDisattva nAmnA
   / sacetpunaḥ suvikrāntavikrāmin vāṅmātreṇa bodhisattvo bhavet, tena	/ saced punar su vikrAnta vikrAmin vAc mAtreNa boDisattvaH Bavet, tena
   sarvasattvā api bodhisattvā bhaveyuḥ / naitatsuvikrāntavikrāmin vāṅmātraṃ	sarva sattvAH api boDisattvAH BaveyuH / na etat su vikrAnta vikrAmin vAc mAtram
   yaduta bodhisattvabhūmiriti /" ityādi uktam / yathoktaṃ bodhicittaṃ	yat uta boDisattva BUmiH iti /" ityAdi uktam / yaToktam boDi cittam
   prāptastu tasyām avasthāyāṃ bodhisattvaśabdadvārā eva kevalaṃ na ukto 'pi	prAptaH tu tasyAm avasTAyAm boDisattva Sabda dvArAH eva kevalam na uktaH api
   tu 	tu 
   gotre 'pi bhāvo 'sya tathāgatānāṃ tyaktaṃ trisaṃyojanamasya sarvam /	gotre api BAvaH asya taTAgatAnAm tyaktam tri saMyojanam asya sarvam /
   prāmoditāṃ prāpya sa bodhisattvaḥ kṣobdhuṃ samarthaḥ śatalokadhātum //	prAmoditAm prApya sa boDisattvaH kzobDum samarTaH Sata lokaDAtum //
   Madhy_1.6 //	MaDi _1.6 //
   pṛthagjanaśrāvakapratyekabuddhasarvabhūmyatītatvāt	pRTagjana SrAvaka pratyekabudDa sarva BUmi atIta tvAt 
   samantaprabhetitathāgatabhūmyanugāmimārgotpannatvācca sa bodhisattvaḥ	samanta praBA iti taTA gata BUmi anugAmi mArga utpanna tvAt ca sa boDisattvaH
   tathāgatagotrotpannaḥ / tadā pudgalanairātmyaṃ pratyakṣaṃ dṛṣṭvā iyaṃ	taTAgata gotra utpannaH / tadA pudgala nErAtmyam pratyakzam dRzwvA iyam
   satkāyadṛṣṭisaṃśayaśīlavrataparamārthateti saṃyojanatrayebhyo 'pi	sat kAya dRzwi saMSaya SIla vrata paramArTa tA iti saMyojana trayeByaH api
   sannivartate, teṣāṃ punaranutpādāya / tattvādraṣṭurātmani āropāt	sannivartate, tezAm punar anutpAdAya / tattvAt razwuH Atmani AropAt 
   satkāyadṛṣṭirbhavati, tathā saṃśayatastasyāparamārge 'pi gamanaṃ	satkAya dRzwiH Bavati, taTA saMSayataH tasya apara mArge api gamanam
   saṃbhāvyate, na cānyasya / niścayapraveśe tasya sahetukaguṇaprāptiḥ,	saMBAvyate, na ca anyasya / niScaya praveSe tasya sa hetuka guNa prAptiH,
   bhūmerasapakṣadoṣanivṛtteśca asāmānyaviśeṣamuditotpādād atipramuditāvaśāt	BUmeH asa pakza doza nivRtteH ca asAmAnya viSeza mudita utpAdAt ati pramudita avaSAt
   sa bodhisattvo 'gramuditām api dhārayati / pramodaviśeṣabhūtatvād iyam	sa boDisattvaH agramuditAm api DArayati / pramoda viSeza BUta tvAt iyam
   bhūmistu pramuditeti nāmāpi prāptā / śatalokadhātuṃ kṣobdhumapi samarthaḥ	BUmiH tu pramuditA iti nAma api prAptA / Sata lokaDAtum kzobDum api samarTaH
   prayāti bhūmeḥ khalu bhūmimūrdhvaṃ tadāsya mārgo kugaterniruddhaḥ /	prayAti BUmeH Kalu BUmim UrDvam tadA asya mArgaH kugateH nirudDaH /
   pṛthagjanasyāvanisaṃkṣayo 'sti yathāṣṭamāryaḥ kathitastathaiṣaḥ //	pRTagjanasya avani saMkzayaH asti yaTA azwam AryaH kaTitaH taTA ezaH //
   Madhy_1.7 //	MaDi _1.7 //
   iti //	iti //
   ayam yathāvabuddhadharmābhyāsād dvitīyabhūmyādyatikramātyutsāhād	ayam yaTA avabudDa Darma aByAsAt dvitIya BUmi Adi atikramAti utsAhAt 
   bhūmerbhūmiṃ samākramya ūrdhvaṃ prayāti / saṃkṣepeṇa yathā srotaāpannāryaḥ	BUmeH BUmim samAkramya UrDvam prayAti / saMkzepeNa yaTA srotaApannAryaH
   svānurūpāryadharmādhigamād doṣarahito guṇānvitaśca bhavati tathā asmin	sva anurUpArya Darma aDigamAt doza rahitaH guNa anvitaH ca Bavati taTA asmin
   bodhisattve 'pi bhūmyadhigamāt svasmin anurūpaguṇodbhavād doṣakṣayācca	boDisattve api BUmi aDigamAt svasmin anurUpa guNa udBavAt doza kzayAt ca
   strotaāpatterudāharaṇadvārā paridīpitam / ayam bodhisattvastu	strotaA patteH udAharaNa dvArA paridIpitam / ayam boDisattvaH tu
   sambodhicittodaya ādike 'pi pratyekabuddhān samunīndravāgjān /	samboDi citta udayaH Adike api pratyekabudDAn samuni indra vAc jAn /
   jittvaidhate puṇyabalena cāpi /	jit tu A eDate puNya balena ca api /
   yadasti tadaparo viśeṣaḥ, yathā  āryamaitrīvimokṣa uktam "tadyathā	yat asti tad aparaH viSezaH, yaTA Arya mEtrI vimokzaH uktam "tat yaTA
   kulaputra acirajāto rājaputro mūrdhaprāptān sarvavṛddhāmātyānabhibhavati	kula putra acira jAtaH rAja putraH mUrDa prAptAn sarva vRdDa amAtyAn aBiBavati
   kulābhijātyādhipatyena, evameva	kula aBijAti a ADipatyena, evam eva
   acirotpāditabodhicittastathāgatadharmarājakulapratyājāta ādikarmiko	acira utpAdita boDi cittaH taTAgata DarmarAja kula pratyAjAtaH AdikarmikaH 
   bodhisattvaściracaritabrahmacaryān vṛddhaśrāvakānabhibhavati	boDisattvaH cira carita brahmacaryAn vRdDa SrAvakAn aBiBavati
   bodhicittamahākaruṇādhipatyena /"	boDi citta mahA karuNa ADipatyena /"
   "tadyathā kulaputra, yo 'cirajātasya mahāgaruḍendrapotasya	"tat yaTA kula putra, yaH acira jAtasya mahA garuxa indra potasya
   pakṣavātabalaparākramo nayanapariśuddhiguṇaśca, sa sarvaśarīrapravṛddhānāṃ	pakza vAta bala parAkramaH nayana pariSudDi guNaH ca, sa sarva SarIra pravRdDAnAm
   tadanyeṣāṃ pakṣiṇāṃ na saṃvidyate, evameva yaḥ prathamacittotpādikasya	tad anyezAm pakziNAm na saMvidyate, evam eva yaH praTama citta utpAdikasya
   tathāgatamahāgaruḍendrasya kulagotrasaṃbhavasya	taTAgata mahA garuxa indrasya kula gotra saMBavasya
   bodhisattvamahāgaruḍendrapotasya sarvajñatācittotpādabalaparākramo	boDisattva mahA garuxa indra potasya sarvajQa tA citta utpAda bala parAkramaH 
   mahākaruṇādhyāśayanayanapariśuddhiguṇaśca, sa kalpaśatasahasraniryātānāṃ	mahA karuNa aDyASaya nayana pariSudDi guNaH ca, sa kalpa Sata sahasra niryAtAnAm
   sarvaśrāvakapratyekabuddhānāṃ na saṃvidyate /" ityādyuktavat /	sarva SrAvaka pratyekabudDAnAm na saMvidyate /" iti Adi ukta vat /
   dūraṅgamāyāṃ tu dhiyādhikaḥ syāt // Madhy_1.8 //	dUraFga mAyAm tu DiyA aDikaH syAt // MaDi _1.8 //
   āryadaśabhūmi(sūtre) 'pi  "tadyathāpi nāma bhavanto jinaputrāḥ,	Arya daSa BUmi(sUtre) api "tat yaTA api nAma BavantaH jinaputrAH,
   rājakulaprasūto rājaputro rājalakṣaṇasamanvāgato jātamātra eva	rAja kula prasUtaH rAja putraH rAja lakzaNa samanvAgataH jAta mAtre eva
   sarvāmātyagaṇamabhibhavati rājādhipatyena, na punaḥ svabuddhivicāreṇa /	sarva amAtya gaNam aBiBavati rAja ADipatyena, na punar sva budDi vicAreNa /
   yadā punaḥ sa saṃvṛddho bhavati tathā svabuddhibalādhānataḥ	yadA punar sa saMvRdDaH Bavati taTA sva budDi bala ADAnataH
   sarvāmātyakriyāsamatikrānto bhavati, evameva bho jinaputrāḥ, bodhisattvaḥ	sarva amAtya kriyA samatikrAntaH Bavati, evam eva Bo jinaputrAH, boDisattvaH
   sahacittotpādena	saha citta utpAdena
   sarvaśrāvakapratyekabuddhānabhibhavatyadhyāśayamāhātmyena, na punaḥ	sarva SrAvaka pratyekabudDa anaBiBavati aDyASaya mAhAtmyena, na punar 
   svabuddhivicāreṇa / asyāṃ tu saptamyāṃ bodhisattvabhūmau sthito	sva budDi vicAreNa / asyAm tu saptamyAm boDisattva BUmO sTitaH 
   bodhisattvaḥ	boDisattvaH
   svaviṣayajñānaviśeṣamāhātmyāvasthitatvātsarvaśrāvakapratyekabuddhakriyāmatikrānto	sva vizaya jQAna viSeza mAhAtmya avasTita tvAt sarva SrAvaka pratyekabudDa kriyAm atikrAntaH 
   bhavati" // iti yathoktavat / ata evaṃ sati dūraṃgamata eva ārabhya	Bavati" // iti yaTA ukta vat / atas evam sati dUraMgamataH eva AraBya
   bodhisattvaḥ sva buddhibalotpādane 'pi	boDisattvaH sva budDi bala utpAdane api
   śrāvakapratyekabuddhāṃścābhibhavati, na cādhobhūmiṣviti jñeyam /	SrAvaka pratyekabudDAn= ca aBiBavati, na ca aDas BUmizu iti jQeyam /
   asmādāgamāt sarvaśrāvakapratyekabuddheṣvapi	asmAt AgamAt sarva SrAvaka pratyekabudDezu api
   sarvadharmaniḥsvabhāvatājñānamapi astīti nirbhāseta / asati ca tathā	sarva Darma niHsvaBAvatA jQAnam api asti iti nirBAseta / asati ca taTA
   niḥsvabhāvabhāvaparijñānarahitatvāt laukikavītarāgavat tānapi	niHsvaBAva BAva parijQAna rahita tvAt lOkika vIta rAga vat tAn api
   prathamacittotpādabodhisattvā api svabuddhivicāreṇāpi abhibhavanti /	praTama citta utpAda boDisattvAH api sva budDi vicAreNa api aBiBavanti /
   tīrthikavat eteṣāṃ tridhātuṣu caryāyā sarvakleśaprahāṇamapi na bhavati /	tIrTika vat etezAm triDAtuzu caryAyAH sarva kleSa prahANam api na Bavati /
   rūpādīnāṃ svalakṣaṇāvalambanaviparyayāt pudgalanairātmyabodho 'pi na	rUpa AdInAm sva lakzaNa avalambana viparyayAt pudgala nErAtmya boDaH api na
   bhavati, ātmaprajñaptihetuskandhāvalambanāt / yathā ratnāvalyām uktam 	Bavati, Atma prajQapti hetu skanDa avalambanAt / yaTA ratnAvalyAm uktam 
   "skandhagrāho yāvadasti tāvadevāhamityapi /	"skanDa grAhaH yAvat asti tAvat eva aham iti api /
   ahaṅkāre sati punaḥ karma janma tataḥ punaḥ //	ahaFkAre sati punar karma janma tatas punar //
   trivartmaitadanādyantamadhyaṃ saṃsāramaṇḍalam /	tri vartmA etat anAdi anta maDyam saMsAra maNxalam /
   alātamaṇḍalaprakhyaṃ bhramatyanyonyahetukam //	alAta maNxala praKyam Bramati anyonya hetukam //
   svaparobhayatastasya traikālye cāpyanāptitaḥ /	sva para uBayataH tasya trEkAlye ca api anAptitaH /
   ahaṅkāraḥ kṣayaṃ yāti tataḥ karma ca janma ca //	ahaFkAraH kzayam yAti tatas karma ca janma ca //
   "iti //	"iti //
   api ca 	api ca 
   alātacakraṃ gṛhṇāti yathā cakṣurviparyayāt /	alAta cakram gRhNAti yaTA cakzuH viparyayAt /
   tathendriyāṇi gṛhṇanti viṣayān sāmpratāniva //	taTA indriyANi gRhNanti vizayAn sAmpratAn iva //
   indriyāṇīndriyārthāśca pañcabhūtamayā matāḥ /	indriyANi indriya arTAH ca paQcaBUta mayAH matAH /
   pratisvaṃ bhūtavaiyarthyādeṣāṃ vyarthatvamarthataḥ //	pratisvam BUta vEyarTyAt ezAm vyarTa tvam arTataH //
   nirindhano 'gnirbhūtānāṃ vinirbhāge prasajyate /	nirinDanaH agniH BUtAnAm vinirBAge prasajyate /
   samparke lakṣaṇābhāvaḥ śeṣeṣvapyeṣa nirṇayaḥ //	samparke lakzaNa aBAvaH Sezezu api eza nirNayaH //
   dvidhāpi bhūtānāṃ vyarthatvātsaṅgatirvṛthā /	dviDA api BUtAnAm vyarTa tvAt saFgatiH vRTA /
   rthatvātsaṅgateścaivaṃ rūpaṃ vyarthamato 'rthataḥ //	rTa tvAt saFgateH ca evam rUpam vyarTam atas arTataH //
   vijñānavedanāsaṃjñāsaṃskārāṇāṃ ca sarvaśaḥ /	vijQAna vedanA saMjQA saMskArANAm ca sarvaSas /
   pratyekamātmavaiyarthyād vaiyarthyaṃ paramārthataḥ //	pratyekam Atma vEyarTyAt vEyarTyam paramArTataH //
   sukhābhimāno duḥkhasya pratīkāre yathārthataḥ /	suKa aBimAnaH duHKasya pratIkAre yaTArTataH /
   tathā duḥkhābhimāno 'pi sukhasya pratighātajaḥ //	taTA duHKa aBimAnaH api suKasya pratiGAta jaH //
   sukhe saṃyogatṛṣṇaivaṃ naiḥsvābhāvyāt prahīyate /	suKe saMyoga tRzNA evam nEHsvABAvyAt prahIyate /
   duḥkhe viyogatṛṣṇā ca paśyatāṃ muktirityataḥ //	duHKe viyoga tRzNA ca paSyatAm muktiH iti atas //
   kaḥ paśyatīti ceccitaṃ vyavahāreṇa kathyate /	kaH paSyati iti ced citam vyavahAreNa kaTyate /
   nahi caittaṃ vinā cittaṃ vyarthatvātra saheṣyate //	na hi cEttam vinA cittam vyarTa tva atra saha izyate //
   vyarthamevaṃ jaganmatvā yathābhūtyātrirāspadaḥ /	vyarTam evam jagat matvA yaTABUtyAtriH AspadaH /
   nirvāti nirupādāno nirupādānavahnivat // "iti //	nirvAti nirupAdAnaH nirupAdAna vahni vat // "iti //
   bodhisattvaireva tathā niḥsvabhāvatayā dṛṣṭam iti cet, na cāpi tat,	boDisattvEH eva taTA niHsvaBAva tayA dRzwam iti cet, na ca api tat,
   śrāvakān pratyekabuddhāṃścādhikṛtya tathoktatvāt / kathamidaṃ jñāyata iti?	SrAvakAn pratyekabudDAn= ca aDikRtya taTA ukta tvAt / kaTam idam jQAyate iti?
   vakṣyate  samanantarameva bodhisattvān adhikṛtya  "bodhisattvo 'pi	vakzyate samanantaram eva boDisattvAn aDikRtya "boDisattvaH api
   dṛṣṭvaivaṃ sambodhau niyato mataḥ / kevalaṃ tvasya	dRzwvA evam samboDO niyataH mataH / kevalam tu asya
   kāruṇyādābodherbhavasantatiḥ //"	kAruNyAt AboDeH Bava santatiH //"
   ityādi uktatvāt / śrāvakadeśanāsūtreṣvapi śrāvakānāṃ	ityAdi ukta tvAt / SrAvaka deSanA sUtrezu api SrAvakAnAm
   kleśāvaraṇaprahāṇārtham  "phenapiṇḍopamaṃ rūpaṃ vedanā budbudopamā /	kleSa AvaraNa prahANa arTam "Pena piNxa upamam rUpam vedanA budbuda upamA /
   marīcisadṛśī saṃjñā saṃskārāḥ kadalīnibhāḥ / māyopamaṃ ca	marIci sadRSI saMjQA saMskArAH kadalI niBAH / mAyA upamam ca
   vijñānamuktamādityabandhunā //"	vijQAnam uktam Aditya banDunA //"
   ityādinā phenapiṇḍajalabudbudamarīcijalakadalīskandhamāyādyudāharaṇena	ityAdinA Pena piNxa jala budbuda marIci jala kadalI skanDa mAyA Adi udAharaNena
   saṃskārā nirṇītā ācāryapādaiḥ  "anutpādo mahāyāne pareṣāṃ śūnyatā kṣayaḥ /	saMskArAH nirNItAH AcArya pAdEH "anutpAdaH mahAyAne parezAm SUnyatA kzayaH /
   kṣayānutpādayoścaikyamarthataḥ kṣamyatāṃ yataḥ //" iti //	kzaya anutpAdayoH ca Ekyam arTataH kzamyatAm yatas //" iti //
   tathā ca 	taTA ca 
   kātyāyanāvavāde cāstīti nāstīti cobhayam /	kAtyAyana avavAde ca asti iti na asti iti ca uBayam /
   pratiṣiddhaṃ bhagavatā bhāvābhāvavibhāvinā //	pratizidDam BagavatA BAva aBAva viBAvinA //
   śrāvakayāne 'pi dharmanairātmyaṃ deśitamiti tadā mahāyānadeśanā vyarthā	SrAvaka yAne api Darma nErAtmyam deSitam iti tadA mahAyAna deSanA vyarTA
   syāditi tanmatamapi evaṃ yuktyāgamābhyāṃ viruddhaṃ budhyate /	syAt iti tat matam api evam yukti AgamAByAm virudDam buDyate /
   mahāyānadeśanā dharmanairātmyamātrasya deśanā nāsti apitu bodhisattvānāṃ	mahAyAna deSanA Darma nErAtmya mAtrasya deSanA na asti apitu boDisattvAnAm
   bhūmipāramitāpraṇidhānamahākaruṇādipariṇāmanāsambhāradvaya acintyadharmatāśca	BUmi pAramitA praNiDAna mahA karuNa Adi pariNAmanA samBAra dvaya  acintya DarmatAH ca
   santi / yathā ratnāvalyāmuktam 	santi / yaTA ratna AvalyAm uktam  
   na bodhisattvapraṇidhirna caryā pariṇāmanā /	na boDisattva praNiDiH na caryA pariNAmanAH /
   uktā śrāvakayāne 'smād bodhisattvaḥ kutastataḥ //	uktA SrAvaka yAne asmAt boDisattvaH kutas tatas //
   iti //	iti //
   bodhicaryāpratiṣṭhārthaṃ na sūtre bhāṣitaṃ vacaḥ /	boDi caryA pratizWA arTam na sUtre BAzitam vacaH /
   bhāṣitaṃ ca mahāyāne grāhyamasmād vicakṣaṇaiḥ //	BAzitam ca mahAyAne grAhyam asmAt vicakzaNEH //
   dharmanairātmyaprakāśāya mahāyānadeśanāpi yuktā eva, vistṛtadeśanāyā	Darma nErAtmya prakASAya mahA yAna deSanA api yuktAH eva, vistRta deSanAyAH 
   vivakṣitatvāt / śrāvakayāne tu dharmanairātmyaṃ saṃkṣiptalakṣaṇamātreṇa	vivakzita tvAt / SrAvaka yAne tu Darma nErAtmyam saMkzipta lakzaNa mAtreNa
   samāpyate / yathā ācāryapādairuktam  animittamanāgamya mokṣo nāsti	samApyate / yaTA AcArya pAdEH uktam animittam anAgamya mokzaH na asti
   tvamuktavān / atastvayā mahāyāne tat sākalyena darśitam //	tvam uktavAn / atas tvayA mahAyAne tat sAkalyena darSitam //
   ānuṣaṃgikatvena paryāptam / ata eva anākulabuddheḥ	AnuzaMgika tvena paryAptam / atas eva anAkula budDeH
   svayamevārthatattvāvabodhasamarthatvāt prakṛtamevābhidhīyate /	svayam eva arTa tattva avaboDa samarTa tvAt prakRtam eva aBiDIyate /
   tadātra sambuddhasubodhiheturbhavet pradhānaṃ hyatireki dānam /	tadA atra sambudDa suboDi hetuH Bavet praDAnam hi atireki dAnam /
   tasya pramuditābhūmiprāptabodhisattvasya	tasya pramuditA BUmi prApta boDisattvasya
   dānaśīlakṣāntivīryasamādhiprajñā upāyapraṇidhānabalajñāneṣviti daśasu	dAna SIla kzAnti vIrya samADi prajQA  upAya praNiDAna bala jQAnezu iti daSasu
   dānapāramitaiva atiricyate, kintu na tadbhinnānāmabhāvaḥ /	dAna pAramitA eva atiricyate, kintu na tad BinnAnAm aBAvaH /
   taddānamapi sarvākārajñatāyāḥ pradhāno hetuḥ /	tat dAnam api sarva AkAra jQa tAyAH praDAnaH hetuH /
   svamāṃsadāne 'pi kṛtādaratvād bhavedadṛṣṭe 'pyanumānahetuḥ // Madhy_1.9 //	sva mAMsa dAne api kRta Adara tvAt Bavet adRzwe api anumAna hetuH // MaDi _1.9 //
   tasya bodhisattvasya adṛṣṭā guṇā bodhādayo ye ke 'pi santi te 'pi	tasya boDisattvasya adRzwAH guNAH boDa AdayaH ye ke api santi te api
   bāhyābhyantarasvavastudānaviśeṣānumānenaiva sphuṭam anumīyante, dhūmādinā	bAhya aByantara sva vastu dAna viSeza anumAnena eva sPuwam anumIyante, DUma AdinA
   vahnayādivat / yathā bodhisattvānāṃ dānaṃ buddhatvasya	vahnaya Adi vat / yaTA boDisattvAnAm dAnam budDatvasya
   pradhānaheturapratyakṣaguṇanirṇayalakṣaṇo 'sti tathā	praDAna hetuH apratyakza guNa nirNaya lakzaNaH asti taTA
   pṛthagjanaśrāvakapratyekabuddhānāmapi duḥkhapratikārasya	pRTagjana SrAvaka pratyekabudDAnAm api duHKa pratikArasya
   ātyantikasukhaprāpteśca heturiti deśitukāmena 	Atyantika suKa prApteH ca hetuH iti deSitu kAmena 
   sukhābhilāṣī hi janastu sarvaḥ sukhaṃ na sampattimapāsya loke /	suKa aBilAzI hi janaH tu sarvaH suKam na sampattim apAsya loke /
   dhanaṃ tu dānodgatameva buddhvā muniḥ pradhānaṃ samuvāca dānam //	Danam tu dAna udgatam eva budDvA muniH praDAnam samuvAca dAnam //
   Madhy_1.10 //	MaDi _1.10 //
   uktam / kṣuttṛḍrogaśītādipratipakṣo duḥkhapratikāramātraṃ,	uktam / kzut tRz roga SIta Adi pratipakzaH duHKa pratikAra mAtraM,
   bhavasukhotpādahetupratibandhakaviparyamātreṇa	Bava suKa utpAda hetu pratibanDaka viparya mAtreNa
   svatvapravāhaparikalpitopaghātāpanayo 'sukhātmake loke 'tīva abhiniviṣṭaḥ	sva tva pravAha parikalpita upaGAta apanayaH asuKa Atmake loke atIva aBinivizwaH
   tathā tasya sukhābhilāṣiṇaḥ sukhaṃ duḥkhapratikāramātrasvabhāvam,	taTA tasya suKa aBilAziNaH suKam duHKa pratikAra mAtra svaBAvam,
   abhīṣṭaviṣayasampattiḥ duḥkhapratipakṣabhūḥ, viparyayātmano bhogaṃ vinā	aBIzwa vizaya sampattiH duHKa pratipakza BUH, viparyaya AtmanaH Bogam vinA
   notpādāvalambanam / duḥkhapratikārahetubhūtāste viṣayā api	na utpAda avalambanam / duHKa pratikAra hetu BUtAH te vizayAH api
   dānodbhūtapuṇyakriyāvastvasaṃcayeṣu notpadyanta iti vicārya bhagavān	dAna udBUta puNya kriyA vastu asaMcayezu na utpadyante iti vicArya BagavAn
   jagadaśeṣāśayasvabhāvajñaḥ śīlādisamākhyāneṣu sarvaprathamaṃ dānameva āha	jagat aSeza ASaya svaBAva jQaH SIla Adi samAKyAnezu sarva praTamam dAnam eva Aha
   / adhunā dāniprāṇinaḥ śīlavairūpye 'pi svakāryānukūlatvād dānamāhātmyam	/ aDunA dAni prANinaH SIla vErUpye api sva kArya anukUla tvAt dAna mAhAtmyam
   ākhyātumāha 	AKyAtum Aha 
   parīttakāruṇyasuduṣṭacittā vikurvate svārthaparā amī ye /	parIttaka aruNya su duzwa cittA vikurvate sva arTa parAH amI ye /
   tadiṣṭasampad vyasanapraśāntyai samudgatā dānata eva sāpi // Madhy_1.11 //	tat izwa sampad vyasana praSAntyE samudgatA dAnataH eva sA api // MaDi _1.11 //
   ye vaṇigvat svalpadhanatyāgena ativipulaphalasampatskandhārthecchavo 'pi	ye vaNigvat su alpa Dana tyAgena ati vipula Pala sampad skanDA arTa icCavaH api
   adhikatarārthārthino ditsādarāḥ, sugataputravat karuṇāparatantrā	aDikatara arTa arTinaH ditsAdarAH, sugata putra vat karuNA paratantrA
   dānaphalārtham anāyāsameva āditsotsavābhivardhanāste 'pi	dAna Pala arTam anAyAsam eva Aditsa utsava aBivarDanAH te api
   dānadoṣagrahaṇaparāṅamukhāḥ kevalaguṇagrahaṇotsāhaprāptā	dAna doza grahaNa parAFa muKAH kevala guNa grahaNa utsAha prAptA
   atiśayaiśvaryopasampadāḥ kāyāpriyaduḥkhakṣuttṛṣṇādināśanena	atiSaya ESvarya upasampadAH kAya apriya duHKa kzut tRzNA Adi nASanena
   duḥkhopaśāntiheturbhavanti / yasya niṣkaruṇasya svaduḥkhapratikārāpekṣayā	duHKa upaSAnti hetuH Bavanti / yasya nizkaruNasya sva duHKa pratikAra apekzayA
   eva ditsāyām ādaraḥ, so 'pi 	eva ditsAyAm AdaraH, saH api 
   kadācidasminnapi dānakāle drutaṃ hi labdhvāryajanābhisaṅgam /	kadAcid asmin= api dAna kAle drutam hi labDvA Aryajana aBisaFgam /
   tataḥ samucchidya bhavapravāhaṃ sahetukāṃ śāntimataḥ prayāti // Madhy_1.12	tatas samucCidya Bava pravAham sa hetukAm SAntimataH prayAti // MaDi _1.12
   ityuktam / dānapatestyāginaḥ samīpe sadbhirgantavyam iti dānādhimuktikā	iti uktam / dAnapateH tyAginaH samIpe sadBiH gantavyam iti dAna aDimuktikA
   dānakāle āryajanābhisaṃgāt tadupadeśataḥ saṃsāranirguṇatāṃ jñātvā nirmalam	dAna kAle Arya jana aBisaMgAt tad upadeSataH saMsAra nirguNa tAm jQAtvA nirmalam
   āryamārgaṃ sākṣātkurvanti, duḥkhopaśāntyā tyaktāvidyā	Arya mArgam sAkzAt kurvanti, duHKa upaSAntyA tyaktA avidyA
   bhavasantateranādikālataḥ pravṛtāṃ janmamaraṇaparamparāṃ tyaktvā	Bava santateH anAdi kAlatas pravRtAm janma maraNa paramparAm tyaktvA
   śrāvakapratyekabuddhayānaiḥ parinirvṛtā bhaviṣyanti / ataḥ sāmprataṃ	SrAvaka pratyekabudDa yAnEH parinirvRtAH Bavizyanti / atas sAmpratam
   bodhisattvānāṃ dānaṃ bhavanirvāṇasukhaprāptihetuḥ /	boDisattvAnAm dAnam Bava nirvANa suKa prApti hetuH /
   jagaddhitārthaṃ hi kṛtapratijñāḥ prayānti modaṃ na cireṇa dānaiḥ //	jagat hita arTam hi kRta pratijQAH prayAnti modam na cireNa dAnEH //
   abodhisattvāstu dānasamakālaṃ yathoktadānaphalaṃ niyataṃ na saṃbhuñjanti,	aboDisattvAH tu dAna sama kAlam yaTA ukta dAna Palam niyatam na saMBuQjanti,
