   śrīghanācārasaṃgrahaḥ	SrIGana-AcAra-saMgrahaH
   sa eva yadi saṃsmṛtya nayatīha na kilviṣī || Śghs_3,2.24 ||	saH eva yadi saMsmRtya nayati-iha na kilvizI || ŚGs_3,2.24 ||
   anyena steyacittena pātramanyasya ced yatiḥ |	anyena steya-cittena pAtram-anyasya ced yatiH |
   ānāyayati sa tato doṣavān bhavati vratī || Śghs_3,2.25 ||	AnAyayati sa tatas dozavAn Bavati vratI || ŚGs_3,2.25 ||
   yāvat pūjā munestāvat saṃghasyāpi pravartate |	yAvat pUjA muneH-tAvat saMGasya-api pravartate |
   iti yo 'nyasya datte sa bhavati kṣatasaṃvaraḥ || Śghs_3,2.26 ||	iti yaH anyasya datte sa Bavati kzata-saMvaraH || ŚGs_3,2.26 ||
   likhitvoddhārakaṃ grāhyaṃ mithaḥ stūpācca saṃghataḥ |	liKitvA-udDArakam grAhyam miTas stUpAt-ca saMGataH |
   karmādāne ca vaktavyamiyat noktakṛto 'nyathā || Śghs_3,2.27 ||	karma-AdAne ca vaktavyam-iyat na-ukta-kRtaH anyaTA || ŚGs_3,2.27 ||
   svāṃśamuktaharaścauro[yatyora]madhye tayordvayoḥ |	sva-aMSa-mukta-haraH-cOro[yati-ora]-maDye tayoH-dvayoH |
   dāsyāmīti ca viśvāsaṃ kṛtvā prāpnoti nāpadaṃ || Śghs_3,2.28 ||	dAsyAmi-iti ca viSvAsam kRtvA prApnoti na-Apadam || ŚGs_3,2.28 ||
   labhase tvaṃ labhe cāhaṃ yaṃ lābhaṃ tadāvayoḥ |	laBase tvam laBe ca-aham yam lABam tadA-AvayoH |
   iti lābhe samutpanne tato 'rdhena [sa] taskaraḥ || Śghs_3,2.29 ||	iti lABe samutpanne tatas arDena [sa] taskaraH || ŚGs_3,2.29 ||
   dakṣiṇādeśane 'pyevaṃ pāṃśukūlikayordvayoḥ |	dakziNa-AdeSane api-evam pAMSu-kUlikayoH-dvayoH |
   bhinatti yaḥ kriyākāraṃ tataḥ sa cyutasaṃvaraḥ || Śghs_3,2.30 ||	Binatti yaH kriyAkAram tatas sa cyuta-saMvaraH || ŚGs_3,2.30 ||
   upakāryapakāribhyaścānnapānādi sāṃghikaṃ |	upakAryapakAriByaH-ca-anna-pAna-Adi sAMGikam |
   vihārasvāmirājādicaurādibhyo yathākramaṃ || Śghs_3,2.31 ||	vihArasvAmi-rAja-Adi-cOra-AdiByaH yaTAkramam || ŚGs_3,2.31 ||
   śrīghanebhyo 'pi dātavyaṃ prātarāśādi sāṃghikaṃ |	SrIGaneByaH api dAtavyam prAtar-ASa-Adi sAMGikam |
   ālepanādi kurvanti vihāre yadi nānyathā || Śghs_3,2.32 ||	Alepana-Adi kurvanti vihAre yadi na-anyaTA || ŚGs_3,2.32 ||
   sīmāntasthāyine datvā bhikṣūpasthānakāriṇe |	sImAnta-sTAyine datvA Bikzu-upasTAna-kAriNe |
   dārakaprasthavyājena gṛhṇīyāttaṇḍulādikaṃ || Śghs_3,2.33 ||	dAraka-prasTa-vyAjena gRhNIyAt-taNxula-Adikam || ŚGs_3,2.33 ||
   atyaktāśo[hi]gṛhṇīyāt naṣṭaṃ svapātracīvaraṃ |	atyakta-aSo[hi]-gRhNIyAt nazwam sva-pAtra-cIvaram |
   matvaivaṃ naṣṭapātrādirāśāṃ naiva tyajed [yatiḥ] || Śghs_3,2.34 ||	matvA-evam nazwa-pAtra-AdirASAm na-eva tyajet [yatiH] || ŚGs_3,2.34 ||
   svādhyāyādhyayanoddeśaṃ kṛtvā ye saṃghaśīlakaṃ |	svADyAya-aDyayana-uddeSam kRtvA ye saMGa-SIlakam |
   kriyākāraṃ na kurvanti te jinoditalaṃghinaḥ || Śghs_3,2.35 ||	kriyAkAram na kurvanti te jina-udita-laMGinaH || ŚGs_3,2.35 ||
   patākālakṣaṇaṃ stūpānna grāhyaṃ yatinā[khalu] |	patAkA-lakzaNam stUpAt-na grAhyam yatinA[-Kalu] |
   prāṃśukūlamiti grāhyamaniloddhūtapātitaṃ || Śghs_3,2.36 ||	prAMSu-kUlam-iti grAhyam-anila-udDUta-pAtitam || ŚGs_3,2.36 ||
   śulkakṛtyaṃ paradravyaṃ na nayet nāpi nāyayeta |	Sulka-kRtyam para-dravyam na nayet na-api nAyayeta |
   śulkapradānamokṣārthopāyaṃ nopadiśed yatiḥ || Śghs_3,2.37 ||	Sulka-pradAna-mokza-arTa-upAyam na-upadiSet yatiH || ŚGs_3,2.37 ||
   ratnaṃ datvā yatibhyaḥ prāk paścāt mārgayate vaṇik |	ratnam datvA yatiByaH prAk paScAt mArgayate vaNij |
   visaṃvādayasītyevaṃ dātavyaṃ paribhāṣya tat || Śghs_3,2.38 ||	visaMvAdayasi-iti-evam dAtavyam pariBAzya tat || ŚGs_3,2.38 ||
   nāsti śulkaṃ munerevaṃ vratināṃ pāribhogike |	na-asti Sulkam muneH-evam vratinAm pAriBogike |
   krayavikrayakṛddadyāt śulkamanyatra vastuni || Śghs_3,2.39 ||	kraya-vikraya-kRt-dadyAt Sulkam-anyatra vastuni || ŚGs_3,2.39 ||
   varṣāvāsikalābho [hi] deyo varṣoṣitasya ca |	varzA-vAsi-kala-ABaH [hi] deyaH varza-uzitasya ca |
   jīvitabrahmacaryasya yayornāśastayorapi || Śghs_3,2.40 ||	jIvita-brahmacaryasya yayoH-nASaH-tayoH-api || ŚGs_3,2.40 ||
   prākprāgupagataiḥ kāryā varṣāvāsikayācanā |	prAc-prAk-upagatEH kAryA varzAvAsika-yAcanA |
   paścādupagataiḥ paścāt saṃghe yugapadeva ca || Śghs_3,2.41 ||	paScAt-upagatEH paScAt saMGe yugapad-eva ca || ŚGs_3,2.41 ||
   punargṛhṇāti dīkṣāṃ yo vastukarmajugupsayā |	punar-gRhNAti dIkzAm yaH vastu-karma-jugupsayA |
   bhikṣubhāvaṃ parityajya tasmai cāpyāha sarvavit || Śghs_3,2.42 ||	Bikzu-BAvam parityajya tasmE ca-api-Aha sarva-vid || ŚGs_3,2.42 ||
   avarṣoṣitavibhrāntakudṛṣṭimṛtakās[tathā] |	avarza-uzita-viBrAnta-kudRzwi-mRta-kAs[-taTA] |
   deśāntaragatā lābhaṃ nārhanti paṃcapudgalāḥ || Śghs_3,2.43 ||	deSa-antara-gatAH lABam na-arhanti paMca-pudgalAH || ŚGs_3,2.43 ||
   amuṣmai deyamityevaṃ lābhotpanne yatau mṛte |	amuzmE deyam-iti-evam lABa-utpanne yatO mRte |
   dātavyo niyataṃ tasmai sa vikalpitabhikṣave || Śghs_3,2.44 ||	dAtavyaH niyatam tasmE sa vikalpita-Bikzave || ŚGs_3,2.44 ||
   deśāntaragatasyāpi sthāpayet kalpamandire |	deSa-antara-gatasya-api sTApayet kalpa-mandire |
   traye kurvanti cānarthaṃ tebhyo deyaṃbudharna hi || Śghs_3,2.45 ||	traye kurvanti ca-anarTam teByaH deyaMbuDarna hi || ŚGs_3,2.45 ||
   ācchādaṃ cīvaraṃ mūlyaṃ dāsyāmīti catuṣpadaiḥ |	AcCAdam cIvaram mUlyam dAsyAmi-iti catuzpadEH |
   āpnoti sammukhībhūtān lābho netareṣu ca || Śghs_3,2.46 ||	Apnoti sammuKIBUtAn lABaH na-itarezu ca || ŚGs_3,2.46 ||
   varṣāvāsikalābhaśca varṣoṣitasya [gacchati] |	varzA-vAsi-kalABaH-ca varza-uzitasya [gacCati] |
   tadetarasya doṣo na gṛhṇato dāyakecchayā || Śghs_3,2.47 ||	tadA-itarasya dozaH na gRhNataH dAyaka-icCayA || ŚGs_3,2.47 ||
   kāliko yāmiko yāvajjīvikaḥ sāptāhikaḥ |	kAlikaH yAmikaH yAvajjIvikaH sAptAhikaH |
   mṛtakṣudrapariṣkāranaityakākālacīvaraṃ || Śghs_3,2.48 ||	mRta-kzudra-parizkAra-nEtyakAkAla-cIvaram || ŚGs_3,2.48 ||
   kuṭīpratiṣṭhājātyādisambodhyādimahodbhavaḥ |	kuwI-pratizWA-jAti-a-Adi-samboDyAdi-mahA-udBavaH |
   prāpnoti daśadhā lābhaḥ sammukhībhūtapudgalān || Śghs_3,2.49 ||	prApnoti daSaDA lABaH sammuKIBUta-pudgalAn || ŚGs_3,2.49 ||
   anādheyaṃ [gurudravyaṃ] sāṃghikaṃ śayanāsanaṃ |	anADeyam [guru-dravyan] sAMGikam Sayana-Asanam |
   vikretavyaṃ na bhoktavyaṃ kṛtvā paudgalikaṃ na ca || Śghs_3,2.50 ||	vikretavyam na Boktavyam kRtvA pOdgalikam na ca || ŚGs_3,2.50 ||
   cāturdiśāya buddhāya sammukhībhūtasāṃghike	cAturdiSAya budDAya sammuKIBUta-sAMGike
   yatirdravyāntare datte tatra tatropanāmayet || Śghs_3,2.51 ||	yatiH-dravya-antare datte tatra tatra-upanAmayet || ŚGs_3,2.51 ||
   tūṣṇīṃ datvā gate deyaṃ buddhe muktāphalādikaṃ |	tUzNIm datvA gate deyam budDe muktAPala-Adikam |
   cāturdiksammukhībhūte śayanāsanamaṃśukaṃ || Śghs_3,2.52 ||	cAturdiS-sammuKIBUte Sayana-Asanam-aMSukam || ŚGs_3,2.52 ||
   pṛthu dravyaṃ paropāttaṃ tatsaṃjñī steyacetanā |	pRTu dravyam para-upAttam tad-saMjQI steya-cetanA |
   sthānacyutiśca paṃcāṃgairyuktaścedayatirbhavet || Śghs_3,2.53 ||	sTAna-cyutiH-ca paMcAMgEH-yuktaH-ced-ayatiH-Bavet || ŚGs_3,2.53 ||
   dattasvakāparopāttasaṃjñī cānyo 'pi saṃvarī |	datta-svaka-apara-upAtta-saMjQI ca-anyaH api saMvarI |
   na tāvatkālikaṃ svāṃśād gṛhṇan jahāti saṃvaraṃ || Śghs_3,2.54 ||	na tAvat-kAlikam sva-aMSAt gRhNan jahAti saMvaram || ŚGs_3,2.54 ||
   ādāyādattamutplutya khaṃ gatvāśācatuṣṭayaṃ |	AdAya-adattam-utplutya Kam gatvA-ASA-catuzwayam |
   tatraiva punarāsīno bhavati kṣatasaṃvaraḥ || Śghs_3,2.55 ||	tatra-eva punar-AsInaH Bavati kzata-saMvaraH || ŚGs_3,2.55 ||
   avakrītādirajñānāt paradravyaṃ haran khalu |	avakrIta-AdiH-ajQAnAt para-dravyam haran Kalu |
   saṃvarakṣobhalābhī sa yatirnonmattādikaḥ || Śghs_3,2.56 ||	saMvara-kzoBa-lABI sa yatiH-na-unmatta-AdikaH || ŚGs_3,2.56 ||
   3 maithunaviratiśikṣāpadaṃ	3 mETuna-virati-SikzA-padam
   saṃvaratyāgaḥ	saMvara-tyAgaH
   nṛstrīpaṇḍakaviṇmūtravaktrarandhreṃ'gajāta[kaṃ] |	nR-strI-paNxaka-viz-mUtra-vaktra-ranDreM-agajAta[kaM] |
   kṣiptvā nigamayet svādaṃ sa [yatiḥ] kṣatasaṃvaraḥ || Śghs_3,3.1 ||	kziptvA nigamayet svAdam sa [yatiH] kzata-saMvaraH || ŚGs_3,3.1 ||
   mānuṣā'mānuṣāste tu tiryañcaśca narādayaḥ |	mAnuzA-amAnuzAH-te tu tiryaQcaH-ca nara-AdayaH |
   mṛtāḥ suptāśca jāgranto jñeyā [hi] maithunāśrayāḥ || Śghs_3,3.2 ||	mRtAH suptAH-ca jAgrantaH jQeyAH [hi] mETuna-ASrayAH || ŚGs_3,3.2 ||
   hastinīmāditaḥ [kṛtvā] yāvat kukkuṭajāti[kāṃ] |	hastinIm-AditaH [kRtvA] yAvat kukkuwa-jAti[kAM] |
   kṣudrikāṃ mahatīṃ gacchan[sa yatiś] cyavate vratāt || Śghs_3,3.3 ||	kzudrikAm mahatIm gacCan[-sa yatiS] cyavate vratAt || ŚGs_3,3.3 ||
   duṣkṛtāni	duzkRtAni
   raktaḥ san na striyaṃ paśyet śabdamākarṇayenna ca |	raktaH san na striyam paSyet Sabdam-AkarNayet-na ca |
   nirvastraḥ san na copeyādaṃgajāta na nirbhujet || Śghs_3,3.4 ||	nirvastraH san na ca-upeyAt-aMga-jAta na nirBujet || ŚGs_3,3.4 ||
   bhittidvaye kṛtāṃ śuṣkāṃ klinnāṃ saṃyojya [koṭarīṃ] |	Bitti-dvaye kRtAm SuzkAm klinnAm saMyojya [kowarIM] |
   [vipratipattito] nāśyaḥ saṃgrahe sati nānyadā || Śghs_3,3.5 ||	[vipratipattito] nASyaH saMgrahe sati na-anyadA || ŚGs_3,3.5 ||
   adha ūrdhvaṃ trikhaṇḍāyā vinīlādhmātikāṃ ca na |	aDas UrDvam triKaNxAyAH vinIlADmAtikAm ca na |
   na cāsthisaṃkalāṃ yāyāt nābhyaktāṃ rudhirādibhiḥ || Śghs_3,3.6 ||	na ca-asTi-saMkalAm yAyAt na-aByaktAm ruDira-AdiBiH || ŚGs_3,3.6 ||
   sitāsthisaṃkalāṃ śailadārupustamayīṃ[yatiḥ] |	sita-asTi-saMkalAm SEla-dAru-pusta-mayIM[yatiH] |
   na ca gacchet striyaṃ yo 'tra virato maithunātsadā || Śghs_3,3.7 ||	na ca gacCet striyam yaH atra virataH mETunAt-sadA || ŚGs_3,3.7 ||
   dhyānamiddhagataṃ mattamabhibhūtaṃ ca nidrayā |	DyAnam-idDa-gatam mattam-aBiBUtam ca nidrayA |
   vikṣiptaṃ vedanātunnaṃ gṛhītvābhiniṣīdati || Śghs_3,3.8 ||	vikziptam vedanA-tunnam gRhItvA-aBinizIdati || ŚGs_3,3.8 ||
   ādimadhyāvasāneṣu svādayet dhyānavyutthitaḥ |	Adi-maDya-avasAnezu svAdayet DyAna-vyutTitaH |
   vihārād ghaṭṭanīyaḥ so 'bhāve tu svādanasya na || Śghs_3,3.9 ||	vihArAt GawwanIyaH saH aBAve tu svAdanasya na || ŚGs_3,3.9 ||
   nānāvyaṃjana[ko]petarasaśālyupabhogavat |	nAnA-vyaMjana-[ko]peta-rasa-SAli-upaBoga-vat |
   āsvādanā ca tailācchaśauṇḍāsavapānavat || Śghs_3,3.10 ||	AsvAdanA ca tElAt-SaSONxa-Asava-pAna-vat || ŚGs_3,3.10 ||
   anāsvādo yuvagrīvāmṛtakukkurabandhavat |	anAsvAdaH yuvagrIva-amRta-kukkura-banDa-vat |
   vijñeyaḥ sukumārasya pradīptalohasparśavat || Śghs_3,3.11 ||	vijQeyaH sukumArasya pradIpta-loha-sparSa-vat || ŚGs_3,3.11 ||
   avakrītādi[rajñānāt] |	avakrIta-Adi[rajQAnAt] |
   [āpattibhāg yatirnaivonmattavikṣiptacetasaḥ] || Śghs_3,3.12 ||	[Apatti-BAj yatiH-na-eva-unmatta-vikzipta-cetasaH] || ŚGs_3,3.12 ||
   rāgā[manuṣyasaṃyogāt] praguṇībhūtāṃgajāta[kaṃ] |	rAgA[-manuzya-saMyoga-at] praguNIBUta-aMga-jAta[kaM] |
   na spṛśet śukramokṣārthaṃ sa pṛthivyādidhātubhiḥ || Śghs_3,3.13 ||	na spRSet Sukra-mokza-arTam sa pRTivI-Adi-DAtuBiH || ŚGs_3,3.13 ||
   tiryak[pramatta]saṃyogāt śukramuktirbhaved yadi |	tiryak[-pramatta]-saMyogAt Sukra-muktiH-Bavet yadi |
   [sva]mānasaṃ yatigarhet kṛtaṃ me nu virūpakaṃ || Śghs_3,3.14 ||	[sva]-mAnasam yati-garhet kRtam me nu virUpakam || ŚGs_3,3.14 ||
   majjajakṣaraṇaṃ yasya yateḥ svapneṣu jāyate |	majja-ja-kzaraNam yasya yateH svapnezu jAyate |
   svapnaśukravinirmuktau taddoṣo na manāgapi || Śghs_3,3.15 ||	svapna-Sukra-vinirmuktO tad-dozaH na manAk-api || ŚGs_3,3.15 ||
   rāgāviṣṭena cittena nārīṃ na śrīghanaḥ spṛśet |	rAga-Avizwena cittena nArIm na SrIGanaH spRSet |
   [anyaṃ spṛśettathārūpaṃ nāpi ca] puṃnapuṃsakaṃ || Śghs_3,3.16 ||	[anyam spRSet-taTArUpam na-api ca] puMnapuMsakam || ŚGs_3,3.16 ||
   stanakakṣauṣṭhanābhyūrupārśva kukṣimalabhramān |	stana-kakza-ozWanABi-Uru-pArSva kukzi-mala-BramAn |
   saṃraktaḥ [san] yatiḥ strīṇāṃ na nindet na ca saṃstuyāt || Śghs_3,3.17 ||	saMraktaH [san] yatiH strINAm na nindet na ca saMstuyAt || ŚGs_3,3.17 ||
   yadyad vadet striyaṃ[tāvat] kartukāmo yathā yathā |	yat-yat vadet striyaM[tAvat] kartu-kAmaH yaTA yaTA |
   tattat tathā tathā brūyāt śrīghano nāntike striyāḥ || Śghs_3,3.18 ||	tat-tat taTA taTA brUyAt SrIGanaH na-antike striyAH || ŚGs_3,3.18 ||
   agrā bhavati sā yoṣid yā māṃ paricared rahaḥ |	agrA Bavati sA yozit yA mAm paricaret rahaH |
   lābhinī cāyurādīnāṃ vyādhihīnā yaśasvinī || Śghs_3,3.19 ||	lABinI ca-AyuH-AdInAm vyADi-hInA yaSasvinI || ŚGs_3,3.19 ||
   ityādi na vaco brūyād rāgāgnipluṣṭamānasaḥ |	ityAdi na vacaH brUyAt rAga-agni-pluzwa-mAnasaH |
   purastācchroghanaḥ strīṇāṃ punapuṃsakayostathā || Śghs_3,3.20 ||	purastAt-SroGanaH strINAm punapuMsakayoH-taTA || ŚGs_3,3.20 ||
   vivāhāvāhayordautyaṃ na kuryāt śrāmaṇerakaḥ |	vivAha-AvAhayoH-dOtyam na kuryAt SrAmaNerakaH |
   [na ca kuryāt tathārūpanimittamapi dautyakaṃ] || Śghs_3,3.21 ||	[na ca kuryAt taTArUpa-nimittam-api dOtyakaM] || ŚGs_3,3.21 ||
   dāpayeyamimāṃ śrāddhāṃ tathāsmai dārikāmiti |	dApayeyam-imAm SrAdDAm taTA-asmE dArikAm-iti |
   arthasaṃsyandanāsūtraṃ ghaṭate na [sa] bhāṣituṃ || Śghs_3,3.22 ||	arTa-saMsyandana-asUtram Gawate na [sa] BAzitum || ŚGs_3,3.22 ||
   bījārthaṃ na vratī dadyāt [svayameva] gavādikaṃ |	bIja-arTam na vratI dadyAt [svayam-eva] gavA-Adikam |
   etāneva parebhyo 'pi kadācinna [hi] prārthayet || Śghs_3,3.23 ||	etAn-eva pareByaH api kadAcid-na [hi] prArTayet || ŚGs_3,3.23 ||
   tulyametāsu tvaṃ tiṣṭha mā striyā caikayā vasa |	tulyam-etAsu tvam tizWa mA striyA ca-ekayA vasa |
   ityevaṃ hi bahustrīkaṃ puruṣaṃ na yatirvadet || Śghs_3,3.24 ||	iti-evam hi bahu-strIkam puruzam na yatiH-vadet || ŚGs_3,3.24 ||
   4 mṛṣāvādaviratiśikṣāpadaṃ	4 mRzA-vAda-virati-SikzA-padam
   pratyekabuddhasaṃbuddhatacchiṣyajñānadarśanaṃ |	pratyekabudDa-saMbudDa-tad-Sizya-jQAna-darSanam |
   mamāstīti bruvan mithyā nāśyo 'nyatrābhimānataḥ || Śghs_3,4.1 ||	mama-asti-iti bruvan miTyA nASyaH anyatra-aBimAnataH || ŚGs_3,4.1 ||
   jñānaṃ satyābhisaṃbodhirabhijñāḥ paṃca darśanaṃ |	jQAnam satya-aBisaMboDiH-aBijQAH paMca darSanam |
   dharmānvayādikajñānāṃgīkaraṇe kṣamo na saḥ || Śghs_3,4.2 ||	Darma-anvaya-Adika-jQAna-aMgIkaraNe kzamaH na saH || ŚGs_3,4.2 ||
   āryamlecchavacolekhalipyā [ca] hastamudrayā |	Arya-mlecCa-vacaH-leKa-lipyAH [ca] hasta-mudrayA |
   jñānādi pratijānīte boddhavyamapi tanmṛṣā || Śghs_3,4.3 ||	jQAna-Adi pratijAnIte bodDavyam-api tat-mRzA || ŚGs_3,4.3 ||
   vṛkṣamūle 'hamekākī viharāmi rame [gṛhe] |	vRkza-mUle aham-ekAkI viharAmi rame [gRhe] |
   samāhitaṃ ca me cittaṃ na ca vācyamatīndriyaṃ || Śghs_3,4.4 ||	samAhitam ca me cittam na ca vAcyam-atIndriyam || ŚGs_3,4.4 ||
   buddhādīnāṃ vaded varṇamātmano na kathaṃcana |	budDa-AdInAm vadet varNam-AtmanaH na kaTaMcana |
   parakīyaṃ guṇaṃ pṛṣṭo brūyāttatsaṃmukhaṃ na tu || Śghs_3,4.5 ||	parakIyam guNam pRzwaH brUyAt-tat-saMmuKam na tu || ŚGs_3,4.5 ||
   dṛṣṭaṃ śrutaṃ mataṃ yadyad vijñātaṃ caiva tad vadet |	dRzwam Srutam matam yat-yat vijQAtam ca-eva tat vadet |
   [śrīghano] vaiparītyena gadanmithyābhidhāyakaḥ || Śghs_3,4.6 ||	[SrIGano] vEparItyena gadat-miTyA-aBiDAyakaH || ŚGs_3,4.6 ||
   vastu cālīkasaṃjñī ca cittaṃ vinihitaṃ [tathā] |	vastu ca-alIka-saMjQI ca cittam vinihitam [taTA] |
   mṛṣāsaṃjñī vadedvācaṃ paṃcāṃgo 'nṛtavādikaḥ || Śghs_3,4.7 ||	mRzA-saMjQI vadet-vAcam paMca-aMgaH anRta-vAdikaH || ŚGs_3,4.7 ||
   catustridvayeka[kai] raṃgairyukto yo 'tra mṛṣāṃ vadeta |	catur-tri-dvayeka[kE] raMgEH-yuktaH yaH atra mRzAm vadeta |
   anyaiḥ sa yatibhirjñeyo mṛṣāvādīti [śrīghanaḥ] || Śghs_3,4.8 ||	anyEH sa yatiBiH-jQeyaH mRzA=-AdI-iti [SrIGanaH] || ŚGs_3,4.8 ||
   abhūtenānidānena yatiḥ [prāṇivadhādinā] |	aBUtena-anidAnena yatiH [prANi-vaDa-AdinA] |
   dhvaṃsanacyāvanākūtaḥ saṃmukhaṃ na ca codayet || Śghs_3,4.9 ||	DvaMsana-cyAvana-AkUtaH saMmuKam na ca codayet || ŚGs_3,4.9 ||
   kṣudrāpattinimittena leśamātreṇa tena vā |	kzudrApatti-nimittena leSa-mAtreNa tena vA |
   śrāmaṇero[hi] pratyakṣaṃ [śrīghanān] na kṣipet parān || Śghs_3,4.10 ||	SrAmaNero[hi] pratyakzam [SrIGanAn] na kzipet parAn || ŚGs_3,4.10 ||
   jātiliṃgakriyāvādair hīnamadhyottamairvratī |	jAti-liMga-kriyA-vAdEH hIna-maDya-uttamEH-vratI |
   jihmaniṣpratibhānārthaṃ na prāṇān jātu codayet || Śghs_3,4.11 ||	jihma-nizpratiBAna-arTam na prANAn jAtu codayet || ŚGs_3,4.11 ||
   upakleśagadākrośāpattyādyairhi yatiṃ vratī |	upakleSa-gadA-kroSApatti-AdyEH-hi yatim vratI |
   āśayena puroktena brūyānnaiva kadācana || Śghs_3,4.12 ||	ASayena purA-uktena brUyAt-na-eva kadAcana || ŚGs_3,4.12 ||
   bhedaṃ yāsyati so 'nyena saṃdhāsyati mayā saha |	Bedam yAsyati saH anyena saMDAsyati mayA saha |
   yatira jātyādivādena paiśunyaṃ na samācaret || Śghs_3,4.13 ||	yatira jAti-Adi-vAdena pESunyam na samAcaret || ŚGs_3,4.13 ||
   5 surāmaireyamadyapānaviratiśikṣāpadaṃ	5 surA-mEreya-madya-pAna-virati-SikzA-padam
   madyaṃ surā ca maireyaṃ pramādasyāspadaṃ yataḥ |	madyam surA ca mEreyam pramAdasya-Aspadam yatas |
   na parasmai[hi] taddeyaṃ na ca peyaṃ śvamūtravata || Śghs_3,5.1 ||	na parasmE[hi] tat-deyam na ca peyam Sva-mUtravataH || ŚGs_3,5.1 ||
   valkalaiḥ saguḍaiḥ kācidaparā kevalena ca |	valkalEH sa-guxEH kAcid-aparA kevalena ca |
   piṣṭakiṇvajalairebhirapi saṃcīyate surā || Śghs_3,5.2 ||	pizwa-kiNva-jalEH-eBiH-api saMcIyate surAH || ŚGs_3,5.2 ||
   maireyaṃ guḍadhātryambudhātakīsaṃskṛtaṃ hi yat |	mEreyam guxa-DAtrI-ambu-DAtakI-saMskRtam hi yat |
   kuśāgreṇāpi tat pātuṃ yatīnāṃ na prakalpate || Śghs_3,5.3 ||	kuSa-agreNa-api tat pAtum yatInAm na prakalpate || ŚGs_3,5.3 ||
   kodravānnaṃ na bhuñjīta tatpalāle ca na svapet ||	kodrava-annam na BuQjIta tad-palAle ca na svapet ||
   pītaṃ sata madayed yacca pātavyaṃ tadapīha na || Śghs_3,5.4 ||	pItam sata madayet yat-ca pAtavyam tat-api-iha na || ŚGs_3,5.4 ||
   6 uccaśayanamahāśayanaviratiśikṣāpadaṃ	6 ucca-Sayana-mahA-Sayana-virati-SikzA-padam
   śayane yatirāsīta jināṣṭāṃgulapādake |	Sayane yatiH-AsIta jina-azwa-aMgula-pAdake |
   [vinā] śalyena[maṃce vā] hemarūpyakṛte na tu || Śghs_3,6.1 ||	[vinA] Salyena[maMce vA] hema-rUpya-kRte na tu || ŚGs_3,6.1 ||
   sāṃghike śayane dadyāt tat pratyāstaraṇaṃ yatiḥ |	sAMGike Sayane dadyAt tat pratyAstaraNam yatiH |
   vastrakambalayoriṣṭaṃ yat tridvayekapuṭaṃ kramāt || Śghs_3,6.2 ||	vastra-kambalayoH-izwam yat tri-dvayeka-puwam kramAt || ŚGs_3,6.2 ||
   nyasya gartteṣu tatpādānatirekapramāṇakān |	nyasya garttezu tad-pAdAnatireka-pramANakAn |
   prakṣipya pratipādeṣu ṭaṃkitvā kīlakeṣu vā || Śghs_3,6.3 ||	prakzipya pratipAdezu waMkitvA kIlakezu vA || ŚGs_3,6.3 ||
   evaṃ vekṣuyavādīnāṃ rakṣārthaṃ maṃcake svapet |	evam vA-ikzu-yava-AdInAm rakzA-arTam maMcake svapet |
   yatirna laṃbayetpādāvadhvago dīrghapādake || Śghs_3,6.4 ||	yatiH-na laMbayet-pAdO=-aDvagaH dIrGapAdake || ŚGs_3,6.4 ||
   alpaṃ ced dvādaśebhyo hi deyamekaṃ vihārakaṃ |	alpam ced dvAdaSeByaH hi deyam-ekam vihArakam |
   nirmuṣṭahastaṃ svalpatve bahutve tu viparyayāt | Śghs_3,6.5 ||	nirmuzwa-hastam su-alpa-tve bahu-tve tu viparyayAt | ŚGs_3,6.5 ||
   stokaṃ ced navakaḥ pīṭhe vṛddho maṃce[tadā] svapet |	stokam ced navakaH pIWe vRdDaH maMce[-tadA] svapet |
   svaptavyaṃ vṛkṣamūle ['pi] navenābhyavakāśake || Śghs_3,6.6 ||	svaptavyam vRkza-mUle [-api] navena-aByavakASake || ŚGs_3,6.6 ||
   antarvarṣāsu nopasthāpyo 'nyaḥ sabrahmacārikaḥ |	antar-varzAsu na-upasTApyaH anyaH sa-brahmacArikaH |
   yatinā [sva] vihāre[tu] yathāvṛddhikayā yatiḥ || Śghs_3,6.7 ||	yatinA [sva] vihAre[tu] yaTAvRdDikayA yatiH || ŚGs_3,6.7 ||
   saṃskāraparibhogārthaṃ paripālanārthameva ca |	saMskAra-pariBoga-arTam paripAlana-arTam-eva ca |
   uddiśyate [yatibhyo vai] sāṃghikaṃ śayanāsanaṃ || Śghs_3,6.8 ||	uddiSyate [yatiByaH vE] sAMGikam Sayana-Asanam || ŚGs_3,6.8 ||
   hīnamadhyottamaṃ [sthāpyaṃ bhikṣubhyo] layanatrayaṃ |	hIna-maDya-uttamam [sTApyam BikzuByo] layana-trayam |
   vṛddhādyāgantukebhyastaduddiśeddaharakramāt || Śghs_3,6.9 ||	vRdDa-Adi-AgantukeByaH-tad-uddiSet-dahara-kramAt || ŚGs_3,6.9 ||
   śayanāsanamatyuccaṃ pratiṣiddhaṃ yaterhi tat |	Sayana-Asanam-ati-uccam pratizidDam yateH-hi tat |
   madauddhatyakaraṃ yasmād lokāvadhyānakāraṇaṃ || Śghs_3,6.10 ||	mada-OdDatya-karam yasmAt loka-avaDyAna-kAraNam || ŚGs_3,6.10 ||
   7 nṛtyagītavāditraviratiśikṣāpadaṃ	7 nRtya-gIta-vAditra-virati-SikzA-padam
