   Mahāsannipātaratnaketudhāraṇī sūtraṃ	MahAsannipAta-ratna-ketu-DAraNI sUtram
   madhyamā ca pratipannopalabhyate / nāsāvasti nāpi nāstīti /	maDyamA ca pratipanna-upalaByate / na-asO=-asti na-api na-asti-iti /
   yadeṣvasaṃgānutpādāvyayāpramāṇāsaṃkhyo 'tamānālokeṣu jñānam eṣa	yadA-izu-asaMgAn-utpAda-avyaya-apramANa-asaMKyaH atamAna-Alokezu jQAnam eza
   evābhisaṃbodhaḥ /	eva-aBisaMboDaH /
   vidyunmatirbodhisattva āha / yatra bhagavan nāgatirna gatirityeva	vidyut-matiH-boDisattvaH Aha / yatra Bagavat na-agatiH-na gatiH-iti-eva
   jñānāvatārakauśalam eṣa evābhisaṃbodhaḥ /	jQAna-avatAra-kOSalam ezaH eva-aBisaMboDaH /
   vairocano bodhisattva āha / yatra bhagavan na prāptilakṣaṇaṃ nābhisamayo	vErocanaH boDisattvaH Aha / yatra Bagavat na prApti-lakzaNam nABi-samayaH-
   na sākṣātkriyā na śamo na praśamo na trayadhvaṃ na triyānaṃ na	na sAkzAtkriyA na SamaH na praSamaH na trayaDvam na tri-yAnam na
   praṇidhisāmīcīmanyanā eṣa evābhisaṃbodhaḥ /	praNiDi-sAmIcI-manyanAH ezaH eva-aBisaMboDaH /
   (Dutt 31)	(Dutt 31)
   dhāraṇamatirbodhisattva āha / yo bhagavan na tradhātukaṃ na trīṇī	DAraNa-matiH-boDisattvaH Aha / yaH Bagavat na traDAtukam na trINI
   saṃyojanāni na traividyatāṃ na triyānatāṃ na skandhadhātvāyatanāni na	saMyojanAni na trEvidyatAm na triyAna-tAm na skanDa-DAtu-AyatanAni na
   kalpayati na vikalpayati na hāniṃ na vṛddhiṃ na sāmīcīṃ karoti eṣa	kalpayati na vikalpayati na hAnim na vRdDim na sAmIcIm karoti eza
   evābhisaṃbodhaḥ /	eva-aBisaMboDaH /
   vajramatirbodhisattva āha / yaḥ pṛthagjanadharmaḥ vāryadharmo vā	vajra-matiH-boDisattvaH Aha / yaH pRTagjana-DarmaH vAri-aDarmaH vA
   śaikṣadharmaḥ vāśaikṣadharmaḥ vā śrāvakadharmaḥ vā pratyekabuddhadharmaḥ	SEkza-DarmaH vA-aSa-ekza-DarmaH vA SrAvaka-DarmaH vA pratyekabudDa-DarmaH
   na kalpayati na vikalpayati na sāmīcīṃ karoti eṣa evābhisaṃbodhaḥ /	na kalpayati na vikalpayati na sAmIcIm karoti ezaH eva-aBisaMboDaH /
   dṛḍhamatirbodhisattva āha / [yo vivekanayena] tathatāṃ vyavacārayati eṣa	dRXa-matiH-boDisattvaH Aha / [yaH viveka-nayena] taTatAm vyavacArayati eza
   evābhisaṃbodhaḥ /	eva-aBisaMboDaH /
   ratnapāṇirbodhisattva āha / yo 'nutpādalakṣaṇaṃ sarvadharmāṇāṃ na prāptaye	ratna-pANiH-boDisattvaH Aha / yaH anutpAda-lakzaNam sarva-DarmANAm na prAptaye
   nābhisamayāya na [kalpayati eṣa evābhisaṃbodhaḥ] /	nABi-samayAya na [kalpayati ezaH eva-aBisaMboDaH] /
   acintyamatirbodhisattva āha / yastraidhātukavyavacāracittameva citte	acintya-matiH-boDisattvaH Aha / yaH-trEDAtuka-vyavacAra-cittam-eva citte
   praveśayati ubhe citte na vyavacāryeṇopalabhate eṣa evābhisaṃbodhaḥ /	praveSayati uBe citte na vyavacAryeNa-upalaBate ezaH eva-aBisaMboDaH /
   arivijayo bodhisattva āha / [yaḥ] sarvadharmeṣu na sajyate nānunīyate	ari-vijayaH boDisattvaH Aha / [yaH] sarva-Darmezu na sajyate na-anunIyate
   nopekṣate na pratimanyate na spṛhayate na muhyate na gṛṇhāti na mucyate	na-upekzate na pratimanyate na spRhayate na muhyate na gRNhAti na mucyate
   eṣa evābhisaṃbodhaḥ /	ezaH eva-aBisaMboDaH /
   padmagarbho bodhisattva āha / yaḥ puṇyapāpayoḥ na sajjate	padmagarBaH boDisattvaH Aha / yaH puNya-pApayoH na sajjate
   gambhīrakṣāntinayāvatārāhaṅkāramamakārānna kalpayati eṣa evābhisaṃbodhaḥ /	gamBIra-kzAntinaya-avatAra-ahaFkAram-amakArAn-na kalpayati ezaH eva-aBisaMboDaH /
   (Dutt 32)	(Dutt 32)
   candraprabhaḥ kumārabhūta āha / yo bhagavān praśamāt sarvadharmānna	candrapraBaH kumAra-BUtaH Aha / yaH BagavAn praSamAt sarva-DarmAt-na
   prajānīte na ca dharmāṇāṃ svabhāvamācayaṃ vopacayaṃ vā paśyati eṣa	prajAnIte na ca DarmANAm svaBAvam-Acayam vA-upacayam vA paSyati eza
   evābhisaṃbodhaḥ /	eva-aBisaMboDaH /
   khagamatiḥ kumārabhūta āha / yasya sarva tama-ālokotpādavyayaḥ	Kaga-matiH kumAra-BUtaH Aha / yasya sarva tam-a-Aloka-utpAda-vyayaH
   [vṛddhihāniḥ] cittacaitasikeṣu na pravartante eṣa evābhisaṃbodhaḥ /	[vRdDi-hAniH] citta-cEtasikezu na pravartante ezaH eva-aBisaMboDaH /
   akṣayamatirbodhisattva āha / yastripariśuddhaḥ pāramitāsu abhyāsaṃ karoti	akzaya-matiH-boDisattvaH Aha / yaH-tri-pariSudDaH pAramitAsu aByAsam karoti
   anupalambhayogena na rajyate na virajyate eṣa evābhisaṃbodhaḥ /	anupalamBa-yogena na rajyate na virajyate ezaH eva-aBisaMboDaH /
   mañjuśrīḥ kumārabhūta āha / yo bhagavan [sarva]dharmeṣu na rajyate na	maQjuSrIH kumAra-BUtaH Aha / yaH Bagavan [sarva]-Darmezu na rajyate na
   virajyate gambhiradharmanayaṃ ca prajānāti / yaśca prajānāti	virajyate gamBiH-aDarma-nayam ca prajAnAti / yaH-ca prajAnAti
   tannāyūhati[na]niryūhati nākarṣati na vyākarṣati na ca	tat-nAyUhati[na]niryUhati na-Akarzati na vyAkarzati na ca
   kasyaciddharmasyāpacayaṃ vāvidyāṃ [vā]vimuktiṃ cotpādayati vyayaṃ vā hānīṃ	kasyacid-Darmasya-apacayam vA-avidyAm [vA]-vimuktim ca-utpAdayati vyayam vA hAnIm
   vā vṛddhiṃ vā vastuṣu na saṃkalpanato [na] vikalpanataḥ eṣa	vA vRdDim vA vastuzu na saMkalpanataH [na] vikalpanataH eza
   evābhisaṃbodhaḥ / anenaiva nayena sarvābhisaṃbodhaḥ /	eva-aBisaMboDaH / anena-eva nayena sarva-aBisaMboDaH /
   atha kautūhaliko bodhisattva āha / kiṃ mañjuśrīrāyogaprayogena prayojanam	aTa kOtUhalikaH boDisattvaH Aha / kim maQju-SrIrAyoga-prayogena prayojanam
   / yadanenaikanayatathatāpraveśenaiva gambhīrabhāvanānayena	/ yat-anena-eka-naya-taTatA-apraveSena-eva gamBIra-BAvanA-nayena
   sarvajñajñānaparijñānam /	sarvajQa-jQAna-parijQAnam /
   mañjuśrīrāha / viṣamadṛṣṭirahitaḥ samyagdṛṣṭi[ra]samāropaḥ /	maQjuSrIH-Aha / vizama-dRzwi-rahitaH samyak-dRzwi[ra]-samAropaH /
   aśāṭhya-ṛjukatāsamāropaḥ / pāparahito gurugauravāsamāropaḥ / suvacanāsa 0	aSAWya--Rju-katA-samAropaH / pApa-rahitaH guru-gOravAsam-AropaH / su-vacanAsa 0
   samyagājīvāsa 0 sarvasaṃyojanarahitāsa 0 samākrośa-sarvasattvakṛpāsa 0	samyak-AjIvAsa 0 sarva-saMyojana-rahitAsa 0 samAkroSa--sarva-sattva-kRpAsa 0
   (Dutt 33) trisaṃvarāsa 0 avisaṃvādanakuśaladharmāsa 0 avyupaśāntāsa 0	(Dutt 33) trisaMvarAsa 0 avisaMvAdana-kuSala-DarmAsa 0 avyupaSAntAsa 0
   saddharmārakṣāsa 0 sarvasattvāparityāgāsa 0 sarvavastuparityāgāsa 0	sadDarmArakzAsa 0 sarva-sattva-aparityAgAsa 0 sarva-vastu-parityAgAsa 0
   durbalasattva-balapratiṣṭhāpanāsa 0 bhītaśaraṇābhayāsa 0 /	durbala-sattva--bala-pratizWApanAsa 0 BIta-SaraNa-aBayAsa 0 /
   kumārgasaṃprasthitānāṃ pratipattiniyojanāsa 0 kṣāntisauratyāsa 0	kumArga-saMprasTitAnAm pratipatti-niyojanAsa 0 kzAnti-sOratyAsa 0
   sarvagrāhasaṃ[ga]lakṣaṇāsa 0 sarvarajastamaskandhavarjanāsa 0	sarva-grAha-saM[ga]-lakzaNAsa 0 sarva-rajaH-tamaskanDa-varjanAsa 0
   sarvapariṇāmanā-phalavipākavarjanāsamāropaḥ 0 / ime kulaputra viṃśatiḥ	sarva-pariNAma-nA--Pala-vipAka-varjana-asamAropaH 0 / ime kula-putra viMSatiH
   prayogāḥ sarvajñajñānasya / sarvākṣararutagho[ṣavacanavyāhāravākya-]	prayogAH sarvajQa-jQAnasya / sarva-akzara-ruta-Go[za-vacana-vyAhAra-vAkya-]
   prabheda tathatājñānapraveśena sarvajñajñānasya prayogaḥ /	praBeda taTatA-ajQAna-praveSena sarvajQa-jQAnasya prayogaH /
   sarvatathāgatavacanāni anyatīrthikavacanatathatāpraveśena	sarva-taTAgata-vacanAni anya-tIrTika-vacana-taTatA-praveSena
   sarvacaryātathatāpraveśena	sarva-caryA-taTa-tA-praveSena
   sarvapuṇyo[peta]prajñāpāramitāprayogatathatāpraveśena	sarva-puNyo[-peta]-prajQApAramitA-prayoga-taTatA-praveSena
   sarvopādānotpādavyayatathatāpraveśena	sarva-upAdAna-utpAda-vyayataTatA-praveSena
   sarvatrivimokṣāśrayahetukarmadharma[tathatā]praveśena va jñātvā	sarva-tri-vimokza-ASraya-hetu-karma-Darma[-taTatA]-praveSena va jQAtvA
   sarvajñajñānasya prayogāvabodho bhavati /	sarvajQa-jQAnasya prayoga-avaboDaH Bavati /
   kautūhaliko bodhisattva āha / yāvadetat mañjuśrīryadā imaṃ gambhīraṃ	kOtUhalikaH boDisattvaH Aha / yAvat-etat maQju-SrIH-yadA imam gamBIram
   dharmanayamavabudhyate tadā na kaściddharma samanupaśyati yo dharmo	Darmanayam-avabuDyate tadA na kaScid-Darma samanupaSyati yaH DarmaH-
   deśyeta yasmai deśyeta yairvārthapadavyañjanairdeśyeta prakāśyeta / yaṃ vā	deSyeta yasmE deSyeta yEH-vA-arTa-pada-vyaQjanEH-deSyeta prakASyeta / yam vA
   punaḥ prajahyād yaṃ vā bhāvayed yaṃ vā parijānīyāt	punar prajahyAt yam vA BAvayet yam vA parijAnIyAt-
   sarvadharmānabhilāpyayogena tathatāṃ praviśati saḥ	sarva-Darma-anaBilApya-yogena taTatAm praviSati saH
   sarvajñajñānamavabudhyate /	sarvajQa-jQAnam-avabuDyate /
   bhagavānāha / sādhu sādhu kulaputra subhāṣitaste 'yamekanayena (Dutt 34)	BagavAn-Aha / sADu sADu kula-putra su-BAzitaH-te ayam-eka-nayena (Dutt 34)
   sarvajñajñānapratilābhaḥ / tat kutaḥ sarvadharmā hyasamāropaḥ /	sarvajQa-jQAna-pratilABaH / tat kutas sarva-DarmAH hi-asamAropaH /
   anutpādāvināśakoṭīkaḥ avidyānirvāṇānutpādabhūtakoṭīkaḥ	anutpAda-avinASa-kowIkaH avidyA-nirvANa-an-utpAda-BUta-kowIkaH
   ākāśanirvāṇā[nutpādabhūta] koṭīkaḥ anabhilāpyakoṭīkaḥ sarvadharmāḥ / evaṃ	AkASa-nirvANA[-nutpAda-BUta] kowIkaH anaBilApya-kowIkaH sarva-DarmAH / evam
   sarvasattvāḥ / sarvadharmā na dravyakoṭīkaḥ sarvāsaṃgavastutaḥ	sarva-sattvAH / sarva-DarmAH na dravya-kowIkaH sarva-asaMga-vastutas-
   parikīrtitaḥ / sarvatryadhvatraidhātukaskandhaniṣkiñcanakoṭīkaḥ	parikIrtitaH / sarvatri-aDva-tra-eDAtuka-skanDa-nizkiQcana-kowIkaH
   trisaṃskāraśūnyatākoṭīkaḥ dharmaskandhavipākaskandhādayaḥ apacayaskandhā	tri-saMskAra-SUnyatA-kowIkaH Darma-skanDa-vipAka-skanDa-AdayaH apacaya-skanDA
   na dravyakoṭīkaḥ [parikīrtitaḥ] /	na dravya-kowIkaH [parikIrtitaH] /
   śūnyatābhūtakoṭyanabhilāpyārthasarvadharmasamanvāgato bodhisattvo	SUnyatA-BUta-kowi-anaBilApya-arTa-sarva-Darma-samanvAgataH boDisattvaH-
   mahāsattvaḥ sarvajñajñānamavatarati /	mahAsattvaH sarvajQa-jQAnam-avatarati /
   tasmin khalu punaḥ sarvajñajñānapratilābhavyākaraṇe bhāṣyamāṇe	tasmin Kalu punar sarvajQa-jQAna-pratilABa-vyAkaraNe BAzyamANe
   viṃśatibhirmārakanyāmāraputragaṇapārṣadyasahasrairanutpattikeṣu dharmeṣu	viMSatiBiH-mAra-kanyA-mAra-putra-gaNa-pArzadya-sahasrEH-anutpattikezu Darmezu
   kṣāntiḥ pratilabdhā / audārikaṃ ca kāyaṃ vijahya manomayaṃ kāyaṃ	kzAntiH pratilabDA / OdArikam ca kAyam vijahya manaH-mayam kAyam
   pratilebhire / apareṣāmapyeṣāṃ viṃśatīnāmanutpattikadharmakṣāntipratilābho	pratileBire / aparezAm-api-ezAm viMSatInAm-anutpattika-Darma-kzAnti-pratilABaH-
   (Dutt 35) 'bhūt / dvinavatīnāṃ ca devamanuṣyabimbarāṇāṃ vicitravicitrāṇāṃ	(Dutt 35) aBUt / dvi-navatInAm ca deva-manuzya-bimbarANAm vicitra-vicitrANAm
   ca bodhisattvakṣāntidhyānadhāraṇīnāṃ pratilābho 'bhūt /	ca boDisattva-kzAnti-DyAna-DAraNInAm pratilABaH aBUt /
   atha tāni viṃśatisahasrāṇi anutpattikadharmakṣāntipratilabdhānāṃ	aTa tAni viMSati-sahasrANi anutpattika-Darma-kzAnti-pratilabDAnAm
   bodhisattvānāṃ mahāsattvānāṃ bhagavantaṃ divyaiḥ puṣpairabhikiranti	boDisattvAnAm mahAsattvAnAm Bagavantam divyEH puzpEH-aBikiranti
   abhiprakiranti sma / bhagavataśca pādau śirobhirabhivandyaivamāhuḥ / paśya	aBiprakiranti sma / BagavataH-ca pAdO SiroBiH-aBivandya-evam-AhuH / paSya
   bhagavan kalyāṇamitrasaṃsargavaśena sattvānāṃ sarvapuṇyopāyakuśalamūlāni	Bagavan kalyANa-mitra-saMsarga-vaSena sattvAnAm sarva-puNya-upAya-kuSala-mUlAni
   manasikārāṇi bhavanti / bhagavānāha / karmapratyaya eṣa draṣṭavyaḥ	manasikArANi Bavanti / BagavAn-Aha / karma-pratyayaH eza drazwavyaH
   kautūhalaprāptānāṃ ca sattvānāṃ bhagavān saṃśayachittyarthamimaṃ	kOtUhala-prAptAnAm ca sattvAnAm BagavAn saMSaya-Citti-arTam-imam
   pūrvayogamudājahāra /	pUrva-yogam-udAjahAraH /
   bhūtapūrvaṃ kulaputrā atīte 'dhvani aparimāṇeṣu mahākalpeṣu atikrāntesu	BUta-pUrvam kula-putrAH atIte aDvani aparimANezu mahA-kalpezu atikrAntesu
   asyāmeva cāturdvīpikāyāṃ yadāsīt tena kālena tena samayena dyutindhare	asyAm-eva cAturdvIpikAyAm yadA-AsIt tena kAlena tena samayena dyutinDare
   mahākalpe vartamāne aṣṭaṣaṣṭivarṣasahasrāyuṣkāyāṃ prajāyāṃ tena ca kālena	mahAkalpe vartamAne azwa-zazwi-varza-sahasra-AyuzkAyAm prajAyAm tena ca kAlena
   tena samayena jyotisomyagandhāvabhāsaśrīrnāma tathāgato 'bhūt	tena samayena jyotisomyaganDA-avaBAsa-SrIH-nAma taTAgataH aBUt-
   vidyācaraṇasampannaḥ sugato lokavidanuttaraḥ puruṣadamyasārathiḥ śāstā	vidyA-caraNa-sampannaH sugataH loka-vid-anuttaraH puruza-damya-sAraTiH SAstA
   devānāṃ ca manuṣyāṇāṃ buddho bhagavān / kliṣṭe pañcakaṣāye loke vartamāne	devAnAm ca manuzyANAm budDaH BagavAn / klizwe paQca-kazAye loke vartamAne
   ca caturṇāṃ parṣadāṃ triyānapratisaṃyuktāṃ sandeśayati sma / tena khalu	ca caturNAm parzadAm tri-yAna-pratisaMyuktAm sandeSayati sma / tena Kalu
   punaḥ samayena rājābhūt utpalavaktro nāma caturdvīpeśvaraścakravartī /	punar samayena rAjA-aBUt utpalavaktraH nAma catur-dvIpa-ISvaraH-cakravartI /
   atha rājā utpalavaktro 'pareṇa kālasamayena sāntaḥpuraparivāraḥ sabalakāyo	aTa rAjA utpala-vaktraH apareNa kAla-samayena sa-antaHpura-parivAraH sa-balakAyaH-
   yena (Dutt 36) jyotisomyagandhāvabhāsaśrīstathāgatastenopasaṃkrāmat /	yena (Dutt 36) jyoti-somya-ganDA-avaBAsa-SrIH-taTAgataH-tena-upasaMkrAmat /
   upasaṃkramya tasya bhagavataḥ pādau śirasābhivandya bhagavantaṃ	upasaMkramya tasya BagavataH pAdO SirasA-aBivandya Bagavantam
   nānapuṣpairabhyavākirat nānāgandhairnānādhūpaiśca pūjāṃ kṛtvā bhagavato	nAna-puzpEH-aByavAkirat nAnA-ganDEH-nAnA-DUpEH-ca pUjAm kRtvA BagavataH-
   bhikṣusaṃghasya pādau śirasābhivandyābhyāṃ gāthābhyām abhyaṣṭāvīt /	Bikzu-saMGasya pAdO SirasA-aBivandyAByAm gATAByAm aByazwAvIt /
   bhujaṃgāmarādibhiratīva guṇaiḥ samabhiṣṭutaḥ pracuradoṣaharaḥ /	BujaMga-amara-AdiBiH-atIva guNEH samaBizwutaH pracura-doza-haraH /
   dhanasaptakena ca hito jagato vada kena sūkṣmamatimān bhavati // Rkp_2.1	Dana-saptakena ca hitaH jagataH vada kena sUkzma-matimAn Bavati // RkB-_2.1
   jagatastamoghnaḥ śamadīpakara cyutijanmajarobhdavanaśokadamaḥ /	jagataH-tamoGnaH Sama-dIpa-kara cyuti-janma-jaroBdavana-Soka-damaH /
   jagatastvapāyapathavārayatā vada kena mucyati ha mārapathā // Rkp_2.2 //	jagataH-tu-apAya-paTa-vArayatA vada kena mucyati ha mArapaTAH // RkB-_2.2 //
   atha khalu māraputrāḥ sa jyotisomyagandhavabhāsaśrīstathāgato	aTa Kalu mAra-putrAH sa jyoti-somya-ganDa-vaBAsa-SrIH-taTAgataH-
   rājānamutpalavaktrametadavocat / tribhiḥ satpuruṣadharmaiḥ samanvāgato	rAjAnam-utpala-vaktram-etat-avocat / triBiH sat-puruza-DarmEH samanvAgataH-
   bodhisattvaḥ sūkṣmamatirbhavati / katamaistribhiḥ / adhyāśayena	boDisattvaH sUkzma-matiH-Bavati / katamEH-triBiH / aDyASayena
   sarvasattveṣu karuṇāyate / sarvasattvānāṃ duḥkhapraśamāya udyato bhavati	sarva-sattvezu karuNAyate / sarva-sattvAnAm duHKa-praSamAya udyataH Bavati
   (Dutt 37) mātṛvat / sarvadharmādīn	(Dutt 37) mAtR-vat / sarva-Darma-AdIn
   nirjīvaniṣpoṣaniṣpudgalānānākaraṇa-samān vyupaparīkṣate /	nirjIva-nizpoza-nizpudgala-AnAnAkaraNa--samAn vyupaparIkzate /
   ebhistribhirdharmaiḥ samanvāgataḥ satpuruṣo bodhisattvaḥ	eBiH-triBiH-DarmEH samanvAgataH sat-puruzaH boDisattvaH
   sūkṣmamatirbhavati / aparaistribhiḥ mahārāja dharmaiḥ samanvāgataḥ	sUkzma-matiH-Bavati / aparEH-triBiH mahA-rAja DarmEH samanvAgataH
   satpuruṣo mārapāśeṣu na sajjate / katamaistribhiḥ / yaduta	sat-puruzaH mAra-pASezu na sajjate / katamEH-triBiH / yat-uta
   sarvasattveṣvakrodhano bhavati anavatāraprekṣī sarvasattvasamadakṣiṇīyaḥ	sarva-sattvezu-akroDanaH Bavati anavatAra-prekzI sarva-sattva-sama-dakziNIyaH
   samasaṃjñāmayo bhavati / sarvadharmānekanayena vyupaparīkṣate yaduta	sama-saMjQA-mayaH Bavati / sarva-Darma-aneka-nayena vyupaparIkzate yat-uta
   ākāśasamān niḥsaṃskārānanānātvānajātānanutpannānaniruddhān /	AkASa-samAn niHsaMskArAn-anAn-AtvAna-jAtAn-anutpannAn-anirudDAn /
   sarvānākāśavad dravyalakṣaṇavigatānanupalambhayogena pratyavekṣate /	sarvAn-AkASa-vat dravya-lakzaNa-vigatAn-anupalamBa-yogena pratyavekzate /
   ebhirmahārāja tribhirdharmaiḥ samanvāgataḥ puruṣo mārapāśeṣu na sajjate	eBiH-mahA-rAja triBiH-DarmEH samanvAgataH puruzaH mAra-pASezu na sajjate
   mārapathācca nirmucyate /	mAra-paTAt-ca nirmucyate /
   atha rājñaḥ utpalavaktrasyāgramahiṣī surasundarī nāma sā caturaśītibhiḥ	aTa rAjQaH utpala-vaktrasya-agra-mahizI surasundarI nAma sA caturaSItiBiH
   strīsahasraiḥ parivṛtā puraskṛtā yena	strI-sahasrEH parivRtA puraskRtAH yena
   jyotisomyagandhāvabhāsaśrīstathāgatastenopajagāma / upetya taṃ bhagavantaṃ	jyoti-somya-ganDA-avaBAsa-SrIH-taTAgataH-tena-upajagAma / upetya tam Bagavantam
   jyotisomyagandhāvabhāsaśriyaṃ tathāgataṃ nānāpuṣpairabhyavakīrya	jyoti-somya-ganDA-avaBAsa-Sriyam taTAgatam nAnA-puzpEH-aByavakIrya
   ābhirgāthābhiradhyabhāṣata /	ABiH-gATABiH-aDi-aBAzata /
   asadṛguṇadhara vitimirakaraṇa cyutihara vada kathamihā yuvati /	asadRguNa-Dara vitimira-karaNa cyuti-hara vada kaTam-ihAH yuvati /
   bhavatiha puruṣo vyapagatakugati (Dutt 38) śriyu vinayamana drutahitakara	Bavati-ha puruzaH vyapagata-kugati (Dutt 38) Sriyu vinayamanaH druta-hita-kara
   // Rkp_2.3 //	// RkB-_2.3 //
   paramagatigata sugata praśamaratikara bhagavan tyajati yuvati tāṃ	parama-gati-gata sugata praSama-rati-kara Bagavan tyajati yuvati tAm
   kathamiha puruṣaḥ /	kaTam-iha puruzaH /
   vada mama laghu suvinaya parahitakara śamayātitimirā mama nayagaganāt //	vada mama laGu su-vinaya para-hita-kara Samaya-ati-timirAH mama naya-gaganAt //
   Rkp_2.4 //	RkB-_2.4 //
   asamasama jagati śramaṇa parama prathita guṇagaṇa smṛtivinayadhara /	asamasama jagati SramaNa parama praTita guNa-gaNa smRti-vinaya-Dara /
   mama yadi puriṣeha bhavati hi dharatā laghu vada vitimira sugatapathāmṛtam	mama yadi purizA-iha Bavati hi DaratA laGu vada vitimira sugata-paTa-amRtam
   // Rkp_2.5 //	// RkB-_2.5 //
   evamukte kulaputra sa jyotisomyagandhāvabhāsaśrīstathāgatastāṃ	evam-ukte kula-putra sa jyoti-somya-ganDA-avaBAsa-SrIH-taTAgataH-tAm
   surasundarīmagramahiṣīmetadavocat / asti bhagini paryāyo yena mātṛgrāmo	surasundarIm-agra-mahizIm-etat-avocat / asti Bagini paryAyaH yena mAtR-grAmaH-
   mātṛgrāmabhāvaṃ laghveva parivartayati pūrvākṣiptamātṛgrāmabhāvo	mAtR-grAma-BAvam laGu-eva parivartayati pUrva-Akzipta-mAtR-grAma-BAvaH-
   laghvaśeṣaṃ kṣīyate na ca bhūyo mātṛgrāmeṣu upapattiṃ pratigṛṇhāti	laGu-aSezam kzIyate na ca BUyas mAtR-grAmezu upapattim pratigRNhAti
   yāvadanuttaraparinirvāṇe hānyā [hyanatra sva]praṇidhānāt / tatra bhagini	yAvat-anuttara-parinirvANe ha-anyAH [hi-anatra sva]-praNiDAnAt / tatra Bagini
   kataraḥ paryāyo yena paryāyeṇa mātṛgrāmo laghu puruṣo bhavati pūrvākṣiptaṃ	kataraH paryAyaH yena paryAyeNa mAtR-grAmaH laGu puruzaH Bavati pUrva-Akziptam
   ca mātṛgrāmabhāvaṃ laghvaśeṣaṃ kṣepayati / iha bhagini iyaṃ ratnaketurnāma	ca mAtR-grAma-BAvam laGu-aSezam kzepayati / iha Bagini iyam ratnaketuH-nAma
   dhāraṇī mahārthikī mahānuśaṃsā mahāprabhāvā sarvamātṛgrāmabhāvakṣayakarī	DAraNI mahArTikI mahA-anuSaMsA mahA-praBAvA sarva-mAtR-grAma-BAva-kzaya-karI
   kāyavāṅmanoduḥkhavipākadauṣṭhulyaṃ (Dutt 39) niravaśeṣaṃ kṣepayati /	kAya-vAc-manaH-duHKa-vipAka-dOzWulyam (Dutt 39) niravaSezam kzepayati /
   asyāśca ratnaketudhāraṇyāḥ samāśrayaṇena mātṛgrāmasya mātṛgrāmabhāvo	asyAH-ca ratna-ketuDA-AraNyAH samASrayaNena mAtR-grAmasya mAtR-grAma-BAvaH-
   niravaśeṣo gacchati / strīndriyamantardhāya puruṣendriyaṃ prādurbhavati /	niravaSezaH gacCati / strI-indriyam-antarDAya puruza-indriyam prAdurBavati /
   puruṣaścāpi rūpa[vān sarvāṅga]paripūrṇo bhavati ṛjuḥ sūkṣmajñānakuśalo	puruzaH-ca-api rUpa[vAn sarva-aFga]-paripUrNaH Bavati RjuH sUkzma-jQAna-kuSalaH-
   bhavati kāyavāṅmanaḥsukṛtakarmāntaḥ sucaritacārī sarvaśaturnirjetā bhavati	Bavati kAya-vAc-manaH-su-kRta-karmAntaH su-carita-cArI sarva-SatuH-nirjetA Bavati
   / yaścāsya dṛṣṭadharmasāṃparāyikaḥ kāya[vāṅma]noduḥkhapratisaṃvedanīyo	/ yaH-ca-asya dRzwa-Darma-sAMparAyikaH kAya[vAc-ma]naH-duHKa-pratisaMvedanIyaH-
   duṣkṛtānāṃ vāṅmanaḥkarmaṇāṃ phalavipākaḥ sa parikṣayaṃ gacchati /	duzkRtAnAm vAc-manaH-karmaNAm Pala-vipAkaH sa parikzayam gacCati /
   sthāpyānantaryakāriṇaṃ saddharmapratikṣepakamāryāpavādakaṃ ca teṣāṃ	sTApya-Anantarya-kAriNam sat-Darma-pratikzepakam-Arya-apavAdakam ca tezAm
   punastenaiva bhāvena parikṣayaṃ gacchati [a]pariśeṣaḥ strībhāvaḥ /	punar-tena-eva BAvena parikzayam gacCati [a]pariSezaH strI-BAvaH /
   kāyavāṅmanodauṣṭhulyavaipākikaḥ sumerumātraḥ pārajanmikaḥ strībhāvenāpi	kAya-vAc-manaH-dOzWulya-vEpAkikaH sumeru-mAtraH pArajanmikaH strI-BAvena-api
   nivartako duḥkhavipākapratisaṃvedanīyaḥ	nivartakaH duHKa-vipAka-pratisaMvedanIyaH
   karmāvaraṇa-pāpaniṣyandaniravaśeṣaḥ parikṣayaṃ gacchati / tat kutaḥ /	karma-AvaraNa-pApa-nizyanda-niravaSezaH parikzayam gacCati / tat kutas /
   [tad] yathā nāma iyaṃ ratnaketudhāraṇī sarvairatītaistathāgatairarhadbhiḥ	[tad] yaTA nAma iyam ratnaketu-DAraNI sarvEH-atItEH-taTAgatEH-arhadBiH
   samyaksambuddhairbhāṣitāścādhiṣṭhitā anyonyamanumoditāḥ stutā abhiṣṭutā	samyaksambudDEH-BAzitAH-ca-aDizWitAH anyonyam-anumoditAH stutA aBizwutA
   varṇitāḥ sattvānāṃ duḥkhavipākakarmaparikṣayāya kuśalamūlabivṛddhitāyai /	varNitAH sattvAnAm duHKa-vipAka-karma-parikzayAya kuSala-mUla-bivRdDi-tAyE /
   ebhiḥ kecidetarhi daśasu dikṣu pratyutpannāstathāgatā arhantaḥ	eBiH kecid-etarhi daSasu dikzu pratyutpannAH-taTAgatAH arhantaH
   samyaksaṃbuddhāstiṣṭhanti yāpayanti svakasvakeṣu buddhakṣetreṣu / sarve te	samyaksaMbudDAH-tizWanti yApayanti sva-ka-svakezu budDa-kzetrezu / sarve te
   buddha bhagavanta imāṃ ratnaketudhāraṇīṃ bhāṣante yāvat praśaṃsanti	budDa BagavantaH imAm ratnaketu-DAraNIm BAzante yAvat praSaMsanti
