   akarotkiṃ mahādeva SkP_26.2c	akarot kim mahAdeva SkP_26.2c
   gambhīrāṃ madhurāṃ yuktām SkP_5.56c	gamBIrAm maDurAm yuktAm SkP_5.56c
   garjatpayodasthagitendubimbā SkP_13.80a	garjat payoda sTagita indu bimbA Sku _13.80a
   gartāyāṃ vīraṇastambe SkP_11.9a	gartAyAm vIraNa stambe Sku _11.9a
   gartāyāṃ sa pitṝndvijaḥ SkP_20.6b	gartAyAm sa pitLn dvijaH Sku _20.6b
   gartārūpaṃ samāsthitaḥ SkP_11.12b	gartA rUpam samAsTitaH Sku _11.12b
   gartāsthāne śṛṇomyaham SkP_11.6b	gartA sTAne SRNomi aham Sku _11.6b
   garhitā sādhubhiḥ sadā SkP_30.10b	garhitA sADuBiH sadA Sku _30.10b
   gavāṃ vatsaiḥ svayaṃbhuvaiḥ SkP_29.9b	gavAm vatsEH svayaMBuvEH Sku _29.9b
   gāṇapatyapadāttasmād SkP_29.54a	gANapatya padAt tasmAt Sku _29.54a
   gāṇapatyaṃ tathākṣayam SkP_31.9b	gANapatyam taTA akzayam Sku _31.9b
   gāṇapatyaṃ sa labhate SkP_28.11a	gANapatyam sa laBate Sku _28.11a
   gāṇapatyaṃ sa labhate SkP_28.26c	gANapatyam sa laBate SkP_28.26c
   gāṇapatyaṃ sa labhate SkP_28.40e	gANapatyam sa laBate Sku _28.40e
   gāṇapatyā gatistasya SkP_29.38c	gANapatyA gatiH tasya SkP_29.38c
   gādheyasya tataḥ sā tu SkP_19.20a	gADeyasya tatas sA tu SkP_19.20a
   gāndharvaṃ śabdalakṣaṇam SkP_20.35d	gAnDarvam Sabda lakzaNam Sku _20.35d
   gāyati daivataviprasamakṣam SkP_14.29b	gAyati dEvata vipra samakzam Sku _14.29b
   gāyate nṛtyate 'pi ca SkP_21.47b	gAyate nRtyate api ca Sku _21.47b
   gāyatrī vedabhāvinī SkP_8.17b	gAyatrI veda BAvinI SkP_8.17b
   gāyatrīṃ vedabhāvinīm SkP_8.16d	gAyatrIm veda BAvinIm SkP_8.16d
   gāyantaśca dravantaśca SkP_23.63a	gAyantaH ca dravantaH ca SkP_23.63a
   gāyanti triguṇānvitam SkP_3.26d	gAyanti triguNa anvitam Sku _3.26d
   gāyanti hṛṣitāḥ sarvā SkP_13.72c	gAyanti hRzitAH sarvA SkP_13.72c
   gārdabhaṃ vāpyathauṣṭraṃ vā SkP_17.17c	gArdaBam vA api aTa Ozwram vA SkP_17.17c
   gāvastāḥ somapārśvagāḥ SkP_29.10b	gAvaH tAH soma pArSva gAH SkP_29.10b
   gāvaḥ pūrvamimā devi SkP_29.11a	gAvaH pUrvam imA devi Sku _29.11a
   giriko meghanādaśca SkP_23.58a	girikaH meGanAdaH ca SkP_23.58a
   giriduhitṛvivāhe prāvṛḍāgādvibhūtyai SkP_13.82d	giri duhitR vivAhe prAvRz AgAt viBUtyE SkP_13.82d
   girirājñaḥ pitāmahaḥ SkP_13.62b	giri rAjQaH pitAmahaH SkP_13.62b
   girīndratanayā patim SkP_27.2d	girIndra tanayA patim SkP_27.2d
   girīndratanayāṃ vacaḥ SkP_29.142d	girIndra tanayAm vacaH SkP_29.142d
   gire 'tha smṛtaye namaḥ SkP_29.195d	gire aTa smRtaye namaH SkP_29.195d
   girau vavṛdhire phullāḥ SkP_13.115c	girO vavRDire PullAH Sku _13.115c
   gītanṛttaṃ tathāpare SkP_26.37f	gIta nRttam taTA apare SkP_26.37f
   gītā purāṇe prakṛtiḥ parārthā SkP_13.24d	gItA purANe prakRtiH para arTA SkP_13.24d
   guṇavānaguṇeṣvapi SkP_25.38b	guNavAn aguNezu api Sku _25.38b
   guṇānāṃ vṛttidāya ca SkP_14.23d	guNAnAm vRtti dAya ca Sku _14.23d
   guṇināṃ śāntidāya ca SkP_3.16b	guNinAm SAnti dAya ca Sku _3.16b
   guṇaiḥ sarvairalaṃkṛtam SkP_11.21b	guNEH sarvEH alaMkRtam Sku _11.21b
   guruputrasya dhīmataḥ SkP_17.7b	guru putrasya DImataH Sku _17.7b
   guruśuśrūṣaṇasya ca SkP_2.19d	guru SuSrUzaNasya ca SkP_2.19d
   guruśuśrūṣaṇe bhāvaṃ SkP_20.47c	guru SuSrUzaNe BAvam SkP_20.47c
   gurūnvāpyavamanyate SkP_20.44b	gurUn vA api avamanyate SkP_20.44b
   gulmāntaraprasṛtabhītamṛgīsamūham SkP_30.39c	gulma antara prasRta BIta mRgI samUham SkP_30.39c
   guhyakā vata yūyaṃ vai SkP_30.8c	guhyakAH vata yUyam vE SkP_30.8c
   guhyakāḥ khecarāścānye SkP_13.69c	guhyakAH KecarAH ca anye SkP_13.69c
   guhyametatparaṃ devi SkP_28.23a	guhyam etat param devi Sku _28.23a
   guhyametanmama priye SkP_28.64d	guhyam etat mama priye SkP_28.64d
   guhyametanmayeritam SkP_28.42d	guhyam etat mayA Iritam Sku _28.42d
   guhyaṃ kṣetraṃ mama smṛtam SkP_29.29d	guhyam kzetram mama smRtam Sku _29.29d
   guhyaṃ cānyadidaṃ śṛṇu SkP_29.51d	guhyam ca anyat idam SRNu SkP_29.51d
   guhyaṃ caitadudāhṛtam SkP_29.86b	guhyam ca etat udAhRtam Sku _29.86b
   guhyaṃ caitanmamepsitam SkP_27.27d	guhyam ca etat mama Ipsitam Sku _27.27d
   guhyaṃ devātidevasya SkP_7.28e	guhyam deva atidevasya Sku _7.28e
   guhyaṃ vedārthasaṃmitam SkP_5.66b	guhyam veda arTa saMmitam Sku _5.66b
   guhyaṃ sadā kṣetramidaṃ supuṇyam SkP_29.90b	guhyam sadA kzetram idam su puNyam Sku _29.90b
   guhyāguhyāya vai sadā SkP_28.54d	guhya AguhyAya vE sadA SkP_28.54d
   guhyādguhyataraṃ mahat SkP_30.51b	guhyAt guhyataram mahat Sku _30.51b
   guhyā ye ca mahābalāḥ SkP_23.62b	guhyAH ye ca mahA balAH Sk= _23.62b
   gṛkpādapadagāminī SkP_5.11b	gRkpAda pada gAminI Sku _5.11b
   gṛhasambandhibāndhavān SkP_30.14b	gRha sambanDi bAnDavAn Sku _30.14b
   gṛhasthasādhave nityaṃ SkP_14.15a	gRhasTa sADave nityam Sku _14.15a
   gṛhaṃ gatāhaṃ deveśa SkP_26.13a	gRham gatA aham deveSa Sku _26.13a
   gṛhaṃ śivapure 'kṣayam SkP_27.12d	gRham Siva pure akzayam Sku _27.12d
   gṛhāṇa cemāṃ śibikāṃ SkP_29.170a	gRhANa ca imAm SibikAm Sku _29.170a
   gṛhāṇa tapa etacca SkP_12.53a	gRhANa tapaH etat ca Sku _12.53a
   gṛhāṇāyudhametatte SkP_29.171c	gRhANa AyuDam etat te SkP_29.171c
   gṛhānabhyāgamattadā SkP_26.62d	gRhAn aByAgamat tadA SkP_26.62d
   gṛhānsvānāviśatprabhuḥ SkP_29.238d	gRhAn svAn AviSat praBuH SkP_29.238d
   gṛhāṃśca me sapatnīkāḥ SkP_10.18a	gRhAn= ca me sa patnIkAH Sku _10.18a
   gṛhiṇo liṅgino vāpi SkP_30.66c	gRhiNaH liFginaH vA api SkP_30.66c
   gṛhītvā cāśanīhāsaṃ SkP_23.21a	gRhItvA ca aSanI hAsam Sku _23.21a
   gṛhītvā cāśramaṃ svena SkP_20.34c	gRhItvA ca ASramam svena SkP_20.34c
   gṛhītvā somamāgatā SkP_8.21b	gRhItvA somam AgatA Sku _8.21b
   gṛhītvā stabakaṃ sā tu SkP_12.20a	gRhItvA stabakam sA tu SkP_12.20a
   gṛhītvā hāranirmalam SkP_22.15b	gRhItvA hAra nirmalam Sku _22.15b
   gokanyābhiḥ sa pūjyate SkP_28.21d	gokanyABiH sa pUjyate SkP_28.21d
   gokarṇe ca tathā hyubhau SkP_29.83b	gokarNe ca taTA hi uBO Sku _29.83b
   gokṣīradhārā iva saṃnipetuḥ SkP_13.98d	go kzIra DArAH iva saMnipetuH SkP_13.98d
   gocarmadvayasāṃ vāpi SkP_27.17a	gocarma dvayasAm vA api Sku _27.17a
   godhenūnāṃ gaṇeśvara SkP_26.43d	go DenUnAm gaNeSvara SkP_26.43d
   goprekṣaka iti khyātaḥ SkP_29.14c	goprekzakaH iti KyAtaH SkP_29.14c
   goprekṣaṃ savṛṣadhvajam SkP_29.58d	go prekzam sa vRza Dvajam Sku _29.58d
   goprekṣeśvaramāgatya SkP_29.15a	go prekza ISvaram Agatya Sku _29.15a
   gomāyuvadhaśaṅkitāḥ SkP_29.48d	gomAyu vaDa SaFkitAH SkP_29.48d
   govṛṣavāhamameyaguṇaughaṃ SkP_10.39c	go vRza vAham ameya guNa oGam SkP_10.39c
   gosahasraphalaṃ so 'pi SkP_9.28c	go sahasra Palam saH api SkP_9.28c
   gaurāṇi gauraiśca sanāladaṇḍaiḥ SkP_13.110b	gOrANi gOrEH ca sa nAla daNxEH Sku _13.110b
   gaurītvaṃ putralambhaśca SkP_2.12a	gOrI tvam putra lamBaH ca SkP_2.12a
   gauryāśca nilayo vindhye SkP_2.13a	gOryAH ca nilayaH vinDye Sku _2.13a
   gauryai kālyai namo namaḥ SkP_29.193b	gOryE kAlyE namaH namaH Sku _29.193b
   grasāmi visṛjāmi ca SkP_5.25d	grasAmi visRjAmi ca SkP_5.25d
   grasiṣyattamavardhata SkP_5.41d	grasizyattam avarData SkP_5.41d
   grahāṇāmadhipaścaiva SkP_25.32a	grahANAm aDipaH ca eva Sku _25.32a
   grahāpyāyana ityuta SkP_23.44b	graha ApyAyanaH iti uta Sku _23.44b
   grahebhyaśca namo vo 'stu SkP_25.51a	graheByaH ca namaH vaH astu Sku _25.51a
   grahebhyo vyāsa sarvadā SkP_24.64d	graheByaH vyAsa sarvadA SkP_24.64d
   grahaiḥ śukrapurogaiśca SkP_29.50a	grahEH Sukra purogEH ca Sku _29.50a
   grāmāndāsyastathaiva ca SkP_26.46b	grAmAn dAsyaH taTA eva ca Sku _26.46b
   grāhagrasto 'pi duḥkhitaḥ SkP_12.34b	grAha grastaH api duHKitaH Sku _12.34b
   grāhagrasto 'bhavattadā SkP_12.31d	grAha grastaH aBavat tadA SkP_12.31d
   grāharāja namo 'stu te SkP_12.43d	grAha rAja namaH astu te SkP_12.43d
   grāharāja mahāsattva SkP_12.40a	grAha rAja mahA sattva Sku _12.40a
   grāhasyāsya durātmanaḥ SkP_12.33d	grAhasya asya durAtmanaH SkP_12.33d
   grāhādhipa vadasvāśu SkP_12.48a	grAha aDipa vadasva ASu Sku _12.48a
   grāheṇa grasyamānaṃ taṃ SkP_12.37c	grAheNa grasyamAnam tam SkP_12.37c
   grāheṇa hṛtacetasam SkP_12.32f	grAheNa hRta cetasam SkP_12.32f
   grāhendra viditaṃ hi te SkP_12.55b	grAha indra viditam hi te SkP_12.55b
   grīṣma āgāddhimācalam SkP_13.120d	grIzmaH AgAt himAcalam Sku _13.120d
   ghanāmbusamparkatayā suśītalaiḥ SkP_13.79b	Gana ambu samparka tayA su SItalEH SkP_13.79b
   ghanena sa himācalaḥ SkP_13.94b	Ganena sa himAcalaH Sku _13.94b
   ghṛtapātramasaṃkhyeyam SkP_27.33a	GRta pAtram asaMKyeyam Sku _27.33a
   ghṛtasya madhunā saha SkP_28.65d	GRtasya maDunA saha SkP_28.65d
   ghṛtācī pūrvacittyapi SkP_25.11b	GRtAcI pUrvacitti api Sku _25.11b
   cakarta tanmahadghoraṃ SkP_5.43c	cakarta tat mahat Goram SkP_5.43c
   cakraturyacca saṃgatau SkP_20.1b	cakratuH yat ca saMgatO Sku _20.1b
   cakratuḥ kimataḥ param SkP_29.1d	cakratuH kim atas param SkP_29.1d
   cakravākopaśobhitā SkP_22.16d	cakravAka upaSoBitA SkP_22.16d
   cakrasya ca visarjanam SkP_2.5b	cakrasya ca visarjanam Sku _2.5b
   cakraṃ ca pratisargikam SkP_4.10d	cakram ca pratisargikam SkP_4.10d
   cakrābharaṇa eva ca SkP_23.43b	cakra ABaraNaH eva ca Sku _23.43b
   cakrāyudho mahātejā SkP_23.43c	cakrAyuDaH mahA tejAH SkP_23.43c
   cakrāhvayasya rūpeṇa SkP_15.3c	cakra Ahvayasya rUpeNa SkP_15.3c
   cakrāhvayugmairupanāditāni SkP_13.105c	cakrAhva yugmEH upanAditAni SkP_13.105c
   cakriṇaṃ cordhvamehanam SkP_8.34b	cakriNam ca UrDva mehanam Sku _8.34b
   cakruryātrāstathā kecid SkP_26.37a	cakruH yAtrAH taTA kecid Sku _26.37a
   cakruḥ pādapratiṣṭhārthaṃ SkP_24.15c	cakruH pAda pratizWA arTam SkP_24.15c
   cakre tatra tadālayam SkP_26.33b	cakre tatra tad Alayam SkP_26.33b
   cakre brahmasaraḥ puṇyaṃ SkP_7.11c	cakre brahmasaraH puNyam SkP_7.11c
   cakṣuraprārthayanvibhum SkP_13.53f	cakzuH aprArTayan viBum Sku _13.53f
   cakṣurdivyaṃ dadāni te SkP_29.129b	cakzuH divyam dadAni te SkP_29.129b
   cakṣuṣā tena sa tadā SkP_5.55a	cakzuzA tena sa tadA Sku _5.55a
   cakṣuṣā nirdahanniva SkP_10.16d	cakzuzA nirdahan= iva SkP_10.16d
   cakhāda tapasānvitam SkP_17.1b	caKAda tapasA anvitam Sku _17.1b
   cañcatpakṣāḥ sumadhurarutaṃ nīlakaṇṭhā vineduḥ SkP_13.119b	caQcat pakzAH su maDura rutam nIlakaNWAH vineduH Sku _13.119b
   caturṇāṃ puṣpajātīnāṃ SkP_28.31a	caturNAm puzpa jAtInAm Sku _28.31a
   caturdaśasahasrāṇi SkP_27.28c	caturdaSa sahasrANi SkP_27.28c
   caturdaśyāmathāṣṭamyāṃ SkP_28.60c	caturdaSyAm aTa azwamyAm SkP_28.60c
   caturdaśyāṃ tathāṣṭamyām SkP_28.4a	caturdaSyAm taTA azwamyAm Sku _28.4a
   caturbāhurvilohitaḥ SkP_23.28b	catur bAhuH vilohitaH SkP_23.28b
   caturbhirna viyatsthaṃ tam SkP_5.39c	caturBiH na viyat sTam tam Sku _5.39c
   caturbhirmukhapaṅkajaiḥ SkP_5.23d	caturBiH muKa paFkajEH SkP_5.23d
   caturmukho dvādaśabhis SkP_23.50a	caturmuKaH dvAdaSaBiH SkP_23.50a
   caturvaktramivāvṛtam SkP_1.19d	catur vaktram iva AvRtam SkP_1.19d
   caturvaktro mahātejāś SkP_23.33c	caturvaktraH mahA tejAH SkP_23.33c
   caturvarṇasamākulām SkP_30.64d	catur varNa samAkulAm SkP_30.64d
   caturviṃśekṣaṇaḥ prabhuḥ SkP_23.33d	caturviMSa IkzaNaH praBuH SkP_23.33d
   candanaṃ caiva dadyādvai SkP_28.16c	candanam ca eva dadyAt vE SkP_28.16c
   candradivākaravahnisamākṣaṃ SkP_10.39a	candra divAkara vahni samAkzam Sku _10.39a
   candranibhānanapadmadalākṣam SkP_10.39b	candra niBa Anana padma dala akzam Sku _10.39b
   candramālādharo ghoraḥ SkP_23.39c	candramAlA DaraH GoraH SkP_23.39c
   candramaulirmahākeśaś SkP_23.28a	candramOliH mahAkeSaH Sku _23.28a
   candrākāśadharāya ca SkP_20.18b	candra AkASa DarAya ca Sku _20.18b
   candrādityagatiṃ sarvāṃ SkP_5.8a	candra Aditya gatim sarvAm Sku _5.8a
   candrādityagrahaiścaiva SkP_8.34e	candra Aditya grahEH ca eva Sku _8.34e
   candrādityau grahaiḥ saha SkP_24.28d	candra AdityO grahEH saha SkP_24.28d
   candrāvayavabhūṣaṇa SkP_27.3b	candra avayava BUzaNa SkP_27.3b
   candrāṃśujāladhavalaistilakairmanojñaiḥ SkP_30.40a	candra aMSu jAla DavalEH tilakEH manojQEH Sku _30.40a
   candrāṃśuhāravaryeṇa SkP_13.86a	candra aMSu hAra varyeNa Sku _13.86a
   campakāśokapuṃnāga  SkP_29.6a	campaka aSoka puMnAga Sku _29.6a
   caraṇaṃ me pitāmaha SkP_11.38b	caraNam me pitAmaha Sku _11.38b
   carate sa mayā sārdhaṃ SkP_27.13c	carate sa mayA sArDam SkP_27.13c
   caravo daśasāhasrā SkP_27.32a	caravaH daSa sAhasrA Sku _27.32a
   carācarādhipataye SkP_14.6c	carAcara aDipataye SkP_14.6c
   carācareśaḥ prathamo 'prameyaḥ SkP_11.42b	carAcara ISaH praTamaH aprameyaH Sku _11.42b
   caritaṃ tapa uttamam SkP_12.43b	caritam tapaH uttamam Sku _12.43b
   caritaṃ yattapaścedam SkP_29.150a	caritam yat tapaH ca idam Sku _29.150a
   cariṣyati yathepsitam SkP_25.21f	carizyati yaTA Ipsitam Sku _25.21f
   cariṣyanti mayā sārdhaṃ SkP_10.12c	carizyanti mayA sArDam SkP_10.12c
   cariṣyasi sunirvṛtaḥ SkP_12.24f	carizyasi su nirvRtaH Sku _12.24f
   cariṣyāmi tapaḥ śuddhaṃ SkP_17.27c	carizyAmi tapaH SudDam SkP_17.27c
   cariṣye dīkṣito vratam SkP_17.3b	carizye dIkzitaH vratam Sku _17.3b
   caruṃ kṛtvā nivedya ca SkP_9.27d	carum kRtvA nivedya ca SkP_9.27d
   carenmṛtyuvivarjitaḥ SkP_9.31d	caret mRtyu vivarjitaH SkP_9.31d
   calatkumudasaṃghāta  SkP_13.87c	calat kumuda saMGAta SkP_13.87c
   caladvidyullatākāñcī SkP_13.81c	calat vidyut latA kAQcI SkP_13.81c
   cāmīkarapratisamairatha karṇikāraiḥ SkP_30.40c	cAmIkara pratisamEH aTa karNikArEH SkP_30.40c
   cārukuṇḍalaśobhinī SkP_13.87d	cAru kuNxala SoBinI SkP_13.87d
   cārucāmīkaraprabham SkP_24.13b	cAru cAmIkara praBam Sku _24.13b
   cāruratnakasaṃyuktaṃ SkP_24.14c	cAru ratnaka saMyuktam SkP_24.14c
   ciccheda bhuvaneśvaraḥ SkP_7.33b	cicCeda BuvaneSvaraH SkP_7.33b
   citrakūṭeti viśrutam SkP_12.25b	citrakUwA iti viSrutam Sku _12.25b
   citrasenaśca gāyanaḥ SkP_25.9b	citrasenaH ca gAyanaH Sku _25.9b
   citrasragbhyo namo namaḥ SkP_25.44d	citra sragByaH namaH namaH SkP_25.44d
   citrā mārakatī bhūmiḥ SkP_13.65a	citrA mArakatI BUmiH Sku _13.65a
   citro nāma gaṇo mahyaṃ SkP_28.43a	citraH nAma gaNaH mahyam Sku _28.43a
   cirasyāgamanaṃ hyadya SkP_26.7c	cirasya Agamanam hi adya SkP_26.7c
   ciraṃ yaddhṛdaye sthitam SkP_1.23d	ciram yat hRdaye sTitam Sku _1.23d
   ciraṃ vatsyāmi nirvṛtaḥ SkP_20.58d	ciram vatsyAmi nirvRtaH SkP_20.58d
   ciraṃ hṛdi samāsthitam SkP_4.27b	ciram hRdi samAsTitam Sku _4.27b
   cihnitaḥ syājjagatpate SkP_7.4d	cihnitaH syAt jagatpate SkP_7.4d
   cīruvākavighuṣṭāni SkP_13.116a	cIruvAka viGuzwAni SkP_13.116a
   cukopa kupitaścāha SkP_17.22c	cukopa kupitaH ca Aha Sku _17.22c
   cukopa parameśvarī SkP_29.135d	cukopa parameSvarI SkP_29.135d
   cukrudhurbhṛśamārditāḥ SkP_13.32d	cukruDuH BRSama arditAH SkP_13.32d
   cūḍopanayanādīni SkP_20.34e	cUxa upanayana AdIni Sku _20.34e
   cūtāṃścāpi priyaṅgavaḥ SkP_13.106b	cUtAn= ca api priyaFgavaH Sku _13.106b
   cetobhirāmaṃ tridaśāṅganānāṃ SkP_13.104c	cetaH BirAmam tridaSa aFganAnAm SkP_13.104c
   chattraṃ jagrāha devendro SkP_24.48a	Cattram jagrAha deva indraH Sku _24.48a
   chattraṃ dadyācca yaḥ so 'pi SkP_27.33e	Cattram dadyAt ca yaH saH api SkP_27.33e
   chattraṃ śataśalākaṃ ca SkP_24.17a	Cattram Sata SalAkam ca Sku _24.17a
   chatrairiva mahābhogaiḥ SkP_13.96c	CatrEH iva mahA BogEH SkP_13.96c
   chandase ceṣṭaye namaḥ SkP_29.159d	Candase ca izwaye namaH SkP_29.159d
   chandāṃsi caiva sarvāṇi SkP_24.34c	CandAMsi ca eva sarvANi SkP_24.34c
   chandovicitimadhyā ca SkP_5.13a	CandaH viciti maDyA ca Sku _5.13a
   channarūpā mahāvrate SkP_30.63b	Canna rUpA mahA vrate Sku _30.63b
   charva ugraḥ kapardimān SkP_21.4b	CarvaH ugraH kapardimAn Sku _21.4b
   chāyāsuptaprabuddhasthitahariṇakulāluptadarbhāṅkurāgram SkP_30.34d	CAyA supta prabudDa sTita hariNa kula Alupta darBa aFkura agram SkP_30.34d
   chuciḥ prayatamānasaḥ SkP_22.19b	CuciH prayata mAnasaH Sk= _22.19b
   chobhā himavatastadā SkP_13.117b	CoBA himavataH tadA Sku _13.117b
   jagaccarandivyavimānamagryam SkP_13.15b	jagat caran divya vimAnam agryam Sku _13.15b
   jagataḥ pataye caiva SkP_20.15a	jagataH pataye ca eva Sku _20.15a
   jagataḥ pitarau devau SkP_29.1c	jagataH pitarO devO SkP_29.1c
   jagataḥ pralayaṃ tathā SkP_5.5f	jagataH pralayam taTA Sku _5.5f
   jagataḥ sampravartakaḥ SkP_3.27d	jagataH sampravartakaH SkP_3.27d
   jagataḥ sthitināśayoḥ SkP_20.19d	jagataH sTiti nASayoH SkP_20.19d
   jagato mātaraḥ sarvā SkP_13.72a	jagataH mAtaraH sarvA Sku _13.72a
   jagatkāraṇamāgatā SkP_13.43d	jagat kAraNam AgatA SkP_13.43d
   jagatpatirumāpatiḥ SkP_14.25b	jagatpatiH umApatiH Sku _14.25b
   jagatsaṃsthitikāraṇam SkP_13.49d	jagat saMsTiti kAraNam Sku _13.49d
   jagatsthāvarajaṅgamam SkP_11.29b	jagat sTAvara jaFgamam SkP_11.29b
   jagatsraṣṭā jagaddhartā SkP_13.49c	jagatsrazwA jagat DartA SkP_13.49c
   jagatsraṣṭre namaḥ sadā SkP_20.15b	jagatsrazwre namaH sadA Sku _20.15b
   jaganmohakarā yūyaṃ SkP_29.232c	jagat moha karAH yUyam SkP_29.232c
   jagāma kuśikāntikam SkP_18.16d	jagAma kuSika antikam SkP_18.16d
   jagāma ca yathāgatam SkP_10.38d	jagAma ca yaTAgatam Sku _10.38d
   jagāma tapyato 'bhyāśaṃ SkP_15.15c	jagAma tapyataH aByASam SkP_15.15c
   jagāma dhāma deveśaḥ SkP_31.14c	jagAma DAma deveSaH SkP_31.14c
   jagāma puṇyāṃ lokeṣu SkP_26.26c	jagAma puNyAm lokezu SkP_26.26c
   jagāma puratastadā SkP_29.126d	jagAma puratas tadA SkP_29.126d
   jagāma bhagavānsomas SkP_29.175c	jagAma BagavAn somaH SkP_29.175c
   jagāma yakṣo yatrāste SkP_31.3c	jagAma yakzaH yatra Aste SkP_31.3c
   jagāma vanamevāśu SkP_18.22c	jagAma vanam eva ASu Sku _18.22c
   jagāma sa mahāmanāḥ SkP_17.5b	jagAma sa mahAmanAH Sku _17.5b
   jagāma saritāṃ varām SkP_21.1b	jagAma saritAm varAm Sk= _21.1b
   jagāma sahasā yogī SkP_16.12c	jagAma sahasA yogI SkP_16.12c
   jagāma sthānamavyayam SkP_25.57f	jagAma sTAnam avyayam Sku _25.57f
   jagāmādarśanaṃ tasyāḥ SkP_12.2c	jagAma adarSanam tasyAH SkP_12.2c
   jagāmeṣṭaṃ tadā deśaṃ SkP_15.12c	jagAma izwam tadA deSam SkP_15.12c
   jagurmadhurakaṇṭhinaḥ SkP_25.10f	jaguH maDura kaNWinaH Sku _25.10f
   jagrāha brahmaṇaḥ śiraḥ SkP_6.1d	jagrAha brahmaNaH SiraH SkP_6.1d
   jajāpa koṭimanyāṃ tu SkP_21.6c	jajApa kowim anyAm tu SkP_21.6c
   jaṭāsahasrordhvaśirā SkP_23.7a	jawA sahasra UrDva SirAH Sku _23.7a
   jaṭine brahmacāriṇe SkP_14.15b	jawine brahmacAriNe Sku _14.15b
   jaṭibhyaśca namo namaḥ SkP_25.43b	jawiByaH ca namaH namaH Sku _25.43b
   jaṭodāyāṃ mahātmanā SkP_22.29d	jawodAyAm mahAtmanA SkP_22.29d
   janakāya mamaiva ca SkP_9.8d	janakAya mama eva ca SkP_9.8d
   jananamaraṇahartā ceṣṭatāṃ dhārmikāṇāṃ SkP_9.32c	janana maraNa hartA cezwatAm DArmikANAm SkP_9.32c
   janayāmāsa nirvṛtaḥ SkP_18.21d	janayAmAsa nirvRtaH SkP_18.21d
   janebhyo 'yaṃ prayacchati SkP_26.40b	janeByaH ayam prayacCati Sku _26.40b
   jantūnāmasti śobhane SkP_26.18d	jantUnAm asti SoBane SkP_26.18d
   janma prati na śocati SkP_29.45f	janma prati na Socati Sku _29.45f
   janmaprabhṛti yatpuṇyaṃ SkP_12.50a	janma praBRti yat puNyam Sku _12.50a
   janmamṛtyujitātmanām SkP_29.45d	janma mRtyu jita AtmanAm SkP_29.45d
   janmāntarasahasreṣu SkP_30.70a	janma antara sahasrezu Sku _30.70a
   japataścāpi yuktasya SkP_20.66a	japataH ca api yuktasya SkP_20.66a
   japatā tena tatraiva SkP_21.3a	japatA tena tatra eva Sku _21.3a
   japadbhyaśca namo namaḥ SkP_25.45d	japadByaH ca namaH namaH SkP_25.45d
   japanāddehatapanād SkP_29.218a	japanAt deha tapanAt Sku _29.218a
   japanpāpaṃ divākṛtam SkP_25.55b	japan pApam divAkRtam Sku _25.55b
   japaṃśca vipro vaiśyo vā SkP_29.165c	japan= ca vipraH vESyaH vA SkP_29.165c
   japedetanniyamavān SkP_28.70a	japet etat niyamavAn Sku _28.70a
   japenmartyaḥ sudustyajān SkP_29.216b	japet martyaH su dustyajAn Sku _29.216b
   japeyaṃ koṭimanyāṃ tu SkP_21.14a	japeyam kowim anyAm tu SkP_21.14a
   japtumicchāmi deveśa SkP_21.8c	japtum icCAmi deveSa SkP_21.8c
   japyena vṛṣanādaiśca SkP_29.98e	japyena vRza nAdEH ca SkP_29.98e
   japyeśvara iti khyāto SkP_22.11c	japya ISvaraH iti KyAtaH SkP_22.11c
   japyeśvaraniketaśca SkP_25.33c	japya ISvara niketaH ca SkP_25.33c
   japyeśvaravibhāvitaḥ SkP_25.33d	japya ISvara viBAvitaH SkP_25.33d
   japyeśvarasamīpagam SkP_22.29b	japya ISvara samIpa gam SkP_22.29b
   japyeśvaraṃ pañcanadaṃ ca tadvai SkP_22.34a	japya ISvaram paQcanadam ca tat vE SkP_22.34a
   jambukeśastato hyaham SkP_29.49b	jambukeSaH tatas hi aham Sku _29.49b
   jayati jaladavāhaḥ sarvabhūtāntakālaḥ SkP_9.32a	jayati jalada vAhaH sarva BUta anta kAlaH Sku _9.32a
   jayaśabdaṃ cakāra ha SkP_24.58d	jaya Sabdam cakAra ha SkP_24.58d
   jayāṃ ca vijayāṃ caiva SkP_24.37a	jayAm ca vijayAm ca eva Sku _24.37a
   jarākṣayavivarjitāḥ SkP_29.232b	jarA kzaya vivarjitAH Sk= _29.232b
   jarāmaraṇavarjitān SkP_10.8b	jarA maraNa varjitAn SkP_10.8b
   jarāmaraṇasaṃtyaktaḥ SkP_31.10a	jarA maraNa saMtyaktaH Sku _31.10a
   jaladavṛṣabhayāyī sarvaduḥkhāntakārī SkP_29.239c	jalada vRzaBa yAyI sarva duHKa anta kArI Sku _29.239c
   jalaliṅgāya vai namaḥ SkP_5.50d	jala liFgAya vE namaH SkP_5.50d
   jaleśavittādhipavāyubhiśca SkP_29.89b	jaleSa vitta aDipa vAyuBiH ca Sku _29.89b
   jahaturmunisattamau SkP_19.25d	jahatuH muni sattamO SkP_19.25d
   jahṛṣe prītisaṃyutā SkP_13.30d	jahRze prIti saMyutA SkP_13.30d
   jātīkesaraketakaiḥ SkP_29.7b	jAtI kesara ketakEH Sku _29.7b
   jātīpuṣpanakhāvalī SkP_13.89b	jAtI puzpa naKa AvalI Sk= _13.89b
