   śrīgaṇeśāya namaḥ	SrI gaNeSAya namaH
   pṛthivyāṃ prathamaskandho dvitīyaścāpi bhāskare // BndP_2,5.79 //	pRTivyAm praTama skanDaH dvitIyaH ca api BAskare // Bndu _2,5.79 //
   some tṛtīyo vijñeyaścaturtho jyotiṣāṃ gaṇe /	some tRtIyaH vijQeyaH caturTaH jyotizAm gaNe /
   graheṣu pañcamascaiva ṣaṣṭhaḥ saptarṣimaṇḍale // BndP_2,5.80 //	grahezu paQcamaH ca eva zazWaH saptarzi maNxale // Bndu _2,5.80 //
   dhruve tu saptamaścaiva vātaskandhāścasapta ye /	Druve tu saptamaH ca eva vAta skanDAH casapta ye /
   tānete vicarantvadya kālekāle mamātmajāḥ // BndP_2,5.81 //	tAn ete vicarantu adya kAlekAle mama AtmajAH // Bndu _2,5.81 //
   vātaskandhādhipā bhūtvā carantu mama putrakāḥ /	vAta skanDa aDipAH BUtvA carantu mama putrakAH /
   pṛthivyāṃ prathamaskandha ā meghebyo ya āvahaḥ // BndP_2,5.82 //	pRTivyAm praTama skanDaH A meGebyaH yaH AvahaH // Bndu _2,5.82 //
   carantu mama putrāste sapta ye prathame gaṇe /	carantu mama putrAH te sapta ye praTame gaNe /
   dvitīyaścāpi meghebhya āsūryātpravahastataḥ // BndP_2,5.83 //	dvitIyaH ca api meGeByaH AsUryAt pravahaH tatas // Bndu _2,5.83 //
   vātaskandho hi vijñeyo dvitīyaścaratāṃ gaṇaḥ /	vAta skanDaH hi vijQeyaH dvitIyaH caratAm gaNaH /
   sūryādūrdhvamadhaḥ somādudvaho 'tha sa vai smṛtaḥ // BndP_2,5.84 //	sUryAt UrDvam aDas somAt udvahaH aTa sa vE smRtaH // Bndu _2,5.84 //
   vātaskandhastṛtīyaśca putrāṇāṃ caratā gaṇaḥ /	vAta skanDaH tRtIyaH ca putrANAm caratA gaNaH /
   somādūrddhvamadharkṣebhyaścaturtha saṃvahastu saḥ // BndP_2,5.85 //	somAt UrdDvam aDa rkzeByaH caturTa saMvahaH tu saH // Bndu _2,5.85 //
   caturtho mama putrāṇāṃ gaṇastu caratāṃ vibho /	caturTaH mama putrANAm gaNaH tu caratAm viBo /
   ṛkṣebhyaśca tathaivorddhvamā grahādvivahastu yaḥ // BndP_2,5.86 //	RkzeByaH ca taTA eva UrdDvamA grahAt vivahaH tu yaH // Bndu _2,5.86 //
   vātaskandhaḥ pañcamastu putrāṇāṃ caratāṃ gaṇaḥ /	vAta skanDaH paQcamaH tu putrANAm caratAm gaNaH /
   grahebhya ūrddhvamārṣibhyaḥ ṣaṣṭho hyanuvahaśca yaḥ // BndP_2,5.87 //	graheByaH UrdDvam ArziByaH zazWaH hi anuvahaH ca yaH // Bndu _2,5.87 //
   vātaskandhastatra mama purāṇāṃ caratā gaṇaḥ /	vAta skanDaH tatra mama purANAm caratA gaNaH /
   ṛṣibhya ūrddhvamādhrauvaṃ saptamo yaḥ prakīrttitaḥ // BndP_2,5.88 //	RziByaH UrdDvam ADrOvam saptamaH yaH prakIrttitaH // Bndu _2,5.88 //
   vātaskandhaḥ parivahastatra tiṣṭhantu me sutāḥ /	vAta skanDaH parivahaH tatra tizWantu me sutAH /
   etānsarvāścarantvante kālekāle mamātmajāḥ // BndP_2,5.89 //	etAn sarvAH carantu ante kAlekAle mama AtmajAH // Bndu _2,5.89 //
   tvatkṛtena ca nāmnā vai bhavatu marutastvime /	tvad kRtena ca nAmnA vE Bavatu marutaH tu ime /
   tatasteṣāṃ tu nāmāni matputrāṇāṃ śatakrato // BndP_2,5.90 //	tatas tezAm tu nAmAni mad putrANAm Satakrato // Bndu _2,5.90 //
   tadvidhaiḥ karmabhiścaiva samavehi pṛthakpṛthak /	tadviDEH karmaBiH ca eva samavehi pRTak pRTak /
   śakrajyotistathā satyaḥ satyajyotistathāparaḥ // BndP_2,5.91 //	SakrajyotiH taTA satyaH satyajyotiH taTA aparaH // Bndu _2,5.91 //
   citrajyotiśca jyotiṣmān sutapaścaitya eva ca /	citrajyotiH ca jyotizmAn sutapaH cEtyaH eva ca /
   prathamo 'yaṃ gaṇaḥ prokto dvitīyaṃ tu nibodhata // BndP_2,5.92 //	praTamaH ayam gaNaH proktaH dvitIyam tu niboData // Bndu _2,5.92 //
   ṛtajitsatyajiścaiva suṣeṇaḥ senajittathā /	Rtajit satyajiH ca eva suzeNaH senajit taTA /
   sutamitro hyamitraśca suramitrastathāparaḥ // BndP_2,5.93 //	suta mitraH hi amitraH ca suramitraH taTA aparaH // Bndu _2,5.93 //
   gaṇa eṣa dvitīyastu tṛtīyaṃ ca nibodhata /	gaNaH eza dvitIyaH tu tRtIyam ca niboData /
   dhātuśca dhanadaścaiva hyugro bhīmastathaiva ca // BndP_2,5.94 //	DAtuH ca DanadaH ca eva hi ugraH BImaH taTA eva ca // Bndu _2,5.94 //
   varuṇaśca tṛtīyaṃ ca mayā proktaṃ nibodhata /	varuNaH ca tRtIyam ca mayA proktam niboData /
   abhiyuktākṣikaścaiva sāhvāyaśca gaṇaḥ smṛtaḥ // BndP_2,5.95 //	aBiyuktAkzikaH ca eva sAhvAyaH ca gaNaH smRtaH // Bndu _2,5.95 //
   īdṛk caiva tathānyādṛk samariddrumavṛcakṣakāḥ /	IdRS ca eva taTA anyAdRS sa marit druma vRcakzakAH /
   mitaśca samitaścaiva pañcamaśca tathā gaṇaḥ // BndP_2,5.96 //	mitaH ca samitaH ca eva paQcamaH ca taTA gaNaH // Bndu _2,5.96 //
   īdṛk ca puruṣaścaiva nānyādṛk samacetanaḥ /	IdRS ca puruzaH ca eva na anyAdRS samacetanaH /
   saṃmitaḥ samavṛttiśca pratihartā ca ṣaḍ gaṇāḥ // BndP_2,5.97 //	saMmitaH sama vRttiH ca pratihartA ca zaw gaNAH // Bndu _2,5.97 //
   yajñaiścitvāstuvansarve tathānye mānuṣā viśaḥ /	yajQEH citvA astuvan sarve taTA anye mAnuzAH viSaH /
   daityadevāḥ samākhyātāḥ saptaite saptasaptakāḥ // BndP_2,5.98 //	dEtya devAH samAKyAtAH saptA ete sapta saptakAH // Bndu _2,5.98 //
   ete hyekonapañcāśanmaruto nāmataḥ smṛtāḥ /	ete hi ekona paQcASat marutaH nAmataH smRtAH /
   prasaṃkhyātāstadā tābhyāṃ dityā śakreṇa caiva vai // BndP_2,5.99 //	prasaMKyAtAH tadA tAByAm dityA SakreNa ca eva vE // Bndu _2,5.99 //
   kṛtvā caitāni nāmāni ditirindramuvāca ha /	kRtvA ca etAni nAmAni ditiH indram uvAca ha /
   vātaskandhāṃścarantvete bhrataro mama putrakāḥ // BndP_2,5.100 //	vAta skanDAn= carantu ete BrataraH mama putrakAH // Bndu _2,5.100 //
   vicarantu ca bhadraṃ te devaiḥ saha mamātmajāḥ /	vicarantu ca Badram te devEH saha mama AtmajAH /
   tasyāstadvacanaṃ śrutvā mahasrākṣaḥ purandaraḥ // BndP_2,5.101 //	tasyAH tat vacanam SrutvA mahasrAkzaH purandaraH // Bndu _2,5.101 //
   uvāca prāñjalirbhūtvā mātarbhavatu tattathā /	uvAca prAQjaliH BUtvA mAtar Bavatu tat taTA /
   sarva metadyathoktaṃ te bhaviṣyati na saṃśayaḥ // BndP_2,5.102 //	sarva metat yaTA uktam te Bavizyati na saMSayaH // Bndu _2,5.102 //
   evaṃbhūtā mahātmānaḥ kumārā lokasaṃmatāḥ /	evaMBUtAH mahAtmAnaH kumArAH loka saMmatAH /
   devaiḥ saha bhaviṣyanti yajñabhājastavātma jāḥ // BndP_2,5.103 //	devEH saha Bavizyanti yajQaBAjaH tava Atma jAH // BndP_2,5.103 //
   tasmātte maruto devāḥ sarve cendrānujā varāḥ /	tasmAt te marutaH devAH sarve ca indrAnujAH varAH /
   vijñeyāścāmarāḥ sarve ditiputrāstarasvinaḥ // BndP_2,5.104 //	vijQeyAH ca amarAH sarve diti putrAH tarasvinaH // Bndu _2,5.104 //
   evaṃ tau niścayaṃ kṛtvā mātāputrau tapovane /	evam tO niScayam kRtvA mAtA putrO tapaH vane /
   jagmatustridivaṃ tdṛṣṭau śakramābhūdgatajvaraḥ // BndP_2,5.105 //	jagmatuH tridivam tdRzwO SakramABUt gata jvaraH // Bndu _2,5.105 //
   marutāṃ ca śubhaṃ janma śṛṇuyādyaḥ paṭhecca vā /	marutAm ca SuBam janma SRNuyAt yaH paWet ca vA /
   vāde vijayamāpnoti labdhātmā ca bhavatyuta // BndP_2,5.106 //	vAde vijayam Apnoti labDa AtmA ca Bavati uta // Bndu _2,5.106 //
   iti śrībrahmāṇḍe mahāpurāṇe vāyuprokte madhyamabhāge tṛtīya upoddhātapāde	iti SrI brahmANxe mahApurANe vAyu prokte maDyama BAge tRtIyaH upodDa AtapAde
   sūta uvāca	sUtaH uvAca
   abhavandanuputrāstu vaṃśe khyātā mahāsurāḥ /	aBavandanu putrAH tu vaMSe KyAtAH mahA asurAH /
   vipracittipradhā nāste 'cintanīyaparākramāḥ // BndP_2,6.1 //	vipracitti praDAH na Aste acintanIya parAkramAH // Bndu _2,6.1 //
   sarve labdhavarāścaiva te taptatapasastathā /	sarve labDa varAH ca eva te tapta tapasaH taTA /
   satyasaṃdhāḥ parākrāntāḥ krūrā māyāvinaśca te // BndP_2,6.2 //	satya saMDAH parAkrAntAH krUrAH mAyAvinaH ca te // Bndu _2,6.2 //
   mahābalāste javanā brahmiṣṭhā ye ca sāgnayaḥ /	mahA balAH te javanAH brahmizWAH ye ca sa agnayaH /
   kīrtyamānānmayā sarvānprādhānyena nibodhata // BndP_2,6.3 //	kIrtyamAnAn mayA sarvAn prADAnyena niboData // Bndu _2,6.3 //
   dvimūrddhā śaṃbaraścaiva tathā śaṅkuratho vibhuḥ /	dvimUrdDA SaMbaraH ca eva taTA SaFkuH aTaH viBuH /
   śaṅkukarṇo vipādaśca gaviṣṭho dundubhistathā // BndP_2,6.4 //	SaFku karNaH vipAdaH ca gavizWaH dunduBiH taTA // Bndu _2,6.4 //
   ayomukhastu maghavānkapilo vāmano mayaḥ /	ayomuKaH tu maGavAn kapilaH vAmanaH mayaH /
   marīcirasipāścaiva mahā māyo 'śirā bhṛśī // BndP_2,6.5 //	marIciH asipAH ca eva mahA mAyaH aSirA BRSI // Bndu _2,6.5 //
   vikṣobhaśca suketuśca ketuvīryaśatāhvayau /	vikzoBaH ca suketuH ca ketuvIrya Sata AhvayO /
   indrajidvividaścaiva tathā bhadraśca devajit // BndP_2,6.6 //	indrajit vividaH ca eva taTA BadraH ca deva jit // Bndu _2,6.6 //
   ekacakro mahā bāhustārakaśca mahābalaḥ /	ekacakraH mahA bAhuH tArakaH ca mahA balaH /
   vaiśvānaraḥ pulomā ca prāpaṇo 'tha mahāśirāḥ // BndP_2,6.7 //	vESvAnaraH pulomA ca prApaNaH aTa mahA SirAH // Bndu _2,6.7 //
   svarbhānurvṛṣaparvā ca puruṇḍaśca mahāsuraḥ /	svarBAnuH vRzaparvA ca puruNxaH ca mahA asuraH /
   dhṛtarāṣṭraśca sūryaścacandramā indratāpanaḥ // BndP_2,6.8 //	DRtarAzwraH ca sUryaH ca candramAH indratApanaH // Bndu _2,6.8 //
   sūkṣmaścaiva nicandraśca cūrṇanābho mahāgiriḥ /	sUkzmaH ca eva nicandraH ca cUrNanABaH mahA giriH /
   asilomā sukeśaśca śaṭhaśca mūlakodaraḥ // BndP_2,6.9 //	asilomA sukeSaH ca SaWaH ca mUlaka udaraH // Bndu _2,6.9 //
   jambho gaganamūrddhā cakuṃbhamāno mahodakaḥ /	jamBaH gagana mUrdDA cakuMBamAnaH mahodakaH /
   pramado 'dmaśca kupatho hyaśvagrīvaśca vīryavān // BndP_2,6.10 //	pramadaH admaH ca kupaTaH hi aSvagrIvaH ca vIryavAn // Bndu _2,6.10 //
   vaimṛgaḥ savirūpākṣaḥ supathaśca halā halau /	vEmRgaH sa virUpAkzaH supaTaH ca halAH halO /
   akṣo hiraṇmayaścaiva śatagrīvaśca śaṃbaraḥ // BndP_2,6.11 //	akzaH hiraNmayaH ca eva SatagrIvaH ca SaMbaraH // Bndu _2,6.11 //
   śarabhaḥ śvalabhaścaiva sūryācandramasāvubhau /	SaraBaH SvalaBaH ca eva sUryAcandramasO= uBO /
   asurāṇāṃ smṛtāvetau surāṇāṃ ca prabhāviṇau // BndP_2,6.12 //	asurANAm smRtO= etO surANAm ca praBAviNO // Bndu _2,6.12 //
   iti putrā danorvaṃśapradhānāḥ parikīrttitāḥ /	iti putrAH danoH vaMSa praDAnAH parikIrttitAH /
   teṣāmaparisaṃkhyeyaṃ putrapautramanantakam // BndP_2,6.13 //	tezAm aparisaMKyeyam putra pOtram anantakam // Bndu _2,6.13 //
   ityeta asurāḥ takrāntā daiteyā dānavāstathā /	iti ete asurAH takra antAH dEteyAH dAnavAH taTA /
   sutvānastu smṛtā daityā asutvāno danoḥ sutāḥ // BndP_2,6.14 //	sutvAnaH tu smRtAH dEtyAH asutvAnaH danoH sutAH // Bndu _2,6.14 //
   ime ca vaṃśānugatā danoḥ putrānvayāḥ smṛtāḥ /	ime ca vaMSa anugatAH danoH putra anvayAH smRtAH /
   ekākṣeśvaprabhāriṣṭaḥ pralaṃbanarakāvapi // BndP_2,6.15 //	eka akza ISva praBA arizwaH pralaMba narakO= api // Bndu _2,6.15 //
   indrabādhanakeśī ca puruṣaḥ śeṣavānuruḥ /	indra bADana keSI ca puruzaH SezavAn uruH /
   gariṣṭhaśca gavākṣaśca tālaketuśca vīryavān // BndP_2,6.16 //	garizWaH ca gavAkzaH ca tAlaketuH ca vIryavAn // Bndu _2,6.16 //
   ete manuṣyā vadhyāstu danuputrānvayāḥ smṛtāḥ /	ete manuzyAH vaDyAH tu danu putra anvayAH smRtAH /
   daityadānavasaṃyoge jātā bhīmaparākramāḥ // BndP_2,6.17 //	dEtya dAnava saMyoge jAtAH BIma parAkramAH // Bndu _2,6.17 //
   siṃhikāyāmathotpannā vipracitteḥ sutā ime /	siMhikAyAm aTa utpannAH vipracitteH sutAH ime /
   saiṃhikeyāḥ samākhyātāścaturdaśa mahāsurāḥ // BndP_2,6.18 //	sEMhikeyAH samAKyAtAH caturdaSa mahA asurAH // Bndu _2,6.18 //
   śalaśca śalabhaścaiva savyasivyastathaiva ca /	SalaH ca SalaBaH ca eva savyasivyaH taTA eva ca /
   ilvalo namuciścaiva vātāpistu supuñjikaḥ // BndP_2,6.19 //	ilvalaH namuciH ca eva vAtApiH tu supuQjikaH // Bndu _2,6.19 //
   rahakalpaḥ kālanābho bhaumaśca kanakastathā /	raha kalpaH kAlanABaH BOmaH ca kanakaH taTA /
   rāhurjyeṣṭhastu teṣāṃ vai sūryacandrapramarddanaḥ // BndP_2,6.20 //	rAhuH jyezWaH tu tezAm vE sUrya candra pramarddanaH // Bndu _2,6.20 //
   ityote siṃhikāputrā devairapi durāsadāḥ /	iti ote siMhikA putrAH devEH api durAsadAH /
   dāruṇābhijanāḥ krūrāḥ sarve brahmahaṇaśca te // BndP_2,6.21 //	dAruNa aBijanAH krUrAH sarve brahma haNaH ca te // Bndu _2,6.21 //
   daśa tāni sahasrāṇisaiṃhikeyā gaṇāḥ smṛtāḥ /	daSa tAni sahasrANi sEMhikeyAH gaNAH smRtAH /
   nihatā jāmadagnyena bhārgaveṇa balīyasā // BndP_2,6.22 //	nihatAH jAmadagnyena BArgaveNa balIyasA // Bndu _2,6.22 //
   svarbhānostu prabhā kanyā pulomnastu śacī sutā /	svarBAnoH tu praBA kanyA pulomnaH tu SacI sutA /
   upadānavī sadasyātha śarmiṣṭhā vṛṣaparvaṇaḥ // BndP_2,6.23 //	upadAnavI sadasya aTa SarmizWA vRzaparvaNaH // Bndu _2,6.23 //
   pulomā kālikā caiva vaiśvānarasute ubhe /	pulomA kAlikA ca eva vESvAnara sute uBe /
   prabhāyāṃ nahuṣaḥ putro jayantastu śacīsutaḥ // BndP_2,6.24 //	praBAyAm nahuzaH putraH jayantaH tu SacI sutaH // Bndu _2,6.24 //
   puruṃ jajñe 'tha śarmiṣṭhā duṣyantasupadānavī /	purum jajQe aTa SarmizWA duzyanta supadAnavI /
   vaiśvānarasute ete pulomā kālakā tathā // BndP_2,6.25 //	vESvAnara sute ete pulomA kAlakA taTA // Bndu _2,6.25 //
   bahvapatye ubhe kanye mārīcasya parigrahaḥ /	bahu apatye uBe kanye mArIcasya parigrahaH /
   tayoḥ putrasahasrāṇi ṣaṣṭirdānavapuṅgavāḥ // BndP_2,6.26 //	tayoH putra sahasrANi zazwiH dAnava puFgavAH // Bndu _2,6.26 //
   caturdaśa tathānyāni hiraṇyapuravāsinām /	caturdaSa taTA anyAni hiraNyapura vAsinAm /
   paulomāḥ kālakeyāśca dānavāḥ sumarā balāḥ // BndP_2,6.27 //	pOlomAH kAlakeyAH ca dAnavAH sumarAH balAH // Bndu _2,6.27 //
   avadhyā devatānāṃ te nihatāḥ savyamācinā /	avaDyAH devatAnAm te nihatAH savyamAcinA /
   mayasya jātā raṃbhāyāṃ putrāḥ ṣaṭ ca mahābalāḥ // BndP_2,6.28 //	mayasya jAtAH raMBAyAm putrAH zaw ca mahA balAH // Bndu _2,6.28 //
   māyāvī dundubhiścaiva putraśca mahiṣastathā /	mAyAvI dunduBiH ca eva putraH ca mahizaH taTA /
   kālikaścājakarṇaścakanyā mandodarī tathā // BndP_2,6.29 //	kAlikaH ca ajakarNaH cakanyA mandodarI taTA // Bndu _2,6.29 //
   daityānāṃ dānavānāṃ ca sarga eṣa prakīrttitaḥ /	dEtyAnAm dAnavAnAm ca sargaH eza prakIrttitaH /
   anāyuṣāyāḥ putrāste smṛtāḥ pañca mahābalāḥ // BndP_2,6.30 //	anAyuzAyAH putrAH te smRtAH paQca mahA balAH // Bndu _2,6.30 //
   ararurbalavṛtrau ca vijvaraśca vṛṣastathā /	ara ruH bala vRtrO ca vijvaraH ca vRzaH taTA /
   ararostanayaḥ krūro dhundhurnāma mahāsuraḥ // BndP_2,6.31 //	araroH tanayaH krUraH DunDuH nAma mahA asuraH // Bndu _2,6.31 //
   nihataḥ kuvalāśvena uttaṅkavacanādbile /	nihataH kuvalASvena uttaFka vacanAt bile /
   balaputrau mahāvīryauṃ tejasāpratimāvubhau // BndP_2,6.32 //	bala putrO mahA vIryOm tejasA apratimO= uBO // Bndu _2,6.32 //
   nikuṃbhaścakravarmā ca sa karṇaḥ pūrvajanmani /	nikuMBaH cakravarmA ca sa karNaH pUrva janmani /
   vijarasyāpi putrau dvau kālakaśca kharaśca tau // BndP_2,6.33 //	vijarasya api putrO dvO kAlakaH ca KaraH ca tO // Bndu _2,6.33 //
   vṛṣasya tu punaḥ putrāścatvāraḥ krūrakarmaṇaḥ /	vRzasya tu punar putrAH catvAraH krUra karmaNaH /
   śrāddhādo yajñahā caiva brahmahā paśuhā tathā // BndP_2,6.34 //	SrAdDAdaH yajQahA ca eva brahma hA paSu hA taTA // Bndu _2,6.34 //
   krāntā hyanāyuṣaḥ putrā vṛtra syāpi nibodhata /	krAntA hi anAyuzaH putrAH vRtra syA api niboData /
   jajñire 'sumahāghorā vṛtrasyendreṇa yudhyatā // BndP_2,6.35 //	jajQire asu mahA GorAH vRtrasya indreNa yuDyatA // Bndu _2,6.35 //
   bakā nāma samākhyātā rākṣasāḥ sumahābalāḥ /	bakAH nAma samAKyAtAH rAkzasAH su mahA balAH /
   śataṃ tāni sahasrāṇi mahendrānucarāḥ smṛtāḥ // BndP_2,6.36 //	Satam tAni sahasrANi mahA indra anucarAH smRtAH // Bndu _2,6.36 //
   sarve brahmavidaḥ saumyā dhārmikāḥ sūkṣmamūrttayaḥ /	sarve brahma vidaH sOmyAH DArmikAH sUkzma mUrttayaH /
   prajāsvantargatāḥ sarve nivasaṃti krudhāvṛtāḥ // BndP_2,6.37 //	prajAsu antargatAH sarve nivasaMti kruDA AvRtAH // Bndu _2,6.37 //
   krodhā tvapratimānputrān jajñe vai gāyanottamān /	kroDA tu apratimAn putrAn jajQe vE gAyana uttamAn /
   siddhaḥ pūrṇaśca vahvīca pūrṇāśaścaiva vīryavān // BndP_2,6.38 //	sidDaH pUrNaH ca vahvI ca pUrNASaH ca eva vIryavAn // Bndu _2,6.38 //
   brahmacārī śataguṇaḥ suparṇaścaiva maptamaḥ /	brahmacArI SataguNaH suparNaH ca eva maptamaH /
   viśvāvasuśca bhānuśca sucandro daśamastathā /	viSvAvasuH ca BAnuH ca sucandraH daSamaH taTA /
   ityete devagandharvāḥ krodhāyāḥ parirīrttitāḥ // BndP_2,6.39 //	iti ete deva ganDarvAH kroDAyAH parirIrttitAH // Bndu _2,6.39 //
   iti śrībrahmāṇḍe mahāpurāṇe vāyuprokte madhyamabhāge tṛtīya upoddhātapāde	iti SrI brahmANxe mahApurANe vAyu prokte maDyama BAge tRtIyaH upodDa AtapAde
   danuvaṃśakīrttanaṃ nāma ṣaṣṭho 'dhyāya	danuvaMSakIrttanam nAma zazWaH aDyAya
   sūta uvāca	sUtaH uvAca
   gandharvāpsarasaḥ putrā mauneyāstānnibodhata /	ganDarva apsarasaH putrAH mOneyAH tAn niboData /
   bhīmasenegrasenau ca suparṇo varuṇastathā // BndP_2,7.1 //	BImasenegrasenO ca suparNaH varuNaH taTA // Bndu _2,7.1 //
   dhṛtarāṣṭraśca gomāṃśca sūryavarcāstathaiva ca//	DRtarAzwraH ca gomAn= ca sUryavarcAH taTA eva ca//
   patravānarkaparṇaśca prayutaśca tathaiva hi // BndP_2,7.2 //	patravAn arkaparNaH ca prayutaH ca taTA eva hi // Bndu _2,7.2 //
   bhīmaścitrarathaścaiva vikhyātaḥ sarvajīdvaśī /	BImaH citraraTaH ca eva viKyAtaH sarva jIdvaSI /
   trayodaśaḥ śāliśirāḥ parjanyaśca caturdaśaḥ // BndP_2,7.3 //	trayodaSaH SAli SirAH parjanyaH ca caturdaSaH // Bndu _2,7.3 //
   kaliḥ pañca daśasteṣāṃ nāradaścaiva ṣoḍaśaḥ /	kaliH paQca daSaH tezAm nAradaH ca eva zoxaSaH /
   ityete devagandharvā mauneyāḥ parikīrttitāḥ // BndP_2,7.4 //	iti ete deva ganDarvAH mOneyAH parikIrttitAH // Bndu _2,7.4 //
   caturviṃśāścāvarajāsteṣāmapsarasaḥ śubhāḥ /	caturviMSAH ca avara jAH tezAm apsarasaH SuBAH /
   aruṇā cānapāyā ca vimanuṣyā varāṃbarā // BndP_2,7.5 //	aruNA ca anapAyA ca vimanuzyAH vara aMbarAH // Bndu _2,7.5 //
   miśrakeśī tathācāsiparṇinī cāpyaluṃbuṣā /	miSrakeSI taTA cAsiparNinI ca api aluMbuzA /
   marīciḥ śucikā caiva vidyutparṇā tilottamā // BndP_2,7.6 //	marIciH SucikA ca eva vidyutparNA tilottamA // Bndu _2,7.6 //
   adrikā lakṣmaṇā kṣemā divyā raṃbhā manobhavā /	adrikA lakzmaNA kzemA divyA raMBA manoBavAH /
   asitā ca subāhūśca supriyā subhujā tathā // BndP_2,7.7 //	asitA ca subAhUH ca supriyA su BujA taTA // Bndu _2,7.7 //
   puṇḍarīkājagandhā ca sudatī surasā tathā /	puNxarIkA ajaganDA ca sudatI surasA taTA /
   tathaivāsyāḥ subāhūśca vikhyātau ca hahāhuhū // BndP_2,7.8 //	taTA eva asyAH subAhUH ca viKyAtO ca hahA huhU // Bndu _2,7.8 //
   tuṃburuśceti catvāraḥ smṛtāgandharvasattamāḥ /	tuMburuH ca iti catvAraH smRta aganDarva sattamAH /
   gandharvāpsaraso hyete mauneyāḥ parikīrttitāḥ // BndP_2,7.9 //	ganDarva apsarasaH hi ete mOneyAH parikIrttitAH // Bndu _2,7.9 //
   haṃsā sarasvatī caiva sūtā ca kamalābhayā /	haMsA sarasvatI ca eva sUtA ca kamala aBayA /
   sumukhī haṃsapādī ca laukikyo 'psarasaḥ smṛtāḥ // BndP_2,7.10 //	sumuKI haMsapAdI ca lOkikyaH apsarasaH smRtAH // Bndu _2,7.10 //
   haṃso jyotiṣṭamo madhya ācārastviha dāruṇaḥ /	haMsaH jyotizwamaH maDye AcAraH tu iha dAruNaH /
   varūtho 'tha vareṇyaśya tato vasuruciḥ smṛtaḥ // BndP_2,7.11 //	varUTaH aTa vareNyaSya tatas vasuruciH smRtaH // Bndu _2,7.11 //
   aṣṭamaḥ surucisteṣāṃ tato viśvā vasuḥ smṛtaḥ /	azwamaH suruciH tezAm tatas viSvA vasuH smRtaH /
   suṣuve sā mahābhāgā riṣṭā devarṣipūjitā // BndP_2,7.12 //	suzuve sA mahABAgAH rizwA deva Rzi pUjitAH // Bndu _2,7.12 //
   arūpāṃ subhagāṃ bhāsīmiti tredhā vyajāyata /	arUpAm suBagAm BAsIm iti treDA vyajAyata /
   manuvantī sukeśī ca tuṃbarostu sute śubhe // BndP_2,7.13 //	manuvantI sukeSI ca tuMbaroH tu sute SuBe // Bndu _2,7.13 //
   pañcacūḍāstvimā vidyādevamapsaraso daśa /	paQcacUxAH tu imA vidyAt evam apsarasaH daSa /
   menakā sahajanyā ca parṇinī puñjikasthalā // BndP_2,7.14 //	menakA sahajanyA ca parNinI puQjikasTalA // Bndu _2,7.14 //
   kṛtasthalā dyṛtācī ca viśvācī pūrvacittyapi /	kRtasTalA dyRtAcI ca viSvAcI pUrvacitti api /
   pramlocetyabhivikhyātānumlocaiva tu tā daśa // BndP_2,7.15 //	pramlocA iti aBiviKyAta anumlocA eva tu tAH daSa // Bndu _2,7.15 //
   anādinidhanasyātha jajñe nārāyaṇasya yā /	anAdiniDanasya aTa jajQe nArAyaNasya yA /
   kulocitānavadyāṅgī urvaścekādaśī smṛtā // BndP_2,7.16 //	kula ucitA anavadya aFgI urvaH cekAdaSI smRtAH // Bndu _2,7.16 //
   menasya menakā kanyā jajñe sarvāṅgasuṃdarī /	menasya menakA kanyA jajQe sarva aFga suMdarI /
   sarvāśca brahmavādinyo mahābhāgāśca tāḥ smṛtāḥ // BndP_2,7.17 //	sarvAH ca brahma vAdinyaH mahABAgAH ca tAH smRtAH // Bndu _2,7.17 //
   gaṇāstvapsarasāṃ khyātāḥ puṇyāste vai caturdaśa /	gaNAH tu apsarasAm KyAtAH puNyAH te vE caturdaSa /
   āhṛtyaḥ śobhavatyaśca vegavatyastathaiva ca // BndP_2,7.18 //	AhRtyaH SoBavatyaH ca vegavatyaH taTA eva ca // Bndu _2,7.18 //
   ūrjjāścaiva yuvatyaśca srucastu kuravastathāśca /	UrjjAH ca eva yuvatyaH ca srucaH tu kuravaH taTAH ca /
   varhayaścāmṛtāścaiva mudāśca mṛgavo rucaḥ // BndP_2,7.19 //	varhayaH ca amRtAH ca eva mudAH ca mRgavaH rucaH // Bndu _2,7.19 //
   bhīravaḥ śobhayantyaśca gāṇā hyete caturdaśa /	BIravaH SoBayantyaH ca gANAH hi ete caturdaSa /
   brahmaṇo mānasāhṛtyaḥ śobhavatyo marutsutāḥ // BndP_2,7.20 //	brahmaNaH mAnasa AhRtyaH SoBavatyaH marut sutAH // Bndu _2,7.20 //
   vegavatyaśca riṣṭāyā ūrjjāścaivāgnisaṃbhavāḥ /	vegavatyaH ca rizwAyAH UrjjAH ca eva agni saMBavAH /
   yuvatyaśca tathā sūryaraśmijātāḥ suśobhanāḥ // BndP_2,7.21 //	yuvatyaH ca taTA sUrya raSmi jAtAH su SoBanAH // Bndu _2,7.21 //
   gabhastibhiśca somasya jajñire kuravaḥ śubhāḥ /	gaBastiBiH ca somasya jajQire kuravaH SuBAH /
   yajñotpannā sruco nāma kuśavatyāṃ ca barhayaḥ // BndP_2,7.22 //	yajQotpannA srucaH nAma kuSavatyAm ca barhayaH // Bndu _2,7.22 //
   vārijā hyamṛtotpannā amṛtā nāmataḥ smṛtāḥ /	vArijAH hi amRta utpannAH amRtAH nAmataH smRtAH /
