   akriyāpi kriyā tathā SRtp_192b	akriyA-api kriyA taTA SRtp_192b
   caryāto vātha dīkṣayā SRtp_147b	caryAtaH vA-aTa dIkzayA SRtp_147b
   citi yujyeta tanmate(?) SRtp_219b	citi yujyeta tad-mate(?) SRtp_219b
   citireva matāmlāna- SRtp_186c	citiH-eva mata-amlAna SRtp_186c
   citiṃ sadasadākāra- SRtp_203a	citim sat-asat-AkAra SRtp_203a
   citiḥ śaktiḥ prakāśatvād SRtp_196a	citiH SaktiH prakASa-tvAt SRtp_196a
   citeḥ śabdānuvedhataḥ SRtp_46b	citeH Sabda-anuveDataH SRtp_46b
   cidacidgocarastayoḥ SRtp_243b	cit-acit-gocaraH-tayoH SRtp_243b
   cidacintyā vibhoḥ śaktir SRtp_195a	cit-acintyAH viBoH SaktiH SRtp_195a
   cidābhātyavivekataḥ SRtp_84b	cit-ABAti-avivekataH SRtp_84b
   cidghanaikasvarūpiṇaḥ SRtp_137d	cidGana-eka-svarUpiNaH SRtp_137d
   cidviśeṣasya vāryate SRtp_251b	cit-viSezasya vAryate SRtp_251b
   cinotyapacinoti ca SRtp_196d	cinoti-apacinoti ca SRtp_196d
   cintanīyā mahākāśa- SRtp_117a	cintanIyAH mahAkASa SRtp_117a
   cintāmaṇiśca vividhān SRtp_194a	cintAmaNiH-ca viviDAn SRtp_194a
   cinmahodadhigāmbhīryam SRtp_15a	cit-mahA-udaDi-gAmBIryam SRtp_15a
   cirasthāpitaviśvo hi SRtp_308c	cira-sTApita-viSvaH hi SRtp_308c
   cetanatvādavṛttitvāt SRtp_49a	cetana-tvAt-avRtti-tvAt SRtp_49a
   caitanyabhāvādityagre SRtp_143a	cEtanya-BAvAt-iti-agre SRtp_143a
   cchidyate malakambukaḥ SRtp_175d	cCidyate mala-kambukaH SRtp_175d
   chaktirapyavikāriṇī SRtp_283b	CaktiH-api-avikAriNI SRtp_283b
   chaṅkāpāśairvimūḍhadhīḥ SRtp_212b	CaFkA-pASEH-vimUXa-DIH SRtp_212b
   chabdavedhena saṃvidām SRtp_259b	Cabda-veDena saMvidAm SRtp_259b
   chāntireṣā nigadyate SRtp_113b	CAntiH-ezA nigadyate SRtp_113b
   chivaṃ paramakāraṇam SRtp_263d	Civam parama-kAraNam SRtp_263d
   chubhaṃ vā yadi vāśubham SRtp_152b	CuBam vA yadi vA-aSuBam SRtp_152b
   chreya āptividhāyakaḥ SRtp_10d	CreyaH Apti-viDAyakaH SRtp_10d
   jaḍadhīrjaḍamīśvaram SRtp_138b	jaxaDIH-jaxam-ISvaram SRtp_138b
   jaḍaṃ vā dṛśyate yathā SRtp_197b	jaxam vA dRSyate yaTA SRtp_197b
   jaḍena jaḍimāvahaḥ SRtp_137b	jaxena jaxima-AvahaH SRtp_137b
   jananī mohinī māyā SRtp_157a	jananI mohinI mAyA SRtp_157a
   janmādīnanu jāteti SRtp_245a	janma-AdIn-anu jAtA-iti SRtp_245a
   jalatejo 'nilākāśa- SRtp_100c	jala-tejaH anila-AkASa SRtp_100c
   jalādikṣitiparyantaṃ SRtp_41a	jala-Adi-kziti-paryantam SRtp_41a
   jāyate 'dhvā kutaḥ śuddhaḥ SRtp_140c	jAyate aDvA kutas SudDaH SRtp_140c
   jāyate 'dhvā yataḥ śuddho SRtp_22a	jAyate aDvA yatas SudDaH SRtp_22a
   jāyate bindusaṃkṣobhād SRtp_47a	jAyate bindu-saMkzoBAt SRtp_47a
   jāyate malaruddhānām SRtp_259c	jAyate mala-rudDAnAm SRtp_259c
   jāyamānena nāmādi- SRtp_227a	jAyamAnena nAma-Adi SRtp_227a
   jāyetānyacca bhagavān SRtp_303a	jAyeta-anyat-ca BagavAn SRtp_303a
   jñānamajñānarūpaivam SRtp_192a	jQAnam-ajQAna-rUpA-evam SRtp_192a
   jñānamātranivartakaiḥ SRtp_232d	jQAna-mAtra-nivartakEH SRtp_232d
   jñānamātraṃ tathaiveyam SRtp_204c	jQAna-mAtram taTA-eva-iyam SRtp_204c
   jñānaśaktyā vijānāti SRtp_128c	jQAna-SaktyA vijAnAti SRtp_128c
   jñānaṃ parāmṛtopāya- SRtp_171c	jQAnam para-amRta-upAya SRtp_171c
   jñānānivṛttiṃ gamayet SRtp_238a	jQAna-anivRttim gamayet SRtp_238a
   jñānāni siddhayo mokṣā SRtp_8a	jQAnAni sidDayaH mokzA SRtp_8a
   jyotirgaṇānāmākāśam SRtp_58a	jyotiH-gaNAnAm-AkASam SRtp_58a
   ñādayo 'tra ghakārāntā SRtp_106a	Qa-AdayaH atra GakAra-antA SRtp_106a
   takrāvasthā nirūpyate SRtp_36d	takra-avasTA nirUpyate SRtp_36d
   tacca śabdānuvedhena SRtp_172a	tat-ca Sabda-anuveDena SRtp_172a
   tacchivapraṇidhānena SRtp_238c	tad-Siva-praNiDAnena SRtp_238c
   tatastadavadhārayet SRtp_16d	tatas-tat-avaDArayet SRtp_16d
   tataḥ sa teṣāmeko 'pi SRtp_287c	tatas sa tezAm-ekaH api SRtp_287c
   tataḥ sṛṣṭiṃ prakurute SRtp_61c	tatas sRzwim prakurute SRtp_61c
   tato nidarśanaṃ sādhu SRtp_39a	tatas nidarSanam sADu SRtp_39a
   tato 'bhūd viṣayābhoga- SRtp_171a	tatas aBUt vizaya-ABoga SRtp_171a
   tatkāryaṃ sā kriyāśaktir SRtp_275c	tat-kAryam sA kriyASaktiH SRtp_275c
   tattadvṛttiviśeṣataḥ SRtp_310b	tad-tad-vRtti-viSezataH SRtp_310b
   tattvajātamasūta sā SRtp_41b	tattva-jAtam-asUta sA SRtp_41b
   tattvatāttvikabhāvānām SRtp_38c	tattva-tAttvika-BAvAnAm SRtp_38c
   tattvameṣāmasūtāṅga- SRtp_30c	tattvam-ezAm-asUta-aFga SRtp_30c
   tattvamaiśaṃ samāśritāḥ SRtp_27b	tattvam-ESam samASritAH SRtp_27b
   tattvātmā syāt sadāśivaḥ SRtp_130b	tattva-AtmA syAt sadASivaH SRtp_130b
   tattvādīnāmato bindoḥ SRtp_161c	tattva-AdInAm-atas bindoH SRtp_161c
   tattvādhvā bhuvanādhvā ca SRtp_87c	tattva-aDvA Buvana-aDvA ca SRtp_87c
   tattveṣu teṣu vijñāna- SRtp_131a	tattvezu tezu vijQAna SRtp_131a
   tatpralīnāṇusaṃghasya SRtp_96c	tad-pralInANu-saMGasya SRtp_96c
   tatpralīnāṇusaṃghasya SRtp_103a	tad-pralInANu-saMGasya SRtp_103a
   tatpralīnāṇusaṃghasya SRtp_108c	tad-pralInANu-saMGasya SRtp_108c
   tatpralīnāṇusaṃghasya SRtp_112c	tad-pralInANu-saMGasya SRtp_112c
   tatra cit svābhisambandha- SRtp_244a	tatra cit sva-aBisambanDa SRtp_244a
   tatra bhoktṛtayā bhogaiḥ SRtp_173c	tatra BoktRtayA BogEH SRtp_173c
   tatra vidyābhujaḥ pūrve SRtp_24c	tatra vidyA-BujaH pUrve SRtp_24c
   tatra śakto bhavedādyo SRtp_266a	tatra SaktaH Bavet-AdyaH SRtp_266a
   tatra sannidhimātreṇa SRtp_122a	tatra sanniDi-mAtreNa SRtp_122a
   tatra sā tu parā kalā SRtp_94d	tatra sA tu parA kalA SRtp_94d
   tatra sā vaikharī śrotra- SRtp_73a	tatra sA vEKarI Srotra SRtp_73a
   tatra sthūlā guṇātmikā SRtp_155d	tatra sTUlA guNa-AtmikA SRtp_155d
   tatrākṣubdhe bhavedbhogo SRtp_179c	tatra-akzubDe Bavet-BogaH SRtp_179c
   tatrāṇavaḥ pureṣvāsan SRtp_29a	tatra-aNavaH purezu-Asan SRtp_29a
   tatsattā sādhyate kasya SRtp_202a	tad-sattA sADyate kasya SRtp_202a
   tatsamparkiasukhaikāgra- SRtp_286a	tad-samparkia-suKa-ekAgra SRtp_286a
   tatsambandhācchivo 'śeṣa- SRtp_278c	tad-sambanDAt-SivaH aSeza SRtp_278c
   tathā caiṣa tatastathā SRtp_33b	taTA ca-eza tatas-taTA SRtp_33b
   tathānāhitasaṃskāra- SRtp_194c	taTA-anAhita-saMskAra SRtp_194c
   tathānyaiḥ pratipādyate SRtp_14b	taTA-anyEH pratipAdyate SRtp_14b
   tathā parīkṣitā samyag SRtp_237a	taTA parIkzitA samyak SRtp_237a
   tathā pare paravyoma SRtp_286c	taTA pare para-vyoma SRtp_286c
   tathā purāṇi tatraiṣām SRtp_28c	taTA purANi tatra-ezAm SRtp_28c
   tathā vidyeśvaro 'nanto SRtp_61a	taTA vidyeSvaraH anantaH SRtp_61a
   tathā samāsamātmīya- SRtp_314a	taTA samAsamAtmIya SRtp_314a
   tathā hi tāṃ samāśritya SRtp_201a	taTA hi tAm samASritya SRtp_201a
   tathā hi dehe 'haṃbuddhir SRtp_249a	taTA hi dehe ahaMbudDiH SRtp_249a
   tathā hi bhedo bhāvānāṃ SRtp_208a	taTA hi BedaH BAvAnAm SRtp_208a
   tathā hi māyā yā teṣāṃ SRtp_40c	taTA hi mAyA yA tezAm SRtp_40c
   tathā hi vimalodāra- SRtp_284a	taTA hi vimala-udAra SRtp_284a
   tathā hi sarvo nirdhūta- SRtp_65c	taTA hi sarvaH nirDUta SRtp_65c
   tathaikadeśato binduḥ SRtp_178a	taTA-eka-deSataH binduH SRtp_178a
   tathaiva ca citiḥ śaktis SRtp_52c	taTA-eva ca citiH SaktiH SRtp_52c
   tathaiva prakṛtisteṣāṃ SRtp_155a	taTA-eva prakRtiH-tezAm SRtp_155a
   tathaivāyaṃ maheśvaraḥ SRtp_48d	taTA-eva-ayam maheSvaraH SRtp_48d
   tathaivāvyaktamiṣyate SRtp_179b	taTA-eva-avyaktam-izyate SRtp_179b
   tadatra kathitaṃ sarva- SRtp_16a	tat-atra kaTitam sarva SRtp_16a
   tadadhiṣṭhāyako jñeyaḥ SRtp_114a	tad-aDizWAyakaH jQeyaH SRtp_114a
   tadaprakāśarūpaṃ vā SRtp_197a	tad-aprakASa-rUpam vA SRtp_197a
   tadavaśyaṃ jaḍātmakam SRtp_136b	tat-avaSyam jaxa-Atmakam SRtp_136b
   tadaharjātabālavat SRtp_260d	tat-ahar-jAta-bAla-vat SRtp_260d
   tadā sūkṣmā viśuddheva SRtp_84a	tadA sUkzmAH viSudDA-iva SRtp_84a
   tadupādhivaśād bhavet SRtp_53b	tad-upADi-vaSAt Bavet SRtp_53b
   tadetadrūpiṇī śaktiḥ SRtp_193a	tat-etat-rUpiNI SaktiH SRtp_193a
   tadeva yadi tatkuryāt SRtp_56a	tat-eva yadi tat-kuryAt SRtp_56a
   tadeva viṣayagrahaḥ SRtp_296b	tat-eva vizaya-grahaH SRtp_296b
   tadaiva hi vimukto 'sau SRtp_317a	tadA-eva hi vimuktaH asO SRtp_317a
   tadgocarā parā mūrtir SRtp_272c	tad-gocarA parA mUrtiH SRtp_272c
   tadvajjaḍaṃ ca caitanyam SRtp_246a	tadvat-jaxam ca cEtanyam SRtp_246a
   tadvadeva matā śaktis SRtp_288c	tadvat-eva matA SaktiH SRtp_288c
   tadvadyogaṃ ca ko vetti SRtp_19c	tadvat-yogam ca kaH vetti SRtp_19c
   tadvaicitryavidhāyinaḥ SRtp_142b	tad-vEcitrya-viDAyinaH SRtp_142b
   tanubhogādi jāyate SRtp_148d	tanu-Boga-Adi jAyate SRtp_148d
   tanubhogendriyasthāna- SRtp_275a	tanu-Boga-indriya-sTAna SRtp_275a
   tanubhogendriyādikam SRtp_135b	tanu-Boga-indriya-Adikam SRtp_135b
   tanubhogendriyādibhiḥ SRtp_26b	tanu-Boga-indriya-AdiBiH SRtp_26b
   tannāmādiviśeṣavat SRtp_228d	tad-nAma-Adi-viSeza-vat SRtp_228d
   tanmāyeyaṃ yathā kalā SRtp_34d	tat-mAyA-iyam yaTA kalA SRtp_34d
   tamambaramanaśvaram SRtp_57b	tam-ambaram-anaSvaram SRtp_57b
   tamasācchādyamānā hi SRtp_258c	tamasA-AcCAdyamAnAH hi SRtp_258c
   tamasārīn manīṣayā SRtp_19b	tamasA-arIn manIzayA SRtp_19b
   tamāsevya mayāpyeṣā SRtp_21a	tam-Asevya mayA-api-ezA SRtp_21a
   tayaitayābhisambandha- SRtp_187c	tayA-etayA-aBisambanDa SRtp_187c
   tayaitayābhisambandhād SRtp_181c	tayA-etayA-aBisambanDAt SRtp_181c
   tayorapyavikāriṇoḥ SRtp_52d	tayoH-api-avikAriNoH SRtp_52d
   tayorāgamavedibhiḥ SRtp_165d	tayoH-Agama-vediBiH SRtp_165d
   tayorbandho niyāmakaḥ SRtp_252d	tayoH-banDaH niyAmakaH SRtp_252d
   tayorbhedo 'dhunocyate SRtp_288d	tayoH-BedaH aDunA-ucyate SRtp_288d
   tayoḥ prasaratoḥ sāmye SRtp_130a	tayoH prasaratoH sAmye SRtp_130a
   tasmādvivartate saṃvid SRtp_241c	tasmAt-vivartate saMvid SRtp_241c
   tasmānna baddho bandho 'nyo SRtp_206a	tasmAt-na badDaH banDaH anyaH SRtp_206a
   tasmānnaiṣā vikāriṇī SRtp_197d	tasmAt-na-ezA vikAriNI SRtp_197d
   tasmin mukulitevāste SRtp_266c	tasmin mukulitA-iva-Aste SRtp_266c
   tasya śaktiṃ parāpekṣaṃ SRtp_292a	tasya Saktim para-apekzam SRtp_292a
   tasyāṃ patitamātrāyāṃ SRtp_316a	tasyAm patita-mAtrAyAm SRtp_316a
   tasyāḥ syāt sadvitīyatā SRtp_214d	tasyAH syAt sa-dvitIya-tA SRtp_214d
   tābhyāmevopadeśābhyāṃ SRtp_198a	tAByAm-eva-upadeSAByAm SRtp_198a
   tābhyāṃ na virahastasya SRtp_129c	tAByAm na virahaH-tasya SRtp_129c
   tāmāhuramṛtāhvayām SRtp_78b	tAm-AhuH-amRta-AhvayAm SRtp_78b
   tāmetāmadvayāmeke SRtp_202c	tAm-etAm-advayAm-eke SRtp_202c
   tāmeva vāṇīṃ sūkṣmākhyām SRtp_80c	tAm-eva vANIm sUkzma-AKyAm SRtp_80c
   timirādiryathārogya- SRtp_239c	timira-AdiH-yaTA-Arogya SRtp_239c
   tirodadhāti bhagavān SRtp_264c	tirodaDAti BagavAn SRtp_264c
   tulyaivākalpanārthajā SRtp_208d	tulya-eva-akalpanA-arTa-jA SRtp_208d
   te ca na staḥ śivaṃ vinā SRtp_129d	te ca na staH Sivam vinA SRtp_129d
   tena bandhastayormataḥ SRtp_251d	tena banDaH-tayoH-mataH SRtp_251d
   tena bandho 'sti bandhaśca SRtp_253c	tena banDaH asti banDaH-ca SRtp_253c
   tena vidyeti gīyate SRtp_109b	tena vidyA-iti gIyate SRtp_109b
   tena śaktiḥ parāpekṣaṃ SRtp_294c	tena SaktiH para-apekzam SRtp_294c
   tenaike samadhiṣṭhitāḥ SRtp_284d	tena-eke samaDizWitAH SRtp_284d
   tebhyo 'dhikāḥ pare 'nye tu SRtp_51a	teByaH aDikAH pare anye tu SRtp_51a
   teṣāṃ purāṇi viyāyāṃ SRtp_25c	tezAm purANi viyAyAm SRtp_25c
   teṣu kālānalādīnām SRtp_91c	tezu kAla-anala-AdInAm SRtp_91c
   taistairbhāvairvivartate SRtp_233b	tEH-tEH-BAvEH-vivartate SRtp_233b
   tau hi cinmātrarūpiṇau SRtp_283d	tO hi cit-mAtra-rUpiNO SRtp_283d
   tyaktvaikamekaṃ samprāpya SRtp_88c	tyaktvA-ekam-ekam samprApya SRtp_88c
   tyāgopādānakāraṇam SRtp_56d	tyAga-upAdAna-kAraNam SRtp_56d
   trayaṃ dīkṣāpratiṣthayoḥ SRtp_7b	trayam dIkzA-pratizTayoH SRtp_7b
   trayoviṃśatirāmnātāḥ SRtp_100a	trayoviMSatiH-AmnAtAH SRtp_100a
   trāṇāt saṃsārasāgarāt SRtp_269b	trANAt saMsAra-sAgarAt SRtp_269b
   trikoṇā svastikāṅkitā SRtp_107d	tri-koNA svastika-aFkitA SRtp_107d
   tridhā vijñānakevalāḥ SRtp_23d	triDA vijQAna-kevalAH SRtp_23d
   tribhiśca tattvairuddiṣṭo SRtp_32a	triBiH-ca tattvEH-uddizwaH SRtp_32a
   trividhaḥ pañcasūcyate SRtp_265b	triviDaH paQcasUcyate SRtp_265b
   trividhopādhisambhedāl SRtp_181a	triviDa-upADi-samBedAt SRtp_181a
   trīṇi ratnāni ko vetti SRtp_18c	trINi ratnAni kaH vetti SRtp_18c
   trīṇi siddhāntasāgarāt SRtp_2b	trINi sidDAnta-sAgarAt SRtp_2b
   dadhnaśca takravat tatra SRtp_36c	daDnaH-ca takra-vat tatra SRtp_36c
   daśadigbāhumaṇḍalaḥ SRtp_281d	daSa-diS-bAhu-maNxalaH SRtp_281d
   daśāṣṭau bhuvanāni ca SRtp_109d	daSa-azwO BuvanAni ca SRtp_109d
   dātarīśe yathāgamam SRtp_146b	dAtar-ISe yaTAgamam SRtp_146b
   dānādānādikarmabhiḥ SRtp_191b	dAna-AdAna-Adi-karmaBiH SRtp_191b
   duḥkhānuṣaṅgānmāyeya- SRtp_42a	duHKa-anuzaFgAt-mAyeya SRtp_42a
   dṛkkriyecchāviśālākṣo SRtp_281a	dRkkriyA-icCA-viSAla-akzaH SRtp_281a
   dṛkśaktivat kriyāśaktir SRtp_127a	dRS-Sakti-vat kriyASaktiH SRtp_127a
   dṛśyante pudgalāḥ kecid SRtp_50c	dRSyante pudgalAH kecid SRtp_50c
   devaḥ sakalaniṣkalaḥ SRtp_268d	devaH sakala-nizkalaH SRtp_268d
   devaḥ sadāśivastatra SRtp_118a	devaH sadASivaH-tatra SRtp_118a
   deśakālanarānyatve SRtp_240a	deSa-kAla-nara-anya-tve SRtp_240a
   deśakālādyapekṣākṣair SRtp_210a	deSa-kAla-Adi-apekza-akzEH SRtp_210a
   deśādinā sa siddho 'dhvā SRtp_153c	deSa-AdinA sa sidDaH aDvA SRtp_153c
   dehendriyādayaḥ śuddhāḥ SRtp_277c	deha-indriya-AdayaH SudDAH SRtp_277c
   dravatāśuṣkatāhetur SRtp_313c	dravata-ASuzka-tA-hetuH SRtp_313c
   dvidhā sā sannidhāvekā SRtp_121c	dviDA sA sanniDO=-ekA SRtp_121c
   dve śaktī samavāyinyau SRtp_127c	dve SaktI samavAyinyO SRtp_127c
   dveṣarāgādyabhāvataḥ SRtp_112d	dveza-rAga-Adi-aBAvataH SRtp_112d
   dvaitabhāvastato 'nyatra SRtp_219c	dvEta-BAvaH-tatas anyatra SRtp_219c
   dhanyā hi śivayoginaḥ SRtp_318d	DanyAH hi Siva-yoginaH SRtp_318d
   dhanyairāghrāyate sadā SRtp_13d	DanyEH-AGrAyate sadA SRtp_13d
   dharmādharmatuṣakṣayaḥ SRtp_176b	Darma-aDarma-tuza-kzayaH SRtp_176b
   dharmāvāha maheśvaraḥ SRtp_35b	DarmO=-Aha maheSvaraH SRtp_35b
   dharmidṛṣṭāntahetavaḥ SRtp_215b	Darmi-dRzwAnta-hetavaH SRtp_215b
   dhāraṇīyatayā dhiyā SRtp_4d	DAraNIyatayA DiyA SRtp_4d
   dhyātavyā galapadmāntar- SRtp_102c	DyAtavyA gala-padma-antar SRtp_102c
   dhyātavyā tālupadmāntar- SRtp_108a	DyAtavyA tAlu-padma-antar SRtp_108a
   dhyātavyā sā parā śaktir SRtp_112a	DyAtavyA sA parA SaktiH SRtp_112a
   dhyātavyodyadanekārcir SRtp_96a	DyAtavyA-udyat-anekArciH SRtp_96a
   dhyeyaṃ ca yogamārgeṇa SRtp_9c	Dyeyam ca yoga-mArgeNa SRtp_9c
   na karmaṇāṇorvaicitryam SRtp_54c	na karmaNA-aNoH-vEcitryam SRtp_54c
   na cāyaṃ bhāvanāsaṃjñaḥ SRtp_59c	na ca-ayam BAvanA-saMjQaH SRtp_59c
   na jāyate na mriyate SRtp_195c	na jAyate na mriyate SRtp_195c
   na jñānaṃ syāt phalapradam SRtp_129b	na jQAnam syAt Pala-pradam SRtp_129b
   na tatra māyopādānaṃ SRtp_148c	na tatra mAyA-upAdAnam SRtp_148c
   na tasya yuktiḥ śāstraṃ vā SRtp_138c	na tasya yuktiH SAstram vA SRtp_138c
   na tāni punaranyasya SRtp_250c	na tAni punar-anyasya SRtp_250c
   na tānutpādayatyarthān SRtp_204a	na tAn-utpAdayati-arTAn SRtp_204a
   na tābhyāṃ sadṛśaḥ kaścic SRtp_10c	na tAByAm sadRSaH kaScid SRtp_10c
   na tu cinmātravedinaḥ SRtp_257d	na tu cit-mAtra-vedinaH SRtp_257d
   na tu nirviṣayaṃ jñānaṃ SRtp_296a	na tu nirvizayam jQAnam SRtp_296a
   na tu vṛttestatastathā SRtp_63d	na tu vRtteH-tatas-taTA SRtp_63d
   na tu vyāpakamātrāṇāṃ SRtp_162a	na tu vyApaka-mAtrANAm SRtp_162a
   na tu śaktiḥ parāpekṣā SRtp_299a	na tu SaktiH para-apekzA SRtp_299a
   na tu hetvādikaṃ param SRtp_294b	na tu hetu-Adikam param SRtp_294b
   na te muktā bhavanti ca SRtp_258d	na te muktAH Bavanti ca SRtp_258d
   na te viśvasya kartāraḥ SRtp_262a	na te viSvasya kartAraH SRtp_262a
   na teṣāmasito mārgaḥ SRtp_160c	na tezAm-asitaH mArgaH SRtp_160c
   na dadhno nāpi dugdhasya SRtp_37a	na daDnaH na-api dugDasya SRtp_37a
   nadījanapadodyāna- SRtp_319c	nadI-janapada-udyAna SRtp_319c
   na niṣedhati kiñcana SRtp_209b	na nizeDati kiQcana SRtp_209b
   na pratyakṣo 'kṣadhīryataḥ SRtp_208b	na pratyakzaH akza-DIH-yataH SRtp_208b
   na buddheḥ pariṇāmo vā SRtp_60c	na budDeH pariNAmaH vA SRtp_60c
   namastathāvidhāyāsmad- SRtp_320c	namaH-taTAviDAya-asmad SRtp_320c
   namaḥ śivāya śaktyai ca SRtp_1a	namaH SivAya SaktyE ca SRtp_1a
   na māyā neśvaro nāṇur SRtp_39c	na mAyA na-ISvaraH na-aNuH SRtp_39c
   narasya jñānakarmaṇoḥ SRtp_250b	narasya jQAna-karmaNoH SRtp_250b
   narasyevoḍurāṭ paśoḥ SRtp_233d	narasya-iva-uxurAj paSoH SRtp_233d
   na loṣṭe sāpi kasyacit SRtp_249b	na lozwe sA-api kasyacid SRtp_249b
   na vṛttipariṇāmābhyāṃ SRtp_69c	na vRtti-pariNAmAByAm SRtp_69c
   na śaktiḥ śuddhavartmanaḥ SRtp_39d	na SaktiH SudDa-vartmanaH SRtp_39d
   na śrānto na vikāravān SRtp_79b	na SrAntaH na vikAravAn SRtp_79b
   na śrotramupasarpati SRtp_75b	na Srotram-upasarpati SRtp_75b
   naśvarāṇāmayaṃ dharmo SRtp_297a	naSvarANAm-ayam DarmaH SRtp_297a
   naṣṭeti vividheti ca SRtp_237d	nazwa-iti viviDa-iti ca SRtp_237d
   naṣṭeti vividheti ca SRtp_245b	nazwA-iti viviDA-iti ca SRtp_245b
   na sarvasya parāpekṣaṃ SRtp_295a	na sarvasya para-apekzam SRtp_295a
   na siddhaḥ sādhyate dharmo SRtp_216a	na sidDaH sADyate DarmaH SRtp_216a
   na so 'sti pratyayo 'ṇūnāṃ SRtp_84c	na saH asti pratyayaH aNUnAm SRtp_84c
   na hi kartṛbahutvasya SRtp_262c	na hi kartR-bahutvasya SRtp_262c
   na hi kastūrikāmodaḥ SRtp_13a	na hi kastUrikA-AmodaH SRtp_13a
   na hi cit pariṇāmiṇī SRtp_199d	na hi cit pariNAmiNI SRtp_199d
   na hi cit pariṇāmena SRtp_142c	na hi cit pariNAmena SRtp_142c
   na hi dṛṣṭāntamātreṇa SRtp_231a	na hi dRzwAnta-mAtreNa SRtp_231a
   na hi paśyanti pudgalāḥ SRtp_81d	na hi paSyanti pudgalAH SRtp_81d
   na hi saṃvidviśeṣāṇāṃ SRtp_248a	na hi saMvid-viSezANAm SRtp_248a
   na hyatra śemuṣī śuddhā SRtp_17c	na hi-atra SemuzI SudDA SRtp_17c
   na hyeṣa bhagavān śaktyā SRtp_305c	na hi-eza BagavAn SaktyA SRtp_305c
   nātmā nāsti ca devatā SRtp_138d	na-AtmA na-asti ca devatA SRtp_138d
   nādabindvarṇakāraṇam SRtp_22d	nAdabindu-arNa-kAraNam SRtp_22d
   nādādīnapi tenaiṣa SRtp_133a	nAda-AdIn-api tena-eza SRtp_133a
   nānāyoniṣvaniścitā SRtp_168d	nAnA-yonizu-aniScitA SRtp_168d
   nānumānāgamau tatra SRtp_211a	na-anumAna-AgamO tatra SRtp_211a
   nānyathā jñānakoṭibhiḥ SRtp_239b	na-anyaTA jQAna-kowiBiH SRtp_239b
   nānyena vyāpyate śivaḥ SRtp_119b	na-anyena vyApyate SivaH SRtp_119b
   nāpi jānāti kiñcana SRtp_306b	na-api jAnAti kiQcana SRtp_306b
   nāpi bhinnoktahetubhiḥ SRtp_304b	na-api Binna-ukta-hetuBiH SRtp_304b
   nāpi saṃvitsamā rajjor SRtp_232a	na-api saMvid-samAH rajjoH SRtp_232a
   nāpyanye tadvibhūtayaḥ SRtp_29b	na-api-anye tad-viBUtayaH SRtp_29b
   nāmnā te 'pi sadāśivāḥ SRtp_31b	nAmnA te api sadASivAH SRtp_31b
   nāsiddhairapi taistathā SRtp_216b	na-asidDEH-api tEH-taTA SRtp_216b
   nāsūyā paricārake SRtp_3d	na-asUyA paricArake SRtp_3d
   nāstameti na codeti SRtp_79a	na-astam-eti na ca-udeti SRtp_79a
   nāsmatpratyakṣagocarāḥ SRtp_60b	na-asmad-pratyakza-gocarAH SRtp_60b
   nityanaimittikaṃ tathā SRtp_7d	nitya-nEmittikam taTA SRtp_7d
   nityanaimittikenaiṣa SRtp_317c	nitya-nEmittikena-eza SRtp_317c
   nityamuktādvayānanta- SRtp_206c	nitya-muktA-dvaya-ananta SRtp_206c
   nityamuktoditācintya- SRtp_263a	nitya-muktA-udita-acintya SRtp_263a
   nityā kuṇḍalinī tu yā SRtp_157d	nityA kuNxalinI tu yA SRtp_157d
   nityaiṣāśeṣakāryāṇāṃ SRtp_200a	nitya-eza-aSeza-kAryANAm SRtp_200a
   nityoditānavacchinna- SRtp_293c	nityoditAn-avacCinna SRtp_293c
   nityoditānavacchinnā SRtp_183a	nityoditAn-avacCinnA SRtp_183a
   nityopādānakāraṇaḥ SRtp_32d	nitya-upAdAna-kAraNaH SRtp_32d
   nidhaye yogaratnānām SRtp_321a	niDaye yoga-ratnAnAm SRtp_321a
   nindyate paśuśāstravat SRtp_12d	nindyate paSu-SAstra-vat SRtp_12d
   nibadhyante mayā tataḥ SRtp_3b	nibaDyante mayA tatas SRtp_3b
   nirāvaraṇavirdvandva- SRtp_183c	nirAvaraNa-virdvan-dva SRtp_183c
   nirupādānavaibhavā SRtp_183d	nirupAdAna-vEBavA SRtp_183d
   nirupādhiḥ kathaṃ śivaḥ SRtp_301b	nirupADiH kaTam SivaH SRtp_301b
   nirgacchantyaviśaṅkitāḥ SRtp_80b	nirgacCanti-aviSaFkitAH SRtp_80b
   nirdhūtaghanasaṃvṛtiḥ SRtp_316b	nirDUta-Gana-saMvRtiH SRtp_316b
   nirmalānāmasaṃkṣobhād SRtp_260a	nirmalAnAm-asaMkzoBAt SRtp_260a
   nirmalānāṃ śivātmanām SRtp_274d	nirmalAnAm Siva-AtmanAm SRtp_274d
   nirmalīkṛtacetasā SRtp_321d	nirmalIkRta-cetasA SRtp_321d
   nirvikalpakabodhe 'pi SRtp_68c	nirvikalpaka-boDe api SRtp_68c
   nirvikalpasvarūpiṇī SRtp_183b	nirvikalpa-svarUpiNI SRtp_183b
   nirvikalpārthasaṃvittis SRtp_260c	nirvikalpa-arTa-saMvittiH SRtp_260c
   nirvikāre 'pi śūlini SRtp_310d	nirvikAre api SUlini SRtp_310d
   nivāritavipākayoḥ SRtp_315b	nivArita-vipAkayoH SRtp_315b
