   atha dvitīyo 'dhyāyaḥ /	aTa dvitIyaH aDyAyaH /
   sūtrābhyāṃ vivartadṛḍhīkaraṇenaikāntikādvayalakṣaṇaḥ śrutyarthaḥ	sUtrAByAm vivarta dRXIkaraNena EkAntikA dvaya lakzaNaH Sruti arTaH
   pariśodhyata ityarthaḥ /	pariSoDyate iti arTaH /
   tasmādastyavikṛtaṃ brahmatattvataḥ /	tasmAt asti avikRtam brahma tattvataH /
   nanu śabdenāpīti codyamavidyākalpitatvodghaṭanāya /	nanu Sabdena api iti codyama vidyA kalpita tva udGawanAya /
   nahi niravayavatvasāvayavatvābhyāṃ	na hi niravayavatu asA avayava tvAByAm
   vidhāntaramastyekaniṣedhasyetaravidhānāntarīyakatvāt /	viDa antaram asti eka nizeDasya itara viDAna antarIyaka tvAt /
   tena prakārāntarābhāvānniravayavatvasāvayavatvayośca	tena prakAra antara aBAvAt niravayavatu asA avayava tvayoH ca
   prakārayoranupapattergrāvaplavanādyarthavādavadapramāṇaṃ śabdaḥ syāditi	prakArayoH anupapatteH grAva plavana Adi arTavAda vat apramANam SabdaH syAt iti
   codyārthaḥ /	codya arTaH /
   parihāraḥ sugamaḥ //26//	parihAraH sugamaH //26//
   START BsVBh_2,1.9.27	START BsVBh_2,1.9.27
   START BsVBh_2,1.9.28	START BsVBh_2,1.9.28
   ātmani caivaṃ vicitrāśca hi | BBs_2,1.28 |	Atmani ca evam vicitrAH ca hi | BBH _2,1.28 |
   anena sphuṭito māyāvādaḥ /	anena sPuwitaH mAyA vAdaH /
   svapnadṛgātmā hi manasaiva svarūpānupamardena rathādīn sṛjati //28//	svapna dRS AtmA hi manasA eva svarUpa anupamardena raTa AdIn sRjati //28//
   START BsVBh_2,1.9.29	START BsVBh_2,1.9.29
   svapakṣadoṣāc ca | BBs_2,1.29 |	sva pakza dozAt ca | BBH _2,1.29 |
   codayati nanu naiveti /	codayati nanu na eva iti /
   paraharati naivañjātīyakeneti /	para harati nEvan jAtIyakena iti /
   yadyapi samudāyaḥ sāvayavastathāpi pratyekaṃ sattvādayo niravayavāḥ /	yadi api samudAyaH sAvayavaH taTA api pratyekam sattva AdayaH niravayavAH /
   nahyasti saṃbhavaḥ sattvamātraṃ pariṇamate na rajastamasī iti /	na hi asti saMBavaH sattva mAtram pariNamate na rajaH tamasI iti /
   sarveṣāṃ saṃbhūyapariṇāmābhyupagamāt /	sarvezAm saMBUya pariNAma aByupagamAt /
   pratyekaṃ cānavayavānāṃ kṛtsnapariṇāme mūlocchedaprasaṅgaḥ /	pratyekam ca anavayavAnAm kRtsna pariNAme mUla ucCeda prasaFgaH /
   ekadeśapariṇāme vā sāvayavatvamaniṣṭaṃ prasajyeta /	eka deSa pariNAme vA sAvayava tvam anizwam prasajyeta /
   tathāguṇavādino 'pīti /	taTA guNa vAdinaH api iti /
   vaiśeṣikāṇāṃ hyaṇubhyāṃ saṃyujya dvyaṇukamekamārabhyate,	vESezikANAm hi aNuByAm saMyujya dvi aNukam ekam AraByate,
   taistribhirdvyaṇukaistryaṇukamekamārabhyata iti prakriyā /	tEH triBiH dvi aNukEH tri aNukam ekam AraByate iti prakriyA /
   tatra dvayoraṇvoranavayavayoḥ saṃyogastāvaṇū vyāpnuyāt /	tatra dvayoH aNvoH anava yavayoH saMyogaH tO= aNU vyApnuyAt /
   avyāpnuvanvā tatra na varteta /	avyApnuvanvA tatra na varteta /
   nahyasti saṃbhavaḥ sa eva tadānīṃ tatra vartate na vartate ceti /	na hi asti saMBavaH saH eva tadAnIm tatra vartate na vartate ca iti /
   tathā coparyadhaḥpārśvasthāḥ ṣaḍapi paramāṇavaḥ samānadeśā iti	taTA ca upari aDas pArSva sTAH zaz api paramANavaH samAna deSAH iti
   prathimānupapatteraṇumātraḥ piṇḍaḥ prasajyeta /	praTima anupapatteH aNu mAtraH piNxaH prasajyeta /
   avyāpane vā ṣaḍavayavaḥ paramāṇuḥ syādityanavayavatvavyākopaḥ /	avyApane vA zaz avayavaH paramANuH syAt iti anavayava tva vyAkopaH /
   aśakyaṃ ca sāvayavatvamupetuṃ, tathā satyanantāvayavatvena	aSakyam ca sAvayava tvam upetuM, taTA sati anantA avayava tvena
   sumerurājasarṣapayoḥ samānaparimāṇatvaprasaṅgaḥ /	sumeru rAja sarzapayoH samAna parimANa tva prasaFgaH /
   tasmāt samāno doṣaḥ /	tasmAt samAnaH dozaH /
   āpātamātreṇa sāmyamuktam, paramārthatastu bhāvikaṃ pariṇāmaṃ vā	ApAta mAtreNa sAmyam uktam, paramArTataH tu BAvikam pariNAmam vA
   kāryakāraṇabhāvaṃ vecchatāmeṣa durvāro doṣo na punarasmākaṃ	kArya kAraNa BAvam vA icCatAm eza durvAraH dozaH na punar asmAkam
   māyāvādināmityāha parihṛtastviti //29//	mAyA vAdinAm iti Aha  parihRtaH tu iti //29//
   START BsVBh_2,1.10.30	START BsVBh_2,1.10.30
   vicitraśaktitvamuktaṃ brahmaṇa, tatra śrutyupanyāsaparaṃ sūtram sarvopetā	vicitra Sakti tvam uktam brahmaNa, tatra Sruti upanyAsa param sUtram  sarva upetA
   ca taddarśanāt //30//	ca tad darSanAt //30//
   START BsVBh_2,1.10.31	START BsVBh_2,1.10.31
   etadākṣepasamādhānaparaṃ sūtram 	etat Akzepa samADAna param sUtram 
   vikaraṇatvān neti cet tad uktam | BBs_2,1.31 |	vikaraNa tvAt na iti ced tat uktam | BBH _2,1.31 |
   kulālādibhyastāvadbāhyakaraṇāpekṣebhyo devādīnāṃ	kulAla AdiByaH tAvat bAhya karaNa apekzeByaH deva AdInAm
   bāhyanapekṣāṇāmāntarakaraṇāpekṣasṛṣṭhīnāṃ pramāṇena dṛṣṭo yathā viśeṣo	bAhyanapekzANAm Antara karaNa apekza sRzWInAm pramANena dRzwaH yaTA viSezaH 
   nāpahnotuṃ śakyaḥ, yathā tu	na apahnotum SakyaH, yaTA tu
   jāgratsṛṣṭerbāhyakaraṇāpekṣāyāstadanapekṣāntarakaraṇamātrasādhyā dṛṣṭā	jAgrat sRzweH bAhya karaNa apekzAyAH tad anapekza antara karaNa mAtra sADyA dRzwA
   svapne rathādisṛṣṭiraśakyāpahnotum, evaṃ sarvaśakteḥ parasyā devatāyā	svapne raTa Adi sRzwiH aSakyA apahnotum, evam sarva SakteH parasyAH devatAyAH 
   āntarakaraṇānapekṣāyā jagatsarjanaṃ śrūyamāṇaṃ na sāmānyato	Antara karaNa anapekzAyAH jagat sarjanam SrUyamANam na sAmAnyatas 
   dṛṣṭamātreṇāpahnavamarhatīti //31//	dRzwa mAtreNa apahnavam arhati iti //31//
   START BsVBh_2,1.11.32	START BsVBh_2,1.11.32
   na prayojanavattvāt | BBs_2,1.32 |	na prayojanavat tvAt | BBH _2,1.32 |
   na tāvadunmattavadasya mativibhramājjagatprakriyā, bhrāntasya	na tAvat unmatta vat asya mati viBramAt jagat prakriyA, BrAntasya
   sarvajñatvānupapatteḥ /	sarvajQa tva anupapatteH /
   tasmāt prekṣavatānena jagat kartavyam /	tasmAt prekzavata anena jagat kartavyam /
   prekṣāvataśca pravṛttiḥ svaparahitāhitaprāptiparihāraprayojanā satī	prekzAvataH ca pravRttiH sva para hita ahita prApti parihAra prayojanA satI
   nāprayojanālpāyāsāpi saṃbhavati, kiṃ	na aprayojana alpa AyAsA api saMBavati, kim
   punaraparimeyānekavidhoccāvacaprapañcajagadvibhramaviracanā mahāprayāsā /	punar aparimeya anekaviDa uccAvaca prapaQca jagat viBrama viracanA mahA prayAsAH /
   ata eva līlāpi parāstā /	atas eva lIlA api parAH tA /
   alpāyāsasādhyā hi sā /	alpa AyAsa sADyAH hi sA /
   na ceyamapyaprayojanā, tasyā api sukhaprayojanavattvāt /	na ca iyam api aprayojanA, tasyAH api suKa prayojanavat tvAt /
   tādarthyena vā prakṛttau tadabhāve kṛtārthatvānupapatteḥ /	tAdarTyena vA prakRttO tad aBAve kRtArTa tva anupapatteH /
   pareṣāṃ copakāryāṇāmabhāvena tadupakārāyā api pravṛtterayogāt /	parezAm ca upakAryANAm aBAvena tad upakArAyAH api pravRtteH ayogAt /
   tasmāt prekṣāvatpravṛttiḥ prayojanavattayā vyāptā tadabhāve 'nupapannā	tasmAt prekzAvat pravRttiH prayojanavat tayA vyAptA tad aBAve anupapannA
   brahmopādānatāṃ jagataḥ pratikṣipatīti prāptam //32//	brahma upAdAna tAm jagataH pratikzipati iti prAptam //32//
   START BsVBh_2,1.11.33	START BsVBh_2,1.11.33
   evaṃ prāpte 'bhidhīyate 	evam prApte aBiDIyate 
   lokavat tu līlākaivalyam | BBs_2,1.33 |	loka vat tu lIlA kEvalyam | BBH _2,1.33 |
   bhavedetadevaṃ yadi prekṣāvatpravṛttiḥ prayojanavattayā vyāptā bhavet /	Bavet etat evam yadi prekzAvat pravRttiH prayojanavat tayA vyAptA Bavet /
   tatastannivṛttau nivarteta, śiṃśāpātvamiva vṛkṣatānivṛttau, na tvetadasti,	tatas tad nivRttO nivarteta, SiMSApAtvam iva vRkza tA nivRttO, na tu etat asti,
   prekṣāvatāmananusaṃhitaprayojanānāmapi yādṛścikīṣu kriyāsu	prekzAvatAm ananu saMhita prayojanAnAm api yAdRScikIzu kriyAsu
   pravṛttidarśanāt /	pravRtti darSanAt /
   anyathā 'na kurvīta vṛthā ceṣṭām'iti dharmasūtrakṛtāṃ pratiṣedho	anyaTA ana kurvIta vRTA cezwAm aiti DarmasUtra kRtAm pratizeDaH 
   nirviṣayaḥ prasajyeta /	nirvizayaH prasajyeta /
   na conmattān pratyetatsūtramarthavat, teṣāṃ	na ca unmattAn pratyetat sUtram arTavat, tezAm
   tadarthabodhatadanuṣṭhānānupapatteḥ /	tad arTa boDa tad anuzWAna anupapatteH /
   api cādṛṣṭahetukotpattikī śvāsapraśvāsalakṣaṇā prekṣāvatāṃ kriyā	api ca adRzwa hetuka utpattikI SvAsa praSvAsa lakzaNA prekzAvatAm kriyA
   prayojanānusaṃdhānamantareṇa dṛṣṭā /	prayojana anusaMDAnam antareNa dRzwAH /
   na cāsyāṃ cetanasyāpi caitanyamanupayogi, saṃprasāde 'pi bhāvāditi yuktam,	na ca asyAm cetanasya api cEtanyam anupayogi, saMprasAde api BAvAt iti yuktam,
   prājñasyāpi caitanyāpracyuteḥ /	prAjQasya api cEtanya apracyuteH /
   anyathā mṛtaśarīre 'pi śvāsapraśvāsapravṛttiprasaṅgāt /	anyaTA mRta SarIre api SvAsa praSvAsa pravRtti prasaFgAt /
   yathā ca svārthaparārthasaṃpadāsāditasamastakāmānāṃ	yaTA ca sva arTa para arTa saMpad AsAdita samasta kAmAnAm
   kṛtakṛtyatayānākūlamanasāmakāmānāmeva līlāmātrātsatyapyanuniṣpādini	kRtakRtyatayAnA kUla manasA Am akAmAnAm eva lIlA mAtrAt sati api anunizpAdini
   prayojane naiva taduddeśena pravṛttirevaṃ brahmaṇo 'pi jagatsarjane	prayojane na eva tad uddeSena pravRttiH evam brahmaNaH api jagat sarjane
   pravṛttirnānupapannā /	pravRttiH na anupapannAH /
   dṛṣṭaṃ ca yadalpabalavīryabuddhināmaśakyamatiduṣkaraṃ vā	dRzwam ca yat alpa bala vIrya budDinAm aSakyam ati duzkaram vA
   tadanyeṣāmanalpabalavīryabuddhīnāṃ suśakamīṣatkaraṃ vā /	tad anyezAm analpa bala vIrya budDInAm suSakam Izat karam vA /
   nahi vānarairmārutiprabhṛtibhirnagairna baddho nīranidhiragādho	na hi vAnarEH mAruti praBRtiBiH nagEH na badDaH nIra niDiH agADo
   mahāsattvānām /	mahAsattvAnAm /
   na caiṣa pārthena śilīmukhairna baddhaḥ /	na ca eza pArTena SilImuKEH na badDaH /
   na cāyaṃ na pītaḥ saṃkṣipya culukena helayeva kalaśayoninā mahāmuninā /	na ca ayam na pItaH saMkzipya culukena helayA iva kalaSa yoninA mahA muninA /
   na cādyāpi na dṛśyante līlāmātravinirmitāni mahāprāsādapramadavanāni	na ca adya api na dRSyante lIlA mAtra vinirmitAni mahA prAsAda pramada vanAni
   śrīmannṛganarendrāṇāmanyeṣāṃ manasāpi duṣkarāṇi nareśvarāṇam /	SrImat nRga narendrANAm anyezAm manasA api duzkarANi nareSvarANam /
   tasmādupapannaṃ yadṛcchayā vā svabhāvādvā līlayā vā jagatsarjanaṃ	tasmAt upapannam yadRcCayA vA svaBAvAt vA lIlayA vA jagat sarjanam
   bhagavato maheśvarasyeti /	BagavataH maheSvarasya iti /
   api ca neyaṃ pāramārthikī sṛṣṭiryenānuyujyeta prayojanam, api	api ca na iyam pAramArTikI sRzwiH yena anuyujyeta prayojanam, api
   tvanādyavidyānibandhanā /	tu anAdya vidyA nibanDanA /
   avidyā ca svabhāvata eva kāryonmukhī na prayojanamapekṣate /	avidyA ca svaBAvataH eva kArya unmuKI na prayojanam apekzate /
   nahi dvicandrālātacakragandharvanagarādivibhramāḥ samuddiṣṭaprayojanā	na hi dvi candra alAta cakra ganDarvanagara Adi viBramAH samuddizwa prayojanA
   bhavanti /	Bavanti /
   naca tatkāryā vismayabhayakampādayaḥ svotpattau prayojanamapekṣante /	na ca tad kAryAH vismaya Baya kampa AdayaH sva utpattO prayojanam apekzante /
   sā ca caitanyacchuritā jagadutpādaheturiti cetano jagadyonirākhyāyata	sA ca cEtanya= CuritAH jagat utpAda hetuH iti cetanaH jagadyoniH AKyAyata
   ityāha na ceyaṃ paramārthaviṣayeti /	iti Aha na ca iyam parama arTa vizaya iti /
   api ca na brahma jagatkāraṇamapi tattayā vivakṣantyāgamā api tu jagati	api ca na brahma jagat kAraNam api tad tayA vivakzanti AgamAH api tu jagati
   brahmātmabhāvam /	brahma Atma BAvam /
   tathā ca sṛṣṭeravivakṣāyāṃ tadāśrayo doṣo nirviṣaya	taTA ca sRzweH avivakzAyAm tad ASrayaH dozaH nirvizaya
   evetyāśayenāha brahmātmabhāveti //33//	eva iti ASayena aha  brahma Atma BAva iti //33//
   START BsVBh_2,1.12.34	START BsVBh_2,1.12.34
   vaiṣamyanairghṛṇye na sāpekṣatvāt tathā hi darśayati | BBs_2,1.34 |	vEzamyanEH GRNye na sa apekza tvAt taTA hi darSayati | BBH _2,1.34 |
   atirohito 'tra pūrvaḥ pakṣaḥ /	atirohitaH atra pUrvaH pakzaH /
   uttarastūcyate uccāvacamadhyamasukhaduḥkhabhedavatprāṇabhṛtprapañcaṃ ca	uttaraH tu ucyate uccAvaca maDyama suKa duHKa Bedavat prANaBRt prapaQcam ca
   sukhaduḥkhakāraṇaṃ sudhāviṣādi cānekavidhaṃ viracayataḥ	suKa duHKa kAraNam suDA viza Adi ca anekaviDam viracayataH
   prāṇabhṛdbhedopāttapāpapuṇyakarmāśayasahāyasyātrabhavataḥ parameśvarasya	prANaBRt Beda upAtta pApa puNya karma ASaya sahAyasya atraBavataH parameSvarasya
   na caiṣamyanairghaṇye prasajyete /	na ca ezamyanEH GaNye prasajyete /
   nahi sabhyaḥ sabhāyāṃ niyukto yuktavādinaṃ yuktavādyasīti	na hi saByaH saBAyAm niyuktaH yukta vAdinam yukta vAdyasi iti
   cāyuktavādinamayuktavādyasīti bruvāṇa, sabhāpatirvā	ca ayukta vAdinam ayukta vAdyasi iti bruvANa, saBA patiH vA
   yuktavādinamanugṛhṇannayuktavādinaṃ ca nigṛhṇannanukto dviṣṭo vā	yukta vAdinam anugRhNan= a yukta vAdinam ca nigRhNan= anuktaH dvizwaH vA
   bhavatyapi tu madhyastha iti vītarāgadveṣa iti cākhyāyate, tadvadīśvaraḥ	Bavati api tu maDyasTaH iti vIta rAga dvezaH iti ca AKyAyate, tadvat ISvaraH
   puṇyakarmāṇamanugṛhṇannapuṇyakarmāṇaṃ ca nigṛhṇanmadhyastha eva	puNya karmANam anugRhNannapuNya karmANam ca nigRhNan maDyasTaH eva
   nāmadhyasthaḥ /	na amaDya sTaH /
   evaṃ hyasāvamadhyasthaḥ syādyakalyāṇakāriṇamanugṛhṇīyātkalyāṇakāriṇaṃ ca	evam hi asO= amaDya sTaH syAt ya kalyANa kAriNam anugRhNIyAt kalyANa kAriNam ca
   nigṛhṇīyāt /	nigRhNIyAt /
   natvetadasti /	na tu etat asti /
   tasmānna vaiṣamyadoṣaḥ /	tasmAt na vEzamya dozaH /
   ata eva na nairghṛṇyamapi saṃharataḥ samastān prāṇabhṛtaḥ /	atas eva na nErGRNyam api saMharataH samastAn prANaBRtaH /
   sa hi prāṇabhṛtkarmāśayānāṃ vṛttinirodhasamayaḥ,	sa hi prANaBRt karma ASayAnAm vRtti niroDa samayaH,
   tamitalaṅghayannayamayuktakārī syāt /	tamita laFGayan= ayam ayukta kArI syAt /
   naca karmāpekṣāyāmīśvarasya aiśvaryavyāghātaḥ /	na ca karma apekzAyAm ISvarasya ESvarya vyAGAtaH /
   nahi sevādikarmabhedāpekṣaḥ phalabhedapradaḥ prabhuraprabhurbhavati /	na hi sevA Adi karma Beda apekzaH Pala Beda pradaH praBuH apraBuH Bavati /
   na ca 'eṣa hyeva sādhu karma kārayati yamebhyo lokebhya unninīṣate eṣa	na ca aeza hi eva sADu karma kArayati yameByaH lokeByaH unninIzate eza
   evāsādhu karma kārayati taṃ yamadho niniṣate'iti śruterīśvara eṣa	eva asADu karma kArayati tam yam aDas ninizate aiti SruteH ISvaraH eza
   dveṣapakṣapātābhyāṃ sādhvasādhunī karmaṇī kārayitvā svargaṃ narakaṃ vā	dveza pakzapAtAByAm sADu asADunI karmaNI kArayitvA svargam narakam vA
   lokaṃ nayati, tasmādvaiṣamyadoṣaprasaṅgānneśvaraḥ kāraṇamiti vācyam /	lokam nayati, tasmAt vEzamya doza prasaFgAt na ISvaraH kAraNam iti vAcyam /
   virodhāt /	viroDAt /
   yasmāt karma kārayitveśvaraḥ prāṇinaḥ sukhaduḥkhinaḥ sṛjati iti	yasmAt karma kArayitvA ISvaraH prANinaH suKa duHKinaH sRjati iti
   śruteravagamyate, tasmānna sṛjatīti viruddhamabhidhīyate /	SruteH avagamyate, tasmAt na sRjati iti virudDam aBiDIyate /
   naca vaiṣamyamātramatra brūmo na tvīśvarakāraṇatvaṃ vyāsedhāma iti	na ca vEzamya mAtram atra brUmaH na tu ISvara kAraNa tvam vyAseDAmaH iti
   vaktavyam /	vaktavyam /
   kimato yadyevam /	kim atas yadi evam /
   tasmādīśvarasya savāsanakleśāparāmarśamabhivadantīnāṃ bhūyasīnāṃ	tasmAt ISvarasya sa vAsana kleSa aparAmarSam aBivadantInAm BUyasInAm
   śrutīnāmanugrahāyonninīṣate 'dho ninīṣata ityetadapi	SrutInAm anugrahAya unninIzate aDas ninIzate iti etat api
   tajjātīyapūrvakarmābhyāsavaśātprāṇina ityevaṃ neyam /	tad jAtIya pUrva karma aByAsa vaSAt prANinaH iti evam na iyam /
   yathāhuḥ 'janmajanma yadabhyastaṃ dānamamadhyayanaṃ tapaḥ /	yaTA AhuH  ajanma janma yat aByastam dAnamam aDyayanam tapaH /
   tenaivābhyāsayogena taccaivābhyasate naraḥ //	tena eva aByAsa yogena tat ca eva aByasate naraH //
   'iti /	aiti /
   abhyupetya ca sṛṣṭestāttvikatvamidamuktam /	aByupetya ca sRzweH tAttvika tvam idam uktam /
   anirvācyā tu sṛṣṭiriti na prasmartavyamatrāpi /	anirvAcyA tu sRzwiH iti na prasmartavyam atra api /
   tathā ca māyākārasyevāṅgasākalyavaikalyabhedena vicitrān prāṇino darśayato	taTA ca mAyA kArasya iva aFga sAkalya vEkalya Bedena vicitrAn prANinaH darSayataH 
   na vaiṣamyadoṣaḥ, sahasā saṃharato vā na nairdhṛṇyam, evamasyāpi bhagavato	na vEzamya dozaH, sahasA saMharataH vA na nErDRNyam, evam asya api BagavataH 
   vividhavicitraprapañcamanirvācyaṃ viśvaṃ darśayataḥ saṃharataśca	viviDa vicitra prapaQcam anirvAcyam viSvam darSayataH saMharataH ca
   svabhāvādvā līlayā vā na kaściddoṣaḥ //34//	svaBAvAt vA lIlayA vA na kaScid dozaH //34//
   START BsVBh_2,1.12.35	START BsVBh_2,1.12.35
   iti sthite śaṅkāparihāraparaṃ sūtram 	iti sTite SaFkA parihAra param sUtram 
   na karmāvibhāgād iti cen nānāditvād | BBs_2,1.35 |	na karma aviBAgAt iti ced nAnA Adi tvAt | BBH _2,1.35 |
   śaṅkottare atirohitārthena bhāṣyagranthena vyākhyāte //35//	SaFkottare ati rohita arTena BAzya granTena vyAKyAte //35//
   START BsVBh_2,1.12.36	START BsVBh_2,1.12.36
   anāditvāditi siddhavaduktaṃ, tatsādhanārthaṃ sūtram 	anAdi tvAt iti sidDa vat uktaM, tad sADana arTam sUtram 
   upapadyate cāpy upalabhyate ca | BBs_2,1.36 |	upapadyate ca api upalaByate ca | BBH _2,1.36 |
   akṛte karmaṇi puṇye pāpe vā tatphalaṃ bhoktāramadhyāgacchet, tathā ca	akRte karmaNi puNye pApe vA tad Palam BoktAram aDyAgacCet, taTA ca
   vidhiniṣedhaśāstramanarthakaṃ bhavet pravṛttinivṛttyabhāvāditi /	viDi nizeDa SAstram anarTakam Bavet pravRtti nivRtti aBAvAt iti /
   mokṣaśāstrasya coktamānarthakyam /	mokza SAstrasya ca uktam AnarTakyam /
   na cāvidyā kevaleti /	na ca avidyA kevala iti /
   layābhiprāyam /	laya aBiprAyam /
   vikṣepalakṣaṇāvidyāsaṃskārastu kāryatvātsvotpattau pūrvaṃ	vikzepa lakzaNa avidyA saMskAraH tu kAryatvAt sva utpattO pUrvam
   vikṣepamapekṣate, vikṣepaśca mithyāpratyayo mohāparanāmā	vikzepam apekzate, vikzepaH ca miTyA pratyayaH moha apara nAmA
   puṇyāpuṇyapravṛttihetubhūtarāgadveṣanidānaṃ, sa ca rāgādibhiḥ sahitaḥ	puNya apuNya pravRtti hetu BUta rAga dveza nidAnaM, sa ca rAga AdiBiH sahitaH
   svakāryairna śarīraṃ sukhaduḥkhabhogāyatanamantareṇa saṃbhavati /	sva kAryEH na SarIram suKa duHKa Boga Ayatanam antareNa saMBavati /
   naca rāgādvaiṣāvantareṇa karma /	na ca rAgAt vEzO= antareNa karma /
   naca bhogasahitaṃ mohamantareṇa rāgadveṣau /	na ca Boga sahitam moham antareNa rAga dvezO /
   naca pūrvaśarīramantareṇa mohādiriti pūrvapūrvaśarīrāpekṣo mohādirevaṃ	na ca pUrva SarIram antareNa moha AdiH iti pUrva pUrva SarIra apekzaH moha AdiH evam
   pūrvapūrvamohādyapekṣaṃ pūrvapūrvaśarīramityanāditaivātra bhagavatī	pUrva pUrva moha Adi apekzam pUrva pUrva SarIram iti anAditA eva atra BagavatI
   cittamanākulayati /	cittam anAkulayati /
   tadetadāha rāgādikleśavāsanākṣiptakarmāpekṣā tvavidyā vaiṣamyakarī syāditi	tad etat Aha rAga Adi kleSa vAsanA Akzipta karma apekzA tu avidyA vEzamya karI syAt iti
   rāgādveṣamohā rāgādayasta eva hi puruṣaṃ saṃsāraduḥkhamanubhāvya	rAgAt veza mohAH rAga AdayaH te eva hi puruzam saMsAra duHKam anuBAvya
   kleśayantīti kleśāsteṣāṃ vāsanāḥ karmapravṛttyanuguṇāstābhirākṣiptāni	kleSayanti iti kleSAH tezAm vAsanAH karma pravRtti anuguNAH tABiH AkziptAni
   pravarttitāni karmāṇi tadapekṣā layalakṣaṇā avidyā /	pravarttitAni karmANi tad apekzA laya lakzaNAH avidyA /
   syādetat /	syAt etat /
   bhaviṣyatāpi vyapadeśo dṛṣṭo yathā 'puroḍāśakapālena tuṣānupavapati'iti /	BavizyatA api vyapadeSaH dRzwaH yaTA apuroxASa kapAlena tuzAn upavapati aiti /
   ata āha naca dhārayiṣyatītyata iti /	atas Aha na ca DArayizyati iti atas iti /
   tadevamanāditve siddhe 'sadeva somyedamagra āsīdekamevādvitīyam'iti prāk	tat evam anAdi tve sidDe asat eva somya idam agre AsIt ekam eva advitIyam aiti prAk 
   sṛṣṭeravibhāgāvadhāraṇaṃ samudācaradrūparāgādiniṣedhaparaṃ na	sRzweH aviBAga avaDAraNam samudAcarat rUpa rAga Adi nizeDa param na
   punaretānprasuptānapyapākarotīti sarvamavadātam //36//	punar etAn prasuptAn api apAkaroti iti sarvam avadAtam //36//
   START BsVBh_2,1.13.37	START BsVBh_2,1.13.37
   sarvadharmopapatteś ca | BBs_2,1.37 |	sarva Darma upapatteH ca | BBH _2,1.37 |
   atrasarvajñamiti /	atrasarvajQam iti /
   dṛśyate sarvasya cetanādhiṣṭhitasyaiva loke pravṛttiriti lokānusāro	dRSyate sarvasya cetanA aDizWitasya eva loke pravRttiH iti loka anusAraH 
   darśitaḥ /	darSitaH /
   sarvaśaktīti /	sarva Sakti iti /
   sarvasya jagata upādānakāraṇaṃ nimittakāraṇaṃ cetyupapāditam mahāmāyamiti	sarvasya jagataH upAdAnakAraNam nimitta kAraNam ca iti upapAditam mahA mAyam iti
   sarvānupapattiśaṅkā parāstā /	sarva anupapatti SaFkA parAH tA /
   tasmājjagatkāraṇaṃ brahmeti siddham //37//	tasmAt jagat kAraNam brahma iti sidDam //37//
   iti śrīvācaspatimiśraviracite bhagavatpādaśārīrikabhāṣyavibhāge bhāmatyāṃ	iti SrI vAcaspati miSravi racite Bagavat pAda SArIrika BAzya viBAge BAmatyAm
   dvitīyasyādhyāyasya prathamaḥ pādaḥ //1//	dvitIyasya aDyAyasya praTamaH pAdaH //1//
   iti dvitīyādhyāyasya sāṃkhyāyogakāraṇadādismṛtibhiḥ	iti dvitIya aDyAyasya sAMKya Ayoga kAraNa dAdi smRtiBiH
   sāṃkhyādiprayuktatarkaiśca vedāntasamanvayavirodhaparihārākhyaḥ prathamaḥ	sAMKya Adi prayukta tarkEH ca vedAnta samanvaya viroDa parihAra AKyaH praTamaH
   pādaḥ //	pAdaH //
   dvitīyādhyāye dvitīyaḥ pādaḥ /	dvitIya aDyAye dvitIyaH pAdaH /
   START BsVBh_2,2.1.1	START BsVBh_2,2.1.1
   racanānupapatteśca nānumānam | BBs_2,2.1 |	racanA anupapatteH ca na anumAnam | BBH _2,2.1 |
   syādetat /	syAt etat /
   iha hi pāde svatantrā vedanirapekṣāḥ pradhānādisiddhiviṣayāḥ	iha hi pAde svatantrAH veda nirapekzAH praDAna Adi sidDi vizayAH
   sāṃkhyādiyuktayo nirākariṣyante /	sAMKya Adi yuktayaH nirAkarizyante /
   tadayuktamaśāstrāṅgatvāt /	tat ayuktam aSAstra aFga tvAt /
   nahīdaṃ śāstramucchṛṅkhalatarkaśāstravatpravṛttamapi tu vedāntavākyāni	nahi idam SAstram ucCRFKala tarka SAstra vat pravRttam api tu vedAnta vAkyAni
   brahmaparāṇīti pūrvapakṣottarapakṣābhyāṃ viniścetum /	brahma parANi iti pUrva pakza uttara pakzAByAm viniScetum /
   tatra kaḥ prasaṅgaḥ śuṣkatarkavatsvatantrayuktinirākaraṇasyetyata	tatra kaH prasaFgaH Suzka tarka vat svatantra yukti nirAkaraNasya ityata
   āha  yadyapīdaṃ vedāntavākyānāmiti /	Aha  yat yapi idam vedAnta vAkyAnAm iti /
   nahi vedāntavākyāni nirṇetavyānīti nirṇīyante, kintu mokṣamāṇānāṃ	na hi vedAnta vAkyAni nirNetavyAni iti nirNIyante, kintu mokzamANAnAm
   tattvajñānotpādanāya /	tattva jQAna utpAdanAya /
   yathā ca vedāntavākyebhyo jagadupādānaṃ brahmāvagamyate, evaṃ	yaTA ca vedAnta vAkyeByaH jagat upAdAnam brahma avagamyate, evam
   sāṃkhyādyanumānebhyaḥ pradhānādyacetanaṃ jagadupādānamavagamyate /	sAMKya Adi anumAneByaH praDAna Adi acetanam jagat upAdAnam avagamyate /
   na caitadeva cetanopādānamacetanopādānaṃ ceti samuccetuṃ śakyaṃ, virodhāt	na ca etat eva cetanA upAdAnam acetana upAdAnam ca iti samuccetum Sakyan, viroDAt 
