   atha tṛtīyo 'dhyāyaḥ /	aTa tRtIyaH aDyAyaH /
   anuṣṭhātrapekṣitopāyatārahitapravartanāmātrārthatve	anuzWAtR apekzita upAya tA rahita pravartanA mAtra arTa tve
   yajetetyādīnāmasādhakaṃ karma yāgādi syāt /	yajeta iti AdInAm asADakam karma yAga Adi syAt /
   sādhayitāraṃ nādhigacchedityarthaḥ /	sADayitAram na aDigacCet iti arTaH /
   na caite sākṣādbhāvanābhāvyā api kartrapekṣitasādhanatāvidhyupahitamaryādā	na ca ete sAkzAt BAvanA BAvyAH api kartR apa Ikzita sADana tA viDi upahita maryAdA
   bhāvanoddeśyā bhavitumarhanti, yena puṃsāmanupakārakāḥ santo	BAvanA uddeSyAH Bavitum arhanti, yena puMsAm anupakArakAH santaH 
   nādhikārabhājo bhaveyuḥ /	na aDikAra BAjaH BaveyuH /
   duḥkhatvena karmaṇāṃ cetanasamīhānāspadatvāt /	duHKa tvena karmaNAm cetana samIha an Aspada tvAt /
   svargādīnāṃ tu bhāvanāpūrvarūpakāmanopadhānācca /	svarga AdInAm tu BAvanA pUrvarUpa kAmanA upaDAnAt ca /
   prītyātmakatvācca /	prIti Atmaka tvAt ca /
   nāmapadābhidheyānāmapi puruṣaviśeṣaṇānāmapi	nAma pada aBiDeyAnAm api puruza viSezaNAnAm api
   bhāvanoddeśyatālakṣaṇabhāvyatvapratīteḥ /	BAvanA uddeSya tA lakzaNa BAvya tva pratIteH /
   phalārthapravṛttabhāvanābhāvyatvalakṣaṇena ca yāgādisādhyatvena	Pala arTa pravRtta BAvanA BAvya tva lakzaNena ca yAga Adi sADya tvena
   phalārthapravṛttabhāvanābhāvyatvarūpasya phalasādhyatvasya	Pala arTa pravRtta BAvanA BAvya tva rUpasya Pala sADya tvasya
   samapradhānatvābhāvenaikavākyasamavāyasaṃbhavāt, bhāvanābhāvyatvamātrasya	sama praDAna tva aBAvena eka vAkya samavAya saMBavAt, BAvanA BAvya tva mAtrasya
   ca yāgādisādhyatvasya karaṇe 'pyavirodhāt /	ca yAga Adi sADya tvasya karaNe api aviroDAt /
   anyathā sarvatra taducchedāt /	anyaTA sarvatra tad ucCedAt /
   paraśvāderapi chidādiṣu tathābhāvāt /	paraSu AdeH api Cid Adizu taTA aBAvAt /
   phalasya sākṣādbhāvanāvyāpyatvavirahiṇo 'pi taduddeśyatayā sarvatra	Palasya sAkzAt BAvanA vyApya tva virahiNaH api tad uddeSya tayA sarvatra
   vyāpitayā vyavasthānātsvargasādhane yāgādau svargakāmāderadhikāra iti	vyApitayA vyavasTAnAt svarga sADane yAga AdO svarga kAma AdeH aDikAraH iti
   siddham /	sidDam /
   na cāprāptārthaviṣayāḥ sāṃgrahaṇyādiyāgavidhayaḥ parisaṃkhyāyakā niyāmakā	na ca aprApta arTa vizayAH sAMgrahaNya Adi yAga viDayaH parisaMKyAyakA niyAmakA
   vā bhavitumarhanti /	vA Bavitum arhanti /
   na cādhikārābhāve	na ca aDikAra aBAve
   dehātmapravilayo vādhikāribhedapravilayo vā śakya upapādayitum /	deha Atma pravilayaH vA aDikAri Beda pravilayaH vA SakyaH upapAdayitum /
   āpātataḥ pratibhāne cāsya tatparatvameva nārthāyātaparatvam /	ApAtatas pratiBAne ca asya tat paratvam eva na arTa AyAta paratvam /
   svarasataḥ pratīyamāner'the vākyasya tādarthye saṃbhavati na	svarasataH pratIyamAner aTe vAkyasya tAdarTye saMBavati na
   saṃpātāyātaparatvamucitam /	saMpAta Aya Ata para tvam ucitam /
   na caitāvatā śāstratvavyāghātaḥ /	na ca etAvatA SAstra tva vyAGAtaH /
   tasya svargādyupāyaśāsane 'pi śāstratvopapatteḥ /	tasya svarga Adi upAya SAsane api SAstra tva upapatteH /
   puruṣaśreyo 'bhidhāyakatvaṃ hi śāstratvam /	puruza SreyaH aBiDAyaka tvam hi SAstra tvam /
   sarāgavītarāgapuruṣaśreyo 'bhidhāyakatvena sarvapāriṣadatayā na	sa rAga vIta rAga puruza SreyaH aBiDAyaka tvena sarva pArizada tayA na
   tattvavyāghātaḥ /	tattva vyAGAtaH /
   tasmādvidhiviṣayabhāvopagamādyāgaḥ svargasyotpādaka iti siddham /	tasmAt viDi vizaya BAva upagamAt yAgaH svargasya utpAdakaH iti sidDam /
   karmaṇo vā kācidavastheti /	karmaNaH vA kAcid avasTA iti /
   karmaṇo 'vāntaravyāpāraḥ /	karmaNaH avAntara vyApAraH /
   etaduktaṃ bhavati karmaṇo hi phalaṃ prati yatsādhanatvaṃ śrutaṃ,	etat uktam Bavati karmaNaH hi Palam prati yat sADana tvam SrutaM,
   tannirvāhayituṃ tasyaivāvāntaravyāpāro bhavati /	tat nirvAhayitum tasya eva avAntara vyApAraH Bavati /
   naca vyāpāravati satyeva vyāpāro nāsatīti yuktam /	na ca vyApAravati sati eva vyApAraH na asati iti yuktam /
   asatsvapyāgneyādiṣu tadutpattyapūrvāṇāṃ paramāpūrve janayitavye	asatsu api Agneya Adizu tad utpatti apUrvANAm paramA pUrve janayitavye
   tadavāntaravyāpāratvāt /	tat avAntara vyApAra tvAt /
   asatyapi ca tailapānakarmaṇi tena puṣṭau kartavyāyāmantarā	asatI api ca tEla pAna karmaNi tena puzwO kartavyAyAm antarA
   tailapariṇāmabhedānāṃ tadavāntaravyāpāratvāt /	tEla pariNAma BedAnAm tat avAntara vyApAra tvAt /
   tasmātkarmakāryamapūrvaṃ karmaṇā phale kartavye tadavāntaravyāpāra iti	tasmAt karma kAryam apUrvam karmaNA Pale kartavye tat avAntara vyApAraH iti
   yuktam /	yuktam /
   yadā punaḥ phalopajananānyathānupapattyā kiñcitkalpyate tadāphalasya vā	yadA punar Pala upajananAni aTa anupapattyA kiQcid kalpyate tadA aPalasya vA
   pūrvāvasthā /	pUrva avasTA /
   avicitrasya kāraṇasyeti /	avicitrasya kAraNasya iti /
   yadīśvarādeva kevalāditi śeṣaḥ /	yadi ISvarAt eva kevalAt iti SezaH /
   karmabhirvā śubhāśubhaiḥ kāryadvaidhotpāde rāgādimattvaprasaṅga ityāśayaḥ	karmaBiH vA SuBa aSuBEH kArya t vEDa utpAde rAga Adimattva prasaFgaH iti ASayaH
   START BsVBh_3,2.8.41	START BsVBh_3,2.8.41
   pūrvaṃ tu bādarāyaṇo hetuvyapadeśāt | BBs_3,2.41 |	pUrvam tu bAdarAyaNaH hetu vyapadeSAt | BBH _3,2.41 |
   dṛṣṭānusāriṇī hi kalpanā yuktā nānyathā /	dRzwa anusAriNI hi kalpanA yuktAH na anyaTA /
   nahi jātu mṛtpiṇḍadaṇḍādayaḥ kumbhakārādyanadhiṣṭhitāḥ kumbhādyārambhāya	na hi jAtu mRd piNxa daNxa AdayaH kumBakAra Adi anaDizWitAH kumBa Adi AramBAya
   vibhavavanto dṛṣṭāḥ /	viBavavantaH dRzwAH /
   naca vidyutpavanādibhiraprayatnapūrvairvyabhicāraḥ, teṣāmapi	na ca vidyutpavana AdiBiH aprayatna pUrvEH vyaBicAraH, tezAm api
   kalpanāspadatayā vyabhicāranidarśanatvānupapatteḥ /	kalpanA Aspada tayA vyaBicAra nidarSana tva anupapatteH /
   tasmādacetanaṃ karma vāpūrvaṃ vā na cetanānadhiṣṭhitaṃ svatantraṃ	tasmAt acetanam karma vA apUrvam vA na cetanA anaDizWitam svatantram
   svakāryaṃ pravartitumutsahate naca caitanyamātraṃ	sva kAryam pravartitum utsahate na ca cEtanya mAtram
   karmasvarūpasāmānyaviniyogādiviśeṣavijñānaśūnyamupayujyate, yena	karma svarUpa sAmAnya viniyoga Adi viSeza vijQAna SUnyam upayujyate, yena
   tadrahitakṣetrajñamātrādhiṣṭhānena siddhasādhyatvamudbhāvyeta /	tad rahita kzetrajQa mAtra aDizWAnena sidDa sADya tvam udBAvyeta /
   tasmāttattatprāsādāṭṭālagopuratoraṇādyupajananidarśanasahasraiḥ	tasmAt tad tad prAsAda awwAla gopura toraNa Adi upajana nidarSana sahasrEH
   supariniścitaṃ yathā cetanādhiṣṭhānādacetanānāṃ kāryārambhakatvamiti tathā	su pariniScitam yaTA cetanA aDizWAnAt acetanAnAm kArya AramBaka tvam iti taTA
   caitanyaṃ devatāyā asati bādhake śrutismṛtītihāsapurāṇaprasiddhaṃ na	cEtanyam devatAyAH asati bADake Sruti smRti itihAsa purANa prasidDam na
   śakyaṃ pratiṣedhdhumityapi spaṣṭaṃ niraṭaṅki devatādhikaraṇe /	Sakyam pratizeDDum iti api spazwam nirawaFki devatA aDikaraNe /
   laukikaśceśvaro	lOkikaH ca ISvaraH 
   dānaparicaraṇapraṇāmāñjalikaraṇastutimayībhiratiśraddhāgarbhābhirbhakti	dAna paricaraNa praNAma aQjali karaNa stuti mayIBiH ati SradDA garBABiH Bakti
   bhirārādhitaḥ prasannaḥ svānurūpamārādhakāya phalaṃ prayacchati	BiH ArADitaH prasannaH sva anurUpam ArADakAya Palam prayacCati
   virodhataścāpakriyābhirvirodhakāyāhitāmityapi suprasiddham /	viroDataH ca apa kriyABiH viroDa kAya AhitAm iti api su prasidDam /
   tadiha kevalaṃ karma vāpūrvaṃ vā cetanānadhiṣṭhitamacetanaṃ phalaṃ prasūta	tat iha kevalam karma vA apUrvam vA cetanA anaDizWitam acetanam Palam prasUta
   iti dṛṣṭaviruddham /	iti dRzwa virudDam /
   yathā vinaṣṭaṃ	yaTA vinazwam
   karma na phalaṃ prasūta iti kalpyate dṛṣṭavirodhādevamihāpīti /	karma na Palam prasUtaH iti kalpyate dRzwa viroDAt evam iha api iti /
   tathā devapūjātmako yāgo devatāṃ naprasādayan phalaṃ prasūta ityapi	taTA deva pUjA AtmakaH yAgaH devatAm naprasAdayan Palam prasUtaH iti api
   dṛṣṭaviruddham /	dRzwa virudDam /
   nahi rājapūjātmakamārādhanaṃ rājānamaprasādya phalāya kalpate /	na hi rAja pUjA Atmakam ArADanam rAjAnam aprasAdya PalAya kalpate /
   tasmāddṛṣṭānuguṇyāya yāgādibhirapi devatāprasattirutpādyate /	tasmAt dRzwa anuguNyAya yAga AdiBiH api devatA prasattiH utpAdyate /
   tathāca devatāprasādādeva sthāyinaḥ phalotpatterupapatteḥ kṛtamapūrveṇa /	taTA ca devatA prasAdAt eva sTAyinaH Pala utpatteH upapatteH kRtam apUrveNa /
   evamaśubhenāpi karmaṇā devatāvirodhanaṃ śrutismṛtiprasiddham /	evam aSuBena api karmaNA devatA viroDanam Sruti smRti prasidDam /
   tataḥ sthāyino 'niṣṭaphalaprasavaḥ /	tatas sTAyinaH anizwa Pala prasavaH /
   naca śubhāśubhakāriṇāṃ tadanurūpaṃ phalaṃ prasuvānā devatā	na ca SuBa aSuBa kAriNAm tad anurUpam Palam prasuvAnA devatA
   dveṣapakṣapātavatīti yujyate /	dvezapakzapAtavatI iti yujyate /
   nahi rājā sādhukāriṇamanugṛhṇannigṛhṇan vā pāpakāriṇaṃ bhavati dviṣṭo	na hi rAjA sADu kAriNam anugRhNat nigRhNan vA pApa kAriNam Bavati dvizwaH 
   rakto vā tadvadalaukiko 'pīśvaraḥ /	raktaH vA tadvat alOkikaH api ISvaraH /
   yathā ca paramāpūrve kartavye utpattyapūrvāṇāmaṅgāpūrvāṇāṃ copayogaḥ /	yaTA ca paramA pUrve kartavye utpatti apUrvANAm aFga apUrvANAm ca upayogaH /
   evaṃ pradhānārādhane 'ṅgārādhanānāmutpattyārādhanānāṃ copayogaḥ /	evam praDAna ArADane aFga ArADanAnAm utpatti ArADanAnAm ca upayogaH /
   svāmyārādhana iva tadamātyatatpraṇayijanārādhanānāmiti sarvaṃ	svAmi ArADanaH iva tad amAtya tad praNayi jana ArADanAnAm iti sarvam
   samānamanyatrābhiniveśāt /	samAnam anyatra aBiniveSAt /
   tasmāddṛṣṭāvirodhena devatārādhanāt phalaṃ na tvapūrvātkarmaṇo vā	tasmAt dRzwa aviroDena devatA ArADanAt Palam na tu apUrvAt karmaNaH vA
   kevalādvirodhato hetuvyapadeśaśca śrautaḥ smārtaśca vyākhyātaḥ /	kevalAt viroDataH hetu vyapadeSaH ca SrOtaH smArtaH ca vyAKyAtaH /
   ye punarantaryāmivyāpārāyā phalotpādanāyā nityatvaṃ sarvasādhāraṇatvamiti	ye punar antaryAmi vyApArAyA Pala utpAdanAyAH nitya tvam sarva sADAraNa tvam iti
   manyamānā bhāṣyakārīyamadhikaraṇaṃ dūṣayāṃbabhūvustebhyo	manyamAnAH BAzya kArIyam aDikaraNam dUzayAMbaBUvuH teByaH 
   vyāvahārikhyāmīśitrīśitavyavibhāgāvasthāyāmiti bhāṣyaṃ vyācakṣīta //41//	vyAvaha ari KyAm ISitrI Sitavya viBAga avasTAyAm iti BAzyam vyAcakzIta //41//
   iti śrīvācaspatimiśraviracite bhāṣyavibhāge bhāmatyāṃ tṛtīyasyādhyāyasya	iti SrI vAcaspati miSravi racite BAzya viBAge BAmatyAm tRtIyasya aDyAyasya
   dvitīyaḥ pādaḥ //2//	dvitIyaH pAdaH //2//
   // iti tṛtīyādhyāyasya tattvampadārthapariśodhanākhyo dvitīyaḥ pādaḥ //	// iti tRtIya aDyAyasya tattvampadArTa pariSoDana AKyaH dvitIyaH pAdaH //
   tṛtīyādhyāye tṛtīyaḥ pādaḥ /	tRtIyA aDyAye tRtIyaH pAdaH /
   START BsVBh_3,3.1.1	START BsVBh_3,3.1.1
   sarvavedāntapratyayaṃ codanādyaviśeṣāt | BBs_3,3.1 |	sarva vedAnta pratyayam codana Adi aviSezAt | BBH _3,3.1 |
   pūrveṇa saṃgatimāha 	pUrveNa saMgatim Aha 
   vyākhyātaṃ vijñeyasya brahmaṇa iti /	vyAKyAtam vijQeyasya brahmaNaH iti /
   nirūpādhibrahmatattvagocaraṃ vijñānaṃ manvāna ākṣipati 	nirUpa ADi brahma tattva gocaram vijQAnam manvAnaH Akzipati 
   nanu vijñeyaṃ brahmeti /	nanu vijQeyam brahma iti /
   sāvayavasya hyavayavānāṃ bhedāttadavayavaviśiṣṭabrahmagocarāṇi vijñānāni	sAvayavasya hi avayavAnAm BedAt tad avayava viSizwa brahma gocarANi vijQAnAni
   gocarabhedādbhidyerannityavayavā brahmaṇo nirākṛtāḥ pūrvāparādītyanena /	gocara BedAt Bidyeran= iti avayavAH brahmaNaH nirAkRtAH pUrva apara Adi iti anena /
   naca nānāsvabhāvaṃ brahma yataḥ svabhāvabhedādbhinnāni jñānānītyuktam 	na ca nAnA svaBAvam brahma yatas svaBAva BedAt BinnAni jQAnAni iti uktam 
   ekarasamiti /	ekarasam iti /
   dhanaṅ kaṭhinam /	DanaF kaWinam /
   nanvekamapyanekarūpaṃ loke dṛṣṭaṃ, yathā somaśarmaiko 'pyācāryo māyulapitā	nanu ekam api aneka rUpam loke dRzwan, yaTA somaSarmA ekaH api AcAryaH mAyula pitA
   putro bhrātā bhartā jāmātā dvijottama ityanekarūpa ityata uktam 	putraH BrAtA BartA jAmAtA dvijottamaH iti aneka rUpaH iti atas uktam 
   ekarūpatvācca /	eka rUpa tvAt ca /
   ekasmin gocare saṃbhavanti bahūni vijñānāni na tvanekākāraṇītyuktam 	ekasmin gocare saMBavanti bahUni vijQAnAni na tu anekAkAraNI iti uktam  
   anekarūpāṇi /	aneka rUpANi /
   rūpamākāraḥ /	rUpam AkAraH /
   samādhatte 	samADatte 
   ucyate saguṇeti /	ucyate  sa guNa iti /
   tattadguṇopādhānabrahmaviṣayā upāsanāḥ prāṇādiviṣayāśca	tad tad guNa upADAna brahma vizayAH upAsanAH prANa Adi vizayAH ca
   dṛṣṭādṛṣṭakramuktiphalā viṣayabhedādbhidyanta ityarthaḥ /	dRzwa adRzwa kramukti PalAH vizaya BedAt Bidyante iti arTaH /
   tata upapanno vimarśa ityāha 	tatas upapannaH vimarSaH iti Aha 
   teṣveṣā cintā /	tezu ezA cintA /
   pūrvapakṣaṃ gṛhṇāti 	pUrva pakzam gRhNAti 
   tatreti /	tatra iti /
   nāmnastāvaditi /	nAmnaH tAvat iti /
   asti 'athaiṣa jyotiḥ etena sahasradakṣiṇena yajeta'iti /	asti aaTa eza jyotiH  etena sahasra dakziNena yajeta aiti /
   tatra saṃśayaḥ kiṃ yajeteti saṃnihitajyotiṣṭomānuvādena	tatra saMSayaH kim yajeta iti saMnihita jyotizwoma anuvAdena
   sahasradakṣiṇālakṣaṇaguṇavidhānam, utaitadguṇaviśiṣṭakarmāntaravidhānamiti	sahasra dakziNA lakzaNa guNa viDAnam, uta etat guNa viSizwa karma antara viDAnam iti
   kiṃ tāvat prāptam, jyotiṣṭomasya prakrāntatvādyajeteti	kim tAvat prAptam, jyotizwomasya prakrAnta tvAt yajeta iti
   tadanuvādājjyotiriti prātipadikamātraṃ paṭhitvā etenetyanukṛṣya	tad anuvAdAt jyotiH iti prAtipadika mAtram paWitvA etena iti anukRzya
   karmasāmānādhikaraṇyena	karma sAmAna aDikaraNyena
   karmanāmavyavasthāpanāt, karmaṇaścānuvādyatvena tattantrasya nāmno 'pi	karma nAma vyavasTApanAt, karmaNaH ca anuvAdya tvena tat tantrasya nAmnaH api
   tathaiva vyavasthāpanāt, jyotiḥśabdasya 'vasante vasante jyotiṣā'iti ca	taTA eva vyavasTApanAt, jyotiH Sabdasya avasante vasante jyotizA aiti ca
   jyotiṣṭome yogadarśanāt nāmaikadeśena ca nāmopalakṣaṇasya	jyotizwome yoga darSanAt nAma eka deSena ca nAma upalakzaNasya
   lokasiddhatvādbhīmasenopalakṣaṇabhīmapadavat, athaśabdasya	loka sidDa tvAt BImasena upalakzaNa BIma padavat, aTa Sabdasya
   cānantaryārthasyāsaṃbandhitve 'nupapatteḥ, guṇaviśiṣṭakarmāntaravidheśca	ca anantarya arTasya asaMbanDi tve anupapatteH, guNa viSizwa karma antara viDeH ca
   guṇamātravidhānasya lāghavāt, dvādaśaśatadakṣiṇāyāścotpattyaśiṣṭatayā	guNa mAtra viDAnasya lAGavAt, dvAdaSa Sata dakziNAyAH ca utpatti aSizwa tayA
   samaśiṣṭatayā sahasradakṣiṇayā saha vikalpopapatteḥ, prakṛtasyaiva	sama Sizwa tayA sahasra dakziNayA saha vikalpa upapatteH, prakRtasya eva
   jyotiṣṭomasya sahasradakṣiṇālakṣaṇaguṇavidhānārthamayamanuvādo na tu	jyotizwomasya sahasra dakziNA lakzaNa guNa viDAna arTam ayam anuvAdaH na tu
   karmāntaramiti prāptam /	karma antaram iti prAptam /
   evaṃ prāpta ucyate bhavetpūrvasmin guṇavidhiryadi tadeva prakaraṇaṃ syāt /	evam prAptaH ucyate  Bavet pUrvasmin guNa viDiH yadi tat eva prakaraNam syAt /
   vicchinnaṃ tu tat /	vicCinnam tu tat /
   tathāhi saṃnidhāvapi pūrvāsaṃbaddhārthaṃ saṃjñāntaraṃ pratīyamānam	taTA hi saMniDO= api pUrva asaMbadDa arTam saMjQA antaram pratIyamAnam
   'anyāyaścānekārthatvam'iti nyāyādutsargator'thāntarārthatvātpūrvabuddhiṃ	aanyAyaH ca aneka arTa tvam aiti nyAyAt utsargator aTa antara arTa tvAt pUrva budDim
   vyavacchinattyapūrvabuddhiṃ ca prasūta iti lokasiddham /	vyavacCinatti apUrva budDim ca prasUtaH iti loka sidDam /
   na jātu dehi devadattāya gāmatha devāya vājinamiti devaśabdāddevadattaṃ	na jAtu dehi devadattAya gAm aTa devAya vAjinam iti deva SabdAt devadattam
   vājibhājamavasyanti laukikāḥ /	vAji BAjamavasyanti lOkikAH /
   tathā copariṣṭāt 'yajeta'iti	taTA ca uparizwAt ayajeta aiti
   śrūyamāṇamasaṃbaddhārthapadavyavāyāttatkarmabuddhimanādadhat tatra	SrUyamANam asaMbadDa arTa pada vyavAyAt tad karma budDim anAdaDat tatra
   guṇavidhānamātrāsamarthaṃ karmāntarameva vidhatte /	guNa viDAna mAtrA samarTam karma antaram eva viDatte /
   na caikatrānupapattyā lakṣaṇayā jyotiḥśabdo jyotiṣṭome pravṛtta	na ca ekatra anupapattyA lakzaNayA jyotiH SabdaH jyotizwome pravRtta
   ityasatyāmanupapattau lākṣaṇiko yuktaḥ /	iti asatyAm anupapattO lAkzaNikaH yuktaH /
   nahi gāṅgāyāṃ ghoṣa ityatra gāṅgāpadaṃ lākṣaṇikamiti mīno	na hi gAFgAyAm GozaH iti atra gAFgA padam lAkzaNikam iti mInaH 
   gāṅgāyāmityatrāpi lākṣaṇikaṃ bhavati /	gAFgAyAm iti atra api lAkzaNikam Bavati /
   bhede 'pi ca prathamaṃ saṃjñāntareṇollikhite yajiśabdasāmānādhikaraṇyaṃ	Bede api ca praTamam saMjQA antareNa ulliKite yaji Sabda sAmAnADikaraNyam
   karmanāmadheyatāmātratāmāvahati natu saṃjñāntaropajanitāṃ	karma nAma Deya tA mAtra tAm Avahati na tu saMjQA antara upajanitAm
   bhedadhiyamapanetumutsahate /	Beda Diyam apanetum utsahate /
   tathā cāthaśabdo 'dhikārārthaḥ prakaraṇāntaratāmavadyotayati /	taTA ca aTa SabdaH aDikAra arTaH prakaraNa antara tAm avadyotayati /
   eṣaśabdaścādhikriyamāṇaparāmarśaka iti so 'yaṃ saṃjñāntarādbheda iti /	eza SabdaH ca aDikriyamANa parAmarSakaH iti saH ayam saMjQA antarAt BedaH iti /
   bhavatu saṃjñāntarātkarmabhedaḥ prastute tu kimāyātamityata āha 	Bavatu saMjQA antarAt karma BedaH prastute tu kim AyAtam iti atas Aha 
   asti cātra vedāntāntaravihiteṣviti /	asti ca atra vedAnta antara vihitezu iti /
   yathaiva kāṭhakādisamākhyā granthe prayujyanta evaṃ jñāne 'pi laukikāḥ /	yaTA eva kAWaka Adi samAKyAH granTe prayujyante evam jQAne api lOkikAH /
   na cāsti viśeṣo yato granthe mukhyāvijñāne gauṇī bhavet /	na ca asti viSezaH yatas granTe muKya avijQAne gONI Bavet /
   praṇayanaṃ ca granthajñānayorabhinnaṃ pravṛttinimittam /	praNayanam ca granTa jQAnayoH aBinnam pravRtti nimittam /
   tasmājjñānasyāpi vācikā samākhyā /	tasmAt jQAnasya api vAcikA samAKyA /
   tathāca yadā jyotiṣṭomasaṃnidhau śrūyamāṇaṃ samākhyāntaraṃ tatpratīkamapi	taTA ca yadA jyotizwoma saMniDO SrUyamANam samAKyA antaram tat pratIkam api
   karmaṇo bhedakaṃ tadā kaiva kathā śākhāntarīye viprakṛṣṭatame	karmaNaH Bedakam tadA kA eva kaTA SAKA antarIye viprakRzwatame
   'tatpratīkabhūtasamākhyāntarābhidheye jñāta iti /	atad pratIka BUta samAKya antara aBiDeye jQAtaH iti /
   tathā rūpabhedo 'pi karmabhedasya pratipādakaḥ prasiddho yathā	taTA rUpa BedaH api karma Bedasya pratipAdakaH prasidDaH yaTA
   'vaiśvadevyāmikṣā vājibhyo vājinam'ityevamādiṣu /	avESvadevyAm ikzA vAjiByaH vAjinam aiti evamAdizu /
   idamāmnayate 'tapte payasi dadhyānayati sā vaiśvadevyāmikṣā'iti /	idam Amnayate  atapte payasi daDyAnayati sA vESvadevyAm ikzA aiti /
   atra hi dravyadevatāsaṃbandhānumito yāgo vidhīyate /	atra hi dravya devatA saMbanDa anumitaH yAgaH viDIyate /
   tadanantaraṃ cedamāmnāyate 'vājibhyo vājinam'iti /	tad anantaram ca idam AmnAyate  avAjiByaH vAjinam aiti /
   atredaṃ saṃdihyate kiṃ pūrvasminneva karmaṇi vājinaṃ guṇo vidhīyate uta	atra idam saMdihyate kim pUrvasmin= eva karmaNi vAjinam guNaH viDIyate uta
   karmāntaraṃ dravyadevatāntaraviśiṣṭamapūrvaṃ vidhīyata iti /	karma antaram dravya devatA antara viSizwam apUrvam viDIyate iti /
   kiṃ tāvat prāptam, dravyadevatāntaraviśiṣṭakarmāntaravidhau	kim tAvat prAptam, dravya devatA antara viSizwa karma antara viDO
   vidhigauravaprasaṅgāt karmāntarāpūrvāntarakalpanāgauravaprasaṅgācca na	viDi gOrava prasaFgAt karma antarA pUrva antara kalpanA gOrava prasaFgAt ca na
   karmāntaravidhānamapi tu pūrvasminneva karmaṇi vājinadravyavidhiḥ /	karma antara viDAnam api tu pUrvasmin= eva karmaNi vA ajina dravya viDiH /
   na cotpattiśiṣṭamikṣāguṇāvarodhāttatra vājinamalabdhāvakāśaṃ karmāntaraṃ	na ca utpatti Sizwam ikzA guNa avaroDAt tatra vAjinam alabDa avakASam karma antaram
   gocarayatīti yuktam /	gocarayati iti yuktam /
   ubhayorapi vākyayoḥ samasamayapravṛtterāmikṣāvājinayorutpattau samaṃ	uBayoH api vAkyayoH sama samaya pravRtteH AmikzA vAjinayoH utpattO samam
   śiṣyamāṇatvena nāmikṣāyāḥ śiṣṭatvam /	SizyamANa tvena nAmikzAyAH Sizwa tvam /
   tatkathamanayāvaruddhaṃ karma na vājinaṃ niviśet /	tat kaTam anayA avarudDam karma na vAjinam niviSet /
   na ca vaiśvadevītyatra śrauta āmikṣāsaṃbandho viśveṣāṃ devānāṃ yena	na ca vESvadevI iti atra SrOtaH AmikzA saMbanDaH viSvezAm devAnAm yena
   vājinasaṃbandhādvākyagamyādbalavānbhavedubhayorapi	vAjina saMbanDAt vAkya gamyAt balavAn Bavet uBayoH api
   padāntarāpekṣapratītitayā vākyagamyatvāviśeṣāt /	pada antara apekza pratIti tayA vAkya gamya tva aviSezAt /
   no khalu vaiśvadevītyukte āmikṣāpadānapekṣāmāmikṣāmadhyavasyāmaḥ /	no Kalu vESvadevI iti ukte AmikzApada an apekzAm AmikzAmaDyavasyAmaH /
   astu vā śrautatvaṃ tathāpi vājibhya iti padaṃ vājamannamāmikṣā	astu vA SrOta tvam taTA api vAjiByaH iti padam vAjam annam AmikzA
   tadeṣāmastīti vyutpattyā tatsaṃbandhino viśvāndevānupalakṣayati /	tat ezAm asti iti vyutpattyA tad saMbanDinaH viSvAn devAn upalakzayati /
   yadyapi viśvadevaśabdādvājipadaṃ bhinnaṃ, yena ca śabdena codanā	yadi api viSvadeva SabdAt vAji padam Binnan, yena ca Sabdena codanA
   tenaivoddeśe	tena eva uddeSe
   devatātvaṃ na śabdāntareṇānyathārthaikatvena sūryādityapadayoḥ	devatA tvam na Sabda antareNa anyaTArTa eka tvena sUrya Aditya padayoH
   sūryādityacarvorekadaivatyaprasaṅgāt, tathāpi vājinnitīneḥ sarvanāmārthe	sUrya Aditya carvoH eka dEvatya prasaFgAt, taTA api vAjinnitIneH sarva nAma arTe
   smaraṇāt saṃnihitasya ca sarvanāmārthatvāt, viśveṣāṃ devānāṃ ca	smaraNAt saMnihitasya ca sarva nAma arTa tvAt, viSvezAm devAnAm ca
   viśvadevapadena saṃnidhāpanāttatpadapuraḥsarā evaite vājipadenopasthāpyā	viSva deva padena saMniDApanAt tad pada puraHsarAH eva ete vAji padena upasTApya a
   na tu sūryādityapadavatsvatantrāḥ /	na tu sUrya Aditya pada vat svatantrAH /
   tathāca tadupalakṣaṇārthaṃ vājipadaṃ viśvadevopahitāmeva	taTA ca tad upalakzaNa arTam vAji padam viSvadeva upahitAm eva
   devatāmupalakṣayatīti na śabdāntaroddevatābhedaḥ /	devatAm upalakzayati iti na Sabda antara uddevatA BedaH /
   tataścāmikṣāsaṃbandhopajīvanena viśvebhyo vājinaṃ vidhīyamānaṃ nāmikṣayā	tatas ca AmikzA saMbanDa upajIvanena viSveByaH vAjinam viDIyamAnam nAmikzayA
   bādhyate kintu tayā saha samuccīyata iti na karmāntaramapi tu vākyābhyāṃ	bADyate kintu tayA saha samuccIyate iti na karma antaram api tu vAkyAByAm
   dravyayuktamekaṃ karma vidhīyata iti prāpta ucyate syādetadevaṃ yadi	dravya yuktam ekam karma viDIyate iti prAptaH ucyate syAt etat evam yadi
   vaiśvadevīti taddhitaśrutyāmikṣā nocyeta /	vESvadevI iti tad hita Sruti AmikzA na ucyeta /
