   Kātyāyanasmṛtisāroddhāraḥ	KAtyAyana-smRti-sAra-udDAraH
   K.208a/ palāyana.anuttaratvād anya.pakṣa.āśrayeṇa ca /	K.208a/ palAyana.-anuttara-tvAt anya.pakza.ASrayeNa ca /
   K.208b/ hīnasya gṛhyate vādo na sva.vākya.jitasya tu //	K.208b/ hInasya gRhyate vAdaH na sva.-vAkya.jitasya tu //
   K.209a/ yo hīna.vākyena jitas tasya^uddhāraṃ (vidur budhāḥ /	K.209a/ yaH hIna.-vAkyena jitaH tasya^udDAram (viduH buDAH /
   K.209b/ sva.vākya.hīno yas tu (syāt tasya^uddhāro na (vidyate //	K.209b/ sva.-vAkya.-hInaH yaH tu (syAt tasya^udDAraH na (vidyate //
   K.210a/ (āvedya pragṛhīta.arthāḥ praśamaṃ (yānti ye mithaḥ /	K.210a/ (a-Avedya pragRhIta-.arTAH praSamam (yAnti ye miTas /
   K.210b/ sarve dvi.guṇa.daṇḍyāḥ (syuḥ vipralambhān nṛpasya te //	K.210b/ sarve dvi.guNa.-daNxyAH (syuH vipralamBAt nRpasya te //
   [kriyā.pādaḥ](p.30)	[kriyA.-pAdaH](p.30)
   K.211a/ kāraṇāt pūrva.pakṣo^api hy uttaratvaṃ (prapadyate /	K.211a/ kAraNAt pUrva.pakzaH-^api hi uttara-tvam (prapadyate /
   K.211b/ ataḥ kriyā tadā proktā pūrva.pakṣa.prasādhinī //	K.211b/ atas kriyA tadA proktA pUrva.pakza.-prasADinI //
   K.212a/ śodhite likhite samyag iti nirdoṣa uttare /	K.212a/ SoDite liKite samyak iti nirdozaH uttare /
   K.212b/ pratyarthino^arthino vā^api kriyā.karaṇam (iṣyate //	K.212b/ pratyarTinaH-^arTinaH vE-^api kriyA.karaNam (izyate //
   K.213a/ vādinā yad abhipretaṃ svayaṃ (sādhayitum sphuṭam /	K.213a/ vAdinA yat aBipretam svayam (sADayitum sPuwam /
   K.213b/ tat sādhyaṃ sādhanaṃ yena tat sādhyaṃ (sādhyate^akhilam //	K.213b/ tat sADyam sADanam yena tat sADyam (sADyate^aKilam //
   [pramāṇāni, teṣāṃ ca bala.abala.ādi.vicāraḥ]	[pramANAni, tezAm ca bala.a-bala-.Adi.vicAraH]
   K.214a/ likhitaṃ sākṣiṇo bhuktiḥ pramāṇaṃ trividhaṃ (viduḥ /	K.214a/ liKitam sAkziNaH BuktiH pramANam triviDam (viduH /
   K.214b/ leśa.uddeśas tu yuktiḥ (syād divyāni^iha viṣādayaḥ //	K.214b/ leSa-.uddeSaH tu yuktiH (syAt divyAni^iha viza-AdayaH //
   K.215a/ pūrva.vāde^api likhite yathā.akṣaram aśeṣataḥ /	K.215a/ pUrva.vAde^api liKite yaTA.akzaram aSezatas /
   K.215b/ arthī tṛtīya.pāde tu kriyayā (pratipādayet //	K.215b/ arTI tRtIya.-pAde tu kriyayA (pratipAdayet //
   K.216a/ kāryaṃ hi sādhyam iti^uktaṃ sādhanaṃ tu kriyā^(ucyate /	K.216a/ kAryam hi sADyam iti^uktam sADanam tu kriyA^(ucyate /
   K.216b/ dvi.bhedā sā punar.jñeyā daivikī mānuṣī tathā /	K.216b/ dvi.BedA sA punar-.jQeyA dEvikI mAnuzI taTA /
   K.216c/ mānuṣī likhya.sākṣya.ādir vadha.ādir daivikī matā //	K.216c/ mAnuzI liKya.-sAkzI-a.AdiH vaDa.AdiH dEvikI matA //
   K.217a/ saṃbhave sākṣiṇāṃ prājño daivikīṃ (varjayet kriyāṃ /	K.217a/ saMBave sAkziNAm prAjQaH dEvikIm (varjayet kriyAm /
   K.217b/ saṃbhave tu prayuñjāno daivikīṃ (hīyate tataḥ //	K.217b/ saMBave tu prayuQjAnaH dEvikIm (hIyate tatas //
   K.218a/ yady eko mānuṣīṃ (brūyād anyo (brūyāt tu daivikīm /	K.218a/ yadi ekaH mAnuzIm (brUyAt anyaH (brUyAt tu dEvikIm /
   K.218b/ mānuṣīṃ tatra (gṛhṇīyān na tu daivīṃ kriyāṃ nṛpaḥ //	K.218b/ mAnuzIm tatra (gRhNIyAt na tu dEvIm kriyAm nRpaH //
   K.219a/ yady eka.deśa.vyāptā^api kriyā (vidyeta mānuṣī /(p.31)	K.219a/ yadi eka.deSa.-vyAptA^api kriyA (vidyeta mAnuzI /(p.31)
   K.219b/ sā grāhyā na tu pūrṇā^api daivikī vadatāṃ nṛṇām //	K.219b/ sA grAhyA na tu pUrNA^api dEvikI vadatAm nRNAm //
   K.220a/ pañca.prakāraṃ daivaṃ (syān mānuṣaṃ trividhaṃ smṛtam //	K.220a/ paQca.-prakAram dEvam (syAt mAnuzam triviDam smRtam //
   K.221a/ kriyāṃ balavatīṃ (muktvā durbalāṃ yo^(avalambate /	K.221a/ kriyAm balavatIm (muktvA durbalAm yaH-^(avalambate /
   K.221b/ sa jaye^avadhṛte sabhyaiḥ punas tāṃ na^(āpnuyāt kriyām //	K.221b/ sa jaye^avaDRte saByEH punar tAm na^(ApnuyAt kriyAm //
   K.222a/ sāra.bhūtaṃ padaṃ (muktvā asārāṇi bahūny api /	K.222a/ sAra.BUtam padam (muktvA asArANi bahUni api /
   K.222b/ (saṃsādhayet kriyā yā tu tāṃ (jahyāt sāra.varjitām /	K.222b/ (saMsADayet kriyA yA tu tAm (jahyAt sAra.-varjitAm /
   K.222c/ pakṣa.dvayaṃ (sādhayed yā tāṃ (jahyād dūrataḥ kriyām //	K.222c/ pakza.-dvayam (sADayet yA tAm (jahyAt dUratas kriyAm //
   K.223a/ kriyā na daivikī proktā vidyāmāneṣu sākṣiṣu /	K.223a/ kriyA na dEvikI proktA vidyA-mAnezu sAkzizu /
   K.223b/ lekhye ca sati vādeṣu na divyaṃ na ca sākṣiṇaḥ //	K.223b/ leKye ca sati vAdezu na divyam na ca sAkziNaH //
   K.224a/ kālena (hīyate lekhyaṃ dūṣitaṃ nyāyatas tathā /	K.224a/ kAlena (hIyate leKyam dUzitam nyAyataH taTA /
   K.224b/ alekhya.sākṣike daivīṃ vyavahāre (vinirdiśet /	K.224b/ aleKya.-sAkzike dEvIm vyavahAre (vinirdiSet /
   K.224c/ daiva.sādhye pauruṣeyīṃ na lekhyaṃ vā (prayojayet //	K.224c/ dEva.-sADye pOruzeyIm na leKyam vA (prayojayet //
   K.225a/ pūga.śreṇi.gaṇa.ādīnāṃ yā sthitiḥ parikīrtitā /	K.225a/ pUga.SreNi.-gaNa.AdInAm yA sTitiH parikIrtitA /
   K.225b/ tasyās tu sādhanaṃ lekhyaṃ na divyaṃ na ca sākṣiṇaḥ //	K.225b/ tasyAH tu sADanam leKyam na divyam na ca sAkziNaH //
   K.226a/ dvāra.mārga.kriyā.bhoga.jala.vāha.ādike tathā /	K.226a/ dvAra.-mArga.-kriyA.-Boga.-jala.vAha.Adike taTA /
   K.226b/ bhuktir eva hi gurvī (syān na lekhyaṃ na ca sākṣiṇaḥ //	K.226b/ BuktiH eva hi gurvI (syAt na leKyam na ca sAkziNaH //
   K.227a/ datta.adatte^atha bhṛtyānāṃ svāminā nirṇaye sati /	K.227a/ datta-.adatte^aTa BRtyAnAm svAminA nirNaye sati /
   K.227b/ vikraya.ādāna.saṃbandhe (krītvā dhanam ayacchati //	K.227b/ vikraya-.AdAna.-saMbanDe (krItvA Danam ayacCati //
   K.228a/ dyūte samāhvaye ca^eva vivāde samupasthite /(p.32)	K.228a/ dyUte samAhvaye ca^eva vivAde samupasTite /(p.32)
   K.228b/ sākṣiṇaḥ sādhanaṃ proktaṃ na divyaṃ na ca lekhyakam //	K.228b/ sAkziNaH sADanam proktam na divyam na ca leKyakam //
   K.229a/ prakrānte sāhase vāde pāruṣye daṇḍa.vācike /	K.229a/ prakrAnte sAhase vAde pAruzye daNxa.vAcike /
   K.229b/ bala.udbhūteṣu kāryeṣu sākṣiṇo divyam eva vā //	K.229b/ bala.udBUtezu kAryezu sAkziNaH divyam eva vA //
   K.230a/ gūḍha.sāhasikānāṃ tu prāptaṃ divyaiḥ parīkṣaṇam /	K.230a/ gUXa.-sAhasikAnAm tu prAptam divyEH parIkzaNam /
   K.230b/ yukti.cihna.iṅgita.ākāra.vāk.cakṣuś.ceṣṭitair nṛṇām //	K.230b/ yukti.cihna-.iFgita-.AkAra.vAk.-cakzu-S.-cezwitEH nRNAm //
   K.231a/ uttameṣu ca sarveṣu sāhaseṣu (vicārayet /	K.231a/ uttamezu ca sarvezu sAhasezu (vicArayet /
   K.231b/ sadbhāvaṃ divya.dṛṣṭena satsu sākṣiṣu vai bhṛguḥ //	K.231b/ sadBAvam divya.dRzwena satsu sAkzizu vE BRguH //
   K.232a/ samatvaṃ sākṣiṇāṃ yatra divyais tatra^api (śodhayet /	K.232a/ sama-tvam sAkziNAm yatra divyEH tatra^api (SoDayet /
   K.232b/ prāṇa.antika.vivādeṣu vidyāmāneṣu sākṣiṣu /	K.232b/ prANa.antika.vivAdezu vidyA-mAnezu sAkzizu /
   K.232c/ divyam (ālambate vādī na (pṛcchet tatra sākṣiṇaḥ //	K.232c/ divyam (Alambate vAdI na (pRcCet tatra sAkziNaH //
   K.233a/ ṛṇe lekhyaṃ sākṣiṇo vā yukti.leśa.ādayo^api vā /	K.233a/ RNe leKyam sAkziNaH vA yukti-.leSa.AdayaH-^api vA /
   K.233b/ daivikī vā kriyā proktā prajānāṃ hita.kāmyayā //	K.233b/ dEvikI vA kriyA proktA prajAnAm hita.-kAmyayA //
   K.234a/ codanā pratikālaṃ ca yukti.leśas tathā^eva ca /	K.234a/ codanA pratikAlam ca yukti-.leSaH taTA^eva ca /
   K.234b/ tṛtīyaḥ śapathaḥ proktaḥ tair ṛṇaṃ (sādhayet kramāt //	K.234b/ tRtIyaH SapaTaH proktaH tEH RNam (sADayet kramAt //
   K.235a/ abhīkṣṇaṃ codyamāno^api pratihanyān na tad.vacaḥ /	K.235a/ aBIkzNam codyamAnaH-^api pratihanyAt na tat-.vacaH /
   K.235b/ triḥ catuḥ pañca.kṛtvo vā parato^arthaṃ (samācaret //	K.235b/ tris catuH paQca.kRtvas vA paratas-^arTam (samAcaret //
   K.236a/ codanā.pratighāte tu yukti.leśaiḥ (samanviyāt /	K.236a/ codanA.-pratiGAte tu yukti-.leSEH (samanviyAt /
   K.236b/ deśa.kāla.artha.saṃbandha.parimāṇa.kriyā.ādibhiḥ //	K.236b/ deSa.-kAla-.arTa.-saMbanDa.-parimANa.-kriyA.AdiBiH //
   K.237a/ yuktiṣu^api^asamarthāsu śapathair eva (niṇayet /	K.237a/ yuktizu^api^asamarTAsu SapaTEH eva (niNayet /
   K.237b/ artha.kāla.bala.apekṣair agni.ambu.sukṛta.ādibhiḥ //	K.237b/ arTa.-kAla.bala-.apekzEH agni.ambu.-su-kRta-.AdiBiH //
   K.238a/ yatra (syāt sopadhaṃ lekhyaṃ tad.rājñaḥ śrāvitaṃ yadi /	K.238a/ yatra (syAt sa-upaDam leKyam tad-.rAjQaH SrAvitam yadi /
   K.238b/ divyena (śodhayet tatra rājā dharma.āsana.sthitaḥ //	K.238b/ divyena (SoDayet tatra rAjA Darma-.Asana.-sTitaH //
   K.239a/ vāk.pāruṣye ca bhūmau ca divyaṃ na (parikalpayet //	K.239a/ vAk.pAruzye ca BUmO ca divyam na (parikalpayet //
   K.240a/ sthāvareṣu vivādeṣu divyāni (paridhārayet /	K.240a/ sTAvarezu vivAdezu divyAni (pariDArayet /
   K.240b/ sākṣibhir likhitena^arthe bhuktyā ca^eva (prasādhayet //[arthaṃ]	K.240b/ sAkziBiH liKitena^arTe BuktyA ca^eva (prasADayet //[arTaM]
   K.241a/ pramāṇair hetunā vā^api divyena^eva tu niścayam /	K.241a/ pramANEH hetunA vE-^api divyena^eva tu niScayam /
   K.241b/ sarveṣu^eva vivādeṣu sadā (kuryān nara.adhipaḥ //	K.241b/ sarvezu^eva vivAdezu sadA (kuryAt nara-.aDipaH //
   K.242a/ likhitaṃ sākṣiṇo bhuktiḥ pramāṇaṃ trividhaṃ smṛtam /	K.242a/ liKitam sAkziNaH BuktiH pramANam triviDam smRtam /
   K.242b/ anumānaṃ (vidur hetuṃ tarkaṃ ca^eva manīṣiṇaḥ //	K.242b/ anumAnam (viduH hetum tarkam ca^eva manIziNaH //
   K.243a/ pūrva.abhāve pareṇa^eva na^anyathā^eva kadācana /	K.243a/ pUrva-.aBAve pareNa^eva na^anyaTA^eva kadAcana /
   K.243b/ pramāṇair vādi.nirdiṣṭair bhuktyā likhita.sākṣibhiḥ //	K.243b/ pramANEH vAdi.-nirdizwEH BuktyA liKita.-sAkziBiH //
   K.244a/ na kaścid abhiyoktāraṃ divyeṣu (viniyojayet /	K.244a/ na kaScid aBiyoktAram divyezu (viniyojayet /
   K.244b/ abhiyuktāya dātavyaṃ divyaṃ divya.viśāradaiḥ //	K.244b/ aBiyuktAya dAtavyam divyam divya.-viSAradEH //
   K.245a/ mithyā.uktau sa catuṣ.pāt (syāt pratyavaskandane tathā /	K.245a/ miTyA-a.uktO sa catuz.pAt (syAt pratyavaskandane taTA /
   K.245b/ prāṅ.nyāye sa ca vijñeyo dvi.pāt saṃpratipattiṣu //	K.245b/ prAk-.nyAye sa ca vijQeyaH dvi.pAt saMpratipattizu //
   K.246a/ parājayaś ca dvividhaḥ paroktaḥ svokta eva ca /	K.246a/ parAjayaH ca dviviDaH para-uktaH sva-uktaH eva ca /
   K.246b/ paroktaḥ (syād daśavidhaḥ svokta ekavidhaḥ smṛtaḥ //	K.246b/ para-uktaH (syAt daSaviDaH sva-uktaH ekaviDaH smRtaH //
   K.247a/ vivāda.antara.saṃkrāntiḥ pūrva.uttara.viruddhatā /	K.247a/ vivAda.antara.-saMkrAntiH pUrva.uttara.-virudDa-tA /
   K.247b/ dūṣaṇaṃ sva.kriya.utpatteḥ para.vākya.upapādanam //	K.247b/ dUzaNam sva.kriya.utpatteH para.vAkya.upapAdanam //
   K.248a/ anirdeśaś ca deśasya nirdeśo^adeśa.kālayoḥ /	K.248a/ anirdeSaH ca deSasya nirdeSaH-^adeSa.-kAlayoH /
   K.248b/ sākṣiṇām upajāpaś ca vidveṣo vacanasya ca //	K.248b/ sAkziNAm upajApaH ca vidvezaH vacanasya ca //
   [lekhyam]	[leKyam]
   K.249a/ lekhyaṃ tu dvividhaṃ proktaṃ sva.hasta.anya.kṛtaṃ tathā /	K.249a/ leKyam tu dviviDam proktam sva.hasta-.anya.kRtam taTA /
   K.249b/ asākṣimat.sākṣimac ca siddhir deśa.sthites tayoḥ //	K.249b/ asAkzimat.-sAkzimat ca sidDiH deSa.-sTiteH tayoH //
   K.250a/ grāhakeṇa svahastena likhitaṃ sākṣi.varajitam /	K.250a/ grAhakeNa sva-hastena liKitam sAkzi-.varajitam /
   K.250b/ svahasta.lekhyaṃ vijñeyaṃ pramāṇaṃ tat.smṛtaṃ budhaiḥ /	K.250b/ sva-hasta.leKyam vijQeyam pramANam tat-.smRtam buDEH /
   K.251a/ utpatti.jāti.saṃjñāṃ ca dhana.saṃkhyāṃ ca (lekhayet/	K.251a/ utpatti.jAti.-saMjQAm ca Dana.-saMKyAm ca (leKayet/
   K.251b/ (smaraty evaṃ prayuktasya (naśyed arthas tv alekhitaḥ //	K.251b/ (smarati evam prayuktasya (naSyet arTaH tu aleKitaH //
   K.252a/ lekhyaṃ tu sākṣimat.kāryam avilupta.akṣara.kramam /	K.252a/ leKyam tu sAkzi-mat.-kAryam avilupta-.akzara.kramam /
   K.252b/ deśa.ācāra.sthiti.yutaṃ samagraṃ sarva.vastuṣu //	K.252b/ deSa.AcAra.-sTiti-.yutam samagram sarva.vastuzu //
   K.253a/ varṇa.vākya.kriyā.yuktam asaṃdigdhaṃ sphuṭa.akṣaram /	K.253a/ varNa.-vAkya.-kriyA.-yuktam asaMdigDam sPuwa.akzaram /
   K.253b/ ahīna.krama.cihnaṃ ca lekhyaṃ tat siddhim (āpnuyāt //	K.253b/ ahIna.krama.-cihnam ca leKyam tat sidDim (ApnuyAt //
   K.254a/ cātruvidya.pura.śreṇī.gaṇa.paura.ādika.sthitiḥ /	K.254a/ ca-atru-vidya.pura.-SreNI.-gaNa.-pOra.a-Adika.sTitiH /
   K.254b/ tat.sidhi.arthaṃ tu yat^lekhyaṃ tad bhavot sthiti.patrakam //	K.254b/ tat.siDi.arTam tu yat-^leKyam tat Bavot sTiti.patrakam //
   K.255a/ abhiśāpe samuttīrṇe prāyaścitte kṛte janaiḥ /	K.255a/ aBiSApe samuttIrNe prAyaScitte kRte janEH /
   K.255b/ viśuddhi.patrakaṃ jñeyaṃ tebhyaḥ sākṣi.samanvitam //	K.255b/ viSudDi.-patrakam jQeyam teByaH sAkzi.-samanvitam //
   K.256a/ uttameṣu samasteṣu abhiśāpe samāgate /	K.256a/ uttamezu samastezu aBiSApe samAgate /
   K.256b/ vṛtta.anuvāda.lekhyaṃ yat taj jñeyaṃ sandhi.patrakam //	K.256b/ vRtta-.anuvAda.-leKyam yat tat jQeyam sanDi.-patrakam //
   K.257a/ sīmā.vivāde nirṇīte sīmā.patraṃ (vidhīyate //	K.257a/ sImA.-vivAde nirNIte sImA.-patram (viDIyate //
   K.258a/ rājñaḥ sva.hasta.saṃyuktaṃ samudrā.cihnitaṃ tathā /	K.258a/ rAjQaH sva.hasta.-saMyuktam samudrA.-cihnitam taTA /
   K.258b/ rājakīyaṃ smṛtaṃ lekhyaṃ sarveṣu^artheṣu sākṣimat //	K.258b/ rAjakI-iyam smRtam leKyam sarvezu^arTezu sAkzimat //
   K.259a/ arthi.pratyarthi.vākyāni pratijñā sākṣi.vāk tathā /	K.259a/ arTi.-pratyarTi.-vAkyAni pratijQA sAkzi.vAc taTA /
   K.259b/ nirṇayaś ca yathā tasya yathā ca^avadhṛtaṃ svayam //	K.259b/ nirNayaH ca yaTA tasya yaTA ca^avaDRtam svayam //
   K.260a/ etad yathā.akṣaraṃ lekhye yathā.pūrvaṃ (niveśayet /	K.260a/ etat yaTA.akzaram leKye yaTA.-pUrvam (niveSayet /
   K.260b/ abhiyoktṛ.abhiyuktānāṃ vacanaṃ prāṅ (niveśayet //	K.260b/ aBiyoktR-.aBiyuktAnAm vacanam prAF (niveSayet //
   K.261a/ sabhyānāṃ prāḍvivākasya kulānāṃ vā tataḥ param /	K.261a/ saByAnAm prAxvivAkasya kulAnAm vA tatas param /
   K.261b/ niścayaṃ smṛti.śāstrasya mataṃ tatra^eva (lekhayet //	K.261b/ niScayam smRti.-SAstrasya matam tatra^eva (leKayet //
   K.262a/ siddhena^arthena saṃyojyo vādī satkāra.pūrvakam /	K.262a/ sidDena^arTena saMyojyaH vAdI satkAra.-pUrvakam /
   K.262b/ lekhyaṃ sva.hasta.saṃyuktaṃ tasmai (dadyāt tu pārthivaḥ //	K.262b/ leKyam sva.hasta.-saMyuktam tasmE (dat-yAt tu pArTivaH //
   K.263a/ sabhā.sadaś ca ye tatra smṛti.śāstra.vidaḥ sthitāḥ /	K.263a/ saBA.sadaH ca ye tatra smRti.SAstra-.vidaH sTitAH /
   K.263b/ yathā.lekhya.vidhhau tadvat sva.hastaṃ tatra (dāpayet //	K.263b/ yaTA.leKya.viDhO tadvat sva.hastam tatra (dApayet //
   K.264a/ anena vidhinā lekhyaṃ paścāt.kāraṃ (vidur budhāḥ /	K.264a/ anena viDinA leKyam paScAt.kAram (viduH buDAH /
   K.264b/ nirastā tu kriyā yatra pramāṇena^eva vādinā /	K.264b/ nirastA tu kriyA yatra pramANena^eva vAdinA /
   K.264c/ paścāt.kāro (bhavet tatra na sarvāsu (vidhīyate //	K.264c/ paScAt.kAraH (Bavet tatra na sarvAsu (viDIyate //
   K.265a/ anya.vādī.ādi.hīnebhya itareṣāṃ (pradīyate /	K.265a/ anya.vAdI.Adi.hIneByaH itarezAm (pradIyate /
   K.265b/ vṛtta.anuvāda.saṃsiddhaṃ tac ca (syāj jaya.patrakam //(p.265)	K.265b/ vRtta-.anuvAda.-saMsidDam tat ca (syAt jaya.patrakam //(p.265)
   [lekhya.parīkṣā]	[leKya.-parIkzA]
   K.266a/ rāja.ājñayā (samāhūya yathā.nyāyaṃ (vicārayet /	K.266a/ rAja.-AjQayA (samAhUya yaTA.nyAyam (vicArayet /
   K.266b/ lekhya.ācāreṇa likhitaṃ sākṣya.ācāreṇa sākṣiṇaḥ //	K.266b/ leKya-.AcAreNa liKitam sAkzya.A-AcAreNa sAkziNaH //
   K.267a/ varṇa.vākya.kriyā.yuktam asaṃdigdhaṃ sphuṭa.akṣaram /	K.267a/ varNa.-vAkya.-kriyA.-yuktam asaMdigDam sPuwa.akzaram /
   K.267b/ ahīna.krama.cihnaṃ ca lekhyaṃ tat.siddhim (āpnuyāt //	K.267b/ ahIna.krama.-cihnam ca leKyam tat.sidDim (ApnuyAt //
   K.268a/ deśa.ācāra.yutaṃ varṣam āsapakṣa.ādi.vṛddhimat /	K.268a/ deSa.AcAra-.-yutam varzam Asapakza.Adi-.vRdDimat /
   K.268b/ ṛṇi.sākṣi.lekhakānām hasta.aṅgam lekhyam (ucyate //	K.268b/ RNi.-sAkzi.-leKakAnAm hasta-.aFgam leKyam (ucyate //
   K.269a/ sthāna.bhraṣṭās tv apaṅkti.sthāḥ saṃdigdhā lakṣaṇa.cyutāḥ /	K.269a/ sTAna.-BrazwAH tu apaFkti.-sTAH saMdigDAH lakzaNa.-cyutAH /
   K.269b/ yadā tu saṃsthitā varṇāaḥ kūṭa.lekhyaṃ tadā (bhavet //	K.269b/ yadA tu saMsTitAH varNAaH kUwa.leKyam tadA (Bavet //
   K.270a/ deśa.ācāra.viruddhaṃ yat saṃdigdhaṃ krama.varjitam /	K.270a/ deSa.AcAra.-virudDam yat saMdigDam krama.-varjitam /
   K.270b/ kṛtam asvāminā yac ca sādhya.hīnaṃ ca (duṣyati //	K.270b/ kRtam asvAminA yat ca sADya.-hInam ca (duzyati //
   K.271a/ mattena^upādhi.bhītena tathā^unmattena pīḍitaiḥ /	K.271a/ mattena^upADi.BItena taTA^unmattena pIxitEH /
   K.271b/ strībhir bāla.asvatantraiś ca kṛtaṃ lekhyaṃ na (sidhyati //	K.271b/ strIBiH bAla.asvatantrEH ca kRtam leKyam na (siDyati //
   K.272a/ khyāpitaṃ ced dvitīye^ahni na kaścid (vinivartayet /	K.272a/ KyApitam ced dvitIye^ahni na kaScid (vinivartayet /
   K.272b/ tathā tat (syāt pramāṇaṃ tu matta.unmatta.kṛtād ṛte //	K.272b/ taTA tat (syAt pramANam tu matta-.unmatta.-kRtAt Rte //
   K.273a/ sākṣi.doṣād (bhaved duṣṭaṃ patraṃ vai lekhakasya vā /	K.273a/ sAkzi.dozAt (Bavet duzwam patram vE leKakasya vA /
   K.273b/ dhanikasya^upadhā.doṣāt tathā dhāraṇikasya vā //(p.37)	K.273b/ Danikasya^upaDA.dozAt taTA DAraNikasya vA //(p.37)
   K.274a/ duṣṭair duṣṭaṃ bhavet^lekhyaṃ śuddhaṃ śuddhair (vinirdiśet /	K.274a/ duzwEH duzwam Bavet-^leKyam SudDam SudDEH (vinirdiSet /
   K.274b/ tat patram upadhā.duṣṭaiḥ sākṣi.lekhaka.kārakaiḥ //	K.274b/ tat patram upaDA.duzwEH sAkzi.-leKaka.kArakEH //
   K.275a/ pramāṇasya hi ye doṣā vaktavyās te vivādinā /	K.275a/ pramANasya hi ye dozAH vaktavyAH te vivAdinA /
   K.275b/ gūḍhās tu prakaṭāḥ sabhyaiḥ kāle śāstra.pradarśanāt //	K.275b/ gUXAH tu prakawAH saByEH kAle SAstra.-pradarSanAt //
   K.276a/ sākṣi.lekhaka.kartāraḥ kūṭatāṃ (yānti te yathā /	K.276a/ sAkzi.leKaka.kartAraH kUwa-tAm (yAnti te yaTA /
   K.276b/ tathā doṣāḥ prayoktavyā duṣṭair lekhyaṃ (praduṣyāta //	K.276b/ taTA dozAH prayoktavyA duzwEH leKyam (praduzyAtas //
   K.277a/ na lekhakena likhitaṃ na dṛṣṭaṃ sākṣibhis tathā /	K.277a/ na leKakena liKitam na dRzwam sAkziBiH taTA /
   K.277b/ evaṃ pratyarthinā^ukte tu kūṭa.lekhyaṃ prakīrtitam //	K.277b/ evam pratyarTinA^ukte tu kUwa.leKyam prakIrtitam //
   K.278a/ na^atathyena pramāṇaṃ tu doṣeṇa^eva tu (dūṣayet /	K.278a/ na^ataTyena pramANam tu dozeNa^eva tu (dUzayet /
   K.278b/ mithyā.abhiyoge daṇḍyaḥ (syāt sādhya.arthāc ca^api (hīyate //	K.278b/ miTyA-a.aBiyoge daNxyaH (syAt sADya-.arTAt ca^api (hIyate //
   K.279a/ evaṃ duṣṭaṃ nṛpa.sthāne yasmiṃs tad^hi (vicāryate /	K.279a/ evam duzwam nRpa.sTAne yasmin tat-^hi (vicAryate /
   K.279b/ (vimṛśya brāhmaṇaiḥ sārdhaṃ patra.doṣān (nirūpayet //	K.279b/ (vimRSya brAhmaNEH sArDam patra.-dozAn (nirUpayet //
   K.280a/ yena te kūṭatāṃ (yānti sākṣi.lekhaka.kārakāḥ /	K.280a/ yena te kUwa-tAm (yAnti sAkzi.leKaka.kArakAH /
   K.280b/ tena duṣṭaṃ bhavet^lekhyaṃ śuddhaiḥ śuddhiṃ (vinirdiśet //	K.280b/ tena duzwam Bavet-^leKyam SudDEH SudDim (vinirdiSet //
   K.281a/ dhanikena svahastena likhitaṃ sākṣi.varjitam /(p.38)	K.281a/ Danikena sva-hastena liKitam sAkzi-.varjitam /(p.38)
   K.281b/ (bhavet kūṭaṃ na cet kartā kṛtaṃ hi^iti (vibhāvayet //	K.281b/ (Bavet kUwam na ced kartA kRtam hi^iti (viBAvayet //
   K.282a/ dattaṃ lekhye svahastaṃ tu ṛṇiko yadi nihnate /	K.282a/ dattam leKye sva-hastam tu RNikaH yadi nihnate /
   K.282b/ patra.sthaiḥ sākṣibhir vācyo lekhakasya matena vā //	K.282b/ patra.-sTEH sAkziBiH vAcyaH leKakasya matena vA //
   K.283a/ kṛta.akṛta.vivādeṣu sākṣibhiḥ patra.nirṇayaḥ /	K.283a/ kRta-.akRta.-vivAdezu sAkziBiH patra.-nirNayaH /
   K.283b/ dūṣite patrake vādī tad.ārūḍhāṃs tu (nirdiśet //	K.283b/ dUzite patrake vAdI tad-.ArUXAn tu (nirdiSet //
   K.284a/ trividhasya^api lekhyasya bhrāntiḥ (sañjāyate nṛṇām /	K.284a/ triviDasya^api leKyasya BrAntiH (san-jAyate nRNAm /
   K.284b/ ṛṇi.sākṣi.lekhakānāṃ hasta.uktyā (sādhayet tataḥ //	K.284b/ RNi.-sAkzi.-leKakAnAm hasta-.uktyA (sADayet tatas //
   K.285a/ atha pañcatvam āpanno lekhakaḥ saha sākṣibhiḥ /	K.285a/ aTa paQcatvam ApannaH leKakaH saha sAkziBiH /
   K.285b/ tat.svahasta.ādibhis teṣāṃ (viśudhyet tu na saṃśayaḥ //	K.285b/ tat.sva-hasta-.a-AdiBiH tezAm (viSuDyet tu na saMSayaH //
   K.286a/ ṛṇi.svahasta.saṃdehe jīvato vā mṛtasya vā /	K.286a/ RNi.sva-hasta.-saMdehe jIvataH vA mRtasya vA /
   K.286b/ tat.svahasta.kṛtair anyaiḥ patrais tal.lekhya.nirṇayaḥ //	K.286b/ tat.sva-hasta.-kRtEH anyEH patrEH tal.-leKya.-nirNayaH //
   K.287a/ samudre^api lekhye mṛtāḥ sarve^api te sthitāḥ /	K.287a/ samudre^api leKye mRtAH sarve^api te sTitAH /
   K.287b/ likhitaṃ tat.pramāṇaṃ tu mṛteṣu^api hi teṣu ca //	K.287b/ liKitam tat.pramANam tu mRtezu^api hi tezu ca //
   K.288a/ pratyakṣam anumānena na kadācit (prabādhyate /	K.288a/ pratyakzam anumAnena na kadAcid (prabADyate /
