   atha kāvyādarśaḥ	aTa kAvyAdarSaH
   iti netrakriyādhyāsāl labdhā tadvācinī śrutiḥ // 1.94 //	iti netra-kriyA-aDyAsAt labDA tad-vAcinI SrutiH // 1.94 //
   niḥṣṭhyūtodgīrṇavāntādi gauṇavṛttivyapāśrayam /	niHzWyUta-udgIrNa-vAnta-Adi gONa-vRtti-vyapASrayam /
   atisundaram anyatra grāmyakakṣāṃ vigāhate // 1.95 //	ati-sundaram anyatra grAmya-kakzAm vigAhate // 1.95 //
   padmāny arkāṃśuniḥṣṭhyūtāḥ pītvā pāvakavipruṣaḥ /	padmAni arka-aMSu-niHzWyUtAH pItvA pAvaka-vipruzaH /
   bhūyo vamantīva mukhair udgīrṇāruṇareṇubhiḥ // 1.96 //	BUyas vamanti-iva muKEH udgIrNa-aruNa-reNuBiH // 1.96 //
   iti hṛdyam ahṛdyaṃ tu niḥṣṭhīvati vadhūr iti /	iti hRdyam ahRdyam tu niHzWIvati vaDUH iti /
   yugapan naikadharmāṇām adhyāsaś ca smṛto yathā // 1.97 //	yugapad na-eka-DarmANAm aDyAsaH ca smRtaH yaTA // 1.97 //
   gurugarbhabharaklāntāḥ stanantyo meghapaṅktayaḥ /	guru-garBa-Bara-klAntAH stanantyaH meGa-paFktayaH /
   acalādhityakotsaṅgam imāḥ samadhiśerate // 1.98 //	acala-aDityaka-utsaFgam imAH samaDiSerate // 1.98 //
   utsaṅgaśayanaṃ sakhyāḥ stananaṃ gauravaṃ klamaḥ /	utsaFga-Sayanam saKyAH stananam gOravam klamaH /
   itīme garbhiṇīdharmā bahavo 'py atra darśitāḥ // 1.99 //	iti-ime garBiNI-DarmAH bahavaH api atra darSitAH // 1.99 //
   tad etat kāvyasarvasvaṃ samādhir nāma yo guṇaḥ /	tat etat kAvya-sarvasvam samADiH nAma yaH guNaH /
   kavisārthaḥ samagro 'pi tam ekam anugacchati // 1.100 //	kavi-sArTaH samagraH api tam ekam anugacCati // 1.100 //
   iti mārgadvayaṃ bhinnaṃ tatsvarūpanirūpaṇāt /	iti mArga-dvayam Binnam tad-svarUpa-nirUpaNAt /
   tadbhedās tu na śakyante vaktuṃ pratikavi sthitāḥ // 1.101 //	tad-BedAH tu na Sakyante vaktum pratikavi sTitAH // 1.101 //
   ikṣukṣīraguḍādīnāṃ mādhuryasyāntaraṃ mahat /	ikzu-kzIra-guxa-AdInAm mADuryasya-antaram mahat /
   tathāpi na tad ākhyātuṃ sarasvatyāpi śakyate // 1.102 //	taTA-api na tat AKyAtum sarasvatyA-api Sakyate // 1.102 //
   naisargikī ca pratibhā śrutaṃ ca bahu nirmalam /	nEsargikI ca pratiBA Srutam ca bahu nirmalam /
   amandaś cābhiyogo 'syāḥ kāraṇaṃ kāvyasaṃpadaḥ // 1.103 //	amandaH ca-aBiyogaH asyAH kAraNam kAvya-saMpadaH // 1.103 //
   na vidyate yady api pūrvavāsanā- guṇānubandhi pratibhānam adbhutam /	na vidyate yadi api pUrva-vAsanA guNa-anubanDi pratiBAnam adButam /
   śrutena yatnena ca vāg upāsitā dhruvaṃ karoty eva kamapy anugraham //	Srutena yatnena ca vAc upAsitAH Druvam karoti eva kam-api anugraham //
   tad astatandrair aniśaṃ sarasvatī śramād upāsyā khalu kīrtim īpsubhiḥ /	tat asta-tandrEH aniSam sarasvatI SramAt upAsyA Kalu kIrtim IpsuBiH /
   kṛśe kavitve 'pi janāḥ kṛtaśramāḥ vidagdhagoṣṭhīṣu vihartum īśate // 1.105	kRSe kavi-tve api janAH kRta-SramAH vidagDa-gozWIzu vihartum ISate // 1.105
   // iti kāvyādarśe mārgavibhāgo nāma prathamaḥ paricchedaḥ //	// iti kAvya-AdarSe mArga-viBAgaH nAma praTamaH paricCedaH //
