   <B1> caturthaḥ pādaḥ /	<B1> caturTaH pAdaH /
   vidhiḥ yogyatābalena vidheyākaraṇasya pratyavāyasādhanatāṃ	viDiH yogyatA-balena viDeyAkaraNasya pratyavAya-sADana-tAm
   bodhayatītyabhipretyāha ---------- ataśceti //	boDayati-iti-aBipretya-Aha --------- atas-ca-iti //
   ataścaitādṛśanimittatvānurodhenāvaśyakartavyatārūpaniyamasyārthasiddhasya	atas-ca-etAdRSa-nimitta-tva-anuroDena-avaSya-kartavya-tA-rUpa-niyamasya-arTa-sidDasya
   kartṛdharmatvena vidhānoktiḥ	kartR-Darma-tvena viDAna-uktiH
   kartur vā śrutisaṃyogāt / Jaim_2,4.2 /	kartuH vA Sruti-saMyogAt / JEm_2,4.2 /
   iti sūtra iti bhāvaḥ //	iti sUtre iti BAvaH //
   (viśvajinnyāyāpravṛttyā vākyaśeṣagatapāpakṣayārthatvopapādanam) atra	(viSvajit-nyAya-apravRttyA vAkya-Seza-gata-pApa-kzaya-arTa-tva-upapAdanam) atra
   prābhākarairvidheyākaraṇasya vidhinā pratyavāyajanakatvabodhane 'pi	prABa-AkarEH-viDeya-AkaraNasya viDinA pratyavAya-janaka-tva-boDane api
   karaṇasya naiva kiñcitphalamityaṅgīkriyate /	karaNasya na-eva kiQcitPalam-iti-aFgIkriyate /
   nyāyasudhākṛtā tu pratyayavācyabhāvanāyā bhāvyasākāṅkṣatvaniyamāt	nyAya-suDA-kRtA tu pratyaya-vAcya-BAvanAyAH BAvya-sA-kAFkza-tva-niyamAt-
   karaṇātphalāṅgīkārepyakaraṇanimittapratyavāyaprāgabhāvaparipālanasya	karaNAt-Pala-aFgIkAra-Ipya-karaNa-nimitta-pratyavAya-prAc-aBAva-paripAlanasya
   phalatvamityuktam, tadubhayanirāsāyāha --------- karaṇe ceti //	Pala-tvam-iti-uktam, tad-uBaya-nirAsAya-Aha -------- karaNe ca-iti //
   kāmyamānena svargādiphalenāvaśyakatvānirvāhāt viśvajinnyāyena	kAmyamAnena svarga-Adi-Palena-AvaSyaka-tva-anirvAhAt viSva-jit-nyAyena
   svargaphalakalpanāyogāt phalaviśeṣāpekṣāyāṃ "dharmeṇa pāpamapanudati,"	svarga-Pala-kalpanA-yogAt Pala-viSeza-apekzAyAm "DarmeNa pApam-apanudati,"
   "pūrvāṃ sandhyāṃ japan vipro naiśameno vyapohati," "yadrātryā pāpamakārṣaṃ	"pUrvAm sanDyAm japan vipraH nESamenaH vyapohati," "yat-rAtryA pApam-akArzam
   yadahnā pāpamakārṣaṃ manasā vācā hastābhyāṃ" ityādivākyaśeṣebhyo	yat-ahnA pApam-akArzam manasA vAcA hastAByAn" ityAdi-vAkya-SezeByaH-
   niṣiddhācaraṇajanyapratyavāyakṣayasya phalatvamavasīyate ityarthaḥ /	nizidDa-AcaraNa-janya-pratyavAya-kzayasya Palatvam-avasIyate iti-arTaH /
   yadyapi dharmeṇetyasya na kiñcidvākyaśeṣatvam, apitu vākyatvameva; tathāpi	yadi-api DarmeNa-iti-asya na kiQcid-vAkya-Seza-tvam, apitu vAkya-tvam-eva; taTA-api
   ādipadasaṃgṛhītānāṃ pūrvoktānāṃ	Adipada-saMgRhItAnAm pUrva-uktAnAm
   saṃdhyāvandanavidhivākyaśeṣatvādvākyaśeṣetyuktam /	saMDyA-vandana-viDi-vAkya-Seza-tvAt-vAkya-Seza-iti-uktam /
   akaraṇe pratyavāyabhiyā pravṛttasya pāpakṣayārthaṃ pravṛttyabhāvamapekṣya	akaraNe pratyavAya-BiyA pravRttasya pApa-kzaya-arTam pravRtti-aBAvam-apekzya
   pāpakṣayasyānuṣaṅgikatvoktiḥ /	pApa-kzayasya-anuzaFgika-tva-uktiH /
   nyāyasudhākṛnmatanirāsaḥ kaustubhe draṣṭavyaḥ /	nyAya-suDA-kRt-mata-nirAsaH kOstuBe drazwavyaH /
   nimittalakṣaṇaprasaṅgāt rathantarasāmādhikaraṇoktamevārthaṃ	nimitta-lakzaNa-prasaFgAt raTantara-sAma-aDikaraNa-uktam-eva-arTam
   punarviśadayati ------------ yatra tviti //	punar-viSadayati ----------- yatra tu-iti //
   siddhāntamupasaṃharatiṇae. ------------- ataśceti //	sidDAntam-upasaMharatiNae. ------------ atas-ca-iti //
   (pūrvottarakalpaprayojananirūpaṇam) prayojanaṃ pūrvapakṣe	(pUrva-uttara-kalpa-prayojana-nirUpaNam) prayojanam pUrva-pakze
   yāvajjīvamabhyastarūpaka ekaḥ kāmya eva proyagaḥ jīvanakālasya vikṛtau	yAvajjIvam-aByasta-rUpakaH ekaH kAmyaH eva proyagaH jIvana-kAlasya vikRtO
   sauryādāvatideśādyāvajjīviko 'bhyāsaḥ, siddhānte tvaphalakāmasyāpi	sOryAdO=-atideSAt-yAvat-jIvikaH aByAsaH, sidDAnte tu-aPala-kAmasya-api
   sāyaṃprātaḥkālayorabhyastarūpastatraivaca parisamāpta ekaḥ prayogaḥ /	sAyaMprAtar-kAlayoH-aByasta-rUpaH-tatra-eva-ca parisamAptaH ekaH prayogaH /
   sāyaṃprātaḥkālāntare tathaivāparaḥ sauryeca nimittasyānatideśānna	sAyaMprAtar-kAla-antare taTA-eva-aparaH sOryeca nimittasya-anatideSAn-na
   yāvajjīvaṃ prayoga iti spaṣṭatvānnoktam //	yAvajjIvam prayogaH iti spazwa-tvAt-na-uktam //
   iti prathamaṃ yāvajjīvanimittatvādhikaraṇam //	iti praTamam yAvat-jIva-nimitta-tva-aDikaraNam //
   ---------------- <B1> (2 adhikaraṇam / ) (a.2 pā.4 adhi.2) nāma /	--------------- <B1> (2 aDikaraNam / ) (a.2 pA.4 aDi.2) nAma /
   agnihotrādau satsvapi bhedakapramāṇeṣu na karmabhedaḥ /	agnihotra-AdO satsu-api Bedaka-pramANezu na karma-BedaH /
   bhedakapramāṇairhi svavākyasya	Bedaka-pramANEH-hi sva-vAkyasya
   karmotpattiparatvāvagaterutpannasyotpattyayogātkarmāntaratvasiddhiḥ /	karma-utpatti-paratva-avagateH-utpannasya-utpatti-ayogAt-karma-antara-tva-sidDiH /
   prakṛte tūktapramāṇairutpattiparatvāvagame 'pi	prakRte tu-ukta-pramANEH-utpatti-paratva-avagame api
   puruṣabhedāttattacchākhādhyāyipuruṣān pratyekasyaiva karmaṇaḥ	puruza-BedAt-tad-tad-SAKA-DyAyi-puruzAn pratyekasya-eva karmaNaH
   sarvatrotpattisaṃbhavānna karmabhedaḥ /	sarvatra-utpatti-saMBavAt-na karma-BedaH /
   nahi sarvaśākhāḥ sarvapuruṣairadhyeyāḥ, svādhyāyavidhau 'adhvaryuṃ vṛṇīte'	na-hi sarva-SAKAH sarva-puruzEH-aDyeyAH, svADyAya-viDO aaDvaryum vRNIte-a
   itivatsvīyatvaikatvayorvivakṣitatvenānekaśākhādhyayanānupapatteḥ /	iti-vat-svIyatvA-eka-tvayoH-vivakzita-tvena-aneka-SAKA-aDyayana-anupapatteH /
   nacaivaṃ vedāntarasthaśākhādhyayanasyāpyanāpattiḥ 'vedānadhītya'	na-ca-evam veda-antara-sTa-SAKA-aDyayanasya-api-anApattiH avedAn-aDItya-a
   ityādivacanāntarānurodhena	ityAdi-vacana-antara-anuroDena
   vedatrayagataikaikaśākhādhyayanasyaivāvaśyakatvāvagateḥ /	veda-traya-gata-eka-eka-SAKA-aDyayanasya-eva-AvaSyaka-tva-avagateH /
   ata eva vedabhede puruṣābhedādekatraivotpattiraparatra guṇārthaṃ	atas eva veda-Bede puruza-aBedAt-ekatra-eva-utpattiH-aparatra guNa-arTam
   śravaṇabhityatra niyāmakaṃ vakṣyate /	SravaNa-Biti-atra niyAmakam vakzyate /
   vedaikatve tu pratiśākhaṃ puruṣabhedāt satyapi sarveṣāmutpattiparatve na	veda-eka-tve tu pratiSAKam puruza-BedAt sati-api sarvezAm-utpatti-paratve na
   karmabhedaḥ /	karma-BedaH /
   ata evaikasmin karmaṇi viruddhānāṃ nānāśākhāgatāṅgānāṃ vikalpaḥ /	atas eva-ekasmin karmaNi virudDAnAm nAnA-SAKA-gata-aFgAnAm vikalpaH /
   sa ca na tattatpuruṣabhedena vyavasthitaḥ /	sa ca na tad-tad-puruza-Bedena vyavasTitaH /
   tattadaṅgānāṃ tattadadhyetrarthatve pramāṇābhāvena	tad-tad-aFgAnAm tad-tad-aDyetra-rTa-tve pramANa-aBAvena
   prakaraṇācchruddhakratvarthatvāvagateḥ /	prakaraNAt-SrudDa-kratvarTa-tva-avagateH /
   aviruddhāṅgeṣu samuccayaḥ /	avirudDa-aFgezu samuccayaH /
   śākhāntarīyāṅgajñānaṃ ca kalpasūtrādibhiḥ sulabham /	SAKA-antarIya-aFga-jQAnam ca kalpa-sUtra-AdiBiH sulaBam /
   yattu 'bahnalpaṃ vā svagṛhyoktaṃ' ityādivacanantat	yat-tu abahnalpam vA sva-gRhya-uktaM-a ityAdi-vacanantat
   sarvāṅgopasaṃhārāsaṃbhave 'nukalpavidhānārthamiti kaustubhe draṣṭavyam /	sarva-aFga-upasaMhAra-asaMBave anukalpa-viDAna-arTam-iti kOstuBe drazwavyam /
   tadevaṃ śabdāntarābhyāsasaṅkhyāsaṃjñāguṇaprakaraṇāntarairnirūpitaḥ	tat-evam Sabda-antara-aByAsa-saFKyA-saMjQA-guNa-prakaraNa-antarEH-nirUpitaH
   karmaṇāṃ bhedaḥ /	karmaNAm BedaH /
   ataḥ paraṃ teṣāṃ viniyogo nirūpayiṣyate // 2 // iti dvitīyaṃ	atas param tezAm viniyogaH nirUpayizyate // 2 // iti dvitIyam
   śākhāntarādhikaraṇam //	SAKA-antara-aDikaraNam //
   iti śrīkhaṇḍadevaviracitāyāṃ bhāṭṭadīpikāyāṃ dvitīyādhyāyasya caturthaḥ	iti SrIKaNxa-deva-viracitAyAm BAwwadIpikAyAm dvitIya-aDyAyasya caturTaH
   pādaḥ //	pAdaH //
   adhyāyaśca samāptaḥ / // / <B2> (lakṣaṇānantarasaṃgatinirūpaṇam)	aDyAyaH-ca samAptaH / // / <B2> (lakzaNa-anantara-saMgati-nirUpaNam)
   pūrvamutpattiprayogaviniyogabhedakatvenoktānāṃ ṣaṇṇāṃ pramāṇānāṃ nirūpaṇe	pUrvam-utpatti-prayoga-viniyoga-Bedaka-tvena-uktAnAm zaNNAm pramANAnAm nirUpaNe
   kṛte saṃpratyekavedagatanānāśākhāgatakarmavidhiṣu	kRte saMprati-eka-veda-gata-nAnA-SAKA-gata-karma-viDizu
   śabdāntarasaṃjñāsaṃkhyānāṃ pramāṇānāṃ bhedakatvāyoge 'pi	Sabda-antara-saMjQA-saMKyAnAm pramANAnAm Bedaka-tva-ayoge api
   saṃbhavadbhedakatvānāṃ guṇābhyāsaprakaraṇāntarāṇāṃ	saMBavat-Bedaka-tvAnAm guNa-aByAsa-prakaraNa-antarANAm
   bhedakatvavicārāllakṣaṇasaṅgatiṃ	Bedaka-tva-vicArAt-lakzaNa-saFgatim
   tathānantarādhikaraṇopanyastaviniyogabhedakatvasyāpya- pavādādāpavādikīṃ	taTA-anantara-aDikaraNa-upanyasta-viniyoga-Bedaka-tvasya-api-a pavAdAda-apavAdikIm
   cānantarasaṅgatiṃ spaṣṭatvāttathā pūrvapakṣaṃ	ca-anantara-saFgatim spazwa-tvAt-taTA pUrva-pakzam
   cātiphalgutvādanuktvodāharaṇapūrvakaṃ siddhāntamevāha ----------	ca-ati-Palgu-tvAt-anuktvA-udAharaNa-pUrvakam sidDAntam-eva-Aha ----------
   śākhābhedeneti //	SAKA-Bedena-iti //
   ekavedagateti śeṣaḥ /	eka-veda-gata-iti SezaH /
   ataeva -------- vedāntaragate "bhūyastvenobhayaśrutī"titārtīyanyāyena	ataeva ------- veda-antara-gate "BUyastvena-uBaya-SrutI"titArtIya-nyAyena
   yatra vede dravyadevatāśravaṇāt rūpalābhastatraivotpattiḥ, netaratra,	yatra vede dravya-devatA-SravaNAt rUpa-lABaH-tatra-eva-utpattiH, na-itaratra,
   tatra guṇārthaṃ punaḥśravaṇamityarthasya siddhāntayiṣyamāṇatvāttatra	tatra guNa-arTam punar-SravaNam-iti-arTasya sidDAntayizyamANa-tvAt-tatra
   bhedaśaṅkānupapatternodāharaṇatvam /	Beda-SaFkA-anupapatteH-na-udAharaNa-tvam /
   ato yatrobhayatra rūpalābhenotpattividhibhedasaṃbhavaḥ, tatraiva	atas yatra-uBayatra rUpa-lABena-utpatti-viDi-Beda-saMBavaH, tatra-eva
   bhedaśaṅkotthānāt teṣāmevodāharaṇatvamityarthaḥ /	Beda-SaFkA-utTAnAt tezAm-eva-udAharaNa-tvam-iti-arTaH /
   satsvapīti //	satsu-apI-iti //
   (saṃjñāśabdāntasaṅkhyānāmabhedakatvepi abhyāsaguṇādeḥ bhedakatvasaṃbhavena	(saMjQA-Sabda-anta-saFKyAnAm-aBedaka-tvepi aByAsa-guNa-AdeH Bedaka-tva-saMBavena
   pūrvapakṣaḥ) yadapi kāṭhakaṃ kālāpakamityādisaṃjñāyāḥ karmabhedakatvaṃ	pUrva-pakzaH) yat-api kAWakam kAlApakam-ityAdi-saMjQAyAH karma-Bedaka-tvam
   sūtrakāreṇoktam /	sUtrakAreNa-uktam /
   tatra tasyā granthaparatvena karmaparatvābhāvāt, vede	tatra tasyAH granTa-paratvena karma-paratva-aBAva-at, vede
   'nāmnānenotpattigatatvābhāvācca na bhedakatvasaṃbhavaḥ, sūtre	anAmnA-anena-utpatti-gata-tva-aBAvAt-ca na Bedaka-tva-saMBavaH, sUtre
   tadupapādanantvabhyuccayamātreṇa jñeyam /	tad-upapAdanantu-aByuccaya-mAtreNa jQeyam /
   tathā śabdāntarasyāpi samānadhātvarthakatvāt itaradhātvarthāpekṣayā	taTA Sabda-antarasya-api samAna-DAtu-arTaka-tvAt itara-DAtu-arTa-apekzayA
   bhedakatvasya siddhānte 'pīṣṭatvānnabhedakatvam /	Bedaka-tvasya sidDAnte api-izwa-tva-anna-Bedaka-tvam /
   tathā saṅkhyāyāḥ svasamavāyibhedakatvāccāsaṃbhavaḥ, evaṃ	taTA saFKyAyAH sva-samavAyi-Bedaka-tvAt-ca-asaMBavaH, evam
   saṃjñāśabdāntarasaṅkhyānāmasaṃbhave	saMjQA-Sabda-antara-saFKyAnAm-asaMBave
   'pyananyaparavidhipunaḥśravaṇarūpābhyāsasya	api-ananya-para-viDi-punar-SravaNa-rUpa-aByAsasya
   aindrāgnaikādaśakapālatvādiguṇāvarodhe	Endra-agna-ekAdaSa-kapAla-tva-Adi-guNa-avaroDe
   vacanāntarāmnātadvādaśakapālatvādiguṇāntarasya niveśāyogāt guṇasya	vacana-antara-AmnAta-dvAdaSa-kapAla-tva-Adi-guNa-antarasya niveSa-ayogAt guNasya
   dūrasthatvenāsannidherupādeya- guṇasāmānyābhāvācca prakaraṇāntarasyaca	dUra-sTa-tvena-asanniDeH-upAdeya guNa-sAmAnya-aBAvAt-ca prakaraNa-antarasya-ca
   bhedakatvasaṃbhavābhiprāyeṇa bhedakapramāṇeṣviti bahuvacanopādānaṃ kṛtam /	Bedaka-tva-saMBava-aBiprAyeNa Bedaka-pramANezu-iti bahuvacana-upAdAnam kRtam /
   tadevopapādayati --------- bhedakapramāṇairhīti //	tat-eva-upapAdayati -------- Bedaka-pramANEH-hi-iti //
   (svādhyāyasyādhyayanavidhyuddeśyatvepi	(svADyAyasya-aDyayana-viDi-uddeSya-tvepi
   kalpyavidhāvupādeyatvātsvīyatvaikatvayorvivakṣaṇam) adhvaryuṃ vṛṇīta	kalpya-viDO=-upAdeya-tvAt-svIyatva-eka-tvayoH-vivakzaNam) aDvaryum vRNIta
   itivaditi //	iti-vat-iti //
   anenaca ---------- svādhyāyasyādhyayanaṃ	anena-ca --------- svADyAyasya-aDyayanam
   pratyuddeśyatvāduddeśyasvādhyāyagataikatvāvivakṣāśaṅkāyāḥ yathaivādhvaryuṃ	pratyuddeSya-tvAt-uddeSya-svADyAya-gata-eka-tva-avivakzA-SaFkAyAH yaTA-eva-aDvaryum
   vṛṇīte ityatra satyapyadhvaryoruddeśyatve vṛtenādhvaryuṇā svakāryaṃ	vRNIte iti-atra sati-api-aDvaryoH-uddeSya-tve vRtena-aDvaryuNA sva-kAryam
   kuryāditi kalpyavidhāvupādeyatayā śravaṇādekatvavivakṣā, tathehāpyadhītena	kuryAt-iti kalpya-viDO=-upAdeya-tayA SravaNAt-eka-tva-vivakzA, taTA-iha-api-aDItena
   svādhyāyenārthajñānaṃ bhāvayediti kalpyaviniyogavidhau upādeyatvaśravaṇāt	svADyAyena-arTa-jQAnam BAvayet-iti kalpya-viniyoga-viDO upAdeya-tva-SravaNAt-
   tadvivakṣeti nirāsaḥ sūcitaḥ /	tat-vivakzA-iti nirAsaH sUcitaH /
   svairadhīyate 'sau svādhyāya iti	svEH-aDIyate asO svADyAyaH iti
   vyutpattyādhyāyagatasvaparaṃparāgatapuruṣaparigraharūpasvīyatvokteḥ	vyutpattyA-aDyAya-gata-sva-paraMpara-Agata-puruza-parigraha-rUpa-svIyatva-ukteH
   svīyatvetyuktam //	svIyatva-iti-uktam //
   (svādhyāya ityadhyāyasya vedatvavyāpyaśākhāparatvavyavasthāpanam //)//	(svADyAyaH iti-aDyAyasya veda-tva-vyApya-SAKA-paratva-vyavasTApanam //)//
   "anayā trayyā vidyayā lokaṃ jayati" "vedānadhītya vedau vā vedaṃ vāpi	"anayA trayyA vidyayA lokam jayati" "vedAn-aDItya vedO vA vedam vA-api
   yathākrama" mityādiśrutismṛtibhirvedāntaragataśākhādhyayanasyābhyanujñānāt	yaTAkrama" miti-Adi-Sruti-smRtiBiH-veda-antara-gata-SAKA-aDyayanasya-aByanujQAnAt-
   tadanurodhenādhyāyapadamapi ṛgvedatvādivyāpyaśākhā- parameva; tatraivaca	tad-anuroDena-aDyAya-padam-api Rgveda-tva-Adi-vyApi-aSAKA param-eva; tatra-eva-ca
   svīyatvaikatvayorviśeṣaṇatvāt /	svIyatva-eka-tvayoH-viSezaNa-tvAt /
   ṛgvedatvādivyāpyāyā ekaikapitryādiparamparāgatāyāḥ śākhāyā	Rgveda-tva-Adi-vyApyAyAH ekEka-pitrya-Adi-paramparAgatAyAH SAKAyAH-
   adhyayananiyamakaraṇena tadvyāpyaśākhāntarasyaivādhyayanavidhāne 'pi na	aDyayana-niyama-karaNena tad-vyApya-SAKA-antarasya-eva-aDyayana-viDAne api na
   vedāntaragatāyāstannivṛttirityabhipretya samādhatte---------- vedāniti //	veda-antara-gatAyAH-tad-nivRttiH-iti-aBipretya samADatte--------- vedAn-iti //
   (vedabhede karmabhedaḥ na śākhābheda ityupapādanam) puruṣābhedāditi //	(veda-Bede karma-BedaH na SAKA-BedaH iti-upapAdanam) puruza-aBedAt-iti //
   vedabhedena tadadhyayanasya sarvapuruṣān pratyavirodhāt tadgatavidhipunaḥ	veda-Bedena tad-aDyayanasya sarva-puruzAn pratyaviroDAt tad-gata-viDi-punar-
   śravaṇasyādhyetṛbhedapuraskāreṇa jñānārthatvena parihārāsaṃbhavāt	SravaNasya-aDyetR-Beda-puraskAreNa jQAna-arTa-tvena parihAra-asaMBavAt
   ubhayotpattau prāptāyāṃ bhūyodharmāmnānaṃ yatra tatrotpattiritaratra	uBaya-utpattO prAptAyAm BUyas-DarmAmnAnam yatra tatra-utpattiH-itaratra
   guṇārthaṃ śravaṇamityarthabhūyastvaṃ niyāmakaṃ tṛtīye vakṣyata ityarthaḥ /	guNa-arTam SravaNam-iti-arTa-BUyaH-tvam niyAmakam tRtIye vakzyate iti-arTaH /
   evaṃ yatra sāmavede ekasyāmeva śākhāyāṃ	evam yatra sAmavede ekasyAm-eva SAKAyAm
   pañcaviṃśaṣaṅviṃśākhyabrāhmaṇabhedastatrāpyadhyetṛbhedābhāvādekatra	paQcaviMSazaFviMSa-AKya-brAhmaNa-BedaH-tatra-api-aDyetR-Beda-aBAvAt-ekatra
   vidhiraparatrānuvādo bādhakāsattve, tadabhāvetu	viDiH-aparatra-anuvAdaH bADakA-sattve, tad-aBAvetu
   karmāntaramevābhyāsādityapi jñeyam /	karma-antaram-eva-aByAsAt-iti-api jQeyam /
   utpattiparatveneti //	utpatti-paratvena-iti //
   tattadadhyetṝn prati ajñātotpattijñāpakatayā vidhipunaḥśravaṇopapatterna	tat-tad-aDyetLn prati ajQAta-utpatti-jQApaka-tayA viDi-punar-SravaNa-upapatteH-na
   karmabheda ityarthaḥ //	karma-BedaH iti-arTaH //
   evaṃ vidhipunaḥ śravaṇasyānyaparatvādabhyāsasya bhedakatve niraste	evam viDi-punar SravaNasya-anya-para-tvAt-aByAsasya Bedaka-tve niraste
   tenaivānupasthitirūpaprakaraṇāntarasya pramātṛbhedenotpattyākṣepakatve 'pi	tena-eva-anupasTiti-rUpa-prakaraNa-antarasya pramAtR-Bedena-utpatti-Akzepaka-tve api
   bhedākṣepakatvābhāvāt bhedakatvāsiddhimabhipretyāvaśiṣṭaṃ guṇakṛtabhedaṃ	Beda-Akzepakatva-aBAvAt Bedaka-tva-asidDim-aBipretya-avaSizwam guNa-kRta-Bedam
   nirasitumāha -------- ataeveti //	nirasitum-Aha ------- ataeva-iti //
   yato 'dhyetṛbhedena dvayorapyutpattiparatvāt	yatas aDyetR-Bedena dvayoH-api-utpatti-paratvAt
   naikatarasyotpattiśiṣṭatvamutpannaśiṣṭatvaṃ vā, ata eva	na-ekatarasya-utpatti-Sizwa-tvam-utpanna-Sizwa-tvam vA, atas eva
   ekatareṇaikatarasya bādhāyogādekārthatve sati vrīhiyavayoriva vikalpa	ekatareNa-ekatarasya bADA-yogAt-eka-arTa-tve sati vrIhi-yavayoH-iva vikalpa
   ityarthaḥ /	iti-arTaH /
   kāṭhakādisamākhyānāṃ śākhāsviva karmaṇyapi prayogāt	kAWaka-Adi-samAKyAnAm SAKAsu-iva karmaNi-api prayogAt-
   tābhirādhvaryavādisamākhyāvat puruṣaviśeṣaniyamopapattyāśaṅkāmabhipretya	tABiH-ADvarya-vAdi-samAKyA-vat puruza-viSeza-niyama-upapatti-ASaFkAm-aBipretya
   pariharati ---------- saceti //	pariharati --------- sacA-iti //
   karmaṇi prayogasya kaṭhaproktagranthavihitasaṃbandhanimittakasya	karmaNi prayogasya kaWa-prokta-granTa-vihita-saMbanDa-nimittakasya
   kartṛtāsaṃbandhena kaṭhādiniyāmakatvāyogāt na tena	kartRtA-saMbanDena kaWa-Adi-niyAmaka-tva-ayogAt na tena
   vyavasthāsiddhirityarthaḥ //	vyavasTA-sidDiH-iti-arTaH //
   (śākhāntarīyāṅgānuṣṭhānopāyanirūpaṇam) nanu --------- śākhāntarīyāṅgānāṃ	(SAKA-antarIyA-aFga-anuzWAna-upAya-nirUpaNam) nanu -------- SAKA-antarIya-aFgAnAm
   pradhānānāṃ vādhyayanavidhisiddhajñānābhāvāt	praDAnAnAm vA-aDyayana-viDi-sidDa-jQAna-aBAvAt
   kathamanuṣṭhānopapattirityāśaṅkāṃ kratuvidhīnāṃ svakartṛśākhārthaviṣaye	kaTam-anuzWAna-upapattiH-iti-ASaFkAm kratu-viDInAm sva-kartR-SAKA-arTa-vizaye
   'dhyayanavidhisiddhajñānalābhena tadupāyānākṣepakatve 'pi	aDyayana-viDi-sidDa-jQAna-lABena tad-upAyAnAkzepaka-tve api
   śākhāntaravṛttisvānuṣṭheyārthaviṣaye tadvidhisiddhajñānābhāve sati	SAKA-antara-vRtti-sva-anuzWeya-arTa-vizaye tad-viDi-sidDa-jQAna-aBAve sati
   tadupāyākṣepakatvopapatteḥ kalpasūtrādhyayanena	tad-upAya-Akzepakatva-upapatteH kalpa-sUtra-aDyayanena
   tajjñānasaṃbhavenānuṣṭhānopapattyā nirasyati -------- śākhāntarīyeti //	tad-jQAna-saMBavena-anuzWAna-upapattyA nirasyati ------- SAKA-antarIyA-iti //
   (kratuvidhīnāṃ śūdrādhikārākṣepakatvanirāsaḥ) śūdrasya tadākṣepasaṃbhave	(kratu-viDInAm SUdra-aDikAra-Akzepaka-tva-nirAsaH) SUdrasya tad-Akzepa-saMBave
   'pi tadupāyādhyayananiṣedhānna taditi vaiṣamyamiti bhāvaḥ //	api tad-upAya-aDyayana-nizeDAt-na tat-iti vEzamyam-iti BAvaH //
   (bahvalpaṃ vetivacanavirodhaparihāraḥ) nanu --------	(bahu-alpam vA-iti-vacana-viroDa-parihAraH) nanu --------
   śākhāntarīyāṅgopasaṃhāre "bahvalpaṃ vā svagṛhyoktaṃ yasya yāvat	SAKA-antarIya-aFga-upasaMhAre "bahu-alpam vA sva-gRhya-uktam yasya yAvat-
   prakīrttitaṃ /	prakIrttitam /
   tasya tāvati śāstrārthe kṛte sarvaḥ kṛto bhave" diti vacanena	tasya tAvati SAstra-arTe kRte sarvaH kRtaH Bave" diti vacanena
   svagṛhyapadasyopalakṣaṇatayā svagṛhyoktasya svaśākhāvagatasya	sva-gRhya-padasya-upalakzaNa-tayA sva-gRhya-uktasya sva-SAKA-avagatasya
   vānuṣṭhānaniyamavidhānāt tena virodha ityāśaṅkānirāsāyāha ----------	vA-anuzWAna-niyama-viDAnAt tena viroDaH iti-ASaFkA-nirAsAya-Aha ----------
   yattviti //	yat-tu-iti //
   (pūrvottarapakṣaprayojananirūpaṇam) prayojanaṃ śākhāntaragatāṅgānāṃ na	(pUrva-uttara-pakza-prayojana-nirUpaNam) prayojanam SAKA-antara-gata-aFgAnAm na
   vikalpasamuccayau pūrvapakṣe /	vikalpa-samuccayO pUrva-pakze /
   siddhānte tāviti pūrvamevoktaprāyatvānnoktam //	sidDAnte tO=-iti pUrvam-eva-ukta-prAya-tvAt-na-uktam //
   (adhyāyārthopasaṃhāraḥ /	(aDyAya-arTa-upasaMhAraH /
   uttarādhyāyārthasaṃgrahaśca) eteṣāñca pramāṇānāmekaviṣayopanipāte	uttara-aDyAya-arTa-saMgrahaH-ca) etezAQca pramANAnAm-eka-vizaya-upanipAte
   'nadhigatārthagantṛtvatadabhāvarūpaprāmāṇyāprāmāṇyaviśeṣe 'pi	anaDigata-arTa-gantR-tva-tadaBAva-rUpa-prAmANya-aprAmANya-viSeze api
   virodhābhāvānna balābalānveṣaṇaṃ kāryamityabhipretya tadavaśiṣṭasya	viroDa-aBAvAt-na bala-abala-anvezaNam kAryam-iti-aBipretya tad-avaSizwasya
   vicāraṇīyasyābhāvāt adhyāyārthamupasaṃharati --------- tadevamiti //	vicAraNIyasya-aBAvAt aDyAya-arTam-upasaMharati -------- tat-evam-iti //
   śrotṝṇāmaudāsīnyavāraṇena sukhagrahaṇārthamuttarādhyāyārthaṃ saṃgṛhṇāti	SrotLNAm-OdAsInya-vAraNena suKa-grahaNa-arTam-uttara-aDyAya-arTam saMgRhNAti
   -------- ataḥparamiti //	------- atas-param-iti //
   teṣāmiti bahuvacanena ataḥ paramityanenaca sūcitottarādhyāyārthanirūpaṇaṃ	tezAm-iti bahuvacanena atas param-iti-anena-ca sUcita-uttara-aDyAya-arTa-nirUpaNam
   pratyetadadhyāyārthanirūpaṇasya hetuhetumadbhāvarūpā saṅgatiruttaratra	pratyetat-aDyAya-arTa-nirUpaNasya hetu-hetum-at-BAva-rUpA saFgatiH-uttaratra
   spaṣṭībhaviṣyati //	spazwIBavizyati //
   // iti dvitīyaṃ śākhāntarādhikaraṇam //	// iti dvitIyam SAKA-antara-aDikaraNam //
   iti kavimaṇḍana-khaṇḍadevaśiṣya-śuṃbhubhaṭṭaviracitāyāṃ	iti kavi-maNxana-KaNxa-deva-Sizya--SuMBu-Bawwa-viracitAyAm
   bhāṭṭadīpikāvyākhyāyāṃ prabhāvalyāṃ dvitīyādhyāyasya caturthaḥ pādaḥ //	BAwwa-dIpikA-vyAKyAyAm praBAvalyAm dvitIya-aDyAyasya caturTaH pAdaH //
