   aṣṭamaḥ paricchedaḥ	azwamaH paricCedaH
        ṭaṭhaḍaḍhaiḥ saheti /	waWa-xaXEH saha-iti /
        sāhityaṃ vyañjakatvakathanena vyañjanaparasparasahitairapi vyañjanāt	sAhityam vyaQjaka-tva-kaTanena vyaQjana-paraspara-sahitEH-api vyaQjanAt-
        samāsabahulā ghaṭanā ityatra ghaṭanāpadaṃ vinyāsamātraparaṃ	samAsa-bahulAH GawanAH iti-atra GawanA-padam vinyAsa-mAtra-param
   sandhiparaṃ ca /	sanDi-param ca /
        tena samāsabahulā dīrghasamāsavān vinyāsaḥ, auddhatyena kaṭutvena	tena samAsa-bahulAH dIrGa-samAsavAn vinyAsaH, OdDatyena kawutvena
   yuktaḥ sandhiścetyarthaḥ /	yuktaH sanDiH-ca-iti-arTaH /
        cañjadbhujetyādikaṃ nāṭyaparicchede vyākhyātam /	caQjadBuja-iti-Adikam nAwya-paricCede vyAKyAtam /
        atra dīrghasamāsaḥ katipaye yathoktā varṇāḥ /	atra dIrGa-samAsaH katipaye yaTA-uktAH varNAH /
        ********** END OF COMMENTARY **********	********** END OF SOMMENTa-aRY **********
   cittaṃ vyāpnoti yaḥ kṣipraṃ śuṣkendhanamivānalaḥ // VisSd_8.7 //	cittam vyApnoti yaH kzipram Suzka-inDanam-iva-analaH // VisSd-_8.7 //
   sa prasādaḥ samasteṣu raseṣu racanāsu ca /	sa prasAdaH samastezu rasezu racanAsu ca /
        ************* COMMENTARY *************	************* SOMMENTa-aRY *************
        Vijñapriyā:	VijQa-priyA:
        (vi, ṭha) prasādaguṇalakṣaṇamāha---cittamiti /	(vi, Wa) prasAda-guNa-lakzaNam-Aha---cittam-iti /
        atra cittapadaṃ jñānaparam /	atra citta-padam jQAna-param /
        tathā ca yo guṇaḥ kṣipraṃ ślokārthajñānaṃ vyāpnoti āviṣkaroti	taTA ca yaH guNaH kzipram Sloka-arTa-jQAnam vyApnoti Avizkaroti
   janayatīti yāvat /	janayati-iti yAvat /
        ata evāviṣkarotīti vyākhyāsyati /	atas eva-Avizkaroti-iti vyAKyAsyati /
        sa guṇaḥ prasāda ityarthaḥ /	sa guNaH prasAdaH iti-arTaH /
        atra dṛṣṭāntamāha śuṣketi /	atra dRzwAntam-Aha Suzka-iti /
        analaḥ śuṣkendhanaṃ yathā kṣipraṃ suviśiṣṭatayā'viṣkarotītyarthaḥ /	analaH Suzka-inDanam yaTA kzipram su-viSizwa-tayA-avizkaroti-iti-arTaH /
        samasteṣu raseṣu iti /	samastezu rasezu iti /
        racanāsu iti /	racanAsu iti /
        saptamyadhikaraṇatāyāṃ, racanā śabdaprathanā tatra saptamī ca	saptamI-aDikaraNa-tAyAM, racanA Sabda-praTanA tatra saptamI ca
   vyañjakatāyām /	vyaQjaka-tAyAm /
        tathā ca sarvaracanāvyaṅgyaścetyarthaḥ /	taTA ca sarva-racanA-vyaFgyaH-ca-iti-arTaH /
        na caivaṃ prasādarahitaḥ ko 'pi aloko na syāditi vācyam /	na ca-evam prasAda-rahitaH kaH api alokaH na syAt-iti vAcyam /
        sarvajātīyāsu racanāsu, na tu sarvaracanāvyaktiṣu ityarthaḥ /	sarva-jAtIyAsu racanAsu, na tu sarva-racanA-vyaktizu iti-arTaH /
        Locanā:	LocanA:
        (lo, e) cittaṃ pratipattṝṇāmityarthaḥ /	(lo, e) cittam pratipattLNAm-iti-arTaH /
        ********** END OF COMMENTARY **********	********** END OF SOMMENTa-aRY **********
   vyāpnoti āviṣkaroti /	vyApnoti Avizkaroti /
   śabdāstadvyañjakā arthabodhakāḥ śrutimātrataḥ // VisSd_8.8 //	SabdAH-tad-vyaQjakAH arTa-boDakAH Sruti-mAtrataH // VisSd-_8.8 //
        ************* COMMENTARY *************	************* SOMMENTa-aRY *************
        Vijñapriyā:	VijQa-priyA:
        (vi, ḍa) tadvyañjakaracanāvyaktiṃ darśayati---śabdā iti /	(vi, xa) tad-vyaQjaka-racanA-vyaktim darSayati-----SabdAH iti /
        śrutimātrator'thabodhakāḥ śabdāstadvyañjakā ityarthaḥ /	Sruti-mAtrator-aTa-boDakAH SabdAH-tad-vyaQjakAH iti-arTaH /
        Locanā:	LocanA:
        (lo, ai) iha ca prasādaguṇasya jhaṭityarthaprakāśanena	(lo, E) iha ca prasAda-guNasya Jawiti-arTa-prakASanena
   uktarūparasaniṣṭhaprasādaguṇābhivyañjanādau paricārikamapi	ukta-rUpa-rasa-nizWa-prasAda-guNa-aBivyaQjana-AdO paricArikam-api
   racanāniṣṭhatvaṃ prayatnavidheyatvena rasasādacaryeṇa uktiṃ	racanA-nizWa-tvam prayatna-viDeya-tvena rasa-sAda-caryeNa uktim
   prasādātikrameṣu sāmānyamapi saṅghaṭanā karuṇavipralambhaśṛṅgārau vyanākti	prasAda-atikramezu sAmAnyam-api saFGawanA karuNa-vipralamBa-SRFgArO vyanAkti
        tadapi parityāge madhyamasamāsāpi prakāśayatiti /	tat-api parityAge maDyama-samAsA-api prakASayat-iti /
        ********** END OF COMMENTARY **********	********** END OF SOMMENTa-aRY **********
   yathā---	yaTA---
   "sūcīmukhena sakṛdeva kṛtavraṇastvaṃ muktākalāpa ! luṭhasi stanayoḥ	"sUcI-muKena sakRt-eva kRta-vraNaH-tvam muktA-kalApaH ! luWasi stanayoH
   priyāyāḥ /	priyAyAH /
   bāṇaiḥ smarasya śataśo vinikṛttamarmā svapne 'pi tāṃ kathamahaṃ na	bANEH smarasya SataSas vinikRtta-marmA svapne api tAm kaTam-aham na
   vilokayāmi" //	vilokayAmi" //
        ************* COMMENTARY *************	************* SOMMENTa-aRY *************
        Vijñapriyā:	VijQa-priyA:
        (vi, ḍha) sūcimukheneti---priyāyāḥ stananyastaṃ muktāhāraṃ	(vi, Xa) sUci-muKena-iti---priyAyAH stana-nyastam muktA-AhAram
   parokṣamapi bhāvopanītaṃ sambodhya virahiṇa uktiriyam /	parokzam-api BAva-upanItam samboDya virahiNaH uktiH-iyam /
        ślokārthastu prasādāt spaṣṭa eva /	Sloka-arTaH-tu prasAdAt spazwaH eva /
        ********** END OF COMMENTARY **********	********** END OF SOMMENTa-aRY **********
   eṣāṃ śabdaguṇatvaṃ ca guṇavṛttyocyate budhaiḥ /	ezAm Sabda-guNa-tvam ca guNa-vRttyA-ucyate buDEH /
   śarīrasya śauryādiguṇayoga iva iti śeṣaḥ /	SarIrasya SOrya-Adi-guNa-yogaH iva iti SezaH /
   Locanā:	LocanA:
   (lo, o) yat punareṣāṃ śabdavṛttitvamucyate tatra hetumāha---eṣāmiti /	(lo, o) yat punar-ezAm Sabda-vRtti-tvam-ucyate tatra hetum-Aha----ezAm-iti /
   guṇavṛttyā pūrvoktarītyā upacāreṇa /	guNa-vRttyA pUrva-ukta-rItyA upacAreNa /
   ********** END OF COMMENTARY **********	********** END OF SOMMENTa-aRY **********
   śleṣaḥ samādhiraudāryaḥ pasāda iti ye punaḥ // VisSd_8.9 //	SlezaH samADiH-OdAryaH pasAdaH iti ye punar // VisSd-_8.9 //
   guṇāścirantanairuktā aujasyāntarbhavanti te /	guNAH-ciranta-nEH-uktAH Ojasya-antarBavanti te /
   ojasi bhaktyā aujaḥ padavācye śabda (artha) dharmaviśeṣe /	ojasi BaktyA OjaH pada-vAcye SabdaH (arTa) Darma-viSeze /
        ************* COMMENTARY *************	************* SOMMENTa-aRY *************
        Vijñapriyā:	VijQa-priyA:
        (vi, ṇa) rasavṛttīnāmapyeṣāṃ	(vi, Na) rasa-vRttInAm-api-ezAm
   śabdaguṇatvavyavahāramupapādayati---eṣāmiti /	Sabda-guNa-tva-vyavahAram-upapAdayati----ezAm-iti /
        guṇavṛttyā paramparāvṛttyā guṇāśrayarasavyañjakatvaṃ	guNa-vRttyA paramparA-AvRttyA guNa-ASraya-rasa-vyaQjaka-tvam
   paramparāśabdaguṇatvamityupalakṣaṇam /	paramparA-Sabda-guNa-tvam-iti-upalakzaNam /
        arthaguṇatvamapyevaṃ bodhyam /	arTa-guNa-tvam-api-evam boDyam /
        itthaṃ rasavṛttaya eva traya eva guṇāḥ paramparayā śabdārthavṛttayaḥ	itTam rasa-vRttaye eva trayaH eva guNAH paramparayA Sabda-arTa-vRttayaH
        cirantanairuktānāṃ"śleṣaḥ prasādaḥ samatā mādhuryaṃ sukumāratā /	ciranta-nEruktAnAn"SlezaH prasAdaH sama-tA mADuryam sukumAra-tA /
        arthavyaktimudāratvamojaḥ kāntiḥ samādhayaḥ "iti daśaguṇānāṃ madhye	arTa-vyaktim-udAra-tvam-ojaH kAntiH samADayaH "iti daSaguNAnAm maDye
   śleṣādiguṇacatuṣṭayamojasyantarbhavatītyāha---śleṣa ityādi /	Sleza-Adi-guNa-catuzwayam-ojasi-antarBavati-iti-Aha---SlezaH ityAdi /
        ojasyantarbhāve prakāramāha---bhaktyeti /	ojasi-antarBAve prakAram-Aha---BaktyA-iti /
        asmaduktaujoguṇavyañjakavarṇeṣveva hi te catvārā guṇā varttante iti	asmad-ukta-ojaH-guNa-vyaQjaka-varNezu-eva hi te catvArAH guNAH varttante iti
   tairucyate /	tEH-ucyate /
        tathā ca paramparayā śabdavṛtterasmaduktaujoguṇasamādhānādhikaraṇā	taTA ca paramparayA Sabda-vRtteH-asmad-ukta-ojo-guNa-samADAna-aDikaraNA
   eva te tanmate paryyavasyanti /	eva te tad-mate paryyavasyanti /
        tathā teṣāṃ tadbhinnatvoktau gauravaṃ	taTA tezAm tad-Binna-tva-uktO gOravam
   tadātmakatvamevocitamityetadevāha---bhaktyeti /	tad-Atmaka-tvam-eva-ucitam-iti-etat-eva-aha---BaktyA-iti /
        ājaḥ padavācye rasaguṇaviśeṣe bhaktyā paramparārūpayā bhaktyā	AjaH pada-vAcye rasa-guNa-viSeze BaktyA paramparA-rUpayA BaktyA
   śabdadharme 'ntarbhavantītyarthaḥ /	Sabda-Darme antarBavanti-iti-arTaH /
        tadabhinnā ete ityarthaḥ /	tad-aBinnAH ete iti-arTaH /
        ********** END OF COMMENTARY **********	********** END OF SOMMENTa-aRY **********
   tatra śleṣo bahūnāmapi padānāmekapadavadbhāsanātmā /	tatra SlezaH bahUnAm-api padAnAm-eka-pada-vat-BAsana-AtmA /
   Locanā:	LocanA:
   (lo, au) kathaṃ traya eva guṇā ityatrāha---śleṣa iti /	(lo, O) kaTam trayaH eva guNAH iti-atra-aha---SlezaH iti /
   bhaktyā upacāreṇa /	BaktyA upacAreNa /
   padānāṃ bahūnāmekapadavadbhāsanam /	padAnAm bahUnAm-ekapada-vat-BAsanam /
   ********** END OF COMMENTARY **********	********** END OF SOMMENTa-aRY **********
   yathā---	yaTA---
   "unmajjajjalakuñjarendrarabhāsāsphālānubandhoddhatāḥ sarvāḥ	"unmajjat-jala-kuQjara-indra-raBAsA-sPAla-anubanDa-udDatAH sarvAH
   parvatakandarodarabhuvaḥ kurvan pratidhvāninīḥ /	parvata-kandara-udara-BuvaH kurvan pratiDvAninIH /
   uccairuccarati dhvaniḥ śrutipathonmāthī yathāyaṃ tathā	uccEs-uccarati DvaniH Sruti-paTa-unmATI yaTA-ayam taTA
   prāyapreṃkhadasaṃkhyaśaṅkhadhavalā veleyamudracchati" //	prAya-preMKada-saMKya-SaFKa-DavalA veleya-mudracCati" //
   ayaṃ bandhavaikaṭyātmakatvādoja eva /	ayam banDa-vEkawyAtmaka-tvAt-ojaH eva /
        ************* COMMENTARY *************	************* SOMMENTa-aRY *************
        Vijñapriyā:	VijQa-priyA:
        (vi, ta) tatra tairuktasya śleṣasya lakṣaṇamāha---śleṣo bahūnāmiti /	(vi, ta) tatra tEH-uktasya Slezasya lakzaNam-Aha---SlezaH bahUnAm-iti /
        ekapadavadbhāsanaṃ dīrghasamāsena /	eka-pada-vat-BAsanam dIrGa-samAsena /
        unmajjaditi---unmajjato jalakuñjarendrasya rabhasā sphālanānubandhena	unmajjaditi---unmajjataH jala-kuQjara-indrasya raBasA sPAlana-anubanDena
   sahasā sphālanakriyayā uddhataḥ ityataḥ ayaṃ dhvaniḥ yathā uccairuccarati,	sahasA sPAlana-kriyayA udDataH iti-atas ayam DvaniH yaTA uccEs-uccarati,
   prāyaḥ sambhāvane, tathā velā samudrasya nīram udracchati;	prAyas samBAvane, taTA velA samudrasya nIram udracCati;
   kuñjarāsphālanena tīraṃ plāvayatītyarthaḥ /	kuQjara-AsPAlanena tIram plAvayati-iti-arTaH /
        velā kīdṛśī---preṅkadbhiścaladbhirasaṃkhyaśaṅkhaiḥ dhavalā /	velA kIdRSI----preFkadBiH-caladBiH-asaMKya-SaFKEH DavalAH /
        dhvaniḥ kīdṛśaḥ ?śrutipathonmāthī /	DvaniH kIdRSaH ?Sruti-paTa-unmATI /
        sarvāḥ parvatakantarodarabhuvaśca pratidhvāninīḥ kurvaṃśca /	sarvAH parvata-kantara-udara-BuvaH-ca pratiDvAninIH kurvan=-ca /
        ayamiti /	ayam-iti /
        bandhavaikaṭyamuddhatabalaviśiṣṭaśabdatvam /	banDa-vEkawyam-udData-bala-viSizwa-Sabda-tvam /
        tacca tādṛśaśabdavṛttitvāt paramparayā śabdavṛttyojoguṇa eva	tat-ca tAdRSa-Sabda-vRtti-tvAt paramparayA Sabda-vRtti-ojaH-guNaH eva
   ityarthaḥ /	iti-arTaH /
        samānādhikaraṇadharmadvayakalpane gauravāditi bhāvaḥ /	samAna-aDikaraNa-Darma-dvaya-kalpane gOravAt-iti BAvaH /
        Locanā:	LocanA:
        (lo, a) uccairuccarati dhvanirityādau suvyaktam /	(lo, a) uccEs-uccarati DvaniH-iti-AdO su-vyaktam /
        jalakuñjaro hastyākāramukho jalajantuviśeṣaḥ /	jala-kuQjaraH hasti-AkAra-muKaH jala-jantu-viSezaH /
        tasya rabhasena āsphālaḥ arddanam arthāt jalasyaiva /	tasya raBasena AsPAlaH arddanam arTAt jalasya-eva /
        preṅkhantaḥ valgantaḥ /	preFKantaH valgantaH /
        velā samudravīciḥ /	velA samudra-vIciH /
        ********** END OF COMMENTARY **********	********** END OF SOMMENTa-aRY **********
   samādhirārohāvarohakramaḥ /	samADiH-Aroha-avaroha-kramaH /
   āroha utkarṣaḥ, avaroho 'pakarṣaḥ, tayoḥ kramo vairasyatānāvaho vinyāsaḥ /	ArohaH utkarzaH, avarohaH apakarzaH, tayoH kramaH vErasyatAnAvahaH vinyAsaH /
   yathā---"cañcadbhuja--" ityādi /	yaTA---"caQcat-Buja--" ityAdi /
   atra padātraye krameṇa bandhasya gāḍhatā /	atra padA-traye krameNa banDasya gAXa-tA /
   caturthapāde tvapakarṣaḥ /	caturTa-pAde tu-apakarzaH /
   tasyāpi ca tīvraprayatnoccāryatayā ojasvitā /	tasya-api ca tIvra-prayatna-uccArya-tayA ojasvi-tA /
        ************* COMMENTARY *************	************* SOMMENTa-aRY *************
        Vijñapriyā:	VijQa-priyA:
        (vi, tha) samādhikaraṇalakṣaṇamāha---samādhiriti /	(vi, Ta) samADi-karaNa-lakzaNam-Aha----samADiH-iti /
        utkarṣaḥ samāsādhīnaḥ apakarṣastadabhāvādīnaḥ /	utkarzaH samAsa-aDInaH apakarzaH-tad-aBAva-AdInaH /
        tayoḥ krama iti /	tayoH kramaH iti /
        kramo yathoctasthāne vinyāsād vairasyānadhānam,	kramaH yaTA-ucta-sTAne vinyAsAt vEra-sya-anaDAnam,
   tadāha--vairasyānāvaha iti /	tat-A-aha---vErasya-anAvahaH iti /
        cañcadbhujetyādi iti /	caQcat-Buja-ityAdi iti /
        vyākhyātamidaṃ prāk /	vyAKyAtam-idam prAk /
        bandhagāḍhateti--dīrghasamāsāt sa eva cotkarṣaḥ /	banDa-gAXa-tA-iti---dIrGa-samAsAt saH eva ca-utkarzaH /
        caturthapāda iti /	caturTa-pAdaH iti /
        "uttaṃsayiṣyati kacāṃstava devi bhīma "ityatra dīrghasamāsābhāvo	"uttaMsayizyati kacAn=-tava devi BImaH "iti-atra dIrGa-samAsa-aBAvaH-
   'pakarṣaḥ sa cātra draupadāyaśvāsanarūpeṇa krodhābhāvena	apakarzaH sa ca-atra drOpadAya-SvAsana-rUpeNa kroDa-aBAvena
   dīrghasamāsābhāvaḥ yogyasthāne vinyāsād vairasyānādhāyakaḥ /	dIrGa-samAsa-aBAvaH yogya-sTAne vinyAsAt vErasya-anADAyakaH /
        ata evātra patatprakarṣatvamapi guṇaḥ /	atas eva-atra patat-prakarza-tvam-api guNaH /
        asyāpyojasyantarbhāvaṃ darśayati---asyāpīti /	asya-api-ojasi-antarBAvam darSayati---asya-api-iti /
        tathā ca pādatrayavaśādojasyāntarbhāva iti bhāvaḥ /	taTA ca pAda-traya-vaSAt-ojasya-antarBAvaH iti BAvaH /
        ********** END OF COMMENTARY **********	********** END OF SOMMENTa-aRY **********
   udāratā vikaṭatvalakṣaṇā /	udAra-tA vikawa-tva-lakzaNA /
   vikaṭatvaṃ padānāṃ nṛtyatprāyatvam /	vikawa-tvam padAnAm nRtyat-prAya-tvam /
   Locanā:	LocanA:
   (lo, ā) nṛtyatprāyatvamiti /	(lo, A) nRtyat-prAya-tvam-iti /
   padāni narttakīkṛtya darśitānīvānubhūyante yatra /	padAni narttakIkRtya darSitAni-iva-anuBUyante yatra /
   ********** END OF COMMENTARY **********	********** END OF SOMMENTa-aRY **********
   yathā---	yaTA---
   sucaraṇaviniviṣṭairnūpurairnartakīnāṃ jhaṇiti raṇitamāsīttatra citraṃ	su-caraNa-vinivizwEH-nUpurEH-nartakInAm JaNiti raNitam-AsIt-tatra citram
   kalaṃ ca /	kalam ca /
   atra ca tanmatānusāreṇa rasānusandhānamantareṇaiva	atra ca tad-mata-anusAreNa rasa-anusanDAnam-antareNa-eva
   śabdaprauḍhoktimātreṇaujaḥ /	Sabda-prOXa-ukti-mAtreNa-ojaH /
        ************* COMMENTARY *************	************* SOMMENTa-aRY *************
        Vijñapriyā:	VijQa-priyA:
        (vi, da) audāryyalakṣaṇamāha---udāhatā ceti /	(vi, da) OdAryya-lakzaNam-Aha---udAhatA ca-iti /
        nṛtyatprāyatā ca anubhavaikagamyā vaktumaśakyā udāharaṇe bodhyā /	nRtyat-prAyatA ca anuBava-eka-gamyAH vaktum-aSakyAH udAharaNe boDyA /
        svacaraṇeti /	sva-caraNa-iti /
        ayaṃ śṛṅgarīyaḥ ślokaḥ /	ayam SRFgarIyaH SlokaH /
        laghurephaśakāralpasamāsāśca tadīyamādhuryyavyañjakāḥ /	laGu-H-ePa-SakAralpa-samAsAH-ca tadIya-mADuryya-vyaQjakAH /
        tathāpi tanmate tādṛśarasānusandhānāt prāgeva śabdānāṃ	taTA-api tad-mate tAdRSa-rasa-anusanDAnAt prAk-eva SabdAnAm
   nṛtyatprāyatvarūpaprauḍhauktimātrajñānāt aujoguṇānubhāva ityāha---atra	nRtyat-prAya-tva-rUpa-prOXOkti-mAtra-jQAnAt OjaH-guNa-anuBAvaH iti-Aha---atra
   tanmate iti /	tad-mate iti /
        tathā cātra sṛṅgāranuguṇe 'pyetādṛśaprauḍhyā vyajyamāne aujasya	taTA ca-atra sRFgAranuguNe api-etAdRSa-prOXyAH vyajyamAne Ojasya
   smadukte audāryyasyāntabhārva iti bhāvaḥ /	smad-ukte OdAryyasya-anta-BArvaH iti BAvaH /
        ********** END OF COMMENTARY **********	********** END OF SOMMENTa-aRY **********
   prasāda ojomiśritaśauthilyātmā /	prasAdaH ojaH-miSrita-SOTilya-AtmA /
   yathā---	yaTA---
   "yo yaḥ śastraṃ bibharti svabhujagurumadāt pāṇḍavīnāṃ camūnām" iti /	"yaH yaH Sastram biBarti sva-Buja-guru-madAt pANxavInAm camU-nAm" iti /
        ************* COMMENTARY *************	************* SOMMENTa-aRY *************
        Vijñapriyā:	VijQa-priyA:
        (vi, dha) prasādaguṇalakṣaṇamāha---prasāda iti /	(vi, Da) prasAda-guNa-lakzaNam-Aha----prasAdaH iti /
        kaṭhinakomalavarṇamiśraṇamityarthaḥ /	kaWina-komala-varNa-miSraNam-iti-arTaH /
        yo ya iti prāg vyākhyātam /	yaH yaH iti prAk vyAKyAtam /
        atra kaṭhinavarṇānāmapi miśraṇādojasvitā /	atra kaWina-varNAnAm-api miSraNAt-ojasvitA /
        ********** END OF COMMENTARY **********	********** END OF SOMMENTa-aRY **********
   mādhuryavyañjakatvaṃ yadasamāsasya darśitam // VisSd_8.10 //	mADurya-vyaQjaka-tvam yat-asamAsasya darSitam // VisSd-_8.10 //
   pṛthakpadatvaṃ mādhuryaṃ tenaivāṅgīkṛtaṃ punaḥ /	pRTak-pada-tvam mADuryam tena-eva-aFgIkRtam punar /
        ************* COMMENTARY *************	************* SOMMENTa-aRY *************
        Vijñapriyā:	VijQa-priyA:
        (vi, na) mādhuryyalakṣaṇaṃ pṛthakpadatvaṃ taccāsmākaṃ	(vi, na) mADuryya-lakzaNam pRTak-pada-tvam tat-ca-asmAkam
   mādhuryyavyañjako 'samāsenāṅgīkṛtamityāha---mādhuryyeti /	mADuryyavyaQjakaH asamAsena-aFgIkRtam-iti-Aha----mADuryya-iti /
        śvāsān muñcatītyādāvasamāsaḥ /	SvAsAt muQcati-iti-AdO=-asamAsaH /
        Locanā:	LocanA:
        (lo, i) asamāsasya varṇitam---avṛttiralpavṛttirvetyanena /	(lo, i) asamAsasya varNitam----a-vRttiH-alpa-vRttiH-vA-iti-anena /
        ********** END OF COMMENTARY **********	********** END OF SOMMENTa-aRY **********
   yathā---"śvāsānmuñcati-" ityādi /	yaTA---"-SvAsAt-muQcati-" ityAdi /
   arthavyakteḥ prasādākhyaguṇenaiva parigrahaḥ // VisSd_8.11 //	arTa-vyakteH prasAda-AKya-guNena-eva parigrahaH // VisSd-_8.11 //
   arthavyaktiḥ padānāṃ hi jhaṭityarthasamarpaṇam /	arTa-vyaktiH padAnAm hi Jawiti-arTa-samarpaNam /
   spaṣṭamudāharaṇam /	spazwam-udAharaNam /
   grāmyaduḥ śravatātyāgātkāntiśca sukumāratā // VisSd_8.12 //	grAmyaduH Srava-tA-tyAgAt-kAntiH-ca sukumAra-tA // VisSd-_8.12 //
   aṅgīkṛteti sambandhaḥ /	aFgIkRtA-iti sambanDaH /
   tacca hālikādipadavinyāsavaiparītyenālaukikaśobhāśālitvam /	tat-ca hAlika-Adi-pada-vinyAsa-vEparItyena-alOkika-SoBA-SAli-tvam /
   sukumāratā apāruṣyam /	sukumAra-tA apAruzyam /
   anayorudāharaṇe spaṣṭe /	anayoH-udAharaNe spazwe /
        ************* COMMENTARY *************	************* SOMMENTa-aRY *************
        Vijñapriyā:	VijQa-priyA:
        (vi, pa) spaṣṭamudāharaṇamiti /	(vi, pa) spazwam-udAharaNam-iti /
        sūcimukhenetyādi prasādaguṇodāharaṇasyānyeṣāṃ ca bahūnāṃ	sUci-muKena-ityAdi prasAda-guNa-udAharaNasya-anyezAm ca bahUnAm
   tadudāharaṇatvāt /	tad-udAharaNa-tvAt /
        apāruṣyam aduḥ śravatvam /	apAruzyam aduH Srava-tvam /
        anayorudāharaṇe iti /	anayoH-udAharaNe iti /
        etaddoṣadvayarahitāḥ ślokā evetyarthaḥ /	etad-doza-dvaya-rahitAH SlokAH eva-iti-arTaH /
        Locanā:	LocanA:
        (lo, ī) kāntiryathā mama--- netre khañjanagañjane	(lo, I) kAntiH-yaTA mama-- netre KaQjana-gaQjane
   sarasijapratyarthipāṇidvayaṃ vakṣojau karikumbhavibhramakarīmatyunnatiṃ	sarasija-pratyarTi-pANi-dvayam vakzojO kari-kumBa-viBrama-karImati-unnatim
   gacchataḥ /	gacCataH /
        kāntiḥ kāñcanacampakapratinidhirvāṇī sudhāsparddhinī	kAntiH kAQcana-campaka-pratiniDiH-vANI suDA-spardDinI
   smerendīvaradāmasodaravapustasyāḥ kaṭākṣacchaṭā //	smera-indIvara-dAma-sodara-vapuH-tasyAH kawAkza=-CawA //
        ********** END OF COMMENTARY **********	********** END OF SOMMENTa-aRY **********
   kvaciddoṣastu samatā mārgābhedasvarūpiṇī /	kvacid-dozaH-tu sama-tA mArga-aBeda-svarUpiNI /
   anyathoktaguṇeṣvasyā antaḥ pāto yathāyatham // VisSd_8.13 //	anyaTA-ukta-guNezu-asyAH antar pAtaH yaTAyaTam // VisSd-_8.13 //
   masṛṇena vikaṭena vā mārgeṇopakrāntasya sandarbhasya tenaiva pariniṣṭhānaṃ	masRNena vikawena vA mArgeNa-upakrAntasya sandarBasya tena-eva parinizWAnam
   mārgābhedaḥ /	mArga-aBedaH /
   sa ca kvaciddoṣaḥ /	sa ca kvacid-dozaH /
   tathāhi---	taTA-hi---
   "avyūḍhāṅgamarūḍhapāṇijaṭharābhogaṃ ca bibhradvapuḥ pārīndraḥ śiśureṣa	"avyUXa-aFgama-rUXa-pANi-jaWara-ABogam ca biBrat-vapuH pAri-indraH SiSuH-eza
   pāṇipuṭake sammātu kiṃ tāvatā /	pANi-puwake sammAtu kim tAvatA /
   udyaddurdharagandhasindhuraśataproddāmadānārṇava- strotaḥ	udyat-durDara-ganDa-sinDura-Sata-proddAma-dAna-arNava strotaH
   śoṣaṇaroṣaṇātpunaritaḥ kalpāgniralpāyate" //	SozaNa-rozaNAt-punar-itaH kalpa-agniH-alpAyate" //
   atroddhater'the vācye sukumārabandhatyāgo guṇa eva /	atra-udDater-aTe vAcye sukumAra-banDa-tyAgaH guNaH eva /
   anevaṃvidhasthāne mādhuryādāvevāntaḥ pātaḥ /	anevaMviDa-sTAne mADurya-AdO=-eva-antar pAtaH /
   yathā---"latākuñjaṃ guñjan-" ityādi /	yaTA-a---"latA-kuQjam guQjan-" ityAdi /
        ************* COMMENTARY *************	************* SOMMENTa-aRY *************
        Vijñapriyā:	VijQa-priyA:
        (vi, pha) kvaciditi /	(vi, Pa) kvacid-iti /
        mārgābhedapradarśanī samatā kvaciddoṣaḥ /	mArga-aBeda-pradarSanI sama-tA kvacid-dozaH /
        anyatheti /	anyaTA-iti /
        atra tādṛśasthale tu samatā mādhuryyaujoguṇayoranyataraguṇa ityarthaḥ	atra tAdRSa-sTale tu sama-tA mADuryya-ojaH-guNayoH-anyatara-guNaH iti-arTaH
        vyācaṣṭe---masṛṇeneti /	vyAcazwe---masRNena-iti /
        avyūḍhāṅgamiti /	avyUXa-aFgam-iti /
        śisureṣaḥ pārīndraḥ siṃhaḥ avyūḍhāṅgam aprauḍhāvayavaṃ	SisuH-ezaH pAri-indraH siMhaH avyUXa-aFgam aprOXa-avayavam
   pāṇijaṭharāṇāmābhogena paripūrṇatayā rahitaṃ ta vapuḥ dadhat, kṣudratayā	pANi-jaWarANAm-ABogena paripUrNa-tayA rahitam te vapuH daDat, kzudratayA
   pāṇipuṭake sammātu /	pANi-puwake sammAtu /
        etāvatā kim ito dṛśyamānāt prodyatāṃ durddharagandhānāṃ	etAvatA kim itas dRSyamAnAt prodyatAm durdDara-ganDAnAm
   sindhuraśatasya hastiśatasya proddāmadānārṇavānāṃ śoṣaṇāt punaḥ	sinDura-Satasya hasti-Satasya proddAma-dAna-arNavAnAm SozaNAt punar-
   kalpāgniralpāyate /	kalpa-agniH-alpAyate /
        anevaṃvidheti /	anevaMviDA-iti /
        anuddhate vācye ityarthaḥ /	anudDate vAcye iti-arTaH /
        doṣastu prakṛtiviparyyayarūpobodhyaḥ /	dozaH-tu prakRti-viparyyaya-rUpaH-boDyaH /
        ********** END OF COMMENTARY **********	********** END OF SOMMENTa-aRY **********
   ojaḥ prasādo mādhuryaṃ saukumāryamudāratā /	ojaH prasAdaH mADuryam sOkumAryam-udAra-tA /
   tadabhāvasya doṣatvātsvīkṛtā arthagā guṇāḥ // VisSd_8.14 //	tad-aBAvasya doza-tvAt-svIkRtAH arTa-gAH guNAH // VisSd-_8.14 //
        ************* COMMENTARY *************	************* SOMMENTa-aRY *************
        Vijñapriyā:	VijQa-priyA:
