   1. brahmakāṇḍam	1. brahma-kANxam
   kriyāpadānuṣaktas tu % saṃbandho 'tha pratīyate // 2.114 //	kriyA-pada-anuzaktaH tu % saMbanDaH aTa pratIyate // 2.114 //
   āvṛttir anuvādo vā $ padārthavyaktikalpane &	AvRttiH anuvAdaH vA $ padArTa-vyakti-kalpane &
   pratyekaṃ tu samāpto 'rthaḥ % sahabhūteṣu vartate // 2.115 //	pratyekam tu samAptaH arTaH % saha-BUtezu vartate // 2.115 //
   avikalpitavākyārthe $ vikalpā bhāvanāśrayāḥ &	avikalpita-vAkya-arTe $ vikalpAH BAvanA-ASrayAH &
   atrādhikaraṇe vādāḥ % pūrveṣāṃ bahudhā matāḥ // 2.116 //	atra-aDikaraNe vAdAH % pUrvezAm bahuDA matAH // 2.116 //
   abhyāsāt pratibhāhetuḥ $ sarvaḥ śabdo 'paraiḥ smṛtaḥ &	aByAsAt pratiBA-hetuH $ sarvaH SabdaH aparEH smRtaH &
   bālānāṃ ca tiraścāṃ ca % yathārthapratipādane // 2.117 //	bAlAnAm ca tiraScAm ca % yaTA-arTa-pratipAdane // 2.117 //
   anāgamaś ca so 'bhyāsaḥ $ samayaḥ kaiś cid iṣyate &	anAgamaH ca saH aByAsaH $ samayaH kEH cit izyate &
   anantaram idaṃ kāryam % asmād ity upadarśakaḥ // 2.118 //	anantaram idam kAryam % asmAt iti upadarSakaH // 2.118 //
   asty arthaḥ sarvaśabdānāṃ $ iti pratyāyyalakṣaṇam &	asti arTaH sarva-SabdAnAm $ iti pratyAyya-lakzaNam &
   apūrvadevatāsvargaiḥ % samam āhur gavādiṣu // 2.119 //	apUrva-devatA-svargEH % samam AhuH gavA-Adizu // 2.119 //
   prayogadarśanābhyāsād $ ākārāvagrahas tu yaḥ &	prayoga-darSana-aByAsAt $ AkAra-avagrahaH tu yaH &
   na sa śabdasya viṣayaḥ % sa hi yatnāntarāśrayaḥ // 2.120 //	na sa Sabdasya vizayaH % sa hi yatna-antara-ASrayaH // 2.120 //
   ke cid bhedāḥ prakāśyante $ śabdais tadabhidhāyibhiḥ &	ke cit BedAH prakASyante $ SabdEH tad-aBiDAyiBiH &
   anuniṣpādinaḥ kāṃś cic % chabdārthān iti manyate // 2.121 //	anunizpAdinaH kAn cit % Cabda-arTAn iti manyate // 2.121 //
   jāteḥ pratyāyake śabde $ yā vyaktir anuṣaṅgiṇī &	jAteH pratyAyake Sabde $ yA vyaktiH anuzaFgiNI &
   na tadvyaktigatān bhedāñ % jātiśabdo 'valambate // 2.122 //	na tad-vyakti-gatAn BedAn % jAti-SabdaH avalambate // 2.122 //
   ghaṭādīnāṃ na cākārān $ pratyāyayati vācakaḥ &	Gawa-AdInAm na ca-AkArAn $ pratyAyayati vAcakaH &
   vastumātraniveśitvāt % tadgatir nāntarīyakā // 2.123 //	vastu-mAtra-niveSi-tvAt % tad-gatiH na-antarIyakAH // 2.123 //
   kriyā vinā prayogeṇa $ na dṛṣṭā śabdacoditā &	kriyA vinA prayogeNa $ na dRzwA Sabda-coditA &
   prayogas tv anuniṣpādī % śabdārtha iti gamyate // 2.124 //	prayogaH tu anunizpAdI % Sabda-arTaH iti gamyate // 2.124 //
   niyatās tu prayogā ye $ niyataṃ yac ca sādhanam &	niyatAH tu prayogAH ye $ niyatam yat ca sADanam &
   teṣāṃ śabdābhidheyatvam % aparair anugamyate // 2.125 //	tezAm Sabda-aBiDeya-tvam % aparEH anugamyate // 2.125 //
   samudāyo 'bhidheyo vāpy $ avikalpasamuccayaḥ &	samudAyaH aBiDeyaH vA-api $ avikalpa-samuccayaH &
   asatyo vāpi saṃsargaḥ % śabdārthaḥ kaiś cid iṣyate // 2.126 //	asatyaH vA-api saMsargaH % Sabda-arTaH kEH cit izyate // 2.126 //
   asatyopādhi yat satyaṃ $ tad vā śabdanibandhanām &	asatya-upADi yat satyam $ tat vA Sabda-nibanDanAm &
   śabdo vāpy abhijalpatvam % āgato yāti vācyataṃ // 2.127 //	SabdaH vA-api aBijalpa-tvam % AgataH yAti vAcyatam // 2.127 //
   so 'yam ity abhisaṃbandhād $ rūpam ekīkṛtaṃ yadā &	saH ayam iti aBisaMbanDAt $ rUpam ekIkRtam yadA &
   śabdasyārthena taṃ śabdam % abhijalpaṃ pracakṣate // 2.128 //	Sabdasya-arTena tam Sabdam % aBijalpam pracakzate // 2.128 //
   tayor apṛthagātmatve $ rūḍhir avyabhicāriṇī &	tayoH apRTak-Atma-tve $ rUXiH avyaBicAriNI &
   kiṃ cid eva kva cid rūpaṃ % prādhānyenāvatiṣṭhate // 2.129 //	kim cit eva kva cit rUpam % prADAnyena-avatizWate // 2.129 //
   loke 'rtharūpatāṃ śabdaḥ $ pratipannaḥ pravartate &	loke arTa-rUpa-tAm SabdaH $ pratipannaH pravartate &
   śāstre tūbhayarūpatvaṃ % pravibhaktaṃ vivakṣayā // 2.130 //	SAstre tu-uBaya-rUpa-tvam % praviBaktam vivakzayA // 2.130 //
   aśakteḥ sarvaśakter vā $ śabdair eva prakalpitā &	aSakteH sarva-SakteH vA $ SabdEH eva prakalpitA &
   ekasyārthasya niyatā % kriyādiparikalpanā // 2.131 //	ekasya-arTasya niyatA % kriyA-Adi-parikalpanA // 2.131 //
   yo vārtho buddhiviṣayo $ bāhyavastunibandhanaḥ &	yaH vA-arTaH budDi-vizayaH $ bAhya-vastu-nibanDanaH &
   sa bāhyaṃ vastv iti jñātaḥ % śabdārtha iti gamyate // 2.132 //	sa bAhyam vastu iti jQAtaH % Sabda-arTaH iti gamyate // 2.132 //
   ākāravantaḥ saṃvedyā $ vyaktismṛtinibandhanāḥ &	AkAravantaH saMvedyAH $ vyakti-smRti-nibanDanAH &
   ete pratyavabhāsante % saṃvinmātraṃ tv ato 'nyathā // 2.133 //	ete pratyavaBAsante % saMvid-mAtram tu atas anyaTA // 2.133 //
   yathendriyaṃ saṃnipatad $ vaicitryeṇopadarśakam &	yaTA-indriyam saMnipatat $ vEcitryeNa-upadarSakam &
   tathaiva śabdād arthasya % pratipattir anekadhā // 2.134 //	taTA-eva SabdAt arTasya % pratipattiH anekaDA // 2.134 //
   vaktrānyathaiva prakrānto $ bhinneṣu pratipattṛṣu &	vaktrAni-aTA-eva prakrAntaH $ Binnezu pratipattRzu &
   svapratyayānukāreṇa % śabdārthaḥ pravibhajyate // 2.135 //	sva-pratyaya-anukAreNa % Sabda-arTaH praviBajyate // 2.135 //
   asminn api dṛśye 'rthe $ darśanaṃ bhidyate pṛthak &	asmin api dRSye arTe $ darSanam Bidyate pRTak &
   kālāntareṇa caiko 'pi % taṃ paśyaty anyathā punaḥ // 2.136 //	kAla-antareNa ca-ekaH api % tam paSyati anyaTA punar // 2.136 //
   ekasyāpi ca śabdasya $ nimittair avyavasthitaiḥ &	ekasya-api ca Sabdasya $ nimittEH avyavasTitEH &
   ekena bahubhiś cārtho % bahudhā parikalpyate // 2.137 //	ekena bahuBiH ca-arTaH % bahuDA parikalpyate // 2.137 //
   tasmād adṛṣṭatattvānāṃ $ sāparādhaṃ bahucchalam &	tasmAt adRzwa-tattvAnAm $ sa-aparADam bahu=-Calam &
   darśanaṃ vacanaṃ vāpi % nityam evānavasthitam // 2.138 //	darSanam vacanam vA-api % nityam eva-anavasTitam // 2.138 //
   ṛṣīṇāṃ darśanaṃ yac ca $ tattve kiṃ cid avasthitam &	RzINAm darSanam yat ca $ tattve kim cit avasTitam &
   na tena vyavahāro 'sti % na tac chabdanibandhanam // 2.139 //	na tena vyavahAraH asti % na tat Sabda-nibanDanam // 2.139 //
   talavad dṛśyate vyoma $ khadyoto havyavāḍ iva &	tala-vat dRSyate vyoma $ KadyotaH havyavAw iva &
   naiva cāsti talaṃ vyomni % na khadyote hutāśanaḥ // 2.140 //	na-eva ca-asti talam vyomni % na Kadyote hutASanaH // 2.140 //
   tasmāt pratyakṣam apy arthaṃ $ vidvān īkṣeta yuktitaḥ &	tasmAt pratyakzam api arTam $ vidvAn Ikzeta yuktitaH &
   na darśanasya prāmāṇyād % dṛśyam arthaṃ prakalpayet // 2.141 //	na darSanasya prAmANyAt % dRSyam arTam prakalpayet // 2.141 //
   asamākhyeyatattvānām $ arthānāṃ laukikair yathā &	asamAKyeya-tattvAnAm $ arTAnAm lOkikEH yaTA &
   vyavahāre samākhyānaṃ % tat prajño na vikalpayet // 2.142 //	vyavahAre samAKyAnam % tat prajQaH na vikalpayet // 2.142 //
   vicchedagrahaṇe 'rthānāṃ $ pratibhānyaiva jāyate &	vicCeda-grahaNe arTAnAm $ pratiBAnyA-eva jAyate &
   vākyārtha iti tām āhuḥ ē̃ % padārthair upapāditām // 2.143 //	vAkya-arTaH iti tAm AhuH ē̃ % padArTEH upapAditAm // 2.143 //
   idaṃ tad iti sānyeṣām $ anākhyeyā kathaṃ ca na &	idam tat iti sA-anyezAm $ anAKyeyA kaTam ca na &
   pratyātmavṛtti siddhā sā % kartrāpi na nirūpyate // 2.144 //	pratyAtma-vRtti sidDA sA % kartrA-api na nirUpyate // 2.144 //
   upaśleṣam ivārthānāṃ $ sā karoty avicāritā &	upaSlezam iva-arTAnAm $ sA karoti avicAritA &
   sārvarūpyam ivāpannā % viṣayatvena vartate // 2.145 //	sArvarUpyam iva-ApannA % vizaya-tvena vartate // 2.145 //
   sākṣāc chabdena janitāṃ $ bhāvanānugamena vā &	sAkzAt Sabdena janitAm $ BAvanA-anugamena vA &
   itikartavyatāyāṃ tāṃ % na kaś cid ativartate // 2.146 //	itikartavya-tAyAm tAm % na kaH cit ativartate // 2.146 //
   pramāṇatvena tāṃ lokaḥ $ sarvaḥ samanugacchati &	pramANa-tvena tAm lokaH $ sarvaH samanugacCati &
   samārambhāḥ pratāyante % tiraścām api tadvaśāt // 2.147 //	samAramBAH pratAyante % tiraScAm api tad-vaSAt // 2.147 //
   yathā dravyaviśeṣāṇāṃ $ paripākair ayatnajāḥ &	yaTA dravya-viSezANAm $ paripAkEH ayatna-jAH &
   madādiśaktayo dṛṣṭāḥ % pratibhās tadvatāṃ tathā // 2.148 //	mad-Adi-SaktayaH dRzwAH % pratiBAH tadvatAm taTA // 2.148 //
   svaravṛttiṃ vikurute $ madhau puṃskokilasya kaḥ &	svara-vRttim vikurute $ maDO puMskokilasya kaH &
   jantvādayaḥ kulāyādi- % karaṇe śikṣitāḥ katham // 2.149 //	jantu-AdayaH kulAya-Adi % karaNe SikzitAH kaTam // 2.149 //
   āhāraprītyapadveṣa- $ plavanādikriyāsu kaḥ &	AhAra-prIti-apadveza $ plavana-Adi-kriyAsu kaH &
   jātyanvayaprasiddhāsu % prayoktā mṛgapakṣiṇām // 2.150 //	jAti-anvaya-prasidDAsu % prayoktA mRga-pakziNAm // 2.150 //
   bhāvanānugatād etad $ āgamād eva jāyate &	BAvanA-anugatAt etat $ AgamAt eva jAyate &
   āsattiviprakarṣābhyām % āgamas tu viśiṣyate // 2.151 //	Asatti-viprakarzAByAm % AgamaH tu viSizyate // 2.151 //
   svabhāvavaraṇābhyāsa- $ yogādṛṣṭopapāditām &	svaBAva-varaNa-aByAsa $ yoga-adRzwa-upapAditAm &
   viśiṣṭopahitāṃ ceti % pratibhāṃ ṣaḍvidhāṃ viduḥ // 2.152 //	viSizwa-upahitAm ca-iti % pratiBAm zaxviDAm viduH // 2.152 //
   yathā saṃyogibhir dravyair $ lakṣite 'rthe prayujyate &	yaTA saMyogiBiH dravyEH $ lakzite arTe prayujyate &
   gośabdo na tv asau teṣāṃ % viśeṣāṇāṃ prakāśakaḥ // 2.153 //	go-SabdaH na tu asO tezAm % viSezANAm prakASakaH // 2.153 //
   ākāravarṇāvayavaiḥ $ saṃsṛṣṭeṣu gavādiṣu &	AkAra-varNa-avayavEH $ saMsRzwezu gavA-Adizu &
   śabdaḥ pravartamāno 'pi % na tān aṅgīkaroty asau // 2.154 //	SabdaH pravartamAnaH api % na tAn aFgIkaroti asO // 2.154 //
   saṃsthānavarṇāvayavair $ viśiṣṭe 'rthe prayujyate &	saMsTAna-varNa-avayavEH $ viSizwe arTe prayujyate &
   śabdo na tasyāvayave % pravṛttir upalabhyate // 2.155 //	SabdaH na tasya-avayave % pravRttiH upalaByate // 2.155 //
   durlabhaṃ kasya cil loke $ sarvāvayavadarśanam &	durlaBam kasya cit loke $ sarva-avayava-darSanam &
   kaiś cit tv avayavair dṛṣṭair % arthaḥ kṛtsno 'numīyate // 2.156 //	kEH cit tu avayavEH dRzwEH % arTaH kRtsnaH anumIyate // 2.156 //
   tathā jātyutpalādīnāṃ $ gandhena sahacāriṇām &	taTA jAti-utpala-AdInAm $ ganDena sahacAriNAm &
   nityasaṃbandhināṃ dṛṣṭaṃ % guṇānām avadhāraṇam // 2.157 //	nitya-saMbanDinAm dRzwam % guNAnAm avaDAraNam // 2.157 //
   saṃkhyāpramāṇasaṃsthāna- $ nirapekṣaḥ pravartate &	saMKyA-pramANa-saMsTAna $ nirapekzaH pravartate &
   bindau ca samudāye ca % vācakaḥ salilādiṣu // 2.158 //	bindO ca samudAye ca % vAcakaH salila-Adizu // 2.158 //
   saṃskārādiparicchinne $ tailādau yo vyavasthitaḥ &	saMskAra-Adi-paricCinne $ tEla-AdO yaH vyavasTitaH &
   āhaikadeśaṃ tattvena % tasyāvayavavartinā // 2.159 //	Aha-eka-deSam tattvena % tasya-avayava-vartinA // 2.159 //
   yenārthenābhisaṃbaddham $ abhidhānaṃ prayujyate &	yena-arTena-aBisaMbadDam $ aBiDAnam prayujyate &
   tadarthāpagame tasya % prayogo vinivartate // 2.160 //	tad-arTa-apagame tasya % prayogaH vinivartate // 2.160 //
   yāṃs tu saṃbhavino dharmān $ antarṇīya prayujyate &	yAn tu saMBavinaH DarmAn $ antarNIya prayujyate &
   śabdas teṣāṃ na sāṃnidhyaṃ % niyamena vyapekṣate // 2.161 //	SabdaH tezAm na sAMniDyam % niyamena vyapekzate // 2.161 //
   yathā romaśaphādīnāṃ $ vyabhicāre 'pi dṛśyate &	yaTA roma-SaPa-AdInAm $ vyaBicAre api dRSyate &
   gośabdo na tathā jāter % viprayoge pravartate // 2.162 //	go-SabdaH na taTA jAteH % viprayoge pravartate // 2.162 //
   tasmāt saṃbhavino 'rthasya $ śabdāt saṃpratyaye sati &	tasmAt saMBavinaH arTasya $ SabdAt saMpratyaye sati &
   adṛṣṭaviprayogārthaḥ % saṃbandhitvena gamyate // 2.163 //	adRzwa-viprayoga-arTaH % saMbanDi-tvena gamyate // 2.163 //
   vācikā dyotikā vā syur $ dvitvādīnāṃ vibhaktayaḥ &	vAcikA dyotikAH vA syuH $ dvi-tva-AdInAm viBaktayaH &
   syād vā saṃkhyāvato 'rthasya % samudāyo 'bhidhāyakaḥ // 2.164 //	syAt vA saMKyAvataH arTasya % samudAyaH aBiDAyakaH // 2.164 //
   vinā saṃkhyābhidhānād vā $ saṃkhyābhedasamanvitān &	vinA saMKyA-aBiDAnAt vA $ saMKyA-Beda-samanvitAn &
   arthān svarūpabhedena % kāṃś cid āhur gavādayaḥ // 2.165 //	arTAn svarUpa-Bedena % kAn cit AhuH gavA-AdayaH // 2.165 //
   ye śabdā nityasaṃbandhā $ viveke jñātaśaktayaḥ &	ye SabdAH nitya-saMbanDAH $ viveke jQAta-SaktayaH &
   anvayavyatirekābhyāṃ % teṣām artho vibhajyate // 2.166 //	anvaya-vyatirekAByAm % tezAm arTaH viBajyate // 2.166 //
   yāvac cāvyabhicāreṇa $ tayoḥ śakyaṃ prakalpanam &	yAvat ca-avyaBicAreNa $ tayoH Sakyam prakalpanam &
   niyamas tatra na tv evaṃ % niyamo nuṭśabādiṣu // 2.167 //	niyamaH tatra na tu evam % niyamaH nuz-Saba-Adizu // 2.167 //
   saṃbhave nābhidhānasya $ lakyaṇatvaṃ prakalpate &	saMBave na-aBiDAnasya $ lakyaNa-tvam prakalpate &
   āpekṣikyo hi saṃsarge % niyatāḥ śabdaśaktayaḥ // 2.168 //	ApekzikyaH hi saMsarge % niyatAH Sabda-SaktayaH // 2.168 //
   kūpasūpayūpānām $ anvayo 'rthasya dṛśyate &	kUpa-sUpa-yUpAnAm $ anvayaH arTasya dRSyate &
   ato 'rthāntaravācitvaṃ % saṃghātasyaiva gamyate // 2.169 //	atas arTa-antara-vAci-tvam % saMGAtasya-eva gamyate // 2.169 //
   anvākhyānāni bhidyante $ śabdavyutpattikarmasu &	anvAKyAnAni Bidyante $ Sabda-vyutpatti-karmasu &
   bahūnāṃ saṃbhave 'rthānāṃ % nimittaṃ kiṃ cid iṣyate // 2.170 //	bahUnAm saMBave arTAnAm % nimittam kim cit izyate // 2.170 //
   vairavāsiṣṭhagiriśās $ tathaikāgārikāda yaḥ &	vEra-vAsizWa-giriSAH $ taTA-ekAgArikAda yaH &
   kaiś cit kathaṃ cid ākhyātā % nimittāvadhisaṃkaraiḥ // 2.171 //	kEH cit kaTam cit AKyAtA % nimitta-avaDi-saMkarEH // 2.171 //
   yathā pathaḥ samākhyānaṃ $ vṛkṣavalmīkaparvataiḥ &	yaTA paTaH samAKyAnam $ vRkza-valmIka-parvatEH &
   aviruddhaṃ gavādīnāṃ % bhinnaiś ca sahacāribhiḥ // 2.172 //	avirudDam gavA-AdInAm % BinnEH ca sahacAriBiH // 2.172 //
   anyathā ca samākhyānam $ avasthābhedadarśibhiḥ &	anyaTA ca samAKyAnam $ avasTA-Beda-darSiBiH &
   kriyate kiṃśukādīnām % ekadeśāvadhāraṇam // 2.173 //	kriyate kiMSuka-AdInAm % eka-deSa-avaDAraNam // 2.173 //
   kaiś cin nirvacanaṃ bhinnaṃ $ girater garjater gameḥ &	kEH cit nirvacanam Binnam $ girateH garjateH gameH &
   gavater gadater vāpi % gaur ity atrānudarśitam // 2.174 //	gavateH gadateH vA-api % gOH iti atra-anudarSitam // 2.174 //
   gaur ity eva svarūpād vā $ gośabdo goṣu vartate &	gOH iti eva svarUpAt vA $ go-SabdaH gozu vartate &
   vyutpādyate na vā sarvaṃ % kaiś cic cobhayatheṣyate // 2.175 //	vyutpAdyate na vA sarvam % kEH cit ca-uBayaTa-izyate // 2.175 //
   sāmānyenopadeśaś ca $ śāstre laghvartham āśritaḥ &	sAmAnyena-upadeSaH ca $ SAstre laGu-arTam ASritaH &
   jātyantaravad anyasya % viśeṣāḥ pratipādakāḥ // 2.176 //	jAti-antara-vat anyasya % viSezAH pratipAdakAH // 2.176 //
   arthāntare ca yad vṛttaṃ $ tat prakṛtyantaraṃ viduḥ &	arTa-antare ca yat vRttam $ tat prakRti-antaram viduH &
   tulyarūpaṃ na tad rūḍhāv % anyasminn anuṣajyate // 2.177 //	tulya-rUpam na tat rUXO % anyasmin anuzajyate // 2.177 //
   bhinnāv ijiyajī dhātū $ niyatau viṣayāntare &	BinnO ijiyajI DAtU $ niyatO vizaya-antare &
   kaiś cit kathaṃ cid uddiṣṭau % citraṃ hi pratipādanam // 2.178 //	kEH cit kaTam cit uddizwO % citram hi pratipAdanam // 2.178 //
   evaṃ ca vālavāyādi $ jitvarīvad upācaret &	evam ca vAlavAya-Adi $ jitvarI-vat upAcaret &
   bhedābhedābhyupagame % na virodho 'sti kaś ca na // 2.179 //	Beda-aBeda-aByupagame % na viroDaH asti kaH ca na // 2.179 //
   aḍādīnāṃ vyavasthārthaṃ $ pṛthaktvena prakalpanam &	axa-AdInAm vyavasTA-arTam $ pRTaktvena prakalpanam &
   dhātūpasargayoḥ śāstre % dhātur eva tu tādṛśaḥ // 2.180 //	DAtu-upasargayoH SAstre % DAtuH eva tu tAdRSaH // 2.180 //
   tathā hi saṃgrāmayateḥ $ sopasargād vidhiḥ smṛtaḥ &	taTA hi saMgrAmayateH $ sa-upasargAt viDiH smRtaH &
   kriyāviśeṣāḥ saṃghāte % prakramyante tathāvidhāḥ // 2.181 //	kriyA-viSezAH saMGAte % prakramyante taTAviDAH // 2.181 //
   kāryāṇām antaraṅgatvam $ evaṃ dhātūpasargayoḥ &	kAryANAm antaraFga-tvam $ evam DAtu-upasargayoH &
   sādhanair yāti saṃbandhaṃ % tathābhūtaiva sā kriyā // 2.182 //	sADanEH yAti saMbanDam % taTABUtA-eva sA kriyA // 2.182 //
   prayogārheṣu siddhaḥ san $ bhettavyo 'rtho viśiṣyate &	prayoga-arhezu sidDaH san $ BettavyaH arTaH viSizyate &
   prāk ca sādhanasaṃbandhāt % kriyā naivopajāyate // 2.183 //	prAk ca sADana-saMbanDAt % kriyA na-eva-upajAyate // 2.183 //
   dhātoḥ sādhanayogasya $ bhāvinaḥ prakramād yathā &	DAtoH sADana-yogasya $ BAvinaH prakramAt yaTA &
   dhātutvaṃ karmabhāvaś ca % tathānyad api dṛśyatām // 2.184 //	DAtu-tvam karma-BAvaH ca % taTA-anyat api dRSyatAm // 2.184 //
   bījakāleṣu saṃbandhād $ yathā lākṣārasādayaḥ &	bIja-kAlezu saMbanDAt $ yaTA lAkzA-rasa-AdayaH &
   varṇādipariṇāmena % phalānām upakurvate // 2.185 //	varNa-Adi-pariNAmena % PalAnAm upakurvate // 2.185 //
   buddhisthād abhisaṃbandhāt $ tathā dhātūpasargayoḥ &	budDi-sTAt aBisaMbanDAt $ taTA DAtu-upasargayoH &
   abhyantarīkṛtād bhedaḥ % padakāle prakāśate // 2.186 //	aByantarIkRtAt BedaH % pada-kAle prakASate // 2.186 //
   kva cit saṃbhavino bhedāḥ $ kevalair anidarśitāḥ &	kva cit saMBavinaH BedAH $ kevalEH anidarSitAH &
   upasargeṇa saṃbandhe % vyajyante pranirādinā // 2.187 //	upasargeNa saMbanDe % vyajyante pranirAdinA // 2.187 //
   sa vācako viśeṣāṇāṃ $ saṃbhavād dyotako 'pi vā &	sa vAcakaH viSezANAm $ saMBavAt dyotakaH api vA &
   śaktyādhānāya vā dhātoḥ % sahakārī prayujyate // 2.188 //	Sakti-ADAnAya vA DAtoH % sahakArI prayujyate // 2.188 //
   sthādibhiḥ kevalair yac ca $ gamanādi na gamyate &	sTAdiBiH kevalEH yat ca $ gamana-Adi na gamyate &
   tatrānumānād dvividhāt % taddharmā prādir ucyate // 2.189 //	tatra-anumAnAt dviviDAt % tat-DarmA prAdiH ucyate // 2.189 //
   aprayoge 'dhiparyoś ca $ yāvad dṛṣṭaṃ kriyāntaram &	aprayoge aDiparyoH ca $ yAvat dRzwam kriyA-antaram &
   tasyābhidhāyako dhātuḥ % saha tābhyām anarthakaḥ // 2.190 //	tasya-aBiDAyakaH DAtuH % saha tAByAm anarTakaH // 2.190 //
   tathaiva svārthikāḥ ke cit $ saṃghātāntaravṛttayaḥ &	taTA-eva svArTikAH ke cit $ saMGAta-antara-vRttayaH &
   anarthakena saṃsṛṣṭāḥ % prakṛtyarthānuvādinaḥ // 2.191 //	anarTakena saMsRzwAH % prakRti-arTa-anuvAdinaH // 2.191 //
   nipātā dyotakāḥ ke cit $ pṛthagarthaprakalpane &	nipAtAH dyotakAH ke cit $ pRTak-arTa-prakalpane &
   āgamā iva ke cit tu % saṃbhūyārthasya sādhakāḥ // 2.192 //	AgamAH iva ke cit tu % saMBUya-arTasya sADakAH // 2.192 //
   upariṣṭāt purastād vā $ dyotakatvaṃ na bhidyate &	uparizwAt purastAt vA $ dyotaka-tvam na Bidyate &
   teṣu prayujyamāneyu % bhinnārtheṣv api sarvathā // 2.193 //	tezu prayujyamAneyu % Binna-arTezu api sarvaTA // 2.193 //
   cādayo na prayujyante $ padatve sati kevalāḥ &	ca-AdayaH na prayujyante $ padatve sati kevalAH &
   pratyayo vācakatve 'pi % kevalo na prayujyate // 2.194 //	pratyayaH vAcaka-tve api % kevalaH na prayujyate // 2.194 //
   samuccitābhidhāne tu $ vyatireko na vidyate &	samuccita-aBiDAne tu $ vyatirekaH na vidyate &
   asattvabhūto bhāvaś ca % tiṅpadair abhidhīyate // 2.195 //	asattva-BUtaH BAvaH ca % tiFpadEH aBiDIyate // 2.195 //
   samuccitābhidhāne 'pi $ viśiṣṭārthābhidhāyinām &	samuccita-aBiDAne api $ viSizwa-arTa-aBiDAyinAm &
   guṇaiḥ padānāṃ saṃbandhaḥ % paratantrās tu cādayaḥ // 2.196 //	guNEH padAnAm saMbanDaH % paratantrAH tu ca-AdayaH // 2.196 //
   janayitvā kriyā kā cit $ saṃbandhaṃ vinivartate &	janayitvA kriyA kA cit $ saMbanDam vinivartate &
   śrūyamāṇe kriyāśabde % saṃbandho jāyate kva cit // 2.197 //	SrUyamANe kriyA-Sabde % saMbanDaH jAyate kva cit // 2.197 //
   tatra ṣaṣthī pratipadaṃ $ samāsasya nivṛttaye &	tatra zazTI pratipadam $ samAsasya nivRttaye &
   vihitā darśanārthaṃ tu % kārakaṃ pratyudāhṛtam // 2.198 //	vihitAH darSana-arTam tu % kArakam pratyudAhRtam // 2.198 //
   sa copajātaḥ saṃbandho $ vinivṛtte kriyāpade &	sa ca-upajAtaH saMbanDaH $ vinivRtte kriyA-pade &
   karmapravacanīyena % tatra tatra niyamyate // 2.199 //	karma-pravacanIyena % tatra tatra niyamyate // 2.199 //
   yena kriyāpadākṣepaḥ $ sa kārakavibhaktibhiḥ &	yena kriyA-padAkzepaH $ sa kAraka-viBaktiBiH &
   yujyate vir yathā tasya % likhāv anupasargatā // 2.200 //	yujyate viH yaTA tasya % liKO anupasarga-tA // 2.200 //
   tiṣṭhater aprayogaś ca $ dṛṣṭo 'praty ajayann iti &	tizWateH aprayogaH ca $ dRzwaH aprati ajayan iti &
   sunv abhīty ābhimukhye ca % kevalo 'pi prayujyate // 2.201 //	sunu aBi-iti ABimuKye ca % kevalaH api prayujyate // 2.201 //
   karmapravacanīyatvaṃ $ kriyāyoge vidhīyate &	karma-pravacanIya-tvam $ kriyA-yoge viDIyate &
   ṣatvādivinivṛttyarthaṃ % svatyādīnāṃ vidharmaṇām // 2.202 //	zatu-Adi-vinivRtti-arTam % svati-AdInAm viDarmaNAm // 2.202 //
   hetuhetumator yoga- $ paricchede 'nunā kṛte &	hetu-hetumatoH yoga $ paricCede anunA kRte &
   ārambhād bādhyate prāptā % tṛtīyā hetulakṣaṇā // 2.203 //	AramBAt bADyate prAptA % tRtIyA hetu-lakzaNAH // 2.203 //
   kriyāyā dyotako nāyaṃ $ na saṃbandhasya vācakaḥ &	kriyAyAH dyotakaH na-ayam $ na saMbanDasya vAcakaH &
   nāpi kriyāpadākṣepī % saṃbandhasya tu bhedakaḥ // 2.204 //	na-api kriyA-padAkzepI % saMbanDasya tu BedakaH // 2.204 //
   anarthakānāṃ saṃghātaḥ $ sārthako 'narthakas tathā &	anarTakAnAm saMGAtaH $ sArTakaH anarTakaH taTA &
   varṇānāṃ padam arthena % yuktaṃ nāvayavāḥ pade // 2.205 //	varNAnAm padam arTena % yuktam na-avayavAH pade // 2.205 //
   padānām arthayuktānāṃ $ saṃghāto bhidyate punaḥ &	padAnAm arTa-yuktAnAm $ saMGAtaH Bidyate punar &
   arthāntarāvabodhena % saṃbandhavigamena ca // 2.206 //	arTa-antara-avaboDena % saMbanDa-vigamena ca // 2.206 //
   sārthakānarthakau bhede $ saṃbandhaṃ nādhigacchataḥ &	sArTaka-anarTakO Bede $ saMbanDam na-aDigacCataH &
   adhigacchata ity eke % kuṭīrādinidarśanāt // 2.207 //	aDigacCate iti eke % kuwIra-Adi-nidarSanAt // 2.207 //
   arthavadbhyo viśiṣṭārthaḥ $ saṃghāta upajāyate &	arTavadByaH viSizwa-arTaH $ saMGAtaH upajAyate &
   nopajāyata ity eke % samāsasvārthikādiṣu // 2.208 //	na-upajAyate iti eke % samAsa-svArTika-Adizu // 2.208 //
   ke cid dhi yutasiddhārthā $ bhede nirjñātaśaktayaḥ &	ke cit Di yuta-sidDArTAH $ Bede nirjQAta-SaktayaH &
