   Larger Prajñāpāramitā	LargeH PrajQApAramitA
   yāvanta upariṣṭāddiśi buddhā bhagavantas tiṣṭhanti dṛyante yāpayanti tān	yAvantaH uparizwAt-diSi budDAH BagavantaH tizWanti dRyante yApayanti tAn
   sarvān satkurvaṃ gurukurvan mānayan pūjayan* puṣpair mālyair gandhair	sarvAn satkurvam gurukurvan mAnayan pUjayan* puzpEH mAlyEH ganDEH-
   vilepanair yāvac chatradhvajapatākābhiḥ mahatyā bodhisatvardhyā mahatā	vilepanEH yAvat Satra-Dvaja-patAkABiH mahatyA boDisatvarDyA mahatA
   bodhisatvānubhāvena | yena bhagavāṃc chākyamunis tathāgato 'rhan	boDisatva-anuBAvena | yena BagavAn SAkya-muniH taTAgataH arhan
   samyaksaṃbuddhas tenopasaṃkrānta upasaṃkramya bhagavataḥ śākyamunes	samyaksaMbudDaH tena-upasaMkrAntaH upasaMkramya BagavataH SAkya-muneH-
   tathāgatasyārhataḥ samyaksaṃbuddhasya pādau śirasā vanditvaikānte 'sthād	taTAgatasya-arhataH samyaksaMbudDasya pAdO SirasA vanditvA-ekAnte asTAd
   ekāntasthitaḥ nandadatto bodhisatvo mahāsatvo bhagavantam etad avocat*	ekAnta-sTitaH nandadattaH boDisatvaH mahAsatvaH Bagavantam etat avocat-*
   nandaśrīr bhagavaṃs tathāgato 'rhan samyaksaṃbuddho bhagavato 'lpābādhatāṃ	nanda-SrIH Bagavan taTAgataH arhan samyaksaMbudDaH BagavataH alpa-AbADa-tAm
   paripṛcchaty alpātaṅkatāṃ laghūtthānatāṃ balaṃ ca sukhasparśavihāratāṃ ca	paripRcCati alpa-AtaFka-tAm laGu-utTAna-tAm balam ca suKa-sparSa-vihAra-tAm ca
   imāni ca tena bhagavatā suvarṇanirbhāsāni sahasrapatrāṇi padmāni prahitāni	imAni ca tena BagavatA suvarNa-nirBAsAni sahasra-patrANi padmAni prahitAni
   bhagavataḥ pūjākarmaṇe | atha bhagavāṃs tāni padmāni gṛhītvā yena te	BagavataH pUjA-karmaNe | aTa BagavAn tAni padmAni gRhItvA yena te
   upariṣṭāddiśi gaṃgānadīvālukopameṣu (LPG 8r) lokadhātuṣu tathāgatā	uparizwAt-diSi gaMgA-nadI-vAlukA-upamezu (LPG 8r) lokaDAtuzu taTAgatA
   arhantaḥ samyaksaṃbuddhās tenākṣaipsīt* atha taiḥ padmais te sarve	arhantaH samyaksaMbudDAH tena-akzEpsIt* aTa tEH padmEH te sarve
   lokadhātavaḥ sphuṭā abhūvan* tatra ca padmeṣu tathāgatavigrahā niṣaṇṇā	lokaDAtavaH sPuwAH aBUvan* tatra ca padmezu taTAgata-vigrahA nizaNNA
   dharman deśayanti sma | yad utemā eva ṣaṭpāramitā ārabhya : yaiś ca	Darman deSayanti sma | yat uta-imAH eva zaz-pAramitA AraBya : yEH ca
   satvaiḥ sā dharmadeśanā śrutā te niyatā abhavann anuttarasyāṃ	satvEH sA Darma-deSanA SrutA te niyatAH aBavan anuttarasyAm
   samyaksaṃbodhau | te 'pi bodhisatvā gṛhasthā pravrajitāś ca dārakadārikāś	samyaksaMboDO | te api boDisatvAH gRhasTA pravrajitAH ca dAraka-dArikAS
   ca svakasvakaiḥ kuśalamūlais tathāgataṃ satkurvanti sma gurukurvanti sma |	ca sva-ka-svakEH kuSala-mUlEH taTAgatam satkurvanti sma gurukurvanti sma |
   mānayaṃti sma pūjayaṃti sma | // atha tena kṣaṇalavamuhūrtenāyaṃ	mAnayaMti sma pUjayaMti sma | // aTa tena kzaNa-lava-muhUrtena-ayam
   trisāhasramahāsāhasro lokadhātū ratnamayaḥ saṃsthito 'bhūt*	tri-sAhasra-mahA-sAhasraH lokaDAtuH ratna-mayaH saMsTitaH aBUt-*
   vicitrapuṣpābhikīrṇo 'vasaktapaṭṭadāmāgandhaghaṭikānirdhūpitaḥ	vicitra-puzpa-aBikIrNaH avasakta-pawwa-dAma-AganDa-GawikA-nirDUpitaH
   sarvapuṣpagandhavṛkṣapratimaṇḍitaḥ tadyathāpi nāma padmāvatī lokadhātuḥ	sarva-puzpa-ganDa-vRkza-pratimaNxitaH tat-yaTA-api nAma padmAvatI lokaDAtuH
   samantakusumasya tathāgatasyārhataḥ samyaksaṃbuddhasya buddhakṣetraṃ yatra	samanta-kusumasya taTAgatasya-arhataH samyaksaMbudDasya budDa-kzetram yatra
   maṃjuśrīḥ kumārabhūtaḥ prativasati susthitamatiś ca devaputro 'nye ca	maMju-SrIH kumAra-BUtaH prativasati susTita-matiH ca deva-putraH anye ca
   mahaujaskā bodhisatvāḥ mahāsatvā	mahA-ojaskAH boDisatvAH mahAsatvA
   // // prajñāpāramitāyāṃ nidānaparivartaḥ prathamaḥ // //	// // prajQApAramitAyAm nidAna-parivartaH praTamaH // //
   yadā ca bhagavān ājñāsīt sadevakaṃ lokaṃ samāgataṃ samārakaṃ sabrahmakaṃ	yadA ca BagavAn AjQAsIt sa-devakam lokam samAgatam sa-mArakam sa-brahmakam
   saśramaṇabrāhmaṇīprajāḥ sadevamānuṣīs tāṃś ca bodhisatvān mahāsatvān*	sa-SramaNa-brAhmaNI-prajAH sa-deva-mAnuzIH tAn ca boDisatvAt mahAsatvAn-*
   yadbhūyastvena kumārabhūtān tadā bhagavān āyuṣmantaṃ śāradvatīputram	yat-BUyaH-tvena kumAra-BUtAn tadA BagavAn Ayuzmantam SAradvatI-putram
   āmantrayata : iha śāradvatīputra bodhisatvena mahāsatvena sarvākāram	Amantrayata : iha SAradvatI-putra boDisatvena mahAsatvena sarva-AkAram
   sarvadharmān abhisaṃboddhukāmena prajñāpāramitāyāṃ yogaḥ karaṇīyaḥ evam	sarva-DarmAn aBisaMbodDu-kAmena prajQApAramitAyAm yogaH karaNIyaH evam
   ukte ayuṣmāṃc chāriputro bhagavantam etad avocat* kathaṃ bhagavaṃ	ukte ayuzmAn SAriputraH Bagavantam etat avocat* kaTam Bagavam
   bodhisatvena mahāsatvena sarvākāraṃ sarvadharmān abhisaṃboddhukāmena	boDisatvena mahAsatvena sarva-AkAram sarva-DarmAn aBisaMbodDu-kAmena
   prajñāpāramitāyāṃ yogaḥ karaṇīyaḥ evam ukte bhagavān āyuṣmantaṃ	prajQApAramitAyAm yogaH karaNIyaH evam ukte BagavAn Ayuzmantam
   śāradvatīputram etad avocat* iha śāradvatīputra bodhisatvena mahāsatvena	SAradvatI-putram etat avocat* iha SAradvatI-putra boDisatvena mahAsatvena
   prajñāpāramitāyāṃ sthitvā asthānayogena dānapāramitā paripūrayitavyā	prajQApAramitAyAm sTitvA asTAna-yogena dAna-pAramitA paripUrayitavyA
   aparityāgayogena (LPG 8v) deyadāyaparigrāhakānupalabdhitām upādāya | evaṃ	aparityAga-yogena (LPu 8v) deya-dAya-parigrAhaka-an-upalabDi-tAm upAdAya | evam
   śīlapāramitā paripūrayitavyā āpattyanāpattyanadhyāpattitām upādāya |	SIla-pAramitA paripUrayitavyA Apatti-anApatti-anaDyApatti-tAm upAdAya |
   kṣāntipāramitā paripūrayitavyā akṣobhaṇatām upādāya | vīryapāramitā	kzAnti-pAramitA paripUrayitavyA akzoBaNa-tAm upAdAya | vIrya-pAramitA
   paripūrayitavyā kāyikacaitasikavīryāsraṃsanatām upādāya | dhyānapāramitā	paripUrayitavyA kAyika-cEtasika-vIrya-AsraMsana-tAm upAdAya | DyAna-pAramitA
   paripūrayitavyā dhyānamadānāsvādanatām upādāya | prajñāpāramitā	paripUrayitavyA DyAna-madAn-AsvAdana-tAm upAdAya | prajQApAramitA
   paripūrayitavyā sarvadharmānupalabdhitām upādāya | prajñāpāramitāyāṃ	paripUrayitavyA sarva-Darma-anupalabDi-tAm upAdAya | prajQApAramitAyAm
   śāradvatīputra sthitvā bodhisatvena mahāsatvena catvāri smṛtyupasthānāni	SAradvatI-putra sTitvA boDisatvena mahAsatvena catvAri smRti-upasTAnAni
   paripūrayitavyāni smṛtyanupalabdhitām upādāya | evaṃ catvāri	paripUrayitavyAni smRti-anupalabDi-tAm upAdAya | evam catvAri
   samyakprahāṇāni | catvāra ṛddhipādāḥ paṃcendriyāṇi paṃca balāni sapta	samyak-prahANAni | catvAraH RdDi-pAdAH paMca-indriyANi paMca balAni sapta
   bodhyaṅgāny āryāṣṭāṃgo mārgaḥ paripūrayitavyaḥ śunyatāsamādhir ānimittaḥ	boDi-aFgAni Arya-azwa-aMgaH mArgaH paripUrayitavyaH SunyatA-sam-ADiH AnimittaH
   samādhir apraṇihitaḥ samādhiḥ paripūrayitavyaḥ catvāri dhyānāni catvāry	samADiH apraNihitaH samADiH paripUrayitavyaH catvAri DyAnAni catvAri-
   apramāṇāni | catasraḥ ārūpyasamāpattayaḥ aṣṭau vimokṣā	apramANAni | catasraH ArUpya-samApattayaH azwO vimokzA
   navānupūrvasamāpattayaḥ paṃcābhijñā nava saṃjñāḥ vyādhyātmakasaṃjñā :	nava-anupUrva-samApattayaH paMca-aBijQAH nava saMjQAH vyADi-Atmaka-saMjQA :
   vipaṭumakasaṃjñā | vipūtikasaṃjñā : vilohitakasaṃjñā : vinīlakasaṃjñā :	vipawumaka-saMjQA | vipUtika-saMjQA : vilohitaka-saMjQA : vinIlaka-saMjQA :
   vikhāditakasaṃjñā : vikṣiptakasaṃjñā : asthikasaṃjñā : vidagdhakasaṃjñā :	viKAditaka-saMjQA : vikziptaka-saMjQA : asTika-saMjQA : vidagDaka-saMjQA :
   buddhānusmṛtir dharmānusmṛtiḥ saṃghānusmṛtiḥ śīlānusmṛtis tyāgānusmṛtir	budDa-anusmRtiH Darma-anusmRtiH saMGa-anusmRtiH SIla-anusmRtiH tyAga-anusmRtiH-
   devatānusmṛtir ānāpānānusmṛtir udvegānusmṛtir maraṇānusmṛtiḥ	devatA-anusmRtiH AnA-pAna-anusmRtiH udvega-anusmRtiH maraNa-anusmRtiH
   kāyagatānusmṛtiḥ anityasaṃjñā duḥkhasaṃjñā | anātmasaṃjñā | aśubhasaṃjñā	kAya-gata-anusmRtiH anitya-saMjQA duHKa-saMjQA | anAtma-saMjQA | aSuBa-saMjQA
   maraṇasaṃjñā sarvatra loke anabhiratisaṃjñā | sarvatra loke aviśvāsasaṃjñā	maraNa-saMjQA sarvatra loke anaBirati-saMjQA | sarvatra loke aviSvAsa-saMjQA
   | duḥkhajñānaṃ samudayajñānaṃ nirodhajñānaṃ mārgajñānaṃ kṣayajñānam	| duHKa-jQAnam samudaya-jQAnam niroDa-jQAnam mArga-jQAnam kzaya-jQAnam
   anutpādajñānaṃ dharmajñānam anvayajñānaṃ saṃvṛtijñānaṃ paricayajñānaṃ	anutpAda-jQAnam Darma-jQAnam anvaya-jQAnam saMvRti-jQAnam paricaya-jQAnam
   yathāvajjñānam* savitarkaḥ savicāraḥ samādhir avitarko vicāramātraḥ	yaTAvat-jQAnam* savitarkaH sa-vicAraH samADiH avitarkaH vicAra-mAtraH
   samādhiḥ avitarkaḥ (LPG 9r) avicāraḥ samādhir anājñātamājñāsyāmītīndriyam	samADiH avitarkaH (LPG 9r) avicAraH samADiH anAjQAtam-AjQAsyAmi-iti-indriyam
   ājñendriyam ājñātāvīndriyam abhibhvāyatanaṃ kṛtsnāyatanaṃ catvāri	AjQa-indriyam AjQAta-avi-indriyam aBiBva-Ayatanam kRtsnA-Ayatanam catvAri
   saṃgrahavastūni | catvāri vyavasthānāni | daśa bhūmayo daśa caryā daśa	saMgraha-vastUni | catvAri vyavasTAnAni | daSa BUmayaH daSa caryA daSa
   kṣāntayo viṃśatir adhyāśayāḥ sarvajñajñānaṃ | śamathavipaśyanājñāne |	kzAntayaH viMSatiH aDyASayAH sarvajQa-jQAnam | SamaTa-vipaSyana-ajQAne |
   tisro vidyā catasraḥ pratisaṃvidaḥ catvāri vaiśāradyāny acyutāḥ	tisraH vidyA catasraH pratisaMvidaH catvAri vESAradyAni acyutAH
   paṃcābhijñāḥ ṣaṭ pāramitāḥ sapta dhanāny aṣṭau mahāpuruṣavitarkā nava	paMca-aBijQAH zaw pAramitAH sapta DanAni azwO mahApuruza-vitarkA nava
   satvāvāsā daśa tathāgatabalāny aṣṭādaśāveṇikā buddhadharmā mahāmaitrī	satva-AvAsAH daSa taTAgata-balAni azwAdaSa-AveNikA budDa-DarmA mahA-mEtrI
   mahākaruṇā sarvākāravaropetaṃ sarvajñajñānam abhisaṃboddhukāmena	mahA-karuNA sarva-AkAra-vara-upetam sarvajQa-jQAnam aBisaMbodDu-kAmena
   mārgākārajñatāṃ sarvajñatāṃ sarvasatvacittacaritajñānākāratāṃ	mArga-AkAra-jQa-tAm sarvajQa-tAm sarva-satva-citta-carita-jQAna-AkAra-tAm
   paripūrayitukāmena bodhisatvena mahāsatvena prajñāpāramitāyāṃ yogaḥ	paripUrayitu-kAmena boDisatvena mahAsatvena prajQApAramitAyAm yogaH
   karaṇīyaḥ sarvavāsanānusandhikleśān prahātukāmena bodhisatvena mahāsatvena	karaNIyaH sarva-vAsanA-anusanDi-kleSAn prahAtu-kAmena boDisatvena mahAsatvena
   prajñāpāramitāyāṃ yogaḥ karaṇīyaḥ evaṃ hi śāradvatīputra bodhisatvena	prajQApAramitAyAm yogaH karaNIyaH evam hi SAradvatI-putra boDisatvena
   mahāsatvena prajñāpāramitāyāṃ śikṣitavyam* // bodhisatvanyāmaṃ	mahAsatvena prajQApAramitAyAm Sikzitavyam* // boDisatvan-yAmam
   śāradvatīputrāvakrāntukāmena bodhisatvena mahāsatvena prajñāpāramitāyāṃ	SAradvatI-putra-avakrAntu-kAmena boDisatvena mahAsatvena prajQApAramitAyAm
   śikṣitavyam* // śrāvakapratyekabuddhabhūmī prajñātukāmena te ca bhūmī	Sikzitavyam* // SrAvaka-pratyekabudDa-BUmI prajQAtu-kAmena te ca BUmI
   atikrāntukāmenāvaivartikabhūmau ca sthātukāmena bodhisatvena mahāsatvena	atikrAntukAmena-avEvartika-BUmO ca sTAtu-kAmena boDisatvena mahAsatvena
   prajñāpāramitāyāṃ śikṣitavyam* // ṣaḍabhijñatāyāṃ sthātukāmena	prajQApAramitAyAm Sikzitavyam* // zaxaBijQa-tAyAm sTAtu-kAmena
   sarvasatvacittacaritavispanditāni jñātukāmena	sarva-satva-citta-carita-vispanditAni jQAtu-kAmena
   sarvaśrāvakapratyekabuddhānāṃ jñānam abhibhavitukāmena tathā	sarva-SrAvaka-pratyekabudDAnAm jQAnam aBiBavitu-kAmena taTA
   dhāraṇīmukhasamādhimukhaṃ pratilabdhukāmena bodhisatvena mahāsatvena	DAraNI-muKa-samADi-muKam pratilabDu-kAmena boDisatvena mahAsatvena
   prajñāpāramitāyāṃ śikṣitavyam* // sarvaśrāvakapratyekabuddhayānikānāṃ	prajQApAramitAyAm Sikzitavyam* // sarva-SrAvaka-pratyekabudDa-yAnikAnAm
   kulaputrāṇāṃ kuladuhitrīṇāṃ ca dānaṃ dadatāṃ yāvat prajñāṃ bhāvayatām	kula-putrANAm kula-duhitrINAm ca dAnam dadatAm yAvat prajQAm BAvayatAm
   ekānumodanāsahagatena cittotpādena sarvaṃ tat kuśalamūlam	eka-anumodanA-sahagatena citta-utpAdena sarvam tat kuSala-mUlam
   abhibhavitukāmena sarvaśrāvakapratyekabuddhānāṃ	aBiBavitu-kAmena sarva-SrAvaka-pratyekabudDAnAm
   śīlasamādhiprajñāvimuktivimuktijñānadarśanam (LPG 9v)	SIla-samADi-prajQA-vimukti-vimukti-jQAna-darSanam (LPu 9v)
   ekānumodanāsahagatena cittotpādenābhibhavitukāmena	eka-anumodanA-sahagatena citta-utpAdena-aBiBavitu-kAmena
   dhyānavimokṣasamādhisamāpattīr ekānumodanāsahagatena	DyAna-vimokza-samADi-samApattIH eka-anumodanA-sahagatena
   cittotpādenābhibhavitukāmena bodhisatvena mahāsatvena prajñāpāramitāyāṃ	citta-utpAdena-aBiBavitu-kAmena boDisatvena mahAsatvena prajQApAramitAyAm
   śikṣitavyam* // prajñāpāramitāyāṃ yogaḥ karaṇīyaḥ // alpaṃ dānaṃ dadataḥ	Sikzitavyam* // prajQApAramitAyAm yogaH karaNIyaH // alpam dAnam dadataH
   pariṇamanāyogena katham aprameyāsaṃkhyeyāpramāṇāparimāṇaṃ bhaved iti	pariNamanA-yogena kaTam aprameya-asaMKyeya-apramANa-aparimANam Bavet iti
   bodhisatvena mahāsatvena prajñāpāramitāyāṃ śikṣitavyam* // evam alpaṃ	boDisatvena mahAsatvena prajQApAramitAyAm Sikzitavyam* // evam alpam
   śīlaṃ rakṣato kṣāntiṃ bhāvayato 'lpaṃ vīryam ārabhamāṇasyālpaṃ dhyānaṃ	SIlam rakzataH kzAntim BAvayataH alpam vIryam AraBamANasya-alpam DyAnam
   samāpadyamānasyālpaṃ prajñāṃ bhāvayataḥ pariṇamanāyogena katham aprameyam	samApadyamAnasya-alpam prajQAm BAvayataH pariNamanA-yogena kaTam aprameyam
   asaṃkhyeyāpramāṇāparimāṇaṃ bhaved iti bodhisatvena mahāsatvena	asaMKyeya-apramANa-aparimANam Bavet iti boDisatvena mahAsatvena
   prajñāpāramitāyāṃ śikṣitavyam* //	prajQApAramitAyAm Sikzitavyam* //
   punar aparaṃ śāradvatīputra bodhisatvena mahāsatvena dānapāramitāyāṃ	punar aparam SAradvatI-putra boDisatvena mahAsatvena dAna-pAramitAyAm
   sthātukāmena dānapāramitāṃ paripūrayitukāmena | śīlapāramitāyāṃ	sTAtu-kAmena dAna-pAramitAm paripUrayitu-kAmena | SIla-pAramitAyAm
   caritukāmena | śīlapāramitāṃ paripūrayitukāmena | kṣāntipāramitāyāṃ	caritu-kAmena | SIla-pAramitAm paripUrayitu-kAmena | kzAnti-pAramitAyAm
   caritukāmena | kṣāntipāramitāṃ paripūrayitukāmena | vīryapāramitāyāṃ	caritu-kAmena | kzAnti-pAramitAm paripUrayitu-kAmena | vIrya-pAramitAyAm
   caritukāmena | vīryapāramitāṃ paripūrayitukāmena | dhyānapāramitāyāṃ	caritu-kAmena | vIrya-pAramitAm paripUrayitu-kAmena | DyAna-pAramitAyAm
   caritukāmena | dhyānapāramitāṃ paripūrayitukāmena prajñāpāramitāyāṃ	caritu-kAmena | DyAna-pAramitAm paripUrayitu-kAmena prajQApAramitAyAm
   caritavyam* prajñāpāramitāyāṃ śikṣitavyam* // kathaṃ me sarvatra jātau	caritavyam* prajQApAramitAyAm Sikzitavyam* // kaTam me sarvatra jAtO
   buddhavigrahadarśanaṃ bhaved buddhacodanā | buddhasamanvāhāro	budDa-vigraha-darSanam Bavet budDa-codanA | budDa-samanvAhAraH-
   buddhābhirādhanaṃ buddhaparigraho bhaved iti | prajñāpāramitāyāṃ	budDa-aBirADanam budDa-parigrahaH Bavet iti | prajQApAramitAyAm
   śikṣitavyam* //	Sikzitavyam* //
   punar aparaṃ śāradvatīputra buddhakāyaṃ pariniṣpādayitukāmena dvātriṃśataṃ	punar aparam SAradvatI-putra budDa-kAyam parinizpAdayitu-kAmena dvAtriMSatam
   mahāpuruṣalakṣaṇāni pratilabdhukāmena bodhisatvena mahāsatvena	mahApuruza-lakzaNAni pratilabDu-kAmena boDisatvena mahAsatvena
   prajñāpāramitāyāṃ śikṣitavyam* aśītim anuvyaṃjanāni pratilabdhukāmena	prajQApAramitAyAm Sikzitavyam* aSItim anuvyaMjanAni pratilabDu-kAmena
   sarvatra jātau jātismaratāṃ bodhicittāvipraṇāśatāṃ	sarvatra jAtO jAti-smaratAm boDi-citta-avipraNASa-tAm
   sarvabodhisatvacaryāsaṃpramoṣatāṃ (LPG 10r) pratilabdhukāmena |	sarva-boDisatva-caryA-saMpramoza-tAm (LPG 10r) pratilabDu-kAmena |
   sarvapāpamitrapāpasahāyān vivarjayitukāmena	sarva-pApa-mitra-pApa-sahAyAn vivarjayitu-kAmena
   sarvabuddhabodhisatvakalyāṇamitrāṇy ārāgayitukāmena	sarva-budDa-boDisatva-kalyANa-mitrANi ArAgayitu-kAmena
   sarvamāramārakāyikadevatān nirjetukāmena sarvāvaraṇīyāni viśodhayitukāmena	sarvam-Ara-mAra-kAyika-devatAn nirjetu-kAmena sarva-AvaraNIyAni viSoDayitu-kAmena
   | sarvadharmānāvaraṇatāṃ pratilabdhukāmena bodhisatvena mahāsatvena	| sarva-Darma-anAvaraNa-tAm pratilabDu-kAmena boDisatvena mahAsatvena
   prajñāpāramitāyāṃ śikṣitavyam* // bodhisatvakulaṃ niṣpādayitukāmena	prajQApAramitAyAm Sikzitavyam* // boDisatva-kulam nizpAdayitu-kAmena
   buddhakulam ārāgayitukāmena triratnavaṃśānupacchedāya sthātukāmena	budDa-kulam ArAgayitu-kAmena tri-ratna-vaMSAn-upacCedAya sTAtu-kAmena
   bodhisatvena mahāsatvena prajñāpāramitāyāṃ śikṣitavyam* // kumārabhūmim	boDisatvena mahAsatvena prajQApAramitAyAm Sikzitavyam* // kumAra-BUmim
   anuprāptukāmena buddhabodhisatvair avirahitena bhavitukāmena	anuprAptu-kAmena budDa-boDisatvEH avirahitena Bavitu-kAmena
   bodhisatvabhūmīr atikrāntukāmena kṣipraṃ tathāgatabhūmīṃ	boDisatva-BUmIH atikrAntu-kAmena kzipram taTAgata-BUmIm
   paripūrayitukāmena bodhisatvena mahāsatvena prajñāpāramitāyāṃ śikṣitavyam*	paripUrayitu-kAmena boDisatvena mahAsatvena prajQApAramitAyAm Sikzitavyam*
   // yaiś ca kuśalamūlair yair ākārair ākāṃkṣed buddhān bhagavataḥ satkartuṃ	// yEH ca kuSala-mUlEH yEH AkArEH Aka-aMkzet budDAn BagavataH satkartum
   gurukartuṃ mānayituṃ pūjayituṃ tāni me kuśalamūlāni ta ākārāḥ samṛddhyeyur	gurukartum mAnayitum pUjayitum tAni me kuSala-mUlAni te AkArAH samRdDyeyuH-
   iti bodhisatvena mahāsatvena prajñāpāramitāyāṃ śikṣitavyam* // sarvasatvān	iti boDisatvena mahAsatvena prajQApAramitAyAm Sikzitavyam* // sarva-satvAn
   saṃtoṣayitukāmena sarvasatvānāmm āśāḥ paripūrayitukāmena | annena pānena	saMtozayitu-kAmena sarva-satvAnAmm ASAH paripUrayitu-kAmena | annena pAnena
   yānair vastrair vibhūṣaṇaiḥ puṣpair mālyair gandhair vilepanaiḥ śayanair	yAnEH vastrEH viBUzaNEH puzpEH mAlyEH ganDEH vilepanEH SayanEH-
   āsanair upāśrayair glānapratyayabhaiṣajyapariṣkāraiḥ	AsanEH upASrayEH glAna-pratyaya-BEzajya-parizkArEH
   sarvopakaraṇaparibhogaiḥ sarvasatvān saṃtarpayiṣyāmīti bodhisatvena	sarva-upakaraNa-pariBogEH sarva-satvAn saMtarpayizyAmi-iti boDisatvena
   mahāsatvena prajñāpāramitāyāṃ yogaḥ karaṇīyaḥ //	mahAsatvena prajQApAramitAyAm yogaH karaNIyaH //
   punar aparaṃ śāradvatīputra ye daśasu dikṣu gaṃgānadīvālukopameṣu	punar aparam SAradvatI-putra ye daSasu dikzu gaMgA-nadI-vAlukA-upamezu
   lokadhātuṣu satvāsatvās tān sarvān daśasu kuśaleṣu karmapatheṣu	lokaDAtuzu satva-asatvAH tAn sarvAn daSasu kuSalezu karma-paTezu
   pratiṣṭhāpayitukāmena | caturṣu dhyāneṣu caturṣv apramāṇeṣu paṃcasv	pratizWA-payitu-kAmena | caturzu DyAnezu caturzu apramANezu paMcasv
   abhijñāsu triśaraṇagamane buddhadharmasaṃghaprasādapratilaṃbhe	aBijQAsu tri-SaraNa-gamane budDa-Darma-saMGa-prasAda-pratilaMBe
   pratiṣṭhāpayitukāmena bodhisatvena mahāsatvena prajñāpāramitāyāṃ (LPG 10v)	pratizWA-payitu-kAmena boDisatvena mahAsatvena prajQApAramitAyAm (LPu 10v)
   śikṣitavyam* // ye vā te gaṃgānadīvālukopameṣu lokadhātuṣu satvās tān	Sikzitavyam* // ye vA te gaMgA-nadI-vAlukA-upamezu lokaDAtuzu satvAH tAn
   sarvān mahāyāne samādāpayitukāmena | dānapāramitāyāṃ pratiṣṭhāpayitukāmena	sarvAn mahAyAne samAdApayitu-kAmena | dAna-pAramitAyAm pratizWApayitu-kAmena
   śīlapāramitāyāṃ kṣāntipāramitāyāṃ vīryapāramitāyāṃ dhyānapāramitāyāṃ	SIla-pAramitAyAm kzAnti-pAramitAyAm vIrya-pAramitAyAm DyAna-pAramitAyAm
   prajñāpāramitāyāṃ pratiṣṭhāpayitukāmena bodhisatvena mahāsatvena	prajQApAramitAyAm pratizWApayitu-kAmena boDisatvena mahAsatvena
   prajñāpāramitāyāṃ śikṣitavyam | //	prajQApAramitAyAm Sikzitavyam | //
   punar aparaṃ śāradvatīputra ekam api kuśalacittotpādam akṣayaṃ kartukāmena	punar aparam SAradvatI-putraH ekam api kuSala-citta-utpAdam akzayam kartu-kAmena
   bodhimaṇḍaniṣadanād bodhisatvena mahāsatvena prajñāpāramitāyāṃ	boDimaNxa-nizadanAt boDisatvena mahAsatvena prajQApAramitAyAm
   śikṣitavyam*//	Sikzitavyam*//
   punar aparaṃ śāradvatīputra ye pūrvasyān diśi gaṃgānadīvālukopameṣu	punar aparam SAradvatI-putra ye pUrvasyAn diSi gaMgA-nadI-vAlukA-upamezu
   lokadhātuṣu buddhā bhagavanto dakṣiṇasyāṃ paścimāyām uttarasyām adhastād	lokaDAtuzu budDAH BagavantaH dakziNasyAm paScimAyAm uttarasyAm aDastAt-
   upariṣṭād yāvat samantād daśasu dikṣu gaṃgānadīvālukopameṣu lokadhātuṣu	uparizwAt yAvat samantAt daSasu dikzu gaMgA-nadI-vAlukA-upamezu lokaDAtuzu
   buddhā bhagavantas te me varṇaṃ bhāṣerann iti bodhisatvena mahāsatvena	budDAH BagavantaH te me varNam BAzeran iti boDisatvena mahAsatvena
   prajñāpāramitāyāṃ śikṣitavyam* //	prajQApAramitAyAm Sikzitavyam* //
   punar aparaṃ śāradvatīputra yāni pūrvasyān diśi gaṃgānadīvālukopamāni	punar aparam SAradvatI-putra yAni pUrvasyAn diSi gaMgA-nadI-vAlukA-upamAni
   buddhakṣetrāṇi tāni sarvāṇy ekacittotpādenopasaṃkrāntukāmena bodhisatvena	budDa-kzetrANi tAni sarvANi ekacitta-utpAdena-upasaMkrAntu-kAmena boDisatvena
   mahāsatvena prajñāpāramitāyāṃ śikṣitavyam* // evaṃ dakṣiṇasyāṃ paścimāyām	mahAsatvena prajQApAramitAyAm Sikzitavyam* // evam dakziNasyAm paScimAyAm
   uttarasyām adhastād upariṣṭād yāvat samantād daśasu dikṣu	uttarasyAm aDastAt uparizwAt yAvat samantAt daSasu dikzu
   gaṃgānadīvālukopamāni buddhakṣetrāṇi tāni sarvāṇy	gaMgA-nadI-vAlukA-upamAni budDa-kzetrANi tAni sarvANi-
   ekacittotpādenopasaṃkrāntukāmena bodhisatvena mahāsatvena	ekacitta-utpAdena-upasaMkrAntu-kAmena boDisatvena mahAsatvena
   prajñāpāramitāyāṃ śikṣitavyam* //	prajQApAramitAyAm Sikzitavyam* //
   punar aparaṃ śāradvatīputra ekasvaraghoṣeṇa pūrvasyān diśi	punar aparam SAradvatI-putraH eka-svara-GozeNa pUrvasyAn diSi
   gaṃgānadīvālukopamāni buddhakṣetrāṇi vijñapayitukāmena bodhisatvena	gaMgA-nadI-vAlukA-upamAni budDa-kzetrANi vijQa-payitu-kAmena boDisatvena
   mahāsatvena prajñāpāramitāyāṃ śikṣitavyam* // evan dakṣiṇasyāṃ paścimāyām	mahAsatvena prajQApAramitAyAm Sikzitavyam* // evan dakziNasyAm paScimAyAm
   uttarasyām adhastād upariṣṭād yāvat samantād daśasu dikṣu	uttarasyAm aDastAt uparizwAt yAvat samantAt daSasu dikzu
   gaṃgānadīvālikopamāni buddhakṣetrāṇi vijñapayitukāmena bodhisatvena	gaMgA-nadI-vAlikA-upamAni budDa-kzetrANi vijQa-payitu-kAmena boDisatvena
