   BhP_08.01.001/0 śrīrājovāca	BhP_08.01.001/0 SrI-rAjA-uvAca
   BhP_08.06.017/3 vihartukāmastān āha samudronmathanādibhiḥ	Bhu-_08.06.017/3 vihartu-kAmaH-tAn Aha samudra-unmaTana-AdiBiH
   BhP_08.06.018/0 śrībhagavān uvāca	Bhu-_08.06.018/0 SrI-BagavAn uvAca
   BhP_08.06.018/1 hanta brahmannaho śambho he devā mama bhāṣitam	Bhu-_08.06.018/1 hanta brahman=-aho SamBo he devAH mama BAzitam
   BhP_08.06.018/3 śṛṇutāvahitāḥ sarve śreyo vaḥ syādyathā surāḥ	Bhu-_08.06.018/3 SRNuta-avahitAH sarve SreyaH vaH syAt-yaTA surAH
   BhP_08.06.019/1 yāta dānavadaiteyaistāvat sandhirvidhīyatām	Bhu-_08.06.019/1 yAta dAnava-dEteyEH-tAvat sanDiH-viDIyatAm
   BhP_08.06.019/3 kālenānugṛhītaistairyāvadvo bhava ātmanaḥ	BhP-_08.06.019/3 kAlena-anugRhItEH-tEH-yAvat-vaH BavaH AtmanaH
   BhP_08.06.020/1 arayo 'pi hi sandheyāḥ sati kāryārthagaurave	Bhu-_08.06.020/1 arayaH api hi sanDeyAH sati kArya-arTa-gOrave
   BhP_08.06.020/3 ahimūṣikavaddevā hy arthasya padavīṃ gataiḥ	Bhu-_08.06.020/3 ahi-mUzika-vat-devAH hi arTasya padavIm gatEH
   BhP_08.06.021/1 amṛtotpādane yatnaḥ kriyatāmavilambitam	Bhu-_08.06.021/1 amRta-utpAdane yatnaH kriyatAm-avilambitam
   BhP_08.06.021/3 yasya pītasya vai janturmṛtyugrasto 'maro bhavet	Bhu-_08.06.021/3 yasya pItasya vE jantuH-mRtyu-grastaH amaraH Bavet-
   BhP_08.06.022/1 kṣiptvā kṣīrodadhau sarvā vīruttṛṇalatauṣadhīḥ	Bhu-_08.06.022/1 kziptvA kzIrodaDO sarvAH vIruD-tRNa-latA-ozaDIH
   BhP_08.06.022/3 manthānaṃ mandaraṃ kṛtvā netraṃ kṛtvā tu vāsukim	Bhu-_08.06.022/3 manTAnam mandaram kRtvA netram kRtvA tu vAsukim
   BhP_08.06.023/1 sahāyena mayā devā nirmanthadhvamatandritāḥ	Bhu-_08.06.023/1 sahAyena mayA devAH nirmanTaDvama-tandritAH
   BhP_08.06.023/3 kleśabhājo bhaviṣyanti daityā yūyaṃ phalagrahāḥ	Bhu-_08.06.023/3 kleSa-BAjaH Bavizyanti dEtyAH yUyam PalagrahAH
   BhP_08.06.024/1 yūyaṃ tadanumodadhvaṃ yadicchanty asurāḥ surāḥ	Bhu-_08.06.024/1 yUyam tat-anumodaDvam yat-icCanti asurAH surAH
   BhP_08.06.024/3 na saṃrambheṇa sidhyanti sarvārthāḥ sāntvayā yathā	Bhu-_08.06.024/3 na saMramBeNa siDyanti sarva-arTAH sAntvayA yaTA
   BhP_08.06.025/1 na bhetavyaṃ kālakūṭādviṣāj jaladhisambhavāt	Bhu-_08.06.025/1 na Betavyam kAlakUwAt-vizAt jalaDi-samBavAt-
   BhP_08.06.025/3 lobhaḥ kāryo na vo jātu roṣaḥ kāmastu vastuṣu	Bhu-_08.06.025/3 loBaH kAryaH na vaH jAtu rozaH kAmaH-tu vastuzu
   BhP_08.06.026/0 śrīśuka uvāca	BhP_08.06.026/0 SrI-SukaH uvAca
   BhP_08.06.026/1 iti devān samādiśya bhagavān puruṣottamaḥ	Bhu-_08.06.026/1 iti devAn samAdiSya BagavAn puruzottamaH
   BhP_08.06.026/3 teṣāmantardadhe rājan svacchandagatirīśvaraḥ	Bhu-_08.06.026/3 tezAm-antardaDe rAjan svacCanda-gatiH-ISvaraH
   BhP_08.06.027/1 atha tasmai bhagavate namaskṛtya pitāmahaḥ	Bhu-_08.06.027/1 aTa tasmE Bagavate namaskRtya pitAmahaH
   BhP_08.06.027/3 bhavaśca jagmatuḥ svaṃ svaṃ dhāmopeyurbaliṃ surāḥ	Bhu-_08.06.027/3 BavaH-ca jagmatuH svam svam DAma-upeyuH-balim surAH
   BhP_08.06.028/1 dṛṣṭvārīn apy asaṃyattān jātakṣobhān svanāyakān	Bhu-_08.06.028/1 dRzwvA-arIn api asaMyattAn jAta-kzoBAn sva-nAyakAn
   BhP_08.06.028/3 nyaṣedhaddaityarāṭ ślokyaḥ sandhivigrahakālavit	Bhu-_08.06.028/3 nyazeDat-dEtya-rAj SlokyaH sanDi-vigraha-kAla-vid-
   BhP_08.06.029/1 te vairocanimāsīnaṃ guptaṃ cāsurayūthapaiḥ	Bhu-_08.06.029/1 te vErocanim-AsInam guptam ca-asura-yUTapEH
   BhP_08.06.029/3 śriyā paramayā juṣṭaṃ jitāśeṣamupāgaman	Bhu-_08.06.029/3 SriyA paramayA juzwam jita-aSezam-upAgaman
   BhP_08.06.030/1 mahendraḥ ślakṣṇayā vācā sāntvayitvā mahāmatiḥ	Bhu-_08.06.030/1 mahA-indraH SlakzNayA vAcA sAntvayitvA mahAmatiH
   BhP_08.06.030/3 abhyabhāṣata tat sarvaṃ śikṣitaṃ puruṣottamāt	Bhu-_08.06.030/3 aByaBAzata tat sarvam Sikzitam puruzottamAt-
   BhP_08.06.031/1 tat tvarocata daityasya tatrānye ye 'surādhipāḥ	Bhu-_08.06.031/1 tat tu-arocata dEtyasya tatra-anye ye asura-aDipAH
   BhP_08.06.031/3 śambaro 'riṣṭanemiśca ye ca tripuravāsinaḥ	Bhu-_08.06.031/3 SambaraH arizwanemiH-ca ye ca tripura-vAsinaH
   BhP_08.06.032/1 tato devāsurāḥ kṛtvā saṃvidaṃ kṛtasauhṛdāḥ	Bhu-_08.06.032/1 tatas deva-asurAH kRtvA saMvidam kRta-sOhRdAH
   BhP_08.06.032/3 udyamaṃ paramaṃ cakruramṛtārthe parantapa	Bhu-_08.06.032/3 udyamam paramam cakruH-amRta-arTe parantapa
   BhP_08.06.033/1 tataste mandaragirimojasotpāṭya durmadāḥ	Bhu-_08.06.033/1 tatas-te mandara-girim-ojasA-utpAwya durmadAH
   BhP_08.06.033/3 nadanta udadhiṃ ninyuḥ śaktāḥ parighabāhavaḥ	Bhu-_08.06.033/3 nadantaH udaDim ninyuH SaktAH pariGa-bAhavaH
   BhP_08.06.034/1 dūrabhārodvahaśrāntāḥ śakravairocanādayaḥ	Bhu-_08.06.034/1 dUra-BAra-udvaha-SrAntAH Sakra-vErocana-AdayaH
   BhP_08.06.034/3 apārayantastaṃ voḍhuṃ vivaśā vijahuḥ pathi	Bhu-_08.06.034/3 apArayantaH-tam voXum vivaSAH vijahuH paTi
   BhP_08.06.035/1 nipatan sa giristatra bahūn amaradānavān	Bhu-_08.06.035/1 nipatan sa giriH-tatra bahUn amara-dAnavAn
   BhP_08.06.035/3 cūrṇayāmāsa mahatā bhāreṇa kanakācalaḥ	Bhu-_08.06.035/3 cUrNayAmAsa mahatA BAreNa kanakAcalaH
   BhP_08.06.036/1 tāṃstathā bhagnamanaso bhagnabāhūrukandharān	Bhu-_08.06.036/1 tAn=-taTA Bagna-manasaH Bagna-bAhu-Uru-kanDarAn
   BhP_08.06.036/3 vijñāya bhagavāṃstatra babhūva garuḍadhvajaḥ	Bhu-_08.06.036/3 vijQAya BagavAn=-tatra baBUva garuxaDvajaH
   BhP_08.06.037/1 giripātaviniṣpiṣṭān vilokyāmaradānavān	Bhu-_08.06.037/1 giri-pAta-vinizpizwAn vilokya-amara-dAnavAn
   BhP_08.06.037/3 īkṣayā jīvayāmāsa nirjarān nirvraṇān yathā	Bhu-_08.06.037/3 IkzayA jIvayAmAsa nirjarAn nirvraNAn yaTA
   BhP_08.06.038/1 giriṃ cāropya garuḍe hastenaikena līlayā	Bhu-_08.06.038/1 girim ca-Aropya garuxe hastena-ekena lIlayA
   BhP_08.06.038/3 āruhya prayayāvabdhiṃ surāsuragaṇairvṛtaḥ	Bhu-_08.06.038/3 Aruhya prayayO=-abDim sura-asura-gaNEH-vRtaH
   BhP_08.06.039/1 avaropya giriṃ skandhāt suparṇaḥ patatāṃ varaḥ	Bhu-_08.06.039/1 avaropya girim skanDAt suparNaH patatAm varaH
   BhP_08.06.039/3 yayau jalānta utsṛjya hariṇā sa visarjitaḥ	Bhu-_08.06.039/3 yayO jala-ante utsRjya hariNA sa visarjitaH
   BhP_08.07.001/0 śrīśuka uvāca	BhP_08.07.001/0 SrI-SukaH uvAca
   BhP_08.07.001/1 te nāgarājamāmantrya phalabhāgena vāsukim	Bhu-_08.07.001/1 te nAga-rAjam-Amantrya Pala-BAgena vAsukim
   BhP_08.07.001/3 parivīya girau tasmin netramabdhiṃ mudānvitāḥ	Bhu-_08.07.001/3 parivIya girO tasmin netram-abDim mudA-anvitAH
   BhP_08.07.002/1 ārebhire surā yattā amṛtārthe kurūdvaha	Bhu-_08.07.002/1 AreBire surAH yattAH amRta-arTe kuru-udvaha
   BhP_08.07.002/3 hariḥ purastāj jagṛhe pūrvaṃ devāstato 'bhavan	Bhu-_08.07.002/3 hariH purastAt jagRhe pUrvam devAH-tatas aBavan
   BhP_08.08.003/1 tan naicchan daityapatayo mahāpuruṣaceṣṭitam	Bhu-_08.08.003/1 tat na-EcCan dEtya-patayaH mahApuruza-cezwitam
   BhP_08.08.003/3 na gṛhṇīmo vayaṃ pucchamaheraṅgamamaṅgalam	Bhu-_08.08.003/3 na gRhNImaH vayam pucCa-maheH-aFgam-amaFgalam
   BhP_08.07.004/1 svādhyāyaśrutasampannāḥ prakhyātā janmakarmabhiḥ	Bhu-_08.07.004/1 svADyAya-Sruta-sampannAH praKyAtAH janma-karmaBiH
   BhP_08.07.004/3 iti tūṣṇīṃ sthitān daityān vilokya puruṣottamaḥ	BhP_08.07.004/3 iti tUzNIm sTitAn dEtyAn vilokya puruzottamaH
   BhP_08.07.004/5 smayamāno visṛjyāgraṃ pucchaṃ jagrāha sāmaraḥ	Bhu-_08.07.004/5 smayamAnaH visRjya-agram pucCam jagrAha sa-amaraH
   BhP_08.07.006/1 kṛtasthānavibhāgāsta evaṃ kaśyapanandanāḥ	Bhu-_08.07.006/1 kRta-sTAna-viBAgAH-te evam kaSyapa-nandanAH
   BhP_08.07.006/3 mamanthuḥ paramaṃ yattā amṛtārthaṃ payonidhim	Bhu-_08.07.006/3 mamanTuH paramam yattAH amRta-arTam payoniDim
   BhP_08.07.007/1 mathyamāne 'rṇave so 'driranādhāro hy apo 'viśat	Bhu-_08.07.007/1 maTyamAne arNave saH adriH-anADAraH hi apaH aviSat-
   BhP_08.07.007/3 dhriyamāṇo 'pi balibhirgauravāt pāṇḍunandana	Bhu-_08.07.007/3 DriyamANaH api baliBiH-gOravAt pANxu-nandana
   BhP_08.07.008/1 te sunirviṇṇamanasaḥ parimlānamukhaśriyaḥ	Bhu-_08.07.008/1 te su-nirviNNa-manasaH parimlAna-muKa-SriyaH
   BhP_08.07.008/3 āsan svapauruṣe naṣṭe daivenātibalīyasā	Bhu-_08.07.008/3 Asan sva-pOruze nazwe dEvena-atibalIyasA
   BhP_08.07.009/1 vilokya vighneśavidhiṃ tadeśvaro durantavīryo	Bhu-_08.07.009/1 vilokya viGneSa-viDim tadA-ISvaraH duranta-vIryaH-
   'vitathābhisandhiḥ	avitaTa-aBisanDiH
   BhP_08.07.009/3 kṛtvā vapuḥ kacchapamadbhutaṃ mahat praviśya toyaṃ	Bhu-_08.07.009/3 kRtvA vapuH kacCapam-adButam mahat praviSya toyam
   girimujjahāra	girim-ujjahAra
   BhP_08.07.010/1 tamutthitaṃ vīkṣya kulācalaṃ punaḥ samudyatā nirmathituṃ	Bhu-_08.07.010/1 tam-utTitam vIkzya kula-acalam punar samudyatA nirmaTitum
   surāsurāḥ	sura-asurAH
   BhP_08.07.010/3 dadhāra pṛṣṭhena sa lakṣayojana prastāriṇā dvīpa ivāparo	Bhu-_08.07.010/3 daDAra pRzWena sa lakza-yojana prastAriNA dvIpaH iva-aparaH-
   mahān	mahAn
   BhP_08.07.011/1 surāsurendrairbhujavīryavepitaṃ paribhramantaṃ girimaṅga	BhP-_08.07.011/1 sura-asura-indrEH-Buja-vIrya-vepitam pariBramantam girim-aFga
   pṛṣṭhataḥ	pRzWatas-
   BhP_08.07.011/3 bibhrat tadāvartanamādikacchapo mene	Bhu-_08.07.011/3 biBrat tad-Avartanam-Adi-kacCapaH mene
   'ṅgakaṇḍūyanamaprameyaḥ	aFga-kaNxUyanam-aprameyaH
   BhP_08.07.012/1 tathāsurān āviśadāsureṇa rūpeṇa teṣāṃ balavīryamīrayan	Bhu-_08.07.012/1 taTA-asurAn AviSat-AsureNa rUpeNa tezAm bala-vIryam-Irayan
   BhP_08.07.012/3 uddīpayan devagaṇāṃśca viṣṇur daivena nāgendramabodharūpaḥ	Bhu-_08.07.012/3 uddIpayan deva-gaNAn=-ca vizNuH dEvena nAga-indram-aboDa-rUpaH
   BhP_08.07.013/1 upary agendraṃ girirāḍ ivānya ākramya hastena sahasrabāhuḥ	Bhu-_08.07.013/1 upari aga-indram giri-rAj iva-anyaH Akramya hastena sahasrabAhuH
   BhP_08.07.013/3 tasthau divi brahmabhavendramukhyair abhiṣṭuvadbhiḥ sumano	Bhu-_08.07.013/3 tasTO divi brahma-Bava-indra-muKyEH aBizwuvadBiH sumanaH-
   'bhivṛṣṭaḥ	aBivRzwaH
   BhP_08.07.014/1 upary adhaścātmani gotranetrayoḥ pareṇa te prāviśatā	Bhu-_08.07.014/1 upari aDas-ca-Atmani gotra-netrayoH pareNa te prAviSatA
   samedhitāḥ	sameDitAH
   BhP_08.07.014/3 mamanthurabdhiṃ tarasā madotkaṭā mahādriṇā	Bhu-_08.07.014/3 mamanTuH-abDim tarasA mada-utkawA mahA-adriNA
   kṣobhitanakracakram	kzoBita-nakra-cakram
   BhP_08.07.015/1 ahīndrasāhasrakaṭhoradṛṅmukha śvāsāgnidhūmāhatavarcaso	Bhu-_08.07.015/1 ahi-indra-sAhasra-kaWora-dRS-muKa SvAsa-agni-DUma-Ahata-varcasaH-
   'surāḥ	asurAH
   BhP_08.07.015/3 paulomakāleyabalīlvalādayo davāgnidagdhāḥ saralā ivābhavan	Bhu-_08.07.015/3 pOloma-kAleya-balIlvala-AdayaH dava-agni-dagDAH saralAH iva-aBavan
   BhP_08.07.016/1 devāṃśca tacchvāsaśikhāhataprabhān	Bhu-_08.07.016/1 devAn=-ca tad-SvAsa-SiKA-hata-praBAn
   dhūmrāmbarasragvarakañcukānanān	DUmra-ambara-sraj-vara-kaQcuka-AnanAn
   BhP_08.07.016/3 samabhyavarṣan bhagavadvaśā ghanā vavuḥ	Bhu-_08.07.016/3 samaByavarzan Bagavat-vaSAH GanAH vavuH
   samudrormyupagūḍhavāyavaḥ	samudra-Urmi-upagUXa-vAyavaH
   BhP_08.07.017/1 mathyamānāt tathā sindhor devāsuravarūthapaiḥ	Bhu-_08.07.017/1 maTyamAnAt taTA sinDoH deva-asura-varUTapEH
   BhP_08.07.017/3 yadā sudhā na jāyeta nirmamanthājitaḥ svayam	Bhu-_08.07.017/3 yadA suDA na jAyeta nirmamanTa-ajitaH svayam
   BhP_08.07.018/1 meghaśyāmaḥ kanakaparidhiḥ karṇavidyotavidyun	Bhu-_08.07.018/1 meGa-SyAmaH kanaka-pariDiH karNa-vidyota-vidyun
   BhP_08.07.018/2 mūrdhni bhrājadvilulitakacaḥ sragdharo raktanetraḥ	Bha-a_08.07.018/2 mUrDni BrAjat-vilulita-kacaH sraj-DaraH rakta-netraH
   BhP_08.07.018/3 jaitrairdorbhirjagadabhayadairdandaśūkaṃ gṛhītvā	Bhu-_08.07.018/3 jEtrEH-dorBiH-jagat-aBaya-dEH-dandaSUkam gRhItvA
   BhP_08.07.018/4 mathnan mathnā pratigiririvāśobhatātho dhṛtādriḥ	Bhu-_08.07.018/4 maTnat maTnA pratigiriH-iva-aSoBata-aTo DRta-adriH
   BhP_08.07.019/1 nirmathyamānādudadherabhūdviṣaṃ maholbaṇaṃ	BhP_08.07.019/1 nirmaTyamAnAt-udaDeH-aBUt-vizam mahA-ulbaNam
   hālahalāhvamagrataḥ	hAlahala-Ahvam-agratas-
   BhP_08.07.019/3 sambhrāntamīnonmakarāhikacchapāt	Bhu-_08.07.019/3 samBrAnta-mInA-unmakarAhikacCapAt
   timidvipagrāhatimiṅgilākulāt	timi-dvipa-grAha-timiFgila-AkulAt
   BhP_08.07.020/1 tadugravegaṃ diśi diśy upary adho	Bhu-_08.07.020/1 tad-ugra-vegam diSi diSi upari aDo
   visarpadutsarpadasahyamaprati	visarpat-utsarpat-asahyam-aprati
   BhP_08.07.020/3 bhītāḥ prajā dudruvuraṅga seśvarā arakṣyamāṇāḥ śaraṇaṃ	Bhu-_08.07.020/3 BItAH prajAH dudruvuH-aFga sa-ISvarAH arakzyamANAH SaraNam
   sadāśivam	sadASivam
   BhP_08.07.021/1 vilokya taṃ devavaraṃ trilokyā bhavāya devyābhimataṃ	Bhu-_08.07.021/1 vilokya tam deva-varam trilokyA BavAya devyA-aBimatam
   munīnām	munInAm
   BhP_08.07.021/3 āsīnamadrāvapavargahetos tapo juṣāṇaṃ stutibhiḥ praṇemuḥ	Bhu-_08.07.021/3 AsInam-adrO=-apavarga-hetoH tapaH juzANam stutiBiH praNemuH
   BhP_08.07.022/0 śrīprajāpataya ūcuḥ	Bhu-_08.07.022/0 SrI-prajApatayaH UcuH
   BhP_08.07.022/1 devadeva mahādeva bhūtātman bhūtabhāvana	Bhu-_08.07.022/1 devadeva mahAdeva BUtAtman BUta-BAvana
   BhP_08.07.022/3 trāhi naḥ śaraṇāpannāṃstrailokyadahanādviṣāt	Bhu-_08.07.022/3 trAhi naH SaraNa-ApannAn=-trElokya-dahanAt-vizAt-
   BhP_08.07.023/1 tvamekaḥ sarvajagata īśvaro bandhamokṣayoḥ	Bhu-_08.07.023/1 tvam-ekaH sarva-jagataH ISvaraH banDa-mokzayoH
   BhP_08.07.023/3 taṃ tvāmarcanti kuśalāḥ prapannārtiharaṃ gurum	Bhu-_08.07.023/3 tam tvAm-arcanti kuSalAH prapanna-Arti-haram gurum
   BhP_08.07.024/1 guṇamayyā svaśaktyāsya sargasthityapyayān vibho	Bhu-_08.07.024/1 guNa-mayyA sva-SaktyA-asya sarga-sTiti-apyayAn viBo
   BhP_08.07.024/3 dhatse yadā svadṛg bhūman brahmaviṣṇuśivābhidhām	Bhu-_08.07.024/3 Datse yadA sva-dRS BUman brahma-vizNu-Siva-aBiDAm
   BhP_08.07.025/1 tvaṃ brahma paramaṃ guhyaṃ sadasadbhāvabhāvanam	Bhu-_08.07.025/1 tvam brahma paramam guhyam sat-asat-BAva-BAvanam
   BhP_08.07.025/3 nānāśaktibhirābhātastvamātmā jagadīśvaraḥ	Bhu-_08.07.025/3 nAnA-SaktiBiH-ABAtaH-tvam-AtmA jagat-ISvaraH
   BhP_08.07.026/1 tvaṃ śabdayonirjagadādirātmā prāṇendriyadravyaguṇaḥ	Bhu-_08.07.026/1 tvam SabdayoniH-jagat-AdiH-AtmA prANa-indriya-dravya-guNaH
   svabhāvaḥ	svaBAvaH
   BhP_08.07.026/3 kālaḥ kratuḥ satyamṛtaṃ ca dharmas tvayy akṣaraṃ yat	BhP_08.07.026/3 kAlaH kratuH satyam-Rtam ca DarmaH tvayi akzaram yat-
   trivṛdāmananti	trivRt-Amananti
   BhP_08.07.027/1 agnirmukhaṃ te 'khiladevatātmā kṣitiṃ	Bhu-_08.07.027/1 agniH-muKam te aKila-devatA-AtmA kzitim
   vidurlokabhavāṅghripaṅkajam	viduH-loka-Bava-aFGri-paFkajam
   BhP_08.07.027/3 kālaṃ gatiṃ te 'khiladevatātmano diśaśca karṇau rasanaṃ	Bhu-_08.07.027/3 kAlam gatim te aKila-devatA-AtmanaH diSaH-ca karNO rasanam
   jaleśam	jaleSam
   BhP_08.07.028/1 nābhirnabhaste śvasanaṃ nabhasvān sūryaśca cakṣūṃṣi jalaṃ	Bhu-_08.07.028/1 nABiH-naBaH-te Svasanam naBasvAn sUryaH-ca cakzUMzi jalam
   sma retaḥ	sma retaH
   BhP_08.07.028/3 parāvarātmāśrayaṇaṃ tavātmā somo mano dyaurbhagavan	Bhu-_08.07.028/3 parAvara-AtmA-ASrayaNam tava-AtmA somaH manaH dyOH-Bagavan
   śiraste	SiraH-te
   BhP_08.07.029/1 kukṣiḥ samudrā girayo 'sthisaṅghā romāṇi	Bhu-_08.07.029/1 kukziH samudrAH girayaH asTi-saFGAH romANi
   sarvauṣadhivīrudhaste	sarva-ozaDi-vIruDaH-te
   BhP_08.07.029/3 chandāṃsi sākṣāt tava sapta dhātavas trayīmayātman hṛdayaṃ	Bhu-_08.07.029/3 CandAMsi sAkzAt tava sapta DAtavaH trayI-maya-Atman hRdayam
   sarvadharmaḥ	sarva-DarmaH
   BhP_08.07.030/1 mukhāni pañcopaniṣadastaveśa	BhP_08.07.030/1 muKAni paQca-upanizadaH-tava-ISa
   yaistriṃśadaṣṭottaramantravargaḥ	yEH-triMSat-azwa-uttara-mantra-vargaH
   BhP_08.07.030/3 yat tac chivākhyaṃ paramātmatattvaṃ deva	Bhu-_08.07.030/3 yat tat Siva-AKyam paramAtma-tattvam deva
   svayaṃjyotiravasthitiste	svayaMjyotiH-avasTitiH-te
   BhP_08.07.031/1 chāyā tvadharmormiṣu yairvisargo netratrayaṃ	Bhu-_08.07.031/1 CAyA tu-aDarma-Urmizu yEH-visargaH netratrayam
   sattvarajastamāṃsi	sattva-rajaH-tamAMsi
   BhP_08.07.031/3 sāṅkhyātmanaḥ śāstrakṛtastavekṣā chandomayo deva ṛṣiḥ	Bhu-_08.07.031/3 sAFKya-AtmanaH SAstra-kRtaH-tava-IkzA CandaH-mayaH devaH RziH
   purāṇaḥ	purANaH
   BhP_08.07.032/1 na te giritrākhilalokapāla viriñcavaikuṇṭhasurendragamyam	Bhu-_08.07.032/1 na te giritra-aKila-lokapAla viriQca-vEkuNWa-sura-indra-gamyam
   BhP_08.07.032/3 jyotiḥ paraṃ yatra rajastamaśca sattvaṃ na yadbrahma	Bhu-_08.07.032/3 jyotiH param yatra rajaH-tamaH-ca sattvam na yat-brahma
   nirastabhedam	nirasta-Bedam
   BhP_08.07.033/1 kāmādhvaratripurakālagarādyaneka	Bhu-_08.07.033/1 kAma-aDvara-tripura-kAlagara-Adi-aneka
   BhP_08.07.033/2 bhūtadruhaḥ kṣapayataḥ stutaye na tat te	Bhu-_08.07.033/2 BUta-druhaH kzapayataH stutaye na tat te
   BhP_08.07.033/3 yastvantakāla idamātmakṛtaṃ svanetra	Bhu-_08.07.033/3 yaH-tu-anta-kAle idam-Atma-kRtam sva-netra
   BhP_08.07.033/4 vahnisphuliṅgaśikhayā bhasitaṃ na veda	BhP_08.07.033/4 vahni-sPuliFga-SiKayA Basitam na veda
   BhP_08.07.034/1 ye tvātmarāmagurubhirhṛdi cintitāṅghri	Bhu-_08.07.034/1 ye tu-Atma-rAma-guruBiH-hRdi cintita-aFGri
   BhP_08.07.034/2 dvandvaṃ carantamumayā tapasābhitaptam	Bhu-_08.07.034/2 dvandvam carantam-umayA tapasA-aBitaptam
   BhP_08.07.034/3 katthanta ugraparuṣaṃ nirataṃ śmaśāne	Bhu-_08.07.034/3 katTante ugra-paruzam niratam SmaSAne
   BhP_08.07.034/4 te nūnamūtimavidaṃstava hātalajjāḥ	Bhu-_08.07.034/4 te nUna-mUtim-avidan=-tava hAtalajjAH
   BhP_08.07.035/1 tat tasya te sadasatoḥ parataḥ parasya	Bhu-_08.07.035/1 tat tasya te sat-asatoH paratas parasya
   BhP_08.07.035/2 nāñjaḥ svarūpagamane prabhavanti bhūmnaḥ	Bhu-_08.07.035/2 na-aQjaH svarUpa-gamane praBavanti BUmnaH
   BhP_08.07.035/3 brahmādayaḥ kimuta saṃstavane vayaṃ tu	Bhu-_08.07.035/3 brahma-AdayaH kim-uta saMstavane vayam tu
   BhP_08.07.035/4 tatsargasargaviṣayā api śaktimātram	Bhu-_08.07.035/4 tad-sarga-sarga-vizayAH api Sakti-mAtram
   BhP_08.07.036/1 etat paraṃ prapaśyāmo na paraṃ te maheśvara	Bhu-_08.07.036/1 etat param prapaSyAmaH na param te maheSvara
   BhP_08.07.036/3 mṛḍanāya hi lokasya vyaktiste 'vyaktakarmaṇaḥ	Bhu-_08.07.036/3 mRxanAya hi lokasya vyaktiH-te avyakta-karmaNaH
   BhP_08.07.037/0 śrīśuka uvāca	BhP_08.07.037/0 SrI-SukaH uvAca
   BhP_08.07.037/1 tadvīkṣya vyasanaṃ tāsāṃ kṛpayā bhṛśapīḍitaḥ	Bhu-_08.07.037/1 tat-vIkzya vyasanam tAsAm kRpayA BRSa-pIxitaH
   BhP_08.07.037/3 sarvabhūtasuhṛddeva idamāha satīṃ priyām	Bhu-_08.07.037/3 sarva-BUta-suhRd-devaH idam-Aha satIm priyAm
   BhP_08.07.038/0 śrīśiva uvāca	Bhu-_08.07.038/0 SrI-SivaH uvAca
   BhP_08.07.038/1 aho bata bhavāny etat prajānāṃ paśya vaiśasam	Bhu-_08.07.038/1 aho bata BavAni etat prajAnAm paSya vESasam
   BhP_08.07.038/3 kṣīrodamathanodbhūtāt kālakūṭādupasthitam	Bhu-_08.07.038/3 kzIroda-maTana-udBUtAt kAlakUwAt-upasTitam
   BhP_08.07.039/1 āsāṃ prāṇaparīpsūnāṃ vidheyamabhayaṃ hi me	BhP_08.07.039/1 AsAm prANa-parIpsUnAm viDeyam-aBayam hi me
   BhP_08.07.039/3 etāvān hi prabhorartho yaddīnaparipālanam	Bhu-_08.07.039/3 etAvAn hi praBoH-arTaH yat-dIna-paripAlanam
   BhP_08.07.040/1 prāṇaiḥ svaiḥ prāṇinaḥ pānti sādhavaḥ kṣaṇabhaṅguraiḥ	Bhu-_08.07.040/1 prANEH svEH prANinaH pAnti sADavaH kzaNa-BaFgurEH
   BhP_08.07.040/3 baddhavaireṣu bhūteṣu mohiteṣvātmamāyayā	Bhu-_08.07.040/3 badDa-vErezu BUtezu mohitezu-Atma-mAyayA
   BhP_08.07.041/1 puṃsaḥ kṛpayato bhadre sarvātmā prīyate hariḥ	BhP-_08.07.041/1 puMsaH kRpayataH Badre sarva-AtmA prIyate hariH
   BhP_08.07.041/3 prīte harau bhagavati prīye 'haṃ sacarācaraḥ	BhP_08.07.041/3 prIte harO Bagavati prIye aham sacarAcaraH
   BhP_08.07.041/5 tasmādidaṃ garaṃ bhuñje prajānāṃ svastirastu me	Bhu-_08.07.041/5 tasmAt-idam garam BuQje prajAnAm svastiH-astu me
   BhP_08.07.042/0 śrīśuka uvāca	BhP_08.07.042/0 SrI-SukaH uvAca
   BhP_08.07.042/1 evamāmantrya bhagavān bhavānīṃ viśvabhāvanaḥ	Bhu-_08.07.042/1 evam-Amantrya BagavAn BavAnIm viSvaBAvanaH
   BhP_08.07.042/3 tadviṣaṃ jagdhumārebhe prabhāvajñānvamodata	Bhu-_08.07.042/3 tat-vizam jagDum-AreBe praBAva-jQA-anvamodata
   BhP_08.07.043/1 tataḥ karatalīkṛtya vyāpi hālāhalaṃ viṣam	Bhu-_08.07.043/1 tatas karatalIkRtya vyApi hAlAhalam vizam
   BhP_08.07.043/3 abhakṣayan mahādevaḥ kṛpayā bhūtabhāvanaḥ	BhP_08.07.043/3 aBakzayan mahAdevaH kRpayA BUtaBAvanaH
   BhP_08.07.044/1 tasyāpi darśayāmāsa svavīryaṃ jalakalmaṣaḥ	Bhu-_08.07.044/1 tasya-api darSayAmAsa sva-vIryam jala-kalmazaH
   BhP_08.07.044/3 yac cakāra gale nīlaṃ tac ca sādhorvibhūṣaṇam	Bhu-_08.07.044/3 yat cakAra gale nIlam tat ca sADoH-viBUzaNam
