   [śrīḥ]	[SrIH]
   uddharṣiṇīyamuditā munisaitavena // KedV_3.81 //	udDarziNIya-muditAH muni-sEtavena // KedV_3.81 //
   induvadanā bhajasanaiḥ saguruyugmaiḥ // KedV_3.82 //	indu-vadanAH Baja-sanEH sa-guru-yugmEH // KedV_3.82 //
   dviḥsaptacchidalolā msau mbhau gau caraṇe cet // KedV_3.83 //	dvis-saptacCida-lolA msO mBO gO caraNe ced // KedV_3.83 //
   dvihatahayalaghuratha giti śaśikalā // KedV_3.84 //	dvi-hata-haya-laGuH-aTa giti SaSi-kalA // KedV_3.84 //
   sragiti bhavati rasanavakayatiriyam // KedV_3.85 //	sraj-iti Bavati rasa-navakayatiH-iyam // KedV_3.85 //
   vasuhayayatiriha maṇiguṇanikaraḥ // KedV_3.86 //	vasuhayayatiH-iha maNi-guNa-nikaraH // KedV_3.86 //
   nanamayayayuteyaṃ mālinī bhogilokaiḥ // KedV_3.87 //	nanamayaya-yutA-iyam mAlinI Bogi-lokEH // KedV_3.87 //
   bhavati najau bhajau rasahitau prabhadrakam // KedV_3.88 //	Bavati najO BajO rasa-hitO praBadrakam // KedV_3.88 //
   sajanā nayau śaradaśayatiriyamelā // KedV_3.89 //	sa-janA nayO SaradaSayatiH-iyam-elA // KedV_3.89 //
   mrau myau yāntau bhavetāṃ saptāṣṭabhiścandralekhā // KedV_3.90 //	mrO myO yAntO BavetAm sapta-azwaBiH-candraleKA // KedV_3.90 //
   bhratrinagaiḥ svarātkhamṛṣabhagajavilasitam // KedV_3.91 //	Bratri-nagEH svarAt-Kam-RzaBa-gaja-vilasitam // KedV_3.91 //
   najabhajaraiḥ sadā bhavati vāṇinī gayuktaiḥ // KedV_3.92 //	najaBa-jarEH sadA Bavati vANinI gayuktEH // KedV_3.92 //
   rasai rudraiśchinnā yamanasabhalā gaḥ śikhariṇī // KedV_3.93 //	rasEH rudrEH-CinnA yamanasa-BalA gaH SiKariNI // KedV_3.93 //
   jasau jasayalā vasugrahayatiśca pṛthvī guruḥ // KedV_3.94 //	jasO jasayalA vasu-grahayatiH-ca pRTvI guruH // KedV_3.94 //
   diṅmuni vaṃśapatrapatitaṃ bharanabhanalagaiḥ // KedV_3.95 //	diS-muni vaMSa-patra-patitam Bara-naBa-nala-gEH // KedV_3.95 //
   rasayugahayairnsau mrau slau gau yadā hariṇī tadā // KedV_3.96 //	rasa-yuga-hayEH-nsO mrO slO gO yadA hariNI tadA // KedV_3.96 //
   mandākrāntā jaladhiṣaḍagairmbhaunatau tād guru cet // KedV_3.97 //	manda-AkrAntAH jalaDi-zaxagEH-mBOnatO tAt guru ced // KedV_3.97 //
   hayadaśabhirnajau bhajajalā guru narkuṭakam // KedV_3.98 //	haya-daSaBiH-najO Baja-jalA guru narkuwakam // KedV_3.98 //
   muniguhakārṃavaiḥ kṛtayati vada kokilakam // KedV_3.99 //	muni-guhakArMavEH kRtayati vada kokilakam // KedV_3.99 //
   syād bhūtartvaśvaiḥ kusumitalatāvellitā mtau nayau yau // KedV_3.100 //	syAt BUta-Rtu-aSvEH kusumita-latA-vellitAH mtO nayO yO // KedV_3.100 //
   sūryāśvairmasajastatāḥ saguravaḥ śārdūlavikrīḍitam // KedV_3.101 //	sUrya-aSvEH-masa-jaH-tatAH sa-guravaH SArdUla-vikrIxitam // KedV_3.101 //
   jñeyā saptāśvaṣaḍbhrmarabhanayayutā bhlo gaḥ suvadanā // KedV_3.102 //	jQeyA sapta-aSva-zaxBrmara-Banaya-yutA BlaH gaH su-vadanA // KedV_3.102 //
   trī rajau galau bhavedihedṛśena lakṣaṇena vṛttanāma // KedV_3.103 //	tris rajO galO Bavet-iha-IdRSena lakzaNena vRtta-nAmaH // KedV_3.103 //
   mrabhnairyānāṃ trayeṇa trimuniyatiyutā sragdharā kīrtiteyam // KedV_3.104	mraBnEH-yAnAm trayeNa tri-muni-yati-yutA sraj-DarA kIrtitA-iyam // KedV_3.104
   bhrau naranā ranāvatha gururdigarkaviramaṃ hi bhadrakamiti // KedV_3.105	BrO naranA ranO=-aTa guruH-diS-arka-viramam hi Badrakam-iti // KedV_3.105
   yadiha najau bhajau bhjabhalagāstadaśvalalitaṃ harārkayatimam //	yat-iha najO BajO Bja-BalagAH-tat-aSva-lalitam hara-arkayatimam //
   KedV_3.106 //	KedV_3.106 //
   matākrīḍā mau tnau nau nalgiti bhavati vasuśaradaśayatiyutā // KedV_3.107	matA-krIxA mO tnO nO nalk-iti Bavati vasu-Sarada-Sayati-yutAH // KedV_3.107
   bhūtamuninairyatiriha bhatanāḥ sbhau bhanayāśca yadi bhavati tanvī //	BUta-muninEH-yatiH-iha BatanAH sBO BanayAH-ca yadi Bavati tanvI //
   KedV_3.108 //	KedV_3.108 //
   krauñjapadā bhamau smau nananā ngāviṣaśaravasumuniviratiriha bhavet //	krOQjapadA BamO smO nananAH ngAviza-Sara-vasu-muni-viratiH-iha Bavet //
   KedV_3.109 //	KedV_3.109 //
   vasvīśāśvacchedopetaṃ mamatanayuganarasalagairbhujaṅgavijṛmbhitam //	vasu-ISa-aSva=-Ceda-upetam mamatana-yugana-rasala-gEH-BujaFga-vijRmBitam //
   KedV_3.110 //	KedV_3.110 //
   mo nāḥ ṣaṭ sagagiti yadi navarasarasaśarayatiyutamapavāhākhyam //	maH nAH zaw sa-gak-iti yadi nava-rasa-rasa-Sarayati-yutam-apavAha-AKyam //
   KedV_3.111 //	KedV_3.111 //
   yadi ha nayugalaṃ tataḥ saptarephā stadā caṇḍavṛṣṭiprapāto bhaveddaṇḍakaḥ	yadi ha na-yugalam tatas saptarePA stadA caNxa-vRzwi-prapAtaH Bavet-daNxakaH
   // KedV_3.112 //	// KedV_3.112 //
   praticaraṇavivṛddharephāḥ syurṇārṇavavyālajīmūtalīlākaroddāmaśaṅkhādayaḥ	praticaraNa-vivRdDa-rePAH syuH-NA-arNava-vyAla-jImUta-lIlA-kara-uddAma-SaFKa-AdayaH
   // KedV_3.113 //	// KedV_3.113 //
   pracitakasamabhidho dhīradhībhiḥ smṛtodaṇḍako nadvayāduttaraiḥ	pracitaka-samaBiDaH DIH-aDIBiH smRtodaNxakaH na-dvayAt-uttarEH
   saptabhiryaiḥ // KedV_3.114 //	saptaBiH-yEH // KedV_3.114 //
   iti śrīmadbhaṭṭarāmeśvarasūnunārāyaṇabhaṭṭaviracitāyāṃ	iti SrImat-Bawwa-rAmeSvara-sUnu-nArAyaNa-Bawwa-viracitAyAm
   vṛttaratnākaravyākhyāyāṃ samavṛttādhyāyastṛtīyaḥ //	vRtta-ratnAkara-vyAKyAyAm sama-vRtta-aDyAyaH-tRtIyaH //
   caturtho 'dhyāyaḥ	caturTaH aDyAyaH
   viṣame yadi sau salagā dale bhau yuji bhād gurukāvupacitram // KedV_4.1 //	vizame yadi sO sa-lagAH dale BO yuji BAt gurukO=-upacitram // KedV_4.1 //
   bhatrayamojagataṃ guruṇī cedyuji ca najau jyayutā drutamadhyā // KedV_4.2	Batrayam-aH-ja-gatam guruNI ced-yuji ca najO jya-yutAH druta-maDyAH // KedV_4.2
   sayugātsagurū viṣame cedbhāviha vegavatī yuji bhādgau // KedV_4.3 //	sa-yugAt-sa-gurU vizame ced-BO=-iha vegavatI yuji BAdgO // KedV_4.3 //
   oje taparau jarau guruścenmasau jgaugbhadravirāṅ bhavedanoje // KedV_4.4	oje taparO jarO guruH-ced-masO jgOgBa-dravirAF Bavet-anoje // KedV_4.4
   asame sajo saguruyuktau ketumatī same bharanagādgaḥ // KedV_4.5 //	asame sa-jaH sa-guru-yuktO ketumatI same BaranagAt-gaH // KedV_4.5 //
   ākhyānakīṃ tau jagurū ga oje jatāvanoje jagurū guruścet // KedV_4.6 //	AKyAnakIm tO jagurU gaH oje jatA-vanoje jagurU guruH-ced // KedV_4.6 //
   jatau jagau go viṣame same cettau jgau ga eṣā viparītapūrvā // KedV_4.7 //	jatO jagO gaH vizame same ced-tO jgO gaH ezA viparIta-pUrvA // KedV_4.7 //
   sayugātsalaghū viṣame gururyuji nabhau bharakau hariṇaplutā // KedV_4.8 //	sa-yugAt-sa-laGU vizame guruH-yuji naBO BarakO hariNa-plutAH // KedV_4.8 //
   ayuji nanaralā guruḥ samenjamaparavaktramidaṃ tato jarau // KedV_4.9 //	ayuji nanaralA guruH samenjam-apara-vaktram-idam tatas jarO // KedV_4.9 //
   ayuji nayugarephato yakāro yuji ca najau jaragāśca puṣpitāgrā // KedV_4.10	ayuji na-yugarePataH yakAraH yuji ca najO jara-gAH-ca puzpita-agrAH // KedV_4.10
   vadantyaparavaktrākhyaṃ vaitālīyaṃ vipaścitaḥ /	vadanti-aparavaktra-AKyam vEtAlIyam vipaScitaH /
   puṣpatāgrābhidhaṃ kecidaupacchandasikaṃ tathā // KedV_4.11 //	puzpatA-agra-aBiDam kecid-OpacCandasikam taTA // KedV_4.11 //
   syāayugmake rajau rayau same cejjarau jarau gururyavātparā matīyam //	syAa-yugmake rajO rayO same ced-jarO jarO guruH-yavAt-parA matIyam //
   KedV_4.12 //	KedV_4.12 //
   iti śrīmadbhaṭṭarāmeśvarasūnunārāyaṇabhaṭṭaviracitāyāṃ	iti SrImat-Bawwa-rAmeSvara-sUnu-nArAyaNa-Bawwa-viracitAyAm
   vṛttaratnākaravyākhyāyāmardhasamādhyāyaścaturthaḥ //	vRtta-ratnAkara-vyAKyAyAm-arDa-samADyAyaH-caturTaH //
   pañcamo 'dhyāyaḥ	paQcamaH aDyAyaH
   [padacaturūrdhva-prakaraṇam (1-5)]	[pada-catur-UrDva--prakaraNam (1-5)]
   mukhavādo 'ṣṭabhirvarṇaiḥ pare syurmakarālayaiḥ kramād vṛddhaiḥ //	muKavAdaH azwaBiH-varNEH pare syuH-makara-AlayEH kramAt vRdDEH //
   satataṃ yasya vicitraiḥ pādaiḥ sampannasaundaryaṃ	satatam yasya vicitrEH pAdEH sampanna-sOndaryam
   taduditamamalamatibhiḥ padacaturūrdhvābhidhaṃ vṛttam // KedV_5.1 //	tat-uditam-amala-matiBiH pada-catur-UrDva-aBiDam vRttam // KedV_5.1 //
   prathamamuditavṛtte viracitaviṣamacaraṇabhāji //	praTama-mudita-vRtte viracita-vizama-caraNa-BAji //
   gurukayugalanidhana iha sahita āṅā	guruka-yugala-niDanaH iha sahitaH AFA
   laghuviratapadavitatiyatiriti bhavati pīḍaḥ // KedV_5.2 //	laGu-virata-pada-vitatiyatiH-iti Bavati pIxaH // KedV_5.2 //
   prathamamitaracaraṇasamutthaṃ śrayati sa yadi lakṣma /	praTamam-itara-caraNa-samutTam Srayati sa yadi lakzma /
   itaraditaragatitamapi yadi ca turyaṃ	itarat-itara-gatitam-api yadi ca turyam
   caraṇayugalakamiti kalikā sā // KedV_5.3 //	caraNa-yugalakam-iti kalikA sA // KedV_5.3 //
   dviguruyutasamalacaraṇāntā mukhacaraṇagatamanubhavati ca tṛtīyaḥ /	dvi-guru-yuta-samala-caraNa-antA muKa-caraNa-gatam-anuBavati ca tRtIyaH /
   aparamiha lakṣma prakṛtamakhilamapi yadidamanubhavati lavalī sā //	aparam-iha lakzma prakRtam-aKilam-api yat-idam-anuBavati lavalI sA //
   KedV_5.4 //	KedV_5.4 //
   prathamadhivasati yadi turyaṃ, caramacaraṇapadamavasitaguruyugmam /	praTama-Divasati yadi turyan, carama-caraNa-padam-avasita-guru-yugmam /
   nikhilamaparamuparigatamiti lalitapadayuktā, tadidamamṛtadhārā // KedV_5.5	niKilam-aparam-upari-gatam-iti lalita-pada-yuktA, tat-idam-amRta-DArA // KedV_5.5
   [udgatā-prakaraṇam (6-8)]	[udgatA--prakaraNam (6-8)]
   sajādime salaghukau ca nasajagurukairathodgatā /	sajAdime sa-laGukO ca nasa-ja-gurukEH-aTa-udgatA /
   tryaṅghrigatabhanajalā gayutāḥ sajasā agau caraṇamekataḥ paṭhet //	tri-aFGri-gata-Bana-jalAH gayutAH sajasA agO caraNam-ekatas paWet //
   KedV_5.6 //	KedV_5.6 //
   caraṇatrayaṃ vrajati lakṣma yadi sakalamudgatāgatam /	caraNa-trayam vrajati lakzma yadi sakalam-udgata-Agatam /
   nā bhagau bhavati saurabhakaṃ caraṇe yadīha bhavatastṛtīyake // KedV_5.7	nA BagO Bavati sOraBakam caraNe yadi-iha BavataH-tRtIyake // KedV_5.7
   nayugaṃ sakārayugalaṃ ca bhavati caraṇe tṛtīyake /	na-yugam sakAra-yugalam ca Bavati caraNe tRtIyake /
   taduditamurumatibhirlalitaṃ yadi śeṣamasya khalu pūrvatulyakam // KedV_5.8	tat-uditam-uru-matiBiH-lalitam yadi Sezam-asya Kalu pUrva-tulyakam // KedV_5.8
   [upasthitapracupita-prakaraṇam (9-11)]	[upasTita-pracupita--prakaraNam (9-11)]
   msau jbhau gau prathamāṅghrirekataḥ pṛthaganyattritayaṃ sanajaragāstato	msO jBO gO praTama-aFGriH-ekatas pRTak-anyat-tritayam sanajaragAH-tatas-
   nanau saḥ /	nanO saH /
   trinaparikalitajayau pracupitamidamuditamupasthitapūrvam // KedV_5.9 //	trina-parikalita-jayO pracupitam-idam-uditam-upasTita-pUrvam // KedV_5.9 //
   nau pāde 'tha tṛtīyake sanau nasayuktau prathamāṅghrikṛtayatistu	nO pAde aTa tRtIyake sanO nasa-yuktO praTama-aFGri-kRtayatiH-tu
   vardhamānam /	varDamAnam /
   tritayamaparamapi pūrvasadṛśamiha bhavati pratatamatibhiriti gaditaṃ laghu	tritayam-aparam-api pUrva-sadRSam-iha Bavati pratata-matiBiH-iti gaditam laGu
   vṛttam // KedV_5.10 //	vRttam // KedV_5.10 //
   prathame ca viratirārṣabhaṃ bruvanti //	praTame ca viratiH-ArzaBam bruvanti //
   tacchuddhavirāṭ puraḥ sthitaṃ tritayamaparamapi yadi pūrvasamaṃ syāt //	tad-SudDa-virAj puras sTitam tritayam-aparam-api yadi pUrva-samam syAt //
   KedV_5.11 //	KedV_5.11 //
   viṣamākṣarapādaṃ vā pādairasamaṃ daśadhrmavat /	vizama-akzara-pAdam vA pAdEH-asamam daSa-Drma-vat /
   yacchando noktamatra gātheti tatsūribhiḥ proktam // KedV_5.12 //	yacCandaH na-uktam-atra gATA-iti tad-sUriBiH proktam // KedV_5.12 //
   iti śrīmadbhaṭṭarāmeśvarasūnunārāyaṇabhaṭṭaviracitāyāṃ	iti SrImat-Bawwa-rAmeSvara-sUnu-nArAyaNa-Bawwa-viracitAyAm
   vṛttaratnākaravyākhyāyāṃ	vRtta-ratnAkara-vyAKyAyAm
   pañcamo 'dhyāyaḥ //	paQcamaH aDyAyaH //
   ṣaṣṭho 'dhyāyaḥ	zazWaH aDyAyaH
   [prastāraḥ]	[prastAraH]
   prastāro naṣṭamuddiṣṭamekadvayādilagakriyā /	prastAraH nazwam-uddizwam-eka-dvaya-Adi-laga-kriyA /
   saṅkhyānamadhvayogaśca ṣaḍete pratyayāḥ smṛtāḥ // KedV_6.1 //	saFKyAnam-aDva-yogaH-ca zaw-ete pratyayAH smRtAH // KedV_6.1 //
   pāde sarvagurāvādyāllaghuṃ nyasya guroradhaḥ /	pAde sarva-gurOvAdyAt-laGum nyasya guroH-aDas /
   yathopari tathā śeṣaṃ bhūyaḥ kuryādamuṃ vidhim // KedV_6.2 //	yaTA-upari taTA Sezam BUyas kuryAt-amum viDim // KedV_6.2 //
   ūne dadyād gurūneva yāvatsarvalaghurbhavet /	Une dadyAt gurUn-eva yAvat-sarva-laGuH-Bavet /
   prastāro 'yaṃ samākhyātaśchandovicitivedibhiḥ // KedV_6.3 //	prastAraH ayam samAKyAtaH-CandaH-viciti-vediBiH // KedV_6.3 //
   [naṣṭam]	[nazwam]
   naṣṭasya yo bhavedaṅkastasyārdhe 'rdhe same ca laḥ //	nazwasya yaH Bavet-aFkaH-tasya-arDe arDe same ca laH //
   viṣame caikamādhāya syādardhe 'rdhe gurubhavet // KedV_6.4 //	vizame ca-ekam-ADAya syAt-arDe arDe guru-Bavet // KedV_6.4 //
   [uddiṣṭam]	[uddizwam]
   uddiṣṭaṃ dviguṇānādyāduparyaṅkānsamālikhet /	uddizwam dviguNAnAdyAt-upari-aFkAn-samAliKet /
   laghusthā ye ca tatrāṅkāstaiḥ saikairmiśritairbhavet // KedV_6.5 //	laGu-sTAH ye ca tatra-aFkAH-tEH sa-ekEH-miSritEH-Bavet // KedV_6.5 //
   [ekadvayādilagakriyā]	[eka-dvayAdi-laga-kriyA]
   varṇānvṛttabhavānsaikānauttarādharyataḥ sthitān /	varNAn-vRtta-BavAn-sa-ekAna-Ottara-aDaryataH sTitAn /
   ekādikramataścaitānuparyupari nikṣipet // KedV_6.6 //	eka-Adi-kramataH-ca-etAn-upari-upari nikzipet // KedV_6.6 //
   upāntyato nivarteta tyajannekaikamūrdhvataḥ /	upAnti-atas nivarteta tyajan=-ekEkam-UrDvatas /
   uparyādyād gurorekamekadvyādilagakriyā // KedV_6.7 //	upari-AdyAt guroH-ekam-ekadvi-Adi-laga-kriyA // KedV_6.7 //
   [saṅkhyānam]	[saFKyAnam]
   lagakriyāṅkasandohe bhavetsaṅkhyā vimiśrite /	laga-kriyA-aFka-sandohe Bavet-saFKyAH vimiSrite /
   uddiṣṭāṅkasamāhāraḥ saikā vā janayedimām // KedV_6.8 //	uddizwa-aFka-samAhAraH sA-ekAH vA janayet-imAm // KedV_6.8 //
   [adhvayogaḥ]	[aDva-yogaH]
   saṅkhyaiva dviguṇaikonā sadbhiradhvā prakīrtitaḥ //	saFKyA-eva dviguNa-eka-UnA sadBiH-aDvA prakIrtitaH //
   vṛttasyāṅgulikā vyāptiradhaḥ kuryāttathāṅgulim // KedV_6.9 //	vRttasya-aFgulikA vyAptiH-aDas kuryAt-taTA-aFgulim // KedV_6.9 //
   vaṃśe 'bhūtkaśyapasya prakaṭaguṇagaṇaḥ śaivasiddhāntavettā	vaMSe aBUt-kaSyapasya prakawa-guNa-gaNaH SEva-sidDAnta-vettA
   vipraḥ pavyekanāmā vimalataramatirvedatattvārthabodhe /	vipraH pavyeka-nAmA vimalatara-matiH-veda-tattva-arTa-boDe /
   kedārastasya sūnuḥ śivacaraṇayugārādhanaikāgracittaśchandastenābhirāmaṃ	kedAraH-tasya sUnuH Siva-caraNa-yuga-ArADana-ekAgra-cittaH-CandaH-tena-aBirAmam
   vṛttaratnākarākhyam // KedV_6.10 //	vRtta-ratnAkara-AKyam // KedV_6.10 //
   iti śrīmadbhaṭṭarāmeśvarasūnunārāyaṇabhaṭṭaviracitāyāṃ	iti SrImat-Bawwa-rAmeSvara-sUnu-nArAyaNa-Bawwa-viracitAyAm
   vṛttaratnākaravyākhyāyāṃ	vRtta-ratnAkara-vyAKyAyAm
   prastārādhyāyaḥ ṣaṣṭhaḥ samāptaḥ //	prastAra-aDyAyaH zazWaH samAptaH //
