   nyāyakusumāñjaliḥ //	nyAya-kusuma-aQjaliH //
   tato nedamanavasara eva vaktumucitam /	tatas na-idam-anavasaraH eva vaktum-ucitam /
   [ku.1.128] vṛddhairvipralabdhatvādbālānāmiti cenna- vṛddhānāmapi pravṛtteḥ	[ku.1.128] vRdDEH-vipralabDa-tvAt-bAlAnAm-iti ced-na vRdDAnAm-api pravRtteH
   na ca vipralambhakāḥ svātmānamapi vipralabhante /	na ca vipralamBakAH sva-AtmAnam-api vipralaBante /
   te 'pi vṛddhatarairityevamanādiriti cet- na tarhi vipralipsuḥ kaścidatra,	te api vRdDatarEH-iti-evam-anAdiH-iti cet na tarhi vipralipsuH kaScid-atra,
   yataḥ pratāraṇaśaṅkā syāt /	yatas pratAraNa-SaFkA syAt /
   idaṃ prathama eva kaścidanuṣṭhāyāpi dhūrtaḥ parān anuṣṭhāpayatīti cet-	idam praTamaH eva kaScid-anuzWAya-api DUrtaH parAn anuzWApayati-iti ced--
   kimasau sarvalokottara eva; yaḥ sarvasvadakṣiṇayā sarvabandhuparityāgena	kim-asO sarva-loka-uttaraH eva; yaH sarva-sva-dakziNayA sarva-banDu-parityAgena
   sarvasukhavimukho brahmacaryeṇa tapasā śraddhayā vā	sarva-suKa-vimuKaH brahmacaryeNa tapasA SradDayA vA
   kevalaparavañcana(29)kutūhalī yāvajjīvamātmānamavasādayati /	kevala-para-vaQcana-(29)kutUhalI yAvat-jIvam-AtmAnam-avasAdayati /
   kathaṃ cainamekaṃ prekṣā (30)pūrvakāriṇo 'pyanuvidadhyuḥ? kena vā	kaTam ca-enam-ekam prekzA (30)-pUrva-kAriNaH api-anuvidaDyuH? kena vA
   cinhenāyamīdṛśastvayā lokottaraprajñena pratāraka iti nirṇītaḥ? na	cinhena-ayam-IdRSaH-tvayA loka-uttara-prajQena pratArakaH iti nirNItaH? na
   hyetāvato duḥkharāśeḥ pratāraṇasukhaṃ garīyaḥ /	hi-etAvataH duHKa-rASeH pratAraNa-suKam garIyaH /
   (31)yataḥ pākhaṇḍābhimateṣvapyevaṃ dṛśyata iti cenna-	(31)yataH pAKaNxa-aBimatezu-api-evam dRSyate iti ced-na-
   hetudarśanādarśanābhyāṃ viśeṣāt /	hetu-darSana-adarSanAByAm viSezAt /
   anādau caivambhūte 'nuṣṭhāne pratāyamāne prakārāntaramāśrityāpi	anAdO ca-evamBUte anuzWAne pratAyamAne prakAra-antaram-ASritya-api
   bahuvittavyayāyāsopadeśamātreṇa pratāraṇā syāt; (32)natvanuṣṭhānāgocareṇa	bahu-vitta-vyaya-AyAsa-upadeSa-mAtreNa pratAraNA syAt; (32)natu-anuzWAna-agocareNa
   karmaṇā /	karmaNA /
   anyathā pramāṇavirodhamantareṇa pākhaṇḍitvaprasiddhirapi na syāt /	anyaTA pramANa-viroDam-antareNa pAKaNxi-tva-prasidDiH-api na syAt /
   [ku.1.129] astu dānādhyayanādireva vicitro heturjagadvaicitryasyeti cenna-	[ku.1.129] astu dAna-aDyayana-AdiH-eva vicitraH hetuH-jagat-vEcitryasya-iti ced-na-
   kṣaṇikatvāt /	kzaNika-tvAt /
   apekṣitasya kālāntarabhāvitvāt /	apekzitasya kAla-antara-BAvi-tvAt /
   ciradhvastaṃ phalāyālaṃ na karmātiśayaṃ vinā /	cira-Dvastam PalAya-alam na karma-atiSayam vinA /
   (33)sambhogo nirviśeṣāṇāṃ na bhūtaiḥ saṃskṛtairapi //9 //	(33)samBogaH nirviSezANAm na BUtEH saMskRtEH-api //9 //
   tasmādastyatiśayaḥ kaścit /	tasmAt-asti-atiSayaH kaScid /
   īdṛśānyevaitāni svahetubalā'yātāni, yena niyatabhogasādhanānīti cet-	IdRSAni-eva-etAni sva-hetu-balA-ayAtAni, yena niyata-Boga-sADanAni-iti ced--
   tadidamamīṣāmatīndriyaṃ rūpaṃ sahakāribhedo vā? na tāvat	tat-idam-amIzAm-atIndriyam rUpam sahakAri-BedaH vA? na tAvat-
   aindriyakasyātīndriyaṃ rūpam, vyāghātāt /	Endriyakasya-atIndriyam rUpam, vyAGAtAt /
   dvitīye tvapūrvasiddhiḥ /	dvitIye tu-apUrva-sidDiH /
   [ku.1.130] siddhyatu bhūtadharma eva gurutvādivadatīndriyaḥ /	[ku.1.130] sidDyatu BUta-DarmaH eva guru-tva-Adi-vat-ati-indriyaH /
   avaśyaṃ tvayāpyetadaṅgīkaraṇīyam /	avaSyam tvayA-api-etat-aFgIkaraNIyam /
   kathamanyathā mantrādibhiḥ pritibandhaḥ /	kaTam-anyaTA mantra-AdiBiH priti-banDaH /
   tathā hi- karatalānalasaṃyogāt yādṛśādevadāho dṛṣṭaḥ, tādṛśādeva	taTA hi kara-tala-anala-saMyogAt yAdRSAdeva-dAhaH dRzwaH, tAdRSAt-eva
   mantrādipratibandhe sati dāho na jāyate; asati tu jāyate /	mantra-Adi-pratibanDe sati dAhaH na jAyate; asati tu jAyate /
   tatra na dṛṣṭavaiguṇyamupalabhāmahe /	tatra na dRzwa-vEguNyam-upalaBAmahe /
   nāpi dṛṣṭasādguṇye 'dṛṣṭavaiguṇyaṃ sambhāvanīyam; tasyaitāvanmātrārthatvāt	na-api dRzwa-sAdguNye adRzwa-vEguNyam samBAvanIyam; tasya-etAvat-mAtrA-arTa-tvAt
   anyathā, karmaṇyapi vibhāgaḥ kadācinna jāyeta /	anyaTA, karmaNi-api viBAgaH kadAcid-na jAyeta /
   na ca pratibandhakābhāvaviśiṣṭā sāmagrī kāraṇam; abhāvasyākāraṇatvāt /	na ca pratibanDaka-aBAva-viSizwA sAmagrI kAraNam; aBAvasya-akAraNa-tvAt /
   tuccho hyasau /	tucCaH hi-asO /
   pratibandhakottambhakaprayogakāle ca tena vināpi kāryotpatteḥ /	pratibanDaka-uttamBaka-prayoga-kAle ca tena vinA-api kArya-utpatteH /
   prākpradhvaṃsādivikalpena cāniyatahetukatvāpātāt /	prAc-praDvaMsa-Adi-vikalpena ca-aniyata-hetukatva-ApAtAt /
   akiñcitkarasya pratibandhakatvāyogāt; kiñcitkaratve cātīndriyaśakteḥ	akiQcitkarasya pratibanDaka-tva-ayogAt; kiQcitkara-tve ca-ati-indriya-SakteH
   svīkārāt /	svIkArAt /
   mantrādiprayoge cetaretarābhāvasya sattve 'pi kāryānudayāt /	mantra-Adi-prayoge ca-itaretarABAvasya sattve api kArya-anudayAt /
   ato 'tīndrīyaṃ kiñciddāhānuguṇamanugrāhakamagnerunnīyate, yasyāpakurvatāṃ	atas atIndrI-iyam kiQcid-dAha-anuguNam-anugrAhakam-agneH-unnIyate, yasya-apakurvatAm
   pratibandhakatvamupapadyate; yasminnavikale kāryaṃ jāyate	pratibanDaka-tvam-upapadyate; yasmin=-avikale kAryam jAyate
   (34)yasyaikajātīyatvādaniyatahetukatvaṃ nirasyata iti /	(34)yasya-eka-jAtIya-tvAt-aniyata-hetuka-tvam nirasyate iti /
   [ku.1.131] atrocyate- bhāvo yathātathābhāvaḥ kāraṇaṃ kāryavanmataḥ /	[ku.1.131] atra-ucyate BAvaH yaTA-taTA-BAvaH kAraNam kArya-vat-mataH /
   pratibandho visāmagrī taddhetuḥ pratibandhakaḥ //10 //	pratibanDaH visAmagrI tad-hetuH pratibanDakaH //10 //
   n.a hyabhāvasyākāraṇatve pramāṇamasti /	n.a hi-aBAvasya-akAraNa-tve pramANam-asti /
   na hi vidhirūpeṇāsau tuccha iti svarūpeṇāpi tathā; niṣedharūpābhāve	na hi viDi-rUpeNa-asO tucCaH iti sva-rUpeNa-api taTA; nizeDa-rUpa-aBAve
   vidherapi(reva) tucchatvaprasaṅgāt /	viDeH-api(rA-iva) tucCatva-prasaFgAt /
   kāraṇatvasya bhāvatvena vyāptatvāttannivṛttau tadapi nivartata iti	kAraNa-tvasya BAva-tvena vyApta-tvAt-tad-nivRttO tat-api nivartate iti
   cenna- parivartaprasaṅgāt /	ced-na parivarta-prasaFgAt /
   anvayavyatirekānuvidhānasya ca kāraṇatvaniścayahetorbhāvavadabhāve 'pi	anvaya-vyatireka-anuviDAnasya ca kAraNa-tva-niScaya-hetoH-BAvavat-aBAve api
   tulyatvāt /	tulya-tvAt /
   abhāvasyāvarjanīyatayāsannidhiḥ na tu hetutveneti cet- tulyam /	aBAvasya-AvarjanIya-tayA-sanniDiH na tu hetu-tvena-iti cet tulyam /
   pratiyoginamutsārayatastasyānyaprayuktaḥsannidhiriti cet- tulyam /	pratiyoginam-utsArayataH-tasya-anya-prayuktaH-sanniDiH-iti cet tulyam /
   bhāvasyābhāvotsāraṇaṃ svarūpameveti cet- abhāvasyāpi bhāvotsāraṇaṃ	BAvasya-aBAva-utsAraNam svarUpam-eva-iti cet aBAvasya-api BAva-utsAraNam
   svarūpānnātiricyate /	svarUpAt-na-atiricyate /
   tasmāt yathā "bhāvasyaiva bhāvo janaka" iti niyamo 'nupapannaḥ, tathā	tasmAt yaTA "BAvasya-eva BAvaH janaka" iti niyamaH anupapannaH, taTA
   "bhāva eva janaka" ityapi /	"BAvaH eva janaka" iti-api /
   ko hyanayorviśeṣaḥ /	kaH hi-anayoH-viSezaH /
   [ku.1.132] pratibandhakottambhakaprayogakāle tu vyabhicārastadā syāt; yadi	[ku.1.132] pratibanDaka-uttamBaka-prayoga-kAle tu vyaBicAraH-tadA syAt; yadi
   yādṛśe sati kāryānudayaḥ, tādṛśa eva sati utpādaḥ syāt /	yAdRSe sati kAryAn-udayaH, tAdRSaH eva sati utpAdaH syAt /
   na tvevam; tadāpi pratipakṣasyābhāvāt /	na tu-evam; tadA-api pratipakzasya-aBAvAt /
   asatpratipakṣo hi (35)pratibandhakābhimato mantraḥ pratipakṣaḥ /	asat-pratipakzaH hi (35)pratibanDaka-aBimataH mantraH pratipakzaH /
   sa ca tādṛśo nāstyeva /	sa ca tAdRSaH na-asti-eva /
   yastvasti, nāsau pratipakṣaḥ /	yaH-tu-asti, na-asO pratipakzaH /
   tathāpi viśeṣye satyeva viśeṣaṇamātrābhāvastatra; sa cottambhakamantra	taTA-api viSezye sati-eva viSezaNa-mAtra-aBAvaH-tatra; sa ca-uttamBaka-mantra
   evetyanyaiva sāmagrīti cet- na, viśiṣṭasyāpyabhāvāt /	eva-iti-anyA-eva sAmagri-iti cet na, viSizwasya-api-aBAvAt /
   na hi daṇḍini sati adaṇḍānāmanyeṣāṃ nābhāvaḥ, kintu daṇḍābhāvasyaiva	na hi daNxini sati adaNxAnAm-anyezAm na-aBAvaH, kintu daNxa-aBAvasya-eva
   kevalasyeti yuktam /	kevalasya-iti yuktam /
   yathā hi kevaladaṇḍasadbhāve, ubhayasadbhāve, dvayābhāve vā	yaTA hi kevala-daNxa-sadBAve, uBaya-sadBAve, dvaya-aBAve vA
   kevalapuruṣābhāvaḥ sarvatrāviśiṣṭaḥ, tathā kevalottambhakasadbhāve,	kevala-puruza-aBAvaH sarvatra-aviSizwaH, taTA kevala-uttamBaka-sadBAve,
   pratibandhakottambhakasadbhāve, dvayābhāve vā kevapratibandhakābhāvo	pratibanDaka-uttamBaka-sadBAve, dvaya-aBAve vA kA-iva-pratibanDaka-aBAvaH-
   'viśiṣṭa ityavadhāryatām /	aviSizwaH iti-avaDAryatAm /
   athaivambhūtasāmagrītrayameva kiṃ neṣyate? kāryasya tadvyabhicārāt;	aTa-evamBUta-sAmagrI-trayam-eva kim na-izyate? kAryasya tat-vyaBicAra-at;
   jātibhedakalpanāyāṃ ca pramāṇābhāvāt; yathoktenaivopapatteḥ /	jAti-Beda-kalpanAyAm ca pramANa-aBAva-at; yaTA-uktena-eva-upapatteH /
   bhāve vā kāmamasāvastu; kā no hāniḥ /	BAve vA kAmam-asO=-astu; kA naH hAniH /
   [ku.1.133] prākpradhvaṃsavikalpo 'pi nāniyatahetukatvāpādakaḥ, yasmin sati	[ku.1.133] prAc-praDvaMsa-vikalpaH api na-aniyata-hetuka-tva-ApAdakaH, yasmin sati
   kāryaṃ na jāyate, tasminnasatyeva jāyata iti, atra saṃsargābhāvasyaiva	kAryam na jAyate, tasmin=-asati-eva jAyate iti, atra saMsarga-aBAvasya-eva
   prayojakatvāt /	prayojaka-tvAt /
   yastu saṃsargābhāvatādātmyaniṣedhayorviśeṣamanākalayannitaretarābhāvena	yaH-tu saMsarga-aBAva-tAdAtmya-nizeDayoH-viSezam-anAkalayan=-itara-itara-aBAvena
   pratyavatiṣṭhate, sa pratibodhanīyaḥ /	pratyavatizWate, sa pratiboDanIyaH /
   tathāpyabhāveṣu jāterabhāvāt kathaṃ trayāṇāmupagrahaḥ syāt; anupagṛhītānāṃ	taTA-api-aBAvezu jAteH-aBAvAt kaTam trayANAm-upagrahaH syAt; anupagRhItAnAm
   ca kathaṃ kāraṇatvāvadhāraṇamiti cet- mā bhūjjātiḥ /	ca kaTam kAraNatva-avaDAraNam-iti cet mA BUt-jAtiH /
   na hi tadupagṛgītānāmeva vyavahārāṅgatvam /	na hi tad-upagRgItAnAm-eva vyavahAra-aFga-tvam /
   sarvatropādhimadvyavahāravilopaprasaṅgāt /	sarvatra-upADimat-vyavahAra-vilopa-prasaFgAt /
   [ku.1.134] ete(ane)na pratibandhake satyapi tajjātīyānyasyābhāvasambhavāt	[ku.1.134] ete(ane)na pratibanDake sati-api tad-jAtIyAni-asya-aBAva-samBavAt-
   kāryotpādaprasaṅgaḥ, anutpāde vā tato 'pyadhikaṃ kiñcidapekṣaṇīyamastīti	kArya-utpAda-prasaFgaH, anutpAde vA tatas api-aDikam kiQcid-apekzaNIyam-asti-iti
   nirastam /	nirastam /
   yathā hi "tajjātīye sati kāryaṃ jāyate, arthāt asati na jāyate" iti sthite	yaTA hi "tad-jAtIye sati kAryam jAyate, arTAt asati na jAyate" iti sTite
   tadbhāve 'pi tajjātīyāntarābhāvānna bhavitavyaṃ kāryeṇeti (36)na	tad-BAve api tad-jAtIya-antara-aBAvAt-na Bavitavyam kAryeNa-iti (36)na
   tathaitadapi; anukūlavat pratikūle 'pi sati	taTA-etat-api; anukUla-vat pratikUle api sati
   tajjātīyāntarābhāvānāmakiñcitkaratvāditi /	tad-jAtIya-antara-aBAvAnAm-a-kiQcitkara-tvAt-iti /
   [ku.1.135] yattu "akiñcitkarasye'ti- tadapyasat /	[ku.1.135] yat-tu "akiQcitkarasye-ati tat-api-asat /
   sāmagrīvaikalyaṃ pratibandhyapadārtho mukhyaḥ /	sAmagrI-vEkalyam pratibanDya-padArTaH muKyaH /
   sa cātra mantrādireva /	sa ca-atra mantra-AdiH-eva /
   na tvasau pratibandhakaḥ /	na tu-asO pratibanDakaH /
   tataḥ kiṃ tasyākiñcitkaratvena? tatprayoktārastu pratibandhāraḥ, te ca	tatas kim tasya-akiQcitkara-tvena? tad-prayoktAraH-tu pratibanDAraH, te ca
   kiñcitkarā eveti kimasamañjasam /	kiQcitkarAH eva-iti kim-asamaQjasam /
   ye tu vyutpādayanti; "kāryānutpāda eva pratibandha" iti- taiḥ	ye tu vyutpAdayanti; "kArya-anutpAdaH eva pratibanDa" iti tEH
   (37)"pratibandhamakurvanta eva pratibandhakāḥ" ityuktaṃ bhavati /	(37)"pratibanDam-akurvantaH eva pratibanDakAH" iti-uktam Bavati /
   tathā hi- kāryasyānutpādaḥ prāgabhāvo vā syāt, tasya kālāntaraprāptirvā /	taTA hi kAryasya-anutpAdaH prAgaBAvaH vA syAt, tasya kAla-antara-prAptiH-vA /
   na pūrvaḥ, tasyānutpādyatvāt /	na pUrvaH, tasya-anutpAdya-tvAt /
   na dvitīyaḥ, kālasya svarūpato 'bhedāt /	na dvitIyaH, kAlasya svarUpataH aBedAt /
   tadupādhestu mantramantareṇāpi svakāraṇādhīnatvāt /	tad-upADeH-tu mantram-antareNa-api sva-kAraNa-aDIna-tvAt /
   prāgabhāvāvacchedakakālopādhistadapekṣa iti cenna- mantrātpūrvamapi tasya	prAc-aBAva-avacCedaka-kAla-upADiH-tad-apekzaH iti ca-id-na mantrAt-pUrvam-api tasya
   bhāvāt /	BAvAt /
   tasmāt sāmagrītatkāryayoḥ paurvāparyaniyamāttadabhāvayorapi pūrvāparabhāva	tasmAt sAmagrI-tat-kAryayoH pOrvAparya-niyamAt-tad-aBAvayoH-api pUrva-apara-BAva
   upacaryate; vastutastu tulyakālatvameveti nāyaṃ panthāḥ /	upacaryate; vastutas-tu tulya-kAla-tvam-eva-iti na-ayam panTAH /
   [ku.1.136] na cedevaṃ śaktisvīkāre 'pi kaḥ pratīkāraḥ ? tathā hi	[ku.1.136] na ced-evam Sakti-svIkAre api kaH pratIkAraH ? taTA hi
   pratibandhakena śaktirvā vināśyate, taddharmo vā, dharmāntaro vā janyate,	pratibanDakena SaktiH-vA vinASyate, tad-DarmaH vA, Darma-antaraH vA janyate,
   na janyate vā kimapīti pakṣāḥ /	na janyate vA kim-api-iti pakzAH /
   tatrākiñcitkarasya pratibandhakatvānupapatteḥ viparītadharmāntarajanane,	tatra-akiQcitkarasya pratibanDaka-tva-anupapatteH viparIta-Darma-antara-janane,
   tadabhāve satyeva kāryamityabhāvasya kāraṇatvasvīkāraḥ,	tad-aBAve sati-eva kAryam-iti-aBAvasya kAraNa-tva-svIkAraH,
   prāgabhāvādivikalpāvakāśaśca /	prAc-aBAva-Adi-vikalpa-avakASaH-ca /
   tadvināśe taddharmavināśe vā punaruttambhakena tajjanane	tad-vinASe tad-Darma-vinASe vA punar-uttamBakena tad-janane
   'niyatahetukatvam; pūrvaṃ svarūpotpādakāt idānīmuttambhakādutpatteḥ /	aniyata-hetuka-tvam; pUrvam svarUpa-utpAdakAt idAnIm-uttamBakAt-utpatteH /
   na ca samānaśaktikatayā tulyajātīyatvānnaivamiti sāmpratam; vijātīyeṣu	na ca samAna-Saktika-tayA tulya-jAtIya-tvAt-na-evam-iti sAmpratam; vijAtIyezu
   samānaśaktiniṣedhāt /	samAna-Sakti-nizeDAt /
   na ca pratibandhakaśaktimevottambhako viruṇaddhi, na tu	na ca pratibanDaka-Saktim-eva-uttamBakaH viruNadDi, na tu
   bhāvaśaktimutpādayatīti sāmpratam; tadanutpādaprasaṅgāt /	BAva-Saktim-utpAdayati-iti sAmpratam; tad-anutpAda-prasaFgAt /
   kālaviśeṣāttadutpāde tadevāniyatahetukatvamiti /	kAla-viSezAt-tad-utpAde tat-eva-aniyata-hetuka-tvam-iti /
   [ku.1.137] syādetat- mā bhūtsahajaśaktiḥ; ādheyaśaktistu syāt /	[ku.1.137] syAt-etat mA BUt-sahaja-SaktiH; ADeya-SaktiH-tu syAt /
   dṛśyate hi prokṣaṇādinā vrīhyāderabhisaṃskāraḥ /	dRSyate hi prokzaNa-AdinA vrIhi-AdeH-aBisaMskAraH /
   kathamanyathā kālāntare tādṛśānāmeva kāryaviśeṣopayogaḥ /	kaTam-anyaTA kAla-antare tAdRSAnAm-eva kArya-viSeza-upayogaH /
   na ca mantrādīneva sahakāriṇaḥ prāpya te kāryakāriṇa iti sāmpratam- teṣu	na ca mantra-AdIn-eva sahakAriNaH prApya te kArya-kAriNaH iti sAmpratam tezu
   ciradhvasteṣvapi kāryotpādāt /	cira-Dvastezu-api kArya-utpAdAt /
   nāpi pradhvaṃsasahāyāste tathā; evaṃ hi yāgādipradhvaṃsā eva	na-api praDvaMsa-sahAyAH-te taTA; evam hi yAga-Adi-praDvaMsAH eva
   svargādīnutpādayantu; kṛtamapūrvakalpanayā /	svarga-AdIn-utpAdayantu; kRtam-apUrva-kalpanayA /
   teṣāmanantatvādanantaphalapravāhaḥ prasajyata iti cet- apūrvepi kalpite	tezAm-ananta-tvAt-ananta-Pala-pravAhaH prasajyate iti cet apUrvepi kalpite
   tāvāneva	tAvAn-eva
   phalapravāha iti kutaḥ ? apūrvasvābhāvyāditi cet- tulyamihāpi /	Pala-pravAhaH iti kutas ? apUrva-svABAvyAt-iti cet tulyam-iha-api /
   tāvatāpi tatpradhvaṃso na vinaśyatīti viśeṣaḥ /	tAvatA-api tad-praDvaMsaH na vinaSyati-iti viSezaH /
   [ki.1.138] syādetat-"upalakṣaṇaṃ prokṣaṇādayaḥ; na tu viśeṣaṇam /	[ki.1.138] syAt-etat-"upalakzaNam prokzaNa-AdayaH; na tu viSezaNam /
   tathā cāvidyamānairapi tairupalakṣitā vrīhyādayastatra tatropayokṣyante,	taTA ca-avidyamAnEH-api tEH-upalakzitAH vrIhi-AdayaH-tatra tatra-upayokzyante,
   yathā guruṇā ṭīkā; kuruṇā kṣetram- iti cet- tadasat /	yaTA guruNA wIkA; kuruNA kzetram iti cet tat-asat /
   na hi svarūpavyāpārayorabhāve 'pyupalakṣaṇasya kāraṇatvaṃ kaścidicchati;	na hi sva-rUpa-vyApArayoH-aBAve api-upalakzaNasya kAraNa-tvam kaScid-icCati;
   atiprasaṅgāt /	atiprasaFgAt /
   vyavahāramātraṃ tu tajjñānasādhyam, na tu tatsādhyam /	vyavahAra-mAtram tu tat-jQAna-sADyam, na tu tat-sADyam /
   tajjñānamapi svakāraṇādhīnam /	tat-jQAnam-api sva-kAraNa-aDInam /
   na tu tena niranvayadhvastena janyate /	na tu tena niranvaya-Dvastena janyate /
   (astu tāvat) astu vā tatrāpyatiśayakalpanā; kinnaśchinnam ? yadvā	(aH-tu tAvat) astu vA tatra-api-atiSaya-kalpanA; kinnaH-Cinnam ? yat-vA
   yāgāderapyupalakṣaṇatvamastu /	yAga-AdeH-api-upalakzaNa-tvam-astu /
   tadupalakṣitaḥ kālo yajvā vā svargādi sādhayiṣyati kṛtamapūrveṇa /	tad-upalakzitaH kAlaH yajvA vA svarga-Adi sADayizyati kRtam-apUrveNa /
   [ku.1.139] na ca devadattasya svaguṇākṛṣṭāḥ śarīrādayo bhogāya,	[ku.1.139] na ca devadattasya sva-guNa-AkRzwAH SarIra-AdayaH BogAya,
   tadbhogasādhanatvāt sragādivaditya(numānā)nvayivalādapūrvasiddhernāviśeṣa	tad-Boga-sADana-tvAt sraj-Adi-vat-iti-a(numAnA)n-vayi-valAda-pUrva-sidDeH-na-aviSeza
   iti sāmpratam; icchāprayatnajñānairyathāyogaṃ siddhasādhanāt /	iti sAmpratam; icCA-prayatna-jQAnEH-yaTAyogam sidDa-sADanAt /
   na ca tadrahitānāmapi bhoga iti yuktimat, yena tato 'pyadhikaṃ siddhyet /	na ca tad-rahitAnAm-api BogaH iti yuktimat, yena tatas api-aDikam sidDyet /
   nāpisvaguṇotpāditā iti sādhyārthaḥ, manasānaikāntikatvāt /	na-api-sva-guNa-utpAditAH iti sADya-arTaH, manasA-anEkAntika-tvAt /
   nāpi kāryatve satīti viśeṣaṇāyo hetuḥ; tathāpyupalakṣaṇaireva	na-api kAryatve sati-iti viSezaNAyaH hetuH; taTA-api-upalakzaNEH-eva
   siddhasādhanāt /	sidDa-sADanAt /
   asatāṃ teṣāṃ kathamutpādakatvamiti cet- tadetadabhimantraṇādiṣvapi tulyam	asatAm tezAm kaTam-utpAdaka-tvam-iti cet tad-etat-aBimantraNa-Adizu-api tulyam
   [ku.1.140] tasmādbhāvabhūtamatiśayaṃ janayanta eva prokṣaṇādayaḥ	[ku.1.140] tasmAt-BAva-BUtam-atiSayam janayantaH eva prokzaNa-AdayaH
   kālāntarabhāvine phalāya kalpante /	kAla-antara-BAvine PalAya kalpante /
   pramāṇatastadarthamupādīyamānatvāt yāgakṛṣicikitsāvaditi /	pramANataH-tad-arTam-upAdIyamAna-tvAt yAga-kRzi-cikitsA-vat-iti /
   anyathā kṛṣyādayo durghaṭāḥ prasajyeran; bījādīnāmāparamāṇvantabhaṅgāt	anyaTA kRzi-AdayaH durGawAH prasajyeran; bIja-AdInAm-AparamANu-anta-BaFgAt-
   teṣu cāvāntarajāterabhāvānniyatajātīyakāryārambhānupapatteḥ /	tezu ca-avAntara-jAteH-aBAvAt-niyata-jAtIya-kArya-AramBa-anupapatteH /
   atrocyate-[ku.1.141] saṃskāraḥ puṃsa eveṣṭaḥ prokṣaṇābhyukṣaṇādibhiḥ /	atra-ucyate-[ku.1.141] saMskAraH puMsaH eva-izwaH prokzaNa-aByukzaNa-AdiBiH /
   svaguṇāḥ paramāṇūnāṃ viśeṣāḥ pākajadayaḥ //11 //	sva-guNAH paramANUnAm viSezAH pAkaja-dayaH //11 //
   yathā hi devatāviśeṣoddeśena hutāśane havirāhutayaḥ samantrāḥ prayuktāḥ	yaTA hi devatA-viSeza-uddeSena hutASane haviH-AhutayaH sa-mantrAH prayuktAH
   puruṣamabhisaṃskurvate, na vanhiṃ, nāpi devatāḥ; tathā vrīhyādyuddeśena	puruzam-aBisaMskurvate, na vanhiM, na-api devatAH; taTA vrIhi-Adi-uddeSena
   prayujyamānaḥ prokṣaṇādiḥ puruṣameva saṃskurute, na tam /	prayujyamAnaH prokzaNa-AdiH puruzam-eva saMskurute, na tam /
   tathā ca kārīrījanitasaṃskārādhārapuruṣasaṃyogājjalamucāṃ	taTA ca kArIrI-janita-saMskAra-ADAra-puruza-saMyogAt-jala-mucAm
   sañcaraṇajalakṣaraṇarūpā kriyā, tathā vrīhyādīnāṃ tattaduttarakriyāviśeṣāḥ	saQcaraNa-jala-kzaraNa-rUpA kriyA, taTA vrIhi-AdInAm tad-tad-uttara-kriyA-viSezAH
   yathā caikatra kartṛkarmasādhanavaiguṇyātphalābhāvastathā paratrāpi;	yaTA ca-ekatra kartR-karma-sADana-vEguNyAt-Pala-aBAvaH-taTA paratra-api;
   āgamikatvasyobhayatrāpi tulyatvāt /	Agamika-tvasya-uBayatra-api tulya-tvAt /
   [ku.1.142] na tarhi barhiṣa iva vrīhyādeḥ punarupayogāntaraṃ syāt /	[ku.1.142] na tarhi barhizaH iva vrIhi-AdeH punar-upayoga-antaram syAt /
   upayoge vā tajjātīyāntaramapyupādīyeta; aviśeṣāt /	upayoge vA tad-jAtIya-antaram-api-upAdIyeta; aviSezAt /
   na /	na /
   vicitrā hyabhisaṃskārāḥ /	vicitrAH hi-aBisaMskArAH /
   kecidvyāpriyamāṇoddeśyasahakāriṇa eva kārye upayujyante /	kecid-vyApriyamANa-uddeSya-sahakAriNaH eva kArye upayujyante /
   kimatra kriyatām? vidherdurlaṅghatvāt /	kim-atra kriyatAm? viDeH-durlaFGa-tvAt /
   yathācābhicārasaṃskāro yaṃ dehamuddiśya prayuktastadapekṣa eva	yaTA-aca-aBicAra-saMskAraH yam deham-uddiSya prayuktaH-tad-apekzaH eva
   tatsambaddhasyaiva duḥkhamupajanayati nānyasya; na vā tadanapekṣaḥ /	tad-sambadDasya-eva duHKam-upajanayati na-anyasya; na vA tad-anapekzaH /
   evamabhimantraṇādisaṃskārā api bhavanto na manāgapi nopayujyante /	evam-aBimantraNa-Adi-saMskArAH api BavantaH na manAk-api na-upayujyante /
   kathaṃ tarhi vrīhyādīnāṃ saṃskāryakarmateti cet-	kaTam tarhi vrIhi-AdInAm saMskArya-karmatA-iti ced--
   prokṣaṇādiphalasambandhādeva /	prokzaNa-Adi-Pala-sambanDAt-eva /
   [ku.1.143] nanu yaduddeśena yatkriyate tattatra kiñcitkaram, yathā	[ku.1.143] nanu yat-uddeSena yat-kriyate tat-tatra kiQcid-karam, yaTA
   putreṣṭipitṛyajñau /	putra-izwi-pitR-yajQO /
   tathā cābhimantraṇādayo vrīhyādyuddeśena pravṛttāḥ ityanumānamiti cet-	taTA ca-aBimantraNa-AdayaH vrIhi-Adi-uddeSena pravRttAH iti-anumAnam-iti ced--
   tanna- havistyāgādibhiranaikāntikatvāt /	tat-na haviH-tyAga-AdiBiH-anEkAntika-tvAt /
   na hi te kālāntarabhāviphalānuguṇaṃ kiñcit hutāśanādau janayanti /	na hi te kAla-antara-BAvi-Pala-anuguNam kiQcid hutASana-AdO janayanti /
