   // āyurvedamahodadhiḥ //	// Ayurveda-mahA-udaDiH //
   annapānavidhiḥ	anna-pAna-viDiH
   snigdhatvād gauravāj jāḍyāt trikālaṃ na pibet payaḥ /	snigDa-tvAt gOravAt jAxyAt tri-kAlam na pibet payaH /
   samāgnir api kiṃ cānyo mandāgnir viṣamo 'thavā // 31 //	sama-agniH api kim ca-anyaH manda-agniH vizamaH aTavA // 31 //
   tīkṣṇāgnes tu tadanumātiḥ /	tIkzNa-agneH tu tad-anumAtiH /
   tīkṣṇāgninā tu pātavyaṃ dvikālam api māhiṣam /	tIkzNa-agninA tu pAtavyam dvi-kAlam api mAhizam /
   tasya dhātūn pacaty agnir yadā tena na siñcati // 32 //	tasya DAtUn pacati agniH yadA tena na siQcati // 32 //
   atha punaḥ kṣīrapraśaṃsā /	aTa punar kzIra-praSaMsA /
   kṣiraṃ [rasaṃ] hitaṃ śreṣṭharasāyanaṃ ca kṣīraṃ vapurvarṇabalāyuṣe ca /	kziram [rasaM] hitam SrezWa-rasAyanam ca kzIram vapuH-varNa-bala-Ayuze ca /
   kṣīraṃ hi cāyuṣyakaraṃ narāṇāṃ kṣīraṃ balāsthāpanam uttamaṃ ca // 33 //	kzIram hi ca-Ayuzya-karam narANAm kzIram bala-AsTApanam uttamam ca // 33 //
   kṣīraṃ hi sandīpanapācanīyaṃ kṣīraṃ hi coṣṇaṃ malaśodhanaṃ ca /	kzIram hi sandIpana-pAcanIyam kzIram hi ca-uzNam mala-SoDanam ca /
   kṣīraṃ hi saṃdhānakṛduṣṇaśītaṃ kṣīraṃ kavoṣṇaṃ malanāśānaṃ ca // 34 //	kzIram hi saMDAna-kRt-uzNa-SItam kzIram kavozNam malanASAnam ca // 34 //
   atha matsyādibhiḥ saha kṣīrasevāpratiṣedhaḥ /	aTa matsya-AdiBiH saha kzIra-sevA-pratizeDaH /
   matsyamāṃsaguḍamudgamūlakaiḥ kuṣṭham āvahati sevitaṃ payaḥ /	matsya-mAMsa-guxa-mudga-mUlakEH kuzWam Avahati sevitam payaH /
   śākajāmbavasurādisevitaṃ mārayaty abudham āśu sarpavat {cf. Rājanighaṇṭu	SAka-jAmba-vasuH-Adi-sevitam mArayati abuDam ASu sarpa-vat {cf. RA-jani-GaNwu
   (Ap 22)	(Ap 22)
   atha rasaviśeṣaiḥ payaḥpānavidhiḥ //	aTa rasa-viSezEH payaH-pAna-viDiH //
   kṣīreṇa saha bhojyāni na viruddhāni tadyathā /	kzIreNa saha BojyAni na virudDAni tat-yaTA /
   āmreṣṭā [amleṣv ā]malakaṃ pathyaṃ śarkarā madhureṣu ca // 36 //	AmrezwA [amlezu A]malakam paTyam SarkarA maDurezu ca // 36 //
   paṭolaḥ śāka [tikta] vargeṣu kaṭuke cārdrakaṃ bhajet [paceḥ] //	pawolaH SAkaH [tikta] vargezu kawuke ca-Ardrakam Bajet [paceH] //
   kaṣāyeṣu yavaś caiva lavaṇeṣu ca saindhavam // 37 //	kazAyezu yavaH ca-eva lavaNezu ca sEnDavam // 37 //
   ity āyurvedamahodadhau suṣeṇakṛte kṣīravargaḥ //	iti Ayurveda-mahodaDO suzeNa-kRte kzIra-vargaH //
   atha godadhiguṇāḥ //	aTa go-daDi-guNAH //
   tatrāpi cātiśītaṃ ca dīpanaṃ balavardhanam /	tatra-api ca-ati-SItam ca dIpanam bala-varDanam /
   vātaghnaṃ madhuraṃ rūkṣaṃ dadhi gavyaṃ manoharam // 38 //	vAta-Gnam maDuram rUkzam daDi gavyam manoharam // 38 //
   snigdhaṃ vipāke madhuraṃ dīpanaṃ balavardhanam /	snigDam vipAke maDuram dIpanam bala-varDanam /
   vātāpahaṃ pavitraṃ ca dadhi gavyaṃ rucipradam // 39 //	vAta-apaham pavitram ca daDi gavyam ruci-pradam // 39 //
   arocake pīnasamūtrakṛcchre śītajvare tadviṣamajvare ca /	arocake pInasa-mUtrakRcCre SItajvare tad-vizamajvare ca /
   durnāmarogagrahaṇīgade ca gavyaṃ praśastaṃ dadhi sarvadaiva // 40 //	durnAma-roga-grahaNI-gade ca gavyam praSastam daDi sarvadA-eva // 40 //
   atha ṛtubhedena dadhy upayoge guṇāguṇāḥ /	aTa Rtu-Bedena daDi upayoge guNa-aguNAH /
   śaradgrīṣmavasanteṣu ninditaṃ dadhi doṣakṛt /	Sarad-grIzma-vasantezu ninditam daDi doza-kRt /
   hemante śiśire tac ca varṣākāle phalapradam // 41 //	hemante SiSire tat ca varzA-kAle Pala-pradam // 41 //
   (Ap 23)	(Ap 23)
   atha māhīṣadadhiguṇāḥ /	aTa mAhIza-daDi-guNAH /
   vipāke madhuraṃ vṛṣyaṃ raktapittaprasādanam /	vipAke maDuram vRzyam rakta-pitta-prasAdanam /
   balāsavardhanaṃ caiva viśeṣān māhiṣaṃ dadhi // 42 //	balAsa-varDanam ca-eva viSezAt mAhizam daDi // 42 //
   snigdhaṃ madhuraśītaṃ ca balavarṇakaraṃ param /	snigDam maDura-SItam ca bala-varNa-karam param /
   vṛṣyaṃ medaḥkaraṃ svādu śramaghnaṃ vātanāśānam // 43 //	vRzyam medaH-karam svAdu Srama-Gnam vAta-nASAnam // 43 //
   śleṣmāmavardhanaṃ caiva sarapuṣṭikaraṃ tathā /	Slezma-AmavarDanam ca-eva sara-puzwi-karam taTA /
   pavitram uṣṇaśamanaṃ māhiṣaṃ kāntivardhanam // 44 //	pavitram uzNa-Samanam mAhizam kAnti-varDanam // 44 //
   māhiṣaṃ dadhi balāsakārakaṃ vāhnimāndyakaram āśu gurutvāt /	mAhizam daDi balAsa-kArakam vAhni-mAndya-karam ASu guru-tvAt /
   tat prayojya kaṭukair avacūrṇe māhiṣaṃ ca laghutām upayāti // 45 //	tat prayojya kawukEH avacUrNe mAhizam ca laGu-tAm upayAti // 45 //
   // māhiṣaṃ dadhi //	// mAhizam daDi //
   atha ajādadhiguṇāḥ /	aTa aja-adaDi-guNAH /
   dadhyamlaṃ (dhyājaṃ) kaphavātanāśanakaraṃ vātaghnam uṣṇaṃ tathā	daDi-amlam (DyAjaM) kaPa-vAta-nASana-karam vAta-Gnam uzNam taTA
   durnāmaśvasane ca kāsasahite cāgneś ca saṃdīpanam /	durnAma-Svasane ca kAsa-sahite ca-agneH ca saMdIpanam /
   vṛṣyaṃ bṛṃhaṇam agnikāntibaladaṃ sarvāmayadhvaṃsanaṃ	vRzyam bRMhaNam agni-kAnti-bala-dam sarva-Amaya-DvaMsanam
   āsāṃśeṣva (rśaḥsv a)tisārake vigaditaṃ pathyaṃ sadā prāṇinām // 46 //	Asa-aMSezva (rSaHsu a)tisArake vigaditam paTyam sadA prANinAm // 46 //
   kāsaśvāsaharaṃ rucyaṃ śophātīsāranāśanam /	kAsa-SvAsa-haram rucyam SoPa-atIsAra-nASanam /
   āgneyaṃ sarvadoṣaghnaṃ viśeṣāc chāgalaṃ dadhi // 47 //	Agneyam sarva-doza-Gnam viSezAt SAgalam daDi // 47 //
   atha āvikasya dadhno guṇāḥ /	aTa Avikasya daDnaH guNAH /
   āvikaṃ snigdhamadhuraṃ guru pittakaphapradam /	Avikam snigDa-maDuram guru pitta-kaPa-pradam /
   pathyaṃ kevalavāteṣu śophe cānilaśoṇite // 48 //	paTyam kevala-vAtezu SoPe ca-anila-SoNite // 48 //
   (Ap 24)	(Ap 24)
   atha aśvādadhiguṇāḥ /	aTa aSva-at-aDi-guNAH /
   vājijaṃ samadhuraṃ valavarṇaṃ svedadāham upayāti vināśam (gurutvam) /	vAjijam sa-maDuram vala-varNam sveda-dAham upayAti vinASam (guru-tvam) /
   dīpanīyam atidoṣalaṃ sadā cākṣuṣaṃ ca marutaḥ pravikopi // 49 //	dIpanIyam ati-dozalam sadA cAkzuzam ca marutaH pravikopi // 49 //
   atha auṣṭradadhiguṇāḥ /	aTa Ozwra-daDi-guNAH /
   vātārśakuṣṭhakrimināśanaṃ syāt* auṣṭraṃ vipāke kaṭukaṃ satiktam /	vAta-arSa-kuzWa-krimi-nASanam syAt* Ozwram vipAke kawukam sa-tiktam /
   sakṣāram amlaṃ kaṭu kuṣṭhakopi (kṛmikoṣṭhanāśanaṃ) balyaṃ ca saṃtarpaṇam	sa-kzAram amlam kawu kuzWa-kopi (kRmi-kozWa-nASanaM) balyam ca saMtarpaNam
   āśu kāri // 50 //	ASu kAri // 50 //
   atha hastinīdadhiguṇāḥ /	aTa hastinI-daDi-guNAH /
   guru coṣṇaṃ kaṣāyaṃ ca kaphamūtrāpahaṃ ca tat /	guru ca-uzNam kazAyam ca kaPa-mUtra-apaham ca tat /
   atha strīdadhiguṇāḥ /	aTa strI-daDi-guNAH /
   snigdhaṃ vipāke madhuraṃ balyaṃ saṃtarpaṇaṃ guru // 51 //	snigDam vipAke maDuram balyam saMtarpaNam guru // 51 //
   cākṣuṣyaṃ sarvadoṣaghnaṃ dadhikātra (nāryā) guṇottamam // 52 //	cAkzuzyam sarva-doza-Gnam daDikA-atra (nAryA) guNa-uttamam // 52 //
   laghuṇā [pā]ke balāsaghnaṃ vīryoṣṇaṃ pittanāśanam /	laGuNA [pA]ke balAsa-Gnam vIrya-uzNam pitta-nASanam /
   kaṣāyānuguṇaṃ nāryā dadhi varcovivardhanam // 53 //	kazAya-anuguNam nAryAH daDi varcaH-vivarDanam // 53 //
   kuryād guttayābhilāṣaṃ ca dadhi maskaparisṛtam /	kuryAt guttayA-aBilAzam ca daDi maska-parisRtam /
   satukṣīreṇa vañjātaṃ guruvad dadhi tat smṛtam ///54 //	satu-kzIreNa vaQjAtam guru-vat daDi tat smRtam ///54 //
   (dadhnas tu yad adhas toyaṃ tan mastuni pariśṛtaṃ /	(daDnaH tu yat aDas toyam tat mastuni pariSRtam /
   śṛtāt kṣīrāc ca yañjātaṃ guṇavad dadhi tat smṛtam /)	SRtAt kzIrAt ca yan-jAtam guNavat daDi tat smRtam /)
   vātapittaharaṃ rucyaṃ dhātvagnibalavardhanam /	vAta-pitta-haram rucyam DAtu-agni-bala-varDanam /
   (Ap 25)	(Ap 25)
   atha dadhikhaṇḍaguṇāḥ /	aTa daDi-KaNxa-guNAH /
   daghnaḥ khaṇḍo gurur vṛṣyo vijñeyo balavardhanaḥ /	daGnaH KaNxaH guruH vRzyaH vijQeyaH bala-varDanaH /
   vastravivana (niṣpīḍita)ś cāpi kaphapittavināśanaḥ // 55 //	vastra-vivanaH (nizpIxita)H ca-api kaPa-pitta-vinASanaH // 55 //
   atha asāradadhiguṇāḥ /	aTa asAra-daDi-guNAH /
   dadhi tv asāraṃ rūkṣaṃ ca grāhi viḍbhedi (viṣṭambhi) vātalam /	daDi tu asAram rUkzam ca grAhi viz-Bedi (vizwamBi) vAtalam /
   dīpanīyaṃ laghutaraṃ sakaṣāyaṃ rucipradam // 56 //	dIpanIyam laGutaram sa-kazAyam ruci-pradam // 56 //
   atha mastuguṇāḥ /	aTa mastu-guNAH /
   tṛṣṇāklamaharaṃ mastu [śītaṃ sroto] viśodhanam //	tRzNA-klama-haram mastu [SItam sroto] viSoDanam //
   amlaṃ kaṣāyaṃ madhuraṃ avṛṣyaṃ kaphavātanut // 57 //	amlam kazAyam maDuram avRzyam kaPa-vAta-nud // 57 //
   atha dadhisāmānyaguṇāḥ /	aTa daDi-sAmAnya-guNAH /
   amlaṃ syād rasapākato gurutaraṃ vātāpahaṃ śītalaṃ	amlam syAt rasa-pAkataH gurutaram vAta-apaham SItalam
   grāhyuṣṇaṃ grahaṇīgade nigaditaṃ viṇmūtrakṛcchrāpaham /	grAhi-uzNam grahaNI-gade nigaditam viz-mUtra-kRcCra-apaham /
   balyaṃ śophakaphāgnimāndyajananaṃ raktapradaṃ bhuktadaṃ	balyam SoPa-kaPa-agni-mAndya-jananam rakta-pradam Bukta-dam
   [kāsā] rūkṣārocakapīnase viṣamake śītajvare tanmaya [ta]m // 58 //	[kAsA] rUkza-arocaka-pInase vizamake SItajvare tat-mayaH [ta]m // 58 //
   grahaṇyāṃ pīnase mūtrakṛcchre ca viṣamajvare /	grahaNyAm pInase mUtrakRcCre ca vizamajvare /
   arocake ca mandāgnau śasyate dadhi sarvadā // 59 //	arocake ca manda-agnO Sasyate daDi sarvadA // 59 //
   lavaṇamaricasarpiḥśarkarāmudgadhātrīkusumarasavihīnaṃ [nai] caivam adyāt	lavaNa-marica-sarpiH-SarkarA-mudga-DAtrI-kusuma-rasa-vihInam [nE] ca-evam adyAt-
   tu nityam /	tu nityam /
   na ca śaradi vasante noṣṇakāle na rātrau na dadhi kaphavikāre [pitta]	na ca Saradi vasante na-uzNa-kAle na rAtrO na daDi kaPa-vikAre [pitta]
   pītaroge na dadyāt // 6 //	pIta-roge na dadyAt // 6 //
   (Ap 26)	(Ap 26)
   elāsaindhavaśarkaraṃ samaricaṃ dhātrīguḍaṃ sarpiṣā	elA-sEnDava-Sarkaram sa-maricam DAtrI-guxam sarpizA
   pathyaṃ syād varamudgasūpasahitaṃ saṃsevanīya dadhi /	paTyam syAt vara-mudga-sUpa-sahitam saMsevanIya daDi /
   naivoṣṇaṃ bahu picchalaṃ na ca śaradgrīṣme vasante hitaṃ	na-eva-uzNam bahu picCalam na ca Sarad-grIzme vasante hitam
   pittāsṛkjvarakuṣṭhadaṃ bhramakaraṃ (bī) vāsarpadaṃ cānyathā // 61 //	pitta-asRk-jvara-kuzWa-dam Bramakaram (bI) vAsarpadam ca-anyaTA // 61 //
   dadhi trikaṭukamiśraṃ rājikācūrṇamiśraṃ	daDi trikawuka-miSram rAjikA-cUrNa-miSram
   kaphaharam anilaghnaṃ cāgnisaṃdhukṣaṇaṃ ca	kaPa-haram anila-Gnam ca-agni-saMDukzaNam ca
   tuhinaśiśirakāle sevanīyaṃ ca pathyaṃ	tuhina-SiSira-kAle sevanIyam ca paTyam
   bhavati sudṛḍhakāyo rūpavān satvavāṃś ca // 62 //	Bavati su-dRXa-kAyaH rUpavAn satvavAn ca // 62 //
   (racayati tanudārthyaṃ kāntimattvaṃ ca nṛṇām)	(racayati tanu-dArTyam kAntimat-tvam ca nRNAm)
   saguḍadadhi sukhoṣṇaṃ dhautavastreṇa samyak	sa-guxa-daDi suKa-uzNam DOta-vastreNa samyak-
   yuvatikaravilāsair gālitaṃ dhūpitaṃ ca /	yuvati-kara-vilAsEH gAlitam DUpitam ca /
   śiśirakiraṇaviśvājājicūrṇena miśraṃ	SiSira-kiraNa-viSva-ajAji-cUrNena miSram
   kaphaharam anilaghnaṃ cāgnisaṃdhukṣaṇaṃ ca //	kaPa-haram anila-Gnam ca-agni-saMDukzaNam ca //
   (tuhinaśiśirakāle sevanīyaṃ ca pathyaṃ /	(tu-hina-SiSira-kAle sevanIyam ca paTyam /
   bhavati sudṛḍhakāyo rūpavān satvavāṃś ca) //	Bavati su-dRXa-kAyaH rUpavAn satvavAn ca) //
   adhikataravilāsaiḥ sevitaṃ marditaṃ ca // 63 //	aDikatara-vilAsEH sevitam marditam ca // 63 //
   dadhi taruṇam apathyaṃ pathyasaṃpuṣṭihetoḥ	daDi taruNam apaTyam paTya-saMpuzwi-hetoH
   balakaram ativṛṣyaṃ medakṛdīpanaṃ ca /	bala-karam ati-vRzyam meda-kRt-Ipanam ca /
   kaphaharam anile syān nātipittaprakopaṃ	kaPa-haram anile syAt na-ati-pitta-prakopam
   tad aniśam iha sevyaṃ mādhuraṃ cāmlabhāvāt // 64 //	tat aniSam iha sevyam mADuram ca-amla-BAvAt // 64 //
   madhuraṃ bhakṣayec caitad atyamlaṃ varjayet sadā /	maDuram Bakzayet ca-etat ati-amlam varjayet sadA /
   madhuraṃ dadhi rogaghnaṃ atyamlaṃ rogakārakam // 65 //	maDuram daDi roga-Gnam ati-amlam roga-kArakam // 65 //
   ity āyurvedamahodadhau sukhena(ṣeṇa)kṛte dadhivargaḥ //	iti Ayurveda-mahodaDO suKena(zeNa)kRte daDi-vargaH //
   (Ap 27)	(Ap 27)
   // atha mastuguṇāḥ kathyante //	// aTa mastu-guNAH kaTyante //
   [sro] śrotaḥ śuddiṃ vidhatte prakaṭayati ruciṃ dīpayaty āśu vahniṃ	[sro] SrotaH Suddim viDatte prakawayati rucim dIpayati ASu vahnim
   kṛtvā śuddhiṃ malānāṃ jarayati ca haṭhād bhuktam annaṃ vicitram	kRtvA SudDim malAnAm jarayati ca haWAt Buktam annam vicitram
   uṣṇaṃ cāmlaṃ kaṣāyaṃ laghu surabhirasaṃ śūlaviṣṭambhahāri	uzNam ca-amlam kazAyam laGu suraBi-rasam SUla-vizwamBa-hAri
   śreṣṭhaṃ mastu praśastaṃ kaphapavanarujāduṣṭamūtragraheṣu // 1 //	SrezWam mastu praSastam kaPa-pavana-rujA-duzwa-mUtra-grahezu // 1 //
   laghv anne rucipaktidaṃ klamaharaṃ balyaṃ kaṣāyaṃ saraṃ	laGu anne ruci-pakti-dam klama-haram balyam kazAyam saram
   bhaktacchandakaraṃ tṛṣodaraharaṃ plīhārśaśophāpaham /	Bakta=-Canda-karam tRzA-udara-haram plIha-arSa-SoPa-apaham /
   vāntau śuddhikaraṃ kaphānilaharaṃ viṣṭambhaśūlāpahaṃ	vAntO SudDi-karam kaPa-anila-haram vizwamBa-SUla-apaham
   pāṇḍau mūtravikāragulmaśamanaṃ mastu praśastaṃ laghu // 2 //	pANxO mUtra-vikAra-gulma-Samanam mastu praSastam laGu // 2 //
   laghutvād dīpananatvāc ca viṣṭambhādhmānanāśanāt /	laGu-tvAt dIpanana-tvAt ca vizwamBa-ADmAna-nASanAt /
   [sro] śrotaḥśuddhikaratvāc ca tākrād dadhi (?) vikāśyate // 3 //	[sro] SrotaH-SudDi-kara-tvAt ca tAkrAt daDi (?) vikASyate // 3 //
   // ity āyurvedamahodadhau mastuvargaḥ //	// iti Ayurveda-mahodaDO mastu-vargaH //
   idānīṃ takraguṇāḥ kathyante //	idAnIm takra-guNAH kaTyante //
   gholaṃ mathitam udaśvittakraṃ caitac caturvidhaṃ kathitam //	Golam maTitam udaSvit-takram ca-etat caturviDam kaTitam //
   sarasaṃ nirjalaṃ svādu kī(ya)d ambhovarjitaṃ mathitam /	sarasam nirjalam svAdu kI(ya)t amBaH-varjitam maTitam /
   (sarasaṃ nirjalam ādyaṃ nirhṛtarasam ambuvarjitaṃ mathitam)	(sarasam nirjalam Adyam nirhRta-rasam ambu-varjitam maTitam)
   [ardha] pādasalilam udaśvittad ardha[pāda]jalaṃ takram āhuś ca //	[arDa] pAda-salilam udaSvit-tat arDa[pAda]-jalam takram AhuH ca //
   pratyekaṃ ca caturṇāṃ kathā jñeyāḥ prayatnena // 2 //	pratyekam ca caturNAm kaTA jQeyAH prayatnena // 2 //
   sarasaṃ nirjalaṃ jñeyaṃ [gholaṃ] mathitaṃ rasavarjitam /	sarasam nirjalam jQeyam [GolaM] maTitam rasa-varjitam /
   pādodakam udaśvittat takram ardhajalaṃ bhavet // 3 //	pAda-udakam udaSvit-tat takram arDa-jalam Bavet // 3 //
   (Ap 28)	(Ap 28)
   atha gavyamāhiṣājatakraguṇāḥ /	aTa gavya-mAhiza-aja-takra-guNAH /
   gavyaṃ tu dīpanaṃ takraṃ medhyamarśas tridoṣajit /	gavyam tu dIpanam takram meDyamarSaH tridoza-jit /
   māhiṣaṃ śleṣmalaṃ takraṃ [chāgaṃ] laghu doṣatrayāpaham // 4 //	mAhizam Slezmalam takram [CAgaM] laGu dozatraya-apaham // 4 //
   gulmārśograhaṇīśophapāṇḍvāmartha[ya]vināśanam	gulma-arSaH-grahaNI-SoPa-pANxu-Am-arTa[ya]-vinASanam
   atha takrabhedānāṃ guṇāḥ /	aTa takra-BedAnAm guNAH /
   gholaṃ mārutapittahāri māthitaṃ śvāsāpahaṃ śleṣmahṛt	Golam mAruta-pitta-hAri mATitam SvAsa-apaham Slezma-hRt-
   pittaśleṣmavināśyudaśvidadhikaṃ takraṃ tridoṣāpahaṃ //	pitta-Slezma-vinASi-udaSvit-aDikam takram tridoza-apaham //
   mandāgnāv arucau tathaiva nitarām anyeṣu rogeṣv api	manda-agnO arucO taTA-eva nitarAm anyezu rogezu api
   śreṣṭhaṃ takram idaṃ vadanti munayas tenottamaṃ prāṇinām // 6 //	SrezWam takram idam vadanti munayaH tena-uttamam prANinAm // 6 //
   atha takrapraśaṃsā /	aTa takra-praSaMsA /
   yathā surāṇām amṛtaṃ pradhānaṃ tathā narāṇāṃ bhuvi takram āhuḥ /	yaTA surANAm amRtam praDAnam taTA narANAm Buvi takram AhuH /
   amlena vātaṃ madhureṇa pittaṃ kaphaṃ kaṣāyeṇa nihanti sadyaḥ // 7 //	amlena vAtam maDureNa pittam kaPam kazAyeNa nihanti sadyas // 7 //
   vātaśleṣmavināśanaṃ [kṛmiharaṃ] kṛcchrāśmarīchedanaṃ	vAta-Slezma-vinASanam [kRmi-haran] kRcCra-aSmarI-Cedanam
   mūtrāghātaharaṃ pramehaśamanaṃ plīhārtigulmāpaham /	mUtrAGAta-haram prameha-Samanam plIha-Arti-gulma-apaham /
   durnāmodarapāṇḍurogajaṭharakrūrārtiniṣkṛntanaṃ	durnAma-udara-pANxu-roga-jaWara-krUra-Arti-nizkRntanam
   takraṃ dīpanapācanaṃ laghutaraṃ pathyaṃ sadā prāṇinām // 8 //	takram dIpana-pAcanam laGutaram paTyam sadA prANinAm // 8 //
   āmātisāre ca viśā [ṣṛ] cikāyāṃ vātajvare pāṇḍuṣu kāmaleṣu /	Ama-atisAre ca viSAH [zR] cikAyAm vAta-jvare pANxuzu kAmalezu /
   pramehagulmodaravātaśūle nityaṃ pibet takram arocake ca // 9 //	prameha-gulmodara-vAta-SUle nityam pibet takram arocake ca // 9 //
   (Ap 29)	(Ap 29)
   takraṃ svādu kaṣāyam amlakarasaṃ bhakṣaṃ (kṣyaṃ) laghūṣṇaṃ hitaṃ	takram svAdu kazAyam amlaka-rasam Bakzam (kzyan) laGu-uzNam hitam
   gulmārśaḥpariṇāmaśūlaśamanaṃ chardiprasekāpaham /	gulma-arSaH-pariNAma-SUla-Samanam Cardi-praseka-apaham /
   tṛṣṇārocakamehaśophagarajit śleṣmālasaghnaṃ payaṃ (raṃ)	tRzNA-arocaka-meha-SoPa-gara-jit Slezma-alasa-Gnam payam (raM)
   sevyaṃ mūtragadāpahaṃ jvaraharaṃ snehotthapīḍāpaham // 10 //	sevyam mUtra-gada-apaham jvara-haram sneha-utTa-pIxA-apaham // 10 //
   śītakālo 'gnimāndye ca kaphotthe kāmalāsu ca /	SIta-kAlaH agnimAndye ca kaPa-utTe kAmalAsu ca /
   mārgāvarodhe duṣṭau ca vāgnau (yau) takraṃ praśasyate // 11 //	mArga-avaroDe duzwO ca vA-agnO (yO) takram praSasyate // 11 //
   na (tat*) punar madhuraṃ śleṣmaprakopanaparaṃ param /	na (tat*) punar maDuram Slezma-prakopana-param param /
   vātaghnaṃ pittaśamanaṃ amlaṃ cet pittakṛt sadā // 12 //	vAta-Gnam pitta-Samanam amlam ced pitta-kRt sadA // 12 //
   doṣaviśeṣe takraviśeṣavidhiḥ /	doza-viSeze takra-viSeza-viDiH /
   vātaghnaṃ (te 'mlaṃ) saindhavopetaṃ svādu pitte saśarkaram /	vAta-Gnam (te amlaM) sEnDava-upetam svAdu pitte sa-Sarkaram /
   kaphapitte 'pi (pibet kaphe 'pi) vā takraṃ vyoṣakṣārasamanvitam // 13 //	kaPa-pitte api (pibet kaPe api) vA takram vyoza-kzAra-samanvitam // 13 //
   sthaulyaṃ karoti harate nilam etad eva	sTOlyam karoti harate nilam etat eva
   yan noṣṇatām apagataṃ na kadācid eva /	yat na-uzNa-tAm apagatam na kadAcid eva /
   sarpiḥ śi(si)tāmadhukamudgakaṣāyayuktaṃ	sarpiH Si(si)tA-maDuka-mudga-kazAya-yuktam
   sevyaṃ vasantaśaradāgamakālavarjam // 14 //	sevyam vasanta-Sarad-Agama-kAla-varjam // 14 //
   navanītadvāre mathitaṃ kathayanti sudhiyaḥ /	navanIta-dvAre maTitam kaTayanti suDiyaH /
   ciramathitaṃ punar utpattikaraṃ narasya doṣāṇām // 15 //	cira-maTitam punar utpatti-karam narasya dozANAm // 15 //
   rogaviśeṣe takraniṣedhaḥ /	roga-viSeze takra-nizeDaH /
   naiva takraṃ kṣate dadyān noṣmakāle na durbale /	na-eva takram kzate dadyAt na-Uzma-kAle na durbale /
   na mūrchābhramadāheṣu na roge raktapaittike // 16 //	na mUrCA-Brama-dAhezu na roge raktapEttike // 16 //
   (Ap 30)	(Ap 30)
   takrapraśaṃsā /	takra-praSaMsA /
   śaśikundasamaprabhaśaṅkhanibhaṃ yuvatīkaranirmalanirmathitam /	SaSi-kunda-sama-praBa-SaFKa-niBam yuvatI-kara-nirmala-nirmaTitam /
   paripakvasugandhikapittharasaṃ piba bho nṛpa takraṃ rujāpaharam // 17 //	paripakva-suganDi-kapitTa-rasam piba Bo nRpa takram rujA-apaharam // 17 //
   mathitaṃ gorasaṃ gholaṃ dravamastuviloḍitam /	maTitam gorasam Golam drava-mastu-viloxitam /
   śvetaṃ daṇḍahataṃ sāndraṃ nāmataḥ parikīrtitam // 18 //	Svetam daNxa-hatam sAndram nAmataH parikIrtitam // 18 //
   dviguṇāmbuśvetam idam ardhodakam iti smṛtam /	dviguNa-ambu-Svetam idam arDa-udakam iti smRtam /
   takraṃ tribhāgabhinnaṃ tu kevalaṃ mathitaṃ smṛtam // 19 //	takram tri-BAga-Binnam tu kevalam maTitam smRtam // 19 //
   takrasyopari yat toyam udaśvit parikīrtitam /	takrasya-upari yat toyam udaSvit parikIrtitam /
   dadhnas tūpari yat toyaṃ tan mastu parikīrtitam // 20 //	daDnaH tu-upari yat toyam tat mastu parikIrtitam // 20 //
   grāhiṇī vātalā rūkṣā durjaga takūrjakā /	grAhiNI vAtalA rUkzA durjaga takUrjakA /
   takrāl laghutaro maṇḍaḥ kūcikā dadhitakravat // 21 //	takrAt laGutaraH maNxaH kUcikA daDi-takra-vat // 21 //
   akrutvaṃ gayatas takraṃ kratutvena śātakratuḥ (?) /	akru-tvam gayataH takram kratu-tvena SAtakratuH (?) /
   tasmāt triviṣṭape jātaṃ takraṃ śakrasya durlabham // 22 //	tasmAt trivizwape jAtam takram Sakrasya durlaBam // 22 //
   kailāse yadi takram asti giriśaḥ kiṃ nīlaṇṭho bhavet	kElAse yadi takram asti giriSaH kim nIlaNWaH Bavet-
   vaikuṇṭhe yadi kṛṣṇatām anubhaved adyāpi kiṃ keśavaḥ /	vEkuNWe yadi kRzNa-tAm anuBavet adya-api kim keSavaH /
   indro durbhagatābhayād vijayati (tāṃ kṣayaṃ dvijapatiḥ) lambodaratvaṃ	indraH durBagatA-BayAt vijayati (tAm kzayam dvija-patiH) lamba-udara-tvam
   gaṇaḥ	gaNaH
   kuṣṭhitvaṃ ca kuberako dahanatām agniś ca divyasti cet // 23 //	kuzWi-tvam ca kuberakaH dahanatAm agniH ca divi-asti ced // 23 //
   yad dravyaṃ śaṅkhavarṇaṃ himapaṭalanibhaṃ cārugandhaḥ suśītaṃ	yat dravyam SaFKa-varNam hima-pawala-niBam cAruganDaH suSItam
   gaṅgāpānīyaśubhraṃ yuvatikaram ayasphālanāñjarjaraṃ ca /	gaFgA-pAnIya-SuBram yuvati-karam ayasPAlanAn-jarjaram ca /
   manthānenānuviddhaṃ karatalarabhasād budvudākāraphenaṃ	manTAnena-anuvidDam kara-tala-raBasAt budU-udAkAra-Penam
   tat takraṃ sūpadhūpaṃ tv amṛtaguṇanibhaṃ bhāgyavantaḥ pibanti // 24 //	tat takram sUpaDUpam tu amRta-guNa-niBam BAgyavantaH pibanti // 24 //
   // ity āyurvedamahodadhau sukhena(ṣeṇa)kṛte takravargaḥ //	// iti Ayurveda-mahodaDO suKena(zeNa)kRte takravargaH //
   (Ap 31)	(Ap 31)
