   kauthumagṛhyasūtram	kOTum-agRhya-sUtram
   prāksiraḥ patnīṃ śayitvordhvamukhonathā jānubhyāṃ pādai vasumatyākramya	prAc-siraH patnIm SayitvA-UrDva-muKonaTA jAnuByAm pAdEH vasumatI-Akramya
   tatsamīpe patis tatrābhimukho bhūtvovaśyesajastaitayo nimālabhya	tad-samIpe patiH tatra-aBimuKaH BUtvA-uvaSyesajaH-tEtayaH nimA-AlaBya
   viṣṇuryoniṃ kalpayatviti aṣṭavāraṃ japitvāṣṭaputre bhavati skakāle	vizNuH-yonim kalpayatu-iti azwa-vAram japitvA-azwa-putre Bavati skakAle
   patiralabhyaḥ cedanyapuruṣo na kartavyaṃ syāt ṣaḍrātro ṛtukālaḥ //	patiH-alaByaH ced-anya-puruzaH na kartavyam syAt zaz-rAtraH Rtu-kAlaH //
   KauthGS_7 //	KOTGS_7 //
   KauthGS 8:	KOTG 8:
   athāto garbhasaṃskāro maithunaṣaṣṭhe pratidinaprabhṛti yugme dine yagmāsu	aTa-atas garBa-saMskAraH mETuna-zazWe pratidina-praBRti yugme dine yagmAsu
   putro jāyoran yugmāsu putro jāyeran ayugmāsu rātriṣu striyo jāyeran iti	putraH jAyoran yugmAsu putraH jAyeran ayugmAsu rAtrizu striyaH jAyeran iti
   jñātvā yadā vadhvāḥ prathamagarbho bhavati	jQAtvA yadA vaDvAH praTama-garBaH Bavati
   tadodarasaṃskārādvāreṇotpatsyamānāpatyasaṃskārārthaṃ	tadA-udara-saMskArAt-vAreNa-utpatsyamAna-apatya-saMskAra-arTam
   puṃsavanasīmantonnayanaṃ kuryād yā kutrāciddine	puMsavana-sImantonnayanam kuryAt yA kutrAcid-dine
   garbhasaṃbhavastanmāsamekaṃ gaṇayitvā tṛtīyamāsāṃstvavaśobhanaṃ tataḥ	garBa-saMBavaH-tat-mAsam-ekam gaNayitvA tRtIya-mAsAn=-tu-avaSoBanam tatas-
   puṃsavanaṃ nāndīmukhaṃ pūrve 'hani tataḥ pare 'hanyuṣasi snātvā caturasraṃ	puMsavanam nAndImuKam pUrve ahani tatas pare ahani-uzasi snAtvA catur-asram
   sthaṇḍilamupalipyodagagreśi darbheṣūpaviśya dakṣiṇataḥ patnīṃ cottarato	sTaNxilam-upalipya-udagagreSi darBezu-upaviSya dakziNatas patnIm ca-uttaratas-
   yajamānodaṅmukho brāhmaṇas tato 'gneḥ praṇayanaṃ vā vinā prātarāhutiṃ	yajamAna-udaFmuKaH brAhmaNaH tatas agneH praNayanam vA vinA prAtarAhutim
   hutvā samūhanādippadānta hutvā idhmāṅgaṃ hutvā tato vyāhṛtibhiḥ	hutvA samUhanAdippada-anta hutvA iDmAFgam hutvA tatas vyAhRtiBiH
   tisṛbhirhutvā tato yajamānaḥ patnyā pṛṣṭhatastiṣṭhat dakṣiṇakoryarādi	tisRBiH-hutvA tatas yajamAnaH patnyA pRzWatas-tizWat dakziNa-korya-rAdi
   nābhyankamamimṛśet pumāṃsāviti brūyāt svasthānamupaviśya	na-aByankamamimRSet pumAMsO=-iti brUyAt sva-sTAnam-upaviSya
   tatopariṣṭāddhomaṃ samāpya vadhvāṃ punaḥ snātvā yajamānaḥ	tata-uparizwAt-homam samApya vaDvAm punar snAtvA yajamAnaH
   puṣpākṣatānekaviṃśatiyavānnavaśūpe nidhāya gṛhītvā grāmānniṣkramay	puzpa-akzatAnekaviMSati-yavAn-navaSUpe niDAya gRhItvA grAmAt-nizkramay
   vaṭarājasamīpaṃ gatvā tatra vāsinīmupasthāyotsāhavyāpinītyadrame	vawa-rAja-samIpam gatvA tatra vAsinIm-upasTAya-utsAha-vyApinI-iti-adrame
   nityagasthiterāpitsataṃ me śriyaṃ dehi tasmānnamābhīṣṭaṃ kurvantviti	nitya-ga-sTiteH-Apit-satam me Sriyam dehi tasmAt-nama-aBIzwam kurvantu-iti
   puṣpākṣatairabhyarcya tasyopari yavairavakīryodagagrāṃ śākhāṃ paraśunā	puzpa-akzatEH-aByarcya tasya-upari yavEH-avakIrya-udak-agrAm SAKAm paraSunA
   cchedayitvā tamoṣadhobhūmau navāntarikṣe vā gṛhṇīyād ūrdhvāgrāṃ gṛhamānīya	cCedayitvA tamozaDoBUmO nava-antarikze vA gRhNIyAt UrDva-agrAm gRham-AnIya
   koṣṭhamadhye maṇikadeśe vā svāsane pratiṣṭāpyaṃ tataścaturasraṃ	kozWa-maDye maNika-deSe vA sva-Asane pratizwApyam tatas-caturasram
   sthaṇḍilamupalipya brūyavetkimārgaṇā prapadāntaṃ kṛtvā idhmāṅgaṃ hutvā	sTaNxilam-upalipya brUyavet-kimArgaNA prapada-antam kRtvA iDmAFgam hutvA
   punaśca vyāhṛtibhistasṛbhirhutvā tamoṣadhessaptabhirmukhalakanyā	punar-ca vyAhRtiBiH-tasRBiH-hutvA tamozaDessaptaBiH-muKalakanyA
   bhrātumato prāṅmukho peṣayitvā pratyāharantīṃ taṃ pratiṣṭaṃ navavo	BrAtumataH prAFmuKaH pezayitvA pratyAharantIm tam pratizwam navavaH-
   saśrinanakṣi japet gṛhītvā yajamānaḥ tatoṣa'gneḥ paścātpatnīṃ	sa-Srinanakzi japet gRhItvA yajamAnaH tatoza-agneH paScAt-patnIm
   prākśirordhvamukhīṃ śayitvāvadhvāgnyormadhye yajamānaḥ pratyaṅmukhaḥ	prAc-Sira-UrDva-muKIm SayitvA-avaDva-agnyoH-maDye yajamAnaH pratyaFmuKaH
   sāyīta punānagniriti mantreṇa dakṣiṇanāsikāpuṭe piṣṭarasaṃ pīḍayitvā	sAyIta punAnagniH-iti mantreNa dakziNa-nAsikA-puwe pizwa-rasam pIxayitvA
   niṣpoḍya piṣṭaṃ salile nidhāya vastraṃ brahmaṇe dadyāt tadrasamudare	nizpoxya pizwam salile niDAya vastram brahmaNe dadyAt tad-rasam-udare
   kuryāt tayoḥ svasthānamupaviśya tatopariṣṭādi samāpyala tato	kuryAt tayoH sva-sTAnam-upaviSya tata-uparizwa-Adi samApyala tatas-
   brāhmaṇabhojanaṃ tato brāhmaṇabhojanam // KauthGS_8 //	brAhmaNa-Bojanam tatas brAhmaNa-Bojanam // KOTGS_8 //
   KauthGS 9:	KOTG 9:
   atha caturthe māsi sīmantonnayanaṃ kartavyam nāndīmukhaṃ pūrve 'hani tataḥ	aTa caturTe mAsi sImantonnayanam kartavyam nAndImuKam pUrve ahani tatas-
   pare 'hanyuṣasi snātvā yajamānaḥ puṃsavanaṃ krameṇaudumbanaśākhāṃ	pare ahani-uzasi snAtvA yajamAnaH puMsavanam krameNa-Odumbana-SAKAm
   gṛhamānīya triśvetayā ca śalalyā taṇḍulān tilamiśrān śrapayitvā laukike	gRham-AnIya tri-SvetayA ca SalalyA taNxulAn tila-miSrAn SrapayitvA lOkike
   'gnau sthaṇḍilasyottarato nidhāya pūrvavatprapadāntaṃ kṛtvā idhmāṅgaṃ	agnO sTaNxilasya-uttaratas niDAya pUrvavat-prapada-antam kRtvA iDma-aFgam
   hutvā punaśca vyāhṛtibhistisṛbhirhutvā tato yajāmānaḥ pṛṣṭhastiṣṭhan taṃ	hutvA punar-ca vyAhRtiBiH-tisRBiH-hutvA tatas yajAmAnaH pRzWaH-tizWan tam
   gṛhītvā audumbaraśākhāmayamūrjati vā japitvā nāsāgrameti	gRhItvA Odumbara-SAKA-mayam-Urjati vA japitvA nAsA-agram-eti
   didhyaṃnnisnāranātamunnayadantimatho yenīditeti pratipya punaḥ śalalyā	diDyan=-nisnAranAtam-unnaya-dantim-aTo yenIditA-iti pratipya punar SalalyA
   gṛhītvā rākā ityeke iti pratiṣṭhāp. tūṣṇīṃ triḥ prokṣaṇaṃ kṛtvā	gRhItvA rAkA iti-eke iti pratizWA-ap. tUzNIm tris prokzaNam kRtvA
   svasthānamupaviśya tatopariṣṭāddhomānsamāpya vadha dhṛtapātrā kiṃ	sva-sTAnam-upaviSya tata-uparizwAt-homAn-samApya vaDa DRta-pAtrA kim
   paśyasīti vācayitvā vāmadevya gotvā tato brāhmaṇabhojanaṃ tato	paSyasi-iti vAcayitvA vAmadevya gotvA tatas brAhmaNa-Bojanam tatas-
   brāhmaṇabhojanam // KauthGS_9 //	brAhmaNa-Bojanam // KOTGS_9 //
   KauthGS 10:	KOTG 10:
   atha putrasya jananakāle soṣyantīhomārabhe ekadeśapraṇayana snātvā	aTa putrasya janana-kAle sozyantI-homa-AraBe eka-deSa-praNayana snAtvA
   sthaṇḍilamupalipya samūhanādi prapadāntaṃ kṛtvā idhmāṅgaṃ hutvā tataḥ	sTaNxilam-upalipya samUhana-Adi prapada-antam kRtvA iDmAFgam hutvA tatas-
   śirojananakāle yātiraśvīti dvābhyāmājyaṃ hutvāsau śabde nāma brūyāt putro	SiraH-janana-kAle yAtiH-aSvI-iti dvAByAm-Ajyam hutvA-asO Sabde nAma brUyAt putraH-
   vārabhamavenmuniśraṣṭha pṛcchāmi tvā mitvātprivās tadenāmagrahaṇaṃ	vAraBamaved-muni-SrazWa pRcCAmi tvA mitvAt-privAH tat-ena-Am-agrahaNam
   karaṇātpūrvaṃ kṛtakāni nāmāni tatkathaṃ vistareṇa tathyaṃ me brūhya aśeṣaṃ	karaNAt-pUrvam kRtakAni nAmAni tat-kaTam vistareNa taTyam me brUhya aSezam
   tu vyākhyāsyāmo nī karaṇā davamimamañcakaṃ nā paścānpūtrakaṃ kuryād yadi	tu vyAKyAsyAmaH nI karaNA davam-ima-maQcakam nA paScAn-pUtrakam kuryAt yadi
   viparyāsonmāyenākṛtaṃ cetaṃ hutaṃmamarghatasmājjanavadunta yatrābhāvaḥ	viparyAsa-unmAyena-akRtam cetam hutaMmam-arGa-tasmAt-jana-vat-unta yatra-aBAvaH
   tyasyā prāyaścittaṃ juhuyād ava vā janana iṣvāṃte sauśabde	tyasyA prAyaScittam juhuyAt ava vA jananaH izvAMte sOSabde
   viṣṇupradevaśarmanniti manasā kalpayan manasaṃ praviśayāsauśabde	vizNu-pradeva-Sarman=-iti manasA kalpayan manasam praviSaya-asOSabde
   vivādabīyaṃ brūyān ko nāmāsya asau śabde nakṣatraśrayaṃ nāma kartavyam	vivAda-bIyam brUyAt kaH nAma-asya asO Sabde nakzatra-Srayam nAma kartavyam
   maghaṃ vā putrayorekatra yānanād yadi jātakarmādi nāpataṃ saṃskārameva	maGam vA putrayoH-ekatra yAnanAt yadi jAtakarma-Adi na-apatam saMskAram-eva
   kartavyaṃ nāmakaraṇādūrdhvaṃ pṛthak saṃskāraṃ svayaṃ kuryāt	kartavyam nAmakaraNAt-UrDvam pRTak saMskAram svayam kuryAt-
   jātakarma vakṣyāmi daśayanāpra iti ṣayitvā trayastriṃśadbīhīti	jAtakarma vakzyAmi daSayana-apra iti zayitvA trayastriMSat-bIhi-iti
   madhusarpibhyāmekaikaṃ palamādāya ubhayatra yaśaso yaśaso 'sīti saṃyojya	maDu-sarpiByAm-ekEkam palam-AdAya uBayatra yaSasaH yaSasaH asi-iti saMyojya
   hiraṇyaśakalena samamaṅguṣṭhābhyāṃ anāmikābhyāṃ vā saṃgṛhya tadabhāve	hiraNya-Sakalena samam-aFguzWAByAm anAmikAByAm vA saMgRhya tad-aBAve
   kuśayevā yavapiṣṭamājyadvayamākṣeti śiśaṃ prataya taṃdvasarpibhyāṃ medhāṃ	kuSayA-ivA yavapizwam-Ajya-dvayam-Akza-iti SiSam prataya taMdvasarpiByAm meDAm
   ta iti tato brāhmaṇadakṣiṇā // KauthGS_10 //	te iti tatas brAhmaNa-dakziNAH // KOTGS_10 //
   KauthGS 11:	KOTG 11:
   tataścandradarśam /	tatas-candra-darSam /
   jananādi daśarātrātpare dve vā tasminnakṣatre taṃ kumāraṃ syātitātaṃ	janana-Adi daSa-rAtrAt-pare dve vA tasmin=-akzatre tam kumAram syAtitAtam
   vetadūrdhakimāṃsuśadarśanaṃ tadabhāvaṃ darśanaṃ kṛtvā cāma kuryāt kathaṃ	vetat-UrDaki-mAMsuSa-darSanam tad-aBAvam darSanam kRtvA cAma kuryAt kaTam
   vakṣyāmi nāndomukhaṃ pūrva'hani tataḥ ahanyuṣasi snātvā	vakzyAmi nAndomuKam pUrva-ahani tatas ahani-uzasi snAtvA
   yajamānaścaturasraṃ sthaṇḍilamupalipya gṛhyāgnerekadeśāgni vibhajya	yajamAnaH-catur-asram sTaNxilam-upalipya gRhya-agneH-eka-deSa-agni viBajya
   samūhanādi prapadāntaṃ kṛtvā idhmāṅgaṃ hutvā tato mātā	samUhana-Adi prapada-antam kRtvA iDmAFgam hutvA tatas mAtA
   svakumāramādāyāhatena vāsā parighāya dakṣiṇataḥ pratyaṅmukhaḥ upaviśya	sva-kumAram-AdAya-Ahatena vAsA pariGAya dakziNatas pratyaFmuKaH upaviSya
   tatkārayitvā patihaste pradāya pṛṣṭhato gatvottarato upaviśya yajamānasvaṃ	tad-kArayitvA pati-haste pradAya pRzWatas gatvA-uttaratas upaviSya yajamAna-svam
   kumāraṃ avalokya vyāhṛtibhistisṛbhirhutvā punaḥ pradāya yajamāno paṃcāṃ	kumAram avalokya vyAhRtiBiH-tisRBiH-hutvA punar pradAya yajamAnaH paMcAm
   madhyena ko 'sīti dvābhyāmarakṣaṇā pratinetramabhimṛśet katamo 'sīti	maDyena kaH asi-iti dvAByAm-arakzaNA pratinetram-aBimRSet katamaH asi-iti
   caturakṣareṇa śrotrābhyāṃ eṣo 'sīti tryakṣareṇa nāsāgre	catur-akzareNa SrotrAByAm ezaH asi-iti tri-akzareNa nAsA-agre
   madhyamūlamabhimṛśed amṛtosīti caturakṣareṇa pāṇibāhubhyāṃ	maDya-mUlam-aBimRSet amRtosi-iti catur-akzareNa pANi-bAhuByAm
   pratyekamabhimṛśed amṛtosīti caturakṣareṇa pāṇibāhubhyāṃ	pratyekam-aBimRSet amRtosi-iti catur-akzareNa pANi-bAhuByAm
   pratyekamabhimṛśya śeṣeṇa mastakaṃ gṛhītvā tato mātā ca vāmahastena	pratyekam-aBimRSya SezeNa mastakam gRhItvA tatas mAtA ca vAma-hastena
   kumāryavakaṃ gṛhitvā pūrvoktamākhyānaṃ dakṣiṇaṃ śravaṇe upāṃśu brūyāt tato	kumAryavakam gRhitvA pUrva-uktam-AKyAnam dakziNam SravaNe upAMSu brUyAt tatas-
   yajamāno dakṣiṇaṃ gṛhṇīyāt tata upāṃśu sarvānhetyativādanīyaṃ nāma brūyāt	yajamAnaH dakziNam gRhNIyAt tatas upAMSu sarvAn-hetyativAdanIyam nAma brUyAt-
   tata upariṣṭāddhomaṃ samāpya yathā vāmadevyaṃgītvā pativartāśiṣo vācayitvā	tatas uparizwAt-homam samApya yaTA vAmadevyaMgItvA pati-vartA-SizaH vAcayitvA
   tathā brāhmaṇabhojanam // KauthGS_11 //	taTA brAhmaNa-Bojanam // KOTGS_11 //
   KauthGS 12:	KOTG 12:
   athātaścandropasthānam śuklapakṣatṛtīyāpañcamyāṃ spatamyāṃ ṣaṣṭhe vāṣṭame	aTa-atas-candra-upasTAnam Sukla-pakza-tRtIyA-paQcamyAm spatamyAm zazWe vA-azwame
   vā nuvakṣyādinā kartavyaṃ syāt tṛtīye māsi ṣaṣṭhe māsi kāryaṃ	vA nu-vakzya-AdinA kartavyam syAt tRtIye mAsi zazWe mAsi kAryam
   pañcāṅgaśodhite dine /	paQcAFga-SoDite dine /
   chandogaṃ vedavidbrāhmaṇaṃ niyakṣā sadbrāhmaṇa udayādarvāk grāmānniṣkramya	Candogam veda-vid-brAhmaNam niyakzA sat-brAhmaNaH udayAt-arvAk grAmAt-nizkramya
   saśirataṃ sthāpayitvā śaketā svarṇakalaśamādāya kāṃśya vā mṛnmayavarja	sa-Siratam sTApayitvA SaketA svarNa-kalaSam-AdAya kAMSya vA mRd-maya-varja
   jānumātramavagāhyāpo hi ṣṭhati tṛcona pūrayitvā śannī devoriti	jAnu-mAtram-avagAhya-apaH hi zWati tRcona pUrayitvA SannI devoH-iti
   mantreṇāddhṛtyamiti śirasi vinidhāya yaḥ pāvamānoriti jalaṃ niṣkramya	mantreNAt-DRtyam-iti Sirasi viniDAya yaH pAvamAnoH-iti jalam nizkramya
   vāmadevyena grāmaṃ praviśet sarvatra na saṃbhāṣaṇaṃ nopahyasya sumunaso	vAmadevyena grAmam praviSet sarvatra na saMBAzaNam na-upahyasya su-munasaH-
   bhūtvā yajamānagṛhe devasabhāsamīpe goṣṭamadhye vā tāmudapātrāṃ cāsane	BUtvA yajamAna-gRhe deva-saBA-samIpe gozwa-maDye vA tAm-uda-pAtrAm ca-Asane
   nidhāyopari kuśaiḥ chādayitvā taṃ brāhmaṇayajamānādivāvabhujjan yāntī vā	niDAya-upari kuSEH CAdayitvA tam brAhmaNa-yajamAnAt-iva-avaBujjan yAntI vA
   ityete āstamayād ahassahasirasaṃ sthāpayitvā tatra yajamānaḥ niṣkramya	iti-ete AstamayAt ahar-sahasi-rasam sTApayitvA tatra yajamAnaH nizkramya
   gṛhādbahiḥ śucau deśe caturasraṃ sthaṇḍilamupalipya dakṣiṇābhimukho bhūtvā	gRhAt-bahis SucO deSe catur-asram sTaNxilam-upalipya dakziNa-aBimuKaH BUtvA
   hā u ya candreti maṇḍalaṃ praviśya prāṅmukhopaviśya svastivācanaṃ kṛtvā	hA u yaH candra-iti maNxalam praviSya prAFmuKa-upaviSya svastivAcanam kRtvA
   yajamānaṃ puṣpāñjaliṃ pūrayitvā candrābhimukhastiṣṭhan tato mātā ca	yajamAnam puzpa-aQjalim pUrayitvA candra-aBimuKaH-tizWan tatas mAtA ca
   kumāramuddhṛtya dakṣiṇataḥ pratyaṅmukhobhūtvā taṃ kumāraṃ pratihaste	kumAram-udDRtya dakziNatas pratyak-muKaH-BUtvA tam kumAram pratihaste
   pradāya pṛṣṭhato gatvottarataḥ tiṣṭhed yajamānaḥ puṣpāñjalyuparikumāraṃ	pradAya pRzWatas gatvA-uttaratas tizWet yajamAnaH puzpa-aQjali-upari-kumAram
   dhārayatyate sukomaṃta iti tisṛbhirupasthāyodañca mātre pradāya	DArayatyate sukomaMte iti tisRBiH-upasTAya-udaQca mAtre pradAya
   karābhyāmañjaliṃ kuryāt tamañjaliṃ brahmapraṇavena pūrayitvā	karAByAm-aQjalim kuryAt tam-aQjalim brahma-praNavena pUrayitvA
   padaścedapāñjaliṃ avasicet punastūṣṇīṃ pūrayitvā tathā dvistūṣṇīmutsṛjya	padaH-ced-apa-aQjalim avasicet punar-tUzNIm pUrayitvA taTA dvis-tUzNIm-utsRjya
   pratyaṅmukhopaviśya vāmadevyaṃ gītvā tato brāhmaṇabhojanaṃ tato	pratyak-muKa-upaviSya vAmadevyam gItvA tatas brAhmaNa-Bojanam tatas-
   brāhmaṇabhojanam // KauthGS_12 //	brAhmaNa-Bojanam // KOTGS_12 //
   KauthGS 13:	KOTG 13:
   ṣaṣṭhe māsyannaprāśanam abhyūdayikam pūrve 'hani pare 'hanyuṣasi snātvā	zazWe mAsi-annaprASanam aByUdayikam pUrve ahani pare ahani-uzasi snAtvA
   yajamāno yavapiṣṭaṃ vā pāyasaṃ śrapayitvā kriyāmakriyāmataṇḍulāṃ	yajamAnaH yava-pizwam vA pAyasam SrapayitvA kriyAm-akriyA-ma-taNxulAm
   svarūpatvaṃ pitā tatye mātā ca kumāramādāyopaviśya jātakamavat karmārambhe	svarUpa-tvam pitA tatye mAtA ca kumAram-AdAya-upaviSya jAtakam-avat karma-AramBe
   pāyasaṃ prāśnoyāt tato brāhṇabhojanaṃ tato brāhmaṇabhojanam // KauthGS_13	pAyasam prASnoyAt tatas brAhNa-Bojanam tatas brAhmaNa-Bojanam // KOTGS_13
   KauthGS 14:	KOTG 14:
   tṛtīye varṣe vapanaṃ kāryam ābhyudāyikaṃ pūrve 'hni tataḥ pare 'hanyuṣasi	tRtIye varze vapanam kAryam AByudAyikam pUrve ahni tatas pare ahani-uzasi
   snātvā yajamānaḥ caturasraṃ sthaṇḍilamupaliṣya	snAtvA yajamAnaH catur-asram sTaNxilam-upalizya
   maṇḍalādbahirdakṣiṇenā'jyāgneyādi sthāpayitvā nāpitaḥ prāṅmukhopaviśya	maNxalAt-bahis-dakziNenA-ajya-Agneya-Adi sTApayitvA nApitaH prAFmuKa-upaviSya
   tatoṣṇopayātrāmādarśe tadanvantaraṃ bhātkacaṃ tat paśmimena darbhaṃ	tata-uzNa-upayAtrAm-AdarSe tad-anvantaram BAt-kacam tat paSmimena darBam
   piñjūlī śthaṇḍilasyottare vāyavyādi snāpayitvā raktānaḍugomayaṃ	piQjUlI STaNxilasya-uttare vAyavI-a-Adi snApayitvA raktAnaxu-gomayam
   laukikatvaṃ kṛsarasthālīpāko vṛthāpakva iti homaṃ mā nāmanaśānvadeśe tato	lOkika-tvam kRsara-sTAlI-pAkaH vRTA-pakvaH iti homam mA nAmanaSAnva-deSe tatas-
   gṛhyāgniṃ pratiṣṭhāpya prātarāhutiṃ hutvā vanyagotre sarvaekadeśe	gRhya-agnim pratizWApya prAtarAhutim hutvA vanya-gotre sarva-eka-deSe
   kṛsalīkārayet kecittriśikhāḥ kecitpañcaśikhāḥ yathāgotrakulakalpamaraṇye	kRsalIkArayet kecid-tri-SiKAH kecid-paQcaSiKAH yaTAgotra-kula-kalpam-araNye
   keśānikhaneyuḥ taṃvinidadhatyeke māṇavakaḥ punaḥ snātvā yajamānaḥ	keSAniKaneyuH taMvinidaDati-eke mANavakaH punar snAtvA yajamAnaH
   svasthānamupaviśya athopariṣṭaḥ -maṃ samāpya vāmadevyaṃ gītvā tato	sva-sTAnam-upaviSya aTa-uparizwaH -mam samApya vAmadevyam gItvA tatas-
   brāhmaṇabhojanaṃ tato brāhmaṇabhojanam // KauthGS_14 //	brAhmaNa-Bojanam tatas brAhmaNa-Bojanam // KOTGS_14 //
   KauthGS 15:	KOTG 15:
   aṣṭame varṣe brahmacaryam dvādaśasaṃvatsarādarvāgā tatrāṣṭame varṣe kuryāt	azwame varze brahmacaryam dvAdaSa-saMvatsarAt-arvAgA tatra-azwame varze kuryAt-
   smṛtyukte śubhanakṣatre tasminnahani pūrvāhṇe upakramya pūrvaṃ nāndīmukaṃ	smRti-ukte SuBa-nakzatre tasmin=-ahani pUrvAhNe upakramya pUrvam nAndImukam
   kṛtvā tataḥ puṇyāhe pūrvāhṇe upakramya pūrvanāntīmukhaṃ kṛtvā tataḥ	kRtvA tatas puNya-ahe pUrvAhNe upakramya pUrvanAntI-muKam kRtvA tatas-
   puṇyāhe pūrvāhne ācāryaḥ sahasirasaṃ snāpayitvā vaṭoḥ sarvapanaṃ kārayitvā	puNyAhe pUrvAhne AcAryaH sahasi-rasam snApayitvA vawoH sarva-panam kArayitvA
   snātvālaṃkṛtyāhatena vāsasā paridhāya caturasraṃ sthaṇḍilamupalipya	snAtvA-alaMkRtya-ahatena vAsasA pariDAya catur-asram sTaNxilam-upalipya
   prāṅmukhopaviśya pādau kṣolanīmākramya dakṣiṇe śiṣyastadvadācārya svayaṃ	prAFmuKa-upaviSya pAdO kzolanIm-Akramya dakziNe SizyaH-tadvat-AcArya svayam
   dārorvā dadyāttūṣṇīṃ navopataṃ vratimuce tadvaddhiraṇye lomnā carmaṇi	dAroH-vA dadyAt-tUzNIm nava-upatam vrati-muce tadvat-hiraNye lomnA carmaNi
   upavītobhūtvā tayoḥ punarācamya gṛhyāgniṃ pratiṣṭhāya vismṛtaṃ	upavItoBUtvA tayoH punar-Acamya gRhya-agnim pratizWAya vismRtam
   sagotrer'dhaṃ ......... caulopanayanagodāneṣu tataḥsamūhanādi prapadāntaṃ	sagotrer-aDam ......... cOla-upanayana-godAnezu tatas-samUhana-Adi prapada-antam
   kṛtvā idhmāṅgaṃ hutvā tato 'nvārabdhāyāṃ vyāhṛtibhiḥ tisṛbhiḥ hutvā	kRtvA iDmAFgam hutvA tatas anvArabDAyAm vyAhRtiBiH tisRBiH hutvA
   ubhābhyāṃ hastābhyāṃ māṇavakaṃ gṛhītvā yamamā dabha vācayitvā ---	uBAByAm hastAByAm mANavakam gRhItvA yamamAH daBa vAcayitvA ---
   prekṣetsavitāraṃ dhyāyan nuṣṇenetyuṣṇodakaṃ prokṣedvāyuṃ dhyāyan dakṣiṇena	prekzet-savitAram DyAyan nuzNena-iti-uzNa-udakam prokzet-vAyum DyAyan dakziNena
   añjaliṃ māṇavakaḥ pūrayitvā dakṣiṇataḥ keśānvāpayitvāpa undantu iti	aQjalim mANavakaH pUrayitvA dakziNatas keSAn-vApayitvA-apaH undantu iti
   vāpayitvā viṣṇordaṣṭro 'si ityādarśa prekṣed oṣadhe trāyasvainamiti darbha	vApayitvA vizNoH-dazwraH asi iti-AdarSa prekzet ozaDe trAyasva-enam-iti darBa
   piñjūlī prakṣālyā sthāne pratiṣṭhāpya svadhite nainaṃ hiṃsīḥ ityādarśaṃ	piQjUlI prakzAlyA sTAne pratizWApya svaDite na-enam hiMsIH iti-AdarSam
   oṣadhīriti saṃjojya yena pūṣeti viprāstaṃ prokṣeyuḥ anyapuruṣaḥ	ozaDIH-iti saMjojya yena pUzA-iti viprAH-tam prokzeyuH anya-puruzaH
   sakṛdāyasena pracchidyā saptabhiḥ keśāgrān darbhāgrayuktān tūṣṇīṃ anaḍuha	sakRt-Ayasena pracCidyA saptaBiH keSa-agrAn darBa-agra-yuktAn tUzNIm anaxuha
   prakṣipyapunaśca undanādi prabhṛtya evaṃ paścāduttarasya triyāyurṣamiti	prakzipya-punar-ca undana-Adi praBRtyaH evam paScAt-uttarasya triyAyuH-zam-iti
   mūrdhānaṃ parigṛhyā jape tadupasṛpya kuryeti brāhmaṇaṃ brūyāt ko nāmeti	mUrDAnam parigRhyAH jape tat-upasRpya kurya-iti brAhmaNam brUyAt kaH nAma-iti
   pṛcchedācāryaḥ śiṣyo nakṣatra svayaṃ nāma brūyāt tūṣṇīṃ śiṣyāñjalau nilīya	pRcCet-AcAryaH SizyaH nakzatra svayam nAma brUyAt tUzNIm Sizya-aQjalO nilIya
   tathā bhūmauśiṣyaḥ tataḥ ācāryo brūyāt tābhyāṃ hastābhyāṃ māṇavakāñjaliṃ	taTA BUmOSizyaH tatas AcAryaH brUyAt tAByAm hastAByAm mANavaka-aQjalim
   gṛhṇīyāt devasya tvetyācāryo mantrī sūryasyeva dukṛdātvānāvartyaḥ	gRhNIyAt devasya tvA-iti-AcAryaH mantrI sUryasya-iva dukRdAtvA-anAvartyaH
   prāṅmukhastiṣṭhan ācāryapṛṣṭhataḥ prāṅmukhaḥ sthitvā ubhau karatalena	prAFmuKaH-tizWan AcArya-pRzWatas prAFmuKaH sTitvA uBO kara-talena
   śiṣyasya nābhideśaṃ spṛṣṭvā prāṇānāmity antaṃ ka ityadaraahura ityurasi	Sizyasya nABi-deSam spRzwvA prANAnAm-iti antam kaH iti-adaraa-huraH iti-urasi
   kṛsara iti kaṇṭhe saṃ........... savyena savyaṃ devāya tvetyapasavye vā	kRsaraH iti kaNWe saM........... savyena savyam devAya tvA-iti-apasavye vA
   savyaṃ prajāpataye tveti punaśca vaṭuḥ prāṅmukho bhūtvācāryo	savyam prajApataye tvA-iti punar-ca vawuH prAFmuKaH BUtvA-AcAryaH-
   brahmacāryosyasau samidhamā dhehi āpo 'śāna karma kuru mā divā svāpsīḥ iti	brahmacArI-osi-asO samiDamA Dehi ApaH aSAna karma kuru mA divA svApsIH iti
   tvaṃ brahmacārotyarthaḥ svamagni kāryaṃ kuruta srāvamana prāṇāgnigotroditi	tvam brahmacAroti-arTaH svam-agni kAryam kuruta srAvamana prANa-agni-gotra-uditi
   vā jaṭharatvāmitya evaṃ kartavyamityācāryo brūyātu tathāstviti tān	vA jaWaratva-am-ityaH evam kartavyam-iti-AcAryaH brUyAtu taTA-astu-iti tAn
