   Prajñāpāramitopadeśaśāstre	PrajQApAramita upadeSa SAstre
   sambaddhakārikānusāram uktapūrve 'pi samparigrahe tadbalena yathoktaviśeṣo	sambadDa kArika anusAram ukta pUrve api samparigrahe tad balena yaTA ukta viSezaH 
   bhavatīti darśanāya tadanantaramantaraślokaḥ  	Bavati iti darSanAya tad anantaram antaraSlokaH  
   cittānavalīnatvādi naiḥsvābhāvyādideśakaḥ /	citta anavalIna tva Adi nEHsvABAvya AdideSakaH /
   tadvipakṣaparityāgaḥ sarvathā samparigrahaḥ // Abhis_1.37 //	tad vipakza parityAgaH sarvaTA samparigrahaH // ABiH _1.37 //
   cittānabalīnatvānuttrāsādinopāyakauśalyena yathāśayaṃ	cittAnabalI natva anuttrAsa AdinA upAya kOSalyena yaTASayam
   mātsaryādivipakṣadharmaviyuktaḥ samastavastunairātmyādideśakaḥ	mAtsarya Adi vipakza Darma viyuktaH samasta vastu nErAtmya AdideSakaH
   kalyāṇamitramiti samparigrahaḥ /	kalyANa mitram iti samparigrahaH /
   4   pratipatterādhāraḥ	4  pratipatteH ADAraH
   pratipattimato yathoktanirvedhabhāgīyamanyadapi darśanamārgādikamiti	pratipattimataH yaTA ukta nirveDa BAgIyam anyat api darSana mArga Adikam iti
   pratipatterādhāramāha  	pratipatteH ADAram Aha  
   ṣoḍhādhigamadharmasya pratipakṣaprahāṇayoḥ /	zoXA aDigama Darmasya pratipakza prahANayoH /
   tayoḥ paryupayogasya prajñāyāḥ kṛpayā saha // Abhis_1.38 //	tayoH paryupayogasya prajQAyAH kRpayA saha // ABiH _1.38 //
   śiṣyāsādhāraṇatvasya parārthānukramasya ca /	Sizya asADAraNa tvasya para arTa anukramasya ca /
   jñānasyāyatnavṛtteśca pratiṣṭhā gotramucyate // Abhis_1.39 //	jQAnasya ayatna vRtteH ca pratizWA gotram ucyate // ABiH _1.39 //
   tatrādau tāvaccaturvidhalaukikanirvedhabhāgīyānāmutpādādhāraḥ / tato	tatra AdO tAvat caturviDa lOkika nirveDa BAgIyAnAm utpAda ADAraH / tatas 
   lokottaradarśanabhāvanāmārgayoḥ / tatastadutpattibalena	loka uttara darSana BAvanA mArgayoH / tatas tad utpatti balena
   cauraniṣkāsanakapāṭapidhānavat samakālaṃ	cOra nizka Asana kapAwa piDAna vat sama kAlam
   samastapratipakṣotpādavipakṣanirodhayoḥ / tatastadanupalabdhyā	samasta pratipakza utpAda vipakza niroDayoH / tatas tad anupalabDyA
   tadutpādanirodhayuktavikalpāpagamasya / tataṃ	tad utpAda niroDa yukta vikalpa apagamasya / tatam
   pūrvapraṇidhānadānādyupāyakauśalyabalena saṃsāranirvāṇāpratiṣṭhānayoḥ	pUrva praNiDAna dAna Adi upAya kOSalya balena saMsAra nirvANa apratizWAnayoH
   prajñākaruṇayoḥ / tatastadutpattyā śrāvakādyasādhāraṇadharmasya / tato	prajQA karuNayoH / tatas tad utpattyA SrAvaka Adi asADAraNa Darmasya / tatas 
   yathāśayamavatāraṇādyabhisandhidvāreṇa	yaTA Sayam avatAraNa Adi aBisanDi dvAreNa
   yānatrayapratiṣṭhāpanalakṣaṇaparārthānukramasya / tato yāvadāsaṃsāraṃ	yAna traya pratizWApana lakzaNa para arTa anukramasya / tatas yAvat AsaMsAram
   nirnimittānābhogaparārthajñānasya cādhāraḥ / ayamevānukramaḥ / anenaiva	nirnimitta an ABoga para arTa jQAnasya ca ADAraH / ayam eva anukramaH / anena eva
   sarva puruṣārthāḥ sampadyante /	sarva puruza arTAH sampadyante /
   pratipattidharmāvasthāntarabhedena trayodaśavidho bodhisattvo	pratipatti Darma avasTA antara Bedena trayodaSaviDaH boDisattvaH 
   yathoktadharmādhāro dharmadhātusvabhāva eva gotramiti nirdiṣṭam /	yaTA ukta Darma ADAraH DarmaDAtu svaBAvaH eva gotram iti nirdizwam /
   yadi dharmadhātorevāryadharmādhigamāya hetutvāttadātmako bodhisattvaḥ	yadi DarmaDAtoH eva Arya Darma aDigamAya hetu tvAt tad AtmakaH boDisattvaH
   prakṛtisthamanuttarabuddhadharmāṇāṃ gotram, tadā tatsāmānyavartitvād 'na	prakRti sTam anuttara budDa DarmANAm gotram, tadA tad sAmAnya varti tvAt ana
   bodhisattva eveti' mandabuddhi puruṣaṃ pratyāśaṃkya antaraślokamāha  	boDisattvaH eva iti a manda budDi puruzam pratyASaMkya antaraSlokam Aha  
   dharmadhātorasambhedād gotrabhedo na yujyate /	DarmaDAtoH asamBedAt gotra BedaH na yujyate /
   yathā śrāvakayānādyadhigamakrameṇālambeta tathāryadharmādhigamāya	yaTA SrAvaka yAna Adi aDigama krameNa Alambeta taTA Arya Darma aDigamAya
   dharmadhātorhetubhāvena vyavasthāpanād gotratvena vyapadeśa ityapi	DarmaDAtoH hetu BAvena vyavasTApanAt gotra tvena vyapadeSaH iti api
   samādhiḥ dṛśyate, tathāpi saukaryāt laukikadṛṣṭāntenāpi samādhyantaramāha	samADiH dRSyate, taTA api sOkaryAt lOkika dRzwAntena api samADi antaram Aha
   ādheyadharmabhedāttu tadbhedaḥ parigīyate // Abhis_1.40 //	ADeya Darma BedAt tu tad BedaH parigIyate // ABiH _1.40 //
   yathaikamṛddravyābhinirvṛttaikatejaḥparipakvādhāraghaṭāderādheyakṣaudraśarkarādibhājanatvena	yaTA eka mRd dravya aBinirvRtta eka tejaH paripakva ADAra Gawa AdeH ADeya kzOdra SarkarA Adi BAjana tvena
   bhedastadbad	BedaH tat bad
   yānatrayasaṅgṛhītādhigantavyādheyadharmanānātvenādhāranānātvaṃ	yAna traya saFgRhIta aDiganta vyADeya Darma nAnA tvena ADAra nAnAtvam
   nirdiṣṭamiti /	nirdizwam iti /
   5   ālambanam	5  Alambanam
   yathoktapratipattyādhārasya kimālambanamityāha  	yaTA ukta pratipatti ADArasya kim Alambanam iti Aha  
   ālambanaṃ sarvadharmāste punaḥ kuśalādayaḥ /	Alambanam sarva DarmAH te punar kuSala AdayaH /
   laukikādhigamākhyāśca ye ca lokottarā matāḥ // Abhis_1.41 //	lOkika aDigama AKyAH ca ye ca lokottarAH matAH // ABiH _1.41 //
   sāsravānasravā dharmāḥ saṃskṛtāsaṃskṛtāśca ye /	sa AsravAnasravAH DarmAH saMskRta AsaMskRtAH ca ye /
   śiṣyasādhāraṇā dharmā ye cāsādhāraṇā muneḥ // Abhis_1.42 //	Sizya sADAraNAH DarmAH ye ca asADAraNAH muneH // ABiH _1.42 //
   tatrādau tāvat sāmānyena (sarvadharmāḥ) kuśalākuśalāvyākṛtāḥ yathākramaṃ	tatra AdO tAvat sAmAnyena (sarva DarmAH) kuSala akuSala avyAkRtAH yaTAkramam
   śrāmaṇyatāprāṇātipātādyavyākṛtakāyakarmādayaḥ / tatasteṣāmeva	SrAmaNyatA prANa atipAta Adi avyAkRta kAya karma AdayaH / tatas tezAm eva
   laukikādidvividhasyāvaśiṣṭāścattvāro bhedāḥ, yathāsaṃkhyaṃ	lOkika Adi dviviDasya avaSizwAH cattvAraH BedAH, yaTAsaMKyam
   bālapṛthagjanasambaddhāḥ pañca skandhāḥ, sarvāryajanasaṃgṛhītāni catvāri	bAla pRTagjana sambadDAH paQca skanDAH, sarva Arya jana saMgRhItAni catvAri
   dhyānāni, ātmadarśanāpratipakṣatvena pañcopādānaskandhāḥ /	DyAnAni, Atma darSana apratipakza tvena paQca upAdAna skanDAH /
   taddarśanapratipakṣatvena catvāri smṛtyupasthānāni / hetupratyayādhīnāḥ	tad darSana pratipakza tvena catvAri smRti upasTAnAni / hetu pratyaya aDInAH
   kāmādidhātavaḥ / kāraṇānapekṣāḥ tathatā / sarvāryajanasantānaprabhavāni	kAma Adi DAtavaH / kAraNa anapekzAH taTatA / sarva Arya jana santAna praBavAni
   caturdhyānāni / samyaksambuddhasantānodayadharmīṇi daśabalāni	catur DyAnAni / samyaksambudDa santAna udaya DarmINi daSa balAni
   ityevamadhigamānukrameṇa sarvadharmā yathāvadālambyanta	iti evam aDigama anukrameNa sarva DarmAH yaTAvat Alambyanta
   ityālambanamekādaśavidham /	iti Alambanam ekAdaSaviDam /
   6   samuddeśaḥ	6  samuddeSaH
   tādṛśālambanapratipatteḥ kaḥ samuddeśa iti samuddeśamāha  	tAdRSa Alambana pratipatteH kaH samuddeSaH iti samuddeSam Aha  
   sarvasattvāgratā cittaprahāṇādhigamatraye /	sarva sattva agra tA citta prahANa aDigama traye /
   tribhirmahattvairuddeśo vijñeyo 'yaṃ svayambhuvām // Abhis_1.43 //	triBiH mahat tvEH uddeSaH vijQeyaH ayam svayamBuvAm // ABiH _1.43 //
   sarvathā sarvākārajñatāparijñānena bhaviṣyadbuddhabodhisattvānāṃ	sarvaTA sarva AkAra jQa tA parijQAnena Bavizyat budDa boDisattvAnAm
   sarvasattva (rāśi) akhilasattva (nikāya) agratācittamahattvaṃ	sarva sattvaH (rASi) aKila sattvaH (nikAya ) agra tA citta mahat tvam
   prahāṇamahattvamadhigamamahattvañcādhikṛtya pratipattau	prahANa mahat tvam aDigama mahat tvaQca aDikRtya pratipattO
   pravṛttatvānmahattvānmahattvatrayayuktatvācca trividhaḥ samuddeśo	pravRtta tvAt mahat tvAt mahat tva traya yukta tvAt ca triviDaH samuddeSaH 
   jñātavyaḥ /	jQAtavyaH /
   7   sannāhapratipattiḥ	7  sannAha pratipattiH
   ityevaṃ pratipattyādhārādīn abhidhāya kiñca tatsvarūpamiti cet? sā	iti evam pratipatti ADAra AdIn aBiDAya kiQca tad svarUpam iti cet? sA
   trisarvajñatāviṣaye sāmānyena śukladharmādhiṣṭhānā,	tri sarvajQa tA vizaye sAmAnyena Sukla Darma aDizWAnA,
   sarvākārābhisambodhādau caturvidhe 'bhisamaye pratyabhisamayaṃ	sarva AkAra aBisamboDa AdO caturviDe aBisamaye pratyaBisamayam
   ṣaṭpāramitādhiṣṭhānā ca kriyā paripattiḥ / evaṃ yathāvat	zaz pAramitA aDizWAnA ca kriyA paripattiH / evam yaTAvat 
   prayogadarśanabhāvanāviśeṣamārgasvabhāvānāṃ pratipattilakṣaṇānāṃ	prayoga darSana BAvanA viSeza mArga svaBAvAnAm pratipatti lakzaNAnAm
   sannāhaprasthānasambhāraniryāṇānāṃ madhye	sannAha prasTAna samBAra niryANAnAm maDye
   vīryarūpatayā sannāhapratipattiṃ prathamāmāha  	vIrya rUpa tayA sannAha pratipattim praTamAm Aha  
   dānādau ṣaḍvidhe teṣāṃ pratyekaṃ saṃgraheṇa yā /	dAna AdO zaxviDe tezAm pratyekam saMgraheNa yA /
   sannāhapratipattiḥ ṣā ṣaḍbhiḥ ṣaṭkairyathoditā // Abhis_1.44 //	sannAha pratipattiH zA zaxBiH zawkEH yaTA uditA // ABiH _1.44 //
   iti / dharmadānādidāne śrāvakādimanaskāraparivarjanam,	iti / Darma dAna Adi dAne SrAvaka Adi manaskAra parivarjanam,
   sarvajanāpriyavāditvakṣāntiḥ, chandajananam,	sarva jana apriya vAdi tva kzAntiH, Canda jananam,
   yānāntarāvyavakīrṇaikāgratānuttarasamyaksambodhipariṇāmanā yathākramaṃ	yAna antara avyavakIrNA ekAgra tA anuttara samyaksamboDi pariNAmanA yaTAkramam
   deyādyanupalambhasannāhatvena kriyante / tathaiva śīlasya rakṣaṇam,	deya Adi anupalamBa sannAha tvena kriyante / taTA eva SIlasya rakzaNam,
   kṣānteḥ sampādanam, vīryasya prārambhaḥ, dhyānasya ārādhanam, prajñāyā	kzAnteH sampAdanam, vIryasya prAramBaH, DyAnasya ArADanam, prajQAyA
   bhāvanā ityevaṃ dānādiṣaṭpāramitāsu pratyekaṃ dānādau saṃgṛhītāsu ṣaḍbhiḥ	BAvanA iti evam dAna Adi zaz pAramitAsu pratyekam dAna AdO saMgRhItAsu zaxBiH
   ṣaṭkaiḥ ṣaṭtriṃśadvidyā bhavanti dānādisādharmyācca ṣaṭ	zawkEH zawtriMSat vidyAH Bavanti dAna Adi sADarmyAt ca zax 
   sannāhapratipattayo bhavanti /	sat nAha pratipattayaH Bavanti /
   8   prasthānapratipattiḥ	8  prasTAna pratipattiH
   kṛtasannāhasyaivaṃ prasthānamiti prasthānapratipattiṃ dvitīyāmāha  	kRta sannAhasya evam prasTAnam iti prasTAna pratipattim dvitIyAm Aha  
   dhyānārūpyeṣu dānādau mārgai maitryādikeṣu ca /	DyAna ArUpyezu dAna AdO mArgEH mEtrI Adikezu ca /
   gatopalambhayoge ca trimaṇḍalaviśuddhiṣu // Abhis_1.45 //	gata upalamBa yoge ca tri maNxala viSudDizu // ABiH _1.45 //
   uddeśe ṣaṭsvabhijñāsu sarvākārajñatānaye /	uddeSe zawsu aBijQAsu sarva AkAra jQa tA naye /
   prasthānapratipajjñeyā mahāyānādhirohiṇo // Abhis_1.46 //	prasTAna pratipad jQeyAH mahAyAna aDirohiNaH // ABiH _1.46 //
   dhyānārūpyasamāpatti dānādiṣaṭpāramitā darśanabhāvanāśaikṣaviśeṣamārga caturapramāṇa anupalambhayoga sarvavastutrimaṇḍalaviśuddhi uddeśa ṣaḍabhijñā sarvākārajñatāsu	DyAna ArUpya samApatti  dAna Adi zaz pAramitA  darSana BAvanA SEkza viSeza mArga  catura pramANa  anupalamBa yoga  sarva vastu tri maNxala viSudDi  ud
   samyagvyavasthitilakṣaṇā hi samastamahāyānadharmākramaṇasvabhāvā	samyak vyavasTiti lakzaNA hi samasta mahAyAna Darma AkramaNa svaBAvA
   prasthānapratipattiḥ navadhā /	prasTAna pratipattiH navaDA /
   9   sambhārapratipattiḥ	9  samBAra pratipattiH
   kṛtaprasthānasyaivaṃ sambhāra iti sambhārapratipattiṃ tṛtīyāmāha  	kRta prasTAnasya evam samBAraH iti samBAra pratipattim tRtIyAm Aha  
   dayā dānādhikaṃ ṣaṭkaṃ śamathaḥ savidarśanaṃ /	dayA dAna aDikam zawkam SamaTaH sa vidarSanam /
   yuganaddhaśca yo mārgaṃ upāye yacca kauśalam // Abhis_1.47 //	yuganadDaH ca yaH mArgam upAye yat ca kOSalam // ABiH _1.47 //
   jñānaṃ puṇyaṃ mārgaśca dhāraṇī bhūmayo daśa /	jQAnam puNyam mArgaH ca DAraNI BUmayaH daSa /
   pratipakṣaśca vijñeyaḥ sambhārapratipatkramaḥ // Abhis_1.48 //	pratipakzaH ca vijQeyaH samBAra pratipad kramaH // ABiH _1.48 //
   mahākaruṇa dāna śīla vīrya dhyāna prajñā śamatha vidarśanā yuganaddhamārga upāyakauśala jñāna puṇya darśanādimārga vacanādidhāraṇī bhūmi pratipakṣāṇāmanupalambhena	mahA karuNa  dAna  SIla  vIrya  DyAna  prajQA a  SamaTa  vidarSanA  yuga nadDa mArga  upAya kOSala  jQAna  puNya  darSana Adi mArga  vacana Adi DAraNI B
   saṃvṛtisatyānatikrameṇa samastamahāyānārthapratipatterebhiḥ karuṇādibhiḥ	saMvRti satya anatikrameNa samasta mahAyAna arTa pratipatteH eBiH karuNA AdiBiH
   samyak pratipatsvābhāvyāt mahābodhigrahaṇāt mahākaruṇādisambhārā iti	samyak  pratipad svABAvyAt mahA boDi grahaNAt mahA karuNa Adi samBArAH iti
   saptadaśa sambhārapratipattayaḥ / tatra jñānasambhāraḥ	saptadaSa samBAra pratipattayaH / tatra jQAna samBAraH
   ādhyātmika bāhya tadubhaya śūnyatā mahat paramārtha saṃskṛta asaṃskṛta atītānanta anavarāgra anavakāra prakṛti sarvadharma lakṣaṇa anupalambha abhāvasvabhāva bhāva abhāva svabhāva parabhāvaśūnyatānāṃ	ADyAtmika  bAhya  tad uBaya  SUnyatA mahat  parama arTa  saMskRta  a saMskRta  atIta ananta ana vara agra  anavakAra  prakRti sarva Darma lakzaNa 
   bhedena viṃśatidhā /	Bedena viMSatiDA /
   ādhyātmikatvabāhyatvobhayaśūnyatvatastathā /	ADyAtmika tva bAhya tva uBaya SUnyatvataH taTA /
   diṅnirvāṇārthataścaiva saṃskṛtāsaṃskṛtatvataḥ // 1 //	diS nirvANa arTataH ca eva saMskRta asaMskRta tvataH // 1 //
   atyantānavarāgratvānavakārākṛtātvataḥ /	atyantAn avara agra tva anavakAra akRta AtvataH /
   sarvadharmatvalakṣmatvābhyatītāditvataḥ punaḥ // 2 //	sarva Darma tva lakzma tva aByatIta Adi tvatas punar // 2 //
   sāṃyogikatvabhāvatvākāśaśūnyasvabhāvataḥ /	sAMyogika tva BAva tva AkASa SUnya svaBAvataH /
   svasvabhāvaviyuktatvād viṃśatiḥ śūnyatā matāḥ // 3 //	sva svaBAva viyukta tvAt viMSatiH SUnyatA matAH // 3 //
   bhūmisambhāreṇa daśabhūbhaya iti pariṣkriyamāṇānāṃ dharmāṇāṃ saṃdarśanāya	BUmi samBAreNa daSa BUBayaH iti parizkriyamANAnAm DarmANAm saMdarSanAya
   trayoviṃśatirantaraślokā kathyante  	trayoviMSatiH antaraSlokA kaTyante  
   1. pramuditā bhūmiḥ	1. pramuditA BUmiH
   labhyate prathamā bhūmirdaśadhā parikarmaṇā /	laByate praTamA BUmiH daSaDA parikarmaNA /
   āśayo hitavastutvaṃ sattveṣu samacittatā // Abhis_1.49 //	ASayaH hita vastu tvam sattvezu sama citta tA // ABiH _1.49 //
   tyāgaḥ sevā ca mitrāṇāṃ saddharmālambanaiṣaṇā /	tyAgaH sevA ca mitrANAm sat Darma Alamba na ezaNAH /
   sadā naiṣkramyacittatvaṃ buddhakāyagatā spṛhā // Abhis_1.50 //	sadA nEzkramya citta tvam budDa kAya gatA spRhA // ABiH _1.50 //
   dharmasya deśanā satyaṃ daśamaṃ vākyamiṣyate /	Darmasya deSanA satyam daSamam vAkyam izyate /
   jñeyañca parikarmaiṣāṃ svabhāvānupalambhataḥ // Abhis_1.51 //	jQeyaQca parikarmA ezAm svaBAva anupalamBataH // ABiH _1.51 //
   iti / yathāvat sarvavastuṣu akauṭilyāśayaḥ, sva paraprayojane hitatvam,	iti / yaTAvat sarva vastuzu akOwilya ASayaH, sva para prayojane hita tvam,
   sarvasattveṣu samacittatā, sarvasvaparityāgaḥ, kalyāṇamitrārāgaṇam,	sarva sattvezu sama citta tA, sarva sva parityAgaH, kalyANa mitra ArA gaNam,
   yānatrayasaṅgṛhīta saddharmālambanaparyeṣṭiḥ, gṛhavāsānabhiratiḥ,	yAna traya saFgRhIta sat Darma Alambana paryezwiH, gRha vAsa an aBiratiH,
   anuttarabuddhakāyagatā spṛhā, saddharmaprakāśanam,	anuttara budDa kAya gatA spRhA, sadDarma prakASanam,
   satyavāditetyevamebhirdaśabhirlakṣaṇadharmaiḥ sarvathotpadyamānattvāt	satya vAdi tA iti evam eBiH daSaBiH lakzaNa DarmEH sarvaTA utpadyamAnat tvAt 
   parikarmabhiḥ kāraṇaviśeṣaiḥ svabhāvānupalambhatayā	parikarmaBiH kAraNa viSezEH svaBAva anupalamBa tayA
   kṛtaviśeṣalakṣaṇaparikarmabhireva prathamā pramuditā bhūmiḥ prāpyate /	kRta viSeza lakzaNa parikarmaBiH eva praTamA pramuditA BUmiH prApyate /
   2   vimalā bhūmiḥ	2  vimalA BUmiH
   śīlaṃ kṛtajñatā kṣānti pramodyaṃ mahatī kṛpā /	SIlam kRtajQa tA kzAnti pramodyam mahatI kRpA /
   gauravaṃ guruśuśrūṣā vīryaṃ dānādike 'ṣṭamam // Abhis_1.52 //	gOravam guru SuSrUzA vIryam dAna Adike azwamam // ABiH _1.52 //
   iti kuśaladharma sattvārthakriyā saṃvaraśīlāni, parakṛtopakārasya	iti kuSala Darma  sattva arTa kriyA  saMvara SIlAni, para kRta upakArasya
   avismaraṇam (avipraṇāśanam), parakṛtāpakārādau kṣāntiḥ,	avismaraNam (avipraNASanam), para kRta apakAra AdO kzAntiH,
   kuśaladharmasyārādhane 'vipratisāraḥ, sarvajaneṣu maitrī, upādhyāyādiṣu	kuSala Darmasya ArADane avipratisAraH, sarva janezu mEtrI, upADyAya Adizu
   praṇamanam, kalyāṇamitranirdiṣṭadharmasādhanā, dānādiṣaṭpāramitāsu	praNamanam, kalyANa mitra nirdizwa Darma sADanA, dAna Adi zaz pAramitAsu
   paryeṣṭirityevaṃ kṛtaparikarmaviśeṣeṇāṣṭaprakāradharmeṇa dvitīyā vimalā	paryezwiH iti evam kRta parikarma viSezeNa azwa prakAra DarmeNa dvitIyA vimalA
   bhūmiradhigamyate /	BUmiH aDigamyate /
   3. prabhākarī bhūmiḥ	3. praBAkarI BUmiH
   atṛptatā śrute dānaṃ dharmasya ca nirāmiṣam /	atRpta tA Srute dAnam Darmasya ca nirAmizam /
   buddhakṣetrasya saṃśuddhiḥ saṃsārāparikheditā // Abhis_1.53 //	budDa kzetrasya saMSudDiH saMsAra apariKeditAH // ABiH _1.53 //
   hrīrapatrāpyamityetat pañcadhā mananātmakam /	hrIH apatrApyam iti etat paQcaDA mananA Atmakam /
   iti / saddharmaśravaṇe tṛpterajñānam, lābhādinirapekṣacittena	iti / sadDarma SravaNe tRpteH ajQAnam, lABa Adi nirapekza cittena
   saddharmaprakāśanam, svabuddhakṣetrāśrayāśritasaṃśodhanam,	sadDarma prakASanam, sva budDa kzetra ASraya ASrita saMSoDanam,
   upakṛtasattvavaiparītyādidarśanena na parikhedāpattiḥ, svaparāpekṣayā	upakRta sattva vEparIti Adi darSanena na pariKeda ApattiH, sva para apekzayA
   akuśaladharmākaraṇamityevaṃ pañcadhā parikarmaṇā pūrvavat	akuSala Darma akaraNam iti evam paQcaDA parikarmaNA pUrvavat 
   kṛtānavabudhyamānasvabhāvaparikarmaṇā tṛtīyā prabhākarī bhūmiravabudhyate	kRtAnavabuDyamAna svaBAva parikarmaNA tRtIyA praBAkarI BUmiH avabuDyate
   4. arciṣmatī bhūmiḥ	4. arcizmatI BUmiH
   vanāśā 'lpecchatā tuṣṭirdhūtasaṃlekhasevanam // Abhis_1.54 //	vanASA alpa icCatA tuzwiH DUta saMleKa sevanam // ABiH _1.54 //
   śikṣāyā aparityāgaḥ kāmānāṃ vijugupsanam /	SikzAyAH aparityAgaH kAmAnAm vijugupsanam /
   nirvitsarvāstisantyāgo 'navalīnānapekṣate // Abhis_1.55 //	nirvitsarvAsti santyAgaH anavalIna anapekzate // ABiH _1.55 //
   iti / araṇyāvāsaḥ, aprāptalābheṣu anabhilāṣaḥ,	iti / araNya AvAsaH, aprApta lABezu anaBilAzaH,
   prāptalābheṣvanadhikābhyarthanā, bhikṣādidhautaguṇasaṃvaraṇam,	prApta lABezu anaDika aByarTanA, BikzA Adi DOta guNa saMvaraNam,
   gṛhītaśikṣāṇāṃ prāṇādibhyo 'pi aparityajanam, kāmaguṇeṣu	gRhIta SikzANAm prANa AdiByaH api aparityajanam, kAma guNezu
   doṣopalambhadarśanena nindanam, vineyānusāreṇa nirvāṇe pravaṇatvam,	doza upalamBa darSanena nindanam, vineya anusAreNa nirvANe pravaNa tvam,
   sarvasvaparityāgaḥ, kuśalasādhane cittāsaṃkocaḥ,	sarva sva parityAgaH, kuSala sADane citta asaMkocaH,
   sarvavastvanapekṣaṇamityevaṃ pūrvavaddaśaprakāreṇa caturthī arciṣmatī	sarva vastu anapekzaNam iti evam pUrvavat daSa prakAreNa caturTI arcizmatI
   bhūmirabhirūhyate /	BUmiH aBirUhyate /
   5. sudurjayā bhūmiḥ	5. su durjayA BUmiH
   saṃstavaṃ kulamātsaryaṃ sthānaṃ saṅgaṇikāvaham /	saMstavam kula mAtsaryam sTAnam saFgaNika Avaham /
   ātmotkarṣaparāvajñe karmamārgān daśāśubhān // Abhis_1.56 //	Atma utkarza para avajQe karma mArgAn daSa aSuBAn // ABiH _1.56 //
   mānaṃ stambhaṃ viparyāsaṃ vimatiṃ kleśamarṣaṇam /	mAnam stamBam viparyAsam vimatim kleSa marzaNam /
   vivarjayan samāpnoti daśaitān pañcamīṃ bhuvam // Abhis_1.57 //	vivarjayan samApnoti daSa etAn paQcamIm Buvam // ABiH _1.57 //
   iti / lābhādyarthaṃ gṛhipravrajitādibhiḥ saṃvāsaḥ,	iti / lABa Adi arTam gRhi pravrajita AdiBiH saMvAsaH,
   śrāddhakulānupadarśanam, janākīrṇanagarādi, svapraśaṃsanaparanindane,	SrAdDa kulAn upadarSanam, jana AkIrNa nagara Adi, sva praSaMsana para nindane,
   daśākuśalakarmapathāḥ, śrutādyabhimānaḥ, parāpraṇamanam,	daSa akuSala karma paTAH, Sruta Adi aBimAnaH, parApraNamanam,
   kuśalākuśalaviparītābhīniveśaḥ, mithyādṛṣṭyādikumatiḥ,	kuSala akuSala viparIta aBI niveSaH, miTyA dRzwi AdikumatiH,
   sarvarāgādisarvakleśābhimukhīkaraṇaṃ cetyevaṃlakṣaṇān daśadharmān	sarva rAga Adi sarva kleSa aBimuKIkaraNam ca iti evaMlakzaNAn daSa DarmAn
   vivarjayan arthādākṣiptaviparyayadharmeṇa daśaprakāraparikarmaṇā pūrvavat	vivarjayan arTAt Akzipta viparyaya DarmeNa daSa prakAra parikarmaNA pUrvavat 
   pañcamī sudurjayā bhūmirākramyate /	paQcamI su durjayA BUmiH Akramyate /
   6. abhimukhī bhūmiḥ	6. aBimuKI BUmiH
   dānaśīlakṣamāvīryadhyānaprajñāprapūraṇāt /	dAna SIla kzamA vIrya DyAna prajQA prapUraNAt /
   śiṣyakhaḍgaspṛhātrāsacetasāṃ parivarjakaḥ // Abhis_1.58 //	Sizya Kaxga spRhA trAsa cetasAm parivarjakaH // ABiH _1.58 //
   yācito 'navalīnaśca sarvatyāge 'pyadurmanāḥ /	yAcitaH anavalInaH ca sarva tyAge api adurmanAH /
   kṛśo 'pi nārthināṃ kṣeptā ṣaṣṭhīṃ bhūmiṃ samaśnute // Abhis_1.59 //	kRSaH api na arTinAm kzeptA zazWIm BUmim samaSnute // ABiH _1.59 //
   dānādiṣaṭpāramitāparipūraṇena śrāvakapratyekabuddhābhilāṣasya	dAna Adi zaz pAramitA paripUraNena SrAvaka pratyekabudDa aBilAzasya
   svabhāvānupalambhotttrāsasya ca yācakajanaprārthanāsaṃkocasya	svaBAva anupalamBa utttrAsasya ca yAcaka jana prArTanA saMkocasya
   svarasapravṛttasarvārthatyāgadaurmanasyasya	sva rasa pravRtta sarva arTa tyAga dOrmanasyasya
   dāridryādarthijanapratikṣepacittasya ca varjanenetyevaṃ dvādaśabhiḥ	dAridryAt arTi jana pratikzepa cittasya ca varjanena iti evam dvAdaSaBiH
   parikarmabhiḥ pūrvavat ṣaṣṭhī abhimukhī bhūmirājñāyate /	parikarmaBiH pUrvavat zazWI aBimuKI BUmiH AjQAyate /
   7. dūraṅgamā bhūmiḥ	7. dUraFgamA BUmiH
   ātmasattvagraho jīvapudgalocchedaśāśvataḥ /	Atma sattva grahaH jIva pudgala ucCeda SASvataH /
   nimittahetvoḥ skandheṣu dhātuṣvāyataneṣu ca // Abhis_1.60 //	nimitta hetvoH skanDezu DAtuzu Ayatanezu ca // ABiH _1.60 //
   traidhātuke pratiṣṭhānaṃ saktirālīnacittatā /	trEDAtuke pratizWAnam saktiH AlIna citta tA /
   ratnatritayaśīleṣu taddṛṣṭyabhiniveśitā // Abhis_1.61 //	ratna tritaya SIlezu tad dRzwi aBiniveSitAH // ABiH _1.61 //
   śūnyatāyāṃ vivādaśca tadvirodhaśca viṃśatiḥ /	SUnyatAyAm vivAdaH ca tad viroDaH ca viMSatiH /
   kalaṅkā yasya vicchinnāḥ saptamīmetyasau bhuvam // Abhis_1.62 //	kalaFkAH yasya vicCinnAH saptamImA iti asO Buvam // ABiH _1.62 //
   iti /	iti /
