   // śrīḥ //	// SrIH //
   // Āryamañjuśrīmūlakalpam /	// Ārya maQju SrI mUla kalpam /
   naśyanti ca / tato homāvasāne sā nautaṃ sādhakaṃ gṛhītvā	naSyanti ca / tatas homa avasAne sA nOtam sADakam gRhItvA
   kṣaṇenākaniṣṭhabhavanaṃ gacchanti / aparāṇyapi lokadhātuṃ	kzaNena akanizWa Bavanam gacCanti / aparANi api lokaDAtum
   gacchatyāgacchati ca bodhisattvacittavido bhavati pañcābhijñaḥ maharddhiko	gacCati AgacCati ca boDisattva citta vidaH Bavati paQca aBijQaH mahA RdDikaH 
   bhavati mahānubhāvaḥ / āryamañjuśriyaṃ cāsya satataṃ paśyati / sarvanāgāḥ	Bavati mahA anuBAvaH / Arya maQju Sriyam ca asya satatam paSyati / sarva nAgAH
   sarvarākṣasāḥ sarvadevāḥ sarvāsurāḥ sarvasattvā cāsya vaśyā bhavanti /	sarva rAkzasAH sarva devAH sarva asurAH sarva sattvAH ca asya vaSyAH Bavanti /
   ājñākarāḥ sthāpayitvā sarvabuddhabodhisattva	AjQAkarAH sTApayitvA sarva budDa boDisattva 
   pratyekabuddhāryaśrāvakānāmiha mantrasiddhānāṃ ca / te cāsya maitrātmakā	pratyekabudDa Arya SrAvakAnAm iha mantra sidDAnAm ca / te ca asya mEtra AtmakA
   bhavanti anumantāraḥ yāvatsarvasattvānāmadhṛṣyo bhavati //	Bavanti anumantAraH yAvat sarva sattvAnAm aDRzyaH Bavati //
   aparamapi karmopayikottamasādhanaṃ bhavati / bilvakāṣṭhairmahatā nauyānaṃ	aparam api karma upayikA uttama sADanam Bavati / bilva kAzWEH mahatA nOyAnam
   kārāpaye / ekakāṣṭhadārusaṅghātairvā mahatāvasthānaṃ ca kuryāt /	kArA paye / eka kAzWa dAru saFGAtEH vA mahatA avasTAnam ca kuryAt /
   gaṅgāmadhyasthe dvīpakaṃ tatrasthaṃ nauyānaṃ kuryā / tasmiṃśca nauyāne	gaFgA maDya sTe dvIpakam tatrasTam nOyAnam kuryA / tasmin= ca nOyAne
   viṃśottaraśataṃ puṣpāṇāṃ pradīpavyagrahastānāṃ nauyānamabhirūḍhānāṃ	viMSa uttara Satam puzpANAm pradIpa vyagra hastAnAm nOyAnam aBirUXAnAm
   śuklāmbaravasanānāṃ kṛtarakṣāṇāṃ	Sukla ambara vasanAnAm kRta rakzANAm
   jyeṣṭhapaṭapūrvavidhisaṃsthāpitakasyāgrataḥ saṃsthāpayet / tato paṭasya	jyezWa pawa pUrva viDi saMsTApitakasya agratas saMsTApayet / tatas pawasya
   mahatīṃ pūjāṃ kṛtvā nāgakesaracūrṇānāṃ	mahatIm pUjAm kRtvA nAgakesara cUrNAnAm
   kuṅkumaśvetacandanakarpūravyāmiśrāṇāṃ khadirānale āhūtīsahasrāṇi ṣaṭtriṃśa	kuFkuma Sveta candana karpUra vyAmiSrANAm Kadira anale AhUtI sahasrANi zawtriMSa
   juhuyāt //	juhuyAt //
   tato homāvasāne sā nau kṣaṇamātreṇa brahmalokaṃ gacchati / āgacchati ca /	tatas homa avasAne sA nO kzaNa mAtreNa brahma lokam gacCati / AgacCati ca /
   yatheṣṭaṃ vicarate / āryamañjuśriyaṃ sākṣāt paśyati / dṛṣṭamātraśca	yaTezwam vicarate / Arya maQju Sriyam sAkzAt paSyati / dRzwa mAtraH ca
   bhūmiprāpto bhavati pañcābhijñaḥ cirakālajīvī mahākalpasthāyī	BUmi prAptaH Bavati paQca aBijQaH cira kAla jIvI mahAkalpa sTAyI
   mahāvidyādharacakravartirājā bhavati / te cāsya pradīpadharā	mahAvidyADara cakravarti rAjA Bavati / te ca asya pradIpa DarA
   siddhavidyādharā bhavanti / sahāyakā taiḥ sārddhaṃ yatheṣṭaṃ vicarate	sidDa vidyADarAH Bavanti / sahAyakA tEH sArdDam yaTezwam vicarate
   svacchandagāmī bhavati / buddhānyaṃ bhagavatāṃ pūjābhirato bhavati / ante	svacCanda gAmI Bavati / budDa anyam BagavatAm pUjA aBiratas Bavati / ante
   ca buddhatvaṃ niyataṃ bhavati / aparamapi karmopayikasādhanottamo bhavati	ca budDa tvam niyatam Bavati / aparam api karma upayika sADana uttamaH Bavati
   nadīkūle samudrakūle vā himavantagirau tathā /	nadI kUle samudra kUle vA himavanta girO taTA /
   parvate vinghyarāje 'smiṃ sādhayet karmamuttamam // Mmk_10.1 //	parvate vinGya rAje asmim sADayet karmam uttamam // Mmc _10.1 //
   sahye malaye caiva arbude gandhamādane /	sahye malaye ca eva arbude ganDamAdane /
   tṛkūṭe parvatarāje 'smiṃ śādhayet karmamuttamam // Mmk_10.2 //	tRkUwe parvata rAje asmim SADayet karmam uttamam // Mmc _10.2 //
   mahāsamudre tathā śaile vṛkṣāḍhye puṣpasambhave /	mahA samudre taTA SEle vRkza AXye puzpa samBave /
   ete deśeṣu sidhyante mantrā vai jinabhāṣitā // Mmk_10.3 //	ete deSezu siDyante mantrAH vE jina BAzitAH // Mmk _10.3 //
   viviktadeśe śucau prānte grāmyadharmavivarjite /	vivikta deSe SucO prAnte grAmya Darma vivarjite /
   sidhyante mantrarāṭ sarve tathaiva girigahvare // Mmk_10.4 //	siDyante mantra rAj sarve taTA eva giri gahvare // Mmc _10.4 //
   prāntaśayyāsane ramye tathaiva jinavarṇite /	prAnta SayyA Asane ramye taTA eva jina varNite /
   duṣṭasattvavinirmukte sidhyante sarvamantrarāṭ // Mmk_10.5 //	duzwa sattva vinirmukte siDyante sarva mantra rAj // Mmk _10.5 //
   dhārmike nṛpe deśe śaucācārarate jane /	DArmike nRpe deSe SOca AcAra rate jane /
   mātapitṛbhakte ca dvijavarṇāvivarjite /	mAta pitR Bakte ca dvija varNA vivarjite /
   devatā siddhimāyānti tasmiṃ sthāne tu nānyathā // Mmk_10.6 //	devatA sidDim AyAnti tasmim sTAne tu na anyaTA // Mmc _10.6 //
   (Vaidya 62)	(VEdyaH 62)
   bhāgīrathītaṭe ramye yumane caiva suśobhane /	BAgIraTI tawe ramye yumane ca eva su SoBane /
   sindhunarmadavakṣe ca candrabhāge śucau taṭe // Mmk_10.7 //	sinDu narmada vakze ca candraBAge SucO tawe // Mmc _10.7 //
   kāverī sarasvatī caiva sitā devamahānadī /	kAverI sarasvatI ca eva sitA deva mahA nadI /
   siddhikṣetrāṇyetāni uktā daśabalātmajaiḥ // Mmk_10.8 //	sidDi kzetrANi etAni uktA daSa bala AtmajEH // Mmc _10.8 //
   daśabalaiḥ kathitāḥ kṣetrāḥ uttarāpathaparvatāḥ /	daSa balEH kaTitAH kzetrAH uttarApaTa parvatAH /
   kaśmīre cīnadeśe ca nepāle kāviśe tathā // Mmk_10.9 //	kaSmIre cIna deSe ca nepAle kAviSe taTA // Mmc _10.9 //
   mahācīne tu vai siddhi siddhikṣetrāṇyaśeṣataḥ /	mahA cIne tu vE sidDi sidDi kzetrANi aSezatas /
   uttarāṃ diśimāśritya parvatāḥ saritāśca ye // Mmk_10.10 //	uttarAm diSim ASritya parvatAH saritAH ca ye // Mmc _10.10 //
   puṇyadeśāśca ye proktā yavagodhūmabhojinaḥ /	puNya deSAH ca ye proktAH yava goDUma BojinaH /
   sattvā dayālavo yatra siddhisteṣu dhruvā bhavet // Mmk_10.11 //	sattvAH dayA lavaH yatra sidDiH tezu DruvA Bavet // Mmc _10.11 //
   śrīparvate mahāśaile dakṣiṇāpathasaṃjñike /	SrIparvate mahA SEle dakziNApaTa saMjQike /
   śrīdhānyakaṭake caitye jinadhātudhare bhuvi // Mmk_10.12 //	SrIDAnya kawake cEtye jina DAtu Dare Buvi // Mmc _10.12 //
   siddhyante tatra mantrā vai kṣipraḥ sarvārthakarmasu /	sidDi ante tatra mantrAH vE kzipraH sarva arTa karmasu /
   vajrāsane mahācaitye dharmacakre tu śobhane // Mmk_10.13 //	vajrAsane mahA cEtye Darma cakre tu SoBane // Mmc _10.13 //
   śāntiṃ gataḥ muniḥ śreṣṭho tatrāpiḥ siddhi dṛśyate /	SAntim gataH muniH SrezWaH tatra apiH sidDi dRSyate /
   devāvatāre mahācaitye saṅkaśye mahāprātihārike // Mmk_10.14 //	deva avatAre mahA cEtye saFkaSye mahA prAtihArike // Mmc _10.14 //
   kapilāhvaye mahānagare vare vane lumbini puṅgave /	kapila Ahvaye mahA nagare vare vane lumbini puFgave /
   siddhyante mantrarāṭ tatra praśastajinavarṇite // Mmk_10.15 //	sidDi ante mantra rAj tatra praSasta jina varNite // Mmc _10.15 //
   gṛdhrakūṭe tathā śaile sadā sītavane bhuvi /	gRDrakUwe taTA SEle sadA sItavane Buvi /
   kusumāhvaye puradhare ramye tathā kāśīpurī sadā // Mmk_10.16 //	kusuma Ahvaye puraDare ramye taTA kASIpurI sadA // Mmc _10.16 //
   madhure kanyakubje tu ujjayanī ca purī bhuvi /	maDure kanyakubje tu ujjayanI ca purI Buvi /
   vaiśālyāṃ tathā caitye mithilāyāṃ ca sadā bhuvi // Mmk_10.17 //	vESAlyAm taTA cEtye miTilAyAm ca sadA Buvi // Mmc _10.17 //
   purīnagaramukhyāstu ye vānye janasambhavā /	purI nagara muKyAH tu ye vA anye jana samBavAH /
   praśastapuṇyadeśe tu siddhisteṣu vidhīyate // Mmk_10.18 //	praSasta puNya deSe tu sidDiH tezu viDIyate // Mmc _10.18 //
   ete cānye ca deśā vai grāmajanapadakarvaṭā /	ete ca anye ca deSAH vE grAma janapada karvawAH /
   pattanā puravarā śreṣṭhā puṇyā vā saritāśritā // Mmk_10.19 //	pattanA pura varA SrezWA puNyA vA sarita ASritAH // Mmk _10.19 //
   tatra bhikṣānuvartī ca japahomarato bhavet /	tatra BikzA anuvartI ca japa homa rataH Bavet /
   lapane cābhyavakāśe ca śūnyamāyatane sadā // Mmk_10.20 //	lapane ca aByavakASe ca SUnyam Ayatane sadA // Mmc _10.20 //
   pūrvasevāṃ tu kurvīta mantrāṇāṃ sarvakarmasu /	pUrva sevAm tu kurvIta mantrANAm sarva karmasu /
   madhyadeśe sadā mantrī japenmantraṃ samantataḥ // Mmk_10.21 //	maDyadeSe sadA mantrI japet mantram samantataH // Mmc _10.21 //
   jāpapravṛtto sadāyuktaṃḥ tyāgābhyāsāt mantravit /	jApa pravRttaH sadA yuktanH tyAga aByAsAt mantra vid /
   śīlācārasusatyaśca sarvabhūtahite rataḥ // Mmk_10.22 //	SIla AcAra susatyaH ca sarva BUta hite rataH // Mmc _10.22 //
   (Vaidya 63)	(VEdyaH 63)
   śrāddho mantracaryāyāṃ pūrvameva jape vratī /	SrAdDaH mantra caryAyAm pUrvam eva jape vratI /
   śucau deśe sukṣetre mlecchataskaravarjite // Mmk_10.23 //	SucO deSe su kzetre mlecCa taskara varjite // Mmc _10.23 //
   sarīsṛpādiṣu sarveṣu varjitaṃ ca viriṣyate /	sarIsRpa Adizu sarvezu varjitam ca virizyate /
   phalapuṣpasamopete praśaste nirmalodake // Mmk_10.24 //	Pala puzpa samopete praSaste nirmala udake // Mmc _10.24 //
   sarve mantravinmantraṃ nānyadeśeṣu kīrtyate /	sarve mantra vid mantram na anya deSezu kIrtyate /
   devālaye śmaśāne vā ekasthāvaralakṣite // Mmk_10.25 //	devAlaye SmaSAne vE eka sTAvara lakzite // Mmc _10.25 //
   ekaliṅge tathā prānte sarve mantraṃ tu mantravit /	eka liFge taTA prAnte sarve mantram tu mantra vid /
   ātmarakṣāṃ sakhāyāṃ tu kṛtvā vai sa puraścarī // Mmk_10.26 //	Atma rakzAm saKAyAm tu kRtvA vE sa puraScarI // Mmk _10.26 //
   mantrayukto sadā mantrī sevenmantramuttamam /	mantra yuktaH sadA mantrI sevet mantram uttamam /
   mahāraṇye mahāvṛkṣe kusumāḍhye phalodbhave // Mmk_10.27 //	mahA araNye mahA vRkze kusuma AXye Pala udBave // Mmc _10.27 //
   + + + + + + + + + + + + + + parvatāgre tu nimnage /	+ + + + + + + + + + + + + + parvata agre tu nimnage /
   udakasthāne śucaukṣe ca mahāsarittaṭe vare // Mmk_10.28 //	udaka sTAne SucOkze ca mahA sarit tawe vare // Mmc _10.28 //
   seveta mantraṃ mantrajño sthāneṣveha + + + + /	seveta mantram mantra jQaH sTAnezu eha + + + + /
   prāgdeśe ca lauhitye mahānadye nadīśubhe // Mmk_10.29 //	prAc deSe ca lOhitye mahAnadye nadI SuBe // Mmc _10.29 //
   kāmarūpe tathā deśe vardhamāne purottame /	kAmarUpe taTA deSe varDamAne pura uttame /
   yatrāsau nimnāgā śliṣṭātipuṇyāgrasaridvarā // Mmk_10.30 //	yatra asO nimnAgA Slizwa ati puNya agra sarit varAH // Mmk _10.30 //
   tasmiṃ sthāne sadājāpī bhajeta suvigāṃ śuciḥ /	tasmim sTAne sadAjApI Bajeta su vigAm SuciH /
   pūrvasevaṃ tu tasmādvai kuryātsarvakarmasu // Mmk_10.31 //	pUrva sevam tu tasmAt vE kuryAt sarva karmasu // Mmc _10.31 //
   gaṅgādvāre tathā nityaṃ gaṅgāsāgarasaṅgame /	gaFgAdvAre taTA nityam gaFgAsAgara saFgame /
   śucirjapet mantraṃ vai prayoge caiva savrataḥ // Mmk_10.32 //	SuciH japet mantram vE prayoge ca eva sa vrataH // Mmc _10.32 //
   mahāśmaśānānyetāni jāpī tatra sadā japet /	mahA SmaSAnAni etAni jApI tatra sadA japet /
   vimalodakāni saritāni kṛmibhirvarjitāni ca // Mmk_10.33 //	vimala udakAni saritAni kRmiBiH varjitAni ca // Mmc _10.33 //
   ataeva japī tatra japenmantraṃ samāhitaḥ /	ataA iva japI tatra japet mantram samAhitaH /
   na puṇyaṃ tatra vai kiñcid dṛśyate lokaceṣṭitam // Mmk_10.34 //	na puNyam tatra vE kiQcid dRSyate loka cezwitam // Mmc _10.34 //
   kintu mantrāpadeśena kiñcitkālaṃ vaseta vai /	kintu mantra apadeSena kiQcid kAlam vaseta vE /
   anyatra vā tato gacche samaye somagrahe travat // Mmk_10.35 //	anyatra vA tatas gacCe samaye soma grahe travat // Mmc _10.35 //
   samayaprāpto vasattatra kiñcitkālaṃ tu nānyathā /	samaya prAptaH vasat tatra kiQcid kAlam tu na anyaTA /
   anyatra vā tato kṣipraṃ gacche śaktā tu mantravit // Mmk_10.36 //	anyatra vA tatas kzipram gacCe SaktA tu mantra vid // Mmc _10.36 //
   sugatadhyuṣitacaityeṣu bhūtaleṣu sadā vaset /	suga taDyuzita cEtyezu BU talezu sadA vaset /
   lokatīrthāni sarvāṇi kudṛṣṭipatitāni ca // Mmk_10.37 //	lokatIrTAni sarvANi kudRzwi patitAni ca // Mmc _10.37 //
   anyāni tīrthasthānāni mantravid varjaye sadā /	anyAni tIrTa sTAnAni mantra vid varjaye sadA /
   na vaset tatra mantrajño kuhetugatimudbhavām // Mmk_10.38 //	na vaset tatra mantra jQaH kuhetu gatim udBavAm // Mmc _10.38 //
   (Vaidya 64)	(VEdyaH 64)
   ākrāntaṃ jinavarairyastu bhūtalaṃ pratyekakhaḍgibhiḥ /	AkrAntam jina varEH yaH tu BU talam pratyeka KaxgiBiH /
   bodhisattvairmahāsattvaiḥ śrāvakairjinavarātmajaiḥ // Mmk_10.39 //	boDisattvEH mahAsattvEH SrAvakEH jina vara AtmajEH // Mmk _10.39 //
   tāni sarvāṇi deśāni sevenmantravinmantrajāpī /	tAni sarvANi deSAni sevet mantra vid mantra jApI /
   pūrvamevaṃ prayatnena tasmiṃ sthāne sadācare // Mmk_10.40 //	pUrvam evam prayatnena tasmim sTAne sadAcare // Mmc _10.40 //
   vidhidṛṣṭena mantrajño japenmantraṃ punaḥ punaḥ /	viDi dRzwena mantra jQaH japet mantram punar punar /
   pāpaṃ hyaśeṣaṃ nāśayati japahomaiśca dehinām /	pApam hi aSezam nASayati japa homEH ca dehinAm /
   tasmāt sarvaprayatnena japenmantraṃ susamāhitamiti // Mmk_10.41 //	tasmAt sarva prayatnena japet mantram su samAhitam iti // Mmc _10.41 //
   etāni sthānānyuktāni sarvakarmeṣu ca uttamakarmopayikasādhaneṣu /	etAni sTAnAni uktAni sarva karmezu ca uttama karma upayika sADanezu /
   eṣāmalābhena yatra vā tatra vā sthāne śucau pūrvasevāḥ kāryā	ezAm alABena yatra vA tatra vA sTAne SucO pUrva sevAH kAryA
   śraddhāvimuktena sādhanopayikottamakarma samācaret //	SradDA vimuktena sADana upayikA uttama karma samAcaret //
   ādau tāvajjyeṣṭhaṃ paṭaṃ pañcānmukhaṃ pratiṣṭhāpya ātmanaśca	AdO tAvat jyezWam pawam paQcAt muKam pratizWApya AtmanaH ca
   pūrvābhimukhaṃ pratiṣṭhāpya valmīkāgramṛttikāṃ vā gaṅgānadīkūlamṛttikāṃ vā	pUrva aBimuKam pratizWApya valmIka agra mRttikAm vA gaFgA nadI kUla mRttikAm vA
   gṛhya uśīraśvetacandanakuṅkumaṃ vā karpūrādibhirvyatimiśrayitvā	gRhya uSIra Sveta candana kuFkumam vA karpUra AdiBiH vyatimiSrayitvA
   mayūrākāraṃ kuryāt / taṃ paṭasyāgrataḥ sthāpayitvā acchinnāgraiḥ kuśaiḥ	mayUra AkAram kuryAt / tam pawasya agratas sTApayitvA acCinna agrEH kuSEH
   śucideśasamudbhavaiḥ cakrākāraṃ kṛtvā paṭasyāgrataḥ dakṣiṇahastena gṛhītvā	Suci deSa samudBavEH cakra AkAram kRtvA pawasya agratas dakziNa hastena gRhItvA
   vāmahastena mayūraṃ śuklapūrṇamāsyāṃ rātrau paṭasya mahatīṃ pūjāṃ kṛtvā	vAma hastena mayUram Sukla pUrNam AsyAm rAtrO pawasya mahatIm pUjAm kRtvA
   karpūradhūpaṃ dahatā tāvajjaped yāvatprabhāta iti //	karpUra DUpam dahatA tAvat japet yAvat praBAtaH iti //
   tataḥ sūryodayakālasamaye tanmṛnmayaṃ mayūraḥ mahāmayūrarājā bhavati /	tatas sUrya udaya kAla samaye tat mRd mayam mayUraH mahA mayUra rAjA Bavati /
   cakraścādīptaḥ / ātmanaśca divyadehī divyamālyāmbarābharaṇavibhūṣitaḥ	cakraH ca adIptaH / AtmanaH ca divya dehI divya mAlya ambara ABaraNa viBUzitaH
   uditādityasaṅkāśaḥ kāmarūpī / sarvabuddhabodhisattvānāṃ praṇamya paṭaṃ	udita Aditya saFkASaH kAmarUpI / sarva budDa boDisattvAnAm praNamya pawam
   pradakṣiṇīkṛtya paṭaṃ gṛhītvā tasmiṃ mayūrāsane niṣaṇṇaḥ muhūrtena	pradakziNIkRtya pawam gRhItvA tasmim mayUrAsane nizaNNaH muhUrtena
   brahmalokamatikrāmati / anekavidyādharakoṭīnayutaśatasahasraparivāritaḥ	brahma lokam atikrAmati / aneka vidyADara kowIn ayuta Sata sahasra parivAritaH
   vidyādharacakravartī bhavati / ṣaṣṭimanvantarakalpāṃ jīvati /	vidyADara cakravartI Bavati / zazwi manvantara kalpAm jIvati /
   yatheṣṭagatipracāro bhavati / apratihatagatiḥ divyasampattisamanvāgato	yaTezwa gati pracAraH Bavati / apratihata gatiH divya sampatti samanvAgataH 
   bhavati / āryamañjuśriyaṃ sākṣāt paśyati sākṣāt paśyati / sa evāsya	Bavati / Arya maQju Sriyam sAkzAt paSyati sAkzAt paSyati / saH eva asya
   kalyāṇamitro bhavati / ante ca buddhatvaṃ prāpnotīti //	kalyANa mitraH Bavati / ante ca budDa tvam prApnoti iti //
   evaṃ	evam
   daṇḍakamaṇḍaluyajñopavītamanaśilārocanakhaḍganārācabhiṇḍipālaparaśunānāvidhāṃśca	daNxa ka maNxalu yajQa upavIta mana SilA rocana Kaxga nArAca BiNxi pAla paraSu nAnAviDAn= ca
   praharaṇaviśeṣāṃ mṛnmayāṃ dvipadacatuṣpadāṃ pakṣivāhanaviśeṣāṃ	praharaNa viSezAm mRd mayAm dvipada catuzpadAm pakzi vAhana viSezAm
   siṃhavyāghratarkṣvādīṃśca valmīkamṛttikamayāṃ nadīmṛttikamayāṃ vā	siMha vyAGra taRkzu AdIn= ca valmIka mRttika mayAm nadI mRttika mayAm vA
   sugandhagandhābhiplutāṃ	suganDa ganDa aBiplutAm
   āsanavāhanaśayanavāhanasitātapatramakuṭābharaṇaviśeṣāṃ sarvāṃśca	Asana vAhana Sayana vAhana sita Atapatram akuwa ABaraNa viSezAm sarvAn= ca
   ratnaviśeṣāṃ sarvāṃśca pravrajitopakaraṇaviśeṣāṃ	ratna viSezAm sarvAn= ca pravrajita upakaraNa viSezAm
   akṣasūtropānahakāṣṭhapādukapātracīvarakhakharakaśūcīśastraprabhṛtayo	akza sUtra upAnaha kAzWa pAduka pAtra cIva ra Ka Karaka SUcI Sastra praBRtayo
   puṣpalohamayāni anye vā yatkiñcit sarvopakaraṇabhāṇḍaprabhṛtayo	puzpa loha mayAni anye vA yat kiQcit sarva upakaraNa BANxa praBRtayo
   puṣpalohamayāṃ vālmīkamṛttikanadīkūlamṛttikamayāṃ vā tāṃ sarvāṃ	puzpa loha mayAm vAlmIka mRttika nadI kUla mRttika mayAm vA tAm sarvAm
   pañcagavyena prakṣālayitvā abhyukṣayitvā vā aṣṭaśatenābhimantritaṃ kṛtvā	paQcagavyena prakzAlayitvA aByukzayitvA vE azwa Satena aBimantritam kRtvA
   saṃśodhanamantreṇaiva ekākṣareṇa mantreṇa vā anyatareṇa vā	saMSoDana mantreNa eva eka akzareNa mantreNa vA anyatareNa vA
   mantreṇehakalparājoktena varjayitvānusādhanopayikena mantreṇa yatheṣṭataḥ	mantreNa iha kalpa rAja uktena varjayitvA anusADana upayikena mantreNa yaTezwataH
   yathābhirucitaṃ ātmano kṛtarakṣaḥ sahāyakāṃśca kṛtaparitrāṇaḥ	yaTA aBirucitam AtmanaH kRta rakzaH sahAyakAn= ca kRta paritrANaH
   saguptamantratantrajñaḥ pūrvanirdiṣṭeṣu sthāneṣu paścānmukhaṃ pratiṣṭhāpya	sagupta mantra tantra jQaH pUrva nirdizwezu sTAnezu paScAt muKam pratizWApya
   ātmano pūrvavat paṭasya mahatīṃ pūjāṃ kṛtvā (Vaidya 65) jyeṣṭhasya	AtmanaH pUrvavat pawasya mahatIm pUjAm kRtvA (VEdyaH 65) jyezWasya
   karpūradhūpaṃ dahatā teṣāṃ pūrvanirdiṣṭānāṃ praharaṇopakaraṇasarvaviśeṣāṃ	karpUra DUpam dahatA tezAm pUrva nirdizwAnAm praharaNa upakaraNa sarva viSezAm
   pūrvanirdiṣṭakṛtrimāṃ śuklapuūrṇamāsyāṃ rātrau anyataraṃ saṅgṛhya teṣāṃ	pUrva nirdizwa kRtrimAm Sukla puUrNam AsyAm rAtrO anyataram saFgRhya tezAm
   rātrau tāvajjapet yāvatsūryodayakālasamayam //	rAtrO tAvat japet yAvat sUrya udaya kAla samayam //
   atrāntare mahāprabhāmālī paṭo sandṛśyate / yadi vāhanaviśeṣaṃ sādhakena	atra antare mahApraBA mAlI pawaH sandRSyate / yadi vAhana viSezam sADakena
   gṛhīto bhavati tadābhiruhya yatheṣṭaṃ gacchati / yadyābharaṇaviśeṣo	gRhItaH Bavati tadA aBiruhya yaTezwam gacCati / yadi ABaraNa viSezaH 
   praharaṇaviśeṣo vā taṃ gṛhītvā vandyo vā vidyādharacakravartīṃ bhavati /	praharaNa viSezaH vA tam gRhItvA vandyaH vA vidyADara cakravartIm Bavati /
   yatheṣṭa gacchati divyarūpī uditādityasaṅkāśaḥ mahāprabhāmālī	yaTezwa gacCati divya rUpI udita Aditya saFkASaH mahA praBA mAlI
   vidyudyotitamūrttiḥ sarvavidyādharaprabhuḥ dīrghajīvī mahākalpasthaḥ aneka	vidyut yotita mUrttiH sarva vidyADara praBuH dIrGa jIvI mahAkalpa sTaH aneka
   vidyādharakoṭīnayutaśatasahasraparivāraḥ divyamahāmaṇiratnacārī yena vā	vidyADara kowIn ayuta Sata sahasra parivAraH divya mahA maNi ratna cArI yena vA
   vāhanena pūrvaparikalpitena dṛṣṭa yena siddho sa evāsya mahāprabhāvo	vAhanena pUrva parikalpitena dRzwa yena sidDaH saH eva asya mahA praBAvaH 
   bhavati / tamevāsya vāhanaṃ sa evāsya sahāyakaḥ paramantrāṇusiddhiḥ	Bavati / tam eva asya vAhanam saH eva asya sahAyakaH para mantra aNu sidDiH
   nivārayitvā ātmamantrasiddhiṃ samprayojitamaitrātmako hitakāmaḥ	nivArayitvA Atma mantra sidDim samprayojita mEtra AtmakaH hita kAmaH
   satatānubaddhaḥ ya evāsya praharaṇābharaṇaratnaviśeṣāḥ	satata anubadDaH yaH eva asya praharaNa ABaraNa ratna viSezAH
   āsanaśayanayānasattva prabhṛtayo ta evāsya mahārakṣāvaraṇaguptaye	Asana Sayana yAna sattva praBRtayaH te eva asya mahArakza AvaraNa guptaye
   nityānubaddhā bhavanti / mahāprabhāvo mahāvīryo mahākāyaśca bhavati /	nitya anubadDAH Bavanti / mahA praBAvaH mahA vIryaH mahA kAyaH ca Bavati /
   āryamañjuśriyaṃ sākṣāt paśyati / sādhukāraṃ ca dadāti /	Arya maQju Sriyam sAkzAt paSyati / sADu kAram ca dadAti /
   mūrdhniraparāmṛṣṭena kalyāṇamitratāṃ ca pratilabhate / yāvad	mUrDniH aparAmRzwena kalyANa mitra tAm ca pratilaBate / yAvat 
   bodhimaṇḍalamanuprāpta iti daśabalatāṃ niyatamavāpnoti / pūjyaśca bhavati	boDi maNxalam anuprAptaH iti daSa balatAm niyatam avApnoti / pUjyaH ca Bavati
   / sarvasattvānāmanabhibhavanīyaḥ adhṛṣyo bhavati sarvabhūtānāṃ	/ sarva sattvAnAm anaBiBavanIyaH aDRzyaH Bavati sarva BUtAnAm
   bhūtakoṭīvaṃśānucchedakaḥ bhūmiprāptaśca bhavati / daśabalānāṃ	BUtakowI vaMSAn ucCedakaH BUmi prAptaH ca Bavati / daSa balAnAm
   bodhisattvaniyāmatāṃ ca samanugacchatīti saṃkṣepato uttamakarmāṇi sarvāṇi	boDisattva niyAma tAm ca samanugacCati iti saMkzepataH uttama karmANi sarvANi
   uttamasthānasthite uttamapaṭasyāgrataḥ uttamapūjābhirataḥ uttamānyeva	uttama sTAna sTite uttama pawasya agratas uttama pUjA aBirataH uttamAni eva
   karmāṇi kuryāt / vidyādharatvamākāśagamanaṃ bodhisattvamanupraveśaṃ	karmANi kuryAt / vidyADara tvam AkASa gamanam boDisattvam anupraveSam
   pañcābhijñatāṃ bhūmimanuprāpaṇatāṃ anenaiva dehena lokadhātusaṅkramaṇatāṃ	paQca aBijQa tAm BUmim anuprApaNa tAm anena eva dehena loka DAtu saFkramaNa tAm
   daśabalavaṃśaparipūritāyai āryamañjuśriyaṃ sākṣāddarśanatāyai	daSa bala vaMSa paripUritAyE Arya maQju Sriyam sAkzAt darSana tAyE
   avandhyadarśanadharmadeśanaśravaṇatāyai buddhavaṃśānupacchedanatāyai	avanDya darSana Darma deSana SravaNa tAyE budDa vaMSAnupacCedana tAyE
   sarvajñajñānānukramaṇasamanuprāpaṇatāyai	sarvajQa jQAna anukramaNa samanuprApaNa tAyE
   dharmameeghavisṛtasamanupraveśanatāyai kleśānucchoṣaṇa amṛtavṛṣṭidhāribhiḥ	Darma meeGa visRta samanupraveSana tAyE kleSAn ucCozaNa amRta vRzwi DAriBiH
   praśamanatāyai lokānugrahapravṛttiranuṣṭhānatāyai	praSamana tAyE loka anugraha pravRttiH anuzWAna tAyE
   tathāgatadharmanetrārakṣaṇatāyai tathāgatavacanāvandhyakaraṇatāyai	taTAgata Darma netrA rakzaNa tAyE taTAgata vacana avanDya karaNa tAyE
   mantracaryāsādhanopayikavidhiprabhāvanatāyai	mantra caryA sADana upayika viDi praBAvana tAyE
   sarvabuddhabodhisattvapratyekabuddhāryaśrāvakamāhātmyadharmamudbhāvanatāyai	sarva budDa boDisattva pratyekabudDa Arya SrAvaka mAhAtmya Darmam udBAvana tAyE
