   Sarva Tathāgata Tattva Saṅgrah	Sarva TaTAgataH Tattva SaFgrah
   sarvatathāgatakulamahādevīṃ svahṛdayānniścacāra vajralāsye //	sarva taTAgata kula mahAdevIm sva hRdayAt niScacAra vajra lAsye //
   athāsyāṃ viniḥsṛtamātrāyāṃ sarvatathāgatahṛdayebhyo vajramudrā viniḥsṛtāḥ	aTa asyAm viniHsRta mAtrAyAm sarva taTAgata hRdayeByaH vajra mudrAH viniHsRtAH
   / tebhyo vajramudrāmukhabhyaḥ sa eva bhagavān vajradharaḥ	/ teByaH vajra mudrA muKaByaH saH eva BagavAn vajraDaraH
   sarvalokadhātuparamāṇurajaḥsamāstathāgatavigrahā bhūtvā, punarapyekaghanā	sarva loka DAtu paramANu rajaH samAH taTAgata vigrahAH BUtvA, punar api eka GanA
   mahādevī vajrasattvasadṛśātmabhāvā vicitravarṇarūpaliṅgeryāpathā	mahAdevI vajra sattva sadRSa Atma BAvA vicitra varNa rUpa liFgeH yApaTA
   sarvālaṅkāravibhūṣitā sarvatathāgatakulasaṃgrahabhūtā vajrasattvadayitā	sarva alaFkAra viBUzitA sarva taTAgata kula saMgraha BUtA vajra sattva dayitA
   saṃbhūya, bhagavato 'kṣobhyamaṇḍalavāmapārśve candramaṇḍalāśritā bhūtvā,	saMBUya, BagavataH akzoBya maNxala vAma pArSve candra maNxala ASritA BUtvA,
   idamudānamudānayāmāsa /	idam udAnam udAnayAmAsa /
   aho na sadṛśī me 'sti pūjā hyanyā svayaṃbhuvāṃ /	aho na sadRSI me asti pUjA hi anyA svayaMBuvAm /
   yatkāmaratipūjābhiḥ sarvapūjā pravartate // iti //	yat kAmarati pUjABiH sarva pUjA pravartate // iti //
   I.1.27 Vajramala	I.1.27 Vajra mala
   atha bhagavān punarapi	aTa BagavAn punar api
   sarvatathāgataratnamālābhiṣekasamayodbhavavajrannāma samādhiṃ samāpadya	sarva taTAgata ratna mAlA aBizeka samaya udBava vajrat nAma samADim samApadya
   māṃ sarvatathāgatakulamahādevīṃ svahṛdayānniścacāra vajramāle /	mAm sarva taTAgata kula mahAdevIm sva hRdayAt niScacAra vajra mAle /
   athāsyāṃ viniḥsṛtamātrāyāṃ sarvatathāgatahṛdayebhyo mahāratnamudrā	aTa asyAm viniHsRta mAtrAyAm sarva taTAgata hRdayeByaH mahA ratna mudrA
   viniḥsṛtāḥ / tābhyo mahāratnamudrābhyaḥ sa eva bhagavān vajradharaḥ	viniHsRtAH / tAByaH mahA ratna mudrAByaH saH eva BagavAn vajraDaraH
   sarvalokadhātuparamāṇurajaḥsamāstathāgatavigrahā bhūtvā, ekaghanāṃ	sarva loka DAtu paramANu rajaH samAH taTAgata vigrahAH BUtvA, eka GanAm
   vajramālāṃ mahādevīṃ tathaiva saṃbhūya, bhagavato	vajramAlAm mahAdevIm taTA eva saMBUya, BagavataH 
   ratnasaṃbhavamaṇḍalavāmapārśve pūrṇacandramaṇḍalāśritā	ratna saMBava maNxala vAma pArSve pUrNa candra maNxala ASritA
   bhūtvedamudānamudānayāmāsa /	BUtvA idam udAnam udAnayAmAsa /
   aho hyasadṛśāhaṃ vai ratnapūjeti kīrtitā /	aho hi asadRSA aham vE ratna pUjA iti kIrtitA /
   yattraidhātukarājyāgryaṃ śāsayanti prapūjitā // iti //	yat trEDAtuka rAjya agryam SAsayanti prapUjitAH // iti //
   I.1.28 Vajragita	I.1.28 Vajragita
   atha bhagavān punarapi sarvatathāgatasaṃgītisamayasaṃbhavavajrannāma	aTa BagavAn punar api sarva taTAgata saMgIti samaya saMBava vajrat nAma
   samādhiṃ samāpadyemāṃ sarvatathāgatakulamahādevīṃ svahṛdayānniścacāra	samADim samApadya imAm sarva taTAgata kula mahAdevIm sva hRdayAt niScacAra
   vajragīte //	vajra gIte //
   athāsyāṃ viniḥsṛtamātrāyāṃ sarvatathāgatahṛdaye 'bhyaḥ	aTa asyAm viniHsRta mAtrAyAm sarva taTAgata hRdaye aByaH
   sarvatathāgatadharmamudrā viniścaritāḥ / tābhyaśca	sarva taTAgata Darma mudrAH viniScaritAH / tAByaH ca
   sarvatathāgatadharmamudrābhyaḥ sa eva bhagavān vajradharaḥ	sarva taTAgata Darma mudrAByaH saH eva BagavAn vajraDaraH
   sarvalokadhātuparamāṇurajaḥsamāstathāgatavigrahā bhūtvā, punarapyekaghanāṃ	sarva loka DAtu paramANu rajaH samAH taTAgata vigrahAH BUtvA, punar api eka GanAm
   vajragītāṃ mahādevīṃ saṃbhūya, bhagavato lokeśvararājamaṇḍalavāmapārśve	vajra gItAm mahAdevIm saMBUya, BagavataH loka ISvara rAja maNxala vAma pArSve
   candramaṇḍalāśritā bhūtvedamudānamudānayāmāsa /	candra maNxala ASritA BUtvA idam udAnam udAnayAmAsa /
   aho hi saṃgītimayī pūjāhaṃ sarvadarśināṃ /	aho hi saMgIti mayI pUjA aham sarva darSinAm /
   yat toṣayanti pūjābhiḥ pratiśrutkopameṣvapi // iti //	yat tozayanti pUjABiH pratiSrutka upamezu api // iti //
   I.1.29 Vajranrtya	I.1.29 Vajranrtya
   atha bhagavān punarapi sarvatathāgatanṛtyapūjāsamayodbhavavajraṃ nāma	aTa BagavAn punar api sarvataTAgatanRtyapUjA samayodBavavajram nAma
   samādhiṃ samāpadyemāṃ sarvatathāgatakulamahādevīṃ svahṛdayānniścacāra	samADim samApadya imAm sarva taTAgata kula mahAdevIm sva hRdayAt niScacAra
   vajranṛtye /	vajra nRtye /
   athāsmina viniḥsṛtamātrāyāṃ sarvatathāgatahṛdayebhyaḥ	aTa asmina viniHsRta mAtrAyAm sarva taTAgata hRdayeByaH
   sarvatathāgatanṛtyapūjāvidhivistarā bhūtvā viniḥsṛtāḥ / tebhyaśca	sarva taTAgata nRtya pUjA viDi vistarAH BUtvA viniHsRtAH / teByaH ca
   sarvatathāgatasarvanṛttapūjāvidhivistarebhyaḥ sa eva bhagavān vajradharaḥ	sarva taTAgata sarva nRtta pUjA viDi vistareByaH saH eva BagavAn vajraDaraH
   sarvalokadhātuparamāṇurajaḥsamāstathāgatavigrahā bhūtvā, punarapyekaghanāṃ	sarva loka DAtu paramANu rajaH samAH taTAgata vigrahAH BUtvA, punar api eka GanAm
   vajranṛttamahādevīṃ saṃbhūya, bhagavato amoghasiddhestathāgatasya	vajra nRtta mahAdevIm saMBUya, BagavataH amoGa sidDeH taTAgatasya
   maṇḍalavāmapārśve pūrṇacandramaṇḍalāśritā bhūtvedamudānamudānayāmāsa /	maNxala vAma pArSve pUrNa candra maNxala ASritA BUtvA idam udAnam udAnayAmAsa /
   aho hyudārapūjāhaṃ sarvapūjārthakariṇāṃ /	aho hi udAra pUjA aham sarva pUjA arTa kariNAm /
   yadvajranṛttavidhinā buddhapūjā prakalpyate // iti //	yat vajra nRtta viDinA budDa pUjA prakalpyate // iti //
   sarvatathāgatānuttarasukhasaumanasyasamayā, sarvatathāgatamālā,	sarva taTAgata anuttara suKa sOmanasya samayA, sarva taTAgata mAlA,
   sarvatathāgatagāthā, sarvatathāgatānuttarapūjākarmakarī ceti /	sarva taTAgata gATA, sarva taTAgata anuttara pUjA karma karI ca iti /
   sarvatathāgataguhyapūjāḥ //	sarva taTAgata guhya pUjAH //
   I.1.30 Vajradhupa	I.1.30 VajraDupa
   atha punarapi bhagavān akṣobhyastathāgato bhagavato vairocanasya	aTa punar api BagavAn akzoByaH taTAgataH BagavataH vErocanasya
   tathāgatasya pūjāpratipūjārtha	taTAgatasya pUjA pratipUjA arTa
   sarvatathāgatapralhādanasamayodbhavavajrannāma samādhiṃ samāpadyemāṃ	sarva taTAgata pralhAdana samaya udBava vajrat nAma samADim samApadya imAm
   sarvatathāgatagaṇikāṃ svahṛdayānniścacāra vajradhūpe //	sarva taTAgata gaNikAm sva hRdayAt niScacAra vajra DUpe //
   athāsyāṃ viniḥsṛtamātrāyāṃ sarvatathāgatahṛdayebhyaḥ sa eva bhagavān	aTa asyAm viniHsRta mAtrAyAm sarva taTAgata hRdayeByaH saH eva BagavAn
   vajradharaḥ anekavidhā dhūpapūjāmeghavyūhāḥ sarvavajradhātuspharaṇā bhūtvā	vajraDaraH anekaviDAH DUpa pUjA meGa vyUhAH sarva vajra DAtu sParaNA BUtvA
   viniścaritāḥ / tebhyaśca dhūpapūjāmeghasamudrebhyaḥ	viniScaritAH / teByaH ca DUpa pUjA meGa samudreByaH
   sarvalokadhātuparamāṇurajaḥsamāstathāgatavigrahā viniḥsṛtya,	sarva loka DAtu paramANu rajaH samAH taTAgata vigrahAH viniHsRtya,
   punarapyekaghano vajradhūpadevatākāyaḥ saṃbhūya, bhagavato	punar api eka GanaH vajra DUpa devatA kAyaH saMBUya, BagavataH 
   vajramaṇiratnaśikharakūṭāgārasya koṇe vāmapārśve candramaṇḍalāśritā	vajra maNi ratna SiKara kUwa AgArasya koNe vAma pArSve candra maNxala ASritA
   bhūtvedamudānamudānayati sma /	BUtvA idam udAnam udAnayati sma /
   aho hyaṃ mahāpūjā pralhādanavatī śubhā /	aho hyam mahA pUjA pralhAdanavatI SuBA /
   yatsattvāveśayogāddhi kṣipraṃ bodhiravāpyate // iti //	yat sattva AveSa yogAt hi kzipram boDiH avApyate // iti //
   I.1.31 Vajrapuspa	I.1.31 Vajra puspa
   atha bhagavān ratnasaṃbhavastathāgato bhagavato vairocanasya tathāgatasya	aTa BagavAn ratna saMBavaH taTAgataH BagavataH vErocanasya taTAgatasya
   pūjāpratipūjārtha ratnābharaṇapūjāsamayasaṃbhavavajraṃ nāma samādhiṃ	pUjA pratipUjA arTa ratnABaraNa pUjAsamayasaMBavavajram nAma samADim
   samāpadyemāṃ sarvatathāgatapratīhārīṃ svahṛdayānniścacāra vajrapuṣpe //	samApadya imAm sarva taTAgata pratIhArIm sva hRdayAt niScacAra vajra puzpe //
   athāsyāṃ viniḥsṛtamātrāyāṃ sarvatathāgatahṛdayebhyaḥ sa eva bhagavān	aTa asyAm viniHsRta mAtrAyAm sarva taTAgata hRdayeByaH saH eva BagavAn
   vajradharaḥ sarvapuṣpapūjāvyūhāḥ sarvākāśadhātuspharaṇā bhūtvā	vajraDaraH sarva puzpa pUjA vyUhAH sarva AkASa DAtu sParaNA BUtvA
   viniḥsṛtāstebhyaśca sarvapuṣpapūjāvyūhebhyaḥ	viniHsRtAH teByaH ca sarva puzpa pUjA vyUheByaH
   sarvalokadhātuparamāṇurajaḥsamāstathāgatavigrahā viniḥsṛtya,	sarva loka DAtu paramANu rajaH samAH taTAgata vigrahAH viniHsRtya,
   punarapyekaghano vajrapuṣpadevatākāyaḥ saṃbhūya, bhagavato	punar api eka GanaH vajra puzpadevatA kAyaH saMBUya, BagavataH 
   vajramaṇiratnaśikharakūṭāgārasya vāmakoṇe candramaṇḍalāśritā	vajra maNi ratna SiKara kUwa AgArasya vAma koNe candra maNxala ASritA
   bhūtvedamudānamudānayāmāsa /	BUtvA idam udAnam udAnayAmAsa /
   aho hi puṣpapūjāhaṃ sarvālaṅkārakārikā /	aho hi puzpa pUjA aham sarva alaFkAra kArikAH /
   yattathāgataratnatvaṃ pūjya kṣipramavāpyate // iti //	yat taTAgata ratna tvam pUjya kzipram avApyate // iti //
   I.1.32 Vajraloka	I.1.32 Vajra loke 
   atha bhagavān lokeśvararājastathāgato bhagavato vairocanasya tathāgatasya	aTa BagavAn lokeSvara rAjaH taTAgataH BagavataH vErocanasya taTAgatasya
   pūjāpratipūjārtha sarvatathāgatālokapūjāsamayodbhavavajraṃ nāma samādhiṃ	pUjA pratipUjA arTa sarvataTAgatAlokapUjA asamayodBavavajram nAma samADim
   samāpadyemāṃ sarvatathāgatadūtīṃ svahṛdayānniścacāra vajrāloke /	samApadya imAm sarva taTAgata dUtIm sva hRdayAt niScacAra vajrAloke /
   athāsyāṃ viniḥsṛtamātrāyāṃ sarvatathāgatahṛdayebhyaḥ sa eva bhagavān	aTa asyAm viniHsRta mAtrAyAm sarva taTAgata hRdayeByaH saH eva BagavAn
   vajradharaḥ sarvālokapūjāvyūhāḥ sakaladharmadhātuspharaṇā bhūtvā	vajraDaraH sarva Aloka pUjA vyUhAH sakala Darma DAtu sParaNA BUtvA
   viniścaritāḥ / tebhyaśca sarvālokapūjāvyūhebhyaḥ	viniScaritAH / teByaH ca sarva Aloka pUjA vyUheByaH
   sarvalokadhātuparamāṇurajaḥsamāstathāgatavigrahā viniḥsṛtya,	sarva loka DAtu paramANu rajaH samAH taTAgata vigrahAH viniHsRtya,
   punarapyekaghano vajrālokadevatākāyaḥ saṃbhūya, bhagavato	punar api eka GanaH vajra Aloka devatA kAyaH saMBUya, BagavataH 
   vajramaṇiratnaśikharakūṭāgārasya vāmakoṇe candramaṇḍalāśritā bhūtvā,	vajra maNi ratna SiKara kUwa AgArasya vAma koNe candra maNxala ASritA BUtvA,
   idamudānamudānayāmāsa /	idam udAnam udAnayAmAsa /
   aho hyahaṃ mahodārā pūjā dīpamayī śubhā /	aho hi aham mahA udArA pUjA dIpa mayI SuBA /
   yadālokavatī kṣipraṃ sarvabuddhadṛśo labhed // iti //	yat AlokavatI kzipram sarva budDa dRSaH laBet // iti //
   I.1.33 Vajragandha	I.1.33 VajraganDa
   atha bhagavānamoghasiddhistathāgato bhagavato vairocanasya tathāgatasya	aTa BagavAn amoGa sidDiH taTAgataH BagavataH vErocanasya taTAgatasya
   pūjāpratipūjārthaṃ sarvatathāgatagandhapajāsamayasaṃbhavavajrannāma	pUjA pratipUjA arTam sarva taTAgata ganDa pajAsamaya saMBava vajrat nAma
   samādhiṃ samāpadyemāṃ sarvatathāgataceṭīṃ svahṛdayānniścacāra vajragandhe	samADim samApadya imAm sarva taTAgata cewIm sva hRdayAt niScacAra vajraganDe
   athāsyāṃ viniḥsṛtamātrāyāṃ sarvatathāgatahṛdayebhyaḥ sa eva bhagavān	aTa asyAm viniHsRta mAtrAyAm sarva taTAgata hRdayeByaH saH eva BagavAn
   vajradharaḥ sarvagandhapūjāvyūhāḥ sarvalokadhātuspharaṇā bhūtvā viniḥsṛtāḥ	vajraDaraH sarva ganDa pUjA vyUhAH sarva loka DAtu sParaNAH BUtvA viniHsRtAH
   / tebhyaśca gandhapūjāvyūhebhyaḥ sarvalokadhātuparamāṇurajaḥ	/ teByaH ca ganDa pUjA vyUheByaH sarva loka DAtu paramANu rajaH
   samāstathāgatavigrahā viniḥsṛtya punarapyekaghano vajragandhadevatākāyaḥ	samAH taTAgata vigrahAH viniHsRtya punar api eka GanaH vajra ganDa devatA kAyaH
   saṃbhūya, bhagavato vajramaṇiratnaśikharakūṭāgārasya vāmakoṇe	saMBUya, BagavataH vajra maNi ratna SiKara kUwa AgArasya vAma koNe
   candramaṇḍalāśritā bhatvedamudānamudānayāmāsa /	candra maNxala ASritA BatvA idam udAnam udAnayAmAsa /
   aho gandhamayī pūjā divyāhaṃ manoramā /	aho ganDa mayI pUjA divyA aham manoramA /
   yattathāgatagandho vai sarvakāye dadāti hi // iti //	yat taTAgata ganDaH vE sarva kAye dadAti hi // iti //
   sarvatathāgatajñānāveśā, mahābodhyaṅgasaṃcayā, sarvatathāgatadharmālokā,	sarva taTAgata jQAna AveSA, mahA boDi aFga saMcayA, sarva taTAgata Darma AlokA,
   śīlasamādhiprajñāvimuktivimuktijñānadarśanagandhā ceti /	SIla samADi prajQA vimukti vimukti jQAna darSana ganDA ca iti /
   sarvatathāgatājñākāryaḥ //	sarva taTAgata AjQA kAryaH //
   I.1.34 Vajrankusa	I.1.34 Vajran kusa
   atha bhagavān vairocanastathāgataḥ punarapi sarvatathāgatasamayāṃ	aTa BagavAn vErocanaH taTAgataH punar api sarva taTAgata samayAm
   kuśamahāsattvasamayasaṃbhavasattvavajrannāma samādhiṃ samāpadyeyaṃ	kuSa mahA sattva samaya saMBava sattva vajrat nAma samADim samApadyeyam
   sarvatathāgatasarvamudrāgaṇapatiṃ svahṛdayānniścacāra vajrāṃkuśa //	sarva taTAgata sarva mudrA gaNa patim sva hRdayAt niScacAra vajrAMkuSaH //
   athāsmin viniḥsṛtamātra sarvatathāgatahṛdayebhyaḥ sa eva bhagavān	aTa asmin viniHsRta mAtra sarva taTAgata hRdayeByaH saH eva BagavAn
   vajradharaḥ sarvatathāgatasarvamudrāgaṇā bhūtvā viniḥsṛtaḥ / tebhyaśca	vajraDaraH sarva taTAgata sarva mudrA gaNAH BUtvA viniHsRtaH / teByaH ca
   sarvatathāgatamudrāgaṇebhyaḥ	sarva taTAgata mudrA gaNeByaH
   sarvalokadhātuparamāṇurajaḥsamāstathāgatavigrahā viniḥsṛtya,	sarva loka DAtu paramANu rajaH samAH taTAgata vigrahAH viniHsRtya,
   punarapyekaghano vajrāṅkuśamahābodhisattvakāyaḥ saṃbhūya, bhagavato	punar api eka GanaH vajra aFkuSa mahA boDisattva kAyaH saMBUya, BagavataH 
   vajramaṇiratnaśikharakūṭāgārasya vajradvāramadhye candramaṇḍalāśrito	vajra maNi ratna SiKara kUwa AgArasya vajra dvAra maDye candra maNxala ASritaH 
   bhatvā, sarvatathāgatasamayānākarṣayanna, idamudānamudānayāmāsa /	Ba tvA, sarva taTAgata samayAn Akarzayanna, idam udAnam udAnayAmAsa /
   aho hi sarvabuddhānāṃ samākarṣamahaṃ dṛḍhaḥ /	aho hi sarva budDAnAm samAkarzam aham dRXaH /
   yanmayā hi samākṛṣṭā bhajante sarvamaṇḍalam // iti //	yat mayA hi samAkRzwAH Bajante sarva maNxalam // iti //
   I.1.35 Vajrapasa	I.1.35 Vajrapasa
   atha bhagavān punarapi	aTa BagavAn punar api
   sarvatathāgatasamayapraveśamahāsattvasamayasaṃbhavasattvavajrannāma	sarva taTAgata samaya praveSa mahA sattva samaya saMBava sattva vajrat nAma
   samādhiṃ samāpadya maṃ sarvatathāgatamudrāpraveśapratīhāraṃ	samADim samApadya mam sarva taTAgata mudrA praveSa pratIhAram
   svahṛdayānniścacāra vajrapāśa //	sva hRdayAt niScacAra vajrapASaH //
   athāsmin viniḥsṛtamātre sarvatathāgatahṛdayebhyaḥ sa eva bhagavān	aTa asmin viniHsRta mAtre sarva taTAgata hRdayeByaH saH eva BagavAn
   vajradharaḥ sarvatathāgatasamayapraveśamudrāgaṇā bhūtvā viniścaritaḥ /	vajraDaraH sarva taTAgata samaya praveSa mudrA gaNAH BUtvA viniScaritaH /
   tebhyaśca sarvatathāgatasamayapraveśamudrāgaṇebhyaḥ	teByaH ca sarva taTAgata samaya praveSa mudrA gaNeByaH
   sarvalokadhātuparamāṇurajaḥsamāstathāgatavigrahā viniḥsṛtya,	sarva loka DAtu paramANu rajaH samAH taTAgata vigrahAH viniHsRtya,
   punarapyekaghano vajrapāśamahābodhisattvakāyaḥ saṃbhūya, bhagavato	punar api eka GanaH vajra pASa mahA boDisattva kAyaH saMBUya, BagavataH 
   vajramaṇiratnaśikharakūṭāgārasya ratnadvāramadhye candramaṇḍalāśrito	vajra maNi ratna SiKara kUwa AgArasya ratna dvAra maDye candra maNxala ASritaH 
   bhūtvā sarvatathāgatāṃ praveśayann, idamudānamudānayāmāsa /	BUtvA sarva taTAgatAm praveSayann, idam udAnam udAnayAmAsa /
   aho hi sarvabuddhānāṃ vajrapāśamahaṃ dṛḍhaḥ /	aho hi sarva budDAnAm vajra pASam aham dRXaH /
   yatsarvāṇupraviṣṭāpi praveśyante mayā punaḥ // iti //	yat sarva aNu pravizwA api praveSyante mayA punar // iti //
   I.1.36 Vajrasphota	I.1.36 VajrasPota
   atha bhagavān punarapi	aTa BagavAn punar api
   sarvatathāgatasamayasphoṭamahāsattvasamayodbhavasattvavajrannāmasamādhiṃ	sarva taTAgata samaya sPowa mahA sattva samaya udBava sattva vajrat nAma samADim
   samāpadyemaṃ sarvatathāgatasamayabandhannāma sarvatathāgatadūtaṃ	samApadya imam sarva taTAgata samaya banDat nAma sarva taTAgata dUtam
   svahṛdayānniścacāra vajrasphoṭa //	sva hRdayAt niScacAra vajrasPowa //
   athāsmin viniḥsṛtamātre sarvatathāgatahṛdayebhyaḥ sa eva bhagavān	aTa asmin viniHsRta mAtre sarva taTAgata hRdayeByaH saH eva BagavAn
   vajradharaḥ sarvatathāgatasamayabandhamudrāgaṇā bhūtvā viniḥsṛtastebhyaśca	vajraDaraH sarva taTAgata samaya banDa mudrA gaNAH BUtvA viniHsRtaH teByaH ca
   sarvatathāgatasamayabandhasarvamudrāgaṇebhyaḥ	sarva taTAgata samaya banDa sarva mudrA gaNeByaH
   sarvalokadhātuparamāṇurajaḥsamāstathāgatavigrahā viniḥsṛtya, ekaghano	sarva loka DAtu paramANu rajaH samAH taTAgata vigrahAH viniHsRtya, eka GanaH 
   vajrasphoṭamahābodhisattvakāyaḥ saṃbhūya, bhagavato	vajra sPowa mahA boDisattva kAyaH saMBUya, BagavataH 
   vajramaṇiratnaśikharakūṭāgārasya dharmadvāramadhye candramaṇḍalāśrito	vajra maNi ratna SiKara kUwa AgArasya Darma dvAra maDye candra maNxala ASritaH 
   bhatvā, sarvatathāgatāna bandhayanna, idamudānamudānayāmāsa /	Ba tvA, sarva taTAgatAna banDayanna, idam udAnam udAnayAmAsa /
   aho hi sarvabuddhānāṃ vajrasphoṭamahaṃ dṛḍhaḥ /	aho hi sarva budDAnAm vajrasPowam aham dRXaH /
   yatsarvabandhamuktānāṃ sattvārthād bandha iṣyate // iti //	yat sarva banDa muktAnAm sattva arTAt banDaH izyate // iti //
   I.1.37 Vajravesa	I.1.37 Vajravesa
   atha bhagavān punarapi	aTa BagavAn punar api
   sarvatathāgatāveśamahāsattvasamayasaṃbhavasattvavajrannāma samādhiṃ	sarva taTAgata AveSa mahA sattva samaya saMBava sattva vajrat nAma samADim
   samāpadyemaṃ sarvatathāgatasarvamudrāceṭaṃ svahṛdayānniścacāra vajrāveśaḥ	samApadya imam sarva taTAgata sarva mudrA cewam sva hRdayAt niScacAra vajra AveSaH
   athāsmin viniḥsṛtamātre sarvatathāgatahṛdayebhyaḥ sa eva bhagavān	aTa asmin viniHsRta mAtre sarva taTAgata hRdayeByaH saH eva BagavAn
   vajradharaḥ sarvatathāgatasarvamudrāgaṇā bhūtvā viniścaritaḥ / tebhyaśca	vajraDaraH sarva taTAgata sarva mudrA gaNAH BUtvA viniScaritaH / teByaH ca
   sarvatathāgatasarvamudrāgaṇebhyaḥ sarvalokadhātuparamāṇurajaḥ	sarva taTAgata sarva mudrA gaNeByaH sarva loka DAtu paramANu rajaH
   samāstathāgatavigrahā viniḥsṛtya, ekaghano	samAH taTAgata vigrahAH viniHsRtya, eka GanaH 
   vajrāveśamahābodhisattvavigrahaḥ prādurbhūya, bhagavato	vajra AveSa mahA boDisattva vigrahaH prAdurBUya, BagavataH 
   vajramaṇiratnaśikharakūṭāgārasya karmadvāramadhye candramaṇḍalāśrito	vajra maNi ratna SiKara kUwa AgArasya karma dvAra maDye candra maNxala ASritaH 
   bhūtvā, sarvatathāgatānāveśayanna, idamudānamudānayāmāsa /	BUtvA, sarva taTAgatAn AveSayat na, idam udAnam udAnayAmAsa /
   aho hi sarvabuddhānāṃ vajrāveśamahaṃ dṛḍhaḥ /	aho hi sarva budDAnAm vajra AveSam aham dRXaH /
   yatsarvapatayo bhūtvā ceṭā api bhavanti hi // iti //	yat sarva patayaH BUtvA cewAH api Bavanti hi // iti //
   savatathāgatasamākarṣaṇaṃ, praveśo, bandhaḥ, vaśīkaraṇaṃ ceti /	savataTA gata samAkarzaNan, praveSo, banDaH, vaSIkaraNam ca iti /
   sarvatathāgatājñākarāḥ //	sarva taTAgata AjQA karAH //
   atha bhagavān sarvatathāgatāsamājādhiṣṭhānāya vajrācchaṭikāsaṃjñāmakārṣīt	aTa BagavAn sarva taTAgatA samAja aDizWAnAya vajrAt SawikA saMjQAm akArzIt 
   / idaṃ sarvatathāgatasamājādhiṣṭhānahṛdayamabhāṣata vajrasamāja //	/ idam sarva taTAgata samAja aDizWAna hRdayam aBAzata vajra samAja //
   atha tena kṣapālavamuhūrtena sarvatathāgatācchaṭikāsaṃjñāsaṃcoditāḥ	aTa tena kzapA lava muhUrtena sarva taTAgatAt SawikA saMjQA saMcoditAH
   sarvalokadhātuprasarameghasamudreṣu	sarva loka DAtu prasara meGa samudrezu
   sarvalokadhātuparamāṇurajaḥsamāstathāgatāḥ sabodhisattvaparṣanmaṇḍalāḥ	sarva loka DAtu paramANu rajaH samAH taTAgatAH sa boDisattva parzad maNxalAH
   samājamāpadya, yena bhagavān vajramaṇiratnaśikharakūṭāgāro yena ca	samAjam Apadya, yena BagavAn vajra maNi ratna SiKara kUwa AgAraH yena ca
   bhagavān vairocanastenopajagmurupetya oṃ sarvatathāgatapādavandanāṅkaromi	BagavAn vErocanaH tena upajagmuH upetya om sarva taTAgata pAda vandana aFkaromi
   // ityenena prakṛtisiddhena mantreṇa rucijaptena	// iti enena prakRti sidDena mantreNa ruci japtena
   sarvatathāgatapādavandanāṃ kṛtvedamudānamudānayāmāsuḥ //	sarva taTAgata pAda vandanAm kRtvA idam udAnam udAnayAmAsuH //
   aho samantabhadrasya bodhisattvasya satkriyā /	aho samantaBadrasya boDisattvasya satkriyA /
   yattathāgatacakrasya madhye bhāti tathāgataḥ //	yat taTAgata cakrasya maDye BAti taTAgataH //
   athedamuktvā te daśadiksarvalokadhātusannipatitāḥ sarvatathāgatāḥ	aTa idam uktvA te daSa diS sarva loka DAtu sannipatitAH sarva taTAgatAH
   sarvatathāgatādhiṣṭhānena bhagavato vairocanasya hṛdaye	sarva taTAgata aDizWAnena BagavataH vErocanasya hRdaye
   sabodhisattvaparṣanmaṇḍalāḥ praviṣṭāḥ / tebhyaśca	sa boDisattva parzad maNxalAH pravizwAH / teByaH ca
   sarvatathāgatahṛdayebhyaḥ svāni svāni bodhisattvaparṣanmaṇḍalāni	sarva taTAgata hRdayeByaH svAni svAni boDisattva parzad maNxalAni
   viniḥsṛtya bhagavato vajramaṇiratnaśikharakūṭāgārasya sarvapārśveṣu	viniHsRtya BagavataH vajra maNi ratna SiKara kUwa AgArasya sarva pArSvezu
   maṇḍalībhūtvā samāpadyāvasthitā idamudānamudānayāmāsuḥ /	maNxalIBUtvA samApadya avasTitAH idam udAnam udAnayAmAsuH /
   aho hi sarvabuddhānāṃ mahodāryamanādijam /	aho hi sarva budDAnAm mahA udAryam anAdi jam /
   yatsarvāṇuprasaṃkhyā vai buddhā hyekatvamāgatā // iti //	yat sarva aNu prasaMKyAH vE budDAH hi eka tvam AgatAH // iti //
   Hymn of 108 Names of Mahavajradhara	Hymn of 108 NameH of Maha vajraDara
   atha bhagavantaḥ sarvatathāgatāḥ punarapi samājamāgamyāsya	aTa BagavantaH sarva taTAgatAH punar api samAjam Agamya asya
   vajradhātumahāmaṇḍalasyādhiṣṭhānāyāśeṣānavaśeṣasya ca sattvadhātoḥ	vajra DAtu mahA maNxalasya aDizWAnAya aSeza an avaSezasya ca sattva DAtoH
   paritrāṇasarvahitasukhāvāptyai	paritrANa sarva hita suKa avAptyE
   yāvatsarvatathāgatasamatājñānābhijñābhisaṃbodhyuttamasiddhaye bhagavantaṃ	yAvat sarva taTAgata samatA jQAna aBijQA aBisaMboDi uttama sidDaye Bagavantam
   sarvatathāgatādhipatiṃ svavajrasattvamanādinidhanaṃ mahāvajradharamanena	sarva taTAgata aDipatim sva vajra sattvam anAdiniDanam mahA vajra Daram anena
   nāmāṣṭaśatenādhyeṣitavantaḥ //	nAma azwaSatena aDyezitavantaH //
   vajrasattvamahāsattva vajrasarvatathāgata /	vajra sattva mahA sattva vajra sarva taTAgataH /
   samantabhadra vajrādya vajrapāṇe namo 'stu te // 1 //	samantaBadra vajra adya vajrapANe namaH astu te // 1 //
   vajrarāja subuddhāgrya vajrāṅkuśatathāgata /	vajra rAja su budDa agrya vajrAFkuSa taTAgataH /
