   akarod brahmavittamaḥ KDA_465d	akarot brahma-vittamaH KDA_465d
   krodhena bhidyate cittaṃ KDA_405a	kroDena Bidyate cittam KDA_405a
   krodhena bhidyate lokaḥ KDA_392a	kroDena Bidyate lokaH KDA_392a
   krodhena vilayaṃ gataḥ KDA_395b	kroDena vilayam gataH KDA_395b
   krodhena hiṃsyate jantus KDA_392c	kroDena hiMsyate jantuH KDA_392c
   krodhenaiva tathā rudraḥ KDA_394a	kroDena-eva taTA rudraH KDA_394a
   krodhenaiva mahārudraś KDA_393a	kroDena-eva mahArudraH KDA_393a
   krodho dharmaviruddhatvāc KDA_404a	kroDaH Darma-virudDa-tvAt KDA_404a
   krodho hi vasate yasya KDA_71a	kroDaH hi vasate yasya KDA_71a
   kleśasaṃghān vinirjitya KDA_317c	kleSa-saMGAn vinirjitya KDA_317c
   kleśād yair asamāhitam* KDA_54b	kleSAt yEH asamAhitam* KDA_54b
   kleśāṃś ca sarvān pravihāya saṃyataḥ KDA_326c	kleSAn ca sarvAn pravihAya saMyataH KDA_326c
   kleśito 'dhairyatāṃ vrajet KDA_405d	kleSitaH aDErya-tAm vrajet KDA_405d
   kṣatriyavaiśyaśūdrāś ca KDA_232c	kzatriya-vESya-SUdrAH ca KDA_232c
   kṣatriyasya bhaved bhāryā KDA_245c	kzatriyasya Bavet BAryA KDA_245c
   kṣatriyā bhaginī khalu KDA_245d	kzatriyA BaginI Kalu KDA_245d
   kṣatriyās te nṛpā narāḥ KDA_174d	kzatriyAH te nRpAH narAH KDA_174d
   kṣamā dayā damo dānaṃ KDA_269a	kzamA dayA damaH dAnam KDA_269a
   kṣamādharmapuraskṛtaḥ KDA_484b	kzamA-Darma-puraskRtaH KDA_484b
   kṣamaiva sādhyatāṃ sadā KDA_413b	kzamA-eva sADyatAm sadA KDA_413b
   kṣāntivādī vane vasan* KDA_388b	kzAnti-vAdI vane vasan* KDA_388b
   kṣāntyādibhir guṇair yuktas KDA_253a	kzAnti-AdiBiH guNEH yuktaH KDA_253a
   kṣipraṃ kleśān vinirjitya KDA_288c	kzipram kleSAn vinirjitya KDA_288c
   kharo dvādaśa janmāni KDA_113a	KaraH dvAdaSa janmAni KDA_113a
   gacchata bhikṣavo yūyaṃ KDA_14a	gacCata BikzavaH yUyam KDA_14a
   gaṇakās te 'pi mānavāḥ KDA_182d	gaNakAH te api mAnavAH KDA_182d
   gaṇayanti divāniśam* KDA_182b	gaNayanti divAniSam* KDA_182b
   gandhaś ca pṛthivīguṇāḥ KDA_104b	ganDaH ca pRTivI-guNAH KDA_104b
   garuḍānāṃ mahaujasām* KDA_356b	garuxAnAm mahA-ojasAm* KDA_356b
   garuḍās trāsam āgatāḥ KDA_361b	garuxAH trAsam AgatAH KDA_361b
   garbhaḥ samanuvardhitaḥ KDA_24b	garBaH samanuvarDitaH KDA_24b
   gāyatrīmātrasāro 'pi KDA_270a	gAyatrI-mAtra-sAraH api KDA_270a
   guṇadharmapramāṇena KDA_162a	guNa-Darma-pramANena KDA_162a
   guṇadharmānucāreṇa KDA_161a	guNa-Darma-anucAreNa KDA_161a
   guṇadharmānusārataḥ KDA_100b	guNa-Darma-anusArataH KDA_100b
   guṇadharmānusāraiś ca KDA_93c	guNa-Darma-anusArEH ca KDA_93c
   guṇabhedād bhaved dharma- KDA_223a	guNa-BedAt Bavet Darma KDA_223a
   guṇavān brāhmaṇo bhavet* KDA_132b	guNavAn brAhmaNaH Bavet* KDA_132b
   guṇavān brāhmaṇo bhavet* KDA_263b	guNavAn brAhmaNaH Bavet* KDA_263b
   guṇavidyānidhir vidvān KDA_265c	guNa-vidyA-niDiH vidvAn KDA_265c
   guṇān sā hi prasūyate KDA_416d	guNAn sA hi prasUyate KDA_416d
   guṇāsvādādibhedatā KDA_148b	guNa-AsvAda-Adi-Beda-tA KDA_148b
   guṇāḥ kalyāṇakārakāḥ KDA_265b	guNAH kalyANa-kArakAH KDA_265b
   guṇair dharmais tathā śīlair KDA_133a	guNEH DarmEH taTA SIlEH KDA_133a
   gurukṛtaś ca pūjitaḥ KDA_6d	gurukRtaH ca pUjitaH KDA_6d
   guruḍaiś ca mahāsarpais KDA_8c	guruxEH ca mahA-sarpEH KDA_8c
   gurubhaktāś ca nirmadāḥ KDA_44b	guru-BaktAH ca nirmadAH KDA_44b
   gurur brahmavidāṃ varaḥ KDA_76b	guruH brahma-vidAm varaH KDA_76b
   guruś caivam acintayat* KDA_81d	guruH ca-evam acintayat* KDA_81d
   gurūn saddharmaśāstṝṃś ca KDA_382a	gurUn sat-DarmaSAstLn ca KDA_382a
   guro ājñāṃ vahantas te KDA_16a	guro AjQAm vahantaH te KDA_16a
   guro brahmavidāṃ śreṣṭha KDA_75a	guroH brahma-vidAm SrezWa KDA_75a
   guror ājñāsamādhṛtaḥ KDA_282b	guroH AjQA-samADRtaH KDA_282b
   gocaram abhyalakṣayat* KDA_345b	gocaram aByalakzayat* KDA_345b
   ghnanti krodhaprabhāvataḥ KDA_381d	Gnanti kroDa-praBAvataH KDA_381d
   ghnanti krodhād anāryakāḥ KDA_378d	Gnanti kroDAt anAryakAH KDA_378d
   ghnanti krodhoddhatā narāḥ KDA_382d	Gnanti kroDa-udDatAH narAH KDA_382d
   cakravākau śaradvīpe KDA_108a	cakravAkO SaradvIpe KDA_108a
   caṇḍavṛttipracārāś ca KDA_186c	caNxa-vRtti-pracArAH ca KDA_186c
   caṇḍālā api yonitaḥ KDA_137b	caNxAlAH api yonitaH KDA_137b
   caṇḍālā iti te smṛtāḥ KDA_186d	caNxAlAH iti te smRtAH KDA_186d
   caṇḍālā nirghṛṇā raudrāḥ KDA_438a	caNxAlAH nirGRNAH rOdrAH KDA_438a
   caṇḍālīgarbhasaṃbhūto KDA_126a	caNxAlI-garBa-saMBUtaH KDA_126a
   caṇḍālo 'pi sa vipraḥ syāl KDA_58c	caNxAlaH api sa vipraH syAt KDA_58c
   caṇḍālo 'pi hi śīlasthas KDA_204c	caNxAlaH api hi SIla-sTaH KDA_204c
   caturaśīti lakṣāś ca KDA_105c	caturaSIti lakzAH ca KDA_105c
   caturthadhyānasaṃyutaḥ KDA_343b	caturTa-DyAna-saMyutaH KDA_343b
   caturthaṃ brāhmalakṣaṇam* KDA_256d	caturTam brAhma-lakzaNam* KDA_256d
   caturbrahmavihāratā KDA_316d	catur-brahma-vihAra-tA KDA_316d
   caturbrahmavihāriṇaḥ KDA_48b	catur-brahma-vihAriNaH KDA_48b
   caturbrahmavihāriṇaḥ KDA_163d	catur-brahma-vihAriNaH KDA_163d
   caturbrahmavihāriṇaḥ KDA_387b	catur-brahma-vihAriNaH KDA_387b
   caturbrahmavihāriṇā KDA_62b	catur-brahma-vihAriNA KDA_62b
   caturyonisamudbhūtāḥ KDA_95c	catur-yoni-samudBUtAH KDA_95c
   caturvargaphalāptaye KDA_316b	caturvarga-Pala-Aptaye KDA_316b
   caturvargavināśakṛt* KDA_404b	caturvarga-vinASa-kRt* KDA_404b
   catvāry eva samīraṇe KDA_103d	catvAri eva samIraNe KDA_103d
   caranti vratam ādarāt* KDA_171b	caranti vratam AdarAt* KDA_171b
   cara brahman vratottamam* KDA_297d	cara brahman vrata-uttamam* KDA_297d
   cara brahmavihāriṇam* (Speyer: brahmavihāraṇam*) KDA_278d	cara brahma-vihAriNam* (Speyer: brahma-vihAraNam*) KDA_278d
   cara brahmavrataṃ samyag- KDA_67c	cara brahmavratam samyak- KDA_67c
   cara brāhmaṇyam ādarāt* KDA_72d	cara brAhmaNyam AdarAt* KDA_72d
   cara saṃbodhisatpathe KDA_293d	cara saMboDisat-paTe KDA_293d
   carasva vratam uttamam* KDA_43d	carasva vratam uttamam* KDA_43d
   cariṣye tad vratottamam* KDA_302b	carizye tat vrata-uttamam* KDA_302b
   cariṣye brahmasadvratam* KDA_65d	carizye brahma-sat-vratam* KDA_65d
   careyaṃ bhavamuktaye KDA_75d	careyam Bava-muktaye KDA_75d
   caryaṃ jitvā ṣaḍ indriyam* KDA_76d	caryam jitvA zaw indriyam* KDA_76d
   cāṇḍālo 'pi hi vṛttastho KDA_259c	cANxAlaH api hi vRtta-sTaH KDA_259c
   cāturvarṇyam idaṃ khalu KDA_241d	cAturvarNyam idam Kalu KDA_241d
   cāturvarṇyam idaṃ lokam KDA_198a	cAturvarNyam idam lokam KDA_198a
   cāturvarṇyam idaṃ lokaṃ KDA_240c	cAturvarNyam idam lokam KDA_240c
   cāturvarṇyam idaṃ loke KDA_161c	cAturvarNyam idam loke KDA_161c
   cāturvarṇyaṃ prakalpitam* KDA_130d	cAturvarNyam prakalpitam* KDA_130d
   cāturvarṇyaṃ pratiṣṭhitam* KDA_261d	cAturvarNyam pratizWitam* KDA_261d
   cic cheda brahmaṇaḥ śiraḥ KDA_393b	cit Ceda brahmaNaH SiraH KDA_393b
   cittaṃ tathānumoditam* KDA_303d	cittam taTA-anumoditam* KDA_303d
   cittāni saṃpradūṣyaiva KDA_473c	cittAni saMpradUzya-eva KDA_473c
   citte{na} parimohite KDA_52d	citte{na} parimohite KDA_52d
   citte mānamadākule KDA_71b	citte mAna-mada-Akule KDA_71b
   citte lokārthaṃ sādhitum* KDA_53b	citte loka-arTam sADitum* KDA_53b
   celakopāsakais tathā KDA_11b	celaka-upAsakEH taTA KDA_11b
   cchetāraṃ saṃśayānāṃ taṃ KDA_456c	cCetAram saMSayAnAm tam KDA_456c
   cchedayāmāsa mastakam* KDA_394d	cCedayAmAsa mastakam* KDA_394d
   chūdro 'pi saṃskṛto dvijaḥ KDA_211d	CUdraH api saMskRtaH dvijaH KDA_211d
   chreṣṭhatvam iha yujyate KDA_197b	SrezWa-tvam iha yujyate KDA_197b
   jagannāthaṃ munīśvaram* KDA_307b	jagannATam muni-ISvaram* KDA_307b
   jagādaivaṃ puraḥ sthitā KDA_290d	jagAda-evam puras sTitA KDA_290d
   jantuḥ krodhahavir bhujā KDA_372b	jantuH kroDa-haviH BujA KDA_372b
   jarā rūpavatāṃ krodhas KDA_373a	jarA rUpavatAm kroDaH KDA_373a
   jalajānāṃ ca puṣpāṇāṃ KDA_146a	jala-jAnAm ca puzpANAm KDA_146a
   jahāti krodhatas tathā KDA_386d	jahAti kroDataH taTA KDA_386d
   jātavedā yathāraṇeḥ KDA_136d	jAtavedAH yaTA-araNeH KDA_136d
   jātikundādipuṣpāṇāṃ KDA_145a	jAti-kunda-Adi-puzpANAm KDA_145a
   jātidharmapravṛttikāḥ KDA_185d	jAti-Darma-pravRttikAH KDA_185d
   jātibhedā bhavanti hi KDA_161b	jAti-BedAH Bavanti hi KDA_161b
   jātibhedā hy anekaśaḥ KDA_96b	jAti-BedAH hi anekaSas KDA_96b
   jātibhedāḥ pravartitāḥ KDA_224d	jAti-BedAH pravartitAH KDA_224d
   jātiṣv api ca sarvāsu KDA_96c	jAtizu api ca sarvAsu KDA_96c
   jāter naiva pramāṇatā KDA_162b	jAteH na-eva pramANatA KDA_162b
   jāter liṅgaṃ pṛthak pṛthak* KDA_158b	jAteH liFgam pRTak pRTak* KDA_158b
   jātyā ced brāhmaṇo bhūto KDA_119c	jAtyA ced brAhmaNaH BUtaH KDA_119c
   jātyāpi brāhmaṇo naiva KDA_119a	jAtyA-api brAhmaNaH na-eva KDA_119a
   jānīdhvaṃ karmatāphalam* KDA_477d	jAnIDvam karma-tA-Palam* KDA_477d
   jinenādvayavādinā KDA_118b	jinena-advaya-vAdinA KDA_118b
   jino 'pi naiva śaknuyāt* KDA_410d	jinaH api na-eva SaknuyAt* KDA_410d
   jīvamāno bhavec chūdro KDA_111c	jIvamAnaH Bavet SUdraH KDA_111c
   jīvamāno bhavec chūdro KDA_207c	jIvamAnaH Bavet SUdraH KDA_207c
   jīvaś ced brāhmaṇas tāvad KDA_91c	jIvaH ced brAhmaNaH tAvat KDA_91c
   jīvitaṃ yasya lokārthe KDA_266a	jIvitam yasya loka-arTe KDA_266a
   jīvitād vyavaropitaḥ KDA_22b	jIvitAt vyavaropitaH KDA_22b
   jugupsyo 'śucir ucyate KDA_138b	jugupsyaH aSuciH ucyate KDA_138b
   juhvatyagnau samāhitāḥ KDA_173b	juhvati-agnO samAhitAH KDA_173b
   jetavane manorame KDA_12b	jetavane manorame KDA_12b
   jainadharmaparāyaṇāḥ KDA_193b	jEna-Darma-parAyaNAH KDA_193b
   jainadharmānucāraṇāt* KDA_193d	jEna-Darma-anucAraNAt* KDA_193d
   jñātayo 'pi tathā śrutvā KDA_27a	jQAtayaH api taTA SrutvA KDA_27a
   jñātvāryasatyadharmāṇi KDA_310c	jQAtvA-Arya-sati-aDarmANi KDA_310c
   jñātvā lokahitārthena KDA_278c	jQAtvA loka-hita-arTena KDA_278c
   jñānadharmaguṇācārair KDA_221c	jQAna-Darma-guNa-AcArEH KDA_221c
   jñānadharmaguṇācārair KDA_222a	jQAna-Darma-guNa-AcArEH KDA_222a
   jñānavajreṇa sādhunā KDA_398b	jQAna-vajreNa sADunA KDA_398b
   jñānavantaś ca ye dhīrās KDA_229c	jQAnavantaH ca ye DIrAH KDA_229c
   jñānavān hi bhavet pūjyo KDA_218a	jQAnavAn hi Bavet pUjyaH KDA_218a
   jñānavijñānadharmeṣu KDA_287c	jQAna-vijQAna-Darmezu KDA_287c
   jñānavijñānapātratvāt KDA_226c	jQAna-vijQAna-pAtra-tvAt KDA_226c
   jñānavijñānabhedena KDA_222c	jQAna-vijQAna-Bedena KDA_222c
   jñānavijñānamātreṇa KDA_226a	jQAna-vijQAna-mAtreNa KDA_226a
   jñānavijñānahīnatvān KDA_227a	jQAna-vijQAna-hIna-tvAn KDA_227a
   jñānīnāhūya cādarāt* KDA_26b	jQAnIn-AhUya ca-AdarAt* KDA_26b
   jñānena yadi vā vipraḥ KDA_228c	jQAnena yadi vA vipraH KDA_228c
   jñānenāpi dvijo naiva KDA_228a	jQAnena-api dvijaH na-eva KDA_228a
   jyeṣṭho 'raṇāvihāriṇām* KDA_457d	jyezWaH araNa-avihAriNAm* KDA_457d
   jyotir vidyāvido ye ca KDA_182a	jyotiH vidyA-vidaH ye ca KDA_182a
   ta eva brāhmaṇottamāḥ KDA_49d	te eva brAhmaNa-uttamAH KDA_49d
   ta kāruṇyaṃ sadā kuru KDA_313d	ta kAruNyam sadA kuru KDA_313d
   tac ca krodhaprabhāvataḥ KDA_376d	tat ca kroDa-praBAvataH KDA_376d
   tac ca krodhaprabhāvataḥ KDA_380d	tat ca kroDa-praBAvataH KDA_380d
   tac ca maitrīprabhāvataḥ KDA_428d	tat ca mEtrI-praBAvataH KDA_428d
   tac ca maitrīprabhāvataḥ KDA_429d	tat ca mEtrI-praBAvataH KDA_429d
   tac ca maitrīprabhāvataḥ KDA_430d	tat ca mEtrI-praBAvataH KDA_430d
   tac ca maitrīprabhāvataḥ KDA_431d	tat ca mEtrI-praBAvataH KDA_431d
   tac ca maitrīprabhāvataḥ KDA_432d	tat ca mEtrI-praBAvataH KDA_432d
   tac ca maitrīprabhāvataḥ KDA_433d	tat ca mEtrI-praBAvataH KDA_433d
   tac ca maitrīprabhāvataḥ KDA_434d	tat ca mEtrI-praBAvataH KDA_434d
   tac ca maitrīprabhāvataḥ KDA_435d	tat ca mEtrI-praBAvataH KDA_435d
   tac ca maitrīprabhāvataḥ KDA_436d	tat ca mEtrI-praBAvataH KDA_436d
   tac ca maitrīprabhāvataḥ KDA_440d	tat ca mEtrI-praBAvataH KDA_440d
   tac cāpi krodhabhāvataḥ KDA_377d	tat ca-api kroDa-BAvataH KDA_377d
   taṇḍulīgarbhasaṃbhūto KDA_127a	taNxulI-garBa-saMBUtaH KDA_127a
   tata eva samāgṛhya KDA_304a	tatas eva samAgRhya KDA_304a
   tataś ca kramatas tasyā KDA_24a	tatas ca kramatas tasyAH KDA_24a
   tataś ca narakān yāyād KDA_409a	tatas ca narakAn yAyAt KDA_409a
   tataś ca mānavo bhūtvā KDA_115c	tatas ca mAnavaH BUtvA KDA_115c
   tataś cyutvāham āgataḥ KDA_330d	tatas cyutvA-aham AgataH KDA_330d
   tatas tatsamaye prāpte KDA_24c	tatas tad-samaye prApte KDA_24c
   tataḥ kālagatas tatra KDA_23a	tatas kAlagataH tatra KDA_23a
   tataḥ kleśagaṇān hitvā KDA_298a	tatas kleSa-gaNAn hitvA KDA_298a
   tataḥ kleśān vinirjitvā KDA_279a	tatas kleSAn vinirjitvA KDA_279a
   tataḥ pitā ca taṃ dṛṣṭā KDA_25a	tatas pitA ca tam dRzwA KDA_25a
   tataḥ pūjā na cākṛteḥ KDA_227d	tatas pUjA na ca-AkRteH KDA_227d
   tataḥ prasādajāto 'sau KDA_309a	tatas prasAda-jAtaH asO KDA_309a
   tato jātimahaṃ kṛtvā KDA_26a	tatas jAti-maham kRtvA KDA_26a
   tato 'tyantaviruddhaṃ syād KDA_249a	tatas atyanta-virudDam syAt KDA_249a
   tato dharmaprabhāveṇa KDA_448a	tatas Darma-praBAveNa KDA_448a
   tato dharmābhisaṃskāraiḥ KDA_92c	tatas Darma-aBisaMskArEH KDA_92c
   tato 'nyad vanam āśritya KDA_282a	tatas anyat vanam ASritya KDA_282a
   tato māṃsāni varjayet KDA_215d	tatas mAMsAni varjayet KDA_215d
   tato ye mānavāḥ krūrā KDA_186a	tatas ye mAnavAH krUrA KDA_186a
   tato vyākaraṇādīni KDA_35a	tatas vyAkaraNa-AdIni KDA_35a
   tato 'sau bhagavāṃs tasya KDA_310a	tatas asO BagavAn tasya KDA_310a
   tat kathaṃ saṃcariṣye 'tra KDA_346c	tat kaTam saMcarizye atra KDA_346c
   tatkarmaphalato rājā KDA_116a	tad-karma-PalataH rAjA KDA_116a
   tatkṛtabhājaneṣv api KDA_220b	tad-kRta-BAjanezu api KDA_220b
   tat kṛtaṃ yat subhūtinā KDA_458d	tat kRtam yat suBUtinA KDA_458d
   tat ko 'nyaḥ paribhokṣyate KDA_459b	tat kaH anyaH pariBokzyate KDA_459b
   tatkrodhād aparo vairaḥ KDA_397a	tad-kroDAt aparaH vEraH KDA_397a
   tat tat karmānuśīlena KDA_185c	tat tat karma-anuSIlena KDA_185c
   tatpāpakarmaṇā hy eva KDA_394e	tad-pApa-karmaNA hi eva KDA_394e
   tat pravakṣye yathāśrutam* KDA_4d	tat pravakzye yaTASrutam* KDA_4d
   tatprāptyai sādhyatāṃ yatnāc KDA_316c	tad-prAptyE sADyatAm yatnAt KDA_316c
   tatra ca vanaṣaṇḍe yā KDA_284a	tatra ca vana-zaNxe yA KDA_284a
   tatra tatraiva sarvatra KDA_424c	tatra tatra-eva sarvatra KDA_424c
   tatra pitā dvijo bhūtir KDA_37a	tatra pitA dvijaH BUtiH KDA_37a
   tatra prāpto munīn natvā KDA_74a	tatra prAptaH munIn natvA KDA_74a
   tatra bhava samāhitaḥ KDA_89d	tatra Bava samAhitaH KDA_89d
   tatra sa buddhanāthāya KDA_115a	tatra sa budDa-nATAya KDA_115a
   tatrasthās tena nāgena KDA_20a	tatrasTAH tena nAgena KDA_20a
   tatrādhivasato 'syāpi KDA_283a	tatra-aDivasataH asya-api KDA_283a
   tatrāpi karmabhedena KDA_96a	tatra-api karma-Bedena KDA_96a
   tatrāpi buddhanāthāya KDA_116c	tatra-api budDa-nATAya KDA_116c
   tatraiva garuḍenaivaṃ KDA_22c	tatra-eva garuxena-evam KDA_22c
   tathā kramād vivṛddho 'sau KDA_29a	taTA kramAt vivRdDaH asO KDA_29a
   tathāgato bhaviṣyasi KDA_468d	taTAgataH Bavizyasi KDA_468d
   tathā ca kalpyate loka- KDA_241a	taTA ca kalpyate loka KDA_241a
   tathā ca kṣatriyā jātā KDA_245a	taTA ca kzatriyA jAtA KDA_245a
   tathā ca procyate bauddhair KDA_162c	taTA ca procyate bOdDEH KDA_162c
   tathācāraviśeṣeṇa KDA_224c	taTA-AcAra-viSezeNa KDA_224c
   tathā ced dhi bhaved doṣo KDA_243a	taTA ced Di Bavet dozaH KDA_243a
   tathā dharmaḥ kathaṃ bhavet* KDA_248b	taTA DarmaH kaTam Bavet* KDA_248b
   tathā dharme ca saṃgheṣu KDA_321c	taTA Darme ca saMGezu KDA_321c
   tathā nāsti manuṣyāṇām KDA_142c	taTA na-asti manuzyANAm KDA_142c
   tathā nāsti manuṣyāṇāṃ KDA_144c	taTA na-asti manuzyANAm KDA_144c
   tathā nāsti manuṣyāṇāṃ KDA_148c	taTA na-asti manuzyANAm KDA_148c
   tathā nāsti manuṣyāṇāṃ KDA_149c	taTA na-asti manuzyANAm KDA_149c
   tathā nāsti manuṣyāṇāṃ KDA_150c	taTA na-asti manuzyANAm KDA_150c
   tathā nāsti yathānyāsu KDA_158a	taTA na-asti yaTA-anyAsu KDA_158a
   tathānumoditaḥ prāha KDA_299c	taTA-anumoditaH prAha KDA_299c
   tathānyasatvajātikaiḥ KDA_8d	taTA-anya-satva-jAtikEH KDA_8d
   tathānye śilpavidyādīn KDA_181a	taTA-anye Silpa-vidyA-AdIn KDA_181a
   tathāpi daivasāmarthyāt KDA_78a	taTA-api dEva-sAmarTyAt KDA_78a
   tathā brahmaguṇādhānād KDA_280a	taTA brahma-guNa-ADAnAt KDA_280a
   tathābhūd rāvaṇo nāma KDA_238a	taTA-aBUt rAvaNaH nAma KDA_238a
   tathāraṇāvihāriṇām* KDA_470d	taTA-araNa-avihAriNAm* KDA_470d
   tathā vedān adhītyaivaṃ KDA_36a	taTA vedAn aDItya-evam KDA_36a
   tathāśu kṛpayā nītvā KDA_302c	taTA-ASu kRpayA nItvA KDA_302c
   tathā satyaṃ manas tāta KDA_65a	taTA satyam manaH tAta KDA_65a
   tathāhaṃ devate yāmi KDA_300a	taTA-aham devate yAmi KDA_300a
   tathā hi mānave dharme KDA_121c	taTA hi mAnave Darme KDA_121c
   tatheti nṛparājaḥ sa KDA_485c	taTA-iti nRpa-rAjaH sa KDA_485c
   tatheti pratisaṃśrutya KDA_281c	taTA-iti pratisaMSrutya KDA_281c
   tatheti bhikṣavaḥ śrutvā KDA_482a	taTA-iti BikzavaH SrutvA KDA_482a
   tathety asau pratiśrutya KDA_73a	taTA-iti asO pratiSrutya KDA_73a
   tathety eva pratiśrutya KDA_15a	taTA-iti eva pratiSrutya KDA_15a
   tathaikam anujātānāṃ KDA_160c	taTA-ekam anujAtAnAm KDA_160c
   tathaikākī vasaṃs tatra KDA_343a	taTA-ekAkI vasan tatra KDA_343a
   tathaite sarvasatvāś ca KDA_100a	taTA-ete sarva-satvAH ca KDA_100a
   tathaiva narajātīnāṃ KDA_141c	taTA-eva nara-jAtInAm KDA_141c
   tathoktam avadāne 'pi KDA_114a	taTA-uktam avadAne api KDA_114a
   tathottarāṃ diśaṃ gatvā KDA_17c	taTA-uttarAm diSam gatvA KDA_17c
   tad anvāharitavyo 'yam KDA_39a	tat anvAharitavyaH ayam KDA_39a
   tad ahaṃ sarvasatveṣu KDA_348c	tat aham sarva-satvezu KDA_348c
   tad ahaṃ saṃprabodhyainaṃ KDA_88a	tat aham saMpraboDya-enam KDAH-_88a
   tad ājñāṃ dehi me tāta KDA_65c	tat AjQAm dehi me tAta KDA_65c
   tadā pitrā niyukto 'sau KDA_34a	tadA pitrA niyuktaH asO KDA_34a
   tadā pūrvam asau dṛṣṭvā KDA_345a	tadA pUrvam asO dRzwvA KDA_345a
   tadābdher garuḍenaiko KDA_19a	tadA-abDeH garuxena-ekaH KDA_19a
   tadā bhagavatā satva- KDA_13a	tadA BagavatA satva KDA_13a
   tadā lokahite caret* KDA_289b	tadA loka-hite caret* KDA_289b
   tad upekṣāyutaś cara KDA_277d	tat upekzA-yutaH cara KDA_277d
   tadupekṣāṃ sadā bhaja KDA_315d	tad-upekzAm sadA Baja KDA_315d
   tadṛddhinirmitāny eva KDA_356a	tad-RdDi-nirmitAni eva KDA_356a
   taddīpaṃkaraprasādena KDA_117a	tad-dIpaMkara-prasAdena KDA_117a
   taddharmeṣu niveśaya KDA_301d	tad-Darmezu niveSaya KDA_301d
   tad dhi maitrīprabhāvataḥ KDA_437d	tat Di mEtrI-praBAvataH KDA_437d
   tad dhi maitrīprabhāvataḥ KDA_438d	tat Di mEtrI-praBAvataH KDA_438d
   tad dhi maitrīprabhāvataḥ KDA_439d	tat Di mEtrI-praBAvataH KDA_439d
   tadbhavān vyākarotu me KDA_251d	tad-BavAn vyAkarotu me KDA_251d
   tad bhāṇḍaṃ tena lakṣyate KDA_221b	tat BANxam tena lakzyate KDA_221b
   tan na tyājyā kadācana KDA_312d	tat na tyAjyA kadAcana KDA_312d
   tan na śarīrasaṃskāra- KDA_211a	tat na SarIra-saMskAra KDA_211a
   tan me gaditum arhasi KDA_2d	tat me gaditum arhasi KDA_2d
   tapanti puṇyakṣetreṣu KDA_167c	tapanti puNya-kzetrezu KDA_167c
   tapaś caraṇasaṃraktas KDA_84a	tapaH caraNa-saMraktaH KDA_84a
   tapasā brāhmaṇā bhūtā KDA_128c	tapasA brAhmaNAH BUtA KDA_128c
   tapasā brāhmaṇo jātas KDA_122c	tapasA brAhmaNaH jAtaH KDA_122c
   tapasā brāhmaṇo jātas KDA_123c	tapasA brAhmaNaH jAtaH KDA_123c
   tapasā brāhmaṇo jātas KDA_124c	tapasA brAhmaNaH jAtaH KDA_124c
   tapasā brāhmaṇo jātas KDA_125c	tapasA brAhmaNaH jAtaH KDA_125c
   tapasā brāhmaṇo jātas KDA_126c	tapasA brAhmaNaH jAtaH KDA_126c
   tapasā brāhmaṇo jātas KDA_127c	tapasA brAhmaNaH jAtaH KDA_127c
   tapaḥ śaucaṃ ca pañcamam* KDA_257d	tapaH SOcam ca paQcamam* KDA_257d
   taptvāpi duṣkaraṃ tapaḥ KDA_444d	taptvA-api duzkaram tapaH KDA_444d
   tamaś cakṣuṣmatām api KDA_373b	tamaH cakzuzmatAm api KDA_373b
   tam ahaṃ brāhmaṇaṃ brūyāṃ KDA_258c	tam aham brAhmaNam brUyAm KDA_258c
   tamāc ca jñānamātreṇa KDA_230a	tamAt ca jQAna-mAtreNa KDA_230a
   tam āśramam upānīya KDA_19c	tam ASramam upAnIya KDA_19c
   tam eva dharmam ādhyāya KDA_349e	tam eva Darmam ADyAya KDA_349e
   tamodharmadharā daityā KDA_94c	tamaH-Darma-DarA dEtyA KDA_94c
   tayaiva sahasuptasya KDA_110c	tayA-eva saha-suptasya KDA_110c
   tal loke modavāṃś cara KDA_276d	tat loke modavAn cara KDA_276d
   tasmāc ca vedamātreṇa KDA_230c	tasmAt ca veda-mAtreNa KDA_230c
   tasmāc caivaṃ vijānīyā KDA_118c	tasmAt ca-evam vijAnIyA KDA_118c
   tasmāc chīlaguṇair dvijāḥ KDA_131d	tasmAt SIla-guNEH dvijAH KDA_131d
   tasmāc chīlaguṇair dvijāḥ KDA_262d	tasmAt SIla-guNEH dvijAH KDA_262d
   tasmāj jātir akāraṇam* KDA_122d	tasmAt jAtiH akAraNam* KDA_122d
   tasmāj jātir akāraṇam* KDA_123d	tasmAt jAtiH akAraNam* KDA_123d
   tasmāj jātir akāraṇam* KDA_124d	tasmAt jAtiH akAraNam* KDA_124d
   tasmāj jātir akāraṇam* KDA_125d	tasmAt jAtiH akAraNam* KDA_125d
   tasmāj jātir akāraṇam* KDA_126d	tasmAt jAtiH akAraNam* KDA_126d
   tasmāj jātir akāraṇam* KDA_127d	tasmAt jAtiH akAraNam* KDA_127d
   tasmāj jñānapramāṇena KDA_219a	tasmAt jQAna-pramANena KDA_219a
   tasmāj jñānaṃ vinā naiva KDA_217c	tasmAt jQAnam vinA na-eva KDA_217c
   tasmāt kāruṇiko bhava KDA_275d	tasmAt kAruNikaH Bava KDA_275d
   tasmāt krodhaprahāṇāya KDA_368a	tasmAt kroDa-prahANAya KDA_368a
   tasmāt krodhavināśāya KDA_397c	tasmAt kroDa-vinASAya KDA_397c
