   bhāmatī	BAmatI
   citrākārīryādi	citrA kArIH yAdi
   FN: 2 śuṣyati sasye parjanyārthaṃ vihitakārīyāgaphalamihaivāvaśyakam /	FN: 2 Suzyati sasye parjanya arTam vihita kArI yAga Palam iha eva AvaSyakam /
   niyogānāmaniyataniyataphalānāmaihikaphaleti cet,	niyogAnAm aniyata niyata PalAnAmEhikaPalA iti ced ,
   na,gāndharvaśāstrārthepāsanāvāsanāyā ivāpūrvānapekṣāyāḥ ṣaṭjādisākṣātkāre	na,gAnDarva SAstra arTa IpAsanO= AsanAyAH iva apUrva anapekzAyAH zawja Adi sAkzAtkAre
   vedāntārthopāsanāvāsanāyā jīvabrahmabhāvasākṣātkāre 'napekṣāyā eva	vedAnta arTa upAsanO= AsanAyAH jIva brahma BAva sAkzAtkAre anapekzAyAH eva
   sāmarthyāt /	sAmarTyAt /
   tathā cāmṛtībhāvaṃ pratyahetutvādupāsanāpūrvasya,	taTA ca amRtIBAvam pratyahetu tvAt upAsanA pUrvasya,
   nāmṛtatvakāmastatkāryamavaboddhumarhati /	na amRta tva kAmaH tat kAryam avabodDum arhati /
   anyadicchatyanyatkarotīti hi vipratiṣiddham /	anyat icCati anyat karoti iti hi vipratizidDam /
   na ca tatkāmaḥ kriyāmeva kāryamavagamiṣyati nāpūrvamiti sāṃpratam,tasyā	na ca tad kAmaH kriyAm eva kAryam avagamizyati na apUrvam iti sAMprata m,tasyAH 
   mānāntarādeva tatsādhanatvapratītervidhervaiyarthyāt, na	mAna antarAt eva tad sADana tva pratIteH viDeH vEyarTyAt, na
   cāvaghātādividhitulyatā, tatrāpi niyamāpūrvasyānyato 'navagateḥ /	ca avaGAta Adi viDi tulya tA, tatra api niyamApUrvasya anyatas anavagateH /
   na ca brahmabhūyādanyadamṛtatvamārthavādikaṃ kiñcidasti, yena tatkāma	na ca brahma BUyAt anyat amRta tvam a arTa vAdikam kiQci d asti, yena tat kAma
   upāsanāyāmadhikriyeta,	upAsanAyAm aDikriyeta,
   FN: 3 'viśvajitā yajeta'ityaśrutādhikāramudāharaṇam / tatra 'sa svargaḥ	FN: 3  aviSva jitA yajeta aitya Sruta aDikAram udAharaNam / tatra asa svargaH
   syātsarvānpratyaviśiṣṭatvāt'iti sarvābhilaṣitasvargakāmanāvānadhikārī	syAt sarvAn pratyaviSizwa tvAt aiti sarva aBilazita svarga kAma nAvAn aDikArI
   kalpitaḥ / evamiha kalpane 'nityaphalakatvaṃ syāditi bhāvaḥ /	kalpitaH / evam iha kalpane anitya Palaka tvam syAt iti BAvaH /
   viśvajinnyāyena tu svargakalpanāyāṃ tasya sātiśayatvaṃ kṣayitvaṃ ceti na	viSva jit nyAyena tu svarga kalpanAyAm tasya sa atiSaya tvam kzayitvam ca iti na
   nityaphalatvamupāsanāyāḥ /	nitya Pala tvam upAsanAyAH /
   tasmādbrahmabhūyasyāvidyāpidhānāpanayamātreṇāvirbhāvāt, avidyāpanayasya ca	tasmAt brahma BUyasya avidyA piDAna apanaya mAtreNa AvirBAva at, avidyA apanayasya ca
   vedāntārthavijñānādavagatiparyantādeva saṃbhavāt, upāsanāyāḥ	vedAnta arTa vijQAnAt avagati paryantAt eva saMBavAt, upAsanAyAH
   saṃskārahetubhāvasya saṃskārasya ca sākṣātkāropajanane manaḥsācivyasya ca	saMskAra hetu BAvasya saMskArasya ca sAkzAtkAra upajanane manaH sAcivyasya ca
   mānāntarasiddhatvāt, 'ātmetyevopāsīta'iti na vidhiḥ,api tu vidhisarūpo	mAna antara sidDa tvAt, aAtmA iti eva upAsIta aiti na viDiH,api tu viDi sarUpaH 
   'yam /	ayam /
   yathopāṃśuyājavākye 'viṣṇurupāṃśu yaṣṭavyaḥ'ityādayo vidhisarūpā na	yaTA upAMSu yAja vAkye avizNuH upAMSu yazwavyaH aitya AdayaH viDi sarUpAH na
   vidhayaḥ iti tātparyārthaḥ /	viDayaH iti tAtparya arTaH /
   śrutismṛtinyāyaprasiddham ityuktam /	Sruti smRti nyAya prasidDam iti uktam /
   tatra śrutiṃ darśayati tathā ca śrutiriti /	tatra Srutim darSayati  taTA ca SrutiH iti /
   nyāyamāha ata eveti /	nyAyam Aha ate eva iti /
   yatkila svābhāvikaṃ tannityam, yathā caitanyam /	yat kila svABAvikam tat nityam, yaTA cEtanyam /
   svābhāvikaṃ cedam,tasmānnityam /	svABAvikam ca idam ,tasmAt nityam /
   pare hi dvayīṃ nityatāmāhuḥ kūṭasthanityatā pariṇāminityatāṃ ca /	pare hi dvayIm nityatAm AhuH  kUwa sTa nitya tA pariNAmi nityatAm ca /
   tatra nityamityukte mā bhūdasya	tatra nityam iti ukte mA BUt asya
   FN: 1 pariṇāmo nāma pūrvarūpaparityāgena rūpāntarāpattiḥ /	FN: 1 pariNAmaH nAma pUrvarUpa parityAgena rUpa antara ApattiH /
   pariṇāminityatetyāha tatra kiñciditi /	pariNAmi nityatA iti Aha tatra kiQcid iti /
   pariṇāminityatā hi na pāramārthikī /	pariNAmi nityatA hi na pAramArTikI /
   tathā hi tatsarvātmanā vā pariṇamedekadeśena vā /	taTA hi tat sarva AtmanA vA pariNamet eka deSena vA /
   sarvātmanā pariṇāme kathaṃ na tattvavyāhṛtiḥ /	sarva AtmanA pariNAme kaTam na tattva vyAhRtiH /
   ekadeśapariṇāme vā sa ekadeśastato bhinno vā abhinno vā /	eka deSa pariNAme vA saH eka deSaH tatas BinnaH vE aBinnaH vA /
   bhinnaścet kathaṃ tasya pariṇāmaḥ /	BinnaH ced kaTam tasya pariNAmaH /
   na hyanyasmin pariṇamamāne 'nyaḥ pariṇamati, atiprasaṅgāt /	na hi anyasmin pariNamamAne anyaH pariNamati, atiprasaFgAt /
   abhede vā kathaṃ na sarvātmanā pariṇāmaḥ /	aBede vA kaTam na sarva AtmanA pariNAmaH /
   bhinnābhinnaṃ taditi cet,tathā hi tadeva kāraṇātmanābhinnam, bhinnaṃ ca	Binna aBinnam tat iti cet,taTA hi tat eva kAraNa AtmanA aBinnam, Binnam ca
   kāryātmanā, kaṭakādaya ivābhinnā hāṭakātmanā bhinnāśca kaṭakādyātmanā /	kArya AtmanA, kawaka AdayaH iva aBinnAH hAwaka AtmanA BinnAH ca kawaka Adi AtmanA /
   na ca bhedābhedayorvirodhānnaikatra samavāya iti yuktam /	na ca Beda aBedayoH viroDAt na ekatra samavAyaH iti yuktam /
   FN: 2 yatpramāṇaviparyayeṇa virodhena vartate tadviruddhamiti kva	FN: 2 yat pramANa viparyayeNa viroDena vartate tat virudDam iti kva
   saṃpratyaya iti yojanā /	saMpratyayaH iti yojanA /
   viruddhamiti naḥ kva saṃpratyayoyatpramāṇaviparyayeṇa vartate /	virudDam iti naH kva saMprati ayoyat pramANa viparyayeNa vartate /
   yattu yathā pramāṇenāvagamyate tasya tathābhāva eva /	yat tu yaTA pramANena avagamyate tasya taTA aBAvaH eva /
   kuṇḍalamidaṃ suvarṇamiti sāmānādhikaraṇyapratyaye ca vyaktaṃ bhedābhedau	kuNxalam idam suvarNam iti sAmAnADikaraNya pratyaye ca vyaktam Beda aBedO
   cakāstaḥ /	cakAstaH /
   tathā hi ātyantike 'bhede 'nyatarasya dviravabhāsaprasaṅgaḥ /	taTA hi A Atyantike aBede anyatarasya dvi s ava BAsa prasaFgaH /
   bhede cātyantike na sāmānādhikaraṇyaṃ gavāśvavat /	Bede ca atyantike na sAmAnADikaraNyam gavASva vat /
   ādhārādheyabhāve ekāśrayatve vā na sāmānādhikaraṇyam,na hi bhavati kuṇḍaṃ	ADAra ADeya BAve eka ASraya tve vA na sAmAnADikaraNyam,na hi Bavati kuNxam
   badaramiti /	badaram iti /
   nāpyekāsanasthayoścaitramaitrayoścaitro maitra iti /	na api eka Asana sTayoH cEtra mEtrayoH cEtraH mEtraH iti /
   so 'yamabādhito 'saṃdigdhaḥ sarvajanīnaḥ sāmānādhikaraṇyapratyaya eva	saH ayam abADitaH asaMdigDaH sarva janInaH sAmAnADikaraNya pratyayaH eva
   kāryakāraṇayorbhedābhedau vyavasthāpayati /	kArya kAraNayoH Beda aBedO vyavasTApayati /
   tathā ca kāryāṇāṃ kāraṇātmatvāt, kāraṇasya ca sadrūpasya sarvatrānugamāt,	taTA ca kAryANAm kAraNa Atma tvAt, kAraNasya ca sat rUpasya sarvatra anugamAt,
   sadrūpeṇābhedaḥ kāryasya jagataḥ,bhedaḥ kāryarūpeṇa goghaṭādineti /	sat rUpeNa aBedaH kAryasya jagataH,BedaH kArya rUpeNa go Gawa AdinA iti /
   yathāhuḥ 'kāryarūpeṇa nānātvamabhedaḥ kāraṇātmanā /	yaTA AhuH  akArya rUpeNa nAnAtvam aBedaH kAraNa AtmanA /
   hemātmanā yathābhedaḥ kuṇḍalādyātmanā bhidā //	hema AtmanA yaTA BedaH kuNxala Adi AtmanA BidA //
   'iti /	aiti /
   atrocyate kaḥ punarayaṃ bhedo nāma, yaḥ sahābhedenaikatra bhavet /	atra ucyate kaH punar ayam BedaH nAma, yaH saha aBedena ekatra Bavet /
   parasparābhāva iti cet, kimayaṃ kāryakāraṇayoḥ kaṭakahāṭakayorasti na vā /	paraspara aBAvaH iti cet, kim ayam kArya kAraNayoH kawakahAwakayoH asti na vA /
   na cet, ekatvamevāsti, na ca bhedaḥ /	na cet, eka tvam eva asti, na ca BedaH /
   asti cet bheda eva, nābhedaḥ /	asti ced BedaH eva, nABedaH /
   na ca bhāvābhāvayoravirodhaḥ, sahāvasthānāsaṃbhavāt /	na ca BAva aBAvayoH aviroDaH, saha avasTAna asaMBavAt /
   saṃbhave vā kaṭakavardhamānakayorapi tattvenābhedaprasaṅgaḥ,	saMBave vA kawaka varDamAnakayoH api tattvena aBeda prasaFgaH,
   bhedasyābhedāvirodhāt /	Bedasya aBeda aviroDAt /
   api ca kaṭakasya hāṭakādabhede yathā hāṭakātmanā kaṭakamukuṭakuṇḍalādayo	api ca kawakasya hAwakAt aBede yaTA hAwaka AtmanA kawaka mukuwa kuNxala AdayaH 
   na bhidyante evaṃ kaṭakātmanāpi na bhidyeran, kaṭakasya hāṭakādabhedāt /	na Bidyante evam kawaka AtmanA api na Bidyeran, kawakasya hAwakAt aBedAt /
   tathā ca hāṭakameva vastusanna kaṭakādayaḥ, bhedasyāpratibhāsanāt /	taTA ca hAwakam eva vastu sanna kawaka AdayaH, Bedasya apratiBAsanAt /
   atha hāṭakatvenaivābhedo na kaṭakatvena,tena tu bheda eva kuṇḍalādeḥ /	aTa hAwaka tvena eva aBedaH na kawaka tvena,tena tu BedaH eva kuNxala AdeH /
   yadi hāṭakādabhinnaḥ kaṭakaḥ kathamayaṃ kuṇḍalādiṣu nānuvartate /	yadi hAwakAdaBinnaH kawakaH kaTam ayam kuNxala Adizu na anuvartate /
   nānuvartate cet kathaṃ hāṭakādabhinnaḥ kaṭakaḥ /	na anuvartate ced kaTam hAwakAdaBinnaH kawakaH /
   ye hi yasminnanuvartamāne vyāvartante te tato bhinnā eva, yathā	ye hi yasmin= anuvartamAne vyAvartante te tatas BinnA eva, yaTA
   sūtrātkusumabhedāḥ /	sUtrAt kusuma BedAH /
   nānuvartante cānuvartamāne 'pi hāṭakatve kuṇḍalādayaḥ,tasmātte 'pi	na anuvartante ca anuvartamAne api hAwaka tve kuNxala AdayaH,tasmAt te api
   hāṭakādbhinnā eveti /	hAwakAt BinnAH eva iti /
   sattānuvṛttyā ca sarvavastvanugame 'idamiha nedam, idamevaṃ nedam'iti	sattA anuvRttyA ca sarva vastu anugame aidam iha na idam, idam evam na idam aiti
   vibhāgo na syāt /	viBAgaH na syAt /
   kasyacit kvacit kadācit kathañcidvivekahetorabhāvāt /	kasyacid kvacid kadAcid kaTaQcid viveka hetoH aBAvAt /
   api ca dūrātkanakamityavagate na tasya kuṇḍalādayo viśeṣā jijñāsyeran,	api ca dUrAt kanakam iti avagate na tasya kuNxala AdayaH viSezAH jijQAsyeran,
   kanakādabhedātteṣām, tasya ca jñātatvāt /	kanakAt aBedAt tezAm, tasya ca jQAta tvAt /
   atha bhedo 'pyasti kanakāt kuṇḍalādīnāmiti kanakāvagame 'pyajñātāste /	aTa BedaH api asti kanakAt kuNxala AdInAm iti kanaka avagame api ajQAtAH te /
   nanvabhedo 'pyastīti kiṃ na jñātāḥ /	nanu aBedaH api asti iti kim na jQAtAH /
   pratyuta jñānameva teṣāṃ yuktam,kāraṇābhāve hi kāryabhāva autsargikaḥ,sa	pratyuta jQAnam eva tezAm yuktam ,kAraNa aBAve hi kArya BAvaH OtsargikaH,sa
   ca kāraṇasattayā apodyate /	ca kAraNa sattayA apodyate /
   asti cābhede kāraṇasatteti kanake jñāte jñātā eva kuṇḍalādaya iti	asti ca aBede kAraNa sattA iti kanake jQAte jQAtAH eva kuNxala AdayaH iti
   tajjijñāsājñānāni cānarthakāni syuḥ /	tad jijQAsA jQAnAni ca anarTakAni syuH /
   tena yasmin gṛhyamāṇe yanna gṛhyate tattato bhidyate /	tena yasmin gRhyamANe yat na gRhyate tat tatas Bidyate /
   yathā karabhe gṛhyamāṇe 'gṛhyamāṇe rāsabhaḥ karabhāt /	yaTA karaBe gRhyamANe agRhyamANe rAsaBaH karaBAt /
   gṛhyamāṇe ca dūrato hemni na gṛhyante tasya bhedāḥ kuṇḍalādayaḥ,tasmātte	gRhyamANe ca dUratas hemni na gRhyante tasya BedAH kuNxala AdayaH,tasmAt te
   hemno bhidyante /	hemnaH Bidyante /
   kathaṃ tarhi hema kuṇḍalamiti sāmānādhikaraṇyam iti cet, na	kaTam tarhi hema kuNxalam iti sAmAnADikaraNyam iti cet, na
   hyādhārādheyabhāve samānāśrayatve vā sāmānādhikaraṇyamityuktam /	hi ADAra ADeya BAve samAna ASraya tve vA sAmAnADikaraNyam iti uktam /
   athānuvṛttivyāvṛttivyavasthā ca hemni jñāte kuṇḍalādijijñāsā ca katham /	aTa anuvRtti vyAvRtti vyavasTA ca hemni jQAte kuNxala Adi jijQAsA ca kaTam /
   na khalvabhede aikāntike 'naikāntike caitadubhayamupapadyate ityuktam /	na Kalva Bede EkAntike anEkAntike ca etat uBayam upapadyate iti uktam /
   tasmādbhedābhedayoranyatarasminnavaheye 'bhedo pādānaiva bhedakalpanā, na	tasmAt Beda aBedayoH anyatarasmin= avaheye aBedaH pAdAnA eva Beda kalpanA, na
   bhedopādānābhedakalpaneti yuktam /	Beda upAdAna aBeda kalpanA iti yuktam /
   bhidyamānatantratvādbhedasya, bhidyamānānāṃ ca pratyekamekatvāt, ekābhāve	BidyamAna tantra tvAt Bedasya, BidyamAnAnAm ca pratyekam eka tva at, eka aBAve
   cānāśrayasya bhedasyāyogāt, ekasya ca bhedānadhīnatvāt, nāyamayaṃ iti ca	ca anASrayasya Bedasya ayogAt, ekasya ca Beda an aDIna tva at, na aya mayam iti ca
   bhedagrahasya pratiyogigrahasāpekṣatvāt, ekatvagrahasya cānyānapekṣatvāt,	Beda grahasya pratiyogi graha sApekza tva at, eka tva grahasya ca anya anapekza tvAt,
   abhedopādānaivānirvacanīyabhedakalpaneti sāṃpratam /	aBeda upAdAna eva anirvacanIya Beda kalpanA iti sAMpratam /
   tathā ca śrutiḥ 'mṛttiketyeva satyam'iti /	taTA ca SrutiH  amRttikA iti eva satyam aiti /
   tasmāt kūṭasthanityataiva pāramārthikī na pariṇāminityateti siddham /	tasmAt kUwasTa nitya tA eva pAramArTikI na pariNAmi nitya tA iti sidDam /
   vyomavat iti ca dṛṣṭāntaḥ parasiddhaḥ, asmanmate tasyāpi	vyoma vat iti ca dRzwAntaH para sidDaH, asmad mate tasya api
   kāryatvenānityatvāt /	kAryatvena anitya tvAt /
   atra cakūṭasthanityamiti nirvartyakarmatāmapākaroti /	atra cakUwasTa nityam iti nirvartya karmatAm apAkaroti /
   sarvavyāpi iti prāpyakarmatām /	sarva vyApi iti prApya karmatAm /
   sarvavikriyārahitam iti vikāryakarmatām /	sarva vikriyA rahitam iti vikArya karmatAm /
   niravayavam iti saṃskāryakarmatām /	niravayavam iti saMskArya karmatAm /
   vrīhīṇāṃ khalu prokṣaṇena saṃskārākhyoṃ'śo yathā janyate, naivaṃ brahmaṇi	vrIhINAm Kalu prokzaNena saMskAra AKyoM aSaH yaTA janyate, na evam brahmaNi
   kaścidaṃśaḥ kriyādheyo 'sti, anavayavatvāt /	kaScid aMSaH kriyADeyaH asti, anavayava tvAt /
   anaṃśatvādityarthaḥ /	anaMSa tvAt iti arTaH /
   puruṣārthatāmāha nityatṛptamiti /	puruza arTa tAm Aha  nitya tRptam iti /
   tṛptyā duḥkharahitaṃ sukhamupalakṣayati /	tRptyA duHKa rahitam suKam upalakzayati /
   kṣudduḥkhanivṛttisahitaṃ hi sukhaṃ tṛptiḥ /	kzuD duHKa nivRtti sahitam hi suKam tRptiH /
   sukhaṃ cāpratīyamānaṃ na puruṣārthaṃ ityata āha svayañjyotiriti /	suKam ca apratIyamAnam na puruza arTam iti atas Aha svayan jyotiH iti /
   tadevaṃ svamatena mokṣākhyaṃ phalaṃ nityaṃ śrutyādibhirupapādya	tat evam sva matena mokza AKyam Palam nityam Sruti AdiBiH upapAdya
   kriyāniṣpādyasya tu mokṣasyānityatvaṃ prasañjayati tadyadīti /	kriyA nizpAdyasya tu mokzasya anitya tvam prasaQjayati tat yadi iti /
   na cāgamabādhaḥ, āgamasyoktena prakāreṇopapatteḥ /	na ca Agama bADaH, Agamasya uktena prakAreNa upapatteH /
   api ca jñānajanyāpūrvajanito mokṣo naiyogika ityasyārthasya santi	api ca jQAna janyA pUrva janitaH mokzaH nEyogikaH iti asya arTasya santi
   bhūyasyaḥ śrutayo nivārikā ityāha api ca brahma vedeti /	BUyasyaH SrutayaH nivArikAH iti Aha api ca brahma veda iti /
   avidyādvayapratibandhāpanayamātreṇa ca vidyāyā mokṣasādhanatvam na svato	avidyA dvaya pratibanDa apanaya mAtreNa ca vidyAyAH mokza sADana tvam na svatas 
   'pūrvotpādena cetyatrāpi śrutīrudāharati tvaṃ hi naḥ piteti /	apUrva utpAdena ca iti atra api Sru tIru dAha rati  tvam hi naH pitA iti /
   na kevalamasminnarthe śrutyādayaḥ, api tvakṣapādācāryasūtramapi	na kevalam asmin= arTe Sruti AdayaH, api tu akzapAt a AcArya sUtram api
   nyāyamūlamastītyāha tathā cācāryapraṇītamiti /	nyAya mUlam asti iti Aha  taTA ca AcArya praNItam iti /
   ācāryaścoktalakṣaṇaḥ purāṇe 'ācinoti ca śāstrārthamācāre sthāpayatyapi /	AcAryaH ca ukta lakzaNaH purANe  aAcinoti ca SAstra arTam AcAre sTApayati api /
   svayamācarate yasmādācāryastena cocyate //	svayam Acarate yasmAt AcAryaH tena ca ucyate //
   'iti /	aiti /
   tena hi praṇītaṃ	tena hi praNItam
   sūtram 'duḥkhajanmapravṛttidoṣamithyājñānānāmuttarottarāpāye	sUtram  aduHKa janma pravRtti doza miTyA jQAnAnAm uttarottara apAye
   tadanantarāpāyādapavargaḥ'iti /	tad anantara apAyAt apavargaH aiti /
   pāṭhāpekṣayā kāraṇamuttaram, kāryaṃ ca pūrvam,kāraṇāpāye kāryāpāyaḥ,	pAWA apekzayA kAraNam uttaram, kAryam ca pUrvam ,kAraNa apAye kArya apAyaH,
   kaphāpāye iva kaphodbhavasya jvarasyāpāyaḥ /	kaPa apAye iva kaPa udBavasya jvarasya apAyaH /
   janmāpāye duḥkhāpāyaḥ,	janma apAye duHKa apAyaH,
   pravṛttyapāye janmāpāyaḥ,doṣāpāye pravṛttyapāyaḥ,mithyājñānāpāye doṣāpāyaḥ	pravRtti apAye janma apAyaH,doza apAye pravRtti apAyaH,miTyA jQAna apAye doza apAyaH
   mithyājñānaṃ cāvidyā rāgādyupajananakrameṇa dṛṣṭenaiva saṃsārasya paramaṃ	miTyAjQAnam ca avidyA rAga Adi upajanana krameNa dRzwena eva saMsArasya paramam
   nidānam /	nidAnam /
   sā ca tattvajñānena brahmātmaikatvavijñānenaivāvagatiparyantena virodhinā	sA ca tattva jQAnena brahma AtmA eka tva vijQAnena eva avagati paryantena viroDinA
   nivartyate /	nivartyate /
   tato 'vidyānivṛttyā brahmarūpāvirbhāvo mokṣaḥ /	tatas avidyA nivRttyA brahma rUpa AvirBAvaH mokzaH /
   na tu vidyākāryastajjanitāpūrvakāryo veti sūtrārthaḥ /	na tu vidyA kAryaH tad janitA pUrva kAryaH vA iti sUtra arTaH /
   tattvajñānānmithyājñānāpāya ityetāvanmātreṇa sūtropanyāsaḥ,na	tattva jQAnAt miTyAjQAna apAyaH iti etAvat mAtreNa sUtra upanyAsaH,na
   tvakṣapādasaṃmataṃ tattvajñānamiha saṃmatam /	tu akza pAda saMmatam tattva jQAnam iha saMmatam /
   tadanenācāryāntarasaṃvādenāyamartho dṛḍhīkṛtaḥ /	tat anena AcArya antara saMvAdena ayam arTaH dRXIkRtaH /
   syādetat /	syAt etat /
   naikatvavijñānaṃ yathāvasthitavastuviṣayam, yena mithyājñānaṃ	na ekatva vijQAnam yaTA avasTita vastu vizayam, yena miTyAjQAnam
   bhedāvabhāsaṃ nivartayanna vidhiviṣayo bhavet /	Beda avaBAsam nivartayan na viDi vizayaH Bavet /
   api tu	api tu
   FN: 1 āropyapradhānā saṃpat /	FN: 1 Aropya praDAnA saMpad /
   saṃpadādirūpam /	saMpad Adi rUpam /
   tathā ca vidheḥ prāgaprāptaṃ puruṣecchayā kartavyaṃ sat vidhigocaro	taTA ca viDeH prAc aprAptam puruza icCayA kartavyam sat viDi gocaraH 
   bhaviṣyati /	Bavizyati /
   yathā vṛttyantaratvena manaso viśvedevasāmyādviśvāndevānmanasi saṃpādya	yaTA vRtti antara tvena manasaH viSvedeva sAmyAt viSvAn devAn manasi saMpAdya
   mana ālambanamavidyamānasamaṃ kṛtvā prādhānyena saṃpādyānāṃ viśveṣāmeva	manaH Alambanam avidyamAna samam kRtvA prADAnyena saMpAdyAnAm viSvezAm eva
   devānāmanucintanam, tena cānantalokaprāptiḥ /	devAnAm anucintanam, tena ca ananta loka prAptiH /
   evaṃ cidrūpasāmyājjīvasya brahmarūpatāṃ saṃpādya	evam cit rUpa sAmyAt jIvasya brahma rUpa tAm saMpAdya
   jīvamālambanamavidyamānasamaṃ kṛtvā prādhānyena brahmānucintanam, tena	jIvam Alambanam avidyamAna samam kRtvA prADAnyena brahma anucintanam, tena
   cāmṛtatvaphalaprāptiḥ /	ca amRta tva Pala prAptiH /
   adhyāse tvālambanasyaiva prādhānyenāropitatadbhāvasyānucintanam,yathā	aDyAse tu Alambanasya eva prADAnyena Aropita tad BAvasya anucintanam ,yaTA
   'mano brahmetyupāsīta', 'ādityo brahmetyādeśaḥ' /	amanaH brahma iti upAsIta a, aAdityaH brahma iti AdeSaH a /
   evaṃ jīvamabrahma 'brahmetyupāsīta'iti /	evam jIvam abrahma abrahma iti upAsIta aiti /
   kriyāviśeṣayogādvā, yathā 'vāyurvāva saṃvargaḥ', 'prāṇo vāva saṃvargaḥ'iti	kriyA viSeza yogAt vA, yaTA avAyuH vAva saMvargaH a, aprANaH vAva saMvargaH aiti
   bāhyānkhalu vāyudevatā vahnyādīn saṃvṛṅkte /	bAhyAn Kalu vAyudevatAH vahni AdIn saMvRFkte /
   mahāpralayasamaye hi vāyurvahnyādīnsaṃvṛjya saṃhṛtyātmani sthāpayati /	mahApralaya samaye hi vAyuH vahni AdIn saMvRjya saMhRtya Atmani sTApayati /
   yathāha draviḍācāryaḥ 'saṃharaṇādvā saṃvaraṇādvā svātmībhāvādvāyuḥ	yaTA Aha dravixa AcAryaH  asaMharaNAt vA saMvaraNAt vA sva AtmIBAvAt vAyuH
   saṃvargaḥ'iti /	saMvargaH aiti /
   adhyātmaṃ ca prāṇaḥ saṃvarga iti /	aDyAtmam ca prANaH saMvargaH iti /
   sa hi sarvāṇi vāgādīni saṃvṛṅkte /	sa hi sarvANi vAc AdIni saMvRFkte /
   prāyaṇakāle hi sa eva sarvāṇīndriyāṇi saṃgṛhyotkrāmatīti /	prAyaNa kAle hi saH eva sarvANi indriyANi saMgRhya utkrAmati iti /
   seyaṃ saṃvargadṛṣṭirvāyau prāṇe ca daśāśāgataṃ jagaddarśayati yathā, evaṃ	sA iyam saMvarga dRzwiH vAyO prANe ca daSa ASA gatam jagat darSayati yaTA, evam
   jīvātmani bṛṃhaṇakriyayā brahmadṛṣṭismṛtatvāya phalāya kalpata iti /	jIvAtmani bRMhaNa kriyayA brahma dRzwi smRta tvAya PalAya kalpate iti /
   tadeteṣu triṣvapi pakṣeṣvātmadarśanopāsanādayaḥ	tat etezu trizu api pakzezu Atma darSana upAsana AdayaH
   pradhānakarmāṇyapūrvaviṣayatvāt,	praDAna karmANi apUrva vizaya tvAt,
   FN: 2 stutaśastravaditi / 'ājyaiḥ stuvate praugaṃ śaṃsati iti stutaśastre	FN: 2 stuta Sastra vat iti / aAjyEH stuvate prOgam SaMsati iti stuta Sastre
   samāmnāte, pragītamantrasādhyaṃ devatāguṇasaṃbandhābhidhānaṃ stotram /	samAmnAte, pragIta mantra sADyam devatA guNa saMbanDa aBiDAnam stotram /
   apragītamantrasādhyaṃ śastram / te mantrairevārthaḥ smartavyaḥ'iti	apragIta mantra sADyam Sastram / te mantrEH eva arTaH smartavyaH aiti
   niyamāddevatāprakāśanasaṃskārārthatvena guṇakarmaṇi vā apūrvārthatvena	niyamAt devatA prakASana saMskAra arTa tvena guNa karmaNi vA apUrva arTa tvena
   pradhānakarmaṇi veti saṃdehe kratūpayogidevatāsmaraṇasya	praDAna karmaNi vA iti saMdehe kratu upayogi devatA smaraNasya
   dṛṣṭatvādguṇakarmatve prāpte siddhāntaḥ guṇābhidhānena	dRzwa tvAt guNa karma tve prApte sidDAntaH  guNa aBiDAnena
   svarūpaprakāśanarūpastutiriha vihitā śrūyate 'stuvate' 'śaṃsati'iti /	sva rUpa prakASana rUpa stutiH iha vihitA SrUyate astuvate a aSaMsati aiti /
   abhidhānavivakṣāyāṃ stuterasaṃbhavāt, stautiśaṃsatī apūrvotpattiṃ prati	aBiDAna vivakzAyAm stuteH asaMBavAt, stOti SaMsatI apUrva utpattim prati
   stotraśastre vidadhyātāmiti / evamihātmopāsanadarśane	stotra Sastre vidaDyAtAm iti / evam iha Atma upAsana darSane
   pradhānakarmetyaśayaḥ /	praDAna karma iti aSayaH /
   stutaśastravat /	stuta Sastra vat /
   ātmā tu dravyaṃ karmaṇi guṇa iti saṃskāro vātmano darśanaṃ vidhīyate /	AtmA tu dravyam karmaNi guNaH iti saMskAraH vA AtmanaH darSanam viDIyate /
   yathā darśapūrṇamāsaprakaraṇe 'patnyavekṣitamājyaṃ bhavati'iti samāmnātam,	yaTA darSa pUrNamAsa prakaraNe apatni avekzitam Ajyam Bavati aiti samAmnAtam,
   prakaraṇinā ca gṛhītamupāṃśuyāgāṅgabhūtājyadravyasaṃskāratayāvekṣaṇaṃ	prakaraNinA ca gRhItam upAMSuyAga aFga BUta Ajya dravya saMskAra tayA avekzaNam
   guṇakarma vidhīyate, evaṃ kartṛtvena kratvaṅgabhūte ātmani 'ātmā vā are	guNa karma viDIyate, evam kartR tvena kratu aFga BUte Atmani aAtmA vE are
   draṣṭavyaḥ'iti darśanaṃ guṇakarma vidhīyate /	drazwavyaH aiti darSanam guNa karma viDIyate /
   FN: 3 (jai. 2 / 1 / 8) tasyārthaḥ yairavaghātādirdravyaṃ cikīrṣyate	FN: 3 (jE. 2 / 1 / 8) tasya arTaH yEH avaGAta AdiH dravyam cikIrzyate
   saṃskartumiṣyate guṇastatra pratīyeta /	saMskartum izyate guNaH tatra pratIyeta /
   dravye guṇabhūtaṃ karma pratīyetetyarthaḥ /	dravye guNa BUtam karma pratIyeta iti arTaH /
