   %p. 58	%p. 58
   asamarthāḥ---iti matvāha nanu yāgadānahomaśabdāḥ iti |	asamarTAH---iti matvA-Aha nanu yAga-dAna-homa-SabdAH iti |
   atrocyate |	atra-ucyate |
   %p. 69	%p. 69
   yāgadānādanusyūto bhāvanātmāvagamyate /	yAga-dAnAt-anusyUtaH BAvanA-Atma-avagamyate /
   nityam ākhyātaśabdebhyas tasmād bhāvārthateṣyate // 12 //	nityam AKyAta-SabdeByaH tasmAt BAva-arTa-tA-izyate // 12 //
   yāvān eva hy ananyalabhyo 'rthaḥ śabdād gamyate, sa sarvaḥ śabdārthaḥ |	yAvAn eva hi ananyalaByaH arTaH SabdAt gamyate, sa sarvaH Sabda-arTaH |
   sarvatra cākhyāte dhātvarthaś ca tadanuraktā ca bhāvanā vijñāyate |	sarvatra ca-AKyAte DAtu-arTaH ca tad-anuraktA ca BAvanA vijQAyate |
   tasmād bhāvārthatvavyapadeśaḥ |	tasmAt BAva-arTa-tva-vyapadeSaH |
   tadvyatiriktās tu dravyaguṇaśabdā vijñāyanta eveti na pṛṣṭāḥ |	tad-vyatiriktAH tu dravya-guNa-SabdAH vijQAyante eva-iti na pRzwAH |
   tatra dravyādiśabdānāṃ niṣpannārthābhidhāyinām /	tatra dravya-Adi-SabdAnAm nizpanna-arTa-aBiDAyinAm /
   karaṇārthatvayogyatvāt prāpnoti phalasaṃgatiḥ // 13 //	karaNa-arTa-tva-yogya-tvAt prApnoti Pala-saMgatiH // 13 //
   sarvatra hi phalaṃ sādhyatvāt siddharūpaṃ sādhanam apekṣate, na	sarvatra hi Palam sADya-tvAt sidDa-rUpam sADanam apekzate, na
   sādhyāntaram |	sADya-antaram |
   nāmārthaś ca siddhatvāt tadapekṣāpūraṇasamarthaḥ, nākhyātārthaḥ |	nAma-arTaH ca sidDa-tvAt tad-apekzA-pUraNa-samarTaH, na-AKyAta-arTaH |
   svayam eva sādhyatvāt |	svayam eva sADya-tvAt |
   tasmāt dravyādibhiḥ phalam---iti prāpte, sūtreṇottaraṃ dīyate |	tasmAt dravya-AdiBiH Palam----iti prApte, sUtreNa-uttaram dIyate |
   bhāvārthāḥ karmaśabdā ye tebhyo 'pūrvakriyāgatiḥ /	BAva-arTAH karma-SabdAH ye teByaH apUrva-kriyA-gatiH /
   taiḥ kuryād yajinā svargam eṣa hy artho vidhīyate // 14 //	tEH kuryAt yajinA svargam eza hi arTaH viDIyate // 14 //
   phalasaṃbandho hetur apūrvapratipatteḥ |	Pala-saMbanDaH hetuH apUrva-pratipatteH |
   saṃbandhaś cākāṅkṣāpūrvakaḥ |	saMbanDaH ca-akAFkzA-pUrvakaH |
   sā ca bhāvaśabdebhyaḥ prasarpantī dṛśyate, na dravyaguṇaśabdebhyaḥ |	sA ca BAva-SabdeByaH prasarpantI dRSyate, na dravya-guNa-SabdeByaH |
   tasmād ākhyātebhyaḥ apūrvabhāvanā gamyate |	tasmAt AKyAteByaH apUrva-BAvanA gamyate |
   tatra ca dhātvarthasya karaṇatvapratipattiḥ, pratyāsatteḥ |	tatra ca DAtu-arTasya karaNa-tva-pratipattiH, pratyAsatteH |
   atas tenaiva phalakaraṇabhūtenānyathānupapattyāpūrvaṃ bhāvyata ity	atas tena-eva Pala-karaNa-BUtena-anyaTA-anupapattyApUrvam BAvyate iti-
   avadhāryate |	avaDAryate |
   %p. 70	%p. 70
   kathaṃ punar yajyādīn pṛthak kṛtya kevalapratyayavācya eva bhāvanārtho	kaTam punar yaji-a-AdIn pRTak kRtya kevala-pratyaya-vAcyaH eva BAvanA-arTaH-
   labhyate bhāvayet iti. kutaḥ |	laByate BAvayet iti. kutas |
   abhidadhyuḥ svaśaktyā hi vidhimātraṃ liṅādayaḥ /	aBidaDyuH sva-SaktyA hi viDi-mAtram liFa-AdayaH /
   ṇyantasya bhavater arthaḥ kenāṃśenābhidhīyate // 15 //	Ni-antasya BavateH arTaH kena-aMSena-aBiDIyate // 15 //
   na ca dhātvantarārthaṃ yajyādayaḥ pratipādayanti, svārthamātravyāpṛtatvāt	na ca DAtu-antara-arTam yaji-AdayaH pratipAdayanti, sva-arTa-mAtra-vyApRta-tvAt
   ataḥ śabdarahitam evedam āropyate bhāvayet iti |	atas Sabda-rahitam eva-idam Aropyate BAvayet iti |
   kiñ ca	kiQ ca
   śabdāntarasya yo 'py arthaḥ paryāyair abhidhīyate /	Sabda-antarasya yaH api arTaH paryAyEH aBiDIyate /
   na sa tenaiva sahitas tasminn arthe prayujyate // 16 //	na sa tena-eva sahitaH tasmin arTe prayujyate // 16 //
   tad yathā pikam ānaya ity ukte yo nāmārthaṃ na pratipadyate, tasmai	tat yaTA pikam Anaya iti ukte yaH nAma-arTam na pratipadyate, tasmE
   kokilaśabdam eva kevalaṃ prayuñjate, na kokilaḥ pikaḥ iti, tathātra yady	kokila-Sabdam eva kevalam prayuQjate, na kokilaH pikaH iti, taTA-atra yadi-
   ākhyātasya karotir ṇyanto vā bhavatiḥ paryāyaḥ, tatas tadarthakathane	AKyAtasya karotiH Ni-antaH vA BavatiH paryAyaH, tatas tad-arTa-kaTane
   tanmātram eva prayoktavyam, nākhyātapratyayo 'pi |	tanmAtram eva prayoktavyam, na-AKyAta-pratyayaH api |
   na hi tadānīṃ vivicya jñāyate---kenāṃśena kriyā pratyāyyate---iti |	na hi tadAnIm vivicya jQAyate---kena-aMSena kriyA pratyAyyate---iti |
   atra tu bhāvayet kuryāt iti vā punar api liṅ prayujyate eva |	atra tu BAvayet kuryAt iti vA punar api liF prayujyate eva |
   ataś ca yo 'nena yajateḥ pareṇārthaḥ pratipāditaḥ, asau bhāvayater api	atas ca yaH anena yajateH pareNa-arTaH pratipAditaH, asO BAvayateH api
   pareṇa tenaivety adhikāvāpa eva bhāvayatiḥ |	pareNa tena-eva-iti aDika-AvApaH eva BAvayatiH |
   tasmād avaidika iti |	tasmAt avEdikaH iti |
   atrābhidhīyate |	atra-aBiDIyate |
   sarvatraiva tāvat	sarvatra-eva tAvat-
   siddhakartṛkriyāvāciny ākhyātapratyaye sati /	sidDa-kartR-kriyA-vAcinI AKyAta-pratyaye sati /
   sāmānādhikaraṇyena karotyartho 'vagamyate // 17 //	sAmAnADikaraNyena karoti-arTaH avagamyate // 17 //
   iha kebhyaścid dhātubhyaḥ parā tiṅvibhaktir uccāryamāṇā	iha keByaScit DAtuByaH parA tiFviBaktiH uccAryamANA
   kartrātmalābhamātram eva vyāpāraṃ pratipādayati |	kartR-Atma-lABa-mAtram eva vyApAram pratipAdayati |
   yathāstibhavatividyatibhyaḥ |	yaTA-astiBavati-vidyatiByaH |
   aparebhyas tu siddhe kartari anyātmalā-	apareByaH tu sidDe kartari anya-AtmalA-
   %p. 71	%p. 71
   bhaviṣayavyāpārapratītiḥ |	Bavizaya-vyApAra-pratItiH |
   yathā yajati dadāti paṭhati gacchati iti |	yaTA yajati dadAti paWati gacCati iti |
   dravyam eva ca viśīṣṭaśaktyupetaṃ pracalitātmatattvaṃ viprakīrṇasvabhāvaṃ	dravyam eva ca viSIzwa-Sakti-upetam pracalita-Atma-tattvam viprakIrNa-svaBAvam
   pūrvāparībhūtaṃ prathamāvasthātaḥ pracyutaṃ parām avasthām aprāptaṃ	pUrva-aparIBUtam praTama-avasTAtaH pracyutam parAm avasTAm aprAptam
   vyāpāraśabdavācyaṃ bhavati |	vyApAra-Sabda-vAcyam Bavati |
   tatra kadācit kartaivaivamavasthaḥ pratīyate |	tatra kadAcid kartA-eva-evam-avasTaH pratIyate |
   kadācit siddhe kartary anyaḥ |	kadAcid sidDe kartari anyaH |
   tad yadā kartur evaiṣāvasthā bhavati, tadāsau svayam evānyasmād ātmalābham	tat yadA kartuH eva-ezA-avasTA Bavati, tadA-asO svayam eva-anyasmAt Atma-lABam
   apekṣamāṇaḥ paraniṣpattāv avyāpriyamāṇatvān na karotiśabdavācyatāṃ bhajate	apekzamANaH para-nizpattO avyApriyamANa-tvAt na karoti-Sabda-vAcya-tAm Bajate
   yadā tu labdhātmako 'nyatra vyāpriyate, tadā karoti ity evam apadiśyate |	yadA tu labDa-AtmakaH anyatra vyApriyate, tadA karoti iti evam apadiSyate |
   tathā ca kiṃ karoti paṭhati gacchati iti sāmānyaviśeṣarūpeṇa	taTA ca kim karoti paWati gacCati iti sAmAnya-viSeza-rUpeNa
   sāmānādhikaraṇyaprayogo dṛśyate |	sAmAnADikaraNya-prayogaH dRSyate |
   na tu kiṃ karoti bhavati asti veti prayujyate |	na tu kim karoti Bavati asti vA-iti prayujyate |
   tasmāl labdhātmakakartṛvyāpāravacanāni karotyarthavanty ākhyātāni |	tasmAt labDa-Atmaka-kartR-vyApAra-vacanAni karoti-arTavanti AKyAtAni |
   tatra ca kriyamāṇena kenacid avaśyaṃ bhavitavyam |	tatra ca kriyamANena kenacid avaSyam Bavitavyam |
   kutaḥ |	kutas |
   karotiḥ kriyamāṇena na kaścit karmaṇā vinā /	karotiH kriyamANena na kaScid karmaNA vinA /
   bhavatyarthasya kartā ca karoteḥ karma jāyate // 18 //	Bavati-arTasya kartA ca karoteH karma jAyate // 18 //
   karoter nityaṃ sakarmakatvād yāvat kriyamāṇaṃ na labhyate, na tāvad arthaḥ	karoteH nityam sa-karmaka-tvAt yAvat kriyamANam na laByate, na tAvat arTaH
   paryavasyati |	paryavasyati |
   sarvakārakāṇāṃ cāvāntarakriyāsu kartṛtvaṃ pratipādyamānānāṃ	sarva-kArakANAm ca-avAntara-kriyAsu kartR-tvam pratipAdyamAnAnAm
   pradhānakriyāsu karmādi-	praDAna-kriyAsu karma-Adi-
   %p. 72	%p. 72
   vibhāgo jāyate |	viBAgaH jAyate |
   pratikriyaṃ ca yogyatābhedād avāntarakriyāvaicitryaṃ bhavati |	pratikriyam ca yogyatA-BedAt avAntara-kriyA-vEcitryam Bavati |
   tatrānvayavyatirekābhyām idam avagataṃ bhavatikriyāyāḥ kartā karoteḥ karma	tatra-anvaya-vyatirekAByAm idam avagatam Bavati-kriyAyAH kartA karoteH karma
   saṃpadyate iti |	saMpadyate iti |
   tathā hi	taTA hi
   nityaṃ na bhavanaṃ yasya yasya vā nityabhūtatā /	nityam na Bavanam yasya yasya vA nitya-BUta-tA /
   na tasya kriyamāṇatvaṃ khapuṣpākāśayor iva // 19 //	na tasya kriyamANa-tvam Ka-puzpa-AkASayoH iva // 19 //
   ya eva hi pravṛttabhavanaḥ saṃbhāvitabhavano vānyena prayujyate, sa eva	yaH eva hi pravRtta-BavanaH saMBAvita-BavanaH vA-anyena prayujyate, saH eva
   kriyamāṇatvenāvadhāryate, nānyaḥ |	kriyamANa-tvena-avaDAryate, na-anyaH |
   tathā ca na kaścit khapuṣpam ākāśaṃ vā kurvann upalabhyate |	taTA ca na kaScid Kapuzpam AkASam vA kurvan upalaByate |
   yatrāpi pādau kuru ityādiṣu niṣpannānāṃ karmaprayogo dṛśyate, tatrāpy	yatra-api pAdO kuru ityAdizu nizpannAnAm karma-prayogaH dRSyate, tatra-api-
   aniṣpannasaṃskārādivivakṣayā pādādiśabdaprayogād avyabhicāraḥ |	anizpanna-saMskAra-Adi-vivakzayA pAda-Adi-Sabda-prayogAt avyaBicAraH |
   saty api ca karoter anekārthatve sarvatra gandhanāvakṣepaṇādau kiñcid	sati api ca karoteH aneka-arTa-tve sarvatra ganDana-avakzepaNa-AdO kiQcid-
   anutpannotpādanasāmānyam avagamyate |	anutpanna-utpAdana-sAmAnyam avagamyate |
   atha vā yadāsyotpādanābhidhāyitvam, tadaiva viśiṣṭākhyātasāmānādhikaraṇyaṃ	aTa vA yadA-asya-utpAdana-aBiDAyi-tvam, tadA-eva viSizwa-AKyAta-sAmAnADikaraNyam
   dṛṣṭam iti tadgatasyotpādyamānam eva karma bhavatīty upapannam |	dRzwam iti tad-gatasya-utpAdyamAnam eva karma Bavati-iti upapannam |
   tena bhavatikriyā tāval labdhā |	tena Bavati-kriyA tAvat labDA |
   tataś ca	tatas ca
   karotyarthasya yaḥ kartā bhavituḥ sa prayojakaḥ /	karoti-arTasya yaH kartA BavituH sa prayojakaH /
   bhavitā tam apekṣyātha prayojyatvaṃ prapadyate // 20 //	BavitA tam apekzya-aTa prayojya-tvam prapadyate // 20 //
   %p. 73	%p. 73
   bhavatikarotyoḥ śaktibhedād viklidipacatyor iva niyataṃ	Bavati-karotyoH Sakti-BedAt viklidipa-catyoH iva niyatam
   prayojyaprayojakavyāpāravacanatvam |	prayojya-prayojaka-vyApAra-vacana-tvam |
   tatra ca (1) kadācid abhidhīyamānakarmaśaktyākṣiptaprayojyavyāpāro vā	tatra ca (1) kadAcid aBiDIyamAna-karma-Sakti-Akzipta-prayojya-vyApAraH vA
   svayam evākṣiptaprayojyavyāpāro vā kevalaṃ prayojakavyāpāra eva vivakṣyate	svayam eva-Akzipta-prayojya-vyApAraH vA kevalam prayojaka-vyApAraH eva vivakzyate
   kaṭaṃ karoti odanaṃ pacati iti |	kawam karoti odanam pacati iti |
   (2) kadācid ākṣiptaprayojakavyāpāraṃ prayojyavyāpāramātram ghaṭo bhavati	(2) kadAcid Akzipta-prayojaka-vyApAram prayojya-vyApAra-mAtram GawaH Bavati
   viklidyanti taṇḍulāḥ iti |	viklidyanti taNxulAH iti |
   (3) kadācid ubhau bhinnau samuccitya prayogaḥ karoti kaṭaṃ devadattaḥ, sa	(3) kadAcid uBO BinnO samuccitya prayogaH karoti kawam devadattaH, sa
   ca bhavati iti |	ca Bavati iti |
   (4) kadācid upasarjanībhūtaprayojakavyāpāraḥ prayojyavyāpāraḥ kriyate	(4) kadAcid upasarjanI-BUta-prayojaka-vyApAraH prayojya-vyApAraH kriyate
   devadattena iti, svayam eveti vā prayoge |	devadattena iti, svayam eva-iti vA prayoge |
   (5) kadācit punaḥ samānapadaikadeśopāttopasarjanībhūtaprayojyakriyaḥ	(5) kadAcid punar samAna-pada-eka-deSa-upAtta-upasarjanIBUta-prayojya-kriyaH
   prayojakavyāpāro vivakṣyate, tadā ca karotipacatyos tādātmyenāśakter	prayojaka-vyApAraH vivakzyate, tadA ca karoti-pacatyoH tAdAtmyena-aSakteH-
   arprayogāt, bhūviklidyoś ca kevalaprayojyakriyāniṣṭhatvān na sākṣāt	arprayoga-at, BU-viklidyoH ca kevala-prayojya-kriyA-nizWatvAt na sAkzAt-
   pravartituṃ śaktir astīti vācakatvena dyotakatvena vā ṇicparaḥ prayujyate	pravartitum SaktiH asti-iti vAcaka-tvena dyotaka-tvena vA Nid-paraH prayujyate
   bhāvayati vikledayati iti ca |	BAvayati vikledayati iti ca |
   tathā cāha---	taTA ca-aha---
   prayojyakartṛkaikāntavyāpārapratipādakāḥ /	prayojya-kartRkA-ekAnta-vyApAra-pratipAdakAH /
   ṇyantā eva prayujyante tatprayojakakarmasu // 21 //	Ni-antAH eva prayujyante tad-prayojaka-karmasu // 21 //
   na ca teṣām aṇyantānām aśaktir ity anyeṣām aśaktyā bhavitavyam, anyeṣāṃ vā	na ca tezAm aNi-antAnAm aSaktiH iti anyezAm aSaktyA Bavitavyam, anyezAm vA
   śaktir ity eṣām api tathā bhavitavyam |	SaktiH iti ezAm api taTA Bavitavyam |
   kutaḥ |	kutas |
   śaktayaḥ sarvabhāvānāṃ nānuyojyāḥ svabhāvataḥ /	SaktayaH sarva-BAvAnAm na-anuyojyAH svaBAvataH /
   tena nānā vadanty arthān prakṛtipratyayādayaḥ // 22 //	tena nAnA vadanti arTAn prakRti-pratyaya-AdayaH // 22 //
   %p. 74	%p. 74
   evaṃ karotyarthadvāreṇa sarvākhyāteṣu bhāvayatyarthaḥ siddhaḥ |	evam karoti-arTa-dvAreNa sarva-AKyAtezu BAvayati-arTaH sidDaH |
   tena bhūtiṣu kartṛtvaṃ pratipannasya vastunaḥ /	tena BUtizu kartR-tvam pratipannasya vastunaH /
   prayojakakriyām āhur bhāvanāṃ bhāvanāvidaḥ // 23 //	prayojaka-kriyAm AhuH BAvanAm BAvanA-vidaH // 23 //
   yat tūktaṃ na vidhivyatiriktaṃ liṅādayo 'rthaṃ vadantīti, tad ayuktam |	yat tu-uktam na viDi-vyatiriktam liFa-AdayaH arTam vadanti-iti, tat ayuktam |
   kutaḥ |	kutas |
   abhidhābhāvanām āhur anyām eva liṅādayaḥ /	aBiDA-BAvanAm AhuH anyAm eva liFa-AdayaH /
   arthātmabhāvanā tv anyā sarvākhyāteṣu gamyate // 24 //	arTa-Atma-BAvanA tu anyA sarva-AKyAtezu gamyate // 24 //
   yadā hi sarvākhyātānuvartinī karotidhātuvācyā puruṣavyāpārarūpā	yadA hi sarva-AKyAta-anuvartinI karoti-DAtu-vAcyA puruza-vyApAra-rUpA
   bhāvanāvagatā bhavati, tadā tadviśeṣāḥ	BAvanA-avagatA Bavati, tadA tad-viSezAH
   sāmānyākhyātavyatiriktaśabdaviśeṣavācyā	sAmAnya-AKyAta-vyatirikta-Sabda-viSeza-vAcyA
   vidhipratiṣedhabhūtabhaviṣyadvartamānādayaḥ pratīyante |	viDi-pratizeDa-BUta-Bavizyat-vartamAna-AdayaH pratIyante |
   tathā ca sarvatra sāmānyataḥ karotyartho 'vagamyate, kiṃ karoti? pacati,	taTA ca sarvatra sAmAnyatas karoti-arTaH avagamyate, kim karoti? pacati,
   kim akārṣīt? apākṣīt, kiṃ kariṣyati? pakṣyati, kiṃ kuryāt? pacet, kiṃ na	kim akArzIt? apAkzIt, kim karizyati? pakzyati, kim kuryAt? pacet, kim na
   kuryāt? na pacet iti |	kuryAt? na pacet iti |
   tatrārthātmikāyāṃ bhāvanāyāṃ liṅādiśabdānāṃ yaḥ puruṣaṃ prati	tatra-arTa-AtmikAyAm BAvanAyAm liFA-Adi-SabdAnAm yaH puruzam prati
   prayojakavyāpāraḥ, sā dvitīyā śabdadharmo 'bhidhātmikā bhāvanā vi-	prayojaka-vyApAraH, sA dvitIyA Sabda-DarmaH aBiDA-AtmikA BAvanA vi-
   %p. 75	%p. 75
   dhir ity ucyate |	Dis iti ucyate |
   viśeṣataś ceyam arthavādādhikaraṇe varṇitā |	viSezataH ca-iyam arTavAda-aDikaraNe varNitA |
   yat tu paryāyasthityatilaṅghanaṃ pratyayāparityāgād abhihitam,	yat tu paryAya-sTiti-ati-laFGanam pratyaya-aparityAgAt aBihitam,
   tatrocyate---	tatra-ucyate---
   kevalasyāprayogitvāt kartṛsaṃkhyādisaṃgrahāt /	kevalasya-aprayogi-tvAt kartR-saMKyA-Adi-saMgrahAt /
   rūpāvināśasiddheś ca pratyayo 'pi prayujyate // 25 //	rUpa-avinASa-sidDeH ca pratyayaH api prayujyate // 25 //
   yadi hi kevalaḥ karotir bhāvayatir vā prayogārhau syātām, tataḥ	yadi hi kevalaH karotiH BAvayatiH vA prayoga-arhO syAtAm, tatas-
   kokilaśabdaprayoge pikaśabdavat pratyayo na prayujyeta |	kokila-Sabda-prayoge pika-Sabda-vat pratyayaH na prayujyeta |
   na tu kevalāyāḥ prakṛteḥ prayogaḥ |	na tu kevalAyAH prakRteH prayogaH |
   apabhraṃśatvaprasaṅgāt |	apaBraMSa-tva-prasaFgAt |
   tena yasmin kasmiṃścit pratyaye prayoktavye yasyaivārthaḥ kathyate, sa	tena yasmin kasmiMScid pratyaye prayoktavye yasya-eva-arTaH kaTyate, sa
   evānuvādabhūtaḥ prakṛtyanugrahārthaṃ prayujyate, nānyaḥ |	eva-anuvAda-BUtaH prakRti-anugraha-arTam prayujyate, na-anyaH |
   abhyadhikārthāntarāpattiprasaṅgāt |	aByaDika-arTa-antara-Apatti-prasaFgAt |
   nanu ca ikśtipau dhātunirdeśe vihitāu, atas tadyuktau karotibhāvayatī	nanu ca ikStipO DAtu-nirdeSe vihitAu, atas tad-yuktO karoti-BAvayatI
   prayjyeyātām |	prayjyeyAtAm |
   naitad asti |	na-etat asti |
   tathā sati śabdapadārthakatvān naiva tābhyām ākhyātārthaḥ kathyeta |	taTA sati Sabda-padArTaka-tvAt na-eva tAByAm AKyAta-arTaH kaTyeta |
   yat tu kvacid arthe 'pi dhātum ikśtibantaṃ prayuñjate yajiḥ yajatiḥ iti,	yat tu kvacid arTe api DAtum ikStibantam prayuQjate yajiH yajatiH iti,
   tac chabde 'bhihite lakṣaṇayārthapratītir ity avagantavyaṃ |	tat Sabde aBihite lakzaNayA-arTa-pratItiH iti avagantavyam |
   na ceha kiṃcil lakṣa-	na ca-iha kiMcid lakza-
   %p. 76	%p. 76
   ṇāśrayaṇe prayojanam asti yenāvācakaḥ prayujyeta |	Na-ASrayaNe prayojanam asti yena-avAcakaH prayujyeta |
   tatrānyad evāniṣṭam āpadyeta kṛñbhuvau dhātū tiṅābhidhīyete iti |	tatra-anyat eva-anizwam Apadyeta kRQBuvO DAtU tiFA-aBiDIyete iti |
   tasmād arthaparatvasiddhyartham ākhyātapratyayasahitāv eva prayujyete |	tasmAt arTa-paratva-sidDi-arTam AKyAta-pratyaya-sahitO eva prayujyete |
   yadi ca bhāvanaivaikā pratyayārthaḥ syāt karotibhāvayatī vā	yadi ca BAvanA-eva-ekA pratyaya-arTaH syAt karoti-BAvayatI vA
   samastapratyayārthopādānasamarthau bhavetām, tataḥ kevalaprayogo 'py	samasta-pratyaya-arTa-upAdAna-samarTO Baveta-am, tatas kevala-prayogaH api-
   āśaṅkyeta, na tu tad ubhayam apy astīti karotibhāvayatibhyāṃ kathite 'pi	ASaFkyeta, na tu tat uBayam api asti-iti karoti-BAvayatiByAm kaTite api
   bhāvanārthe kartṛsaṃkhyādipratyāyanārthaṃ punaḥ pratyaya uccāryate |	BAvanA-arTe kartR-saMKyA-Adi-pratyAyana-arTam punar pratyayaH uccAryate |
   yas tu tatra bhāvanābhidhānāṃśaḥ sa prāptatvād anūdyate. anyathā hi	yaH tu tatra BAvanA-aBiDAna-aMSaH sa prApta-tvAt anUdyate. anyaTA hi
   bhāvanaivaikā pratyayārthaḥ karotibhāvayatī vā kartṛsaṃkhyādīnām apy	BAvanA-eva-ekA pratyaya-arTaH karoti-BAvayatI vA kartR-saMKyA-AdInAm api-
   abhidhāyakāv iti bhrāntiḥ syāt |	aBiDAyakO iti BrAntiH syAt |
   nityaṃ ca pūrvāparībhūtā bhāvanākhyātenocyate |	nityam ca pUrva-aparIBUtA BAvanA-KyAtena-ucyate |
   tatra yadi pratyayāntaraṃ prayujyeta, tataḥ karotibhāvayatibhyāṃ dravyavad	tatra yadi pratyaya-antaram prayujyeta, tatas karoti-BAvayatiByAm dravya-vat-
   upasaṃhṛtarūpocyamānā naivākhyātasadṛśī kathyeta |	upasaMhRta-rUpa-ucyamAnA na-eva-AKyAta-sadRSI kaTyeta |
   tasmād avaśyaṃ tiṅ api prayoktavya iti |	tasmAt avaSyam tiF api prayoktavyaH iti |
   %p. 77	%p. 77
   kiñ ca---	kiQ ca---
   bhāvanā gamyamānā ca dhātupratyayasaṃnidhau /	BAvanA gamyamAnA ca DAtu-pratyaya-saMniDO /
   kasya vācyeti vispaṣṭaṃ na kadācit pratīyate // 26 //	kasya vAcya-iti vispazwam na kadAcid pratIyate // 26 //
   yadi hy ekāntenāsyāḥ pratyayārthatvam avadhāryeta, tataḥ	yadi hi ekAntena-asyAH pratyaya-arTa-tvam avaDAryeta, tatas-
   karotibhāvayatibhyāṃ pratyayapaunaruktyāśaṅkā syān, na tu tad asti |	karoti-BAvayatiByAm pratyaya-pOna-rukti-ASaFkA syAn, na tu tat asti |
   ubhayasannidhau gamyamānatvāt |	uBaya-sanniDO gamyamAna-tvAt |
   kevalaprakṛtipratyayaprayogābhāvād dhi na viveko vijñāyate |	kevala-prakRti-pratyaya-prayoga-aBAvAt Di na vivekaH vijQAyate |
   śakyate hi vaktuṃ dhātusahitena pratyayenocyata iti,	Sakyate hi vaktum DAtu-sahitena pratyayena-ucyate iti,
   atha vā pratyayānugṛhītena dhātunā, atha vobhābhyām |	aTa vA pratyaya-anugRhItena DAtunA, aTa vA-uBAByAm |
   na ca śaktikalpanāyāṃ viśeṣaḥ |	na ca Sakti-kalpanAyAm viSezaH |
   sarvathārthāpattisāmyāt |	sarvaTA-arTApatti-sAmyAt |
   na ca vivekajñānaprayojanam asti |	na ca viveka-jQAna-prayojanam asti |
   syād etat |	syAt etat |
   kṛdantād dhātor apratītes tiṅvyabhicāriṇy eva bhāvaneti |	kRdantAt DAtoH apratIteH tiFvyaBicAriNI eva BAvanA-iti |
   tad ayuktam |	tat ayuktam |
   astibhavatividyatipareṣu pratyayeṣv apy adarśanāt |	astiBavati-vidyati-parezu pratyayezu api adarSanAt |
   na ca kṛdanteṣv apy atyantaṃ bhāvanā nāsti |	na ca kRdantezu api atyantam BAvanA na-asti |
   kiṃcid apakṛṣyamāṇarūparpatīteḥ |	kiMcid apakRzyamANa-rUparpatIteH |
   (1) kṛtyeṣu tāvad bhoktavyam yaṣṭavyam iti kiṃcin nyūnākhyātād gamyate |	(1) kRtyezu tAvat Boktavyam yazwavyam iti kiMcid nyUna-AKyAtAt gamyate |
   tatrāpi karmotpanneṣu dravyaprādhānyād brāhmaṇo na hantavyaḥ iti	tatra-api karma-utpannezu dravya-prADAnyAt brAhmaNaH na hantavyaH iti
   bhāvotpannebhyo nyūnatarā |	BAva-utpanneByaH nyUnatarAH |
   na hi tatra prayojakavyāpāraprādhānyam |	na hi tatra prayojaka-vyApAra-prADAnyam |
   ekatra dhātvarthaprādhānyāt, aparatra svavyāpāraviśiṣṭaprayojyaparatvāt |	ekatra DAtu-arTa-prADAnya-at, aparatra sva-vyApAra-viSizwa-prayojya-paratvAt |
   etena bhāvakarmotpannalakārās tiṅo 'pi vyākhyātāḥ |	etena BAva-karma-utpannalakArAH tiFaH api vyAKyAtAH |
   teṣv api hi prayojakavyāpāraguṇatvapratītir aviśiṣṭā |	tezu api hi prayojaka-vyApAra-guNa-tva-pratItiH aviSizwAH |
   ato na tiṅantānāṃ tulyakalpatvam |	atas na tiFantAnAm tulya-kalpa-tvam |
   %p. 78	%p. 78
   (2) tathā avyayakṛto bhāve bhavanti iti smaraṇāviśeṣe 'pi svasaṃvedyam	(2) taTA avyaya-kRtaH BAve Bavanti iti smaraNa-aviSeze api sva-saMvedyam
   īṣannyūnabhāvanāvijñānam |	Izat-nyUna-BAvanA-vijQAnam |
   abhikrāmaṃ juhoti, darbhataruṇakenopaghātaṃ juhoti, abhiṣutya hutvā	aBikrAmam juhoti, darBa-taruNakena-upaGAtam juhoti, aBizutya hutvA
   bhakṣayanti, purā vācaḥ pravaditoḥ iti sarvatra śrutyaiva	Bakzayanti, purA vAcaH pravaditoH iti sarvatra SrutyA-eva
   bhāvanāntarasāpekṣā bhāvanāvagamyate |	BAvanA-antara-sA-apekzA BAvanA-avagamyate |
   (3) pakvaḥ pakvavān ity api nirvṛttarūpabhāvanopasarjanadravyapratītiḥ	(3) pakvaH pakvavAn iti api nirvRtta-rUpa-BAvanA-upasarjana-dravya-pratItiH
   pratyakṣā |	pratyakzAH |
   (4) evaṃ pācakādiṣv api draṣṭavyam |	(4) evam pAcaka-Adizu api drazwavyam |
   tathā ca sarvatra kārakāpekṣā dṛśyate |	taTA ca sarvatra kAraka-apekzA dRSyate |
   anyathā hi rūḍhitaddhitasamāseṣv iveyaṃ na syāt |	anyaTA hi rUXi-tad-hita-samAsezu iva-iyam na syAt |
   na ca nirvyāpārāṇām ete vyapadeśā bhavanti |	na ca nirvyApArANAm ete vyapadeSAH Bavanti |
   na cāsti sa vyāpāro yatra kiṃcid asan na janyate |	na ca-asti sa vyApAraH yatra kiMcid asat na janyate |
   tataś ca siddhaḥ karotibhāvayatyor arthaḥ |	tatas ca sidDaH karoti-BAvayatyoH arTaH |
   śakyate ca sarvatra sāmānādhikaraṇyam api darśayituṃ vināpi	Sakyate ca sarvatra sAmAnADikaraNyam api darSayitum vinA-api
