   Rādhā-kṛṣṇārcana-dīpikā	RADA--kRzNA-arcana-dIpikA
   ity anena māyā-śaktir nirūpitā | tatra tasyā aṃśāś ca darśitāḥ ||	iti anena mAyA-SaktiH nirUpitA | tatra tasyAH aMSAH ca darSitAH ||
   atha yan na spṛśanti na vidur mano buddhīndriyā sarvaiḥ ity (BhP 6.16.20)	aTa yat na spRSanti na viduH manaH budDIndriyA sarvEH iti (Bhj 6.16.20)
   ādinā |	AdinA |
   tvam ādyaḥ puruṣaḥ sākṣād	tvam AdyaH puruzaH sAkzAt-
   īśvaraḥ (end page 9) prakṛteḥ paraḥ |	ISvaraH (end page 9) prakRteH paraH |
   māyāṃ vyudasya cic-chaktyā	mAyAm vyudasya cic--SaktyA
   kaivalye sthita ātmani || [BhP 1.7.23]	kEvalye sTitaH Atmani || [Bhj 1.7.23]
   ity anena ca svarūpa-bhūtācintya-śaktir darśitā | tasyā	iti anena ca svarUpa-BUta-acintya--SaktiH darSitA | tasyAH-
   vṛtti-bhedenāntāyāḥ --	vRtti-Bedena-antAyAH --
   śriyā puṣṭyā girā kāntyā kīrtyā tuṣṭyelayor jayā ity ādi kiyanto bhedāś ca	SriyA puzwyA girA kAntyA kIrtyA tuzwi-elayoH jayAH iti Adi kiyantaH BedAH ca
   darśitā (BhP 10.39.55) | sā ca śakti-dvayī aparā ceti śrī-viṣṇu-purāṇe	darSitA (Bhj 10.39.55) | sA ca Sakti--dvayI aparA ca-iti SrI--vizNu-purANe
   darśitā --	darSitAH --
   sarva-bhūteṣu sarvātman	sarva-BUtezu sarva-Atman
   yā śaktir aparā tava |	yA SaktiH aparA tava |
   guṇāśrayā namas tasmai	guNa-ASrayAH namaH tasmE
   śāśvatāyai sureśvara ||45||	SASvatAyE sureSvara ||45||
   yātīta-gocarā vācāṃ	yAtIta--gocarAH vAcAm
   manasāṃ cāviśeṣaṇā |	manasAm ca-aviSezaNA |
   jñāni-jñāna-paricchedyā	jQA-ni--jQAna--paricCedyA
   vande tām īśvarīṃ parām ||46|| ity anena (ViP 1.19.76-77) ||	vande tAm ISvarIm parAm ||46|| iti anena (ViS 1.19.76-77) ||
   tatra prathamā śrī-vaiṣṇavānāṃ jagadvad-upekṣaṇīyā yan-mayī eva khalu	tatra praTamA SrI-vEzNavAnAm jagat-vat--upekzaNIyA yan-mayI eva Kalu
   tasya jagattā | dvitīyā tu teṣāṃ śrī-bhagavad-upāsyā tadīya-svarūpa-bhūtā	tasya jagattA | dvitIyA tu tezAm SrI--Bagavat--upAsyA tadIya--svarUpa-BUtA
   yan-mayy eva khalu tasya bhagavattā | tatraikam eva svarūpāṃśitvena	yan--mayi eva Kalu tasya Bagavat-tA | tatra-ekam eva svarUpa-aMSi-tvena
   śaktimattvena ca virājatīti | yasya śakteḥ svarūpa-bhūtatvaṃ nirūpitam |	Saktimat-tvena ca virAjati-iti | yasya SakteH svarUpa-BUta-tvam nirUpitam |
   cic-chakti-mattā pradhānena virājamānaṃ bhagavat-saṃjñam āpnotīti tatraiva	cic--Sakti--mattA praDAnena virAjamAnam Bagavat--saMjQam Apnoti-iti tatra-eva
   darśitam eva | tad evaṃ śaktitva-prādhānyena virājamānāṃ lakṣmī-saṃjñām	darSitam eva | tat evam Sakti-tva--prADAnyena virAjamAnAm lakzmI--saMjQAm
   āpnotīti darśayituṃ prakaraṇam utthāpyate |	Apnoti-iti darSayitum prakaraNam utTApyate |
   [*NOTE: The following passage ending with viśuddhatvam is in BhagS 117.]	[*NOTE: The fa-ullowing passa-ge ending wiT viSudDa-tvam iH id BhagH 117.]
   tatra tāvad ekasyaiv svarūpasya sattvāc cittād ānandāc ca svarūpa-bhūtā	tatra tAvat ekasya-eu svarUpasya sattvAt cittAt AnandAt ca svarUpa-BUtA
   śaktir apy ekā tridhā | tad uktaṃ viṣṇu-purāṇe --	SaktiH api ekA triDA | tat uktam vizNu-purANe --
   hlādinī sandhinī saṃvit	hlAdinI sanDinI saMvid-
   tvayy ekā sarva-saṃsthitau |	tvayi ekA sarva--saMsTitO |
   hlāda-tāpa-karī miśrā	hlAda-tApa-karI miSrA
   tvayi no guṇa-varjite ||47|| iti (ViP 1.12.68)	tvayi naH guNa--varjite ||47|| iti (ViS 1.12.68)
   vyākhyātaṃ ca svāmibhiḥ | hlādinī āhlāda-karī (end page 10) sandhinī	vyAKyAtam ca svAmiBiH | hlAdinI AhlAda--karI (end page 10) sanDinI
   santatā saṃvid vidyā-śaktiḥ | ekā mukhyā avyabhicāriṇī svarūpa-bhūteti	santatA saMvid vidyA--SaktiH | ekA muKyA avyaBicAriNI svarUpa-BUtA-iti
   yāvat | sā sarva-saṃsthitau sarvasya samyak sthitir yasmāt tasmin	yAvat | sA sarva--saMsTitO sarvasya samyak sTitiH yasmAt tasmin
   sarvādhiṣṭhāna-bhūte tvayy eva na tu jīveṣu ca sā guṇamayī trividhā sā	sarva-aDizWAna--BUte tvayi eva na tu jIvezu ca sA guNa-mayI triviDA sA
   tvayi nāsti | tām evāha hlāda-tāpa-karī miśrā iti | hlāda-karī	tvayi na-asti | tAm eva-Aha hlAda-tApa-karI miSrAH iti | hlAda-karI
   manaḥ-prasādotthā sāttvikī | tāpakarī viṣaya-viyogādiṣu tāpa-karī tāmasī |	manaH--prasAda-utTA sAttvikI | tApa-karI vizaya--viyoga-Adizu tApa-karI tAmasI |
   tad-ubhaya-miśrā viṣaya-janyā rājasī | tatra hetuḥ --	tad--uBaya--miSrAH vizaya-janyA rAjasI | tatra hetuH --
   sattvādi-guṇa-varjite | tad uktaṃ sarvajña-sūktau -	sattva-Adi--guNa--varjite | tat uktam sarvajQa-su-uktO -
   hlādinyā saṃvid-āśliṣṭaḥ	hlAdinyA saMvid--a-ASlizwaH
   sac-cid-ānanda īśvaraḥ |	sac-cit--AnandaH ISvaraH |
   svāvidyā-saṃvṛto jīvaḥ	sva-avidyA--saMvRtaH jIvaH
   saṅkleśa-nikarākaraḥ ||48|| iti (Bhāvārtha-dīpikā 1.7.6)	saFkleSa--nikara-AkaraH ||48|| iti (BhAva-arTa-dIpikA 1.7.6)
   atra kramād utkarṣeṇa sandhinī-saṃvid-dhlādinyā jñeyāḥ | tatra ca sati	atra kramAt utkarzeNa sanDinI--saMvid--Dla-AdinyAH jQeyAH | tatra ca sati
   ghaṭānāṃ ghaṭatvam iva sarveṣāṃ satāṃ vastūnāṃ pratīter nimittam iti	GawAnAm Gawa-tvam iva sarvezAm satAm vastUnAm pratIteH nimittam iti
   kvacit sattā-svarūpatvena āmnāto 'py asau bhagavān sad eva somyedam agra	kvacid sattA--svarUpa-tvena AmnAtaH api asO BagavAn sat eva somya-idam agra
   āsīd ity atra sad-rūpatvena vyāpadiśyamānā mayā sattāṃ dadhāti dhārayati	AsIt iti atra sat--rUpa-tvena vyApadiSyamAnA mayA sattAm daDAti DArayati
   ca sā sarva-deśa-kāla-dravyādi-prāptikarī sandhinī | tathā saṃvid-rūpo 'pi	ca sA sarva-deSa--kAla---dravya-Adi-prApti-karI sanDinI | taTA saMvid--rUpaH api
   yayā saṃvetti saṃvedayati ca sā saṃvit | tathā hlāda-rūpo 'pi yayā saṃvid	yayA saMvetti saMvedayati ca sA saMvid | taTA hlAda--rUpaH api yayA saMvid-
   utkaṭa-rūpayā taṃ hlādaṃ saṃvetti saṃvedayati ca sā hlādinīti vivecanīyam	utkawa---rUpayA tam hlAdam saMvetti saMvedayati ca sA hlAdinI-iti vivecanIyam
   tad evaṃ tasyā mūla-śaktes try-ātmakatvena siddhe yena	tat evam tasyAH mUla-SakteH try-a-Atmaka-tvena sidDe yena
   sva-prakāśatā-lakṣaṇena tad-vṛtti-viśeṣeṇa svarūpaṃ svayaṃ svarūpa-śaktir	sva--prakASa-tA--lakzaNena tad--vRtti-viSezeNa svarUpam svayam svarUpa-SaktiH-
   vā viśiṣṭam āvirbhavati tad viśuddha-sattvam | tac cānya-nirapekṣayas	vA viSizwam AvirBavati tat viSudDa--sattvam | tat ca-anya--nirapekzayaH-
   tat-prakāśa iti jñāpana-jñāna-vṛttikatvāt saṃvid eva | asya māyayā	tat--prakASaH iti jQApana--jQAna-vRttika-tvAt saMvid eva | asya mAyayA
   sparśābhāvāt viśuddhatvam |	sparSa-aBAvAt viSudDa-tvam |
   [*NOTE: This entire section beginning with hlādinī sandhinī saṃvit is	[*NOTE: ThiH entire section begit-ning wiT hlAdinI sanDinI saMvid is
   found in Bhagavat-sandarbha, section 117.]	fount id Bhagavat--sandarBa, section 117.]
   tad uktaṃ śrī-viṣṇu-purāṇe (end page 12) -	tat uktam SrI--vizNu-purANe (end page 12) -
   sattvādayo na santīśe	sattva-AdayaH na santi-ISe
   yatra ca prākṛtā guṇāḥ |	yatra ca prAkRtAH guNAH |
   sa śuddhaḥ sarva-śuddhebhyaḥ	sa SudDaH sarva--SudDeByaH
   pumān ādyaḥ prasīdatu ||49|| iti | [ViP 1.9.44]	pumAn AdyaH prasIdatu ||49|| iti | [ViS 1.9.44]
   śrī-daśame ca viśuddha-sattvaṃ tava dhāma śāntam ity ādi (BhP 10.27.4)	SrI-daSame ca viSudDa--sattvam tava DAma SAntam iti Adi (Bhj 10.27.4)
   harir hi nirguṇaḥ sākṣāt	hariH hi nirguNaH sAkzAt-
   puruṣaḥ prakṛteḥ paraḥ |	puruzaH prakRteH paraH |
   sa sarva-dṛg upadraṣṭā	sa sarva-dRS upadrazwA
   taṃ bhajan nirguṇo bhavet || iti [BhP 10.88.5]	tam Bajan nirguNaH Bavet || iti [Bhj 10.88.5]
   ekādaśe ca sattvaṃ rajas tama iti guṇā jīvasya naiva me iti [BhP 11.25.12]	ekAdaSe ca sattvam rajaH tamaH iti guNAH jIvasya na-eva me iti [Bhj 11.25.12]
   | gītopaniṣatsu ca -	| gIta-upanizatsu ca -
   ye caiva sāttvikā bhāvā rājasās tāmasāś ca ye |	ye ca-eva sAttvikAH BAvAH rAjasAH tAmasAH ca ye |
   matta eveti tān viddhi na tv ahaṃ teṣu te mayi ||	mattaH eva-iti tAn vidDi na tu aham tezu te mayi ||
   tribhir guṇa-mayair bhāvair ebhiḥ sarvam idaṃ jagat |	triBiH guNa-mayEH BAvEH eBiH sarvam idam jagat |
   mohitaṃ nābhijānāti mām ebhyaḥ param avyayam || iti [Gītā 7.12-3]	mohitam na-aBijAnAti mAm eByaH param avyayam || iti [GItAH 7.12-3]
   tatra cedam eva viśuddha-sattvaṃ sandhiny-aṃśa-pradhānaṃ ced ādhāra-śaktiḥ	tatra ca-idam eva viSudDa--sattvam sanDini--aMSa--praDAnam ced ADAra--SaktiH
   | saṃvid-aṃśa-pradhānam ātma-vidyā | hlādinī-sārāṃśa-pradhānaṃ guhya-vidyā	| saMvid--aMSa--praDAnam Atma-vidyA | hlAdinI--sAra-aMSa--praDAnam guhya-vidyA
   | yugapat śakti-traya-pradhānaṃ mūrtiḥ | atrādhāra-śaktyā bhagavad-dhāma	| yugapad Sakti--traya--praDAnam mUrtiH | atra-ADAra--SaktyA Bagavat--DAma
   prakāśate | tad uktaṃ - yat sātvatāḥ puruṣa-rūpam uśanti sattvaṃ loko yata	prakASate | tat uktam  yat sAtvatAH puruza-rUpam uSanti sattvam lokaH yata
   [BhP 12.8.40]	[Bhj 12.8.40]
   [*NOTE: This appears to be evidence that 8 is the original source of the	[*NOTE: ThiH appearH taH be evidence Tat 8 iH Te original source of Te
   material, not 117. To be followed.]	material, na-ut 117. TaH be fa-ullowed.]
   iti |	iti |
   tathā jñāna-tat-pravaraka-lakṣaṇa-vṛtti-dvayakayātma-vidyayā	taTA jQAna--tat--pravara-ka-lakzaNa-vRtti-dvayakayA-Atma-vidyayA
   tad-vṛtti-rūpam upāsakāśrayaṃ jñānaṃ prakāśate | evaṃ	tad--vRtti--rUpam upAsaka-ASrayam jQAnam prakASate | evam
   bhakti-tat-pravartaka-lakṣaṇa-vṛtti-dvayakayā guhya-vidyayā tad-vṛtti-rūpā	Bakti-tat--pravartaka-lakzaNa-vRtti-dvayakayA guhya-vidyayA tad--vRtti--rUpA
   prītyātmikā bhaktiḥ prakāśate |	prIti-AtmikA BaktiH prakASate |
   ete eva viṣṇu-purāṇe lakṣmī-stave spaṣṭīkṛte - (end page 12)	ete eva vizNu-purANe lakzmI--stave spazwIkRte  (end page 12)
   yajña-vidyā mahā-vidyā	yajQa-vidyA mahA-vidyA
   guhya-vidyā ca śobhate |	guhya-vidyA ca SoBate |
   ātma-vidyā ca devi tvaṃ	Atma-vidyA ca devi tvam
   vimukti-phala-dāyinī || [ViP 1.9.118] iti |	vimukti-Pala--dAyinI || [ViS 1.9.118] iti |
   yajña-vidyā karma | mahā-vidyā aṣṭāṅga-yogaḥ | guhya-vidyā bhaktiḥ |	yajQa-vidyA karma | mahA--vidyA azwa-aFga-yogaH | guhya-vidyA BaktiH |
   ātma-vidyā jñānam | tat-tat-sarvāśrayatvāt tvam eva tat-tad-rūpā	Atma-vidyA jQAnam | tat-tat--sarva-ASraya-tvAt tvam eva tat-tad--rUpA
   vividhānāṃ muktīnām anyeṣāṃ ca vividhānāṃ phalānāṃ dātrī bhavasīty arthaḥ	viviDAnAm muktInAm anyezAm ca viviDAnAm PalAnAm dAtrI Bavasi-iti arTaH
   |k	|k
   [*NOTE: k. This section can be found in RKAD 12-13.] śrutiś ca parāsya	[*NOTE: k. ThiH section can be found id RKAD 12-13.] SrutiH ca parAsya
   śaktir vividhaiva śrūyate svābhākiī jñāna-bala-kriyā ceti |	SaktiH viviDA-eva SrUyate svABAkiI jQAna-bala--kriyA ca-iti |
   athaivambhūtānanta-vṛttikā yā svarūpa-śaktiḥ sā tv iha	aTa-evamBUta-ananta-vRttikA yA svarUpa-SaktiH sA tu iha
   bhagavad-vāmāṃśa-vartino mūrtimato lakṣmīr evety āha anapāyinī bhagavatī	Bagavat--vAma-aMSa-vartinaH mUrtimataH lakzmIH eva-iti Aha anapAyinI BagavatI
   śrīḥ sākṣād ātmano hareḥ | [BhP 12.11.20] iti | ṭīkā ca - anapāyinī hareḥ	SrIH sAkzAt AtmanaH hareH | [Bhu 12.11.20] iti | wIkA ca  anapAyinI hareH
   śaktiḥ | tatra hetuḥ sākṣād ātmanaḥ sva-svarūpasya cid-rūpatvāt tasyās	SaktiH | tatra hetuH sAkzAt AtmanaH sva--svarUpasya cit---rUpa-tvAt tasya-as
   tad-abhedād ity arthaḥ ity eṣā |	tad--aBedAt iti arTaH iti ezA |
   atra sākṣāt-śabdena māyā paraity abhimukhe ca vilajjamānā iti [BhP 2.7.47]	atra sAkzAt--Sabdena mAyA parEti aBimuKe ca vilajjamAnAH iti [Bhj 2.7.47]
   vimohitā vikatthante mamāham iti durdhiyaḥ | [BhP 2.5.13] ity uktvā māyā	vimohitAH vikatTante mama-aham iti durDiyaH | [Bhu 2.5.13] iti uktvA mAyA
   neti dhvanitam | atra anapāyitvaṃ yathā hayaśīrṣa-pañcarātre -	na-iti Dvanitam | atra anapAyi-tvam yaTA hayaSIrza--paQcarAtre -
   paramātmā harir devaḥ tac-chaktiḥ śrīr ihoditā |	paramAtmA hariH devaH tac-SaktiH SrIH iha-uditA |
   śrīr devī prakṛtiḥ proktā keśavaḥ puruṣaḥ smṛtaḥ |	SrIH devI prakRtiH proktA keSavaH puruzaH smRtaH |
   na viṣṇunā vinā devī na hariḥ padmajāṃ vinā ||51|| iti |	na vizNunA vinA devI na hariH padmajAm vinA ||51|| iti |
   viṣṇu-purāṇe (ViP 1.9.143) -	vizNu-purANe (ViS 1.9.143) -
   nityaiva sā jagan-mātā viṣṇuḥ śrīr anapāyinī |	nityA-eva sA jagan-mAtA vizNuH SrIH anapAyinI |
   yathā sarva-gato viṣṇus tathā śrīs tat-sahāyinī ||52||	yaTA sarva-gataH vizNuH taTA SrIH tat--sahAyinI ||52||
   [*NOTE: This section quoted from Bhagavat-sandarbha 118.]	[*NOTE: ThiH section quotet from Bhagavat--sandarBaH 118.]
   (end page 13)	(end page 13)
   devatve deva-dehā sā mānuṣatve ca mānuṣī |	deva-tve deva-dehA sA mAnuza-tve ca mAnuzI |
   harer dehānurūpāṃ vai karoty eṣātmanas tanum ||53|| iti ca |	hareH deha-anurUpAm vE karoti ezA-AtmanaH tanum ||53|| iti ca |
   brahma-saṃhitāyāṃ (5.8) niyatiḥ sā ramā devi tat-priyā tad-vaśaṃ tadā iti	brahma-saMhitAyAm (5.8) niyatiH sA ramA devi tat-priyA tat--vaSam tadA iti
   | niyamyate svayaṃ bhagavaty eva niyatābhavatīti svarūpa-bhūtā śaktiḥ |	| niyamyate svayam Bagavati eva niyatA-aBavati-iti svarUpa-BUtA SaktiH |
   devī dyotamānā prakāśa-rūpety arthaḥ | cid-rūpam iti skānde -	devI dyotamAnA prakASa--rUpA-iti arTaH | cit---rUpam iti skAnde -
   aparaṃ tv akṣaraṃ yā sā prakṛtir jaḍa-rūpikā |	aparam tu akzaram yA sA prakRtiH jaxa--rUpikA |
   śrīḥ parā prakṛtiḥ proktā cetanā viṣṇu-saṃśrayā ||54||	SrIH parA prakRtiH proktA cetanA vizNu--saMSrayAH ||54||
   tataś ca bhagavān kṛṣṇa-saṃjña eva iti nirdhārite na viṣṇunā | vinā	tatas ca BagavAn kRzNa--saMjQaH eva iti nirDArite na vizNunA | vinA
   devītyādi devatve deva-dehā sā ity ādi tadīya-svarūpa-bhūtā	devI-ityAdi deva-tve deva-dehA sA iti Adi tadIya--svarUpa-BUtA
   īśa-vāmāṃśa-vartinī lakṣmī kim ākhyā | iti nirdhāryā | tatra dvayor api	ISa--vAma-aMSa-vartinI lakzmI kim AKyA | iti nirDAryAH | tatra dvayoH api
   pūryoḥ śrī-mahiṣyākhyā jñeyā | tadīya-svarūpa-śaktitvaṃ	pUryoH SrI--mahizI-AKyA jQeyA | tadIya--svarUpa--Sakti-tvam
   skānda-parbhāsa-khaṇḍe śiva-gaurī-saṃvāde gopyādity-māhātmye dṛṣṭaṃ yathā	skAnda--parBAsa--KaNxe Siva-gOrI--saMvAde gopI-a-Adity-mAhAtmye dRzwam yaTA
   purā kṛṣṇo mahā-tejā yadā prabhāsam āgataḥ |	purA kRzNaH mahA--tejAH yadA praBAsam AgataH |
   sahito yādavaiḥ sarvaiḥ ṣaṭ-pañcāśat-prakoṭibhiḥ ||	sahitaH yAdavEH sarvEH zaw--paQcASat--prakowiBiH ||
   ṣoḍaśaiva sahasrāṇi gopyas tatra samāgatāḥ |	zoxaSa-eva sahasrANi gopyaH tatra samAgatAH |
   lakṣam ekaṃ ṣaṣṭhir ete kṛṣṇa-sutāḥ priye || ity upakramya | (end page 14)	lakzam ekam zazWiH ete kRzNa--sutAH priye || iti upakramya | (end page 14)
   tato gopyo mahā devi vidyā yāḥ ṣoḍaśa smṛtāḥ |	tatas gopyaH mahA devi vidyAH yAH zoxaSa smRtAH |
   tāsāṃ nāmāni te vakṣye tāni hy eka-manāḥ śṛṇu ||	tAsAm nAmAni te vakzye tAni hi eka-manAH SRNu ||
   lambinī candrikā kāntā krūrā śāntā mahodayā |	lambinI candrikA kAntA krUrA SAntA mahA-udayA |
   bhīṣaṇī nandinī śokā supūrvā vimalā kṣayā ||	BIzaNI nandinI SokA supUrvA vimalA kzayAH ||
   subhadrā śobhanā puṇyā haṃśītā kalāḥ kramāt |	suBadrA SoBanA puNyAH haMSItA kalAH kramAt |
   haṃsa eva yataḥ kṛṣṇaḥ paramātmā janārdanaḥ |	haMsaH eva yatas kRzNaH paramAtmA janArdanaH |
   tasyaitāḥ śaktayo devi ṣoḍaśaiva prakīrtitā ||	tasya-etAH SaktayaH devi zoxaSa-eva prakIrtitAH ||
   candrarūpī mataḥ kṛṣṇa kalā-rūpāstu tāḥ smṛtāḥ |	candra-rUpI mataH kRzNa kalA--rUpAH-tu tAH smRtAH |
   sampūrṇa-maṇḍalā tāsāṃ mālinī ṣoḍaśī kalā ||	sampUrNa-maNxalA tAsAm mAlinI zoxaSI kalA ||
   pratipat-tithim ārābhya sañcaraty āsu candramāḥ |	pratipat-tiTim ArABya saQcarati Asu candramAH |
   ṣoḍaśaiva kalā yās tu gopī-rūpā varānane ||	zoxaSa-eva kalAH yAH tu gopI--rUpAH varAnane ||
   ekaikaśas tāḥ sambhinnāḥ sahasreṇa pṛthak pṛthak |	ekEkaSas tAH samBinnAH sahasreNa pRTak pRTak |
   evaṃ te kathitaṃ devi rahasyaṃ jñāna-sambhavam |	evam te kaTitam devi rahasyam jQAna-samBavam |
   ya etaṃ veda puruṣaḥ jñeyo vaiṣṇavo budhaiḥ ||	yaH etam veda puruzaH jQeyaH vEzNavaH buDEH ||
   tatra gopyo rājñya ity arthaḥ | gopo bhūpe 'pīty amaraḥ | lambinī	tatra gopyaH rAjQyaH iti arTaH | gopaH BUpe api-iti amaraH | lambinI
   avatāra-śaktiḥ | haṃsaśītety atra prāptasya haṃsasya vācyam āha haṃsa	avatAra--SaktiH | haMsa-SIta-iti atra prAptasya haMsasya vAcyam Aha haMsa
   eveti | sa ca candra-rūpī candra dṛṣṭāntenanoddeśya ity arthaḥ | kalā-rūpā	eva-iti | sa ca candra--rUpI candra dRzwAntenana-uddeSyaH iti arTaH | kalA--rUpA
   iti tāś ca śaktayaḥ candrasyāmṛtety ādi kalā dṛṣṭāntenoddeśyā ity arthaḥ |	iti tAH ca SaktayaH candrasya-amRtA-iti Adi kalA dRzwAntena-uddeSyAH iti arTaH |
   anuktām antimāṃ mahāśaktim āha sampūrṇeti | seyaṃ tu kalā samaṣṭhirūpā	anuktAm antimAm mahASaktim Aha sampUrNA-iti | sA-iyam tu kalA samazWi-rUpA
   jñeyā | dṛṣṭāntopādānāc candrasya tādṛśatvam āha pratipad iti | āsu	jQeyAH | dRzwAnta-upAdAnAt candrasya tAdRSa-tvam Aha pratipad iti | Asu
   etat-tulātve vivakṣitam āha ṣoḍaśaiveti | ṣoḍaśānām (end page 15) eva	etat--tulA-tve vivakzitam Aha zoxaSa-eva-iti | zoxaSAnAm (end page 15) eva
   vidyārūpatvāt | etad-upadeśasya jñāna-sambhava-rahasyatvāt taj-jñānasya	vidyA-rUpa-tvAt | etat--upadeSasya jQAna--samBava--rahasya-tvAt taj-jQAnasya
   vaiṣṇavatvānumāxakaliṅgatvāc ca | krūrām īṣaṇāśokānām api	vEzNava-tva-anumAxa-kaliFga-tvAt ca | krUrAm IzaNa-aSokAnAm api
   bhagavat-svarūpa-bhūtānām eva satīnāṃ mallānām aśanir ity ādivat	Bagavat--svarUpa-BUtAnAm eva satInAm mallAnAm aSaniH iti Adi-vat-
   śrī-kṛṣṇasya kaṭhinatvaa-pratyāyakatvāt | mṛtur bhojapater itivat	SrI--kRzNasya kaWina-tvaa--pratyAyaka-tvAt | mRtuH BojapateH itivat-
   durjana-vicitrāsakatvāt | asatāṃ śāstetivat tadīya-śoka-hetutvād evaṃ ca	durjana--vicitrAsaka-tvAt | asatAm SAstA-iti-vat tadIya--Soka--hetu-tvAt evam ca
   tat-tan-niruktir upapadyate | yathā prakāśaika-rūpāyā eva sūrya-kāntor	tat-tan--niruktiH upapadyate | yaTA prakASa-eka--rUpAyAH eva sUrya-kAntoH-
   ulūkeṣu tāmisrādi-vyañjakatā | tataś candra-rūpī mata kṛṣṇaḥ kalā-rūpas tu	ulUkezu tAmisra-Adi--vyaQjaka-tA | tatas candra--rUpI mata kRzNaH kalA--rUpaH tu
   tāḥ smṛtā iti sphuṭam eva svarūpa-bhūtatvaṃ darśitam | tad evaṃ tāsāṃ	tAH smRtAH iti sPuwam eva svarUpa-BUta-tvam darSitam | tat evam tAsAm
   svarūpa-śaktitve lakṣmītvaṃ tāsāṃ siddhaty eva | tad evam abhipretya tāsāṃ	svarUpa--Sakti-tve lakzmI-tvam tAsAm sidDati eva | tat evam aBipretya tAsAm
   lakṣmītvam āha śrī-śukaḥ --	lakzmI-tvam Aha SrI-SukaH --
   gṛheṣu tāsām anapayyātarkya-kṛn	gRhezu tAsAm anapayyAtarkya-kRn
   nirasta-sāmyātiśayeṣv avasthitaḥ |	nirasta--sAmya-atiSayezu avasTitaH |
   reme ramābhir nija-kāma-sampluto	reme ramABiH nija--kAma--samplutaH-
   yathetaro gārhaka-medhikāṃś caran ||63|| (BhP 10.59.43)	yaTA-itaraH gArhaka-meDikAn caran ||63|| (Bhj 10.59.43)
   ṭīkā ca - ramābhir lakṣmyā aṃśa-bhūtābhir ity eṣā | svarūpa-śaktitvād eva	wIkA ca  ramABiH lakzmyA aMSa--BUtABiH iti ezA | svarUpa--Sakti-tvAt eva
   reme ity uktam | ato nijaḥ striyaḥ	reme iti uktam | atas nijaH striyaH
   paramānanda-śakti-viśeṣodaya-rūpa-prema-viśeṣa-svarūpo yaḥ kāmas tena	parama-Ananda--Sakti-viSeza-udaya--rUpa--prema--viSeza--svarUpaH yaH kAmaH tena
   sampluto vyāpta iti | tatra śrīmaty ābhāsāyāṃ bhū-śakti-rūpatvaṃ	samplutaH vyAptaH iti | tatra SrImati ABAsAyAm BU--Sakti-rUpa-tvam
   pādmottara-khaṇḍādau | yamunāyāḥ kṛpā-śakti-rūpatvaṃ	pAdma-uttara---KaNxa-AdO | yamunAyAH kRpA--Sakti--rUpa-tvam
   skānda-yamunā-māhātmyādāv ity anveṣaṇīyam | kintu satyabhāmāyā	skAnda-yamunA--mAhAtmya-AdO iti anvezaNIyam | kintu satyaBAmAyAH-
   harivaṃśādau saubhāgyāti-	hari-vaMSa-AdO sOBAgyAti-
   (end page 16) śayasya vivakṣitatvāt prema-śakti-pracura-bhū-śaktitvaṃ	(end page 16) Sayasya vivakzita-tvAt prema--Sakti-pracura--BU--Sakti-tvam
   jñeyam | svayaṃ lakṣmīs tu rukmiṇī |	jQeyam | svayam lakzmIH tu rukmiNI |
   dvārakāyām abhūd rājan mahāmodaḥ puraukasām |	dvArakAyAm aBUt rAjan mahAmodaH purOkasAm |
   rukmiṇyā ramayopetaṃ dṛṣṭvā kṛṣṇaṃ śriyaḥ patim || (BhP 10.54.60)	rukmiNyAH ramayA-upetam dRzwvA kRzNam SriyaH patim || (Bhj 10.54.60)
   ity ādiṣu tasyām eva bhūriśaḥ prasiddheḥ | ataḥ svayaṃ lakṣmītvenaiva	iti Adizu tasyAm eva BUriSas prasidDeH | atas svayam lakzmI-tvena-eva
   paraspara-yogyatām āha śrī-śukaḥ --	paraspara--yogya-tAm Aha SrI-SukaH --
   asyaiva bhāryā bhavituṃ rukmiṇy arhati nāparā |	asya-eva BAryA Bavitum rukmiNI arhati na-aparA |
   asāv apy anavadyātmā bhaiṣmyāḥ samucitaḥ patiḥ ||64|| (BhP 10.53.37)	asO api anavadya-AtmA BEzmyAH samucitaH patiH ||64|| (Bhj 10.53.37)
   [*NOTE: From here to darśitavān, KṛṣṇaS 185-186, page 110. See also	[*NOTE: From here taH darSitavAn, KRzNaH 185-186, page 110. See alsaH-
   Gopāla-campū 15.75.]	GopAla--campU 15.75.]
   ataḥ svayaṃ bhagavato 'nurūpatvena svayaṃ lakṣmītvaṃ prasiddham eva | atha	atas svayam BagavataH anurUpa-tvena svayam lakzmI-tvam prasidDam eva | aTa
   śrī-vṛndāvane tadīya-svarūpa-śakti-prādurbhāvāḥ śrī-vraja-devyaḥ | yathā	SrI--vRndAvane tadIya--svarUpa--Sakti-prAdurBAvAH SrI-vraja--devyaH | yaTA
   brahma-saṃhitāyāṃ (5.37) --	brahma-saMhitAyAm (5.37) --
   ānanda-cinmaya-rasa-pratibhāvitābhis	Ananda--cit-maya--rasa--pratiBAvita-aBiH-
   tābhir ya eva nija-rūpatayā kalābhiḥ |	tABiH yaH eva nija--rUpa-tayA kalABiH |
   goloka eva nivasaty akhilātma-bhūto	golokaH eva nivasati aKila-Atma--BUtaH-
