   // Daśabhūmikasūtram //	// DaSa BUmika sUtram //
   smṛtisaṃbodhyaṅgaṃ bhāvayati dharmapravicaya ... vīrya ... prīti ...	smRti saMboDi aFgam BAvayati Darma pravicaya ... vIrya ... prIti ...
   prasrabdhi ... samādhi ... upekṣā ... / samyakdṛṣṭiṃ bhāvayati ...	prasrabDi ... samADi ... upekzA ... / samyak dRzwim BAvayati ...
   samyaksaṃkalpaṃ ... samyagvācaṃ ... samyakkarmāntaṃ ... samyagājīvaṃ ...	samyak saMkalpam ... samyak vAcam ... samyak karmAntam ... samyak AjIvam ...
   samyagvyāyāmaṃ ... samyaksmṛtiṃ ... samyaksamādhiṃ ... //	samyak vyAyAmam ... samyak smRtim ... samyak samADim ... //
   tacca sarvasattvasāpekṣatayā ca pūrvapraṇidhānābhinirhāropastabdhatayā ca	tat ca sarva sattva sApekza tayA ca pUrva praNiDAna aBinirhAra upastabDa tayA ca
   mahākaruṇāpūrvaṃgamatayā ca mahāmaitryupetatayā ca	mahA karuNA pUrvaMgama tayA ca mahA mEtrI upeta tayA ca
   sarvajñajñānādhyālambanatayā ca buddhakṣetraviṭhapanālaṃkārābhinirhāratayā	sarvajQa jQAna aDyAlambana tayA ca budDa kzetra viWapana alaMkAra aBinirhAra tayA
   ca	ca
   tathāgatabalavaiśāradyāveṇikabuddhadharmalakṣaṇānuvyañjanasvaraghoṣasaṃpadabhinirhāratayā	taTAgata bala vESAradyA veNika budDa Darma lakzaNa anuvyaQjana svara Goza saMpad aBinirhAra tayA
   ca uttarottaravaiśeṣikadharmaparimārgaṇatayā ca	ca uttarottara vESezika Darma parimArgaNa tayA ca
   gambhīrabuddhadharmavimokṣaśravaṇānugamanatayā ca (Dbh 26)	gamBIra budDa Darma vimokza SravaNa anugamana tayA ca (DB 26)
   mahopāyakauśalyabalavicāraṇatayā ca / tasya khalu punarbhavanto jinaputrā	mahA upAya kOSalya bala vicAraNa tayA ca / tasya Kalu punar BavantaH jinaputrA
   bodhisattvasya asyāmarciṣmatyāṃ bodhisattvabhūmau sthitasya yānīmāni	boDisattvasya asyAm arcizmatyAm boDisattva BUmO sTitasya yAni imAni
   satkāyadṛṣṭipūrvaṃgamāni	sat kAya dRzwi pUrvaMgamAni
   ātmasattvajīvapoṣapudgalaskandhadhātvāyatanābhiniveśasamucchritāni	Atma sattva jIva poza pudgala skanDa DAtu Ayatana aBiniveSa samucCritAni
   unmiñjitāni nimiñjitāni vicintitāni vitarkitāni kelāyitāni mamāyitāni	unmiQjitAni nimiQjitAni vicintitAni vitarkitAni kelAyitAni mama ayitAni
   dhanāyitāni niketasthānāni, tāni sarvāṇi vigatāni bhavanti sma / sa	DanAyitAni niketa sTAnAni, tAni sarvANi vigatAni Bavanti sma / sa
   yānīmāni karmāṇyakaraṇīyāni samyaksaṃbuddhavivarṇitāni	yAni imAni karmANi akaraNIyAni samyaksaMbudDa vivarNitAni
   saṃkleśopasaṃhitāni, tāni sarveṇa sarvaṃ prajahāti / yāni cemāni karmāṇi	saMkleSa upasaMhitAni, tAni sarveNa sarvam prajahAti / yAni ca imAni karmANi
   karaṇīyāni samyaksaṃbuddhapraśastāni bodhimārgasaṃbhārānukūlāni, tāni	karaNIyAni samyaksaMbudDa praSastAni boDi mArga saMBAra anukUlA ni, tAni
   samādāya vartate / sa bhūyasyā mātrayā yathā yathopāyaprajñābhinirhṛtāni	samAdAya vartate / sa BUyasyAH mAtrayA yaTA yaTA upAya prajQA aBinirhRtAni
   mārgasamudāgamāya mārgāṅgāni bhāvayati, tathā tathā snigdhacittaśca	mArga samudAgamAya mArga aFgAni BAvayati, taTA taTA snigDa cittaH ca
   bhavati, maducittaśca karmaṇyacittaśca hitasukhāvahacittaśca	Bavati, mad ucittaH ca karmaNi acittaH ca hita suKa Avaha cittaH ca
   aparikliṣṭacittaśca uttarottaraviśeṣaparimārgaṇacittaśca	apariklizwa cittaH ca uttarottara viSeza parimArgaNa cittaH ca
   jñānaviśeṣaṇābhilāṣacittaśca sarvajagatparitrāṇacittaśca	jQAna viSezaNa aBilAza cittaH ca sarva jagat paritrANa cittaH ca
   gurugauravānukūlacittaśca yathāśrutadharmapratipatticittaśca bhavati / sa	guru gOrava anukUla cittaH ca yaTA Sruta Darma pratipatti cittaH ca Bavati / sa
   kṛtajñaśca bhavati, kṛtavedī ca sūrataśca sukhasaṃvāsaśca ṛjuśca mṛduśca	kRtajQaH ca Bavati, kRtavedI ca sUrataH ca suKa saMvAsaH ca RjuH ca mRduH ca
   agahanacārī ca nirmāyanirmāṇaśca suvacāśca pradakṣiṇagrāhī ca bhavati / sa	agahana cArI ca nirmAya nirmANaH ca su vacAH ca pradakziNa grAhI ca Bavati / sa
   evaṃ kṣamopeta evaṃ damopeta evaṃ śamopeta evaṃ kṣamadamaśamopeta uttarāṇi	evam kzamA upetaH evam dama upetaH evam Sama upetaH evam kzamadam aSama upetaH uttarANi
   bhūmipariśodhakāni mārgāṅgāni manasi kurvāṇaḥ samudācaran	BUmi pariSoDakAni mArga aFgAni manasi kurvANaH samudAcaran
   aprasrabdhavīryaśca bhavati aparikliṣṭaḥ / apratyudāvartyavīryaśca	aprasrabDa vIryaH ca Bavati apariklizwaH / apratyudAvartya vIryaH ca
   vipulavīryaśca anantavīryaśca uttaptavīryaśca asamavīryaśca	vipula vIryaH ca ananta vIryaH ca uttapta vIryaH ca asamavIryaH ca
   asaṃhāryavīryaśca sarvasattvaparipācanavīryaśca nayānayavibhaktavīryaśca	asaMhArya vIryaH ca sarva sattva paripAcana vIryaH ca naya anaya viBakta vIryaH ca
   bhavati / tasya bhūyasyā mātrayā āśayadhātuśca viśuddhyati,	Bavati / tasya BUyasyA mAtrayA ASaya DAtuH ca viSudDi ati,
   adhyāśayadhātuśca na vipravasati, adhimuktidhātuścottapyate,	aDyASaya DAtuH ca na vipra vasati, aDimukti DAtuH ca uttapyate,
   kuśalamūlavivṛddhiścopajāyate, lokamalakaṣāyatā cāpagacchati,	kuSala mUla vivRdDiH ca upajAyate, loka mala kazAya tA ca apagacCati,
   sarvasaṃśayavimatisaṃdehāścāsyocchidyante, niṣkāṅkṣābhimukhatā ca	sarva saMSaya vimati saMdehAH ca asya ucCidyante, nizkAFkza aBimuKa tA ca
   paripūryate, prītiprasabdhī ca samudāgacchati, tathāgatādhiṣṭhānaṃ	paripUryate, prIti prasabDI ca samudAgacCati, taTAgata aDizWAnam
   cābhimukhībhavati, apramāṇacittāśayatā ca samudāgacchāti //	ca aBimuKIBavati, apramANa citta ASaya tA ca samudAgacCAti //
   tasya asyāmarciṣmatyāṃ bodhisattvabhūmau sthitasya bodhisattvasya ...	tasya asyAm arcizmatyAm boDisattva BUmO sTitasya boDisattvasya ...
   peyālaṃ ... / bhūyastvena ca teṣāṃ tathāgatānāṃ śāsane pravrajati / tasya	peyAlam ... / BUyastvena ca tezAm taTAgatAnAm SAsane pravrajati / tasya
   bhūyasyā mātrayā āśayādhyāśayādhimuktisamatā viśudhyati / tasya	BUyasyAH mAtrayA ASaya aDyASaya aDimukti samatA viSuDyati / tasya
   asyāmarciṣmatyāṃ bodhisattvabhūmau sthitasya bodhisattvasya ...	asyAm arcizmatyAm boDisattva BUmO sTitasya boDisattvasya ...
   āśayādhyāśayādhimuktisamatāviśuddhistiṣṭhati, tāni cāsya kuśalamūlāni	ASaya aDyASaya aDi mukti samatA viSudDiH tizWati, tAni ca asya kuSala mUlAni
   sūttaptāni prabhāsvaratarāṇi ca bhavanti / tadyathāpi nāma bhavanto	su uttaptAni praBAsvaratarANi ca Bavanti / tat yaTA api nAma BavantaH 
   jinaputrāstadeva jātarūpaṃ kuśalena karmāreṇābharaṇīkṛtamasaṃhāryaṃ	jinaputrAH tat eva jAtarUpam kuSalena karma areNa ABaraNIkRtam asaMhAryam
   bhavati tadanyairakṛtābharaṇairjātarūpaiḥ, evameva bhavanto jinaputrā	Bavati tad anyEH akRta ABaraNEH jAtarUpEH, evam eva BavantaH jinaputrA
   bodhisattvasya asyāmarciṣmatyāṃ bodhisattvabhūmau sthitasya tāni	boDisattvasya asyAm arcizmatyAm boDisattva BUmO sTitasya tAni
   kuśalamūlānyasaṃhāryāṇi bhavanti tadanyeṣāmadharabhūmisthitānāṃ	kuSala mUlAni asaMhAryANi Bavanti tad anyezAm aDara BUmi sTitAnAm
   bodhisattvānāṃ kuśalamūlaiḥ / tadyathāpi nāma bhavanto jinaputrā	boDisattvAnAm kuSala mUlEH / tat yaTA api nAma BavantaH jinaputrA
   maṇiratnaṃ jātaprabhaṃ (Dbh 26)	maNi ratnam jAta praBam (DB 26)
   pariśuddharaśmimaṇḍalamālokapramuktamasaṃhāryaṃ bhavati tadanyairapi	pariSudDa raSmi maNxalam Aloka pramuktam asaMhAryam Bavati tad anyEH api
   śuddhaprabhai ratnajātaiḥ, anācchedyaprabhaṃ ca bhavati	SudDa praBEH ratna jAtEH, anAcCedya praBam ca Bavati
   sarvamārutodakapravarṣaiḥ, evameva bhavanto jinaputrā bodhisattvo	sarva mAruta udaka pravarzEH, evam eva BavantaH jinaputrAH boDisattvaH 
   'syāmarciṣmatyāṃ bodhisattvabhūmau sthitaḥ sannasaṃhāryo bhavati	asyAm arcizmatyAm boDisattva BUmO sTitaH sanna saMhAryaH Bavati
   tadanyairadharabhūmisthitairbodhisattvaiḥ, anācchedyajñānaśca bhavati	tad anyEH aDara BUmi sTitEH boDisattvEH, anAcCedya jQAnaH ca Bavati
   sarvamārakleśasamudācāraiḥ / tasya caturbhyaḥ saṃgrahavastubhyaḥ	sarva mAra kleSa samudAcArEH / tasya caturByaH saMgraha vastuByaH
   samānārthatā atiriktatamā bhavati / daśabhyaḥ pāramitābhyo vīryapāramitā	samAna arTa tA atiriktatamA Bavati / daSaByaH pAramitAByaH vIrya pAramitA
   atiriktatamā bhavati, na ca pariśeṣāsu na samudāgacchati yathābalaṃ	atiriktatamA Bavati, na ca pariSezAsu na samudAgacCati yaTAbalam
   yathābhajamānam / iyaṃ bhavanto jinaputrā bodhisattvasyārciṣmatī nāma	yaTABajamAnam / iyam BavantaH jinaputrA boDisattvasya arcizmatI nAma
   caturthī bhūmiḥ samāsanirdeśataḥ, yasyāṃ pratiṣṭhito bodhisattvo	caturTI BUmiH samAsa nirdeSataH, yasyAm pratizWitaH boDisattvaH 
   bhūyastvena suyāmo bhavati devarājaḥ kṛtī prabhuḥ sattvānāṃ	BUyastvena suyAmaH Bavati devarAjaH kRtI praBuH sattvAnAm
   satkāyadṛṣṭisamuddhātāya kuśalaḥ sattvān samyagdarśane pratiṣṭhāpayitum /	sat kAya dRzwi samudDAtAya kuSalaH sattvAn samyak darSane pratizWApayitum /
   yacca kiṃcit ... ..... //	yat ca kiMcid ... ..... //
   arciṣmatī nāma caturthī bhūmiḥ //	arcizmatI nAma caturTI BUmiH //
   (Dbh 27)	(DB 27)
   5 sudurjayā nāma pañcamī bhūmiḥ /	5 sudurjayA nAma paQcamI BUmiH /
   vajragarbha āha   yo 'yaṃ bhavanto jinaputrā bodhisattvaścaturthyāṃ	vajragarBaH Aha  yaH ayam BavantaH jinaputrAH boDisattvaH caturTyAm
   bodhisattvabhūmau suparipūrṇamārgaḥ pañcamīṃ bodhisattvabhūmimavatarati,	boDisattva BUmO su paripUrNa mArgaH paQcamIm boDisattva BUmim avatarati,
   sa daśabhiścittāśayaviśuddhisamatābhiravatarati / katamābhirdaśabhiḥ?	sa daSaBiH citta ASaya viSudDi samatABiH avatarati / katamABiH daSaBiH?
   yaduta atītabuddhadharmaviśuddhyāśayasamatayā ca	yat uta atIta budDa Darma viSudDi ASaya sama tayA ca
   anāgatabuddhadharmaviśuddhyāśayasamatayā ca	anAgata budDa Darma viSudDi ASaya sama tayA ca
   pratyutpannabuddhadharmaviśuddhyāśayasamatayā ca śīlaviśuddhyāśayasamatayā	pratyutpanna budDa Darma viSudDi ASaya sama tayA ca SIla viSudDi ASaya sama tayA
   ca cittaviśuddhyāśayasamatayā ca	ca citta viSudDi ASaya sama tayA ca
   dṛṣṭikāṅkṣāvimativilekhāpanayanaviśuddhyāśayasamatayā ca	dRzwi kAFkzA vimati vileKA apanayana viSudDi ASaya sama tayA ca
   mārgāmārgajñānaviśuddhyāśayasamatayā ca	mArga amArga jQAna viSudDi ASaya sama tayA ca
   pratipatprahāṇājñānaviśuddhyāśayasamatayā ca	pratipad prahANa ajQAna viSudDi ASaya sama tayA ca
   sarvabodhipakṣyadharmottarottaravibhāvanaviśuddhyāśayasamatayā ca	sarva boDi pakzya Darma uttara uttara viBAvana viSudDi ASaya sama tayA ca
   sarvasattvaparipācanaviśuddhyāśayasamatayā ca /	sarva sattva paripAcana viSudDi ASaya sama tayA ca /
   ābhirdaśabhiścittāśayaviśuddhisamatābhiravatarati / sa khalu punarbhavanto	ABiH daSaBiH citta ASaya viSudDi samatABiH avatarati / sa Kalu punar BavantaH 
   jinaputrā bodhisattvaḥ pañcamīṃ bodhisattvabhūmimanuprāptaḥ eṣāmeva	jinaputrAH boDisattvaH paQcamIm boDisattva BUmim anuprAptaH ezAm eva
   bodhipakṣyāṇāṃ mārgāṅgānāṃ suparikarmakṛtatvātsupariśodhitādhyāśayatvācca	boDi pakzyANAm mArga aFgAnAm su parikarma kRta tvAt su pariSoDita aDyASaya tvAt ca
   bhūya uttarakālamārgaviśeṣamabhiprārthayamānastathatvānupratipannaśca	BUyas uttara kAla mArga viSezam aBiprArTayamAnaH taTatva anupratipannaH ca
   praṇidhānabalādhānataśca kṛpāmaitrībhyāṃ sarvasattvāparityāgataśca	praNiDAna bala ADAnataH ca kRpA mEtrIByAm sarva sattva aparityAgataH ca
   puṇyavijñānasaṃbhāropacayataśca apratiprasrabdhitaśca	puNya vijQAna saMBAra upacayataH ca apratiprasrabDitaH ca
   upāyakauśalyābhinirhārataśca uttarottarabhūmyavabhāsālocanataśca	upAya kOSalya aBinirhArataH ca uttara uttara BUmi avaBAsA locanataH ca
   tathāgatādhiṣṭhānasaṃpratyeṣaṇataśca smṛtimatigatibuddhibalādhānataśca	taTAgata aDizWAna saMprati ezaNataH ca smRtim atigati budDi bala ADAnataH ca
   apratyudāvartanīyamanasikāro bhūtvā idaṃ duḥkhamāryasatyamiti yathābhūtaṃ	apratyudAvartanIya manasikAraH BUtvA idam duHKam Arya satyam iti yaTABUtam
   prajānāti / ayaṃ duḥkhasamudayaḥ āryasatyamiti yathābhūtaṃ prajānāti /	prajAnAti / ayam duHKa samudayaH Arya satyam iti yaTABUtam prajAnAti /
   ayaṃ duḥkhanirodhaḥ āryasatyamiti yathābhūtaṃ prajānāti / iyaṃ	ayam duHKa niroDaH Arya satyam iti yaTABUtam prajAnAti / iyam
   duḥkhanirodhagāminī pratipadāryasatyamiti yathābhūtaṃ prajānāti / sa	duHKa niroDa gAminI pratipad Arya satyam iti yaTABUtam prajAnAti / sa
   saṃvṛtisatyakuśalaśca bhavati / paramārthasatyakuśalaśca bhavati /	saMvRti satya kuSalaH ca Bavati / parama arTa satya kuSalaH ca Bavati /
   lakṣaṇasatyakuśalaśca bhavati / vibhāgasatyakuśalaśca bhavati /	lakzaNa satya kuSalaH ca Bavati / viBAga satya kuSalaH ca Bavati /
   nistīraṇasatyakuśalaśca bhavati / vastusatyakuśalaśca bhavati /	nistIraNa satya kuSalaH ca Bavati / vastu satya kuSalaH ca Bavati /
   prabhavasatyakuśalaśca bhavati / kṣayānutpādasatyakuśalaśca bhavati /	praBava satya kuSalaH ca Bavati / kzaya anutpAda satya kuSalaH ca Bavati /
   mārgajñānāvatārasatyakuśalaśca bhavati /	mArga jQAna avatAra satya kuSalaH ca Bavati /
   sarvabodhisattvabhūmikramānusaṃdhiniṣpādanatayā	sarva boDisattva BUmi krama anusaMDi nizpAdana tayA
   yāvattathāgatajñānasamudayasatyakuśalaśca bhavati / sa parasattvānāṃ	yAvat taTAgata jQAna samudaya satya kuSalaH ca Bavati / sa para sattvAnAm
   yathāśayasaṃtoṣaṇātsaṃvṛtisatyaṃ prajānāti /	yaTASaya saMtozaNAt saMvRti satyam prajAnAti /
   ekanayasamavasaraṇātparamārthasatyaṃ prajānāti /	eka naya samavasaraNAt parama arTa satyam prajAnAti /
   svasāmanyalakṣaṇānubodhāllakṣaṇasatyaṃ prajānāti /	sva sAm anya lakzaNa anuboDAt lakzaNa satyam prajAnAti /
   dharmavibhāgavyavasthānānubodhādvibhāgasatyaṃ prajānāti /	Darma viBAga vyavasTAna anuboDAt viBAga satyam prajAnAti /
   skandhadhātvāyatanavyavasthānānubodhānnistīraṇasatyaṃ prajānāti /	skanDa DAtu Ayatana vyavasTAna anuboDAt nistIraNa satyam prajAnAti /
   cittaśarīraprapīḍanopanipātitatvādvastusatyam,	citta SarIra prapIxana upanipAtita tvAt vastu satyam ,
   gatisaṃdhisaṃbandhanatvātprabhavasatyam,	gati saMDi saMbanDana tvAt praBava satyam ,
   sarvajvaraparidāhātyantopaśamātkṣayānutpādasatyam, advayānutpādasatyam,	sarva jvara paridAha atyanta upaSamAt kzaya anutpAda satyam, advaya an utpAda satyam,
   advayābhinirhāranmārgajñānāvatārasatyam,	advaya aBinirhArat mArga jQAna avatAra satyam ,
   sarvākārābhisaṃbodhitsarvabodhisattvabhūmikramānusaṃdhiniṣpādanatayā	sarva AkAra aBisaMboDit sarva boDisattva BUmi krama anusaMDi nizpAdana tayA
   yāvattathāgatajñānasamudayasatyaṃ prajānāti adhimuktijñānabalādhānānna	yAvat taTAgata jQAna samudaya satyam prajAnAti aDimukti jQAna bala ADAnAt na
   khalu punarniravaśeṣajñānāt //	Kalu punar niravaSeza jQAnAt //
   sa evaṃ satyakauśalyajñānābhinirhṛtayā buddhyā sarvasaṃskṛtaṃ riktaṃ	saH evam satya kOSalya jQAna aBinirhRtayA budDyA sarva saMskRtam riktam
   tucchaṃ mṛṣā moṣadharma avisaṃvādakaṃ bālālāpanamiti yathābhūtaṃ prajānāti	tucCam mRzA moza Darma avisaMvAdakam bAla AlApanam iti yaTABUtam prajAnAti
   / tasya bhūyasyā mātrayā sattveṣu mahākaruṇā abhimukhībhavati,	/ tasya BUyasyA mAtrayA sattvezu mahA karuNA aBimuKIBavati,
   mahāmaitryālokaśca prādurbhavati //	mahAmEtryAlokaH ca prAdurBavati //
   sa evaṃ jñānabalādhanaprāptaḥ sarvasattvasāpekṣo buddhajñānābhilāṣī	saH evam jQAna balA Dana prAptaH sarva sattva sApekzaH budDa jQAna aBilAzI
   pūrvāntāparāntaṃ sarvasaṃskāragatasya pratyavekṣate yathā pūrvāntato	pUrva anta apara antam sarva saMskAra gatasya pratyavekzate yaTA pUrva antataH 
   'vidyābhavatṛṣṇāprasṛtānāṃ sattvānāṃ saṃsārasroto (Dbh 28) 'nuvāhināṃ	avidyA Bava tRzNA prasRtAnAm sattvAnAm saMsAra srotaH (DB 28) anuvAhinAm
   skandhālayānucchalitānāṃ duḥkhaskandho vivardhate, nirātmā niḥsattvo	skanDa AlayAn ucCalitAnAm duHKa skanDaH vivarDate, nirAtmA niHsattvaH 
   nirjīvo niṣpoṣo niṣpudgala ātmātmīyavigataḥ, taṃ yathābhūtaṃ prajānāti /	nirjIvaH nizpozaH nizpudgalaH Atma AtmIya vigataH, tam yaTABUtam prajAnAti /
   yathā ca anāgatasyaiva asatsaṃmohābhilāṣasya vyavacchedaḥ paryanto	yaTA ca anAgatasya eva asat saMmoha aBilAzasya vyavacCedaH paryantaH 
   niḥsaraṇaṃ nāstyasti ca, tacca yathābhūtaṃ prajānāti //	niHsaraNam na asti asti ca, tat ca yaTABUtam prajAnAti //
   tasyaivaṃ bhavati   āścaryaṃ yāvadajñānasamūḍhā bateme bālapṛthagjanāḥ,	tasya evam Bavati  AScaryam yAvat ajQAna samUXAH bata ime bAla pRTagjanAH,
   yeṣāmasaṃkhyeyā ātmabhāvā niruddhāḥ, nirudhyante nirotsyante ca / evaṃ ca	yezAm asaMKyeyAH Atma BAvAH nirudDAH, niruDyante nirotsyante ca / evam ca
   kṣīyamāṇāḥ kāye na nirvidamutpādayanti / bhūyasyā mātrayā duḥkhayantraṃ	kzIyamANAH kAye na nirvidam utpAdayanti / BUyasyA mAtrayA duHKa yantram
   vivardhayanti / saṃsārasrotasaśca mahābhayānna nivartante / skandhālayaṃ	vivarDayanti / saMsAra srotasaH ca mahA BayAt na nivartante / skanDa Alayam
   ca notsṛjanti / dhātūragebhyaśca ga nirvidyante / nandīrāgataścārakaṃ ca	ca na utsRjanti / DAtu urageByaH ca ga nirvidyante / nandIrAgataH cArakam ca
   nāvabudhyante / ṣaḍāyatanaśūnyagrāmaṃ ca na vyavalokayanti /	na avabuDyante / zaz Ayatana SUnya grAmam ca na vyavalokayanti /
   ahaṃkāramamakārābhiniveśānuśayaṃ ca na prajahanti / mānadṛṣṭiśalyaṃ ca	ahaMkAra mamakAra aBiniveSa anuSayam ca na prajahanti / mAna dRzwi Salyam ca
   noddharanti / rāgadveṣamohajvalanaṃ ca na praśamayanti /	na udDaranti / rAga dveza moha jvalanam ca na praSamayanti /
   avidyāmohāndhakāraṃ ca na vidhamayanti / tṛṣṇārṇavaṃ ca nocchoṣayanti /	avidyA moha anDakAram ca na viDamayanti / tRzNA arNavam ca na ucCozayanti /
   daśabalasārthavāhaṃ ca na paryeṣante / mārāśayagahanānugataśca	daSa bala sArTavAham ca na paryezante / mAra ASaya gahana anugataH ca
   saṃsārasāgare vividhākuśalavitarkagrāhākule pariplavante /	saMsAra sAgare viviDa akuSala vitarka grAha Akule pariplavante /
   apratiśaraṇāstathā saṃvegamāpadyante, bahūni duḥkhāni pratyanubhavanti	apratiSaraNAH taTA saMvegam Apadyante, bahUni duHKAni pratyanuBavanti
   yaduta jātijarāvyādhimaraṇaśokaparidevaduḥkhadaurmanasyopāyāsān / hanta	yat uta jAti jarA vyADi maraNa Soka parideva duHKa dOrmanasya upAyAsAn / hanta
   ahameṣāṃ sattvānāṃ	aham ezAm sattvAnAm
   duḥkhārtānāmanāthānāmatrāṇānāmaśaraṇānāmalayanānāmaparāyaṇānāmandhānāmavidyāṇḍakośapaṭalaparyavanaddhānāṃ	duHKa ArtAnAm anATAnAm atrANAnAm aSaraNAnAmalayanAnAm aparAyaNAnAm anDAnAm avidyA aNxa koSa pawala paryavanadDAnAm
   tamobhibhūtānāmarthāya eko 'dvitīyo bhūtvā tathārūpaṃ	tamaH BiBUtAnAm arTAya ekaH advitIyaH BUtvA taTArUpam
   puṇyajñānasaṃbhāropacayaṃ bibharmi, yathārūpeṇa puṇyajñānasaṃbhāropacayena	puNya jQAna saMBAra upacayam biBarmi, yaTArUpeNa puNya jQAna saMBAra upacayena
   saṃbhṛtena ime sarvasattvā atyantaviśuddhimanuprāpnuyuḥ,	saMBRtena ime sarva sattvAH atyanta viSudDim anuprApnuyuH,
   yāvaddaśabalabalatāmasaṅgajñānaniṣṭhāmanuprāpnuyuriti //	yAvat daSa bala bala tAm asaFga jQAna nizWAm anuprApnuyuH iti //
   sa evaṃ suvilokitajñānābhinirhṛtayā buddhyā yatkiṃcit	saH evam su vilokita jQAna aBinirhRtayA budDyA yat kiMcid 
   kuśalamūlabhārabhate, tatsarvasattvaparitrāṇāyārabhate / sarvasattvahitāya	kuSala mUla BAraBate, tad sarva sattva paritrANAya AraBate / sarva sattva hitAya
   sarvasattvasukhāya sarvasattvānukampāyai sarvasattvānupadravāya	sarva sattva suKAya sarva sattva anukampAyE sarva sattvAn upadravAya
   sarvasattvaparimocanāya sarvasattvānukarṣāya sarvasattvaprasādanāya	sarva sattva parimocanAya sarva sattva anukarzAya sarva sattva prasAdanAya
   sarvasattvavinayāya sarvasattvaparinirvāṇāyārabhate //	sarva sattva vinayAya sarva sattva parinirvANAya AraBate //
   sa bhūyasyā mātrayā asyāṃ pañcamyāṃ sudurjayāyāṃ bodhisattvabhūmau sthito	sa BUyasyAH mAtrayA asyAm paQcamyAm su durjayAyAm boDisattva BUmO sTitaH 
   bodhisattvaḥ smṛtimāṃśca bhavati, asaṃpramoṣadharmatayā matimāṃśca	boDisattvaH smRtimAn= ca Bavati, asaMpramoza Darma tayA matimAn= ca
   bhavati, suviniścitajñānatayā gatimāṃśca bhavati,	Bavati, su viniScita jQAna tayA gatimAn= ca Bavati,
   sūtrārthagatisaṃdhāyabhāṣitāvabodhatayā hrīmāṃśca bhavati,	sUtra arTa gati saMDAya BAzita avaboDa tayA hrImAn= ca Bavati,
   ātmaparānurakṣaṇatayā dhṛtimāṃśca bhavati, saṃvaracāritrānutsargatayā	Atma para anurakzaNa tayA DRtimAn= ca Bavati, saMvara cAritra an utsarga tayA
   buddhimāṃśca bhavati, sthānāsthānakauśalyasuvicāritatayā jñānānugataśca	budDimAn= ca Bavati, sTAna AsTAna kOSalya su vicArita tayA jQAna anugataH ca
   bhavati, aparapraṇeyatayā prajñānugataśca bhavati,	Bavati, apara praNeya tayA prajQA anugataH ca Bavati,
   arthānarthasaṃbhedapadakuśalatayā abhijñānirhāraprāptaśca bhavati,	arTa anarTa saMBeda pada kuSala tayA aBijQA nirhAra prAptaH ca Bavati,
   bhāvanābhinirhārakuśalatayā upāyakuśalaśca bhavati lokānuvartanatayā /	BAvanA aBinirhAra kuSala tayA upAya kuSalaH ca Bavati loka anuvartana tayA /
   atṛptaśca bhavati puṇyasaṃbhāropacayatayā / apratiprasrabdhavīryaśca	atRptaH ca Bavati puNya saMBAra upacaya tayA / apratiprasrabDa vIryaH ca
   bhavati jñānasaṃbhāraparyeṣaṇatayā / aparikhinnāśayaśca bhavati	Bavati jQAna saMBAra paryezaNa tayA / apariKinna ASayaH ca Bavati
   mahāmaitrīkṛpāsaṃbhārasaṃbhṛtatayā / aśithilaparyeṣaṇābhiyuktaśca bhavati	mahA mEtrI kRpA saMBAra saMBRta tayA / aSiTila paryezaNa aBiyuktaH ca Bavati
   tathāgatabalavaiśāradyāveṇikabuddhadharmaparyeṣaṇatayā /	taTAgata bala vESAradyA veNika budDa Darma paryezaNa tayA /
   svabhinirhṛtamanasikārānugataśca bhavati	su aBinirhRta manasikAra anugataH ca Bavati
   buddhakṣetraviṭhapanālaṃkārābhinirhṛtatayā / vicitrakuśalakriyābhiyuktaśca	budDa kzetra viWapana alaMkAra aBinirhRta tayA / vicitra kuSala kriyA aBiyuktaH ca
   bhavati lakṣaṇānuvyañjanasamudānayanatayā / satatasamitaṃ svabhiyuktaśca	Bavati lakzaNa anuvyaQjana samudAnayana tayA / satata samitam su aBiyuktaH ca
   bhavati tathāgatakāyavākcittālaṃkāraparyeṣaṇatayā /	Bavati taTAgata kAya vAc citta alaMkAra paryezaNa tayA /
   mahāgauravopasthānaśīlaśca bhavati	mahAgOrava upasTAna SIlaH ca Bavati
   sarvabodhisattvadharmabhaṇākaśuśrūṣaṇatayā / (Dbh 29) apratihatacittaśca	sarva boDisattva Darma BaNAka SuSrUzaNa tayA / (DB 29) apratihata cittaH ca
   bhavati bodhicittamahopāyakauśalyasaṃdhyupasaṃhitalokapracāratayā /	Bavati boDi citta mahA upAya kOSalya saMDi upasaMhita loka pracAra tayA /
   rātriṃdivamanyacittaparivarjitaśca bhavati	rAtriMdivam anya citta parivarjitaH ca Bavati
   sarvasattvaparipācanābhiyogatayā //	sarva sattva paripAcana aBiyoga tayA //
   sa evamabhiyukto dānenāpi sattvān paripācayati, priyavadyatayāpi,	saH evam aBiyuktaH dAnena api sattvAn paripAcayati, priya vat yatayA api,
   arthakriyayāpi, samānārthatayāpi, rūpakāyasaṃdarśanenāpi,	arTa kriyayA api, samAna arTa tayA api, rUpa kAya saMdarSanena api,
   dharmadeśanayāpi, bodhisattvacaryāprabhāvanayāpi,	Darma deSa nayA api, boDisattva caryA praBA avanayA api,
