   akalaṅkavivekānāṃ KDarp_1.30c	akalaFka-vivekAnAm KDarp_1.30c
   cirasevānurodhena KDarp_6.14a	cira-sevA-anuroDena KDarp_6.14a
   cetaḥ śāntyai dveṣadarpojjhitena KDarp_3.151a	cetaH SAntyE dveza-darpa-ujJitena KDarp_3.151a
   cerurmalayamārutāḥ KDarp_3.77d	ceruH-malaya-mArutAH KDarp_3.77d
   caitrotsaveneva śirīṣapuṣpam KDarp_4.2d	cEtra-utsavena-iva SirIza-puzpam KDarp_4.2d
   codyamānaḥ punaḥ punaḥ KDarp_1.48b	codyamAnaH punar punar KDarp_1.48b
   cauryacihnena kevalam KDarp_2.51b	cOrya-cihnena kevalam KDarp_2.51b
   cchinne cakreṇa cakriṇā KDarp_5.17b	cCinne cakreNa cakriNA KDarp_5.17b
   chadmadhīrvāci pāruṣyaṃ KDarp_5.21c	Cadma-DIH-vAci pAruzyam KDarp_5.21c
   chandodevābhidhāno 'tha KDarp_1.80a	Candodeva-aBiDAnaH aTa KDarp_1.80a
   jagatyeko bhadradvirada iva dānārdrasaraṇir KDarp_6.1a	jagati-ekaH Badra-dviradaH iva dAna-Ardra-saraNiH KDarp_6.1a
   jagādābhyetya nāradaḥ KDarp_5.32d	jagAda-aByetya nAradaH KDarp_5.32d
   jagāma gopālabalābhibhūtaḥ KDarp_5.13b	jagAma gopAla-bala-aBiBUtaH KDarp_5.13b
   jagrāhāṃśukapallave KDarp_3.88d	jagrAha-aMSuka-pallave KDarp_3.88d
   jaghanyasthānajanmanām KDarp_1.11b	jaGanya-sTAna-janmanAm KDarp_1.11b
   jaghāna śāpavivaśaḥ KDarp_3.131c	jaGAna SApa-vivaSaH KDarp_3.131c
   jaṭākṣasūtrājinayogapaṭṭa- KDarp_7.12a	jawA-akza-sUtra-ajina-yoga-pawwa KDarp_7.12a
   jaṭāvalkalabhāraste KDarp_3.93c	jawA-valkala-BAraH-te KDarp_3.93c
   jataṃ hemamayacchavi KDarp_6.47d	jatam hemam-aya=-Cavi KDarp_6.47d
   janakaṃ hatamālokya KDarp_3.132a	janakam hatam-Alokya KDarp_3.132a
   janagauravapūjayā KDarp_2.47b	jana-gOrava-pUjayA KDarp_2.47b
   jananīkaruṇākranda- KDarp_5.19c	jananI-karuNA-Akranda KDarp_5.19c
   jananīvājitātmanaḥ KDarp_3.96d	jananI-ivAjita-AtmanaH KDarp_3.96d
   jananyo nimnagāḥ striyaḥ KDarp_1.11d	jananyaH nimnagAH striyaH KDarp_1.11d
   janayatyabhilāṣaṃ te KDarp_3.96c	janayati-aBilAzam te KDarp_3.96c
   janasyodvegaduḥsahaḥ KDarp_2.12b	janasya-udvega-duHsahaH KDarp_2.12b
   jantorjīvitajīvitam KDarp_2.25b	jantoH-jIvita-jIvitam KDarp_2.25b
   janmāntare 'pyato 'nyasmin KDarp_2.109a	janma-antare api-atas anyasmin KDarp_2.109a
   japalolaradacchade KDarp_3.95b	japa-lola-rada=-Cade KDarp_3.95b
   jarājīrṇaśarīrasya KDarp_2.46c	jarA-jIrNa-SarIrasya KDarp_2.46c
   jarājīrṇāni rūpāṇi KDarp_4.63a	jarA-jIrNAni rUpANi KDarp_4.63a
   jarāvatāreṇa ca cārurūpam KDarp_4.4d	jarA-avatAreNa ca cAru-rUpam KDarp_4.4d
   jātimānāvapatanān KDarp_1.76c	jAti-mAn-a-avapatanAn KDarp_1.76c
   jāte tataḥ śmaśruviśālajāle KDarp_4.3c	jAte tatas SmaSru-viSAla-jAle KDarp_4.3c
   jāto jagati viśrutaḥ KDarp_1.18d	jAtaH jagati viSrutaH KDarp_1.18d
   jānāmi yatkṛtasyāsya KDarp_3.86a	jAnAmi yat-kRtasya-asya KDarp_3.86a
   jāyāputravibhāgena KDarp_6.40c	jAyA-putra-viBAgena KDarp_6.40c
   jīvannapyakriyo niḥsvaḥ KDarp_2.26a	jIvan=-api-akriyaH niHsvaH KDarp_2.26a
   jīvavṛttiriva kṣīṇā KDarp_3.45c	jIva-vRttiH-iva kzINA KDarp_3.45c
   jīvitaṃ kṣīyate yayā KDarp_3.35b	jIvitam kzIyate yayA KDarp_3.35b
   jūṭādivendurmṛditaḥ karābhyāṃ KDarp_7.38c	jUwa-Adi-venduH-mRditaH karAByAm KDarp_7.38c
   jṛmbhābhavo 'bhūdbhujayorvilāsaḥ KDarp_7.47d	jRmBA-BavaH aBUt-BujayoH-vilAsaH KDarp_7.47d
   jñātvātha candanaḥ prāptaṃ KDarp_2.101a	jQAtvA-aTa candanaH prAptam KDarp_2.101a
   jvarārambhāruṇekṣaṇaḥ KDarp_3.111b	jvara-AramBa-aruNa-IkzaNaH KDarp_3.111b
   jvalajjvalanatulyasya KDarp_3.104c	jvalat-jvalana-tulyasya KDarp_3.104c
   ta ete śukrabindavaḥ KDarp_4.64d	te ete Sukra-bindavaH KDarp_4.64d
   ta eva guravaḥ pāpa- KDarp_2.94c	te eva guravaH pApa KDarp_2.94c
   taccābhogyaṃ bhavatyasya KDarp_2.110c	tat-ca-aBogyam Bavati-asya KDarp_2.110c
   taccittavṛttervividhasvabhāvāt KDarp_5.4c	tad-citta-vRtteH-viviDa-svaBAvAt KDarp_5.4c
   tataḥ kadācidbhagavānbhavārti- KDarp_7.18a	tatas kadAcid-BagavAn-Bava-Arti KDarp_7.18a
   tataḥ karparamādāya KDarp_2.85a	tatas karparam-AdAya KDarp_2.85a
   tataḥ kāle mate bāhya- KDarp_2.76a	tatas kAle mate bAhya KDarp_2.76a
   tataḥ sa kāle lobhena KDarp_2.70a	tatas sa kAle loBena KDarp_2.70a
   tato 'haṃ vāmapārśvasya KDarp_6.48a	tatas aham vAma-pArSvasya KDarp_6.48a
   tatkaṭākṣajitaścakre KDarp_4.22c	tad-kawAkza-jitaH-cakre KDarp_4.22c
   tatkathāṃ matsarī smaraḥ KDarp_4.35d	tad-kaTAm matsarI smaraH KDarp_4.35d
   tattatsaṃpūraṇāyaiva KDarp_6.49c	tad-tad-saMpUraNAya-eva KDarp_6.49c
   tattatheti yudhiṣṭhiraḥ KDarp_6.53b	tat-taTA-iti yuDizWiraH KDarp_6.53b
   tattasya kāntyā kamanīyamāsīt KDarp_7.39b	tat-tasya kAntyA kamanIyam-AsIt KDarp_7.39b
   tattasya rūpaṃ pravilambibāhoḥ KDarp_7.31c	tat-tasya rUpam pravilambi-bAhoH KDarp_7.31c
   tattāpaśāntyai bhagavāñjinendraḥ KDarp_2.99d	tad-tApa-SAntyE BagavAn-jina-indraH KDarp_2.99d
   tatpāṇisaṃsparśasukhādareṇa KDarp_7.6c	tad-pANi-saMsparSa-suKa-AdareNa KDarp_7.6c
   tatpūrṇaste manorathaḥ KDarp_5.34d	tad-pUrNaH-te manoraTaH KDarp_5.34d
   tatprāptaṃ kiṃ na rakṣyate KDarp_2.28d	tad-prAptam kim na rakzyate KDarp_2.28d
   tatyāja sahasā darpaṃ KDarp_1.59c	tatyAja sahasA darpam KDarp_1.59c
   tatra puṣpoccayavyagrāṃ KDarp_3.80a	tatra puzpa-uccaya-vyagrAm KDarp_3.80a
   tatrācamanatoyena KDarp_6.47a	tatra-Acamana-toyena KDarp_6.47a
   tatrāhaṃ vṛttakartavyā KDarp_1.73a	tatra-aham vRtta-kartavyA KDarp_1.73a
   tatrorvaśīrūpavaśīkṛtānāṃ nimeṣaśūnyāni vilocanāni KDarp_4.26/b	tatra-urvaSI-rUpa-vaSIkRtAnAm nimeza-SUnyAni vilocanAni KDarp_4.26/b
   tatsamīpamupāyayau KDarp_4.55d	tad-samIpam-upAyayO KDarp_4.55d
   tatsaṃgame dveṣamayaḥ KDarp_3.67c	tad-saMgame dveza-mayaH KDarp_3.67c
   tatsaṃnidhānena muhūrtamātraṃ KDarp_2.100a	tad-saMniDAnena muhUrta-mAtram KDarp_2.100a
   tatsaṃbhramādāśramamañjarīṇāṃ KDarp_7.59a	tad-saMBramAt-ASrama-maQjarINAm KDarp_7.59a
   tatsūnuḥ śraddhayātithim KDarp_6.44b	tad-sUnuH SradDayA-atiTim KDarp_6.44b
   tatsūnoścandanasyātha KDarp_2.73a	tad-sUnoH-candanasya-aTa KDarp_2.73a
   tatsparsapāpaṃ stanayoḥ KDarp_2.21c	tad-sparsa-pApam stanayoH KDarp_2.21c
   tathā guṇavataḥ sūnur KDarp_1.8c	taTA guNavataH sUnuH KDarp_1.8c
   tathāpi dṛḍhasaṃkalpaḥ KDarp_3.61c	taTA-api dRXa-saMkalpaH KDarp_3.61c
   tathāpyabhimataṃ dhartuṃ KDarp_3.86c	taTA-api-aBimatam Dartum KDarp_3.86c
   tathāhamaparo jaḍaḥ KDarp_3.60d	taTA-aham-aparaH jaxaH KDarp_3.60d
   tathetyākhyāyi taiḥ suraiḥ KDarp_3.149b	taTA-iti-AKyAyi tEH surEH KDarp_3.149b
   tadandakārāya bhavatyavaśyaṃ KDarp_3.1c	tad-andakArAya Bavati-avaSyam KDarp_3.1c
   tadapuṇyaiḥ parikṣīṇe KDarp_2.78a	tad-apuNyEH parikzINe KDarp_2.78a
   tadā kva rūpasya gato 'bhimānaḥ KDarp_4.10d	tadA kva rUpasya gataH aBimAnaH KDarp_4.10d
   tadā kva rūpaṃ kva ca yauvanaśrīḥ KDarp_4.9d	tadA kva rUpam kva ca yOvana-SrIH KDarp_4.9d
   tadā taṃ dṛptamaiṣīka- KDarp_5.39c	tadA tam dRpta-mEzIka KDarp_5.39c
   tadāpi rūpaṃ vigatasvarūpam KDarp_4.12d	tadA-api rUpam vigata-svarUpam KDarp_4.12d
   tadāvaśyaṃ prakāśate KDarp_1.7d	tadA-avaSyam prakASate KDarp_1.7d
   tadā surūpādavicāraramyād KDarp_4.13c	tadA surUpAda-vicAra-ramyAt KDarp_4.13c
   tadā surūpo 'pi paraṃ virūpaḥ KDarp_4.14d	tadA surUpaH api param virUpaH KDarp_4.14d
   taducyatāṃ sphuratkaṣṭā KDarp_2.93c	tat-ucyatAm sPurat-kazwA KDarp_2.93c
   tadudbhūtaṃ sarvaṃ sukṛtamapahāya vrajati saḥ KDarp_6.1d	tad-udBUtam sarvam sukRtam-apahAya vrajati saH KDarp_6.1d
   tadeṣa te yāsyati śalyabhāvaṃ KDarp_1.40c	tat-eza te yAsyati Salya-BAvam KDarp_1.40c
   tadeṣa doṣaḥ kulamūlaghātaḥ KDarp_1.16d	tat-eza dozaH kula-mUla-GAtaH KDarp_1.16d
   tadaiṣa te syānna viḍambanīyaḥ KDarp_1.42d	tadA-eza te syAt-na vixambanIyaH KDarp_1.42d
   tadgātrasaundaryavaśīkṛtānām KDarp_7.41b	tad-gAtra-sOndarya-vaSIkRtAnAm KDarp_7.41b
   tadguṇākṛṣṭacittayoḥ KDarp_4.27d	tad-guNa-AkRzwa-cittayoH KDarp_4.27d
   taddarśanānusaraṇaprasṛtasya yatnaḥ KDarp_7.66c	tad-darSana-anusaraNa-prasRtasya yatnaH KDarp_7.66c
   taddarśane kautukaniścalānāṃ KDarp_7.43a	tad-darSane kOtuka-niScalAnAm KDarp_7.43a
   taddānaṃ dhanabījavāpanipuṇaḥ śeṣaḥ prakāraḥ kṛṣeḥ KDarp_6.26d	tat-dAnam Dana-bIja-vApa-nipuNaH SezaH prakAraH kRzeH KDarp_6.26d
   tadbhāryāpyādaravatī KDarp_6.43c	tad-BAryA-api-AdaravatI KDarp_6.43c
   tadyauvanenaiva vikāsameti KDarp_4.2c	tat-yOvanena-eva vikAsam-eti KDarp_4.2c
   tadvibhāgānabhijñasya KDarp_2.42c	tad-viBAga-anaBijQasya KDarp_2.42c
   tanīyasī nābhivinirgateva KDarp_7.48d	tanIyasI nABi-vinirgatA-iva KDarp_7.48d
   tanutyāgapravṛttena KDarp_1.61a	tanu-tyAga-pravRttena KDarp_1.61a
   tanuṃ śvabhre kṣipāmi vā KDarp_1.51d	tanum SvaBre kzipAmi vA KDarp_1.51d
   tanvī kathaṃ nṛtyati naiva vidmaḥ KDarp_4.37d	tanvI kaTam nRtyati na-eva vidmaH KDarp_4.37d
   tapa kriyāśoṣitavigrahāṇāṃ KDarp_7.21c	tapa kriyA-Sozita-vigrahANAm KDarp_7.21c
   tapasā prāptumicchasi KDarp_3.60b	tapasA prAptum-icCasi KDarp_3.60b
   tapastāpātkimucyate KDarp_3.65b	tapaH-tApAt-kim-ucyate KDarp_3.65b
   tapasyatāṃ śoṣajuṣāṃ munīnāṃ KDarp_7.17c	tapasyatAm Soza-juzAm munInAm KDarp_7.17c
   tapasvikopasya vijṛmbhitaṃ tat KDarp_7.7d	tapasvi-kopasya vijRmBitam tat KDarp_7.7d
   tapaḥ kṣayaṃ yāti saha smayena KDarp_7.72d	tapaH kzayam yAti saha smayena KDarp_7.72d
   tapaḥ sadā rāgadhanābhimāna- KDarp_7.1a	tapaH sadA rAga-Dana-aBimAna KDarp_7.1a
   tapo 'rhametatsajane vane vā KDarp_7.16c	tapaH arham-etat-sajane vane vA KDarp_7.16c
   tapovane munivarau KDarp_3.16a	tapaH-vane muni-varO KDarp_3.16a
   tapoviśeṣairniśitaprayatnais KDarp_7.72a	tapaH-viSezEH-niSita-prayatnEH KDarp_7.72a
   tamisrapakṣeṇa sudhāṃśubimbam KDarp_4.4b	tamisra-pakzeNa suDAMSu-bimbam KDarp_4.4b
   tamuvāca sasaṃtāpaṃ KDarp_1.52c	tam-uvAca sa-saMtApam KDarp_1.52c
   tamūcustridivaukasaḥ KDarp_3.144d	tam-UcuH-tridivOkasaH KDarp_3.144d
   tameva śaraṇaṃ yayau KDarp_5.41d	tam-eva SaraNam yayO KDarp_5.41d
   tayoryājakayorabhūt KDarp_3.129d	tayoH-yAjakayoH-aBUt KDarp_3.129d
   taralāpāṅgamaṅgibhiḥ KDarp_3.81d	tarala-apAFgam-aFgiBiH KDarp_3.81d
   tarasā tena nirjane KDarp_3.89b	tarasA tena nirjane KDarp_3.89b
   tarasvī senāyāṃ hayagajaghaṭānāmadhipatiḥ KDarp_5.1b	tarasvI senAyAm haya-gaja-GawAnAm-aDipatiH KDarp_5.1b
   taruṇaḥ sthaviro 'stagaḥ KDarp_4.69b	taruNaH sTaviraH asta-gaH KDarp_4.69b
   taroriva na śāntaye KDarp_3.93d	taroH-iva na SAntaye KDarp_3.93d
   tarkasaṃparkakarkaśā KDarp_3.11b	tarka-saMparka-karkaSA KDarp_3.11b
   tarkoktyā paralokakarma nayati prāyeṇa saṃdigdhatāṃ KDarp_3.13c	tarka-uktyA para-loka-karma nayati prAyeNa saMdigDa-tAm KDarp_3.13c
   talasaṃkucitākṛtiḥ KDarp_5.16d	tala-saMkucita-AkRtiH KDarp_5.16d
   tava tatra prayātasya KDarp_3.69a	tava tatra prayAtasya KDarp_3.69a
   tava ye bhūmyanantarāḥ KDarp_5.38d	tava ye BUmi-anantarAH KDarp_5.38d
   tava vandhyasamudyame KDarp_3.57b	tava vanDya-samudyame KDarp_3.57b
   tavāvāṃ draṣṭumāgatau KDarp_4.46d	tava-AvAm drazwum-AgatO KDarp_4.46d
   taskareṣu pravṛddheṣu KDarp_2.39c	taskarezu pravRdDezu KDarp_2.39c
   tasthau klinnatṛṇāstare KDarp_2.80d	tasTO klinna-tRNAstare KDarp_2.80d
   tasthau paryaṅkalīlayā KDarp_2.102d	tasTO paryaFka-lIlayA KDarp_2.102d
   tasmātkāryastvayā putra KDarp_1.36a	tasmAt-kAryaH-tvayA putra KDarp_1.36a
   tasmātprabhūtavibhavodbhavavibhrameṇa KDarp_2.67a	tasmAt-praBUta-viBava-udBava-viBrameNa KDarp_2.67a
   tasmātsadā mānadhanena puṃsā KDarp_5.44a	tasmAt-sadA mAna-Danena puMsA KDarp_5.44a
   tasmātsuvarṇāmbararatnabhūmi- KDarp_6.54a	tasmAt-suvarNa-ambara-ratna-BUmi KDarp_6.54a
   tasmādasthirarūpaṃ vicārya rūpaṃ bhavasvarūpaṃ ca KDarp_4.75/a	tasmAt-asTira-rUpam vicArya rUpam Bava-svarUpam ca KDarp_4.75/a
   tasmādāyuḥkṣayo 'stu te KDarp_3.74d	tasmAt-AyuH-kzayaH astu te KDarp_3.74d
   tasmānna kāryaḥ kulajātidarpaḥ KDarp_1.81b	tasmAt-na kAryaH kula-jAti-darpaH KDarp_1.81b
   tasmānna kāryaḥ pṛthumohadarpaḥ KDarp_7.72b	tasmAt-na kAryaH pRTu-moha-darpaH KDarp_7.72b
   tasmānna kāryaḥ sudhiyā vicārya KDarp_4.72a	tasmAt-na kAryaH suDiyA vicArya KDarp_4.72a
   tasmānna darpaḥ puruṣeṇa kāryaḥ KDarp_2.113a	tasmAt-na darpaH puruzeNa kAryaH KDarp_2.113a
   tasmānnityahitāya śāntamanasāṃ vairāgyamārogyadam KDarp_3.53d	tasmAt-nitya-hitAya SAnta-manasAm vErAgyam-Arogya-dam KDarp_3.53d
   tasminnapyativātsalyāt KDarp_2.81a	tasmin=-api-ati-vAtsalyAt KDarp_2.81a
   tasminnabhidrute vegād KDarp_3.119a	tasmin=-aBidrute vegAt KDarp_3.119a
   tasminnavahito bhava KDarp_3.23d	tasmin=-avahitaH Bava KDarp_3.23d
   tasminneva dine sa paṅkakalilaklinnastaṭe śuṣyati KDarp_4.73d	tasmin=-eva dine sa paFka-kalila-klinnaH-tawe Suzyati KDarp_4.73d
   tasminmadonmādagadāṅgabhaṅga- KDarp_4.8c	tasmin-mada-unmAda-gada-aFga-BaFga KDarp_4.8c
   tasmai paṇḍitamūrkhāya KDarp_3.4c	tasmE paNxita-mUrKAya KDarp_3.4c
   tasmai vihitasatkāraḥ KDarp_6.42a	tasmE vihita-satkAraH KDarp_6.42a
   tasmai svamaśanaṃ dadau KDarp_6.43d	tasmE svam-aSanam dadO KDarp_6.43d
   tasya kaṇṭhaḥ samāyayau KDarp_4.43b	tasya kaNWaH samAyayO KDarp_4.43b
   tasya kaṣṭaṃ kadaryasya KDarp_2.15c	tasya kazwam kadaryasya KDarp_2.15c
   tasya daivaviparyayāt KDarp_2.17d	tasya dEva-viparyayAt KDarp_2.17d
   tasya niḥśeṣitārāteḥ KDarp_5.30a	tasya niHSezita-arAteH KDarp_5.30a
   tasya praveśamajñānān KDarp_3.141c	tasya praveSam-ajQAnAn KDarp_3.141c
   tasya praveśe vadanādhivāsa- KDarp_7.44a	tasya praveSe vadana-aDivAsa KDarp_7.44a
   tasya muktālatā nāma KDarp_1.21a	tasya muktAlatA nAma KDarp_1.21a
   tasya yātasya nirayaṃ KDarp_2.72a	tasya yAtasya nirayam KDarp_2.72a
   tasya svastimatī satī KDarp_3.108d	tasya svastimatI satI KDarp_3.108d
   tasyāgnipatane ruciḥ KDarp_3.9d	tasya-agni-patane ruciH KDarp_3.9d
   tasyāgre kiṃ kariṣyasi KDarp_3.104d	tasya-agre kim karizyasi KDarp_3.104d
   tasyādau dṛḍharūḍhamūladalane kāryo 'bhiyogastvayā KDarp_1.37d	tasya-AdO dRXa-rUXa-mUla-dalane kAryaH aBiyogaH-tvayA KDarp_1.37d
   tasyādhare cumbanalālaseva KDarp_7.49a	tasya-aDare cumbana-lAla-seva KDarp_7.49a
   tasyā nṛttarasaśramoditaghanasvedāmbubimbaśriyam KDarp_4.24d	tasyAH nRtta-rasa-Srama-udita-Gana-sveda-ambu-bimba-Sriyam KDarp_4.24d
   tasyā nṛttavilokane pulakitaṃ dṛṣṭvā ratirmanmathaṃ KDarp_4.25a	tasyAH nRtta-vilokane pulakitam dRzwvA ratiH-manmaTam KDarp_4.25a
   tasyāntike śīladukūlamukti- KDarp_7.51c	tasya-antike SIla-dukUla-mukti KDarp_7.51c
   tasyābhavadveśma saśokamūkam KDarp_2.14d	tasya-aBavat-veSma sa-Soka-mUkam KDarp_2.14d
   tasyāmarādhīśakirīṭaratna- KDarp_7.30a	tasya-amara-aDISa-kirIwa-ratna KDarp_7.30a
   tasyāśu śamanaṃ pathaṃ KDarp_2.34c	tasya-ASu Samanam paTam KDarp_2.34c
   tasyāṃ tasyābhavatkāntaḥ KDarp_1.22a	tasyAm tasya-aBavat-kAntaH KDarp_1.22a
   tasyāṃ tasyābhavatsūnuḥ KDarp_2.19a	tasyAm tasya-aBavat-sUnuH KDarp_2.19a
   tasyāḥ serṣyāpsaronetra- KDarp_4.23a	tasyAH sa-Irzya-apsaraH-netra KDarp_4.23a
   tasyaiva śarapañcakam KDarp_4.36d	tasya-eva Sara-paQcakam KDarp_4.36d
   tasyaivānte phalapradam KDarp_6.6d	tasya-eva-ante Pala-pradam KDarp_6.6d
   tasyogratapasā tuṣṭaḥ KDarp_1.78a	tasya-ugra-tapasA tuzwaH KDarp_1.78a
   tasyoditānāṃ vadanaprabhāṇāṃ KDarp_7.19a	tasya-uditAnAm vadana-praBANAm KDarp_7.19a
   taṃ tapastāpitātmānaṃ KDarp_3.21a	tam tapaH-tApita-AtmAnam KDarp_3.21a
   taṃ darpadoṣajvaritaṃ KDarp_1.24a	tam darpa-doza-jvaritam KDarp_1.24a
   taṃ darpamattaṃ sākopa- KDarp_3.73a	tam darpa-mattam sA-kopa KDarp_3.73a
   taṃ dṛṣṭvā candanaḥ saudhād KDarp_2.86a	tam dRzwvA candanaH sODAt KDarp_2.86a
   taṃ dṛṣṭvā niṣphalakleśa- KDarp_3.56a	tam dRzwvA nizPala-kleSa KDarp_3.56a
   taṃ madākrāntamaśrānta- KDarp_3.64a	tam mad-AkrAntam-aSrAnta KDarp_3.64a
   taṃ yuddhakāmukaṃ tiryag- KDarp_5.37a	tam yudDa-kAmukam tiryag KDarp_5.37a
   taṃ yauvanaṃ mūrtamivāpatantam KDarp_7.45b	tam yOvanam mUrtam-iva-Apatantam KDarp_7.45b
   taṃ samāptavrataṃ prāptaṃ KDarp_3.137a	tam samApta-vratam prAptam KDarp_3.137a
   tānuvāca kṛtāñjaliḥ KDarp_3.146b	tAn-uvAca kRtAQjaliH KDarp_3.146b
   tārahāraṃ kirīṭinam KDarp_4.56b	tAra-hAram kirIwinam KDarp_4.56b
   tāraṃ rodiṣi kiṃ putra KDarp_2.96a	tAram rodizi kim putra KDarp_2.96a
   tārkikaiḥ karkaśīkṛtā KDarp_3.12b	tArkikEH karkaSIkRtA KDarp_3.12b
   tāvaśrāntaśrutonmādau KDarp_3.67a	tO=-aSrAnta-Sruta-unmAdO KDarp_3.67a
   tāvūcaturmanaḥsakta- KDarp_3.73c	tO=-UcatuH-manaH-sakta KDarp_3.73c
   tāvūcatuḥ kṣitipate KDarp_4.46a	tO=-UcatuH kzitipate KDarp_4.46a
   tāvūce nṛpatirmānyamānenābhyadhikāraḥ KDarp_4.49/b	tO=-Uce nRpatiH-mAnyamAnena-aByaDikAraH KDarp_4.49/b
   tāsāṃ tadarcārabhasotthitānāṃ KDarp_7.47a	tAsAm tad-arcA-AraBasa-utTitAnAm KDarp_7.47a
   tāsāṃ tadālokananirnimeṣā dṛṣṭiḥ paraṃ karṇapathapraviṣṭā KDarp_7.46/a	tAsAm tad-Alokana-nirnimezA dRzwiH param karNa-paTa-pravizwA KDarp_7.46/a
   tāsāṃ babhau romalatā mukhendu- KDarp_7.48a	tAsAm baBO romalatA muKa-indu KDarp_7.48a
   tāsāṃ madhye babhau kāntā KDarp_4.19a	tAsAm maDye baBO kAntA KDarp_4.19a
   tāsāṃ vilokyaiva manovikāraṃ KDarp_7.52c	tAsAm vilokya-eva manaH-vikAram KDarp_7.52c
   tāṃ dṛṣṭvā candravadanāṃ KDarp_3.82a	tAm dRzwvA candra-vadanAm KDarp_3.82a
   tāṃ dṛṣṭvendumukhīṃ surāḥ KDarp_4.20b	tAm dRzwvA-indu-muKIm surAH KDarp_4.20b
   tiryagjihmanirīkṣaṇairvidadhati bhrūbhaṅgabhīmaṃ mukham KDarp_1.46b	tiryak-jihma-nirIkzaNEH-vidaDati BrU-BaFga-BImam muKam KDarp_1.46b
   tīrthāptiḥ sādhusaṃparkaḥ KDarp_4.51a	tIrTa-AptiH sADu-saMparkaH KDarp_4.51a
   tīvraniṣkṛtipāraṇam KDarp_3.136d	tIvra-nizkRti-pAraNam KDarp_3.136d
   tīvrapāpeṣu dhīratā KDarp_5.21b	tIvra-pApezu DIra-tA KDarp_5.21b
   tīvraprayāsaprakaṭāsthiśeṣān KDarp_7.20b	tIvra-prayAsa-prakawa-asTi-SezAn KDarp_7.20b
   tīvravyathaḥ spṛhayate maraṇāya jantuḥ KDarp_2.63b	tIvra-vyaTaH spRhayate maraNAya jantuH KDarp_2.63b
   tīvravrataiḥ śuṣyati kāya eva KDarp_7.27c	tIvra-vratEH Suzyati kAyaH eva KDarp_7.27c
   tīvraṃ vidyāptaye tapaḥ KDarp_3.20d	tIvram vidyA-Aptaye tapaH KDarp_3.20d
   tīvrābhitāpaprasavo 'bhimānaḥ KDarp_1.40d	tIvra-aBitApa-prasavaH aBimAnaH KDarp_1.40d
   tīvre tapasi niṣṭhitau KDarp_5.34b	tIvre tapasi nizWitO KDarp_5.34b
   turaṅga iva hārakaḥ KDarp_3.97b	turaFgaH iva hArakaH KDarp_3.97b
   tuṣṭāḥ kratusamāsīnās KDarp_3.144c	tuzwAH kratu-samAsInAH KDarp_3.144c
   tuṣṭena kiṃ kadaryeṇa KDarp_1.33c	tuzwena kim kadaryeNa KDarp_1.33c
   tūrṇamityavadatkrudhā KDarp_2.86d	tUrNam-iti-avadat-kruDA KDarp_2.86d
   tūrṇaṃ gatvā svamāśramam KDarp_3.63b	tUrNam gatvA svam-ASramam KDarp_3.63b
   tṛptidaṃ darśanenāpi KDarp_2.25a	tRpti-dam darSanena-api KDarp_2.25a
   tṛṣṇaṃ mohaṃ prajāgaram KDarp_2.33b	tRzNam moham prajAgaram KDarp_2.33b
   te taṃ smitaprasphuritādharāgram KDarp_7.61a	te tam smita-prasPurita-aDara-agram KDarp_7.61a
   te daṇḍapāṣāṇabṛsīśatāni KDarp_7.65b	te daNxa-pAzANa-bRsI-SatAni KDarp_7.65b
   te 'dya kiṃ niścalā iva KDarp_3.123d	te adya kim niScalAH iva KDarp_3.123d
   tena tasyānṛśaṃsyena KDarp_3.144a	tena tasya-AnRSaMsyena KDarp_3.144a
   tena tīkṣṇapratodena KDarp_1.48a	tena tIkzNa-pratodena KDarp_1.48a
   tena rūpaguṇotsāhair KDarp_4.34a	tena rUpa-guNa-utsAhEH KDarp_4.34a
   tena vyayavivādeṣu KDarp_2.18c	tena vyaya-vivAdezu KDarp_2.18c
   tenātmā hanta mūrkheṇa KDarp_3.5c	tena-AtmA hanta mUrKeNa KDarp_3.5c
   tenānyarūpeṇa kṛtā navaiva KDarp_7.38a	tena-anya-rUpeNa kRtA nava-eva KDarp_7.38a
   tenāpyatṛptimālokya KDarp_6.44a	tena-api-atRptim-Alokya KDarp_6.44a
   tenāyaṃ sadhano 'bhavat KDarp_2.109d	tena-ayam sa-DanaH aBavat KDarp_2.109d
   tenaiva darpo yadi kiṃ vṛthaiva KDarp_7.1c	tena-eva darpaH yadi kim vRTA-eva KDarp_7.1c
   te prāpurīrṣyāpadamandhakāri KDarp_7.60a	te prApuH-IrzyA-padam-anDakAri KDarp_7.60a
   te bhejire rāgasamudgaterṣyāḥ KDarp_7.54c	te Bejire rAga-samudgata-IrzyAH KDarp_7.54c
   teṣaṃ prakopavipulānalatāpitānām KDarp_7.66b	tezam prakopa-vipula-anala-tApitAnAm KDarp_7.66b
   teṣāmanugrahamayena vilokanena KDarp_7.71b	tezAm-anugraha-mayena vilokanena KDarp_7.71b
   teṣāmamarṣādbhṛśamakṣamāṇāṃ KDarp_7.58a	tezAm-amarzAt-BRSam-akzamANAm KDarp_7.58a
   teṣāṃ roṣakaṣāyitodaradṛśāṃ dveṣoṣṇaniḥśvāsināṃ KDarp_3.14c	tezAm roza-kazAyita-udara-dRSAm dveza-uzNa-niHSvAsinAm KDarp_3.14c
