   tṛtīya ucchvāsaḥ	tRtIyaH ucCvAsaH
   bāṇastu tacchratbā samutsṛjya nidrāmutthāya pkṣālya vadanamupāsya ca	bANaH-tu tad-SratbA samutsRjya nidrAm-utTAya pkzAlya vadanam-upAsya ca
   bhagavatīṃ saṃdhyāmudite ca bhagavati savitari	BagavatIm saMDyA-mudite ca Bagavati savitari
   gṛhītatāmbūlastatraivātiṣṭhat /	gRhIta-tAmbUlaH-tatra-eva-atizWat /
   atrāntare sarve 'sya jñātayaḥ samājagmuḥ, parivāye cāsāṃcakrire /	atra-antare sarve asya jQAtayaH samAjagmuH, parivAye ca-AsAMcakrire /
   asāvapi pūrvoddhātena viditābhiprāyasteṣāṃ puro harṣacaritaṃ	asO=-api pUrva-udDAtena vidita-aBiprAyaH-tezAm puras harza-caritam
   kathayitumārebhe-- śrūyatām--asti puṇyakṛtāmadhivāso vāsavāvāsa iva	kaTayitum-AreBe- SrUyatAm---asti puNya-kRtAm-aDivAsaH vAsava-AvAsaH iva
   vasudhāmavatīrṇaḥ satatamasakīrṇavarṇavyavahārasthitiḥ kṛtayugavyavasthaḥ,	vasuDAm-avatIrNaH satatamasa-kIrNa-varNa-vyavahAra-sTitiH kRta-yuga-vyavasTaH,
   sthalakamalabahalatayā potronmūlyamānamṛṇālairudgītamedinīsāraguṇairiva	sTala-kamala-bahala-tayA potra-unmUlyamAna-mRNAlEH-udgIta-medinI-sAra-guNEH-iva
   kṛtamadhukarakā lāhalairharullikhyamānakṣetraḥ, jñīrodapayaḥ	kRta-maDukarakAH lAhalEH-harulliKyamAna-kzetraH, jQIra-uda-payaH
   pāyipayodasiktābhiriva puṇḍrekṣuvāṭasaṃtatibhirnirantaraḥ,	pAyi-payoda-siktABiH-iva puNxra-ikzu-vAwa-saMtatiBiH-nirantaraH,
   pratidiśamapūrvaparvatakairiva khaladhānadhāmabhirvibhajyamānaiḥ	pratidiSam-apUrva-parvatakEH-iva Kala-DAna-DAmaBiH-viBajyamAnEH
   sasyakūṭaiḥ saṃkaṭasakalasīmāntaḥ,	sasya-kUwEH saMkawa-sakala-sImAntaH,
   samantāduddhātaghaṭīsicyamānairjīrakajūṭairjaṭilitabhūmiḥ,	samantAt-udDAta-GawI-sicyamAnEH-jIraka-jUwEH-jawilita-BUmiH,
   urvarāvarīyobhiḥ śāleyairalaṅkṛtaḥ,	urvarAvarIyoBiH SAleyEH-alaFkRtaH,
   pākaviśarārurājamāṣanikarakirmīritaiścasphuṭitamudgaphalakośīkapiśitairgodhūmadhāmabhiḥ	pAka-viSarAru-rAjamAza-nikara-kirmIritEH-ca-sPuwita-mudga-Palaka-uSIka-piSitEH-goDUma-DAmaBiH
   sthalīpṛṣṭhairadhiṣṭhitaḥ, mahiṣapṛṣṭhapratiṣṭhitagāyadgopālapālitaiśca	sTalI-pRzWEH-aDizWitaH, mahiza-pRzWa-pratizWita-gAyat-gopAla-pAlitEH-ca
   kīṭapaṭalalampaṭa	kIwa-pawala-lampawa
   caṭakānusṛtairavaṭughaṭitaghaṇṭāghaṭīraṭitaramaṇīyairaṭadbhiraṭavīṃ	cawakA-anusRtEH-avawu-Gawita-GaNwA-GawI-rawita-ramaNIyEH-awadBiH-awavIm
   haravṛṣabhapītamāmayāśaṅkayābahudhā vibhaktaṃ kṣīrodamiva kṣīraṃ	hara-vRzaBa-pItam-AmayA-SaFkayA-bahuDA viBaktam kzIrodam-iva kzIram
   kṣaradbhirbāṣpacchedyatṛṇatṛptairgodhanairdhavalitavipinaḥ,	kzaradBiH-bAzpa=-Cedya-tRNa-tRptEH-go-DanEH-Davalita-vipinaH,
   vividhamakhahomadhūmāndhaśatamanyumuktairlocanaurava sahasrasaṃkhyaiḥ	viviDam-aKa-homa-DUma-anDa-Sata-manyu-muktEH-locanOrava sahasra-saMKyEH
   kṛṣṇaśāraiḥ śārīkṛtoddeśaḥ, dhavaladhūmimucā ketakīvanānāṃ rajobhiḥ	kRzNa-SArEH SArIkRta-uddeSaH, Davala-DUmi-mucA ketakI-vanAnAm rajoBiH
   pāṇḍurīkṛtaiḥ prathamoddhūlanabhasmadhūsaraiḥ śivapurasyeva praveśaiḥ	pANxurIkRtEH praTama-udDUla-naBasma-DUsarEH Siva-purasya-iva praveSEH
   pradeśairupaśobhitaḥ, śākakandalaśyāmalitagrāmopakaṇṭhakāśyapīpṛṣṭhaḥ,	pradeSEH-upaSoBitaH, SAka-kanda-laSyAmalita-grAma-upakaNWa-kASyapI-pRzWaH,
   pade pade karabhapālībhiḥ pīlupallavaprasphoṭitaiḥ	pade pade karaBa-pAlIBiH pIlu-pallava-prasPowitEH
   karapuṭapīḍitakomalamātuluṅgādalarasopaliptaiḥ	kara-puwa-pIxita-komala-mAtuluFgAt-ala-rasa-upaliptEH
   svecchāvicitakuṅkumakesarakṛtapuṣpaprakaraiḥ	sva-icCA-vicita-kuFkuma-kesara-kRta-puzpa-prakarEH
   pratyagraphalarasapānasukhasuptapathikairvanadevatādīyamānāmṛtarasaprapāgṛhairiva	pratyagra-Pala-rasa-pAna-suKa-supta-paTikEH-vana-devatA-AdIyamAna-amRta-rasa-prapA-gRhEH-iva
   drākṣālatāmaṇḍapaiḥ sphuratphalānāṃ ca bījalagnaśukacañcu rāgāṇāmiva	drAkzA-latA-maNxapEH sPurat-PalAnAm ca bIja-lagna-Suka-caQcu rAgANAm-iva
   samārūḍhakapikulakapolasaṃdihyamānakusumānāṃ dāḍamīnā	samArUXa-kapikula-kapola-saMdihyamAna-kusumAnAm dAxamInA
   vanairvilobhanīyopanirgamaḥ, vanapālapīyamānanārikelarasāsavaiśca	vanEH-viloBanIya-upanirgamaH, vana-pAla-pIyamAna-nArikela-rasa-AsavEH-ca
   pathikalokalupyamānapiṇḍakharjūrairgolāṅgalalihyamānamadhurāmodapiṇḍīrasaiścakoracañcujarjaritārukairupavanairabhirāmaḥ,	paTika-lokalupyamAna-piNxa-KarjUrEH-golAFga-la-lihyamAna-maDura-Amoda-piNxI-rasEH-cakora-caQcu-jarjarita-ArukEH-upavanEH-aBirAmaH,
   tuṅgārjunapāloparivṛtaiśca	tuFga-arjuna-pAla-upari-vRtEH-ca
   gokulāvatārakaluṣitakūlakīlālairadhvagaśataśaraṇyairaraṇyavaruṇadharābandhairavadhyavanarandhraḥ,	gokula-avatAra-kaluzita-kUla-kIlAlEH-aDvaga-Sata-SaraNyEH-araNya-varuNa-DarA-banDEH-avaDya-vana-ranDraH,
   karabhīyakumārakapālyamānairauṣṭrakairaurabhrakaiśca kṛtasaṃbādhaḥ, diśi	karaBIya-kumAra-kapAlyamAnEH-OzwrakEH-OraBrakEH-ca kRta-saMbADaH, diSi
   diśi ravirathaturagavilobhanāyaiva viloṭhanamṛditakuṅku	diSi ravi-raTa-turaga-viloBanAya-eva viloWana-mRdita-kuFku
   masthalīrasasamālabdhānāmutprothapuṭairunmukhairudaraśāyikiśorakajavajananāya	masTalI-rasa-samAlabDAnAm-utproTa-puwEH-unmuKEH-udara-SAyi-ki-Soraka-java-jananAya
   prabhañjanamiva cāpibantīnāṃ vātahariṇīnāmiva svacchandacāriṇīnāṃ	praBaQjanam-iva ca-apibantInAm vAta-hariNInAm-iva svacCanda-cAriNInAm
   vaḍavānāṃ vṛndairvicaradbhirācitaḥ,	vaxavAnAm vRndEH-vicaradBiH-AcitaH,
   anavaratakratudhūmāndhakārapravṛttairhaṃsayūthairiva	anavarata-kratu-DUma-anDakAra-pravRttEH-haMsa-yUTEH-iva
   guṇairdhavalitabhuvanaḥ, saṃgītagatamurajaravamattairmayūrairiva	guNEH-Davalita-BuvanaH, saMgIta-gata-muraja-rava-mattEH-mayUrEH-iva
   vibhavairmukharitajīvalokaḥ, śaśikarāvadātavṛttairmuktāphalairiva guṇibhiḥ	viBavEH-muKarita-jIva-lokaH, SaSi-kara-avadAta-vRttEH-muktAPalEH-iva guNiBiH
   prasādhitaḥ, pathikaśatavilupyamānasphītaphalairmahātarubhiriva	prasADitaH, paTika-Sata-vilupyamAna-sPIta-PalEH-mahA-taruBiH-iva
   sarvātithibhirabhigamanīyaḥ,	sarva-atiTiBiH-aBigamanIyaH,
   mṛgamadaparimalavāhimṛgaromācchāditairhimavatpādairiva mahattaraiḥ sthi	mRga-mada-parimala-vAhi-mRga-roma-AcCAditEH-himavat-pAdEH-iva mahattarEH sTi
   rīkṛtaḥ, proddaṇḍasahasrapatropaviṣṭadvijottamairnārāyaṇanābhimaṇḍalairiva	rIkRtaH, proddaNxa-sahasra-patra-upavizwa-dvija-uttamEH-nArAyaNa-nABi-maNxalEH-iva
   toyāśayairmaṇḍitaḥ, mathitapayaḥpravāhaprakṣālitakṣitibhiḥ	toya-ASayEH-maNxitaH, maTita-payaH-pravAha-prakzAlita-kzitiBiH
   kṣīrodamathanārambhairiva mahāghoṣaiḥ pūritāśaḥ śrīkaṇṭho nāma janapadaḥ /	kzIroda-maTana-AramBEH-iva mahA-GozEH pUrita-ASaH SrIkaNWaH nAma janapadaH /
   yatra tretāgnidhūmāśrupātajalajñālitā ivākṣīyanta kudṛṣṭayaḥ /	yatra tretAgni-DUma-aSru-pAta-jala-jQAlitAH iva-akzIyanta kudRzwayaH /
   pacyamānacayaneṣṭakādahanadagdhānīva nādṛśyanta duritāni /	pacyamAna-cayana-izwakA-dahana-dagDAni-iva na-adRSyanta duritAni /
   chidyamānayūpadāruparaśupāṭita iva vyadīryatādharmaḥ /	CidyamAnayUpa-dAru-paraSupAwitaH iva vyadIryata-aDarmaH /
   makhaśikhidhūmajaladharādhārādhauta iva nanāśa varṇasaṃkaraḥ /	maKa-SiKi-DUma-jalaDara-ADAra-ADOtaH iva nanASa varNa-saMkaraH /
   dīyamānanekagosahasraśṛṅgakhaṇḍyamāna ivāpalāyata kaliḥ /	dIyamAna-neka-go-sahasra-SRFga-KaNxyamAnaH iva-apalAyata kaliH /
   surālayaśilāghaṭṭanaṭaṅkanikaranikṛtā iva vyadīryanta vipadaḥ /	surAlaya-SilA-Gawwana-waFka-nikara-nikRtAH iva vyadIryanta vipadaH /
   mahādānavidhānakalakalābhidrutā iva prādravannupadravāḥ /	mahA-dAna-viDAna-kalakala-aBidrutAH iva prAdravan=-upadravAH /
   dopyamānasatramahānasasahasrānalasatāpitā iva vyalīyanta vyādhayaḥ,	dopyamAna-satra-mahAnasa-sahasra-anala-sa-tApitAH iva vyalIyanta vyADayaH,
   vṛṣavivāhaprahatapuṇyapaṭahapaṭurava trāsitā iva nopāsarpannapamṛtyavaḥ	vRza-vivAha-prahata-puNya-pawaha-pawuH-ava trAsitAH iva na-upAsarpan=-apamRtyavaH
   saṃtatabrahnaghoṣabadhirīkṛtā ivāpajagmurītayaḥ /	saMtata-brahna-Goza-baDirIkRtAH iva-apajagmurItayaH /
   dharmādhikāraparibhūtamiva na prābhavaddurvaivam /	Darma-aDikAra-pariBUtam-iva na prABavat-durvEvam /
   tatra caivaṃvidhe nānārāmābhirāmakusumagandhaparimalasubhago yauvanārambha	tatra ca-evaMviDe nAnA-rAma-aBirAma-kusuma-ganDa-parimala-suBagaH yOvana-AramBa
   iva bhuvanasya, kuṅkumamalanapiñjiritabahumahiṣīsahasraśobhito	iva Buvanasya, kuFkuma-malana-piQjirita-bahu-mahizI-sahasra-SoBitaH-
   'ntaḥpuraniveśa iva dharmasya,	antaHpura-niveSaH iva Darmasya,
   marududdhūyamānacamarībālavyajanaśatadhavalitaprānta ekadeśa iva	marut-udDUyamAna-camarI-bAla-vyajana-SataDavalita-prAntaH eka-deSaH iva
   surarājyasya, jvalanmakhaśikhisahasradīpyamānadaśadigantaḥ śivirasaṃniveśa	sura-rAjyasya, jvalat-maKa-SiKi-sahasra-dIpyamAna-daSa-di-gantaH Sivira-saMniveSa
   iva kṛtayugasya;	iva kRta-yugasya;
   pajhāsanasthitabrahnarṣidhyānādhīyamānasakalākuśalapraśamaḥ prathamo	paJAsana-sTita-brahna-rzi-DyAna-aDIyamAna-sakala-akuSala-praSamaH praTamaH-
   'vatāra iva brahnalokasya, kalakalamukharamahāvāhinīśatasaṃkulo vipakṣa	avatAraH iva brahna-lokasya, kalakala-muKara-mahA-vAhinI-Sata-saMkulaH vipakza
   ivottarakurūpaṇām, riśvaramārgaṇasaṃtāpānabhijñasakalajano vijigīṣuriva	iva-uttara-kuru-upaNAm, riSvara-mArgaNa-saMtApa-anaBijQa-sakala-janaH vijigIzuH-iva
   tripurasya, sudhārasasiktadhavalagṛhapaṅktipāṇḍuraḥ pratinighiriva	tripurasya, suDA-rasa-sikta-Davala-gRha-paFkti-pANxuraH pratiniGiH-iva
   candralokasya, madhumadamattakāśinībhūṣaṇaravabharitabhuvano nāmābhihāra	candra-lokasya, maDu-mada-matta-kASinI-BUzaNa-rava-Barita-BuvanaH nAma-aBihAra
   iva kubera nagarasya, sthāṇvīśvarākhyo janapadaviśeṣaḥ /	iva kubera nagarasya, sTANu-ISvara-AKyaH janapada-viSezaH /
   yastapovanamiti munibhiḥ, kāmāyatanamiti veśyābhiḥ, saṃgītaśāleti	yaH-tapaH-vanam-iti muniBiH, kAma-Ayatanam-iti veSyABiH, saMgIta-SAlA-iti
   lāsakaiḥ, yamanagaramiti śatrubhiḥ, cintāmaṇibhūmirityarthibhiḥ	lAsakEH, yama-nagaram-iti SatruBiH, cintAmaNi-BUmiH-iti-arTiBiH
   vīrakṣetramiti śastropajīvibhiḥ, gurukulamiti vidyārthibhiḥ,	vIra-kzetram-iti Sastra-upajIviBiH, guru-kulam-iti vidyA-arTiBiH,
   gandharvanagaramiti gāyanaiḥ, viśvakarmamandiramiti vijñānibhiḥ,	ganDarvanagaram-iti gAyanEH, viSvakarma-mandiram-iti vijQAniBiH,
   lābhabhūmiriti vandehakaiḥ, dyūtasthānamiti bandhibhiḥ, sādhusamāgama iti	lABa-BUmiH-iti vandehakEH, dyUta-sTAnam-iti banDiBiH, sADu-samAgamaH iti
   sadbhiḥ, vajrapañjaramiti śaraṇāgataiḥ, viṭagoṣṭhīti vidagdhaiḥ,	sadBiH, vajrapaQjaram-iti SaraNa-AgatEH, viwa-gozWI-iti vidagDEH,
   sukṛtapariṇāma iti pathikaiḥ, asuravivaramiti vātikaiḥ śākyāśrama iti	sukRta-pariNAmaH iti paTikEH, asura-vivaram-iti vAtikEH SAkya-ASramaH iti
   śamibhiḥ, apsaraḥpuramiti kāmibhiḥ, mahotsavasamāja iti cāraṇaiḥ,	SamiBiH, apsaraH-puram-iti kAmiBiH, mahA-utsava-samAjaH iti cAraNEH,
   vasudhāreti ca viprairagṛhyata /	vasuDArA-iti ca viprEH-agRhyate /
   yatra ca mātaṅgāminyaḥ śīlavatyaśca, gauryo vibhavaratāśca, śmāmāḥ	yatra ca mAtaFgAminyaH SIlavatyaH-ca, gOryaH viBava-ratAH-ca, SmAmAH
   pajharāgiṇyaśca, dhavaladvijaśucivadanā madirāmodiśvasanāśca,	paJara-AgiNyaH-ca, Davala-dvija-Suci-vadanAH madirA-modiSvasanAH-ca,
   candrakāntavapuṣaḥ śirīṣakomalāṅgayaśca, abhujaṅgagamyāḥ kañcukinyaśca,	candrakAnta-vapuzaH SirIza-komala-aFgayaH-ca, aBujaFga-gamyAH kaQcukinyaH-ca,
   pṛthukalatraśriyo daridramadhyakalitāśca, lāvaṇyavatyo madhurabhāṣiṇyaśca,	pRTu-kalatra-SriyaH daridra-maDya-kalitAH-ca, lAvaNyavatyaH maDura-BAziNyaH-ca,
   apramattāḥ prasannojjvalamukharāgāśca akautukāḥ prauḍhāśca pramadāḥ /	apramattAH prasanna-ujjvala-muKa-rAgAH-ca akOtukAH prOXAH-ca pramadAH /
   yatra ca pramadānāṃ cakṣureva sahajamuṇḍamālāmaṇḍanaṃ bhāraḥ	yatra ca pramadAnAm cakzuH-eva sahaja-muNxa-mAlA-maNxanam BAraH
   kuvalayadaladāmāni, alakapratibimbānyeva kapīlatalagatānyakliṣṭāḥ	kuvalaya-dala-dA-mAni, alaka-pratibimbAni-eva kapIla-tala-gatAni-aklizwAH
   śravaṇāvataṃsāḥ panaruktāni tamālakisalayāni, priyakathā eva subhagāḥ	SravaNa-avataMsAH panaruktAni tamAla-ki-salayAni, priya-kaTAH eva suBagAH
   karṇālakārā āḍambaraḥ kumḍalādiḥ, kapolā eva satatamālokakārakā vibhavo	karNAlakArAH AxambaraH kumxala-AdiH, kapolAH eva satatam-Aloka-kArakAH viBavaH-
   niśāsu maṇipradopāḥ surabhiniḥsvāsākṛṣṭaṃ madhukarakulameva ramaṇīyaṃ	niSAsu maNi-pradopAH suraBi-niHsvAsa-AkRzwam maDukara-kulam-eva ramaNIyam
   mukhāvaraṇaṃ kulastrījanācāro jālikā, vāṇyeva madhuratarā vīṇā	muKa-AvaraNam kula-strI-jana-AcAraH jAlikA, vANi-eva maDuratarA vINA
   bāhyavijñānaṃ tantrītāḍanam, hāsā evātiśayasurabhayaḥ paṭavāsā nirarthakāḥ	bAhya-vijQAnam tantrI-tAxanam, hAsAH eva-atiSaya-suraBayaH pawavAsAH nirarTakAH
   karpūrapāṃsavaḥ, adharakāntivisara evojjvalataro 'ṅgarāgo nirguṇo	karpUra-pAMsavaH, aDara-kAnti-visaraH eva-ujjvalataraH aFgarAgaH nirguNaH-
   lāvaṇyakalaṅkaḥ kuṅkumapaṅkaḥ, bāhava eva komalatamāḥ,	lAvaNya-kalaFkaH kuFkuma-paFkaH, bAhavaH eva komalatamAH,
   parihāsaprahāravetralatā niṣprayojanāni mṛṇālāni, yauvanoṣmasvedabindava	parihAsa-prahAra-vetra-latA nizprayojanAni mRNAlAni, yOvana-Uzma-sveda-bindava
   eva vidagdhāḥ kucākakṛtayo hārāstu bhārāḥ, śroṇya eva	eva vidagDAH kucAka-kRtayaH hArAH-tu BArAH, SroNyaH eva
   viśālasphaṭikaśilātalacaturasrā rāgiṇāṃ viśramakāraṇamanimittaṃ	viSAla-sPawika-SilA-tala-caturasrA rAgiNAm viSrama-kAraNam-animittam
   bhavanamaṇivedikāḥ /	Bavana-maNi-vedikAH /
   kamalalaubhanilānānyalikulānyeva mukharāṇi padābharaṇakāni	kamala-lOBa-nilAnAni-alikulAni-eva muKarANi pada-ABaraNakAni
   niṣphalānīndranīlamaṇinūpurāṇi /	nizPalAni-indranIla-maNi-nUpurANi /
   nūpuraravāhṛtā bhavanakalahaṃsā eva samucitāḥ saṃcaraṇasahāyā	nUpura-rava-AhRtAH Bavana-kalahaMsAH eva samucitAH saMcaraNa-sahAyA
   aiśvaryaprapañcāḥ parijanāḥ /	ESvarya-prapaQcAH parijanAH /
   tatra ca sākṣātsahasrākṣa iva sarvavarṇadharaṃ dhanurdadhānaḥ, meramaya	tatra ca sAkzAt-sahasrAkzaH iva sarva-varNa-Daram DanuH-daDAnaH, mera-maya
   iva kalyāṇaprakṛtitve, mandaramaya iva lakṣmīsamākarṣaṇe, jalanidhimaya	iva kalyANa-prakRti-tve, mandara-mayaH iva lakzmI-samAkarzaNe, jalaniDi-maya
   iva maryādāyām, ākāśamaya iva śabdaprādurbhāve, śaśimaya iva kalāsaṃgrahe,	iva maryAdAyAm, AkASa-mayaH iva Sabda-prAdurBAve, SaSi-mayaH iva kalA-saMgrahe,
   vedamaya ivākṛtrimālāpatve, dharaṇimaya iva lokadhṛtikaraṇe, pavanamaya	veda-mayaH iva-akRtrim-AlApa-tve, DaraNi-mayaH iva loka-DRti-karaNe, pavana-maya
   iva sarvapārthivarajovikāraharaṇe, gururvacasi, pṛthururasi, viśālo	iva sarva-pArTiva-rajaH-vikAra-haraNe, guruH-vacasi, pRTuH-urasi, viSAlaH-
   manasi, janakastapasi, suyātrastejasi, sumantro rahasi, budhaḥ sadasi,	manasi, janakaH-tapasi, suyAtraH-tejasi, sumantraH rahasi, buDaH sadasi,
   arjuno yaśasi, bhīṣmo dhanuṣi, niṣadho vapuṣi, śatrughnaḥ samare, śūraḥ	arjunaH yaSasi, BIzmaH Danuzi, nizaDaH vapuzi, SatruGnaH samare, SUraH
   śūrasenākramaṇedaśaḥ prajākarmaṇi, sarvādirājatejaḥpuñjanirmita iva rājā	SUrasena-AkramaNedaSas prajA-karmaNi, sarva-Adi-rAja-tejaH-puQja-nirmitaH iva rAjA
   puṣyabhūtiriti nāmnā babhūva /	puzyaBUtiH-iti nAmnA baBUva /
   pṛṣunā gauriveyaṃ kṛteti yaḥ spardhamāna iva mahīṃ mahiṣīṃ cakāra /	pRzunA gOH-iveyam kRtA-iti yaH sparDamAnaH iva mahIm mahizIm cakAra /
   nisargasvairiṇī svarucyanurodhinī ca bhavati hi mahatāṃ matiḥ /	nisarga-svEriNI sva-ruci-anuroDinI ca Bavati hi mahatAm matiH /
   yatastasya kenacidanupadiṣṭā sahajaiva śaiśavādārabhyānanyadevatā	yatas-tasya kenacid-anupadizwA sahajA-eva SESavAt-AraByAn-anya-devatA
   bhagavati, bhaktisurabhe, bhuvanabhṛti, bhūtabhāvane, bhavacchidi, bhave	Bagavati, Bakti-suraBe, Buvana-BRti, BUta-BAvane, Bavat-Cidi, Bave
   bhūyasī bhaktirabhūt /	BUyasI BaktiH-aBUt /
   akṛtavṛṣabhadhvajapūjāvidhirna svapne 'pyāhāramakarot /	akRta-vRzaBa-Dvaja-pUjA-viDiH-na svapne api-AhAram-akarot /
   ajam, ajaram, amaragurum, asurapuraripum, aparitagaṇapatim,	ajam, ajaram, amara-gurum, asura-pura-ripum, aparita-gaNapatim,
   avaladuhitṛpatim, akhilabhuvanakṛtacaraṇanatim, paśūpatiṃ prapanno	avala-duhitR-patim, aKila-Buvana-kRta-caraNa-natim, paSUpatim prapannaH-
   'nyadevatāśūnyamanyata tralokyam /	anya-devatA-SUnyam-anyata tralokyam /
   bhartṛcittānuvartinyaścānujīvināṃ prakṛtayaḥ /	BartR-citta-anuvartinyaH-ca-anujIvinAm prakRtayaH /
   tathā hi-gṛhe gṛhe bhagavānapūjyata khaṇḍaparaśuḥ /	taTA hi-gRhe gRhe BagavAn-apUjyata KaNxaparaSuH /
   vavurasya homālavālānalavilīyamānabahalaguggulu gandhagarbhāḥ	vavurasya homAlavAla-anala-vilIyamAna-bahala-guggulu ganDa-garBAH
   snapanakṣīraśīkarakṣodakṣāriṇo vilvapallavadāmadalodvāhinaḥ puṇya viṣayeṣu	snapana-kzIra-SIka-rakzoda-kzAriNaH vilva-pallava-dAma-dala-udvAhinaH puNya vizayezu
   vāyavaḥ /	vAyavaH /
   śivasaparyāsamucitairupāyanaiḥ prābhṛtaiśca paurāḥ pādopajīvinaḥ sacivāḥ	Siva-saparyA-samucitEH-upAyanEH prABRtEH-ca pOrAH pAda-upajIvinaH sacivAH
   svabhujabalanirjitāśca karadīkṛtā mahāsāmantāstaṃ siṣevire /	sva-Buja-bala-nirjitAH-ca karadIkRtAH mahA-sAmantAH-tam sizevire /
   tathā hi-kailāsakūṭadhavalaiḥ kanakapatralālaṅkṛtaviṣāṇakoṭibhirmahā	taTA hi-kElAsa-kUwa-DavalEH kanaka-patra-lA-alaFkRta-vizANa-kowiBiH-mahA
   paṭṭaiścayamaṇiyaṣṭipradīpaiścabrahnasūtraiśca	pawwEH-caya-maNi-yazwi-pradIpEH-cabrahna-sUtrEH-ca
   mahārhamāṇikyakhaṇḍakhacitaiśca mukhakoṣaiḥ paritoṣamasya manasi cakruḥ /	mahArha-mANikya-KaNxa-KacitEH-ca muKa-kozEH paritozam-asya manasi cakruH /
   antaḥpurāṇyapi svayamārabvabāleyataṇḍulakaṇḍanāni	antaHpurANi-api svayam-Arabva-bAleya-taNxula-kaNxanAni
   devagṛhopalepanalohitatarakarakisalayāni	devagRha-upalepana-lohitatara-kara-kisalayAni
   kusumagrathanavyagrasamastaparijanāni tasyābhilaṣitamanvavartanta /	kusuma-graTana-vyagra-samasta-parijanAni tasya-aBilazitam-anvavartanta /
   tathā ca paramamāheśvaraḥ sa bhūpālo lokataḥ śuśrāva bhuvi	taTA ca parama-mAheSvaraH sa BUpAlaH lokataH SuSrAva Buvi
   bhagavantamaparamiva sākṣāddakṣamakhamathanaṃ dākṣiṇātya	Bagavantam-aparam-iva sAkzAt-dakza-maKa-maTanam dAkziNAtya
   bahuvidhavidyāprabhāvaprakhyātairguṇaiḥ	bahuviDa-vidyA-praBAva-praKyAtEH-guNEH
   śiṣyairivānekasahasrasaṃkhyairvyāptamartyalokaṃ bhairavācāryanāmānaṃ	SizyEH-iva-aneka-sahasra-saMKyEH-vyApta-martya-lokam BErava-AcArya-nAmAnam
   mahāśaivam /	mahA-ASEvam /
   upanayanti hi hṛdayamadṛṣṭamapi janaṃ śīlasaṃvādāḥ /	upanayanti hi hRdayam-adRzwam-api janam SIla-saMvAdAH /
   yataḥ sa rājā śravaṇasamakālameva tasminbheravācārye bhagavati dvitīya iva	yatas sa rAjA SravaNa-sama-kAlam-eva tasmin-Berava-AcArye Bagavati dvitIyaH iva
   kapardini dūragate 'pi garīyasīṃ babandha bhaktim /	kapardini dUra-gate api garIyasIm babanDa Baktim /
   ācakāṅkṣa ca manoratharapyasya sarvathā darśanam /	AcakAFkza ca manoraTa-rapi-asya sarvaTA darSanam /
   atha kadācitparyaste 'stācalacumbini vāsare 'ntaḥpuravartinaṃ	aTa kadAcid-paryaste asta-acala-cumbini vAsare antaHpura-vartinam
   rājānamapasṛtya pratīhārī vijñāpitavatī--"deva! dvāri parivrāḍāste,	rAjAnam-apasRtya pratIhArI vijQApitavatI--"deva! dvAri parivrAxAH-te,
   kathayati ca bhairavācāryavacanāddevamanuprāpto 'smi' iti /	kaTayati ca BErava-AcArya-vacanAt-devam-anuprAptaH asmia iti /
   rājā tu tacchratvā sādaram--"kvāsau? ānayātraiva, praveśayainam' iti	rAjA tu tad-SratvA sa-Adaram--"kva-asO? Anaya-atra-eva, praveSaya-enam-a iti
   cābravīt /	ca-abravIt /
   tathā cākarot pratīhārī /	taTA ca-akarot pratIhArI /
   na cirācca prāṃvaśantaṃ prāṃśum, ājānubhujam, bhaikṣakṣāmamapi	na cirAt-ca prAMvaSantam prAMSum, AjAnu-Bujam, BEkza-kzAmam-api
   sthūlāsthibhiravayavaiḥ pīvaramivopalakṣyamāṇam, pṛthūttamāṅgam,	sTUla-asTiBiH-avayavEH pIvaram-iva-upalakzyamANam, pRTu-uttamAFgam,
   uttuṅgavalibhaṅgasthapuṭalalāṭam, nirmāṃsagaṇḍakūpakam,	uttuFga-vali-BaFga-sTa-puwa-lalAwam, nirmAMsa-gaNxa-kUpakam,
   madhubindupiṅgalaparimaṇḍalākṣarm, iṣadāvakradhoṇam, ati	maDu-bindu-piFgala-parimaNxala-akzarm, iza-dA-vakra-DoNam, ati
   pralambaikakarṇapāśam, alābubījavikaṭonnatadantapaṅktim,	pralamba-eka-karNa-pASam, alAbu-bIja-vikawa-unnata-danta-paFktim,
   turagānūkaślathādharalekham, lambacibukāyatataralapanam, aṃsāvalambinā	turaga-anUka-SlaTa-aDara-leKam, lamba-cibuka-Ayata-tara-lapanam, aMsa-avalambinA
   kāṣāyeṇa yogapaṭṭakena viracitavaikakṣakam, hṛdayamadhyanibaddhagranthinā	kAzAyeNa yoga-pawwakena viracita-vEkakzakam, hRdaya-maDya-nibadDa-granTinA
   ca rāgeṇeva khaṇḍaśaḥ kṛtena dhāturasāruṇena karpaṭena kṛtottarāsaṅgam,	ca rAgeNa-iva KaNxaSas kRtena DAtu-H-asa-aruNena karpawena kRta-uttarAsaFgam,
   punaruktabālapragrahaveṣṭananiścalamūlena	punarukta-bAla-pragraha-vezwana-niScala-mUlena
   baddhamṛtpariśodhanavaṃśatvaktitaunā kaupīnasanāthaśikhareṇa	badDa-mRd-pariSoDana-vaMSa-tvaktitOnA kOpIna-sa-nATa-SiKareNa
