   vāyavīyasaṃhitā	vAyavIya saMhitA
   aṣṭau vikārānapi cādikāle sṛṣṭvā samaśnāti tathāṃtakāle //	azwO vikArAn api ca Adi kAle sRzwvA samaSnAti taTA aMta kAle //
   ŚivP_7.1,10.47cd/	Śivj _7.1,10.47cd/
   prakṛtyavasthāpitakāraṇānāṃ yā ca sthitiryā ca punaḥ pravṛttiḥ //	prakRti avasTApita kAraNAnAm yA ca sTitiH yA ca punar pravRttiH //
   ŚivP_7.1,10.48ab/	ŚivS _7.1,10.48ab/
   tatsarvamaprākṛtavaibhavasya saṃkalpamātreṇa maheśvarasya //	tat sarvam aprAkRta vEBavasya saMkalpa mAtreNa maheSvarasya //
   ŚivP_7.1,10.48cd/	Śivj _7.1,10.48cd/
   iti śrīśivamahāpurāṇe saptamyāṃ vāyavīyasaṃhitāyāṃ brahmāṃḍasthitivarṇanaṃ	iti SrI Siva mahApurANe saptamyAm vAyavIya saMhitAyAm brahma aMxa sTiti varNanam
   nāma daśamo 'dhyāyaḥ	nAma daSamaH aDyAyaH
   Chapter 11	ChapteH 11
   munaya ūcuḥ	munayaH UcuH
   manvaṃtarāṇi sarvāṇi kalpabhedāṃśca sarvaśaḥ // ŚivP_7.1,11.1ab/	manvaMtarANi sarvANi kalpa BedAn= ca sarvaSas // ŚivS _7.1,11.1ab/
   teṣvevāṃtarasargaṃ ca pratisargaṃ ca no vada // ŚivP_7.1,11.1cd/	tezu eva aMtara sargam ca pratisargam ca naH vada // ŚivS _7.1,11.1cd/
   vāyuruvāca	vAyuH uvAca
   kālasaṃkhyāvivṛttasya parārdho brahmaṇassmṛtaḥ // ŚivP_7.1,11.2ab/	kAla saMKyA vivRttasya parArDaH brahmaNa ssmRtaH // ŚivS _7.1,11.2ab/
   tāvāṃścaivāsya kālonyastasyāṃte pratisṛjyate // ŚivP_7.1,11.2cd/	tAvAn= ca eva asya kAlonyaH tasya aMte pratisRjyate // ŚivS _7.1,11.2cd/
   divase divase tasya brahmaṇaḥ pūrvajanmanaḥ // ŚivP_7.1,11.3ab/	divase divase tasya brahmaNaH pUrva janmanaH // ŚivS _7.1,11.3ab/
   caturdaśamahābhāgā manūnāṃ parivṛttayaḥ // ŚivP_7.1,11.3cd/	caturdaSa mahABAgAH manUnAm parivRttayaH // ŚivS _7.1,11.3cd/
   anāditvādanaṃtatvādajñeyatvācca kṛtsnaśaḥ // ŚivP_7.1,11.4ab/	anAdi tvAt anaMta tvAt ajQeya tvAt ca kRtsnaSas // ŚivS _7.1,11.4ab/
   manvaṃtarāṇi kalpāśca na śakyā vacanātpṛthak // ŚivP_7.1,11.4cd/	manvaMtarANi kalpAH ca na SakyA vacanAt pRTak // ŚivS _7.1,11.4cd/
   ukteṣvapi ca sarveṣu śṛṇvatāṃ vo vaco mama // ŚivP_7.1,11.5ab/	uktezu api ca sarvezu SRNvatAm vaH vacaH mama // ŚivS _7.1,11.5ab/
   kimihāsti phalaṃ tasmānna pṛthak vaktumutsahe // ŚivP_7.1,11.5cd/	kim iha asti Palam tasmAt na pRTak vaktum utsahe // ŚivS _7.1,11.5cd/
   ya eva khalu kalpeṣu kalpaḥ saṃprati vartate // ŚivP_7.1,11.6ab/	yaH eva Kalu kalpezu kalpaH saMprati vartate // ŚivS _7.1,11.6ab/
   tatra saṃkṣipya vartaṃte sṛṣṭayaḥ pratisṛṣṭayaḥ // ŚivP_7.1,11.6cd/	tatra saMkzipya vartaMte sRzwayaH pratisRzwayaH // ŚivS _7.1,11.6cd/
   yastvayaṃ vartate kalpo vārāho nāma nāmataḥ // ŚivP_7.1,11.7ab/	yaH tu ayam vartate kalpaH vArAhaH nAma nAmataH // ŚivS _7.1,11.7ab/
   asminnapi dvijaśreṣṭhā manavastu caturdaśa // ŚivP_7.1,11.7cd/	asmin= api dvijaSrezWAH manavaH tu caturdaSa // ŚivS _7.1,11.7cd/
   svāyaṃbhuvādayassapta sapta sāvarṇikādayaḥ // ŚivP_7.1,11.8ab/	svAyaMBuvAt ayassapta sapta sAvarNikA AdayaH // ŚivS _7.1,11.8ab/
   teṣu vaivasvato nāma saptamo vartate manuḥ // ŚivP_7.1,11.8cd/	tezu vEvasvataH nAma saptamaH vartate manuH // ŚivS _7.1,11.8cd/
   manvaṃtareṣu sarveṣu sargasaṃhāravṛttayaḥ // ŚivP_7.1,11.9ab/	manvaMtarezu sarvezu sarga saMhAra vRttayaH // ŚivS _7.1,11.9ab/
   prāyaḥ samābhavaṃtīti tarkaḥ kāryo vijānatā // ŚivP_7.1,11.9cd/	prAyas samABavaMti iti tarkaH kAryaH vijAnatA // ŚivS _7.1,11.9cd/
   pūrvakalpe parāvṛtte pravṛtte kālamārute // ŚivP_7.1,11.10ab/	pUrva kalpe parAvRtte pravRtte kAla mArute // ŚivS _7.1,11.10ab/
   samunmūlitamūleṣu vṛkṣeṣu ca vaneṣu ca // ŚivP_7.1,11.10cd/	samunmUlita mUlezu vRkzezu ca vanezu ca // ŚivS _7.1,11.10cd/
   jagaṃti tṛṇavaktrīṇi deve dahati pāvake // ŚivP_7.1,11.11ab/	jagaMti tRNa vaktrINi deve dahati pAvake // ŚivS _7.1,11.11ab/
   vṛṣṭyā bhuvi niṣiktāyāṃ viveleṣvarṇaveṣu ca // ŚivP_7.1,11.11cd/	vRzwyA Buvi niziktAyAm vivelezu arNavezu ca // ŚivS _7.1,11.11cd/
   dikṣu sarvāsu magnāsu vāripūre mahīyasi // ŚivP_7.1,11.12ab/	dikzu sarvAsu magnAsu vAri pUre mahIyasi // ŚivS _7.1,11.12ab/
   tadadbhiścaṭulākṣepaistaraṃgabhujamaṇḍalaiḥ // ŚivP_7.1,11.12cd/	tat adBiH cawulA kzepEH taraMga Buja maNxalEH // ŚivS _7.1,11.12cd/
   prārabdhacaṇḍanṛtyeṣu tataḥ pralayavāriṣu // ŚivP_7.1,11.13ab/	prArabDa caNxa nRtyezu tatas pralaya vArizu // ŚivS _7.1,11.13ab/
   brahmā nārāyaṇo bhūtvā suṣvāpa salile sukham // ŚivP_7.1,11.13cd/	brahmA nArAyaNaH BUtvA suzvApa salile suKam // ŚivS _7.1,11.13cd/
   513a	513a
   imaṃ codāharanmaṃtraṃ ślokaṃ nārāyaṇaṃ prati // ŚivP_7.1,11.14ab/	imam ca udAharan maMtram Slokam nArAyaNam prati // ŚivS _7.1,11.14ab/
   taṃ śṛṇudhvaṃ muniśreṣṭhāstadarthaṃ cākṣarāśrayam // ŚivP_7.1,11.14cd/	tam SRNuDvam muni SrezWAH tad arTam ca akzara ASrayam // ŚivS _7.1,11.14cd/
   āpo nārā iti proktā āpo vai narasūnavaḥ // ŚivP_7.1,11.15ab/	ApaH nArAH iti proktAH ApaH vE nara sUnavaH // ŚivS _7.1,11.15ab/
   ayanaṃ tasya tā yasmāttena nārāyaṇaḥ smṛtaḥ // ŚivP_7.1,11.15cd/	ayanam tasya tAH yasmAt tena nArAyaNaH smRtaH // ŚivS _7.1,11.15cd/
   śivayogamayīṃ nidrāṃ kurvantaṃ tridaśeśvaram // ŚivP_7.1,11.16ab/	Siva yoga mayIm nidrAm kurvantam tridaSa ISvaram // ŚivS _7.1,11.16ab/
   baddhāṃjali puṭāssiddhā janalokanivāsinaḥ // ŚivP_7.1,11.16cd/	badDAMjali puwa assidDAH jana loka nivAsinaH // ŚivS _7.1,11.16cd/
   stotraiḥ prabodhayāmāsuḥ prabhātasamaye surāḥ // ŚivP_7.1,11.17ab/	stotrEH praboDayAmAsuH praBAta samaye surAH // ŚivS _7.1,11.17ab/
   yathā sṛṣṭyādisamaye īśvaraṃ śrutayaḥ purā // ŚivP_7.1,11.17cd/	yaTA sRzwi Adi samaye ISvaram SrutayaH purA // ŚivS _7.1,11.17cd/
   tataḥ prabuddha utthāya śayanāttoyamadhyagāt // ŚivP_7.1,11.18ab/	tatas prabudDaH utTAya SayanAt toyam aDyagAt // ŚivS _7.1,11.18ab/
   udaikṣata diśaḥ sarvā yoganidrālasekṣaṇaḥ // ŚivP_7.1,11.18cd/	udEkzata diSaH sarvAH yoga nidrA alasa IkzaNaH // ŚivS _7.1,11.18cd/
   nāpaśyatsa tadā kiṃcitsvātmano vyatireki yat // ŚivP_7.1,11.19ab/	na apaSyat sa tadA kiMcid svAtmanaH vyatireki yat // ŚivS _7.1,11.19ab/
   savismaya ivāsīnaḥ parāṃ ciṃtāmupāgamat // ŚivP_7.1,11.19cd/	sa vismayaH iva AsInaH parAm ciMtAm upAgamat // ŚivS _7.1,11.19cd/
   kva sā bhagavatī yā tu manojñā mahatī mahī // ŚivP_7.1,11.20ab/	kva sA BagavatI yA tu manojQA mahatI mahI // ŚivS _7.1,11.20ab/
   nānāvidhamahāśailanadīnagarakānanā // ŚivP_7.1,11.20cd/	nAnAviDa mahA SEla nadI nagara kAnanAH // ŚivS _7.1,11.20cd/
   evaṃ saṃciṃtayanbrahmā bubudhe naiva bhūsthitim // ŚivP_7.1,11.21ab/	evam saMciMtayan brahmA bubuDe na eva BU sTitim // ŚivS _7.1,11.21ab/
   tadā sasmāra pitaraṃ bhagavaṃtaṃ trilocanam // ŚivP_7.1,11.21cd/	tadA sasmAra pitaram BagavaMtam trilocanam // ŚivS _7.1,11.21cd/
   smaraṇāddevadevasya bhavasyāmitatejasaḥ // ŚivP_7.1,11.22ab/	smaraNAt devadevasya Bavasya amita tejasaH // ŚivS _7.1,11.22ab/
   jñātavānsalile magnāṃ dharaṇīṃ dharaṇīpatiḥ // ŚivP_7.1,11.22cd/	jQAtavAn salile magnAm DaraNIm DaraNI patiH // ŚivS _7.1,11.22cd/
   tato bhūmessamuddhāraṃ kartukāmaḥ prajāpatiḥ // ŚivP_7.1,11.23ab/	tatas BUmeH samudDAram kartu kAmaH prajApatiH // ŚivS _7.1,11.23ab/
   jalakrīḍocitaṃ divyaṃ vārāhaṃ rūpamasmarat // ŚivP_7.1,11.23cd/	jala krIxA ucitam divyam vArAham rUpam asmarat // ŚivS _7.1,11.23cd/
   mahāparvatavarṣmāṇaṃ mahājaladaniḥsvanam // ŚivP_7.1,11.24ab/	mahA parvata varzmANam mahA jalada niHsvanam // ŚivS _7.1,11.24ab/
   nīlameghapratīkāśaṃ dīptaśabdaṃ bhayānakam // ŚivP_7.1,11.24cd/	nIla meGa pratIkASam dIpta Sabdam BayAnakam // ŚivS _7.1,11.24cd/
   pīnavṛttaghanaskaṃdhapīnonnatakaṭītaṭam // ŚivP_7.1,11.25ab/	pIna vRtta Gana skaMDa pIna unnata kawI tawam // ŚivS _7.1,11.25ab/
   hrasvavṛttorujaṃghāgraṃ sutīkṣṇapuramaṇḍalam // ŚivP_7.1,11.25cd/	hrasva vRtta Uru jaMGa agram su tIkzNa pura maNxalam // ŚivS _7.1,11.25cd/
   padmarāgamaṇiprakhyaṃ vṛttabhīṣaṇalocanam // ŚivP_7.1,11.26ab/	padmarAga maNi praKyam vRtta BIzaNa locanam // ŚivS _7.1,11.26ab/
   vṛttadīrghamahāgātraṃ stabdhakarṇasthalojjvalam // ŚivP_7.1,11.26cd/	vRtta dIrGa mahA gAtram stabDa karNa sTala ujjvalam // ŚivS _7.1,11.26cd/
   udīrṇocchvāsaniśvāsaghūrṇitapralayārṇavam // ŚivP_7.1,11.27ab/	udIrNa ucCvAsa niSvAsa GUrNita pralaya arNavam // ŚivS _7.1,11.27ab/
   visphuratsusaṭācchannakapolaskaṃdhabaṃdhuram // ŚivP_7.1,11.27cd/	visPurat su sawa AcCanna kapola skaMDa baMDuram // ŚivS _7.1,11.27cd/
   maṇibhirbhūṣaṇaiścitrairmahāratnaiḥpariṣkṛtam // ŚivP_7.1,11.28ab/	maNiBiH BUzaNEH citrEH mahA ratnEH parizkRtam // ŚivS _7.1,11.28ab/
   virājamānaṃ vidyudbhirmeghasaṃghamivonnatam // ŚivP_7.1,11.28cd/	virAjamAnam vidyudBiH meGa saMGam iva unnatam // ŚivS _7.1,11.28cd/
   āsthāya vipulaṃ rūpaṃ vārāhamamitaṃ vidhiḥ // ŚivP_7.1,11.29ab/	AsTAya vipulam rUpam vArAham amitam viDiH // ŚivS _7.1,11.29ab/
   pṛthivyuddharaṇārthāya praviveśa rasātalam // ŚivP_7.1,11.29cd/	pRTivI udDaraNa arTAya praviveSa rasAtalam // ŚivS _7.1,11.29cd/
   sa tadā śuśubhe 'tīva sūkaro girisaṃnibhaḥ // ŚivP_7.1,11.30ab/	sa tadA SuSuBe atIva sUkaraH giri saMniBaH // ŚivS _7.1,11.30ab/
   liṃgākṛtermaheśasya pādamūlaṃ gato yathā // ŚivP_7.1,11.30cd/	liMga AkRteH maheSasya pAda mUlam gataH yaTA // ŚivS _7.1,11.30cd/
   tatassa salile magnāṃ pṛthivīṃ pṛthivīṃdharaḥ // ŚivP_7.1,11.31ab/	tatas sa salile magnAm pRTivIm pRTivIMDaraH // ŚivS _7.1,11.31ab/
   uddhṛtyāliṃgya daṃṣṭrābhyāmunmamajja rasātalāt // ŚivP_7.1,11.31cd/	udDRtya AliMgya daMzwrAByAm unmamajja rasAtalAt // ŚivS _7.1,11.31cd/
   taṃ dṛṣṭvā munayassiddhā janalokanivāsinaḥ // ŚivP_7.1,11.32ab/	tam dRzwvA munayassidDAH jana loka nivAsinaH // ŚivS _7.1,11.32ab/
   mumudurnanṛturmūrdhni tasya puṣpairavākiran // ŚivP_7.1,11.32cd/	mumuduH nanRtuH mUrDni tasya puzpEH avAkiran // ŚivS _7.1,11.32cd/
   vapurmahāvarāhasya śuśubhe puṣpasaṃvṛtam // ŚivP_7.1,11.33ab/	vapuH mahAvarAhasya SuSuBe puzpa saMvRtam // ŚivS _7.1,11.33ab/
   patadbhiriva khadyotaiḥ prāśuraṃjanaparvataḥ // ŚivP_7.1,11.33cd/	patadBiH iva KadyotEH prASuraMjana parvataH // ŚivS _7.1,11.33cd/
   tataḥ saṃsthānamānīya varāho mahatīṃ mahīm // ŚivP_7.1,11.34ab/	tatas saMsTAnam AnIya varAhaH mahatIm mahIm // ŚivS _7.1,11.34ab/
   svameva rūpamāsthāya sthāpayāmāsa vai vibhuḥ // ŚivP_7.1,11.34cd/	svam eva rUpam AsTAya sTApayAmAsa vE viBuH // ŚivS _7.1,11.34cd/
   pṛthivīṃ ca samīkṛtya pṛthivyāṃ sthāpayangirīn // ŚivP_7.1,11.35ab/	pRTivIm ca samIkRtya pRTivyAm sTApayan girIn // ŚivS _7.1,11.35ab/
   513b	513b
   bhūrādyāṃścaturo lokān kalpayāmāsa pūrvavat // ŚivP_7.1,11.35cd/	BUH AdyAn= caturaH lokAn kalpayAmAsa pUrvavat // ŚivS _7.1,11.35cd/
   iti saha mahatīṃ mahīṃ mahīdhraiḥ pralayamahājaladheradhaḥsthamadhyāt //	iti saha mahatIm mahIm mahIDrEH pralaya mahA jalaDeH aDas sTa maDyAt //
   ŚivP_7.1,11.36ab/	ŚivS _7.1,11.36ab/
   upari ca viniveśya viśvakarmā caramacaraṃ ca jagatsasarja bhūyaḥ //	upari ca viniveSya viSvakarmA caramacaram ca jagat sasarja BUyas //
   ŚivP_7.1,11.36cd/	Śivj _7.1,11.36cd/
   iti śrīśivamahāpurāṇe saptamyāṃ vā   pū   sṛṣṭyādivarṇanaṃ nāmaikādaśo	iti SrI Siva mahApurANe saptamyAm vA  pU  sRzwyAdivarNanam nAma ekAdaSaH 
   'dhyāyaḥ	aDyAyaH
   Chapter 12	ChapteH 12
   vāyuruvāca	vAyuH uvAca
   sargaṃ ciṃtayatastasya tadā vai buddhipūrvakam // ŚivP_7.1,12.1ab/	sargam ciMtayataH tasya tadA vE budDi pUrvakam // ŚivS _7.1,12.1ab/
   pradhyānakāle mohastu prādurbhūtastamomayaḥ // ŚivP_7.1,12.1cd/	praDyAna kAle mohaH tu prAdurBUtaH tamaH mayaH // ŚivS _7.1,12.1cd/
   tamomoho mahāmohastāmisraścāndhasaṃjñitaḥ // ŚivP_7.1,12.2ab/	tamaH mohaH mahAmohaH tAmisraH ca anDa saMjQitaH // ŚivS _7.1,12.2ab/
   avidyā pañcamī caiṣā prādurbhūtā mahātmanaḥ // ŚivP_7.1,12.2cd/	avidyA paQcamI ca ezA prAdurBUtA mahAtmanaH // ŚivS _7.1,12.2cd/
   pañcadhā 'vasthitaḥ sargo dhyāyatastvabhimāninaḥ // ŚivP_7.1,12.3ab/	paQcaDA avasTitaH sargaH DyAyataH tu aBimAninaH // ŚivS _7.1,12.3ab/
   sarvatastamasātīva bījakumbhavadāvṛtaḥ // ŚivP_7.1,12.3cd/	sarvatas tamasA atIva bIja kumBa vat AvRtaH // ŚivS _7.1,12.3cd/
   bahirantaścāprakāśaḥ stabdho niḥsaṃjña eva ca // ŚivP_7.1,12.4ab/	bahis antar ca aprakASaH stabDaH niHsaMjQaH eva ca // ŚivS _7.1,12.4ab/
   tasmātteṣāṃ vṛtā buddhirmukhāni karaṇāni ca // ŚivP_7.1,12.4cd/	tasmAt tezAm vRtA budDiH muKAni karaNAni ca // ŚivS _7.1,12.4cd/
   tasmātte saṃvṛtātmāno nagā mukhyāḥ prakīrtitāḥ // ŚivP_7.1,12.5ab/	tasmAt te saMvRta AtmAnaH nagAH muKyAH prakIrtitAH // ŚivS _7.1,12.5ab/
   taṃ dṛṣṭvā 'sādhakaṃ brahmā prathamaṃ sargamīdṛśam // ŚivP_7.1,12.5cd/	tam dRzwvA asADakam brahmA praTamam sargam IdRSam // ŚivS _7.1,12.5cd/
   aprasannamanā bhūtvā dvitīyaṃ so 'bhyamanyata // ŚivP_7.1,12.6ab/	aprasanna manAH BUtvA dvitIyam saH aByamanyata // ŚivS _7.1,12.6ab/
   tasyābhidhāyataḥ sargaṃ tiryaksroto 'bhyavartata // ŚivP_7.1,12.6cd/	tasya aBiDAyataH sargam tiryaksrotaH aByavartate // ŚivS _7.1,12.6cd/
   antaḥprakāśāstiryaṃca āvṛtāśca bahiḥ punaḥ // ŚivP_7.1,12.7ab/	antar prakASAH tiryaMca AvRtAH ca bahis punar // ŚivS _7.1,12.7ab/
   paśvātmānastato jātā utpathagrāhiṇaśca te // ŚivP_7.1,12.7cd/	paSu AtmAnaH tatas jAtAH utpaTa grAhiNaH ca te // ŚivS _7.1,12.7cd/
   tamapyasādhakaṃ jñātvā sargamanyamamanyata // ŚivP_7.1,12.8ab/	tam api asADakam jQAtvA sargam anyam amanyatas // ŚivS _7.1,12.8ab/
   tadordhvasrotaso vṛtto devasargastu sāttvikaḥ // ŚivP_7.1,12.8cd/	tadA UrDvasrotasaH vRttaH deva sargaH tu sAttvikaH // ŚivS _7.1,12.8cd/
   te sukhaprītibahulā bahirantaśca nāvṛtāḥ // ŚivP_7.1,12.9ab/	te suKa prIti bahulAH bahis antar ca na AvRtAH // ŚivS _7.1,12.9ab/
   prakāśā bahirantaścasvabhāvādeva saṃjñitāḥ // ŚivP_7.1,12.9cd/	prakASAH bahis antar ca svaBAvAt eva saMjQitAH // ŚivS _7.1,12.9cd/
   tato 'bhidhyāyatovyaktādarvāksrotastu sādhakaḥ // ŚivP_7.1,12.10ab/	tatas aBiDyAyata uvyaktAt arvAksrotaH tu sADakaH // ŚivS _7.1,12.10ab/
   manuṣyanāmā sañjātaḥ sargo duḥkhasamutkaṭaḥ // ŚivP_7.1,12.10cd/	manuzya nAmA san jAtaH sargaH duHKa samutkawaH // ŚivS _7.1,12.10cd/
   prakāśābahirantaste tamodriktā rajo 'dhikāḥ // ŚivP_7.1,12.11ab/	prakASa Abahis antar te tama udriktAH rajaH aDikAH // ŚivS _7.1,12.11ab/
   pañcamonugrahaḥ sargaścaturdhā saṃvyavasthitaḥ // ŚivP_7.1,12.11cd/	paQca monugrahaH sargaH caturDA saMvyavasTitaH // ŚivS _7.1,12.11cd/
   viparyayeṇa śaktyā ca tuṣṭyāsiddhyā tathaiva ca // ŚivP_7.1,12.12ab/	viparyayeNa SaktyA ca tuzwyA sidDyA taTA eva ca // ŚivS _7.1,12.12ab/
   te 'parigrāhiṇaḥ sarve saṃvibhāgaratāḥ punaḥ // ŚivP_7.1,12.12cd/	te aparigrAhiNaH sarve saMviBAga ratAH punar // ŚivS _7.1,12.12cd/
   khādanāścāpyaśīlāśca bhūtādyāḥ parikīrtitāḥ // ŚivP_7.1,12.13ab/	KAdanAH ca api aSIlAH ca BUta AdyAH parikIrtitAH // ŚivS _7.1,12.13ab/
   prathamo mahataḥ sargo brahmaṇaḥ parameṣṭhinaḥ // ŚivP_7.1,12.13cd/	praTamaH mahataH sargaH brahmaNaH paramezWinaH // ŚivS _7.1,12.13cd/
   tanmātrāṇāṃ dvitīyastu bhūtasargaḥ sa ucyate // ŚivP_7.1,12.14ab/	tanmAtrANAm dvitIyaH tu BUta sargaH saH ucyate // ŚivS _7.1,12.14ab/
   vaikārikastṛtīyastu sarga aindriyakaḥ smṛtaḥ // ŚivP_7.1,12.14cd/	vEkArikaH tRtIyaH tu sargaH EndriyakaH smRtaH // ŚivS _7.1,12.14cd/
   ityeṣa prakṛteḥ sargaḥ sambhṛto 'buddhipūrvakaḥ // ŚivP_7.1,12.15ab/	iti eza prakRteH sargaH samBRtaH abudDi pUrvakaH // ŚivS _7.1,12.15ab/
   mukhyasargaścaturthastu mukhyā vai sthāvarāḥ smṛtāḥ // ŚivP_7.1,12.15cd/	muKya sargaH caturTaH tu muKyAH vE sTAvarAH smRtAH // ŚivS _7.1,12.15cd/
   tiryaksrotastu yaḥ proktastiryagyoniḥ sa pañcamaḥ // ŚivP_7.1,12.16ab/	tiryaksrotaH tu yaH proktaH tiryagyoniH sa paQcamaH // ŚivS _7.1,12.16ab/
   tadūrdhvasrotasaḥ ṣaṣṭho devasargastu sa smṛtaḥ // ŚivP_7.1,12.16cd/	tad UrDvasrotasaH zazWaH deva sargaH tu sa smRtaH // ŚivS _7.1,12.16cd/
   tato 'rvāk srotasāṃ sargaḥ saptamaḥ sa tu mānuṣaḥ // ŚivP_7.1,12.17ab/	tatas arvAk srotasAm sargaH saptamaH sa tu mAnuzaH // ŚivS _7.1,12.17ab/
   aṣṭamo 'nugrahaḥ sargaḥ kaumāro navamaḥ smṛtaḥ // ŚivP_7.1,12.17cd/	azwamaH anugrahaH sargaH kOmAraH navamaH smRtaH // ŚivS _7.1,12.17cd/
   prākṛtāśca trayaḥ pūrve sargāste 'buddhipūrvakāḥ // ŚivP_7.1,12.18ab/	prAkRtAH ca trayaH pUrve sargAH te abudDi pUrvakAH // ŚivS _7.1,12.18ab/
   514a	514a
   buddhipūrvaṃ pravartante mukhyādyāḥ pañca vaikṛtāḥ // ŚivP_7.1,12.18cd/	budDi pUrvam pravartante muKya AdyAH paQca vEkRtAH // ŚivS _7.1,12.18cd/
   agre sasarja vai brahmā mānasānātmanaḥ samān // ŚivP_7.1,12.19ab/	agre sasarja vE brahmA mAnasAn AtmanaH samAn // ŚivS _7.1,12.19ab/
   sanandaṃ sanakañcaiva vidvāṃsañca sanātanam // ŚivP_7.1,12.19cd/	sanandam sana kaQca eva vidvAMsaQca sanAtanam // ŚivS _7.1,12.19cd/
   ṛbhuṃ sanatkumārañca pūrvameva prajāpatiḥ // ŚivP_7.1,12.20ab/	RBum sanatkumAraQca pUrvam eva prajApatiH // ŚivS _7.1,12.20ab/
   sarve te yogino jñeyā vītarāgā vimatsarāḥ // ŚivP_7.1,12.20cd/	sarve te yoginaH jQeyAH vIta rAgAH vimatsarAH // ŚivS _7.1,12.20cd/
   iśvarāsaktamanaso na cakruḥ sṛṣṭaye matim // ŚivP_7.1,12.21ab/	iSvara Asakta manasaH na cakruH sRzwaye matim // ŚivS _7.1,12.21ab/
   teṣu sṛṣṭyanapekṣeṣu gateṣu sanakādiṣu // ŚivP_7.1,12.21cd/	tezu sRzwi anapekzezu gatezu sanaka Adizu // ŚivS _7.1,12.21cd/
   sraṣṭukāmaḥ punarbrahmā tatāpa paramaṃ tapaḥ // ŚivP_7.1,12.22ab/	srazwu kAmaH punar brahmA tatApa paramam tapaH // ŚivS _7.1,12.22ab/
   tasyaivaṃ tapyamānasya na kiṃcitsamavartata // ŚivP_7.1,12.22cd/	tasya evam tapyamAnasya na kiMcid samavartata // ŚivS _7.1,12.22cd/
   tato dīrgheṇa kālena duḥkhātkrodho vyajāyata // ŚivP_7.1,12.23ab/	tatas dIrGeNa kAlena duHKAt kroDaH vyajAyata // ŚivS _7.1,12.23ab/
   krodhāviṣṭasya netrābhyāṃ prāpatannaśrubindavaḥ // ŚivP_7.1,12.23cd/	kroDa Avizwasya netrAByAm prApatan= aSru bindavaH // ŚivS _7.1,12.23cd/
   tatastebhyo 'śrubindubhyo bhūtāḥ pretāstadābhavan // ŚivP_7.1,12.24ab/	tatas teByaH aSru binduByaH BUtAH pretAH tadA aBavan // ŚivS _7.1,12.24ab/
   sarvāṃstānaśrujāndṛṣṭvā brahmātmānamaniṃdata // ŚivP_7.1,12.24cd/	sarvAn= tAn aSru jAn dRzwvA brahma AtmAnam aniMdata // ŚivS _7.1,12.24cd/
   tasya tīvrā 'bhavanmūrchā krodhāmarṣasamudbhavā // ŚivP_7.1,12.25ab/	tasya tIvrAH aBavat mUrCA kroDa amarza samudBavAH // ŚivS _7.1,12.25ab/
   mūrchitastu jahau prāṇānkrodhāviṣṭaḥ prajāpatiḥ // ŚivP_7.1,12.25cd/	mUrCitaH tu jahO prANAn kroDa AvizwaH prajApatiH // ŚivS _7.1,12.25cd/
   tataḥ prāṇeśvaro rudro bhagavānnīlalohitaḥ // ŚivP_7.1,12.26ab/	tatas prANeSvaraH rudraH BagavAn nIlalohitaH // ŚivS _7.1,12.26ab/
   prasādamatulaṃ kartuṃ prādurāsītprabhormukhāt // ŚivP_7.1,12.26cd/	prasAdam atulam kartum prAdurAsIt praBoH muKAt // ŚivS _7.1,12.26cd/
   daśadhā caikadhā cakre svātmānaṃ prabhurīśvaraḥ // ŚivP_7.1,12.27ab/	daSaDA ca ekaDA cakre sva AtmAnam praBuH ISvaraH // ŚivS _7.1,12.27ab/
   te tenoktā mahātmāno daśadhā caikadhā kṛtāḥ // ŚivP_7.1,12.27cd/	te tena uktAH mahAtmAnaH daSaDA ca ekaDA kRtAH // ŚivS _7.1,12.27cd/
   yūyaṃ sṛṣṭā mayā vatsā lokānugrahakāraṇāt // ŚivP_7.1,12.28ab/	yUyam sRzwAH mayA vatsAH loka anugraha kAraNAt // ŚivS _7.1,12.28ab/
   tasmātsarvasya lokasya sthāpanāya hitāya ca // ŚivP_7.1,12.28cd/	tasmAt sarvasya lokasya sTApanAya hitAya ca // ŚivS _7.1,12.28cd/
   prajāsantānahetośca prayatadhvamatandritāḥ // ŚivP_7.1,12.29ab/	prajA santAna hetoH ca prayataDvam atandritAH // ŚivS _7.1,12.29ab/
   evamuktāśca rurudurdudruvuśca samantataḥ // ŚivP_7.1,12.29cd/	evam uktAH ca ruruduH dudruvuH ca samantataH // ŚivS _7.1,12.29cd/
   rodanāddrāvaṇāccaiva te rudrā nāmataḥ smṛtāḥ // ŚivP_7.1,12.30ab/	rodanAt drAvaNAt ca eva te rudrAH nAmataH smRtAH // ŚivS _7.1,12.30ab/
   ye rudrāste khalu prāṇā ye prāṇāste mahātmakāḥ // ŚivP_7.1,12.30cd/	ye rudrAH te Kalu prANAH ye prANAH te mahAtmakAH // ŚivS _7.1,12.30cd/
   tato mṛtasya devasya brahmaṇaḥ parameṣṭhinaḥ // ŚivP_7.1,12.31ab/	tatas mRtasya devasya brahmaNaH paramezWinaH // ŚivS _7.1,12.31ab/
   ghṛṇī dadau punaḥ prāṇānbrahmaputro maheśvaraḥ // ŚivP_7.1,12.31cd/	GRNI dadO punar prANAn brahma putraH maheSvaraH // ŚivS _7.1,12.31cd/
