   saṅkalpa-kalpa-druma	saFkalpa--kalpa-druma
   yaḥ kurukṣetrayātrāyā vyājān mātrādikān cirāt |	yaH kurukzetra-yAtrAyAH vyAjAn mAtrA-AdikAn cirAt |
   saṃsajyāmūn visṛjyānyān sahavāsamudaṃ dadhe ||208||	saMsajya-amUn visRjya-anyAn saha-vAsa-mudam daDe ||208||
   yaḥ suraghnān vraje gantuṃ vighnān hantuṃ vrajeśituḥ |	yaH sura-GnAn vraje gantum viGnAn hantum vraja-ISituH |
   vraje gamanam ācarya dvārakāgatim ādade ||209||	vraje gamanam Acarya dvArakA-gatim Adade ||209||
   yaḥ krāmadbhiḥ sudīrgheṇa suṣṭhu kraṣṭuṃ vrajaṃ prati |	yaH krAmadBiH su-dIrGeNa suzWu krazwum vrajam prati |
   āmuktaḥ pāśasaṅkāśamanasā vrajavāsibhiḥ ||210||	AmuktaH pASa-saFkASa-manasA vraja-vAsiBiH ||210||
   yaḥ prakāśaṃ mahārājasampadaṃ dadhad īkṣitaḥ |	yaH prakASam mahA-rAja-sampadam daDat IkzitaH |
   vrajāya vrajarājādyenāhūtaḥ pūrvavad girā ||211||	vrajAya vraja-rAja-Adyena-AhUtaH pUrvavat girA ||211||
   yas teṣāṃ suṣṭhu nirninye yan manaḥ svāgatispṛhiḥ2 |	yaH tezAm suzWu nirninye yat manaH svAgati-spRhiH2 |
   tenāntaḥkarṣaṇaṃ prāptaḥ karṣam anyena nārhati ||212||	tena-antaHkarzaNam prAptaH karzam anyena na-arhati ||212||
   yaḥ svīyasahitas teṣāṃ svīyakāmān apūrayat |	yaH svIya-sahitaH tezAm svIya-kAmAn apUrayat |
   kṛṣṇe kamalapatrākṣe sannyastākhilarādhasā ||213||	kRzNe kamala-patra-akze sannyasta-aKila-rADasA ||213||
   āgamiṣyaty adhīrgheṇety3 āśālabdhaṃ yad īpsitam |	Agamizyati aDIrGeNa-ity3 ASA-labDam yat Ipsitam |
   tad artham eva tān arthān ye svīcakruḥ parān api ||214||	tat arTam eva tAn arTAn ye svIcakruH parAn api ||214||
   [pūrvavad yugmakam]	[pUrvavat yugmakam]
   yaḥ svāgamanamaryādāṃ preyasīṣu nijāṃ vyadhāt |	yaH sva-Agamana-maryAdAm preyasIzu nijAm vyaDAt |
   dantavakrāntaśatrūṇāṃ māraṇaṃ sarvatāraṇam ||215||	dantavakrAnta-SatrUNAm mAraNam sarva-tAraNam ||215||
   api smaratha naḥ sakhyaḥ svānām arthaṃ4 cikīrṣayā |	api smaraTa naH saKyaH svAnAm arTaM4 cikIrzayA |
   gatāṃś cirāyitān śatrupakṣakṣapaṇacetasaḥ ||216|| 5	gatAn cirAyitAn Satru-pakza-kzapaNa-cetasaH ||216|| 5
   mayi bhaktir hi bhūtānām amṛtatvāya kalpate |	mayi BaktiH hi BUtAnAm amRta-tvAya kalpate |
   diṣṭyā yad āsīn matsneho bhavatīnāṃ madāpanaḥ ||217||6	dizwyA yat AsIt mad-snehaH BavatInAm madApanaH ||217||6
   yas tātkālikaśāntyarthe tathāpi jñānam ādiśat |	yaH tAtkAlika-SAnti-arTe taTA-api jQAnam AdiSat |
   āhūś cety7ādike padye prārthitas tābhir anyathā ||218||	AhUH ca-iti-7Adike padye prArTitaH tABiH anyaTA ||218||
   tatrāṅghrismṛtiyācñā tu lakṣyam eva vinirmame |	tatra-aFGri-smRti-yAcQA tu lakzyam eva vinirmame |
   tatpratyāgatitātparyā sā tu paryavasāyyate ||219||	tad-pratyAgatitAtparyA sA tu paryavasAyyate ||219||
   mayi tāḥ preyasām ity8 ādy uktaṃ tena svayaṃ yataḥ |	mayi tAH preyasAm ity8 Adi uktam tena svayam yatas |
   tasmāt taccintanāśaktyā vyaktyā taddarśanārthitā ||220||	tasmAt tad-cintana-aSaktyA vyaktyA tad-darSana-arTitA ||220||
   tathānugṛhya bhagavān gopīnāṃ sa gurur gatiḥ |9	taTA-anugRhya BagavAn gopInAm sa guruH gatiH |9
   ity anena muniḥ procya tāsāṃ vāñchitapūraṇam ||221||	iti anena muniH procya tAsAm vAQCita-pUraNam ||221||
   mayi bhaktir hīti kṛṣṇaproktam eva nyajīgamat |	mayi BaktiH hi-iti kRzNa-proktam eva nyajIgamat |
   mayy āveśya manaḥ kṛṣṇa ity10 ādy api ca tadvacaḥ ||222||	mayi AveSya manaH kRzNaH iti-10 Adi api ca tad-vacaH ||222||
   [pūrvavad tribhiḥ]	[pUrvavat triBiH]
   1. vip v.24.20; 2. (b) svāgataspṛhi; 3. BhP x.65.6; 4. (b) arthao; 5. BhP	1. vip v.24.20; 2. (b) svAgata-spRhi; 3. BhP x.65.6; 4. (b) arTao; 5. BhP
   x.82||.41; 6 BhP x.82||.44; 7. BhP x.82||.48; 8. BhP x.46.5; 9. BhP	x.82||.41; 6 Bhj x.82||.44; 7. Bhj x.82||.48; 8. Bhj x.46.5; 9. BhP
   x.83.1; 10. BhP x.47.36.	x.83.1; 10. Bhj x.47.36.
   yaḥ pṛthivyā guṇastome satyenādāv abhiṣṭutaḥ	yaH pRTivyAH guNa-stome satyena-AdO aBizwutaH
   satyaṃ vidhātuṃ satyaṃ tan nāvrajet kiṃ vraje bata ||223||	satyam viDAtum satyam tat na-avrajet kim vraje bata ||223||
   sambhāvanā mamaiveyam iti nātra vicāryatām |	samBAvanA mama-eva-iyam iti na-atra vicAryatAm |
   vrajasthānāṃ vrajaprāṇavaryasyāpy avadhāryatām ||224||	vraja-sTAnAm vraja-prANa-varyasya-api avaDAryatAm ||224||
   śrīmadvrajādhirājasya kṛṣṇakāntāgaṇasya ca |	SrImat-vraja-aDirAjasya kRzNa-kAntA-gaNasya ca |
   uddhavaṃ prati gīr īdṛg dṛśyatāṃ daśamādiṣu ||225||	udDavam prati gIH IdRS dRSyatAm daSama-Adizu ||225||
   [yugmakam]	[yugmakam]
   yas tu yarhy ambujākṣeti1 stuvadbhir dvārakājanaiḥ |	yaH tu yarhi ambuja-Akzeti1 stuvadBiH dvArakA-janEH |
   kadācid vrajam āgād ity abhyudhāyi kadācana ||226||	kadAcid vrajam AgAt iti aByuDAyi kadAcana ||226||
   yas tathā śrūyate pādmottarakhaṇḍād api sphuṭam |	yaH taTA SrUyate pAdma-uttara-KaNxAt api sPuwam |
   adād vrajāya svaprāptimaṅgalaṃ nityam ity api ||227||	adAt vrajAya sva-prApti-maFgalam nityam iti api ||227||
   dattvā tatkṛtakṛtyaḥ san prādurbhāvāntaraṃ gataḥ |	dattvA tad-kRtakRtyaH san prAdurBAva-antaram gataH |
   jagāma dvārakām ity apy aśrāvīty api yuktimat ||228||	jagAma dvArakAm iti api aSrAvI-iti api yuktimat ||228||
   āgamiṣyaty adīrgheṇety uddhavād buddham anyathā |	Agamizyati adIrGeNa-iti udDavAt budDam anyaTA |
   yathā na syāt tathā bhāṣyaṃ2 kathānyā vitathā matā ||229||	yaTA na syAt taTA BAzyaM2 kaTA-anyA vitaTA matA ||229||
   yas tyajann api gām ākhyat tam uddhavakam utsukaḥ |	yaH tyajan api gAm AKyat tam udDavakam utsukaH |
   rāmeṇa sārdham ity3ādyaṃ tāsāṃ kāmitalambhanam ||230||	rAmeNa sArDam iti-3Adyam tAsAm kAmita-lamBanam ||230||
   rāmeṇeti dvayenāha viyukter yad vyatītatām |	rAmeNa-iti dvayena-Aha viyukteH yat vyatIta-tAm |
   tena nāsti viyuktiḥ sā tadānīm iti bhāvyate ||231||	tena na-asti viyuktiH sA tadAnIm iti BAvyate ||231||
   mayi tāḥ preyasāṃ preṣṭha iti4 prāktanavāgdvaye |	mayi tAH preyasAm prezWaH iti4 prAc-tanavAc-dvaye |
   viyukter vartamānatvaṃ dṛṣṭvā niṣṭaṅkatām idam ||232||	viyukteH vartamAna-tvam dRzwvA nizwaFkatAm idam ||232||
   svena tāsāṃ punaḥ saṅge yad vṛttaṃ prathame 'hani |	svena tAsAm punar saFge yat vRttam praTame ahani |
   tadapy atītarīty āha prītyā samadadhad uddhavam ||233||	tat-api atItarI-iti Aha prItyA samadaDat udDavam ||233||
   tā nāvidann iti5 proce yatra tāsāṃ madātmatām |	tAH na-avidan iti5 proce yatra tAsAm mad-Atma-tAm |
   babhūva sa mahābhāvaḥ sarvāsāṃ parataḥ paraḥ ||234||	baBUva sa mahABAvaH sarvAsAm paratas paraH ||234||
   tataś ca nāmarūpātmany udbhūte svīyavaibhave |	tatas ca nAma-rUpa-Atmani udBUte svIya-vEBave |
   praviṣṭā iva na spaṣṭaṃ praviṣṭā gatyabhāvataḥ ||235	pravizwAH iva na spazwam pravizwA gati-aBAvataH ||235
   dṛṣṭāntayugalaṃ tat tu nāvidann iti kevale |	dRzwAnta-yugalam tat tu na-avidan iti kevale |
   avedanaṃ nadīpakṣe py abdhyanyarasatāhatiḥ ||236	avedanam nadI-pakze pi abDi-anya-rasa-tA-hatiH ||236
   samādhāv iti dṛṣṭāntasyāṅgarūpatayor itam |	samADO iti dRzwAntasya-aFga-rUpa-tayoH itam |
   dārṣṭāntikasyānuṣaṅgaṃ syād aṅgaṃ tadbhidādvayoḥ ||237	dArzwa-antikasya-anuzaFgam syAt aFgam tat-BidA-dvayoH ||237
   matkāmā ramaṇaṃ jāram asvarūpavido 'balāḥ |	mad-kAmAH ramaNam jAram asvarUpa-vidaH abalAH |
   brahma māṃ paramaṃ prāpur iti6 padye tu tatpare ||238||	brahma mAm paramam prApuH iti6 padye tu tad-pare ||238||
   pacyantāṃ vividhāḥ pākā7 itīvātrārthikaḥ kramaḥ |	pacyantAm viviDAH pAkA7 iti-iva-atra-arTikaH kramaH |
   tā brahma prāpur ity evaṃ tā ity asyātra cānvayaḥ ||239||	tAH brahma prApuH iti evam tAH iti asya-atra ca-anvayaH ||239||
   1. BhP i.11.9; 2. (b) bhāvyam; 3. BhP xi.12.10; 4. BhP x.46.5; 5. BhP	1. BhP i.11.9; 2. (b) BAvyam; 3. BhP xi.12.10; 4. Bhj x.46.5; 5. BhP
   xi.12.12; 6. BhP xi.12.13; 7. BhP x.24.26||	xi.12.12; 6. Bhj xi.12.13; 7. Bhj x.24.26||
   kīdṛg brahmeti bodhāya yat prāha paramaṃ padam |	kIdRS brahma-iti boDAya yat prAha paramam padam |
   tatrāpy ākāṅkṣayāvādīn mām iti svaṃ punaḥ prabhuḥ ||240||	tatra-api AkAFkzayA-avAdIn mAm iti svam punar praBuH ||240||
   mayi bhaktir hīti vākyād āha prāg etad eva hi |	mayi BaktiH hi-iti vAkyAt Aha prAk etat eva hi |
   dhārayanty atikṛcchreṇety uktyā vyānag idaṃ purā ||241||	DArayanti atikRcCreNa-iti uktyA vyAnak idam purA ||241||
   prāṇatyāgena matprāptir nānyavat tāsu manmatā |	prANatyAgena mad-prAptiH na-anya-vat tAsu mad-matA |
   matkāmā iti pūrvārdhe cākhyat prāptivibhaktatām ||242||	mad-kAmAH iti pUrva-arDe ca-AKyat prApti-viBakta-tAm ||242||
   asvarūpavidaḥ satyaḥ prāpur jāradhiyety avak |	asvarUpa-vidaH satyaH prApuH jAraDiyA-iti avak |
   nityatatpreyasīrūpasvarūpaṃ hi tadīyakam ||243||	nitya-tad-preya-sIrUpa-svarUpam hi tadIyakam ||243||
   yat pūrvaṃ bhāvayan bhāvaṃ bhāvinīnām amūdṛśām |	yat pUrvam BAvayan BAvam BAvinInAm amUdRSAm |
   matkāmā iti niḥkṣipya jāratve sthairyam1 ākṣipat ||244||	mad-kAmAH iti niHkzipya jAra-tve sTEryam1 Akzipat ||244||
   mayi kāmaḥ sadā yāsāṃ tā matkāmā itīritāḥ |	mayi kAmaH sadA yAsAm tAH mad-kAmAH iti-IritAH |
   kāmaś ca ramaṇatvena spṛhātra pratipadyate ||245||	kAmaH ca ramaNa-tvena spRhA-atra pratipadyate ||245||
   asminn api batety2ādi śrīrādhāgīr aliṃ prati |	asmin api bata-iti-2Adi SrI-rADAgIH alim prati |
   vivicyatāṃ tataḥ sarvam anyad anyad vivicyatām ||246||	vivicyatAm tatas sarvam anyat anyat vivicyatAm ||246||
   atrāryaputra3 śabdaḥ syāt patyāv eva prasiddhibhāk |	atra-Arya-putra3 SabdaH syAt patyO eva prasidDi-BAj |
   tathāpi sveṣu kaiṅkaryaṃ dainyāt kanyāvad īritam ||247||	taTA-api svezu kEFkaryam dEnyAt kanyA-vat Iritam ||247||
   saṅk ptāpatitā tābhiḥ punar ittham udīritam |	saF ptApatitA tABiH punar itTam udIritam |
   śyāmasundara te dāsya iti4 yadvat tatheha ca ||248||	SyAmasundara te dAsyaH iti4 yadvat taTA-iha ca ||248||
   āryaputraḥ kadāsmākaṃ kiṅkarīṇāṃ tu mūrdhani |	Arya-putraH kadA-asmAkam kiFkarINAm tu mUrDani |
   bhujaṃ dhāsyaty evam āsāṃ tatpatnīpadakāmatā ||249||	Bujam DAsyati evam AsAm tad-patnI-pada-kAma-tA ||249||
   tatkāmatā hi siddhā cet tena taddānam avyayam |	tad-kAma-tA hi sidDA ced tena tad-dAnam avyayam |
   ye yathā māṃ prapadyante iti5 yatvat6 pratiśravaḥ ||250||	ye yaTA mAm prapadyante iti5 yatvat6 pratiSravaH ||250||
   vallavyo me madātmāna iti7 yat proktam ātmanā |	vallavyaH me mad-AtmAnaH iti7 yat proktam AtmanA |
   sarveṣāṃ vacasām ūrdhvaṃ tad āstāṃ sarvamūrdhani ||251||	sarvezAm vacasAm UrDvam tat AstAm sarva-mUrDani ||251||
   yan matkāmā iti proce tāsāṃ prāptis tathā svayam |	yat mad-kAmAH iti proce tAsAm prAptiH taTA svayam |
   tan mayā sādhu tat proktaṃ tāsāṃ kāmitalambhanam ||252||	tat mayA sADu tat proktam tAsAm kAmita-lamBanam ||252||
   matkāmā iti padyasya turyāṃśe tv idam ucyate |	mad-kAmAH iti padyasya turya-aMSe tu idam ucyate |
   parāś ca saṅgatas tāsāṃ prāpuḥ śatasahasraśaḥ8 ||253||	parAH ca saFgataH tAsAm prApuH Sata-sahasraSas-8 ||253||
   [pūrvavad ekaviṃśatyā]	[pUrvavat ekaviMSatyA]
   yaḥ śrīgargavacaḥ pūrṇaṃ tūrṇaṃ cakre svayaṃ dvayam |	yaH SrI-garga-vacaH pUrNam tUrNam cakre svayam dvayam |
   eṣa vaḥ śreya ādhasyad ya etasmin maheti9 dik ||254||	eza vaH SreyaH ADasyat yaH etasmin mahA-iti9 diS ||254||
   nāśād vighnasya kaṃsādeḥ patyābhāsādijasya ca |	nASAt viGnasya kaMsa-AdeH pati-ABAsa-Adi-jasya ca |
   1. (b) 'sthairyam; 2. BhP x.47.21; 3. ibid.; 4. x.22.15; 5. gītā 4.11; 6.	1. (b) asTEryam; 2. Bhj x.47.21; 3. ibid.; 4. x.22.15; 5. gItAH 4.11; 6.
   (a) yat tat; 7. BhP x.46.6; 8. BhP xi.12.13; 9. BhP x.8.16	(a) yat tat; 7. BhP x.46.6; 8. BhP xi.12.13; 9. BhP x.8.16
   sadā svam adadād yasmād vraje kāntāvrajeṣv api ||255||	sadA svam adadAt yasmAt vraje kAntA-vrajezu api ||255||
   [pūrvavad yugmakam]	[pUrvavat yugmakam]
   yaḥ prādād vrajavāsibhyaḥ pūrvarītyā nijāṃ gatim |	yaH prAdAt vraja-vAsiByaH pUrva-rItyA nijAm gatim |
   vṛndāvanasthāṃ golokanāmnīṃ yāṃ prāg alokayat ||256||	vRndAvana-sTAm goloka-nAmnIm yAm prAk alokayat ||256||
   yāṃ śrībṛhadgautamīye prāha vṛndāvanaṃ prati |	yAm SrI-bRhat-gOtamIye prAha vRndAvanam prati |
   sarvadevamayaś cāhaṃ na tyajāmi vanaṃ kvacit ||257||	sarva-deva-mayaH ca-aham na tyajAmi vanam kvacid ||257||
   āvirbhāvas tirobhāvo bhaven me'tra yuge yuge |	AvirBAvaH tiroBAvaH Bavet me-atra yuge yuge |
   tejomayam idaṃ ramyam adṛśyaṃ carmacakṣuṣā ||258||1	tejaH-mayam idam ramyam adRSyam carma-cakzuzA ||258||1
   tad etad vistarād brahmasaṃhitāyāṃ nirūpitam |	tat etat vistarAt brahma-saMhitAyAm nirUpitam |
   golokanāmnā2 tanmadhye gokulākhyaṃ hareḥ padam ||259||	goloka-nAmnA2 tad-maDye gokula-AKyam hareH padam ||259||
   na tyajāmīti yat tat tu dvidhābhiprāyakaṃ matam |	na tyajAmi-iti yat tat tu dviDA-aBiprAyakam matam |
   virahe 'pi vraje sphūrtyā pūrtyā śīghrāgater api ||260||	virahe api vraje sPUrtyA pUrtyA SIGra-AgateH api ||260||
   [pūrvavac caturbhiḥ]	[pUrvavat caturBiH]
   yaḥ sva-puryor api sthairyaṃ yāti nityaṃ yathāha ca |	yaH sva-puryoH api sTEryam yAti nityam yaTA-Aha ca |
   mathurā bhagavān yatra nityaṃ sannihito hariḥ ||261||3	maTurA BagavAn yatra nityam sannihitaH hariH ||261||3
   dvārakāṃ hariṇā tyaktāṃ samudrotplāvayat kṣaṇāt |	dvArakAm hariNA tyaktAm samudra-utplAvayat kzaNAt |
   varjayitvā mahārāja śrīmad-bhagavad-ālayam ||262||4	varjayitvA mahA-rAja SrI-mat--Bagavat--Alayam ||262||4
   smṛtvāśeṣāśubha-haraṃ sarva-maṅgala-maṅgalaḥ |	smRtvA-aSeza-aSuBa-haram sarva-maFgala--maFgalaH |
   nityaṃ sannihitas tatra bhagavān madhusūdanaḥ ||263||5	nityam sannihitaH tatra BagavAn maDusUdanaH ||263||5
   [pūrvavad tribhiḥ]	[pUrvavat triBiH]
   yas tasmād ubhayatrāpi rājatīti śukena ca |	yaH tasmAt uBayatra-api rAjati-iti Sukena ca |
   jayatīty6 ādi-vākyena varṇitaḥ kṣitipaṃ prati ||264||	jayati-ity6 Adi-vAkyena varNitaH kzitipam prati ||264||
   yaś campū-yugala-prāntam īdṛk siddhāntam īritam |	yaH campU--yugala--prAntam IdRS sidDAntam Iritam |
   jīvāntaryāmitāṃ prāptas tūrṇaṃ pūrṇam acīkarat ||265||	jIva-antaryAmitAm prAptaH tUrNam pUrNam acIkarat ||265||
   sa tu harir adhivartma dantavakraṃ	sa tu hariH aDivartma dantavakram
   yudhi śamayan vraja-vāsam āsasāda |	yuDi Samayan vraja-vAsam AsasAda |
   tam abhiyayur amī vrajeśa-mukhyāḥ	tam aBiyayuH amI vraja-ISa--muKyAH
   śaśinam iva kṣudhitāś cakora-vārāḥ ||266||	SaSinam iva kzuDitAH cakora-vArAH ||266||
   [ādim ārabhya mahā-kulakam]	[Adim AraBya mahA-kulakam]
   sa ca janaka-mukhān nirīkṣya	sa ca janaka-muKAt nirIkzya
   śuṣkān svadṛg-amṛtena siñcati sma |	SuzkAn sva-dRS--amRtena siQcati sma |
   pulaka-kula-miṣād yathāṅkurāṇāṃ	pulaka-kula-mizAt yaTA-aFkurANAm
   tatim adadhur bata te'pi gopavṛkṣāḥ ||267||	tatim adaDuH bata te-api gopa-vRkzAH ||267||
   atha hari-hariṇīdṛśaś ca tarhi	aTa hari-hariNI-dRSaH ca tarhi
   sphuraṇam iva pratipadya pūrva-tulyam |	sPuraNam iva pratipadya pUrva--tulyam |
   nayana-gatatayānyathā ca matvā	nayana--gata-tayA-anyaTA ca matvA
   muhur agaman bhramam abhramaṃ ca tatra ||268||	muhur agaman Bramam aBramam ca tatra ||268||
   1. gcp 1.18; gcu 29.96 etc.; 2. (b) nāmnīṃ; 3. BhP x.1.28; 4. BhP	1. gcp 1.18; gcu 29.96 ed-c.; 2. (b) nAmnIM; 3. BhP x.1.28; 4. BhP
   xi.31.23; 5. BhP xi.31.24; 6. BhP x.90.48;	xi.31.23; 5. Bhj xi.31.24; 6. Bhj x.90.48;
   vrajam atha viśataḥ sa-ratnam ārātrikam anulabdhavataś ca tasya lokaḥ |	vrajam aTa viSataH sa--ratnam ArAtrikam anulabDavataH ca tasya lokaH |
   kusuma-kula-sahodaraṃ vitanvan jaya-jaya-ghoṣam uvāca bhadra-vācam ||269||	kusuma--kula--sahodaram vitanvan jaya--jaya--Gozam uvAca Badra--vAcam ||269||
   vrajam atha sukhayan vinīta-vācā	vrajam aTa suKayan vinIta-vAcA
   kramam anulabdha-tadīya-saṅgamaś ca |	kramam anulabDa-tadIya--saFgamaH ca |
   druta-gati jananīṃ sukhena sektuṃ	druta-gati jananIm suKena sektum
   gṛham adasīyam iyāya kṛṣṇa-candraḥ ||270||	gRham adasIyam iyAya kRzNa-candraH ||270||
   ciram api viracayya śarma tasyās tad-anumatiṃ pratilabhya tat-tanūjaḥ |	ciram api viracayya Sarma tasyAH tat--anumatim pratilaBya tat-tanUjaH |
   saha-sakhi-nikareṇa divya-śayyāṃ sukham adhiśayya niśāvirāma-dṛṣṭaḥ	saha-saKi--nikareNa divya--SayyAm suKam aDiSayya niSA-virAma-dRzwaH
   punar api nija-vṛnda-saukhya-vṛndaṃ vidadhad uditya sa nitya-citra-mitraḥ	punar api nija--vRnda--sOKya-vRndam vidaDat uditya sa nitya--citra-mitraH
   nija-mukha-kamalaṃ vikāsya netra-bhramara-madhūtsavam ātatāna tatra	nija--muKa--kamalam vikAsya netra--Bramara--maDUtsavam AtatAna tatra
   [yugmakam]	[yugmakam]
   aharahar idam eva tatra pūrva-1pratinava-bhāvam avāpa kevalaṃ na |	aharahar idam eva tatra pUrva-1pratinava--BAvam avApa kevalam na |
   jana-samuditir apy adṛṣṭa-pūrvāṃ vapur anukāntim iyāya śaśvad eva ||273||	jana--samuditiH api adRzwa--pUrvAm vapuH anukAntim iyAya SaSvat eva ||273||
   divasa-katipaye tadātiyāte2 paśupati-pālakatāpta-tādṛg-icchuḥ |	divasa--kati-paye tadA-atiyAte2 paSupati--pAlaka-tA-Apta-tAdRS--icCuH |
   nija-ratha-tarasā nināya goṣṭhaṃ saha-jananī-kabalaṃ tam uddhavaṃ ca	nija--raTa-tarasA ninAya gozWam sa-ha-jananI-ka-balam tam udDavam ca
   agharipu-sudṛśāṃ dhavābhimāniṣv akṛta-tanu-pratimāḥ purā tu māyā |	aGa-ripu--sudRSAm Dava-aBimAnizu akRta-tanu--pratimAH purA tu mAyA |
   sarabhasam adhunā sma tā vibhajya prakṛta-tanūs tanute premāspadāni	sa-raBasam aDunA sma tAH viBajya prakRta--tanUH tanute prema-AspadAni
   atha gatavati mūrti-bheda-rītyā yadu-puram atra ca rājamāna-dhāmni |	aTa gatavati mUrti-Beda--rItyA yadu-puram atra ca rAjamAna--DAmni |
   vraja-bhava-jana-mātra-dṛśya-rūpe matir udiyāt tava citta gopa-kṛṣṇe	vraja--Bava--jana--mAtra--dRSya--rUpe matiH udiyAt tava citta gopa-kRzNe
   iti janmādi-līlā	iti janma-Adi-lIlA
   1. (b) pūrvaṃ; 2. (a) tadādio	1. (b) pUrvaM; 2. (a) tad-Adio
   atha nityalīlā	aTa nitya-lIlA
   prakaṭataravikāsabhāji vṛndāvana iha bhāti kim apy adṛśya-dhāma |	prakawatara-vikAsa-BAji vRndAvanaH iha BAti kim api adRSya--DAma |
   vraja-jana-sahitaḥ sa yatra kṛṣṇaḥ sukha-vihṛtiṃ vidadhad vibhāti nityam	vraja--jana--sahitaH sa yatra kRzNaH suKa--vihRtim vidaDat viBAti nityam
   parilasati payaḥ-samudra-sīmā vraja-yuva-rāja-samāja-loka eṣaḥ |	parilasati payaH--samudra-sImA vraja--yuva-rAja--samAja--lokaH ezaH |
   amum anu caturasram atra vanyāgiri-sarid-añcita-cārutātidhanyā ||2||	amum anu catur-asram atra vanyA-giri--sarit--aQcita--cAru-tA-ati-DanyAH ||2||
   girisamuditir atra suṣṭhu govardhanavalitā paribhāti citratulyā |	giri-samuditiH atra suzWu govarDana-valitA pariBAti citra-tulyA |
   vilasati yamunādikānadīnāṃ tatir api mānasagaṅgayānuṣaktā ||3||	vilasati yamunA-AdikA-nadInAm tatiH api mAnasagaFgayA-anuzaktAH ||3||
   abhirucidadaratnacitramitraṃ bhuvanam idaṃ paribhāti yatra vṛkṣāḥ |	aBirucidat-aratna-citra-mitram Buvanam idam pariBAti yatra vRkzAH |
   tad anukṛtiparārucā samṛddhyā hariratidāyitayā ca ye vibhātāḥ ||4||	tat anukRti-parArucA samRdDyA hari-H-ati-dAyitayA ca ye viBAtAH ||4||
   vilasati caturasradhāmni ghasrakṣitipatibimbamahaḥ sahasrapatram |	vilasati catur-asra-DAmni Gasra-kzitipati-bimbam-ahar sahasra-patram |
   upavanam adhipatram atra kṛṣṇapriyatama1dāravihārasāravāraḥ ||5||	upavanam aDipatram atra kRzNa-priyatama1dAra-vihAra-sAra-vAraH ||5||
   iha kamaladaladvayālimadhyasthitipathivṛndam atisphuṭaṃ vibhāti |	iha kamala-dala-dvaya-ali-maDya-sTiti-paTi-vRndam ati-sPuwam viBAti |
   aparaparagatāv acākṣuṣāṇi śrutivihitāny ayanāni yat tu jetṛ ||6||	apara-para-gatO acAkzuzANi Sruti-vihitAni ayanAni yat tu jetR ||6||
   maṇijani2kamalasya tasya cāgrāvalivalayapratisandhilabdhasandhi |	maNija-ni2kamalasya tasya ca-agra-Avali-valaya-pratisanDi-labDa-sanDi |
   surabhigaṇavṛtāsudhābhadugdhāsurabhitatiḥ śrayate śubhaṃyugoṣṭham ||7||	suraBi-gaNa-vRta-asuDA-ABa-dugDa-asuraBi-tatiH Srayate SuBaMyuga-uzWam ||7||
   atha dalavalayasya madhyabhāgaṃ3 pratilasati vrajarājarājadhānī |	aTa dala-valayasya maDya-BAgaM3 pratilasati vraja-rAja-rAjaDAnI |
   paridhivad4 abhitaḥ samastagopaprakaragṛhāvalir atra yatra bhāti ||8||	pariDivad4 aBitas samasta-gopa-prakara-gRha-AvaliH atra yatra BAti ||8||
   rucilasadavarodhamadhyabhāgaṃ sapariṣadantimaṣaṣṭhabhāgapuṣṭam |	rucila-sat-avaroDa-maDya-BAgam sa-parizad-antim-azazWa-BAga-puzwam |
   vrajanṛpabhavanaṃ tu tatra cāntar dinakaravad vidadhāti raśmisṛṣṭim ||9||	vraja-nRpa-Bavanam tu tatra ca-antar dinakara-vat vidaDAti raSmi-sRzwim ||9||
   yad api maṇimayaṃ tad eka-rūpaṃ tad api sad adbhuta-madhya-madhya-bhāgam |	yat api maNi-mayam tat eka--rUpam tat api sat adButa--maDya-maDya--BAgam |
   yadi bahu-vidham ūhituṃ samīhā smara mama mānasa gopa-campū-yugmam ||10||	yadi bahu-viDam Uhitum samIhA smara mama mAnasa gopa--campU--yugmam ||10||
   iha sahacaratārakālipuṣṭaḥ svakaparicāricakoravārajuṣṭaḥ |	iha sahacara-tAra-kAli-puzwaH svaka-pari-cAri-cakora-vAra-juzwaH |
   smitam anuyaśa ity anudya kaumudy avataratīty uditātareḥ sutuṣṭaḥ ||11||	smitam anuyaSaH iti anudya kOmudI avatarati-iti uditAtareH su-tuzwaH ||11||
   vrajakulakumudāvalīmudāṃ yaḥ satatamahāmahakṛdvidhāv atandraḥ |	vraja-kula-kumuda-AvalI-mudAm yaH satata-mahA-mahakRt-viDO atandraH |
   pitṛmukhasadasi priyāvalīnāṃ mahasi ca nandati gopakṛṣṇacandraḥ ||12||	pitR-muKa-sadasi priya-avalInAm mahasi ca nandati gopa-kRzNa-candraH ||12||
   surapatimaṇimānitāṅgisaṅghapaṭapapaṭutākṛtahemaraṅgabhaṅgaḥ |	surapati-maNi-mAnita-aFgi-saFGa-pawapa-pawu-tA-kRta-hema-raFga-BaFgaH |
   guṇagaṇabhṛtabhāratīsamājaḥ sa jayati gokularājavaṃśarājaḥ ||13||	guNa-gaNa-BRta-BAratI-samAjaH sa jayati gokula-rAja-vaMSa-rAjaH ||13||
   [tribhiḥ kulakam]	[triBiH kulakam]
   iha harivihṛtīr atītarītyā śṛṇu kathayāmi sadāpi nātibhinnāḥ |	iha hari-vihRtIH atIta-rItyA SRNu kaTayAmi sadA-api na-ati-BinnAH |
