   Toḍalatantra, Prathamaḥ paṭalaḥ	Toxala-tantra, PraTamaH pawalaH
   mūlena darbhayā bhūmau trivāraṃ nikṣipet sudhīḥ /	mUlena darBayA BUmO tri-vAram nikzipet suDIH /
   tajjalena saptavāram ātmābhiṣekamācaret // ToT_3.43 //	tad-jalena sapta-vAram Atma-aBizekam-Acaret // ToT_3.43 //
   aṅganyāsaṃ tataḥ kṛtvā vāmahaste sureśvari /	aFganyAsam tatas kRtvA vAma-haste sureSvari /
   gaganaṃ vāyubījaṃ ca varuṇaṃ bhūmibījakam // ToT_3.44 //	gaganam vAyubIjam ca varuNam BUmibIjakam // ToT_3.44 //
   vahnibījaṃ binduyuktaṃ trivāraṃ japamācaret /	vahnibIjam bindu-yuktam tri-vAram japam-Acaret /
   anena manunā devi tajjalaṃ cābhimantritam // ToT_3.45 //	anena manunA devi tat-jalam ca-aBimantritam // ToT_3.45 //
   mūlamantraṃ samuccārya saptadhā tattvamudrayā /	mUlamantram samuccArya saptaDA tattva-mudrayA /
   abhiṣecanamātreṇa mucyate sarvapātakaiḥ // ToT_3.46 //	aBizecana-mAtreNa mucyate sarva-pAtakEH // ToT_3.46 //
   śeṣaṃ jalaṃ maheśāni dakṣahaste samānayet /	Sezam jalam maheSAni dakza-haste samAnayet /
   iḍayā pūrayettoyaṃ kṣālayed dehamadhyagam // ToT_3.47 //	ixayA pUrayet-toyam kzAlayet deha-maDya-gam // ToT_3.47 //
   tataḥ piṅgalayā devi tattoyaṃ tu virecayet /	tatas piFgalayA devi tat-toyam tu virecayet /
   kṛṣṇavarṇaṃ tadudakaṃ pāparūpaṃ vicintayet // ToT_3.48 //	kRzNa-varNam tat-udakam pApa-rUpam vicintayet // ToT_3.48 //
   purato vajrapāṣāṇe phaṭkāreṇa vinikṣipet /	puratas vajrapAzANe PawkAreNa vinikzipet /
   hastaṃ prakṣālya cācamya prāṇāyāmapuraḥsaram // ToT_3.49 //	hastam prakzAlya ca-Acamya prANAyAma-puraHsaram // ToT_3.49 //
   tarpayet kuladevaṃ ca sūryāyārghyaṃ nivedayet /	tarpayet kuladevam ca sUryAya-arGyam nivedayet /
   devatārghyaṃ tataḥ paścād gāyatrīṃ paramākṣarīm // ToT_3.50 //	devatA-arGyam tatas paScAt gAyatrIm paramAkzarIm // ToT_3.50 //
   praṇavaṃ ca samuddhṛtya kālikāyai tato vadet /	praNavam ca samudDRtya kAlikAyE tatas vadet /
   vidmahe iti saṃlikhya śmaśānaṃ ca samuddharet // ToT_3.51 //	vidmahe iti saMliKya SmaSAnam ca samudDaret // ToT_3.51 //
   vāsinīṃ ṅeyutāṃ devi dhīmahīti tato vadet /	vAsinIm FeyutAm devi DImahi-iti tatas vadet /
   tanno ghore maheśāni prajapettu pracodayāt // ToT_3.52 //	tat-naH Gore maheSAni prajapet-tu pracodayAt // ToT_3.52 //
   gāyatrīṃ prapaṭhed dhīmān trivāraṃ jalamutkṣipet /	gAyatrIm prapaWet DImAn tri-vAram jalam-utkzipet /
   tato japenmahāmantraṃ gāyatrīṃ paramākṣarīm // ToT_3.53 //	tatas japet-mahAmantram gAyatrIm paramAkzarIm // ToT_3.53 //
   aṅganyāsaṃ tataḥ kṛtvā ācamya parameśvari /	aFganyAsam tatas kRtvA Acamya parameSvari /
   iṣṭadevīṃ maheśāni dhyātvā tu parimaṇḍale // ToT_3.54 //	izwadevIm maheSAni DyAtvA tu parimaNxale // ToT_3.54 //
   oṃ tārāyai vidmahe iti mahogrāyai tato vadet /	om tArAyE vidmahe iti mahA-ugrAyE tatas vadet /
   dhīmahīti tataḥ paścāt tato devi pracodayāt // ToT_3.55 //	DImahi-iti tatas paScAt tatas devi pracodayAt // ToT_3.55 //
   prāṇāyāmaṃ tataḥ kṛtvā cāṣṭottaraśataṃ japet /	prANAyAmam tatas kRtvA ca-azwottaraSatam japet /
   sūtrākāreṇa deveśi pūjāvidhirihocyate // ToT_3.56 //	sUtra-AkAreNa deveSi pUjA-viDiH-iha-ucyate // ToT_3.56 //
   svastivācanasaṃkalpaṃ ghaṭaṃ saṃsthāpya yatnataḥ /	svastivAcana-saMkalpam Gawam saMsTApya yatnatas /
   mantreṇācamanaṃ kāryaṃ sāmānyārghyaṃ tato nyaset // ToT_3.57 //	mantreNa-Acamanam kAryam sAmAnya-arGyam tatas nyaset // ToT_3.57 //
   tajjalair dvāram abhyukṣya dvārapūjāṃ samācaret /	tad-jalEH dvAram aByukzya dvAra-pUjAm samAcaret /
   trividhaṃ vighnam utsārya bhūtāpasaraṇaṃ tataḥ // ToT_3.58 //	triviDam viGnam utsArya BUta-apasaraNam tatas // ToT_3.58 //
   āsanaṃ ca samabhyarcya gurudevaṃ namet sudhīḥ /	Asanam ca samaByarcya guru-devam namet suDIH /
   karaśuddhiṃ ca tālaṃ ca trayaṃ digbandhanaṃ tataḥ // ToT_3.59 //	kara-SudDim ca tAlam ca trayam digbanDanam tatas // ToT_3.59 //
   vahninā veṣṭanaṃ kāryaṃ bhūtaśuddhim athācaret /	vahninA vezwanam kAryam BUtaSudDim aTa-Acaret /
   mātṛkāyāḥ ṣaḍaṅgaṃ ca kuryād āntaramātṛkām // ToT_3.60 //	mAtRkAyAH zaxaFgam ca kuryAt Antara-mAtRkAm // ToT_3.60 //
   mātṛkādhyānam uccārya bāhye tu mātṛkāṃ nyaset /	mAtRkA-DyAnam uccArya bAhye tu mAtRkAm nyaset /
   pīṭhanyāsaṃ tataḥ kṛtvā prāṇāyāmaṃ samācaret // ToT_3.61 //	pIWa-nyAsam tatas kRtvA prANAyAmam samAcaret // ToT_3.61 //
   ṛṣyādikaṃ karāṅgaṃ ca varṇanyāsaṃ samācaret /	Rzi-Adikam kara-aFgam ca varNa-nyAsam samAcaret /
   ṣoḍhānyāsaṃ tato devi vyāpakaṃ tadanantaram // ToT_3.62 //	zoXA-nyAsam tatas devi vyApakam tad-anantaram // ToT_3.62 //
   evaṃ samāhitamanās tattvanyāsaṃ samācaret /	evam samAhita-manAH tattva-nyAsam samAcaret /
   bījanyāsaṃ tato devi vyāpakaṃ vinyaset sudhīḥ // ToT_3.63 //	bIjanyAsam tatas devi vyApakam vinyaset suDIH // ToT_3.63 //
   mūlena saptadhā dhyānaṃ mānasaiḥ pūjanaṃ caret /	mUlena saptaDA DyAnam mAnasEH pUjanam caret /
   viśeṣārghyaṃ pīṭhapūjāṃ punardhyānaṃ sanetrakam // ToT_3.64 //	viSeza-arGyam pIWa-pUjAm punar-DyAnam sa-netrakam // ToT_3.64 //
   mudrādidarśanaṃ kāryam āvāhanaṣaḍaṅgakam /	mudrA-Adi-darSanam kAryam AvAhana-zaxaFgakam /
   dhenvādikaṃ tataḥ prāṇa- pratiṣṭhāṃ mūlapūjanam // ToT_3.65 //	Denu-Adikam tatas prANa pratizWAm mUla-pUjanam // ToT_3.65 //
   ājñāprārthanamaṅgāni kālyādīn paripūjayet /	AjQA-prArTanam-aFgAni kAlI-AdIn paripUjayet /
   brāhmyādīnasitāṅgādīn mahākālaṃ prapūjayet // ToT_3.66 //	brAhmI-AdIn-asita-aFga-AdIn mahAkAlam prapUjayet // ToT_3.66 //
   khaḍgādīn gurupaṅktiṃ ca punardevīṃ prapūjayet /	Kaxga-AdIn guru-paFktim ca punar-devIm prapUjayet /
   balidānaṃ tato homaṃ prāṇāyāmaṃ tato japam // ToT_3.67 //	bali-dAnam tatas homam prANAyAmam tatas japam // ToT_3.67 //
   japaṃ samarpayeddhīmān prāṇāyāmaṃ tataścaret /	japam samarpayet-DImAn prANAyAmam tatas-caret /
   etasmin samaye devi kāraṇādīn samāharet // ToT_3.68 //	etasmin samaye devi kAraNa-AdIn samAharet // ToT_3.68 //
   arghyaṃ dattvā maheśāni cātmānaṃ ca samarpayet /	arGyam dattvA maheSAni ca-AtmAnam ca samarpayet /
   stutiṃ ca kavacaṃ smṛtvā cāṣṭāṅgaṃ praṇamet sudhīḥ // ToT_3.69 //	stutim ca kavacam smRtvA ca-azwAFgam praNamet suDIH // ToT_3.69 //
   śivo'ham iti saṃcintya saṃhāreṇa visarjayet /	SivaH-aham iti saMcintya saMhAreNa visarjayet /
   aiśānyāṃ maṇḍalaṃ kṛtvā cāṇḍālyucchiṣṭapūrvikām // ToT_3.70 //	ESAnyAm maNxalam kRtvA cANxAli-ucCizwa-pUrvikAm // ToT_3.70 //
   arghyaṃ saṃdhārya śirasi candanaṃ tu lalāṭake /	arGyam saMDArya Sirasi candanam tu lalAwake /
   naivedyaṃ kiṃcit svīkṛtya viharecca nijecchayā // ToT_3.71 //	nEvedyam kiMcid svIkRtya viharet-ca nija-icCayA // ToT_3.71 //
   saṃkṣepapūjāmathavā kuryānmantrī samāhitaḥ /	saMkzepa-pUjAm-aTavA kuryAt-mantrI samAhitaH /
   ādau ṛṣyādikaṃ nyāsaṃ karaśuddhistataḥ param // ToT_3.72 //	AdO Rzi-Adikam nyAsam kara-SudDiH-tatas param // ToT_3.72 //
   aṅgulīvyāpakanyāsau hṛdādinyāsa eva ca /	aFgulI-vyApaka-nyA-asO hRd-Adi-nyAsaH eva ca /
   tālatrayaṃ ca digbandhaḥ prāṇāyāmastataḥ param // ToT_3.73 //	tAla-trayam ca digbanDaH prANAyAmaH-tatas param // ToT_3.73 //
   dhyānaṃ mānasayāgaṃ ca arghyasthāpanameva ca /	DyAnam mAnasa-yAgam ca arGya-sTApanam-eva ca /
   pīṭhapūjāṃ punardhyānaṃ tataścāvāhanaṃ caret // ToT_3.74 //	pIWa-pUjAm punar-DyAnam tatas-ca-AvAhanam caret // ToT_3.74 //
   jīvanyāsaṃ tataḥ kṛtvā pūjayet paradevatām /	jIva-nyAsam tatas kRtvA pUjayet para-devatAm /
   aṅgapūjāṃ ca kālyādīn brāhmyādīṃścāṣṭabhairavān // ToT_3.75 //	aFga-pUjAm ca kAlI-AdIn brAhmI-AdIn=-ca-azwa-BEravAn // ToT_3.75 //
   mahākālaṃ pūjayitvā gurupaṅktiṃ yajettataḥ /	mahAkAlam pUjayitvA guru-paFktim yajet-tatas /
   khaḍgādīn pūjayitvā tu punardevīṃ prapūjayet // ToT_3.76 //	Kaxga-AdIn pUjayitvA tu punar-devIm prapUjayet // ToT_3.76 //
   prāṇāyāmaṃ tataḥ kṛtvā pūjayet sādhakāgraṇīḥ /	prANAyAmam tatas kRtvA pUjayet sADaka-agraNIH /
   devyā haste japaphalaṃ samarpaṇamathācaret // ToT_3.77 //	devyAH haste japa-Palam samarpaNam-aTa-Acaret // ToT_3.77 //
   prāṇāyāmaṃ tataḥ kṛtvā cāṣṭāṅgaṃ praṇamet sudhīḥ /	prANAyAmam tatas kRtvA ca-azwAFgam praNamet suDIH /
   stutiṃ ca kavacaṃ smṛtvā viśeṣārghyaṃ pradāpayet // ToT_3.78 //	stutim ca kavacam smRtvA viSeza-arGyam pradApayet // ToT_3.78 //
   ātmasamarpaṇaṃ kṛtvā saṃhāreṇa visarjayet /	Atma-samarpaNam kRtvA saMhAreNa visarjayet /
   aiśānyāṃ maṇḍalaṃ kṛtvā cāṇḍālyucchiṣṭapūrvikām /	ESAnyAm maNxalam kRtvA cANxAli-ucCizwa-pUrvikAm /
   naivedyaṃ kiṃcit svīkṛtya viharecca nijecchayā // ToT_3.79 //	nEvedyam kiMcid svIkRtya viharet-ca nija-icCayA // ToT_3.79 //
   Toḍalatantra, Caturthaḥ paṭalaḥ	Toxala-tantra, CaturTaH pawalaH
   devī uvāca	devI uvAca
   śrutā pūjā kālikāyās tārāyā vada sāmpratam /	SrutA pUjA kAlikAyAH tArAyAH vada sAmpratam /
   yasyāḥ prasaṅgamātreṇa vācaś cittāyate nṛṇām // ToT_4.1 //	yasyAH prasaFga-mAtreNa vAcaH cittAyate nRNAm // ToT_4.1 //
   īśvara uvāca	ISvaraH uvAca
   śṛṇu cārvaṅgi subhage tārāyāḥ pūjanaṃ mahat /	SRNu cAru-aFgi suBage tArAyAH pUjanam mahat /
   mantreṇācamanaṃ kṛtvā gurudevaṃ namettataḥ // ToT_4.2 //	mantreNa-Acamanam kRtvA guru-devam namet-tatas // ToT_4.2 //
   jalaṃ saṃśodhya hastau ca pādau ca kṣālayettataḥ /	jalam saMSoDya hastO ca pAdO ca kzAlayet-tatas /
   mantreṇācamanaṃ kṛtvā tataḥ pīṭhaṃ vicintayet // ToT_4.3 //	mantreNa-Acamanam kRtvA tatas pIWam vicintayet // ToT_4.3 //
   śikhāṃ baddhvā tato devi trividhaṃ vighnanāśanam /	SiKAm badDvA tatas devi triviDam viGna-nASanam /
   bhūmyāsanaṃ ca saṃśodhya vastre granthiṃ vidhāya ca // ToT_4.4 //	BUmi-Asanam ca saMSoDya vastre granTim viDAya ca // ToT_4.4 //
   kāyavākśodhanaṃ kṛtvā tataḥ puṣpaviśodhanam /	kAya-vAc-SoDanam kRtvA tatas puzpa-viSoDanam /
   yantraṃ kṛtvā sādhakendraḥ sāmānyārghyaṃ ca vinyaset // ToT_4.5 //	yantram kRtvA sADaka-indraH sAmAnya-arGyam ca vinyaset // ToT_4.5 //
   dvārapālāṃśca saṃpūjya pīṭhapūjāṃ samārabhet /	dvArapAlAn=-ca saMpUjya pIWa-pUjAm samAraBet /
   pīṭhaśaktīśca lakṣmyādyās tataḥ pīṭhamanuṃ japet // ToT_4.6 //	pIWa-SaktIH-ca lakzmI-AdyAH tatas pIWa-manum japet // ToT_4.6 //
   bhūtaśuddhiṃ pravakṣyāmi viśeṣamiha yadbhavet /	BUtaSudDim pravakzyAmi viSezam-iha yat-Bavet /
   kūrcayuktena haṃsena pūrakeṇa sureśvari // ToT_4.7 //	kUrca-yuktena haMsena pUrakeNa sureSvari // ToT_4.7 //
   kuṇḍalyā saha cātmānaṃ caturviṃśatibījakam /	kuNxalyA saha ca-AtmAnam caturviMSati-bIjakam /
   tatra līnāni deveśi paramātmani sādhakaḥ // ToT_4.8 //	tatra lInAni deveSi paramAtmani sADakaH // ToT_4.8 //
   māyayā saṃdahet pāpaṃ puruṣaṃ kajjalaprabham /	mAyayA saMdahet pApam puruzam kajjala-praBam /
   kumbhakena varārohe bhasma kuryād vicakṣaṇaḥ // ToT_4.9 //	kumBakena varArohe Basma kuryAt vicakzaNaH // ToT_4.9 //
   vadhūbījena deveśi bhasmanā saha recayet /	vaDU-bIjena deveSi BasmanA saha recayet /
   pūrakeṇa tu kūrcena lalāṭe'mṛtasaṃcayam // ToT_4.10 //	pUrakeNa tu kUrcena lalAwe-amRta-saMcayam // ToT_4.10 //
   cintayet parameśāni kumbhakenāmṛtāmbudhim /	cintayet parameSAni kumBakena-amRta-ambuDim /
   āṃ hrīṃ kroṃ vahnibījāntaṃ hṛdi caikādaśaṃ japet // ToT_4.11 //	Am hrIm krom vahni-bIja-antam hRdi ca-ekAdaSam japet // ToT_4.11 //
   tatastu cintayed dhīmān oṃkārād raktapaṅkajam /	tatas-tu cintayet DImAn oMkArAt rakta-paFkajam /
   tasyopari punardhyāyet huṃkāraṃ nīlasaṃnibham // ToT_4.12 //	tasya-upari punar-DyAyet huMkAram nIla-saMniBam // ToT_4.12 //
   tasyopari punar dhyāyed bījabhūṣitakartṛkām /	tasya-upari punar DyAyet bIja-BUzita-kartRkAm /
   tasyopari paraṃ binduṃ śivarūpaṃ ca avyayam // ToT_4.13 //	tasya-upari param bindum Siva-rUpam ca avyayam // ToT_4.13 //
   vālukāyāḥ sahasraika- bhāgaṃ binduṃ sudurlabham /	vAlukAyAH sahasra-eka BAgam bindum su-durlaBam /
   bindumadhye maṇidvīpaṃ śatayojanavistṛtam // ToT_4.14 //	bindu-maDye maNidvIpam Sata-yojana-vistRtam // ToT_4.14 //
   bindumadhye paraṃ jyotir budbudākāramaṇḍalam /	bindu-maDye param jyotiH budbuda-AkAra-maNxalam /
   yathaiva budbude devi pratibimbaṃ prapaśyati // ToT_4.15 //	yaTA-eva budbude devi pratibimbam prapaSyati // ToT_4.15 //
   tathā nirīkṣaṇaṃ kāryaṃ prakuryājjñānacakṣuṣā /	taTA nirIkzaNam kAryam prakuryAt-jQAna-cakzuzA /
   maṇidvīpaṃ tu tanmadhye suvarṇavālukāmayam // ToT_4.16 //	maNidvIpam tu tad-maDye suvarNa-vAlukA-mayam // ToT_4.16 //
   parito bhāvayenmantrī parikhāto manoharam /	paritas BAvayet-mantrI pariKAtaH manoharam /
   madhye kalpadrumaṃ dhyāyed ātmānaṃ tāriṇīmayam // ToT_4.17 //	maDye kalpadrumam DyAyet AtmAnam tAriNI-mayam // ToT_4.17 //
   udyadādityasaṃkāśaṃ jyotirmaṇḍalamuttamam /	udyat-Aditya-saMkASam jyotiH-maNxalam-uttamam /
   caturdvārasamāyuktaṃ hemaprākārabhūṣitam // ToT_4.18 //	catur-dvAra-samAyuktam hema-prAkAra-BUzitam // ToT_4.18 //
   bahucāmaraghaṇṭādi- devakanyāsuśobhitam /	bahu-cAmara-GaNwA-Adi devaka-nyA-su-SoBitam /
   mandavāyusamāyuktaṃ gandhadhūpair alaṃkṛtam // ToT_4.19 //	manda-vAyu-samAyuktam ganDa-DUpEH alaMkRtam // ToT_4.19 //
   tanmadhye vedikāṃ dhyāyen nānāratnopaśobhitām /	tad-maDye vedikAm DyAyet nAnA-ratna-upaSoBitAm /
   suvarṇasūtraracitaṃ cintayecchattram uttamam // ToT_4.20 //	suvarNa-sUtra-racitam cintayet-Cattram uttamam // ToT_4.20 //
   tadadhaścintayenmantrī ratnasiṃhāsanaṃ priye /	tad-aDas-cintayet-mantrI ratna-siMhAsanam priye /
   tatra devīṃ cintayecca yathoktadhyānayogataḥ // ToT_4.21 //	tatra devIm cintayet-ca yaTA-ukta-DyAna-yogataH // ToT_4.21 //
   yogasāre yathoktaistu upacāraiḥ prapūjayet /	yoga-sAre yaTA-uktEH-tu upacArEH prapUjayet /
   prāṇāyāmaṃ tataḥ kṛtvā ṛṣyādinyāsamācaret // ToT_4.22 //	prANAyAmam tatas kRtvA Rzi-Adi-nyAsam-Acaret // ToT_4.22 //
   varṇanyāsaṃ tataḥ kṛtvā karāṅganyāsamācaret /	varNa-nyAsam tatas kRtvA kara-aFga-nyAsam-Acaret /
   tālatrayaṃ choṭikābhir daśadigbandhanaṃ caret // ToT_4.23 //	tAla-trayam CowikABiH daSa-digbanDanam caret // ToT_4.23 //
   ṣoḍhānyāsaṃ tataḥ kṛtvā vyāpakaṃ tadanantaram /	zoXA-nyAsam tatas kRtvA vyApakam tad-anantaram /
   viśeṣārghyaṃ ca saṃsthāpya pañcatattvaṃ viśodhayet // ToT_4.24 //	viSeza-arGyam ca saMsTApya paQcatattvam viSoDayet // ToT_4.24 //
   sudhādevīṃ samānīya pañcīkaraṇamācaret /	suDA-devIm samAnIya paQcIkaraNam-Acaret /
   kumbhe puṣpaṃ samādāya trikoṇe triḥ prapūjayet // ToT_4.25 //	kumBe puzpam samAdAya trikoNe tris prapUjayet // ToT_4.25 //
   vāmadehaṃ tridhā coktvā khecarīṃ daśadhā japet /	vAma-deham triDA ca-uktvA KecarIm daSaDA japet /
   tathā cānandagāyatrīm ṛcaṃ ca trir japet sudhīḥ // ToT_4.26 //	taTA ca-Ananda-gAyatrIm Rcam ca tris japet suDIH // ToT_4.26 //
   brahmaśāpaṃ śukraśāpaṃ kṛṣṇaśāpaṃ sureśvari /	brahma-SApam Sukra-SApam kRzNa-SApam sureSvari /
   digjapānnāśayeddhīmān tato mantratrayaṃ japet // ToT_4.27 //	digjapAn-nASayet-DImAn tatas mantra-trayam japet // ToT_4.27 //
   churikāṃ cāmṛtaṃ caiva prītisaṃrakṣaṇīṃ tathā /	CurikAm ca-amRtam ca-eva prIti-saMrakzaNIm taTA /
   pāvamānaṃ ca trir japtvā śoṣaṇādīn samācaret // ToT_4.28 //	pAvamAnam ca tris japtvA SozaNa-AdIn samAcaret // ToT_4.28 //
   vāruṇaṃ trir japeddevi cāmṛtaṃ saptadhā japet /	vAruNam tris japet-devi ca-amRtam saptaDA japet /
   vidyātattve dhenumudrāṃ pradarśya mūlamaṣṭadhā // ToT_4.29 //	vidyA-tattve DenumudrAm pradarSya mUlam-azwaDA // ToT_4.29 //
   kuṇḍalinīṃ samutthāpya śivo'haṃ bhāvayettataḥ /	kuNxalinIm samutTApya SivaH-aham BAvayet-tatas /
   māṃsaṃ mīnaṃ śodhayitvā mudrāśodhanamācaret // ToT_4.30 //	mAMsam mInam SoDayitvA mudrA-SoDanam-Acaret // ToT_4.30 //
   śaktiṃ ca kulapuṣpaṃ ca śodhayet sādhakottamaḥ /	Saktim ca kula-puzpam ca SoDayet sADaka-uttamaH /
   devān pitṝn ṛṣīṃścaiva tarpayediṣṭadevatām // ToT_4.31 //	devAn pitLn RzIn=-ca-eva tarpayet-izwadevatAm // ToT_4.31 //
   śodhitaṃ dravyamādāya viśeṣārghye vinikṣipet /	SoDitam dravyam-AdAya viSeza-arGye vinikzipet /
   tato brahmamayaṃ dhyātvā pūjādhyānaṃ samācaret // ToT_4.32 //	tatas brahma-mayam DyAtvA pUjA-DyAnam samAcaret // ToT_4.32 //
   nāsārandhrāt samānīya pīṭhe puṣpaṃ nidhāya ca /	nAsA-ranDrAt samAnIya pIWe puzpam niDAya ca /
   tataścāvāhanaṃ kṛtvā pañcamudrāḥ pradarśayet // ToT_4.33 //	tatas-ca-AvAhanam kRtvA paQca-mudrAH pradarSayet // ToT_4.33 //
   ṣaḍaṅgena ca sampūjya punarmudrāṃ pradarśayet /	zaxaFgena ca sampUjya punar-mudrAm pradarSayet /
   jīvanyāsaṃ tataḥ kṛtvā upacāraiḥ prapūjayet // ToT_4.34 //	jIva-nyAsam tatas kRtvA upacArEH prapUjayet // ToT_4.34 //
   ṣaḍaṅgāni ca sampūjya akṣobhyaṃ pūjayedadhaḥ /	zaz-aFgAni ca sampUjya akzoByam pUjayet-aDas /
   gurupaṅktiṃ pūjayitvā daśamūleṣu pūjayet // ToT_4.35 //	guru-paFktim pUjayitvA daSamUlezu pUjayet // ToT_4.35 //
   mahāpūrvāṃś ca kālyādīn yajedvairocanādikān /	mahA-pUrvAn ca kAlI-AdIn yajet-vErocana-AdikAn /
   punardevīṃ prapūjyātha baliṃ dadyādvicakṣaṇaḥ // ToT_4.36 //	punar-devIm prapUjya-aTa balim dadyAt-vicakzaNaH // ToT_4.36 //
   prāṇāyāmaṃ tataḥ kṛtvā mantradhyānaṃ samācaret /	prANAyAmam tatas kRtvA mantra-DyAnam samAcaret /
   japaṃ kṛtvā maheśāni devyā haste samarpayet // ToT_4.37 //	japam kRtvA maheSAni devyAH haste samarpayet // ToT_4.37 //
   prāṇāyāmaṃ punaḥ kṛtvā tattvasvīkāramācaret /	prANAyAmam punar kRtvA tattva-svIkAram-Acaret /
   tasmai dattvā svayaṃ nītvā prajapet sādhakāgraṇīḥ // ToT_4.38 //	tasmE dattvA svayam nItvA prajapet sADaka-agraNIH // ToT_4.38 //
   pītvā pītvā japitvā ca muktaḥ koṭijanaiḥ saha /	pItvA pItvA japitvA ca muktaH kowi-janEH saha /
   pratipātre japenmantram aṣṭottaraśataṃ sudhīḥ // ToT_4.39 //	pratipAtre japet-mantram azwottaraSatam suDIH // ToT_4.39 //
   stutiṃ ca kavacaṃ smṛtvā cāṣṭāṅgaṃ praṇamet sudhīḥ /	stutim ca kavacam smRtvA ca-azwAFgam praNamet suDIH /
   viśeṣārghyaṃ pradātavyam ātmānaṃ ca samarpayet // ToT_4.40 //	viSeza-arGyam pradAtavyam AtmAnam ca samarpayet // ToT_4.40 //
   rudrarūpī svayaṃ bhūtvā saṃhāreṇa visarjayet /	rudra-rUpI svayam BUtvA saMhAreNa visarjayet /
   yonimudrāṃ tato baddhvā kṣamasveti visarjayet // ToT_4.41 //	yonimudrAm tatas badDvA kzamasva-iti visarjayet // ToT_4.41 //
   aṅganyāsaṃ maheśāni prāṇāyāmaṃ tataḥ param /	aFganyAsam maheSAni prANAyAmam tatas param /
   aiśānyāṃ maṇḍalaṃ kṛtvā nirmālyena prapūjayet // ToT_4.42 //	ESAnyAm maNxalam kRtvA nirmAlyena prapUjayet // ToT_4.42 //
   nirmālyavāsinīṃ ṅe'ntāṃ caṇḍeśvaryai namo namaḥ /	nirmAlya-vAsinIm Fe-antAm caNxeSvaryE namaH namaH /
   nirmālyaṃ dhārayet śīrṣe candanaṃ ca lalāṭake // ToT_4.43 //	nirmAlyam DArayet SIrze candanam ca lalAwake // ToT_4.43 //
   gurusthāne likhed yantraṃ vicared bhairavo yathā /	guru-sTAne liKet yantram vicaret BEravaH yaTA /
   saṃkṣepapūjanaṃ devi mānasaṃ tattvavarjitam // ToT_4.44 //	saMkzepa-pUjanam devi mAnasam tattva-varjitam // ToT_4.44 //
   atroktamācaredatra nānyat saṃcārayet sudhīḥ /	atra-uktam-Acaret-atra na-anyat saMcArayet suDIH /
   anyatsaṃcāraṇāddevi kruddhā bhavati tāriṇī // ToT_4.45 //	anyat-saMcAraNAt-devi krudDA Bavati tAriNI // ToT_4.45 //
   tattvajñānaṃ ca mānaṃ ca śaktimātre hi pārvati /	tattva-jQAnam ca mAnam ca Sakti-mAtre hi pArvati /
   ityetat kathitaṃ devi kimanyat śrotumicchasi // ToT_4.46 //	iti-etat kaTitam devi kim-anyat Srotum-icCasi // ToT_4.46 //
   Toḍalatantra, Pañcamaḥ paṭalaḥ	Toxala-tantra, PaQcamaH pawalaH
   śrīdevī uvāca	SrI-devI uvAca
   tvatprasādānmahādeva pavitrāhaṃ na cānyathā /	tvad-prasAdAt-mahAdeva pavitrA-aham na ca-anyaTA /
   śambhunāthārcanaṃ deva śrotum icchāmi sāmpratam // ToT_5.1 //	SamBunATa-arcanam deva Srotum icCAmi sAmpratam // ToT_5.1 //
   śiva uvāca	SivaH uvAca
   śṛṇu pārvati vakṣyāmi yanmāṃ tvaṃ paripṛcchasi /	SRNu pArvati vakzyAmi yat-mAm tvam paripRcCasi /
   nakulīśaṃ samuddhṛtya manusvaravibhūṣitam // ToT_5.2 //	nakulISam samudDRtya manu-svara-viBUzitam // ToT_5.2 //
   bindunādakalāyuktaṃ prāsādākhyaṃ mahāmanum /	bindu-nAda-kalA-yuktam prAsAda-AKyam mahA-manum /
   asya mantrasya māhātmyam ūrdhvāmnāye mayoditam // ToT_5.3 //	asya mantrasya mAhAtmyam UrDva-AmnAye mayA-uditam // ToT_5.3 //
   namaskāraṃ samuddhṛtya vāntaṃ netravibhūṣitam /	namaskAram samudDRtya vAntam netra-viBUzitam /
   vāruṇaṃ mukhavṛttaṃ ca vāyuṃ lalāṭasaṃyutam // ToT_5.4 //	vAruNam muKa-vRttam ca vAyum lalAwa-saMyutam // ToT_5.4 //
   ayaṃ pañcākṣaro mantraḥ pañcāmnāyaphalapradaḥ /	ayam paQcAkzaraH mantraH paQca-AmnAya-Pala-pradaH /
   praṇavādi yadā devi tadā mantraṃ ṣaḍakṣaram // ToT_5.5 //	praNava-Adi yadA devi tadA mantram zaz-akzaram // ToT_5.5 //
   prāsādākhyaṃ samuddhṛtya ardhanārīśvarāya ca /	prAsAda-AKyam samudDRtya arDanArISvarAya ca /
   punaḥ prāsādamuddhṛtya mantraṃ paramagopanam // ToT_5.6 //	punar prAsAdam-udDRtya mantram parama-gopanam // ToT_5.6 //
   evaṃ bahuvidhākāraṃ vigrahaṃ me nagātmaje /	evam bahuviDa-AkAram vigraham me naga-Atmaje /
   kaṇṭhe tu garalaṃ devi na kalau bhāvayet kvacit // ToT_5.7 //	kaNWe tu garalam devi na kalO BAvayet kvacid // ToT_5.7 //
   yadīcchedātmano mṛtyuṃ yadi unmattam icchati /	yadi-icCet-AtmanaH mRtyum yadi unmattam icCati /
   tadaiva sahasā devi nīlakaṇṭham upāsate // ToT_5.8 //	tadA-eva sahasA devi nIlakaNWam upAsate // ToT_5.8 //
