   BhP_09.01.001/0 śrīrājovāca	BhP_09.01.001/0 SrI-rAjA-uvAca
   BhP_09.06.014/2 vāhanatve vṛtastasya babhūvendro mahāvṛṣaḥ	Bhu-_09.06.014/2 vAhana-tve vRtaH-tasya baBUva-indraH mahA-vRzaH
   BhP_09.06.015/1 sa sannaddho dhanurdivyamādāya viśikhān chitān	Bhu-_09.06.015/1 sa sannadDaH DanuH-divyam-AdAya viSiKAn CitAn
   BhP_09.06.015/2 stūyamānastamāruhya yuyutsuḥ kakudi sthitaḥ	Bhu-_09.06.015/2 stUyamAnaH-tam-Aruhya yuyutsuH kakudi sTitaH
   BhP_09.06.016/1 tejasāpyāyito viṣṇoḥ puruṣasya mahātmanaḥ	Bhu-_09.06.016/1 tejasA-ApyAyitaH vizNoH puruzasya mahAtmanaH
   BhP_09.06.016/2 pratīcyāṃ diśi daityānāṃ nyaruṇat tridaśaiḥ puram	Bhu-_09.06.016/2 pratIcyAm diSi dEtyAnAm nyaruNat tridaSEH puram
   BhP_09.06.017/1 taistasya cābhūt pradhanaṃ tumulaṃ lomaharṣaṇam	Bhu-_09.06.017/1 tEH-tasya ca-aBUt praDanam tumulam loma-harzaNam
   BhP_09.06.017/2 yamāya bhallairanayaddaityān abhiyayurmṛdhe	Bhu-_09.06.017/2 yamAya BallEH-anayat-dEtyAn aBiyayuH-mRDe
   BhP_09.06.018/1 tasyeṣupātābhimukhaṃ yugāntāgnimivolbaṇam	Bhu-_09.06.018/1 tasya-izu-pAta-aBimuKam yugAnta-agnim-iva-ulbaNam
   BhP_09.06.018/2 visṛjya dudruvurdaityā hanyamānāḥ svamālayam	Bhu-_09.06.018/2 visRjya dudruvuH-dEtyAH hanyamAnAH svam-Alayam
   BhP_09.06.019/1 jitvā paraṃ dhanaṃ sarvaṃ sastrīkaṃ vajrapāṇaye	Bhu-_09.06.019/1 jitvA param Danam sarvam sa-strIkam vajrapANaye
   BhP_09.06.019/2 pratyayacchat sa rājarṣiriti nāmabhirāhṛtaḥ	Bhu-_09.06.019/2 pratyayacCat sa rAjarziH-iti nAmaBiH-AhRtaH
   BhP_09.06.020/1 purañjayasya putro 'bhūdanenāstatsutaḥ pṛthuḥ	Bhu-_09.06.020/1 puraQjayasya putraH aBUt-anenAH-tad-sutaH pRTuH
   BhP_09.06.020/2 viśvagandhistataścandro yuvanāśvastu tatsutaḥ	BhP_09.06.020/2 viSva-ganDiH-tatas-candraH yuvanASvaH-tu tad-sutaH
   BhP_09.06.021/1 śrāvastastatsuto yena śrāvastī nirmame purī	Bhu-_09.06.021/1 SrAvastaH-tad-sutaH yena SrAvastI nirmame purI
   BhP_09.06.021/2 bṛhadaśvastu śrāvastistataḥ kuvalayāśvakaḥ	Bhu-_09.06.021/2 bRhadaSvaH-tu SrAvastiH-tatas kuvalaya-aSvakaH
   BhP_09.06.022/1 yaḥ priyārthamutaṅkasya dhundhunāmāsuraṃ balī	Bhu-_09.06.022/1 yaH priya-arTam-utaFkasya DunDunAm-Asuram balI
   BhP_09.06.022/2 sutānāmekaviṃśatyā sahasrairahanadvṛtaḥ	Bhu-_09.06.022/2 sutAnAm-ekaviMSatyA sahasrEH-ahanat-vRtaH
   BhP_09.06.023/1 dhundhumāra iti khyātastatsutāste ca jajvaluḥ	BhP_09.06.023/1 DunDumAraH iti KyAtaH-tad-sutAH-te ca jajvaluH
   BhP_09.06.023/2 dhundhormukhāgninā sarve traya evāvaśeṣitāḥ	Bhu-_09.06.023/2 DunDoH-muKa-agninA sarve trayaH eva-avaSezitAH
   BhP_09.06.024/1 dṛḍhāśvaḥ kapilāśvaśca bhadrāśva iti bhārata	Bhu-_09.06.024/1 dRXASvaH kapilASvaH-ca BadrASvaH iti BArata
   BhP_09.06.024/2 dṛḍhāśvaputro haryaśvo nikumbhastatsutaḥ smṛtaḥ	Bhu-_09.06.024/2 dRXASva-putraH haryaSvaH nikumBaH-tad-sutaH smRtaH
   BhP_09.06.025/1 bahulāśvo nikumbhasya kṛśāśvo 'thāsya senajit	Bhu-_09.06.025/1 bahulASvaH nikumBasya kRSASvaH aTa-asya senajit-
   BhP_09.06.025/2 yuvanāśvo 'bhavat tasya so 'napatyo vanaṃ gataḥ	Bhu-_09.06.025/2 yuvanASvaH aBavat tasya saH anapatyaH vanam gataH
   BhP_09.06.026/1 bhāryāśatena nirviṇṇa ṛṣayo 'sya kṛpālavaḥ	Bhu-_09.06.026/1 BAryA-Satena nirviNNaH RzayaH asya kRpAlavaH
   BhP_09.06.026/2 iṣṭiṃ sma vartayāṃ cakruraindrīṃ te susamāhitāḥ	Bhu-_09.06.026/2 izwim sma vartayAm cakruH-EndrIm te su-samAhitAH
   BhP_09.06.027/1 rājā tadyajñasadanaṃ praviṣṭo niśi tarṣitaḥ	Bhu-_09.06.027/1 rAjA tad-yajQa-sadanam pravizwaH niSi tarzitaH
   BhP_09.06.027/2 dṛṣṭvā śayānān viprāṃstān papau mantrajalaṃ svayam	Bhu-_09.06.027/2 dRzwvA SayAnAn viprAn=-tAn papO mantra-jalam svayam
   BhP_09.06.028/1 utthitāste niśamyātha vyudakaṃ kalaśaṃ prabho	Bhu-_09.06.028/1 utTitAH-te niSamya-aTa vyudakam kalaSam praBo
   BhP_09.06.028/2 papracchuḥ kasya karmedaṃ pītaṃ puṃsavanaṃ jalam	Bhu-_09.06.028/2 papracCuH kasya karma-idam pItam puMsavanam jalam
   BhP_09.06.029/1 rājñā pītaṃ viditvā vai īśvaraprahitena te	Bhu-_09.06.029/1 rAjQA pItam viditvA vE ISvara-prahitena te
   BhP_09.06.029/2 īśvarāya namaścakruraho daivabalaṃ balam	Bhu-_09.06.029/2 ISvarAya namaH-cakruH-ahaH dEva-balam balam
   BhP_09.06.030/1 tataḥ kāla upāvṛtte kukṣiṃ nirbhidya dakṣiṇam	Bhu-_09.06.030/1 tatas kAle upAvRtte kukzim nirBidya dakziNam
   BhP_09.06.030/2 yuvanāśvasya tanayaścakravartī jajāna ha	Bhu-_09.06.030/2 yuvanASvasya tanayaH-cakravartI jajAna ha
   BhP_09.06.031/1 kaṃ dhāsyati kumāro 'yaṃ stanye rorūyate bhṛśam	Bhu-_09.06.031/1 kam DAsyati kumAraH ayam stanye rorUyate BRSam
   BhP_09.06.031/2 māṃ dhātā vatsa mā rodīritīndro deśinīmadāt	Bhu-_09.06.031/2 mAm DAtA vatsa mA rodIH-iti-indraH deSinIm-adAt-
   BhP_09.06.032/1 na mamāra pitā tasya vipradevaprasādataḥ	Bhu-_09.06.032/1 na mamAra pitA tasya vipradeva-prasAdataH
   BhP_09.06.032/2 yuvanāśvo 'tha tatraiva tapasā siddhimanvagāt	Bhu-_09.06.032/2 yuvanASvaH aTa tatra-eva tapasA sidDim-anvagAt-
   BhP_09.06.033/1 trasaddasyuritīndro 'ṅga vidadhe nāma yasya vai	Bhu-_09.06.033/1 trasat-dasyuH-iti-indraH aFga vidaDe nAma yasya vE
   BhP_09.06.033/2 yasmāt trasanti hyudvignā dasyavo rāvaṇādayaḥ	Bhu-_09.06.033/2 yasmAt trasanti hi-udvignAH dasyavaH rAvaNa-AdayaH
   BhP_09.06.034/1 yauvanāśvo 'tha māndhātā cakravartyavanīṃ prabhuḥ	Bhu-_09.06.034/1 yOvanASvaH aTa mAnDAtA cakravartyavanIm praBuH
   BhP_09.06.034/2 saptadvīpavatīmekaḥ śaśāsācyutatejasā	Bhu-_09.06.034/2 saptadvIpavatIm-ekaH SaSAsa-acyuta-tejasA
   BhP_09.06.035/1 īje ca yajñaṃ kratubhirātmavidbhūridakṣiṇaiḥ	Bhu-_09.06.035/1 Ije ca yajQam kratuBiH-Atma-vid-BUri-dakziNEH
   BhP_09.06.035/2 sarvadevamayaṃ devaṃ sarvātmakamatīndriyam	Bhu-_09.06.035/2 sarva-deva-mayam devam sarva-Atmakam-atIndriyam
   BhP_09.06.036/1 dravyaṃ mantro vidhiryajño yajamānastathartvijaḥ	Bhu-_09.06.036/1 dravyam mantraH viDiH-yajQaH yajamAnaH-taTA-RtvijaH
   BhP_09.06.036/2 dharmo deśaśca kālaśca sarvametadyadātmakam	Bhu-_09.06.036/2 DarmaH deSaH-ca kAlaH-ca sarvam-etat-yad-Atmakam
   BhP_09.06.037/1 yāvat sūrya udeti sma yāvac ca pratitiṣṭhati	Bhu-_09.06.037/1 yAvat sUryaH udeti sma yAvat ca pratitizWati
   BhP_09.06.037/2 tat sarvaṃ yauvanāśvasya māndhātuḥ kṣetramucyate	Bhu-_09.06.037/2 tat sarvam yOvanASvasya mAnDAtuH kzetram-ucyate
   BhP_09.06.038/1 śaśabindorduhitari bindumatyāmadhān nṛpaḥ	Bhu-_09.06.038/1 SaSabindoH-duhitari bindumatyAm-aDAt nRpaH
   BhP_09.06.038/2 purukutsamambarīṣaṃ mucukundaṃ ca yoginam	Bhu-_09.06.038/2 purukutsam-ambarIzam mucukundam ca yoginam
   BhP_09.06.038/3 teṣāṃ svasāraḥ pañcāśat saubhariṃ vavrire patim	Bhu-_09.06.038/3 tezAm svasAraH paQcASat sOBarim vavrire patim
   BhP_09.06.039/1 yamunāntarjale magnastapyamānaḥ paraṃ tapaḥ	Bhu-_09.06.039/1 yamunA-antar-jale magnaH-tapyamAnaH param tapaH
   BhP_09.06.039/2 nirvṛtiṃ mīnarājasya dṛṣṭvā maithunadharmiṇaḥ	Bhu-_09.06.039/2 nirvRtim mIna-rAjasya dRzwvA mETuna-DarmiNaH
   BhP_09.06.040/1 jātaspṛho nṛpaṃ vipraḥ kanyāmekāmayācata	Bhu-_09.06.040/1 jAta-spRhaH nRpam vipraH kanyAm-ekAm-ayAcata
   BhP_09.06.040/2 so 'pyāha gṛhyatāṃ brahman kāmaṃ kanyā svayaṃvare	Bhu-_09.06.040/2 saH api-Aha gRhyatAm brahman kAmam kanyA svayaMvare
   BhP_09.06.041/1 sa vicintyāpriyaṃ strīṇāṃ jaraṭho 'hamasanmataḥ	Bhu-_09.06.041/1 sa vicintya-apriyam strINAm jaraWaH aham-asat-mataH
   BhP_09.06.041/2 valīpalita ejatka ityahaṃ pratyudāhṛtaḥ	Bhu-_09.06.041/2 valI-palitaH ejat-kaH iti-aham pratyudAhRtaH
   BhP_09.06.042/1 sādhayiṣye tathātmānaṃ surastrīṇāmabhīpsitam	Bhu-_09.06.042/1 sADayizye taTA-AtmAnam sura-strINAm-aBIpsitam
   BhP_09.06.042/2 kiṃ punarmanujendrāṇāmiti vyavasitaḥ prabhuḥ	Bhu-_09.06.042/2 kim punar-manuja-indrANAm-iti vyavasitaH praBuH
   BhP_09.06.043/1 muniḥ praveśitaḥ kṣatrā kanyāntaḥpuramṛddhimat	Bha-a_09.06.043/1 muniH praveSitaH kzatrA kanyA-antaHpuram-RdDimat
   BhP_09.06.043/2 vṛtaḥ sa rājakanyābhirekaṃ pañcāśatā varaḥ	Bhu-_09.06.043/2 vRtaH sa rAja-kanyA-aBiH-ekam paQcASatA varaH
   BhP_09.06.044/1 tāsāṃ kalirabhūdbhūyāṃstadarthe 'pohya sauhṛdam	Bhu-_09.06.044/1 tAsAm kaliH-aBUt-BUyAn=-tad-arTe apohya sOhRdam
   BhP_09.06.044/2 mamānurūpo nāyaṃ va iti tadgatacetasām	Bhu-_09.06.044/2 mama-anurUpaH na-ayam vaH iti tad-gata-cetasAm
   BhP_09.06.045/1 sa bahvṛcastābhirapāraṇīya tapaḥśriyānarghyaparicchadeṣu	Bhu-_09.06.045/1 sa bahvRcaH-tABiH-apAraNIya tapaH-SriyAnarGya-paricCadezu
   BhP_09.06.045/2 gṛheṣu nānopavanāmalāmbhaḥ saraḥsu saugandhikakānaneṣu	Bhu-_09.06.045/2 gRhezu nAnA-upavana-amala-amBaH saraHsu sOganDika-kAnanezu
   BhP_09.06.046/1 mahārhaśayyāsanavastrabhūṣaṇa	Bhu-_09.06.046/1 mahArha-SayyA-Asana-vastra-BUzaNa
   snānānulepābhyavahāramālyakaiḥ	snAna-anulepa-aByavahAra-mAlyakEH
   BhP_09.06.046/2 svalaṅkṛtastrīpuruṣeṣu nityadā reme	Bhu-_09.06.046/2 su-alaFkRta-strI-puruzezu nityadA reme
   'nugāyaddvijabhṛṅgavandiṣu	anugAyat-dvija-BRFga-vandizu
   BhP_09.06.047/1 yadgārhasthyaṃ tu saṃvīkṣya saptadvīpavatīpatiḥ	Bhu-_09.06.047/1 yat-gArhasTyam tu saMvIkzya sapta-dvIpavatI-patiH
   BhP_09.06.047/2 vismitaḥ stambhamajahāt sārvabhaumaśriyānvitam	Bhu-_09.06.047/2 vismitaH stamBam-ajahAt sArvaBOma-SriyA-anvitam
   BhP_09.06.048/1 evaṃ gṛheṣv abhirato viṣayān vividhaiḥ sukhaiḥ	Bhu-_09.06.048/1 evam gRhezu aBirataH vizayAn viviDEH suKEH
   BhP_09.06.048/2 sevamāno na cātuṣyadājyastokairivānalaḥ	Bhu-_09.06.048/2 sevamAnaH na ca-atuzya-dAjya-stokEH-iva-analaH
   BhP_09.06.049/1 sa kadācidupāsīna ātmāpahnavamātmanaḥ	Bhu-_09.06.049/1 sa kadAcid-upAsInaH Atma-apahnavam-AtmanaH
   BhP_09.06.049/2 dadarśa bahvṛcācāryo mīnasaṅgasamutthitam	Bhu-_09.06.049/2 dadarSa bahvRca-AcAryaH mIna-saFga-samutTitam
   BhP_09.06.050/1 aho imaṃ paśyata me vināśaṃ tapasvinaḥ saccaritavratasya	Bhu-_09.06.050/1 aho imam paSyata me vinASam tapasvinaH sat-carita-vratasya
   BhP_09.06.050/2 antarjale vāricaraprasaṅgāt pracyāvitaṃ brahma ciraṃ	Bhu-_09.06.050/2 antar-jale vAri-cara-prasaFgAt pracyAvitam brahma ciram
   dhṛtaṃ yat	DRtam yat-
   BhP_09.06.051/1 saṅgaṃ tyajeta mithunavratīnāṃ mumukṣuḥ	BhP-_09.06.051/1 saFgam tyajeta miTuna-vratInAm mumukzuH
   BhP_09.06.051/2 sarvātmanā na visṛjedbahirindriyāṇi	Bhu-_09.06.051/2 sarva-AtmanA na visRjet-bahis-indriyANi
   BhP_09.06.051/3 ekaścaran rahasi cittamananta īśe	Bhu-_09.06.051/3 ekaH-caran rahasi cittam-anantaH ISe
   BhP_09.06.051/4 yuñjīta tadvratiṣu sādhuṣu cet prasaṅgaḥ	BhP_09.06.051/4 yuQjIta tat-vratizu sADuzu ced prasaFgaH
   BhP_09.06.052/1 ekastapasvyahamathāmbhasi matsyasaṅgāt	Bhu-_09.06.052/1 ekaH-tapasvi-aham-aTa-amBasi matsya-saFgAt-
   BhP_09.06.052/2 pañcāśadāsamuta pañcasahasrasargaḥ	Bhu-_09.06.052/2 paQcASat-Asamuta paQca-sahasra-sargaH
   BhP_09.06.052/3 nāntaṃ vrajāmyubhayakṛtyamanorathānāṃ	Bhu-_09.06.052/3 na-antam vrajAmi-uBaya-kRtya-manoraTAnAm
   BhP_09.06.052/4 māyāguṇairhṛtamatirviṣaye 'rthabhāvaḥ	Bhu-_09.06.052/4 mAyA-guNEH-hRta-matiH-vizaye arTa-BAvaH
   BhP_09.06.053/1 evaṃ vasan gṛhe kālaṃ virakto nyāsamāsthitaḥ	Bhu-_09.06.053/1 evam vasan gRhe kAlam viraktaH nyAsam-AsTitaH
   BhP_09.06.053/2 vanaṃ jagāmānuyayustatpatnyaḥ patidevatāḥ	Bhu-_09.06.053/2 vanam jagAma-anuyayuH-tad-patnyaH pati-devatAH
   BhP_09.06.054/1 tatra taptvā tapastīkṣṇamātmadarśanamātmavān	Bhu-_09.06.054/1 tatra taptvA tapaH-tIkzNam-Atma-darSanam-AtmavAn
   BhP_09.06.054/2 sahaivāgnibhirātmānaṃ yuyoja paramātmani	Bhu-_09.06.054/2 saha-eva-agniBiH-AtmAnam yuyoja paramAtmani
   BhP_09.06.055/1 tāḥ svapatyurmahārāja nirīkṣyādhyātmikīṃ gatim	Bhu-_09.06.055/1 tAH svapatyuH-mahA-rAja nirIkzya-ADyAtmikIm gatim
   BhP_09.06.055/2 anvīyustatprabhāveṇa agniṃ śāntamivārciṣaḥ	Bhu-_09.06.055/2 anvIyuH-tad-praBAveNa agnim SAntam-iva-arcizaH
   BhP_09.07.001/0 śrīśuka uvāca	BhP_09.07.001/0 SrI-SukaH uvAca
   BhP_09.07.001/1 māndhātuḥ putrapravaro yo 'mbarīṣaḥ prakīrtitaḥ	Bhu-_09.07.001/1 mAnDAtuH putra-pravaraH yaH ambarIzaH prakIrtitaH
   BhP_09.07.001/2 pitāmahena pravṛto yauvanāśvastu tatsutaḥ	Bhu-_09.07.001/2 pitAmahena pravRtaH yOvanASvaH-tu tad-sutaH
   BhP_09.07.001/3 hārītastasya putro 'bhūn māndhātṛpravarā ime	Bhu-_09.07.001/3 hArItaH-tasya putraH aBUt mAnDAtR-pravarAH ime
   BhP_09.07.002/1 narmadā bhrātṛbhirdattā purukutsāya yoragaiḥ	Bhu-_09.07.002/1 narmadA BrAtRBiH-dattA purukutsAya yA-uragEH
   BhP_09.07.002/2 tayā rasātalaṃ nīto bhujagendraprayuktayā	Bhu-_09.07.002/2 tayA rasAtalam nItaH Bujaga-indra-prayuktayA
   BhP_09.07.003/1 gandharvān avadhīt tatra vadhyān vai viṣṇuśaktidhṛk	Bhu-_09.07.003/1 ganDarvAn avaDIt tatra vaDyAn vE vizNu-SaktiDRS-
   BhP_09.07.003/2 nāgāl labdhavaraḥ sarpādabhayaṃ smaratāmidam	Bhu-_09.07.003/2 nAgAt labDa-varaH sarpAt-aBayam smaratAm-idam
   BhP_09.07.004/1 trasaddasyuḥ paurukutso yo 'naraṇyasya dehakṛt	Bhu-_09.07.004/1 trasat-dasyuH pOrukutsaH yaH anaraNyasya deha-kRt-
   BhP_09.07.004/2 haryaśvastatsutastasmāt prāruṇo 'tha tribandhanaḥ	Bhu-_09.07.004/2 haryaSvaH-tad-sutaH-tasmAt prAruNaH aTa tri-banDanaH
   BhP_09.07.005/1 tasya satyavrataḥ putrastriśaṅkuriti viśrutaḥ	Bhu-_09.07.005/1 tasya satyavrataH putraH-triSaFkuH-iti viSrutaH
   BhP_09.07.005/2 prāptaścāṇḍālatāṃ śāpādguroḥ kauśikatejasā	Bhu-_09.07.005/2 prAptaH-cANxAla-tAm SApAt-guroH kOSika-tejasA
   BhP_09.07.006/1 saśarīro gataḥ svargamadyāpi divi dṛśyate	Bhu-_09.07.006/1 sa-SarIraH gataH svargam-adya-api divi dRSyate
   BhP_09.07.006/2 pātito 'vākśirā devaistenaiva stambhito balāt	Bhu-_09.07.006/2 pAtitaH avAkSirAH devEH-tena-eva stamBitaH balAt-
   BhP_09.07.007/1 traiśaṅkavo hariścandro viśvāmitravasiṣṭhayoḥ	Bhu-_09.07.007/1 trESaFkavaH hariScandraH viSvAmitra-vasizWayoH
   BhP_09.07.007/2 yannimittamabhūdyuddhaṃ pakṣiṇorbahuvārṣikam	Bhu-_09.07.007/2 yad-nimittam-aBUt-yudDam pakziNoH-bahu-vArzikam
   BhP_09.07.008/1 so 'napatyo viṣaṇṇātmā nāradasyopadeśataḥ	Bhu-_09.07.008/1 saH anapatyaH vizaNNa-AtmA nAradasya-upadeSataH
   BhP_09.07.008/2 varuṇaṃ śaraṇaṃ yātaḥ putro me jāyatāṃ prabho	Bhu-_09.07.008/2 varuNam SaraNam yAtaH putraH me jAyatAm praBo
   BhP_09.07.009/1 yadi vīro mahārāja tenaiva tvāṃ yaje iti	Bhu-_09.07.009/1 yadi vIraH mahA-rAja tena-eva tvAm yaje iti
   BhP_09.07.009/2 tatheti varuṇenāsya putro jātastu rohitaḥ	Bhu-_09.07.009/2 taTA-iti varuNena-asya putraH jAtaH-tu rohitaH
   BhP_09.07.010/1 jātaḥ suto hyanenāṅga māṃ yajasveti so 'bravīt	Bhu-_09.07.010/1 jAtaH sutaH hi-anena-aFga mAm yajasva-iti saH abravIt-
   BhP_09.07.010/2 yadā paśurnirdaśaḥ syādatha medhyo bhavediti	Bhu-_09.07.010/2 yadA paSuH-nirdaSaH syAt-aTa meDyaH Bavet-iti
   BhP_09.07.011/1 nirdaśe ca sa āgatya yajasvetyāha so 'bravīt	Bhu-_09.07.011/1 nirdaSe ca saH Agatya yajasva-iti-Aha saH abravIt-
   BhP_09.07.011/2 dantāḥ paśoryaj jāyerannatha medhyo bhavediti	Bhu-_09.07.011/2 dantAH paSoH-yat jAyeran=-aTa meDyaH Bavet-iti
   BhP_09.07.012/1 dantā jātā yajasveti sa pratyāhātha so 'bravīt	Bhu-_09.07.012/1 dantAH jAtA yajasva-iti sa pratyAha-aTa saH abravIt-
   BhP_09.07.012/2 yadā patantyasya dantā atha medhyo bhavediti	Bhu-_09.07.012/2 yadA patanti-asya dantAH aTa meDyaH Bavet-iti
   BhP_09.07.013/1 paśornipatitā dantā yajasvetyāha so 'bravīt	Bhu-_09.07.013/1 paSoH-nipatitAH dantA yajasva-iti-Aha saH abravIt-
   BhP_09.07.013/2 yadā paśoḥ punardantā jāyante 'tha paśuḥ śuciḥ	Bhu-_09.07.013/2 yadA paSoH punar-dantAH jAyante aTa paSuH SuciH
   BhP_09.07.014/1 punarjātā yajasveti sa pratyāhātha so 'bravīt	Bhu-_09.07.014/1 punar-jAtA yajasva-iti sa pratyAha-aTa saH abravIt-
   BhP_09.07.014/2 sānnāhiko yadā rājan rājanyo 'tha paśuḥ śuciḥ	Bhu-_09.07.014/2 sAnnAhikaH yadA rAjan rAjanyaH aTa paSuH SuciH
   BhP_09.07.015/1 iti putrānurāgeṇa snehayantritacetasā	BhP_09.07.015/1 iti putra-anurAgeNa sneha-yantrita-cetasA
   BhP_09.07.015/2 kālaṃ vañcayatā taṃ tamukto devastamaikṣata	BhP_09.07.015/2 kAlam vaQcayatA tam tam-uktaH devaH-tam-Ekzata
   BhP_09.07.016/1 rohitastadabhijñāya pituḥ karma cikīrṣitam	Bhu-_09.07.016/1 rohitaH-tad-aBijQAya pituH karma cikIrzitam
   BhP_09.07.016/2 prāṇaprepsurdhanuṣpāṇiraraṇyaṃ pratyapadyata	BhP_09.07.016/2 prANa-prepsuH-DanuzpANiH-araNyam pratyapadyata
   BhP_09.07.017/1 pitaraṃ varuṇagrastaṃ śrutvā jātamahodaram	Bhu-_09.07.017/1 pitaram varuNa-grastam SrutvA jAta-mahodaram
   BhP_09.07.017/2 rohito grāmameyāya tamindraḥ pratyaṣedhata	Bhu-_09.07.017/2 rohitaH grAma-meyAya tam-indraH pratyazeData
   BhP_09.07.018/1 bhūmeḥ paryaṭanaṃ puṇyaṃ tīrthakṣetraniṣevaṇaiḥ	Bhu-_09.07.018/1 BUmeH paryawanam puNyam tIrTa-kzetra-nizevaNEH
   BhP_09.07.018/2 rohitāyādiśac chakraḥ so 'pyaraṇye 'vasat samām	Bhu-_09.07.018/2 rohitAya-AdiSat SakraH saH api-araNye avasat samAm
   BhP_09.07.019/1 evaṃ dvitīye tṛtīye caturthe pañcame tathā	Bhu-_09.07.019/1 evam dvitIye tRtIye caturTe paQcame taTA
   BhP_09.07.019/2 abhyetyābhyetya sthaviro vipro bhūtvāha vṛtrahā	Bhu-_09.07.019/2 aByetya-aByetya sTaviraH vipraH BUtvA-Aha vRtrahA
   BhP_09.07.020/1 ṣaṣṭhaṃ saṃvatsaraṃ tatra caritvā rohitaḥ purīm	Bhu-_09.07.020/1 zazWam saMvatsaram tatra caritvA rohitaH purIm
   BhP_09.07.020/2 upavrajannajīgartādakrīṇān madhyamaṃ sutam	Bhu-_09.07.020/2 upavrajan=-ajIgartAt-akrINAn maDyamam sutam
   BhP_09.07.021/1 śunaḥśephaṃ paśuṃ pitre pradāya samavandata	Bhu-_09.07.021/1 SunaHSePam paSum pitre pradAya samavandata
   BhP_09.07.021/2 tataḥ puruṣamedhena hariścandro mahāyaśāḥ	Bhu-_09.07.021/2 tatas puruza-meDena hariScandraH mahA-yaSAH
   BhP_09.07.022/1 muktodaro 'yajaddevān varuṇādīn mahatkathaḥ	Bhu-_09.07.022/1 mukta-udaraH ayajat-devAn varuNa-AdIn mahat-kaTaH
   BhP_09.07.022/2 viśvāmitro 'bhavat tasmin hotā cādhvaryurātmavān	Bhu-_09.07.022/2 viSvAmitraH aBavat tasmin hotA ca-aDvaryuH-AtmavAn
   BhP_09.07.023/1 jamadagnirabhūdbrahmā vasiṣṭho 'yāsyaḥ sāmagaḥ	Bhu-_09.07.023/1 jamadagniH-aBUt-brahmA vasizWaH ayAsyaH sAma-gaH
   BhP_09.07.023/2 tasmai tuṣṭo dadāv indraḥ śātakaumbhamayaṃ ratham	Bhu-_09.07.023/2 tasmE tuzwaH dadO indraH SAtakOmBa-mayam raTam
   BhP_09.07.024/1 śunaḥśephasya māhātmyamupariṣṭāt pracakṣyate	Bhu-_09.07.024/1 SunaHSePasya mAhAtmyam-uparizwAt pracakzyate
   BhP_09.07.024/2 satyaṃ sāraṃ dhṛtiṃ dṛṣṭvā sabhāryasya ca bhūpateḥ	Bhu-_09.07.024/2 satyam sAram DRtim dRzwvA sa-BAryasya ca BUpateH
   BhP_09.07.025/1 viśvāmitro bhṛśaṃ prīto dadāv avihatāṃ gatim	Bhu-_09.07.025/1 viSvAmitraH BRSam prItaH dadO avihatAm gatim
   BhP_09.07.025/2 manaḥ pṛthivyāṃ tāmadbhistejasāpo 'nilena tat	Bhu-_09.07.025/2 manaH pRTivyAm tAmadBiH-tejasA-apaH anilena tat-
   BhP_09.07.026/1 khe vāyuṃ dhārayaṃstac ca bhūtādau taṃ mahātmani	Bhu-_09.07.026/1 Ke vAyum DArayan=-tat ca BUtAdO tam mahAtmani
   BhP_09.07.026/2 tasmin jñānakalāṃ dhyātvā tayājñānaṃ vinirdahan	Bhu-_09.07.026/2 tasmin jQAna-kalAm DyAtvA tayA-ajQAnam vinirdahan
   BhP_09.07.027/1 hitvā tāṃ svena bhāvena nirvāṇasukhasaṃvidā	Bhu-_09.07.027/1 hitvA tAm svena BAvena nirvANa-suKa-saMvidA
   BhP_09.07.027/2 anirdeśyāpratarkyeṇa tasthau vidhvastabandhanaḥ	Bhu-_09.07.027/2 anirdeSya-apratarkyeNa tasTO viDvasta-banDanaH
   BhP_09.08.001/0 śrīśuka uvāca	BhP_09.08.001/0 SrI-SukaH uvAca
   BhP_09.08.001/1 harito rohitasutaścampastasmādvinirmitā	Bhu-_09.08.001/1 haritaH rohita-sutaH-campaH-tasmAt-vinirmitA
   BhP_09.08.001/2 campāpurī sudevo 'to vijayo yasya cātmajaḥ	Bhu-_09.08.001/2 campA-purI sudevaH atas vijayaH yasya ca-AtmajaH
   BhP_09.08.002/1 bharukastatsutastasmādvṛkastasyāpi bāhukaḥ	BhP_09.08.002/1 BarukaH-tad-sutaH-tasmAt-vRkaH-tasya-api bAhukaH
   BhP_09.08.002/2 so 'ribhirhṛtabhū rājā sabhāryo vanamāviśat	Bhu-_09.08.002/2 saH ariBiH-hRtaBuH rAjA sa-BAryaH vanam-AviSat-
   BhP_09.08.003/1 vṛddhaṃ taṃ pañcatāṃ prāptaṃ mahiṣyanumariṣyatī	Bhu-_09.08.003/1 vRdDam tam paQcatAm prAptam mahizI-anumarizyatI
   BhP_09.08.003/2 aurveṇa jānatātmānaṃ prajāvantaṃ nivāritā	Bhu-_09.08.003/2 OrveNa jAnatA-AtmAnam prajAvantam nivAritA
   BhP_09.08.004/1 ājñāyāsyai sapatnībhirgaro datto 'ndhasā saha	Bhu-_09.08.004/1 AjQAya-asyE sapatnIBiH-garaH dattaH anDasA saha
   BhP_09.08.004/2 saha tenaiva sañjātaḥ sagarākhyo mahāyaśāḥ	Bhu-_09.08.004/2 saha tena-eva san-jAtaH sagara-AKyaH mahA-yaSAH
