   BhP_12.01.001/0 śrī-śuka uvāca	BhP_12.01.001/0 SrI-SukaH uvAca
   BhP_12.02.032/1 yadā maghābhyo yāsyanti pūrvāṣāḍhāṃ maharṣayaḥ	Bhu-_12.02.032/1 yadA maGAByaH yAsyanti pUrvAzAXAm mahA-RzayaH
   BhP_12.02.032/3 tadā nandāt prabhṛty eṣa kalir vṛddhiṃ gamiṣyati	Bhu-_12.02.032/3 tadA nandAt praBRti eza kaliH vRdDim gamizyati
   BhP_12.02.033/1 yasmin kṛṣṇo divaṃ yātas tasminn eva tadāhani	Bhu-_12.02.033/1 yasmin kRzNaH divam yAtaH tasmin eva tadA-ahani
   BhP_12.02.033/3 pratipannaṃ kali-yugam iti prāhuḥ purā-vidaḥ	Bhu-_12.02.033/3 pratipannam kali--yugam iti prAhuH purA-vidaH
   BhP_12.02.034/1 divyābdānāṃ sahasrānte caturthe tu punaḥ kṛtam	Bhu-_12.02.034/1 divya-abdAnAm sahasra-ante caturTe tu punar kRtam
   BhP_12.02.034/3 bhaviṣyati tadā nṝṇāṃ mana ātma-prakāśakam	Bhu-_12.02.034/3 Bavizyati tadA nLNAm manaH Atma--prakASakam
   BhP_12.02.035/1 ity eṣa mānavo vaṃśo yathā saṅkhyāyate bhuvi	Bhu-_12.02.035/1 iti eza mAnavaH vaMSaH yaTA saFKyAyate Buvi
   BhP_12.02.035/3 tathā viṭ-śūdra-viprāṇāṃ tās tā jñeyā yuge yuge	Bhu-_12.02.035/3 taTA viw--SUdra--viprANAm tAH tAH jQeyAH yuge yuge
   BhP_12.02.036/1 eteṣāṃ nāma-liṅgānāṃ puruṣāṇāṃ mahātmanām	Bhu-_12.02.036/1 etezAm nAma--liFgAnAm puruzANAm mahAtmanAm
   BhP_12.02.036/3 kathā-mātrāvaśiṣṭānāṃ kīrtir eva sthitā bhuvi	Bhu-_12.02.036/3 kaTA--mAtra-avaSizwAnAm kIrtiH eva sTitAH Buvi
   BhP_12.02.037/1 devāpiḥ śāntanor bhrātā maruś cekṣvāku-vaṃśa-jaḥ	Bhu-_12.02.037/1 devApiH SAntanoH BrAtA maruH ca-ikzvAku--vaMSa-jaH
   BhP_12.02.037/3 kalāpa-grāma āsāte mahā-yoga-balānvitau	Bhu-_12.02.037/3 kalA-apa-grAmaH AsAte mahA-yoga--bala-anvitO
   BhP_12.02.038/1 tāv ihaitya kaler ante vāsudevānuśikṣitau	Bhu-_12.02.038/1 tO iha-etya kaleH ante vAsudeva-anuSikzitO
   BhP_12.02.038/3 varṇāśrama-yutaṃ dharmaṃ pūrva-vat prathayiṣyataḥ	Bhu-_12.02.038/3 varNa-ASrama--yutam Darmam pUrva-vat praTayizyataH
   BhP_12.02.039/1 kṛtaṃ tretā dvāparaṃ ca kaliś ceti catur-yugam	Bhu-_12.02.039/1 kRtam tretA dvAparam ca kaliH ca-iti catur-yugam
   BhP_12.02.039/3 anena krama-yogena bhuvi prāṇiṣu vartate	Bhu-_12.02.039/3 anena krama-yogena Buvi prANizu vartate
   BhP_12.02.040/1 rājann ete mayā proktā nara-devās tathāpare	Bhu-_12.02.040/1 rAjan ete mayA proktAH nara-devAH taTA-apare
   BhP_12.02.040/3 bhūmau mamatvaṃ kṛtvānte hitvemāṃ nidhanaṃ gatāḥ	Bhu-_12.02.040/3 BUmO mamatvam kRtvA-ante hitvA-imAm niDanam gatAH
   BhP_12.02.041/1 kṛmi-viḍ-bhasma-saṃjñānte rāja-nāmno 'pi yasya ca	BhP_12.02.041/1 kRmi-vix--Basma--saMjQA-ante rAja--nAmnaH api yasya ca
   BhP_12.02.041/3 bhūta-dhruk tat-kṛte svārthaṃ kiṃ veda nirayo yataḥ	Bhu-_12.02.041/3 BUta--Druj tat-kRte sva-arTam kim veda nirayaH yatas-
   BhP_12.02.042/1 kathaṃ seyam akhaṇḍā bhūḥ pūrvair me puruṣair dhṛtā	Bhu-_12.02.042/1 kaTam sA-iyam aKaNxA BUH pUrvEH me puruzEH DRtA
   BhP_12.02.042/3 mat-putrasya ca pautrasya mat-pūrvā vaṃśa-jasya vā	Bhu-_12.02.042/3 mat-putrasya ca pOtrasya mat--pUrvA vaMSa-jasya vA
   BhP_12.02.043/1 tejo-'b-anna-mayaṃ kāyaṃ gṛhītvātmatayābudhāḥ	Bhu-_12.02.043/1 tejo--ab-anna--mayam kAyam gRhItvA-Atma-tayA-buDAH
   BhP_12.02.043/3 mahīṃ mamatayā cobhau hitvānte 'darśanaṃ gatāḥ	Bhu-_12.02.043/3 mahIm mamatayA ca-uBO hitvA-ante adarSanam gatAH
   BhP_12.02.044/1 ye ye bhū-patayo rājan bhuñjate bhuvam ojasā	Bhu-_12.02.044/1 ye ye BU--patayaH rAjan BuQjate Buvam ojasA
   BhP_12.02.044/3 kālena te kṛtāḥ sarve kathā-mātrāḥ kathāsu ca	Bhu-_12.02.044/3 kAlena te kRtAH sarve kaTA--mAtrAH kaTAsu ca
   BhP_12.03.001/0 śrī-śuka uvāca	BhP_12.03.001/0 SrI-SukaH uvAca
   BhP_12.03.001/1 dṛṣṭvātmani jaye vyagrān nṛpān hasati bhūr iyam	Bhu-_12.03.001/1 dRzwvA-Atmani jaye vyagrAn nRpAn hasati BUH iyam
   BhP_12.03.001/3 aho mā vijigīṣanti mṛtyoḥ krīḍanakā nṛpāḥ	Bhu-_12.03.001/3 aho mA vijigIzanti mRtyoH krIxanakAH nRpAH
   BhP_12.03.002/1 kāma eṣa narendrāṇāṃ moghaḥ syād viduṣām api	Bhu-_12.03.002/1 kAmaH eza narendrANAm moGaH syAt viduzAm api
   BhP_12.03.002/3 yena phenopame piṇḍe ye 'ti-viśrambhitā nṛpāḥ	Bhu-_12.03.002/3 yena Pena-upame piNxe ye ati-viSramBitAH nRpAH
   BhP_12.03.003/1 pūrvaṃ nirjitya ṣaḍ-vargaṃ jeṣyāmo rāja-mantriṇaḥ	Bhu-_12.03.003/1 pUrvam nirjitya zaz--vargam jezyAmaH rAja--mantriNaH
   BhP_12.03.003/3 tataḥ saciva-paurāpta- karīndrān asya kaṇṭakān	Bhu-_12.03.003/3 tatas saciva--pOra-Apta karIndrAn asya kaNwakAn
   BhP_12.03.004/1 evaṃ krameṇa jeṣyāmaḥ pṛthvīṃ sāgara-mekhalām	Bhu-_12.03.004/1 evam krameNa jezyAmaH pRTvIm sAgara--meKalAm
   BhP_12.03.004/3 ity āśā-baddha-hṛdayā na paśyanty antike 'ntakam	Bhu-_12.03.004/3 iti ASA-badDa--hRdayA na paSyanti antike antakam
   BhP_12.03.005/1 samudrāvaraṇāṃ jitvā māṃ viśanty abdhim ojasā	Bhu-_12.03.005/1 samudra-AvaraNAm jitvA mAm viSanti abDim ojasA
   BhP_12.03.005/3 kiyad ātma-jayasyaitan muktir ātma-jaye phalam	Bhu-_12.03.005/3 kiyat Atma-jayasya-etat muktiH Atma--jaye Palam
   BhP_12.03.006/1 yāṃ visṛjyaiva manavas tat-sutāś ca kurūdvaha	Bhu-_12.03.006/1 yAm visRjya-eva manavaH tat--sutAH ca kuru-udvaha
   BhP_12.03.006/3 gatā yathāgataṃ yuddhe tāṃ māṃ jeṣyanty abuddhayaḥ	Bhu-_12.03.006/3 gatAH yaTAgatam yudDe tAm mAm jezyanti abudDayaH
   BhP_12.03.007/1 mat-kṛte pitṛ-putrāṇāṃ bhrātṛṇāṃ cāpi vigrahaḥ	Bhu-_12.03.007/1 mat--kRte pitR-putrANAm BrAtRNAm ca-api vigrahaH
   BhP_12.03.007/3 jāyate hy asatāṃ rājye mamatā-baddha-cetasām	Bhu-_12.03.007/3 jAyate hi asatAm rAjye mamatA-badDa--cetasAm
   BhP_12.03.008/1 mamaiveyaṃ mahī kṛtsnā na te mūḍheti vādinaḥ	Bhu-_12.03.008/1 mama-eva-iyam mahI kRtsnA na te mUXa-iti vAdinaH
   BhP_12.03.008/3 spardhamānā mitho ghnanti mriyante mat-kṛte nṛpāḥ	Bhu-_12.03.008/3 sparDamAnAH miTas Gnanti mriyante mat--kRte nRpAH
   BhP_12.03.009/1 pṛthuḥ purūravā gādhir nahuṣo bharato 'rjunaḥ	BhP_12.03.009/1 pRTuH purUravAH gADiH nahuzaH BarataH arjunaH
   BhP_12.03.009/3 māndhātā sagaro rāmaḥ khaṭvāṅgo dhundhuhā raghuḥ	Bhu-_12.03.009/3 mAnDAtA sagaraH rAmaH KawvAFgaH DunDuhA raGuH
   BhP_12.03.010/1 tṛṇabindur yayātiś ca śaryātiḥ śantanur gayaḥ	Bhu-_12.03.010/1 tRNabinduH yayAtiH ca SaryAtiH SantanuH gayaH
   BhP_12.03.010/3 bhagīrathaḥ kuvalayāśvaḥ kakutstho naiṣadho nṛgaḥ	Bhu-_12.03.010/3 BagIraTaH kuvalaya-aSvaH kakutsTaH nEzaDaH nRgaH
   BhP_12.03.011/1 hiraṇyakaśipur vṛtro rāvaṇo loka-rāvaṇaḥ	Bhu-_12.03.011/1 hiraNyakaSipuH vRtraH rAvaNaH loka-rAvaNaH
   BhP_12.03.011/3 namuciḥ śambaro bhaumo hiraṇyākṣo 'tha tārakaḥ	BhP_12.03.011/3 namuciH SambaraH BOmaH hiraNyAkzaH aTa tArakaH
   BhP_12.03.012/1 anye ca bahavo daityā rājāno ye maheśvarāḥ	Bhu-_12.03.012/1 anye ca bahavaH dEtyAH rAjAnaH ye maheSvarAH
   BhP_12.03.012/3 sarve sarva-vidaḥ śūrāḥ sarve sarva-jito 'jitāḥ	Bhu-_12.03.012/3 sarve sarva-vidaH SUrAH sarve sarva-jitaH ajitAH
   BhP_12.03.013/1 mamatāṃ mayy avartanta kṛtvoccair martya-dharmiṇaḥ	Bhu-_12.03.013/1 mamatAm mayi avartanta kRtvA-uccEs martya--DarmiNaH
   BhP_12.03.013/3 kathāvaśeṣāḥ kālena hy akṛtārthāḥ kṛtā vibho	Bhu-_12.03.013/3 kaTA-avaSezAH kAlena hi akRtArTAH kRtA viBo
   BhP_12.03.014/1 kathā imās te kathitā mahīyasāṃ vitāya lokeṣu yaśaḥ	Bhu-_12.03.014/1 kaTAH imAH te kaTitAH mahIyasAm vitAya lokezu yaSaH
   pareyuṣām	pareyuzAm
   BhP_12.03.014/3 vijñāna-vairāgya-vivakṣayā vibho vaco-vibhūtīr na tu	BhP_12.03.014/3 vijQAna--vErAgya--vivakzayA viBo vacaH--viBUtIH na tu
   pāramārthyam	pAramArTyam
   BhP_12.03.015/1 yas tūttamaḥ-śloka-guṇānuvādaḥ saṅgīyate 'bhīkṣṇam	Bhu-_12.03.015/1 yaH tu-uttamaH-Sloka--guNa-anuvAdaH saFgIyate aBIkzNam
   amaṅgala-ghnaḥ	amaFgala--GnaH
   BhP_12.03.015/3 tam eva nityaṃ śṛṇuyād abhīkṣṇaṃ kṛṣṇe 'malāṃ bhaktim	Bhu-_12.03.015/3 tam eva nityam SRNuyAt aBIkzNam kRzNe amalAm Baktim
   abhīpsamānaḥ	aBIpsamAnaH
   BhP_12.03.016/0 śrī-rājovāca	Bhu-_12.03.016/0 SrI-rAjA-uvAca
   BhP_12.03.016/1 kenopāyena bhagavan kaler doṣān kalau janāḥ	Bhu-_12.03.016/1 kena-upAyena Bagavan kaleH dozAn kalO janAH
   BhP_12.03.016/3 vidhamiṣyanty upacitāṃs tan me brūhi yathā mune	Bhu-_12.03.016/3 viDamizyanti upacitAn tat me brUhi yaTA mune
   BhP_12.03.017/1 yugāni yuga-dharmāṃś ca mānaṃ pralaya-kalpayoḥ	Bhu-_12.03.017/1 yugAni yuga--DarmAn ca mAnam pralaya--kalpayoH
   BhP_12.03.017/3 kālasyeśvara-rūpasya gatiṃ viṣṇor mahātmanaḥ	Bhu-_12.03.017/3 kAlasya-ISvara---rUpasya gatim vizNoH mahAtmanaH
   BhP_12.03.018/0 śrī-śuka uvāca	BhP_12.03.018/0 SrI-SukaH uvAca
   BhP_12.03.018/1 kṛte pravartate dharmaś catuṣ-pāt taj-janair dhṛtaḥ	Bhu-_12.03.018/1 kRte pravartate DarmaH catuz-pAd taj--janEH DRtaH
   BhP_12.03.018/3 satyaṃ dayā tapo dānam iti pādā vibhor nṛpa	Bhu-_12.03.018/3 satyam dayA tapaH dAnam iti pAdAH viBoH nRpa
   BhP_12.03.019/1 santuṣṭāḥ karuṇā maitrāḥ śāntā dāntās titikṣavaḥ	Bhu-_12.03.019/1 santuzwAH karuNAH mEtrAH SAntAH dAntAH titikzavaH
   BhP_12.03.019/3 ātmārāmāḥ sama-dṛśaḥ prāyaśaḥ śramaṇā janāḥ	Bhu-_12.03.019/3 Atma-ArAmAH sama-dRSaH prAyaSas SramaNAH janAH
   BhP_12.03.020/1 tretāyāṃ dharma-pādānāṃ turyāṃśo hīyate śanaiḥ	Bhu-_12.03.020/1 tretAyAm Darma--pAdAnAm turya-aMSaH hIyate SanEs-
   BhP_12.03.020/3 adharma-pādair anṛta- hiṃṣāsantoṣa-vigrahaiḥ	Bhu-_12.03.020/3 aDarma--pAdEH anRta hiMzA-santoza--vigrahEH
   BhP_12.03.021/1 tadā kriyā-tapo-niṣṭhā nāti-hiṃsrā na lampaṭāḥ	Bhu-_12.03.021/1 tadA kriyA--tapo-nizWAH na-ati-hiMsrAH na lampawAH
   BhP_12.03.021/3 trai-vargikās trayī-vṛddhā varṇā brahmottarā nṛpa	Bhu-_12.03.021/3 trE-vargikAH trayI--vRdDAH varNAH brahma-uttarA nRpa
   BhP_12.03.022/1 tapaḥ-satya-dayā-dāneṣv ardhaṃ hrasvati dvāpare	Bhu-_12.03.022/1 tapaH---satya-dayA-dAnezu arDam hrasvati dvApare
   BhP_12.03.022/3 hiṃsātuṣṭy-anṛta-dveṣair dharmasyādharma-lakṣaṇaiḥ	Bhu-_12.03.022/3 hiMsA-tuzwi--anRta--dvezEH Darmasya-aDarma--lakzaNEH
   BhP_12.03.023/1 yaśasvino mahā-śīlāḥ svādhyāyādhyayane ratāḥ	Bhu-_12.03.023/1 yaSasvinaH mahA--SIlAH svADyAya-aDyayane ratAH
   BhP_12.03.023/3 ādhyāḥ kuṭumbino hṛṣṭā varṇāḥ kṣatra-dvijottarāḥ	Bhu-_12.03.023/3 ADyAH kuwumbinaH hRzwAH varNAH kzatra-dvijottarAH
   BhP_12.03.024/1 kalau tu dharma-pādānāṃ turyāṃśo 'dharma-hetubhiḥ	Bhu-_12.03.024/1 kalO tu Darma--pAdAnAm turya-aMSaH aDarma--hetuBiH
   BhP_12.03.024/3 edhamānaiḥ kṣīyamāṇo hy ante so 'pi vinaṅkṣyati	Bhu-_12.03.024/3 eDamAnEH kzIyamANaH hi ante saH api vinaFkzyati
   BhP_12.03.025/1 tasmin lubdhā durācārā nirdayāḥ śuṣka-vairiṇaḥ	Bhu-_12.03.025/1 tasmin lubDAH durAcArAH nirdayAH Suzka--vEriNaH
   BhP_12.03.025/3 durbhagā bhūri-tarṣāś ca śūdra-dāsottarāḥ prajāḥ	Bhu-_12.03.025/3 durBagAH BUri-tarzAH ca SUdra-dAsa-uttarAH prajAH
   BhP_12.03.026/1 sattvaṃ rajas tama iti dṛśyante puruṣe guṇāḥ	Bhu-_12.03.026/1 sattvam rajaH tamaH iti dRSyante puruze guNAH
   BhP_12.03.026/3 kāla-sañcoditās te vai parivartanta ātmani	Bhu-_12.03.026/3 kAla--saQcoditAH te vE parivartante Atmani
   BhP_12.03.027/1 prabhavanti yadā sattve mano-buddhīndriyāṇi ca	Bhu-_12.03.027/1 praBavanti yadA sattve mano-budDIndriyANi ca
   BhP_12.03.027/3 tadā kṛta-yugaṃ vidyāj jñāne tapasi yad ruciḥ	Bhu-_12.03.027/3 tadA kRta--yugam vidyAt jQAne tapasi yat ruciH
   BhP_12.03.028/1 yadā karmasu kāmyeṣu bhaktir yaśasi dehinām	Bhu-_12.03.028/1 yadA karmasu kAmyezu BaktiH yaSasi dehinAm
   BhP_12.03.028/3 tadā tretā rajo-vṛttir iti jānīhi buddhiman	Bhu-_12.03.028/3 tadA tretA rajaH--vRttiH iti jAnIhi budDiman
   BhP_12.03.029/1 yadā lobhas tv asantoṣo māno dambho 'tha matsaraḥ	Bhu-_12.03.029/1 yadA loBaH tu asantozaH mAnaH damBaH aTa matsaraH
   BhP_12.03.029/3 karmaṇāṃ cāpi kāmyānāṃ dvāparaṃ tad rajas-tamaḥ	Bhu-_12.03.029/3 karmaNAm ca-api kAmyAnAm dvAparam tat rajas-tamaH
   BhP_12.03.030/1 yadā māyānṛtaṃ tandrā nidrā hiṃsā viṣādanam	Bhu-_12.03.030/1 yadA mAyA-anRtam tandrA nidrA hiMsA vizAdanam
   BhP_12.03.030/3 śoka-mohau bhayaṃ dainyaṃ sa kalis tāmasaḥ smṛtaḥ	Bhu-_12.03.030/3 Soka-mohO Bayam dEnyam sa kaliH tAmasaH smRtaH
   BhP_12.03.031/1 tasmāt kṣudra-dṛśo martyāḥ kṣudra-bhāgyā mahāśanāḥ	Bhu-_12.03.031/1 tasmAt kzudra-dRSaH martyAH kzudra-BAgyAH mahA-aSanAH
   BhP_12.03.031/3 kāmino vitta-hīnāś ca svairiṇyaś ca striyo 'satīḥ	Bhu-_12.03.031/3 kAminaH vitta--hInAH ca svEriNyaH ca striyaH asatIH
   BhP_12.03.032/1 dasyūtkṛṣṭā janapadā vedāḥ pāṣaṇḍa-dūṣitāḥ	Bhu-_12.03.032/1 dasyu-utkRzwAH janapadAH vedAH pAzaNxa--dUzitAH
   BhP_12.03.032/3 rājānaś ca prajā-bhakṣāḥ śiśnodara-parā dvijāḥ	Bhu-_12.03.032/3 rAjAnaH ca prajA-BakzAH SiSna-udara--parAH dvijAH
   BhP_12.03.033/1 avratā baṭavo 'śaucā bhikṣavaś ca kuṭumbinaḥ	Bhu-_12.03.033/1 avratAH bawavaH aSOcAH BikzavaH ca kuwumbinaH
   BhP_12.03.033/3 tapasvino grāma-vāsā nyāsino 'tyartha-lolupāḥ	Bhu-_12.03.033/3 tapasvinaH grAma-vAsAH nyAsinaH atyarTa--lolupAH
   BhP_12.03.034/1 hrasva-kāyā mahāhārā bhūry-apatyā gata-hriyaḥ	Bhu-_12.03.034/1 hrasva-kAyAH mahA-AhArAH BUri--a-patyAH gata-hriyaH
   BhP_12.03.034/3 śaśvat kaṭuka-bhāṣiṇyaś caurya-māyoru-sāhasāḥ	Bhu-_12.03.034/3 SaSvat kawuka-BAziNyaH cOrya-mAyA-Uru-sAhasAH
   BhP_12.03.035/1 paṇayiṣyanti vai kṣudrāḥ kirāṭāḥ kūṭa-kāriṇaḥ	Bhu-_12.03.035/1 paNayizyanti vE kzudrAH kirAwAH kUwa-kAriNaH
   BhP_12.03.035/3 anāpady api maṃsyante vārtāṃ sādhu jugupsitām	Bhu-_12.03.035/3 anApadi api maMsyante vArtAm sADu jugupsitAm
   BhP_12.03.036/1 patiṃ tyakṣyanti nirdravyaṃ bhṛtyā apy akhilottamam	Bhu-_12.03.036/1 patim tyakzyanti nirdravyam BRtyAH api aKilottamam
   BhP_12.03.036/3 bhṛtyaṃ vipannaṃ patayaḥ kaulaṃ gāś cāpayasvinīḥ	Bhu-_12.03.036/3 BRtyam vipannam patayaH kOlam gAH ca-apayasvinIH
   BhP_12.03.037/1 pitṛ-bhrātṛ-suhṛj-jñātīn hitvā saurata-sauhṛdāḥ	Bhu-_12.03.037/1 pitR-BrAtR-su-hRd---jQAtIn hitvA sOrata--sOhRdAH
   BhP_12.03.037/3 nanāndṛ-śyāla-saṃvādā dīnāḥ straiṇāḥ kalau narāḥ	Bhu-_12.03.037/3 nanAn-dR-SyAla--saMvAdAH dInAH strENAH kalO narAH
   BhP_12.03.038/1 śūdrāḥ pratigrahīṣyanti tapo-veṣopajīvinaḥ	Bhu-_12.03.038/1 SUdrAH pratigrahIzyanti tapo--veza-upajIvinaH
   BhP_12.03.038/3 dharmaṃ vakṣyanty adharma-jñā adhiruhyottamāsanam	Bhu-_12.03.038/3 Darmam vakzyanti aDarma-jQAH aDiruhya-uttama-Asanam
   BhP_12.03.039/1 nityaṃ udvigna-manaso durbhikṣa-kara-karśitāḥ	Bhu-_12.03.039/1 nityam udvigna--manasaH durBikza-kara--karSitAH
   BhP_12.03.039/3 niranne bhū-tale rājan anāvṛṣṭi-bhayāturāḥ	Bhu-_12.03.039/3 niranne BU--tale rAjan anAvRzwi--Baya-AturAH
   BhP_12.03.040/1 vāso-'nna-pāna-śayana- vyavāya-snāna-bhūṣaṇaiḥ	Bhu-_12.03.040/1 vAso--anna--pAna--Sayana vyavAya--snAna--BUzaNEH
   BhP_12.03.040/3 hīnāḥ piśāca-sandarśā bhaviṣyanti kalau prajāḥ	Bhu-_12.03.040/3 hInAH piSAca---sandarSAH Bavizyanti kalO prajAH
   BhP_12.03.041/1 kalau kākiṇike 'py arthe vigṛhya tyakta-sauhṛdāḥ	Bhu-_12.03.041/1 kalO kAkiNike api arTe vigRhya tyakta--sOhRdAH
   BhP_12.03.041/3 tyakṣyanti ca priyān prāṇān haniṣyanti svakān api	Bhu-_12.03.041/3 tyakzyanti ca priyAn prANAn hanizyanti svakAn api
   BhP_12.03.042/1 na rakṣiṣyanti manujāḥ sthavirau pitarāv api	Bhu-_12.03.042/1 na rakzizyanti manujAH sTavirO pitarO api
   BhP_12.03.042/3 putrān bhāryāṃ ca kula-jāṃ kṣudrāḥ śiśnodaraṃ-bharāḥ	Bhu-_12.03.042/3 putrAn BAryAm ca kula-jAm kzudrAH SiSna-udaraM-BarAH
   BhP_12.03.043/1 kalau na rājan jagatāṃ paraṃ guruṃ	Bhu-_12.03.043/1 kalO na rAjan jagatAm param gurum
   tri-loka-nāthānata-pāda-paṅkajam	tri-loka-nATa-An-ata--pAda--paFkajam
   BhP_12.03.043/3 prāyeṇa martyā bhagavantam acyutaṃ yakṣyanti	Bhu-_12.03.043/3 prAyeNa martyAH Bagavantam acyutam yakzyanti
   pāṣaṇḍa-vibhinna-cetasaḥ	pAzaNxa--viBinna--cetasaH
   BhP_12.03.044/1 yan-nāmadheyaṃ mriyamāṇa āturaḥ patan skhalan vā vivaśo	Bhu-_12.03.044/1 yan-nAmaDeyam mriyamANaH AturaH patan sKalan vA vivaSaH-
   gṛṇan pumān	gRNan pumAn
   BhP_12.03.044/3 vimukta-karmārgala uttamāṃ gatiṃ prāpnoti yakṣyanti na taṃ	Bhu-_12.03.044/3 vimukta--karma-argale uttamAm gatim prApnoti yakzyanti na tam
   kalau janāḥ	kalO janAH
   BhP_12.03.045/1 puṃsāṃ kali-kṛtān doṣān dravya-deśātma-sambhavān	Bhu-_12.03.045/1 puMsAm kali-kRtAn dozAn dravya-deSa-Atma--samBavAn
   BhP_12.03.045/3 sarvān harati citta-stho bhagavān puruṣottamaḥ	Bhu-_12.03.045/3 sarvAn harati citta-sTaH BagavAn puruzottamaH
   BhP_12.03.046/1 śrutaḥ saṅkīrtito dhyātaḥ pūjitaś cādṛto 'pi vā	Bhu-_12.03.046/1 SrutaH saFkIrtitaH DyAtaH pUjitaH ca-AdRtaH api vA
   BhP_12.03.046/3 nṛṇāṃ dhunoti bhagavān hṛt-stho janmāyutāśubham	Bhu-_12.03.046/3 nRNAm Dunoti BagavAn hRt-sTaH janma-ayuta-aSuBam
   BhP_12.03.047/1 yathā hemni sthito vahnir durvarṇaṃ hanti dhātu-jam	Bhu-_12.03.047/1 yaTA hemni sTitaH vahniH durvarNam hanti DAtu-jam
   BhP_12.03.047/3 evam ātma-gato viṣṇur yoginām aśubhāśayam	Bhu-_12.03.047/3 evam Atma--gataH vizNuH yoginAm aSuBa-ASayam
   BhP_12.03.048/1 vidyā-tapaḥ-prāṇa-nirodha-maitrī-	Bhu-_12.03.048/1 vidyA-tapaH---prANa--niroDa--mEtrI-
   tīrthābhiṣeka-vrata-dāna-japyaiḥ	tIrTa-aBizeka--vrata--dAna--japyEH
   BhP_12.03.048/3 nātyanta-śuddhiṃ labhate 'ntarātmā yathā hṛdi-sthe	Bhu-_12.03.048/3 na-atyanta--SudDim laBate antarAtmA yaTA hRdi-sTe
   bhagavaty anante	Bagavati anante
   BhP_12.03.049/1 tasmāt sarvātmanā rājan hṛdi-sthaṃ kuru keśavam	Bhu-_12.03.049/1 tasmAt sarva-AtmanA rAjan hRdi-sTam kuru keSavam
   BhP_12.03.049/3 mriyamāṇo hy avahitas tato yāsi parāṃ gatim	BhP_12.03.049/3 mriyamANaH hi avahitaH tatas yAsi parAm gatim
   BhP_12.03.050/1 mriyamāṇair abhidhyeyo bhagavān parameśvaraḥ	BhP_12.03.050/1 mriyamANEH aBiDyeyaH BagavAn parameSvaraH
   BhP_12.03.050/3 ātma-bhāvaṃ nayaty aṅga sarvātmā sarva-saṃśrayaḥ	Bhu-_12.03.050/3 Atma-BAvam nayati aFga sarva-AtmA sarva--saMSrayaH
   BhP_12.03.051/1 kaler doṣa-nidhe rājann asti hy eko mahān guṇaḥ	BhP_12.03.051/1 kaleH doza--niDe rAjan asti hi ekaH mahAn guNaH
   BhP_12.03.051/3 kīrtanād eva kṛṣṇasya mukta-saṅgaḥ paraṃ vrajet	Bhu-_12.03.051/3 kIrtanAt eva kRzNasya mukta-saFgaH param vrajet-
   BhP_12.03.052/1 kṛte yad dhyāyato viṣṇuṃ tretāyāṃ yajato makhaiḥ	Bhu-_12.03.052/1 kRte yat DyAyataH vizNum tretAyAm yajataH maKEH
   BhP_12.03.052/3 dvāpare paricaryāyāṃ kalau tad dhari-kīrtanāt	Bhu-_12.03.052/3 dvApare paricaryAyAm kalO tat Dari--kIrtanAt-
   BhP_12.04.001/0 śrī-śuka uvāca	BhP_12.04.001/0 SrI-SukaH uvAca
   BhP_12.04.001/1 kālas te paramāṇv-ādir dvi-parārdhāvadhir nṛpa	BhP_12.04.001/1 kAlaH te paramANu--AdiH dvi--parArDa-avaDiH nRpa
   BhP_12.04.001/3 kathito yuga-mānaṃ ca śṛṇu kalpa-layāv api	Bhu-_12.04.001/3 kaTitaH yuga-mAnam ca SRNu kalpa-layO api
   BhP_12.04.002/1 catur-yuga-sahasraṃ tu brahmaṇo dinam ucyate	Bhu-_12.04.002/1 catur-yuga--sahasram tu brahmaNaH dinam ucyate
   BhP_12.04.002/3 sa kalpo yatra manavaś caturdaśa viśām-pate	Bhu-_12.04.002/3 sa kalpaH yatra manavaH caturdaSa viSAm--pate
   BhP_12.04.003/1 tad-ante pralayas tāvān brāhmī rātrir udāhṛtā	Bhu-_12.04.003/1 tad--ante pralayaH tAvAn brAhmI rAtriH udAhRtA
   BhP_12.04.003/3 trayo lokā ime tatra kalpante pralayāya hi	Bhu-_12.04.003/3 trayaH lokAH ime tatra kalpante pralayAya hi
   BhP_12.04.004/1 eṣa naimittikaḥ proktaḥ pralayo yatra viśva-sṛk	BhP_12.04.004/1 eza nEmittikaH proktaH pralayaH yatra viSva-sRj-
   BhP_12.04.004/3 śete 'nantāsano viśvam ātmasāt-kṛtya cātma-bhūḥ	Bhu-_12.04.004/3 Sete ananta-AsanaH viSvam AtmasAt-kRtya ca-Atma-BUH
   BhP_12.04.005/1 dvi-parārdhe tv atikrānte brahmaṇaḥ parameṣṭhinaḥ	Bhu-_12.04.005/1 dvi-para-arDe tu atikrAnte brahmaNaH paramezWinaH
   BhP_12.04.005/3 tadā prakṛtayaḥ sapta kalpante pralayāya vai	Bhu-_12.04.005/3 tadA prakRtayaH sapta kalpante pralayAya vE
   BhP_12.04.006/1 eṣa prākṛtiko rājan pralayo yatra līyate	Bhu-_12.04.006/1 eza prAkRtikaH rAjan pralayaH yatra lIyate
   BhP_12.04.006/3 aṇḍa-koṣas tu saṅghāto vighāṭa upasādite	Bhu-_12.04.006/3 aNxa-kozaH tu saFGAtaH viGAwaH upasAdite
