   viṣayādhyāyaḥ	vizaya-aDyAyaH
   siddharūpa boddhṛtvāt vākyārthopadeśaḥ | KapSs_1.98 |	sidDa-rUpa bodDR-tvAt vAkya-arTa-upadeSaH | KapSs_1.98 |
   (tadaṅgatayā īśvarasattā nirāsaḥ)	(tad-aFga-tayA ISvara-sattAH nirAsaH)
   antaḥ karaṇasya tadujjvalitatvāt lohavat adhiṣṭhātṛtvaṃ | KapSs_1.99 |	antar karaNasya tat-ujjvalita-tvAt loha-vat aDizWAtR-tvam | KapSs_1.99 |
   (antaḥ karaṇasyaiva mukhyamadhiṣṭhānatvaṃ)	(antaH karaNasya-eva muKyam-aDizWAna-tvaM)
   pratibandhadṛśaḥ pratibaddhajñānamanumānaṃ | KapSs_1.100 |	pratibanDa-dRSaH pratibadDa-jQAnam-anumAnam | KapSH-_1.100 |
   (anumāna lakṣaṇaṃ)	(anumAna lakzaNaM)
   āptopadeśaḥ śabdaḥ | KapSs_1.101 |	Apta-upadeSaH SabdaH | KapSs_1.101 |
   (śabda lakṣaṇaṃ)	(Sabda lakzaNaM)
   ubhayasiddhiḥ pramāṇāttadupadeśaḥ | KapSs_1.102 |	uBaya-sidDiH pramANAt-tad-upadeSaH | KapSs_1.102 |
   (pramāṇasvarūpavivecana phalaṃ)	(pramANa-svarUpa-vivecana PalaM)
   sāmānyato dṛṣṭādubhayasiddhiḥ | KapSs_1.103 |	sAmAnyatas dRzwAt-uBaya-sidDiH | KapSs_1.103 |
   (sāmānyatodṛṣṭarūpānumānaviśeṣanirūpaṇaṃ)	(sAmAnyatodRzwa-rUpa-anumAna-viSeza-nirUpaNaM)
   cidavasāno bhogaḥ | KapSs_1.104 |	cit-avasAnaH BogaH | KapSs_1.104 |
   (nirduṣṭaṃ pramāsvarūpaṃ)	(nirduzwam pramA-svarUpaM)
   akarturapi phalopabhogo 'nnādyavat | KapSs_1.105 |	akartuH-api Pala-upaBogaH annAdya-vat | KapSs_1.105 |
   (kartṛtvaphalabhogayoḥ vaiyadhikaraṇyaśaṅkāyāḥ samādhānaṃ)	(kartR-tva-Pala-BogayoH vEyaDi-karaNya-SaFkAyAH samADAnaM)
   avivekādvā tatsiddheḥ kartuḥ phalāvagamaḥ | KapSs_1.106 |	avivekAt-vA tad-sidDeH kartuH Pala-avagamaH | KapSs_1.106 |
   (kartṛtvaphalabhogayoḥ vaiyadhikaraṇyaśaṅkāyāḥ samādhānaṃ)	(kartR-tva-Pala-BogayoH vEyaDi-karaNya-SaFkAyAH samADAnaM)
   nobhayaṃ ca tatvākhyāne | KapSs_1.107 |	na-uBayam ca tatva-AKyAne | KapSs_1.107 |
   (prakṛtyāderindriyāviṣayatvopādhayaḥ)	(prakRti-AdeH-indriya-avizaya-tva-upADayaH)
   viṣayo 'viṣayo 'pyatidūrāderhānopādānābhyāmindriyasya | KapSs_1.108 |	vizayaH avizayaH api-atidUra-AdeH-hAna-upAdAnAByAm-indriyasya | KapSs_1.108 |
   (prakṛtyāderindriyāviṣayatvopādhayaḥ)	(prakRti-AdeH-indriya-avizaya-tva-upADayaH)
   saukṣmyāttadanupalarubdhiḥ | KapSs_1.109 |	sOkzmyAt-tad-anupala-rubDiH | KapSH-_1.109 |
   (prakṛtyāderindriyāviṣayatvopādhayaḥ)	(prakRti-AdeH-indriya-avizaya-tva-upADayaH)
   kāryadarśanāttadupalabdheḥ | KapSs_1.110 |	kArya-darSanAt-tad-upalabDeH | KapSs_1.110 |
   (prakṛtyāderindriyāviṣayatvopādhayaḥ)	(prakRti-AdeH-indriya-avizaya-tva-upADayaH)
   vādivipratipatteḥ tadasiddhiriti cet | KapSs_1.111 |	vAdi-vipratipatteH tad-asidDiH-iti ced | KapSH-_1.111 |
   (satkāryavāda nirūpaṇaṃ), pū	(satkArya-vAda nirUpaNaM), pU
   tathāpyekataradṛṣṭyā ekatarasiddheḥ nāpalāpaḥ | KapSs_1.112 |	taTA-api-ekatara-dRzwyA ekatara-sidDeH na-apalApaH | KapSs_1.112 |
   (satkāryavāda nirūpaṇaṃ), si	(satkArya-vAda nirUpaNaM), si
   trividhavirodhāpatteśca | KapSs_1.113 |	triviDa-viroDa-ApatteH-ca | KapSH-_1.113 |
   (satkāryavāda nirūpaṇaṃ)	(satkArya-vAda nirUpaNaM)
   nāsadutpādo nṛśṛṅgavat | KapSs_1.114 |	na-asat-utpAdaH nRSRFga-vat | KapSs_1.114 |
   (asatkāryavādanirākaraṇaṃ)	(asat-kArya-vAda-nirAkaraNaM)
   upādānaniyamāt | KapSs_1.115 |	upAdAna-niyamAt | KapSH-_1.115 |
   (asatkāryavādanirākaraṇaṃ)	(asat-kArya-vAda-nirAkaraNaM)
   sarvatra sarvadā sarvāsambhavāt | KapSs_1.116 |	sarvatra sarvadA sarva-asamBavAt | KapSH-_1.116 |
   (asatkāryavādanirākaraṇaṃ)	(asat-kArya-vAda-nirAkaraNaM)
   śaktasya śakyakaraṇāt | KapSs_1.117 |	Saktasya Sakya-karaNAt | KapSH-_1.117 |
   (asatkāryavādanirākaraṇaṃ)	(asat-kArya-vAda-nirAkaraNaM)
   kāraṇabhāvācca | KapSs_1.118 |	kAraNa-BAvAt-ca | KapSH-_1.118 |
   (asatkāryavādanirākaraṇaṃ)	(asat-kArya-vAda-nirAkaraNaM)
   na bhāve bhāvayogaścet | KapSs_1.119 |	na BAve BAva-yogaH-ced | KapSH-_1.119 |
   (sataḥ kāryatvopapattiḥ), pū	(sataH kAryatva-upapattiH), pU
   nābhivyaktinibandhanau vyavahārāvyavahārau | KapSs_1.120 |	nABi-vyakti-nibanDanO vyavahAra-avi-avahArO | KapSs_1.120 |
   (sataḥ kāryatvopapattiḥ), si	(sataH kAryatva-upapattiH), si
   nāśaḥ kāraṇalayaḥ | KapSs_1.121 |	nASaH kAraNa-layaH | KapSs_1.121 |
   (nāśasvarūpaṃ)	(nASa-svarUpaM)
   pāramparyato 'nveṣaṇā bījāṅkuravat | KapSs_1.122 |	pAramparyataH anvezaNA bIja-aFkura-vat | KapSs_1.122 |
   (abhivyaktipakṣe anavasthāparihāraḥ)	(aBivyakti-pakze anavasTA-parihAraH)
   utpattivadadoṣaḥ | KapSs_1.123 |	utpatti-vat-adozaH | KapSs_1.123 |
   (abhivyaktipakṣe anavasthāparihāraḥ)	(aBivyakti-pakze anavasTA-parihAraH)
   hetumadanityamavyāpi sakriyamanekamāśritaṃ liṅgaṃ | KapSs_1.124 |	hetu-mada-nityam-avyApi sa-kriyam-anekam-ASritam liFgam | KapSs_1.124 |
   (kāryasvarūpaṃ)	(kArya-svarUpaM)
   āñjasyādabhedatovā guṇasāmānyādeḥ tatsiddhiḥ pradhānavyapadeśādvā |	AQjasyAt-aBedatovA guNa-sAmAnya-AdeH tad-sidDiH praDAna-vyapadeSAt-vA |
   KapSs_1.125 |	KapSs_1.125 |
   (kāryasvarūpaṃ)	(kArya-svarUpaM)
   triguṇācetanatvādi dvayoḥ | KapSs_1.126 |	triguNa-acetana-tva-Adi dvayoH | KapSs_1.126 |
   (kāryakāraṇayoḥ sādharmyavaidharmye)	(kArya-kAraNayoH sADarmya-vEDarmye)
   prītyaprītiviṣādādyaiḥ guṇānāṃ anyonyaṃ vaidharmyaṃ | KapSs_1.127 |	prIti-aprIti-vizAda-AdyEH guNAnAm anyonyam vEDarmyam | KapSs_1.127 |
   (kāryakāraṇayoḥ sādharmyavaidharmye)	(kArya-kAraNayoH sADarmya-vEDarmye)
   ladhvaidi dharmaiḥ sādharmyaṃ ca guṇānāṃ | KapSs_1.128 |	laDvEdi DarmEH sADarmyam ca guNAnAm | KapSs_1.128 |
   (kāryakāraṇayoḥ sādharmyavaidharmye)	(kArya-kAraNayoH sADarmya-vEDarmye)
   ubhayānyatvāt kāryatvaṃ mahadāderghaṭādivat | KapSs_1.129 |	uBaya-anya-tvAt kArya-tvam mahat-AdeH-Gawa-Adi-vat | KapSH-_1.129 |
   (mahadādeḥ kāryatvopapattiḥ)	(mahat-AdeH kAryatva-upapattiH)
   parimāṇāt | KapSs_1.130 |	parimANAt | KapSH-_1.130 |
   (mahadādeḥ kāryatvopapattiḥ)	(mahat-AdeH kAryatva-upapattiH)
   samanvayāt | KapSs_1.131 |	samanvayAt | KapSs_1.131 |
   (mahadādeḥ kāryatvopapattiḥ)	(mahat-AdeH kAryatva-upapattiH)
   śaktitaśceti | KapSs_1.132 |	SaktitaH-ca-iti | KapSH-_1.132 |
   (mahadādeḥ kāryatvopapattiḥ)	(mahat-AdeH kAryatva-upapattiH)
   taddhāne prakṛtiḥ puruṣo vā | KapSs_1.133 |	tad-hAne prakRtiH puruzaH vA | KapSs_1.133 |
   (mahadādeḥ kāryatvopapattiḥ)	(mahat-AdeH kAryatva-upapattiH)
   tayoranyatve tucchatvaṃ | KapSs_1.134 |	tayoH-anya-tve tucCa-tvam | KapSH-_1.134 |
   (mahadādeḥ kāryatvopapattiḥ)	(mahat-AdeH kAryatva-upapattiH)
   kāryātkāraṇānumānaṃ tatsāhityāt | KapSs_1.135 |	kAryAt-kAraNa-anumAnam tat-sAhityAt | KapSH-_1.135 |
   (kāryaiḥ kāraṇānumānavidhiḥ)	(kAryEH kAraNa-anumAna-viDiH)
   avyaktaṃ triguṇālliṅgāt | KapSs_1.136 |	avyaktam triguNAt-liFgAt | KapSH-_1.136 |
   (kāryebhyaḥ prakṛteḥ vaidharmyaṃ)	(kAryeByaH prakRteH vEDarmyaM)
   tatkāryatastatsiddhernāpalāpaḥ | KapSs_1.137 |	tad-kAryataH-tad-sidDeH-na-apalApaH | KapSs_1.137 |
   (kāryebhyaḥ prakṛteḥ vaidharmyaṃ)	(kAryeByaH prakRteH vEDarmyaM)
   sāmānyena vivādābhāvāt dharmavanna sādhanaṃ | KapSs_1.138 |	sAmAnyena vivAda-aBAvAt Darma-vat-na sADanam | KapSH-_1.138 |
   (puruṣāstitva sādhanaṃ)	(puruza-astitva sADanaM)
   śarīrādivyatiriktaḥ pumān | KapSs_1.139 |	SarIra-Adi-vyatiriktaH pumAn | KapSs_1.139 |
   (puruṣāstitva sādhanaṃ)	(puruza-astitva sADanaM)
   saṃhataparārthatvāt | KapSs_1.140 |	saMhata-para-arTa-tvAt | KapSH-_1.140 |
   (puruṣāstitva sādhanaṃ)	(puruza-astitva sADanaM)
   triguṇādiviparyayāt | KapSs_1.141 |	triguNa-Adi-viparyayAt | KapSs_1.141 |
   (puruṣāstitva sādhanaṃ)	(puruza-astitva sADanaM)
   adhiṣṭhānācceti | KapSs_1.142 |	aDizWAnAt-ca-iti | KapSs_1.142 |
   (puruṣāstitva sādhanaṃ)	(puruza-astitva sADanaM)
   bhotṛbhāvāt | KapSs_1.143 |	BotR-BAvAt | KapSH-_1.143 |
   (puruṣāstitva sādhanaṃ)	(puruza-astitva sADanaM)
   kaivalyārthaṃ pravṛtteśca | KapSs_1.144 |	kEvalya-arTam pravRtteH-ca | KapSH-_1.144 |
   (puruṣāstitva sādhanaṃ)	(puruza-astitva sADanaM)
   jaḍaprakāśāyogātprakāśaḥ | KapSs_1.145 |	jaxa-prakASa-ayogAt-prakASaH | KapSs_1.145 |
   (puruṣasya prakāśasvarūpatvaṃ)	(puruzasya prakASa-svarUpa-tvaM)
   nirguṇatvānnaciddharmā | KapSs_1.146 |	nirguNa-tva-at-nacit-DarmA | KapSs_1.146 |
   (prakāśātmanoḥ dharmadharmibhāva nirākaraṇaṃ)	(prakASa-AtmanoH Darma-Darmi-BAva nirAkaraNaM)
   śrutyā siddhasya nāpalāpastatpratyakṣabodhāt | KapSs_1.147 |	SrutyA sidDasya na-apalApaH-tad-pratyakza-boDAt | KapSH-_1.147 |
   (prakāśātmanoḥ dharmadharmibhāva nirākaraṇaṃ)	(prakASa-AtmanoH Darma-Darmi-BAva nirAkaraNaM)
   suṣuptyādyasākṣitvaṃ | KapSs_1.148 |	suzupti-Adi-asAkzi-tvam | KapSs_1.148 |
   (prakāśātmanoḥ dharmadharmibhāva nirākaraṇaṃ)	(prakASa-AtmanoH Darma-Darmi-BAva nirAkaraNaM)
   janmāduvyavasthātaḥ puruṣabahutvaṃ | KapSs_1.149 |	janma-AduvyavasTAtaH puruza-bahu-tvam | KapSH-_1.149 |
   (puruṣabahutva sādhanaṃ)	(puruza-bahu-tva sADanaM)
   upādhibhede 'pyekasya nānāyogaḥ ākāśasyeva ghaṭādibhiḥ | KapSs_1.150 |	upADi-Bede api-ekasya nAnA-yogaH AkASasya-iva Gawa-AdiBiH | KapSH-_1.150 |
   (puruṣabahutva sādhanaṃ)	(puruza-bahu-tva sADanaM)
   upādhirbhidyate na tu tadvān | KapSs_1.151 |	upADiH-Bidyate na tu tadvAn | KapSs_1.151 |
   (puruṣabahutva sādhanaṃ)	(puruza-bahu-tva sADanaM)
   evamekatvena parivartamānasya na viruddha dharmādhyāsaḥ | KapSs_1.152 |	evam-eka-tvena parivartamAnasya na virudDa Darma-aDyAsaH | KapSs_1.152 |
   (puruṣabahutva sādhanaṃ)	(puruza-bahu-tva sADanaM)
   anyadharmatve 'pi nāropāttatsiddhirekatvāt | KapSs_1.153 |	anya-Darma-tve api na-AropAt-tad-sidDiH-eka-tvAt | KapSH-_1.153 |
   (puruṣabahutva sādhanaṃ)	(puruza-bahu-tva sADanaM)
   nādvaitaśrutivirodho jātiparatvāt | KapSs_1.154 |	na-advEta-Sruti-viroDaH jAti-paratvAt | KapSH-_1.154 |
   (ātmaikyavādopapattiḥ)	(Atma-Ekya-vAda-upapattiH)
   viditabandhakāraṇasya dṛṣṭyātadrūpaṃ | KapSs_1.155 |	vidita-banDa-kAraNasya dRzwyA-tad-rUpam | KapSH-_1.155 |
   (ātmaikyavādopapattiḥ)	(Atma-Ekya-vAda-upapattiH)
   nāndhādṛṣṭyā cakṣuṣmatāmanupalambhaḥ | KapSs_1.156 |	na-anDa-adRzwyA cakzuzmatAm-anupalamBaH | KapSs_1.156 |
   (ātmaikyavādopapattiḥ)	(Atma-Ekya-vAda-upapattiH)
   vāmadevādirmukto nādvaitaṃ | KapSs_1.157 |	vAmadeva-AdiH-muktaH na-advEtam | KapSs_1.157 |
   (ātmaikyavādopapattiḥ)	(Atma-Ekya-vAda-upapattiH)
   anādāvadyāvadabhāvādbhaviṣyadapyevaṃ | KapSs_1.158 |	anAdAvat-yAvat-aBAvAt-Bavizyat-api-evam | KapSH-_1.158 |
   (ātmaikyavādopapattiḥ)	(Atma-Ekya-vAda-upapattiH)
   idīnīmiva sarvatra nātyantocchedaḥ | KapSs_1.159 |	idInIm-iva sarvatra na-atyanta-ucCedaH | KapSs_1.159 |
   (ātmaikyavādopapattiḥ)	(Atma-Ekya-vAda-upapattiH)
   vyāvṛttobhayarūpaḥ | KapSs_1.160 |	vyAvRtta-uBaya-rUpaH | KapSs_1.160 |
   (ātmanāṃ sadaikarūpatvaṃ)	(a-AtmanAm sadA-eka-rUpa-tvaM)
   sākṣātsambandhātsākṣitvaṃ | KapSs_1.161 |	sAkzAt-sambanDAt-sAkzi-tvam | KapSs_1.161 |
   (ātmanāṃ sadaikarūpatvaṃ)	(a-AtmanAm sadA-eka-rUpa-tvaM)
   nityamuktatvaṃ | KapSs_1.162 |	nitya-mukta-tvam | KapSH-_1.162 |
   (ātmanāṃ sadaikarūpatvaṃ)	(a-AtmanAm sadA-eka-rUpa-tvaM)
   audāsīnyaṃ ceti | KapSs_1.163 |	OdAsInyam ca-iti | KapSs_1.163 |
   (ātmanāṃ sadaikarūpatvaṃ)	(a-AtmanAm sadA-eka-rUpa-tvaM)
   uparāgātkartṛtvaṃ citsānnidhyāt citsānnidhyāt | KapSs_1.164 |	uparAgAt-kartR-tvam cit-sAnniDyAt cit-sAnniDyAt | KapSs_1.164 |
   (vastutattvaviparītataya puruṣe kartṛtāyāḥ buddhau jñātṛtāyāśca bhāne	(vastu-tattva-viparIta-taya puruze kartR-tAyAH budDO jQAtR-tAyAH-ca BAne
   hetuḥ), pradhānakārya	hetuH), praDAna-kArya
   vimuktamokṣārthaṃ svārthaṃ vā pradhānasya | KapSs_2.1 |	vimukta-mokza-arTam sva-arTam vA praDAnasya | KapSH-_2.1 |
   (prakṛteḥ jagatsṛṣṭau nidānabhūtāḥ aṃśāḥ)	(prakRteH jagat-sRzwO nidAna-BUtAH aMSAH)
   viraktasya tatsiddheḥ | KapSs_2.2 |	viraktasya tad-sidDeH | KapSs_2.2 |
   (prakṛteḥ jagatsṛṣṭau nidānabhūtāḥ aṃśāḥ)	(prakRteH jagat-sRzwO nidAna-BUtAH aMSAH)
   na śravaṇamātrāttatsiddhiḥ anādivāsanāyāḥ balavattvāt | KapSs_2.3 |	na SravaNa-mAtrAt-tad-sidDiH anAdi-vAsanAyAH balavat-tvAt | KapSs_2.3 |
   (prakṛteḥ jagatsṛṣṭau nidānabhūtāḥ aṃśāḥ)	(prakRteH jagat-sRzwO nidAna-BUtAH aMSAH)
   bahubhṛtyavadvā pratyekaṃ | KapSs_2.4 |	bahu-BRtya-vat-vA pratyekam | KapSs_2.4 |
   (prakṛteḥ jagatsṛṣṭau nidānabhūtāḥ aṃśāḥ)	(prakRteH jagat-sRzwO nidAna-BUtAH aMSAH)
   prakṛtivāstave ca puruṣasyādhyāsasiddhiḥ | KapSs_2.5 |	prakRti-vAstave ca puruzasya-aDyAsa-sidDiH | KapSs_2.5 |
   (puruṣe sraṣṭṛtvanirākaraṇaṃ)	(puruze srazwR-tva-nirAkaraNaM)
   kāryatastatsiddheḥ | KapSs_2.6 |	kAryataH-tad-sidDeH | KapSs_2.6 |
   (puruṣe sraṣṭṛtvanirākaraṇaṃ)	(puruze srazwR-tva-nirAkaraNaM)
   cetanoddeśānniyamaḥ kaṇṭakamokṣavat | KapSs_2.7 |	cetana-uddeSAt-niyamaH kaNwaka-mokza-vat | KapSs_2.7 |
   (puruṣe sraṣṭṛtvanirākaraṇaṃ)	(puruze srazwR-tva-nirAkaraNaM)
   anyayoge 'pi tātsiddhirnāñjasyenāyodāhavat | KapSs_2.8 |	anya-yoge api tAt-sidDiH-na-aQjasyena-ayaH-dAha-vat | KapSs_2.8 |
   (puruṣe sraṣṭṛtvanirākaraṇaṃ)	(puruze srazwR-tva-nirAkaraNaM)
   rāgavirāgayoḥ yogaḥ sṛṣṭiśca | KapSs_2.9 |	rAga-virAgayoH yogaH sRzwiH-ca | KapSs_2.9 |
   (sṛṣṭiṃ prati mukhyaṃ nimittakāraṇaṃ)	(sRzwim prati muKyam nimitta-kAraNaM)
   mahadādikrameṇa pañcabhūtānāṃ | KapSs_2.10 |	mahat-Adi-krameNa paQcaBUtAnAm | KapSs_2.10 |
   (puruṣamuktinimittā mahadādisṛṣṭiḥ)	(puruza-mukti-nimittA mahat-Adi-sRzwiH)
   ātmārthatvātsṛṣṭeḥ naiṣāmātmārtha ārambhaḥ | KapSs_2.11 |	Atma-arTa-tvAt-sRzweH na-ezAm-a-Atma-arTaH AramBaH | KapSs_2.11 |
   (puruṣamuktinimittā mahadādisṛṣṭiḥ)	(puruza-mukti-nimittA mahat-Adi-sRzwiH)
   dikkālāvākāśādibhyaḥ | KapSs_2.12 |	diS-kAlO=-AkASa-AdiByaH | KapSs_2.12 |
   (dikkālayoḥ sṛṣṭiḥ)	(dikkAlayoH sRzwiH)
   adhyavasāyo buddhiḥ | KapSs_2.13 |	aDyavasAyaH budDiH | KapSs_2.13 |
   (mahattatva svarūpa kāryādiḥ)	(mahat-tatva svarUpa kArya-AdiH)
   tatkāryaṃ dharmādi | KapSs_2.14 |	tat-kAryam Darma-Adi | KapSs_2.14 |
   (mahattatva svarūpa kāryādiḥ)	(mahat-tatva svarUpa kArya-AdiH)
   mahaduparāgādviparītaṃ | KapSs_2.15 |	mahat-uparAgAt-viparItam | KapSs_2.15 |
   (mahattatva svarūpa kāryādiḥ)	(mahat-tatva svarUpa kArya-AdiH)
   abhimāno 'haṅkāraḥ | KapSs_2.16 |	aBimAnaH ahaFkAraH | KapSs_2.16 |
   (ahaṅkāratatvasvarūpakāryādiḥ)	(ahaFkAra-tatva-svarUpa-kArya-AdiH)
   ekādaśa pañcatanmātraṃ tatkāryaṃ | KapSs_2.17 |	ekAdaSa paQca-tanmAtram tat-kAryam | KapSs_2.17 |
   (ahaṅkāratatvasvarūpakāryādiḥ)	(ahaFkAra-tatva-svarUpa-kArya-AdiH)
   sātvikaṃ ekādaśakaṃ pravartate vaikṛtādahaṅkārāt | KapSs_2.18 |	sAtvikam ekAdaSakam pravartate vEkRtAt-ahaFkArAt | KapSs_2.18 |
   (ahaṅkāratatvasvarūpakāryādiḥ)	(ahaFkAra-tatva-svarUpa-kArya-AdiH)
   karmendriya buddhīndriyairāntaramekādaśakaṃ | KapSs_2.19 |	karmendriya budDIndriyEH-Antaram-ekAdaSakam | KapSs_2.19 |
   (indriyāṇāṃ svarūpaṃ)	(indriyANAm svarUpaM)
   āhaṅkārikatvaśruteḥ na bhautikāni | KapSs_2.20 |	AhaFkArika-tva-SruteH na BOtikAni | KapSs_2.20 |
   (indriyāṇāṃ svarūpaṃ)	(indriyANAm svarUpaM)
   devatālayaśrutirnārambhakasya | KapSs_2.21 |	devatA-Alaya-SrutiH-na-AramBakasya | KapSH-_2.21 |
   (indriyāṇāṃ svarūpaṃ)	(indriyANAm svarUpaM)
   tadutpattiśrutervināśadarśanācca | KapSs_2.22 |	tad-utpatti-SruteH-vinASa-darSanAt-ca | KapSs_2.22 |
   (indriyāṇāṃ anityatā)	(indriyANAm anitya-tA)
   atīndriyaṃ indriyaṃ bhrāntānāmadhiṣṭhāne | KapSs_2.23 |	atIndriyam indriyam BrAntAnAm-aDizWAne | KapSs_2.23 |
   (golakānāmevendriyatva nirākaraṇaṃ)	(golakAnAm-eva-indriya-tva nirAkaraNaM)
   śaktibhede 'pi bhedasiddhau naikatvaṃ | KapSs_2.24 |	Sakti-Bede api Beda-sidDO na-ekatvam | KapSH-_2.24 |
   (ekendriyavādanirāsaḥ)	(eka-indriya-vAda-nirAsaH)
   na kalpanāvirodhaḥ pramāṇadṛṣṭasya | KapSs_2.25 |	na kalpanA-viroDaH pramANa-dRzwasya | KapSs_2.25 |
   (ekendriyavādanirāsaḥ)	(eka-indriya-vAda-nirAsaH)
   ubhayātmakaṃ ca manaḥ | KapSs_2.26 |	uBaya-Atmakam ca manaH | KapSs_2.26 |
   (manasaḥ jñānakarmobhayātmakatvaṃ)	(manasaH jQAna-karma-uBaya-Atmaka-tvaM)
   guṇapariṇāmabhedānnānātvamavasthāvat | KapSs_2.27 |	guNa-pariNAma-BedAt-nAnAtvam-avasTAvat | KapSs_2.27 |
   (manasaḥ jñānakarmobhayātmakatvaṃ)	(manasaH jQAna-karma-uBaya-Atmaka-tvaM)
   rūpādirasamalānta ubhayoḥ | KapSs_2.28 |	rUpa-AdiH-asa-mala-ante uBayoH | KapSs_2.28 |
   (indriyāṇāṃ viṣayāḥ)	(indriyANAm vizayAH)
   draṣṭṛtvādirātmanaḥ karaṇatvamindriyāṇāṃ | KapSs_2.29 |	drazwR-tva-AdiH-AtmanaH karaNa-tvam-indriyANAm | KapSs_2.29 |
   (indriyāṇāṃ ātmokārakatvaṃ)	(indriyANAm AtmokAraka-tvaM)
   trayāṇāṃ svālakṣaṇyaṃ | KapSs_2.30 |	trayANAm svAlakzaNyam | KapSs_2.30 |
   (antaḥkaraṇatrayasya asādhāraṇyaḥ sādhāraṇyaśca vṛttayaḥ)	(antaH-karaNa-trayasya asADAraNyaH sADAraNyaH-ca vRttayaH)
   sāmānyakaraṇavṛttiḥ prāṇādyāḥ vāyavaḥ pañca | KapSs_2.31 |	sAmAnya-karaNa-vRttiH prANa-AdyAH vAyavaH paQca | KapSs_2.31 |
   (antaḥkaraṇatrayasya asādhāraṇyaḥ sādhāraṇyaścavṛttayaḥ)	(antaH-karaNa-trayasya asADAraNyaH sADAraNyaH-ca-vRttayaH)
   kramaśo 'kramaśaścendriyavṛttiḥ | KapSs_2.32 |	kramaSas akramaSas-ca-indriya-vRttiH | KapSs_2.32 |
   (indriyavṛtteḥ kramikatvaniyamābhāvaḥ)	(indriya-vRtteH kramika-tva-niyama-aBAvaH)
   vṛttayaḥ pañcatayyaḥ kliṣṭākliṣṭāḥ | KapSs_2.33 |	vRttayaH paQcatayyaH klizwa-aklizwAH | KapSs_2.33 |
   (pañcavidhāḥ dhīvṛttayaḥ)	(paQcaviDAH DI-vRttayaH)
   tannivṛttāvupaśāntoparāgaḥ svasthaḥ | KapSs_2.34 |	tad-nivRttO=-upaSAnta-uparAgaH svasTaH | KapSs_2.34 |
   (vṛttyupasaṃhāradaśāyāmeva puruṣasya svarūpe 'vasthitiḥ)	(vRtti-upasaMhAra-daSAyAm-eva puruzasya svarUpe avasTitiH)
   kusumavacca maṇiḥ | KapSs_2.35 |	kusuma-vat-ca maNiH | KapSs_2.35 |
   (vṛttyupasaṃhāradaśāyāmeva puruṣasya svarūpe 'vasthitiḥ)	(vRtti-upasaMhAra-daSAyAm-eva puruzasya svarUpe avasTitiH)
   puruṣārthaṃ karaṇodbhavo 'pyadṛṣṭollāsāt | KapSs_2.36 |	puruza-arTam karaNa-udBavaH api-adRzwa-ullAsAt | KapSs_2.36 |
   (indriyapravṛttyupādhiḥ)	(indriya-pravRtti-upADiH)
   dhenuvadvatsāya | KapSs_2.37 |	Denu-vat-vatsAya | KapSs_2.37 |
   (indriyapravṛttyupādhiḥ)	(indriya-pravRtti-upADiH)
   karaṇaṃ trayodaśāvidhaṃ avāntarabhedāt | KapSs_2.38 |	karaNam trayodaSAviDam avAntara-BedAt | KapSH-_2.38 |
   (karaṇānāṃ trayodaśatvaṃ)	(karaNAnAm trayodaSa-tvaM)
   indriyeṣu sādhakatamatvaguṇayogāt kuṭhāravat | KapSs_2.39 |	indriyezu sADakatama-tva-guNa-yogAt kuWAra-vat | KapSs_2.39 |
   (karaṇānāṃ trayodaśatvaṃ)	(karaNAnAm trayodaSa-tvaM)
   dvayoḥ pradhānaṃ mano lokavat bhṛtyavargeṣu | KapSs_2.40 |	dvayoH praDAnam manaH loka-vat BRtya-vargezu | KapSs_2.40 |
   (karaṇeṣu gauṇamukhyabhāvavyavasthā)	(karaNezu gONa-muKya-BAva-vyavasTA)
   avyabhicārāt | KapSs_2.41 |	avyaBicArAt | KapSs_2.41 |
   (karaṇeṣu gauṇamukhyabhāvavyavasthā)	(karaNezu gONa-muKya-BAva-vyavasTA)
   tathāśeṣasaṃskārādhāratvāt | KapSs_2.42 |	taTA-aSeza-saMskAra-ADAra-tvAt | KapSs_2.42 |
   (karaṇeṣu gauṇamukhyabhāvavyavasthā)	(karaNezu gONa-muKya-BAva-vyavasTA)
   smṛtyānumānācca | KapSs_2.43 |	smRtyA-anumAnAt-ca | KapSs_2.43 |
   (karaṇeṣu gauṇamukhyabhāvavyavasthā)	(karaNezu gONa-muKya-BAva-vyavasTA)
   sambhavenna svataḥ | KapSs_2.44 |	samBavet-na svatas | KapSs_2.44 |
   (karaṇeṣu gauṇamukhyabhāvavyavasthā)	(karaNezu gONa-muKya-BAva-vyavasTA)
   āpekṣiko guṇapradhānabhāvaḥ kriyāviśeṣāt | KapSs_2.45 |	ApekzikaH guNa-praDAna-BAvaH kriyA-viSezAt | KapSH-_2.45 |
   (karaṇeṣu gauṇamukhyabhāvavyavasthā)	(karaNezu gONa-muKya-BAva-vyavasTA)
   tatkarmārjitatvāt tadarthamabhiceṣṭā lokavat | KapSs_2.46 |	tad-karma-arjita-tvAt tad-arTam-aBicezwAH loka-vat | KapSs_2.46 |
   (karaṇeṣu gauṇamukhyabhāvavyavasthā)	(karaNezu gONa-muKya-BAva-vyavasTA)
