   // prameyādhyāyaḥ //	// prameya-aDyAyaH //
   // prathamamāhnikam //	// praTamam-Ahnikam //
   viśeṣādarśanāt; laulyam viśeṣaḥ iti cet, tarhi saṃyogavibhāgātiriktaṃ	viSeza-adarSanAt; lOlyam viSezaH iti cet, tarhi saMyoga-viBAga-atiriktam
   laulyarūpaṃ karmapratyakṣamiti kathaṃ tadapahnavaḥ ? iti /	lOlya-rUpam karma-pratyakzam-iti kaTam tad-apahnavaH ? iti /
   tatrāhuḥ---yā nāma karmasāmagrī tvayeṣyate sā tattatkarmaphalatayābhimataṃ	tatra-AhuH---yA nAma karma-sAmagrI tvayA-izyate sA tad-tad-karma-Pala-tayA-aBimatam
   saṃyogaviśeṣamutpādayantī niyatasvabhāvameva tamutpādayati /	saMyoga-viSezam-utpAdayantI niyata-svaBAvam-eva tam-utpAdayati /
   ata eva eva saṃyogonekaniṣṭhopi san kvaciccalatipratyaṃyaṃ kvacit	atas eva eva saMyogoneka-nizWopi san kvacid-calati-pratyaMyam kvacid-
   saṃyogamātrapratyayaṃ ca janayati, yathaika eva	saMyoga-mAtra-pratyayam ca janayati, yaTA-ekaH eva
   samavāyoguṇaguṇibhyāmaviśeṣeṇa svato militopi san kvacidāśrayapratyayaṃ	samavAyaH-guNa-guNiByAm-aviSezeNa svatas militopi san kvacid-ASraya-pratyayam
   kvacidāśritapratyayaṃ ca janayati, na hyāśrayabhāva āśritabhāvo vā	kvacid-ASrita-pratyayam ca janayati, na hi-ASraya-BAvaH ASrita-BAvaH vA
   samavāyasvarūpātiriktaḥ, tadvadihāpīti /	samavAya-svarUpa-atiriktaH, tadvat-iha-api-iti /
   vayaṃ tu brūmaḥ--- apratyakṣakarmavādastāvat prāguktadūṣaṇādayuktaḥ /	vayam tu brUmaH-- apratyakza-karma-vAdaH-tAvat prAc-ukta-dUzaNAt-ayuktaH /
   pratyakṣaṃ tu karma svarūpato durapahnavam /	pratyakzam tu karma svarUpataH durapahnavam /
   tatra	tatra
   bhāṣyādiṣvatirekavidhiniṣedhādarśanādarthāntaravirodhābhāvāccodāsitavyam,	BAzya-Adizu-atireka-viDi-nizeDa-adarSanAt-arTa-antara-viroDa-aBAvAt-ca-udAsitavyam,
   iti /	iti /
   idaṃ tu manyāmahe--- atirekepi guṇavargānna rāśyantaraṃ karma,	idam tu manyAmahe-- atirekepi guNa-vargAt-na rASi-antaram karma,
   vibhājakābhāvāt, svecchākalpitavibhājakasya sarvatra sulabhatvena	viBAjaka-aBAvAt, sva-icCA-kalpita-viBAjakasya sarvatra sulaBa-tvena
   yathābhimatamekaṃ guṇamubhayaṃ vāṅgīkṛtya rāśyantarakalpanaprasaṅgāt,	yaTA-aBimatam-ekam guNam-uBayam vA-aFgIkRtya rASi-antara-kalpana-prasaFgAt,
   guṇāvāntaravaicitryasya guṇatvavirodhābhāvāt /	guNa-avAntara-vEcitryasya guNa-tva-viroDa-aBAvAt /
   ato dravyamadravyamityeva vibhāgaḥ iti //	atas dravyam-adravyam-iti-eva viBAgaH iti //
   nyā. pa. prame. 3 tatra cātmaguṇatayābhimateṣu	nyA. pa. prame. 3 tatra ca-Atma-guNa-tayA-aBimatezu
   sukhaduḥkhecchādveṣaprayatnāḥ pañca	suKa-duHKa-icCA-dveza-prayatnAH paQca
   tattadutpādakatayābhimatabuddhiviśeṣānatiriktā vedārthasaṃgrahe	tad-tad-utpAdaka-tayA-aBimata-budDi-viSezAn-atiriktA veda-arTa-saMgrahe
   samarthitāḥ /	samarTitAH /
   dharmādharmau vihitaniṣiddhakriyāsādhyatayābhimatāvājñāvato rājña iva	Darma-aDarmO vihita-nizidDa-kriyA-sADya-tayA-aBimatO=-AjQAvataH rAjQaH iva
   sarvapraśāsiturīśvarasyānugrahanigrahākhyabuddhiviśeṣarūpau bhāṣyādiṣu	sarva-praSAsituH-ISvarasya-anugraha-nigraha-AKya-budDi-viSeza-rUpO BAzya-Adizu
   bahuṣu pradeśeṣu prapañcitau /	bahuzu pradeSezu prapaQcitO /
   yaḥ punaḥ saṃskāraḥ sa tāvadbuddhiviśeṣātmanoktaḥ, na ca tatprayuktaḥ;	yaH punar saMskAraH sa tAvat-budDi-viSeza-AtmanA-uktaH, na ca tad-prayuktaH;
   tataściranaṣṭaviprakṛṣṭākāre vyāptyadarśanāt, vāsanānuvṛtteśca	tatas-ciranazwa-viprakRzwa-AkAre vyApti-adarSanAt, vAsanA-anuvRtteH-ca
   vācanikatvāt //	vAcanika-tvAt //
   nyā. pa. prame. 4 yadyapi "indriyasyendriyasyārthe" ityādigītāślokeṣu	nyA. pa. prame. 4 yadi-api "indriyasya-indriyasya-arTe" iti-Adi-gItASlokezu
   bhāṣyakārairvāsanāyā icchādvāreṇaiva	BAzya-kArEH-vAsanAyAH icCA-dvAreNa-eva
   pravṛttihetutvavacanājjñānavāsanāviśeṣātiriktā karmavāsanā nāsti, tathāpi	pravRtti-hetu-tva-vacanAt-jQAna-vAsanA-viSeza-atiriktA karma-vAsanA nAsti, taTA-api
   jñānavāsanā durapahnavā, tataśca tadāśrayamātraṃ vicāryam, tatra	jQAna-vAsanA durapahnavA, tatas-ca tad-ASraya-mAtram vicAryam, tatra
   dharmabhūtajñānasya	Darma-BUta-jQAnasya
   dravyatvaṃnyāyatattvātmasiddhibhāśyādisiddhamanusaratāṃ	dravya-tvaMnyAya-tattva-Atma-sidDi-BASi-Adi-sidDam-anusara-tAm
   tanniṣṭhasmṛtyākhyavikārotpādakaḥ saṃskāro 'pi tanniṣṭhaḥ prāptaḥ;	tad-nizWa-smRti-AKya-vikAra-utpAdakaH saMskAraH api tad-nizWaH prAptaH;
   antaraṅgatvādabādhācca //	antaraFga-tvAt-abADAt-ca //
   nyā. pa. prame. 5 ye tu paraparibhāṣamanusarantastadanuguṇaṃ tasya	nyA. pa. prame. 5 ye tu para-pariBAzam-anusarantaH-tad-anuguNam tasya
   guṇatvaṃ gṛhṇanti, teṣāmātmanyeva saṃskāraḥ, iti viśeṣaḥ /	guNa-tvam gRhNanti, tezAm-Atmani-eva saMskAraH, iti viSezaH /
   na ca buddhornityatvaṃ saṃkocavikāsādidaśābhedaṃ	na ca budDoH-nitya-tvam saMkoca-vikAsa-Adi-daSA-Bedam
   cābhyupagacchadbhiradravyatvaṃ tasyāḥ suvacam; avasthāntarayogitvameva	ca-aByupagacCadBiH-adravya-tvam tasyAH su-vacam; avasTA-antara-yogi-tvam-eva
   hyupādanatvam; tadeva hi dravyalakṣaṇam /	hi-upAdana-tvam; tat-eva hi dravya-lakzaNam /
   tathāpi naguṇatvahāniḥ; apṛthaksiddhaviśeṣaṇatvātiriktaguṇatvāvadarśanāt,	taTA-api naguNa-tva-hAniH; apRTak-sidDa-viSezaNa-tva-atirikta-guNa-tva-avadarSanAt,
   karmavyatiriktajātimātrāśrayatvādirūpaguṇalakṣaṇasaṃketasyāsmābhiranādaraṇāt	karma-vyatirikta-jAti-mAtra-ASraya-tva-Adi-rUpa-guNa-lakzaNa-saMketasya-asmABiH-anAdaraNAt
   na ca dravyasyāśritasvabhāvatvalakṣaṇamapṛthaksiddhaviśeṣaṇatvaṃ	na ca dravyasya-ASrita-svaBAva-tva-lakzaNam-apRTak-sidDa-viSezaNa-tvam
   viruddham, avayavini yuṣmābhirapi svīkaraṇāt /	virudDam, avayavini yuzmABiH-api svIkaraNAt /
   yathā ca dravyatvaviśeṣaṇatvādibhirna virodha iṣyate, evamatrāpi,	yaTA ca dravya-tva-viSezaNa-tva-AdiBiH-na viroDaH izyate, evam-atra-api,
   upalaṃmbhayuktyādeḥ sāmanacarcatvāt /	upalaMmBa-yukti-AdeH sAmana-carca-tvAt /
   ato jñānaṃ dravyam, tadavasthāviśeṣāstvadravyāṇīti	atas jQAnam dravyam, tad-avasTA-viSezAH-tu-adravyANi-iti
   saṃskārākhyavikārāsthitirapi tatraiva yuktā /	saMskAra-AKya-vikAra-AsTitiH-api tatra-eva yuktAH /
   vegākhyastu saṃskārastadutpādakatvābhimatakarmaviśaiṣātirikto na dṛśyate,	vega-AKyaH-tu saMskAraH-tad-utpAdaka-tva-aBimata-karma-viSEza-atiriktaH na dRSyate,
   na ca yujyate /	na ca yujyate /
   sthitasthāpakau tu karmanivṛttāvapi tadavinābhūtasaṃyogaviśeṣatvaṃ vaktuṃ	sTita-sTApakO tu karma-nivRttO=-api tad-avinABUta-saMyoga-viSeza-tvam vaktum
   yuktam //	yuktam //
   nyā. pa. prame. 6 ye ca bhagavatonantā maṅgalaguṇāḥ prakīrtyante, te	nyA. pa. prame. 6 ye ca BagavataH-nantAH maFgala-guNAH prakIrtyante, te
   sarvepi ṣāṅguṇyavitatirūpāḥ iti saṃmatam /	sarva-ipi zAFguNya-vitati-rUpAH iti saMmatam /
   yathāhuḥ--- "tavānantaguṇasyāpi ṣaḍeva prathame guṇāḥ /	yaTA-AhuH-- "tava-ananta-guNasya-api zaz-eva praTame guNAH /
   yaistvayeva jagat kukṣāvanyepyantarniveśitāḥ" //	yEH-tvayA-iva jagat kukzO=-anyepi-antar-niveSitAH" //
   iti /	iti /
   ṣaṭsu ca guṇeṣu balaṃ dhāraṇasāmarthyam, aiśvaryaṃ niyamanaśaktiḥ;	zawsu ca guNezu balam DAraNa-sAmarTyam, ESvaryam niyamana-SaktiH;
   vikārahetuṣvapyavikṛtatvaṃ vīryam; tejaḥ parābhibhavanasāmarthyam,	vikAra-hetuzu-api-avikRta-tvam vIryam; tejaH para-aBiBavana-sAmarTyam,
   anyānapekṣatā veti /	anya-anapekza-tA vA-iti /
   lakṣitānāṃ caturṇāmatimathane jñānaśaktivitatirūpatvaṃ vyaktam /	lakzitAnAm caturNAm-ati-maTane jQAna-Sakti-vitati-rUpa-tvam vyaktam /
   na ca jñānaśaktyorapyevaṃ mithontarbhāvaḥ śakyaḥ, ajñeṣvapi dravyeṣu	na ca jQAna-SaktyoH-api-evam miTas-ntarBAvaH SakyaH, ajQezu-api dravyezu
   śaktidarśanāt, aśakteṣvapi jñānadarśanāt /	Sakti-darSana-at, aSaktezu-api jQAna-darSanAt /
   ata eva jñānaviśeṣaḥ śaktirityapi nirastam /	atas eva jQAna-viSezaH SaktiH-iti-api nirastam /
   śaktiviśeṣastu jñānaṃ syāditi cet, kosau śaktiśabdārthaḥ ? /	Sakti-viSezaH-tu jQAnam syAt-iti cet, kosO Sakti-Sabda-arTaH ? /
   vilakṣaṇo guṇaviśeṣaḥ prabhākarādinayena padārthāntaraṃ vā iti cet, na	vilakzaNaH guNa-viSezaH praBAkara-Adi-nayena padArTa-antaram vA iti cet, na
   tarhi jñānasya tadviśeṣatā sidhyet /	tarhi jQAnasya tad-viSeza-tA siDyet /
   atha kāryopayuktaviśeṣaṇamātraṃ śaktiriti sarvaprayogānugataṃ paśyasi,	aTa kArya-upayukta-viSezaNa-mAtram SaktiH-iti sarva-prayoga-anugatam paSyasi,
   tadā na kevalaṃ jñānasya, api tu sarvasyaiva śaktitvaṃ prāptam, sarvasyāpi	tadA na kevalam jQAnasya, api tu sarvasya-eva Sakti-tvam prAptam, sarvasya-api
   pradhānakāraṇatayābhimate kasmiṃścidviśeṣaṇatvenāvasthānāt /	praDAna-kAraNa-tayA-aBimate kasmiMScid-viSezaNa-tvena-avasTAnAt /
   nanvevamudayanādīnāmiva svarūpasahakārivyatiriktaśaktyabhāvaḥ prasaktaḥ	nanu-evam-udayana-AdInAm-iva svarUpa-sahakAri-vyatirikta-Sakti-aBAvaH prasaktaH
   iti cet, ananyathāsiddhayuktivaśādāgamabalādvā tatsiddheḥ /	iti cet, ananyaTA-asidDa-yukti-vaSAt-Agama-balAt-vA tad-sidDeH /
   tacchabdastu vivakṣāviśeṣāt syāditi brūmaḥ /	tad-SabdaH-tu vivakzA-viSezAt syAt-iti brUmaH /
   śaktisamarthanasaṃrambhaścācāryāṇāṃ nyāyakuliśe nipuṇamanusaṃdheyaḥ /	Sakti-samarTana-saMramBaH-ca-AcAryANAm nyAya-kuliSe nipuNam-anusaMDeyaH /
   śaktimātrakāraṇādivādāśca	Sakti-mAtra-kAraNa-Adi-vAdAH-ca
   bāhyānāmupalambhayuktyāptāgamādivirahādanādaraṇīyāḥ /	bAhyAnAm-upalamBa-yukti-Apta-Agama-Adi-virahAt-anAdaraNIyAH /
   sā cedupādānaṃ, sūkṣmandravyamevāsau syāditi na vivādaḥ //	sA ced-upAdAnaM, sUkzmandravyam-eva-asO syAt-iti na vivAdaH //
   nyā. pa. prame. 7 athāciddravyaviśeṣaguṇān paśyāmaḥ--- tatra śabdādayaḥ	nyA. pa. prame. 7 aTa-Acit-dravya-viSeza-guNAn paSyAmaH-- tatra Sabda-AdayaH
   pañca tattadbhūtavartinaḥ pratyakṣādibalādabhyupagatāḥ /	paQca tad-tad-BUta-vartinaH pratyakza-Adi-balAt-aByupagatAH /
   sattvarajastamāṃsi ca śāstrānusāreṇa /	sattva-rajaH-tamAMsi ca SAstra-anusAreNa /
   saṃyogaśca pratyakṣādisiddhaḥ /	saMyogaH-ca pratyakza-Adi-sidDaH /
   nairantaryamātramevāyamiti cet, tat kiṃ dravyasvarūpam,	nErantarya-mAtram-eva-ayam-iti cet, tat kim dravya-svarUpam,
   utāganturavasthāviśeṣaḥ ? /	uta-AgantuH-avasTA-viSezaH ? /
   nādyaḥ, nityatvaprasaṅgāt /	na-AdyaH, nitya-tva-prasaFgAt /
   na dvitīyaḥ, nāmāntareṇa tadabhidhānāt, iti /	na dvitIyaH, nAma-antareNa tad-aBiDAnAt, iti /
   vibhāgapṛthaktve tu abhāvoktanyāyena dūṣaṇīye /	viBAga-pRTaktve tu aBAva-ukta-nyAyena dUzaNIye /
   paratvāparatve api sukhādicchāyayā; na hi	paratva-aparatve api suKa-Adi=-CAyayA; na hi
   tattadupādhyavacchinnadeśakālaviśeṣasaṃbandhātirikte paratvāparatve	tad-tad-upADi-avacCinna-deSa-kAla-viSeza-saMbanDa-atirikte paratva-aparatve
   paśyāmaḥ /	paSyAmaH /
   tatkalpane ca prāktvapratyaktvādayopi hi bahavo guṇāstulyanyāyāḥ kalpyāḥ	tad-kalpane ca prAk-tva-pratyaktvAdayopi hi bahavaH guNAH-tulya-nyAyAH kalpyAH
   syuḥ /	syuH /
   evaṃ sadasadguṇapradarśanaprakriyayā	evam sat-asat-guNa-pradarSana-prakriyayA
   saṃkhyāparimāṇagurutvadravatvasnehānāṃ tattvamavasātavyam, ityadravyeṣveṣā	saMKyA-parimANa-guru-tva-drava-tva-snehAnAm tattvam-avasAtavyam, iti-adravyezu-ezA
   dik //	diS //
   nyā. pa. prame. 8 atha dravyāṇi vimṛśyante--- tatra tāvat	nyA. pa. prame. 8 aTa dravyANi vimRSyante-- tatra tAvat-
   kaumārilābhimatavibhuśabdākhyadravyavādaḥ śabdasyācidavasthāviśeṣatvena	kOmArila-aBimata-viBu-Sabda-AKya-dravya-vAdaH Sabdasya-acit-avasTA-viSeza-tvena
   śrutyādisiddhatvānnirākāryaḥ /	Sruti-Adi-sidDa-tvAt-nirAkAryaH /
   ātmasiddhau tu śabdasya	Atma-sidDO tu Sabdasya
   dharmyativartitvagatimattvavādastadāśrayabhūtāvayavadvāreṇeti netavyaḥ /	DarmI-ati-varti-tva-gatimat-tva-vAdaH-tad-ASraya-BUta-avayava-dvAreNa-iti netavyaH /
   yattu--- "tamaḥ khalu calaṃ nīlaṃ parāparavibhāgavat /	yat-tu-- "tamaH Kalu calam nIlam para-apara-viBAga-vat /
   prasiddhadravyavaidharmyānnavabhyo bhettumarhati" //	prasidDa-dravya-vEDarmyAt-navaByaH Bettum-arhati" //
   ityāhuḥ, tadetad dravyaṃ tāvadabhyupagacchāmaḥ; tathā hyuktaṃ	iti-AhuH, tat-etat dravyam tAvat-aByupagacCAmaH; taTA hi-uktam
   varadagurubhistattvasāre--- "tamo nāma dravyaṃ bahulaviralaṃ mecakacalaṃ	varada-guruBiH-tattva-sAre-- "tamaH nAma dravyam bahula-viralam mecaka-calam
   pratīmaḥ kenāpi kvacidapi na bādhaśca dadṛśe /	pratImaH kena-api kvacid-api na bADaH-ca dadRSe /
   ataḥ kalpyo hetuḥ pramitirapi śābdī vijayate nirālokaṃ cakṣuḥ prathayati	atas kalpyaH hetuH pramitiH-api SAbdI vijayate nirAlokam cakzuH praTayati
   hi tad darśanavaśāt" //	hi tat darSana-vaSAt" //
   iti /	iti /
   etena viyati vitatānāṃ sūkṣmāṇāṃ pṛthivyavayavānāṃ kṛṣṇo guṇastama iti	etena viyati vitatAnAm sUkzmANAm pRTivI-avayavAnAm kRzNaH guNaH-tamaH iti
   pakṣopi pratikṣiptaḥ; sāśrayasyaiva tasya grahaṇavirodhābhāvāt,	pakza-upi pratikziptaH; sa-ASrayasya-eva tasya grahaNa-viroDa-aBAvAt,
   guṇamātratayā ca kasyāpyanupalambhāt /	guNa-mAtra-tayA ca kasya-api-anupalamBAt /
   sparśarūparasānāṃ ca śabdagandhavad bhrāntau pramitau vā	sparSa-rUpa-rasAnAm ca Sabda-ganDa-vat BrAntO pramitO vA
   nirādhāragrahaṇādarśanācca--iti /	nirADAra-grahaNa-adarSanAt-ca---iti /
   evaṃ dravyatve siddhe kṛṣṇavarṇasya dravyasya	evam dravya-tve sidDe kRzNa-varNasya dravyasya
   pṛthivītvamevābhyupagantumucitam, "yat kṛṣṇaṃ tadannasya" iti śruteḥ /	pRTivI-tvam-eva-aByupagantum-ucitam, "yat kRzNam tat-annasya" iti SruteH /
   yadyapi pṛthivyāṃ pākaviśeṣavaśāt śuklādirūpaṃ, nānyatra pākādapi bhavati;	yadi-api pRTivyAm pAka-viSeza-vaSAt Sukla-Adi-rUpaM, na-anyatra pAkAt-api Bavati;
   ākāśādiṣu nailyopalambhopi hi pañcīkaraṇamūlapṛthivīsaṃsargāt /	AkASa-Adizu nElya-upalamBa-upi hi paQcIkaraNa-mUla-pRTivI-saMsargAt /
   "ākāśe cāviśeṣāt"iti sūtre bhāṣitam--- "aṇḍāntarvartinaścākāśasya	"a-AkASe ca-aviSezAt"iti sUtre BAzitam-- "aNxa-antar-vartinaH-ca-AkASasya
   trivṛtkaraṇopadeśapradarśintapañcīkaraṇena	trivRt-karaNa-upadeSa-pradarSinta-paQcI-karaNena
   rūpavatvāccākṣuṣatvepyavirodhaḥ" iti /	rUpava-tvAt-cAkzuza-tvepya-viroDaH" iti /
   nanvevamākāśameva dravyāntarasaṃsargānnīlaṃ tama ityupalabhyate iti	nanu-evam-AkASam-eva dravya-antara-saMsargAn-nIlam tamaH iti-upalaByate iti
   syāditi cet, na syāt, ākāśe tama iti pṛthagupalambhasvārasyāt,	syAt-iti cet, na syAt, AkASe tamaH iti pRTak-upalamBasvArasya-at,
   dravnayāntaratve tu kalpanāgauravāt, antatotrāpi pañcīkaraṇena	dravnaya-antara-tve tu kalpanA-gOrava-at, antatotrA-api paQcIkaraNena
   dravyāntarasaṃsargasyābhyupagatatvācca iti /	dravya-antara-saMsargasya-aByupagata-tvAt-ca iti /
   sparśānupalambhastu indranīlālokadurdinātapāderivānudbhavāderapi /	sparSa-anupalamBaH-tu indranIla-Aloka-durdina-Atapa-AdeH-iva-anudBava-AdeH-api /
   syāt /	syAt /
   na ca pārthivarūpasya sarvasyālokasāpekṣacakṣurgrāhyatvaniyamaḥ kalpyaḥ,	na ca pArTiva-rUpasya sarvasya-Aloka-sApekza-cakzuH-grAhya-tva-niyamaH kalpyaH,
   karaṇavaicitryādiva viṣayavaicitryādapi vyavasthopapatteḥ /	karaNa-vEcitryAt-iva vizaya-vEcitryAt-api vyavasTA-upapatteH /
   divābhītānāṃ viśiṣṭāñjanarañjitākṣāṇāṃ cālokanirapekṣameva cakṣuṣaiva	divA-BItAnAm viSizwa-aQjana-raQjita-akzANAm ca-Aloka-nirapekzam-eva cakzuzA-eva
   padārthā gṛhyante /	padArTAH gRhyante /
   ālokābhāvamātre ca tamasi tamojyotiṣornivṛttivacanaṃ cavyāhanyeta,	Aloka-aBAva-mAtre ca tamasi tamaH-jyotizoH-nivRtti-vacanam cavyAhani-eta,
   pratiniyatanailyāropakalpanāprayāsaśca /	pratiniyata-nElya-AropakalpanA-prayAsaH-ca /
   ataḥ pṛthivīviśeṣatvaṃ tamaso yuktam /	atas pRTivI-viSeza-tvam tamasaH yuktam /
   pṛthivyādīni pañca bhūtāni manaśca triguṇadravyapariṇativiśeṣatayā	pRTivI-AdIni paQca BUtAni manaH-ca triguNa-dravya-pariNati-viSeza-tayA
   śrutyādisiddhatvānna pṛthagdravyāṇi /	Sruti-Adi-sidDa-tvAt-na pRTak-dravyANi /
   tatra cāvayavyākhyaṃ bhautikadravyam "tadananyatvamārambhaṇaśabdādibhyaḥ"	tatra ca-avayavya-AKyam BOtika-dravyam "tad-ananya-tvam-AramBaNa-Sabda-AdiByaH"
   ityādibhiḥ ṣaḍbhiḥ sūtrairbuddhiśabdāntarāderanyathāsiddhyādyupapādanena	ityAdiBiH zaxBiH sUtrEH-budDi-Sabda-antara-AdeH-anyaTA-sidDi-Adi-upapAdanena
   nirastam /	nirastam /
   "mahaddīrghavadvā hvasvaparimaṇḍalābhyām" ityādibhiśca parāmabhimataḥ	"mahat-dIrGa-vat-vA hva-sva-parimaNxalAByAm" ityAdiBiH-ca parAm-aBimataH
   paramāṇuḥ /	paramANuH /
   ataḥ pariṇāmaviśeṣādupalambhayogyatvāyogyatvādidaśāviśeṣayogi	atas pariNAma-viSezAt-upalamBa-yogya-tva-ayogya-tva-Adi-daSA-viSeza-yogi
   prakṛtyādisaṃjñaṃ dravyaṃ	prakRti-Adi-saMjQam dravyam
   vicitravyavasthitakramasamaṣṭivyaṣṭirūpamavatiṣṭhate /	vicitra-vyavasTita-krama-samazwi-vyazwi-rUpam-avatizWate /
   diktattvamapi tattadupādhyavacchinnāstattaddeśaviśeṣā eva,	diS-tattvam-api tad-tad-upADi-avacCinnAH-tad-tad-deSa-viSezAH eva,
   atiriktakalpakānāṃ parāparapratyayaviśeṣādīnāmanyathāsiddheḥ /	atirikta-kalpakAnAm parApara-pratyaya-viSeza-AdInAm-anyaTA-sidDeH /
   digutpattiśrutiśca tadupādhikatannirvāhakasṛṣṭyopapannā; anyathā	diS-utpatti-SrutiH-ca tad-upADika-tad-nirvAhaka-sRzwyA-upapannA; anyaTA
   dyupṛthivyantarikṣādivat triguṇapariṇativiśeṣataiva syāt, na	dyu-pRTivI-antarikza-Adi-vat triguNa-pariNati-viSeza-tA-eva syAt, na
   pṛthagdravyatā /	pRTak-dravya-tA /
   na caivaṃ kālepi prasaṅgaḥ, nityasya kālasya bhagavatparāśarādibhiḥ	na ca-evam kAlepi prasaFgaH, nityasya kAlasya Bagavat-parASara-AdiBiH
   pṛthakprasaṃkhyānāt /	pRTak-prasaMKyAnAt /
   tasya prakṛtipariṇativiśeṣatvādipakṣāstatpūrvāparakālāvaśyaṃbhāvāt	tasya prakRti-pariNati-viSeza-tva-Adi-pakzAH-tad-pUrva-apara-kAla-avaSyaMBAvAt
   śrutyādibalācca pratyastāḥ /	Sruti-Adi-balAt-ca pratyastAH /
   atastriguṇakālāvātmāceti trīṇi siddhānir /	atas-triguNa-kAlO=-AtmAca-iti trINi sidDAniH /
   iśvarasya tu pṛthaksaṃkhyāne catvāri /	iSvarasya tu pRTak-saMKyAne catvAri /
   tasya hi cetanatvādibhiḥ saṃgrahasaṃbhavepyavāntaravailakṣaṇyajñāpanāya	tasya hi cetana-tva-AdiBiH saMgraha-saMBavepi-avAntara-vElakzaNya-jQApanAya
   pṛthaksaṃkhyānaṃ prācāmanādivācāṃ ca, anyathā prakriyāntareṇācetaneṣvapi	pRTak-saMKyAnam prAcAmanAdi-vAcAm ca, anyaTA prakriyA-antareNa-acetanezu-api
   saṃgrahaprasaṃgāt /	saMgraha-prasaMgAt /
   viviktaṃ ca bhagavatā parāśareṇa--- "paramātmātmanoryogaḥ paramārtha	viviktam ca BagavatA parASareNa-- "paramAtma-AtmanoH-yogaH parama-arTa
   itīṣyate /	iti-izyate /
   mithyaitadanyadravyaṃ hi naiti taddravyatāṃ yataḥ" //	miTyA-etat-anya-dravyam hi na-eti tat-dravya-tAm yataH" //
   iti /	iti /
   evaṃ dharmabhūtajñānākhyamapi dravyamajaḍatvāviśeṣepi	evam Darma-BUta-jQAna-AKyam-api dravyam-ajaxa-tva-aviSezepi
   spuṭataravaidharmyānatarabalāt pṛthaggaṇayanti /	spuwatara-vEDarmya-anatara-balAt pRTak-gaNayanti /
   tasyādravyatvavādaḥ	tasya-adravya-tva-vAdaH
   keṣāñcinnāthamuniyāmunamunibhāṣyakārādiprabandhavirodhāt prāyaḥ	kezAQcit-nATa-muni-yAmuna-muni-BAzya-kAra-Adi-prabanDa-viroDAt prAyas-
   paracittarañjanārthaḥ /	para-citta-raQjana-arTaH /
   śuddhasattvākhyasya ca dravyāntarasya	SudDa-sattva-AKyasya ca dravya-antarasya
   paravigrahādiyāthārthyopadeśapravṛttaniruktādyāptāgamasiddhatvāt	para-vigraha-Adi-yATa-arTya-upadeSa-pravRtta-nirukta-Adi-Apta-Agama-sidDa-tvAt
   sūkṣmatriguṇāvasthāviśeṣādipakṣā bahiṣkāryāḥ /	sUkzma-triguNa-avasTA-viSeza-Adi-pakzAH bahizkAryAH /
   ataḥ ṣaḍetāni dravyāṇi /	atas zaw-etAni dravyANi /
   bhoktṛbhogyaniyantṝṇāṃ sadātmanaikadravyatvādipakṣā api	BoktR-Bogya-niyantLNAm sat-A-AtmanA-eka-dravya-tva-Adi-pakzAH api
   nirviśeṣasanmātrapakṣavad vyāghātaśrutivirodhādibhirbahuśo bhāṣyādiṣu	nirviSeza-sanmAtra-pakza-vat vyAGAta-Sruti-viroDa-AdiBiH-bahuSas BAzya-Adizu
   nirastāḥ /	nirastAH /
   tatra triguṇaśuddhasattve svaniruktyaiva lakṣye /	tatra triguNa-SudDa-sattve sva-niruktyA-eva lakzye /
   kṣaṇalavādyātmā kālaḥ /	kzaNa-lava-Adi-AtmA kAlaH /
   aṇurjñātā jīvaḥ /	aNuH-jQAtAH jIvaH /
   vibhustvīśvaraḥ /	viBuH-tu-ISvaraH /
   jānātivyavahārāsādhāraṇakāraṇaṃ vyavahāryaviśeṣo matiḥ /	jAna-ati-vyavahArAsADAraNa-kAraNam vyavahArya-viSezaH matiH /
   evaṃ triguṇakālajīveśvaraśuddhasattvamatirūpeṇa ṣoḍhā dravyavibhāgaḥ /	evam triguNa-kAla-jIva-ISvara-SudDa-sattva-m-ati-rUpeNa zoXA dravya-viBAgaH /
   evaṃ pramāṇasārthaghaṇṭāpathena	evam pramANa-sArTa-GaNwA-paTena
   dravyādravyarūpaprameyagrāmamadhijigamiṣatāṃ na	dravya-adravya-rUpa-prameya-grAmam-aDijigamizatAm na
   kudṛṣṭibāhyakalpitakūṭayuktigartanipātaḥ, iti //	kudRzwi-bAhya-kalpita-kUwa-yukti-garta-nipAtaH, iti //
   iti śrīkavitārkikasiṃhasya sarvatantrasvatantrasya śrīmadveṅkaṭanāthasya	iti SrI-kavi-tArkika-siMhasya sarva-tantra-svatantrasya SrImat-veFkawa-nATasya
   vedāntācāryasya kṛtiṣu nyāyapariśuddhau prameyādhyāye prathamamāhnikam //	vedAnta-AcAryasya kRtizu nyAya-pariSudDO prameya-aDyAye praTamam-Ahnikam //
