   Stūpa-lakṣaṇa-kārikā-vivecanaṃ	StUpa-lakzaNa--kArikA--vivecanam
   vistāra iṣyate |	vistAraH izyate |
   Slkv §18 yathā hy uktaṃ mahāvastuni cakravartibhūtena mayā stūpo kṛto	Slku §18 yaTA hi uktam mahA-vastuni cakravarti-BUtena mayA stUpaH kRtaH-
   yojanoccatvena yojanam abhiniveśeneti | yatra hi yathā dhānyarāśyākṛteḥ	yojana-ucca-tvena yojanam aBiniveSena-iti | yatra hi yaTA DAnya-rASya-AkRteH
   kumbhasya yojanāni niveśya yojanābhiniveśo gamyate | tathā vedikāyā api tu	kumBasya yojanAni niveSya yojana-aBiniveSaH gamyate | taTA vedikAyAH api tu
   kumbhapariṇāha pramāṇena stūpa uccābhipretaḥ | adhovedyā vistāras tad	kumBapariNAha pramANena stUpaH ucca-aBipretaH | aDas-vedyAH vistAraH tat-
   vedikāyā hrasve kṛtaṃ | kathaṃ pramāṇātikramaḥ | bhūvastukalpanābalān	vedikAyAH hrasve kRtam | kaTam pramANa-atikramaH | BU-vastu-kalpanA-balAn
   nemyāṅgaṇapramāṇasya pramāṇe 'ntaḥkaraṇād anatikramaḥ kalaśākṛteḥ |	nemyA-aFgaNa-pramANasya pramANe antaHkaraNAt anatikramaH kalaSa-AkRteH |
   vedyunnāmasyālpatvāt nimarjanaṃm nākṣyaṃ |	vedyut-nAmasya-alpa-tvAt nimarjanaMm na-akzyam |
   Slkv §19 unnāmena tathā kuryād ity ādi | tad uktaṃ bhavati | harmikām	Slku §19 unnAmena taTA kuryAt iti Adi | tat uktam Bavati | harmikAm
   upādāya yo 'dhaś caturthabāhyakoṣṭhāṃśas tasya yo vibhāgaḥ prākkṛtas	upAdAya yaH aDas caturTa-bAhya-kozWa-aMSaH tasya yaH viBAgaH prAk-kRta-s
   tenaiva vibhāgenaikona tisro vedyaḥ jaṃghāvedikādyā ity āvyāhāryaṃ | na	tena-eva viBAgena-ekona tisraH vedyaH jaMGA-vedika-AdyAH iti AvyAhAryam | na
   nirgacchet yathā biṃbam ity ādi |	nirgacCet yaTA biMbam iti Adi |
   Slkv §20 udakogamanena kṛtāyāṃ nemyāṃ | alpayāṃ vātha vasatyāṃ nemitaḥ |	Slku §20 udakogamanena kRtAyAm nemyAm | alpayAm vA-aTa vasatyAm nemitaH |
   karaṇḍaṃ yathā nādhaḥ pratiset tathordhvāṃ vedīm unnatāṃ kuryāt | yato	karaNxam yaTA na-aDas pratiset taTA-UrDvAm vedIm unnatAm kuryAt | yatas-
   'dhaḥ praviṣṭo nādhāya kalpate || karaṇḍakehy udgatety ādi | prādhyānyena	aDas pravizwaH na-ADAya kalpate || karaNxaka-ihi udgata-iti Adi | prADya-anyena
   ūrdhvavartinyāś caturthyā jaṃghāvedyā hrāsonnāmakaraṇenaiva	UrDva-vartinyAH caturTyA jaMGA-vedyAH hrAsa-unnAma-karaNena-eva
   kumbhasyodgamam adhomarjanañ ca saṃpadyate |	kumBasya-udgamam aDas-marjanan ca saMpadyate |
   Slkv p. 219	Slku p. 219
   Slkv §21 vedītrayasya connāmahrāso yataḥ tasmān nām'; adhoṃgaṇe ca kumbhe	Slku §21 vedI-trayasya ca-unnAma-hrAsaH yatas tasmAt nAm-a; aDoMgaNe ca kumBe
   hrasvāt tato kuryād ity arthaḥ | yas tu paścād vakṣati | kumbhasyodgamanaṃ	hrasvAt tatas kuryAt iti arTaH | yaH tu paScAt vakzati | kumBasya-udgamanam
   tat kumbhasya dṛśyabhāgamātram apekṣati | yatas tatra paramārthato vedyā	tat kumBasya dRSya-BAga-mAtram apekzati | yatas tatra paramArTataH vedyA
   hrasyonnāmamātropalabhyate | na kumbhasyodgamanam adho nimarjanaṃ veti |	hrasya-unnAma-mAtra-upalaByate | na kumBasya-udgamanam aDas nimarjanam vA-iti |
   karaṇḍaś ca tatas tūrikām iti jaṃghāpuṭāvedyā upari dhānyarāśy ādi	karaNxaH ca tatas tUrikAm iti jaMGApuwa-AvedyAH upari DAnya-rASI Adi
   saṃsthāne na kumbhaṃ vartulaṃ kuryāt || yataḥ prakīrṇe uktaṃ |	saMsTAne na kumBam vartulam kuryAt || yatas prakIrNe uktam |
   Slkv §22 aṇḍakaṃ vaṭayitavyam iti | navadhā vibhajitety ādi	Slku §22 aNxakam vawayitavyam iti | navaDA viBajitA-iti Adi
   koṣṭhavibhāgakārikādvayaṃ sugamaṃ | bāhyakoṣṭhadvayonmānavedyāsanād udgato	kozWa-viBAga-kArikA-dvayam sugamam | bAhya-kozWa-dvaya-unmAna-vedya-AsanAt udgataH-
   vartulārdhapauṣṭiko dhānyarāśisaṃsthāno na tu tribhāgocchritaḥ |	vartula-arDa-pOzwikaH DAnya-rASi-saMsTAnaH na tu tri-BAga-ucCritaH |
   śivasthalatvād iti ||	Siva-sTala-tvAt iti ||
   Slkv §23 tasyādho bāhyakoṣṭhasyety ādi | tasya vartulārdhāṃśyo yo	Slku §23 tasya-aDas bAhya-kozWasya-iti Adi | tasya vartula-arDa-aMSyaH yaH-
   bāhyakoṣṭho 'rdhamānena | ardhabāhyakoṣṭhonmānavedyāsanād yan samutthitaḥ	bAhya-kozWaH arDa-mAnena | arDa-bAhya-kozWa-unmAna-vedya-AsanAt yat samutTitaH
   | tatpātrākāraṃ śāntikām iti | tato pī di | tasmād api pātrasaṃsthānāt |	| tad-pAtra-AkAram SAntikAm iti | tatas pI di | tasmAt api pAtra-saMsTAnAt |
   tenaivāntaroktapramāṇena bāhyakoṣṭhakonmānavedyāsanād yan samutthitaṃ |	tena-eva-antara-ukta-pramANena bAhya-kozWaka-unmAna-vedyA-AsanAt yat samutTitam |
   tad unnatikaraṃ khag'; aṇḍāsaṃsthānam iti | sarvonmānasamaṃ somyam ity ādi	tat unnati-karam Kag-a; aNxAsaMsTAnam iti | sarva-unmAna-samam somyam iti Adi
   | abhiniveśamātraṃ apāsya yaḥ satvabhāvena īṣan	| aBiniveSa-mAtram apAsya yaH satva-BAvena Izan
   samādhikabāhyakoṣṭhakordhvonmānāvedyāsanān samutthitaṃ | tadā	sama-aDika-bAhya-kozWaka-UrDva-unmAna-Avedya-AsanAn samutTitam | tadA
   puṣpakaraṇḍeṣu na kartavyetyādi |	puzpa-karaNxezu na kartavyA-ityAdi |
   Slkv §24 na kevalaṃ bodhisatvānāṃ pratimā kumbhena kāryā kāṃcaneti	Slku §24 na kevalam boDisatvAnAm pratimA kumBena kAryA kAMcana-iti
   buddhapratimā api | yataḥ prakīrṇake uktaṃ | lakṣam iti pratimālaṃkārair	budDa-pratimAH api | yatas prakIrNake uktam | lakzam iti pratimA-alaMkArEH-
   hi stūpam alaṃkartum iti | yatra hi pratimālaṃkārasyāpi pratiṣedhas tatra	hi stUpam alaMkartum iti | yatra hi pratimA-alaMkArasya-api pratizeDaH tatra
   kathaṃ pratimāyā syāt | svayaṃ bhagavatā stūpapradakṣiṇī karuṇād iti ||	kaTam pratimAyA syAt | svayam BagavatA stUpa-pradakziNI karuNAt iti ||
   Slkv §25 tad ūrdhvaṃ bāhyakoṣṭhasyety ādi bāhyakoṣṭhasya	Slku §25 tat UrDvam bAhya-kozWasya-iti Adi bAhya-kozWasya
   bhāgatyāgonnāmataś caturthārdhaparityāgaḥ parigrahaḥ śeṣapādatrayasya cch	BAga-tyAga-unnAmataH caturTa-arDa-parityAgaH parigrahaH Seza-pAda-trayasya cC
   (?) id unnāmas Slkv p. 220 tasya ṣaṭ kṛtvā ardhāṃśaṃ kumbhāntaḥ praviṣṭam	(?) id unnAmaH Slku p. 220 tasya zaz kRtvA arDa-aMSam kumBa-antaH pravizwam
   āṃśadvayaṃ kaṇṭhakaṃ |	AMSa-dvayam kaNWakam |
   Slkv §26 ekam āṃśakaṃ kaṇṭhikāvalitakāṃ harmikā yathākramaṃ |	Slku §26 ekam AMSakam kaNWikA-AvalitakAm harmikA yaTAkramam |
   ekādaśabhāgavṛdhyā ardhāṃśavistārato vā | bāhyakoṣṭhavistārā harmikā	ekAdaSa-BAga-vRDyAH arDa-aMSavistArataH vA | bAhya-kozWa-vistArA harmikA
   tasyādhaḥ svonmānena samantataḥ kaṇṭhakaṃ || kṣīṇāṃ kuryāt | yathā	tasya-aDas sva-unmAnena samantataH kaNWakam || kzINAm kuryAt | yaTA
   śobhānurūpato vā anyathā kalpayed iti | se sākārikā sugamā |	SoBA-anurUpataH vA anyaTA kalpayet iti | se sAkArikA sugamAH |
   Slkv §27 pañcaviṃśatikoṣṭham ity ādi | pañcaviṃśatikoṣṭhavibhāgena yaṣṭer	Slku §27 paQcaviMSati-kozWam iti Adi | paQcaviMSati-kozWa-viBAgena yazweH-
   mūlamadhyaśirasā parigrahaṃ sugamo harmikāyā ūrdhvaṃ catuṣṭha pi	mUla-maDya-SirasA parigraham sugamaH harmikAyAH UrDvam catuzWa pi
   kumbhasaṃsthāneṣu bāhyakoṣṭhadvayonmāno 'dhas va yāvat |	kumBa-saMsTAnezu bAhya-kozWa-dvaya-unmAnaH aDas va yAvat |
   hṛdayakoṣṭhapraveśo stūpaḥ | kalaśādisaṃsthāneṣu yathākrameṇa	hRdaya-kozWa-praveSaH stUpaH | kalaSa-Adi-saMsTAnezu yaTAkrameNa
   hṛdayakoṣṭhodgamāt | yathā yaṣṭer āyāmakṣayāṃ vā pariṇāhakṣayo vāpy	hRdaya-kozWa-udgamAt | yaTA yazweH AyAma-kzayAm vA pariNAha-kzayaH vA-api-
   avagantavyam ity evaṃ yāvat |	avagantavyam iti evam yAvat |
   Slkv §28 stūpalakṣaṇaṃ pramāṇaṃ saṃsthānatas sunirdiṣṭam | yathā śobhata	Slku §28 stu-upalakzaNam pramANam saMsTAnatas su-nirdizwam | yaTA SoBata
   athoktalakṣaṇapramāṇānatikrameṇa saṃsthānataḥ prastākumbhākrāntyā ||	aTa-ukta-lakzaNa-pramANa-anatikrameNa saMsTAnataH prastA-kumBa-AkrAntyA ||
   rajatamaṇikanakaśilādārumūrtikṛd iti | surabhipradeśe praśastāmanohare |	rajata-maNi-kanaka-SilA-dAru-mUrti-kRt iti | suraBi-pradeSe praSastA-manohare |
   svahastena vā karmahastena vā | tathā svabuddhyā vikalpa kāryaṃ | yataḥ	sva-hastena vA karma-hastena vA | taTA sva-budDyA vikalpa kAryam | yatas-
   proktaṃ yathā syā śobhano bhavet | tathā kuryād iti | āgamesmin iti |	proktam yaTA syA SoBanaH Bavet | taTA kuryAt iti | Agamesmin iti |
   stūpalakṣaṇaśāstrasya vastumātropadarśanāt | yan mayoparjitaṃ puṇyaṃ	stu-upalakzaNa-SAstrasya vastu-mAtra-upadarSanAt | yat mayA-uparjitam puNyam
   tenāstu stūpas tu sugato jana iti ||	tena-astu stUpaH tu sugataH janaH iti ||
   stūpalakṣaṇakārikāyāṃ vivecanaṃ samāptaṃ || ||	stUpalakzaNa-kArikAyAm vivecanam samAptam || ||
   after this follows the Newārī note of a Nepalese librarian.	afteH TiH fa-ullowH Te NewArI note of a Nepa-lese librarian.
   Slkv §29 śrī syaṃguyāyita siyā jetanaku 35 aṃgu liḍā 5 yavanhasa 7	Slku §29 SrI syaMguyAyita siyA jetanaku 35 aMgu lixA 5 yavan-hasa 7
   saaṃkanaghāva || ghātasaku 9 ku 5 ghalasaku 3 umaḍe thaṃthu ucaku 18 aṃ 5	saaMkanaGAvaH || GAta-saku 9 ku 5 Galasaku 3 umaxe TaMTu ucaku 18 am 5
   yavanhana pramāneti madhyamādi kramena ||	yavan-hana pramAna-iti maDyamAdi kramena ||
   On the top drawsheet, there are the following lines:	On Te top drawsheet, Tere are Te fa-ullowini lines:
   1 x x x x x pralase tīsijya pu manasīyā tachosathu se kho thu teya	1 x x x x x pralase tIsijya pu manasIyA taCosaTu se KaH Tu teya
   u(?)paritā na nesaṃ	u(?)-paritA na nesaM
   2 ālayana || etad dharma x x x chela x x x x x || tad anantara draṃma	2 AlayanaH || etat DarmaH x x x Cela x x x x x || tat anantara draMma
   (dharmma) likya	(Darmma) likya
   buna āleyana ||	bunaH AleyanaH ||
   stupalakṣaṇakārikāyāṃ vivecanaṃ vudja (?)	stupalakzaNa-kArikAyAm vivecanam vudja (?)
   2 saṃvat	2 saMvat
