   LiP, 1, 1	Li P, 1, 1
   arūpāya surūpāya viśvarūpāya te namaḥ /	arUpAya surUpAya viSvarUpAya te namaH /
   kaṭaṅkaṭāya rudrāya svāhākārāya vai namaḥ // LiP_1,32.2 //	kawaFkawAya rudrAya svAhAkArAya vE namaH // LiS _1,32.2 //
   sarvapraṇatadehāya svayaṃ ca praṇatātmane /	sarva praNata dehAya svayam ca praNata Atmane /
   nityaṃ nīlaśikhaṇḍāya śrīkaṇṭhāya namonamaḥ // LiP_1,32.3 //	nityam nIlaSiKaNxAya SrIkaNWAya namaH namaH // LiS _1,32.3 //
   nīlakaṇṭhāya devāya citābhasmāṅgadhāriṇe /	nIlakaNWAya devAya citA Basma aFga DAriNe /
   tvaṃ brahmā sarvadevānāṃ rudrāṇāṃ nīlalohitaḥ // LiP_1,32.4 //	tvam brahmA sarva devAnAm rudrANAm nIlalohitaH // LiS _1,32.4 //
   ātmā ca sarvabhūtānāṃ sāṃkhyaiḥ puruṣa ucyate /	AtmA ca sarva BUtAnAm sAMKyEH puruzaH ucyate /
   parvatānāṃ mahāmerur nakṣatrāṇāṃ ca candramāḥ // LiP_1,32.5 //	parvatAnAm mahA meruH nakzatrANAm ca candramAH // LiS _1,32.5 //
   ṛṣīṇāṃ ca vasiṣṭhas tvaṃ devānāṃ vāsavas tathā /	RzINAm ca vasizWaH tvam devAnAm vAsavaH taTA /
   oṅkāraḥ sarvavedānāṃ śreṣṭhaṃ sāma ca sāmasu // LiP_1,32.6 //	oFkAraH sarva vedAnAm SrezWam sAma ca sAmasu // LiS _1,32.6 //
   āraṇyānāṃ paśūnāṃ ca siṃhastvaṃ parameśvaraḥ /	AraNyAnAm paSUnAm ca siMhaH tvam parameSvaraH /
   grāmyāṇāmṛṣabhaścāsi bhagavāṃllokapūjitaḥ // LiP_1,32.7 //	grAmyANAm RzaBaH ca asi BagavAn= loka pUjitaH // LiS _1,32.7 //
   sarvathā vartamāno 'pi yo yo bhāvo bhaviṣyati /	sarvaTA vartamAnaH api yaH yaH BAvaH Bavizyati /
   tvāmeva tatra paśyāmo brahmaṇā kathitaṃ tathā // LiP_1,32.8 //	tvAm eva tatra paSyAmaH brahmaNA kaTitam taTA // LiS _1,32.8 //
   kāmaḥ krodhaś ca lobhaś ca viṣādo mada eva ca /	kAmaH kroDaH ca loBaH ca vizAdaH madaH eva ca /
   etad icchāmahe boddhuṃ prasīda parameśvara // LiP_1,32.9 //	etat icCAmahe bodDum prasIda parameSvaraH // LiS _1,32.9 //
   mahāsaṃharaṇe prāpte tvayā deva kṛtātmanā /	mahA saMharaNe prApte tvayA deva kRtAtmanA /
   karaṃ lalāṭe saṃvidhya vahnirutpāditastvayā // LiP_1,32.10 //	karam lalAwe saMviDya vahniH utpAditaH tvayA // LiS _1,32.10 //
   tenāgninā tadā lokā arcirbhiḥ sarvato vṛtāḥ /	tena agninA tadA lokAH arcirBiH sarvatas vRtAH /
   tasmādagnisamā hyete bahavo vikṛtāgnayaḥ // LiP_1,32.11 //	tasmAt agni samAH hi ete bahavaH vikRta agnayaH // LiS _1,32.11 //
   kāmaḥ krodhaś ca lobhaś ca moho dambha upadravaḥ /	kAmaH kroDaH ca loBaH ca mohaH damBaH upadravaH /
   yāni cānyāni bhūtāni sthāvarāṇi carāṇi ca // LiP_1,32.12 //	yAni ca anyAni BUtAni sTAvarANi carANi ca // LiS _1,32.12 //
   dahyante prāṇinaste tu tvatsamutthena vahninā /	dahyante prANinaH te tu tvad samutTena vahninA /
   asmākaṃ dahyamānānāṃ trātā bhava sureśvara // LiP_1,32.13 //	asmAkam dahyamAnAnAm trAtA Bava sureSvara // LiS _1,32.13 //
   tvaṃ ca lokahitārthāya bhūtāni pariṣiñcasi /	tvam ca loka hita arTAya BUtAni pariziQcasi /
   maheśvara mahābhāga prabho śubhanirīkṣaka // LiP_1,32.14 //	maheSvara mahABAga praBo SuBa nirIkzakaH // LiS _1,32.14 //
   ājñāpaya vayaṃ nātha kartāro vacanaṃ tava /	AjQApaya vayam nATa kartAraH vacanam tava /
   bhūtakoṭisahasreṣu rūpakoṭiśateṣu ca // LiP_1,32.15 //	BUta kowi sahasrezu rUpa kowi Satezu ca // LiS _1,32.15 //
   antaṃ gantuṃ na śaktāḥ sma devadeva namo 'stu te // LiP_1,32.16 //	antam gantum na SaktAH sma devadeva namaH astu te // LiS _1,32.16 //
   iti śrīliṅgamahāpurāṇe pūrvabhāge dvātriṃśo 'dhyāyaḥ	iti SrI liFga mahApurANe pUrva BAge dvAtriMSaH aDyAyaH
   LiP, 1, 33	Li P, 1, 33
   nandyuvāca	nandI uvAca
   tatastutoṣa bhagavān anugṛhya maheśvaraḥ /	tatas tutoza BagavAn anugRhya maheSvaraH /
   stutiṃ śrutvā stutasteṣām idaṃ vacanamabravīt // LiP_1,33.1 //	stutim SrutvA stutaH tezAm idam vacanam abravIt // LiS _1,33.1 //
   yaḥ paṭhecchṛṇuyādvāpi yuṣmābhiḥ kīrtitaṃ stavam /	yaH paWet SRNuyAt vA api yuzmABiH kIrtitam stavam /
   śrāvayedvā dvijānvipro gāṇapatyamavāpnuyāt // LiP_1,33.2 //	SrAvayet vA dvijAn vipraH gANapatyam avApnuyAt // LiS _1,33.2 //
   vakṣyāmi vo hitaṃ puṇyaṃ bhaktānāṃ munipuṅgavāḥ /	vakzyAmi vaH hitam puNyam BaktAnAm muni puFgavAH /
   <advantages of the Pāśupata behaviour>	<advanta geH of Te PASupata beha viouH >
   strīliṅgamakhilaṃ devī prakṛtirmama dehajā // LiP_1,33.3 //	strI liFgam aKilam devI prakRtiH mama deha jAH // LiS _1,33.3 //
   puṃlliṅgaṃ puruṣo viprā mama dehasamudbhavaḥ /	punlliFgam puruzaH viprAH mama deha samudBavaH /
   ubhābhyāmeva vai sṛṣṭir mama viprā na saṃśayaḥ // LiP_1,33.4 //	uBAByAm eva vE sRzwiH mama viprAH na saMSayaH // LiS _1,33.4 //
   na nindedyatinaṃ tasmād digvāsasamanuttamam /	na nindet yatinam tasmAt digvAsasam anuttamam /
   bālonmattaviceṣṭaṃ tu matparaṃ brahmavādinam // LiP_1,33.5 //	bAla unmatta vicezwam tu mad param brahma vAdinam // LiS _1,33.5 //
   ye hi māṃ bhasmaniratā bhasmanā dagdhakilbiṣāḥ /	ye hi mAm Basma niratAH BasmanA dagDa kilbizAH /
   yathoktakāriṇo dāntā viprā dhyānaparāyaṇāḥ // LiP_1,33.6 //	yaTA ukta kAriNaH dAntAH viprAH DyAna parAyaNAH // LiS _1,33.6 //
   mahādevaparā nityaṃ caranto hyūrdhvaretasaḥ /	mahAdeva parAH nityam carantaH hi UrDvaretasaH /
   arcayanti mahādevaṃ vāṅmanaḥkāyasaṃyatāḥ // LiP_1,33.7 //	arcayanti mahAdevam vAc manaH kAya saMyatAH // LiS _1,33.7 //
   rudralokamanuprāpya na nivartanti te punaḥ /	rudra lokam anuprApya na nivartanti te punar /
   tasmādetadvrataṃ divyam avyaktaṃ vyaktaliṅginaḥ // LiP_1,33.8 //	tasmAt etat vratam divyam avyaktam vyakta liFginaH // LiS _1,33.8 //
   bhasmavratāś ca muṇḍāś ca vratino viśvarūpiṇaḥ /	Basma vratAH ca muNxAH ca vratinaH viSva rUpiNaH /
   na tānparivadedvidvān na caitānnābhilaṅghayet // LiP_1,33.9 //	na tAn parivadet vidvAn na ca etAn na aBilaFGayet // LiS _1,33.9 //
   na hasennāpriyaṃ brūyād amutreha hitārthavān /	na haset na apriyam brUyAt amutra iha hita arTavAn /
   yastānnindati mūḍhātmā mahādevaṃ sa nindati // LiP_1,33.10 //	yaH tAn nindati mUXa AtmA mahAdevam sa nindati // LiS _1,33.10 //
   yas tvetān pūjayen nityaṃ sa pūjayati śaṅkaram /	yaH tu etAn pUjayet nityam sa pUjayati SaFkaram /
   evameṣa mahādevo lokānāṃ hitakāmyayā // LiP_1,33.11 //	evam eza mahAdevaH lokAnAm hita kAmyayA // LiS _1,33.11 //
   yuge yuge mahāyogī krīḍate bhasmaguṇṭhitaḥ /	yuge yuge mahA yogI krIxate Basma guNWitaH /
   evaṃ carata bhadraṃ vas tataḥ siddhimavāpsyatha // LiP_1,33.12 //	evam carata Badram vaH tatas sidDim avApsyaTa // LiS _1,33.12 //
   atulamiha mahābhayapraṇāśahetuṃ śivakathitaṃ paramaṃ padaṃ viditvā /	atulam iha mahA Baya praNASa hetum Siva kaTitam paramam padam viditvA /
   vyapagatabhavalobhamohacittāḥ praṇipatitāḥ sahasā śirobhir ugram //	vyapagata Bava loBa moha cittAH praNipatitAH sahasA SiroBiH ugram //
   LiP_1,33.13 //	LiS _1,33.13 //
   tataḥ pramuditā viprāḥ śrutvaivaṃ kathitaṃ tadā /	tatas pramuditAH viprAH SrutvA evam kaTitam tadA /
   gandhodakaiḥ suśuddhaiś ca kuśapuṣpavimiśritaiḥ // LiP_1,33.14 //	ganDa udakEH su SudDEH ca kuSa puzpa vimiSritEH // LiS _1,33.14 //
   snāpayanti mahākumbhair adbhir eva maheśvaram /	snApayanti mahA kumBEH adBiH eva maheSvaram /
   gāyanti vividhairguhyair huṃkāraiścāpi susvaraiḥ // LiP_1,33.15 //	gAyanti viviDEH guhyEH huMkArEH ca api su svarEH // LiS _1,33.15 //
   namo devādhidevāya mahādevāya vai namaḥ /	namaH deva aDidevAya mahAdevAya vE namaH /
   ardhanārīśarīrāya sāṃkhyayogapravartine // LiP_1,33.16 //	arDa nArI SarIrAya sAMKya yoga pravartine // LiS _1,33.16 //
   meghavāhanakṛṣṇāya gajacarmanivāsine /	meGavAhana kRzNAya gaja carma nivAsine /
   kṛṣṇājinottarīyāya vyālayajñopavītine // LiP_1,33.17 //	kRzNa ajina uttarIyAya vyAla yajQa upavItine // LiS _1,33.17 //
   suracitasuvicitrakuṇḍalāya suracitamālyavibhūṣaṇāya tubhyam /	su racita su vicitra kuNxalAya su racita mAlya viBUzaNAya tuByam /
   mṛgapativaracarmavāsase ca prathitayaśase namo 'stu śaṅkarāya //	mRgapati vara carma vAsase ca praTita yaSase namaH astu SaFkarAya //
   LiP_1,33.18 //	LiS _1,33.18 //
   tatas tān sa munīn prītaḥ pratyuvāca maheśvaraḥ /	tatas tAn sa munIn prItaH pratyuvAca maheSvaraH /
   prīto 'smi tapasā yuṣmān varaṃ vṛṇuta suvratāḥ // LiP_1,33.19 //	prItaH asmi tapasA yuzmAn varam vRNuta suvratAH // LiS _1,33.19 //
   tataste munayaḥ sarve praṇipatya maheśvaram /	tatas te munayaH sarve praNipatya maheSvaram /
   bhṛgvaṅgirā vasiṣṭhaś ca viśvāmitrastathaiva ca // LiP_1,33.20 //	BRgu aFgirAH vasizWaH ca viSvAmitraH taTA eva ca // LiS _1,33.20 //
   gautamo 'triḥ sukeśaś ca pulastyaḥ pulahaḥ kratuḥ /	gOtamaH atriH sukeSaH ca pulastyaH pulahaH kratuH /
   marīciḥ kaśyapaḥ kaṇvaḥ saṃvartaś ca mahātapāḥ // LiP_1,33.21 //	marIciH kaSyapaH kaNvaH saMvartaH ca mahA tapAH // LiS _1,33.21 //
   te praṇamya mahādevam idaṃ vacanamabruvan /	te praNamya mahAdevam idam vacanam abruvan /
   bhasmasnānaṃ ca nagnatvaṃ vāmatvaṃ pratilomatā // LiP_1,33.22 //	Basma snAnam ca nagna tvam vAma tvam pratiloma tA // LiS _1,33.22 //
   sevyāsevyatvamevaṃ ca hy etadicchāma veditum /	sevya Asevya tvam evam ca hi etat icCAma veditum /
   tatasteṣāṃ vacaḥ śrutvā bhagavānparameśvaraḥ // LiP_1,33.23 //	tatas tezAm vacaH SrutvA BagavAn parameSvaraH // LiS _1,33.23 //
   sasmitaṃ prāha samprekṣya sarvānmunivarāṃstadā // LiP_1,33.24 //	sa smitam prAha samprekzya sarvAn muni varAn= tadA // LiS _1,33.24 //
   iti śrīliṅgamahāpurāṇe pūrvabhāge ṛṣivākyaṃ nāma trayastriṃśo 'dhyāyaḥ	iti SrI liFga mahApurANe pUrva BAge RzivAkyam nAma trayastriMSaH aDyAyaH
   LiP, 1, 34	Li P, 1, 34
   śrībhagavānuvāca	SrI BagavAn uvAca
   etadvaḥ sampravakṣyāmi kathā sarvasvamadya vai /	etat vaH sampravakzyAmi kaTA sarva svam adya vE /
   agnirhyahaṃ somakartā somaścāgnimupāśritaḥ // LiP_1,34.1 //	agniH hi aham soma kartA somaH ca agnim upASritaH // LiS _1,34.1 //
   kṛtametadvahatyagnir bhūyo lokasamāśrayāt /	kRtam etat vahati agniH BUyas loka samASrayAt /
   asakṛttvagninā dagdhaṃ jagat sthāvarajaṅgamam // LiP_1,34.2 //	asakRt tu agninA dagDam jagat sTAvara jaFgamam // LiS _1,34.2 //
   bhasmasādvihitaṃ sarvaṃ pavitramidamuttamam /	BasmasAt vihitam sarvam pavitram idam uttamam /
   bhasmanā vīryamāsthāya bhūtāni pariṣiñcati // LiP_1,34.3 //	BasmanA vIryam AsTAya BUtAni pariziQcati // LiS _1,34.3 //
   agnikāryaṃ ca yaḥ kṛtvā kariṣyati triyāyuṣam /	agni kAryam ca yaH kRtvA karizyati triyAyuzam /
   bhasmanā mama vīryeṇa mucyate sarvakilbiṣaiḥ // LiP_1,34.4 //	BasmanA mama vIryeNa mucyate sarva kilbizEH // LiS _1,34.4 //
   bhāsata ityeva yadbhasma śubhaṃ bhāvayate ca yat /	BAsate iti eva yat Basma SuBam BAvayate ca yat /
   bhakṣaṇāt sarvapāpānāṃ bhasmeti parikīrtitam // LiP_1,34.5 //	BakzaNAt sarva pApAnAm Basma iti parikIrtitam // LiS _1,34.5 //
   ūṣmapāḥ pitaro jñeyā devā vai somasaṃbhavāḥ /	UzmapAH pitaraH jQeyAH devAH vE soma saMBavAH /
   agnīṣomātmakaṃ sarvaṃ jagatsthāvarajaṅgamam // LiP_1,34.6 //	agnIzoma Atmakam sarvam jagat sTAvara jaFgamam // LiS _1,34.6 //
   ahamagnirmahātejāḥ somaścaiṣā mahāṃbikā /	aham agniH mahA tejAH somaH ca ezA mahA aMbikA /
   ahamagniś ca somaś ca prakṛtyā puruṣaḥ svayam // LiP_1,34.7 //	aham agniH ca somaH ca prakRtyA puruzaH svayam // LiS _1,34.7 //
   tasmādbhasma mahābhāgā madvīryamiti cocyate /	tasmAt Basma mahABAgA mad vIryam iti ca ucyate /
   svavīryaṃ vapuṣā caiva dhārayāmīti vai sthitiḥ // LiP_1,34.8 //	sva vIryam vapuzA ca eva DArayAmi iti vE sTitiH // LiS _1,34.8 //
   tadāprabhṛti lokeṣu rakṣārthamaśubheṣu ca /	tadA praBRti lokezu rakzA arTam aSuBezu ca /
   bhasmanā kriyate rakṣā sūtikānāṃ gṛheṣu ca // LiP_1,34.9 //	BasmanA kriyate rakzA sUtikAnAm gRhezu ca // LiS _1,34.9 //
   bhasmasnānaviśuddhātmā jitakrodho jitendriyaḥ /	Basma snAna viSudDa AtmA jita kroDaH jita indriyaH /
   matsamīpaṃ samāgamya na bhūyo vinivartate // LiP_1,34.10 //	mad samIpam samAgamya na BUyas vinivartate // LiS _1,34.10 //
   vrataṃ pāśupataṃ yogaṃ kāpilaṃ caiva nirmitam /	vratam pASupatam yogam kApilam ca eva nirmitam /
   pūrvaṃ pāśupataṃ hyetan nirmitaṃ tadanuttamam // LiP_1,34.11 //	pUrvam pASupatam hi etat nirmitam tat anuttamam // LiS _1,34.11 //
   śeṣāścāśramiṇaḥ sarve paścātsṛṣṭāḥ svayaṃbhuvā /	SezAH ca ASramiNaH sarve paScAt sRzwAH svayaMBuvA /
   sṛṣṭireṣā mayā sṛṣṭā lajjāmohabhayātmikā // LiP_1,34.12 //	sRzwiH ezA mayA sRzwA lajjA moha Baya AtmikA // LiS _1,34.12 //
   nagnā eva hi jāyante devatā munayas tathā /	nagnAH eva hi jAyante devatAH munayaH taTA /
   ye cānye mānavā loke sarve jāyantyavāsasaḥ // LiP_1,34.13 //	ye ca anye mAnavAH loke sarve jAyanti avAsasaH // LiS _1,34.13 //
   indriyairajitairnagno dukūlenāpi saṃvṛtaḥ /	indriyEH ajitEH nagnaH dukUlena api saMvRtaH /
   taireva saṃvṛtairgupto na vastraṃ kāraṇaṃ smṛtam // LiP_1,34.14 //	tEH eva saMvRtEH guptaH na vastram kAraNam smRtam // LiS _1,34.14 //
   kṣamā dhṛtirahiṃsā ca vairāgyaṃ caiva sarvaśaḥ /	kzamA DRtiH ahiMsA ca vErAgyam ca eva sarvaSas /
   tulyau mānāvamānau ca tadāvaraṇamuttamam // LiP_1,34.15 //	tulyO mAna avamAnO ca tad AvaraNam uttamam // LiS _1,34.15 //
   bhasmasnānena digdhāṅgo dhyāyate manasā bhavam /	Basma snAnena digDa aFgaH DyAyate manasA Bavam /
   yadyakāryasahasrāṇi kṛtvā yaḥ snāti bhasmanā // LiP_1,34.16 //	yadi akArya sahasrANi kRtvA yaH snAti BasmanA // LiS _1,34.16 //
   tatsarvaṃ dahate bhasma yathāgnistejasā vanam /	tat sarvam dahate Basma yaTA agniH tejasA vanam /
   tasmād yatnaparo bhūtvā trikālamapi yaḥ sadā // LiP_1,34.17 //	tasmAt yatna paraH BUtvA tri kAlam api yaH sadA // LiS _1,34.17 //
   bhasmanā kurute snānaṃ gāṇapatyaṃ sa gacchati /	BasmanA kurute snAnam gANapatyam sa gacCati /
   samāhṛtya kratūn sarvān gṛhītvā vratamuttamam // LiP_1,34.18 //	samAhRtya kratUn sarvAn gRhItvA vratam uttamam // LiS _1,34.18 //
   dhyāyanti ye mahādevaṃ līlāsadbhāvabhāvitāḥ /	DyAyanti ye mahAdevam lIlA asadBAva BAvitAH /
   uttareṇāryapanthānaṃ te 'mṛtatvamavāpnuyuḥ // LiP_1,34.19 //	uttareNa Arya panTAnam te amRta tvam avApnuyuH // LiS _1,34.19 //
   dakṣiṇena ca panthānaṃ ye śmaśānāni bhejire /	dakziNena ca panTAnam ye SmaSAnAni Bejire /
   aṇimā garimā caiva laghimā prāptireva ca // LiP_1,34.20 //	aNimA garimA ca eva laGimA prAptiH eva ca // LiS _1,34.20 //
   icchā kāmāvasāyitvaṃ tathā prākāmyameva ca /	icCA kAmAvasAyi tvam taTA prAkAmyam eva ca /
   īkṣaṇena ca panthānaṃ ye śmaśānāni bhejire /	IkzaNena ca panTAnam ye SmaSAnAni Bejire /
   aṇimā garimā caiva laghimā prāptireva ca // LiP_1,34.21 //	aNimA garimA ca eva laGimA prAptiH eva ca // LiS _1,34.21 //
   indrādayas tathā devāḥ kāmikavratamāsthitāḥ /	indra AdayaH taTA devAH kAmika vratam AsTitAH /
   aiśvaryaṃ paramaṃ prāpya sarve prathitatejasaḥ // LiP_1,34.22 //	ESvaryam paramam prApya sarve praTita tejasaH // LiS _1,34.22 //
   vyapagatamadamohamuktarāgas tamorajodoṣavivarjitasvabhāvaḥ /	vyapagata mada moha mukta rAgaH tamaH rajaH doza vivarjita svaBAvaH /
   paribhavamidamuttamaṃ viditvā paśupatiyogaparo bhavetsadaiva //	pariBavam idam uttamam viditvA paSupati yoga paraH Bavet sadA eva //
   LiP_1,34.23 //	LiS _1,34.23 //
   imaṃ pāśupataṃ dhyāyan sarvapāpapraṇāśanam /	imam pASupatam DyAyan sarva pApa praNASanam /
   yaḥ paṭhecca śucirbhūtvā śraddadhāno jitendriyaḥ // LiP_1,34.24 //	yaH paWet ca SuciH BUtvA SraddaDAnaH jita indriyaH // LiS _1,34.24 //
   sarvapāpaviśuddhātmā rudralokaṃ sa gacchati /	sarva pApa viSudDa AtmA rudra lokam sa gacCati /
   te sarve munayaḥ śrutvā vasiṣṭhādyā dvijottamāḥ // LiP_1,34.25 //	te sarve munayaH SrutvA vasizWa AdyAH dvijottamAH // LiS _1,34.25 //
   bhasmapāṇḍuradigdhāṅgā babhūvurvigataspṛhāḥ /	Basma pANxura digDa aFgAH baBUvuH vigata spRhAH /
   rudralokāya kalpānte saṃsthitāḥ śivatejasā // LiP_1,34.26 //	rudra lokAya kalpa ante saMsTitAH Siva tejasA // LiS _1,34.26 //
   tasmānna nindyāḥ pūjyāśca vikṛtā malinā api /	tasmAt na nindyAH pUjyAH ca vikRtAH malinAH api /
   rūpānvitāś ca viprendrāḥ sadā yogīndraśaṅkayā // LiP_1,34.27 //	rUpa anvitAH ca vipra indrAH sadA yogi indra SaFkayA // LiS _1,34.27 //
   bahunā kiṃ pralāpena bhavabhaktā dvijottamāḥ /	bahunA kim pralApena Bava BaktAH dvijottamAH /
   saṃpūjyāḥ sarvayatnena śivavannātra saṃśayaḥ // LiP_1,34.28 //	saMpUjyAH sarva yatnena Siva vat na atra saMSayaH // LiS _1,34.28 //
   malināścaiva viprendrā bhavabhaktā dṛḍhavratāḥ /	malinAH ca eva vipra indrAH Bava BaktAH dRXa vratAH /
   dadhīcastu yathā deva  devaṃ jitvā vyavasthitaḥ // LiP_1,34.29 //	daDIcaH tu yaTA deva devam jitvA vyavasTitaH // LiS _1,34.29 //
   nārāyaṇaṃ tathā loke rudrabhaktyā na saṃśayaḥ /	nArAyaNam taTA loke rudra BaktyA na saMSayaH /
   tasmātsarvaprayatnena bhasmadigdhatanūruhāḥ // LiP_1,34.30 //	tasmAt sarva prayatnena Basma digDa tanUruhAH // LiS _1,34.30 //
   jaṭino muṇḍinaścaiva nagnā nānāprakāriṇaḥ /	jawinaH muNxinaH ca eva nagnAH nAnA prakAriNaH /
   saṃpūjyāḥ śivavannityaṃ manasā karmaṇā girā // LiP_1,34.31 //	saMpUjyAH Siva vat nityam manasA karmaNA girA // LiS _1,34.31 //
   iti śrīliṅgamahāpurāṇe pūrvabhāge yogipraśaṃsā nāma catustriṃśo 'dhyāyaḥ	iti SrI liFga mahApurANe pUrva BAge yogipraSaMsA nAma catustriMSaH aDyAyaH
   LiP, 1, 35	Li P, 1, 35
   sanatkumāra uvāca	sanatkumAraH uvAca
   kathaṃ jaghāna rājānaṃ kṣupaṃ pādena suvrata /	kaTam jaGAna rAjAnam kzupam pAdena suvrata /
   dadhīcaḥ samare jitvā devadevaṃ janārdanam // LiP_1,35.1 //	daDIcaH samare jitvA devadevam janArdanam // LiS _1,35.1 //
   vajrāsthitvaṃ kathaṃ lebhe mahādevānmahātapāḥ /	vajra asTi tvam kaTam leBe mahAdevAt mahA tapAH /
   vaktumarhasi śailāde jito mṛtyustvayā yathā // LiP_1,35.2 //	vaktum arhasi SElAde jitaH mRtyuH tvayA yaTA // LiS _1,35.2 //
   śailādiruvāca	SElAdiH uvAca
   brahmaputro mahātejā rājā kṣupa iti smṛtaḥ /	brahma putraH mahA tejAH rAjA kzupaH iti smRtaH /
   abhūnmitro dadhīcasya munīndrasya janeśvaraḥ // LiP_1,35.3 //	aBUt mitraH daDIcasya muni indrasya janeSvaraH // LiS _1,35.3 //
   cirāttayoḥ prasaṃgādvai vādaḥ kṣupadadhīcayoḥ /	cirAt tayoH prasaMgAt vE vAdaH kzupat aDIcayoH /
   abhavat kṣatriyaśreṣṭho vipra eveti viśrutaḥ // LiP_1,35.4 //	aBavat kzatriya SrezWaH vipraH eva iti viSrutaH // LiS _1,35.4 //
   aṣṭānāṃ lokapālānāṃ vapurdhārayate nṛpaḥ /	azwAnAm lokapAlAnAm vapuH DArayate nRpaH /
   tasmādindro hyayaṃ vahnir yamaś ca nirṛtis tathā // LiP_1,35.5 //	tasmAt indraH hi ayam vahniH yamaH ca nirRtiH taTA // LiS _1,35.5 //
   varuṇaścaiva vāyuś ca somo dhanada eva ca /	varuNaH ca eva vAyuH ca somaH DanadaH eva ca /
   īśvaro 'haṃ na saṃdeho nāvamantavya eva ca // LiP_1,35.6 //	ISvaraH aham na saMdehaH na avamantavyaH eva ca // LiS _1,35.6 //
   mahatī devatā yā sā mahataścāpi suvrata /	mahatI devatA yA sA mahataH ca api suvrata /
   tasmāttvayā mahābhāga cyāvaneya sadā hyaham // LiP_1,35.7 //	tasmAt tvayA mahABAga cyAvaneya sadA hi aham // LiS _1,35.7 //
   nāvamantavya eveha pūjanīyaś ca sarvathā /	na avamantavyaH eva iha pUjanIyaH ca sarvaTA /
   śrutvā tathā mataṃ tasya kṣupasya munisattamaḥ // LiP_1,35.8 //	SrutvA taTA matam tasya kzupasya muni sattamaH // LiS _1,35.8 //
   dadhīcaś cyāvaniś cogro gauravādātmano dvijaḥ /	daDIcaH cyAvaniH ca ugraH gOravAt AtmanaH dvijaH /
   atāḍayatkṣupaṃ mūrdhni dadhīco vāmamuṣṭinā /	atAxayat kzupam mUrDni daDIcaH vAma muzwinA /
   cicheda vajreṇa ca taṃ dadhīcaṃ balavān kṣupaḥ // LiP_1,35.9 //	ciCeda vajreNa ca tam daDIcam balavAn kzupaH // LiS _1,35.9 //
   brahmaloke purāsau hi brahmaṇaḥ kṣutasaṃbhavaḥ /	brahma loke purA asO hi brahmaNaH kzuta saMBavaH /
   labdhaṃ vajraṃ ca kāryārthaṃ vajriṇā coditaḥ prabhuḥ // LiP_1,35.10 //	labDam vajram ca kArya arTam vajriNA coditaH praBuH // LiS _1,35.10 //
   svecchayaiva naro bhūtvā narapālo babhūva saḥ /	sva icCayA eva naraH BUtvA narapAlaH baBUva saH /
   tasmādrājā sa viprendram ajayadvai mahābalaḥ // LiP_1,35.11 //	tasmAt rAjA sa vipra indram ajayat vE mahA balaH // LiS _1,35.11 //
   yathā vajradharaḥ śrīmān balavāṃstamasānvitaḥ /	yaTA vajraDaraH SrImAn balavAn= tamasA anvitaH /
   papāta bhūmau nihato vajreṇa dvijapuṅgavaḥ // LiP_1,35.12 //	papAta BUmO nihataH vajreNa dvija puFgavaH // LiS _1,35.12 //
   sasmāra ca tadā tatra duḥkhādvai bhārgavaṃ munim /	sasmAra ca tadA tatra duHKAt vE BArgavam munim /
   śukro 'pi saṃdhayāmāsa tāḍitaṃ kuliśena tam // LiP_1,35.13 //	SukraH api saMDayAmAsa tAxitam kuliSena tam // LiS _1,35.13 //
   yogādetya dadhīcasya dehaṃ dehabhṛtāṃvaraḥ /	yogAt etya daDIcasya deham deha BRta aMvaraH /
   saṃdhāya pūrvavaddehaṃ dadhīcasyāha bhārgavaḥ // LiP_1,35.14 //	saMDAya pUrvavat deham daDIcasya Aha BArgavaH // LiS _1,35.14 //
   bho dadhīca mahābhāga devadevamumāpatim /	Bo daDIca mahABAga devadevam umApatim /
   sampūjya pūjyaṃ brahmādyair devadevaṃ nirañjanam // LiP_1,35.15 //	sampUjya pUjyam brahma AdyEH devadevam niraQjanam // LiS _1,35.15 //
   avadhyo bhava viprarṣe prasādāttryambakasya tu /	avaDyaH Bava vipra Rze prasAdAt tryambakasya tu /
   mṛtasaṃjīvanaṃ tasmāl labdhametanmayā dvija // LiP_1,35.16 //	mRtasaMjIvanam tasmAt labDam etat mayA dvija // LiS _1,35.16 //
   nāsti mṛtyubhayaṃ śaṃbhor bhaktānāmiha sarvataḥ /	na asti mRtyu Bayam SaMBoH BaktAnAm iha sarvatas /
   mṛtasaṃjīvanaṃ cāpi śaivamadya vadāmi te // LiP_1,35.17 //	mRtasaMjIvanam ca api SEvam adya vadAmi te // LiS _1,35.17 //
   triyaṃbakaṃ yajāmahe trailokyapitaraṃ prabhum /	triyaMbakam yajAmahe trElokya pitaram praBum /
   trimaṇḍalasya pitaraṃ triguṇasya maheśvaram // LiP_1,35.18 //	tri maNxalasya pitaram triguNasya maheSvaram // LiS _1,35.18 //
   tritattvasya trivahneś ca tridhābhūtasya sarvataḥ /	tri tattvasya tri vahneH ca triDA BUtasya sarvatas /
   trivedasya mahādevaṃ sugandhiṃ puṣṭivardhanam // LiP_1,35.19 //	tri vedasya mahAdevam suganDim puzwi varDanam // LiS _1,35.19 //
   sarvabhūteṣu sarvatra triguṇe prakṛtau tathā /	sarva BUtezu sarvatra triguNe prakRtO taTA /
