   Ratnāvalī / (NRa)	Ratna AvalI / (NRa)
   tadātisūkṣmo gambhīraḥ saddharmo 'yamanālayaḥ /	tadA ati sUkzmaH gamBIraH sadDarmaH ayam anAlayaH /
   apratyakṣaḥ kathaṃ citte sukhenāvatariṣyati // NRa_2.17 //	apratyakzaH kaTam citte suKena avatarizyati // NRaH _2.17 //
   saṃbudhyāsmānnivṛtto 'bhūddharmaṃ deśayituṃ muniḥ /	saMbuDya asmAn nivRttaH aBUt Darmam deSayitum muniH /
   durjñānamatigāmbhīryād jñātvā dharmamimaṃ janaiḥ // NRa_2.18 //	durjQAnam ati gAmBIryAt jQAtvA Darmam imam janEH // NRaH _2.18 //
   vināśayati durjñāto dharmo 'yamavipaścitam /	vinASayati durjQAtaH DarmaH ayam avipaScitam /
   nāstitādṛṣṭisamale yasmādasminnimajjati // NRa_2.19 //	na astita adRzwi samale yasmAt asmin nimajjati // NRaH _2.19 //
   aparo 'pyasya durjñānānmūrkhaḥ paṇḍitamānikaḥ /	aparaH api asya durjQAnAt mUrKaH paNxita mAnikaH /
   pratikṣepavinaṣṭātmā yātyavīcimadhomukhaḥ // NRa_2.20 //	pratikzepa vinazwa AtmA yAti avIcim aDomuKaH // NRaH _2.20 //
   durbhuktena yathānnena vināśamadhigacchati /	durBuktena yaTA annena vinASam aDigacCati /
   subhuktenāyurārogyaṃ balaṃ saukhyāni cāśnute // NRa_2.21 //	su Buktena AyuH Arogyam balam sOKyAni ca aSnute // NRaH _2.21 //
   durjñātena tathānena vināśamadhigacchati /	durjQAtena taTA anena vinASam aDigacCati /
   samyagjñātenātra suikhaṃ bodhiṃ cāpnotyanuttarām // NRa_2.22 //	samyak jQAtena atra suiKam boDim ca Apnoti anuttarAm // NRaH _2.22 //
   tasmādatra pratikṣepaṃ dṛṣṭiṃ tyaktvā ca nāstikīm /	tasmAt atra pratikzepam dRzwim tyaktvA ca nAstikIm /
   samyagjñānaparaṃ yatnaṃ kuru sarvārthasiddhaye // NRa_2.23 //	samyak jQAna param yatnam kuru sarva arTa sidDaye // NRaH _2.23 //
   dharmasyāsyāparijñānādahaṃkāro 'nuvartate /	Darmasya asya aparijQAnAt ahaMkAraH anuvartate /
   tataḥ śubhāśubhaṃ karma tato janma śubhāśubham // NRa_2.24 //	tatas SuBa aSuBam karma tatas janma SuBa aSuBam // NRaH _2.24 //
   (Vaidya 303)	(VEdyaH 303)
   tasmādyāvadavijñāto dharmo 'haṃkāraśātanaḥ /	tasmAt yAvat avijQAtaH DarmaH ahaMkAra SAtanaH /
   dānaśīlakṣamādharme tāvadādaravān bhava // NRa_2.25 //	dAna SIla kzamA Darme tAvat AdaravAn Bava // NRaH _2.25 //
   dharmapūrvāṇi kāryāṇi dharmamadhyāni pārthiva /	Darma pUrvANi kAryANi Darma maDyAni pArTiva /
   sādhayan dharmaniṣṭhāni neha nāmutra sīdati // NRa_2.26 //	sADayan Darma nizWAni na iha na amutra sIdati // NRaH _2.26 //
   dharmātkīrtiḥ sukhaṃ caiva neha bhīrna mumūrṣataḥ /	DarmAt kIrtiH suKam ca eva na iha BIH na mumUrzataH /
   paralokasukhaṃ sphītaṃ tasmāddharma sadā bhaja // NRa_2.27 //	para loka suKam sPItam tasmAt Darma sadA Baja // NRaH _2.27 //
   dharma eva parā nītirdharmālloko 'nurajyate /	DarmaH eva parA nItiH DarmAt lokaH anurajyate /
   rañjitena hi lokena neha nāmutra vañcyate // NRa_2.28 //	raQjitena hi lokena na iha na amutra vaQcyate // NRaH _2.28 //
   adharmeṇa tu yā nītistayā loko 'parajyate /	aDarmeNa tu yA nItiH tayA lokaH aparajyate /
   lokoparañjanāccaiva neha nāmutra nandati // NRa_2.29 //	loka uparaQjanAt ca eva na iha na amutra nandati // NRaH _2.29 //
   parātisaṃdhānaparā kaṣṭā durgatipaddhatiḥ /	para atisaMDAna parA kazwA durgati padDatiH /
   anarthavidyā duṣprajñairarthavidyā kathaṃ kṛtā // NRa_2.30 //	anarTa vidyA duzprajQEH arTa vidyA kaTam kRtA // NRaH _2.30 //
   parātisaṃdhānaparo nītimān kathamarthataḥ /	parAtisaMDAna paraH nItimAn kaTam arTataH /
   yena janmasahasrāṇi bahūnyātmaiva vañcyate // NRa_2.31 //	yena janma sahasrANi bahUni AtmA eva vaQcyate // NRaH _2.31 //
   riporapriyamanvicchan doṣāṃstyaktvā guṇān śraya /	ripoH apriyam anvicCan dozAn= tyaktvA guNAn SrayaH /
   svahitāvāptirevam tu ripoścāpyapriyaṃ bhavet // NRa_2.32 //	sva hita avAptiH evam tu ripoH ca api apriyam Bavet // NRaH _2.32 //
   dānena priyavadyena hitenaikārthacaryayā /	dAnena priya vat yena hitena eka arTa caryayA /
   ebhirācara lokasya dharmasyaiva ca saṃgraham // NRa_2.33 //	eBiH Acara lokasya Darmasya eva ca saMgraham // NRaH _2.33 //
   viśvāsaṃ janayatyekaṃ satyaṃ rājñāṃ yathā dṛḍham /	viSvAsam janayati ekam satyam rAjQAm yaTA dRXam /
   tathaivābhūtamapyeṣāmaviśvāsakaraṃ param // NRa_2.34 //	taTA eva aBUtam api ezAm aviSvAsa karam param // NRaH _2.34 //
   nāvisaṃvādavatsatyaṃ [sattve] udgatamarthataḥ /	na avisaMvAda vat satyam [sattve] udgatam arTataH /
   paraikāntahitaṃ satyamahitatvānmṛṣetarat // NRa_2.35 //	para ekAnta hitam satyam ahita tvAt mRzA itarat // NRaH _2.35 //
   doṣān pracchādayatyekastyāgo rājñāṃ yathojjvalaḥ /	dozAn pracCAdayati ekaH tyAgaH rAjQAm yaTA ujjvalaH /
   tathā kārpaṇyamapyeṣāṃ guṇasarvasvaghātakam // NRa_2.36 //	taTA kArpaNyam api ezAm guNa sarva sva GAtakam // NRaH _2.36 //
   upaśāntasya gāmbhīryaṃ gāmbhīryādgauravaṃ param /	upaSAntasya gAmBIryam gAmBIryAt gOravam param /
   gauravāddīptirājñā ca tasmādupaśamaṃ bhaja // NRa_2.37 //	gOravAt dIpti rAjQA ca tasmAt upaSamam Baja // NRaH _2.37 //
   ahāryabuddhiḥ prājñatvādaparapratyayaḥ sthiraḥ /	ahArya budDiH prAjQa tvAt apara pratyayaH sTiraH /
   nātisaṃdhīyate rājā tasmātprajñāparo bhava // NRa_2.38 //	na atisaMDIyate rAjA tasmAt prajQA paraH Bava // NRaH _2.38 //
   satyatyāgaśamaprajño caturbhadro narādhipaḥ /	satya tyAga Sama prajQaH caturBadraH narADipaH /
   dharmaścaturbhadra iva stūyate devamānuṣaiḥ // NRa_2.39 //	DarmaH caturBadraH iva stUyate deva mAnuzEH // NRaH _2.39 //
   nigṛhyavādibhiḥ suddhaiḥ prajñākāruṇyanirmalaiḥ /	nigRhya vAdiBiH sudDEH prajQA kAruNya nirmalEH /
   sahāsīnasya satataṃ prajñā dharmaśca vardhate // NRa_2.40 //	saha AsInasya satatam prajQA DarmaH ca varDate // NRaH _2.40 //
   (Vaidya 304)	(VEdyaH 304)
   durlabhāḥ pathyavaktāraḥ śrotārastvatidurlabhāḥ /	durlaBAH paTya vaktAraH SrotAraH tu ati durlaBAH /
   tebhyo 'tidurlabhatamā ye pathyasyāśukāriṇaḥ // NRa_2.41 //	teByaH ati durlaBatamAH ye paTyasya ASukAriNaH // NRaH _2.41 //
   pathyamapyapriyaṃ tasmājñātvā śīghraṃ samācara /	paTyam api apriyam tasma ajQAtvA SIGram samAcara /
   pibedauṣadhamapyugramārogyāyātmavāniva // NRa_2.42 //	pibet OzaDam api ugram ArogyAya AtmavAn iva // NRaH _2.42 //
   jīvitārogyarājyānāṃ cintayānityatāṃ sadā /	jIvita Arogya rAjyAnAm cintayA anitya tAm sadA /
   tataḥ saṃvegavān dharmamekāntena prayāsyase // NRa_2.43 //	tatas saMvegavAn Darmam ekAntena prayAsyase // NRaH _2.43 //
   avaśyaṃ maraṇaṃ paśyan pāpadduḥkhaṃ mṛtasya ca /	avaSyam maraNam paSyan pApat duHKam mRtasya ca /
   ehikena sukhenāpi na pāpaṃ kṣātumarhasi // NRa_2.44 //	ehikena suKena api na pApam kzAtum arhasi // NRaH _2.44 //
   kasmiṃścedabhyaṃ dṛṣṭaṃ bhayaṃ dṛṣṭaṃ kvacitkṣaṇe /	kasmiM= ced aByam dRzwam Bayam dRzwam kvacid kzaNe /
   yadyekasmin samāśvāsaḥ kimekasminna te bhayam // NRa_2.45 //	yadi ekasmin samASvAsaH kim ekasmin na te Bayam // NRaH _2.45 //
   madyātparibhavo loke kāryahānirdhanakṣayaḥ /	madyAt pariBavaH loke kArya hAniH Dana kzayaH /
   ākāryakaraṇaṃ mohāt[madyaṃ tyaja tataḥ sadā] // NRa_2.46 //	AkArya karaNam mohAt[madyam tyaja tatas sadA] // NRaH _2.46 //
   (Sanskrit text of 2.47 95 and 3 lost!)	(San skrit text of 2.47 95 and 3 lost!)
   adharmamanvāyyamapi prāyo rājānujīvibhiḥ /	aDarmam anvAyyam api prAyas rAja anujIviBiH /
   ācaran stūyate tasmāt kṛcchrādvetti kṣamākṣamam // NRa_4.1 //	Acaran stUyate tasmAt kRcCrAt vetti kzamA kzamam // NRaH _4.1 //
   anyo 'pi tāvadyaḥ kaściddurvacaḥ kṣamamapriyam /	anyaH api tAvat yaH kaScid durvacaH kzamam apriyam /
   kimu rājā mahābhaumastvaṃ mayā bhikṣuṇā satā // NRa_4.2 //	kimu rAjA mahA BOmaH tvam mayA BikzuNA satA // NRaH _4.2 //
   tvatkṛtādeva tu snehājjagatāmanukampayā /	tvad kRtAt eva tu snehAt jagatAm anukampayA /
   ahameko vadāmi tvāṃ pathyamapyapriyaṃ bhṛśam // NRa_4.3 //	aham ekaH vadAmi tvAm paTyam api apriyam BRSam // NRaH _4.3 //
   satyaṃ ślakṣṇārthavatpathyaṃ śiṣyaḥ kāle 'nukampayā /	satyam SlakzNa arTa vat paTyam SizyaH kAle anukampayA /
   vācya ityāha bhagavāṃstadevamabhidhīyase // NRa_4.4 //	vAcyaH iti Aha BagavAn= tat evam aBiDIyase // NRaH _4.4 //
   akrodhe satyavākye ca ślādhyamāno yadi sthitaḥ /	akroDe satya vAkye ca SlADyamAnaH yadi sTitaH /
   śravyaṃ saṃparigṛṇhīyāt sattoyaṃ snāpyamānavat // NRa_4.5 //	Sravyam saMparigRNhIyAt sat toyam snApyamAna vat // NRe _4.5 //
   tasya me vadato vākyaṃ tvamihāmutra ca kṣamam /	tasya me vadataH vAkyam tvam iha amutra ca kzamam /
   jñātvā kuru hitāyedamātmano jagato 'pi ca // NRa_4.6 //	jQAtvA kuru hitAya idam AtmanaH jagataH api ca // NRe _4.6 //
   yācakebhyaḥ purā dānāt prāpyārthāṃścenna dāsyasi /	yAcakeByaH purA dAnAt prApya arTAn= ced na dAsyasi /
   akṛtajñatvalobhābhyāṃ nārthān punaravāpsyasi // NRa_4.7 //	akRtajQa tva loBAByAm na arTAn punar avApsyasi // NRaH _4.7 //
   iha pathyadanaṃ loke na vahatyabhṛto bhṛtaḥ /	iha paTi a danam loke na vahati aBRtaH BRtaH /
   yācakastvabhṛto 'mutra hīnaḥ śataguṇodvahaḥ // NRa_4.8 //	yAcakaH tu aBRtaH amutra hInaH SataguNa udvahaH // NRe _4.8 //
   udāracittaḥ satataṃ bhavodārakriyārataḥ /	udAra cittaH satatam Bava udAra kriyA rataH /
   udārakarmaṇaḥ sarvamudāraṃ jāyate phalam // NRa_4.9 //	udAra karmaNaH sarvam udAram jAyate Palam // NRaH _4.9 //
   (Vaidya 305)	(VEdyaH 305)
   manorathairapi klībairanālīḍhaṃ narādhipaiḥ /	manoraTEH api klIbEH anAlIXam narADipEH /
   kuru dharmāspadaṃ śrīmatkhyātaṃ ratnatrayāspadam // NRa_4.10 //	kuru Darma Aspadam SrImat KyAtam ratnatraya Aspadam // NRaH _4.10 //
   sāmantarājaromāñcakaraṃ dharmāspadaṃ na yat /	sAmanta rAja romAQca karam Darma Aspadam na yat /
   mṛtasyāpyapraśasyatvād rājaṃstadakṛtaṃ varam // NRa_4.11 //	mRtasya api apraSasya tvAt rAjan= tat akRtam varam // NRaH _4.11 //
   atyaudāryādudārāṇāṃ vismayotsāhavardhanam /	ati OdAryAt udArANAm vismaya utsAha varDanam /
   utsāhanghaṃ ca mandānāṃ sarvasvenāpi kāraya // NRa_4.12 //	utsAhanGam ca mandAnAm sarva svena api kAraya // NRe _4.12 //
   utsṛjyāmutra gantavyaṃ sarvasvamavaśena te /	utsRjya amutra gantavyam sarva svam avaSena te /
   dharme niyuktaṃ yātyeva purastātsarvameva tat // NRa_4.13 //	Darme niyuktam yAti eva purastAt sarvam eva tat // NRaH _4.13 //
   sarvasvaṃ pūrvanṛpaternṛpasya vaśamāgatam /	sarva svam pUrva nRpateH nRpasya vaSam Agatam /
   kiṃ pūrvakasya dharmāya sukhāya yaśase 'pi vā // NRa_4.14 //	kim pUrvakasya DarmAya suKAya yaSase api vA // NRaH _4.14 //
   bhuktādarthādiha sukhaṃ dattātpāratrikaṃ sukham /	BuktAt arTAt iha suKam dattAt pAratrikam suKam /
   abhuktādattanaṣṭatvādduḥkhameva kutaḥ sukham // NRa_4.15 //	aBukta adatta nazwa tvAt duHKam eva kutas suKam // NRaH _4.15 //
   vinaśyan sacivairdātumasvātantryānna śakyasi /	vinaSyan sacivEH dAtum asvAtantryAt na Sakyasi /
   āpaticchedaniḥsnehairnavarājapriyaiṣibhiḥ // NRa_4.16 //	Apati= Ceda niHsnehEH nava rAja priya eziBiH // NRaH _4.16 //
   sarvasvenāpyataḥ svasthaḥ śīghraṃ dharmāspadaṃ kuru /	sarva svena api atas svasTaH SIGram Darma Aspadam kuru /
   mṛtyupratyayamadhyasthaḥ pravātasthapradīpavat // NRa_4.17 //	mRtyu pratyaya maDya sTaH pravAta sTa pradIpa vat // NRe _4.17 //
   dharmādhikārā ye cānye pūrvarājapravarvitāḥ /	Darma aDikArAH ye ca anye pUrva rAja pravarvitAH /
   devadroṇyādayaste 'pi pravartyantāṃ yathāsthitāḥ // NRa_4.18 //	deva droNI AdayaH te api pravartyantAm yaTA sTitAH // NRe _4.18 //
   ahiṃsakaiḥ śubhācārairvratasthairatithipriyaiḥ /	ahiMsakEH SuBa AcArEH vrata sTEH atiTi priyEH /
   sarvakṣamairakalahairbhajyeraṃstaiḥ sado(dya)taiḥ // NRa_4.19 //	sarva kzamEH akalahEH Bajyeran= tEH sa do(dya)tEH // NRaH _4.19 //
   andhavyādhitahīnāṅgadīnānāthavanīpakāḥ /	anDa vyADita hIna aFgadIna anATa vanIpakAH /
   te 'pyannapānaṃ sāmyena labherannavighaṭṭitāḥ // NRa_4.20 //	te api anna pAnam sAmyena laBeH an= a viGawwitAH // NRaH _4.20 //
   anarthānāmapi satāṃ dhārmikāṇāmanugrahān /	anarTAnAm api satAm DArmikANAm anugrahAn /
   apyanyarājyasaṃsthānāmanurūpān pravartaya // NRa_4.21 //	api anya rAjya saMsTAnAm anurUpAn pravartaya // NRaH _4.21 //
   sarvadharmādhikāreṣu dharmādhikṛtamutthitam /	sarva Darma aDikArezu Darma aDikRtam utTitam /
   alubdhaṃ paṇḍitaṃ dharmyaṃ kuru tesāmabādhakam // NRa_4.22 //	alubDam paNxitam Darmyam kuru tesAma bADakam // NRaH _4.22 //
   nītijñān dhārmikān snigdhān śucīn bhaktānakātarān /	nIti jQAn DArmikAn snigDAn SucIn BaktAn akAtarAn /
   kulīnān śīlasaṃpannān kṛtajñān sacivān kuru // NRa_4.23 //	kulInAn SIla saMpannAn kRtajQAn sacivAn kuru // NRaH _4.23 //
   akṣudrāṃstyāginaḥ śūrān snigdhān saṃbhoginaḥ sthirān /	akzudrAn= tyAginaH SUrAn snigDAn saMBoginaH sTirAn /
   kuru nityāpramattāṃśca dhārmikān daṇḍanāyakān // NRa_4.24 //	kuru nitya apramattAn= ca DArmikAn daNxa nAyakAn // NRe _4.24 //
   dharmaśīlān śūcīn dakṣān kāryajñān śāstrakovidān /	Darma SIlAn SUcIn dakzAn kArya jQAn SAstra kovidAn /
   kṛtavṛttīn samān snigdhān vṛddhānadhikṛtān kuru // NRa_4.25 //	kRta vRttIn samAn snigDAn vRdDAn aDikRtAn kuru // NRaH _4.25 //
   (Vaidya 306)	(VEdyaH 306)
   pratimāsaṃ ca tebhyastvaṃ sarvamāyavyayaṃ śṛṇu /	pratimAsam ca teByaH tvam sarva mAya vyayam SRNu /
   śrutvā dharmādhikārādyaṃ kāryaṃ sarvaṃ svayaṃ vada // NRa_4.26 //	SrutvA Darma aDikAra Adyam kAryam sarvam svayam vada // NRe _4.26 //
   dharmārthaṃ yadi te rājyaṃ na kīrtyarthaṃ na kāmataḥ /	Darma arTam yadi te rAjyam na kIrti arTam na kAmataH /
   tataḥ saphalamatyarthamanarthārthamato 'nyathā // NRa_4.27 //	tatas saPalam atyarTam anarTa arTam atas anyaTA // NRaH _4.27 //
   parasparāmiṣībhūte loko 'smin prāyaśo nṛpa /	paraspara AmizIBUte lokaH asmin prAyaSas nRpa /
   yathā rājyaṃ ca dharmaśca bhavettava tathā śṛṇu // NRa_4.28 //	yaTA rAjyam ca DarmaH ca Bavet tava taTA SRNu // NRaH _4.28 //
   jñānavṛddhāḥ kule jātā nyāyajñāḥ pāpabhīravaḥ /	jQAna vRdDAH kule jAtAH nyAya jQAH pApa BIravaH /
   sametā bahavo nityaṃ santu te kāryadarśinaḥ // NRa_4.29 //	sametAH bahavaH nityam santu te kArya darSinaH // NRaH _4.29 //
   daṇḍabandhaprahāradīn kuryuste nyāyato 'pi cet /	daNxa banDa prahAra dIn kuryuH te nyAyataH api ced /
   kāruṇyārdraḥ sadā bhūtvā tvamanugrahavān bhava // NRa_4.30 //	kAruNya ArdraH sadA BUtvA tvam anugrahavAn Bava // NRaH _4.30 //
   hitāyaiva tvayā cittamunnāmyaṃ sarvadehinām /	hitAya eva tvayA cittam unnAmyam sarva dehinAm /
   kāruṇyātsatataṃ rājaṃstīvrapāpakṛtāmapi // NRa_4.31 //	kAruNyAt satatam rAjan= tIvra pApa kRtAm api // NRaH _4.31 //
   tīvrapāpeṣu hiṃsreṣu kṛpā kāryā viśeṣataḥ /	tIvra pApezu hiMsrezu kRpA kAryA viSezataH /
   ta eva hi kṛpāsthānaṃ hatātmāno mahātmanām // NRa_4.32 //	te eva hi kRpA sTAnam hata AtmAnaH mahAtmanAm // NRaH _4.32 //
   pratyahaṃ pañcarātraṃ vā baddhān kṣīṇān vimocaya /	pratyaham paQca rAtram vA badDAn kzINAn vimocaya /
   śeṣānapi yathāyogaṃ mā kāṃścit naiva mocaya // NRa_4.33 //	SezAn api yaTAyogam mA kAMScid na eva mocaya // NRaH _4.33 //
   yeṣvamokṣaṇacittaṃ te jāyate teṣvasaṃvaraḥ /	yezu amokzaNa cittam te jAyate tezu asaMvaraH /
   tasmādasaṃvarāt pāpamajasramupacīyate // NRa_4.34 //	tasmAt asaMvarAt pApam ajasram upacIyate // NRaH _4.34 //
   yāvacca na vimucyeraṃstāvatsyuḥ sukhabandhanāḥ /	yAvat ca na vimucya Iran= tAvat syuH suKa banDanAH /
   nāpitasnānapānānnabhaiṣajyavasanānvitāḥ // NRa_4.35 //	nApita snAna pAna anna BEzajya vasana anvitAH // NRe _4.35 //
   apātreṣviva putreṣu pātrīkaraṇakāṅkṣayā /	apAtrezu iva putrezu pAtrIkaraNa kAFkzayA /
   kāruṇyā[ttāḍanaṃ kāryaṃ na dveṣān]nārthalipsayā // NRa_4.36 //	kAruNyA[ttAxanam kAryam na dveza an]na arTa lipsayA // NRaH _4.36 //
   vimṛśya samyagvijñāya praduṣṭān ghātakānapi /	vimRSya samyak vijQAya praduzwAn GAtakAn api /
   ahatvā pīḍayitvā ca kuru nirviṣayān narān // NRa_4.37 //	ahatvA pIxayitvA ca kuru nirvizayAt narAn // NRaH _4.37 //
   svatantraḥ paśya sarvaṃ ca viṣayaṃ cāracakṣuṣā /	svatantraH paSya sarvam ca vizayam cAra cakzuzA /
   nityāpramattaḥ smṛtimān kuru kāryaṃ ca dhārmikam // NRa_4.38 //	nitya apramattaH smRtimAn kuru kAryam ca DArmikam // NRaH _4.38 //
   pradānamānasatkārairguṇasthān satataṃ bhaja /	pradAna mAna satkArEH guNa sTAn satatam Baja /
   udārairanurūpaistu śeṣānapi yathāvidhi // NRa_4.39 //	udArEH anurUpEH tu SezAn api yaTAviDi // NRaH _4.39 //
   saṃmānasphītakusumaḥ saṃpradānamahāphalaḥ /	saMmAna sPIta kusumaH saMpradAna mahA PalaH /
   rājavṛkṣaḥ kṣamācchāyaḥ sevyate bhṛtyapakṣibhiḥ // NRa_4.40 //	rAjavRkzaH kzamAt CAyaH sevyate BRtya pakziBiH // NRaH _4.40 //
   tyāgaśīlamayo rājā tejasvī bhavati priyaḥ /	tyAga SIla mayaH rAjA tejasvI Bavati priyaH /
   śarkarāmodako yadvadelāmaricakarkaśaḥ // NRa_4.41 //	SarkarA modakaH yadvat elA marica karkaSaH // NRaH _4.41 //
   (Vaidya 307)	(VEdyaH 307)
   mātsyanyāyaśca te naivaṃ nyāyādrājyaṃ bhaviṣyati /	mAtsya nyAyaH ca te na evam nyAyAt rAjyam Bavizyati /
   na cānyāyo na vādharmo dharmaścaivaṃ bhaviṣyati // NRa_4.42 //	na ca anyAyaH na vA aDarmaH DarmaH ca evam Bavizyati // NRaH _4.42 //
   paralokāttvayā rājyaṃ nānītaṃ nāpi neṣyasi /	para lokAt tvayA rAjyam na AnItam na api nezyasi /
   dharmāt prāptamato 'syārthe nādharmaṃ kartumarhasi // NRa_4.43 //	DarmAt prAptam atas asya arTe na aDarmam kartum arhasi // NRaH _4.43 //
   rājyena bhāṇḍamūlyena duḥkhabhāṇḍaparaṃparām /	rAjyena BANxa mUlyena duHKa BANxa paraMparAm /
   rājan yathā nārjayasi prayatnaḥ kriyatāṃ tathā // NRa_4.44 //	rAjan yaTA na arjayasi prayatnaH kriyatAm taTA // NRaH _4.44 //
   rājyena bhāṇḍamūlyena rājyabhāṇḍaparaṃparām /	rAjyena BANxa mUlyena rAjya BANxa paraMparAm /
   rājan yathā nirviśasi prayatnaḥ kriyatāṃ tathā // NRa_4.45 //	rAjan yaTA nirviSasi prayatnaH kriyatAm taTA // NRaH _4.45 //
   caturdvīpamapi prāpya pṛthivīṃ cakravartinaḥ /	catur dvIpam api prApya pRTivIm cakravartinaH /
   śārīraṃ mānasaṃ caiva sukhadvayamidaṃ matam // NRa_4.46 //	SArIram mAnasam ca eva suKa dvayam idam matam // NRaH _4.46 //
   duḥkhapratikriyāmātraṃ śārīraṃ vedanāsukham /	duHKa pratikriyA mAtram SArIram vedanA suKam /
   saṃjñāmayaṃ mānasaṃ tu kevalaṃ kalpanākṛtam // NRa_4.47 //	saMjQA mayam mAnasam tu kevalam kalpanA kRtam // NRaH _4.47 //
   duḥkhapratikriyāmātraṃ kalpanāmātrameva ca /	duHKa pratikriyA mAtram kalpanA mAtram eva ca /
   lokasya sukhasarvasvaṃ vyarthametadato 'rthataḥ // NRa_4.48 //	lokasya suKa sarvasvam vyarTam etat atas arTataH // NRaH _4.48 //
   dvīpadeśapurāvāsapradeśasthānavāsasām /	dvIpa deSa purA vAsa pradeSa sTAna vAsasAm /
   śayyānnapānahastyaśvastrīṇāṃ caikaikabhogyatā // NRa_4.49 //	SayyA anna pAna hasti aSva strINAm ca ekEka Bogya tA // NRaH _4.49 //
   yadā ca yatra cittaṃ syāt tadānena sukhaṃ kila /	yadA ca yatra cittam syAt tadA anena suKam kila /
   śeṣāṇāmamanaskārātteṣāṃ vyarthatvamarthataḥ // NRa_4.50 //	SezANAm amanaskArAt tezAm vyarTa tvam arTataH // NRaH _4.50 //
   viṣayān pañcabhiḥ pañca cakṣurādibhirindriyaiḥ /	vizayAn paQcaBiH paQca cakzuH AdiBiH indriyEH /
   na kalpayati cedgaṇhan nāsmātteṣu tadā sukham // NRa_4.51 //	na kalpayati ced gaNhan na asmAt tezu tadA suKam // NRaH _4.51 //
   jānīte viṣayaṃ yaṃ yaṃ yena yenendriyeṇa ca /	jAnIte vizayam yam yam yena yena indriyeNa ca /
   tadā na śeṣaiḥ śeṣāṇi vyarthānyeva yatastadā // NRa_4.52 //	tadA na SezEH SezANi vyarTAni eva yatas tadA // NRe _4.52 //
   indriyairupalabdhasya viṣayasyākṛtiṃ manaḥ /	indriyEH upalabDasya vizayasya AkRtim manaH /
   upalabhya vyatītasya kalpayan manyate sukham // NRa_4.53 //	upalaBya vyatItasya kalpayan manyate suKam // NRaH _4.53 //
   ekamarthaṃ vijānāti yadyapyekamihendriyam /	ekam arTam vijAnAti yadi api ekam iha indriyam /
   tadapyarthaṃ vinā vyarthaṃ vyartho 'rtho 'pi ca tadvinā // NRa_4.54 //	tat api arTam vinA vyarTam vyarTaH arTaH api ca tat vinA // NRaH _4.54 //
   pratītya mātāpitarau yathoktaḥ putrasaṃbhavaḥ /	pratItya mAtA pitarO yaTA uktaH putra saMBavaH /
   cakṣūrūpe pratītyaivamukto vijñānasaṃbhavaḥ // NRa_4.55 //	cakzU rUpe pratItyA evam uktaH vijQAna saMBavaH // NRaH _4.55 //
   atītānāgatā vyarthā viṣayāḥ sārdhamindriyaiḥ /	atIta anAgatAH vyarTAH vizayAH sArDam indriyEH /
   tadudvayānatiriktatvād vyarthā ye 'pi ca sāṃpratāḥ // NRa_4.56 //	tad udvaya an atirikta tvAt vyarTAH ye api ca sAMpratAH // NRaH _4.56 //
   alātacakraṃ gṛṇhāti yathā cakṣurviparyayāt /	alAta cakram gRNhAti yaTA cakzuH viparyayAt /
   tathendriyāṇi gṛṇhanti viṣayān sāṃpratāniva // NRa_4.57 //	taTA indriyANi gRNhanti vizayAn sAMpratAn iva // NRaH _4.57 //
   (Vaidya 308)	(VEdyaH 308)
   indriyāṇindriyāerthāśca pañcabhūtamayā matāḥ /	indriyANindriyAerTAH ca paQcaBUta mayAH matAH /
   pratisvaṃ bhūtavaiyarthyādeṣāṃ vyarthatvamarthataḥ // NRa_4.58 //	pratisvam BUta vEyarTyAt ezAm vyarTa tvam arTataH // NRaH _4.58 //
   nirindhano 'gnirbhūtānāṃ vinirbhāge prasajyate /	nirinDanaH agniH BUtAnAm vinirBAge prasajyate /
   saṃparke lakṣaṇābhāvaḥ śeṣeṣvapyeṣa nirṇayaḥ // NRa_4.59 //	saMparke lakzaNa aBAvaH Sezezu api eza nirNayaH // NRaH _4.59 //
   evaṃ dvidhāpi bhūtānāṃ vyarthatvātsaṃgatirvṛthā /	evam dviDA api BUtAnAm vyarTa tvAt saMgatiH vRTA /
   vyarthatvātsaṃgateścaivaṃ rūpaṃ vyarthamato 'rthataḥ // NRa_4.60 //	vyarTa tvAt saMgateH ca evam rUpam vyarTam atas arTataH // NRaH _4.60 //
   vijñānavedanāsaṃjñāsaṃskārāṇāṃ ca sarvaśaḥ /	vijQAna vedanA saMjQA saMskArANAm ca sarvaSas /
   pratyekamātmavaiyarthyadvaiyarthyaṃ paramārthataḥ // NRa_4.61 //	pratyekam Atma vEyarTya dvEyarTyam paramArTataH // NRaH _4.61 //
   sukhābhimāno duḥkhasya pratīkāre yathārthataḥ /	suKa aBimAnaH duHKasya pratIkAre yaTArTataH /
   tathā sukhābhimāno 'pi sukhasya pratighātajaḥ // NRa_4.62 //	taTA suKa aBimAnaH api suKasya pratiGAta jaH // NRaH _4.62 //
   sukhe saṃyogatṛṣṇaivaṃ naiḥsvābhāvyātprahīyate /	suKe saMyoga tRzNA evam nEHsvABAvyAt prahIyate /
   duḥkhe viyogatṛṣṇā ca paśyatāṃ muktirityataḥ // NRa_4.63 //	duHKe viyoga tRzNA ca paSyatAm muktiH iti atas // NRaH _4.63 //
